Word	Amharic-am	Valence	Arousal	Dominance
parable	ምሳሌ	0.479	0.357	0.525
parabola	ፓራቦላ	0.542	0.413	0.620
parabolic	ፓራቦሊክ	0.459	0.509	0.500
parachute	ፓራሹት	0.562	0.787	0.564
parade	ሰልፍ	0.792	0.685	0.509
paradigm	ንድፍ	0.573	0.429	0.779
paradise	ገነት	0.875	0.540	0.796
paradox	አያዎ (ፓራዶክስ)	0.417	0.442	0.482
paradoxical	ፓራዶክስክ	0.406	0.547	0.433
paraffin	ፓራፊን	0.426	0.291	0.343
paragon	ገላጭ	0.490	0.431	0.473
paragraph	አንቀጽ	0.510	0.164	0.269
parakeet	ፓራቄ	0.576	0.387	0.227
paralegal	የሕግ ባለሙያ	0.479	0.470	0.519
parallax	parallax	0.437	0.394	0.471
parallel	ትይዩ	0.568	0.284	0.465
parallelism	ትይዩነት	0.549	0.363	0.527
paralysis	ሽባነት	0.156	0.500	0.305
paralyze	ሽባ	0.188	0.367	0.471
paralyzed	ሽባ	0.194	0.480	0.198
paramedic	ፓራሜዲክ	0.673	0.464	0.636
paramedics	የፓራሜዲክ ባለሙያዎች	0.479	0.594	0.712
paramilitary	ወታደር	0.154	0.804	0.727
paramount	ዋነኛውን	0.771	0.615	0.902
paranoia	ተዓማኒነት	0.146	0.841	0.407
paranoid	እብጠት	0.122	0.918	0.364
paranormal	ፓራኖልማል	0.167	0.814	0.560
parapet	ፓራፔኬት	0.450	0.356	0.279
paraphernalia	ፓራፈርናሊያ	0.443	0.726	0.509
paraphrase	ትርጓሜ	0.500	0.375	0.444
paraplegic	ፓራፕፔሊጅ	0.188	0.441	0.321
parasite	ጥገኛ አካል	0.092	0.442	0.324
parasitic	ፓራሴቲክ	0.037	0.600	0.364
parasol	ፉንሶ	0.604	0.255	0.304
parcel	እሽግ	0.660	0.324	0.411
parcels	እሽጎች	0.551	0.445	0.418
parched	ረግሟል	0.250	0.235	0.255
parchment	ብራና	0.615	0.228	0.455
pardon	ይቅርታ	0.552	0.413	0.542
pare	NO TRANSLATION	0.500	0.356	0.309
parenchyma	parenchyma	0.500	0.399	0.595
parent	ወላጅ	0.812	0.357	0.860
parentage	ወላጅ	0.903	0.382	0.595
parental	ወላጅ	0.760	0.430	0.627
parenthesis	NO TRANSLATION	0.510	0.255	0.380
parenthetical	ቅንፍ	0.490	0.327	0.391
parenthood	ወላጅነት	0.750	0.630	0.782
parenting	ወላጅነት	0.812	0.520	0.676
pariah	ነፃ	0.397	0.478	0.293
parietal	ፓሪዮል	0.481	0.333	0.491
paring	መበጥበጥ	0.429	0.441	0.324
parish	ሰበካ	0.698	0.354	0.582
parity	እኩልነት	0.582	0.406	0.407
park	መናፈሻ	0.816	0.343	0.414
parka	መናፈሻ	0.469	0.481	0.395
parking	መኪና ማቆሚያ	0.777	0.469	0.510
parkinsons	መናፈሻዎች	0.104	0.570	0.373
parlance	ቃል	0.510	0.350	0.462
parlay	እሽግ	0.469	0.611	0.483
parliament	ፓርላማ	0.573	0.540	0.858
parliamentary	የፓርላማ አባል	0.490	0.554	0.755
parlor	ዕቃ	0.500	0.327	0.366
parmesan	የፐርሜሳ	0.698	0.321	0.382
parody	ማስመሰል	0.561	0.651	0.375
parole	ምስጥር	0.388	0.620	0.526
parquet	መጋገሪያ	0.541	0.240	0.422
parrot	ጅራታም	0.588	0.333	0.292
parry	ፓሪ	0.510	0.404	0.436
parse	?????	0.469	0.456	0.667
parsimonious	የተራቀቀ	0.417	0.312	0.446
parsimony	ድምር	0.449	0.280	0.403
parsley	ፓሰል	0.458	0.170	0.291
parson	ተከላካይ	0.583	0.250	0.615
part	ክፍል	0.663	0.278	0.360
partake	መጋጠም	0.755	0.656	0.629
partial	በከፊል	0.429	0.324	0.348
partiality	አድልዎ	0.375	0.380	0.490
partially	በከፊል	0.418	0.368	0.396
participant	ተሳታፊ	0.712	0.598	0.613
participate	መሳተፍ	0.755	0.580	0.684
participation	ተሳትፎ	0.781	0.700	0.702
particle	ቅንጣት	0.521	0.265	0.438
particular	በተለይ	0.562	0.402	0.552
particularity	ልዩነት	0.670	0.434	0.586
particulars	ዝርዝሮች	0.604	0.348	0.525
parting	ተካፋይ	0.260	0.542	0.353
partisan	ተጋድሎ	0.615	0.549	0.669
partisanship	ተጋድሎ	0.438	0.566	0.551
partition	ክፋይ	0.615	0.469	0.567
partly	በከፊል	0.415	0.410	0.396
partner	ባልደረባ	0.673	0.302	0.586
partnership	ትብብር	0.786	0.387	0.545
partridge	ጅግራ	0.583	0.415	0.250
parts	ክፍሎች	0.459	0.327	0.392
party	ድግስ	0.948	0.840	0.547
pas	NO TRANSLATION	0.490	0.344	0.262
pass	ማለፍ	0.510	0.324	0.362
passable	ደህና	0.688	0.337	0.633
passage	አንቀጽ	0.429	0.314	0.370
passageway	መተላለፊያ	0.490	0.389	0.400
passe	NO TRANSLATION	0.531	0.357	0.426
passenger	መንገደኛ	0.717	0.413	0.481
passim	NO TRANSLATION	0.458	0.491	0.333
passing	ማለፍ	0.458	0.298	0.509
passion	ፍቅር	0.854	0.865	0.728
passionate	ሞቅ ያለ	0.990	0.827	0.731
passive	passive	0.420	0.116	0.241
passivity	ተፅዕኖ	0.241	0.115	0.246
passkey	የይለፍ ቃል	0.646	0.500	0.791
passport	ፓስፖርት	0.653	0.457	0.682
password	የይለፍ ቃል	0.390	0.356	0.559
past	ያለፈ	0.490	0.422	0.311
pasta	ፓስታ	0.615	0.306	0.375
paste	ለጥፍ	0.500	0.556	0.500
pastel	ስኒን	0.719	0.357	0.367
pastime	ፓስቲል	0.677	0.353	0.443
pastor	መጋቢ	0.698	0.236	0.746
pastrami	ፓራግራሚ	0.542	0.415	0.348
pastry	ዱቄት	0.870	0.407	0.419
pasture	ግጦሽ	0.688	0.145	0.170
pasty	ፓስቲሽ	0.479	0.363	0.375
pat	ፓት	0.418	0.377	0.340
patch	አሻራ	0.439	0.288	0.283
patchwork	????	0.500	0.260	0.325
pate	ድንች	0.406	0.260	0.260
patella	ሞገስ	0.430	0.260	0.342
patent	የፈጠራ	0.724	0.391	0.609
patented	የፈጠራ ባለቤትነት	0.571	0.422	0.685
paternal	የአባቶች	0.776	0.353	0.755
paternity	አባትነት	0.704	0.590	0.806
path	ዱካ	0.590	0.245	0.421
pathetic	አሳዛኝ	0.088	0.464	0.139
pathological	ፓቶሎጂካል	0.220	0.602	0.580
pathologist	ፓቶሎጂስት	0.354	0.552	0.585
pathology	ፓቶሎሎጂ	0.271	0.560	0.558
pathos	NO TRANSLATION	0.350	0.449	0.462
pathway	ጎዳና	0.646	0.410	0.519
patience	ትዕግስት	0.771	0.125	0.387
patient	ታካሚ	0.583	0.193	0.340
patio	በረንዳ	0.562	0.245	0.402
patriarch	ፓትርያርክ	0.592	0.448	0.898
patriarchal	ፓትሪክሪክ	0.531	0.500	0.857
patrimony	የጋሻዊነት	0.719	0.406	0.740
patriot	ጀግንነት	0.771	0.635	0.886
patriotic	የአገር ፍቅር ስሜት	0.875	0.509	0.933
patriotism	የአገር ፍቅር ስሜት	0.708	0.635	0.848
patrol	ተቆጣጣሪ	0.427	0.664	0.736
patrolman	ተቆጣጣሪ	0.469	0.731	0.884
patron	ጠበቃ	0.583	0.451	0.870
patronage	ድጎማ	0.583	0.490	0.583
patronising	መደገፍ	0.439	0.455	0.582
patronize	መደገፍ	0.430	0.451	0.591
patronizing	መደገፍ	0.542	0.365	0.529
patter	አሻንጉሊት	0.312	0.635	0.451
pattern	ንድፍ	0.479	0.422	0.664
paucity	አነስተኛነት	0.153	0.453	0.175
pauper	የዋነኛው	0.260	0.347	0.151
pause	ለአፍታ አቁም	0.429	0.188	0.264
pave	አሸዋ	0.594	0.490	0.509
pavement	መንገድ	0.460	0.353	0.475
pavilion	ፓዳ	0.583	0.500	0.770
paving	መሸፈኛ	0.408	0.469	0.545
paw	መዳፍ	0.417	0.360	0.286
pawn	ፓነል	0.390	0.321	0.187
pawnshop	ያገለገሉ ዕቃዎች መሸጫ	0.396	0.439	0.519
pax	ፒክስ	0.551	0.421	0.473
pay	መክፈል	0.514	0.588	0.592
payable	የሚከፈል	0.385	0.480	0.606
payback	መልሶ መመለስ	0.459	0.500	0.567
paycheck	ቼክ	0.896	0.630	0.652
payday	የክፍያ ቀን	0.833	0.741	0.571
payer	ተከፋይ	0.313	0.630	0.638
payload	ክፍያ	0.612	0.510	0.682
payment	ክፍያ	0.629	0.452	0.643
payoff	መክፈል	0.740	0.644	0.673
payout	ክፍያ	0.646	0.600	0.575
payphone	የክፍያ ስልክ	0.469	0.360	0.370
payroll	የክፍያ ደመወዝ	0.521	0.360	0.549
pea	አተር	0.580	0.275	0.298
peace	ሰላም	0.939	0.156	0.613
peaceable	ሰላማዊ	0.776	0.134	0.453
peaceful	ሰላማዊ	0.867	0.108	0.569
peacefully	በሰላም	0.901	0.190	0.639
peacekeeper	ሰላም ሰጪ	0.865	0.320	0.644
peaceofmind	NO TRANSLATION	0.786	0.160	0.519
peacetime	ድካም	0.949	0.180	0.579
peach	ኮክ	0.704	0.480	0.272
peachy	ፈጭ	0.755	0.479	0.388
peacock	ፒኮክ	0.786	0.449	0.458
peak	ጫፍ	0.500	0.345	0.431
peaked	ከፍተኛ	0.677	0.704	0.857
peanut	ዘይት	0.646	0.202	0.246
peanuts	ኦቾሎኒ	0.542	0.294	0.324
pear	እንቁ	0.677	0.158	0.241
pearl	ዕንቁ	0.905	0.425	0.642
pearly	pearly	0.635	0.337	0.373
peas	አተር	0.542	0.283	0.310
peasant	ገበሬ	0.530	0.275	0.407
peat	አረፋ	0.333	0.655	0.504
pebble	ጠጠር	0.354	0.353	0.287
pecan	ድካም	0.552	0.316	0.358
peck	እፉኝ	0.202	0.530	0.321
pecker	ፒክከር	0.459	0.509	0.375
peculiar	የተለየ	0.600	0.491	0.564
peculiarities	ልዩነቶች	0.511	0.460	0.528
peculiarity	ልዩነት	0.439	0.452	0.652
peculiarly	በተለየ	0.615	0.450	0.454
pecuniary	መሃይምነት	0.490	0.490	0.500
pedal	ፔዳሉ	0.500	0.320	0.342
pedantic	የፍቅር ስሜት	0.229	0.608	0.253
peddle	ተራ	0.539	0.549	0.538
peddler	መራመድ	0.408	0.481	0.390
pedestal	እግር	0.735	0.284	0.579
pedestrian	እግረኛ	0.438	0.360	0.448
pediatric	ሕፃናት	0.560	0.462	0.490
pediatrician	የሕፃናት ሐኪም	0.602	0.500	0.627
pediatrics	የሕፃናት ሕክምና	0.750	0.380	0.596
pedicure	ዳንስ	0.695	0.269	0.296
pedigree	ዘር	0.625	0.340	0.609
pedometer	ፒሞሜትር	0.469	0.561	0.405
pedophile	በልጆች ላይ ወሲባዊ ጥቃት	0.051	0.724	0.430
pee	pee	0.449	0.529	0.391
peek	ቆንጆ	0.486	0.360	0.411
peekaboo	peekaboo	0.592	0.607	0.412
peel	ቆዳ	0.439	0.250	0.279
peep	ፔፕ	0.573	0.317	0.269
peeper	ዘንበል	0.182	0.537	0.343
peephole	ፔኤፌል	0.479	0.500	0.310
peer	አቻ	0.458	0.321	0.569
peering	እኩያ	0.514	0.409	0.451
peerless	Peerless	0.688	0.450	0.462
peeved	የተስተካከለ	0.156	0.750	0.467
peg	ሾት	0.520	0.357	0.393
pegs	ጫፎች	0.408	0.286	0.386
peice	NO TRANSLATION	0.479	0.422	0.398
pelagic	pelagic	0.521	0.554	0.491
pelican	pelican	0.573	0.391	0.380
pellet	ዱቄት	0.448	0.390	0.466
pelvic	pelvic	0.320	0.632	0.373
pelvis	ጫማ	0.378	0.618	0.380
pen	ብዕር	0.622	0.194	0.250
penal	ወንጀለኛ	0.208	0.565	0.610
penalty	ቅጣት	0.062	0.490	0.240
penance	ይቅርታ	0.219	0.667	0.463
penchant	ቸር	0.688	0.480	0.609
pencil	እርሳስ	0.552	0.200	0.263
pendant	አንጸባራቂ	0.676	0.321	0.385
pendency	ተጠባባቂነት	0.396	0.452	0.472
pendent	NO TRANSLATION	0.470	0.380	0.425
pending	በመጠባበቅ ላይ	0.396	0.441	0.473
pendulum	ፔንዱለም	0.542	0.368	0.434
penetrate	ድብደባ	0.287	0.877	0.732
penetrating	ዘልቆ መግባት	0.469	0.792	0.782
penetration	ድብደባ	0.438	0.885	0.792
penguin	ፔንግዊን	0.615	0.296	0.307
penicillin	ፔኒሲሊን	0.417	0.431	0.566
penile	ፔሊና	0.490	0.736	0.491
peninsula	ባሕረ ገብ መሬት	0.551	0.384	0.627
penis	ብልት	0.354	0.810	0.556
penitent	ዘግይቶ	0.542	0.530	0.508
penitentiary	ወህኒ ቤት	0.229	0.726	0.491
penmanship	ዘጋቢነት	0.677	0.284	0.509
pennant	ፖኒን	0.542	0.380	0.426
penniless	ሴት ሳንቲም	0.062	0.316	0.083
penny	ሳንቲም	0.615	0.302	0.324
pension	ጡረታ	0.625	0.409	0.406
pensioner	ጡረተኛ	0.440	0.245	0.442
pensive	ግትር	0.540	0.220	0.529
pentagon	ፒንታጎን	0.490	0.636	0.774
pentagram	pentagram	0.510	0.433	0.466
penthouse	የሽታ ቤት	0.592	0.430	0.395
penultimate	በመጨረሻው ውጤት	0.469	0.366	0.255
people	ሰዎች	0.604	0.400	0.500
peopled	ሰዎች	0.594	0.450	0.679
pep	ፒፕ	0.510	0.510	0.364
pepper	ፔፐር	0.400	0.539	0.328
peppermint	ፔፐርሚንት	0.720	0.264	0.271
pepperoni	ፒፐንቶኒ	0.796	0.472	0.358
peppy	ፔፕ	0.677	0.529	0.438
peptic	Peptic	0.398	0.463	0.362
peptide	peptide	0.380	0.480	0.411
perceive	አስተውሉ	0.653	0.490	0.655
percent	በመቶ	0.470	0.350	0.356
percentage	መቶኛ	0.469	0.400	0.553
percentile	መቶኛ	0.479	0.410	0.390
perceptible	ሊታሰብ የሚችል	0.710	0.460	0.620
perception	አመለካከት	0.653	0.481	0.655
perceptive	አስተዋይ	0.745	0.500	0.741
perch	ፔርክ	0.531	0.300	0.314
perchance	እፎይ	0.480	0.224	0.298
percolation	ሽክርክሪት	0.397	0.417	0.415
percussion	የመተኮስ	0.622	0.635	0.642
perdition	ጥፋት	0.135	0.656	0.496
peremptory	መሃይምነት	0.429	0.426	0.606
perennial	ለረጅም ጊዜ የሚቆይ	0.527	0.358	0.500
perfect	ፍጹም	0.980	0.471	0.870
perfection	ፍጽምና	0.881	0.745	0.934
perfectionist	ፍጹም ሰው	0.667	0.704	0.905
perfecto	NO TRANSLATION	0.802	0.567	0.889
perforated	ተጎድቷል	0.219	0.607	0.344
perforation	መከለያ	0.365	0.668	0.578
perforce	ኃይል	0.357	0.689	0.354
perform	አፈፃፀም	0.765	0.555	0.773
performance	አፈፃፀም	0.750	0.520	0.672
performer	ተጫዋች	0.541	0.530	0.708
perfume	ሽቶ	0.740	0.472	0.463
perfumed	ሽቶ	0.816	0.471	0.509
peri	ፔር	0.448	0.433	0.370
peridot	መቶ አለቃ	0.458	0.481	0.435
peril	አደጋ	0.052	0.910	0.518
perilous	አደገኛ	0.143	0.862	0.575
perimeter	ፔሬሜትር	0.470	0.443	0.555
period	ጊዜ	0.396	0.324	0.588
periodic	ወቅታዊ	0.677	0.324	0.508
periodical	ወቅታዊ	0.550	0.298	0.430
periodically	በየጊዜው	0.480	0.314	0.515
periodicity	ወቅታዊነት	0.646	0.324	0.645
peripheral	ተጓዥ	0.406	0.406	0.549
periphery	የውጭ አካል	0.469	0.360	0.366
periscope	ፓይኮኮፕ	0.604	0.375	0.609
perish	መጥፋት	0.296	0.570	0.415
perishable	ሊጠፋ የሚችል	0.270	0.464	0.354
perished	ጠፋ	0.135	0.596	0.225
perishing	መጥፋት	0.229	0.423	0.148
perjury	ሐሰት	0.229	0.686	0.409
perk	ድካም	0.903	0.519	0.682
perky	የተራቀቀ	0.896	0.792	0.673
perm	ፐር	0.667	0.465	0.741
permanence	ዘላቂነት	0.771	0.370	0.708
permanent	ቋሚ	0.745	0.345	0.736
permeable	ድብርት	0.635	0.402	0.495
permeate	ተኛ	0.417	0.410	0.407
permeation	ሙቀት	0.418	0.559	0.536
permissible	ፍቃድ	0.684	0.646	0.612
permission	ፈቃድ	0.612	0.311	0.580
permissive	ፍቃደኛ	0.633	0.389	0.413
permit	ፈቃድ	0.733	0.349	0.518
permitted	ተፈቅዷል	0.865	0.410	0.613
permitting	ፍቃድ	0.724	0.481	0.661
permutation	መለወጥ	0.385	0.588	0.500
pernicious	አደገኛ	0.229	0.600	0.382
peroxide	ፔርኦክሳይድ	0.458	0.529	0.510
perpendicular	ጎርፍ	0.510	0.398	0.439
perpetrate	ወንጀል ነው	0.327	0.837	0.732
perpetrator	ጠላፊ	0.229	0.765	0.538
perpetual	ዘላቂ	0.625	0.438	0.741
perpetually	ለዘለቄታው	0.510	0.473	0.868
perpetuate	ዘልቋል	0.397	0.588	0.788
perpetuation	ዘላቂነት	0.510	0.677	0.716
perpetuity	ዘላቂነት	0.590	0.434	0.759
perplexed	ግራ ተጋብቷል	0.312	0.705	0.318
perplexing	ግራ ያጋባ	0.316	0.530	0.362
perplexity	ግራ ተጋብቷል	0.275	0.720	0.500
persecute	ስደት	0.281	0.873	0.509
persecution	ስደት	0.229	0.865	0.660
perseverance	ጽናት	0.888	0.630	0.796
persevere	ጸንተኛ	0.802	0.583	0.937
persist	ይቆማል	0.765	0.644	0.727
persistence	ጽናት	0.684	0.611	0.873
persistent	ቋሚ	0.646	0.667	0.815
persisting	ቀጥሏል	0.697	0.677	0.745
person	ግለሰብ	0.646	0.363	0.596
persona	NO TRANSLATION	0.741	0.480	0.743
personable	የሚታወቅ	0.816	0.520	0.637
personage	ግለሰብ	0.653	0.324	0.698
personal	የግል	0.750	0.311	0.467
personality	ስብዕና	0.896	0.513	0.790
personification	ስብዕና	0.760	0.471	0.691
personnel	ሰራተኞች	0.729	0.344	0.587
persons	ግለሰቦች	0.869	0.302	0.588
perspective	አመለካከት	0.688	0.470	0.704
perspiration	ፈገግታ	0.385	0.667	0.490
persuade	አሳት	0.620	0.618	0.709
persuasion	ማሳመን	0.612	0.670	0.537
persuasive	አሳማኝ	0.740	0.700	0.657
pert	አግባብነት ያለው	0.469	0.460	0.348
pertinent	አስፈላጊነት	0.580	0.333	0.723
perturbation	ረብሻ	0.270	0.840	0.500
pertussis	ፐርቱሲስ	0.279	0.569	0.386
perusal	ማስተዋል	0.622	0.235	0.543
peruse	ጥቅም ላይ የዋለ	0.503	0.270	0.439
pervading	ተከድቷል	0.418	0.684	0.728
perverse	ጠማማ	0.146	0.808	0.464
perversion	ብልሹነት	0.083	0.830	0.490
pervert	ጠበቀ	0.082	0.863	0.500
perverted	ተንበርክቷል	0.062	0.918	0.436
pesky	አስደንጋጭ	0.250	0.760	0.431
pessimism	አሉታዊ አመለካከት	0.083	0.484	0.264
pessimist	ተስፋ ሰጪ	0.125	0.470	0.218
pessimistic	አሉታዊ አመለካከት	0.088	0.394	0.236
pest	ተባይ	0.188	0.680	0.452
pester	ምላጭ	0.143	0.780	0.385
pestilence	ቸነፈር	0.122	0.660	0.283
pestle	pestle	0.427	0.463	0.426
pesto	pesto	0.531	0.323	0.336
pet	የቤት እንስሳ	0.875	0.327	0.305
petal	ቅጠል	0.810	0.194	0.211
petite	ትንሽ	0.510	0.354	0.245
petition	ማመልከቻ	0.498	0.575	0.415
petitioner	ጠበቃ	0.601	0.531	0.566
petloss	NO TRANSLATION	0.271	0.481	0.424
petpeeve	NO TRANSLATION	0.375	0.594	0.392
petrified	ግዙፍ	0.221	0.625	0.232
petrify	ግርፋት	0.177	0.571	0.447
petrol	ነዳጅ	0.418	0.519	0.577
petroleum	ነዳጅ ዘይት	0.583	0.451	0.640
petticoat	ጥምጥም	0.550	0.396	0.351
petting	ማቀድ	0.812	0.462	0.480
petty	ትንሽ	0.210	0.537	0.236
petulant	ፍጢር	0.247	0.685	0.491
petunia	ፔንታኒያ	0.583	0.260	0.356
pew	እግር	0.449	0.235	0.664
pewter	ቆዳ	0.396	0.260	0.321
peyote	NO TRANSLATION	0.406	0.462	0.426
phalanx	ነሐስ	0.398	0.398	0.455
phantom	እፉኝት	0.260	0.759	0.448
pharaoh	ፈርኦን	0.656	0.491	0.798
pharmaceutical	መድሃኒት	0.500	0.435	0.562
pharmacist	ፋርማሲስት	0.592	0.382	0.648
pharmacology	ፋርማኮሎጂ	0.560	0.440	0.526
pharmacy	ፋርማሲ	0.531	0.337	0.542
phase	ደረጃ	0.645	0.300	0.482
pheasant	ወቀሳ	0.541	0.362	0.292
phenomenal	አስገራሚ	0.915	0.750	0.918
phenomenon	ክስተት	0.625	0.721	0.848
pheromone	pheromone	0.561	0.573	0.561
phew	እፉኝ	0.531	0.429	0.302
phi	phi	0.420	0.361	0.452
philanthropic	በጎ አድራጎት	0.812	0.426	0.717
philanthropist	በጎ አድራጊው	0.704	0.463	0.623
philanthropy	በጎ አድራጎት	0.745	0.412	0.801
philistine	ፊሊስቲን	0.390	0.500	0.491
philosopher	ፈላስፋ	0.684	0.316	0.720
philosophic	ፍልስፍና	0.688	0.270	0.655
philosophical	ፍልስፍናዊ	0.719	0.275	0.713
philosophy	ፍልስፍና	0.684	0.255	0.640
phlegm	ፊንጢጣ	0.173	0.394	0.240
pho	ፎ	0.541	0.370	0.384
phobia	ፉፍራ	0.173	0.904	0.291
phoenix	ፎኒክስ	0.653	0.481	0.594
phone	ስልክ	0.729	0.344	0.418
phonetic	ፎኔቲክ	0.542	0.435	0.536
phonetics	ፎኔቲክስ	0.646	0.425	0.519
phonics	ፎኒክስ	0.490	0.519	0.455
phonograph	የሸክላ ማጫወቻ	0.561	0.398	0.565
phonology	ፎኔዮሎጂ	0.695	0.402	0.512
phony	ሐሰተኛ	0.115	0.592	0.202
phooey	phooey	0.333	0.490	0.352
phosphate	ፎስፌት	0.500	0.306	0.407
phosphor	ፎስፎር	0.438	0.480	0.427
phosphorus	ፎስፈረስ	0.429	0.539	0.370
photo	ፎቶግራፍ	0.729	0.327	0.431
photogenic	ፎቶ ማንነገር	0.780	0.500	0.495
photograph	ፎቶግራፍ	0.677	0.353	0.358
photographer	ፎቶ አንሺ	0.714	0.481	0.562
photographic	ፎቶግራፍ	0.761	0.429	0.564
photography	ፎቶግራፍ	0.630	0.431	0.360
photometry	ፎቶሜትሪ	0.417	0.456	0.436
photon	ፎቶቶን	0.459	0.439	0.455
phrase	ሐረግ	0.630	0.264	0.314
phraseology	ሐረጎ	0.620	0.406	0.537
phylogeny	ዝርያ	0.378	0.410	0.481
physical	አካላዊ	0.750	0.520	0.607
physical therapist	ፊዚክ ቴራፒስት	0.531	0.337	0.775
physician	ሐኪም	0.583	0.490	0.843
physicist	የፊዚክስ ባለሙያ	0.635	0.538	0.693
physics	ፊዚክስ	0.582	0.415	0.664
physiological	ፊዚዮሎጂ	0.510	0.418	0.620
physiology	ፊዚዮሎጂ	0.521	0.451	0.519
physique	ፊዚካል	0.643	0.500	0.543
pi	ፒ	0.469	0.265	0.400
pianist	ፒያኒስት	0.806	0.491	0.573
piano	ፒያኖ	0.704	0.343	0.438
piazza	ፒያዛ	0.625	0.471	0.472
piccolo	NO TRANSLATION	0.625	0.423	0.380
pick	መረጠ	0.500	0.464	0.525
picked	የተመረጠ	0.740	0.518	0.670
picker	መራጭ	0.534	0.340	0.609
picket	መረጣ	0.365	0.615	0.451
picketing	ማካተት	0.330	0.557	0.471
pickle	ተኩላ	0.593	0.449	0.288
pickled	ተመርቷል	0.344	0.450	0.291
pickpocket	pickpocket	0.365	0.704	0.449
pickup	ማንሳት	0.561	0.529	0.420
picky	ቸርቻ	0.257	0.729	0.598
picnic	ሽርሽር	0.625	0.470	0.375
pictorial	ምስላዊ	0.704	0.481	0.476
picture	ፎቶ	0.714	0.308	0.462
pictures	ምስሎች	0.653	0.240	0.405
picturesque	የሚያምር	0.802	0.491	0.483
pie	ዱቄት	0.880	0.402	0.368
piece	እቃ	0.646	0.245	0.367
piecemeal	በተቃራኒው	0.615	0.269	0.319
pieceofshit	pieceofshit	0.083	0.724	0.292
pied	እግር	0.594	0.433	0.350
pier	በር	0.583	0.279	0.445
pierce	ጣለ	0.365	0.670	0.611
piety	እምነት	0.760	0.340	0.482
pig	አሳማ	0.343	0.368	0.324
pigeon	እርግብ	0.688	0.224	0.276
piggy	piggy	0.541	0.365	0.412
piggyback	ቀንድ አውጣ	0.438	0.490	0.343
pigheaded	አጮል	0.271	0.472	0.358
piglet	የአሳማ	0.540	0.443	0.250
pigment	ቀለም	0.390	0.333	0.339
pigskin	የአሳማ ሥጋ	0.347	0.449	0.300
pigsty	አሳማማ	0.133	0.529	0.221
pike	pike	0.427	0.410	0.452
pile	ክምር	0.461	0.320	0.539
piles	ጥሶች	0.469	0.423	0.468
pileup	ፓኬጁድ	0.340	0.559	0.446
pilgrim	ፒልግሪም	0.531	0.404	0.569
pilgrimage	ሐጅ	0.708	0.522	0.625
pill	ክኒን	0.573	0.407	0.368
pillage	ዘረፋ	0.240	0.685	0.375
pillar	አምድ	0.583	0.330	0.684
pillbox	ፒልቦር	0.385	0.339	0.296
pillow	ትራስ	0.663	0.128	0.195
pillowcase	ትራስ	0.500	0.179	0.250
pilot	አብራሪ	0.688	0.680	0.736
pimp	ጫፍ	0.146	0.700	0.536
pimple	ነጠብጣብ	0.245	0.370	0.274
pin	ፒን	0.438	0.346	0.390
pinball	ፒፑል	0.582	0.640	0.442
pinch	ቆንጥጦ	0.340	0.632	0.339
pinching	ማጠፍ	0.250	0.788	0.345
pine	pine	0.583	0.225	0.312
pineapple	አናናስ	0.677	0.316	0.245
ping	ፒንግ	0.541	0.490	0.391
pinhead	ቁመት	0.459	0.300	0.308
pinhole	ጎን	0.375	0.279	0.345
pinion	ላባ	0.444	0.361	0.346
pink	ሮዝ	0.806	0.269	0.471
pinkie	pinkie	0.663	0.265	0.269
pinnacle	ጭንቅላት	0.633	0.390	0.508
pinot	ምልክት	0.365	0.370	0.361
pinpoint	ትክክለኛ ነጥብ	0.583	0.443	0.528
pint	አረንጓዴ	0.686	0.333	0.321
pinto	ፒን	0.570	0.354	0.373
pinup	አጣብቅ	0.610	0.459	0.393
pioneer	አቅኚ	0.796	0.618	0.802
pious	ጥንቁቅ	0.698	0.306	0.426
pip	ፒ	0.448	0.430	0.366
pipe	ቱቦ	0.541	0.340	0.330
piped	ቧንቧ	0.360	0.529	0.379
pipeline	ፖልስ	0.479	0.337	0.411
piper	ፒፔር	0.569	0.442	0.398
pipette	ፒፕት	0.480	0.403	0.418
piping	የቧንቧ መስመር	0.365	0.337	0.405
pipsqueak	pipsqueak	0.347	0.481	0.349
pique	pique	0.417	0.500	0.426
piracy	ሽግግር	0.296	0.792	0.567
piranha	ፒራሃ	0.219	0.799	0.575
pirate	የባህር ወንበዴ	0.156	0.740	0.559
piscina	NO TRANSLATION	0.714	0.500	0.443
piss	ወ.ዘ.ተ.	0.354	0.462	0.268
pissed	የተዛባ	0.102	0.888	0.543
pissedoff	መናደድ	0.240	0.651	0.459
pisser	NO TRANSLATION	0.378	0.547	0.398
pissesmeoff	pissesmeoff	0.180	0.587	0.441
pissingmeoff	pissingmeoff	0.208	0.622	0.423
pissoff	መሽናት	0.255	0.617	0.400
pistachio	ፒስቲካዮ	0.643	0.336	0.305
pistol	ሽጉጥ	0.170	0.900	0.677
piston	ፒስቲን	0.398	0.480	0.500
pit	ጉድጓድ	0.408	0.396	0.278
pita	ፒታ	0.551	0.279	0.255
pitch	ግጥም	0.521	0.431	0.465
pitcher	ፒቸር	0.510	0.673	0.704
pitchfork	መንሸራተቻ	0.312	0.580	0.529
pitfall	ጉድጓድ	0.177	0.775	0.508
pith	ጥንድ	0.458	0.350	0.596
pithy	pithy	0.480	0.360	0.635
pitiful	አሳዛኝ	0.219	0.490	0.232
