Word	Pashto-ps	Valence	Arousal	Dominance
newyear	NO TRANSLATION	0.938	0.784	0.520
nexus	نکسس	0.496	0.368	0.412
nib	ناب	0.510	0.282	0.406
nibble	نوبل	0.551	0.551	0.411
nice	غوره	0.930	0.442	0.650
niche	ځای	0.459	0.413	0.318
nichts	NO TRANSLATION	0.406	0.293	0.404
nick	نښه	0.554	0.388	0.387
nickel	نکل	0.510	0.347	0.406
nickname	نښې نوم	0.490	0.470	0.263
nicotine	نیکوتین	0.235	0.608	0.447
niece	بتان	0.771	0.320	0.400
nifty	نفتی	0.740	0.745	0.815
nigger	نګرګر	0.240	0.347	0.398
nigh	نژدې	0.653	0.216	0.336
night	شپه	0.598	0.396	0.404
nightcap	شبکه	0.750	0.196	0.268
nightclub	نائٹ کلب	0.802	0.894	0.528
nightfall	شپه	0.490	0.436	0.426
nightgown	شپې	0.643	0.408	0.250
nightie	شپې	0.630	0.388	0.274
nightingale	شپې	0.740	0.340	0.496
nightlife	د شپې ژوند	0.542	0.783	0.510
nightly	شپه	0.673	0.410	0.474
nightmare	ناڅاپه	0.005	0.810	0.436
nightmares	شپې	0.082	0.942	0.448
nightstand	شپې	0.490	0.130	0.327
nightstick	نخښه	0.500	0.461	0.348
nighttime	د شپې وخت	0.735	0.385	0.439
nihilism	نخلیزم	0.367	0.510	0.364
nil	نیل	0.286	0.143	0.157
nimble	نیمګړی	0.833	0.729	0.769
nimrod	نیمروز	0.327	0.500	0.539
nincompoop	نانپپپ	0.365	0.431	0.368
nine	نهه	0.552	0.255	0.327
nineteen	نولس	0.673	0.304	0.375
ninety	نوي	0.479	0.349	0.436
ninja	ننجا	0.542	0.844	0.682
ninny	نینی	0.344	0.343	0.309
nintendo	نینټینډ	0.802	0.571	0.464
ninth	نهم	0.490	0.212	0.396
nip	نپ	0.281	0.700	0.264
nipper	نپپر	0.386	0.422	0.317
nipple	نپل	0.480	0.786	0.415
nippy	نپۍ	0.540	0.500	0.416
nitrate	نايټريټ	0.388	0.406	0.500
nitro	نايترو	0.500	0.647	0.639
nitrogen	نايټروجن	0.427	0.435	0.562
nitrous	نایټس	0.435	0.561	0.411
nitwit	نیتوټ	0.146	0.606	0.139
nix	nix	0.330	0.380	0.404
no anticipation	هیڅ تمه نشته	0.396	0.480	0.341
no disgust	هیڅ ناڅاپي	0.510	0.324	0.448
no emotion	هیڅ احساس	0.170	0.109	0.225
no sentiment	هیڅ جذب نشته	0.092	0.382	0.278
no surprise	هیڅ حیرانتیا نشته	0.171	0.224	0.412
no trust	باور نشته	0.055	0.445	0.257
nobility	نیکمرغي	0.844	0.347	0.736
noble	ښه	0.906	0.345	0.610
nobleman	ښایسته	0.675	0.286	0.709
nobodycares	NO TRANSLATION	0.365	0.410	0.354
nocomplaints	NO TRANSLATION	0.677	0.164	0.491
nocturnal	نشتر	0.540	0.500	0.462
nod	نوډ	0.590	0.367	0.427
nodding	سرغړونه	0.694	0.294	0.426
node	نوډ	0.396	0.343	0.361
nodular	نډولر	0.438	0.351	0.411
nodule	نوډول	0.312	0.426	0.349
noggin	ناګین	0.510	0.433	0.382
nohope	NO TRANSLATION	0.200	0.441	0.385
noir	نور	0.375	0.394	0.365
noise	غږ	0.260	0.883	0.388
noisy	شور	0.271	0.812	0.561
nomad	کوچي	0.375	0.413	0.433
nomadic	کوډادیک	0.427	0.519	0.422
nomenclature	نامناسب	0.500	0.222	0.575
nominal	نامتو	0.594	0.250	0.463
nominate	نومول	0.615	0.471	0.669
nomination	نومونې	0.663	0.637	0.696
nominee	نوماندي	0.662	0.625	0.765
nonce	ندی	0.422	0.370	0.377
nonchalant	ناچالین	0.312	0.314	0.366
noncompliance	ناباوره کول	0.112	0.598	0.259
nondescript	نډیسسکیټ	0.490	0.434	0.348
nonexistent	نه	0.208	0.429	0.149
nonfat	نابات	0.604	0.260	0.340
nonfiction	نه	0.426	0.315	0.431
nonpayment	نادولتي پیسې	0.229	0.510	0.298
nonresident	ناڅرګند	0.250	0.340	0.302
nonsense	بیداری	0.214	0.531	0.155
nonsensical	بېنوایي	0.173	0.268	0.193
nonviolent	عدم تشدد	0.640	0.287	0.346
noob	نابلده	0.417	0.430	0.267
noodle	نوډل	0.633	0.216	0.225
nook	نوک	0.480	0.321	0.296
noon	دوکان	0.531	0.343	0.518
noose	غږ	0.356	0.300	0.330
nopoint	NO TRANSLATION	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	نورمال	0.500	0.245	0.527
normal	عادي	0.740	0.127	0.380
normalcy	معمولا	0.805	0.151	0.620
normality	نورمالیت	0.781	0.089	0.444
north	شمال	0.531	0.255	0.450
northbound	شمال شمال	0.604	0.454	0.491
northeast	شمال ختیځ	0.562	0.260	0.375
northern	شمالي	0.570	0.340	0.472
northwest	شمال لویدیځ	0.604	0.345	0.451
northwestern	شمال لویدیځ	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	پوزه	0.582	0.270	0.245
nosebleed	نزول شوی	0.153	0.776	0.361
nosey	ناڅاپي	0.276	0.655	0.223
nosnow	نرس	0.392	0.394	0.366
nostalgia	نوستالیا	0.417	0.337	0.339
nostalgic	نزوليالیک	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	ناست	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	ناڅاپي	0.292	0.558	0.433
not negative	منفی نه	0.622	0.270	0.444
not positive	مثبت نه دی	0.051	0.370	0.236
notable	د پام وړ	0.760	0.450	0.696
notables	نښې	0.594	0.608	0.755
notably	په ځانګړې توګه	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	یادښت	0.541	0.451	0.676
notation	خبرتیا	0.635	0.380	0.558
notch	غږ	0.459	0.361	0.358
notched	واړول	0.480	0.530	0.356
note	یادښت	0.594	0.163	0.416
notebook	نوټ بوک	0.449	0.167	0.442
noted	يادونه وشوه	0.615	0.382	0.464
noteworthy	د پام وړ	0.704	0.481	0.759
nothappy	NO TRANSLATION	0.112	0.320	0.170
nothingbetter	NO TRANSLATION	0.635	0.390	0.543
nothingness	ننه	0.204	0.080	0.161
notice	خبرتیا	0.646	0.408	0.491
noticeable	د پام وړ	0.890	0.562	0.750
notification	خبرتیا	0.604	0.461	0.671
notify	خبرداری ورکړئ	0.643	0.471	0.573
notion	احساس	0.612	0.284	0.667
notional	نوري	0.520	0.288	0.500
notoriety	بدبختۍ	0.552	0.633	0.769
notorious	بدنام	0.366	0.582	0.609
notready	نه	0.133	0.400	0.196
notwithstanding	سره له دې	0.367	0.316	0.433
nought	نه	0.312	0.098	0.116
noun	اسم	0.531	0.230	0.477
nourish	خواړه	0.878	0.460	0.639
nourishment	خواړه	0.786	0.290	0.631
nouveau	NO TRANSLATION	0.633	0.438	0.432
novel	ناول	0.702	0.352	0.439
novelist	ناولپوه	0.340	0.343	0.529
novelty	نوښت	0.673	0.521	0.740
novice	نويوس	0.429	0.346	0.180
nowadays	نن ورځ	0.680	0.346	0.400
nowork	کار نشته	0.312	0.264	0.309
noworries	غم مه کوه	0.630	0.402	0.500
noxious	زړورتیا	0.177	0.585	0.379
nozzle	نګۍ	0.438	0.330	0.287
nuance	نوبت	0.408	0.282	0.411
nuances	ناباوره	0.490	0.375	0.527
nuclear	اټومي	0.219	0.856	0.781
nucleus	نیوکلیوس	0.529	0.296	0.667
nude	غږیږي	0.490	0.915	0.200
nudge	غوړ	0.448	0.500	0.509
nudie	نوډی	0.500	0.529	0.373
nudist	نیو یستیک	0.440	0.796	0.483
nudity	د	0.438	0.853	0.415
nugget	نګټ	0.602	0.340	0.348
nuisance	ناڅاپه	0.198	0.817	0.227
nuke	نایک	0.125	0.905	0.873
nul	NO TRANSLATION	0.337	0.358	0.264
null	نال	0.253	0.147	0.152
nullify	باطل کړئ	0.255	0.373	0.395
numb	مغز	0.108	0.420	0.352
number	شمېره	0.406	0.231	0.471
numbering	شمېره	0.510	0.363	0.482
numbers	شمېره	0.406	0.241	0.440
numbness	ناڅاپه	0.306	0.398	0.265
numbskull	numbskull	0.300	0.472	0.284
numeral	شمېره	0.582	0.254	0.382
numerator	شمېرې	0.490	0.317	0.526
numerical	شمېره	0.479	0.322	0.517
numerically	په شمول	0.510	0.337	0.500
numerous	ډیری	0.622	0.462	0.609
nun	NO TRANSLATION	0.500	0.150	0.406
nunchucks	nunchucks	0.337	0.580	0.526
nunnery	غذايي توکي	0.653	0.236	0.473
nuptials	ناپیلیزونه	0.771	0.588	0.571
nurse	نرس	0.635	0.578	0.521
nursemaid	نرسیم شوی	0.615	0.431	0.436
nursery	نرسری	0.894	0.406	0.389
nursing	نرسنگ	0.552	0.549	0.653
nurture	تغذیه کول	0.745	0.378	0.657
nut	نټ	0.365	0.310	0.250
nutcase	غذايي	0.286	0.775	0.259
nutcracker	نیکچریکر	0.635	0.378	0.522
nuthouse	نیتھ کور	0.347	0.519	0.434
nutmeg	نوټیم	0.635	0.302	0.350
nutrition	تغذیه	0.885	0.420	0.579
nutritional	تغذیه	0.812	0.406	0.676
nutritious	غذايي	0.833	0.337	0.655
nutritive	غذایی توکی	0.875	0.422	0.667
nuts	مغز	0.594	0.250	0.291
nutshell	لنډیز	0.458	0.407	0.310
nutty	مغز	0.444	0.317	0.271
nylon	نایلان	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	نيلون	0.556	0.379	0.320
nymph	نسیم	0.542	0.529	0.472
nymphomaniac	نايمومومنيک	0.398	0.894	0.536
oaf	oaf	0.344	0.357	0.330
oak	اوک	0.583	0.245	0.536
oar	oar	0.469	0.392	0.316
oasis	اواز	0.796	0.283	0.429
oat	خواړه	0.622	0.170	0.298
oath	حلف	0.543	0.615	0.824
oatmeal	خواټ	0.592	0.192	0.241
obedience	اطاعت	0.765	0.287	0.536
obedient	اطاعت کوونکی	0.800	0.179	0.518
obediently	اطاعت کوونکی	0.802	0.304	0.577
obelisk	اوبلس	0.604	0.408	0.596
obese	موجوديت	0.133	0.427	0.250
obesity	موټری	0.215	0.370	0.328
obey	اطاعت وکړئ	0.677	0.433	0.533
obi	هو	0.469	0.442	0.414
obit	د	0.410	0.464	0.393
obituary	هټۍ	0.188	0.330	0.423
object	څیز	0.531	0.356	0.375
objection	اعتراض	0.347	0.592	0.709
objectionable	اعتراض شوی	0.459	0.382	0.558
objective	موخه	0.724	0.337	0.736
objectivity	اعتراض	0.765	0.431	0.711
obligation	ژمنې	0.222	0.596	0.718
obligatory	مکلف دی	0.337	0.571	0.780
oblige	منل	0.281	0.770	0.614
obliged	منل شوې	0.327	0.680	0.411
obliging	منل	0.740	0.402	0.545
obligor	مسؤل	0.302	0.600	0.360
oblique	د	0.438	0.347	0.455
obliterate	له منځه ځي	0.250	0.539	0.569
obliterated	لغوه شوی	0.240	0.469	0.344
obliteration	لغوه کول	0.177	0.622	0.397
oblivion	ژوندی	0.153	0.330	0.282
oblivious	بښنه	0.229	0.388	0.355
oblong	لنډمهاله	0.561	0.455	0.370
obnoxious	ناخبره	0.088	0.602	0.256
oboe	اوبو	0.510	0.340	0.392
obscene	غصب	0.050	0.745	0.348
obscenity	غصب	0.083	0.843	0.418
obscure	ناڅاپه	0.370	0.551	0.278
obscured	منع شوی	0.115	0.356	0.298
obscurity	ناڅاپه	0.208	0.392	0.380
observance	څارنه	0.531	0.315	0.632
observant	څارونکی	0.740	0.422	0.708
observation	څارنه	0.633	0.433	0.667
observatory	څارونکی	0.643	0.324	0.731
observe	وګورئ	0.771	0.390	0.360
observer	څارونکی	0.663	0.363	0.603
observing	څارنه	0.583	0.400	0.685
obsess	خواږه	0.112	0.846	0.509
obsessed	مینځل شوی	0.219	0.840	0.439
obsessing	مننه	0.173	0.773	0.698
obsession	تاوان	0.229	0.847	0.571
obsessive	ناڅاپي	0.219	0.823	0.480
obsolescence	ناڅاپه	0.250	0.431	0.377
obsolete	ناڅاپه	0.337	0.321	0.250
obstacle	خنډ	0.204	0.708	0.336
obstetrician	نسخه	0.521	0.636	0.604
obstetrics	خنډونه	0.530	0.582	0.564
obstinate	خنډ	0.146	0.696	0.562
obstruct	خنډ	0.115	0.660	0.458
obstruction	خنډ	0.125	0.742	0.491
obstructive	خنډونه	0.204	0.650	0.613
obtain	ترلاسه کول	0.760	0.438	0.731
obtainable	ترلاسه کول	0.677	0.327	0.702
obtuse	obtuse	0.281	0.460	0.345
obverse	بېړنۍ	0.470	0.394	0.464
obvious	واضح	0.625	0.336	0.585
ocarina	ocarina	0.541	0.392	0.366
occasion	فرصت	0.700	0.451	0.398
occasional	ځینې ​​وختونه	0.490	0.298	0.387
occasionally	ځینې ​​وختونه	0.538	0.240	0.264
occipital	پیوستون	0.398	0.408	0.518
occlusion	پیوستون	0.306	0.439	0.442
occult	سپکاوی	0.292	0.382	0.406
occupancy	اشغال	0.625	0.471	0.721
occupant	اشغال	0.500	0.417	0.483
occupation	نیواک	0.562	0.470	0.692
occupational	مسلکی	0.583	0.469	0.596
occupied	اشغال شوی	0.337	0.546	0.441
occupier	اشغالګر	0.427	0.438	0.600
occupy	نیولی	0.396	0.520	0.589
occupying	اشغال	0.573	0.462	0.519
occur	واقع کېږي	0.451	0.561	0.510
occurrence	پېښې	0.573	0.690	0.541
ocd	ocd	0.333	0.472	0.370
ocean	سمندر	0.823	0.308	0.642
oceanic	سمندر	0.740	0.317	0.632
octagon	انځور	0.602	0.349	0.462
octave	سمه	0.438	0.380	0.482
octopus	اکتوپس	0.713	0.378	0.411
ocular	ocular	0.418	0.370	0.400
odd	ناڅاپه	0.265	0.337	0.302
oddball	بېډبال	0.316	0.360	0.357
oddity	ناڅاپي	0.312	0.557	0.386
odds	ستونزې	0.500	0.472	0.680
ode	ode	0.604	0.269	0.519
odious	خیر	0.235	0.708	0.235
odometer	odometer	0.367	0.470	0.388
odor	بوی	0.337	0.363	0.404
odyssey	خندا	0.622	0.692	0.710
oedipal	oedipal	0.312	0.575	0.509
oestrogen	اېسټروجن	0.521	0.608	0.561
oeuvre	NO TRANSLATION	0.653	0.484	0.598
offal	کښته	0.302	0.470	0.302
offence	جرم	0.312	0.798	0.446
offend	تیریدل	0.094	0.804	0.333
offended	بد	0.188	0.690	0.337
offender	مجرم	0.104	0.851	0.537
offense	جرم	0.230	0.765	0.510
offensive	سرغړونه	0.135	0.882	0.600
offer	وړاندیز	0.750	0.745	0.596
offered	وړاندیز شوی	0.582	0.490	0.544
offering	وړاندیز	0.688	0.462	0.585
offhand	بنده شوه	0.388	0.500	0.368
office	دفتر	0.427	0.302	0.509
officer	افسر	0.542	0.430	0.877
offices	دفترونه	0.469	0.312	0.534
official	رسمي	0.646	0.565	0.833
officiate	عادي	0.688	0.453	0.704
offing	بندول	0.490	0.412	0.447
offload	بندیز	0.479	0.444	0.525
offset	افشاء	0.719	0.394	0.704
offshoot	ټوټه	0.517	0.330	0.361
offshore	سمندر	0.417	0.484	0.441
offside	مخکی	0.323	0.519	0.443
offspring	اولادونه	0.656	0.435	0.600
oft	د	0.500	0.308	0.474
oftentimes	ځینې ​​وختونه	0.571	0.500	0.482
ogre	د	0.135	0.698	0.510
ohdear	NO TRANSLATION	0.458	0.519	0.442
ohgod	NO TRANSLATION	0.500	0.557	0.439
ohno	ohno	0.396	0.475	0.380
ohshit	NO TRANSLATION	0.230	0.594	0.343
oil	غوړ	0.521	0.278	0.306
oils	غوړي	0.459	0.229	0.391
oily	تیل	0.276	0.533	0.385
oink	oink	0.500	0.450	0.289
ointment	غوږونه	0.438	0.271	0.398
okra	okra	0.469	0.400	0.362
old	زاړه	0.410	0.279	0.315
olden	زاړه	0.284	0.213	0.425
older	زوړ	0.385	0.255	0.317
oldie	زاړه	0.363	0.363	0.342
oldies	زاړه	0.438	0.300	0.412
olfactory	زېرمه	0.602	0.409	0.452
oligarchy	oligarchy	0.327	0.567	0.741
olive	زیتون	0.571	0.231	0.406
omega	اومیګا	0.529	0.337	0.526
omelet	omelet	0.708	0.323	0.315
omen	omen	0.390	0.657	0.583
omgomgomg	NO TRANSLATION	0.490	0.551	0.358
ominous	بې وسه	0.255	0.730	0.510
omission	پریښودل	0.367	0.333	0.275
omit	پرېښودل	0.330	0.265	0.451
omitted	پریښودل	0.260	0.235	0.211
omnibus	امونبس	0.490	0.410	0.473
omnipotence	پرانیستی	0.667	0.793	0.866
omnipotent	پرسونل	0.719	0.679	0.919
omnipresent	په بشپړ ډول	0.688	0.452	0.825
omniscient	عموما	0.656	0.334	0.778
onboard	په تخته باندې	0.612	0.451	0.491
oncologist	اکسيولوژي	0.260	0.654	0.640
oncology	انکولوژي	0.204	0.424	0.500
oncoming	راتلونکی	0.594	0.625	0.773
one	یو	0.542	0.292	0.370
oneday	NO TRANSLATION	0.667	0.245	0.374
onedge	پر څنډه	0.479	0.552	0.400
onelove	یوه مینه	0.816	0.577	0.541
oneness	مطلق	0.745	0.272	0.720
onerous	زورور	0.500	0.480	0.462
oneself	پخپله	0.660	0.337	0.483
ongoing	روانې دي	0.674	0.484	0.556
onion	پیاز	0.378	0.367	0.382
onset	پیل	0.673	0.497	0.500
onslaught	ناڅاپه	0.198	0.939	0.717
onstage	په سټېج باندې	0.719	0.673	0.583
ontology	انټولوژی	0.510	0.450	0.518
onus	د	0.562	0.520	0.769
onward	مخکی	0.667	0.538	0.741
onyx	اونۍ	0.571	0.461	0.380
oodles	اډالونه	0.490	0.374	0.446
oomph	غوږ	0.449	0.613	0.315
ooze	اوز کړئ	0.344	0.577	0.333
oozing	بندول	0.238	0.515	0.427
op	اخت	0.480	0.402	0.349
opacity	ناڅاپه	0.471	0.251	0.256
opal	اپل	0.623	0.479	0.379
opaque	اپایک	0.344	0.265	0.342
ope	ope	0.375	0.380	0.395
open	پرانيستل	0.620	0.480	0.569
opener	پرانیستې	0.584	0.526	0.377
opening	پرانستل	0.667	0.510	0.620
openly	په ښکاره توګه	0.603	0.388	0.553
openness	پرانيستی	0.837	0.561	0.667
opera	اوپرا	0.714	0.500	0.483
operate	کار کوي	0.582	0.690	0.691
operatic	عملیاتي	0.375	0.452	0.627
operation	عملیات	0.475	0.611	0.755
operational	عملیاتي	0.562	0.570	0.679
operations	عملیات	0.480	0.549	0.798
operative	عملیات	0.541	0.635	0.718
operator	چلونکی	0.612	0.630	0.726
ophthalmic	نفته	0.427	0.385	0.444
ophthalmologist	د هووتوالوژیست	0.552	0.389	0.491
opiate	خوځښت	0.281	0.594	0.598
opinion	نظر	0.594	0.482	0.638
opinionated	نظر	0.156	0.800	0.491
opium	کوکنار	0.276	0.490	0.333
opponent	مخالف	0.080	0.741	0.716
opportune	موقعیت	0.796	0.538	0.767
opportunism	موقتيزم	0.571	0.752	0.673
opportunity	فرصت	0.938	0.745	0.833
oppose	مخالفت وکړئ	0.431	0.800	0.473
opposed	مخالف و	0.092	0.460	0.606
opposing	مخالف	0.188	0.660	0.518
opposite	برعکس	0.235	0.545	0.408
opposites	مخالفین	0.281	0.518	0.462
opposition	مخالفین	0.135	0.729	0.592
oppress	ظلم	0.186	0.654	0.555
oppressed	مظلوم	0.119	0.640	0.259
oppression	ظلم	0.080	0.673	0.615
oppressive	ظالمانه	0.276	0.590	0.667
oppressor	ظالمانه	0.160	0.776	0.629
ops	خوځښتونه	0.417	0.550	0.528
opt	غوره کول	0.510	0.471	0.345
optic	عکاسی	0.663	0.384	0.594
optical	نظریه	0.677	0.311	0.542
optics	عکاسی	0.562	0.286	0.580
optimism	خوشبینه	0.949	0.565	0.814
optimist	خوشبینه	0.875	0.539	0.787
optimistic	خوشبینه	0.979	0.580	0.821
optimum	غوره	0.892	0.469	0.808
option	اختیار	0.512	0.427	0.359
optional	اختیاري	0.755	0.350	0.440
optionally	په اختیار کې	0.365	0.405	0.481
options	انتخابونه	0.622	0.327	0.473
optometrist	اپټومیټیسټ	0.446	0.455	0.668
opulence	اپوزیسیون	0.620	0.615	0.648
opulent	ښکاره	0.562	0.660	0.660
opus	خلاصون	0.458	0.368	0.391
oracle	کڅوړی	0.552	0.531	0.670
oral	زبانی	0.530	0.448	0.375
orange	نارنج	0.646	0.132	0.296
orange juice	د مالټي اوبه	0.719	0.343	0.445
orangutan	اورنګوتان	0.430	0.560	0.471
oration	خوځښت	0.646	0.315	0.683
orator	سرپرست	0.667	0.375	0.682
oratory	تجهیزات	0.602	0.472	0.693
orb	اوب	0.463	0.370	0.444
orbit	مدار	0.561	0.422	0.575
orbital	میړنی	0.458	0.451	0.559
orbiting	ګړندۍ	0.520	0.643	0.554
orbs	یاسونه	0.469	0.355	0.482
orc	orc	0.240	0.510	0.388
orchard	باغونه	0.760	0.269	0.333
orchestra	آرکسټرا	0.708	0.500	0.664
orchid	باغی	0.840	0.345	0.382
ordained	ټاکل شوی	0.735	0.409	0.731
ordeal	اډالال	0.344	0.539	0.529
order	امر	0.780	0.295	0.814
orderly	په ترتیب سره	0.844	0.240	0.661
ordinance	قانون	0.615	0.452	0.776
ordinary	عادي	0.375	0.312	0.286
ordination	تسلط	0.688	0.490	0.765
ordnance	مهمات	0.354	0.825	0.679
ore	ایسک	0.500	0.333	0.356
oregano	اوګانو	0.596	0.327	0.250
organ	سازمان	0.510	0.469	0.538
organic	عضوي	0.719	0.343	0.535
organism	ژوندیزم	0.457	0.559	0.800
organist	سازمانګر	0.740	0.469	0.669
organization	سازمان	0.810	0.535	0.851
organize	تنظیمول	0.802	0.655	0.781
organized	منظم شوی	0.816	0.337	0.746
organizer	تنظیم کوونکی	0.604	0.577	0.846
orgasm	orgasm	0.844	0.863	0.676
orgies	سازمانونه	0.388	0.953	0.433
orgy	ناڅاپي	0.346	0.962	0.536
orient	خوځښت	0.667	0.422	0.667
oriental	سیمه ایز	0.592	0.409	0.598
orientation	خوځښت	0.667	0.454	0.686
orifice	اویا	0.448	0.355	0.443
origami	اورګي	0.684	0.276	0.294
origin	اصلي	0.729	0.435	0.591
original	اصلي	0.765	0.480	0.746
originality	اصلیت	0.898	0.500	0.824
originate	پیل کړئ	0.702	0.500	0.866
origination	نقشه	0.760	0.443	0.604
originator	ابتکار	0.592	0.510	0.868
ornament	جامې	0.561	0.373	0.441
ornamental	زیږون	0.663	0.392	0.460
ornamentation	جامې	0.663	0.471	0.472
ornamented	زیږون شوی	0.677	0.350	0.490
ornate	نقشه	0.812	0.356	0.500
ornery	غوښه	0.361	0.520	0.509
orphan	يتيم	0.133	0.388	0.140
orphanage	يتيم	0.184	0.439	0.425
orphaned	يتيم شوي	0.062	0.430	0.228
orthodontist	اډوډونټسټسټ	0.469	0.615	0.564
orthodox	اندیډکس	0.388	0.471	0.647
orthodoxy	اندیدوکسیا	0.271	0.388	0.612
orthogonal	ارګان	0.500	0.314	0.540
orthopedic	ارتوپیدیک	0.406	0.346	0.473
oscillate	تیریدو	0.449	0.580	0.397
oscillating	تکرار کول	0.469	0.548	0.402
oscillation	دوتنه	0.562	0.433	0.431
oscillatory	عضوي	0.375	0.520	0.480
ostensible	ناڅاپه	0.542	0.549	0.585
ostensibly	په زړه پورې	0.473	0.529	0.509
ostentatious	سترګو	0.479	0.794	0.648
ostracized	تکرار شوی	0.115	0.690	0.377
ostrich	غوښتي	0.592	0.382	0.241
other	نور	0.472	0.230	0.259
otter	otter	0.439	0.216	0.339
otto	otto	0.427	0.425	0.404
ottoman	عثمان	0.531	0.337	0.444
ought	بايد	0.438	0.511	0.434
ounce	اچون	0.531	0.255	0.288
oust	بهر	0.296	0.716	0.444
outage	بندیز	0.306	0.684	0.438
outback	شاته	0.500	0.324	0.430
outbid	وتړل شو	0.594	0.622	0.540
outboard	بهر	0.448	0.491	0.456
outbreak	وینه	0.260	0.632	0.472
outburst	غلا	0.209	0.802	0.528
outcast	جلا کړئ	0.153	0.449	0.353
outcome	پایله	0.615	0.472	0.685
outcry	ژغورل	0.271	0.773	0.718
outdated	تېر شوي	0.167	0.236	0.226
outdo	بهر	0.771	0.750	0.873
outdoor	بهر	0.814	0.256	0.447
outdoors	بهر	0.781	0.444	0.453
outer	بهر	0.552	0.471	0.456
outfit	تنظیم	0.760	0.490	0.566
outgoing	بهر	0.650	0.472	0.538
outgrow	زوړ	0.510	0.529	0.722
outgrowth	نوبتی	0.771	0.620	0.688
outhouse	outhouse	0.281	0.519	0.255
outing	ځړول	0.771	0.672	0.634
outlandish	بهرنی	0.448	0.737	0.657
outlast	بهرنی	0.620	0.786	0.685
outlaw	بلنه	0.255	0.662	0.482
outlet	شاګرد	0.610	0.396	0.245
outline	لنډیز	0.542	0.365	0.509
outlines	نقشه	0.656	0.402	0.651
outlive	ژغورل	0.565	0.769	0.724
outlook	لید	0.830	0.525	0.625
outlying	روان	0.460	0.562	0.503
outnumber	پای ته رسیږي	0.347	0.615	0.577
outpatient	بهر خارج	0.260	0.400	0.395
outpost	پوسټ	0.635	0.571	0.675
outpouring	پلورنځی	0.562	0.685	0.552
output	محصول	0.604	0.389	0.434
outrage	غوسه	0.060	0.689	0.542
outraged	ناڅاپه	0.156	0.696	0.538
outrageous	ناڅاپه	0.153	0.945	0.713
outrank	بهر	0.653	0.643	0.817
outreach	پوهاوی	0.540	0.462	0.672
outright	سمه ده	0.767	0.396	0.755
outrun	غوښتي	0.531	0.833	0.573
outset	پیل	0.750	0.500	0.582
outsider	بهر	0.398	0.549	0.447
outskirts	بهرنیان	0.474	0.519	0.312
outsmart	بهرنی	0.673	0.657	0.864
outspoken	بهر	0.582	0.413	0.667
outstanding	پاتې شوی	0.898	0.760	0.896
outstretched	خراب شوی	0.448	0.481	0.519
outward	بهر	0.449	0.439	0.365
outwards	بهر	0.440	0.472	0.400
outweigh	دباندې	0.486	0.600	0.682
outwit	ځړول	0.302	0.755	0.356
oval	خولې	0.417	0.280	0.330
ovary	غوړ	0.469	0.399	0.280
ovate	تندلاره	0.385	0.286	0.368
ovation	تاوان	0.719	0.758	0.750
oven	توره	0.583	0.425	0.606
overactive	ډېر فعال	0.667	0.885	0.592
overall	په ټولیزه توګه	0.583	0.370	0.670
overalls	د	0.500	0.392	0.373
overbearing	زړورتیا	0.323	0.833	0.861
overburden	زیات شوی	0.115	0.755	0.546
overcast	سرغړونه	0.417	0.250	0.475
overcharged	اضافه شوي	0.276	0.780	0.569
overcoat	اوټروټ	0.594	0.265	0.430
overcome	بریالی شو	0.719	0.689	0.848
overcoming	رسیدلی	0.842	0.765	0.855
overcrowded	ډیریږی	0.292	0.520	0.491
overdo	پورته کول	0.156	0.864	0.602
overdose	اضافه کړئ	0.110	0.820	0.468
overdrive	تیریدل	0.303	0.715	0.732
overdue	تکرار	0.125	0.427	0.259
overestimate	ډیریدونکی	0.367	0.796	0.444
overestimated	پورته شوې	0.344	0.646	0.527
overflow	زیاتوالی	0.398	0.792	0.500
overflowing	زیاتیږي	0.439	0.796	0.635
overgrown	پورته شوی	0.333	0.500	0.369
overgrowth	د پاسه	0.417	0.790	0.673
overhanging	مخ په زیاتیدو دی	0.698	0.755	0.812
overhaul	اضافه	0.500	0.651	0.491
overhead	سرونه	0.344	0.700	0.538
overhear	اوښتی	0.650	0.365	0.580
overheated	پاتي شوي	0.250	0.598	0.547
overjoyed	ډیر خوشحاله	0.908	0.708	0.755
overkill	ډیریدو	0.379	0.861	0.678
overlaid	برباد شوی	0.620	0.610	0.676
overlap	تکرار	0.594	0.615	0.627
overlapping	تکرار	0.595	0.578	0.684
overlay	پورته کول	0.564	0.596	0.749
overload	اضافه کول	0.381	0.690	0.652
overlook	مخکی	0.292	0.418	0.415
overlord	اوورډورډ	0.750	0.755	0.932
overlying	پرله پسې	0.500	0.519	0.691
overpaid	اضافه شوی	0.429	0.670	0.585
overpass	اوپاسپ	0.562	0.561	0.565
overplayed	تکرار شوی	0.224	0.798	0.586
