Word	Spanish-es	Valence	Arousal	Dominance
nonresident	no residente	0.250	0.340	0.302
nonsense	disparates	0.214	0.531	0.155
nonsensical	absurdo	0.173	0.268	0.193
nonviolent	no violento	0.640	0.287	0.346
noob	novato	0.417	0.430	0.267
noodle	cabeza	0.633	0.216	0.225
nook	rincón	0.480	0.321	0.296
noon	mediodía	0.531	0.343	0.518
noose	lazo	0.356	0.300	0.330
nopoint	NO TRANSLATION	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	norma	0.500	0.245	0.527
normal	normal	0.740	0.127	0.380
normalcy	normalidad	0.805	0.151	0.620
normality	normalidad	0.781	0.089	0.444
north	norte	0.531	0.255	0.450
northbound	dirección norte	0.604	0.454	0.491
northeast	Noreste	0.562	0.260	0.375
northern	del Norte	0.570	0.340	0.472
northwest	noroeste	0.604	0.345	0.451
northwestern	noroeste	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	nariz	0.582	0.270	0.245
nosebleed	hemorragia nasal	0.153	0.776	0.361
nosey	curioso	0.276	0.655	0.223
nosnow	sin nieve	0.392	0.394	0.366
nostalgia	nostalgia	0.417	0.337	0.339
nostalgic	nostálgico	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	fosa nasal	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	curioso	0.292	0.558	0.433
not negative	no negativo	0.622	0.270	0.444
not positive	no positivo	0.051	0.370	0.236
notable	Incapaz	0.760	0.450	0.696
notables	notables	0.594	0.608	0.755
notably	notablemente	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	notario	0.541	0.451	0.676
notation	notación	0.635	0.380	0.558
notch	muesca	0.459	0.361	0.358
notched	mellado	0.480	0.530	0.356
note	Nota	0.594	0.163	0.416
notebook	cuaderno	0.449	0.167	0.442
noted	célebre	0.615	0.382	0.464
noteworthy	notable	0.704	0.481	0.759
nothappy	NO TRANSLATION	0.112	0.320	0.170
nothingbetter	NO TRANSLATION	0.635	0.390	0.543
nothingness	nada	0.204	0.080	0.161
notice	darse cuenta	0.646	0.408	0.491
noticeable	perceptible	0.890	0.562	0.750
notification	notificación	0.604	0.461	0.671
notify	notificar	0.643	0.471	0.573
notion	noción	0.612	0.284	0.667
notional	hipotético	0.520	0.288	0.500
notoriety	notoriedad	0.552	0.633	0.769
notorious	notorio	0.366	0.582	0.609
notready	no está listo	0.133	0.400	0.196
notwithstanding	a pesar de	0.367	0.316	0.433
nought	nada	0.312	0.098	0.116
noun	sustantivo	0.531	0.230	0.477
nourish	nutrir	0.878	0.460	0.639
nourishment	alimento	0.786	0.290	0.631
nouveau	NO TRANSLATION	0.633	0.438	0.432
novel	novela	0.702	0.352	0.439
novelist	novelista	0.340	0.343	0.529
novelty	novedad	0.673	0.521	0.740
novice	principiante	0.429	0.346	0.180
nowadays	hoy en día	0.680	0.346	0.400
nowork	ningún trabajo	0.312	0.264	0.309
noworries	sin preocupaciones	0.630	0.402	0.500
noxious	nocivo	0.177	0.585	0.379
nozzle	boquilla	0.438	0.330	0.287
nuance	matiz	0.408	0.282	0.411
nuances	matices	0.490	0.375	0.527
nuclear	nuclear	0.219	0.856	0.781
nucleus	núcleo	0.529	0.296	0.667
nude	desnudo	0.490	0.915	0.200
nudge	empujar	0.448	0.500	0.509
nudie	revista pornográfica	0.500	0.529	0.373
nudist	nudista	0.440	0.796	0.483
nudity	desnudez	0.438	0.853	0.415
nugget	pepita	0.602	0.340	0.348
nuisance	molestia	0.198	0.817	0.227
nuke	arma nuclear	0.125	0.905	0.873
nul	NO TRANSLATION	0.337	0.358	0.264
null	nulo	0.253	0.147	0.152
nullify	anular	0.255	0.373	0.395
numb	entumecido	0.108	0.420	0.352
number	número	0.406	0.231	0.471
numbering	Numeración	0.510	0.363	0.482
numbers	números	0.406	0.241	0.440
numbness	entumecimiento	0.306	0.398	0.265
numbskull	numbskull	0.300	0.472	0.284
numeral	número	0.582	0.254	0.382
numerator	numerador	0.490	0.317	0.526
numerical	numérico	0.479	0.322	0.517
numerically	numéricamente	0.510	0.337	0.500
numerous	numeroso	0.622	0.462	0.609
nun	NO TRANSLATION	0.500	0.150	0.406
nunchucks	Nunchucks	0.337	0.580	0.526
nunnery	convento de monjas	0.653	0.236	0.473
nuptials	nupcias	0.771	0.588	0.571
nurse	enfermera	0.635	0.578	0.521
nursemaid	niñera	0.615	0.431	0.436
nursery	guardería	0.894	0.406	0.389
nursing	enfermería	0.552	0.549	0.653
nurture	nutrir	0.745	0.378	0.657
nut	nuez	0.365	0.310	0.250
nutcase	pirado	0.286	0.775	0.259
nutcracker	cascanueces	0.635	0.378	0.522
nuthouse	nuthouse	0.347	0.519	0.434
nutmeg	nuez moscada	0.635	0.302	0.350
nutrition	nutrición	0.885	0.420	0.579
nutritional	nutricional	0.812	0.406	0.676
nutritious	nutritivo	0.833	0.337	0.655
nutritive	nutritivo	0.875	0.422	0.667
nuts	nueces	0.594	0.250	0.291
nutshell	cáscara de nuez	0.458	0.407	0.310
nutty	de nuez	0.444	0.317	0.271
nylon	nylon	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	medias de nylon	0.556	0.379	0.320
nymph	ninfa	0.542	0.529	0.472
nymphomaniac	ninfómana	0.398	0.894	0.536
oaf	zoquete	0.344	0.357	0.330
oak	roble	0.583	0.245	0.536
oar	remo	0.469	0.392	0.316
oasis	oasis	0.796	0.283	0.429
oat	avena	0.622	0.170	0.298
oath	juramento	0.543	0.615	0.824
oatmeal	harina de avena	0.592	0.192	0.241
obedience	obediencia	0.765	0.287	0.536
obedient	obediente	0.800	0.179	0.518
obediently	obedientemente	0.802	0.304	0.577
obelisk	obelisco	0.604	0.408	0.596
obese	obeso	0.133	0.427	0.250
obesity	obesidad	0.215	0.370	0.328
obey	obedecer	0.677	0.433	0.533
obi	Obi	0.469	0.442	0.414
obit	obituario	0.410	0.464	0.393
obituary	obituario	0.188	0.330	0.423
object	objeto	0.531	0.356	0.375
objection	objeción	0.347	0.592	0.709
objectionable	objetable	0.459	0.382	0.558
objective	objetivo	0.724	0.337	0.736
objectivity	objetividad	0.765	0.431	0.711
obligation	obligación	0.222	0.596	0.718
obligatory	obligatorio	0.337	0.571	0.780
oblige	obligar	0.281	0.770	0.614
obliged	obligado	0.327	0.680	0.411
obliging	servicial	0.740	0.402	0.545
obligor	deudor	0.302	0.600	0.360
oblique	oblicuo	0.438	0.347	0.455
obliterate	obliterar	0.250	0.539	0.569
obliterated	borrado	0.240	0.469	0.344
obliteration	obliteración	0.177	0.622	0.397
oblivion	olvido	0.153	0.330	0.282
oblivious	inconsciente de	0.229	0.388	0.355
oblong	oblongo	0.561	0.455	0.370
obnoxious	desagradable	0.088	0.602	0.256
oboe	oboe	0.510	0.340	0.392
obscene	obsceno	0.050	0.745	0.348
obscenity	obscenidad	0.083	0.843	0.418
obscure	oscuro	0.370	0.551	0.278
obscured	oscurecido	0.115	0.356	0.298
obscurity	oscuridad	0.208	0.392	0.380
observance	observancia	0.531	0.315	0.632
observant	observante	0.740	0.422	0.708
observation	observación	0.633	0.433	0.667
observatory	observatorio	0.643	0.324	0.731
observe	observar	0.771	0.390	0.360
observer	observador	0.663	0.363	0.603
observing	observando	0.583	0.400	0.685
obsess	obsesionar	0.112	0.846	0.509
obsessed	obsesionado	0.219	0.840	0.439
obsessing	obsesionante	0.173	0.773	0.698
obsession	obsesión	0.229	0.847	0.571
obsessive	obsesionante	0.219	0.823	0.480
obsolescence	obsolescencia	0.250	0.431	0.377
obsolete	obsoleto	0.337	0.321	0.250
obstacle	obstáculo	0.204	0.708	0.336
obstetrician	obstetra	0.521	0.636	0.604
obstetrics	obstetricia	0.530	0.582	0.564
obstinate	obstinado	0.146	0.696	0.562
obstruct	obstruir	0.115	0.660	0.458
obstruction	obstrucción	0.125	0.742	0.491
obstructive	obstructivo	0.204	0.650	0.613
obtain	obtener	0.760	0.438	0.731
obtainable	asequible	0.677	0.327	0.702
obtuse	obtuso	0.281	0.460	0.345
obverse	anverso	0.470	0.394	0.464
obvious	obvio	0.625	0.336	0.585
ocarina	ocarina	0.541	0.392	0.366
occasion	ocasión	0.700	0.451	0.398
occasional	ocasional	0.490	0.298	0.387
occasionally	de vez en cuando	0.538	0.240	0.264
occipital	occipital	0.398	0.408	0.518
occlusion	oclusión	0.306	0.439	0.442
occult	oculto	0.292	0.382	0.406
occupancy	ocupación	0.625	0.471	0.721
occupant	ocupante	0.500	0.417	0.483
occupation	ocupación	0.562	0.470	0.692
occupational	ocupacional	0.583	0.469	0.596
occupied	ocupado	0.337	0.546	0.441
occupier	inquilino	0.427	0.438	0.600
occupy	ocupar	0.396	0.520	0.589
occupying	ocupando	0.573	0.462	0.519
occur	ocurrir	0.451	0.561	0.510
occurrence	ocurrencia	0.573	0.690	0.541
ocd	ocd	0.333	0.472	0.370
ocean	Oceano	0.823	0.308	0.642
oceanic	oceánico	0.740	0.317	0.632
octagon	octágono	0.602	0.349	0.462
octave	octava	0.438	0.380	0.482
octopus	pulpo	0.713	0.378	0.411
ocular	ocular	0.418	0.370	0.400
odd	impar	0.265	0.337	0.302
oddball	bicho raro	0.316	0.360	0.357
oddity	rareza	0.312	0.557	0.386
odds	posibilidades	0.500	0.472	0.680
ode	oda	0.604	0.269	0.519
odious	odioso	0.235	0.708	0.235
odometer	cuentakilómetros	0.367	0.470	0.388
odor	olor	0.337	0.363	0.404
odyssey	Odisea	0.622	0.692	0.710
oedipal	edípico	0.312	0.575	0.509
oestrogen	estrógeno	0.521	0.608	0.561
oeuvre	NO TRANSLATION	0.653	0.484	0.598
offal	menudencias	0.302	0.470	0.302
offence	ofensa	0.312	0.798	0.446
offend	ofender	0.094	0.804	0.333
offended	ofendido	0.188	0.690	0.337
offender	delincuente	0.104	0.851	0.537
offense	ofensa	0.230	0.765	0.510
offensive	ofensiva	0.135	0.882	0.600
offer	oferta	0.750	0.745	0.596
offered	Ofrecido	0.582	0.490	0.544
offering	ofrecimiento	0.688	0.462	0.585
offhand	de improviso	0.388	0.500	0.368
office	oficina	0.427	0.302	0.509
officer	oficial	0.542	0.430	0.877
offices	oficinas	0.469	0.312	0.534
official	oficial	0.646	0.565	0.833
officiate	oficiar	0.688	0.453	0.704
offing	lontananza	0.490	0.412	0.447
offload	descargar	0.479	0.444	0.525
offset	compensar	0.719	0.394	0.704
offshoot	vástago	0.517	0.330	0.361
offshore	costa afuera	0.417	0.484	0.441
offside	fuera de juego	0.323	0.519	0.443
offspring	descendencia	0.656	0.435	0.600
oft	a menudo	0.500	0.308	0.474
oftentimes	a menudo	0.571	0.500	0.482
ogre	ogro	0.135	0.698	0.510
ohdear	NO TRANSLATION	0.458	0.519	0.442
ohgod	NO TRANSLATION	0.500	0.557	0.439
ohno	Oh no	0.396	0.475	0.380
ohshit	NO TRANSLATION	0.230	0.594	0.343
oil	petróleo	0.521	0.278	0.306
oils	aceites	0.459	0.229	0.391
oily	aceitoso	0.276	0.533	0.385
oink	gruñir	0.500	0.450	0.289
ointment	ungüento	0.438	0.271	0.398
okra	okra	0.469	0.400	0.362
old	antiguo	0.410	0.279	0.315
olden	viejo	0.284	0.213	0.425
older	mayor	0.385	0.255	0.317
oldie	oldie	0.363	0.363	0.342
oldies	oldies	0.438	0.300	0.412
olfactory	olfativo	0.602	0.409	0.452
oligarchy	oligarquía	0.327	0.567	0.741
olive	aceituna	0.571	0.231	0.406
omega	omega	0.529	0.337	0.526
omelet	tortilla	0.708	0.323	0.315
omen	presagio	0.390	0.657	0.583
omgomgomg	NO TRANSLATION	0.490	0.551	0.358
ominous	ominoso	0.255	0.730	0.510
omission	omisión	0.367	0.333	0.275
omit	omitir	0.330	0.265	0.451
omitted	omitido	0.260	0.235	0.211
omnibus	general	0.490	0.410	0.473
omnipotence	omnipotencia	0.667	0.793	0.866
omnipotent	omnipotente	0.719	0.679	0.919
omnipresent	omnipresente	0.688	0.452	0.825
omniscient	omnisciente	0.656	0.334	0.778
onboard	a bordo	0.612	0.451	0.491
oncologist	oncólogo	0.260	0.654	0.640
oncology	oncología	0.204	0.424	0.500
oncoming	venidero	0.594	0.625	0.773
one	uno	0.542	0.292	0.370
oneday	NO TRANSLATION	0.667	0.245	0.374
onedge	onedge	0.479	0.552	0.400
onelove	un amor	0.816	0.577	0.541
oneness	unidad	0.745	0.272	0.720
onerous	oneroso	0.500	0.480	0.462
oneself	uno mismo	0.660	0.337	0.483
ongoing	en marcha	0.674	0.484	0.556
onion	cebolla	0.378	0.367	0.382
onset	comienzo	0.673	0.497	0.500
onslaught	embate	0.198	0.939	0.717
onstage	en el escenario	0.719	0.673	0.583
ontology	ontología	0.510	0.450	0.518
onus	carga	0.562	0.520	0.769
onward	adelante	0.667	0.538	0.741
onyx	ónix	0.571	0.461	0.380
oodles	montones	0.490	0.374	0.446
oomph	atracción sexual	0.449	0.613	0.315
ooze	rezumar	0.344	0.577	0.333
oozing	rezumando	0.238	0.515	0.427
op	op	0.480	0.402	0.349
opacity	opacidad	0.471	0.251	0.256
opal	ópalo	0.623	0.479	0.379
opaque	opaco	0.344	0.265	0.342
ope	aire libre	0.375	0.380	0.395
open	abierto	0.620	0.480	0.569
opener	abrelatas	0.584	0.526	0.377
opening	apertura	0.667	0.510	0.620
openly	abiertamente	0.603	0.388	0.553
openness	franqueza	0.837	0.561	0.667
opera	ópera	0.714	0.500	0.483
operate	funcionar	0.582	0.690	0.691
operatic	operístico	0.375	0.452	0.627
operation	operación	0.475	0.611	0.755
operational	Operacional	0.562	0.570	0.679
operations	operaciones	0.480	0.549	0.798
operative	operatorio	0.541	0.635	0.718
operator	operador	0.612	0.630	0.726
ophthalmic	oftálmico	0.427	0.385	0.444
ophthalmologist	oftalmólogo	0.552	0.389	0.491
opiate	opiáceo	0.281	0.594	0.598
opinion	opinión	0.594	0.482	0.638
opinionated	dogmático	0.156	0.800	0.491
opium	opio	0.276	0.490	0.333
opponent	adversario	0.080	0.741	0.716
opportune	oportuno	0.796	0.538	0.767
opportunism	oportunismo	0.571	0.752	0.673
opportunity	oportunidad	0.938	0.745	0.833
oppose	oponerse a	0.431	0.800	0.473
opposed	opuesto	0.092	0.460	0.606
opposing	oponiéndose	0.188	0.660	0.518
opposite	opuesto	0.235	0.545	0.408
opposites	opuestos	0.281	0.518	0.462
opposition	oposición	0.135	0.729	0.592
oppress	oprimir	0.186	0.654	0.555
oppressed	oprimido	0.119	0.640	0.259
oppression	opresión	0.080	0.673	0.615
oppressive	opresivo	0.276	0.590	0.667
oppressor	opresor	0.160	0.776	0.629
ops	ops	0.417	0.550	0.528
opt	optar	0.510	0.471	0.345
optic	óptico	0.663	0.384	0.594
optical	óptico	0.677	0.311	0.542
optics	óptica	0.562	0.286	0.580
optimism	optimismo	0.949	0.565	0.814
optimist	optimista	0.875	0.539	0.787
optimistic	optimista	0.979	0.580	0.821
optimum	óptimo	0.892	0.469	0.808
option	opción	0.512	0.427	0.359
optional	Opcional	0.755	0.350	0.440
optionally	opcionalmente	0.365	0.405	0.481
options	opciones	0.622	0.327	0.473
optometrist	optometrista	0.446	0.455	0.668
opulence	opulencia	0.620	0.615	0.648
opulent	opulento	0.562	0.660	0.660
opus	opus	0.458	0.368	0.391
oracle	oráculo	0.552	0.531	0.670
oral	oral	0.530	0.448	0.375
orange	naranja	0.646	0.132	0.296
orange juice	zumo de naranja	0.719	0.343	0.445
orangutan	orangután	0.430	0.560	0.471
oration	oración	0.646	0.315	0.683
orator	orador	0.667	0.375	0.682
oratory	oratorio	0.602	0.472	0.693
orb	orbe	0.463	0.370	0.444
orbit	orbita	0.561	0.422	0.575
orbital	orbital	0.458	0.451	0.559
orbiting	orbital	0.520	0.643	0.554
orbs	orbes	0.469	0.355	0.482
orc	orco	0.240	0.510	0.388
orchard	huerta	0.760	0.269	0.333
orchestra	orquesta	0.708	0.500	0.664
orchid	orquídea	0.840	0.345	0.382
ordained	ordenado	0.735	0.409	0.731
ordeal	ordalías	0.344	0.539	0.529
order	orden	0.780	0.295	0.814
orderly	ordenado	0.844	0.240	0.661
ordinance	ordenanza	0.615	0.452	0.776
ordinary	ordinario	0.375	0.312	0.286
ordination	ordenación	0.688	0.490	0.765
ordnance	artillería	0.354	0.825	0.679
ore	mineral	0.500	0.333	0.356
oregano	orégano	0.596	0.327	0.250
organ	Organo	0.510	0.469	0.538
organic	orgánico	0.719	0.343	0.535
organism	organismo	0.457	0.559	0.800
organist	organista	0.740	0.469	0.669
organization	organización	0.810	0.535	0.851
organize	organizar	0.802	0.655	0.781
organized	organizado	0.816	0.337	0.746
organizer	organizador	0.604	0.577	0.846
orgasm	orgasmo	0.844	0.863	0.676
orgies	orgías	0.388	0.953	0.433
orgy	orgía	0.346	0.962	0.536
orient	orientar	0.667	0.422	0.667
oriental	oriental	0.592	0.409	0.598
orientation	orientación	0.667	0.454	0.686
orifice	orificio	0.448	0.355	0.443
origami	origami	0.684	0.276	0.294
origin	origen	0.729	0.435	0.591
original	original	0.765	0.480	0.746
originality	originalidad	0.898	0.500	0.824
originate	originar	0.702	0.500	0.866
origination	origen	0.760	0.443	0.604
originator	autor	0.592	0.510	0.868
ornament	ornamento	0.561	0.373	0.441
ornamental	ornamental	0.663	0.392	0.460
ornamentation	ornamentación	0.663	0.471	0.472
ornamented	adornado	0.677	0.350	0.490
ornate	florido	0.812	0.356	0.500
ornery	desagradable	0.361	0.520	0.509
orphan	huérfano	0.133	0.388	0.140
orphanage	orfanato	0.184	0.439	0.425
orphaned	huérfano	0.062	0.430	0.228
orthodontist	ortodoncista	0.469	0.615	0.564
orthodox	ortodoxo	0.388	0.471	0.647
orthodoxy	ortodoxia	0.271	0.388	0.612
orthogonal	ortogonal	0.500	0.314	0.540
orthopedic	ortopédico	0.406	0.346	0.473
oscillate	oscilar	0.449	0.580	0.397
oscillating	oscilante	0.469	0.548	0.402
oscillation	oscilación	0.562	0.433	0.431
oscillatory	oscilatorio	0.375	0.520	0.480
ostensible	aparente	0.542	0.549	0.585
ostensibly	aparentemente	0.473	0.529	0.509
ostentatious	ostentoso	0.479	0.794	0.648
ostracized	condenado al ostracismo	0.115	0.690	0.377
ostrich	avestruz	0.592	0.382	0.241
other	otro	0.472	0.230	0.259
otter	nutria	0.439	0.216	0.339
otto	otón	0.427	0.425	0.404
ottoman	otomano	0.531	0.337	0.444
ought	debería	0.438	0.511	0.434
ounce	onza	0.531	0.255	0.288
oust	expulsar	0.296	0.716	0.444
outage	corte	0.306	0.684	0.438
outback	Afuera	0.500	0.324	0.430
outbid	sobrepujar	0.594	0.622	0.540
outboard	fuera de borda	0.448	0.491	0.456
outbreak	brote	0.260	0.632	0.472
outburst	explosión	0.209	0.802	0.528
outcast	paria	0.153	0.449	0.353
outcome	Salir	0.615	0.472	0.685
outcry	grito	0.271	0.773	0.718
outdated	anticuado	0.167	0.236	0.226
outdo	exceder	0.771	0.750	0.873
outdoor	al aire libre	0.814	0.256	0.447
outdoors	al aire libre	0.781	0.444	0.453
outer	exterior	0.552	0.471	0.456
outfit	equipar	0.760	0.490	0.566
outgoing	saliente	0.650	0.472	0.538
outgrow	crecer más que	0.510	0.529	0.722
outgrowth	excrecencia	0.771	0.620	0.688
outhouse	anexo	0.281	0.519	0.255
outing	excursión	0.771	0.672	0.634
outlandish	extravagante	0.448	0.737	0.657
outlast	sobrevivir	0.620	0.786	0.685
outlaw	proscrito	0.255	0.662	0.482
outlet	salida	0.610	0.396	0.245
outline	contorno	0.542	0.365	0.509
outlines	esquemas	0.656	0.402	0.651
outlive	sobrevivir a	0.565	0.769	0.724
outlook	panorama	0.830	0.525	0.625
outlying	periférico	0.460	0.562	0.503
outnumber	superar numéricamente	0.347	0.615	0.577
outpatient	paciente externo	0.260	0.400	0.395
outpost	avanzada	0.635	0.571	0.675
outpouring	efusión	0.562	0.685	0.552
output	salida	0.604	0.389	0.434
outrage	atropello	0.060	0.689	0.542
outraged	indignado	0.156	0.696	0.538
outrageous	indignante	0.153	0.945	0.713
outrank	superar en rango	0.653	0.643	0.817
outreach	superar a	0.540	0.462	0.672
outright	total	0.767	0.396	0.755
outrun	correr más que	0.531	0.833	0.573
outset	comienzo	0.750	0.500	0.582
outsider	forastero	0.398	0.549	0.447
outskirts	afueras	0.474	0.519	0.312
outsmart	burlar	0.673	0.657	0.864
outspoken	abierto	0.582	0.413	0.667
outstanding	excepcional	0.898	0.760	0.896
outstretched	extendido	0.448	0.481	0.519
outward	exterior	0.449	0.439	0.365
outwards	hacia fuera	0.440	0.472	0.400
outweigh	pesar más que	0.486	0.600	0.682
outwit	burlar	0.302	0.755	0.356
oval	oval	0.417	0.280	0.330
ovary	ovario	0.469	0.399	0.280
ovate	aovado	0.385	0.286	0.368
ovation	ovación	0.719	0.758	0.750
oven	horno	0.583	0.425	0.606
overactive	hiperactiva	0.667	0.885	0.592
overall	en general	0.583	0.370	0.670
overalls	mono	0.500	0.392	0.373
overbearing	despótico	0.323	0.833	0.861
overburden	sobrecargar	0.115	0.755	0.546
overcast	nublado	0.417	0.250	0.475
overcharged	sobrecargado	0.276	0.780	0.569
overcoat	sobretodo	0.594	0.265	0.430
overcome	superar	0.719	0.689	0.848
overcoming	superando	0.842	0.765	0.855
overcrowded	superpoblado	0.292	0.520	0.491
overdo	exagerar	0.156	0.864	0.602
overdose	sobredosis	0.110	0.820	0.468
overdrive	sobremarcha	0.303	0.715	0.732
overdue	atrasado	0.125	0.427	0.259
overestimate	sobreestimar	0.367	0.796	0.444
overestimated	sobreestimado	0.344	0.646	0.527
overflow	rebosar	0.398	0.792	0.500
overflowing	desbordante	0.439	0.796	0.635
overgrown	descuidado	0.333	0.500	0.369
overgrowth	crecimiento excesivo	0.417	0.790	0.673
overhanging	sobresaliente	0.698	0.755	0.812
overhaul	revisión	0.500	0.651	0.491
overhead	gastos generales	0.344	0.700	0.538
overhear	oír	0.650	0.365	0.580
overheated	sobrecalentado	0.250	0.598	0.547
overjoyed	lleno de alegría	0.908	0.708	0.755
overkill	exagerado	0.379	0.861	0.678
overlaid	superpuesto	0.620	0.610	0.676
overlap	superposición	0.594	0.615	0.627
overlapping	superposición	0.595	0.578	0.684
overlay	cubrir	0.564	0.596	0.749
overload	sobrecarga	0.381	0.690	0.652
overlook	pasar por alto	0.292	0.418	0.415
overlord	señor	0.750	0.755	0.932
overlying	superyacente	0.500	0.519	0.691
overpaid	pagado en exceso	0.429	0.670	0.585
overpass	paso superior	0.562	0.561	0.565
overplayed	exagerado	0.224	0.798	0.586
overpower	dominar	0.448	0.859	0.783
overpowering	abrumador	0.392	0.779	0.589
overpriced	demasiado caro	0.271	0.556	0.472
overprotective	sobreprotector	0.448	0.673	0.741
overrated	sobrevalorado	0.312	0.630	0.482
overreact	sobrereaccionar	0.306	0.912	0.471
override	anular	0.316	0.491	0.529
overriding	primordial	0.240	0.490	0.384
overrule	anular	0.224	0.412	0.429
overrun	invadir	0.271	0.764	0.598
oversee	superentender	0.541	0.649	0.778
overseer	capataz	0.552	0.520	0.873
overshadow	eclipsar	0.333	0.549	0.654
oversight	vigilancia	0.385	0.618	0.723
oversized	sobredimensionado	0.552	0.540	0.679
overslept	dormido	0.408	0.315	0.300
overstate	exagerar	0.281	0.779	0.635
overstock	abarrotar	0.344	0.592	0.589
overt	abierto	0.708	0.326	0.607
overtake	adelantar	0.573	0.620	0.718
overtaken	adelantados	0.594	0.552	0.702
overthemoon	NO TRANSLATION	0.643	0.531	0.481
overthinker	distorsionador	0.430	0.606	0.552
overthinking	pensando demasiado	0.408	0.761	0.525
overthrow	derrocamiento	0.260	0.868	0.620
overtime	a través del tiempo	0.447	0.504	0.529
overtired	cansado	0.210	0.357	0.273
overture	obertura	0.490	0.402	0.491
overturn	anular	0.240	0.765	0.396
overview	visión de conjunto	0.615	0.380	0.539
overweight	exceso de peso	0.052	0.500	0.389
overwhelm	abrumar	0.250	0.823	0.462
overwhelmed	abrumado	0.341	0.680	0.348
overwhelming	abrumador	0.327	0.830	0.640
overworked	con exceso de trabajo	0.133	0.670	0.387
overwrought	sobreexcitado	0.156	0.900	0.571
overzealous	demasiado entusiasta	0.427	0.804	0.703
owe	deber	0.500	0.429	0.386
owing	debido	0.396	0.307	0.381
owl	búho	0.520	0.270	0.321
owner	propietario	0.776	0.449	0.920
ownership	propiedad	0.628	0.445	0.741
ox	buey	0.417	0.396	0.412
oxidation	oxidación	0.453	0.415	0.211
oxide	óxido	0.354	0.377	0.298
oxygen	oxígeno	0.908	0.310	0.575
oxymoron	oxímoron	0.427	0.481	0.398
oyster	ostra	0.500	0.311	0.327
ozone	ozono	0.560	0.345	0.518
pace	paso	0.510	0.380	0.390
pacemaker	marcapasos	0.448	0.569	0.582
pacific	Pacífico	0.627	0.118	0.580
pacified	pacificado	0.802	0.194	0.414
pacifier	chupete	0.615	0.342	0.356
pacifist	pacifista	0.663	0.153	0.557
pacify	pacificar	0.812	0.283	0.629
pacing	ritmo	0.583	0.551	0.491
pack	paquete	0.510	0.347	0.475
package	paquete	0.571	0.433	0.443
packaging	embalaje	0.604	0.393	0.549
packer	envasador	0.520	0.480	0.537
packet	paquete	0.582	0.385	0.407
pact	pacto	0.442	0.444	0.593
pad	almohadilla	0.684	0.279	0.330
padded	acolchado	0.606	0.212	0.371
padding	relleno	0.561	0.398	0.423
paddle	paleta	0.561	0.375	0.393
paddle boat	bote de remos	0.663	0.373	0.415
paddock	paddock	0.480	0.429	0.481
paddy	arrozal	0.653	0.330	0.330
padlock	candado	0.459	0.284	0.457
padre	NO TRANSLATION	0.684	0.407	0.647
paean	himno de alegría	0.552	0.547	0.471
pagan	pagano	0.292	0.578	0.542
paganism	paganismo	0.240	0.640	0.411
page	página	0.677	0.224	0.278
pageant	pompa	0.719	0.667	0.651
pager	buscapersonas	0.510	0.526	0.554
pagination	paginación	0.459	0.333	0.400
paging	paginación	0.542	0.398	0.423
pagoda	pagoda	0.571	0.259	0.435
pail	cubo	0.448	0.177	0.188
pain	dolor	0.012	0.765	0.395
pained	dolorido	0.112	0.500	0.250
painful	doloroso	0.050	0.742	0.330
painfully	penosamente	0.156	0.720	0.407
painkiller	analgésico	0.487	0.312	0.481
painless	sin dolor	0.785	0.173	0.491
pains	esfuerzos	0.106	0.673	0.362
painstaking	esmerado	0.396	0.335	0.386
paint	pintar	0.667	0.343	0.413
paintball	paintball	0.615	0.745	0.537
paintbrush	Cepillo de pintura	0.714	0.226	0.353
painted	pintado	0.667	0.333	0.424
painter	pintor	0.677	0.366	0.487
painting	pintura	0.792	0.324	0.333
pair	par	0.552	0.317	0.304
paisley	cachemir	0.531	0.327	0.347
pajama	pijama	0.908	0.157	0.245
pajamas	pijama	0.719	0.170	0.264
pal	camarada	0.812	0.426	0.596
palace	palacio	0.878	0.510	0.804
palatable	sabroso	0.823	0.500	0.594
palate	paladar	0.625	0.350	0.358
pale	pálido	0.281	0.259	0.245
paleontology	paleontología	0.438	0.308	0.617
palette	paleta	0.590	0.333	0.205
pall	féretro	0.277	0.387	0.394
palladium	paladio	0.470	0.380	0.393
pallet	paleta	0.604	0.241	0.349
palliative	paliativo	0.548	0.394	0.518
palm	palma	0.531	0.194	0.340
palmer	palmero	0.480	0.269	0.413
palomino	palomino	0.616	0.349	0.396
palpable	palpable	0.552	0.343	0.611
palpitations	palpitaciones	0.417	0.702	0.528
palsy	parálisis	0.083	0.446	0.221
paltry	miserable	0.333	0.491	0.320
pamper	mimar	0.792	0.321	0.348
pamphlet	folleto	0.530	0.250	0.327
pan	pan	0.734	0.182	0.364
panacea	panacea	0.420	0.427	0.613
panache	estilo	0.510	0.363	0.306
pancake	crepe	0.802	0.274	0.364
