Word	Macedonian-mk	Valence	Arousal	Dominance
halter	петел	0.448	0.451	0.431
halting	запирање	0.255	0.596	0.519
halve	преполови	0.316	0.347	0.302
halving	преполовување	0.292	0.474	0.366
ham	шунка	0.673	0.245	0.404
hamburger	хамбургер	0.809	0.551	0.387
hamlet	селце	0.573	0.270	0.397
hammer	чекан	0.312	0.509	0.563
hammerhead	чекан	0.337	0.490	0.569
hammering	ковале	0.347	0.779	0.557
hammock	хамак	0.673	0.255	0.287
hamper	попречуваат	0.204	0.711	0.473
hamster	хрчак	0.520	0.394	0.349
hamstring	тетива	0.406	0.471	0.443
hand	рака	0.542	0.314	0.434
handbag	рачна торба	0.562	0.240	0.336
handball	ракомет	0.561	0.493	0.440
handbook	прирачник	0.600	0.224	0.567
handcuff	Лисици	0.310	0.590	0.593
handful	грст	0.521	0.481	0.400
handgun	пиштол	0.156	0.914	0.782
handheld	рачно	0.646	0.350	0.586
handicap	хендикеп	0.133	0.394	0.264
handicapped	хендикепирани	0.204	0.467	0.180
handicraft	ракотворби	0.724	0.333	0.565
handiwork	дело	0.753	0.430	0.410
handkerchief	шамиче	0.510	0.192	0.219
handle	се справи	0.698	0.571	0.558
handler	управувач	0.439	0.593	0.861
handmade	рачно изработени	0.776	0.383	0.475
handout	материјал	0.560	0.330	0.545
handprint	отпечаток од рака	0.635	0.289	0.463
handshake	ракување	0.816	0.654	0.492
handsome	згоден	0.890	0.600	0.682
handwriting	ракопис	0.615	0.378	0.381
handy	корисна	0.741	0.378	0.639
handyman	мајстор	0.660	0.373	0.393
hang	висат	0.323	0.529	0.446
hangar	хангар	0.490	0.456	0.481
hanger	закачалка	0.439	0.462	0.461
hanging	виси	0.378	0.471	0.389
hangman	бесилка	0.153	0.877	0.555
hangout	hangout	0.573	0.500	0.462
hangover	мамурлак	0.188	0.565	0.267
hangry	hangry	0.219	0.794	0.279
hank	Ханк	0.510	0.375	0.339
hankering	копнеж	0.604	0.540	0.558
hanky	hanky	0.460	0.276	0.250
hap	NO TRANSLATION	0.503	0.431	0.453
haphazard	случајно	0.469	0.530	0.324
hapless	несреќен	0.271	0.442	0.193
happen	се случи	0.677	0.670	0.551
happening	се случува	0.646	0.529	0.555
happier	посреќен	0.990	0.760	0.806
happiest	најсреќен	0.990	0.716	0.746
happily	среќно	1.000	0.690	0.674
happiness	среќа	0.960	0.732	0.850
happy	среќен	1.000	0.735	0.772
happydance	среќа	0.857	0.760	0.582
happyday	среќен ден	0.929	0.650	0.663
happyheart	happyheart	0.949	0.575	0.605
happyholidays	NO TRANSLATION	0.927	0.740	0.637
happynewyear	NO TRANSLATION	0.969	0.815	0.559
happyplace	NO TRANSLATION	0.938	0.589	0.645
happytweet	NO TRANSLATION	0.847	0.588	0.437
happyvalentinesday	NO TRANSLATION	0.929	0.784	0.509
harass	малтретирање	0.160	0.775	0.620
harassing	вознемирувачки	0.120	0.873	0.446
harassment	вознемирување	0.083	0.896	0.420
harbinger	предвесник	0.490	0.389	0.692
harbor	пристаниште	0.594	0.356	0.634
hard	тешко	0.302	0.708	0.616
hardball	hardball	0.542	0.667	0.452
hardcore	хардкор	0.250	0.721	0.585
harden	зацврстуваат	0.276	0.598	0.677
hardened	појачан	0.406	0.618	0.764
hardening	стврднување	0.388	0.673	0.741
hardheaded	тврдоглави	0.156	0.699	0.571
hardness	цврстина	0.417	0.580	0.745
hardship	тешкотии	0.094	0.775	0.482
hardware	хардвер	0.594	0.289	0.686
hardwood	тврдо дрво	0.417	0.363	0.518
hardworking	напорно работи	0.719	0.583	0.792
hardy	Харди	0.571	0.569	0.810
hare	зајак	0.620	0.410	0.345
harebrained	harebrained	0.296	0.551	0.436
harem	харем	0.521	0.578	0.582
hark	поздрав	0.571	0.500	0.398
harlot	блудница	0.198	0.798	0.330
harm	штета	0.073	0.679	0.423
harmful	штетно	0.094	0.750	0.291
harmless	безопасен	0.625	0.226	0.241
harmonica	хармоника	0.847	0.235	0.510
harmonics	хармоници	0.865	0.400	0.575
harmonious	хармоничен	0.938	0.391	0.719
harmoniously	хармонично	0.969	0.265	0.647
harmonize	усогласување	0.939	0.461	0.609
harmony	хармонија	0.949	0.230	0.509
harness	искористување	0.570	0.549	0.508
harp	харфа	0.618	0.310	0.356
harper	харпер	0.417	0.454	0.435
harpoon	харпун	0.490	0.700	0.557
harpsichord	чувар	0.541	0.490	0.438
harrowing	ужасни	0.209	0.810	0.474
harry	Хари	0.520	0.409	0.390
harsh	груби	0.250	0.650	0.623
harshness	грубост	0.323	0.600	0.779
hart	hart	0.643	0.389	0.447
harvest	жетва	0.781	0.353	0.548
hash	хаш	0.344	0.453	0.355
hashish	хашиш	0.370	0.570	0.358
hassle	кавга	0.177	0.740	0.489
haste	брзина	0.378	0.745	0.500
hasten	побрзај	0.571	0.750	0.618
hastily	набрзина	0.271	0.609	0.609
hasty	избрзани	0.188	0.885	0.424
hat	шапка	0.604	0.183	0.353
hatch	излез	0.479	0.653	0.402
hatchet	секира	0.333	0.608	0.500
hate	омраза	0.031	0.802	0.430
hateeee	NO TRANSLATION	0.219	0.606	0.368
hateeveryone	NO TRANSLATION	0.041	0.840	0.429
hateful	омраза	0.071	0.819	0.430
hater	hater	0.052	0.702	0.422
hateyou	NO TRANSLATION	0.125	0.735	0.464
hating	мразеше	0.083	0.820	0.434
hatred	омраза	0.037	0.847	0.424
haughty	шокантен	0.240	0.708	0.588
haul	дестинации	0.551	0.564	0.453
haulage	превоз	0.561	0.510	0.650
haunt	прогонува	0.288	0.676	0.576
haunted	прогонуван	0.264	0.731	0.520
have	има	0.757	0.389	0.593
haven	рај	0.684	0.265	0.547
havoc	хаос	0.163	0.769	0.535
haw	haw	0.406	0.426	0.431
hawk	јастреб	0.583	0.530	0.631
hawking	hawking	0.521	0.509	0.491
hay	NO TRANSLATION	0.469	0.212	0.343
haye	haye	0.615	0.451	0.336
hayride	hayride	0.561	0.521	0.464
haystack	сено	0.552	0.292	0.331
haywire	haywire	0.358	0.545	0.430
hazard	опасност	0.112	0.884	0.757
hazardous	опасни	0.061	0.750	0.670
haze	магла	0.427	0.327	0.217
hazmat	хазмат	0.398	0.479	0.519
hazy	маглива	0.450	0.433	0.230
head	главата	0.530	0.472	0.558
headache	главоболка	0.168	0.755	0.273
headaches	главоболки	0.104	0.720	0.259
headband	лента за на глава	0.670	0.469	0.527
headdress	фризура	0.594	0.408	0.443
header	насловот	0.560	0.398	0.740
headgear	шапка	0.542	0.442	0.571
heading	Наслов	0.551	0.292	0.642
headland	глава	0.574	0.551	0.430
headless	без глава	0.136	0.582	0.235
headlight	фар	0.592	0.343	0.393
headline	наслов	0.630	0.241	0.685
headliner	хедлајнер	0.500	0.490	0.625
headlock	headlock	0.448	0.538	0.560
headlong	глава	0.354	0.548	0.409
headmaster	директорот	0.604	0.564	0.865
headphones	слушалки	0.600	0.357	0.336
headquarter	седиште	0.615	0.269	0.525
headquarters	седиште	0.615	0.271	0.525
headset	слушалки	0.602	0.340	0.302
headstone	надгробна плоча	0.240	0.378	0.349
headstrong	тврдоглав	0.310	0.714	0.500
headway	напредок	0.823	0.464	0.745
heady	главен	0.448	0.806	0.565
heal	исцели	0.765	0.245	0.556
healer	исцелител	0.863	0.378	0.741
healing	лекување	0.750	0.452	0.585
health	здравје	0.935	0.427	0.551
healthcare	здравствена грижа	0.780	0.392	0.630
healthful	здрава	0.930	0.315	0.769
healthy	здрав	0.938	0.319	0.818
heap	грамада	0.582	0.510	0.474
hear	слушам	0.760	0.429	0.444
hearer	слушач	0.656	0.281	0.415
hearing	слух	0.669	0.490	0.595
hearsay	послушност	0.288	0.623	0.333
hearse	оган	0.177	0.490	0.324
heart	срце	0.827	0.500	0.693
heart disease	срцева болест	0.250	0.750	0.386
heartache	болка	0.088	0.750	0.291
heartattack	NO TRANSLATION	0.156	0.839	0.455
heartbeat	чукање на срцето	0.750	0.698	0.585
heartbreak	раздвојување на срцето	0.208	0.610	0.245
heartbreaker	раздвојувач	0.265	0.685	0.580
heartbreaking	срцето	0.146	0.811	0.423
heartbroken	скршено срце	0.082	0.551	0.235
heartburn	металоиди	0.143	0.613	0.398
hearted	срце	0.823	0.410	0.805
heartfelt	искрено	0.904	0.440	0.540
hearth	огништето	0.760	0.275	0.536
heartily	од срце	0.927	0.531	0.664
heartland	срце	0.812	0.510	0.675
heartless	бездушен	0.071	0.652	0.400
hearts	срца	0.948	0.592	0.634
heartsick	срцев	0.240	0.388	0.208
heartworm	heartworm	0.333	0.550	0.430
hearty	срдечна	0.760	0.684	0.792
heat	топлина	0.534	0.612	0.433
heated	загрева	0.479	0.497	0.542
heater	грејач	0.500	0.573	0.538
heath	heath	0.802	0.387	0.546
heathen	пагански	0.194	0.529	0.491
heather	Хедер	0.500	0.352	0.407
heating	греење	0.647	0.491	0.537
heave	извлече	0.716	0.588	0.664
heaven	небото	0.896	0.385	0.600
heavenly	небесен	0.844	0.452	0.712
heavens	небото	0.806	0.273	0.683
heavily	во голема мера	0.542	0.679	0.814
heaviness	тежина	0.219	0.549	0.318
heaving	укинување	0.201	0.843	0.491
heavy	тешки	0.250	0.454	0.600
heavy metal	хеви метал	0.417	0.755	0.621
heavyweight	тешка категорија	0.429	0.578	0.713
heck	грижам	0.240	0.728	0.560
hectares	хектари	0.570	0.250	0.471
hectic	бурните	0.167	0.811	0.438
hedge	хеџ	0.604	0.602	0.569
hedgehog	еж	0.458	0.491	0.377
hedonism	хедонизам	0.510	0.500	0.608
hee	хи	0.430	0.433	0.312
heed	внимателно	0.750	0.490	0.569
heel	пета	0.480	0.350	0.385
heels	петици	0.500	0.439	0.396
heft	тежок	0.503	0.340	0.530
hefty	големите	0.550	0.654	0.745
hegemonic	хегемонист	0.462	0.519	0.558
heheh	NO TRANSLATION	0.625	0.510	0.278
heifer	јуница	0.439	0.443	0.321
height	висина	0.677	0.608	0.648
heighten	зголемена	0.755	0.622	0.765
heightened	зголемено	0.592	0.529	0.788
heinous	грозоморно	0.133	0.792	0.471
heir	наследник	0.840	0.654	0.764
heiress	наследничка	0.827	0.571	0.676
heirloom	Преданието	0.684	0.375	0.745
heirs	наследници	0.796	0.519	0.698
heist	heist	0.184	0.850	0.645
helical	спирален	0.379	0.429	0.468
helicopter	хеликоптер	0.714	0.806	0.617
helipad	helipad	0.780	0.637	0.573
heliport	хелипорт	0.594	0.604	0.527
helium	хелиум	0.490	0.316	0.304
helix	хеликс	0.521	0.462	0.509
hell	пекол	0.020	0.918	0.565
hellfire	пекол	0.143	0.890	0.618
hellhole	пекол	0.200	0.615	0.421
hellish	пеколен	0.125	0.860	0.545
helm	кормило	0.511	0.450	0.615
helmet	шлем	0.573	0.327	0.402
helmsman	кормулан	0.490	0.441	0.647
help	помош	0.673	0.471	0.460
helper	помошник	0.704	0.438	0.567
helpful	корисно	0.816	0.337	0.705
helpless	беспомошен	0.104	0.420	0.214
helplessness	беспомошност	0.087	0.480	0.250
hem	NO TRANSLATION	0.562	0.283	0.291
hematite	хематит	0.448	0.389	0.342
hematoma	хематом	0.146	0.600	0.398
hemi	хеми	0.510	0.363	0.342
hemisphere	хемисфера	0.531	0.367	0.598
hemispheric	хемисфер	0.562	0.449	0.603
hemlock	hemlock	0.438	0.350	0.434
hemoglobin	хемоглобин	0.469	0.481	0.418
hemorrhage	хеморагија	0.031	0.849	0.426
hemorrhoids	хемороиди	0.133	0.702	0.304
hemostat	хемостат	0.388	0.442	0.464
hemp	коноп	0.469	0.439	0.422
hen	NO TRANSLATION	0.385	0.276	0.241
henceforth	отсега	0.527	0.404	0.466
henhouse	кокошарник	0.500	0.577	0.414
hepatitis	хепатитис	0.055	0.596	0.358
herald	гласник	0.643	0.382	0.500
heraldry	хералдика	0.550	0.520	0.607
herb	билка	0.643	0.418	0.353
herbaceous	тревни	0.560	0.220	0.310
herbal	билни	0.592	0.255	0.390
herbarium	хербариум	0.602	0.188	0.327
herbs	билки	0.620	0.299	0.308
herd	стадо	0.592	0.500	0.474
hereditary	наследни	0.531	0.600	0.737
heredity	наследност	0.704	0.445	0.818
heresy	ерес	0.265	0.765	0.443
heretic	еретик	0.090	0.710	0.447
heretical	еретички	0.229	0.630	0.487
heretofore	досега	0.479	0.388	0.385
hereunto	тука	0.500	0.225	0.333
herewith	овде	0.450	0.360	0.415
heritage	наследство	0.842	0.512	0.815
hermaphrodite	хермафродит	0.480	0.684	0.481
hermeneutics	херменевтика	0.406	0.577	0.562
hermit	пустиник	0.271	0.337	0.351
hernia	хернија	0.146	0.486	0.223
hero	херој	0.940	0.806	0.881
heroic	херојски	0.890	0.770	0.912
heroics	херојки	0.865	0.673	0.894
heroin	хероин	0.276	0.843	0.655
heroine	хероина	0.729	0.755	0.833
heroism	хероизмот	0.844	0.802	0.898
herpes	херпес	0.110	0.600	0.309
herpesvirus	херпесвирус	0.219	0.558	0.435
herring	харинга	0.531	0.387	0.422
hertz	hertz	0.396	0.417	0.506
hesitant	колеблив	0.333	0.542	0.321
hesitate	двоумете се	0.459	0.548	0.232
hesitating	двоумење	0.265	0.528	0.240
hesitation	двоумење	0.286	0.396	0.217
hetero	хетеро	0.589	0.405	0.435
heterogeneity	хетерогеност	0.439	0.450	0.556
heterosexual	хетеросексуален	0.561	0.612	0.557
hew	hew	0.417	0.470	0.377
hex	хекс	0.410	0.510	0.363
hexagon	шестоаголник	0.542	0.226	0.425
heyday	најславни	0.646	0.680	0.673
hiatus	пауза	0.479	0.294	0.352
hibernate	хибернираат	0.500	0.317	0.431
hibernation	хибернација	0.469	0.245	0.384
hiccup	икак	0.271	0.549	0.240
hick	hick	0.357	0.442	0.314
hickey	hickey	0.448	0.529	0.345
hickory	hickory	0.520	0.490	0.415
hidden	скриени	0.208	0.430	0.327
hide	крие	0.438	0.510	0.218
hideaway	Скриј се	0.448	0.481	0.360
hideous	одвратен	0.091	0.750	0.328
hideout	скривалиште	0.337	0.443	0.302
hiding	се крие	0.250	0.567	0.364
hierarchical	хиерархиски	0.521	0.620	0.939
hierarchy	хиерархија	0.583	0.722	0.902
hieroglyphics	хиероглифи	0.479	0.325	0.509
high	високо	0.684	0.510	0.614
high heels	високи потпетици	0.646	0.528	0.429
highball	highball	0.656	0.520	0.481
higher	повисоко	0.866	0.528	0.713
highest	највисоко	0.771	0.640	0.710
highland	планински предели	0.615	0.481	0.611
highlands	висорамнини	0.735	0.431	0.596
highlight	нагласи	0.844	0.637	0.882
highness	Височество	0.740	0.670	0.931
hight	висина	0.667	0.637	0.645
hightail	hightail	0.448	0.480	0.481
highway	автопат	0.640	0.583	0.425
hijack	киднапирање	0.042	0.908	0.594
hijacker	киднапер	0.104	0.953	0.683
hike	планинари	0.615	0.442	0.538
hiker	турист	0.694	0.802	0.644
hiking	пешачење	0.820	0.843	0.670
hiking boot	подигање подигање	0.657	0.353	0.446
hilarious	смешен	0.750	0.640	0.537
hilarity	веселост	0.745	0.480	0.575
hill	Рид	0.615	0.353	0.518
hillside	ридот	0.625	0.292	0.458
hilltop	врвот на врвот	0.688	0.643	0.787
hilly	ридско	0.643	0.479	0.603
hilt	Ефес	0.396	0.650	0.537
hind	зад	0.483	0.644	0.337
hinder	попречуваат	0.276	0.537	0.470
hindering	препреки	0.260	0.654	0.435
hindrance	пречка	0.135	0.545	0.473
hindsight	ретроспектива	0.333	0.431	0.532
hinge	панта	0.458	0.292	0.417
hint	навестување	0.602	0.330	0.517
hinterland	заднина	0.530	0.520	0.457
hip	колкот	0.448	0.415	0.345
hip hop	хип хоп	0.740	0.714	0.484
hippie	хипи	0.551	0.400	0.396
hippo	нилски коњ	0.490	0.404	0.477
hippopotamus	хипопотамус	0.541	0.472	0.615
hire	вработи	0.688	0.558	0.556
hirsute	hirsute	0.385	0.483	0.373
hiss	Подсвиркване	0.388	0.480	0.370
hissing	потсмев	0.500	0.454	0.400
histology	хистологија	0.490	0.320	0.560
historian	историчар	0.688	0.270	0.637
historic	историски	0.816	0.473	0.784
historical	историски	0.653	0.357	0.833
historiography	историографија	0.562	0.415	0.634
history	историја	0.729	0.382	0.754
hit	удри	0.235	0.931	0.679
hitch	накусо	0.512	0.480	0.554
hitchhike	hitchhike	0.396	0.622	0.385
hitchhiker	автостопер	0.594	0.626	0.603
hitherto	досега	0.448	0.356	0.463
hitter	напаѓач	0.418	0.683	0.713
hive	кошница	0.471	0.452	0.544
hives	коприва	0.417	0.473	0.591
hoard	соберат	0.506	0.412	0.518
hoarse	рапав	0.281	0.402	0.315
hoary	Гоја	0.469	0.298	0.424
hoax	измама	0.146	0.696	0.303
hob	плашило	0.633	0.363	0.415
hobbit	хобит	0.479	0.489	0.472
hobby	хоби	0.827	0.560	0.471
hobo	hobo	0.323	0.443	0.282
hock	скок	0.513	0.452	0.412
hockey	хокеј	0.565	0.786	0.548
hoe	NO TRANSLATION	0.302	0.480	0.418
hog	свиња	0.317	0.509	0.271
hogwash	измама	0.420	0.490	0.361
hohoho	NO TRANSLATION	0.677	0.433	0.330
hoist	дигалка	0.521	0.520	0.458
hokey	hokey	0.604	0.667	0.430
hold	држи	0.448	0.290	0.364
holder	сопственик	0.592	0.330	0.713
holding	држи	0.600	0.385	0.670
holdup	почекај	0.398	0.471	0.398
hole	дупка	0.531	0.310	0.330
holiday	одмор	0.948	0.431	0.593
holidays	празници	0.939	0.521	0.512
holidayseason	NO TRANSLATION	0.875	0.566	0.518
holiness	светост	0.860	0.264	0.742
holistic	холистички	0.670	0.348	0.547
holler	Холер	0.276	0.825	0.406
hollow	шупливи	0.300	0.337	0.222
holly	Холи	0.510	0.250	0.443
holocaust	холокауст	0.062	0.918	0.618
hologram	холограм	0.615	0.461	0.575
holographic	холографски	0.510	0.471	0.555
holster	футрола	0.561	0.255	0.339
holy	свето	0.812	0.112	0.690
holyspirit	NO TRANSLATION	0.740	0.480	0.526
homage	почит	0.833	0.560	0.737
hombre	NO TRANSLATION	0.656	0.472	0.696
hombres	NO TRANSLATION	0.510	0.538	0.652
home	дома	0.854	0.270	0.545
homeboy	homeboy	0.602	0.255	0.436
homecoming	враќање дома	0.760	0.413	0.472
homeland	татковина	0.663	0.439	0.868
homeless	бездомници	0.042	0.450	0.188
homely	Домашен	0.745	0.157	0.399
homemade	домашна	0.869	0.340	0.398
homeopathic	хомеопатски	0.417	0.268	0.400
homeopathy	хомеопатија	0.469	0.284	0.439
homeowner	сопственик на куќи	0.635	0.397	0.962
homeroom	homeroom	0.604	0.480	0.491
homesick	носталгија	0.436	0.304	0.347
homestead	фарма	0.865	0.221	0.536
homesweethome	Доме сладок доме	0.796	0.380	0.538
hometown	роден град	0.858	0.333	0.605
homeward	homeward	0.833	0.275	0.435
homework	домашна работа	0.396	0.412	0.459
homey	Домашен	0.769	0.278	0.500
homicidal	убиствени	0.020	0.912	0.573
homicide	убиство	0.010	0.973	0.518
homily	беседа	0.621	0.358	0.425
homing	дом	0.551	0.460	0.527
hominy	hominy	0.479	0.382	0.429
homo	homo	0.531	0.368	0.415
homogeneity	хомогеност	0.715	0.365	0.582
homogeneous	хомогена	0.552	0.255	0.617
homologous	хомологна	0.471	0.353	0.536
homologue	хомолог	0.542	0.356	0.509
homology	хомологија	0.571	0.494	0.527
homophobic	хомофобичен	0.130	0.736	0.464
homosexual	хомосексуалец	0.333	0.780	0.431
homosexuality	хомосексуалност	0.367	0.696	0.429
honcho	honcho	0.469	0.464	0.397
hone	брус	0.688	0.392	0.473
honest	искрен	0.927	0.254	0.750
honesty	искреност	0.938	0.411	0.728
honey	мед	0.920	0.431	0.510
honeycomb	саќе	0.541	0.417	0.412
honeymoon	меден месец	0.979	0.678	0.526
honeysuckle	орли помине	0.597	0.451	0.517
honk	чесно	0.549	0.635	0.415
honky	искрен	0.458	0.632	0.425
honor	чест	0.896	0.587	0.857
honorable	чесен	0.963	0.412	0.830
honorarium	хонорари	0.796	0.510	0.746
honorary	почесен	0.885	0.565	0.811
honored	почестен	0.938	0.447	0.732
hooch	чоколадо	0.429	0.538	0.373
hood	хауба	0.357	0.459	0.306
hooded	со качулка	0.306	0.745	0.439
hoodlum	hoodlum	0.354	0.720	0.432
hoof	копита	0.427	0.341	0.365
hook	кука	0.418	0.444	0.395
hooked	зависник	0.610	0.661	0.454
hooker	кука	0.214	0.889	0.373
hookup	приклучок	0.625	0.529	0.683
hooky	кашкава	0.468	0.500	0.452
hooligan	хулиган	0.295	0.712	0.455
hoop	обрачот	0.635	0.204	0.315
hoopla	hoopla	0.542	0.471	0.353
hooray	hooray	0.610	0.481	0.536
hoot	очај	0.449	0.560	0.430
hooter	hooter	0.470	0.615	0.455
hop	хоп	0.450	0.520	0.427
hope	надеж	0.927	0.317	0.739
hopeful	надевајќи се	0.947	0.357	0.627
hopeless	безнадежен	0.094	0.298	0.112
hopelessness	безнадежност	0.052	0.402	0.223
hopes	надежи	0.917	0.500	0.702
hoping	надевајќи се	0.684	0.469	0.454
hopper	бункер	0.396	0.491	0.442
horde	орда	0.286	0.713	0.684
horizon	хоризонт	0.729	0.284	0.590
horizontal	хоризонтална	0.573	0.304	0.387
horizontally	хоризонтално	0.500	0.356	0.439
hormonal	хормонален	0.500	0.620	0.551
hormone	хормон	0.490	0.750	0.621
horn	рог	0.385	0.510	0.366
horned	рогови	0.316	0.610	0.375
hornet	харнет	0.398	0.594	0.500
horny	роговиден	0.490	0.908	0.560
horoscope	хороскоп	0.500	0.360	0.490
horrendous	ужасно	0.073	0.755	0.365
horrible	ужасно	0.071	0.857	0.398
horribly	ужасно	0.050	0.631	0.454
horrid	грозни	0.052	0.765	0.419
horrific	ужасно	0.094	0.846	0.481
horrified	ужаснат	0.040	0.885	0.368
horrifying	ужасно	0.010	0.760	0.352
horror	хорор	0.115	0.850	0.438
horrors	ужаси	0.061	0.852	0.409
horse	коњ	0.635	0.510	0.529
horseback	коњи	0.688	0.588	0.566
horseman	коњаник	0.441	0.700	0.676
horsepower	коњски сили	0.594	0.735	0.735
horseradish	рен	0.321	0.584	0.476
horseshit	коњиш	0.153	0.582	0.179
horseshoe	потковица	0.673	0.350	0.406
horsey	Horsey	0.602	0.454	0.462
horticultural	хортикултурно	0.594	0.387	0.509
horticulture	хортикултура	0.700	0.420	0.434
hosannah	NO TRANSLATION	0.679	0.373	0.500
hose	црево	0.469	0.288	0.263
hosiery	трикотаж	0.520	0.344	0.373
hospice	хоспис	0.337	0.443	0.535
hospitable	гостопримливи	0.791	0.470	0.661
hospital	болница	0.323	0.537	0.598
hospitality	гостопримство	0.865	0.333	0.725
host	домаќин	0.693	0.471	0.537
hostage	заложник	0.163	0.923	0.325
hostel	хостел	0.479	0.500	0.398
hostess	Хостеса	0.792	0.604	0.688
hostile	непријателски	0.188	0.877	0.474
hostilities	непријателства	0.276	0.810	0.444
hostility	непријателство	0.122	0.775	0.465
hot	топло	0.490	0.740	0.573
hot sauce	лут сос	0.333	0.740	0.509
hotbed	жариште	0.510	0.285	0.395
hotdog	hotdog	0.720	0.438	0.373
hotel	хотел	0.740	0.370	0.407
hothead	hothead	0.240	0.849	0.518
hotline	телефонска линија	0.592	0.565	0.663
hotshot	hotshot	0.500	0.727	0.615
hotyoga	NO TRANSLATION	0.683	0.609	0.446
hound	навивач	0.417	0.528	0.582
hour	час	0.552	0.265	0.336
hourglass	песочен часовник	0.542	0.284	0.492
hourly	час	0.469	0.418	0.491
house	куќа	0.587	0.135	0.533
houseboat	houseboat	0.604	0.389	0.429
houseboy	houseboy	0.479	0.415	0.393
housebroken	housebroken	0.518	0.461	0.389
houseguest	houseguest	0.530	0.500	0.481
household	домаќинство	0.781	0.230	0.667
householder	сопственик на куќа	0.816	0.541	0.833
housekeeper	домаќинка	0.694	0.279	0.520
housekeeping	домаќинство	0.604	0.500	0.445
housewarming	housewarming	0.857	0.710	0.727
housewife	домаќинка	0.656	0.361	0.449
housework	домашна работа	0.484	0.413	0.342
housing	домување	0.776	0.304	0.591
hovel	hovel	0.333	0.296	0.322
hover	лебдиш	0.510	0.431	0.404
hovercraft	hovercraft	0.541	0.654	0.588
howl	завива	0.357	0.646	0.407
howsoever	како и да е	0.459	0.309	0.345
hoy	NO TRANSLATION	0.583	0.298	0.471
hub	центар	0.479	0.399	0.433
hubby	hubby	0.548	0.435	0.430
huckleberry	huckleberry	0.600	0.279	0.296
huddle	веселба	0.604	0.509	0.445
hue	боја	0.507	0.416	0.417
huff	тежок	0.388	0.491	0.315
huffy	хафи	0.420	0.616	0.375
hug	прегратка	0.908	0.427	0.548
huge	огромна	0.573	0.625	0.783
hugger	гушкање	0.520	0.480	0.412
huggy	груб	0.854	0.429	0.451
hugs	прегратки	0.980	0.422	0.600
hulk	мечка	0.460	0.740	0.750
hull	трупот	0.542	0.265	0.353
hum	потпевнувам	0.490	0.296	0.276
human	човечки	0.767	0.314	0.605
humane	хуман	0.800	0.370	0.580
humanitarian	хуманитарна	0.786	0.317	0.709
humanities	хуманистички науки	0.729	0.325	0.677
humanity	човештвото	0.750	0.360	0.727
humankind	човештвото	0.885	0.394	0.714
humanoid	хуманоид	0.521	0.462	0.491
humanrights	NO TRANSLATION	0.792	0.559	0.730
humble	смирен	0.867	0.236	0.483
humbled	понизен	0.280	0.618	0.198
humbly	смирено	0.771	0.194	0.370
humbug	humbug	0.219	0.622	0.456
humdrum	хумор	0.269	0.246	0.353
humid	влажен	0.375	0.324	0.366
humidity	влажност	0.464	0.373	0.367
humiliate	понижувај	0.052	0.714	0.275
humiliated	понижени	0.104	0.712	0.216
humiliating	понижувачки	0.062	0.716	0.279
humiliation	понижување	0.048	0.712	0.310
humility	смирение	0.740	0.118	0.444
hummer	hummer	0.510	0.622	0.589
hummingbird	сколовранец	0.750	0.370	0.273
humongous	humongous	0.378	0.538	0.536
humor	хумор	0.890	0.633	0.462
humored	хумор	0.854	0.657	0.545
humorist	хуморист	0.958	0.790	0.607
humorous	хумористичен	0.906	0.616	0.665
hump	грпка	0.296	0.462	0.250
humpback	грбавец	0.235	0.346	0.247
hunch	хуман	0.561	0.630	0.567
hunchback	hunchback	0.208	0.390	0.259
hundred	сто	0.604	0.370	0.406
hundredth	стотина	0.427	0.368	0.466
hunger	глад	0.083	0.554	0.328
hungry	гладни	0.083	0.690	0.254
hunk	парче	0.438	0.375	0.361
hunks	лови	0.417	0.453	0.482
hunky	Хотки	0.469	0.571	0.438
hunt	лов	0.327	0.806	0.588
hunter	ловец	0.292	0.817	0.817
hunting	лов	0.448	0.713	0.714
huntress	ловџија	0.357	0.717	0.765
hurdle	пречка	0.198	0.682	0.434
hurl	фрли	0.316	0.745	0.574
hurrah	ура	0.802	0.740	0.500
hurricane	ураган	0.177	0.958	0.787
hurricanes	урагани	0.286	0.898	0.784
hurried	побрза	0.314	0.806	0.393
hurry	побрзај	0.422	0.735	0.481
hurryup	NO TRANSLATION	0.473	0.791	0.555
hurt	боли	0.062	0.773	0.291
hurtful	штетен	0.104	0.680	0.463
hurting	боли	0.153	0.778	0.221
husband	сопруг	0.771	0.500	0.655
husbandry	сточарство	0.643	0.473	0.445
hush	тишина	0.471	0.231	0.312
hushed	премолчуван	0.292	0.194	0.272
husk	NO TRANSLATION	0.378	0.173	0.147
husky	ескини	0.630	0.450	0.490
hussy	hussy	0.219	0.594	0.384
hustle	метежот	0.406	0.661	0.427
hustler	hustler	0.260	0.821	0.627
hut	колиба	0.633	0.270	0.375
hutch	hutch	0.385	0.453	0.520
hyacinth	хиацинт	0.372	0.360	0.342
hybrid	хибрид	0.500	0.365	0.570
hydra	хидра	0.406	0.598	0.534
hydrant	хидрант	0.570	0.413	0.367
hydrate	хидрат	0.610	0.367	0.547
hydraulic	хидрауличен	0.522	0.398	0.596
hydraulics	хидраулика	0.500	0.530	0.588
hydrocephalus	хидроцефалус	0.286	0.629	0.393
hydrodynamics	хидродинамика	0.552	0.582	0.664
