Word	Swahili-sw	Valence	Arousal	Dominance
handle	kushughulikia	0.698	0.571	0.558
handler	ushughulikiaji	0.439	0.593	0.861
handmade	handmade	0.776	0.383	0.475
handout	mtoaji	0.560	0.330	0.545
handprint	kitambulisho	0.635	0.289	0.463
handshake	handshake	0.816	0.654	0.492
handsome	nzuri	0.890	0.600	0.682
handwriting	mwandishi	0.615	0.378	0.381
handy	handy	0.741	0.378	0.639
handyman	handyman	0.660	0.373	0.393
hang	panga	0.323	0.529	0.446
hangar	hangar	0.490	0.456	0.481
hanger	hanger	0.439	0.462	0.461
hanging	kunyongwa	0.378	0.471	0.389
hangman	hangman	0.153	0.877	0.555
hangout	hangout	0.573	0.500	0.462
hangover	hangover	0.188	0.565	0.267
hangry	NO TRANSLATION	0.219	0.794	0.279
hank	hank	0.510	0.375	0.339
hankering	kukimbia	0.604	0.540	0.558
hanky	hanky	0.460	0.276	0.250
hap	NO TRANSLATION	0.503	0.431	0.453
haphazard	haipasi	0.469	0.530	0.324
hapless	haifai	0.271	0.442	0.193
happen	kutokea	0.677	0.670	0.551
happening	kinachotokea	0.646	0.529	0.555
happier	furaha	0.990	0.760	0.806
happiest	furaha zaidi	0.990	0.716	0.746
happily	kwa furaha	1.000	0.690	0.674
happiness	furaha	0.960	0.732	0.850
happy	furaha	1.000	0.735	0.772
happydance	furaha	0.857	0.760	0.582
happyday	siku ya furaha	0.929	0.650	0.663
happyheart	furaha	0.949	0.575	0.605
happyholidays	NO TRANSLATION	0.927	0.740	0.637
happynewyear	NO TRANSLATION	0.969	0.815	0.559
happyplace	NO TRANSLATION	0.938	0.589	0.645
happytweet	NO TRANSLATION	0.847	0.588	0.437
happyvalentinesday	NO TRANSLATION	0.929	0.784	0.509
harass	kusumbua	0.160	0.775	0.620
harassing	kunusumbua	0.120	0.873	0.446
harassment	unyanyasaji	0.083	0.896	0.420
harbinger	kizuizi	0.490	0.389	0.692
harbor	bandari	0.594	0.356	0.634
hard	ngumu	0.302	0.708	0.616
hardball	hardball	0.542	0.667	0.452
hardcore	hardcore	0.250	0.721	0.585
harden	ngumu	0.276	0.598	0.677
hardened	ngumu	0.406	0.618	0.764
hardening	kuimarisha	0.388	0.673	0.741
hardheaded	kichwa kikuu	0.156	0.699	0.571
hardness	ugumu	0.417	0.580	0.745
hardship	shida	0.094	0.775	0.482
hardware	vifaa	0.594	0.289	0.686
hardwood	ngumu	0.417	0.363	0.518
hardworking	mchapakazi	0.719	0.583	0.792
hardy	vigumu	0.571	0.569	0.810
hare	hare	0.620	0.410	0.345
harebrained	sungura	0.296	0.551	0.436
harem	harem	0.521	0.578	0.582
hark	hark	0.571	0.500	0.398
harlot	kahaba	0.198	0.798	0.330
harm	kuumiza	0.073	0.679	0.423
harmful	hatari	0.094	0.750	0.291
harmless	wasio na hatia	0.625	0.226	0.241
harmonica	harmonica	0.847	0.235	0.510
harmonics	harmonics	0.865	0.400	0.575
harmonious	inafanana	0.938	0.391	0.719
harmoniously	kwa usawa	0.969	0.265	0.647
harmonize	kuunganisha	0.939	0.461	0.609
harmony	maelewano	0.949	0.230	0.509
harness	kuunganisha	0.570	0.549	0.508
harp	harp	0.618	0.310	0.356
harper	harper	0.417	0.454	0.435
harpoon	chupa	0.490	0.700	0.557
harpsichord	harpsichord	0.541	0.490	0.438
harrowing	kuumiza	0.209	0.810	0.474
harry	harry	0.520	0.409	0.390
harsh	ngumu	0.250	0.650	0.623
harshness	ukali	0.323	0.600	0.779
hart	hart	0.643	0.389	0.447
harvest	mavuno	0.781	0.353	0.548
hash	hash	0.344	0.453	0.355
hashish	hashish	0.370	0.570	0.358
hassle	Hassle	0.177	0.740	0.489
haste	haraka	0.378	0.745	0.500
hasten	haraka	0.571	0.750	0.618
hastily	haraka	0.271	0.609	0.609
hasty	haraka	0.188	0.885	0.424
hat	kofia	0.604	0.183	0.353
hatch	kukata	0.479	0.653	0.402
hatchet	chupa	0.333	0.608	0.500
hate	chukia	0.031	0.802	0.430
hateeee	NO TRANSLATION	0.219	0.606	0.368
hateeveryone	NO TRANSLATION	0.041	0.840	0.429
hateful	chuki	0.071	0.819	0.430
hater	anachukia	0.052	0.702	0.422
hateyou	NO TRANSLATION	0.125	0.735	0.464
hating	kuchukia	0.083	0.820	0.434
hatred	chuki	0.037	0.847	0.424
haughty	wenye kiburi	0.240	0.708	0.588
haul	piga	0.551	0.564	0.453
haulage	kukimbia	0.561	0.510	0.650
haunt	haunt	0.288	0.676	0.576
haunted	haunted	0.264	0.731	0.520
have	kuwa na	0.757	0.389	0.593
haven	makao	0.684	0.265	0.547
havoc	havoc	0.163	0.769	0.535
haw	haw	0.406	0.426	0.431
hawk	hawk	0.583	0.530	0.631
hawking	hawking	0.521	0.509	0.491
hay	NO TRANSLATION	0.469	0.212	0.343
haye	haye	0.615	0.451	0.336
hayride	hayride	0.561	0.521	0.464
haystack	msipu wa nyasi	0.552	0.292	0.331
haywire	haywire	0.358	0.545	0.430
hazard	hatari	0.112	0.884	0.757
hazardous	hatari	0.061	0.750	0.670
haze	haze	0.427	0.327	0.217
hazmat	hazmat	0.398	0.479	0.519
hazy	hazy	0.450	0.433	0.230
head	kichwa	0.530	0.472	0.558
headache	kichwa	0.168	0.755	0.273
headaches	maumivu ya kichwa	0.104	0.720	0.259
headband	kichwa	0.670	0.469	0.527
headdress	kichwa cha kichwa	0.594	0.408	0.443
header	kichwa	0.560	0.398	0.740
headgear	kichwa	0.542	0.442	0.571
heading	kuelekea	0.551	0.292	0.642
headland	kichwa	0.574	0.551	0.430
headless	bila kichwa	0.136	0.582	0.235
headlight	kichwa	0.592	0.343	0.393
headline	kichwa cha habari	0.630	0.241	0.685
headliner	kichwa cha kichwa	0.500	0.490	0.625
headlock	kichwa	0.448	0.538	0.560
headlong	kichwa	0.354	0.548	0.409
headmaster	msimamizi mkuu	0.604	0.564	0.865
headphones	vichwa vya sauti	0.600	0.357	0.336
headquarter	makao makuu	0.615	0.269	0.525
headquarters	makao makuu	0.615	0.271	0.525
headset	kichwa	0.602	0.340	0.302
headstone	jiwe la kichwa	0.240	0.378	0.349
headstrong	kichwa	0.310	0.714	0.500
headway	barabara kuu	0.823	0.464	0.745
heady	kichwa	0.448	0.806	0.565
heal	kuponya	0.765	0.245	0.556
healer	mponyaji	0.863	0.378	0.741
healing	kuponya	0.750	0.452	0.585
health	afya	0.935	0.427	0.551
healthcare	Huduma ya afya	0.780	0.392	0.630
healthful	afya	0.930	0.315	0.769
healthy	afya	0.938	0.319	0.818
heap	lundo	0.582	0.510	0.474
hear	kusikia	0.760	0.429	0.444
hearer	msikilizaji	0.656	0.281	0.415
hearing	kusikia	0.669	0.490	0.595
hearsay	kusikia	0.288	0.623	0.333
hearse	mkutano	0.177	0.490	0.324
heart	moyo	0.827	0.500	0.693
heart disease	ugonjwa wa moyo	0.250	0.750	0.386
heartache	maumivu ya moyo	0.088	0.750	0.291
heartattack	NO TRANSLATION	0.156	0.839	0.455
heartbeat	moyo	0.750	0.698	0.585
heartbreak	kuvunjika moyo	0.208	0.610	0.245
heartbreaker	mkosaji wa moyo	0.265	0.685	0.580
heartbreaking	kuumiza moyo	0.146	0.811	0.423
heartbroken	moyo	0.082	0.551	0.235
heartburn	kuchochea moyo	0.143	0.613	0.398
hearted	moyo	0.823	0.410	0.805
heartfelt	kutoka kwa moyo	0.904	0.440	0.540
hearth	makao	0.760	0.275	0.536
heartily	kwa moyo wote	0.927	0.531	0.664
heartland	heartland	0.812	0.510	0.675
heartless	wasio na moyo	0.071	0.652	0.400
hearts	mioyo	0.948	0.592	0.634
heartsick	heartick	0.240	0.388	0.208
heartworm	moyo	0.333	0.550	0.430
hearty	moyoy	0.760	0.684	0.792
heat	joto	0.534	0.612	0.433
heated	hasira	0.479	0.497	0.542
heater	heater	0.500	0.573	0.538
heath	heath	0.802	0.387	0.546
heathen	wafalme	0.194	0.529	0.491
heather	heather	0.500	0.352	0.407
heating	inapokanzwa	0.647	0.491	0.537
heave	toa	0.716	0.588	0.664
heaven	mbinguni	0.896	0.385	0.600
heavenly	mbinguni	0.844	0.452	0.712
heavens	mbingu	0.806	0.273	0.683
heavily	sana	0.542	0.679	0.814
heaviness	uzito	0.219	0.549	0.318
heaving	kupungua	0.201	0.843	0.491
heavy	nzito	0.250	0.454	0.600
heavy metal	chuma nzito	0.417	0.755	0.621
heavyweight	nzito	0.429	0.578	0.713
heck	heck	0.240	0.728	0.560
hectares	hekta	0.570	0.250	0.471
hectic	hectic	0.167	0.811	0.438
hedge	ua	0.604	0.602	0.569
hedgehog	hedgehog	0.458	0.491	0.377
hedonism	hedonism	0.510	0.500	0.608
hee	hee	0.430	0.433	0.312
heed	tahadhari	0.750	0.490	0.569
heel	kisigino	0.480	0.350	0.385
heels	visigino	0.500	0.439	0.396
heft	heft	0.503	0.340	0.530
hefty	hefty	0.550	0.654	0.745
hegemonic	hegemonic	0.462	0.519	0.558
heheh	NO TRANSLATION	0.625	0.510	0.278
heifer	heifer	0.439	0.443	0.321
height	urefu	0.677	0.608	0.648
heighten	ongeze	0.755	0.622	0.765
heightened	imeongezeka	0.592	0.529	0.788
heinous	uovu	0.133	0.792	0.471
heir	mrithi	0.840	0.654	0.764
heiress	heiress	0.827	0.571	0.676
heirloom	heirloom	0.684	0.375	0.745
heirs	warithi	0.796	0.519	0.698
heist	heist	0.184	0.850	0.645
helical	helical	0.379	0.429	0.468
helicopter	helikopta	0.714	0.806	0.617
helipad	helipad	0.780	0.637	0.573
heliport	heliport	0.594	0.604	0.527
helium	heliamu	0.490	0.316	0.304
helix	helix	0.521	0.462	0.509
hell	Jahannamu	0.020	0.918	0.565
hellfire	moto wa kuzimu	0.143	0.890	0.618
hellhole	hellhole	0.200	0.615	0.421
hellish	hellish	0.125	0.860	0.545
helm	helm	0.511	0.450	0.615
helmet	kofia	0.573	0.327	0.402
helmsman	helmsman	0.490	0.441	0.647
help	msaada	0.673	0.471	0.460
helper	msaidizi	0.704	0.438	0.567
helpful	husaidia	0.816	0.337	0.705
helpless	wasio na msaada	0.104	0.420	0.214
helplessness	udhaifu	0.087	0.480	0.250
hem	NO TRANSLATION	0.562	0.283	0.291
hematite	hematite	0.448	0.389	0.342
hematoma	hematoma	0.146	0.600	0.398
hemi	hemi	0.510	0.363	0.342
hemisphere	hemphere	0.531	0.367	0.598
hemispheric	hemispheric	0.562	0.449	0.603
hemlock	hemlock	0.438	0.350	0.434
hemoglobin	hemoglobin	0.469	0.481	0.418
hemorrhage	uharibifu wa damu	0.031	0.849	0.426
hemorrhoids	hemorrhoids	0.133	0.702	0.304
hemostat	hemostat	0.388	0.442	0.464
hemp	kifua	0.469	0.439	0.422
hen	NO TRANSLATION	0.385	0.276	0.241
henceforth	tangu sasa	0.527	0.404	0.466
henhouse	henhouse	0.500	0.577	0.414
hepatitis	hepatitis	0.055	0.596	0.358
herald	herald	0.643	0.382	0.500
heraldry	heraldry	0.550	0.520	0.607
herb	mimea	0.643	0.418	0.353
herbaceous	herbaceous	0.560	0.220	0.310
herbal	mimea	0.592	0.255	0.390
herbarium	mimea	0.602	0.188	0.327
herbs	mimea	0.620	0.299	0.308
herd	ng'ombe	0.592	0.500	0.474
hereditary	urithi	0.531	0.600	0.737
heredity	urithi	0.704	0.445	0.818
heresy	uzushi	0.265	0.765	0.443
heretic	kihistoria	0.090	0.710	0.447
heretical	hisia	0.229	0.630	0.487
heretofore	hapo awali	0.479	0.388	0.385
hereunto	hapaunto	0.500	0.225	0.333
herewith	hapa	0.450	0.360	0.415
heritage	urithi	0.842	0.512	0.815
hermaphrodite	hermaphrodite	0.480	0.684	0.481
hermeneutics	hermeneutics	0.406	0.577	0.562
hermit	mkutano	0.271	0.337	0.351
hernia	hernia	0.146	0.486	0.223
hero	shujaa	0.940	0.806	0.881
heroic	shujaa	0.890	0.770	0.912
heroics	mashujaa	0.865	0.673	0.894
heroin	heroin	0.276	0.843	0.655
heroine	heroine	0.729	0.755	0.833
heroism	ujasiri	0.844	0.802	0.898
herpes	herpes	0.110	0.600	0.309
herpesvirus	herpesvirus	0.219	0.558	0.435
herring	herring	0.531	0.387	0.422
hertz	hertz	0.396	0.417	0.506
hesitant	kusita	0.333	0.542	0.321
hesitate	kusita	0.459	0.548	0.232
hesitating	kusita	0.265	0.528	0.240
hesitation	kusita	0.286	0.396	0.217
hetero	hetero	0.589	0.405	0.435
heterogeneity	heterogeneity	0.439	0.450	0.556
heterosexual	heterosexual	0.561	0.612	0.557
hew	hew	0.417	0.470	0.377
hex	hex	0.410	0.510	0.363
hexagon	hexagon	0.542	0.226	0.425
heyday	heyday	0.646	0.680	0.673
hiatus	hiatus	0.479	0.294	0.352
hibernate	hibernate	0.500	0.317	0.431
hibernation	hibernation	0.469	0.245	0.384
hiccup	hiccup	0.271	0.549	0.240
hick	hick	0.357	0.442	0.314
hickey	hikkey	0.448	0.529	0.345
hickory	hickory	0.520	0.490	0.415
hidden	siri	0.208	0.430	0.327
hide	kujificha	0.438	0.510	0.218
hideaway	jificha	0.448	0.481	0.360
hideous	hideous	0.091	0.750	0.328
hideout	kujificha	0.337	0.443	0.302
hiding	kujificha	0.250	0.567	0.364
hierarchical	hierarchical	0.521	0.620	0.939
hierarchy	uongozi	0.583	0.722	0.902
hieroglyphics	hieroglyphics	0.479	0.325	0.509
high	juu	0.684	0.510	0.614
high heels	visigino	0.646	0.528	0.429
highball	highball	0.656	0.520	0.481
higher	juu	0.866	0.528	0.713
highest	juu	0.771	0.640	0.710
highland	barafu	0.615	0.481	0.611
highlands	vilima	0.735	0.431	0.596
highlight	kuonyesha	0.844	0.637	0.882
highness	ukubwa	0.740	0.670	0.931
hight	ukuta	0.667	0.637	0.645
hightail	rejareja	0.448	0.480	0.481
highway	barabara kuu	0.640	0.583	0.425
hijack	wizi	0.042	0.908	0.594
hijacker	nyaraji	0.104	0.953	0.683
hike	kuongezeka	0.615	0.442	0.538
hiker	msafiri	0.694	0.802	0.644
hiking	kutembea	0.820	0.843	0.670
hiking boot	kuendesha boot	0.657	0.353	0.446
hilarious	wenye hilarious	0.750	0.640	0.537
hilarity	hilarity	0.745	0.480	0.575
hill	kilima	0.615	0.353	0.518
hillside	kilima	0.625	0.292	0.458
hilltop	kilima	0.688	0.643	0.787
hilly	hilly	0.643	0.479	0.603
hilt	hilt	0.396	0.650	0.537
hind	nyuma	0.483	0.644	0.337
hinder	kuzuia	0.276	0.537	0.470
hindering	kuzuia	0.260	0.654	0.435
hindrance	kizuizi	0.135	0.545	0.473
hindsight	hindsight	0.333	0.431	0.532
hinge	kizuizi	0.458	0.292	0.417
hint	kidokezo	0.602	0.330	0.517
hinterland	nchi ya nchi	0.530	0.520	0.457
hip	hip	0.448	0.415	0.345
hip hop	hip hop	0.740	0.714	0.484
hippie	hippie	0.551	0.400	0.396
hippo	kiboko	0.490	0.404	0.477
hippopotamus	kiboko	0.541	0.472	0.615
hire	kukodisha	0.688	0.558	0.556
hirsute	tamaa	0.385	0.483	0.373
hiss	hiss	0.388	0.480	0.370
hissing	kupiga kelele	0.500	0.454	0.400
histology	histology	0.490	0.320	0.560
historian	mwanahistoria	0.688	0.270	0.637
historic	kihistoria	0.816	0.473	0.784
historical	kihistoria	0.653	0.357	0.833
historiography	historia	0.562	0.415	0.634
history	historia	0.729	0.382	0.754
hit	hit	0.235	0.931	0.679
hitch	tochi	0.512	0.480	0.554
hitchhike	hitchhike	0.396	0.622	0.385
hitchhiker	mchezaji	0.594	0.626	0.603
hitherto	hadi leo	0.448	0.356	0.463
hitter	hitter	0.418	0.683	0.713
hive	mzinga	0.471	0.452	0.544
hives	mizinga	0.417	0.473	0.591
hoard	hoard	0.506	0.412	0.518
hoarse	tamaa	0.281	0.402	0.315
hoary	hoary	0.469	0.298	0.424
hoax	utapeli	0.146	0.696	0.303
hob	kitanda	0.633	0.363	0.415
hobbit	hobbit	0.479	0.489	0.472
hobby	hobby	0.827	0.560	0.471
hobo	hobo	0.323	0.443	0.282
hock	shika	0.513	0.452	0.412
hockey	Hockey	0.565	0.786	0.548
hoe	NO TRANSLATION	0.302	0.480	0.418
hog	nguruwe	0.317	0.509	0.271
hogwash	hogwash	0.420	0.490	0.361
hohoho	NO TRANSLATION	0.677	0.433	0.330
hoist	ukingo	0.521	0.520	0.458
hokey	hokey	0.604	0.667	0.430
hold	kushikilia	0.448	0.290	0.364
holder	mmiliki	0.592	0.330	0.713
holding	kushikilia	0.600	0.385	0.670
holdup	ngoja	0.398	0.471	0.398
hole	shimo	0.531	0.310	0.330
holiday	Sikukuu	0.948	0.431	0.593
holidays	likizo	0.939	0.521	0.512
holidayseason	NO TRANSLATION	0.875	0.566	0.518
holiness	utakatifu	0.860	0.264	0.742
holistic	jumla	0.670	0.348	0.547
holler	holler	0.276	0.825	0.406
hollow	mashimo	0.300	0.337	0.222
holly	holly	0.510	0.250	0.443
holocaust	holocaust	0.062	0.918	0.618
hologram	hologramu	0.615	0.461	0.575
holographic	holographic	0.510	0.471	0.555
holster	holster	0.561	0.255	0.339
holy	takatifu	0.812	0.112	0.690
holyspirit	NO TRANSLATION	0.740	0.480	0.526
homage	heshima	0.833	0.560	0.737
hombre	NO TRANSLATION	0.656	0.472	0.696
hombres	NO TRANSLATION	0.510	0.538	0.652
home	nyumbani	0.854	0.270	0.545
homeboy	nyumbaniboy	0.602	0.255	0.436
homecoming	kukuza	0.760	0.413	0.472
homeland	nchi	0.663	0.439	0.868
homeless	wasio na makazi	0.042	0.450	0.188
homely	heshima	0.745	0.157	0.399
homemade	kufanya kazi	0.869	0.340	0.398
homeopathic	homeopathic	0.417	0.268	0.400
homeopathy	upigiaji	0.469	0.284	0.439
homeowner	mwenye nyumba	0.635	0.397	0.962
homeroom	homeroom	0.604	0.480	0.491
homesick	kuchukia nyumbani	0.436	0.304	0.347
homestead	makazi	0.865	0.221	0.536
homesweethome	homesweethome	0.796	0.380	0.538
hometown	mji	0.858	0.333	0.605
homeward	kwenda nyumbani	0.833	0.275	0.435
homework	kazi ya nyumbani	0.396	0.412	0.459
homey	homey	0.769	0.278	0.500
homicidal	homicidal	0.020	0.912	0.573
homicide	kujiua	0.010	0.973	0.518
homily	homily	0.621	0.358	0.425
homing	homing	0.551	0.460	0.527
hominy	uharibifu	0.479	0.382	0.429
homo	homo	0.531	0.368	0.415
homogeneity	homogeneity	0.715	0.365	0.582
homogeneous	sawa	0.552	0.255	0.617
homologous	homologous	0.471	0.353	0.536
homologue	homologue	0.542	0.356	0.509
homology	homology	0.571	0.494	0.527
homophobic	wanadamu	0.130	0.736	0.464
homosexual	mashoga	0.333	0.780	0.431
homosexuality	ushoga	0.367	0.696	0.429
honcho	honcho	0.469	0.464	0.397
hone	hone	0.688	0.392	0.473
honest	waaminifu	0.927	0.254	0.750
honesty	uaminifu	0.938	0.411	0.728
honey	asali	0.920	0.431	0.510
honeycomb	asali	0.541	0.417	0.412
honeymoon	asali	0.979	0.678	0.526
honeysuckle	honeysuckle	0.597	0.451	0.517
honk	honk	0.549	0.635	0.415
honky	honky	0.458	0.632	0.425
honor	heshima	0.896	0.587	0.857
honorable	heshima	0.963	0.412	0.830
honorarium	heshima	0.796	0.510	0.746
honorary	heshima	0.885	0.565	0.811
honored	kuheshimiwa	0.938	0.447	0.732
hooch	kosa	0.429	0.538	0.373
hood	hood	0.357	0.459	0.306
hooded	zimefungwa	0.306	0.745	0.439
hoodlum	hoodlum	0.354	0.720	0.432
hoof	kofia	0.427	0.341	0.365
hook	ndoano	0.418	0.444	0.395
hooked	yaliyopigwa	0.610	0.661	0.454
hooker	hooker	0.214	0.889	0.373
hookup	kukuza	0.625	0.529	0.683
hooky	ndoano	0.468	0.500	0.452
hooligan	hofu	0.295	0.712	0.455
hoop	kitanzi	0.635	0.204	0.315
hoopla	hoopla	0.542	0.471	0.353
hooray	hooray	0.610	0.481	0.536
hoot	hoot	0.449	0.560	0.430
hooter	hooter	0.470	0.615	0.455
hop	hop	0.450	0.520	0.427
hope	tumaini	0.927	0.317	0.739
hopeful	matumaini	0.947	0.357	0.627
hopeless	tumaini	0.094	0.298	0.112
hopelessness	kutokuwa na tamaa	0.052	0.402	0.223
hopes	matumaini	0.917	0.500	0.702
hoping	matumaini	0.684	0.469	0.454
hopper	hopper	0.396	0.491	0.442
horde	horde	0.286	0.713	0.684
horizon	upeo wa macho	0.729	0.284	0.590
horizontal	usawa	0.573	0.304	0.387
horizontally	usawa	0.500	0.356	0.439
hormonal	homoni	0.500	0.620	0.551
hormone	homoni	0.490	0.750	0.621
horn	pembe	0.385	0.510	0.366
horned	huwa	0.316	0.610	0.375
hornet	hornet	0.398	0.594	0.500
horny	horny	0.490	0.908	0.560
horoscope	horoscope	0.500	0.360	0.490
horrendous	mbaya	0.073	0.755	0.365
horrible	kutisha	0.071	0.857	0.398
horribly	horribly	0.050	0.631	0.454
horrid	tamaa	0.052	0.765	0.419
horrific	kutisha	0.094	0.846	0.481
horrified	hofu	0.040	0.885	0.368
horrifying	hofu	0.010	0.760	0.352
horror	hofu	0.115	0.850	0.438
horrors	hofu	0.061	0.852	0.409
horse	farasi	0.635	0.510	0.529
horseback	farasi	0.688	0.588	0.566
horseman	farasi	0.441	0.700	0.676
horsepower	farasi	0.594	0.735	0.735
horseradish	horseradish	0.321	0.584	0.476
horseshit	farasi	0.153	0.582	0.179
horseshoe	farasi	0.673	0.350	0.406
horsey	horsey	0.602	0.454	0.462
horticultural	maua	0.594	0.387	0.509
horticulture	kilimo cha maua	0.700	0.420	0.434
hosannah	NO TRANSLATION	0.679	0.373	0.500
hose	hose	0.469	0.288	0.263
hosiery	hosiery	0.520	0.344	0.373
hospice	hospice	0.337	0.443	0.535
hospitable	mkaribishaji	0.791	0.470	0.661
hospital	hospitali	0.323	0.537	0.598
hospitality	ukarimu	0.865	0.333	0.725
host	mwenyeji	0.693	0.471	0.537
hostage	mateka	0.163	0.923	0.325
hostel	hosteli	0.479	0.500	0.398
hostess	mhudumu	0.792	0.604	0.688
hostile	chuki	0.188	0.877	0.474
hostilities	vita	0.276	0.810	0.444
hostility	uadui	0.122	0.775	0.465
hot	moto	0.490	0.740	0.573
hot sauce	mchuzi wa moto	0.333	0.740	0.509
hotbed	hotbed	0.510	0.285	0.395
hotdog	hotdog	0.720	0.438	0.373
hotel	hoteli	0.740	0.370	0.407
hothead	hothead	0.240	0.849	0.518
hotline	Saa ya mwisho	0.592	0.565	0.663
hotshot	hotshot	0.500	0.727	0.615
hotyoga	NO TRANSLATION	0.683	0.609	0.446
hound	hound	0.417	0.528	0.582
hour	saa	0.552	0.265	0.336
hourglass	hourglass	0.542	0.284	0.492
hourly	saa	0.469	0.418	0.491
house	nyumba	0.587	0.135	0.533
houseboat	nyumba ya nyumba	0.604	0.389	0.429
houseboy	mke wa nyumba	0.479	0.415	0.393
housebroken	housebroken	0.518	0.461	0.389
houseguest	mwenye nyumba	0.530	0.500	0.481
household	kaya	0.781	0.230	0.667
householder	mwenye nyumba	0.816	0.541	0.833
housekeeper	mwenye nyumba	0.694	0.279	0.520
housekeeping	uhifadhi wa nyumba	0.604	0.500	0.445
housewarming	housewarming	0.857	0.710	0.727
housewife	mama wa nyumbani	0.656	0.361	0.449
housework	kazi za nyumbani	0.484	0.413	0.342
housing	nyumba	0.776	0.304	0.591
hovel	hovel	0.333	0.296	0.322
hover	hover	0.510	0.431	0.404
hovercraft	hovercraft	0.541	0.654	0.588
howl	piga kelele	0.357	0.646	0.407
howsoever	kila kitu	0.459	0.309	0.345
hoy	NO TRANSLATION	0.583	0.298	0.471
hub	kitovu	0.479	0.399	0.433
hubby	hubby	0.548	0.435	0.430
huckleberry	huckleberry	0.600	0.279	0.296
huddle	huddle	0.604	0.509	0.445
hue	hue	0.507	0.416	0.417
huff	huff	0.388	0.491	0.315
huffy	huffy	0.420	0.616	0.375
hug	kumkumbatia	0.908	0.427	0.548
huge	kubwa	0.573	0.625	0.783
hugger	hugger	0.520	0.480	0.412
huggy	huggy	0.854	0.429	0.451
hugs	hukumbwa	0.980	0.422	0.600
hulk	hulk	0.460	0.740	0.750
hull	piga	0.542	0.265	0.353
hum	hum	0.490	0.296	0.276
human	binadamu	0.767	0.314	0.605
humane	utulivu	0.800	0.370	0.580
humanitarian	kibinadamu	0.786	0.317	0.709
humanities	binadamu	0.729	0.325	0.677
humanity	ubinadamu	0.750	0.360	0.727
humankind	wanadamu	0.885	0.394	0.714
humanoid	humanoid	0.521	0.462	0.491
humanrights	NO TRANSLATION	0.792	0.559	0.730
humble	wanyenyekevu	0.867	0.236	0.483
humbled	imeshushwa	0.280	0.618	0.198
humbly	kwa unyenyekevu	0.771	0.194	0.370
humbug	humbug	0.219	0.622	0.456
humdrum	humdrum	0.269	0.246	0.353
humid	unyevu	0.375	0.324	0.366
humidity	unyevu	0.464	0.373	0.367
humiliate	dharau	0.052	0.714	0.275
humiliated	aibu	0.104	0.712	0.216
humiliating	kudhalilisha	0.062	0.716	0.279
humiliation	udhalilishaji	0.048	0.712	0.310
humility	unyenyekevu	0.740	0.118	0.444
hummer	hummer	0.510	0.622	0.589
hummingbird	hummingbird	0.750	0.370	0.273
humongous	humongous	0.378	0.538	0.536
humor	ucheshi	0.890	0.633	0.462
humored	alifurahi	0.854	0.657	0.545
humorist	humorist	0.958	0.790	0.607
humorous	humorous	0.906	0.616	0.665
hump	vurugu	0.296	0.462	0.250
humpback	humpback	0.235	0.346	0.247
hunch	uwindaji	0.561	0.630	0.567
hunchback	hunchback	0.208	0.390	0.259
hundred	mia	0.604	0.370	0.406
hundredth	mia	0.427	0.368	0.466
hunger	njaa	0.083	0.554	0.328
hungry	njaa	0.083	0.690	0.254
hunk	hunk	0.438	0.375	0.361
hunks	hunks	0.417	0.453	0.482
hunky	hunky	0.469	0.571	0.438
hunt	kuwinda	0.327	0.806	0.588
hunter	wawindaji	0.292	0.817	0.817
hunting	uwindaji	0.448	0.713	0.714
huntress	wawindaji	0.357	0.717	0.765
hurdle	shika	0.198	0.682	0.434
hurl	piga	0.316	0.745	0.574
hurrah	hurray	0.802	0.740	0.500
hurricane	kimbunga	0.177	0.958	0.787
hurricanes	vimbunga	0.286	0.898	0.784
hurried	haraka	0.314	0.806	0.393
hurry	haraka	0.422	0.735	0.481
hurryup	NO TRANSLATION	0.473	0.791	0.555
hurt	kuumiza	0.062	0.773	0.291
hurtful	kuumiza	0.104	0.680	0.463
hurting	kuumiza	0.153	0.778	0.221
husband	mume	0.771	0.500	0.655
husbandry	mkulima	0.643	0.473	0.445
hush	nyamaza	0.471	0.231	0.312
hushed	hushed	0.292	0.194	0.272
husk	NO TRANSLATION	0.378	0.173	0.147
husky	husky	0.630	0.450	0.490
hussy	hussy	0.219	0.594	0.384
hustle	piga	0.406	0.661	0.427
hustler	hustler	0.260	0.821	0.627
hut	kibanda	0.633	0.270	0.375
hutch	kibanda	0.385	0.453	0.520
hyacinth	hyacinth	0.372	0.360	0.342
hybrid	mseto	0.500	0.365	0.570
hydra	hydra	0.406	0.598	0.534
hydrant	hydrant	0.570	0.413	0.367
hydrate	hydrate	0.610	0.367	0.547
hydraulic	majimaji	0.522	0.398	0.596
hydraulics	majimaji	0.500	0.530	0.588
hydrocephalus	hydrocephalus	0.286	0.629	0.393
hydrodynamics	hydrodynamics	0.552	0.582	0.664
hydrogen	hidrojeni	0.469	0.303	0.554
hydrographic	hydrographic	0.490	0.396	0.642
hydrology	hidrojeni	0.500	0.380	0.509
hydrophobia	hydrophobia	0.323	0.784	0.351
hydroponics	hydroponics	0.500	0.549	0.500
hyena	hyena	0.396	0.719	0.464
hygiene	usafi	0.781	0.287	0.537
hygienic	usafi	0.719	0.245	0.702
hygienist	usafi	0.698	0.389	0.682
hymen	watu	0.469	0.651	0.457
