Word	Finnish-fi	Valence	Arousal	Dominance
kayak	kajakki	0.592	0.600	0.364
kazoo	kazoo	0.503	0.462	0.411
kebab	kebab	0.531	0.431	0.377
keel	köli	0.344	0.417	0.419
keen	innokas	0.823	0.719	0.806
keep	pitää	0.714	0.296	0.547
keeper	maalivahti	0.612	0.457	0.773
keeping	pito	0.592	0.280	0.723
keepsake	muistoesine	0.740	0.307	0.491
keg	lekkeri	0.551	0.389	0.404
kelp	rakkolevä	0.479	0.264	0.213
ken	ken	0.438	0.409	0.360
kennel	kennel	0.430	0.480	0.406
kerchief	huivi	0.520	0.189	0.236
kern	Kern	0.438	0.420	0.449
kernel	ydin	0.542	0.453	0.462
kerosene	kerosiini	0.302	0.472	0.427
ketchup	ketsuppi	0.653	0.338	0.282
kettle	kattila	0.357	0.497	0.333
key	avain	0.615	0.275	0.519
keyboard	näppäimistö	0.573	0.279	0.349
keyed	näppäilty	0.469	0.497	0.521
keyhole	avaimenreikä	0.438	0.358	0.356
keynote	pääajatus	0.630	0.431	0.545
keypad	näppäimet	0.604	0.255	0.330
keystone	kulmakivi	0.573	0.438	0.491
keyword	avainsana	0.602	0.520	0.747
khaki	khaki	0.594	0.252	0.278
khan	kaani	0.463	0.476	0.529
kibble	nappulat	0.510	0.458	0.404
kick	potkia	0.271	0.791	0.526
kickboxing	potkunyrkkeily	0.427	0.882	0.651
kicker	propelli	0.427	0.711	0.614
kicking	potkiminen	0.327	0.802	0.510
kickoff	käynnistää	0.583	0.600	0.629
kid	lapsi	0.760	0.453	0.298
kidder	Kidder	0.708	0.768	0.471
kidding	leikkiä	0.622	0.625	0.457
kiddo	kiddo	0.674	0.393	0.419
kiddos	kiddos	0.500	0.480	0.342
kidnap	siepata	0.032	0.923	0.535
kidnapped	kidnapattu	0.044	0.923	0.455
kidnapper	sieppaaja	0.115	0.906	0.618
kidnapping	kaappaus	0.094	0.880	0.561
kidney	munuainen	0.448	0.363	0.380
kids	Lasten	0.837	0.500	0.417
kill	tappaa	0.052	0.941	0.736
killer	tappaja	0.041	0.971	0.543
killing	tappaminen	0.080	0.959	0.696
killjoy	ilonpilaaja	0.178	0.550	0.324
kiln	polttouuni	0.451	0.423	0.414
kilo	NO TRANSLATION	0.438	0.358	0.461
kilogram	kilogramma	0.510	0.260	0.455
kilometer	kilometri	0.490	0.439	0.485
kilt	kiltti	0.448	0.346	0.348
kimono	kimono	0.643	0.280	0.363
kin	sukulaiset	0.543	0.441	0.457
kind	kiltti	0.918	0.240	0.618
kindergarten	lastentarha	0.833	0.462	0.308
kindling	sytykkeet	0.520	0.651	0.421
kindness	ystävällisyys	0.938	0.350	0.508
kindred	sukulais-	0.760	0.418	0.517
kinematics	kinematiikka	0.594	0.480	0.614
kinesiology	Kinesiologia	0.491	0.480	0.633
kinetic	kineettinen	0.582	0.540	0.537
king	kuningas	0.677	0.690	0.892
king snake	kuningas käärme	0.458	0.835	0.647
kingdom	kuningaskunta	0.714	0.547	0.910
kingpin	pomo	0.357	0.626	0.642
kink	omituisuus	0.337	0.634	0.321
kinky	perverssi	0.449	0.558	0.361
kinship	sukulaisuus	0.771	0.300	0.652
kiosk	kioski	0.500	0.286	0.321
kirk	Kirk	0.510	0.390	0.388
kiss	suudella	0.967	0.813	0.630
kisser	suutelija	0.844	0.682	0.618
kissy	kissy	0.874	0.684	0.402
kit	pakki	0.583	0.344	0.420
kitchen	keittiö	0.700	0.234	0.398
kite	leija	0.643	0.500	0.573
kitten	kissanpentu	0.816	0.343	0.260
kiwi	kiivi	0.646	0.273	0.282
klutz	klutz	0.275	0.451	0.356
knack	taito	0.562	0.518	0.820
knapsack	selkäreppu	0.551	0.317	0.268
knead	vaivata	0.490	0.457	0.345
knee	polvi	0.520	0.245	0.396
kneecap	polvilumpio	0.427	0.360	0.440
kneel	polvistua	0.426	0.417	0.217
kneeling	polvillaan	0.245	0.435	0.144
knell	kuolinkellot	0.354	0.500	0.377
knick	knick	0.480	0.509	0.420
knickers	alushousut	0.552	0.428	0.328
knife	veitsi	0.344	0.717	0.573
knight	ritari	0.780	0.441	0.835
knighthood	ritarius	0.740	0.660	0.769
knit	neuloa	0.630	0.144	0.295
knob	nuppi	0.340	0.360	0.272
knock	koputtaa	0.312	0.531	0.527
knockoff	knockoff	0.350	0.606	0.240
knockout	tyrmäys	0.388	0.755	0.664
knoll	kumpu	0.434	0.347	0.333
knot	solmu	0.541	0.221	0.408
knots	solmua	0.418	0.346	0.267
knotted	solmitut	0.226	0.412	0.294
know	tietää	0.765	0.361	0.704
knowing	tietäen	0.833	0.353	0.658
knowingly	tahallaan	0.500	0.459	0.481
knowledge	tuntemus	0.847	0.430	0.896
knowledgeable	asiantunteva	0.865	0.455	0.971
knuckle	rysty	0.655	0.333	0.393
knucklehead	Knucklehead	0.157	0.485	0.288
knuckles	rystyset	0.271	0.461	0.320
koala	koala	0.608	0.210	0.311
kook	NO TRANSLATION	0.417	0.471	0.398
kooky	kooky	0.418	0.582	0.366
kool-aid	Kool-Aid	0.531	0.318	0.393
kos	Kos	0.500	0.471	0.407
kosher	kunnollinen	0.469	0.443	0.312
kraut	NO TRANSLATION	0.388	0.500	0.390
kris	Kris	0.427	0.417	0.407
kryptonite	kryptonite	0.306	0.690	0.588
kudos	maine	0.925	0.587	0.642
kumquat	kumkvatit	0.417	0.426	0.390
lab	laboratorio	0.479	0.500	0.600
label	etiketti	0.582	0.245	0.423
labor	työvoima	0.594	0.639	0.754
laboratory	laboratorio	0.571	0.490	0.537
labored	vaivalloinen	0.646	0.451	0.637
laborer	työmies	0.561	0.510	0.698
laboring	laboring	0.705	0.644	0.737
laborious	työläs	0.393	0.635	0.709
labyrinth	labyrintti	0.479	0.811	0.491
lac	Lac	0.408	0.418	0.331
lace	pitsi	0.625	0.200	0.293
laceration	haava	0.143	0.667	0.443
lack	puute	0.250	0.365	0.242
lackey	lakeija	0.260	0.510	0.166
lacking	puuttuva	0.229	0.375	0.121
lackluster	lattea	0.250	0.311	0.264
lacquer	lakka	0.510	0.353	0.258
lacrosse	lacrosse	0.573	0.656	0.509
lactose	laktoosi	0.479	0.290	0.433
lad	poika	0.637	0.388	0.336
ladder	tikapuut	0.560	0.438	0.358
laddie	piltti	0.668	0.539	0.391
laden	kuormattu	0.392	0.478	0.554
lading	laivaan	0.388	0.463	0.409
ladle	kauha	0.531	0.368	0.352
lady	nainen	0.854	0.481	0.602
lady bug	NO TRANSLATION	0.490	0.434	0.381
ladybug	leppäkerttu	0.602	0.400	0.224
ladylike	hienostunut	0.592	0.559	0.538
ladyship	armonne	0.561	0.480	0.822
lag	viive	0.220	0.375	0.246
lager	NO TRANSLATION	0.584	0.480	0.353
lagging	jääneillä	0.135	0.538	0.277
lagoon	laguuni	0.660	0.231	0.373
lair	pesä	0.469	0.438	0.392
laity	maallikot	0.510	0.320	0.487
lake	järvi	0.694	0.196	0.425
lama	NO TRANSLATION	0.560	0.320	0.400
lamb	lammas	0.646	0.284	0.321
lame	ontuva	0.145	0.410	0.217
lament	valittaa	0.198	0.398	0.352
lamenting	valittavan	0.156	0.390	0.254
lamina	lamina	0.510	0.314	0.408
laminated	laminoitu	0.417	0.304	0.373
lamp	lamppu	0.510	0.260	0.309
lamppost	lyhtypylväs	0.420	0.337	0.455
lance	peitsi	0.406	0.620	0.587
lancer	lancer	0.417	0.528	0.519
land	maa	0.582	0.260	0.616
landed	laskeutunut	0.709	0.620	0.480
landfall	maantuntuma	0.521	0.434	0.407
landfill	kaatopaikka	0.398	0.423	0.324
landing	lasku	0.552	0.696	0.596
landlady	emäntä	0.677	0.303	0.417
landlocked	sisämaavaltio	0.280	0.391	0.367
landlord	vuokraisäntä	0.684	0.500	0.858
landmark	maamerkki	0.694	0.355	0.681
lands	maat	0.594	0.280	0.492
landscape	maisema	0.719	0.176	0.423
landscaping	maisemasuunnittelu	0.823	0.379	0.519
landslide	maanvyörymä	0.250	0.864	0.530
lane	kaista	0.449	0.490	0.451
language	Kieli	0.677	0.337	0.704
languid	raukea	0.281	0.270	0.283
languish	nääntyä	0.235	0.408	0.382
languishing	riutuva	0.308	0.459	0.353
lanky	hontelo	0.412	0.426	0.370
lantern	lyhty	0.622	0.250	0.243
lap	kierros	0.583	0.510	0.412
lapdog	sylikoira	0.388	0.490	0.269
lapel	käänne	0.460	0.287	0.288
lapse	lipsahdus	0.420	0.316	0.281
lapsed	rauennut	0.357	0.333	0.276
laptop	kannettava tietokone	0.724	0.270	0.519
larceny	varkaus	0.272	0.821	0.454
lard	laardi	0.427	0.239	0.179
larder	ruokakaappi	0.656	0.290	0.509
large	suuri	0.704	0.565	0.736
larger	suuremmat	0.729	0.654	0.763
largo	NO TRANSLATION	0.521	0.480	0.517
lark	kiuru	0.570	0.292	0.352
larva	toukka	0.245	0.423	0.254
laryngitis	kurkunpään tulehdus	0.125	0.500	0.370
larynx	kurkunpää	0.460	0.420	0.402
lasagna	lasagne	0.719	0.441	0.396
laser	laser	0.469	0.531	0.769
lash	luimia	0.235	0.794	0.609
lass	tyttö	0.656	0.536	0.433
lasso	lasso	0.438	0.460	0.339
lastday	NO TRANSLATION	0.309	0.580	0.463
lasting	kestävä	0.804	0.535	0.745
lastminute	viimeinen minuutti	0.418	0.582	0.385
latch	salpa	0.395	0.263	0.288
late	myöhään	0.245	0.358	0.315
lateness	myöhäinen	0.214	0.388	0.343
latent	piilevä	0.469	0.500	0.653
lateral	lateraalinen	0.469	0.370	0.322
laterally	sivusuunnassa	0.562	0.255	0.450
latex	lateksi	0.479	0.413	0.325
lathe	sorvi	0.510	0.450	0.425
lather	vaahdota	0.635	0.327	0.313
latitude	leveysaste	0.562	0.306	0.490
latrine	käymälä	0.380	0.353	0.176
latrines	käymälät	0.214	0.462	0.267
latte	latte	0.615	0.320	0.311
lattice	ristikko	0.406	0.420	0.349
laud	ylistää	0.493	0.427	0.383
laudable	kiitettävä	0.740	0.472	0.682
laudation	laudation	0.542	0.547	0.623
laudatory	ylistelevä	0.612	0.417	0.450
laugh	nauraa	0.980	0.639	0.587
laughable	naurettava	0.592	0.627	0.298
laughing	naurava	0.906	0.596	0.534
laughingstock	NO TRANSLATION	0.427	0.779	0.312
laughs	nauraa	0.812	0.846	0.425
laughter	nauru	0.959	0.654	0.588
launch	tuoda markkinoille	0.684	0.814	0.598
launcher	kantoraketti	0.677	0.745	0.808
launches	lanseeraukset	0.490	0.663	0.602
launder	pestä	0.479	0.450	0.349
laundering	rahanpesuun	0.439	0.327	0.444
laundry	pesula	0.644	0.292	0.377
laureate	palkinnonsaaja	0.724	0.402	0.702
laurel	laakeri	0.646	0.146	0.302
laurels	laakeriseppele	0.684	0.279	0.545
lava	laava	0.280	0.539	0.615
lavage	huuhtelu	0.615	0.467	0.361
lavatory	WC	0.510	0.400	0.259
lavender	laventeli	0.812	0.198	0.388
lavish	ylenmääräinen	0.792	0.648	0.730
law	laki	0.740	0.590	0.815
lawful	laillinen	0.660	0.394	0.780
lawless	laiton	0.219	0.690	0.420
lawlessness	laittomuuden	0.156	0.804	0.509
lawman	Lawman	0.510	0.523	0.786
lawn	nurmikko	0.686	0.153	0.192
lawnmower	ruohonleikkuri	0.480	0.531	0.355
lawsuit	oikeusjuttu	0.219	0.794	0.611
lawyer	lakimies	0.521	0.569	0.784
lax	löyhä	0.430	0.401	0.300
laxative	laksatiivi	0.271	0.550	0.528
lay	asettaa	0.521	0.336	0.491
layaway	layaway	0.429	0.510	0.451
layer	kerros	0.500	0.208	0.366
layered	kerroksittainen	0.571	0.306	0.436
layman	maallikko	0.531	0.339	0.424
layout	layout	0.615	0.442	0.557
layover	välilasku	0.520	0.355	0.500
laziness	laiskuus	0.271	0.240	0.132
lazy	laiska	0.392	0.264	0.096
lazyday	NO TRANSLATION	0.337	0.319	0.145
lea	keto	0.583	0.294	0.358
lead	johtaa	0.323	0.657	0.455
leaded	lyijypitoinen	0.439	0.625	0.595
leader	johtaja	0.833	0.582	0.926
leadership	johto	0.870	0.690	0.983
leading	johtava	0.823	0.698	0.954
leads	johtaa	0.530	0.471	0.615
leaf	puun lehti	0.583	0.156	0.294
leaflet	esite	0.490	0.206	0.375
leafy	lehtevä	0.653	0.530	0.700
league	liiga	0.656	0.340	0.462
leak	vuotaa	0.378	0.833	0.520
leakage	vuoto	0.188	0.731	0.528
leaky	vuotava	0.170	0.686	0.288
lean	nojata	0.734	0.353	0.438
leaned	nojautui	0.570	0.373	0.490
leaning	kalteva	0.480	0.409	0.352
leap	harppaus	0.750	0.663	0.667
learn	oppia	0.833	0.643	0.829
learned	oppinut	0.704	0.462	0.543
learner	oppilas	0.698	0.475	0.398
learning	oppiminen	0.833	0.588	0.574
lease	vuokrata	0.520	0.463	0.545
leash	talutushihna	0.320	0.347	0.427
leather	nahka-	0.510	0.324	0.341
leathery	nahkea	0.418	0.471	0.411
leave	jättää	0.375	0.315	0.295
leavemealone	Jätä minut rauhaan	0.240	0.472	0.402
leaving	jättäen	0.163	0.542	0.371
lecherous	irstas	0.135	0.704	0.376
lecture	luento	0.594	0.462	0.737
lecturer	lehtori	0.677	0.549	0.736
ledge	hylly	0.406	0.235	0.339
ledger	pääkirja	0.510	0.362	0.609
lee	suojanpuoli	0.510	0.269	0.296
leech	iilimato	0.250	0.623	0.268
leeches	iilimatoja	0.115	0.698	0.295
leer	NO TRANSLATION	0.612	0.348	0.509
leery	varovainen	0.337	0.640	0.410
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	pelivara	0.562	0.577	0.569
left	vasen	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	jäänne	0.490	0.460	0.222
leftovers	ruoantähteet	0.219	0.350	0.116
lefty	vasuri	0.490	0.406	0.379
leg	jalka	0.510	0.373	0.313
legacy	perintö	0.792	0.529	0.827
legal	oikeudellinen	0.653	0.387	0.887
legality	laillisuus	0.765	0.343	0.713
legalize	laillistaa	0.510	0.460	0.818
legalized	laillistettu	0.760	0.440	0.855
legally	oikeudellisesti	0.771	0.482	0.842
legend	legenda	0.837	0.519	0.750
legendary	legendaarinen	0.857	0.537	0.863
legibility	luettavuus	0.771	0.481	0.580
legible	helposti luettava	0.673	0.279	0.509
legion	legioona	0.469	0.570	0.852
legislate	säätää lakeja	0.571	0.582	0.736
legislation	lainsäädäntö	0.531	0.418	0.808
legislative	lainsäädännöllinen	0.633	0.365	0.800
legislator	lainsäätäjä	0.490	0.580	0.877
legislature	lainsäätäjä	0.540	0.435	0.698
legit	legit	0.747	0.427	0.849
legitimacy	oikeutus	0.823	0.420	0.855
legitimate	laillinen	0.792	0.363	0.841
lego	lego	0.600	0.294	0.189
legs	jalat	0.479	0.407	0.228
legume	palkokasvien	0.520	0.302	0.465
legwork	legwork	0.622	0.560	0.509
leisure	vapaa-	0.631	0.429	0.421
leisurely	verkalleen	0.806	0.250	0.367
lemma	lemma	0.530	0.284	0.391
lemon	sitruuna	0.596	0.317	0.316
lemonade	limsa	0.661	0.287	0.412
lend	lainata	0.520	0.461	0.508
lender	luotonantaja	0.340	0.520	0.703
lending	luotonanto	0.510	0.585	0.462
length	pituus	0.479	0.308	0.533
lengthen	pidentää	0.619	0.481	0.566
lengthened	pidentyneet	0.448	0.530	0.474
lengthening	pidentäminen	0.673	0.530	0.528
lengthwise	pitkittäin	0.571	0.470	0.528
lengthy	pitkähkö	0.570	0.342	0.528
leniency	lempeys	0.517	0.436	0.545
lenient	lempeä	0.520	0.451	0.340
lens	linssi	0.420	0.245	0.472
leopard	leopardi	0.542	0.755	0.611
leotard	trikoot	0.510	0.429	0.391
leper	spitaalinen	0.075	0.589	0.206
leprechaun	Menninkäisen	0.417	0.480	0.417
leprosy	lepra	0.130	0.670	0.349
lesbian	lesbo	0.385	0.660	0.415
lesbianism	lesbous	0.327	0.725	0.440
lesion	vamma	0.240	0.623	0.361
less	Vähemmän	0.265	0.240	0.115
lessee	vuokralainen	0.417	0.474	0.595
lessen	vähentyä	0.235	0.284	0.255
lessening	vähentyminen	0.375	0.300	0.277
lesser	vähemmän	0.396	0.167	0.211
lesson	oppitunti	0.704	0.577	0.593
lessor	vuokranantaja	0.552	0.490	0.623
let	antaa	0.427	0.373	0.307
lethal	tappava	0.156	0.800	0.745
lethargic	unelias	0.214	0.245	0.375
lethargy	uneliaisuus	0.194	0.302	0.316
letter	kirje	0.635	0.279	0.342
lettered	oppinut	0.542	0.361	0.482
letterhead	kirjepapereissa	0.450	0.316	0.462
lettering	tekstaus	0.541	0.180	0.431
letters	kirjaimet	0.663	0.327	0.364
lettuce	lehtisalaatti	0.594	0.163	0.291
leukemia	leukemia	0.094	0.572	0.351
levee	aamuvastaanotto	0.520	0.324	0.490
level	taso	0.622	0.277	0.491
lever	vipu	0.400	0.343	0.402
leverage	vaikutusvalta	0.459	0.500	0.629
levitate	leijailla	0.561	0.598	0.551
levy	vero	0.438	0.420	0.491
lewd	irstas	0.188	0.673	0.412
lexicon	sanakirja	0.561	0.463	0.615
ley	NO TRANSLATION	0.604	0.389	0.764
liabilities	velat	0.429	0.608	0.694
liability	vastuu	0.646	0.500	0.802
liable	velvollinen	0.656	0.519	0.821
liaison	yhteys	0.698	0.337	0.472
liar	valehtelija	0.042	0.606	0.339
libel	kunnianloukkaus	0.128	0.694	0.403
libelous	herjaava	0.125	0.735	0.436
liberal	liberaali	0.565	0.565	0.755
liberalism	liberalismi	0.562	0.712	0.750
liberate	vapauttaa	0.760	0.632	0.708
liberated	vapautunut	0.780	0.630	0.683
liberating	vapauttava	0.915	0.620	0.745
liberation	vapautus	0.745	0.614	0.857
liberty	vapaus	0.938	0.579	0.836
libido	libido	0.770	0.602	0.571
librarian	kirjastonhoitaja	0.625	0.135	0.509
library	kirjasto	0.776	0.122	0.549
libretto	libretto	0.612	0.328	0.406
lice	täitä	0.133	0.500	0.194
license	lisenssi	0.500	0.394	0.702
lichen	jäkälä	0.418	0.388	0.463
lick	nuolla	0.470	0.482	0.330
licorice	lakritsi	0.677	0.310	0.400
lid	kansi	0.490	0.189	0.255
lie	valehdella	0.130	0.725	0.272
liege	lääninherra	0.479	0.426	0.452
lien	panttioikeus	0.396	0.580	0.441
lieu	panttioikeus	0.427	0.410	0.312
lieutenant	luutnantti	0.594	0.612	0.920
life	elämä	0.918	0.615	0.824
lifeblood	elinehto	0.673	0.690	0.708
lifeboat	pelastusvene	0.724	0.425	0.533
lifeguard	hengenpelastaja	0.870	0.606	0.786
lifeisgood	elämä on hyvää	0.812	0.575	0.611
lifeless	eloton	0.042	0.333	0.163
lifelike	elävä	0.776	0.567	0.765
lifeline	elinehto	0.735	0.552	0.496
lifelong	elinikäinen	0.823	0.330	0.640
lifer	elinkautinen vanki	0.427	0.519	0.398
lifesaver	hengenpelastaja	0.908	0.745	0.703
lifestyle	elämäntapa	0.750	0.472	0.645
lifesucks	elämä kusee	0.167	0.637	0.377
lifetime	elinikä	0.816	0.559	0.736
lift	hissi	0.704	0.518	0.656
lifted	nostettu	0.714	0.441	0.657
liftoff	laukaisuun	0.531	0.667	0.588
ligament	nivelside	0.490	0.410	0.510
ligation	ligaatio	0.344	0.423	0.396
ligature	sidos	0.478	0.430	0.447
light	valo	0.771	0.320	0.519
light year	valovuosi	0.719	0.425	0.593
lightbulb	hehkulamppu	0.573	0.255	0.302
lighten	keventää	0.688	0.438	0.362
lightheaded	pyörrytystä	0.347	0.620	0.255
lighthouse	majakka	0.622	0.240	0.510
lighting	valaistus	0.765	0.440	0.750
lightness	kepeys	0.794	0.360	0.526
lightning	salama	0.429	0.683	0.595
lights	valot	0.750	0.480	0.575
lightweight	kevyt	0.670	0.300	0.358
likable	sympaattinen	0.865	0.480	0.663
like	Kuten	0.719	0.353	0.446
likelihood	todennäköisyys	0.760	0.469	0.542
likely	todennäköisesti	0.633	0.356	0.454
likeness	samankaltaisuus	0.688	0.410	0.561
likewise	samoin	0.651	0.217	0.312
liking	mieleen	0.963	0.604	0.589
lilac	liila	0.688	0.180	0.357
lily	lilja	0.640	0.245	0.263
limb	raaja	0.510	0.397	0.427
limber	notkea	0.688	0.729	0.673
limbo	limbo	0.385	0.284	0.309
lime	lime	0.594	0.240	0.415
limelight	parrasvalot	0.667	0.639	0.694
limestone	kalkkikivi	0.602	0.323	0.381
limey	britti	0.469	0.347	0.415
limit	raja	0.427	0.453	0.500
limitation	rajoitus	0.190	0.431	0.225
limited	rajallinen	0.229	0.273	0.380
limitless	rajaton	0.688	0.574	0.655
limo	limo	0.760	0.367	0.667
limousine	limusiini	0.638	0.531	0.640
limp	ontua	0.393	0.440	0.172
lin	lin	0.416	0.362	0.343
line	linja	0.541	0.180	0.353
lineage	sukuperä	0.633	0.465	0.721
lineal	suoraviivainen	0.521	0.170	0.474
linear	lineaarinen	0.646	0.250	0.472
linebacker	linebacker	0.490	0.660	0.543
lined	vuorattu	0.438	0.367	0.424
linen	liinavaatteet	0.656	0.323	0.286
liner	vuoraus	0.469	0.396	0.400
lines	linjat	0.542	0.317	0.330
lineup	jonottaa	0.635	0.427	0.638
linger	viipyä	0.480	0.311	0.412
lingerie	alusvaatteet	0.543	0.463	0.308
lingering	viipyvä	0.630	0.643	0.667
lingo	mongerrus	0.448	0.364	0.447
lingual	monikielinen	0.500	0.457	0.315
linguini	linguini	0.625	0.338	0.355
linguist	kielitieteilijä	0.583	0.330	0.634
linguistic	kielellinen	0.646	0.351	0.618
linguistics	kielitiede	0.552	0.390	0.618
lining	vuori	0.571	0.363	0.472
link	linkki	0.427	0.264	0.491
linoleum	korkkimatto	0.510	0.378	0.402
lint	nukka	0.388	0.173	0.214
lion	leijona	0.532	0.717	0.682
lip	huuli	0.541	0.348	0.443
liposuction	rasvaimu	0.292	0.684	0.464
lipstick	huulipuna	0.653	0.429	0.306
liquefaction	nesteytyslaitokset	0.449	0.622	0.535
liquefied	nesteytetty	0.562	0.463	0.342
liqueur	likööri	0.670	0.612	0.389
liquid	neste	0.562	0.235	0.307
liquidate	likvidoida	0.327	0.654	0.664
liquidation	selvitystila	0.417	0.625	0.649
liquidator	selvitysmies	0.354	0.663	0.750
liquidity	likviditeetti	0.688	0.529	0.534
liquor	viina	0.603	0.702	0.433
lira	NO TRANSLATION	0.530	0.255	0.370
lisp	lespata	0.365	0.412	0.288
list	lista	0.528	0.260	0.402
listen	kuunnella	0.771	0.360	0.445
listener	kuuntelija	0.667	0.375	0.403
listenting	NO TRANSLATION	0.640	0.377	0.491
listing	listaus	0.438	0.273	0.432
listless	välinpitämätön	0.219	0.350	0.231
listneing	NO TRANSLATION	0.531	0.370	0.433
litany	litania	0.510	0.365	0.482
liter	litra	0.573	0.208	0.382
literacy	lukutaito	0.730	0.306	0.638
literal	kirjaimellinen	0.570	0.353	0.574
literally	kirjaimellisesti	0.571	0.353	0.673
literary	kirjallisuuden-	0.719	0.324	0.667
literature	kirjallisuus	0.708	0.250	0.598
lithe	notkea	0.656	0.596	0.602
lithium	litium	0.417	0.330	0.430
lithograph	litografia	0.551	0.327	0.481
lithography	kivipaino	0.561	0.346	0.473
lithology	kivilajeiltaan	0.519	0.378	0.525
lithosphere	lithosphere	0.473	0.333	0.689
litigant	asianosainen	0.219	0.577	0.696
litigate	käräjöidä	0.260	0.819	0.712
litigation	oikeudenkäynti	0.388	0.760	0.602
litigator	litigator	0.429	0.630	0.732
litigious	käräjöimishaluinen	0.360	0.736	0.632
litter	kuivikkeet	0.255	0.551	0.110
little	vähän	0.385	0.160	0.213
littlethings	pienet asiat	0.740	0.311	0.242
littoral	ranta-	0.551	0.387	0.452
liturgy	liturgia	0.490	0.327	0.568
live	elää	0.880	0.673	0.676
livelife	elä elämää	0.792	0.624	0.664
livelihood	toimeentulo	0.698	0.481	0.721
lively	vilkas	0.847	0.810	0.642
liven	elävöittää	0.708	0.713	0.673
liver	maksa	0.439	0.290	0.385
livery	livree	0.510	0.417	0.429
livestock	karja	0.729	0.420	0.519
livid	raivoissaan	0.469	0.788	0.490
living	elävä	0.865	0.608	0.727
lizard	lisko	0.378	0.375	0.324
llama	laama	0.490	0.590	0.519
lml	LML	0.448	0.519	0.385
load	ladata	0.385	0.417	0.528
loader	kuormaaja	0.562	0.377	0.686
loaf	leipä	0.755	0.250	0.277
loafer	tyhjäntoimittaja	0.235	0.396	0.254
loam	savimaata	0.469	0.373	0.673
loan	lainata	0.552	0.480	0.352
loath	haluton	0.135	0.714	0.445
loathe	inhota	0.094	0.730	0.429
loathful	inhottava	0.068	0.740	0.358
loathing	inho	0.083	0.796	0.368
loathsome	inhottava	0.120	0.694	0.343
lobby	aula	0.625	0.427	0.472
lobbyist	lobbisti	0.385	0.527	0.565
lobe	lohko	0.459	0.364	0.352
lobotomy	lobotomia	0.296	0.598	0.402
lobster	hummeri	0.571	0.356	0.291
local	paikallinen	0.656	0.269	0.452
locale	maa	0.449	0.387	0.352
locality	sijainti	0.582	0.336	0.464
localization	lokalisointi	0.552	0.330	0.545
localize	paikallistaa	0.520	0.481	0.679
localized	lokalisoitu	0.490	0.460	0.621
locate	paikantaa	0.583	0.520	0.786
location	sijainti	0.615	0.375	0.546
locator	paikannin	0.480	0.426	0.614
loch	järvi	0.449	0.235	0.425
lock	Lukko	0.271	0.585	0.600
locker	kaappi	0.439	0.300	0.393
locket	medaljonki	0.615	0.327	0.616
locksmith	lukkoseppä	0.510	0.417	0.491
lockup	lukita	0.240	0.602	0.617
loco	veturi	0.306	0.774	0.226
locomotion	liikkumiskyky	0.470	0.600	0.595
locomotive	veturi	0.542	0.650	0.721
locust	heinäsirkka	0.479	0.412	0.417
lode	NO TRANSLATION	0.365	0.423	0.318
lodge	jättää	0.656	0.356	0.474
lodger	asukki	0.480	0.448	0.304
lodging	majapaikka	0.713	0.286	0.527
loft	parvi	0.510	0.378	0.343
lofty	ylevä	0.755	0.306	0.569
log	loki	0.591	0.371	0.395
logarithm	logaritmi	0.520	0.439	0.551
logarithmic	logaritminen	0.469	0.458	0.606
logic	logiikka	0.646	0.245	0.819
logical	looginen	0.805	0.400	0.648
logistics	logistiikka	0.633	0.500	0.730
logo	logo	0.469	0.296	0.565
logotype	logo	0.480	0.337	0.509
loin	NO TRANSLATION	0.420	0.298	0.379
lollipop	tikkukaramelli	0.628	0.483	0.357
lone	yksinäinen	0.198	0.204	0.367
loneliness	yksinäisyys	0.146	0.182	0.222
lonely	yksinäinen	0.250	0.226	0.238
loner	yksinolija	0.347	0.152	0.221
lonesome	yksinäinen	0.281	0.213	0.336
long	pitkä	0.541	0.353	0.543
longboat	Longboat	0.551	0.454	0.490
longevity	pitkäikäisyys	0.750	0.353	0.745
longing	kaipaus	0.604	0.434	0.560
longitude	pituusaste	0.479	0.310	0.516
longitudinal	pitkittäinen	0.542	0.398	0.582
longitudinally	pitkittäin	0.541	0.380	0.569
longtime	pitkä aika	0.362	0.442	0.546
loo	vessa	0.385	0.357	0.283
look	Katso	0.719	0.429	0.615
looker	todistaja	0.583	0.354	0.451
lookout	Varo	0.698	0.538	0.639
loom	kangaspuut	0.531	0.245	0.325
looming	uhkaavaan	0.367	0.750	0.528
loon	kuikka	0.429	0.392	0.325
loony	mielipuoli	0.439	0.474	0.295
loop	silmukka	0.516	0.343	0.317
loophole	porsaanreikä	0.406	0.755	0.491
loopy	loopy	0.438	0.520	0.195
loose	löysä	0.573	0.312	0.365
loosen	löysätä	0.487	0.337	0.218
loosening	löystyminen	0.378	0.343	0.295
loot	ryöstää	0.604	0.711	0.537
lop	lerpattaa	0.429	0.363	0.426
lopsided	vino	0.125	0.500	0.272
lord	herra	0.618	0.327	0.684
lords	ylähuone	0.571	0.356	0.781
lordship	herruudesta	0.573	0.557	0.736
lore	Lore	0.719	0.373	0.768
lorry	rekka	0.521	0.481	0.402
lose	menettää	0.115	0.538	0.176
