Word	Samoan-sm	Valence	Arousal	Dominance
overrun	sili atu	0.271	0.764	0.598
oversee	vaaia	0.541	0.649	0.778
overseer	ovasia	0.552	0.520	0.873
overshadow	ufiufi	0.333	0.549	0.654
oversight	vaavaaiga	0.385	0.618	0.723
oversized	televave	0.552	0.540	0.679
overslept	sili atu	0.408	0.315	0.300
overstate	sili atu	0.281	0.779	0.635
overstock	lapisi	0.344	0.592	0.589
overt	togi	0.708	0.326	0.607
overtake	maua	0.573	0.620	0.718
overtaken	togia	0.594	0.552	0.702
overthemoon	NO TRANSLATION	0.643	0.531	0.481
overthinker	gatasi	0.430	0.606	0.552
overthinking	faʻaleagaina	0.408	0.761	0.525
overthrow	faatoilaloina	0.260	0.868	0.620
overtime	ova taimi	0.447	0.504	0.529
overtired	faʻasolosolo	0.210	0.357	0.273
overture	toesea	0.490	0.402	0.491
overturn	solo	0.240	0.765	0.396
overview	vaaiga lautele	0.615	0.380	0.539
overweight	mamafa tele	0.052	0.500	0.389
overwhelm	lofituina	0.250	0.823	0.462
overwhelmed	lofituina	0.341	0.680	0.348
overwhelming	lofituina	0.327	0.830	0.640
overworked	sili atu	0.133	0.670	0.387
overwrought	faʻaleagaina	0.156	0.900	0.571
overzealous	loto maelega	0.427	0.804	0.703
owe	aitalafu	0.500	0.429	0.386
owing	aitalafu	0.396	0.307	0.381
owl	liki	0.520	0.270	0.321
owner	pule	0.776	0.449	0.920
ownership	pule	0.628	0.445	0.741
ox	povi	0.417	0.396	0.412
oxidation	oxidation	0.453	0.415	0.211
oxide	uila	0.354	0.377	0.298
oxygen	okesene	0.908	0.310	0.575
oxymoron	oxymoron	0.427	0.481	0.398
oyster	lapisi	0.500	0.311	0.327
ozone	ozone	0.560	0.345	0.518
pace	saoasaoa	0.510	0.380	0.390
pacemaker	suauu masini	0.448	0.569	0.582
pacific	pacific	0.627	0.118	0.580
pacified	faʻamaonia	0.802	0.194	0.414
pacifier	pacifier	0.615	0.342	0.356
pacifist	pacifist	0.663	0.153	0.557
pacify	faʻalelei	0.812	0.283	0.629
pacing	sopo	0.583	0.551	0.491
pack	afifi	0.510	0.347	0.475
package	afifi	0.571	0.433	0.443
packaging	afifiina	0.604	0.393	0.549
packer	faila	0.520	0.480	0.537
packet	pepa	0.582	0.385	0.407
pact	feagaiga	0.442	0.444	0.593
pad	papa	0.684	0.279	0.330
padded	faʻa	0.606	0.212	0.371
padding	paʻu	0.561	0.398	0.423
paddle	papa	0.561	0.375	0.393
paddle boat	vaʻa momoe	0.663	0.373	0.415
paddock	papa	0.480	0.429	0.481
paddy	paddy	0.653	0.330	0.330
padlock	tapuni	0.459	0.284	0.457
padre	NO TRANSLATION	0.684	0.407	0.647
paean	paean	0.552	0.547	0.471
pagan	faapaupau	0.292	0.578	0.542
paganism	faapaupau	0.240	0.640	0.411
page	itulau	0.677	0.224	0.278
pageant	faʻailoga	0.719	0.667	0.651
pager	pager	0.510	0.526	0.554
pagination	paina	0.459	0.333	0.400
paging	paʻu	0.542	0.398	0.423
pagoda	pagoda	0.571	0.259	0.435
pail	pulu	0.448	0.177	0.188
pain	tiga	0.012	0.765	0.395
pained	tiga	0.112	0.500	0.250
painful	tiga	0.050	0.742	0.330
painfully	tiga	0.156	0.720	0.407
painkiller	pulu	0.487	0.312	0.481
painless	leai se afaina	0.785	0.173	0.491
pains	tiga	0.106	0.673	0.362
painstaking	faʻailoga	0.396	0.335	0.386
paint	vali	0.667	0.343	0.413
paintball	paʻalo	0.615	0.745	0.537
paintbrush	pulumu vali	0.714	0.226	0.353
painted	vali	0.667	0.333	0.424
painter	tusiata	0.677	0.366	0.487
painting	atavali	0.792	0.324	0.333
pair	paʻu	0.552	0.317	0.304
paisley	paisley	0.531	0.327	0.347
pajama	pajama	0.908	0.157	0.245
pajamas	pajamas	0.719	0.170	0.264
pal	pala	0.812	0.426	0.596
palace	maota	0.878	0.510	0.804
palatable	pala	0.823	0.500	0.594
palate	palate	0.625	0.350	0.358
pale	pale	0.281	0.259	0.245
paleontology	paleontology	0.438	0.308	0.617
palette	paleti	0.590	0.333	0.205
pall	pall	0.277	0.387	0.394
palladium	palladium	0.470	0.380	0.393
pallet	paleti	0.604	0.241	0.349
palliative	faʻamalosi	0.548	0.394	0.518
palm	pama	0.531	0.194	0.340
palmer	palmer	0.480	0.269	0.413
palomino	palomino	0.616	0.349	0.396
palpable	faʻamalosi	0.552	0.343	0.611
palpitations	paʻu	0.417	0.702	0.528
palsy	supa	0.083	0.446	0.221
paltry	vaivai	0.333	0.491	0.320
pamper	faʻatau	0.792	0.321	0.348
pamphlet	tamai tusi	0.530	0.250	0.327
pan	pan	0.734	0.182	0.364
panacea	panacea	0.420	0.427	0.613
panache	panache	0.510	0.363	0.306
pancake	pancake	0.802	0.274	0.364
pancakes	pancakes	0.844	0.373	0.402
pancreas	pancreas	0.469	0.302	0.366
panda	panda	0.646	0.194	0.406
pandemic	faʻamaʻi	0.160	0.790	0.544
pandemonium	pandemonium	0.229	0.885	0.500
pane	tali	0.385	0.250	0.444
panel	laulau	0.469	0.321	0.425
pang	NO TRANSLATION	0.146	0.595	0.455
panhandle	panhandle	0.441	0.431	0.414
panic	popole	0.062	0.938	0.400
panicattack	NO TRANSLATION	0.255	0.724	0.386
panicked	fefe	0.100	0.949	0.260
panicking	popole	0.094	0.882	0.333
panicky	panicky	0.284	0.962	0.393
panier	NO TRANSLATION	0.500	0.392	0.380
panorama	panorama	0.719	0.402	0.625
panoramic	panoramic	0.542	0.462	0.684
pansy	pansy	0.653	0.283	0.589
pant	pusa	0.448	0.463	0.409
pantheon	pantheon	0.144	0.410	0.610
panther	panther	0.303	0.594	0.682
panties	ofu talatala	0.594	0.529	0.312
pantomime	pantomime	0.552	0.481	0.385
pantry	faletalimalo	0.622	0.294	0.312
pants	sisi	0.673	0.320	0.333
panty	pulupulu	0.451	0.557	0.303
pantyhose	pantyhose	0.570	0.539	0.250
pap	Pap	0.438	0.403	0.302
papa	Papa	0.656	0.340	0.527
papacy	Papacy	0.481	0.263	0.553
papal	NO TRANSLATION	0.493	0.304	0.559
papaya	papaya	0.630	0.306	0.300
paper	pepa	0.520	0.123	0.293
paperback	pepa pepa	0.633	0.269	0.314
paperboy	pepa pepa	0.521	0.490	0.471
paperweight	pepa pepa	0.421	0.278	0.433
paperwork	pepa pepa	0.448	0.355	0.422
paprika	Paprika	0.417	0.250	0.264
papyrus	papyrus	0.459	0.240	0.324
par	NO TRANSLATION	0.615	0.372	0.429
parable	faataoto	0.479	0.357	0.525
parabola	faʻapipiʻi	0.542	0.413	0.620
parabolic	pepelo	0.459	0.509	0.500
parachute	parachute	0.562	0.787	0.564
parade	faʻailoga	0.792	0.685	0.509
paradigm	tala faʻatusa	0.573	0.429	0.779
paradise	palataiso	0.875	0.540	0.796
paradox	faʻamaonia	0.417	0.442	0.482
paradoxical	faʻamaonia	0.406	0.547	0.433
paraffin	parafoni	0.426	0.291	0.343
paragon	paʻu	0.490	0.431	0.473
paragraph	palakalafa	0.510	0.164	0.269
parakeet	parakeeti	0.576	0.387	0.227
paralegal	faiva	0.479	0.470	0.519
parallax	parallax	0.437	0.394	0.471
parallel	tutusa	0.568	0.284	0.465
parallelism	tutusa tutusa	0.549	0.363	0.527
paralysis	maʻi pipili	0.156	0.500	0.305
paralyze	paʻu	0.188	0.367	0.471
paralyzed	faʻamaʻi	0.194	0.480	0.198
paramedic	fomaʻi	0.673	0.464	0.636
paramedics	fomaʻi	0.479	0.594	0.712
paramilitary	mea faʻapitoa	0.154	0.804	0.727
paramount	sili ona taua	0.771	0.615	0.902
paranoia	faʻamalosi	0.146	0.841	0.407
paranoid	taʻavale	0.122	0.918	0.364
paranormal	paranormal	0.167	0.814	0.560
parapet	faʻasologa	0.450	0.356	0.279
paraphernalia	mea faʻaleagaina	0.443	0.726	0.509
paraphrase	toe faaupuina	0.500	0.375	0.444
paraplegic	paraplegic	0.188	0.441	0.321
parasite	parasite	0.092	0.442	0.324
parasitic	parasitic	0.037	0.600	0.364
parasol	parasol	0.604	0.255	0.304
parcel	fasi fanua	0.660	0.324	0.411
parcels	pusa	0.551	0.445	0.418
parched	mūmū	0.250	0.235	0.255
parchment	palapala	0.615	0.228	0.455
pardon	faamagalo	0.552	0.413	0.542
pare	NO TRANSLATION	0.500	0.356	0.309
parenchyma	parenchyma	0.500	0.399	0.595
parent	matua	0.812	0.357	0.860
parentage	matua	0.903	0.382	0.595
parental	matua	0.760	0.430	0.627
parenthesis	NO TRANSLATION	0.510	0.255	0.380
parenthetical	matua	0.490	0.327	0.391
parenthood	tulaga faamatua	0.750	0.630	0.782
parenting	matua	0.812	0.520	0.676
pariah	pariah	0.397	0.478	0.293
parietal	parietal	0.481	0.333	0.491
paring	faʻatasi	0.429	0.441	0.324
parish	falesa	0.698	0.354	0.582
parity	lotogatasi	0.582	0.406	0.407
park	paka	0.816	0.343	0.414
parka	Parka	0.469	0.481	0.395
parking	paka	0.777	0.469	0.510
parkinsons	parkinsons	0.104	0.570	0.373
parlance	parlance	0.510	0.350	0.462
parlay	solo	0.469	0.611	0.483
parliament	palemene	0.573	0.540	0.858
parliamentary	Palemene	0.490	0.554	0.755
parlor	potu malolo	0.500	0.327	0.366
parmesan	parmesan	0.698	0.321	0.382
parody	parody	0.561	0.651	0.375
parole	palola	0.388	0.620	0.526
parquet	fola	0.541	0.240	0.422
parrot	fala	0.588	0.333	0.292
parry	parry	0.510	0.404	0.436
parse	solo	0.469	0.456	0.667
parsimonious	parsimonious	0.417	0.312	0.446
parsimony	parsimony	0.449	0.280	0.403
parsley	pasili	0.458	0.170	0.291
parson	vave	0.583	0.250	0.615
part	vaega	0.663	0.278	0.360
partake	'ai	0.755	0.656	0.629
partial	vaega	0.429	0.324	0.348
partiality	faʻaaloalo	0.375	0.380	0.490
partially	vaega	0.418	0.368	0.396
participant	tagata auai	0.712	0.598	0.613
participate	auai	0.755	0.580	0.684
participation	auai	0.781	0.700	0.702
particle	mea itiiti	0.521	0.265	0.438
particular	faapitoa	0.562	0.402	0.552
particularity	faapitoa	0.670	0.434	0.586
particulars	auiliiliga	0.604	0.348	0.525
parting	vavae	0.260	0.542	0.353
partisan	fomaʻi	0.615	0.549	0.669
partisanship	vavalalata	0.438	0.566	0.551
partition	vaeluaga	0.615	0.469	0.567
partly	vaega	0.415	0.410	0.396
partner	paaga	0.673	0.302	0.586
partnership	paaga	0.786	0.387	0.545
partridge	paterika	0.583	0.415	0.250
parts	vaega	0.459	0.327	0.392
party	pati	0.948	0.840	0.547
pas	NO TRANSLATION	0.490	0.344	0.262
pass	pasi	0.510	0.324	0.362
passable	faʻasalalau	0.688	0.337	0.633
passage	fuaitau	0.429	0.314	0.370
passageway	auala	0.490	0.389	0.400
passe	NO TRANSLATION	0.531	0.357	0.426
passenger	pasese	0.717	0.413	0.481
passim	NO TRANSLATION	0.458	0.491	0.333
passing	pasi	0.458	0.298	0.509
passion	naunau	0.854	0.865	0.728
passionate	naunau	0.990	0.827	0.731
passive	pasi	0.420	0.116	0.241
passivity	pasi	0.241	0.115	0.246
passkey	pasika	0.646	0.500	0.791
passport	tusifolau	0.653	0.457	0.682
password	numera e le iloa e sesi	0.390	0.356	0.559
past	tuanaʻi	0.490	0.422	0.311
pasta	pasta	0.615	0.306	0.375
paste	faapipii	0.500	0.556	0.500
pastel	pastel	0.719	0.357	0.367
pastime	taimi masani	0.677	0.353	0.443
pastor	faifeʻau	0.698	0.236	0.746
pastrami	pastrami	0.542	0.415	0.348
pastry	falaoamata	0.870	0.407	0.419
pasture	meaʻai	0.688	0.145	0.170
pasty	toso	0.479	0.363	0.375
pat	pat	0.418	0.377	0.340
patch	patch	0.439	0.288	0.283
patchwork	patchwork	0.500	0.260	0.325
pate	pate	0.406	0.260	0.260
patella	patella	0.430	0.260	0.342
patent	pateni	0.724	0.391	0.609
patented	pateni	0.571	0.422	0.685
paternal	paternal	0.776	0.353	0.755
paternity	paternity	0.704	0.590	0.806
path	ala	0.590	0.245	0.421
pathetic	faʻanoanoa	0.088	0.464	0.139
pathological	maʻi faʻaleaga	0.220	0.602	0.580
pathologist	fomaʻi	0.354	0.552	0.585
pathology	togafitiga	0.271	0.560	0.558
pathos	NO TRANSLATION	0.350	0.449	0.462
pathway	auala	0.646	0.410	0.519
patience	onosai	0.771	0.125	0.387
patient	onosai	0.583	0.193	0.340
patio	patio	0.562	0.245	0.402
patriarch	peteriaka	0.592	0.448	0.898
patriarchal	peteriaka	0.531	0.500	0.857
patrimony	tamaʻitaʻi	0.719	0.406	0.740
patriot	lotonuu	0.771	0.635	0.886
patriotic	lotonuu	0.875	0.509	0.933
patriotism	lotonuu	0.708	0.635	0.848
patrol	leoleo	0.427	0.664	0.736
patrolman	tagata palota	0.469	0.731	0.884
patron	lagolago	0.583	0.451	0.870
patronage	lagolago	0.583	0.490	0.583
patronising	faʻamaonia	0.439	0.455	0.582
patronize	faʻamalosi	0.430	0.451	0.591
patronizing	faʻamaonia	0.542	0.365	0.529
patter	pateni	0.312	0.635	0.451
pattern	mamanu	0.479	0.422	0.664
paucity	vaivai	0.153	0.453	0.175
pauper	pauva	0.260	0.347	0.151
pause	malolo	0.429	0.188	0.264
pave	pave	0.594	0.490	0.509
pavement	laupapa	0.460	0.353	0.475
pavilion	faapaologa	0.583	0.500	0.770
paving	paʻu	0.408	0.469	0.545
paw	paʻu	0.417	0.360	0.286
pawn	pawn	0.390	0.321	0.187
pawnshop	pawnshop	0.396	0.439	0.519
pax	pax	0.551	0.421	0.473
pay	totogi	0.514	0.588	0.592
payable	totogi	0.385	0.480	0.606
payback	toe totogi	0.459	0.500	0.567
paycheck	totogi siaki	0.896	0.630	0.652
payday	aso totogi	0.833	0.741	0.571
payer	totogi	0.313	0.630	0.638
payload	totogi totogi	0.612	0.510	0.682
payment	totogi	0.629	0.452	0.643
payoff	totogi motu	0.740	0.644	0.673
payout	totogi	0.646	0.600	0.575
payphone	totogi telefoni	0.469	0.360	0.370
payroll	totogi salalau	0.521	0.360	0.549
pea	pea	0.580	0.275	0.298
peace	filemu	0.939	0.156	0.613
peaceable	filemu	0.776	0.134	0.453
peaceful	filemu	0.867	0.108	0.569
peacefully	filemu	0.901	0.190	0.639
peacekeeper	leoleo filemu	0.865	0.320	0.644
peaceofmind	NO TRANSLATION	0.786	0.160	0.519
peacetime	peʻa	0.949	0.180	0.579
peach	peach	0.704	0.480	0.272
peachy	peachy	0.755	0.479	0.388
peacock	suauʻu	0.786	0.449	0.458
peak	pito i luga	0.500	0.345	0.431
peaked	faʻatumu	0.677	0.704	0.857
peanut	peanati	0.646	0.202	0.246
peanuts	peanesi	0.542	0.294	0.324
pear	pear	0.677	0.158	0.241
pearl	penina	0.905	0.425	0.642
pearly	pearly	0.635	0.337	0.373
peas	pi	0.542	0.283	0.310
peasant	tagata faiva	0.530	0.275	0.407
peat	peat	0.333	0.655	0.504
pebble	maa	0.354	0.353	0.287
pecan	pecan	0.552	0.316	0.358
peck	tauva	0.202	0.530	0.321
pecker	pecker	0.459	0.509	0.375
peculiar	ese	0.600	0.491	0.564
peculiarities	mea faʻapitoa	0.511	0.460	0.528
peculiarity	tulaga ese	0.439	0.452	0.652
peculiarly	tulaga ese	0.615	0.450	0.454
pecuniary	tupe	0.490	0.490	0.500
pedal	laʻau	0.500	0.320	0.342
pedantic	vaʻai	0.229	0.608	0.253
peddle	fana	0.539	0.549	0.538
peddler	uila	0.408	0.481	0.390
pedestal	vaevaega	0.735	0.284	0.579
pedestrian	uila	0.438	0.360	0.448
pediatric	tamaititi	0.560	0.462	0.490
pediatrician	tamaititi	0.602	0.500	0.627
pediatrics	tamaititi	0.750	0.380	0.596
pedicure	vili	0.695	0.269	0.296
pedigree	gafa	0.625	0.340	0.609
pedometer	pedometer	0.469	0.561	0.405
pedophile	fati	0.051	0.724	0.430
pee	faʻatau	0.449	0.529	0.391
peek	tilotilo	0.486	0.360	0.411
peekaboo	peekaboo	0.592	0.607	0.412
peel	solo	0.439	0.250	0.279
peep	peep	0.573	0.317	0.269
peeper	peeper	0.182	0.537	0.343
peephole	ata	0.479	0.500	0.310
peer	tupulaga	0.458	0.321	0.569
peering	vaʻai	0.514	0.409	0.451
peerless	leai se mea	0.688	0.450	0.462
peeved	faʻailoa	0.156	0.750	0.467
peg	pi	0.520	0.357	0.393
pegs	pine	0.408	0.286	0.386
peice	NO TRANSLATION	0.479	0.422	0.398
pelagic	leaga	0.521	0.554	0.491
pelican	pelikani	0.573	0.391	0.380
pellet	pellet	0.448	0.390	0.466
pelvic	pelvic	0.320	0.632	0.373
pelvis	pelvis	0.378	0.618	0.380
pen	peni	0.622	0.194	0.250
penal	faasalaga	0.208	0.565	0.610
penalty	faasalaga	0.062	0.490	0.240
penance	penance	0.219	0.667	0.463
penchant	penchant	0.688	0.480	0.609
pencil	penitala	0.552	0.200	0.263
pendant	pipi	0.676	0.321	0.385
pendency	agavaʻa	0.396	0.452	0.472
pendent	NO TRANSLATION	0.470	0.380	0.425
pending	faatalitali	0.396	0.441	0.473
pendulum	tala faʻatusa	0.542	0.368	0.434
penetrate	ulufale i totonu	0.287	0.877	0.732
penetrating	ulufale	0.469	0.792	0.782
penetration	ulufale	0.438	0.885	0.792
penguin	penguin	0.615	0.296	0.307
penicillin	penisillin	0.417	0.431	0.566
penile	penile	0.490	0.736	0.491
peninsula	peninsula	0.551	0.384	0.627
penis	penisina	0.354	0.810	0.556
penitent	salamo	0.542	0.530	0.508
penitentiary	falepuipui	0.229	0.726	0.491
penmanship	tusitusi	0.677	0.284	0.509
pennant	tagata	0.542	0.380	0.426
penniless	leai se totogi	0.062	0.316	0.083
penny	penny	0.615	0.302	0.324
pension	penisione	0.625	0.409	0.406
pensioner	penisione	0.440	0.245	0.442
pensive	pensive	0.540	0.220	0.529
pentagon	pentagon	0.490	0.636	0.774
pentagram	pentagram	0.510	0.433	0.466
penthouse	faletalimalo	0.592	0.430	0.395
penultimate	tausaga mulimuli	0.469	0.366	0.255
people	tagata	0.604	0.400	0.500
peopled	peopled	0.594	0.450	0.679
pep	pep	0.510	0.510	0.364
pepper	pepa	0.400	0.539	0.328
peppermint	moli pepa	0.720	0.264	0.271
pepperoni	pepperoni	0.796	0.472	0.358
peppy	fiafia	0.677	0.529	0.438
peptic	peptic	0.398	0.463	0.362
peptide	peptide	0.380	0.480	0.411
perceive	iloa	0.653	0.490	0.655
percent	pasene	0.470	0.350	0.356
percentage	pasene	0.469	0.400	0.553
percentile	pasene	0.479	0.410	0.390
perceptible	lē iloa	0.710	0.460	0.620
perception	manatu	0.653	0.481	0.655
perceptive	mafaufauga	0.745	0.500	0.741
perch	perch	0.531	0.300	0.314
perchance	i se tulaga	0.480	0.224	0.298
percolation	faʻasologa	0.397	0.417	0.415
percussion	tui	0.622	0.635	0.642
perdition	malaia	0.135	0.656	0.496
peremptory	peremptory	0.429	0.426	0.606
perennial	faʻailoa	0.527	0.358	0.500
perfect	atoatoa	0.980	0.471	0.870
perfection	atoatoa	0.881	0.745	0.934
perfectionist	perfectionist	0.667	0.704	0.905
perfecto	NO TRANSLATION	0.802	0.567	0.889
perforated	faʻasolosolo	0.219	0.607	0.344
perforation	toso	0.365	0.668	0.578
perforce	faʻamalosia	0.357	0.689	0.354
perform	faia	0.765	0.555	0.773
performance	faatinoga	0.750	0.520	0.672
performer	tagata fai mea	0.541	0.530	0.708
perfume	manogi	0.740	0.472	0.463
perfumed	manogi	0.816	0.471	0.509
peri	peri	0.448	0.433	0.370
peridot	faʻasologa	0.458	0.481	0.435
peril	faʻalavelave	0.052	0.910	0.518
perilous	matautia	0.143	0.862	0.575
perimeter	nofoaga	0.470	0.443	0.555
period	taimi	0.396	0.324	0.588
periodic	taimi faʻapitoa	0.677	0.324	0.508
periodical	taimi faʻapitoa	0.550	0.298	0.430
periodically	taimi taʻitasi	0.480	0.314	0.515
periodicity	vaitaimi	0.646	0.324	0.645
peripheral	lautele	0.406	0.406	0.549
periphery	tua	0.469	0.360	0.366
periscope	periscope	0.604	0.375	0.609
perish	fano	0.296	0.570	0.415
perishable	pala	0.270	0.464	0.354
perished	fano	0.135	0.596	0.225
perishing	faʻaumatia	0.229	0.423	0.148
perjury	pepelo	0.229	0.686	0.409
perk	perk	0.903	0.519	0.682
perky	faʻatau	0.896	0.792	0.673
perm	perm	0.667	0.465	0.741
permanence	tumau	0.771	0.370	0.708
permanent	tumau	0.745	0.345	0.736
permeable	faʻamalosi	0.635	0.402	0.495
permeate	faʻatasi	0.417	0.410	0.407
permeation	paʻu	0.418	0.559	0.536
permissible	faatagaina	0.684	0.646	0.612
permission	faatagaga	0.612	0.311	0.580
permissive	loto malie	0.633	0.389	0.413
permit	pemita	0.733	0.349	0.518
permitted	faatagaina	0.865	0.410	0.613
permitting	faʻatagaina	0.724	0.481	0.661
permutation	faʻasologa	0.385	0.588	0.500
pernicious	leaga	0.229	0.600	0.382
peroxide	peroxide	0.458	0.529	0.510
perpendicular	tutusa	0.510	0.398	0.439
perpetrate	faaauau pea	0.327	0.837	0.732
perpetrator	tagata faʻamalosi	0.229	0.765	0.538
perpetual	faʻaauau	0.625	0.438	0.741
perpetually	faʻaauau	0.510	0.473	0.868
perpetuate	faaauau pea	0.397	0.588	0.788
perpetuation	faʻaauau	0.510	0.677	0.716
perpetuity	tumau	0.590	0.434	0.759
perplexed	atuatuvale	0.312	0.705	0.318
perplexing	le mautonu	0.316	0.530	0.362
perplexity	atuatuvale	0.275	0.720	0.500
persecute	sauaina	0.281	0.873	0.509
persecution	sauaga	0.229	0.865	0.660
perseverance	onosaʻi	0.888	0.630	0.796
persevere	tumau	0.802	0.583	0.937
persist	faʻaauau	0.765	0.644	0.727
persistence	mausali	0.684	0.611	0.873
persistent	tumau	0.646	0.667	0.815
persisting	faaauau pea	0.697	0.677	0.745
person	tagata	0.646	0.363	0.596
persona	NO TRANSLATION	0.741	0.480	0.743
personable	malosi	0.816	0.520	0.637
personage	peresona	0.653	0.324	0.698
personal	patino	0.750	0.311	0.467
personality	uiga	0.896	0.513	0.790
personification	tagata	0.760	0.471	0.691
personnel	tagata faigaluega	0.729	0.344	0.587
persons	tagata	0.869	0.302	0.588
perspective	vaaiga	0.688	0.470	0.704
perspiration	afu	0.385	0.667	0.490
persuade	faatauanau	0.620	0.618	0.709
persuasion	faatauanau	0.612	0.670	0.537
persuasive	faatauanau	0.740	0.700	0.657
pert	maua	0.469	0.460	0.348
pertinent	talafeagai	0.580	0.333	0.723
perturbation	faʻalavelave	0.270	0.840	0.500
pertussis	peritussis	0.279	0.569	0.386
perusal	faʻasalaga	0.622	0.235	0.543
peruse	faitau	0.503	0.270	0.439
pervading	paluga	0.418	0.684	0.728
perverse	fefinauaʻi	0.146	0.808	0.464
perversion	faʻasoesa	0.083	0.830	0.490
pervert	faʻasoesa	0.082	0.863	0.500
perverted	fesuiaʻi	0.062	0.918	0.436
pesky	leaga	0.250	0.760	0.431
pessimism	le mautonu	0.083	0.484	0.264
pessimist	leai se mafaufau	0.125	0.470	0.218
pessimistic	leai se faamoemoe	0.088	0.394	0.236
pest	meaʻai	0.188	0.680	0.452
pester	leaga	0.143	0.780	0.385
pestilence	faʻamaʻi	0.122	0.660	0.283
pestle	pestle	0.427	0.463	0.426
pesto	pesto	0.531	0.323	0.336
pet	peti	0.875	0.327	0.305
petal	petal	0.810	0.194	0.211
petite	laiti	0.510	0.354	0.245
petition	talosaga	0.498	0.575	0.415
petitioner	talosaga	0.601	0.531	0.566
petloss	NO TRANSLATION	0.271	0.481	0.424
petpeeve	NO TRANSLATION	0.375	0.594	0.392
petrified	faʻasalaga	0.221	0.625	0.232
petrify	faanatinati	0.177	0.571	0.447
petrol	penisini	0.418	0.519	0.577
petroleum	penisini	0.583	0.451	0.640
petticoat	faʻailoga	0.550	0.396	0.351
petting	faʻailoa	0.812	0.462	0.480
petty	itiiti	0.210	0.537	0.236
petulant	talotalo	0.247	0.685	0.491
petunia	petunia	0.583	0.260	0.356
pew	pew	0.449	0.235	0.664
pewter	pewter	0.396	0.260	0.321
peyote	NO TRANSLATION	0.406	0.462	0.426
phalanx	phalanx	0.398	0.398	0.455
phantom	matagofie	0.260	0.759	0.448
pharaoh	pharaoh	0.656	0.491	0.798
pharmaceutical	fomaʻi	0.500	0.435	0.562
pharmacist	fomaʻi	0.592	0.382	0.648
pharmacology	falemaʻi	0.560	0.440	0.526
pharmacy	fale talavai	0.531	0.337	0.542
phase	vaega	0.645	0.300	0.482
pheasant	uila	0.541	0.362	0.292
phenomenal	maofa	0.915	0.750	0.918
phenomenon	mea ofoofogia	0.625	0.721	0.848
pheromone	pheromone	0.561	0.573	0.561
phew	phew	0.531	0.429	0.302
phi	phi	0.420	0.361	0.452
philanthropic	agalelei	0.812	0.426	0.717
philanthropist	tagata alofa	0.704	0.463	0.623
philanthropy	agalelei	0.745	0.412	0.801
philistine	philistine	0.390	0.500	0.491
philosopher	filosofia	0.684	0.316	0.720
philosophic	filosofia	0.688	0.270	0.655
philosophical	filosofia	0.719	0.275	0.713
philosophy	filosofia	0.684	0.255	0.640
phlegm	phlegm	0.173	0.394	0.240
pho	pho	0.541	0.370	0.384
phobia	phobia	0.173	0.904	0.291
phoenix	phoenix	0.653	0.481	0.594
phone	telefoni	0.729	0.344	0.418
phonetic	phonetic	0.542	0.435	0.536
phonetics	phonetics	0.646	0.425	0.519
phonics	phonics	0.490	0.519	0.455
phonograph	phonograph	0.561	0.398	0.565
phonology	Phonology	0.695	0.402	0.512
phony	phony	0.115	0.592	0.202
phooey	leo	0.333	0.490	0.352
phosphate	phosphate	0.500	0.306	0.407
phosphor	fugala	0.438	0.480	0.427
phosphorus	fumela	0.429	0.539	0.370
photo	ata	0.729	0.327	0.431
photogenic	photogenic	0.780	0.500	0.495
photograph	ata	0.677	0.353	0.358
photographer	tagata pueata	0.714	0.481	0.562
photographic	ata pue	0.761	0.429	0.564
photography	ata pue	0.630	0.431	0.360
photometry	photometry	0.417	0.456	0.436
photon	photon	0.459	0.439	0.455
phrase	fuaitau	0.630	0.264	0.314
phraseology	fasifuaitau	0.620	0.406	0.537
phylogeny	phylogeny	0.378	0.410	0.481
physical	faaletino	0.750	0.520	0.607
physical therapist	fomaʻi togafitiga	0.531	0.337	0.775
physician	fomaʻi	0.583	0.490	0.843
physicist	fomaʻi	0.635	0.538	0.693
physics	fisiki	0.582	0.415	0.664
physiological	physiological	0.510	0.418	0.620
physiology	physiology	0.521	0.451	0.519
physique	tino	0.643	0.500	0.543
pi	pi	0.469	0.265	0.400
pianist	ta piano	0.806	0.491	0.573
piano	piano	0.704	0.343	0.438
piazza	piazza	0.625	0.471	0.472
piccolo	NO TRANSLATION	0.625	0.423	0.380
pick	filifili	0.500	0.464	0.525
picked	filifilia	0.740	0.518	0.670
picker	toso	0.534	0.340	0.609
picket	piko	0.365	0.615	0.451
picketing	meaʻai	0.330	0.557	0.471
pickle	piko	0.593	0.449	0.288
pickled	taloina	0.344	0.450	0.291
pickpocket	Pickpocket	0.365	0.704	0.449
pickup	piki i luga	0.561	0.529	0.420
picky	toso	0.257	0.729	0.598
picnic	tafaoga	0.625	0.470	0.375
pictorial	ata	0.704	0.481	0.476
picture	ata	0.714	0.308	0.462
pictures	ata	0.653	0.240	0.405
picturesque	matagofie	0.802	0.491	0.483
pie	pai	0.880	0.402	0.368
piece	fasi pepa	0.646	0.245	0.367
piecemeal	fasi pepa	0.615	0.269	0.319
pieceofshit	lapoʻa	0.083	0.724	0.292
pied	vae	0.594	0.433	0.350
pier	tui	0.583	0.279	0.445
pierce	tui	0.365	0.670	0.611
piety	amioatua	0.760	0.340	0.482
pig	puaa	0.343	0.368	0.324
pigeon	lupe	0.688	0.224	0.276
