Word	Sundanese-su	Valence	Arousal	Dominance
glycerin	gliserin	0.427	0.402	0.402
gnat	agas	0.357	0.345	0.200
gnome	GNOME	0.429	0.479	0.380
go	indit	0.510	0.441	0.444
goal	tujuan	0.830	0.356	0.669
goalie	goalie	0.573	0.389	0.455
goals	gol	0.719	0.490	0.795
goat	embe	0.448	0.304	0.364
goatee	goatee	0.479	0.290	0.255
gob	gob	0.280	0.357	0.447
gobble	gobble	0.390	0.623	0.455
goblet	goblet	0.786	0.353	0.442
goblin	goblin	0.333	0.542	0.377
god	Allah	0.758	0.518	0.886
godbless	NO TRANSLATION	0.823	0.395	0.588
goddamn	goddamn	0.125	0.760	0.422
goddamned	goddamned	0.042	0.758	0.420
goddess	dewi	0.865	0.560	0.888
godfather	bapa baptis	0.694	0.450	0.509
godforsaken	godforsaken	0.439	0.520	0.422
godisgood	godisgood	0.740	0.434	0.630
godisgreat	NO TRANSLATION	0.712	0.596	0.600
godless	godless	0.316	0.557	0.358
godlike	godlike	0.854	0.648	0.870
godly	godly	0.747	0.298	0.589
godmother	ibu baptis	0.733	0.311	0.530
godsend	godsend	0.865	0.562	0.613
godson	godson	0.680	0.515	0.429
gofuckyourself	gofuckyourself	0.167	0.654	0.415
goggle	goggle	0.525	0.286	0.360
goggles	kacasoca	0.667	0.360	0.278
gold	emas	0.939	0.686	0.692
golden	siga emas	0.802	0.491	0.609
goldfish	lauk mas	0.786	0.296	0.317
golf	golep	0.573	0.358	0.447
golfer	pamaen golep	0.602	0.402	0.578
golfing	golfing	0.625	0.427	0.455
gondola	gondola	0.520	0.404	0.379
gone	Isro	0.292	0.230	0.190
goner	goner	0.410	0.461	0.274
gong	NO TRANSLATION	0.490	0.529	0.462
gonorrhea	gonorrhea	0.106	0.635	0.322
goo	goo	0.439	0.396	0.312
goober	goober	0.469	0.444	0.342
good	alus	0.938	0.368	0.534
goodbye	Dadah	0.240	0.389	0.328
goodday	Wilujeng siang	0.961	0.357	0.418
goodfeeling	NO TRANSLATION	0.939	0.459	0.679
goodhealth	NO TRANSLATION	0.938	0.402	0.712
goodie	goodie	0.854	0.327	0.600
goodies	goodies	0.950	0.622	0.424
goodlife	goodlife	0.917	0.471	0.736
goodly	goodly	0.701	0.471	0.636
goodmood	NO TRANSLATION	0.823	0.491	0.519
goodmorning	Wilujeng énjing	0.922	0.461	0.552
goodmusic	goodmusic	0.756	0.500	0.500
goodness	kahadean	0.969	0.321	0.715
goodnews	goodnews	0.961	0.740	0.768
goods	barang-barang	0.888	0.396	0.726
goodtimes	goodtimes	0.910	0.526	0.629
goodvibes	NO TRANSLATION	0.827	0.500	0.534
goodwill	maksudna sae	0.938	0.327	0.667
goody	goody	0.786	0.337	0.570
gooey	gooey	0.392	0.480	0.445
goof	goof	0.448	0.490	0.272
goofball	goofball	0.561	0.550	0.382
goofy	goofy	0.281	0.224	0.179
goon	goon	0.312	0.481	0.361
gooood	gooood	0.857	0.652	0.547
goop	goop	0.469	0.394	0.333
goose	soang	0.479	0.283	0.265
gopher	gopher	0.449	0.440	0.421
gore	Gore	0.260	0.608	0.518
gorge	jurang	0.365	0.644	0.420
gorgeous	endah	0.920	0.560	0.741
gorilla	gorila	0.565	0.720	0.648
gory	gory	0.140	0.875	0.455
gospel	ajaran	0.740	0.333	0.580
gossip	gosip	0.173	0.765	0.245
gothic	Gothic	0.197	0.333	0.475
gouge	gouge	0.396	0.441	0.400
goulash	goulash	0.582	0.429	0.347
gourd	gourd	0.427	0.271	0.289
gourmet	gourmet	0.911	0.387	0.562
gout	asam urat	0.354	0.314	0.170
govern	marentah	0.573	0.702	0.980
governess	governess	0.426	0.500	0.632
governing	ngamaréntahkeun	0.635	0.700	0.900
government	pamarentah	0.427	0.530	0.850
governmental	wewenang	0.521	0.541	0.906
governor	gupernur	0.500	0.683	0.934
gown	gown	0.625	0.283	0.421
grab	ngareubut	0.448	0.706	0.538
grace	lungguh	0.906	0.304	0.462
graceful	antiem	0.906	0.510	0.655
gracias	NO TRANSLATION	0.833	0.356	0.600
gracious	marahmay pisan	0.918	0.634	0.637
graciously	graciously	0.948	0.353	0.680
grad	NO TRANSLATION	0.806	0.538	0.733
gradation	gradasi	0.487	0.477	0.616
grade	kelas	0.698	0.360	0.600
graded	gradasi	0.562	0.340	0.759
grader	grader	0.583	0.317	0.420
grades	sasmita	0.521	0.349	0.566
gradient	gradién	0.480	0.423	0.509
gradschool	NO TRANSLATION	0.616	0.602	0.528
gradual	bertahap	0.571	0.350	0.509
gradually	saeutik demi saeutik	0.583	0.385	0.464
graduate	lulus	0.898	0.549	0.778
graduation	kalulusan	0.880	0.670	0.837
graffiti	corétan	0.582	0.633	0.353
graft	nyogok	0.410	0.528	0.420
grail	grail	0.573	0.384	0.566
grain	paparean	0.390	0.198	0.302
gram	gram	0.578	0.333	0.260
grammar	tatabasa	0.560	0.287	0.607
grand	grand	0.898	0.740	0.888
grand theft auto	maling mobil hébat	0.493	0.663	0.580
grandchild	Buyut	0.781	0.433	0.465
grandchildren	incu	0.796	0.545	0.426
granddad	granddad	0.740	0.248	0.461
granddaddy	granddaddy	0.708	0.291	0.480
granddaughter	incu awewe	0.823	0.445	0.389
grandeur	grandeur	0.885	0.796	0.839
grandfather	aki	0.827	0.279	0.586
grandiose	muluk	0.900	0.682	0.864
grandma	grandma	0.796	0.208	0.491
grandmother	nini	0.792	0.283	0.426
grandpa	ngising	0.806	0.296	0.466
grandson	incu lalaki	0.778	0.333	0.500
grandstand	grandstand	0.500	0.679	0.708
grange	grange	0.531	0.340	0.391
granite	batu granit	0.572	0.343	0.483
granny	granny	0.796	0.240	0.452
granola	granola	0.625	0.240	0.281
grant	ngabulkeun	0.719	0.380	0.667
granted	dibales	0.882	0.348	0.779
grantee	grantee	0.865	0.477	0.708
grantor	grantor	0.542	0.500	0.717
granular	granular	0.478	0.337	0.443
granule	granule	0.406	0.373	0.316
grape	anggur	0.729	0.122	0.295
grape juice	jus anggur	0.696	0.304	0.267
grapefruit	anggur	0.521	0.281	0.282
grapes	anggur	0.784	0.240	0.236
grapevine	grapevine	0.541	0.343	0.232
graph	grapik	0.510	0.286	0.621
graphic	grafis	0.602	0.494	0.491
graphics	grafik	0.542	0.431	0.509
graphite	grafit	0.479	0.377	0.336
grapple	grapple	0.490	0.577	0.482
grappling	grappling	0.448	0.676	0.516
grasp	ngeupeul	0.560	0.623	0.570
grasping	grasping	0.327	0.561	0.561
grass	jukut	0.604	0.164	0.333
grasshopper	simeut	0.500	0.462	0.287
grassy	grassy	0.647	0.323	0.371
grate	ngilu	0.333	0.250	0.419
grated	grated	0.357	0.462	0.361
grateful	ngahatur nuhun	0.958	0.353	0.560
gratification	gratification	0.867	0.643	0.755
gratified	gratified	0.781	0.519	0.702
gratify	gratify	0.837	0.539	0.794
gratifying	gratifying	0.857	0.606	0.776
grating	grating	0.512	0.337	0.282
gratis	NO TRANSLATION	0.796	0.510	0.417
gratitude	rasa syukur	0.885	0.441	0.610
gratuitous	gratuitous	0.735	0.650	0.452
gratuity	gratuity	0.865	0.500	0.462
grave	kuburan	0.153	0.385	0.386
gravel	karikil	0.390	0.370	0.332
graver	NO TRANSLATION	0.102	0.622	0.453
graveyard	kuburan	0.041	0.441	0.272
gravitate	gravitate	0.479	0.472	0.476
gravitation	gravitasi	0.698	0.592	0.600
gravitational	gravitasi	0.528	0.510	0.691
gravity	grapitasi	0.510	0.635	0.538
gravy	saos	0.608	0.450	0.339
gray	Abu	0.335	0.153	0.189
graze	ngadahar jukut	0.560	0.255	0.371
grease	gajih	0.255	0.404	0.306
greased	greased	0.250	0.461	0.368
greaser	greaser	0.408	0.518	0.462
greasy	ngandung lisah	0.399	0.442	0.294
great	gede	0.958	0.665	0.810
great anticipation	antisipasi hébat	0.786	0.735	0.655
great aunt	bibi hébat	0.896	0.419	0.589
great disgust	geuleuh hébat	0.042	0.836	0.389
great grandfather	akina hébat	0.729	0.241	0.569
great grandma	grandma hébat	0.771	0.221	0.491
great grandmother	uyut	0.802	0.236	0.549
great grandpa	ngising hébat	0.857	0.280	0.602
great surprise	kejutan hébat	0.939	0.941	0.688
great trust	trust hébat	0.939	0.528	0.853
great uncle	Mamang hébat	0.729	0.398	0.621
greatday	NO TRANSLATION	0.823	0.571	0.574
greater	gede	0.755	0.519	0.796
greatest	panggedéna	0.847	0.627	0.922
greatfriends	NO TRANSLATION	0.908	0.593	0.570
greatful	NO TRANSLATION	0.923	0.571	0.676
greatly	greatly	0.750	0.708	0.877
greatly negative	greatly négatip	0.051	0.640	0.282
greatly positive	greatly positif	0.967	0.538	0.877
greatness	hal nu hebat pisan	0.990	0.750	0.943
greatnight	NO TRANSLATION	0.918	0.349	0.574
greed	karanjingan	0.173	0.780	0.528
greedy	rewog	0.125	0.660	0.476
green	hejo	0.630	0.306	0.333
green bean	buncis héjo	0.469	0.280	0.304
green pepper	cabé héjo	0.500	0.431	0.425
green snake	oray héjo	0.229	0.634	0.614
greenhouse	imah kaca	0.719	0.438	0.384
greenish	greenish	0.574	0.290	0.429
greenwood	Greenwood	0.531	0.382	0.491
greet	nanya	0.885	0.539	0.618
greeted	dipapag	0.781	0.317	0.454
greeting	silihtanya	0.854	0.556	0.510
gregarious	gregarious	0.551	0.471	0.529
grenade	granat	0.281	0.777	0.694
grey	Abu	0.347	0.140	0.295
greyhound	greyhound	0.520	0.490	0.440
grid	grid	0.562	0.426	0.443
gridiron	Gridiron	0.667	0.491	0.425
grief	kanalangsaan	0.070	0.640	0.474
grievance	humandeu	0.092	0.635	0.364
grieve	ngungun	0.122	0.500	0.333
grieved	grieved	0.104	0.460	0.191
grieving	grieving	0.093	0.673	0.403
grievous	grievous	0.146	0.640	0.179
griffin	Griffin	0.418	0.337	0.360
grill	manggang	0.755	0.491	0.546
grille	grille	0.337	0.327	0.246
grilled	grilled	0.702	0.500	0.373
grim	surem	0.310	0.483	0.298
grime	kokotor	0.198	0.500	0.225
grimy	grimy	0.112	0.597	0.283
grin	nyengir	0.885	0.570	0.491
grind	ngagiling	0.480	0.276	0.397
grinder	coét	0.459	0.615	0.561
grinding	grinding	0.415	0.450	0.461
grindstone	grindstone	0.541	0.453	0.526
gringo	gringo	0.540	0.452	0.510
grip	kerewes	0.520	0.549	0.602
gripe	gripe	0.184	0.526	0.241
grisly	grisly	0.083	0.863	0.426
grist	grist	0.317	0.391	0.363
grit	grit	0.449	0.296	0.345
grits	grits	0.458	0.333	0.346
gritty	gritty	0.417	0.373	0.375
grizzly	grizzly	0.398	0.679	0.657
groan	humarurung	0.396	0.750	0.351
grocer	grocer	0.625	0.250	0.382
groceries	bahan kadaharan	0.740	0.363	0.417
grocery	grocery	0.687	0.540	0.446
groggy	groggy	0.235	0.265	0.194
groin	palangkangan	0.296	0.452	0.364
groom	panganten lalaki	0.698	0.500	0.605
groove	legok	0.552	0.448	0.361
groovy	groovy	0.615	0.538	0.464
grope	grope	0.420	0.559	0.358
gross	kotor	0.115	0.575	0.181
grotesque	grotesque	0.135	0.788	0.500
grotto	grotto	0.510	0.394	0.336
grouch	grouch	0.342	0.593	0.411
grouchy	grouchy	0.143	0.708	0.407
ground	tanah	0.398	0.343	0.602
grounded	grounded	0.531	0.601	0.509
groundhog	groundhog	0.385	0.324	0.377
grounding	grounding	0.521	0.452	0.591
groundless	groundless	0.333	0.535	0.387
grounds	grounds	0.667	0.500	0.598
groundwork	dasar	0.500	0.375	0.593
group	kumpulan	0.573	0.423	0.480
groupie	groupie	0.521	0.583	0.393
grouping	golongan	0.745	0.580	0.698
grouse	grouse	0.448	0.401	0.412
grout	grout	0.405	0.356	0.366
grove	rungkun	0.604	0.245	0.417
grovel	grovel	0.360	0.500	0.414
grow	tumuwuh	0.914	0.615	0.755
growl	ngagerem	0.194	0.764	0.482
growling	growling	0.119	0.887	0.475
growls	growls	0.125	0.675	0.442
grownup	atos ageung	0.735	0.400	0.683
growth	tumuwuhna	0.917	0.588	0.776
growthefuckup	growthefuckup	0.229	0.692	0.426
grr	grr	0.229	0.538	0.333
grrr	grrr	0.271	0.755	0.327
grrrrr	grrrrr	0.281	0.633	0.444
grub	gana	0.602	0.406	0.355
grubby	grubby	0.156	0.583	0.176
grudge	grudge	0.115	0.647	0.414
grudging	grudging	0.092	0.636	0.473
grudgingly	grudgingly	0.156	0.610	0.292
gruel	gruel	0.382	0.304	0.297
grueling	grueling	0.180	0.763	0.704
gruesome	pikasieuneun	0.094	0.837	0.474
gruff	kereng	0.323	0.611	0.472
grumble	grumble	0.101	0.750	0.333
grump	grump	0.260	0.469	0.425
grumpy	babari ambek	0.198	0.808	0.559
grunt	nyegrek	0.286	0.798	0.392
grunting	grunting	0.198	0.827	0.481
guacamole	guacamole	0.684	0.317	0.282
guano	guano	0.296	0.343	0.191
guarantee	garansi	0.949	0.337	0.805
guaranty	ngajamin	0.646	0.337	0.818
guard	ngajaga	0.592	0.510	0.725
guarded	dijaga	0.758	0.686	0.500
guardhouse	guardhouse	0.510	0.435	0.770
guardian	wali	0.656	0.686	0.789
guardianship	guardianship	0.592	0.370	0.681
guards	penjaga	0.448	0.663	0.720
gubernatorial	gubernatorial	0.552	0.604	0.897
guerilla	NO TRANSLATION	0.146	0.845	0.727
guerrilla	gerilya	0.219	0.917	0.792
guess	nebak	0.640	0.463	0.442
guesser	guesser	0.542	0.670	0.535
guesswork	guesswork	0.417	0.451	0.405
guest	tatamu	0.719	0.490	0.558
guesthouse	bumi kanggo tamu	0.729	0.337	0.406
guidance	pitunjuk	0.729	0.471	0.718
guide	juru jalan	0.688	0.315	0.620
guidebook	buku pitunjuk	0.677	0.260	0.427
guidelines	garis padoman	0.459	0.500	0.664
guiding	guiding	0.667	0.520	0.714
guild	kanu	0.580	0.459	0.729
guile	guile	0.410	0.417	0.467
guillotine	guillotine	0.163	0.817	0.585
guilt	kasalahan	0.208	0.567	0.206
guilty	kaliru	0.135	0.770	0.352
guinea	guinea	0.521	0.440	0.396
guise	kedok	0.531	0.547	0.324
guitar	hitar	0.844	0.542	0.469
guitarist	gitaris	0.827	0.740	0.549
gules	gules	0.469	0.443	0.340
gulf	Teluk	0.520	0.365	0.398
gull	gull	0.594	0.317	0.378
gullet	gullet	0.385	0.490	0.393
gullible	gampang katipu	0.440	0.442	0.318
gully	gully	0.316	0.519	0.394
gulp	gulp	0.551	0.660	0.409
gum	gum	0.573	0.227	0.213
gumbo	gumbo	0.500	0.422	0.361
gummy	gummy	0.521	0.302	0.291
gumption	gumption	0.480	0.538	0.488
gun	bedil	0.147	0.920	0.713
gunboat	gunboat	0.139	0.663	0.618
gunfight	gunfight	0.051	0.961	0.700
gunfighter	gunfighter	0.156	0.910	0.741
gunfire	gunfire	0.156	0.930	0.673
gunk	gunk	0.250	0.478	0.219
gunman	gunman	0.167	0.922	0.689
gunmen	gerilyawan	0.073	0.942	0.727
gunner	nu ahli nembak	0.250	0.853	0.817
gunnery	gunnery	0.281	0.861	0.873
gunplay	gunplay	0.133	0.906	0.627
gunpoint	gunpoint	0.188	0.817	0.719
gunpowder	mesiu	0.425	0.853	0.509
gunshot	gunshot	0.042	0.953	0.673
gunslinger	gunslinger	0.316	0.873	0.811
gurney	gurney	0.408	0.304	0.352
guru	guru	0.573	0.360	0.653
gush	Gush	0.510	0.490	0.381
gusher	gusher	0.406	0.520	0.453
gusset	gusset	0.427	0.425	0.423
gust	tiupan nu kuat	0.490	0.755	0.556
gusto	NO TRANSLATION	0.692	0.729	0.620
gusty	gusty	0.687	0.631	0.455
gut	katekunan	0.408	0.367	0.364
gutless	gutless	0.250	0.381	0.384
guts	nyali	0.592	0.649	0.582
gutsy	gutsy	0.635	0.573	0.536
gutter	talang	0.466	0.260	0.400
guy	guy	0.583	0.367	0.546
guzzler	guzzler	0.393	0.537	0.436
guzzling	guzzling	0.460	0.490	0.380
gym	Tempat pitnes	0.635	0.690	0.613
gymnasium	rohang keur olahraga	0.667	0.561	0.474
gymnast	tukang senam	0.670	0.760	0.558
gymnastic	gymnastic	0.810	0.706	0.604
gymnastics	senam	0.745	0.677	0.508
gynecologist	dokter nu ahli ngeunaan kandungan	0.552	0.566	0.682
gynecology	gynecology	0.408	0.590	0.519
gypsy	urang gipsi	0.375	0.665	0.396
gyroscope	gyroscope	0.500	0.390	0.510
habit	kabiasaan	0.625	0.226	0.585
habitat	habitat	0.633	0.343	0.553
habitation	habitation	0.781	0.231	0.538
habitual	habitual	0.527	0.208	0.490
habitually	habitually	0.600	0.324	0.583
hacienda	hacienda	0.688	0.402	0.573
hack	Hack	0.135	0.717	0.534
hacker	hacker	0.271	0.755	0.740
hacksaw	hacksaw	0.406	0.645	0.537
hadenough	NO TRANSLATION	0.323	0.566	0.529
hag	hag	0.188	0.695	0.411
haggard	haggard	0.115	0.510	0.246
haggle	haggle	0.480	0.601	0.461
haiku	haiku	0.583	0.356	0.392
hail	hujan es	0.459	0.627	0.411
hair	bulu	0.582	0.186	0.286
hairball	hairball	0.370	0.302	0.315
hairbrush	hairbrush	0.454	0.216	0.263
haircut	teukteukan buuk	0.677	0.343	0.307
hairdo	hairdo	0.552	0.320	0.435
hairdresser	juru tata rambut	0.708	0.509	0.407
hairdryer	panggaring rambut	0.642	0.402	0.330
hairless	hairless	0.136	0.235	0.139
hairline	hairline	0.418	0.154	0.230
hairpin	hairpin	0.459	0.363	0.370
hairspray	hairspray	0.549	0.279	0.269
hairstyle	cukuran	0.771	0.380	0.433
hairy	buluan	0.542	0.380	0.343
hale	Hale	0.479	0.435	0.500
half	satengah	0.500	0.274	0.276
half dollar	satengah dollar	0.573	0.408	0.509
halfback	halfback	0.490	0.429	0.440
halftime	halftime	0.458	0.352	0.429
halfway	satengahna	0.510	0.254	0.339
halibut	lauk halibut	0.449	0.412	0.411
hall	rohangan gede	0.510	0.340	0.424
hallelujah	hallelujah	0.770	0.554	0.657
hallmark	ciri khas	0.646	0.315	0.411
hallowed	hallowed	0.740	0.500	0.728
hallucination	halusinasi	0.396	0.706	0.370
hallway	lorong	0.573	0.230	0.279
halo	halo	0.490	0.370	0.441
halt	halt	0.167	0.360	0.432
halter	halter	0.448	0.451	0.431
halting	halting	0.255	0.596	0.519
halve	ngabagi dua	0.316	0.347	0.302
halving	halving	0.292	0.474	0.366
ham	daging pingping babi	0.673	0.245	0.404
hamburger	Hamburger	0.809	0.551	0.387
hamlet	dukuh	0.573	0.270	0.397
hammer	palu	0.312	0.509	0.563
hammerhead	hammerhead	0.337	0.490	0.569
hammering	hammering	0.347	0.779	0.557
hammock	ayunan	0.673	0.255	0.287
hamper	hamper	0.204	0.711	0.473
hamster	Hamster	0.520	0.394	0.349
hamstring	hamstring	0.406	0.471	0.443
hand	panangan	0.542	0.314	0.434
handbag	Ngadu	0.562	0.240	0.336
handball	tangan	0.561	0.493	0.440
handbook	buku panungtun	0.600	0.224	0.567
handcuff	handcuff	0.310	0.590	0.593
handful	sakeupeul	0.521	0.481	0.400
handgun	handgun	0.156	0.914	0.782
handheld	handheld	0.646	0.350	0.586
handicap	handicap	0.133	0.394	0.264
handicapped	cacad	0.204	0.467	0.180
handicraft	handicraft	0.724	0.333	0.565
handiwork	handiwork	0.753	0.430	0.410
handkerchief	salempay	0.510	0.192	0.219
handle	gagang	0.698	0.571	0.558
handler	Handler	0.439	0.593	0.861
handmade	handmade	0.776	0.383	0.475
handout	handout	0.560	0.330	0.545
handprint	handprint	0.635	0.289	0.463
handshake	sasalaman	0.816	0.654	0.492
handsome	kasep	0.890	0.600	0.682
handwriting	tulisan leungeun	0.615	0.378	0.381
handy	aya gunana	0.741	0.378	0.639
handyman	handyman	0.660	0.373	0.393
hang	ngagantung	0.323	0.529	0.446
hangar	hanggar	0.490	0.456	0.481
hanger	gantungan	0.439	0.462	0.461
hanging	nongkrong	0.378	0.471	0.389
hangman	hangman	0.153	0.877	0.555
hangout	nongkrong	0.573	0.500	0.462
hangover	hangover	0.188	0.565	0.267
hangry	hangry	0.219	0.794	0.279
hank	Hank	0.510	0.375	0.339
hankering	hankering	0.604	0.540	0.558
hanky	hanky	0.460	0.276	0.250
hap	NO TRANSLATION	0.503	0.431	0.453
haphazard	haphazard	0.469	0.530	0.324
hapless	hapless	0.271	0.442	0.193
happen	kajadian	0.677	0.670	0.551
happening	lumangsung	0.646	0.529	0.555
happier	happier	0.990	0.760	0.806
happiest	happiest	0.990	0.716	0.746
happily	happily	1.000	0.690	0.674
happiness	kabungahan	0.960	0.732	0.850
happy	bagja	1.000	0.735	0.772
happydance	happydance	0.857	0.760	0.582
happyday	happyday	0.929	0.650	0.663
happyheart	happyheart	0.949	0.575	0.605
happyholidays	NO TRANSLATION	0.927	0.740	0.637
happynewyear	NO TRANSLATION	0.969	0.815	0.559
happyplace	NO TRANSLATION	0.938	0.589	0.645
happytweet	NO TRANSLATION	0.847	0.588	0.437
happyvalentinesday	NO TRANSLATION	0.929	0.784	0.509
harass	ngaganggu	0.160	0.775	0.620
harassing	harassing	0.120	0.873	0.446
harassment	godaan	0.083	0.896	0.420
harbinger	harbinger	0.490	0.389	0.692
harbor	palabuhan	0.594	0.356	0.634
hard	teuas	0.302	0.708	0.616
hardball	hardball	0.542	0.667	0.452
hardcore	hardcore	0.250	0.721	0.585
harden	nyieunkeun dadi teuas	0.276	0.598	0.677
hardened	hardened	0.406	0.618	0.764
hardening	hardening	0.388	0.673	0.741
hardheaded	hardheaded	0.156	0.699	0.571
hardness	teu karasa	0.417	0.580	0.745
hardship	kanyeri	0.094	0.775	0.482
hardware	hardware	0.594	0.289	0.686
hardwood	hardwood	0.417	0.363	0.518
hardworking	banting tulang	0.719	0.583	0.792
hardy	Hardy	0.571	0.569	0.810
hare	kalinci	0.620	0.410	0.345
harebrained	harebrained	0.296	0.551	0.436
harem	tempat keur awewe piaraan	0.521	0.578	0.582
hark	hark	0.571	0.500	0.398
harlot	harlot	0.198	0.798	0.330
harm	ngarugikeun	0.073	0.679	0.423
harmful	picilakaeun	0.094	0.750	0.291
harmless	teu picilakaeun	0.625	0.226	0.241
harmonica	harmonika	0.847	0.235	0.510
harmonics	harmonik	0.865	0.400	0.575
harmonious	harmonis	0.938	0.391	0.719
harmoniously	harmoniously	0.969	0.265	0.647
harmonize	harmonize	0.939	0.461	0.609
harmony	tengtrem	0.949	0.230	0.509
harness	baju kuda	0.570	0.549	0.508
harp	kecapi	0.618	0.310	0.356
harper	Harper	0.417	0.454	0.435
harpoon	tumbak keur nangkap lauk di laut	0.490	0.700	0.557
harpsichord	harpsichord	0.541	0.490	0.438
harrowing	harrowing	0.209	0.810	0.474
harry	harry	0.520	0.409	0.390
harsh	soson-soson	0.250	0.650	0.623
harshness	harshness	0.323	0.600	0.779
hart	Hart	0.643	0.389	0.447
harvest	panen	0.781	0.353	0.548
hash	Hash	0.344	0.453	0.355
hashish	hashish	0.370	0.570	0.358
hassle	repot	0.177	0.740	0.489
haste	rurusuhan	0.378	0.745	0.500
hasten	hasten	0.571	0.750	0.618
hastily	hastily	0.271	0.609	0.609
hasty	hasty	0.188	0.885	0.424
hat	topi	0.604	0.183	0.353
hatch	megar	0.479	0.653	0.402
hatchet	kampak	0.333	0.608	0.500
hate	mikangewa	0.031	0.802	0.430
hateeee	NO TRANSLATION	0.219	0.606	0.368
hateeveryone	NO TRANSLATION	0.041	0.840	0.429
hateful	mikacua	0.071	0.819	0.430
hater	hater	0.052	0.702	0.422
hateyou	NO TRANSLATION	0.125	0.735	0.464
hating	hating	0.083	0.820	0.434
hatred	hatred	0.037	0.847	0.424
haughty	haughty	0.240	0.708	0.588
haul	narik	0.551	0.564	0.453
haulage	haulage	0.561	0.510	0.650
haunt	dipikanyaho	0.288	0.676	0.576
haunted	haunted	0.264	0.731	0.520
have	ngabogaan	0.757	0.389	0.593
haven	Haven	0.684	0.265	0.547
havoc	bencana	0.163	0.769	0.535
haw	haw	0.406	0.426	0.431
hawk	heulang	0.583	0.530	0.631
hawking	Hawking	0.521	0.509	0.491
hay	NO TRANSLATION	0.469	0.212	0.343
haye	haye	0.615	0.451	0.336
hayride	hayride	0.561	0.521	0.464
haystack	tumpukan jukut	0.552	0.292	0.331
haywire	haywire	0.358	0.545	0.430
hazard	bahya	0.112	0.884	0.757
hazardous	picilakaeun	0.061	0.750	0.670
haze	halimun	0.427	0.327	0.217
hazmat	hazmat	0.398	0.479	0.519
hazy	kasaput halimun	0.450	0.433	0.230
head	sirah	0.530	0.472	0.558
headache	rieut	0.168	0.755	0.273
headaches	headaches	0.104	0.720	0.259
headband	headband	0.670	0.469	0.527
headdress	headdress	0.594	0.408	0.443
header	lulugu	0.560	0.398	0.740
headgear	headgear	0.542	0.442	0.571
heading	judul	0.551	0.292	0.642
headland	headland	0.574	0.551	0.430
headless	headless	0.136	0.582	0.235
headlight	lampu gede	0.592	0.343	0.393
headline	pokona berita	0.630	0.241	0.685
headliner	headliner	0.500	0.490	0.625
headlock	headlock	0.448	0.538	0.560
headlong	headlong	0.354	0.548	0.409
headmaster	kepala sekolah	0.604	0.564	0.865
headphones	headphone	0.600	0.357	0.336
headquarter	headquarter	0.615	0.269	0.525
headquarters	markas gede	0.615	0.271	0.525
headset	headset	0.602	0.340	0.302
headstone	Paésan	0.240	0.378	0.349
headstrong	headstrong	0.310	0.714	0.500
headway	headway	0.823	0.464	0.745
heady	heady	0.448	0.806	0.565
heal	ngajadikeun cageur	0.765	0.245	0.556
healer	dukun	0.863	0.378	0.741
healing	nyageurkeun	0.750	0.452	0.585
health	kasehatan	0.935	0.427	0.551
healthcare	palayanan Kaséhatan	0.780	0.392	0.630
healthful	healthful	0.930	0.315	0.769
healthy	damang	0.938	0.319	0.818
heap	numpuk	0.582	0.510	0.474
hear	ngadangu	0.760	0.429	0.444
hearer	hearer	0.656	0.281	0.415
hearing	pamariksaan	0.669	0.490	0.595
hearsay	hearsay	0.288	0.623	0.333
hearse	hearse	0.177	0.490	0.324
heart	jajantung	0.827	0.500	0.693
heart disease	panyakit jantung	0.250	0.750	0.386
heartache	heartache	0.088	0.750	0.291
heartattack	NO TRANSLATION	0.156	0.839	0.455
heartbeat	keteg jajantung	0.750	0.698	0.585
heartbreak	patah hati	0.208	0.610	0.245
heartbreaker	heartbreaker	0.265	0.685	0.580
heartbreaking	heartbreaking	0.146	0.811	0.423
heartbroken	heartbroken	0.082	0.551	0.235
heartburn	rasa panas di jero beuteung	0.143	0.613	0.398
hearted	hearted	0.823	0.410	0.805
heartfelt	heartfelt	0.904	0.440	0.540
hearth	hearth	0.760	0.275	0.536
heartily	heartily	0.927	0.531	0.664
heartland	heartland	0.812	0.510	0.675
heartless	heartless	0.071	0.652	0.400
hearts	hate	0.948	0.592	0.634
heartsick	heartsick	0.240	0.388	0.208
heartworm	heartworm	0.333	0.550	0.430
hearty	hearty	0.760	0.684	0.792
heat	panas	0.534	0.612	0.433
heated	dipanaskeun	0.479	0.497	0.542
heater	alat keur manaskeun	0.500	0.573	0.538
heath	Heath	0.802	0.387	0.546
heathen	kafir	0.194	0.529	0.491
heather	samah	0.500	0.352	0.407
heating	kaayaan ngajadikeun panas	0.647	0.491	0.537
heave	heave	0.716	0.588	0.664
heaven	sawarga	0.896	0.385	0.600
heavenly	sawarga	0.844	0.452	0.712
heavens	langit	0.806	0.273	0.683
heavily	beurat	0.542	0.679	0.814
heaviness	heaviness	0.219	0.549	0.318
heaving	heaving	0.201	0.843	0.491
heavy	beurat	0.250	0.454	0.600
heavy metal	heavy metal	0.417	0.755	0.621
heavyweight	heavyweight	0.429	0.578	0.713
heck	heck	0.240	0.728	0.560
hectares	hektar	0.570	0.250	0.471
hectic	rame	0.167	0.811	0.438
hedge	pager hirup	0.604	0.602	0.569
hedgehog	landak	0.458	0.491	0.377
hedonism	hedonism	0.510	0.500	0.608
hee	hee	0.430	0.433	0.312
