Word	Nepali-ne	Valence	Arousal	Dominance
groovy	groovy	0.615	0.538	0.464
grope	गुप्त	0.420	0.559	0.358
gross	सकल	0.115	0.575	0.181
grotesque	भ्रामक	0.135	0.788	0.500
grotto	grotto	0.510	0.394	0.336
grouch	गोक	0.342	0.593	0.411
grouchy	grouchy	0.143	0.708	0.407
ground	जमीन	0.398	0.343	0.602
grounded	grounded	0.531	0.601	0.509
groundhog	groundhog	0.385	0.324	0.377
grounding	ग्राउन्डिंग	0.521	0.452	0.591
groundless	बेपत्ता	0.333	0.535	0.387
grounds	मैदान	0.667	0.500	0.598
groundwork	मैदान	0.500	0.375	0.593
group	समूह	0.573	0.423	0.480
groupie	groupie	0.521	0.583	0.393
grouping	समूह	0.745	0.580	0.698
grouse	साहसी	0.448	0.401	0.412
grout	grout	0.405	0.356	0.366
grove	grove	0.604	0.245	0.417
grovel	ग्रोवल	0.360	0.500	0.414
grow	बढ्दै	0.914	0.615	0.755
growl	growl	0.194	0.764	0.482
growling	खेती गर्दै	0.119	0.887	0.475
growls	बढ्छ	0.125	0.675	0.442
grownup	बढ्यो	0.735	0.400	0.683
growth	विकास	0.917	0.588	0.776
growthefuckup	बढ्दो	0.229	0.692	0.426
grr	grr	0.229	0.538	0.333
grrr	grrr	0.271	0.755	0.327
grrrrr	grrrrr	0.281	0.633	0.444
grub	ग्रब	0.602	0.406	0.355
grubby	गम्भीर	0.156	0.583	0.176
grudge	कुकुर	0.115	0.647	0.414
grudging	बिचरा	0.092	0.636	0.473
grudgingly	साहसी भई	0.156	0.610	0.292
gruel	gruel	0.382	0.304	0.297
grueling	दु: खी	0.180	0.763	0.704
gruesome	श्रोता	0.094	0.837	0.474
gruff	gruff	0.323	0.611	0.472
grumble	नरम	0.101	0.750	0.333
grump	ग्रम्प	0.260	0.469	0.425
grumpy	गन्दा	0.198	0.808	0.559
grunt	साहसी	0.286	0.798	0.392
grunting	ग्रैचिंग	0.198	0.827	0.481
guacamole	guacamole	0.684	0.317	0.282
guano	guano	0.296	0.343	0.191
guarantee	ग्यारेन्टी	0.949	0.337	0.805
guaranty	ग्यारेन्टी	0.646	0.337	0.818
guard	गार्ड	0.592	0.510	0.725
guarded	संरक्षित	0.758	0.686	0.500
guardhouse	पाले घर	0.510	0.435	0.770
guardian	संरक्षक	0.656	0.686	0.789
guardianship	अभिभावक	0.592	0.370	0.681
guards	संरक्षक	0.448	0.663	0.720
gubernatorial	गबर्नरेटर	0.552	0.604	0.897
guerilla	NO TRANSLATION	0.146	0.845	0.727
guerrilla	गुरिल्ला	0.219	0.917	0.792
guess	अनुमान लगाउनुहोस्	0.640	0.463	0.442
guesser	अनुमानक	0.542	0.670	0.535
guesswork	guesswork	0.417	0.451	0.405
guest	अतिथि	0.719	0.490	0.558
guesthouse	पाहुना घर	0.729	0.337	0.406
guidance	निर्देशन	0.729	0.471	0.718
guide	गाइड	0.688	0.315	0.620
guidebook	गाइडबुक	0.677	0.260	0.427
guidelines	दिशानिर्देशहरू	0.459	0.500	0.664
guiding	मार्गदर्शक	0.667	0.520	0.714
guild	गिल्ड	0.580	0.459	0.729
guile	गाइल	0.410	0.417	0.467
guillotine	guillotine	0.163	0.817	0.585
guilt	अपराध	0.208	0.567	0.206
guilty	दोषी	0.135	0.770	0.352
guinea	गिनी	0.521	0.440	0.396
guise	guise	0.531	0.547	0.324
guitar	गिटार	0.844	0.542	0.469
guitarist	गिटारवादी	0.827	0.740	0.549
gules	gules	0.469	0.443	0.340
gulf	gulf	0.520	0.365	0.398
gull	गल	0.594	0.317	0.378
gullet	गलेट	0.385	0.490	0.393
gullible	भद्र	0.440	0.442	0.318
gully	गली	0.316	0.519	0.394
gulp	gulp	0.551	0.660	0.409
gum	गम	0.573	0.227	0.213
gumbo	गम्बो	0.500	0.422	0.361
gummy	गम्भीर	0.521	0.302	0.291
gumption	गम्भीरता	0.480	0.538	0.488
gun	बन्दूक	0.147	0.920	0.713
gunboat	बन्दूक	0.139	0.663	0.618
gunfight	बन्दूक	0.051	0.961	0.700
gunfighter	बन्दूक	0.156	0.910	0.741
gunfire	बन्दूक	0.156	0.930	0.673
gunk	बन्दूक	0.250	0.478	0.219
gunman	gunman	0.167	0.922	0.689
gunmen	बन्दुकहरू	0.073	0.942	0.727
gunner	बन्दुक	0.250	0.853	0.817
gunnery	बन्दूक	0.281	0.861	0.873
gunplay	gunplay	0.133	0.906	0.627
gunpoint	gunpoint	0.188	0.817	0.719
gunpowder	बन्दुक	0.425	0.853	0.509
gunshot	बन्दूक	0.042	0.953	0.673
gunslinger	Gunslinger	0.316	0.873	0.811
gurney	gurney	0.408	0.304	0.352
guru	गुरु	0.573	0.360	0.653
gush	उदास	0.510	0.490	0.381
gusher	gusher	0.406	0.520	0.453
gusset	Gusset	0.427	0.425	0.423
gust	गस्ट	0.490	0.755	0.556
gusto	NO TRANSLATION	0.692	0.729	0.620
gusty	ठुलो	0.687	0.631	0.455
gut	गट	0.408	0.367	0.364
gutless	गौतम	0.250	0.381	0.384
guts	गेट	0.592	0.649	0.582
gutsy	gutsy	0.635	0.573	0.536
gutter	गटर	0.466	0.260	0.400
guy	केटा	0.583	0.367	0.546
guzzler	गुजगर	0.393	0.537	0.436
guzzling	गजल	0.460	0.490	0.380
gym	जिम	0.635	0.690	0.613
gymnasium	जिमनाशियम	0.667	0.561	0.474
gymnast	जिमनास्ट	0.670	0.760	0.558
gymnastic	व्यायामशाला	0.810	0.706	0.604
gymnastics	जिमनास्टिक	0.745	0.677	0.508
gynecologist	स्त्री रोग विशेषज्ञ	0.552	0.566	0.682
gynecology	स्त्री रोग	0.408	0.590	0.519
gypsy	जिप्स	0.375	0.665	0.396
gyroscope	gyroscope	0.500	0.390	0.510
habit	आदत	0.625	0.226	0.585
habitat	निवास	0.633	0.343	0.553
habitation	आवास	0.781	0.231	0.538
habitual	निवास	0.527	0.208	0.490
habitually	बानी	0.600	0.324	0.583
hacienda	hacienda	0.688	0.402	0.573
hack	हैक	0.135	0.717	0.534
hacker	हैकर	0.271	0.755	0.740
hacksaw	hacksaw	0.406	0.645	0.537
hadenough	NO TRANSLATION	0.323	0.566	0.529
hag	hag	0.188	0.695	0.411
haggard	हजारी	0.115	0.510	0.246
haggle	haggle	0.480	0.601	0.461
haiku	haiku	0.583	0.356	0.392
hail	जमाना	0.459	0.627	0.411
hair	कपाल	0.582	0.186	0.286
hairball	बालबालिका	0.370	0.302	0.315
hairbrush	कपालको टुक्रा	0.454	0.216	0.263
haircut	कपाल कपाल	0.677	0.343	0.307
hairdo	बालुवा	0.552	0.320	0.435
hairdresser	हेयर ड्रायर	0.708	0.509	0.407
hairdryer	हेयर ड्रायर	0.642	0.402	0.330
hairless	बालबालिका	0.136	0.235	0.139
hairline	कपाल	0.418	0.154	0.230
hairpin	कपाल	0.459	0.363	0.370
hairspray	हेरिरेप्र	0.549	0.279	0.269
hairstyle	केश	0.771	0.380	0.433
hairy	कपाल	0.542	0.380	0.343
hale	हेलो	0.479	0.435	0.500
half	आधा	0.500	0.274	0.276
half dollar	आधा डलर	0.573	0.408	0.509
halfback	आधाब्याक	0.490	0.429	0.440
halftime	मध्यान्तर	0.458	0.352	0.429
halfway	आधा बाटो	0.510	0.254	0.339
halibut	halibut	0.449	0.412	0.411
hall	hall	0.510	0.340	0.424
hallelujah	hallelujah	0.770	0.554	0.657
hallmark	हेलमार्क	0.646	0.315	0.411
hallowed	पवित्र	0.740	0.500	0.728
hallucination	हजुरआमा	0.396	0.706	0.370
hallway	hallway	0.573	0.230	0.279
halo	halo	0.490	0.370	0.441
halt	रोक्नुहोस्	0.167	0.360	0.432
halter	halter	0.448	0.451	0.431
halting	halting	0.255	0.596	0.519
halve	halve	0.316	0.347	0.302
halving	हिड्ने	0.292	0.474	0.366
ham	ham	0.673	0.245	0.404
hamburger	हैम्बर्गर	0.809	0.551	0.387
hamlet	hamlet	0.573	0.270	0.397
hammer	हथौड़ा	0.312	0.509	0.563
hammerhead	हैमरहेड	0.337	0.490	0.569
hammering	घृणित	0.347	0.779	0.557
hammock	hammock	0.673	0.255	0.287
hamper	अवरोध	0.204	0.711	0.473
hamster	हम्सटर	0.520	0.394	0.349
hamstring	मसला	0.406	0.471	0.443
hand	हात	0.542	0.314	0.434
handbag	हैंडबैग	0.562	0.240	0.336
handball	ह्यान्डबल	0.561	0.493	0.440
handbook	ह्यान्डबुक	0.600	0.224	0.567
handcuff	हस्तकला	0.310	0.590	0.593
handful	मुट्ठी	0.521	0.481	0.400
handgun	ह्यान्डगन	0.156	0.914	0.782
handheld	ह्यान्डहेल्ड	0.646	0.350	0.586
handicap	हस्तकला	0.133	0.394	0.264
handicapped	विकलांग	0.204	0.467	0.180
handicraft	हस्तकला	0.724	0.333	0.565
handiwork	हस्तक्षेप	0.753	0.430	0.410
handkerchief	रूमाल	0.510	0.192	0.219
handle	ह्यान्डल गर्नुहोस्	0.698	0.571	0.558
handler	ह्यान्डलर	0.439	0.593	0.861
handmade	हस्तमैथुन	0.776	0.383	0.475
handout	ह्यान्डआउट	0.560	0.330	0.545
handprint	संकेत	0.635	0.289	0.463
handshake	ह्यान्डशेक	0.816	0.654	0.492
handsome	सुन्दर	0.890	0.600	0.682
handwriting	हस्तलेखन	0.615	0.378	0.381
handy	काम	0.741	0.378	0.639
handyman	ह्यान्डम्यान	0.660	0.373	0.393
hang	ह्याङ्ग	0.323	0.529	0.446
hangar	hangar	0.490	0.456	0.481
hanger	ह्यानर	0.439	0.462	0.461
hanging	फागुन	0.378	0.471	0.389
hangman	hangman	0.153	0.877	0.555
hangout	hangout	0.573	0.500	0.462
hangover	hangover	0.188	0.565	0.267
hangry	ह्याङ्ग्री	0.219	0.794	0.279
hank	hank	0.510	0.375	0.339
hankering	hankering	0.604	0.540	0.558
hanky	hanky	0.460	0.276	0.250
hap	NO TRANSLATION	0.503	0.431	0.453
haphazard	छक्क परे	0.469	0.530	0.324
hapless	hapless	0.271	0.442	0.193
happen	हुनुहोस्	0.677	0.670	0.551
happening	हुदैछ	0.646	0.529	0.555
happier	खुसी	0.990	0.760	0.806
happiest	खुसी	0.990	0.716	0.746
happily	खुसीसाथ	1.000	0.690	0.674
happiness	खुशी	0.960	0.732	0.850
happy	खुसी	1.000	0.735	0.772
happydance	खुसी	0.857	0.760	0.582
happyday	शुभ दिन	0.929	0.650	0.663
happyheart	शुभकामना	0.949	0.575	0.605
happyholidays	NO TRANSLATION	0.927	0.740	0.637
happynewyear	NO TRANSLATION	0.969	0.815	0.559
happyplace	NO TRANSLATION	0.938	0.589	0.645
happytweet	NO TRANSLATION	0.847	0.588	0.437
happyvalentinesday	NO TRANSLATION	0.929	0.784	0.509
harass	ह्रास	0.160	0.775	0.620
harassing	उत्पीडन	0.120	0.873	0.446
harassment	उत्पीडन	0.083	0.896	0.420
harbinger	हर्बिंगर	0.490	0.389	0.692
harbor	बंदरगाह	0.594	0.356	0.634
hard	कठोर	0.302	0.708	0.616
hardball	हार्डबल	0.542	0.667	0.452
hardcore	कट्टर	0.250	0.721	0.585
harden	harden	0.276	0.598	0.677
hardened	कठोर	0.406	0.618	0.764
hardening	कठोर	0.388	0.673	0.741
hardheaded	हार्डहेड	0.156	0.699	0.571
hardness	कठोरता	0.417	0.580	0.745
hardship	कठोरता	0.094	0.775	0.482
hardware	हार्डवेयर	0.594	0.289	0.686
hardwood	दृढ काठ	0.417	0.363	0.518
hardworking	मेहनती	0.719	0.583	0.792
hardy	कठोर	0.571	0.569	0.810
hare	हिड	0.620	0.410	0.345
harebrained	हरिब्रेन	0.296	0.551	0.436
harem	harem	0.521	0.578	0.582
hark	हर्क	0.571	0.500	0.398
harlot	harlot	0.198	0.798	0.330
harm	हानि	0.073	0.679	0.423
harmful	हानिकारक	0.094	0.750	0.291
harmless	हानिकारक	0.625	0.226	0.241
harmonica	harmonica	0.847	0.235	0.510
harmonics	harmonics	0.865	0.400	0.575
harmonious	समानुपातिक	0.938	0.391	0.719
harmoniously	समानुपातिक रूपमा	0.969	0.265	0.647
harmonize	समानुपातिक	0.939	0.461	0.609
harmony	समानुपातिक	0.949	0.230	0.509
harness	दोश्रो	0.570	0.549	0.508
harp	harp	0.618	0.310	0.356
harper	हानिकारक	0.417	0.454	0.435
harpoon	हर्पोन	0.490	0.700	0.557
harpsichord	हर्प्सिचर्ड	0.541	0.490	0.438
harrowing	हानिकारक	0.209	0.810	0.474
harry	हैरी	0.520	0.409	0.390
harsh	कठोर	0.250	0.650	0.623
harshness	कठोरता	0.323	0.600	0.779
hart	hart	0.643	0.389	0.447
harvest	खेती गर्नुहोस्	0.781	0.353	0.548
hash	हैश	0.344	0.453	0.355
hashish	हैश	0.370	0.570	0.358
hassle	परेशानी	0.177	0.740	0.489
haste	छिटो	0.378	0.745	0.500
hasten	छिटो	0.571	0.750	0.618
hastily	चाँडै	0.271	0.609	0.609
hasty	hasty	0.188	0.885	0.424
hat	टोपी	0.604	0.183	0.353
hatch	hatch	0.479	0.653	0.402
hatchet	हिटलर	0.333	0.608	0.500
hate	घृणा गर्छु	0.031	0.802	0.430
hateeee	NO TRANSLATION	0.219	0.606	0.368
hateeveryone	NO TRANSLATION	0.041	0.840	0.429
hateful	घृणित	0.071	0.819	0.430
hater	हटर	0.052	0.702	0.422
hateyou	NO TRANSLATION	0.125	0.735	0.464
hating	घृणित	0.083	0.820	0.434
hatred	घृणा	0.037	0.847	0.424
haughty	शरारती	0.240	0.708	0.588
haul	हावा	0.551	0.564	0.453
haulage	हलुका	0.561	0.510	0.650
haunt	haunt	0.288	0.676	0.576
haunted	प्रेत	0.264	0.731	0.520
have	छ	0.757	0.389	0.593
haven	हेवन	0.684	0.265	0.547
havoc	विनाश	0.163	0.769	0.535
haw	haw	0.406	0.426	0.431
hawk	हाक	0.583	0.530	0.631
hawking	हकिंग	0.521	0.509	0.491
hay	NO TRANSLATION	0.469	0.212	0.343
haye	haye	0.615	0.451	0.336
hayride	hayride	0.561	0.521	0.464
haystack	haystack	0.552	0.292	0.331
haywire	haywire	0.358	0.545	0.430
hazard	जोखिम	0.112	0.884	0.757
hazardous	खतरनाक	0.061	0.750	0.670
haze	धुरी	0.427	0.327	0.217
hazmat	hazmat	0.398	0.479	0.519
hazy	hazy	0.450	0.433	0.230
head	हेड	0.530	0.472	0.558
headache	टाउको दुखाइ	0.168	0.755	0.273
headaches	टाउको दुखाइ	0.104	0.720	0.259
headband	हेडब्यान्ड	0.670	0.469	0.527
headdress	हेडलाइट	0.594	0.408	0.443
header	हेडर	0.560	0.398	0.740
headgear	हेडगियर	0.542	0.442	0.571
heading	शीर्षक	0.551	0.292	0.642
headland	हेडल्याण्ड	0.574	0.551	0.430
headless	headless	0.136	0.582	0.235
headlight	हेडलाइट	0.592	0.343	0.393
headline	शीर्षक	0.630	0.241	0.685
headliner	हेडलिनर	0.500	0.490	0.625
headlock	headlock	0.448	0.538	0.560
headlong	headlong	0.354	0.548	0.409
headmaster	हेडमास्टर	0.604	0.564	0.865
headphones	हेडफोन्स	0.600	0.357	0.336
headquarter	मुख्यालय	0.615	0.269	0.525
headquarters	मुख्यालय	0.615	0.271	0.525
headset	हेडसेट	0.602	0.340	0.302
headstone	हेडस्टोन	0.240	0.378	0.349
headstrong	headstrong	0.310	0.714	0.500
headway	टाउको	0.823	0.464	0.745
heady	सिरिया	0.448	0.806	0.565
heal	निको पार्नु	0.765	0.245	0.556
healer	क्यान्सर	0.863	0.378	0.741
healing	उपचार	0.750	0.452	0.585
health	स्वास्थ्य	0.935	0.427	0.551
healthcare	स्वास्थ्य सेवा	0.780	0.392	0.630
healthful	स्वस्थ	0.930	0.315	0.769
healthy	स्वस्थ	0.938	0.319	0.818
heap	हिरोइन	0.582	0.510	0.474
hear	सुन्नुहोस्	0.760	0.429	0.444
hearer	सुने	0.656	0.281	0.415
hearing	सुन्नु	0.669	0.490	0.595
hearsay	हेराइ	0.288	0.623	0.333
hearse	सुन्नुहोस्	0.177	0.490	0.324
heart	मुटु	0.827	0.500	0.693
heart disease	मुटु रोग	0.250	0.750	0.386
heartache	दिल दुखाइ	0.088	0.750	0.291
heartattack	NO TRANSLATION	0.156	0.839	0.455
heartbeat	हृदयघात	0.750	0.698	0.585
heartbreak	ईर्ष्या	0.208	0.610	0.245
heartbreaker	हृदयघाती	0.265	0.685	0.580
heartbreaking	ईश्वर	0.146	0.811	0.423
heartbroken	हार्दिक	0.082	0.551	0.235
heartburn	ईर्ष्या	0.143	0.613	0.398
hearted	मन पराउँछु	0.823	0.410	0.805
heartfelt	हार्दिक	0.904	0.440	0.540
hearth	सुनेथ	0.760	0.275	0.536
heartily	दिलदार	0.927	0.531	0.664
heartland	गजल	0.812	0.510	0.675
heartless	निर्दोष	0.071	0.652	0.400
hearts	मन	0.948	0.592	0.634
heartsick	heartsick	0.240	0.388	0.208
heartworm	हार्दिक	0.333	0.550	0.430
hearty	हार्दिक	0.760	0.684	0.792
heat	गर्मी	0.534	0.612	0.433
heated	गरम	0.479	0.497	0.542
heater	हीटर	0.500	0.573	0.538
heath	हेथ	0.802	0.387	0.546
heathen	heathen	0.194	0.529	0.491
heather	हेथरी	0.500	0.352	0.407
heating	हीटिंग	0.647	0.491	0.537
heave	हावा	0.716	0.588	0.664
heaven	स्वर्ग	0.896	0.385	0.600
heavenly	स्वर्गीय	0.844	0.452	0.712
heavens	आकाश	0.806	0.273	0.683
heavily	भारी	0.542	0.679	0.814
heaviness	भारीपन	0.219	0.549	0.318
heaving	बुवा	0.201	0.843	0.491
heavy	भारी	0.250	0.454	0.600
heavy metal	भारी धातु	0.417	0.755	0.621
heavyweight	भारी वजन	0.429	0.578	0.713
heck	हेक	0.240	0.728	0.560
hectares	हेक्टेयर	0.570	0.250	0.471
hectic	हेक्टिक	0.167	0.811	0.438
hedge	हेज	0.604	0.602	0.569
hedgehog	हड्डी	0.458	0.491	0.377
hedonism	hedonism	0.510	0.500	0.608
hee	ऊ	0.430	0.433	0.312
heed	heed	0.750	0.490	0.569
heel	एड़ी	0.480	0.350	0.385
heels	ऊन्स	0.500	0.439	0.396
heft	सात	0.503	0.340	0.530
hefty	भोली	0.550	0.654	0.745
hegemonic	hegemonic	0.462	0.519	0.558
heheh	NO TRANSLATION	0.625	0.510	0.278
heifer	ऊन	0.439	0.443	0.321
height	उचाई	0.677	0.608	0.648
heighten	उचाई	0.755	0.622	0.765
heightened	ऊ बढ्यो	0.592	0.529	0.788
heinous	हानिकारक	0.133	0.792	0.471
heir	हिरोइन	0.840	0.654	0.764
heiress	हिरोइन	0.827	0.571	0.676
heirloom	हिरोलोम	0.684	0.375	0.745
heirs	हिरोइन	0.796	0.519	0.698
heist	हिड	0.184	0.850	0.645
helical	हेलिकप्टर	0.379	0.429	0.468
helicopter	हेलिकप्टर	0.714	0.806	0.617
helipad	हैलोपैड	0.780	0.637	0.573
heliport	हेलिकप्टर	0.594	0.604	0.527
helium	हेलियम	0.490	0.316	0.304
helix	हेलिक्स	0.521	0.462	0.509
hell	नरक	0.020	0.918	0.565
hellfire	hellfire	0.143	0.890	0.618
hellhole	hellhole	0.200	0.615	0.421
hellish	hellish	0.125	0.860	0.545
helm	हेलम	0.511	0.450	0.615
helmet	हेलमेट	0.573	0.327	0.402
helmsman	हेलसमैन	0.490	0.441	0.647
help	मद्दत	0.673	0.471	0.460
helper	सहायक	0.704	0.438	0.567
helpful	सहयोगी	0.816	0.337	0.705
helpless	असहाय	0.104	0.420	0.214
helplessness	असहाय	0.087	0.480	0.250
hem	NO TRANSLATION	0.562	0.283	0.291
hematite	hematite	0.448	0.389	0.342
hematoma	hematoma	0.146	0.600	0.398
hemi	hemi	0.510	0.363	0.342
hemisphere	गोलार्इ	0.531	0.367	0.598
hemispheric	गोलाकार	0.562	0.449	0.603
hemlock	hemlock	0.438	0.350	0.434
hemoglobin	हेमोग्लोबिन	0.469	0.481	0.418
hemorrhage	hemorrhage	0.031	0.849	0.426
hemorrhoids	hemorrhoids	0.133	0.702	0.304
hemostat	hemostat	0.388	0.442	0.464
hemp	सहन	0.469	0.439	0.422
hen	NO TRANSLATION	0.385	0.276	0.241
henceforth	यसैले	0.527	0.404	0.466
henhouse	कुखुराको खोर	0.500	0.577	0.414
hepatitis	हेपेटाइटिस	0.055	0.596	0.358
herald	हेरफेर	0.643	0.382	0.500
heraldry	हेरचाह	0.550	0.520	0.607
herb	जडीबुटी	0.643	0.418	0.353
herbaceous	जडीबुटी	0.560	0.220	0.310
herbal	हर्बल	0.592	0.255	0.390
herbarium	herbarium	0.602	0.188	0.327
herbs	जडी बूटियों	0.620	0.299	0.308
herd	गोडा	0.592	0.500	0.474
hereditary	विरासत	0.531	0.600	0.737
heredity	विरासत	0.704	0.445	0.818
heresy	heresy	0.265	0.765	0.443
heretic	हानिकारक	0.090	0.710	0.447
heretical	heretical	0.229	0.630	0.487
heretofore	यसैले	0.479	0.388	0.385
hereunto	hereunto	0.500	0.225	0.333
herewith	यसैले	0.450	0.360	0.415
heritage	विरासत	0.842	0.512	0.815
hermaphrodite	हेरफेरोडाइट	0.480	0.684	0.481
hermeneutics	हेमनेटेटिक्स	0.406	0.577	0.562
hermit	बिहे	0.271	0.337	0.351
hernia	हर्निया	0.146	0.486	0.223
hero	नायक	0.940	0.806	0.881
heroic	नायक	0.890	0.770	0.912
heroics	नायकहरू	0.865	0.673	0.894
heroin	हेयोइन	0.276	0.843	0.655
heroine	नायिका	0.729	0.755	0.833
heroism	वीरतावाद	0.844	0.802	0.898
herpes	herpes	0.110	0.600	0.309
herpesvirus	herpesvirus	0.219	0.558	0.435
herring	हिरोइन	0.531	0.387	0.422
hertz	hertz	0.396	0.417	0.506
hesitant	hesitant	0.333	0.542	0.321
hesitate	संकोच गर्नुहोस्	0.459	0.548	0.232
hesitating	हिँड्ने	0.265	0.528	0.240
hesitation	हिचकिच	0.286	0.396	0.217
hetero	hetero	0.589	0.405	0.435
heterogeneity	heterogeneity	0.439	0.450	0.556
heterosexual	विषाक्तता	0.561	0.612	0.557
hew	hew	0.417	0.470	0.377
hex	हेक्स	0.410	0.510	0.363
hexagon	हेक्सगन	0.542	0.226	0.425
heyday	heyday	0.646	0.680	0.673
hiatus	hiatus	0.479	0.294	0.352
hibernate	hibernate	0.500	0.317	0.431
hibernation	हाइबरेशन	0.469	0.245	0.384
hiccup	hiccup	0.271	0.549	0.240
hick	hick	0.357	0.442	0.314
hickey	hickey	0.448	0.529	0.345
hickory	hickory	0.520	0.490	0.415
hidden	लुकेको छ	0.208	0.430	0.327
hide	लुकाउनुहोस्	0.438	0.510	0.218
hideaway	hideaway	0.448	0.481	0.360
hideous	लुकेको	0.091	0.750	0.328
hideout	लुकाउने	0.337	0.443	0.302
hiding	लुकेको छ	0.250	0.567	0.364
hierarchical	पदानुक्रमिक	0.521	0.620	0.939
hierarchy	पदानुक्रम	0.583	0.722	0.902
hieroglyphics	hieroglyphics	0.479	0.325	0.509
high	high	0.684	0.510	0.614
high heels	उच्च ऊँची एड़ी	0.646	0.528	0.429
highball	हाईबल	0.656	0.520	0.481
higher	उच्च	0.866	0.528	0.713
highest	उच्च	0.771	0.640	0.710
highland	highland	0.615	0.481	0.611
highlands	highlands	0.735	0.431	0.596
highlight	हाइलाइट	0.844	0.637	0.882
highness	उच्चता	0.740	0.670	0.931
hight	hight	0.667	0.637	0.645
hightail	hightail	0.448	0.480	0.481
highway	राजमार्ग	0.640	0.583	0.425
hijack	hijack	0.042	0.908	0.594
hijacker	hijacker	0.104	0.953	0.683
hike	बढ्दो	0.615	0.442	0.538
hiker	hiker	0.694	0.802	0.644
hiking	पैदल यात्रा	0.820	0.843	0.670
hiking boot	पैदल यात्रा बूट	0.657	0.353	0.446
hilarious	उल्लङ्घन	0.750	0.640	0.537
hilarity	प्रलोभन	0.745	0.480	0.575
hill	पहाड	0.615	0.353	0.518
hillside	पहाडहरू	0.625	0.292	0.458
hilltop	पहाडी	0.688	0.643	0.787
hilly	पहाड	0.643	0.479	0.603
hilt	hilt	0.396	0.650	0.537
hind	hind	0.483	0.644	0.337
hinder	बाधा	0.276	0.537	0.470
hindering	बाधा	0.260	0.654	0.435
hindrance	बाधा	0.135	0.545	0.473
hindsight	hindsight	0.333	0.431	0.532
hinge	हङकङ	0.458	0.292	0.417
hint	सङ्केत	0.602	0.330	0.517
hinterland	हंटरल्याण्ड	0.530	0.520	0.457
hip	हिप	0.448	0.415	0.345
hip hop	हिप हप	0.740	0.714	0.484
hippie	hippie	0.551	0.400	0.396
hippo	hippo	0.490	0.404	0.477
hippopotamus	हिप्पोपोटस	0.541	0.472	0.615
hire	भाडा	0.688	0.558	0.556
hirsute	हिरासत	0.385	0.483	0.373
hiss	उनको	0.388	0.480	0.370
hissing	हाउजिङ	0.500	0.454	0.400
histology	हिस्टोलोजी	0.490	0.320	0.560
historian	इतिहासकार	0.688	0.270	0.637
historic	ऐतिहासिक	0.816	0.473	0.784
historical	ऐतिहासिक	0.653	0.357	0.833
historiography	हिस्टोरोग्राफी	0.562	0.415	0.634
history	इतिहास	0.729	0.382	0.754
hit	हिट	0.235	0.931	0.679
hitch	चिन्ता	0.512	0.480	0.554
hitchhike	hitchhike	0.396	0.622	0.385
hitchhiker	hitchhiker	0.594	0.626	0.603
hitherto	अब सम्म	0.448	0.356	0.463
hitter	hitter	0.418	0.683	0.713
hive	hive	0.471	0.452	0.544
hives	hives	0.417	0.473	0.591
hoard	hoard	0.506	0.412	0.518
hoarse	hoarse	0.281	0.402	0.315
hoary	hoary	0.469	0.298	0.424
hoax	hoax	0.146	0.696	0.303
hob	hob	0.633	0.363	0.415
hobbit	hobbit	0.479	0.489	0.472
hobby	शौक	0.827	0.560	0.471
hobo	hobo	0.323	0.443	0.282
hock	हक	0.513	0.452	0.412
hockey	हकी	0.565	0.786	0.548
hoe	NO TRANSLATION	0.302	0.480	0.418
hog	hog	0.317	0.509	0.271
hogwash	hogwash	0.420	0.490	0.361
hohoho	NO TRANSLATION	0.677	0.433	0.330
hoist	उठाइयो	0.521	0.520	0.458
hokey	hokey	0.604	0.667	0.430
hold	समात्नुहोस्	0.448	0.290	0.364
holder	धारक	0.592	0.330	0.713
holding	पकडने	0.600	0.385	0.670
holdup	पर्ख	0.398	0.471	0.398
hole	छेद	0.531	0.310	0.330
holiday	छुट्टी	0.948	0.431	0.593
holidays	छुटहरू	0.939	0.521	0.512
holidayseason	NO TRANSLATION	0.875	0.566	0.518
holiness	पवित्रता	0.860	0.264	0.742
holistic	समग्र	0.670	0.348	0.547
holler	holler	0.276	0.825	0.406
hollow	खाली	0.300	0.337	0.222
holly	होली	0.510	0.250	0.443
holocaust	होलोकस्ट	0.062	0.918	0.618
hologram	होलोग्राम	0.615	0.461	0.575
holographic	होलोग्राफिक	0.510	0.471	0.555
holster	holster	0.561	0.255	0.339
holy	पवित्र	0.812	0.112	0.690
holyspirit	NO TRANSLATION	0.740	0.480	0.526
homage	घर	0.833	0.560	0.737
hombre	NO TRANSLATION	0.656	0.472	0.696
hombres	NO TRANSLATION	0.510	0.538	0.652
home	घर	0.854	0.270	0.545
homeboy	homeboy	0.602	0.255	0.436
homecoming	घर आगमन	0.760	0.413	0.472
homeland	मातृभूमि	0.663	0.439	0.868
homeless	बेघर	0.042	0.450	0.188
homely	हजुरआमा	0.745	0.157	0.399
homemade	घरेलु	0.869	0.340	0.398
homeopathic	होम्योपैथिक	0.417	0.268	0.400
homeopathy	होम्योपैथी	0.469	0.284	0.439
homeowner	homeowner	0.635	0.397	0.962
homeroom	homeroom	0.604	0.480	0.491
homesick	homesick	0.436	0.304	0.347
homestead	होमस्टे	0.865	0.221	0.536
homesweethome	घर प्यारो घर	0.796	0.380	0.538
hometown	गृहनगर	0.858	0.333	0.605
homeward	घर	0.833	0.275	0.435
