Word	Irish-ga	Valence	Arousal	Dominance
horny	horny	0.490	0.908	0.560
horoscope	horoscope	0.500	0.360	0.490
horrendous	uafásach	0.073	0.755	0.365
horrible	uafásach	0.071	0.857	0.398
horribly	uafásach	0.050	0.631	0.454
horrid	horrid	0.052	0.765	0.419
horrific	uafásach	0.094	0.846	0.481
horrified	uafásach	0.040	0.885	0.368
horrifying	uafásach	0.010	0.760	0.352
horror	uafásach	0.115	0.850	0.438
horrors	uafáis	0.061	0.852	0.409
horse	capall	0.635	0.510	0.529
horseback	horseback	0.688	0.588	0.566
horseman	ceannaire	0.441	0.700	0.676
horsepower	horsepower	0.594	0.735	0.735
horseradish	horseradish	0.321	0.584	0.476
horseshit	horseshit	0.153	0.582	0.179
horseshoe	capaill	0.673	0.350	0.406
horsey	horsey	0.602	0.454	0.462
horticultural	gairneoireachta	0.594	0.387	0.509
horticulture	gairneoireachta	0.700	0.420	0.434
hosannah	NO TRANSLATION	0.679	0.373	0.500
hose	píobán	0.469	0.288	0.263
hosiery	góiséireacht	0.520	0.344	0.373
hospice	ospís	0.337	0.443	0.535
hospitable	fáilteach	0.791	0.470	0.661
hospital	ospidéal	0.323	0.537	0.598
hospitality	fáilteachais	0.865	0.333	0.725
host	óstach	0.693	0.471	0.537
hostage	giall	0.163	0.923	0.325
hostel	brú	0.479	0.500	0.398
hostess	óstach	0.792	0.604	0.688
hostile	naimhdeach	0.188	0.877	0.474
hostilities	cogaíocht	0.276	0.810	0.444
hostility	naimhdeas	0.122	0.775	0.465
hot	te	0.490	0.740	0.573
hot sauce	anlann te	0.333	0.740	0.509
hotbed	hotbed	0.510	0.285	0.395
hotdog	hotdog	0.720	0.438	0.373
hotel	Óstán	0.740	0.370	0.407
hothead	hothead	0.240	0.849	0.518
hotline	líne líne	0.592	0.565	0.663
hotshot	hotshot	0.500	0.727	0.615
hotyoga	NO TRANSLATION	0.683	0.609	0.446
hound	cosán	0.417	0.528	0.582
hour	uair an chloig	0.552	0.265	0.336
hourglass	uair an chloig	0.542	0.284	0.492
hourly	in aghaidh na huaire	0.469	0.418	0.491
house	teach	0.587	0.135	0.533
houseboat	teach bád	0.604	0.389	0.429
houseboy	houseboy	0.479	0.415	0.393
housebroken	teach briste	0.518	0.461	0.389
houseguest	houseguest	0.530	0.500	0.481
household	teaghlach	0.781	0.230	0.667
householder	sealbhóir tí	0.816	0.541	0.833
housekeeper	báire tí	0.694	0.279	0.520
housekeeping	cothabháil tí	0.604	0.500	0.445
housewarming	teach tí	0.857	0.710	0.727
housewife	bean tí	0.656	0.361	0.449
housework	obair tí	0.484	0.413	0.342
housing	tithíocht	0.776	0.304	0.591
hovel	hovel	0.333	0.296	0.322
hover	hover	0.510	0.431	0.404
hovercraft	hovercraft	0.541	0.654	0.588
howl	howl	0.357	0.646	0.407
howsoever	cibé	0.459	0.309	0.345
hoy	NO TRANSLATION	0.583	0.298	0.471
hub	mol	0.479	0.399	0.433
hubby	hubby	0.548	0.435	0.430
huckleberry	huckleberry	0.600	0.279	0.296
huddle	huddle	0.604	0.509	0.445
hue	hue	0.507	0.416	0.417
huff	huff	0.388	0.491	0.315
huffy	huffy	0.420	0.616	0.375
hug	barróg	0.908	0.427	0.548
huge	ollmhór	0.573	0.625	0.783
hugger	hugger	0.520	0.480	0.412
huggy	huggy	0.854	0.429	0.451
hugs	hugs	0.980	0.422	0.600
hulk	hulk	0.460	0.740	0.750
hull	calafort	0.542	0.265	0.353
hum	hum	0.490	0.296	0.276
human	duine	0.767	0.314	0.605
humane	daonnachta	0.800	0.370	0.580
humanitarian	daonnúil	0.786	0.317	0.709
humanities	daonnachtaí	0.729	0.325	0.677
humanity	daonnacht	0.750	0.360	0.727
humankind	daonna	0.885	0.394	0.714
humanoid	humanoid	0.521	0.462	0.491
humanrights	NO TRANSLATION	0.792	0.559	0.730
humble	humble	0.867	0.236	0.483
humbled	humbled	0.280	0.618	0.198
humbly	humbly	0.771	0.194	0.370
humbug	humbug	0.219	0.622	0.456
humdrum	humdrum	0.269	0.246	0.353
humid	humid	0.375	0.324	0.366
humidity	taise	0.464	0.373	0.367
humiliate	humiliate	0.052	0.714	0.275
humiliated	maolú	0.104	0.712	0.216
humiliating	maolú	0.062	0.716	0.279
humiliation	ionsú	0.048	0.712	0.310
humility	humility	0.740	0.118	0.444
hummer	hummer	0.510	0.622	0.589
hummingbird	colúnán	0.750	0.370	0.273
humongous	humongous	0.378	0.538	0.536
humor	greann	0.890	0.633	0.462
humored	daonnúil	0.854	0.657	0.545
humorist	greannmhar	0.958	0.790	0.607
humorous	greannmhar	0.906	0.616	0.665
hump	hump	0.296	0.462	0.250
humpback	humpback	0.235	0.346	0.247
hunch	Hunch	0.561	0.630	0.567
hunchback	Hunchback	0.208	0.390	0.259
hundred	céad	0.604	0.370	0.406
hundredth	céad	0.427	0.368	0.466
hunger	ocras	0.083	0.554	0.328
hungry	ocras	0.083	0.690	0.254
hunk	Hunk	0.438	0.375	0.361
hunks	Hunks	0.417	0.453	0.482
hunky	hunky	0.469	0.571	0.438
hunt	fiach	0.327	0.806	0.588
hunter	sealgair	0.292	0.817	0.817
hunting	fiach	0.448	0.713	0.714
huntress	sealgaire	0.357	0.717	0.765
hurdle	hurdle	0.198	0.682	0.434
hurl	hurl	0.316	0.745	0.574
hurrah	hurray	0.802	0.740	0.500
hurricane	hurricane	0.177	0.958	0.787
hurricanes	hurricanes	0.286	0.898	0.784
hurried	hurried	0.314	0.806	0.393
hurry	Hurry	0.422	0.735	0.481
hurryup	NO TRANSLATION	0.473	0.791	0.555
hurt	gortaithe	0.062	0.773	0.291
hurtful	díobhálach	0.104	0.680	0.463
hurting	hurting	0.153	0.778	0.221
husband	fear céile	0.771	0.500	0.655
husbandry	feirmeoireacht	0.643	0.473	0.445
hush	hush	0.471	0.231	0.312
hushed	sceite	0.292	0.194	0.272
husk	NO TRANSLATION	0.378	0.173	0.147
husky	husky	0.630	0.450	0.490
hussy	hussy	0.219	0.594	0.384
hustle	hustle	0.406	0.661	0.427
hustler	hustler	0.260	0.821	0.627
hut	bó	0.633	0.270	0.375
hutch	hutch	0.385	0.453	0.520
hyacinth	hyacinth	0.372	0.360	0.342
hybrid	hibrideach	0.500	0.365	0.570
hydra	hydra	0.406	0.598	0.534
hydrant	hiodráin	0.570	0.413	0.367
hydrate	hydrate	0.610	0.367	0.547
hydraulic	hiodrálacha	0.522	0.398	0.596
hydraulics	hiodrálach	0.500	0.530	0.588
hydrocephalus	hydrocephalus	0.286	0.629	0.393
hydrodynamics	hidrodinamic	0.552	0.582	0.664
hydrogen	hidrigine	0.469	0.303	0.554
hydrographic	hidreacrafach	0.490	0.396	0.642
hydrology	hidreolaíocht	0.500	0.380	0.509
hydrophobia	hidrófobia	0.323	0.784	0.351
hydroponics	hydroponics	0.500	0.549	0.500
hyena	hyena	0.396	0.719	0.464
hygiene	sláinteachas	0.781	0.287	0.537
hygienic	sláinteachais	0.719	0.245	0.702
hygienist	sláinteachas	0.698	0.389	0.682
hymen	hymen	0.469	0.651	0.457
hymn	hymn	0.735	0.292	0.634
hype	hype	0.510	0.500	0.586
hyped	hyped	0.708	0.582	0.679
hyper	hyper	0.542	0.616	0.640
hyperactive	hyperactive	0.500	0.921	0.660
hyperbole	hyperbole	0.469	0.521	0.542
hyperspace	hyperspace	0.510	0.623	0.755
hypertension	Hipirtheannas	0.133	0.784	0.427
hypertrophy	hipertróf	0.312	0.625	0.413
hyperventilate	hyperventilate	0.347	0.729	0.556
hyperventilating	hyperventilating	0.164	0.802	0.625
hyphen	taifid	0.552	0.356	0.381
hypnosis	hypnosis	0.417	0.410	0.546
hypnotic	hypnotic	0.571	0.560	0.569
hypnotist	hypnotist	0.490	0.455	0.627
hypnotize	hypnotize	0.469	0.507	0.508
hypnotized	hypnotized	0.449	0.434	0.380
hypochondriac	hypochondriac	0.194	0.588	0.333
hypocrisy	hypocrisy	0.156	0.523	0.370
hypocrite	hypocrite	0.082	0.673	0.306
hypocritical	hypocritical	0.048	0.740	0.415
hypodermic	hypodermic	0.240	0.441	0.445
hypothalamus	hypothalamus	0.593	0.427	0.539
hypothermia	hypothermia	0.184	0.620	0.301
hypothesis	hipitéis	0.552	0.370	0.509
hypothetical	hipitéiseach	0.480	0.367	0.361
hysterectomy	hysterectomy	0.178	0.660	0.470
hysteria	hysteria	0.224	0.906	0.482
hysterical	hysterical	0.290	0.942	0.398
ibuprofen	ibuprofen	0.448	0.427	0.504
ice	oighir	0.440	0.265	0.219
ice tea	tae oighir	0.771	0.337	0.336
iceberg	iceberg	0.344	0.540	0.648
icebox	bosca oighir	0.560	0.222	0.370
icebreaker	reoiteoir	0.571	0.545	0.848
iced	iced	0.564	0.482	0.339
icing	icing	0.688	0.452	0.411
icky	icky	0.357	0.510	0.342
icon	icon	0.549	0.349	0.415
iconic	íogair	0.583	0.537	0.700
iconography	iconagrafaíocht	0.602	0.382	0.653
icy	oighreata	0.684	0.375	0.345
id	id	0.449	0.344	0.391
idea	smaoineamh	0.750	0.538	0.704
ideal	idéalach	0.802	0.437	0.736
idealism	idéalachas	0.635	0.436	0.689
idealist	idealist	0.816	0.510	0.802
idealistic	idealistic	0.812	0.469	0.755
identical	comhionann	0.635	0.380	0.527
identically	i gcéanna	0.667	0.427	0.487
identification	aithint	0.714	0.451	0.692
identify	a aithint	0.635	0.480	0.667
identity	aitheantas	0.663	0.360	0.780
ideology	idé-eolaíocht	0.573	0.344	0.692
idiocy	idiocy	0.112	0.635	0.137
idiom	idiom	0.520	0.337	0.445
idiomatic	idiomatic	0.531	0.429	0.516
idiot	leathcheann	0.086	0.567	0.113
idiotic	idiotic	0.104	0.620	0.170
idiots	idiots	0.143	0.600	0.144
idle	díomhaoin	0.179	0.167	0.112
idleness	díomhaoin	0.308	0.330	0.228
idler	idler	0.200	0.304	0.194
idol	idol	0.684	0.805	0.853
idolatry	idolatry	0.365	0.571	0.625
idolizing	idolizing	0.676	0.712	0.643
idyllic	idyllic	0.571	0.394	0.593
iffy	iffy	0.380	0.442	0.333
ifonly	má tá	0.406	0.250	0.255
igloo	igloo	0.569	0.302	0.345
igneous	igneous	0.469	0.466	0.517
ignite	ignite	0.458	0.785	0.675
ignition	adhainte	0.365	0.720	0.657
ignorance	aineolas	0.153	0.417	0.209
ignorant	ignorant	0.102	0.461	0.223
ignore	neamhaird a dhéanamh	0.146	0.230	0.295
iguana	iguana	0.521	0.235	0.291
ihatespiders	NO TRANSLATION	0.245	0.611	0.420
ilk	NO TRANSLATION	0.438	0.451	0.455
ill	tinn	0.073	0.410	0.200
illegal	mídhleathach	0.061	0.787	0.337
illegality	neamhdhleathach	0.094	0.635	0.427
illegally	go neamhdhleathach	0.133	0.788	0.402
illegible	inláimhsithe	0.296	0.490	0.315
illegitimate	neamhdhlisteanach	0.184	0.644	0.302
illicit	aindleathach	0.188	0.794	0.390
illiterate	neamhliteartha	0.120	0.410	0.151
illness	tinneas	0.098	0.717	0.211
illogical	illogical	0.208	0.630	0.251
illuminate	soilsigh	0.905	0.646	0.782
illuminating	soilsiú	0.949	0.613	0.773
illumination	soilsiú	0.760	0.588	0.537
illuminator	soilsitheoir	0.770	0.566	0.718
illusion	illusion	0.562	0.490	0.387
illustrate	léiriú	0.750	0.430	0.690
illustration	léaráid	0.740	0.441	0.640
illustrative	léirithe	0.771	0.452	0.647
illustrious	léargasach	0.673	0.550	0.741
ilovechristmas	NO TRANSLATION	0.885	0.590	0.525
iloveher	NO TRANSLATION	0.750	0.519	0.556
image	íomha	0.653	0.241	0.453
imagery	íomhánna	0.653	0.327	0.390
imaginable	samhlaithe	0.613	0.529	0.596
imaginary	samhlaíochta	0.560	0.424	0.310
imagination	samhlaíocht	0.802	0.491	0.547
imaginative	samhlaíoch	0.780	0.541	0.593
imagine	samhlaigh	0.759	0.480	0.587
imagined	shamhlú	0.656	0.412	0.418
imaging	íomháithe	0.724	0.394	0.482
imagining	samhlú	0.765	0.458	0.545
imam	NO TRANSLATION	0.527	0.337	0.539
imbalance	éagothroime	0.115	0.538	0.264
imbecile	imbecile	0.082	0.569	0.260
imbedded	imbedded	0.406	0.580	0.562
imissyou	NO TRANSLATION	0.480	0.608	0.344
imitate	aithris a dhéanamh	0.469	0.561	0.336
imitated	imithe	0.333	0.391	0.442
imitation	bréige	0.406	0.592	0.343
immaculate	neamhghlactha	0.698	0.330	0.688
immaterial	neamhábhartha	0.296	0.309	0.295
immature	neamhaibí	0.114	0.500	0.200
immaturity	neamhshuim	0.146	0.567	0.221
immeasurable	immeasurable	0.510	0.539	0.712
immeasurably	immeasurably	0.510	0.640	0.680
immediacy	láithreacht	0.635	0.630	0.627
immediate	láithreach	0.656	0.548	0.716
immediately	láithreach	0.552	0.780	0.707
immemorial	inmemorial	0.327	0.469	0.454
immense	ollmhór	0.755	0.750	0.811
immerse	tumtha	0.510	0.577	0.509
immersion	tumoideachais	0.510	0.556	0.564
immigrant	inimirceach	0.357	0.663	0.509
immigration	inimirce	0.390	0.667	0.454
imminent	imithe	0.490	0.784	0.643
immobile	gluaiseachta	0.225	0.217	0.298
immoral	mímhorálta	0.143	0.622	0.385
immorality	mímhoráltacht	0.188	0.689	0.315
immortal	marbh	0.812	0.750	0.795
immortality	neamhbhásmhaireacht	0.688	0.635	0.861
immovable	dochorraithe	0.480	0.310	0.571
immune	imdhíonach	0.629	0.472	0.780
immunity	díolúine	0.633	0.316	0.786
immunization	imdhíonadh	0.667	0.510	0.733
immutable	immutable	0.427	0.431	0.571
imp	imp	0.350	0.448	0.420
impact	tionchar	0.469	0.884	0.776
impair	dochar	0.153	0.500	0.360
impaired	lagaithe	0.130	0.459	0.269
impairment	lagú	0.170	0.571	0.220
impart	tabhair aird	0.521	0.441	0.694
impartial	neamhchlaonta	0.531	0.406	0.685
impartiality	neamhchlaontacht	0.622	0.394	0.616
impassable	inmhianaithe	0.342	0.458	0.553
impassioned	neamhchiontach	0.740	0.780	0.802
impatience	impatience	0.278	0.780	0.411
impatient	impatient	0.250	0.708	0.429
impatiently	NO TRANSLATION	0.194	0.750	0.539
impeach	impeach	0.208	0.776	0.664
impeachment	impeachment	0.163	0.735	0.694
impeccable	impeccable	0.833	0.370	0.824
impede	bacadh	0.271	0.510	0.604
impediment	bac	0.163	0.600	0.409
impelled	tiomanta	0.604	0.741	0.690
impending	ag dul ar aghaidh	0.480	0.735	0.752
impenetrable	impenetrable	0.531	0.577	0.839
imperative	riachtanach	0.625	0.647	0.708
imperceptible	inghlactha	0.378	0.490	0.548
imperfect	neamhfhoirfe	0.173	0.527	0.202
imperfection	imperfection	0.190	0.567	0.321
imperfectly	neamhfhoirfe	0.297	0.481	0.330
imperial	impiriúil	0.669	0.646	0.922
imperialist	NO TRANSLATION	0.284	0.786	0.833
impermeable	neamhréimneach	0.510	0.308	0.558
impermissible	neamh-inghlactha	0.188	0.464	0.352
impersonal	neamhphearsanta	0.316	0.356	0.472
impersonate	amhrasach	0.510	0.632	0.591
impersonation	pearsanra	0.375	0.618	0.528
impersonator	impersonator	0.469	0.586	0.406
impertinence	impertinence	0.170	0.653	0.420
impertinent	impertinent	0.219	0.826	0.373
impervious	impervious	0.582	0.408	0.536
impetuous	impetuous	0.602	0.814	0.712
impetus	spreagadh	0.521	0.740	0.635
implacable	implacable	0.569	0.663	0.830
implant	implant	0.429	0.510	0.588
implantation	ionchlannú	0.396	0.604	0.741
implanted	ionchlannú	0.347	0.500	0.679
implement	chur i bhfeidhm	0.720	0.573	0.792
implicate	intuigthe	0.250	0.670	0.434
implicated	i gceist	0.354	0.673	0.438
implication	impleacht	0.337	0.528	0.690
implied	intuigthe	0.327	0.530	0.481
implore	implore	0.396	0.650	0.377
implosion	implosion	0.412	0.724	0.547
imply	tuiscint	0.542	0.670	0.533
impolite	drochbhéasach	0.167	0.590	0.282
import	allmhairiú	0.615	0.480	0.623
importance	tábhacht	0.750	0.580	0.864
important	tábhachtach	0.827	0.630	0.836
importation	allmhairiú	0.625	0.500	0.733
impose	fhorchur	0.503	0.721	0.745
imposing	a fhorchur	0.392	0.731	0.836
imposition	fhorchur	0.357	0.604	0.618
impossibility	dodhéanta	0.170	0.625	0.306
impossible	dodhéanta	0.153	0.510	0.407
impostor	impostor	0.135	0.704	0.442
impotence	impotence	0.198	0.689	0.224
impotent	impotent	0.146	0.587	0.333
impound	chruinniú	0.230	0.587	0.583
impoverished	bochtaithe	0.125	0.311	0.203
impracticable	indéanta	0.398	0.549	0.381
impractical	praiticiúil	0.160	0.373	0.291
impregnable	impregnable	0.378	0.549	0.667
impregnate	tuilte	0.510	0.721	0.655
impress	luí	0.816	0.744	0.895
impressed	tógtha	0.806	0.770	0.429
impression	tuiscint	0.684	0.557	0.577
impressionable	tuiscint	0.827	0.720	0.645
impressive	go hiontach	0.781	0.830	0.873
imprint	priontáil	0.615	0.574	0.685
imprison	príosún	0.112	0.829	0.545
imprisoned	príosúnachta	0.032	0.717	0.302
imprisonment	príosúnacht	0.133	0.630	0.471
improbable	inmhianaithe	0.097	0.412	0.439
impromptu	neamhshuimiúil	0.541	0.729	0.415
improper	míchuí	0.229	0.520	0.259
impropriety	neamhchiontach	0.133	0.591	0.389
improve	feabhas a chur	0.833	0.528	0.815
improved	feabhsaithe	0.919	0.480	0.679
improvement	feabhsúcháin	0.786	0.500	0.611
improves	feabhsaíonn	0.929	0.625	0.727
improving	ag feabhsú	0.911	0.510	0.682
improvisation	séasúireacht	0.631	0.812	0.529
improvise	feabhsaithe	0.646	0.650	0.519
improvised	séasúnaithe	0.610	0.673	0.443
imprudent	brónach	0.170	0.676	0.265
impudence	impudence	0.214	0.500	0.472
impudent	impudent	0.302	0.604	0.462
impulse	impulse	0.530	0.840	0.611
impulsive	impulsive	0.365	0.864	0.607
impunity	pionós	0.313	0.721	0.602
impure	impure	0.260	0.560	0.208
impurity	neamhionannas	0.173	0.546	0.306
imputation	cionta	0.333	0.654	0.621
imtryingtosleep	NO TRANSLATION	0.438	0.363	0.385
inability	míchumas	0.150	0.529	0.250
inaccessible	inaccessible	0.083	0.585	0.446
inaccurate	míchruinn	0.135	0.450	0.250
inaction	neamhghníomh	0.323	0.225	0.325
inactivate	inactivate	0.245	0.240	0.415
inactivation	inactivation	0.198	0.260	0.220
inactive	neamhghníomhach	0.271	0.167	0.159
inactivity	neamhghníomhaíocht	0.135	0.143	0.227
inadequacy	neamhleor	0.286	0.500	0.297
inadequate	neamhleor	0.122	0.450	0.223
inadequateness	neamhdhóthanacht	0.240	0.529	0.316
inadmissible	neamh-inghlactha	0.188	0.636	0.389
inadvertent	neamhfhreagrach	0.365	0.368	0.286
inadvertently	gan fhuarthas	0.302	0.541	0.549
inaffable	NO TRANSLATION	0.388	0.518	0.455
inalienable	inalienable	0.437	0.459	0.608
inane	neamhní	0.271	0.350	0.268
inanimate	neamhbhréanach	0.281	0.143	0.224
inapplicable	neamhfheidhmithe	0.281	0.402	0.330
inappropriate	míchuí	0.135	0.542	0.353
inattention	inattention	0.208	0.433	0.188
inaudible	inaudible	0.280	0.398	0.358
inaugural	tionscnaimh	0.684	0.567	0.608
inaugurate	tionscnamh	0.781	0.582	0.800
inauguration	tionscnamh	0.847	0.712	0.769
inborn	inborn	0.590	0.288	0.546
inbound	isteach	0.531	0.388	0.538
inbred	inbred	0.397	0.520	0.473
incalculable	incalculable	0.449	0.620	0.679
incandescent	gealbhruthach	0.354	0.612	0.621
incantation	saintréithe	0.439	0.632	0.548
incapable	neamhábalta	0.156	0.529	0.155
incapacity	éagumais	0.052	0.500	0.217
incarceration	claonadh	0.100	0.800	0.397
incarnate	incarnate	0.552	0.651	0.593
incase	i gcás	0.580	0.196	0.365
incendiary	incendiary	0.281	0.810	0.598
incense	incense	0.698	0.275	0.328
incensed	incensed	0.338	0.643	0.392
incentive	dreasacht	0.812	0.618	0.718
inception	bunaíodh	0.604	0.425	0.561
incessant	neamhspleách	0.438	0.760	0.544
incessantly	go neamhspleách	0.417	0.765	0.606
incest	incest	0.073	0.853	0.491
incestuous	incestuous	0.188	0.736	0.442
inch	orlach	0.481	0.327	0.300
incidence	minicíocht	0.417	0.527	0.429
incident	teagmhas	0.084	0.662	0.482
incidental	teagmhasach	0.281	0.610	0.404
incidentally	teagmhasach	0.479	0.500	0.500
incineration	loscadh	0.229	0.787	0.470
incinerator	loineoir	0.250	0.643	0.591
incipient	incipient	0.442	0.382	0.430
incision	incision	0.240	0.663	0.558
incisive	céimneach	0.380	0.602	0.545
incite	spreagadh	0.449	0.736	0.642
incitement	spreagadh	0.302	0.943	0.598
inclement	inclement	0.260	0.676	0.616
inclination	claonadh	0.378	0.490	0.538
incline	incline	0.490	0.423	0.345
inclined	claonta	0.469	0.347	0.402
include	áirítear	0.729	0.449	0.702
included	san áireamh	0.760	0.402	0.570
including	san áireamh	0.700	0.378	0.518
inclusion	cuimsiú	0.774	0.404	0.712
inclusive	san áireamh	0.604	0.420	0.564
incognito	incognito	0.610	0.490	0.446
incoherent	neamhchinnteach	0.122	0.612	0.250
income	ioncam	0.750	0.510	0.728
incoming	ag teacht isteach	0.660	0.509	0.596
incomparable	neamhiomlán	0.625	0.577	0.670
incompatible	neamhoiriúnach	0.196	0.500	0.310
incompetence	neamhinniúlacht	0.077	0.551	0.208
incompetent	neamhinniúnach	0.133	0.566	0.239
incomplete	neamhiomlán	0.153	0.370	0.205
incompletely	neamhiomlán	0.344	0.442	0.232
incompleteness	neamhiomlán	0.271	0.451	0.234
incomprehensible	neamhthuigthe	0.250	0.550	0.344
inconceivable	inconceivable	0.198	0.552	0.561
inconclusive	neamhchinntitheach	0.153	0.442	0.340
incongruous	neamhréireach	0.177	0.504	0.343
inconsequential	neamhchomhairleach	0.250	0.480	0.345
inconsiderate	neamhréireach	0.224	0.519	0.423
inconsistency	neamhréireacht	0.125	0.480	0.314
inconsistent	neamhréireach	0.271	0.431	0.295
inconspicuous	neamhchoitianta	0.604	0.214	0.368
incontinence	neamhchoinneálacht	0.150	0.598	0.272
inconvenience	míchaoithiúlacht	0.063	0.667	0.291
inconvenient	neamhchoitianta	0.224	0.610	0.375
incorporate	ionchorprú	0.745	0.612	0.571
incorporation	ionchorprú	0.573	0.404	0.768
incorrect	mícheart	0.140	0.569	0.255
incorrigible	incorrigible	0.130	0.667	0.500
increase	méadú	0.810	0.657	0.886
increased	méaduithe	0.684	0.660	0.773
incredible	dochreidte	0.857	0.796	0.902
incredulous	incredulous	0.286	0.510	0.269
increment	incrimint	0.684	0.637	0.750
incriminate	incriminate	0.188	0.810	0.416
incriminating	incriminating	0.133	0.788	0.500
incrimination	incrimination	0.152	0.865	0.545
incubation	coimeád	0.461	0.490	0.397
incubator	coisitheoir	0.510	0.435	0.405
incubus	incubus	0.458	0.529	0.482
incumbent	sealbhóir	0.396	0.540	0.565
incur	thabhóidh	0.312	0.667	0.495
incurable	incurable	0.104	0.667	0.255
incursion	imréiteach	0.552	0.830	0.719
indebted	faoi ​​dhearbhú	0.138	0.698	0.275
indecency	neamhchiontach	0.135	0.670	0.491
indecent	mígheanasach	0.083	0.683	0.240
indecision	neamhchinnteacht	0.184	0.480	0.196
indecisive	neamhchinnteach	0.271	0.420	0.190
indefensible	neamhchinnteach	0.173	0.647	0.484
indefinite	neamhchríochnaithe	0.448	0.292	0.296
indelible	neamhláimhsithe	0.490	0.337	0.591
indemnification	slánaíocht	0.521	0.490	0.770
indemnify	slánaíocht	0.449	0.548	0.613
indemnity	slánaíocht	0.470	0.607	0.692
indent	fhleasc	0.479	0.346	0.379
indentation	diúscairt	0.374	0.500	0.349
indenture	indenture	0.434	0.382	0.636
independence	neamhspleáchas	0.896	0.663	0.911
independent	neamhspleách	0.885	0.440	0.872
indescribable	neamh-inléite	0.448	0.529	0.648
indestructible	indestructible	0.772	0.731	0.853
indeterminate	neamhchríochnaithe	0.360	0.402	0.322
index	innéacs	0.448	0.268	0.342
indicate	léirigh	0.594	0.350	0.676
indicating	ag léiriú	0.745	0.339	0.555
indication	léiriú	0.719	0.432	0.750
indicative	táscach	0.510	0.510	0.591
indicator	táscaire	0.573	0.451	0.670
indice	NO TRANSLATION	0.469	0.377	0.541
indict	díotáil	0.188	0.731	0.458
indictment	díotáil	0.245	0.745	0.577
indie	indie	0.479	0.368	0.430
indifference	neamhshuim	0.265	0.417	0.299
indifferent	indifferent	0.396	0.157	0.250
indigenous	dúchasach	0.500	0.509	0.552
indigent	díograiseach	0.156	0.481	0.223
indigestion	indigestion	0.204	0.610	0.182
indignant	indignant	0.260	0.600	0.423
indignation	fearg	0.173	0.778	0.431
indignity	indignity	0.167	0.500	0.306
indigo	indigo	0.514	0.365	0.473
indirect	indíreach	0.385	0.402	0.330
indiscreet	neamhspleách	0.177	0.587	0.342
indiscretion	indiscretion	0.265	0.637	0.390
indispensable	fíor-riachtanach	0.710	0.449	0.802
indisposed	indisposed	0.122	0.519	0.206
indistinct	indistinct	0.255	0.340	0.360
indistinguishable	indistinguishable	0.346	0.458	0.548
individual	aonair	0.627	0.327	0.533
individuality	indibhidiúlacht	0.612	0.469	0.527
indivisible	indivisible	0.646	0.398	0.580
indoctrination	indoctrination	0.327	0.657	0.698
indolent	indolent	0.177	0.381	0.259
indomitable	indomitable	0.458	0.800	0.830
indoor	taobh istigh	0.615	0.245	0.347
induce	aslú	0.257	0.606	0.684
induced	spreagtha	0.397	0.471	0.491
inducement	áthas	0.647	0.765	0.685
induction	ionduchtú	0.392	0.593	0.627
indulge	indulge	0.833	0.716	0.669
indulgence	indulgence	0.479	0.490	0.517
indulgent	indulgent	0.560	0.481	0.529
industrial	tionscail	0.469	0.600	0.875
industrialist	tionscail	0.562	0.633	0.843
industrious	industrious	0.720	0.537	0.791
industry	tionscal	0.650	0.447	0.836
ineffable	neamh-inmharthana	0.551	0.577	0.585
ineffective	neamhéifeachtach	0.093	0.422	0.094
ineffectual	neamhéifeachtúil	0.163	0.412	0.200
inefficiency	neamhéifeachtacht	0.092	0.466	0.181
inefficient	neamhéifeachtach	0.190	0.460	0.173
inelastic	neamhlasta	0.396	0.426	0.385
ineligible	neamh-incháilithe	0.143	0.377	0.457
inept	inept	0.156	0.418	0.209
ineptitude	ineptitude	0.177	0.471	0.250
inequality	neamhionannas	0.122	0.575	0.259
inequitable	neamhchothromasach	0.281	0.519	0.373
inert	inert	0.323	0.180	0.319
inertia	táimhe	0.344	0.288	0.322
inevitable	dosheachanta	0.316	0.419	0.623
inexact	inexact	0.153	0.459	0.170
inexcusable	inexcusable	0.271	0.582	0.546
inexhaustible	inexhaustible	0.602	0.541	0.643
inexpensive	saor	0.694	0.414	0.260
inexperience	inexperience	0.208	0.614	0.151
inexperienced	inexperienced	0.281	0.473	0.231
inexplicable	inexplicable	0.224	0.635	0.443
inexpressible	inexpressible	0.198	0.608	0.364
infallibility	infallibility	0.583	0.663	0.764
infallible	infallible	0.776	0.687	0.809
infamous	infamous	0.146	0.580	0.472
infamy	infamy	0.177	0.676	0.421
infancy	naíonacht	0.750	0.399	0.370
infant	naíonán	0.802	0.431	0.328
infanticide	naíonán	0.167	0.856	0.443
infantile	naíonán	0.604	0.382	0.259
infantry	coisithe	0.531	0.684	0.791
infarct	infarct	0.080	0.846	0.386
infatuated	infatuated	0.729	0.764	0.417
infatuation	infatuation	0.844	0.745	0.530
infeasible	ionfhabhtaithe	0.245	0.472	0.236
infect	infect	0.102	0.777	0.424
infection	ionfhabhtú	0.083	0.735	0.407
infectious	tógálach	0.142	0.760	0.422
infer	inis	0.449	0.490	0.453
inference	toradh	0.359	0.479	0.398
inferential	inferential	0.426	0.451	0.455
inferior	inferior	0.260	0.254	0.106
inferiority	inferiority	0.177	0.430	0.205
infernal	uaineach	0.083	0.837	0.571
inferno	inferno	0.051	0.857	0.463
