Word	Yoruba-yo	Valence	Arousal	Dominance
martyr	apaniyan	0.281	0.708	0.509
martyrdom	ijakadi	0.323	0.745	0.442
marvel	Oniyalenu	0.961	0.755	0.866
marvellous	iyanu	0.878	0.809	0.849
marvelous	iyanu	0.948	0.637	0.778
marvelously	iyanu	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	mascara	0.575	0.450	0.269
mascot	mascot	0.750	0.337	0.337
masculine	Ọkọ	0.653	0.540	0.773
masculinity	masculinity	0.583	0.670	0.851
mash	mash	0.440	0.363	0.283
mashed	mashed	0.531	0.337	0.194
mask	iboju	0.510	0.490	0.537
masked	masked	0.375	0.549	0.518
masks	iparada	0.510	0.472	0.241
masochism	masochism	0.194	0.845	0.483
masochist	masochist	0.164	0.784	0.353
mason	Mason	0.541	0.442	0.580
masquerade	ijabọ	0.431	0.633	0.446
mass	ibi-ibi	0.458	0.245	0.277
massacre	ipakupa	0.031	0.887	0.640
massage	ifọwọra	0.708	0.356	0.413
masses	ọpọ eniyan	0.552	0.453	0.473
masseur	masseur	0.622	0.265	0.463
masseuse	masseuse	0.594	0.373	0.391
massive	lagbara	0.569	0.660	0.750
mast	mast	0.542	0.390	0.580
master	oluwa	0.694	0.490	0.849
masterful	oluwa	0.854	0.510	0.960
mastermind	mastermind	0.792	0.625	0.918
masterpiece	aṣetanṣe	0.926	0.623	0.847
mastery	iṣakoso	0.755	0.648	0.873
masturbate	masturbate	0.552	0.926	0.500
masturbation	ifowo baraenisere	0.542	0.961	0.509
mat	Mat	0.459	0.221	0.304
matador	matador	0.224	0.880	0.667
match	baramu	0.599	0.573	0.500
matchbook	iwe-akọọkọ	0.562	0.391	0.412
matching	tuntun tó	0.719	0.735	0.418
matchmaker	ẹlẹgbẹ	0.615	0.509	0.519
mate	mate	0.847	0.417	0.669
material	awọn ohun elo	0.521	0.363	0.439
materialism	ohun elo	0.220	0.390	0.556
materialist	materialist	0.255	0.491	0.504
materialistic	materialistic	0.420	0.506	0.589
materiality	ohun-elo	0.417	0.450	0.636
materialize	ohun elo	0.688	0.596	0.728
materially	ohun elo	0.490	0.451	0.670
materials	awọn ohun elo	0.633	0.361	0.473
materiel	ohun elo	0.531	0.294	0.417
maternal	iya	0.847	0.417	0.634
maternity	aibirin	0.865	0.480	0.622
math	isiro	0.417	0.375	0.600
mathematical	mathematiki	0.620	0.500	0.548
mathematician	mathematician	0.541	0.418	0.773
mathematics	mathematiki	0.438	0.435	0.664
matinee	matinee	0.694	0.578	0.447
mating	ibarasun	0.755	0.840	0.759
matriculation	ifọwọkan	0.622	0.490	0.675
matrimony	matrimony	0.850	0.637	0.843
matrix	iwe-iwe-iwe	0.551	0.378	0.673
matron	matron	0.520	0.519	0.555
matted	matted	0.281	0.519	0.393
matter	ọrọ	0.487	0.353	0.562
matting	matting	0.479	0.405	0.423
mattress	ibusun	0.612	0.255	0.397
maturation	maturation	0.612	0.439	0.698
mature	ogbo	0.625	0.347	0.600
maturity	idagbasoke	0.827	0.400	0.806
maudlin	maudlin	0.337	0.417	0.368
mausoleum	mausoleum	0.344	0.281	0.594
mauve	tutu	0.533	0.330	0.314
maverick	maverick	0.354	0.676	0.409
maxim	ipari	0.875	0.562	0.887
maximize	mu iwọn pọ	0.823	0.765	0.792
maximum	o pọju	0.724	0.724	0.852
may	le	0.704	0.273	0.245
mayday	Egba wa o ani iyonu	0.344	0.643	0.423
mayflower	mayflower	0.690	0.463	0.429
mayhem	mayhem	0.188	0.870	0.364
mayonnaise	mayonnaise	0.510	0.320	0.222
mayor	Mayor	0.469	0.481	0.818
maze	iruniloju	0.438	0.608	0.444
mead	Mead	0.667	0.337	0.441
meadow	Meadow	0.622	0.130	0.382
meager	ounjẹ	0.144	0.389	0.281
meal	onje	0.833	0.461	0.473
mean	tumọ si	0.440	0.467	0.620
meander	meander	0.480	0.443	0.454
meandering	meandering	0.427	0.644	0.539
meanie	meanie	0.388	0.420	0.404
meaning	itumo	0.663	0.395	0.625
meaningful	ti o ni itumọ	0.770	0.500	0.802
meaningless	asan	0.156	0.314	0.143
meanness	meanness	0.102	0.694	0.368
means	tumo si	0.615	0.373	0.460
meantime	akoko akoko	0.432	0.222	0.300
measles	ailera	0.092	0.635	0.422
measurable	measurable	0.604	0.410	0.602
measure	iwọn	0.510	0.375	0.365
measured	tiwọn	0.542	0.265	0.578
measurement	wiwọn	0.622	0.418	0.491
measuring	idiwon	0.448	0.337	0.529
measuring cup	dida ago	0.557	0.343	0.377
measuring tape	iwọn teepu	0.337	0.280	0.327
meat	Eran	0.612	0.421	0.413
meatball	meatball	0.612	0.279	0.343
meathead	meathead	0.306	0.534	0.490
meatloaf	meatloaf	0.625	0.389	0.375
mechanic	mekaniki	0.571	0.433	0.566
mechanical	Ilana	0.479	0.569	0.564
mechanics	isiseero	0.542	0.500	0.761
mechanism	siseto	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	agbalagba	0.854	0.555	0.746
medallion	medallion	0.750	0.510	0.710
medallist	medalist	0.796	0.821	0.897
meddle	dojukọ	0.302	0.770	0.526
meddling	iṣowo	0.245	0.600	0.461
media	media	0.500	0.330	0.464
medial	agbedemeji	0.458	0.340	0.429
median	agbedemeji	0.459	0.216	0.375
mediate	mediate	0.635	0.308	0.654
mediation	mediation	0.661	0.350	0.657
mediator	mediator	0.592	0.438	0.580
medic	oogun	0.500	0.472	0.585
medical	egbogi	0.583	0.373	0.616
medicate	ọgbẹ	0.417	0.375	0.546
medication	oogun	0.615	0.439	0.500
medicinal	oogun	0.667	0.417	0.614
medicine	ogun	0.708	0.318	0.679
medieval	igba atijọ	0.560	0.408	0.455
mediocre	mediocre	0.188	0.481	0.149
mediocrity	iṣowo	0.073	0.398	0.225
meditate	ṣe àṣàrò	0.812	0.146	0.564
meditating	iṣaro	0.718	0.185	0.399
meditation	iṣaro	0.786	0.120	0.478
meditative	meditative	0.614	0.120	0.454
mediterranean	agbedemeji	0.663	0.454	0.545
medium	alabọde	0.559	0.356	0.358
medley	medley	0.487	0.352	0.400
meek	tutu	0.531	0.150	0.198
meet	pade	0.760	0.510	0.580
meeting	ipade	0.750	0.569	0.613
mega	Mega	0.724	0.538	0.723
meh	Meh	0.380	0.286	0.365
melancholic	melancholic	0.181	0.306	0.277
melancholy	melancholy	0.188	0.260	0.237
melee	melee	0.541	0.704	0.611
mellow	mellow	0.633	0.069	0.265
melodious	alarinrin	0.932	0.530	0.587
melodrama	alakikanju	0.378	0.830	0.446
melodramatic	melodramatic	0.235	0.692	0.368
melody	orin aladun	0.847	0.434	0.405
melon	Melon	0.461	0.231	0.271
melt	yo	0.448	0.615	0.312
meltdown	meltdown	0.629	0.657	0.602
melting	yo	0.592	0.470	0.538
member	egbe	0.698	0.333	0.555
membership	ẹgbẹ	0.698	0.411	0.778
membrane	membrane	0.406	0.430	0.418
memento	memento	0.708	0.360	0.536
memo	akọsilẹ	0.625	0.235	0.407
memoir	Akọsilẹ	0.750	0.242	0.553
memorabilia	Akọsilẹ	0.780	0.412	0.491
memorable	to ṣe iranti	0.939	0.510	0.769
memorandum	akọsilẹ	0.600	0.500	0.639
memorial	iranti iranti	0.602	0.304	0.600
memorials	iranti iranti	0.771	0.333	0.679
memories	awọn iranti	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	mimoriwe	0.520	0.451	0.716
memory	iranti	0.792	0.378	0.573
menace	ewu	0.125	0.894	0.759
menacing	menacing	0.042	0.880	0.643
menagerie	ibanuje	0.573	0.480	0.538
mend	mend	0.542	0.436	0.602
mending	mending	0.500	0.633	0.657
menial	ibanujẹ	0.490	0.420	0.352
meningitis	meningitis	0.104	0.612	0.407
meniscus	meniscus	0.323	0.330	0.453
menopause	menopause	0.204	0.460	0.306
menses	awọn eniyan	0.163	0.686	0.331
menstrual	isọtẹlẹ	0.408	0.519	0.435
mental	opolo	0.490	0.490	0.585
mentalhealth	NO TRANSLATION	0.562	0.541	0.670
mentality	lakaye	0.711	0.415	0.726
menthol	menthol	0.490	0.292	0.433
mention	darukọ	0.562	0.365	0.562
mentor	alakoso	0.719	0.455	0.777
menu	akojọ aṣayan	0.633	0.333	0.385
meow	meow	0.510	0.510	0.412
mercantile	mercantile	0.480	0.490	0.713
mercenary	ọpẹ	0.245	0.837	0.673
merchandise	ọjà	0.594	0.460	0.621
merchant	oniṣòwo	0.675	0.500	0.620
merciful	alaafia	0.854	0.346	0.500
merciless	laanu	0.062	0.880	0.634
mercurial	iṣowo	0.490	0.546	0.518
mercury	Makiuri	0.337	0.312	0.475
mercy	aanu	0.719	0.229	0.500
mere	bẹ	0.396	0.221	0.176
merengue	merengue	0.688	0.519	0.442
merge	dapọ	0.760	0.480	0.733
merger	àkópọ	0.592	0.490	0.642
meridian	meridian	0.510	0.324	0.558
meridional	meridional	0.365	0.290	0.600
meringue	meringue	0.625	0.580	0.411
merit	anfani	0.854	0.500	0.722
meritorious	ti o dara	0.781	0.618	0.855
mermaid	Ijaja	0.765	0.623	0.452
merriment	ibanuje	0.948	0.721	0.632
merry	ariya	0.979	0.731	0.764
merrychristmas	NO TRANSLATION	0.888	0.510	0.536
mesa	mesa	0.604	0.191	0.319
mescaline	mescaline	0.490	0.580	0.415
mesh	apapo	0.429	0.235	0.371
meshes	ọwọn	0.440	0.363	0.362
mesmerized	mesmerized	0.520	0.552	0.421
mess	idotin	0.143	0.843	0.273
message	ifiranṣẹ	0.650	0.391	0.415
messedup	NO TRANSLATION	0.333	0.615	0.358
messenger	ojiṣẹ	0.694	0.434	0.500
messiah	Messiah	0.781	0.634	0.800
messy	aṣoju	0.260	0.635	0.140
metabolic	ti ase ijẹ-ara	0.408	0.531	0.559
metabolism	iṣelọpọ agbara	0.698	0.509	0.555
metal	irin	0.551	0.429	0.547
metallic	ti fadaka	0.615	0.330	0.607
metallurgy	metallurgy	0.396	0.509	0.587
metamorphosis	metamorphosis	0.541	0.571	0.613
metaphor	afiwe	0.562	0.280	0.470
metaphorical	apẹẹrẹ	0.500	0.412	0.480
metaphysical	atọwọdọwọ	0.630	0.573	0.686
metaphysics	awọn iṣesi	0.561	0.396	0.588
metastasis	iṣiro	0.177	0.646	0.452
meteor	meteor	0.398	0.714	0.737
meteoric	meteoric	0.590	0.802	0.684
meteorite	meteorite	0.385	0.794	0.750
meteorological	meteorological	0.635	0.557	0.556
meteorology	meteorology	0.630	0.418	0.689
meter	mita	0.438	0.300	0.463
meth	meth	0.354	0.564	0.340
methadone	methadone	0.240	0.540	0.453
methane	methane	0.290	0.460	0.569
methanol	methanol	0.292	0.500	0.570
method	ọna kan	0.640	0.275	0.698
methodical	ọna ọna	0.663	0.360	0.745
methodology	ogbon	0.664	0.327	0.745
meticulous	lalaiye	0.555	0.480	0.555
metime	akoko akoko	0.531	0.398	0.417
metric	metric	0.519	0.248	0.573
metrical	metrical	0.521	0.375	0.482
metrology	metrology	0.531	0.432	0.439
metropolis	metropolis	0.656	0.625	0.779
metropolitan	Aarin	0.387	0.408	0.723
mettle	mettle	0.667	0.529	0.750
mew	mew	0.418	0.481	0.380
mezzanine	mezzanine	0.479	0.427	0.404
mica	mica	0.531	0.250	0.314
mick	mick	0.449	0.451	0.382
micro	bulọọgi	0.500	0.270	0.250
microbe	microbe	0.255	0.450	0.340
microbiology	Microbiology	0.571	0.378	0.560
microchip	microchip	0.551	0.358	0.432
microcosm	microcosm	0.500	0.500	0.520
microfilm	microfilm	0.469	0.352	0.412
microgram	microgram	0.448	0.286	0.355
micrometer	micrometer	0.573	0.358	0.394
micron	micron	0.375	0.291	0.315
microphone	gbohungbohun	0.551	0.431	0.462
microscope	microscope	0.531	0.330	0.464
microscopic	microscopic	0.360	0.327	0.433
microscopically	microscopically	0.623	0.370	0.412
microscopy	microscopy	0.500	0.339	0.455
microwave	makirowefu	0.542	0.497	0.443
mid	aarin	0.500	0.315	0.356
midair	midair	0.633	0.413	0.455
midday	ọjọ aṣalẹ	0.658	0.250	0.403
middle	arin	0.458	0.157	0.300
middleman	middleman	0.500	0.404	0.452
middleweight	middleweight	0.510	0.302	0.428
midget	midget	0.396	0.295	0.254
midland	Midland	0.521	0.402	0.456
midlife	midlife	0.594	0.244	0.473
midline	midline	0.332	0.224	0.330
midnight	Midnight	0.562	0.470	0.545
midshipman	midshipman	0.469	0.615	0.785
midst	lãrin	0.324	0.275	0.296
midsummer	midsummer	0.781	0.480	0.492
midterm	midterm	0.427	0.337	0.425
midtown	midtown	0.479	0.442	0.538
midway	midway	0.459	0.316	0.304
midwife	agbẹbi	0.531	0.570	0.453
midwifery	agbẹbi	0.510	0.570	0.459
mien	NO TRANSLATION	0.500	0.352	0.447
miffed	miffed	0.204	0.726	0.429
mighty	alagbara	0.855	0.837	0.936
mignon	mignon	0.551	0.440	0.423
migraine	migraine	0.135	0.783	0.318
migrate	jade kuro	0.415	0.580	0.454
migration	Iṣilọ	0.492	0.731	0.566
migratory	migratory	0.448	0.521	0.491
mike	mike	0.542	0.365	0.423
mil	NO TRANSLATION	0.534	0.388	0.347
mild	ìwọnba	0.635	0.198	0.216
mildew	imuwodu	0.344	0.250	0.241
mildness	ailera	0.827	0.226	0.311
mile	mile	0.521	0.417	0.456
mileage	iwe-ẹri	0.510	0.458	0.562
milestone	ibi-ašayan	0.719	0.373	0.558
militant	alagbata	0.418	0.667	0.750
militants	militants	0.260	0.673	0.652
military	ologun	0.396	0.710	0.875
militia	militia	0.396	0.729	0.769
milk	wara	0.817	0.270	0.327
milkman	milkman	0.750	0.380	0.304
milkshake	ohun mimu ti o jẹ ti wara-kasi	0.796	0.521	0.330
milky	milky	0.517	0.283	0.311
mill	ọlọ	0.531	0.382	0.347
millennium	ọdunrun ọdun	0.573	0.398	0.760
milligram	milligram	0.429	0.217	0.302
millimeter	millimeter	0.427	0.177	0.360
million	milionu	0.776	0.647	0.812
millionaire	millionaire	0.917	0.755	0.850
millionth	milionu	0.635	0.528	0.611
millstone	ọlọ nla	0.510	0.433	0.492
mime	mime	0.455	0.235	0.302
mimic	mimic	0.557	0.587	0.391
mimicking	mimicking	0.316	0.433	0.364
mimicry	mimicry	0.420	0.337	0.472
mince	mince	0.417	0.529	0.378
mincemeat	mincemeat	0.396	0.435	0.358
mind	okan	0.650	0.388	0.627
minded	oninu	0.656	0.394	0.627
mindful	nṣe iranti	0.765	0.450	0.725
mindfulness	mindfulness	0.729	0.635	0.745
mindless	alaini	0.184	0.333	0.153
mine	mi	0.688	0.418	0.578
minefield	minefield	0.188	0.839	0.684
miner	miner	0.408	0.594	0.644
mineral	ohun alumọni	0.519	0.287	0.605
mineralogy	Imoramu	0.551	0.408	0.545
mingle	papọ	0.561	0.480	0.434
mingled	papọ	0.521	0.392	0.357
mini	mini	0.421	0.324	0.221
miniature	kekere	0.429	0.292	0.204
minibus	minibus	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	iwonba	0.448	0.147	0.206
minimize	gbe silẹ	0.360	0.236	0.311
minimized	o ti gbe sėgbė	0.458	0.137	0.208
minimum	kere	0.380	0.198	0.194
mining	iwakusa	0.633	0.598	0.554
minion	minion	0.490	0.430	0.167
minister	minisita	0.547	0.441	0.892
ministerial	iṣẹ-iranṣẹ	0.571	0.519	0.660
ministry	Ihinrere	0.510	0.346	0.717
minivan	minivan	0.592	0.356	0.452
mink	mink	0.560	0.515	0.430
minnow	minnow	0.541	0.367	0.364
minor	kekere	0.250	0.235	0.175
minority	Opo	0.310	0.332	0.211
minstrel	minstrel	0.458	0.541	0.397
mint	Mint	0.688	0.221	0.345
minty	minty	0.635	0.292	0.361
minuscule	kekere	0.396	0.286	0.214
minute	iṣẹju	0.582	0.279	0.356
minutiae	minutiae	0.323	0.257	0.316
minx	minx	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	iyanu	0.917	0.607	0.806
miracles	iyanu	0.922	0.735	0.692
miraculous	iyanu	0.875	0.706	0.812
mirage	mirage	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	iwoyi	0.677	0.310	0.438
mirth	didùn	0.888	0.640	0.608
misappropriation	misappropriation	0.097	0.831	0.500
misbehave	misbehave	0.020	0.847	0.304
misbehavior	iwa aṣiṣe	0.031	0.704	0.269
miscalculation	miscalculation	0.177	0.490	0.353
miscarriage	aiṣedede	0.042	0.781	0.312
miscellaneous	orisirisi	0.531	0.321	0.196
miscellany	miscellany	0.500	0.412	0.384
mischief	ibi	0.385	0.834	0.292
mischievous	aṣiṣe	0.439	0.804	0.472
misconception	aṣiṣe rara	0.210	0.557	0.291
misconduct	ti ko tọ	0.061	0.667	0.304
misdemeanor	misdemeanor	0.210	0.640	0.364
misdirection	misdirection	0.131	0.710	0.281
miser	aṣiṣe	0.208	0.633	0.311
miserable	ibanujẹ	0.062	0.461	0.188
miserably	daradara	0.280	0.545	0.150
misery	ibanujẹ	0.146	0.378	0.158
misfire	misfire	0.153	0.453	0.200
misfit	aiṣe	0.173	0.500	0.393
misfortune	ipalara	0.094	0.780	0.311
misguided	NO TRANSLATION	0.280	0.531	0.259
mishap	mishap	0.071	0.654	0.227
misinformed	misinformed	0.156	0.567	0.250
misinterpretation	idasile	0.112	0.556	0.360
mislead	ṣiṣọna	0.167	0.765	0.412
misleading	ṣiwọn	0.070	0.660	0.272
misled	ti tina	0.177	0.606	0.353
mismanagement	mismanagement	0.094	0.520	0.295
mismatch	iṣiro	0.250	0.459	0.282
mismatched	ti ṣe iyatọ	0.250	0.557	0.302
misnomer	misnomer	0.296	0.528	0.284
misplace	misplace	0.229	0.461	0.191
misplaced	ti ko tọ	0.247	0.450	0.324
misread	misread	0.115	0.558	0.315
misrepresent	misrepresent	0.198	0.542	0.418
misrepresentation	aṣiṣe-aṣiṣe	0.323	0.618	0.518
misrepresented	misrepresented	0.042	0.519	0.466
miss	padanu	0.573	0.490	0.408
missile	misaili	0.240	0.830	0.764
missiles	awọn iṣiro	0.070	0.922	0.830
missing	nsọnu	0.306	0.418	0.222
missingyou	NO TRANSLATION	0.260	0.471	0.377
mission	iṣẹ	0.765	0.633	0.870
missionary	ihinrere	0.729	0.404	0.596
misspell	misspell	0.292	0.423	0.281
misstatement	aṣiwère	0.302	0.547	0.221
missy	padanu	0.521	0.480	0.333
mist	aṣiwere	0.375	0.194	0.221
mistake	asise	0.208	0.585	0.102
mistaken	aṣiṣe	0.131	0.630	0.212
mister	mister	0.604	0.406	0.663
mistletoe	mistletoe	0.542	0.470	0.324
mistreated	ipalara	0.010	0.792	0.200
mistress	oluwa	0.630	0.796	0.694
mistrial	aṣoju	0.427	0.539	0.536
mistrust	aifokita	0.135	0.657	0.231
misty	aṣiṣe	0.427	0.451	0.278
misunderstand	aiṣedeede	0.177	0.548	0.382
misunderstanding	ede-aiyede	0.112	0.618	0.284
misunderstood	ko gbọye	0.177	0.625	0.309
misuse	ilokulo	0.083	0.560	0.196
mite	mite	0.290	0.584	0.271
miter	miter	0.458	0.500	0.414
mitigate	ṣe idaduro	0.506	0.427	0.456
mitigating	mitigating	0.551	0.520	0.600
mitigation	iyọọda	0.448	0.527	0.423
mitt	mitt	0.406	0.183	0.264
mitten	NO TRANSLATION	0.531	0.330	0.408
mitzvah	mitzvah	0.422	0.610	0.409
mix	illa	0.542	0.490	0.472
mixed	adalu	0.510	0.346	0.444
mixedemotions	awọn alapọpọ	0.440	0.673	0.430
mixer	aladapọ	0.562	0.500	0.556
mixture	adalu	0.546	0.360	0.481
mnemonic	mnemonic	0.531	0.480	0.452
moan	Moan	0.357	0.735	0.352
moat	Ọgbẹrin	0.398	0.380	0.314
mob	agbajo eniyan	0.296	0.788	0.567
mobile	alagbeka	0.615	0.569	0.481
mobility	iṣẹ-ṣiṣe	0.700	0.596	0.654
mobilization	koriya	0.688	0.720	0.787
mobilize	koriya	0.604	0.684	0.727
mobster	agbajo eniyan	0.188	0.870	0.638
mocha	Mocha	0.500	0.396	0.311
mock	ẹsin	0.360	0.606	0.618
mocked	ṣe yẹyẹ	0.225	0.746	0.204
mockery	ẹgan	0.094	0.806	0.181
mocking	rẹrin	0.082	0.755	0.394
mockingbird	mockingbird	0.513	0.337	0.423
mod	Mod	0.458	0.367	0.384
modal	modal	0.592	0.264	0.461
modality	amuṣiṣẹ	0.633	0.404	0.527
mode	ipo	0.531	0.185	0.367
model	awoṣe	0.607	0.388	0.723
modeler	olutọtọ	0.500	0.510	0.730
modeling	atunṣe awoṣe	0.684	0.404	0.490
modem	modẹmu	0.573	0.355	0.500
moderate	dede	0.582	0.190	0.453
moderate anticipation	iṣojusọna ilọsiwaju	0.667	0.451	0.574
moderate disgust	ipalara ti o dara julọ	0.229	0.558	0.381
moderate negative	ipo ti ko dara	0.177	0.500	0.306
moderate positive	rere rere	0.896	0.453	0.753
moderate surprise	ibanujẹ dede	0.776	0.663	0.637
moderate trust	igbẹkẹle adede	0.677	0.350	0.773
moderately	niwọntunwọnsi	0.604	0.264	0.500
moderating	aṣatunṣe	0.667	0.402	0.783
moderation	ilọkuro	0.531	0.240	0.453
moderator	alakoso	0.519	0.354	0.802
modern	igbalode	0.855	0.423	0.691
modernism	modernism	0.760	0.553	0.703
modest	iwonba	0.760	0.130	0.412
modesty	ọlọgbọn	0.778	0.240	0.500
modicum	modicum	0.234	0.417	0.327
modifiable	iyipada	0.541	0.422	0.373
modification	iyipada	0.480	0.520	0.625
modified	títúnṣe	0.561	0.458	0.693
modify	yipada	0.458	0.584	0.625
modulate	Modulate	0.673	0.343	0.555
modulation	imuduro	0.458	0.365	0.565
module	module	0.582	0.388	0.571
modulus	modulus	0.622	0.304	0.481
mogul	ohun elo	0.510	0.652	0.865
moiety	ipaya	0.378	0.343	0.454
moist	tutu	0.470	0.316	0.386
moisture	ọrinrin	0.406	0.398	0.327
moisturizer	moisturizer	0.750	0.280	0.386
molar	Mola	0.544	0.426	0.350
molasses	awọn iṣan	0.490	0.269	0.286
mold	m	0.330	0.274	0.402
molded	mọ	0.667	0.361	0.373
molding	dida	0.552	0.308	0.546
moldy	moldy	0.235	0.387	0.250
mole	moolu	0.436	0.377	0.352
molecular	molikula	0.495	0.440	0.536
molecule	molikule	0.531	0.259	0.375
molest	Molest	0.133	0.816	0.319
molestation	ipalara	0.102	0.808	0.407
molester	apẹrẹ	0.143	0.811	0.478
molten	molten	0.417	0.490	0.339
mom	Mama	0.927	0.336	0.639
moment	akoko	0.604	0.435	0.509
momentary	ni asiko	0.562	0.271	0.330
momentous	pataki	0.792	0.587	0.760
momentum	ipa	0.663	0.750	0.688
momma	momma	0.833	0.412	0.527
mommy	mommy	0.854	0.353	0.422
monad	monad	0.510	0.482	0.451
monarch	ọba	0.583	0.559	0.870
monarchy	ijọba ọba	0.450	0.557	0.870
monastery	monastery	0.694	0.183	0.726
monastic	monastic	0.438	0.314	0.676
monetary	ti owo	0.583	0.494	0.716
money	owo	0.844	0.608	0.827
mongoloid	mongoloid	0.177	0.364	0.317
mongoose	mongoose	0.327	0.380	0.546
mongrel	mongrel	0.425	0.438	0.395
monitor	atẹle	0.490	0.298	0.538
monk	Monk	0.472	0.208	0.439
monkey	ọbọ	0.548	0.449	0.283
mono	NO TRANSLATION	0.500	0.390	0.273
monochrome	monochrome	0.312	0.292	0.339
monogamous	monogamous	0.510	0.335	0.402
monogamy	ilobirin pupọ	0.542	0.380	0.455
monogram	monogram	0.480	0.210	0.425
monogrammed	monogrammed	0.503	0.270	0.402
monograph	monograph	0.500	0.242	0.481
monolayer	monolayer	0.427	0.294	0.433
monolith	monolith	0.429	0.327	0.500
monologue	monologue	0.500	0.284	0.534
monopolist	monopolist	0.330	0.590	0.725
monopoly	anikanjọpọn	0.449	0.509	0.640
monotonous	monotonous	0.354	0.221	0.400
monotony	monotony	0.398	0.135	0.353
monoxide	monoxide	0.433	0.430	0.490
monsieur	monsieur	0.552	0.340	0.623
monsoon	monsoon	0.358	0.600	0.481
monster	aderubaniyan	0.133	0.935	0.596
monstrosity	monstrosity	0.094	0.933	0.611
monstrous	monstrous	0.094	0.942	0.649
montage	montage	0.438	0.520	0.388
monte	monte	0.589	0.330	0.391
month	osù	0.688	0.255	0.411
monthly	oṣooṣu	0.622	0.314	0.364
monument	arabara	0.833	0.404	0.811
monumental	monumental	0.656	0.594	0.955
moo	Moo	0.438	0.355	0.300
mooch	Mooch	0.378	0.413	0.309
mood	iṣesi	0.720	0.500	0.500
moods	awọn iṣesi	0.578	0.633	0.491
moody	Irẹwẹsi	0.245	0.811	0.595
moon	oṣupa	0.673	0.233	0.547
moonbeam	moonbeam	0.700	0.290	0.491
moonlight	moonlight	0.865	0.264	0.409
moonlit	moonlit	0.873	0.269	0.508
moonshine	Moonshine	0.633	0.389	0.491
moonstruck	moonstruck	0.583	0.438	0.407
moonwalk	moonwalk	0.615	0.586	0.525
moor	Moor	0.311	0.464	0.378
moored	moored	0.344	0.500	0.417
mooring	Ifiloju	0.323	0.490	0.444
moorings	awọn isinmi	0.406	0.500	0.516
moorland	Ilẹ-ilu	0.490	0.370	0.456
moose	Moose	0.648	0.373	0.318
moot	Moot	0.344	0.500	0.615
mooted	ti ni ipalara	0.388	0.580	0.463
mop	mop	0.396	0.442	0.296
mope	mope	0.406	0.309	0.345
moped	moped	0.582	0.582	0.554
moral	iwa	0.700	0.459	0.796
morale	ogbon	0.729	0.158	0.792
morality	iwa-rere	0.750	0.408	0.759
morals	awọn iwa	0.646	0.430	0.611
morass	Morass	0.387	0.348	0.375
moratorium	ẹrọ iṣowo	0.337	0.427	0.373
moray	moray	0.510	0.402	0.463
morbid	morbid	0.090	0.833	0.395
morbidity	idaabobo	0.370	0.630	0.443
morbidness	ibanujẹ	0.120	0.694	0.339
mores	ohun elo	0.582	0.317	0.684
morgue	morgue	0.022	0.539	0.241
moribund	moribund	0.083	0.488	0.167
morn	owurọ	0.542	0.284	0.345
morning	owurọ	0.688	0.235	0.444
moron	Moron	0.133	0.587	0.183
moronic	Moronic	0.122	0.500	0.224
morose	Morose	0.240	0.663	0.264
morph	morph	0.448	0.469	0.451
morphine	morphine	0.229	0.490	0.496
morphism	morphism	0.398	0.549	0.386
morphology	morpholoji	0.516	0.373	0.639
morrow	ọla	0.708	0.314	0.490
morsel	apẹja	0.490	0.296	0.400
mortal	ti ara	0.196	0.786	0.510
mortality	iku	0.229	0.726	0.518
mortar	amọ	0.333	0.627	0.562
mortgage	yá	0.255	0.408	0.537
mortgagee	miiwo	0.418	0.633	0.723
mortgagor	moragira	0.431	0.522	0.490
mortician	miiwu	0.104	0.429	0.275
mortification	mortification	0.135	0.644	0.404
mortified	ti ni idasilẹ	0.073	0.731	0.270
mortuary	Ile-igbọran	0.133	0.606	0.427
mosaic	mosaic	0.635	0.250	0.302
mosey	mosey	0.521	0.402	0.330
mosque	Mossalassi	0.542	0.352	0.528
mosquito	efon	0.229	0.400	0.198
moss	Mossi	0.235	0.270	0.245
mossy	mossy	0.375	0.329	0.286
mote	NO TRANSLATION	0.375	0.388	0.260
motel	ọkọ ayọkẹlẹ	0.531	0.372	0.450
moth	moth	0.323	0.350	0.196
mother	iya	0.931	0.408	0.725
motherfucker	motherfucker	0.122	0.827	0.351
motherfucking	motherfucking	0.071	0.823	0.373
motherhood	iya	0.844	0.546	0.667
motherland	motherland	0.677	0.375	0.731
motherless	motherless	0.163	0.541	0.337
motherly	motherly	0.927	0.324	0.710
motif	agbaso ero	0.688	0.481	0.527
motion	išipopada	0.667	0.538	0.657
motionless	alailopin	0.323	0.210	0.246
motivate	iwuri	0.812	0.776	0.873
motivating	iwuri	0.958	0.820	0.787
motivation	iwuri	0.854	0.784	0.802
motivational	iwuri	0.906	0.646	0.858
motive	idi	0.667	0.588	0.663
