Word	Japanese-ja	Valence	Arousal	Dominance
grill	グリル	0.755	0.491	0.546
grille	グリル	0.337	0.327	0.246
grilled	グリル	0.702	0.500	0.373
grim	恐るべき	0.310	0.483	0.298
grime	汚れた	0.198	0.500	0.225
grimy	汚れた	0.112	0.597	0.283
grin	微笑む	0.885	0.570	0.491
grind	粉砕する	0.480	0.276	0.397
grinder	グラインダー	0.459	0.615	0.561
grinding	研削	0.415	0.450	0.461
grindstone	砥石	0.541	0.453	0.526
gringo	外国人	0.540	0.452	0.510
grip	グリップ	0.520	0.549	0.602
gripe	悩む	0.184	0.526	0.241
grisly	激しく	0.083	0.863	0.426
grist	手首	0.317	0.391	0.363
grit	グリット	0.449	0.296	0.345
grits	グリッツ	0.458	0.333	0.346
gritty	ぎこちない	0.417	0.373	0.375
grizzly	グリズリー	0.398	0.679	0.657
groan	声援	0.396	0.750	0.351
grocer	食料品店	0.625	0.250	0.382
groceries	食料品	0.740	0.363	0.417
grocery	食料品	0.687	0.540	0.446
groggy	卑劣な	0.235	0.265	0.194
groin	鼠径部	0.296	0.452	0.364
groom	新郎	0.698	0.500	0.605
groove	溝	0.552	0.448	0.361
groovy	グルーヴィー	0.615	0.538	0.464
grope	酔う	0.420	0.559	0.358
gross	キモい	0.115	0.575	0.181
grotesque	グロテスク	0.135	0.788	0.500
grotto	グロット	0.510	0.394	0.336
grouch	グラウチ	0.342	0.593	0.411
grouchy	グラッシー	0.143	0.708	0.407
ground	接地	0.398	0.343	0.602
grounded	接地された	0.531	0.601	0.509
groundhog	グラウンドホッグ	0.385	0.324	0.377
grounding	接地	0.521	0.452	0.591
groundless	根拠のない	0.333	0.535	0.387
grounds	根拠	0.667	0.500	0.598
groundwork	下地	0.500	0.375	0.593
group	グループ	0.573	0.423	0.480
groupie	グルーピー	0.521	0.583	0.393
grouping	グループ化	0.745	0.580	0.698
grouse	グラウズ	0.448	0.401	0.412
grout	グラウト	0.405	0.356	0.366
grove	グローヴ	0.604	0.245	0.417
grovel	グルベル	0.360	0.500	0.414
grow	成長する	0.914	0.615	0.755
growl	うなり声	0.194	0.764	0.482
growling	うなる	0.119	0.887	0.475
growls	うなり	0.125	0.675	0.442
grownup	大人	0.735	0.400	0.683
growth	成長	0.917	0.588	0.776
growthefuckup	growthefuckup	0.229	0.692	0.426
grr	grr	0.229	0.538	0.333
grrr	grrr	0.271	0.755	0.327
grrrrr	grrrrr	0.281	0.633	0.444
grub	グラブ	0.602	0.406	0.355
grubby	厄介な	0.156	0.583	0.176
grudge	恨み	0.115	0.647	0.414
grudging	恨む	0.092	0.636	0.473
grudgingly	恨んで	0.156	0.610	0.292
gruel	粥	0.382	0.304	0.297
grueling	厳しい	0.180	0.763	0.704
gruesome	ぞっとする	0.094	0.837	0.474
gruff	ぞっとする	0.323	0.611	0.472
grumble	不平を言う	0.101	0.750	0.333
grump	ひどい	0.260	0.469	0.425
grumpy	ひどい	0.198	0.808	0.559
grunt	つぶやく	0.286	0.798	0.392
grunting	ぶつぶつ	0.198	0.827	0.481
guacamole	グアカモーレ	0.684	0.317	0.282
guano	グアノ	0.296	0.343	0.191
guarantee	保証	0.949	0.337	0.805
guaranty	保証	0.646	0.337	0.818
guard	ガード	0.592	0.510	0.725
guarded	ガードされた	0.758	0.686	0.500
guardhouse	ガードハウス	0.510	0.435	0.770
guardian	ガーディアン	0.656	0.686	0.789
guardianship	後見	0.592	0.370	0.681
guards	警備員	0.448	0.663	0.720
gubernatorial	知事	0.552	0.604	0.897
guerilla	NO TRANSLATION	0.146	0.845	0.727
guerrilla	ゲリラ	0.219	0.917	0.792
guess	推測	0.640	0.463	0.442
guesser	推測者	0.542	0.670	0.535
guesswork	推測	0.417	0.451	0.405
guest	ゲスト	0.719	0.490	0.558
guesthouse	ゲストハウス	0.729	0.337	0.406
guidance	ガイダンス	0.729	0.471	0.718
guide	ガイド	0.688	0.315	0.620
guidebook	ガイドブック	0.677	0.260	0.427
guidelines	ガイドライン	0.459	0.500	0.664
guiding	ガイド	0.667	0.520	0.714
guild	ギルド	0.580	0.459	0.729
guile	邪悪な	0.410	0.417	0.467
guillotine	ギロチン	0.163	0.817	0.585
guilt	罪悪感	0.208	0.567	0.206
guilty	有罪	0.135	0.770	0.352
guinea	モルモット	0.521	0.440	0.396
guise	見せかけた	0.531	0.547	0.324
guitar	ギター	0.844	0.542	0.469
guitarist	ギタリスト	0.827	0.740	0.549
gules	グール	0.469	0.443	0.340
gulf	湾	0.520	0.365	0.398
gull	ガル	0.594	0.317	0.378
gullet	ガレット	0.385	0.490	0.393
gullible	嫌な	0.440	0.442	0.318
gully	ガリ	0.316	0.519	0.394
gulp	ガルプ	0.551	0.660	0.409
gum	ガム	0.573	0.227	0.213
gumbo	ガンボ	0.500	0.422	0.361
gummy	グミ	0.521	0.302	0.291
gumption	ガムプション	0.480	0.538	0.488
gun	銃	0.147	0.920	0.713
gunboat	砲艦	0.139	0.663	0.618
gunfight	銃撃戦	0.051	0.961	0.700
gunfighter	ガンファイヤー	0.156	0.910	0.741
gunfire	砲火	0.156	0.930	0.673
gunk	塊	0.250	0.478	0.219
gunman	ガンマン	0.167	0.922	0.689
gunmen	武将	0.073	0.942	0.727
gunner	砲手	0.250	0.853	0.817
gunnery	砲撃	0.281	0.861	0.873
gunplay	銃撃	0.133	0.906	0.627
gunpoint	ガンポン	0.188	0.817	0.719
gunpowder	火薬	0.425	0.853	0.509
gunshot	砲撃	0.042	0.953	0.673
gunslinger	ガンズリンガー	0.316	0.873	0.811
gurney	ガーニー	0.408	0.304	0.352
guru	教祖	0.573	0.360	0.653
gush	吐き出す	0.510	0.490	0.381
gusher	ガッシャー	0.406	0.520	0.453
gusset	マチ	0.427	0.425	0.423
gust	突風	0.490	0.755	0.556
gusto	NO TRANSLATION	0.692	0.729	0.620
gusty	巨乳	0.687	0.631	0.455
gut	腸	0.408	0.367	0.364
gutless	ガットレス	0.250	0.381	0.384
guts	ガッツ	0.592	0.649	0.582
gutsy	勇敢な	0.635	0.573	0.536
gutter	ガッター	0.466	0.260	0.400
guy	男	0.583	0.367	0.546
guzzler	ガッツラー	0.393	0.537	0.436
guzzling	騒ぎ	0.460	0.490	0.380
gym	ジム	0.635	0.690	0.613
gymnasium	ジム	0.667	0.561	0.474
gymnast	体操選手	0.670	0.760	0.558
gymnastic	体操	0.810	0.706	0.604
gymnastics	体操	0.745	0.677	0.508
gynecologist	婦人科医	0.552	0.566	0.682
gynecology	婦人科	0.408	0.590	0.519
gypsy	ジプシー	0.375	0.665	0.396
gyroscope	ジャイロスコープ	0.500	0.390	0.510
habit	習慣	0.625	0.226	0.585
habitat	生息地	0.633	0.343	0.553
habitation	住居	0.781	0.231	0.538
habitual	習慣的な	0.527	0.208	0.490
habitually	習慣的に	0.600	0.324	0.583
hacienda	アシエンダ	0.688	0.402	0.573
hack	ハック	0.135	0.717	0.534
hacker	ハッカー	0.271	0.755	0.740
hacksaw	弓矢	0.406	0.645	0.537
hadenough	NO TRANSLATION	0.323	0.566	0.529
hag	ハグ	0.188	0.695	0.411
haggard	皮肉な	0.115	0.510	0.246
haggle	値切る	0.480	0.601	0.461
haiku	俳句	0.583	0.356	0.392
hail	雹	0.459	0.627	0.411
hair	ヘア	0.582	0.186	0.286
hairball	ヘアボール	0.370	0.302	0.315
hairbrush	ヘアブラシ	0.454	0.216	0.263
haircut	ヘアカット	0.677	0.343	0.307
hairdo	髪型	0.552	0.320	0.435
hairdresser	美容師	0.708	0.509	0.407
hairdryer	ヘアドライヤー	0.642	0.402	0.330
hairless	無毛	0.136	0.235	0.139
hairline	ヘアライン	0.418	0.154	0.230
hairpin	ヘアピン	0.459	0.363	0.370
hairspray	ヘアスプレー	0.549	0.279	0.269
hairstyle	ヘアスタイル	0.771	0.380	0.433
hairy	毛深い	0.542	0.380	0.343
hale	ハレ	0.479	0.435	0.500
half	ハーフ	0.500	0.274	0.276
half dollar	半ドル	0.573	0.408	0.509
halfback	ハーフバック	0.490	0.429	0.440
halftime	ハーフタイム	0.458	0.352	0.429
halfway	中途半端	0.510	0.254	0.339
halibut	オヒョウ	0.449	0.412	0.411
hall	ホール	0.510	0.340	0.424
hallelujah	ハレルヤ	0.770	0.554	0.657
hallmark	顕著な	0.646	0.315	0.411
hallowed	神聖な	0.740	0.500	0.728
hallucination	幻覚	0.396	0.706	0.370
hallway	廊下	0.573	0.230	0.279
halo	ハロー	0.490	0.370	0.441
halt	停止する	0.167	0.360	0.432
halter	ホルター	0.448	0.451	0.431
halting	停止する	0.255	0.596	0.519
halve	半分	0.316	0.347	0.302
halving	半分	0.292	0.474	0.366
ham	ハム	0.673	0.245	0.404
hamburger	ハンバーガー	0.809	0.551	0.387
hamlet	ハムレット	0.573	0.270	0.397
hammer	ハンマー	0.312	0.509	0.563
hammerhead	ハンマーヘッド	0.337	0.490	0.569
hammering	ハンマー	0.347	0.779	0.557
hammock	ハンモック	0.673	0.255	0.287
hamper	邪魔する	0.204	0.711	0.473
hamster	ハムスター	0.520	0.394	0.349
hamstring	ハムストリング	0.406	0.471	0.443
hand	ハンド	0.542	0.314	0.434
handbag	ハンドバッグ	0.562	0.240	0.336
handball	ハンドボール	0.561	0.493	0.440
handbook	ハンドブック	0.600	0.224	0.567
handcuff	手錠	0.310	0.590	0.593
handful	一握りの	0.521	0.481	0.400
handgun	拳銃	0.156	0.914	0.782
handheld	ハンドヘルド	0.646	0.350	0.586
handicap	ハンディキャップ	0.133	0.394	0.264
handicapped	身体障害者	0.204	0.467	0.180
handicraft	手芸	0.724	0.333	0.565
handiwork	手作り	0.753	0.430	0.410
handkerchief	ハンカチ	0.510	0.192	0.219
handle	ハンドル	0.698	0.571	0.558
handler	ハンドラ	0.439	0.593	0.861
handmade	手作り	0.776	0.383	0.475
handout	配布資料	0.560	0.330	0.545
handprint	手書き	0.635	0.289	0.463
handshake	ハンドシェーク	0.816	0.654	0.492
handsome	ハンサム	0.890	0.600	0.682
handwriting	手書き	0.615	0.378	0.381
handy	ハンディ	0.741	0.378	0.639
handyman	ハンディーマン	0.660	0.373	0.393
hang	ハング	0.323	0.529	0.446
hangar	ハンガー	0.490	0.456	0.481
hanger	ハンガー	0.439	0.462	0.461
hanging	吊るす	0.378	0.471	0.389
hangman	ハングマン	0.153	0.877	0.555
hangout	たむろう	0.573	0.500	0.462
hangover	二日酔い	0.188	0.565	0.267
hangry	ハンギング	0.219	0.794	0.279
hank	ハンク	0.510	0.375	0.339
hankering	熱心な	0.604	0.540	0.558
hanky	ハンキー	0.460	0.276	0.250
hap	NO TRANSLATION	0.503	0.431	0.453
haphazard	行き当たりばったり	0.469	0.530	0.324
hapless	不運	0.271	0.442	0.193
happen	起こる	0.677	0.670	0.551
happening	ハプニング	0.646	0.529	0.555
happier	もっと幸せな	0.990	0.760	0.806
happiest	幸せな	0.990	0.716	0.746
happily	幸せに	1.000	0.690	0.674
happiness	幸福	0.960	0.732	0.850
happy	ハッピー	1.000	0.735	0.772
happydance	幸せ	0.857	0.760	0.582
happyday	幸せ	0.929	0.650	0.663
happyheart	ハッピーハート	0.949	0.575	0.605
happyholidays	NO TRANSLATION	0.927	0.740	0.637
happynewyear	NO TRANSLATION	0.969	0.815	0.559
happyplace	NO TRANSLATION	0.938	0.589	0.645
happytweet	NO TRANSLATION	0.847	0.588	0.437
happyvalentinesday	NO TRANSLATION	0.929	0.784	0.509
harass	ハラス	0.160	0.775	0.620
harassing	嫌がらせ	0.120	0.873	0.446
harassment	嫌がらせ	0.083	0.896	0.420
harbinger	前触れ	0.490	0.389	0.692
harbor	港	0.594	0.356	0.634
hard	ハード	0.302	0.708	0.616
hardball	硬式	0.542	0.667	0.452
hardcore	ハードコア	0.250	0.721	0.585
harden	硬化させる	0.276	0.598	0.677
hardened	硬化した	0.406	0.618	0.764
hardening	硬化	0.388	0.673	0.741
hardheaded	ハードヘッド	0.156	0.699	0.571
hardness	硬度	0.417	0.580	0.745
hardship	苦難	0.094	0.775	0.482
hardware	ハードウェア	0.594	0.289	0.686
hardwood	広葉樹	0.417	0.363	0.518
hardworking	勤勉な	0.719	0.583	0.792
hardy	頑丈な	0.571	0.569	0.810
hare	野ウサギ	0.620	0.410	0.345
harebrained	控えめな	0.296	0.551	0.436
harem	ハーレム	0.521	0.578	0.582
hark	ハーク	0.571	0.500	0.398
harlot	遊女	0.198	0.798	0.330
harm	害	0.073	0.679	0.423
harmful	有害な	0.094	0.750	0.291
harmless	無害な	0.625	0.226	0.241
harmonica	ハーモニカ	0.847	0.235	0.510
harmonics	高調波	0.865	0.400	0.575
harmonious	調和のとれた	0.938	0.391	0.719
harmoniously	調和よく	0.969	0.265	0.647
harmonize	調和する	0.939	0.461	0.609
harmony	調和	0.949	0.230	0.509
harness	ハーネス	0.570	0.549	0.508
harp	ハープ	0.618	0.310	0.356
harper	ハーパー	0.417	0.454	0.435
harpoon	銛	0.490	0.700	0.557
harpsichord	ハープシコード	0.541	0.490	0.438
harrowing	悲惨な	0.209	0.810	0.474
harry	ハリー	0.520	0.409	0.390
harsh	厳しい	0.250	0.650	0.623
harshness	ハーシュネス	0.323	0.600	0.779
hart	ハート	0.643	0.389	0.447
harvest	収穫	0.781	0.353	0.548
hash	ハッシュ	0.344	0.453	0.355
hashish	ハッシュ	0.370	0.570	0.358
hassle	面倒	0.177	0.740	0.489
haste	急いで	0.378	0.745	0.500
hasten	早く	0.571	0.750	0.618
hastily	急いで	0.271	0.609	0.609
hasty	急いで	0.188	0.885	0.424
hat	帽子	0.604	0.183	0.353
hatch	ハッチ	0.479	0.653	0.402
hatchet	帽子	0.333	0.608	0.500
hate	嫌い	0.031	0.802	0.430
hateeee	NO TRANSLATION	0.219	0.606	0.368
hateeveryone	NO TRANSLATION	0.041	0.840	0.429
hateful	憎む	0.071	0.819	0.430
hater	嫌いな人	0.052	0.702	0.422
hateyou	NO TRANSLATION	0.125	0.735	0.464
hating	嫌う	0.083	0.820	0.434
hatred	憎しみ	0.037	0.847	0.424
haughty	傲慢	0.240	0.708	0.588
haul	運ぶ	0.551	0.564	0.453
haulage	運搬	0.561	0.510	0.650
haunt	出没する	0.288	0.676	0.576
haunted	幽霊の	0.264	0.731	0.520
have	持ってる	0.757	0.389	0.593
haven	避難所	0.684	0.265	0.547
havoc	大混乱	0.163	0.769	0.535
haw	ハワイ	0.406	0.426	0.431
hawk	鷹	0.583	0.530	0.631
hawking	鷹狩り	0.521	0.509	0.491
hay	NO TRANSLATION	0.469	0.212	0.343
haye	ヘイ	0.615	0.451	0.336
hayride	花婿	0.561	0.521	0.464
haystack	ヘイスタック	0.552	0.292	0.331
haywire	ひねり線	0.358	0.545	0.430
hazard	危険	0.112	0.884	0.757
hazardous	危険な	0.061	0.750	0.670
haze	ヘイズ	0.427	0.327	0.217
hazmat	ハザード	0.398	0.479	0.519
hazy	曇った	0.450	0.433	0.230
head	頭	0.530	0.472	0.558
headache	頭痛	0.168	0.755	0.273
headaches	頭痛	0.104	0.720	0.259
headband	ヘッドバンド	0.670	0.469	0.527
headdress	ヘッドドレス	0.594	0.408	0.443
header	ヘッダ	0.560	0.398	0.740
headgear	ヘッドギア	0.542	0.442	0.571
heading	見出し	0.551	0.292	0.642
headland	岬	0.574	0.551	0.430
headless	ヘッドレス	0.136	0.582	0.235
headlight	ヘッドライト	0.592	0.343	0.393
headline	見出し	0.630	0.241	0.685
headliner	ヘッドライナー	0.500	0.490	0.625
headlock	ヘッドロック	0.448	0.538	0.560
headlong	長い間	0.354	0.548	0.409
headmaster	校長	0.604	0.564	0.865
headphones	ヘッドフォン	0.600	0.357	0.336
headquarter	本社	0.615	0.269	0.525
headquarters	本部	0.615	0.271	0.525
headset	ヘッドセット	0.602	0.340	0.302
headstone	墓石	0.240	0.378	0.349
headstrong	頭を強くする	0.310	0.714	0.500
headway	前進	0.823	0.464	0.745
heady	頭がおかしい	0.448	0.806	0.565
heal	癒し	0.765	0.245	0.556
healer	ヒーラー	0.863	0.378	0.741
healing	ヒーリング	0.750	0.452	0.585
health	健康	0.935	0.427	0.551
healthcare	健康管理	0.780	0.392	0.630
healthful	健康的な	0.930	0.315	0.769
healthy	健康	0.938	0.319	0.818
heap	ヒープ	0.582	0.510	0.474
hear	聞く	0.760	0.429	0.444
hearer	聞き手	0.656	0.281	0.415
hearing	聴覚	0.669	0.490	0.595
hearsay	伝聞	0.288	0.623	0.333
hearse	霊柩車	0.177	0.490	0.324
heart	ハート	0.827	0.500	0.693
heart disease	心臓病	0.250	0.750	0.386
heartache	心痛	0.088	0.750	0.291
heartattack	NO TRANSLATION	0.156	0.839	0.455
heartbeat	ハートビート	0.750	0.698	0.585
heartbreak	悲しみ	0.208	0.610	0.245
heartbreaker	ハートブレイカー	0.265	0.685	0.580
heartbreaking	悲惨な	0.146	0.811	0.423
heartbroken	悲惨な	0.082	0.551	0.235
heartburn	胸焼け	0.143	0.613	0.398
hearted	心臓	0.823	0.410	0.805
heartfelt	心のこもった	0.904	0.440	0.540
hearth	ハース	0.760	0.275	0.536
heartily	心から	0.927	0.531	0.664
heartland	心地よい	0.812	0.510	0.675
heartless	無情な	0.071	0.652	0.400
hearts	心	0.948	0.592	0.634
heartsick	ハートウィック	0.240	0.388	0.208
heartworm	心臓病	0.333	0.550	0.430
hearty	心のこもった	0.760	0.684	0.792
heat	熱	0.534	0.612	0.433
heated	加熱された	0.479	0.497	0.542
heater	ヒータ	0.500	0.573	0.538
heath	ヒース	0.802	0.387	0.546
heathen	異教徒	0.194	0.529	0.491
heather	ヘザー	0.500	0.352	0.407
heating	加熱	0.647	0.491	0.537
heave	ヒーブ	0.716	0.588	0.664
heaven	天国	0.896	0.385	0.600
heavenly	天	0.844	0.452	0.712
heavens	天	0.806	0.273	0.683
heavily	重く	0.542	0.679	0.814
heaviness	重さ	0.219	0.549	0.318
heaving	泳ぐ	0.201	0.843	0.491
heavy	ヘビー	0.250	0.454	0.600
heavy metal	重金属	0.417	0.755	0.621
heavyweight	ヘビー級	0.429	0.578	0.713
heck	地獄	0.240	0.728	0.560
hectares	ヘクタール	0.570	0.250	0.471
hectic	忙しい	0.167	0.811	0.438
hedge	ヘッジ	0.604	0.602	0.569
hedgehog	ヘッジホッグ	0.458	0.491	0.377
hedonism	快楽主義	0.510	0.500	0.608
hee	喜	0.430	0.433	0.312
heed	耳を傾ける	0.750	0.490	0.569
heel	ヒール	0.480	0.350	0.385
heels	かかと	0.500	0.439	0.396
heft	体重	0.503	0.340	0.530
hefty	重い	0.550	0.654	0.745
hegemonic	覇権	0.462	0.519	0.558
heheh	NO TRANSLATION	0.625	0.510	0.278
heifer	雌牛	0.439	0.443	0.321
height	高さ	0.677	0.608	0.648
heighten	高まる	0.755	0.622	0.765
heightened	高められた	0.592	0.529	0.788
heinous	凶悪な	0.133	0.792	0.471
heir	相続人	0.840	0.654	0.764
heiress	相続人	0.827	0.571	0.676
heirloom	家宝	0.684	0.375	0.745
heirs	相続人	0.796	0.519	0.698
heist	強盗	0.184	0.850	0.645
helical	ヘリカル	0.379	0.429	0.468
helicopter	ヘリコプター	0.714	0.806	0.617
helipad	ヘリポート	0.780	0.637	0.573
heliport	ヘリポート	0.594	0.604	0.527
helium	ヘリウム	0.490	0.316	0.304
helix	ヘリックス	0.521	0.462	0.509
hell	地獄	0.020	0.918	0.565
hellfire	地獄	0.143	0.890	0.618
hellhole	地獄	0.200	0.615	0.421
hellish	地獄	0.125	0.860	0.545
helm	舵	0.511	0.450	0.615
helmet	ヘルメット	0.573	0.327	0.402
helmsman	操縦士	0.490	0.441	0.647
help	助けて	0.673	0.471	0.460
helper	ヘルパー	0.704	0.438	0.567
helpful	役に立つ	0.816	0.337	0.705
helpless	無力	0.104	0.420	0.214
helplessness	無力	0.087	0.480	0.250
hem	NO TRANSLATION	0.562	0.283	0.291
hematite	ヘマタイト	0.448	0.389	0.342
hematoma	血腫	0.146	0.600	0.398
hemi	ヘミ	0.510	0.363	0.342
hemisphere	半球	0.531	0.367	0.598
hemispheric	半球	0.562	0.449	0.603
hemlock	ヘムロック	0.438	0.350	0.434
hemoglobin	ヘモグロビン	0.469	0.481	0.418
hemorrhage	出血	0.031	0.849	0.426
hemorrhoids	痔核	0.133	0.702	0.304
hemostat	止血薬	0.388	0.442	0.464
hemp	麻	0.469	0.439	0.422
hen	NO TRANSLATION	0.385	0.276	0.241
henceforth	以後	0.527	0.404	0.466
henhouse	鶏小屋	0.500	0.577	0.414
hepatitis	肝炎	0.055	0.596	0.358
herald	ヘラルド	0.643	0.382	0.500
heraldry	紋章	0.550	0.520	0.607
herb	ハーブ	0.643	0.418	0.353
herbaceous	草本	0.560	0.220	0.310
herbal	ハーブ	0.592	0.255	0.390
herbarium	植物園	0.602	0.188	0.327
herbs	ハーブ	0.620	0.299	0.308
herd	群れ	0.592	0.500	0.474
hereditary	遺伝性	0.531	0.600	0.737
heredity	遺伝	0.704	0.445	0.818
heresy	異端	0.265	0.765	0.443
heretic	異端者	0.090	0.710	0.447
heretical	異端	0.229	0.630	0.487
heretofore	今まで	0.479	0.388	0.385
hereunto	ここに	0.500	0.225	0.333
herewith	これと一緒に	0.450	0.360	0.415
heritage	遺産	0.842	0.512	0.815
hermaphrodite	雌雄同体	0.480	0.684	0.481
hermeneutics	解釈学	0.406	0.577	0.562
hermit	隠者	0.271	0.337	0.351
hernia	ヘルニア	0.146	0.486	0.223
hero	ヒーロー	0.940	0.806	0.881
heroic	ヒロイック	0.890	0.770	0.912
heroics	ヒーローズ	0.865	0.673	0.894
heroin	ヘロイン	0.276	0.843	0.655
heroine	ヒロイン	0.729	0.755	0.833
heroism	ヒロイズム	0.844	0.802	0.898
herpes	ヘルペス	0.110	0.600	0.309
herpesvirus	ヘルペスウイルス	0.219	0.558	0.435
herring	ニシン	0.531	0.387	0.422
hertz	ヘルツ	0.396	0.417	0.506
hesitant	躊躇する	0.333	0.542	0.321
hesitate	躊躇する	0.459	0.548	0.232
hesitating	躊躇する	0.265	0.528	0.240
hesitation	躊躇	0.286	0.396	0.217
hetero	異種	0.589	0.405	0.435
heterogeneity	異質性	0.439	0.450	0.556
heterosexual	異性愛者	0.561	0.612	0.557
hew	大衆	0.417	0.470	0.377
hex	16進数	0.410	0.510	0.363
hexagon	六角形	0.542	0.226	0.425
heyday	全盛期	0.646	0.680	0.673
hiatus	中断	0.479	0.294	0.352
hibernate	休止状態	0.500	0.317	0.431
hibernation	冬眠	0.469	0.245	0.384
hiccup	しゃっくり	0.271	0.549	0.240
hick	ヒック	0.357	0.442	0.314
hickey	ヒッキー	0.448	0.529	0.345
hickory	ヒッコリー	0.520	0.490	0.415
hidden	隠された	0.208	0.430	0.327
hide	隠す	0.438	0.510	0.218
hideaway	隠れ家	0.448	0.481	0.360
hideous	恐ろしいです	0.091	0.750	0.328
hideout	隠れ家	0.337	0.443	0.302
hiding	隠蔽	0.250	0.567	0.364
hierarchical	階層的	0.521	0.620	0.939
hierarchy	階層	0.583	0.722	0.902
hieroglyphics	象形文字	0.479	0.325	0.509
high	高い	0.684	0.510	0.614
high heels	ハイヒール	0.646	0.528	0.429
highball	ハイボール	0.656	0.520	0.481
higher	高い	0.866	0.528	0.713
highest	最高	0.771	0.640	0.710
highland	高地	0.615	0.481	0.611
highlands	高地	0.735	0.431	0.596
highlight	ハイライト	0.844	0.637	0.882
highness	ハイネス	0.740	0.670	0.931
hight	高	0.667	0.637	0.645
hightail	ハイテイル	0.448	0.480	0.481
highway	ハイウェイ	0.640	0.583	0.425
hijack	ハイジャック	0.042	0.908	0.594
hijacker	ハイジャッカー	0.104	0.953	0.683
hike	ハイキング	0.615	0.442	0.538
hiker	ハイカー	0.694	0.802	0.644
hiking	ハイキング	0.820	0.843	0.670
hiking boot	ハイキングブーツ	0.657	0.353	0.446
hilarious	陽気な	0.750	0.640	0.537
hilarity	はしゃぎ	0.745	0.480	0.575
hill	丘	0.615	0.353	0.518
hillside	丘陵地	0.625	0.292	0.458
hilltop	丘の上	0.688	0.643	0.787
hilly	丘陵	0.643	0.479	0.603
hilt	柄	0.396	0.650	0.537
hind	後ろの	0.483	0.644	0.337
hinder	妨害する	0.276	0.537	0.470
hindering	妨害する	0.260	0.654	0.435
hindrance	支障	0.135	0.545	0.473
hindsight	後見人	0.333	0.431	0.532
hinge	ヒンジ	0.458	0.292	0.417
hint	ヒント	0.602	0.330	0.517
hinterland	ヒンターランド	0.530	0.520	0.457
hip	ヒップ	0.448	0.415	0.345
hip hop	ヒップホップ	0.740	0.714	0.484
hippie	ヒッピー	0.551	0.400	0.396
hippo	ヒッポ	0.490	0.404	0.477
hippopotamus	カバ	0.541	0.472	0.615
hire	雇う	0.688	0.558	0.556
hirsute	ヒルシュテ	0.385	0.483	0.373
hiss	ヒス	0.388	0.480	0.370
hissing	騒がしい	0.500	0.454	0.400
histology	組織学	0.490	0.320	0.560
historian	歴史家	0.688	0.270	0.637
historic	歴史的な	0.816	0.473	0.784
historical	歴史的	0.653	0.357	0.833
historiography	歴史学	0.562	0.415	0.634
history	歴史	0.729	0.382	0.754
hit	ヒット	0.235	0.931	0.679
hitch	ヒッチ	0.512	0.480	0.554
hitchhike	ヒッチハイク	0.396	0.622	0.385
hitchhiker	ヒッチハイカー	0.594	0.626	0.603
hitherto	これまで	0.448	0.356	0.463
hitter	打者	0.418	0.683	0.713
hive	ハイブ	0.471	0.452	0.544
hives	ハイブ	0.417	0.473	0.591
hoard	貯蓄	0.506	0.412	0.518
hoarse	ひどい	0.281	0.402	0.315
hoary	老人	0.469	0.298	0.424
hoax	でっち上げ	0.146	0.696	0.303
hob	ホブ	0.633	0.363	0.415
hobbit	ホビット	0.479	0.489	0.472
hobby	趣味	0.827	0.560	0.471
hobo	ホーボー	0.323	0.443	0.282
hock	ホック	0.513	0.452	0.412
hockey	ホッケー	0.565	0.786	0.548
hoe	NO TRANSLATION	0.302	0.480	0.418
hog	豚	0.317	0.509	0.271
hogwash	ホグウォッシュ	0.420	0.490	0.361
hohoho	NO TRANSLATION	0.677	0.433	0.330
hoist	ホイスト	0.521	0.520	0.458
hokey	ホーキー	0.604	0.667	0.430
hold	ホールド	0.448	0.290	0.364
holder	保有者	0.592	0.330	0.713
holding	ホールディング	0.600	0.385	0.670
holdup	持続する	0.398	0.471	0.398
hole	穴	0.531	0.310	0.330
holiday	休日	0.948	0.431	0.593
holidays	休日	0.939	0.521	0.512
holidayseason	NO TRANSLATION	0.875	0.566	0.518
holiness	聖なる	0.860	0.264	0.742
holistic	ホリスティックな	0.670	0.348	0.547
holler	ホラー	0.276	0.825	0.406
hollow	中空	0.300	0.337	0.222
holly	ホリー	0.510	0.250	0.443
holocaust	ホロコースト	0.062	0.918	0.618
hologram	ホログラム	0.615	0.461	0.575
holographic	ホログラフィック	0.510	0.471	0.555
holster	ホルスター	0.561	0.255	0.339
holy	聖なる	0.812	0.112	0.690
holyspirit	NO TRANSLATION	0.740	0.480	0.526
homage	敬意	0.833	0.560	0.737
hombre	NO TRANSLATION	0.656	0.472	0.696
hombres	NO TRANSLATION	0.510	0.538	0.652
home	自宅	0.854	0.270	0.545
homeboy	家族	0.602	0.255	0.436
homecoming	帰郷	0.760	0.413	0.472
homeland	祖国	0.663	0.439	0.868
homeless	ホームレス	0.042	0.450	0.188
homely	家庭的な	0.745	0.157	0.399
homemade	自家製	0.869	0.340	0.398
homeopathic	ホメオパシー	0.417	0.268	0.400
homeopathy	ホメオパシー	0.469	0.284	0.439
homeowner	家主	0.635	0.397	0.962
homeroom	担任	0.604	0.480	0.491
homesick	ホームシック	0.436	0.304	0.347
homestead	ホームステッド	0.865	0.221	0.536
homesweethome	ホームスイートホーム	0.796	0.380	0.538
hometown	出身地	0.858	0.333	0.605
homeward	帰郷	0.833	0.275	0.435
