Word	Hawaiian-haw	Valence	Arousal	Dominance
immobile	kūlohelohe	0.225	0.217	0.298
immoral	moekolohe	0.143	0.622	0.385
immorality	hewa	0.188	0.689	0.315
immortal	makeʻole	0.812	0.750	0.795
immortality	ke olaʻole	0.688	0.635	0.861
immovable	nā mea kūnoʻe	0.480	0.310	0.571
immune	kūponoʻole	0.629	0.472	0.780
immunity	ka palekana	0.633	0.316	0.786
immunization	immunization	0.667	0.510	0.733
immutable	hikiʻole ke hoʻololi	0.427	0.431	0.571
imp	w	0.350	0.448	0.420
impact	ka hopena	0.469	0.884	0.776
impair	pilikia	0.153	0.500	0.360
impaired	ua pilikia	0.130	0.459	0.269
impairment	ka pōʻino	0.170	0.571	0.220
impart	hāʻawi	0.521	0.441	0.694
impartial	ke kūlikeʻole	0.531	0.406	0.685
impartiality	ke kūlikeʻole	0.622	0.394	0.616
impassable	hikiʻole ke hoʻopiliʻia	0.342	0.458	0.553
impassioned	aloha	0.740	0.780	0.802
impatience	manaʻoʻole	0.278	0.780	0.411
impatient	makemake nui	0.250	0.708	0.429
impatiently	NO TRANSLATION	0.194	0.750	0.539
impeach	ke kuʻi	0.208	0.776	0.664
impeachment	ke kuhihewa	0.163	0.735	0.694
impeccable	ʻaʻohe kūlana	0.833	0.370	0.824
impede	e hoʻopilikia	0.271	0.510	0.604
impediment	pilikia	0.163	0.600	0.409
impelled	hoʻokuʻuʻia	0.604	0.741	0.690
impending	ke kū nei	0.480	0.735	0.752
impenetrable	ʻaʻohe mea nui	0.531	0.577	0.839
imperative	pono	0.625	0.647	0.708
imperceptible	ke kūlana	0.378	0.490	0.548
imperfect	nele	0.173	0.527	0.202
imperfection	ka nele	0.190	0.567	0.321
imperfectly	kūponoʻole	0.297	0.481	0.330
imperial	ke aupuni kiʻekiʻe	0.669	0.646	0.922
imperialist	NO TRANSLATION	0.284	0.786	0.833
impermeable	pilikia	0.510	0.308	0.558
impermissible	hikiʻole ke hōʻole	0.188	0.464	0.352
impersonal	hoʻopono	0.316	0.356	0.472
impersonate	hoʻopono	0.510	0.632	0.591
impersonation	ke kūlike	0.375	0.618	0.528
impersonator	ka mea impersonator	0.469	0.586	0.406
impertinence	ka momona	0.170	0.653	0.420
impertinent	hihihihi	0.219	0.826	0.373
impervious	pilikia	0.582	0.408	0.536
impetuous	huhū	0.602	0.814	0.712
impetus	hoʻopiʻi	0.521	0.740	0.635
implacable	hikiʻole ke hele	0.569	0.663	0.830
implant	kauʻia	0.429	0.510	0.588
implantation	hoʻonohonohoʻia	0.396	0.604	0.741
implanted	hoʻokomo	0.347	0.500	0.679
implement	hoʻokō	0.720	0.573	0.792
implicate	makemake	0.250	0.670	0.434
implicated	ua pili	0.354	0.673	0.438
implication	pili	0.337	0.528	0.690
implied	ʻikeʻia	0.327	0.530	0.481
implore	nonoi aku	0.396	0.650	0.377
implosion	ka implosion	0.412	0.724	0.547
imply	ʻikeʻia	0.542	0.670	0.533
impolite	hilahilaʻole	0.167	0.590	0.282
import	laweʻia mai	0.615	0.480	0.623
importance	ka mea nui	0.750	0.580	0.864
important	nui	0.827	0.630	0.836
importation	ka laweʻana	0.625	0.500	0.733
impose	kau	0.503	0.721	0.745
imposing	e hoʻomaopopo ana	0.392	0.731	0.836
imposition	ke kauwahi	0.357	0.604	0.618
impossibility	hikiʻole ke hiki	0.170	0.625	0.306
impossible	hikiʻole	0.153	0.510	0.407
impostor	ka mea hoʻopunipuni	0.135	0.704	0.442
impotence	maʻiʻole	0.198	0.689	0.224
impotent	maʻiʻole	0.146	0.587	0.333
impound	hoʻopili	0.230	0.587	0.583
impoverished	nele	0.125	0.311	0.203
impracticable	hikiʻole ke loaʻa	0.398	0.549	0.381
impractical	maikaʻiʻole	0.160	0.373	0.291
impregnable	kūʻole	0.378	0.549	0.667
impregnate	hoʻopiʻi	0.510	0.721	0.655
impress	hiʻona	0.816	0.744	0.895
impressed	makemake	0.806	0.770	0.429
impression	manaʻo	0.684	0.557	0.577
impressionable	mahalo	0.827	0.720	0.645
impressive	hiʻona	0.781	0.830	0.873
imprint	kaomi	0.615	0.574	0.685
imprison	e paʻahao	0.112	0.829	0.545
imprisoned	e paʻahaoʻia	0.032	0.717	0.302
imprisonment	hoopaahao	0.133	0.630	0.471
improbable	hikiʻole ke hoʻololiʻia	0.097	0.412	0.439
impromptu	pilikia	0.541	0.729	0.415
improper	hewaʻole	0.229	0.520	0.259
impropriety	pilikia	0.133	0.591	0.389
improve	hoʻoponopono	0.833	0.528	0.815
improved	ua maikaʻi	0.919	0.480	0.679
improvement	maikaʻi	0.786	0.500	0.611
improves	hoʻoponopono	0.929	0.625	0.727
improving	hoʻoponopono	0.911	0.510	0.682
improvisation	hoʻolālā	0.631	0.812	0.529
improvise	kūpono	0.646	0.650	0.519
improvised	hoʻoponoponoʻia	0.610	0.673	0.443
imprudent	kūponoʻole	0.170	0.676	0.265
impudence	ke kuhihewa	0.214	0.500	0.472
impudent	nā mea kūponoʻole	0.302	0.604	0.462
impulse	makemake	0.530	0.840	0.611
impulsive	makemakeʻole	0.365	0.864	0.607
impunity	'āhewaʻole	0.313	0.721	0.602
impure	haumia	0.260	0.560	0.208
impurity	haumia	0.173	0.546	0.306
imputation	ka helu	0.333	0.654	0.621
imtryingtosleep	NO TRANSLATION	0.438	0.363	0.385
inability	ʻikeʻole	0.150	0.529	0.250
inaccessible	inā hikiʻole	0.083	0.585	0.446
inaccurate	pololeiʻole	0.135	0.450	0.250
inaction	ka hana	0.323	0.225	0.325
inactivate	ʻaʻole pono	0.245	0.240	0.415
inactivation	aikini	0.198	0.260	0.220
inactive	hoʻopauʻole	0.271	0.167	0.159
inactivity	ʻikeʻole	0.135	0.143	0.227
inadequacy	nele	0.286	0.500	0.297
inadequate	kūponoʻole	0.122	0.450	0.223
inadequateness	ke kūponoʻole	0.240	0.529	0.316
inadmissible	hikiʻole ke mālama	0.188	0.636	0.389
inadvertent	'āʻole	0.365	0.368	0.286
inadvertently	me kaʻikeʻole	0.302	0.541	0.549
inaffable	NO TRANSLATION	0.388	0.518	0.455
inalienable	ia ke hoʻololi	0.437	0.459	0.608
inane	inane	0.271	0.350	0.268
inanimate	olaʻole	0.281	0.143	0.224
inapplicable	ʻaʻohe mea maʻalahi	0.281	0.402	0.330
inappropriate	ʻaʻole kūpono	0.135	0.542	0.353
inattention	me ka nānāʻole	0.208	0.433	0.188
inaudible	inaudible	0.280	0.398	0.358
inaugural	inaugural	0.684	0.567	0.608
inaugurate	hoʻopau	0.781	0.582	0.800
inauguration	ke hoʻokomo	0.847	0.712	0.769
inborn	i hānauʻia	0.590	0.288	0.546
inbound	inbound	0.531	0.388	0.538
inbred	inbred	0.397	0.520	0.473
incalculable	kuhiʻole	0.449	0.620	0.679
incandescent	incandescent	0.354	0.612	0.621
incantation	hiku	0.439	0.632	0.548
incapable	hikiʻole	0.156	0.529	0.155
incapacity	incapacity	0.052	0.500	0.217
incarceration	ka hoʻokomo	0.100	0.800	0.397
incarnate	incarnate	0.552	0.651	0.593
incase	inā	0.580	0.196	0.365
incendiary	ke ahi	0.281	0.810	0.598
incense	ka meaʻala	0.698	0.275	0.328
incensed	i hoʻonāukiukiʻia	0.338	0.643	0.392
incentive	mea hoʻonāukiuki	0.812	0.618	0.718
inception	hoʻomaka	0.604	0.425	0.561
incessant	pinepine	0.438	0.760	0.544
incessantly	me ka manawaʻole	0.417	0.765	0.606
incest	kuhi	0.073	0.853	0.491
incestuous	hihihihi	0.188	0.736	0.442
inch	inch	0.481	0.327	0.300
incidence	ka hopena	0.417	0.527	0.429
incident	ka hopena	0.084	0.662	0.482
incidental	ʻikeʻole	0.281	0.610	0.404
incidentally	e pili ana	0.479	0.500	0.500
incineration	hoʻopiʻi	0.229	0.787	0.470
incinerator	ka mea kanu	0.250	0.643	0.591
incipient	ke kuhi	0.442	0.382	0.430
incision	hoʻopiʻi	0.240	0.663	0.558
incisive	ke kuhi	0.380	0.602	0.545
incite	hāpai	0.449	0.736	0.642
incitement	ka hoʻonāukiuki	0.302	0.943	0.598
inclement	hoʻonui	0.260	0.676	0.616
inclination	hilinaʻi	0.378	0.490	0.538
incline	hoʻopiʻi	0.490	0.423	0.345
inclined	hāpai	0.469	0.347	0.402
include	komo pū	0.729	0.449	0.702
included	i komo pū	0.760	0.402	0.570
including	e like me	0.700	0.378	0.518
inclusion	hoʻokomo	0.774	0.404	0.712
inclusive	komo pū	0.604	0.420	0.564
incognito	incognito	0.610	0.490	0.446
incoherent	incoherent	0.122	0.612	0.250
income	ka loaʻa kālā	0.750	0.510	0.728
incoming	komo mai	0.660	0.509	0.596
incomparable	hikiʻole ke kūlana	0.625	0.577	0.670
incompatible	i ka hikiʻole	0.196	0.500	0.310
incompetence	ke kuhi	0.077	0.551	0.208
incompetent	nele	0.133	0.566	0.239
incomplete	ʻaʻole i hoʻokō	0.153	0.370	0.205
incompletely	pauʻole	0.344	0.442	0.232
incompleteness	nele	0.271	0.451	0.234
incomprehensible	hiki ke hoʻomaopopo	0.250	0.550	0.344
inconceivable	halaʻole	0.198	0.552	0.561
inconclusive	ke kuhihewa	0.153	0.442	0.340
incongruous	kuhi	0.177	0.504	0.343
inconsequential	ʻikeʻole	0.250	0.480	0.345
inconsiderate	ke kuhihewa	0.224	0.519	0.423
inconsistency	ke kuʻuna	0.125	0.480	0.314
inconsistent	kū'ēʻole	0.271	0.431	0.295
inconspicuous	ke kuhihewa	0.604	0.214	0.368
incontinence	halaʻole	0.150	0.598	0.272
inconvenience	pilikia	0.063	0.667	0.291
inconvenient	pilikiaʻole	0.224	0.610	0.375
incorporate	hoʻokomo	0.745	0.612	0.571
incorporation	hoʻohuihui	0.573	0.404	0.768
incorrect	hewaʻole	0.140	0.569	0.255
incorrigible	hanaʻoleʻia	0.130	0.667	0.500
increase	piʻi	0.810	0.657	0.886
increased	ua hoʻonuiʻia	0.684	0.660	0.773
incredible	mahalo	0.857	0.796	0.902
incredulous	hōʻole	0.286	0.510	0.269
increment	hoʻonui	0.684	0.637	0.750
incriminate	hōʻehaʻeha	0.188	0.810	0.416
incriminating	hoʻopiʻi	0.133	0.788	0.500
incrimination	hoʻoweliweli	0.152	0.865	0.545
incubation	incubation	0.461	0.490	0.397
incubator	incubator	0.510	0.435	0.405
incubus	incubus	0.458	0.529	0.482
incumbent	ka mea hoʻokūpaʻa	0.396	0.540	0.565
incur	nā	0.312	0.667	0.495
incurable	he meaʻaiʻole	0.104	0.667	0.255
incursion	pākuʻi	0.552	0.830	0.719
indebted	e uku	0.138	0.698	0.275
indecency	'ākau	0.135	0.670	0.491
indecent	'ākau	0.083	0.683	0.240
indecision	ka hoʻomaopopo	0.184	0.480	0.196
indecisive	naʻaupō	0.271	0.420	0.190
indefensible	halaʻole	0.173	0.647	0.484
indefinite	ka mea maʻamau	0.448	0.292	0.296
indelible	hikiʻole ke wehe	0.490	0.337	0.591
indemnification	hoʻolimalima	0.521	0.490	0.770
indemnify	e hoʻolimalima	0.449	0.548	0.613
indemnity	ka hoʻolimalima	0.470	0.607	0.692
indent	ʻokoʻa	0.479	0.346	0.379
indentation	hoʻopiʻi	0.374	0.500	0.349
indenture	kūlana	0.434	0.382	0.636
independence	ke kūʻokoʻa	0.896	0.663	0.911
independent	kūʻokoʻa	0.885	0.440	0.872
indescribable	hikiʻole ke helu	0.448	0.529	0.648
indestructible	hanaʻole	0.772	0.731	0.853
indeterminate	kūpono	0.360	0.402	0.322
index	papa kuhikuhi	0.448	0.268	0.342
indicate	hōʻike	0.594	0.350	0.676
indicating	hōʻike	0.745	0.339	0.555
indication	hōʻike	0.719	0.432	0.750
indicative	hōʻike	0.510	0.510	0.591
indicator	kuhikuhi	0.573	0.451	0.670
indice	NO TRANSLATION	0.469	0.377	0.541
indict	'ōlelo hoʻohewa	0.188	0.731	0.458
indictment	palapala hō'āhewa	0.245	0.745	0.577
indie	manaʻo	0.479	0.368	0.430
indifference	ʻikeʻole	0.265	0.417	0.299
indifferent	ʻano pilikia	0.396	0.157	0.250
indigenous	'ōiwi	0.500	0.509	0.552
indigent	nāwaliwali	0.156	0.481	0.223
indigestion	ka momona	0.204	0.610	0.182
indignant	huhū	0.260	0.600	0.423
indignation	huhū	0.173	0.778	0.431
indignity	hōʻino	0.167	0.500	0.306
indigo	haʻahaʻa	0.514	0.365	0.473
indirect	kūʻokoʻa	0.385	0.402	0.330
indiscreet	naʻaupō	0.177	0.587	0.342
indiscretion	ʻikeʻole	0.265	0.637	0.390
indispensable	he mea nui loa	0.710	0.449	0.802
indisposed	ke kuʻi	0.122	0.519	0.206
indistinct	ʻokoʻa	0.255	0.340	0.360
indistinguishable	keʻanoʻole	0.346	0.458	0.548
individual	kēlā me kēia	0.627	0.327	0.533
individuality	ke kanaka	0.612	0.469	0.527
indivisible	ʻikeʻole	0.646	0.398	0.580
indoctrination	'ōlelo kumuhana	0.327	0.657	0.698
indolent	ka pupule	0.177	0.381	0.259
indomitable	indomitable	0.458	0.800	0.830
indoor	hale	0.615	0.245	0.347
induce	hoʻopiʻi	0.257	0.606	0.684
induced	hoʻokomo	0.397	0.471	0.491
inducement	hoʻopunipuni	0.647	0.765	0.685
induction	induction	0.392	0.593	0.627
indulge	e kau	0.833	0.716	0.669
indulgence	hoʻopiʻi	0.479	0.490	0.517
indulgent	hoʻopono	0.560	0.481	0.529
industrial	paʻahana	0.469	0.600	0.875
industrialist	kanakaʻoihana	0.562	0.633	0.843
industrious	hana	0.720	0.537	0.791
industry	ʻoihana	0.650	0.447	0.836
ineffable	ineffable	0.551	0.577	0.585
ineffective	maikaʻiʻole	0.093	0.422	0.094
ineffectual	kūʻole	0.163	0.412	0.200
inefficiency	ʻikeʻole	0.092	0.466	0.181
inefficient	maikaʻiʻole	0.190	0.460	0.173
inelastic	inelaly	0.396	0.426	0.385
ineligible	kūponoʻole	0.143	0.377	0.457
inept	ʻaʻohe	0.156	0.418	0.209
ineptitude	ʻikeʻole	0.177	0.471	0.250
inequality	likeʻole	0.122	0.575	0.259
inequitable	kūlikeʻole	0.281	0.519	0.373
inert	inert	0.323	0.180	0.319
inertia	aiʻole	0.344	0.288	0.322
inevitable	ʻaʻohe mea hikiʻole	0.316	0.419	0.623
inexact	ʻaʻole kūpono	0.153	0.459	0.170
inexcusable	ʻaʻohe mea kūpono	0.271	0.582	0.546
inexhaustible	pauʻole	0.602	0.541	0.643
inexpensive	ʻaʻole kūʻai	0.694	0.414	0.260
inexperience	ʻikeʻole	0.208	0.614	0.151
inexperienced	ʻikeʻole	0.281	0.473	0.231
inexplicable	ʻaʻohe mea maʻalahi	0.224	0.635	0.443
inexpressible	ʻikeʻole	0.198	0.608	0.364
infallibility	ke kūponoʻole	0.583	0.663	0.764
infallible	kūponoʻole	0.776	0.687	0.809
infamous	nuiʻole	0.146	0.580	0.472
infamy	nā mea hilahilaʻole	0.177	0.676	0.421
infancy	'ōpiopio	0.750	0.399	0.370
infant	keikiʻuʻuku	0.802	0.431	0.328
infanticide	ke kuʻihewaʻole	0.167	0.856	0.443
infantile	keiki hānai	0.604	0.382	0.259
infantry	ka hōʻailona	0.531	0.684	0.791
infarct	pākuʻi	0.080	0.846	0.386
infatuated	makemake nui	0.729	0.764	0.417
infatuation	alohaʻole	0.844	0.745	0.530
infeasible	hikiʻole ke hoʻololi	0.245	0.472	0.236
infect	hoʻopau	0.102	0.777	0.424
infection	maʻi	0.083	0.735	0.407
infectious	Pāhili	0.142	0.760	0.422
infer	hōʻeuʻeu	0.449	0.490	0.453
inference	inference	0.359	0.479	0.398
inferential	hoʻopunipuni	0.426	0.451	0.455
inferior	ua emi iho	0.260	0.254	0.106
inferiority	nā meaʻuʻuku	0.177	0.430	0.205
infernal	infernal	0.083	0.837	0.571
inferno	pilikia	0.051	0.857	0.463
infertile	keiki hānai	0.274	0.458	0.255
infertility	kaʻikeʻole	0.170	0.664	0.328
infestation	ʻike hōʻailona	0.256	0.776	0.527
infidel	ka mea hoʻomaloka	0.177	0.740	0.404
infidelity	hōʻole	0.062	0.777	0.392
infield	ke kīkoʻo	0.510	0.571	0.438
infiltrate	e hoʻokomo	0.408	0.745	0.587
infiltration	ka infiltration	0.265	0.792	0.536
infinite	palena palena	0.724	0.583	0.735
infinitely	i ka hopena	0.688	0.643	0.829
infinitesimal	infinitesimal	0.388	0.472	0.496
infinity	pauʻole	0.516	0.459	0.805
infirm	nā maʻi	0.115	0.521	0.210
infirmary	maʻi maʻi	0.500	0.438	0.517
infirmity	maʻi	0.094	0.482	0.252
inflammation	ka wela	0.146	0.765	0.423
inflammatory	ke kīwī	0.177	0.642	0.404
inflatable	ka paila	0.510	0.510	0.400
inflate	hōʻaho	0.305	0.569	0.462
inflated	hoʻonuiʻia	0.303	0.431	0.617
inflation	ka hoʻonui	0.219	0.792	0.508
inflection	ke koho	0.385	0.635	0.377
inflict	hoʻokomo	0.167	0.760	0.609
infliction	ka hōʻeha	0.302	0.722	0.571
inflorescence	ʻikeʻole	0.459	0.344	0.412
influence	hoʻohuli manaʻo	0.622	0.663	0.824
influential	ka mana	0.899	0.688	0.944
influenza	ka pīhoihoi	0.271	0.718	0.321
influx	ka hoʻonui	0.622	0.635	0.575
info	ʻike	0.750	0.330	0.642
infomercial	ka meaʻike	0.427	0.462	0.555
inform	haʻi	0.723	0.582	0.679
informal	ʻikeʻole	0.480	0.398	0.441
informant	ka meaʻike	0.604	0.612	0.719
information	ʻike	0.765	0.370	0.711
informative	ʻike	0.812	0.419	0.741
informed	ʻike	0.543	0.298	0.617
informer	ka mea hoʻolaha	0.521	0.578	0.580
infraction	hewa	0.245	0.660	0.471
infrared	infrared	0.469	0.588	0.526
infrastructure	nā hoʻolālā	0.604	0.460	0.694
infrequent	ʻikeʻole	0.312	0.377	0.192
infrequently	ʻikeʻole	0.204	0.250	0.327
infringement	hewa	0.153	0.800	0.481
infuriate	hoʻopiʻi	0.102	0.934	0.596
infuriated	hoʻonāukiuki	0.073	0.930	0.510
infuriates	hauʻoli	0.135	0.913	0.627
infuriating	nā mea hoʻonāukiuki	0.139	0.870	0.509
infuse	hoʻopau	0.380	0.705	0.589
infused	hoʻokomo	0.385	0.473	0.546
infuser	pilikia	0.469	0.433	0.536
infusion	ka hoʻopiha	0.583	0.365	0.453
ingenious	nā mea akamai	0.760	0.690	0.891
ingenuity	ʻike	0.708	0.590	0.868
ingest	hoʻopiʻi	0.510	0.559	0.473
ingestion	hoʻohana 'ia	0.429	0.612	0.512
ingot	ʻoki	0.688	0.444	0.615
ingrained	hoʻopiliʻia	0.531	0.490	0.712
ingrate	ke kuhi	0.235	0.606	0.327
ingredient	mea hoʻohana	0.792	0.373	0.451
ingress	hana	0.601	0.366	0.736
inhabit	noho	0.656	0.378	0.556
inhabitant	noho	0.604	0.356	0.519
inhabited	nohoʻia	0.667	0.361	0.510
inhabiting	e noho ana	0.458	0.440	0.598
inhalation	ka hoʻomahaʻana	0.510	0.613	0.464
inhale	inhale	0.427	0.340	0.492
inhaler	ka mea hoʻolimalima	0.408	0.500	0.349
inherent	hoʻopunipuni	0.562	0.439	0.480
inherit	e noho	0.745	0.546	0.694
inheritance	hoʻoilina	0.900	0.565	0.798
inhibit	hoʻopunipuni	0.167	0.479	0.447
inhibition	hana pāʻani	0.265	0.392	0.534
inhibitor	inhibitor	0.281	0.450	0.471
inhospitable	me ka maikaʻiʻole	0.265	0.531	0.395
inhuman	hōʻino	0.107	0.660	0.492
inhumane	ino	0.104	0.587	0.402
inhumanity	hōʻino	0.143	0.540	0.405
inimaginable	NO TRANSLATION	0.542	0.636	0.534
inimical	inimical	0.260	0.823	0.556
inimitable	inimitable	0.571	0.413	0.790
iniquity	hewa	0.219	0.567	0.425
initial	mua	0.583	0.314	0.539
initiate	hoʻomaka	0.719	0.480	0.553
initiated	hoʻomaka	0.760	0.490	0.650
initiation	hoʻomaka	0.698	0.529	0.527
initiative	manaʻo	0.833	0.615	0.768
inject	komo	0.406	0.735	0.596
injection	injection	0.281	0.741	0.518
injunction	hoʻonāukiuki	0.281	0.422	0.519
injure	ʻeha	0.177	0.710	0.364
injured	iʻeha	0.083	0.680	0.302
injuring	eha	0.073	0.790	0.245
injurious	ino	0.177	0.759	0.366
injury	eha	0.049	0.769	0.287
injustice	hewa	0.082	0.755	0.444
ink	ink	0.471	0.408	0.235
inkling	inkling	0.448	0.551	0.570
inland	i uka	0.510	0.417	0.423
inlay	hoʻopiʻi	0.406	0.531	0.565
inlet	komo	0.646	0.378	0.466
inmate	ka mea make	0.235	0.663	0.398
inn	hale hōʻailona	0.660	0.284	0.475
innards	innards	0.302	0.480	0.400
innate	hoʻopiʻi	0.490	0.400	0.521
inner	i loko	0.551	0.216	0.443
innermost	i loko	0.583	0.500	0.510
innerpeace	NO TRANSLATION	0.714	0.318	0.551
inning	i loko	0.602	0.315	0.520
innings	innings	0.573	0.487	0.443
innkeeper	ka mea mālama hale	0.578	0.224	0.472
innocence	halaʻole	0.802	0.260	0.307
innocent	halaʻole	0.729	0.206	0.340
innocently	halaʻole	0.776	0.250	0.302
innocuous	hewaʻole	0.510	0.321	0.172
innovate	hewa	0.898	0.872	0.750
innovation	ka hana hou	0.949	0.680	0.890
innovative	mea hou	0.880	0.640	0.830
innuendo	innuendo	0.467	0.670	0.463
innumerable	hikiʻole ke heluʻia	0.667	0.445	0.704
inoculation	paʻa	0.333	0.570	0.598
inoperable	hikiʻole ke hiki	0.184	0.422	0.304
inoperative	me ka manaʻole	0.138	0.425	0.273
inordinate	Hoʻokiʻekiʻe	0.163	0.630	0.330
inorganic	maikaʻiʻole	0.385	0.345	0.282
input	komo	0.643	0.337	0.527
inquest	ʻike nīnau	0.458	0.569	0.721
inquire	e nīnau	0.583	0.519	0.363
inquirer	nīnau	0.573	0.598	0.776
inquiring	ʻike	0.479	0.510	0.500
inquiry	nīnau	0.541	0.420	0.536
inquisitive	ʻike	0.301	0.637	0.615
inquisitor	ka mea noiʻi	0.385	0.873	0.642
insane	pupule	0.062	0.670	0.265
insanity	naʻaupō	0.098	0.847	0.337
insatiable	ʻoluʻolu	0.375	0.656	0.558
inscription	kiʻi	0.592	0.422	0.542
inscrutable	hiki ke helu	0.459	0.541	0.613
insect	'ōpū	0.276	0.633	0.242
insecticide	ka lāʻau hoʻoponopono	0.188	0.598	0.430
insecure	pilikia	0.114	0.538	0.132
insecurity	pilikia	0.094	0.647	0.350
insemination	ka hoʻopiliʻana	0.542	0.644	0.622
insensitive	naʻaupō	0.219	0.471	0.302
inseparable	hiki ke hoʻokaʻawaleʻia	0.700	0.520	0.571
insert	e hoʻokomo	0.481	0.552	0.519
inserted	hoʻokomoʻia	0.479	0.402	0.476
insertion	hoʻohui	0.521	0.520	0.565
inside	i loko	0.612	0.404	0.472
insider	ole	0.625	0.562	0.750
insidious	ʻoʻoleʻa	0.146	0.622	0.480
insight	ʻike	0.613	0.363	0.649
insightful	ʻike	0.664	0.691	0.713
insignia	pinepine	0.665	0.282	0.685
insignificance	nā meaʻuʻuku	0.250	0.216	0.222
insignificant	nā meaʻuʻuku	0.083	0.306	0.114
insinuate	hoʻokomo	0.292	0.635	0.413
insipid	ole	0.214	0.250	0.241
insist	e kuʻi	0.635	0.651	0.688
insistence	ke kuʻi	0.418	0.704	0.645
insistent	ke kuʻi	0.552	0.635	0.701
insists	hoʻokūpaʻa	0.490	0.587	0.610
insolence	haunaele	0.115	0.731	0.402
insolent	haʻalulu	0.112	0.663	0.343
insoluble	hikiʻole ke hoʻololi	0.439	0.290	0.414
insolvency	hōʻano	0.323	0.431	0.300
insolvent	kūponoʻole	0.230	0.481	0.318
insomnia	maʻi	0.198	0.611	0.373
insomniac	anuanu	0.231	0.367	0.329
inspect	nānā	0.479	0.603	0.793
inspection	nānā	0.459	0.630	0.718
inspector	Luna Nana	0.418	0.580	0.852
inspiration	hōʻailona	0.938	0.600	0.779
inspirational	nā mea hoʻonāukiuki	0.927	0.720	0.810
inspire	hilahila	0.918	0.627	0.759
inspired	hōʻeuʻeu	0.967	0.702	0.736
instability	ka pilikia	0.177	0.760	0.353
install	e hoʻohui	0.630	0.583	0.736
installation	hoʻonohonoho	0.656	0.469	0.759
installment	hoʻohui'āina	0.619	0.396	0.483
instance	i kekahi manawa	0.547	0.450	0.558
instant	manawa koke	0.766	0.454	0.554
instantaneous	wikiwiki	0.750	0.500	0.585
instantaneously	i ka manawa koke	0.656	0.640	0.600
instigate	ho'āla	0.278	0.765	0.642
instigation	ke aʻo	0.323	0.769	0.648
instill	ke kumu	0.562	0.490	0.618
instinct	ʻike	0.771	0.602	0.642
instinctive	ke kikowaena	0.752	0.575	0.694
institute	ke keʻena	0.604	0.480	0.807
institution	kula	0.580	0.311	0.790
instruct	aʻo	0.729	0.490	0.833
instructed	aʻo	0.740	0.388	0.722
instruction	aʻo	0.656	0.434	0.736
instructional	ke aʻo	0.698	0.500	0.773
instructions	nā kuhikuhi	0.582	0.302	0.556
instructive	aʻo	0.583	0.420	0.643
instructor	kumu aʻo	0.771	0.490	0.782
instrument	mea kani	0.562	0.537	0.655
instrumental	instrumental	0.740	0.472	0.647
instrumentalist	instrumentalist	0.656	0.540	0.740
instrumentality	mea hana	0.637	0.510	0.618
insubordination	ka hōʻeuʻeu	0.281	0.775	0.634
insufferable	ʻaʻole lawa	0.220	0.784	0.291
insufficiency	lawaʻole	0.115	0.431	0.210
insufficient	lawaʻole	0.188	0.380	0.093
insufficiently	lawaʻole	0.147	0.509	0.198
insular	ke komo pū	0.531	0.426	0.465
insulate	hoʻohui	0.365	0.358	0.286
insulated	ua hoʻohuiʻia	0.208	0.265	0.304
insulation	ke uhiʻana	0.245	0.327	0.264
insulin	insulin	0.429	0.472	0.375
insult	hōʻino	0.085	0.831	0.389
insulting	hōʻino	0.094	0.840	0.412
insurance	'inikua	0.714	0.308	0.825
insure	ke ola	0.700	0.415	0.698
insurgent	ke kuʻi	0.235	0.735	0.660
insurmountable	ʻaʻole hiki ke hoʻokau	0.620	0.627	0.737
insurrection	nā kipi	0.229	0.706	0.582
intact	paʻa	0.716	0.212	0.602
intake	lilo	0.604	0.527	0.442
intangible	kinoʻole	0.525	0.480	0.473
integer	helu pūʻokoʻa	0.573	0.327	0.595
integral	hoʻohui	0.590	0.337	0.615
integrate	hoʻohui	0.729	0.390	0.700
integration	hoʻohui	0.771	0.480	0.737
integrity	pololei	0.865	0.413	0.848
intellect	ʻike	0.844	0.418	0.870
intellectual	ʻike	0.906	0.455	0.845
intelligence	ʻike	0.833	0.587	0.885
intelligent	akamai	0.917	0.541	0.868
intelligibility	ʻike	0.740	0.481	0.689
intelligible	manaʻo	0.635	0.480	0.691
intend	makemake	0.562	0.520	0.519
intended	makemake	0.406	0.542	0.587
intending	makemake	0.510	0.567	0.597
intense	ikaika	0.592	0.774	0.679
intensely	nui	0.694	0.846	0.750
intensify	e hoʻoikaika	0.604	0.870	0.737
intensity	ka ikaika	0.622	0.930	0.952
intensive	ikaika	0.570	0.842	0.776
intent	manaʻo	0.550	0.481	0.500
intention	manaʻo	0.531	0.480	0.636
intentional	makemake	0.650	0.615	0.750
intentionally	me ka manaʻo	0.450	0.676	0.696
inter	i waena	0.510	0.375	0.466
interact	pili pū	0.822	0.690	0.759
interaction	hana hulina	0.646	0.735	0.750
interactive	kikohokū	0.727	0.811	0.770
intercede	ke noi	0.582	0.577	0.630
intercept	ʻaeʻia	0.221	0.660	0.676
interception	ka uluʻana	0.327	0.673	0.643
intercession	hoʻopiʻi	0.503	0.486	0.598
interchange	ke kūkā	0.615	0.527	0.565
interchangeable	ke hoʻololi	0.615	0.459	0.526
interchanged	hoʻololi	0.396	0.472	0.434
intercom	kūkākūkā	0.623	0.429	0.453
intercourse	pili	0.551	0.608	0.557
