Word	Corsican-co	Valence	Arousal	Dominance
noir	noir	0.375	0.394	0.365
noise	u sonu	0.260	0.883	0.388
noisy	rughju	0.271	0.812	0.561
nomad	nomad	0.375	0.413	0.433
nomadic	nomadic	0.427	0.519	0.422
nomenclature	nomenclature	0.500	0.222	0.575
nominal	nominali	0.594	0.250	0.463
nominate	numinatu	0.615	0.471	0.669
nomination	nomina	0.663	0.637	0.696
nominee	nominee	0.662	0.625	0.765
nonce	nonce	0.422	0.370	0.377
nonchalant	non chalant	0.312	0.314	0.366
noncompliance	micca cunformità	0.112	0.598	0.259
nondescript	nondescript	0.490	0.434	0.348
nonexistent	esisteva	0.208	0.429	0.149
nonfat	nonfat	0.604	0.260	0.340
nonfiction	nonfiction	0.426	0.315	0.431
nonpayment	non pagamentu	0.229	0.510	0.298
nonresident	nonresident	0.250	0.340	0.302
nonsense	nenti	0.214	0.531	0.155
nonsensical	dispensa	0.173	0.268	0.193
nonviolent	violevule	0.640	0.287	0.346
noob	noob	0.417	0.430	0.267
noodle	noodle	0.633	0.216	0.225
nook	nook	0.480	0.321	0.296
noon	meziornu	0.531	0.343	0.518
noose	noose	0.356	0.300	0.330
nopoint	nopoint	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	norma	0.500	0.245	0.527
normal	nurmale	0.740	0.127	0.380
normalcy	a normalizazione	0.805	0.151	0.620
normality	a normalità	0.781	0.089	0.444
north	nordu	0.531	0.255	0.450
northbound	nordu	0.604	0.454	0.491
northeast	nordeste	0.562	0.260	0.375
northern	sittintriunali	0.570	0.340	0.472
northwest	nordestu	0.604	0.345	0.451
northwestern	nordestu	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	nasu	0.582	0.270	0.245
nosebleed	nosebleed	0.153	0.776	0.361
nosey	nosy	0.276	0.655	0.223
nosnow	nosnow	0.392	0.394	0.366
nostalgia	nostalgia	0.417	0.337	0.339
nostalgic	nostalgicu	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	Nostril	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	nosy	0.292	0.558	0.433
not negative	micca negativu	0.622	0.270	0.444
not positive	micca pusitivu	0.051	0.370	0.236
notable	notava	0.760	0.450	0.696
notables	notables	0.594	0.608	0.755
notably	particulari	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	nutarili	0.541	0.451	0.676
notation	a notazione	0.635	0.380	0.558
notch	nummù	0.459	0.361	0.358
notched	notched	0.480	0.530	0.356
note	nota	0.594	0.163	0.416
notebook	libru	0.449	0.167	0.442
noted	nutatu	0.615	0.382	0.464
noteworthy	notevuli	0.704	0.481	0.759
nothappy	NO TRANSLATION	0.112	0.320	0.170
nothingbetter	NO TRANSLATION	0.635	0.390	0.543
nothingness	nunda	0.204	0.080	0.161
notice	nutà	0.646	0.408	0.491
noticeable	sognu	0.890	0.562	0.750
notification	notificazione	0.604	0.461	0.671
notify	annunziate	0.643	0.471	0.573
notion	nuzione	0.612	0.284	0.667
notional	sensu naziunale	0.520	0.288	0.500
notoriety	notoriety	0.552	0.633	0.769
notorious	notori	0.366	0.582	0.609
notready	Ùn hai micca	0.133	0.400	0.196
notwithstanding	impedite	0.367	0.316	0.433
nought	nove	0.312	0.098	0.116
noun	nomu	0.531	0.230	0.477
nourish	nutrisciarli	0.878	0.460	0.639
nourishment	nutrimentu	0.786	0.290	0.631
nouveau	NO TRANSLATION	0.633	0.438	0.432
novel	rumanzu	0.702	0.352	0.439
novelist	rumanzu	0.340	0.343	0.529
novelty	novità	0.673	0.521	0.740
novice	novu	0.429	0.346	0.180
nowadays	oghje	0.680	0.346	0.400
nowork	nowork	0.312	0.264	0.309
noworries	micca penseri	0.630	0.402	0.500
noxious	noxious	0.177	0.585	0.379
nozzle	fossa	0.438	0.330	0.287
nuance	nuance	0.408	0.282	0.411
nuances	nuances	0.490	0.375	0.527
nuclear	nucleari	0.219	0.856	0.781
nucleus	nucleu	0.529	0.296	0.667
nude	nude	0.490	0.915	0.200
nudge	nudge	0.448	0.500	0.509
nudie	nudie	0.500	0.529	0.373
nudist	nudista	0.440	0.796	0.483
nudity	nudity	0.438	0.853	0.415
nugget	pepite	0.602	0.340	0.348
nuisance	annurbà	0.198	0.817	0.227
nuke	nuke	0.125	0.905	0.873
nul	NO TRANSLATION	0.337	0.358	0.264
null	null	0.253	0.147	0.152
nullify	anulanu	0.255	0.373	0.395
numb	numb	0.108	0.420	0.352
number	numaru	0.406	0.231	0.471
numbering	numerazione	0.510	0.363	0.482
numbers	numeri	0.406	0.241	0.440
numbness	numbness	0.306	0.398	0.265
numbskull	numbskull	0.300	0.472	0.284
numeral	numeral	0.582	0.254	0.382
numerator	numerator	0.490	0.317	0.526
numerical	numerica	0.479	0.322	0.517
numerically	numéricamente	0.510	0.337	0.500
numerous	numerosi	0.622	0.462	0.609
nun	NO TRANSLATION	0.500	0.150	0.406
nunchucks	nunchucks	0.337	0.580	0.526
nunnery	cunfine	0.653	0.236	0.473
nuptials	nupizzi	0.771	0.588	0.571
nurse	infermiera	0.635	0.578	0.521
nursemaid	nursemaid	0.615	0.431	0.436
nursery	nursery	0.894	0.406	0.389
nursing	alloghju	0.552	0.549	0.653
nurture	cultivà	0.745	0.378	0.657
nut	nut	0.365	0.310	0.250
nutcase	nutcase	0.286	0.775	0.259
nutcracker	nutcracker	0.635	0.378	0.522
nuthouse	nuthouse	0.347	0.519	0.434
nutmeg	noce moscata	0.635	0.302	0.350
nutrition	nutrimentu	0.885	0.420	0.579
nutritional	nutrimentali	0.812	0.406	0.676
nutritious	nutritiva	0.833	0.337	0.655
nutritive	nutritiva	0.875	0.422	0.667
nuts	nuts	0.594	0.250	0.291
nutshell	nanna	0.458	0.407	0.310
nutty	nutty	0.444	0.317	0.271
nylon	nylon	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	nylons	0.556	0.379	0.320
nymph	ninfa	0.542	0.529	0.472
nymphomaniac	ninfomani	0.398	0.894	0.536
oaf	oaf	0.344	0.357	0.330
oak	quarciu	0.583	0.245	0.536
oar	remu	0.469	0.392	0.316
oasis	oasi	0.796	0.283	0.429
oat	avena	0.622	0.170	0.298
oath	ghjurà	0.543	0.615	0.824
oatmeal	avena	0.592	0.192	0.241
obedience	ubbidenza	0.765	0.287	0.536
obedient	ubbidienti	0.800	0.179	0.518
obediently	ubbidienti	0.802	0.304	0.577
obelisk	obélisque	0.604	0.408	0.596
obese	obèse	0.133	0.427	0.250
obesity	obesità	0.215	0.370	0.328
obey	ubbidì	0.677	0.433	0.533
obi	obi	0.469	0.442	0.414
obit	obit	0.410	0.464	0.393
obituary	obituary	0.188	0.330	0.423
object	oggettu	0.531	0.356	0.375
objection	oppunimentu	0.347	0.592	0.709
objectionable	ubbiiscenu	0.459	0.382	0.558
objective	ubbittivu	0.724	0.337	0.736
objectivity	n'uggività	0.765	0.431	0.711
obligation	obbligazione	0.222	0.596	0.718
obligatory	ubblicatoria	0.337	0.571	0.780
oblige	oblige	0.281	0.770	0.614
obliged	ubbligatu	0.327	0.680	0.411
obliging	impegnu	0.740	0.402	0.545
obligor	u bisognu	0.302	0.600	0.360
oblique	oblicu	0.438	0.347	0.455
obliterate	obliterate	0.250	0.539	0.569
obliterated	obliterate	0.240	0.469	0.344
obliteration	obliterazione	0.177	0.622	0.397
oblivion	daveru	0.153	0.330	0.282
oblivious	svinutu	0.229	0.388	0.355
oblong	oblung	0.561	0.455	0.370
obnoxious	odiu	0.088	0.602	0.256
oboe	oboe	0.510	0.340	0.392
obscene	obscene	0.050	0.745	0.348
obscenity	obscenità	0.083	0.843	0.418
obscure	oscure	0.370	0.551	0.278
obscured	obscured	0.115	0.356	0.298
obscurity	oscurità	0.208	0.392	0.380
observance	rispettu	0.531	0.315	0.632
observant	osservatore	0.740	0.422	0.708
observation	assienti	0.633	0.433	0.667
observatory	osservatoriu	0.643	0.324	0.731
observe	osservà	0.771	0.390	0.360
observer	usservatori	0.663	0.363	0.603
observing	osservà	0.583	0.400	0.685
obsess	obsess	0.112	0.846	0.509
obsessed	obsessed	0.219	0.840	0.439
obsessing	obsessing	0.173	0.773	0.698
obsession	obsessione	0.229	0.847	0.571
obsessive	obsessive	0.219	0.823	0.480
obsolescence	obsolescenza	0.250	0.431	0.377
obsolete	obsolet	0.337	0.321	0.250
obstacle	obstacle	0.204	0.708	0.336
obstetrician	obstettrista	0.521	0.636	0.604
obstetrics	obstetrizia	0.530	0.582	0.564
obstinate	persistenti	0.146	0.696	0.562
obstruct	obstrucir	0.115	0.660	0.458
obstruction	obstruczione	0.125	0.742	0.491
obstructive	ostruttiva	0.204	0.650	0.613
obtain	uttene	0.760	0.438	0.731
obtainable	eseguitu	0.677	0.327	0.702
obtuse	ottusu	0.281	0.460	0.345
obverse	annosu	0.470	0.394	0.464
obvious	evidenti	0.625	0.336	0.585
ocarina	ocarina	0.541	0.392	0.366
occasion	occasion	0.700	0.451	0.398
occasional	occasione	0.490	0.298	0.387
occasionally	certi volte	0.538	0.240	0.264
occipital	occipital	0.398	0.408	0.518
occlusion	oclusioni	0.306	0.439	0.442
occult	occulto	0.292	0.382	0.406
occupancy	occupazione	0.625	0.471	0.721
occupant	occupante	0.500	0.417	0.483
occupation	occupazione	0.562	0.470	0.692
occupational	occupational	0.583	0.469	0.596
occupied	occupatu	0.337	0.546	0.441
occupier	occupier	0.427	0.438	0.600
occupy	occupanu	0.396	0.520	0.589
occupying	occupanu	0.573	0.462	0.519
occur	accade	0.451	0.561	0.510
occurrence	avvenimentu	0.573	0.690	0.541
ocd	ocd	0.333	0.472	0.370
ocean	oceanu	0.823	0.308	0.642
oceanic	oceani	0.740	0.317	0.632
octagon	octagon	0.602	0.349	0.462
octave	octave	0.438	0.380	0.482
octopus	polpo	0.713	0.378	0.411
ocular	ocular	0.418	0.370	0.400
odd	curioso	0.265	0.337	0.302
oddball	oddball	0.316	0.360	0.357
oddity	oddity	0.312	0.557	0.386
odds	odds	0.500	0.472	0.680
ode	ode	0.604	0.269	0.519
odious	odiosu	0.235	0.708	0.235
odometer	odòmetro	0.367	0.470	0.388
odor	odore	0.337	0.363	0.404
odyssey	odisea	0.622	0.692	0.710
oedipal	'eddimanu	0.312	0.575	0.509
oestrogen	estrogenu	0.521	0.608	0.561
oeuvre	NO TRANSLATION	0.653	0.484	0.598
offal	fratellu	0.302	0.470	0.302
offence	offisa	0.312	0.798	0.446
offend	offend	0.094	0.804	0.333
offended	offisu	0.188	0.690	0.337
offender	culpèvule	0.104	0.851	0.537
offense	offisa	0.230	0.765	0.510
offensive	offensiva	0.135	0.882	0.600
offer	offerta	0.750	0.745	0.596
offered	offra	0.582	0.490	0.544
offering	offre	0.688	0.462	0.585
offhand	offhand	0.388	0.500	0.368
office	ufficio	0.427	0.302	0.509
officer	ufficiale	0.542	0.430	0.877
offices	uffizii	0.469	0.312	0.534
official	ufficiale	0.646	0.565	0.833
officiate	ufficiale	0.688	0.453	0.704
offing	offing	0.490	0.412	0.447
offload	offload	0.479	0.444	0.525
offset	offset	0.719	0.394	0.704
offshoot	offshoot	0.517	0.330	0.361
offshore	offshore	0.417	0.484	0.441
offside	fora fora	0.323	0.519	0.443
offspring	prupietà	0.656	0.435	0.600
oft	oft	0.500	0.308	0.474
oftentimes	tempus	0.571	0.500	0.482
ogre	ogre	0.135	0.698	0.510
ohdear	NO TRANSLATION	0.458	0.519	0.442
ohgod	NO TRANSLATION	0.500	0.557	0.439
ohno	ohno	0.396	0.475	0.380
ohshit	NO TRANSLATION	0.230	0.594	0.343
oil	oliu	0.521	0.278	0.306
oils	olii	0.459	0.229	0.391
oily	oliu	0.276	0.533	0.385
oink	oink	0.500	0.450	0.289
ointment	pompi	0.438	0.271	0.398
okra	okra	0.469	0.400	0.362
old	vechja	0.410	0.279	0.315
olden	anzianu	0.284	0.213	0.425
older	più vechja	0.385	0.255	0.317
oldie	oldie	0.363	0.363	0.342
oldies	oldies	0.438	0.300	0.412
olfactory	olfattura	0.602	0.409	0.452
oligarchy	oligarchia	0.327	0.567	0.741
olive	oliva	0.571	0.231	0.406
omega	omega	0.529	0.337	0.526
omelet	frittata	0.708	0.323	0.315
omen	omen	0.390	0.657	0.583
omgomgomg	NO TRANSLATION	0.490	0.551	0.358
ominous	ominous	0.255	0.730	0.510
omission	omission	0.367	0.333	0.275
omit	omit	0.330	0.265	0.451
omitted	omessi	0.260	0.235	0.211
omnibus	omnibus	0.490	0.410	0.473
omnipotence	omnipotenza	0.667	0.793	0.866
omnipotent	omnipotenti	0.719	0.679	0.919
omnipresent	omnipresente	0.688	0.452	0.825
omniscient	omniscient	0.656	0.334	0.778
onboard	à bordu	0.612	0.451	0.491
oncologist	oncologu	0.260	0.654	0.640
oncology	l 'oncologia	0.204	0.424	0.500
oncoming	avanti	0.594	0.625	0.773
one	unu	0.542	0.292	0.370
oneday	un ghjornu	0.667	0.245	0.374
onedge	onedge	0.479	0.552	0.400
onelove	unicu amore	0.816	0.577	0.541
oneness	unità	0.745	0.272	0.720
onerous	oneruous	0.500	0.480	0.462
oneself	un sè stessu	0.660	0.337	0.483
ongoing	in corsu	0.674	0.484	0.556
onion	cipolla	0.378	0.367	0.382
onset	iniziu	0.673	0.497	0.500
onslaught	l 'attacche	0.198	0.939	0.717
onstage	onstage	0.719	0.673	0.583
ontology	ontulugia	0.510	0.450	0.518
onus	in manu	0.562	0.520	0.769
onward	in fronte	0.667	0.538	0.741
onyx	bianche	0.571	0.461	0.380
oodles	oodles	0.490	0.374	0.446
oomph	oomph	0.449	0.613	0.315
ooze	ooze	0.344	0.577	0.333
oozing	oziu	0.238	0.515	0.427
op	op	0.480	0.402	0.349
opacity	opacità	0.471	0.251	0.256
opal	opal	0.623	0.479	0.379
opaque	opaca	0.344	0.265	0.342
ope	ope	0.375	0.380	0.395
open	apertu	0.620	0.480	0.569
opener	opener	0.584	0.526	0.377
opening	apertura	0.667	0.510	0.620
openly	apertu	0.603	0.388	0.553
openness	apertura	0.837	0.561	0.667
opera	opera	0.714	0.500	0.483
operate	opera	0.582	0.690	0.691
operatic	operaticu	0.375	0.452	0.627
operation	funziunamentu	0.475	0.611	0.755
operational	funziunanti	0.562	0.570	0.679
operations	operazioni	0.480	0.549	0.798
operative	operativu	0.541	0.635	0.718
operator	operatore	0.612	0.630	0.726
ophthalmic	ophtalmale	0.427	0.385	0.444
ophthalmologist	ophtalmologu	0.552	0.389	0.491
opiate	opiate	0.281	0.594	0.598
opinion	opinione	0.594	0.482	0.638
opinionated	opinatu	0.156	0.800	0.491
opium	opium	0.276	0.490	0.333
opponent	avversu	0.080	0.741	0.716
opportune	impurtanti	0.796	0.538	0.767
opportunism	opportunismu	0.571	0.752	0.673
opportunity	oppurtunità	0.938	0.745	0.833
oppose	oppunia	0.431	0.800	0.473
opposed	opposta	0.092	0.460	0.606
opposing	opposta	0.188	0.660	0.518
opposite	oppostu	0.235	0.545	0.408
opposites	opposti	0.281	0.518	0.462
opposition	oppusizioni	0.135	0.729	0.592
oppress	oppressu	0.186	0.654	0.555
oppressed	oppressu	0.119	0.640	0.259
oppression	oppressione	0.080	0.673	0.615
oppressive	oppressivu	0.276	0.590	0.667
oppressor	oppressore	0.160	0.776	0.629
ops	ops	0.417	0.550	0.528
opt	sceglie	0.510	0.471	0.345
optic	otticu	0.663	0.384	0.594
optical	otticu	0.677	0.311	0.542
optics	ottica	0.562	0.286	0.580
optimism	ottimisimu	0.949	0.565	0.814
optimist	ottimista	0.875	0.539	0.787
optimistic	optimista	0.979	0.580	0.821
optimum	ottimo	0.892	0.469	0.808
option	opzione	0.512	0.427	0.359
optional	opcional	0.755	0.350	0.440
optionally	opcionalmente	0.365	0.405	0.481
options	opzioni	0.622	0.327	0.473
optometrist	Optometristu	0.446	0.455	0.668
opulence	opulence	0.620	0.615	0.648
opulent	opulent	0.562	0.660	0.660
opus	opus	0.458	0.368	0.391
oracle	oraculu	0.552	0.531	0.670
oral	orale	0.530	0.448	0.375
orange	aranciu	0.646	0.132	0.296
orange juice	suchju d'aranciu	0.719	0.343	0.445
orangutan	orangutan	0.430	0.560	0.471
oration	'oration	0.646	0.315	0.683
orator	oratori	0.667	0.375	0.682
oratory	oratoriu	0.602	0.472	0.693
orb	orb	0.463	0.370	0.444
orbit	urbitali	0.561	0.422	0.575
orbital	urbitali	0.458	0.451	0.559
orbiting	orbiting	0.520	0.643	0.554
orbs	orbs	0.469	0.355	0.482
orc	orc	0.240	0.510	0.388
orchard	arburetu	0.760	0.269	0.333
orchestra	orchestra	0.708	0.500	0.664
orchid	orchid	0.840	0.345	0.382
ordained	hà cunsacratu	0.735	0.409	0.731
ordeal	travaddu	0.344	0.539	0.529
order	ordine	0.780	0.295	0.814
orderly	urdinata	0.844	0.240	0.661
ordinance	ordinanza	0.615	0.452	0.776
ordinary	ordinariu	0.375	0.312	0.286
ordination	ordination	0.688	0.490	0.765
ordnance	articulu	0.354	0.825	0.679
ore	ore	0.500	0.333	0.356
oregano	oregano	0.596	0.327	0.250
organ	urganu	0.510	0.469	0.538
organic	biologica	0.719	0.343	0.535
organism	organismu	0.457	0.559	0.800
organist	urganista	0.740	0.469	0.669
organization	urganizazione	0.810	0.535	0.851
organize	urganizà	0.802	0.655	0.781
organized	organizzatu	0.816	0.337	0.746
organizer	organizatore	0.604	0.577	0.846
orgasm	orgasmo	0.844	0.863	0.676
orgies	orgie	0.388	0.953	0.433
orgy	orgia	0.346	0.962	0.536
orient	orienti	0.667	0.422	0.667
oriental	orientali	0.592	0.409	0.598
orientation	orientazione	0.667	0.454	0.686
orifice	orificatu	0.448	0.355	0.443
origami	origami	0.684	0.276	0.294
origin	urìggini	0.729	0.435	0.591
original	uriginali	0.765	0.480	0.746
originality	uriginale	0.898	0.500	0.824
originate	urigginari	0.702	0.500	0.866
origination	origine	0.760	0.443	0.604
originator	origine	0.592	0.510	0.868
ornament	ornament	0.561	0.373	0.441
ornamental	ornamentali	0.663	0.392	0.460
ornamentation	ornamentu	0.663	0.471	0.472
ornamented	ornamentatu	0.677	0.350	0.490
ornate	ornate	0.812	0.356	0.500
ornery	ornery	0.361	0.520	0.509
orphan	orfana	0.133	0.388	0.140
orphanage	orfanagiu	0.184	0.439	0.425
orphaned	orfana	0.062	0.430	0.228
orthodontist	ortodontista	0.469	0.615	0.564
orthodox	ortudossu	0.388	0.471	0.647
orthodoxy	ortudoxa	0.271	0.388	0.612
orthogonal	ortogonai	0.500	0.314	0.540
orthopedic	ortopedia	0.406	0.346	0.473
oscillate	oscillate	0.449	0.580	0.397
oscillating	oscillating	0.469	0.548	0.402
oscillation	oscillation	0.562	0.433	0.431
oscillatory	oscillatariu	0.375	0.520	0.480
ostensible	ostensibile	0.542	0.549	0.585
ostensibly	ostinativamente	0.473	0.529	0.509
ostentatious	ostentatissima	0.479	0.794	0.648
ostracized	ostracized	0.115	0.690	0.377
ostrich	ostrich	0.592	0.382	0.241
other	altru	0.472	0.230	0.259
otter	otter	0.439	0.216	0.339
otto	otto	0.427	0.425	0.404
ottoman	ottumanu	0.531	0.337	0.444
ought	deve esse	0.438	0.511	0.434
ounce	onza	0.531	0.255	0.288
oust	oust	0.296	0.716	0.444
outage	outage	0.306	0.684	0.438
outback	outback	0.500	0.324	0.430
outbid	outbid	0.594	0.622	0.540
outboard	outboard	0.448	0.491	0.456
outbreak	spargeru	0.260	0.632	0.472
outburst	scoppiu	0.209	0.802	0.528
outcast	pezzu	0.153	0.449	0.353
outcome	risultatu	0.615	0.472	0.685
outcry	critichi	0.271	0.773	0.718
outdated	anticu	0.167	0.236	0.226
outdo	outdo	0.771	0.750	0.873
outdoor	outdoor	0.814	0.256	0.447
outdoors	fora	0.781	0.444	0.453
outer	fora	0.552	0.471	0.456
outfit	vincite	0.760	0.490	0.566
outgoing	sali	0.650	0.472	0.538
outgrow	prossimu	0.510	0.529	0.722
outgrowth	sviluppau	0.771	0.620	0.688
outhouse	salottu	0.281	0.519	0.255
outing	sguardu	0.771	0.672	0.634
outlandish	straniera	0.448	0.737	0.657
outlast	outlast	0.620	0.786	0.685
outlaw	fora liggi	0.255	0.662	0.482
outlet	outlet	0.610	0.396	0.245
outline	contu	0.542	0.365	0.509
outlines	scorrini	0.656	0.402	0.651
outlive	perdu	0.565	0.769	0.724
outlook	outlook	0.830	0.525	0.625
outlying	periferiali	0.460	0.562	0.503
outnumber	supirarii	0.347	0.615	0.577
outpatient	outpatient	0.260	0.400	0.395
outpost	avanzati	0.635	0.571	0.675
outpouring	vaghjime	0.562	0.685	0.552
output	pruduzzioni	0.604	0.389	0.434
outrage	scarsi	0.060	0.689	0.542
outraged	ultraggiatu	0.156	0.696	0.538
outrageous	scantu	0.153	0.945	0.713
outrank	fora	0.653	0.643	0.817
outreach	allende	0.540	0.462	0.672
outright	dirittu	0.767	0.396	0.755
outrun	fora	0.531	0.833	0.573
outset	iniziu	0.750	0.500	0.582
outsider	outsider	0.398	0.549	0.447
outskirts	periferia	0.474	0.519	0.312
outsmart	primura	0.673	0.657	0.864
outspoken	foruscenza	0.582	0.413	0.667
outstanding	eccessenti	0.898	0.760	0.896
outstretched	allungatu	0.448	0.481	0.519
outward	allora	0.449	0.439	0.365
outwards	fora	0.440	0.472	0.400
outweigh	pesu più	0.486	0.600	0.682
outwit	outwit	0.302	0.755	0.356
oval	ovale	0.417	0.280	0.330
ovary	ovariu	0.469	0.399	0.280
ovate	ovate	0.385	0.286	0.368
ovation	ovazione	0.719	0.758	0.750
oven	u fornu	0.583	0.425	0.606
overactive	overactive	0.667	0.885	0.592
overall	in generale	0.583	0.370	0.670
overalls	tuta	0.500	0.392	0.373
overbearing	rivolti	0.323	0.833	0.861
overburden	sburdrittu	0.115	0.755	0.546
overcast	vagnatu	0.417	0.250	0.475
overcharged	soprasugnate	0.276	0.780	0.569
overcoat	capita	0.594	0.265	0.430
overcome	suprana	0.719	0.689	0.848
overcoming	sopra	0.842	0.765	0.855
overcrowded	massimizzata	0.292	0.520	0.491
overdo	putemu overu	0.156	0.864	0.602
overdose	overdose	0.110	0.820	0.468
overdrive	annullamentu	0.303	0.715	0.732
overdue	riimpiia	0.125	0.427	0.259
overestimate	stimate	0.367	0.796	0.444
overestimated	sopravalutatu	0.344	0.646	0.527
overflow	spiscina	0.398	0.792	0.500
overflowing	supracchinu	0.439	0.796	0.635
overgrown	coperto	0.333	0.500	0.369
overgrowth	sviluppu assai	0.417	0.790	0.673
overhanging	sguardu	0.698	0.755	0.812
overhaul	riparazione	0.500	0.651	0.491
overhead	sopra	0.344	0.700	0.538
overhear	minore	0.650	0.365	0.580
overheated	soprasassu	0.250	0.598	0.547
overjoyed	felicità	0.908	0.708	0.755
overkill	richie	0.379	0.861	0.678
overlaid	supirficiali	0.620	0.610	0.676
overlap	overlap	0.594	0.615	0.627
overlapping	overlapping	0.595	0.578	0.684
overlay	superposizione	0.564	0.596	0.749
overload	soprapiù	0.381	0.690	0.652
overlook	spàrghjela	0.292	0.418	0.415
overlord	capu	0.750	0.755	0.932
overlying	supraniunale	0.500	0.519	0.691
overpaid	overpaid	0.429	0.670	0.585
overpass	passavanu	0.562	0.561	0.565
overplayed	overplayed	0.224	0.798	0.586
overpower	putenza	0.448	0.859	0.783
overpowering	abundanti	0.392	0.779	0.589
overpriced	caru	0.271	0.556	0.472
overprotective	supersupertegi	0.448	0.673	0.741
overrated	overrated	0.312	0.630	0.482
overreact	overrue	0.306	0.912	0.471
override	annullà	0.316	0.491	0.529
overriding	annullamentu	0.240	0.490	0.384
overrule	annullà	0.224	0.412	0.429
overrun	abbastanza	0.271	0.764	0.598
oversee	vigilà	0.541	0.649	0.778
overseer	capelli	0.552	0.520	0.873
overshadow	cuprarà	0.333	0.549	0.654
oversight	oversight	0.385	0.618	0.723
oversized	oversized	0.552	0.540	0.679
overslept	overslept	0.408	0.315	0.300
overstate	overstate	0.281	0.779	0.635
overstock	overstock	0.344	0.592	0.589
overt	abbia	0.708	0.326	0.607
overtake	jùnciu	0.573	0.620	0.718
overtaken	persu	0.594	0.552	0.702
overthemoon	NO TRANSLATION	0.643	0.531	0.481
overthinker	rizzlingu	0.430	0.606	0.552
overthinking	di rivendiche	0.408	0.761	0.525
overthrow	annullà	0.260	0.868	0.620
overtime	cù u tempu	0.447	0.504	0.529
overtired	stupitu	0.210	0.357	0.273
overture	attrachju	0.490	0.402	0.491
overturn	vultà	0.240	0.765	0.396
overview	generale	0.615	0.380	0.539
overweight	overweight	0.052	0.500	0.389
overwhelm	annullò	0.250	0.823	0.462
overwhelmed	u trè	0.341	0.680	0.348
overwhelming	abbannatura	0.327	0.830	0.640
overworked	travagliani	0.133	0.670	0.387
overwrought	supranava	0.156	0.900	0.571
overzealous	inzuccaratu	0.427	0.804	0.703
owe	devi	0.500	0.429	0.386
owing	debuli	0.396	0.307	0.381
owl	owl	0.520	0.270	0.321
owner	u patrone	0.776	0.449	0.920
ownership	pruprietà	0.628	0.445	0.741
ox	bòie	0.417	0.396	0.412
oxidation	oxidazione	0.453	0.415	0.211
oxide	oxido	0.354	0.377	0.298
oxygen	ossigenu	0.908	0.310	0.575
oxymoron	oxycure	0.427	0.481	0.398
oyster	ostriche	0.500	0.311	0.327
ozone	ozone	0.560	0.345	0.518
pace	ritimu	0.510	0.380	0.390
pacemaker	pacemaker	0.448	0.569	0.582
pacific	pacificu	0.627	0.118	0.580
pacified	pacified	0.802	0.194	0.414
pacifier	pacificu	0.615	0.342	0.356
pacifist	pacifist	0.663	0.153	0.557
pacify	pacify	0.812	0.283	0.629
pacing	pacing	0.583	0.551	0.491
pack	pack	0.510	0.347	0.475
package	u pacchettu	0.571	0.433	0.443
packaging	embiu	0.604	0.393	0.549
packer	packer	0.520	0.480	0.537
packet	paese	0.582	0.385	0.407
pact	pattu	0.442	0.444	0.593
pad	pad	0.684	0.279	0.330
padded	padded	0.606	0.212	0.371
padding	padding	0.561	0.398	0.423
paddle	paddle	0.561	0.375	0.393
paddle boat	paddle boat	0.663	0.373	0.415
paddock	paddock	0.480	0.429	0.481
paddy	paddy	0.653	0.330	0.330
padlock	cadutu	0.459	0.284	0.457
padre	NO TRANSLATION	0.684	0.407	0.647
paean	paean	0.552	0.547	0.471
pagan	pagana	0.292	0.578	0.542
paganism	paganismu	0.240	0.640	0.411
page	pagina	0.677	0.224	0.278
pageant	pageant	0.719	0.667	0.651
pager	pageru	0.510	0.526	0.554
pagination	paginazione	0.459	0.333	0.400
paging	paging	0.542	0.398	0.423
pagoda	pagoda	0.571	0.259	0.435
pail	pail	0.448	0.177	0.188
pain	u dulore	0.012	0.765	0.395
pained	dulurusu	0.112	0.500	0.250
painful	dulurusi	0.050	0.742	0.330
painfully	dulurusu	0.156	0.720	0.407
painkiller	painkiller	0.487	0.312	0.481
painless	painless	0.785	0.173	0.491
pains	duluri	0.106	0.673	0.362
painstaking	painstaking	0.396	0.335	0.386
paint	pittura	0.667	0.343	0.413
paintball	paintball	0.615	0.745	0.537
paintbrush	pittura	0.714	0.226	0.353
painted	pittatu	0.667	0.333	0.424
painter	pittore	0.677	0.366	0.487
painting	pittura	0.792	0.324	0.333
pair	paru	0.552	0.317	0.304
paisley	paisley	0.531	0.327	0.347
pajama	pyjama	0.908	0.157	0.245
pajamas	piamia	0.719	0.170	0.264
pal	pal	0.812	0.426	0.596
palace	palazzu	0.878	0.510	0.804
palatable	piacevule	0.823	0.500	0.594
palate	palatu	0.625	0.350	0.358
pale	biancu	0.281	0.259	0.245
paleontology	paleontologia	0.438	0.308	0.617
palette	paleta	0.590	0.333	0.205
pall	pall	0.277	0.387	0.394
palladium	palladu	0.470	0.380	0.393
