Word	Telugu-te	Valence	Arousal	Dominance
meteorology	వాతావరణ శాస్త్రంలో	0.630	0.418	0.689
meter	మీటర్	0.438	0.300	0.463
meth	మెత్కోసం	0.354	0.564	0.340
methadone	మెథడోన్	0.240	0.540	0.453
methane	మీథేన్	0.290	0.460	0.569
methanol	మిథనాల్	0.292	0.500	0.570
method	పద్ధతి	0.640	0.275	0.698
methodical	పద్ధతి	0.663	0.360	0.745
methodology	పద్దతి	0.664	0.327	0.745
meticulous	ఖచ్చితమైన	0.555	0.480	0.555
metime	metime	0.531	0.398	0.417
metric	మెట్రిక్	0.519	0.248	0.573
metrical	metrical	0.521	0.375	0.482
metrology	మెట్రాలజీ	0.531	0.432	0.439
metropolis	మహానగర	0.656	0.625	0.779
metropolitan	మహానగర	0.387	0.408	0.723
mettle	సామర్థ్యాన్ని	0.667	0.529	0.750
mew	Mew	0.418	0.481	0.380
mezzanine	మెజ్జనైన్	0.479	0.427	0.404
mica	మైకా	0.531	0.250	0.314
mick	మిక్	0.449	0.451	0.382
micro	సూక్ష్మ	0.500	0.270	0.250
microbe	సూక్ష్మజీవి	0.255	0.450	0.340
microbiology	సూక్ష్మజీవశాస్త్రంలో	0.571	0.378	0.560
microchip	మైక్రోచిప్	0.551	0.358	0.432
microcosm	మైక్రోకోజమ్	0.500	0.500	0.520
microfilm	ఫిల్ము	0.469	0.352	0.412
microgram	ఒకటోవంతు	0.448	0.286	0.355
micrometer	మైక్రోమీటర్లు	0.573	0.358	0.394
micron	మీటరులో	0.375	0.291	0.315
microphone	మైక్రోఫోన్	0.551	0.431	0.462
microscope	మైక్రోస్కోప్	0.531	0.330	0.464
microscopic	మైక్రోస్కోపిక్	0.360	0.327	0.433
microscopically	సూక్ష్మస్థాయిలో	0.623	0.370	0.412
microscopy	సూక్ష్మదర్శిని	0.500	0.339	0.455
microwave	మైక్రోవేవ్	0.542	0.497	0.443
mid	మధ్య	0.500	0.315	0.356
midair	midair	0.633	0.413	0.455
midday	మధ్యాహ్న	0.658	0.250	0.403
middle	మధ్య	0.458	0.157	0.300
middleman	మిడిల్	0.500	0.404	0.452
middleweight	మిడిల్వెయిట్	0.510	0.302	0.428
midget	Midget	0.396	0.295	0.254
midland	MIDLAND	0.521	0.402	0.456
midlife	మిడ్ లైఫ్	0.594	0.244	0.473
midline	మధ్యభాగంలోని	0.332	0.224	0.330
midnight	అర్ధరాత్రి	0.562	0.470	0.545
midshipman	midshipman	0.469	0.615	0.785
midst	మధ్యలో	0.324	0.275	0.296
midsummer	మధ్య వేసవి	0.781	0.480	0.492
midterm	మధ్యంతర	0.427	0.337	0.425
midtown	మిడ్ టౌన్	0.479	0.442	0.538
midway	మిడ్వే	0.459	0.316	0.304
midwife	మంత్రసాని	0.531	0.570	0.453
midwifery	ప్రసూతివైద్య	0.510	0.570	0.459
mien	NO TRANSLATION	0.500	0.352	0.447
miffed	ఆగ్రహావేశాలకు లోనయ్యేవారు	0.204	0.726	0.429
mighty	శక్తివంతమైన	0.855	0.837	0.936
mignon	మింగ్నాన్	0.551	0.440	0.423
migraine	మైగ్రేన్	0.135	0.783	0.318
migrate	మైగ్రేట్	0.415	0.580	0.454
migration	వలసలు	0.492	0.731	0.566
migratory	వలస	0.448	0.521	0.491
mike	మైక్	0.542	0.365	0.423
mil	NO TRANSLATION	0.534	0.388	0.347
mild	తేలికపాటి	0.635	0.198	0.216
mildew	తెగులు	0.344	0.250	0.241
mildness	సాత్వికమైన	0.827	0.226	0.311
mile	మైలు	0.521	0.417	0.456
mileage	మైలేజ్	0.510	0.458	0.562
milestone	మైలురాయి	0.719	0.373	0.558
militant	తీవ్రవాద	0.418	0.667	0.750
militants	తీవ్రవాదులు	0.260	0.673	0.652
military	సైనిక	0.396	0.710	0.875
militia	సేనలను	0.396	0.729	0.769
milk	పాల	0.817	0.270	0.327
milkman	milkman	0.750	0.380	0.304
milkshake	milkshake	0.796	0.521	0.330
milky	మిల్కీ	0.517	0.283	0.311
mill	మిల్లు	0.531	0.382	0.347
millennium	మిలీనియం	0.573	0.398	0.760
milligram	మిల్లీగ్రాముల	0.429	0.217	0.302
millimeter	మిల్లీ	0.427	0.177	0.360
million	మిలియన్	0.776	0.647	0.812
millionaire	లక్షాధికారి	0.917	0.755	0.850
millionth	లక్షల	0.635	0.528	0.611
millstone	తిరుగలి	0.510	0.433	0.492
mime	MIME	0.455	0.235	0.302
mimic	అనుకరిస్తాయి	0.557	0.587	0.391
mimicking	అనే	0.316	0.433	0.364
mimicry	మిమిక్రీ	0.420	0.337	0.472
mince	మాంసఖండం	0.417	0.529	0.378
mincemeat	మిన్స్మీట్	0.396	0.435	0.358
mind	మనసు	0.650	0.388	0.627
minded	minded	0.656	0.394	0.627
mindful	జాగ్రత్త	0.765	0.450	0.725
mindfulness	ఆనాపానసతి	0.729	0.635	0.745
mindless	బుద్ధిహీన	0.184	0.333	0.153
mine	గని	0.688	0.418	0.578
minefield	యుద్ధరంగ	0.188	0.839	0.684
miner	మైనర్	0.408	0.594	0.644
mineral	ఖనిజ	0.519	0.287	0.605
mineralogy	మినరాలజీ	0.551	0.408	0.545
mingle	కలిసిపోతాయి	0.561	0.480	0.434
mingled	కలిసిపోయాయి	0.521	0.392	0.357
mini	మినీ	0.421	0.324	0.221
miniature	సూక్ష్మ	0.429	0.292	0.204
minibus	మినీబస్సు	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	తక్కువ	0.448	0.147	0.206
minimize	తగ్గించడానికి	0.360	0.236	0.311
minimized	తగ్గించాలి	0.458	0.137	0.208
minimum	కనీస	0.380	0.198	0.194
mining	గనుల తవ్వకం	0.633	0.598	0.554
minion	minion	0.490	0.430	0.167
minister	మంత్రి	0.547	0.441	0.892
ministerial	మంత్రివర్గ	0.571	0.519	0.660
ministry	మంత్రిత్వ	0.510	0.346	0.717
minivan	వ్యానును	0.592	0.356	0.452
mink	మింక్	0.560	0.515	0.430
minnow	మిన్నో	0.541	0.367	0.364
minor	చిన్న	0.250	0.235	0.175
minority	మైనారిటీ	0.310	0.332	0.211
minstrel	సంగీత కంపెనీలు	0.458	0.541	0.397
mint	పుదీనా	0.688	0.221	0.345
minty	మింటి	0.635	0.292	0.361
minuscule	అతి తక్కువగా	0.396	0.286	0.214
minute	నిమిషం	0.582	0.279	0.356
minutiae	క్షణక్షణం	0.323	0.257	0.316
minx	minx	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	అద్భుతం	0.917	0.607	0.806
miracles	అద్భుతాలు	0.922	0.735	0.692
miraculous	మానవాతీతమైన	0.875	0.706	0.812
mirage	మరీచిక	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	అద్దంలో	0.677	0.310	0.438
mirth	ఉల్లాసం	0.888	0.640	0.608
misappropriation	అధికార దుర్వినియోగానికి	0.097	0.831	0.500
misbehave	తప్పుగా ప్రవర్తించినట్లయితే	0.020	0.847	0.304
misbehavior	దుష్ప్రవర్తనకు	0.031	0.704	0.269
miscalculation	తప్పు	0.177	0.490	0.353
miscarriage	గర్భస్రావం	0.042	0.781	0.312
miscellaneous	ఇతరాలు	0.531	0.321	0.196
miscellany	వివిధములు	0.500	0.412	0.384
mischief	అల్లరి	0.385	0.834	0.292
mischievous	కొంటె	0.439	0.804	0.472
misconception	దురభిప్రాయం	0.210	0.557	0.291
misconduct	దుష్ప్రవర్తన	0.061	0.667	0.304
misdemeanor	దుష్ప్రవర్తన	0.210	0.640	0.364
misdirection	misdirection	0.131	0.710	0.281
miser	లోభి	0.208	0.633	0.311
miserable	బాధాకరమైన	0.062	0.461	0.188
miserably	ఘోరంగా	0.280	0.545	0.150
misery	కష్టాలు	0.146	0.378	0.158
misfire	మిస్ఫైర్	0.153	0.453	0.200
misfit	అనుపయుక్త	0.173	0.500	0.393
misfortune	దురదృష్టం	0.094	0.780	0.311
misguided	NO TRANSLATION	0.280	0.531	0.259
mishap	ప్రమాదం	0.071	0.654	0.227
misinformed	misinformed	0.156	0.567	0.250
misinterpretation	అపోహ	0.112	0.556	0.360
mislead	తప్పుదోవ	0.167	0.765	0.412
misleading	తప్పుదారి	0.070	0.660	0.272
misled	తప్పుదారిన	0.177	0.606	0.353
mismanagement	నిర్వహించినందుకు	0.094	0.520	0.295
mismatch	అసమతుల్యత	0.250	0.459	0.282
mismatched	సరిపోలని	0.250	0.557	0.302
misnomer	తగని	0.296	0.528	0.284
misplace	తప్పు స్థానంలో	0.229	0.461	0.191
misplaced	తప్పుగా	0.247	0.450	0.324
misread	ఎనేబుల్ మద్దతు	0.115	0.558	0.315
misrepresent	తప్పుగా సూచించడం	0.198	0.542	0.418
misrepresentation	మాయ	0.323	0.618	0.518
misrepresented	అవాస్తవంగా	0.042	0.519	0.466
miss	మిస్	0.573	0.490	0.408
missile	క్షిపణి	0.240	0.830	0.764
missiles	క్షిపణులను	0.070	0.922	0.830
missing	తప్పిపోయిన	0.306	0.418	0.222
missingyou	NO TRANSLATION	0.260	0.471	0.377
mission	మిషన్	0.765	0.633	0.870
missionary	మిషనరీ	0.729	0.404	0.596
misspell	misspell	0.292	0.423	0.281
misstatement	misstatement	0.302	0.547	0.221
missy	మిస్సి	0.521	0.480	0.333
mist	మిస్ట్	0.375	0.194	0.221
mistake	తప్పు	0.208	0.585	0.102
mistaken	పొరపాటు	0.131	0.630	0.212
mister	మిస్టర్	0.604	0.406	0.663
mistletoe	మిస్టేల్టోయ్	0.542	0.470	0.324
mistreated	బాధపెట్టారు	0.010	0.792	0.200
mistress	ఉంపుడుగత్తె	0.630	0.796	0.694
mistrial	చెల్లని విచారణగా	0.427	0.539	0.536
mistrust	అవిశ్వాసం	0.135	0.657	0.231
misty	misty	0.427	0.451	0.278
misunderstand	తప్పుగా అర్థం	0.177	0.548	0.382
misunderstanding	అపార్ధం	0.112	0.618	0.284
misunderstood	తప్పుగా	0.177	0.625	0.309
misuse	దుర్వినియోగం	0.083	0.560	0.196
mite	పురుగు	0.290	0.584	0.271
miter	మిత్రే	0.458	0.500	0.414
mitigate	తగ్గించడానికి	0.506	0.427	0.456
mitigating	ఉపశమన	0.551	0.520	0.600
mitigation	తీవ్రతను తగ్గించడం	0.448	0.527	0.423
mitt	మిట్	0.406	0.183	0.264
mitten	NO TRANSLATION	0.531	0.330	0.408
mitzvah	మిజ్వా	0.422	0.610	0.409
mix	మిక్స్	0.542	0.490	0.472
mixed	మిశ్రమ	0.510	0.346	0.444
mixedemotions	mixedemotions	0.440	0.673	0.430
mixer	మిక్సర్	0.562	0.500	0.556
mixture	మిశ్రమం	0.546	0.360	0.481
mnemonic	జ్ఞాపకానికి	0.531	0.480	0.452
moan	వేదన	0.357	0.735	0.352
moat	కందకం	0.398	0.380	0.314
mob	మాబ్	0.296	0.788	0.567
mobile	మొబైల్	0.615	0.569	0.481
mobility	చైతన్యం	0.700	0.596	0.654
mobilization	సమీకరణ	0.688	0.720	0.787
mobilize	సరఫరాచేయడానికున్న	0.604	0.684	0.727
mobster	పెద్ద రౌడీ	0.188	0.870	0.638
mocha	మోచా	0.500	0.396	0.311
mock	మాక్	0.360	0.606	0.618
mocked	వెక్కిరిస్తూ	0.225	0.746	0.204
mockery	పరిహాసం	0.094	0.806	0.181
mocking	గేలిచేస్తాడు	0.082	0.755	0.394
mockingbird	మొకింగ్	0.513	0.337	0.423
mod	mod	0.458	0.367	0.384
modal	మోడల్	0.592	0.264	0.461
modality	పలకడానికి	0.633	0.404	0.527
mode	మోడ్	0.531	0.185	0.367
model	మోడల్	0.607	0.388	0.723
modeler	modeler	0.500	0.510	0.730
modeling	మోడలింగ్	0.684	0.404	0.490
modem	మోడెమ్	0.573	0.355	0.500
moderate	మోస్తరు	0.582	0.190	0.453
moderate anticipation	ఆధునిక ఊహ	0.667	0.451	0.574
moderate disgust	ఆధునిక అసహ్యం	0.229	0.558	0.381
moderate negative	ఆధునిక ప్రతికూలమైనది	0.177	0.500	0.306
moderate positive	ఆధునిక సానుకూల	0.896	0.453	0.753
moderate surprise	ఆధునిక ఆశ్చర్యం	0.776	0.663	0.637
moderate trust	ఆధునిక ట్రస్ట్	0.677	0.350	0.773
moderately	మధ్యస్తంగా	0.604	0.264	0.500
moderating	మితమైన	0.667	0.402	0.783
moderation	మోడరేషన్	0.531	0.240	0.453
moderator	మధ్యవర్తి	0.519	0.354	0.802
modern	ఆధునిక	0.855	0.423	0.691
modernism	ఆధునికవాదం	0.760	0.553	0.703
modest	నమ్రత	0.760	0.130	0.412
modesty	వినయము	0.778	0.240	0.500
modicum	స్వల్ప పరిమాణము	0.234	0.417	0.327
modifiable	మోడిఫయబుల్	0.541	0.422	0.373
modification	మార్పు	0.480	0.520	0.625
modified	చివరి మార్పు	0.561	0.458	0.693
modify	సవరించడానికి	0.458	0.584	0.625
modulate	శృతి	0.673	0.343	0.555
modulation	మాడ్యులేషన్	0.458	0.365	0.565
module	మాడ్యూల్	0.582	0.388	0.571
modulus	బహుళ సాహచర్యం	0.622	0.304	0.481
mogul	మొగుల్	0.510	0.652	0.865
moiety	ద్విశాఖ	0.378	0.343	0.454
moist	తడిగా	0.470	0.316	0.386
moisture	తేమ	0.406	0.398	0.327
moisturizer	మాయిశ్చరైజర్	0.750	0.280	0.386
molar	మోలార్	0.544	0.426	0.350
molasses	మొలాసిస్	0.490	0.269	0.286
mold	అచ్చు	0.330	0.274	0.402
molded	అచ్చుపోసిన	0.667	0.361	0.373
molding	అచ్చు	0.552	0.308	0.546
moldy	బూజుపట్టిన	0.235	0.387	0.250
mole	మోల్	0.436	0.377	0.352
molecular	పరమాణు	0.495	0.440	0.536
molecule	అణువు	0.531	0.259	0.375
molest	అత్యాచారయత్నం	0.133	0.816	0.319
molestation	వేధింపుల	0.102	0.808	0.407
molester	molester	0.143	0.811	0.478
molten	కరిగించిన	0.417	0.490	0.339
mom	అమ్మ	0.927	0.336	0.639
moment	క్షణం	0.604	0.435	0.509
momentary	క్షణికమైన	0.562	0.271	0.330
momentous	చిరస్మరణీయ	0.792	0.587	0.760
momentum	ఊపందుకుంటున్నది	0.663	0.750	0.688
momma	మమ్మా వాస్	0.833	0.412	0.527
mommy	మమ్మీ	0.854	0.353	0.422
monad	ప్రమాణము	0.510	0.482	0.451
monarch	చక్రవర్తి	0.583	0.559	0.870
monarchy	రాచరికం	0.450	0.557	0.870
monastery	ఆశ్రమంలో	0.694	0.183	0.726
monastic	సన్యాస	0.438	0.314	0.676
monetary	ద్రవ్య	0.583	0.494	0.716
money	డబ్బు	0.844	0.608	0.827
mongoloid	మంగోలియా తెగ	0.177	0.364	0.317
mongoose	ముంగిస	0.327	0.380	0.546
mongrel	శునకము	0.425	0.438	0.395
monitor	మానిటర్	0.490	0.298	0.538
monk	సన్యాసి	0.472	0.208	0.439
monkey	కోతి	0.548	0.449	0.283
mono	NO TRANSLATION	0.500	0.390	0.273
monochrome	మోనోక్రోమ్	0.312	0.292	0.339
monogamous	దంపతీ	0.510	0.335	0.402
monogamy	దంపతీ	0.542	0.380	0.455
monogram	మోనోగ్రామ్	0.480	0.210	0.425
monogrammed	monogrammed	0.503	0.270	0.402
monograph	మోనోగ్రాఫ్	0.500	0.242	0.481
monolayer	ఏకపొరలో	0.427	0.294	0.433
monolith	ఏకశిలా	0.429	0.327	0.500
monologue	ప్రకటన	0.500	0.284	0.534
monopolist	గుత్తేదారు	0.330	0.590	0.725
monopoly	గుత్తాధిపత్యం	0.449	0.509	0.640
monotonous	మార్పులేని	0.354	0.221	0.400
monotony	మార్పు	0.398	0.135	0.353
monoxide	మోనాక్సైడ్	0.433	0.430	0.490
monsieur	మాన్స్యూర్	0.552	0.340	0.623
monsoon	రుతుపవనాలు	0.358	0.600	0.481
monster	రాక్షసుడు	0.133	0.935	0.596
monstrosity	వికారంగా	0.094	0.933	0.611
monstrous	వికృతమైన	0.094	0.942	0.649
montage	మాంటేజ్	0.438	0.520	0.388
monte	మోంటే	0.589	0.330	0.391
month	నెల	0.688	0.255	0.411
monthly	నెలవారీ	0.622	0.314	0.364
monument	స్మారక	0.833	0.404	0.811
monumental	స్మారక	0.656	0.594	0.955
moo	మూ	0.438	0.355	0.300
mooch	తిరుగు	0.378	0.413	0.309
mood	మూడ్	0.720	0.500	0.500
moods	మనోభావాలు	0.578	0.633	0.491
moody	భావ	0.245	0.811	0.595
moon	చంద్రుడు	0.673	0.233	0.547
moonbeam	మూన్బీమ్	0.700	0.290	0.491
moonlight	వెన్నెల	0.865	0.264	0.409
moonlit	moonlit	0.873	0.269	0.508
moonshine	మూన్షైన్	0.633	0.389	0.491
moonstruck	మూన్ స్ట్రక్	0.583	0.438	0.407
moonwalk	మూన్వాక్	0.615	0.586	0.525
moor	మూర్	0.311	0.464	0.378
moored	కట్టిపడేసి	0.344	0.500	0.417
mooring	వసతి	0.323	0.490	0.444
moorings	బంధం	0.406	0.500	0.516
moorland	మూర్లాండ్	0.490	0.370	0.456
moose	దుప్పి	0.648	0.373	0.318
moot	మూట్	0.344	0.500	0.615
mooted	ఎన్నుకోవడం	0.388	0.580	0.463
mop	మాప్	0.396	0.442	0.296
mope	స్తబ్దంగా	0.406	0.309	0.345
moped	మోపెడ్	0.582	0.582	0.554
moral	నైతిక	0.700	0.459	0.796
morale	ధైర్యాన్ని	0.729	0.158	0.792
morality	నైతికత	0.750	0.408	0.759
morals	నీతులు	0.646	0.430	0.611
morass	గందరగోళ	0.387	0.348	0.375
moratorium	విరామాన్ని	0.337	0.427	0.373
moray	మోరే	0.510	0.402	0.463
morbid	వ్యాధిగ్రస్తమైన	0.090	0.833	0.395
morbidity	రోగాలకీ	0.370	0.630	0.443
morbidness	morbidness	0.120	0.694	0.339
mores	కట్టుబాట్ల	0.582	0.317	0.684
morgue	మృతదేహాలను భద్రపరిచే	0.022	0.539	0.241
moribund	మరణించుటకు సిద్దంగావున్న	0.083	0.488	0.167
morn	morn	0.542	0.284	0.345
morning	ఉదయం	0.688	0.235	0.444
moron	మొరాన్	0.133	0.587	0.183
moronic	moronic	0.122	0.500	0.224
morose	కోపంగా	0.240	0.663	0.264
morph	మార్ఫ్	0.448	0.469	0.451
morphine	మార్ఫిన్	0.229	0.490	0.496
morphism	morphism	0.398	0.549	0.386
morphology	పదనిర్మాణం	0.516	0.373	0.639
morrow	మరునాడు	0.708	0.314	0.490
morsel	ముద్ద	0.490	0.296	0.400
mortal	నైతిక	0.196	0.786	0.510
mortality	మరణాల	0.229	0.726	0.518
mortar	ఫిరంగి	0.333	0.627	0.562
mortgage	తనఖా	0.255	0.408	0.537
mortgagee	mortgagee	0.418	0.633	0.723
mortgagor	తాకట్టు	0.431	0.522	0.490
mortician	అంత్యక్రియల ఏర్పాటు చేసేవానికి	0.104	0.429	0.275
mortification	mortification	0.135	0.644	0.404
mortified	అరు	0.073	0.731	0.270
mortuary	మార్చురీ	0.133	0.606	0.427
mosaic	మొజాయిక్	0.635	0.250	0.302
mosey	మోసే	0.521	0.402	0.330
mosque	మసీదు	0.542	0.352	0.528
mosquito	దోమ	0.229	0.400	0.198
moss	నాచు	0.235	0.270	0.245
mossy	మోస్సి	0.375	0.329	0.286
mote	NO TRANSLATION	0.375	0.388	0.260
motel	మోటెల్	0.531	0.372	0.450
moth	చిమ్మట	0.323	0.350	0.196
mother	తల్లి	0.931	0.408	0.725
motherfucker	మథర్ఫకర్	0.122	0.827	0.351
motherfucking	మథర్ఫకింగ్	0.071	0.823	0.373
motherhood	మాతృత్వం	0.844	0.546	0.667
motherland	మాతృభూమి	0.677	0.375	0.731
motherless	తల్లిలేని	0.163	0.541	0.337
motherly	తల్లి	0.927	0.324	0.710
motif	మూలాంశం	0.688	0.481	0.527
motion	మోషన్	0.667	0.538	0.657
motionless	కదలిక	0.323	0.210	0.246
motivate	చైతన్యపరచటంలో	0.812	0.776	0.873
motivating	ప్రేరేపించడం	0.958	0.820	0.787
motivation	ప్రేరణ	0.854	0.784	0.802
motivational	ప్రేరణ	0.906	0.646	0.858
motive	ఉద్దేశ్యం	0.667	0.588	0.663
motley	రంగురంగుల	0.480	0.398	0.412
motor	మోటార్	0.531	0.551	0.648
motorbike	మోటారుబైక్పై	0.552	0.608	0.616
motorboat	motorboat	0.677	0.500	0.390
motorcade	మోటారు	0.708	0.730	0.593
motorcar	మోటారు కారు	0.694	0.565	0.682
motorcycle	మోటార్ సైకిల్	0.677	0.764	0.713
motorist	motorist	0.562	0.663	0.578
motte	Motte	0.481	0.389	0.370
mottled	మచ్చల	0.380	0.336	0.295
motto	నినాదం	0.688	0.317	0.439
mould	అచ్చు	0.357	0.176	0.246
mound	దిబ్బ	0.520	0.481	0.509
mount	మౌంట్	0.500	0.292	0.348
mountain	పర్వత	0.698	0.408	0.649
mountaineer	పర్వతారోహకుడు	0.635	0.774	0.535
mountainous	పర్వత	0.635	0.519	0.612
mountains	పర్వతాలు	0.766	0.433	0.569
mountaintop	పర్వతం	0.653	0.541	0.713
mourn	ఓదార్చుటకును	0.056	0.583	0.150
mournful	విషాదకరమైన	0.180	0.441	0.188
mourning	సంతాప	0.177	0.490	0.266
mouse	మౌస్	0.427	0.441	0.206
mousetrap	mousetrap	0.180	0.643	0.330
mousse	mousse	0.604	0.336	0.368
moustache	మీసం	0.470	0.236	0.409
mousy	mousy	0.480	0.413	0.339
mouth	నోటి	0.734	0.294	0.336
mouthful	మౌత్ఫుల్	0.609	0.565	0.389
mouthpiece	మౌత్	0.573	0.346	0.393
mouthwash	మౌత్ వాష్	0.438	0.385	0.352
movable	కదిలే	0.469	0.509	0.500
move	కదలిక	0.656	0.647	0.670
movement	ఉద్యమం	0.656	0.654	0.658
mover	రవాణా	0.615	0.539	0.466
movie	సినిమా	0.792	0.560	0.471
movies	సినిమాలు	0.724	0.426	0.472
moving	కదిలే	0.479	0.673	0.358
movingforward	NO TRANSLATION	0.857	0.518	0.848
movingon	వెళ్ళేముందు	0.490	0.529	0.435
mow	కొడవలితో కోయు	0.420	0.559	0.393
mower	మొవర్	0.458	0.510	0.368
moxie	Moxie	0.531	0.490	0.366
mozzarella	మోజారెల్లా	0.653	0.265	0.340
mri	MRI	0.365	0.431	0.349
muchneeded	NO TRANSLATION	0.438	0.602	0.455
mucis	NO TRANSLATION	0.398	0.418	0.420
muck	చెత్త	0.347	0.423	0.272
mucked	mucked	0.184	0.500	0.373
mucous	శ్లేష్మ	0.330	0.296	0.293
mucus	శ్లేష్మం	0.143	0.309	0.228
mud	మట్టి	0.333	0.260	0.185
muddle	గజిబిజి	0.184	0.710	0.336
muddled	muddled	0.250	0.615	0.263
muddy	బురదలో	0.292	0.400	0.283
muff	తొడుగు	0.542	0.335	0.314
muffin	మఫిన్	0.684	0.430	0.306
muffled	మఫుల్డ్	0.479	0.330	0.421
muffler	muffler	0.357	0.407	0.454
mug	కప్పులో	0.542	0.214	0.382
mugger	మూర్ఖుడిగా	0.125	0.850	0.500
mulberry	మల్బరీ	0.469	0.315	0.361
mulch	రక్షక కవచం	0.349	0.361	0.383
mule	మ్యూల్	0.320	0.337	0.254
mull	దీర్ఘాలోచనచేయు	0.663	0.340	0.594
mullet	ముల్లెట్	0.521	0.356	0.377
multilateral	బహుపాక్షిక	0.500	0.469	0.705
multimedia	మల్టీమీడియా	0.611	0.390	0.607
multinational	బహుళజాతి	0.656	0.510	0.842
multiple	బహుళ	0.660	0.510	0.578
multiple sclerosis	మల్టిపుల్ స్క్లేరోసిస్	0.188	0.587	0.483
multiplex	మల్టీప్లెక్స్	0.610	0.590	0.667
multiplication	గుణకారం	0.646	0.565	0.762
multiplicity	బహుళ	0.677	0.490	0.777
multiplied	గుణిస్తే	0.802	0.559	0.729
multiplier	గుణకం	0.643	0.615	0.741
multiply	గుణిస్తారు	0.802	0.625	0.777
multitude	సమూహము	0.562	0.765	0.847
mum	మమ్	0.802	0.317	0.698
mumble	Mumble	0.292	0.444	0.245
mumbo	mumbo	0.429	0.506	0.336
mummy	మమ్మీ	0.400	0.588	0.415
mumps	గవదబిళ్లలు	0.099	0.410	0.311
munch	మంచ్	0.541	0.277	0.434
munchies	munchies	0.562	0.470	0.491
munchkin	Munchkin	0.490	0.466	0.374
mundane	లౌకిక	0.312	0.420	0.480
municipal	పురపాలక	0.625	0.390	0.758
municipality	మున్సిపాలిటీ	0.569	0.280	0.614
mural	కుడ్య	0.551	0.265	0.454
murder	హత్య	0.061	0.942	0.615
murderer	హంతకుడు	0.010	0.960	0.650
murderess	murderess	0.041	0.941	0.462
murderous	హత్యలు	0.017	0.940	0.682
murky	murky	0.143	0.618	0.370
murmur	గొణుగుడు	0.458	0.520	0.200
muscle	కండరాల	0.359	0.490	0.645
muscular	కండర	0.531	0.434	0.577
muse	అధిదేవతగా	0.760	0.360	0.509
muses	ముసేస్	0.714	0.434	0.571
museum	మ్యూజియం	0.792	0.206	0.481
mush	NO TRANSLATION	0.500	0.311	0.125
mushroom	పుట్టగొడుగు	0.490	0.274	0.269
mushy	మెత్తటి	0.520	0.200	0.182
music	సంగీతం	0.833	0.563	0.605
musical	సంగీత	0.908	0.630	0.530
musician	సంగీతకారుడు	0.816	0.509	0.618
musing	musing	0.740	0.151	0.465
musk	మస్క్	0.469	0.454	0.453
musket	భుజాన వేసుకోని	0.260	0.654	0.510
musketeer	మస్కటీర్	0.694	0.569	0.705
muskrat	Muskrat	0.439	0.510	0.368
muslin	పలుచని వస్త్రం	0.439	0.304	0.352
muss	NO TRANSLATION	0.418	0.438	0.302
must	తప్పక	0.408	0.382	0.441
mustang	ముస్తాంగ్	0.635	0.642	0.708
mustard	ఆవాల	0.500	0.346	0.275
muster	కూడగట్టడానికి	0.635	0.460	0.548
musty	బూజు పట్టిన	0.354	0.367	0.267
mutable	మ్యూట్ చేయగల	0.426	0.531	0.491
mutant	మార్చబడిన	0.337	0.676	0.573
mutate	పరివర్తనం చెందడానికి	0.281	0.548	0.463
mutation	మ్యుటేషన్	0.365	0.625	0.611
mute	మ్యూట్	0.271	0.200	0.250
muted	మ్యూట్	0.260	0.167	0.162
mutilate	వాటిని నాశనం చేస్తాయి	0.125	0.900	0.465
mutilated	ముక్కలు ముక్కలు	0.041	0.841	0.356
mutilation	వైకల్యం	0.122	0.782	0.456
mutiny	తిరుగుబాటు	0.323	0.890	0.549
mutt	మఠం	0.418	0.408	0.387
mutter	NO TRANSLATION	0.406	0.427	0.228
mutton	మటన్	0.427	0.283	0.393
mutual	పరస్పర	0.729	0.321	0.464
mutually	పరస్పరం	0.844	0.490	0.582
muzzle	కండల	0.388	0.430	0.232
myfavorite	అభిమాన	0.812	0.587	0.615
myopia	హ్రస్వదృష్టి	0.245	0.387	0.226
myopic	హ్రస్వదృష్టి	0.344	0.396	0.218
myriad	పదివేలు	0.480	0.429	0.550
mysterious	రహస్యమైన	0.448	0.699	0.455
mystery	మిస్టరీ	0.417	0.667	0.519
mystic	మార్మిక	0.643	0.520	0.535
mystical	ఆధ్యాత్మిక	0.594	0.443	0.689
mysticism	మార్మిక	0.594	0.598	0.423
mystified	అజ్ఞాతమైన	0.344	0.600	0.509
mystique	అత్యద్భుత	0.668	0.633	0.667
myth	పురాణం	0.458	0.432	0.338
mythic	పురాణ	0.635	0.528	0.645
mythical	పౌరాణిక	0.625	0.556	0.583
mythological	పౌరాణిక	0.760	0.573	0.658
mythology	పురాణ	0.684	0.439	0.688
nab	దొంగిలించుట	0.469	0.544	0.407
nacho	నాచో	0.667	0.259	0.333
nada	NO TRANSLATION	0.250	0.231	0.136
nadir	అట్టడుగు	0.479	0.363	0.424
nag	NO TRANSLATION	0.271	0.451	0.472
nail	మేకుకు	0.469	0.397	0.282
nail gun	గోరు తుపాకీ	0.378	0.806	0.574
naive	సరళ	0.406	0.260	0.375
naked	నగ్న	0.323	0.885	0.288
