Word	Afrikaans-af	Valence	Arousal	Dominance
networking	netwerk	0.625	0.482	0.545
neural	neurale	0.582	0.426	0.391
neuralgia	neuralgie	0.092	0.706	0.439
neurological	neurologiese	0.500	0.540	0.558
neurologist	neuroloog	0.608	0.500	0.736
neurology	neurologie	0.459	0.537	0.580
neurosis	neurose	0.122	0.766	0.418
neurosurgeon	neurochirurg	0.590	0.673	0.755
neurosurgery	neurochirurgie	0.490	0.632	0.730
neurotic	neurotiese	0.198	0.801	0.387
neuter	onsydig	0.621	0.163	0.302
neutral	neutrale	0.469	0.184	0.357
neutrality	neutraliteit	0.469	0.205	0.434
neutralize	neutraliseer	0.519	0.363	0.719
neutron	neutron	0.469	0.440	0.679
new	nuwe	0.917	0.490	0.582
new age	Nuwe Era	0.694	0.556	0.727
newbeginnings	NO TRANSLATION	0.802	0.613	0.524
newborn	pasgebore	0.918	0.580	0.372
newcomer	nuweling	0.622	0.380	0.396
newday	nuwe dag	0.847	0.388	0.618
newfound	nuutgevonde	0.745	0.741	0.520
newjob	NO TRANSLATION	0.755	0.643	0.729
newlife	nuwe lewe	0.898	0.646	0.701
newly	nuut	0.688	0.422	0.552
newlywed	bruidspaar	0.847	0.706	0.570
newme	newme	0.643	0.550	0.527
newness	nuwigheid	0.740	0.522	0.588
news	nuus	0.633	0.580	0.610
newscast	Journaal	0.531	0.509	0.714
newscaster	nuusleser	0.646	0.510	0.764
newsflash	nuusflits	0.604	0.637	0.518
newsletter	nuusbrief	0.622	0.385	0.490
newsman	newsman	0.604	0.480	0.696
newspaper	koerant	0.602	0.283	0.444
newspaperman	koerantman	0.561	0.458	0.750
newsreel	in beeld	0.625	0.571	0.577
newsroom	nuuskantoor	0.531	0.392	0.658
newsstand	kiosk	0.615	0.222	0.336
newstart	nuwe begin	0.802	0.510	0.667
newt	Newt	0.458	0.380	0.541
newyear	nuwe jaar	0.938	0.784	0.520
nexus	Nexus	0.496	0.368	0.412
nib	penpunt	0.510	0.282	0.406
nibble	peusel	0.551	0.551	0.411
nice	lekker	0.930	0.442	0.650
niche	nis	0.459	0.413	0.318
nichts	NO TRANSLATION	0.406	0.293	0.404
nick	Nick	0.554	0.388	0.387
nickel	nikkel	0.510	0.347	0.406
nickname	bynaam	0.490	0.470	0.263
nicotine	nikotien	0.235	0.608	0.447
niece	niggie	0.771	0.320	0.400
nifty	nifty	0.740	0.745	0.815
nigger	nigger	0.240	0.347	0.398
nigh	naby	0.653	0.216	0.336
night	nag	0.598	0.396	0.404
nightcap	nightcap	0.750	0.196	0.268
nightclub	nagklub	0.802	0.894	0.528
nightfall	aand	0.490	0.436	0.426
nightgown	nagrok	0.643	0.408	0.250
nightie	nagrok	0.630	0.388	0.274
nightingale	nagtegaal	0.740	0.340	0.496
nightlife	naglewe	0.542	0.783	0.510
nightly	nagtelike	0.673	0.410	0.474
nightmare	nagmerrie	0.005	0.810	0.436
nightmares	nagmerries	0.082	0.942	0.448
nightstand	bedkassie	0.490	0.130	0.327
nightstick	gummistok	0.500	0.461	0.348
nighttime	aand	0.735	0.385	0.439
nihilism	nihilisme	0.367	0.510	0.364
nil	nil	0.286	0.143	0.157
nimble	ratse	0.833	0.729	0.769
nimrod	Nimrod	0.327	0.500	0.539
nincompoop	domoor	0.365	0.431	0.368
nine	nege	0.552	0.255	0.327
nineteen	negentien	0.673	0.304	0.375
ninety	negentig	0.479	0.349	0.436
ninja	ninja	0.542	0.844	0.682
ninny	uilskuiken	0.344	0.343	0.309
nintendo	Nintendo	0.802	0.571	0.464
ninth	negende	0.490	0.212	0.396
nip	nip	0.281	0.700	0.264
nipper	Nipper	0.386	0.422	0.317
nipple	tepel	0.480	0.786	0.415
nippy	ratse	0.540	0.500	0.416
nitrate	nitraat	0.388	0.406	0.500
nitro	nitro	0.500	0.647	0.639
nitrogen	stikstof	0.427	0.435	0.562
nitrous	nitrous	0.435	0.561	0.411
nitwit	sot	0.146	0.606	0.139
nix	nix	0.330	0.380	0.404
no anticipation	geen afwagting nie	0.396	0.480	0.341
no disgust	geen afkeer nie	0.510	0.324	0.448
no emotion	geen emosie nie	0.170	0.109	0.225
no sentiment	geen sentiment nie	0.092	0.382	0.278
no surprise	geen verrassing nie	0.171	0.224	0.412
no trust	geen vertroue nie	0.055	0.445	0.257
nobility	adel	0.844	0.347	0.736
noble	edele	0.906	0.345	0.610
nobleman	edelman	0.675	0.286	0.709
nobodycares	NO TRANSLATION	0.365	0.410	0.354
nocomplaints	NO TRANSLATION	0.677	0.164	0.491
nocturnal	nagtelike	0.540	0.500	0.462
nod	knik	0.590	0.367	0.427
nodding	knik	0.694	0.294	0.426
node	knoop	0.396	0.343	0.361
nodular	knopperige	0.438	0.351	0.411
nodule	nodule	0.312	0.426	0.349
noggin	kroesje	0.510	0.433	0.382
nohope	NO TRANSLATION	0.200	0.441	0.385
noir	noir	0.375	0.394	0.365
noise	geraas	0.260	0.883	0.388
noisy	lawaaierige	0.271	0.812	0.561
nomad	nomade	0.375	0.413	0.433
nomadic	nomadiese	0.427	0.519	0.422
nomenclature	nomenklatuur	0.500	0.222	0.575
nominal	nominale	0.594	0.250	0.463
nominate	nomineer	0.615	0.471	0.669
nomination	nominasie	0.663	0.637	0.696
nominee	genomineerde	0.662	0.625	0.765
nonce	nonce	0.422	0.370	0.377
nonchalant	nonchalant	0.312	0.314	0.366
noncompliance	nie-nakoming	0.112	0.598	0.259
nondescript	onopvallende	0.490	0.434	0.348
nonexistent	bestaande	0.208	0.429	0.149
nonfat	nonfat	0.604	0.260	0.340
nonfiction	fiksie	0.426	0.315	0.431
nonpayment	nonpayment	0.229	0.510	0.298
nonresident	nie-inwoner	0.250	0.340	0.302
nonsense	nonsens	0.214	0.531	0.155
nonsensical	nonsens	0.173	0.268	0.193
nonviolent	geweldadige	0.640	0.287	0.346
noob	nuweling	0.417	0.430	0.267
noodle	noodle	0.633	0.216	0.225
nook	uithoek	0.480	0.321	0.296
noon	middag	0.531	0.343	0.518
noose	strop	0.356	0.300	0.330
nopoint	geen punt	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	norm	0.500	0.245	0.527
normal	normaal	0.740	0.127	0.380
normalcy	normaliteit	0.805	0.151	0.620
normality	normaliteit	0.781	0.089	0.444
north	noord	0.531	0.255	0.450
northbound	noordwaartse	0.604	0.454	0.491
northeast	noordoos	0.562	0.260	0.375
northern	noordelike	0.570	0.340	0.472
northwest	Noordwes	0.604	0.345	0.451
northwestern	noordwestelike	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	neus	0.582	0.270	0.245
nosebleed	duizendblad	0.153	0.776	0.361
nosey	nuuskierige	0.276	0.655	0.223
nosnow	nosnow	0.392	0.394	0.366
nostalgia	nostalgie	0.417	0.337	0.339
nostalgic	nostalgiese	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	neusgat	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	nuuskierige	0.292	0.558	0.433
not negative	nie negatief nie	0.622	0.270	0.444
not positive	nie positief nie	0.051	0.370	0.236
notable	noemenswaardige	0.760	0.450	0.696
notables	nood	0.594	0.608	0.755
notably	veral	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	notaris	0.541	0.451	0.676
notation	notasie	0.635	0.380	0.558
notch	notch	0.459	0.361	0.358
notched	gekerfde	0.480	0.530	0.356
note	noot	0.594	0.163	0.416
notebook	notebook	0.449	0.167	0.442
noted	opgemerk	0.615	0.382	0.464
noteworthy	opmerklik	0.704	0.481	0.759
nothappy	NO TRANSLATION	0.112	0.320	0.170
nothingbetter	NO TRANSLATION	0.635	0.390	0.543
nothingness	nietigheid	0.204	0.080	0.161
notice	kennisgewing	0.646	0.408	0.491
noticeable	merkbaar	0.890	0.562	0.750
notification	kennisgewing	0.604	0.461	0.671
notify	in kennis stel	0.643	0.471	0.573
notion	idee	0.612	0.284	0.667
notional	veronderstelde	0.520	0.288	0.500
notoriety	bekendheid	0.552	0.633	0.769
notorious	berug	0.366	0.582	0.609
notready	nie gereed nie	0.133	0.400	0.196
notwithstanding	nieteenstaande	0.367	0.316	0.433
nought	niks	0.312	0.098	0.116
noun	naamwoord	0.531	0.230	0.477
nourish	voed	0.878	0.460	0.639
nourishment	voeding	0.786	0.290	0.631
nouveau	NO TRANSLATION	0.633	0.438	0.432
novel	boek	0.702	0.352	0.439
novelist	romanskrywer	0.340	0.343	0.529
novelty	nuwigheid	0.673	0.521	0.740
novice	beginner	0.429	0.346	0.180
nowadays	deesdae	0.680	0.346	0.400
nowork	geen werk	0.312	0.264	0.309
noworries	geen probleem	0.630	0.402	0.500
noxious	skadelike	0.177	0.585	0.379
nozzle	mondstuk	0.438	0.330	0.287
nuance	nuanse	0.408	0.282	0.411
nuances	nuanses	0.490	0.375	0.527
nuclear	kern	0.219	0.856	0.781
nucleus	kern	0.529	0.296	0.667
nude	naak	0.490	0.915	0.200
nudge	struikel	0.448	0.500	0.509
nudie	nudie	0.500	0.529	0.373
nudist	nudiste	0.440	0.796	0.483
nudity	naaktheid	0.438	0.853	0.415
nugget	klont	0.602	0.340	0.348
nuisance	oorlas	0.198	0.817	0.227
nuke	nuke	0.125	0.905	0.873
nul	NO TRANSLATION	0.337	0.358	0.264
null	nul	0.253	0.147	0.152
nullify	tot niet	0.255	0.373	0.395
numb	gevoelloos	0.108	0.420	0.352
number	aantal	0.406	0.231	0.471
numbering	nommeringstelsel	0.510	0.363	0.482
numbers	nommers	0.406	0.241	0.440
numbness	gevoelloosheid	0.306	0.398	0.265
numbskull	numbskull	0.300	0.472	0.284
numeral	Syfer	0.582	0.254	0.382
numerator	teller	0.490	0.317	0.526
numerical	numeriese	0.479	0.322	0.517
numerically	numeries	0.510	0.337	0.500
numerous	talle	0.622	0.462	0.609
nun	NO TRANSLATION	0.500	0.150	0.406
nunchucks	nunchucks	0.337	0.580	0.526
nunnery	klooster	0.653	0.236	0.473
nuptials	huwelik	0.771	0.588	0.571
nurse	verpleegster	0.635	0.578	0.521
nursemaid	kindermeid	0.615	0.431	0.436
nursery	kwekery	0.894	0.406	0.389
nursing	verpleging	0.552	0.549	0.653
nurture	koester	0.745	0.378	0.657
nut	neut	0.365	0.310	0.250
nutcase	nutcase	0.286	0.775	0.259
nutcracker	Neutkraker	0.635	0.378	0.522
nuthouse	Nuthouse	0.347	0.519	0.434
nutmeg	neutmuskaat	0.635	0.302	0.350
nutrition	voeding	0.885	0.420	0.579
nutritional	voedingswaarde	0.812	0.406	0.676
nutritious	voedsame	0.833	0.337	0.655
nutritive	voedingswaarde	0.875	0.422	0.667
nuts	neute	0.594	0.250	0.291
nutshell	neutedop	0.458	0.407	0.310
nutty	neutagtige	0.444	0.317	0.271
nylon	nylon	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	nylons	0.556	0.379	0.320
nymph	nimf	0.542	0.529	0.472
nymphomaniac	nimfomaan	0.398	0.894	0.536
oaf	plomp	0.344	0.357	0.330
oak	eikehout	0.583	0.245	0.536
oar	roeispaan	0.469	0.392	0.316
oasis	oase	0.796	0.283	0.429
oat	haver	0.622	0.170	0.298
oath	eed	0.543	0.615	0.824
oatmeal	hawermeel	0.592	0.192	0.241
obedience	gehoorsaamheid	0.765	0.287	0.536
obedient	gehoorsaam	0.800	0.179	0.518
obediently	gehoorsaam	0.802	0.304	0.577
obelisk	obelisk	0.604	0.408	0.596
obese	vetsugtig	0.133	0.427	0.250
obesity	vetsug	0.215	0.370	0.328
obey	gehoorsaam	0.677	0.433	0.533
obi	Obi	0.469	0.442	0.414
obit	dood boodskap	0.410	0.464	0.393
obituary	rou	0.188	0.330	0.423
object	voorwerp	0.531	0.356	0.375
objection	beswaar	0.347	0.592	0.709
objectionable	aanstootlike	0.459	0.382	0.558
objective	doel	0.724	0.337	0.736
objectivity	objektiwiteit	0.765	0.431	0.711
obligation	verpligting	0.222	0.596	0.718
obligatory	verpligte	0.337	0.571	0.780
oblige	verplig	0.281	0.770	0.614
obliged	verplig	0.327	0.680	0.411
obliging	hulpvaardig	0.740	0.402	0.545
obligor	skuldenaar	0.302	0.600	0.360
oblique	skuins	0.438	0.347	0.455
obliterate	uitwis	0.250	0.539	0.569
obliterated	uitgewis	0.240	0.469	0.344
obliteration	uitwissing	0.177	0.622	0.397
oblivion	vergetelheid	0.153	0.330	0.282
oblivious	onbewus	0.229	0.388	0.355
oblong	langwerpige	0.561	0.455	0.370
obnoxious	onaangenaam	0.088	0.602	0.256
oboe	hobo	0.510	0.340	0.392
obscene	onwelvoeglike	0.050	0.745	0.348
obscenity	obsceniteiten	0.083	0.843	0.418
obscure	duister	0.370	0.551	0.278
obscured	verduister	0.115	0.356	0.298
obscurity	onbekendheid	0.208	0.392	0.380
observance	nakoming	0.531	0.315	0.632
observant	oplettend	0.740	0.422	0.708
observation	waarneming	0.633	0.433	0.667
observatory	sterrewag	0.643	0.324	0.731
observe	neem	0.771	0.390	0.360
observer	waarnemer	0.663	0.363	0.603
observing	die waarneming van	0.583	0.400	0.685
obsess	obsessief	0.112	0.846	0.509
obsessed	obsessie	0.219	0.840	0.439
obsessing	tob	0.173	0.773	0.698
obsession	obsessie	0.229	0.847	0.571
obsessive	obsessiewe	0.219	0.823	0.480
obsolescence	veroudering	0.250	0.431	0.377
obsolete	uitgediende	0.337	0.321	0.250
obstacle	hindernis	0.204	0.708	0.336
obstetrician	verloskundige	0.521	0.636	0.604
obstetrics	verloskunde	0.530	0.582	0.564
obstinate	hard koppig	0.146	0.696	0.562
obstruct	belemmer	0.115	0.660	0.458
obstruction	obstruksie	0.125	0.742	0.491
obstructive	obstruktiewe	0.204	0.650	0.613
obtain	verkry	0.760	0.438	0.731
obtainable	verkrygbaar	0.677	0.327	0.702
obtuse	stomp	0.281	0.460	0.345
obverse	teenoorgestelde	0.470	0.394	0.464
obvious	voor die hand liggend	0.625	0.336	0.585
ocarina	Ocarina	0.541	0.392	0.366
occasion	geleentheid	0.700	0.451	0.398
occasional	Sosiale	0.490	0.298	0.387
occasionally	soms	0.538	0.240	0.264
occipital	oksipitale	0.398	0.408	0.518
occlusion	afsluiting	0.306	0.439	0.442
occult	okkulte	0.292	0.382	0.406
occupancy	besetting	0.625	0.471	0.721
occupant	bewoner	0.500	0.417	0.483
occupation	beroep	0.562	0.470	0.692
occupational	beroeps-	0.583	0.469	0.596
occupied	beset	0.337	0.546	0.441
occupier	bewoner	0.427	0.438	0.600
occupy	beset	0.396	0.520	0.589
occupying	beset	0.573	0.462	0.519
occur	gebeur	0.451	0.561	0.510
occurrence	voorkoms	0.573	0.690	0.541
ocd	OCD	0.333	0.472	0.370
ocean	oseaan	0.823	0.308	0.642
oceanic	oseaniese	0.740	0.317	0.632
octagon	agthoek	0.602	0.349	0.462
octave	oktaaf	0.438	0.380	0.482
octopus	seekat	0.713	0.378	0.411
ocular	okulêre	0.418	0.370	0.400
odd	vreemd	0.265	0.337	0.302
oddball	oddball	0.316	0.360	0.357
oddity	vreemd	0.312	0.557	0.386
odds	kans	0.500	0.472	0.680
ode	ode	0.604	0.269	0.519
odious	gehaat	0.235	0.708	0.235
odometer	odometer	0.367	0.470	0.388
odor	reuk	0.337	0.363	0.404
odyssey	odyssee	0.622	0.692	0.710
oedipal	Oedipale	0.312	0.575	0.509
oestrogen	estrogeen	0.521	0.608	0.561
oeuvre	NO TRANSLATION	0.653	0.484	0.598
offal	afval	0.302	0.470	0.302
offence	oortreding	0.312	0.798	0.446
offend	aanstoot	0.094	0.804	0.333
offended	aanstoot	0.188	0.690	0.337
offender	oortreder	0.104	0.851	0.537
offense	oortreding	0.230	0.765	0.510
offensive	offensief	0.135	0.882	0.600
offer	aanbod	0.750	0.745	0.596
offered	aangebied	0.582	0.490	0.544
offering	offer	0.688	0.462	0.585
offhand	onvoorbereid	0.388	0.500	0.368
office	kantoor	0.427	0.302	0.509
officer	beampte	0.542	0.430	0.877
offices	kantore	0.469	0.312	0.534
official	amptelik	0.646	0.565	0.833
officiate	optree	0.688	0.453	0.704
offing	vooruitsig	0.490	0.412	0.447
offload	af te laai	0.479	0.444	0.525
offset	verreken	0.719	0.394	0.704
offshoot	vertakking	0.517	0.330	0.361
offshore	buitelandse	0.417	0.484	0.441
offside	onkant	0.323	0.519	0.443
offspring	nageslag	0.656	0.435	0.600
oft	dikwels	0.500	0.308	0.474
oftentimes	dikwels	0.571	0.500	0.482
ogre	monster	0.135	0.698	0.510
ohdear	NO TRANSLATION	0.458	0.519	0.442
ohgod	NO TRANSLATION	0.500	0.557	0.439
ohno	Ohno	0.396	0.475	0.380
ohshit	NO TRANSLATION	0.230	0.594	0.343
oil	olie	0.521	0.278	0.306
oils	olies	0.459	0.229	0.391
oily	olierige	0.276	0.533	0.385
oink	og	0.500	0.450	0.289
ointment	salf	0.438	0.271	0.398
okra	okra	0.469	0.400	0.362
old	ou	0.410	0.279	0.315
olden	ou	0.284	0.213	0.425
older	ouer	0.385	0.255	0.317
oldie	ouwe	0.363	0.363	0.342
oldies	oldies	0.438	0.300	0.412
olfactory	olfaktoriese	0.602	0.409	0.452
oligarchy	oligargie	0.327	0.567	0.741
olive	olyf	0.571	0.231	0.406
omega	omega	0.529	0.337	0.526
omelet	omelet	0.708	0.323	0.315
omen	teken	0.390	0.657	0.583
omgomgomg	NO TRANSLATION	0.490	0.551	0.358
ominous	onheilspellende	0.255	0.730	0.510
omission	weglating	0.367	0.333	0.275
omit	laat	0.330	0.265	0.451
omitted	weggelaat	0.260	0.235	0.211
omnibus	omnibus	0.490	0.410	0.473
omnipotence	almag	0.667	0.793	0.866
omnipotent	alomteenwoordige	0.719	0.679	0.919
omnipresent	alomteenwoordige	0.688	0.452	0.825
omniscient	alwetend	0.656	0.334	0.778
onboard	aan boord	0.612	0.451	0.491
oncologist	onkoloog	0.260	0.654	0.640
oncology	onkologie	0.204	0.424	0.500
oncoming	aankomende	0.594	0.625	0.773
one	een	0.542	0.292	0.370
oneday	eendag	0.667	0.245	0.374
onedge	onedge	0.479	0.552	0.400
onelove	een liefde	0.816	0.577	0.541
oneness	eenheid	0.745	0.272	0.720
onerous	drukkende	0.500	0.480	0.462
oneself	jouself	0.660	0.337	0.483
ongoing	deurlopende	0.674	0.484	0.556
onion	ui	0.378	0.367	0.382
onset	aanvang	0.673	0.497	0.500
onslaught	aanslag	0.198	0.939	0.717
onstage	op die verhoog	0.719	0.673	0.583
ontology	ontologie	0.510	0.450	0.518
onus	onus	0.562	0.520	0.769
onward	Voorwaarts	0.667	0.538	0.741
onyx	oniks	0.571	0.461	0.380
oodles	stapels	0.490	0.374	0.446
oomph	oemf	0.449	0.613	0.315
ooze	modder	0.344	0.577	0.333
oozing	druipende	0.238	0.515	0.427
op	op	0.480	0.402	0.349
opacity	ondeursigtigheid	0.471	0.251	0.256
opal	opaal	0.623	0.479	0.379
opaque	ondeursigtig	0.344	0.265	0.342
ope	ope	0.375	0.380	0.395
open	oop	0.620	0.480	0.569
opener	opener	0.584	0.526	0.377
opening	opening	0.667	0.510	0.620
openly	openlik	0.603	0.388	0.553
openness	openheid	0.837	0.561	0.667
opera	opera	0.714	0.500	0.483
operate	werk	0.582	0.690	0.691
operatic	opera	0.375	0.452	0.627
operation	operasie	0.475	0.611	0.755
operational	operasionele	0.562	0.570	0.679
operations	bedrywighede	0.480	0.549	0.798
operative	operatiewe	0.541	0.635	0.718
operator	operateur	0.612	0.630	0.726
ophthalmic	oftalmiese	0.427	0.385	0.444
ophthalmologist	oftalmoloog	0.552	0.389	0.491
opiate	opiaat	0.281	0.594	0.598
opinion	opinie	0.594	0.482	0.638
opinionated	uitgesproke	0.156	0.800	0.491
opium	opium	0.276	0.490	0.333
opponent	opponent	0.080	0.741	0.716
opportune	gunstige	0.796	0.538	0.767
opportunism	opportunisme	0.571	0.752	0.673
opportunity	geleentheid	0.938	0.745	0.833
oppose	teenstaan	0.431	0.800	0.473
opposed	teenstelling	0.092	0.460	0.606
opposing	opponerende	0.188	0.660	0.518
opposite	teenoorgestelde	0.235	0.545	0.408
opposites	teenoorgesteldes	0.281	0.518	0.462
opposition	opposisie	0.135	0.729	0.592
oppress	onderdruk	0.186	0.654	0.555
oppressed	verdruktes	0.119	0.640	0.259
oppression	onderdrukking	0.080	0.673	0.615
oppressive	onderdrukkende	0.276	0.590	0.667
oppressor	onderdrukker	0.160	0.776	0.629
ops	ops	0.417	0.550	0.528
opt	opt	0.510	0.471	0.345
optic	optiese	0.663	0.384	0.594
optical	optiese	0.677	0.311	0.542
optics	optika	0.562	0.286	0.580
optimism	optimisme	0.949	0.565	0.814
optimist	optimis	0.875	0.539	0.787
optimistic	optimisties	0.979	0.580	0.821
optimum	optimum	0.892	0.469	0.808
option	opsie	0.512	0.427	0.359
optional	opsioneel	0.755	0.350	0.440
optionally	opsioneel	0.365	0.405	0.481
options	opsies	0.622	0.327	0.473
optometrist	oogkundige	0.446	0.455	0.668
opulence	weelde	0.620	0.615	0.648
opulent	weelderige	0.562	0.660	0.660
opus	opus	0.458	0.368	0.391
oracle	orakel	0.552	0.531	0.670
oral	mondelinge	0.530	0.448	0.375
orange	oranje	0.646	0.132	0.296
orange juice	lemoensap	0.719	0.343	0.445
orangutan	oerangoetang	0.430	0.560	0.471
oration	toegespreek	0.646	0.315	0.683
orator	redenaar	0.667	0.375	0.682
oratory	oratorium	0.602	0.472	0.693
orb	orb	0.463	0.370	0.444
orbit	wentel	0.561	0.422	0.575
orbital	orbitaal	0.458	0.451	0.559
orbiting	wentel	0.520	0.643	0.554
orbs	bolle	0.469	0.355	0.482
orc	Ork	0.240	0.510	0.388
orchard	boord	0.760	0.269	0.333
orchestra	orkes	0.708	0.500	0.664
orchid	orgidee	0.840	0.345	0.382
ordained	geordende	0.735	0.409	0.731
ordeal	beproewing	0.344	0.539	0.529
order	orde	0.780	0.295	0.814
orderly	ordelike	0.844	0.240	0.661
ordinance	Ordonnansie	0.615	0.452	0.776
ordinary	gewone	0.375	0.312	0.286
ordination	koördinering	0.688	0.490	0.765
ordnance	gedropte	0.354	0.825	0.679
ore	erts	0.500	0.333	0.356
oregano	oregano	0.596	0.327	0.250
organ	orrel	0.510	0.469	0.538
organic	organiese	0.719	0.343	0.535
organism	organisme	0.457	0.559	0.800
organist	orrelis	0.740	0.469	0.669
organization	organisasie	0.810	0.535	0.851
organize	organiseer	0.802	0.655	0.781
organized	georganiseer	0.816	0.337	0.746
organizer	organiseerder	0.604	0.577	0.846
orgasm	orgasme	0.844	0.863	0.676
orgies	orgies	0.388	0.953	0.433
orgy	orgie	0.346	0.962	0.536
orient	oriënteer	0.667	0.422	0.667
oriental	Oosterse	0.592	0.409	0.598
orientation	geaardheid	0.667	0.454	0.686
orifice	opening	0.448	0.355	0.443
origami	origami	0.684	0.276	0.294
origin	oorsprong	0.729	0.435	0.591
original	oorspronklike	0.765	0.480	0.746
originality	oorspronklikheid	0.898	0.500	0.824
originate	ontstaan	0.702	0.500	0.866
origination	ontstaan	0.760	0.443	0.604
originator	skepper	0.592	0.510	0.868
ornament	ornament	0.561	0.373	0.441
ornamental	ornamentele	0.663	0.392	0.460
ornamentation	versiering	0.663	0.471	0.472
ornamented	versier	0.677	0.350	0.490
ornate	versierde	0.812	0.356	0.500
ornery	overgevoelig	0.361	0.520	0.509
orphan	weeskind	0.133	0.388	0.140
orphanage	weeshuis	0.184	0.439	0.425
orphaned	gelaat	0.062	0.430	0.228
orthodontist	ortodontis	0.469	0.615	0.564
orthodox	ortodokse	0.388	0.471	0.647
orthodoxy	ortodoksie	0.271	0.388	0.612
orthogonal	ortogonale	0.500	0.314	0.540
orthopedic	ortopediese	0.406	0.346	0.473
oscillate	ossilleer	0.449	0.580	0.397
oscillating	ossillerende	0.469	0.548	0.402
oscillation	ossillasie	0.562	0.433	0.431
oscillatory	ossillasie	0.375	0.520	0.480
ostensible	oënskynlike	0.542	0.549	0.585
ostensibly	oënskynlik	0.473	0.529	0.509
ostentatious	blufferig	0.479	0.794	0.648
ostracized	verstoot	0.115	0.690	0.377
ostrich	volstruis	0.592	0.382	0.241
other	ander	0.472	0.230	0.259
otter	otter	0.439	0.216	0.339
otto	Otto	0.427	0.425	0.404
ottoman	ottoman	0.531	0.337	0.444
ought	behoort	0.438	0.511	0.434
ounce	greintjie	0.531	0.255	0.288
oust	verdryf	0.296	0.716	0.444
outage	onderbreking	0.306	0.684	0.438
outback	Outback	0.500	0.324	0.430
outbid	bied as	0.594	0.622	0.540
outboard	buiteboord	0.448	0.491	0.456
outbreak	uitbreek	0.260	0.632	0.472
outburst	uitbarsting	0.209	0.802	0.528
outcast	uitgeworpene	0.153	0.449	0.353
outcome	uitkoms	0.615	0.472	0.685
outcry	verontwaardiging	0.271	0.773	0.718
outdated	verouderde	0.167	0.236	0.226
outdo	oortref	0.771	0.750	0.873
outdoor	buite	0.814	0.256	0.447
outdoors	in die buitelug	0.781	0.444	0.453
outer	buitenste	0.552	0.471	0.456
outfit	uitrusting	0.760	0.490	0.566
outgoing	uitgaande	0.650	0.472	0.538
outgrow	ontgroei	0.510	0.529	0.722
outgrowth	uitvloeisel	0.771	0.620	0.688
outhouse	kleinhuisie	0.281	0.519	0.255
outing	uitstappie	0.771	0.672	0.634
outlandish	vreemd	0.448	0.737	0.657
outlast	langer duur	0.620	0.786	0.685
outlaw	verbied	0.255	0.662	0.482
outlet	uitlaat	0.610	0.396	0.245
outline	buitelyn	0.542	0.365	0.509
outlines	buitelyne	0.656	0.402	0.651
outlive	oorleef	0.565	0.769	0.724
outlook	vooruitsigte	0.830	0.525	0.625
outlying	afgeleë	0.460	0.562	0.503
outnumber	tref	0.347	0.615	0.577
outpatient	buitepasiënt	0.260	0.400	0.395
outpost	buitepos	0.635	0.571	0.675
outpouring	uitstorting	0.562	0.685	0.552
output	uitset	0.604	0.389	0.434
outrage	verontwaardiging	0.060	0.689	0.542
outraged	woedend	0.156	0.696	0.538
outrageous	verregaande	0.153	0.945	0.713
outrank	tref	0.653	0.643	0.817
outreach	uitreik	0.540	0.462	0.672
outright	blatante	0.767	0.396	0.755
outrun	vooruit gehardloop, vinniger	0.531	0.833	0.573
outset	staanspoor	0.750	0.500	0.582
outsider	buitestaander	0.398	0.549	0.447
outskirts	buitewyke	0.474	0.519	0.312
outsmart	uitoorlê	0.673	0.657	0.864
outspoken	uitgesproke	0.582	0.413	0.667
outstanding	uitstaande	0.898	0.760	0.896
outstretched	uitgestrekte	0.448	0.481	0.519
outward	uiterlike	0.449	0.439	0.365
outwards	na buite	0.440	0.472	0.400
outweigh	swaarder	0.486	0.600	0.682
outwit	uitoorlê	0.302	0.755	0.356
oval	ovaal	0.417	0.280	0.330
ovary	eierstok	0.469	0.399	0.280
ovate	ovaalvormige	0.385	0.286	0.368
ovation	ovasie	0.719	0.758	0.750
oven	oond	0.583	0.425	0.606
overactive	ooraktiewe	0.667	0.885	0.592
overall	algehele	0.583	0.370	0.670
overalls	oorpakke	0.500	0.392	0.373
overbearing	baasspelerig	0.323	0.833	0.861
overburden	oorlaai	0.115	0.755	0.546
overcast	bewolkte	0.417	0.250	0.475
overcharged	beswaar	0.276	0.780	0.569
overcoat	jas	0.594	0.265	0.430
overcome	oorkom	0.719	0.689	0.848
overcoming	oorkom	0.842	0.765	0.855
overcrowded	oorvol	0.292	0.520	0.491
overdo	oordoen	0.156	0.864	0.602
overdose	oordosis	0.110	0.820	0.468
overdrive	ooreis	0.303	0.715	0.732
overdue	agterstallige	0.125	0.427	0.259
overestimate	oorskat	0.367	0.796	0.444
overestimated	oorskat	0.344	0.646	0.527
overflow	oorloop	0.398	0.792	0.500
overflowing	golwende	0.439	0.796	0.635
