Word	Frisian-fy	Valence	Arousal	Dominance
horseradish	hynder	0.321	0.584	0.476
horseshit	hynder	0.153	0.582	0.179
horseshoe	hynder	0.673	0.350	0.406
horsey	horsey	0.602	0.454	0.462
horticultural	horticultural	0.594	0.387	0.509
horticulture	horticulture	0.700	0.420	0.434
hosannah	NO TRANSLATION	0.679	0.373	0.500
hose	slang	0.469	0.288	0.263
hosiery	stof	0.520	0.344	0.373
hospice	hospice	0.337	0.443	0.535
hospitable	gastfrij	0.791	0.470	0.661
hospital	sikehûs	0.323	0.537	0.598
hospitality	gastfrijens	0.865	0.333	0.725
host	gasthear	0.693	0.471	0.537
hostage	Geast	0.163	0.923	0.325
hostel	hostel	0.479	0.500	0.398
hostess	gastfrou	0.792	0.604	0.688
hostile	fijannich	0.188	0.877	0.474
hostilities	fijannichheden	0.276	0.810	0.444
hostility	fijannigens	0.122	0.775	0.465
hot	hyt	0.490	0.740	0.573
hot sauce	hitte saus	0.333	0.740	0.509
hotbed	hotbed	0.510	0.285	0.395
hotdog	Hot Dog	0.720	0.438	0.373
hotel	hotel	0.740	0.370	0.407
hothead	hothead	0.240	0.849	0.518
hotline	Hotline	0.592	0.565	0.663
hotshot	hotshot	0.500	0.727	0.615
hotyoga	NO TRANSLATION	0.683	0.609	0.446
hound	hûn	0.417	0.528	0.582
hour	oere	0.552	0.265	0.336
hourglass	súdwestewyn	0.542	0.284	0.492
hourly	oere	0.469	0.418	0.491
house	hûs	0.587	0.135	0.533
houseboat	wenboat	0.604	0.389	0.429
houseboy	houseboy	0.479	0.415	0.393
housebroken	húshâldlik	0.518	0.461	0.389
houseguest	húsfest	0.530	0.500	0.481
household	húshâlding	0.781	0.230	0.667
householder	húshâldster	0.816	0.541	0.833
housekeeper	housekeeper	0.694	0.279	0.520
housekeeping	húshâlding	0.604	0.500	0.445
housewarming	housewarming	0.857	0.710	0.727
housewife	húshâlding	0.656	0.361	0.449
housework	húswurk	0.484	0.413	0.342
housing	wenjen	0.776	0.304	0.591
hovel	hovel	0.333	0.296	0.322
hover	hover	0.510	0.431	0.404
hovercraft	hovercraft	0.541	0.654	0.588
howl	heul	0.357	0.646	0.407
howsoever	howsoever	0.459	0.309	0.345
hoy	NO TRANSLATION	0.583	0.298	0.471
hub	hub	0.479	0.399	0.433
hubby	hubby	0.548	0.435	0.430
huckleberry	huckleberry	0.600	0.279	0.296
huddle	huddle	0.604	0.509	0.445
hue	hue	0.507	0.416	0.417
huff	huff	0.388	0.491	0.315
huffy	huffy	0.420	0.616	0.375
hug	hug	0.908	0.427	0.548
huge	geweldig	0.573	0.625	0.783
hugger	hugger	0.520	0.480	0.412
huggy	huggy	0.854	0.429	0.451
hugs	hugs	0.980	0.422	0.600
hulk	hulk	0.460	0.740	0.750
hull	romp	0.542	0.265	0.353
hum	hum	0.490	0.296	0.276
human	minske	0.767	0.314	0.605
humane	humane	0.800	0.370	0.580
humanitarian	humanitêr	0.786	0.317	0.709
humanities	humanities	0.729	0.325	0.677
humanity	minskdom	0.750	0.360	0.727
humankind	humankind	0.885	0.394	0.714
humanoid	humanoid	0.521	0.462	0.491
humanrights	NO TRANSLATION	0.792	0.559	0.730
humble	humble	0.867	0.236	0.483
humbled	humbled	0.280	0.618	0.198
humbly	humbly	0.771	0.194	0.370
humbug	humbug	0.219	0.622	0.456
humdrum	humdrum	0.269	0.246	0.353
humid	humid	0.375	0.324	0.366
humidity	humidity	0.464	0.373	0.367
humiliate	fernederje	0.052	0.714	0.275
humiliated	humiliated	0.104	0.712	0.216
humiliating	humilistysk	0.062	0.716	0.279
humiliation	humiliaasje	0.048	0.712	0.310
humility	humiliteit	0.740	0.118	0.444
hummer	hummer	0.510	0.622	0.589
hummingbird	hummingbird	0.750	0.370	0.273
humongous	humongous	0.378	0.538	0.536
humor	humor	0.890	0.633	0.462
humored	humorearre	0.854	0.657	0.545
humorist	humorist	0.958	0.790	0.607
humorous	humoristysk	0.906	0.616	0.665
hump	hump	0.296	0.462	0.250
humpback	humpback	0.235	0.346	0.247
hunch	hunch	0.561	0.630	0.567
hunchback	hunchback	0.208	0.390	0.259
hundred	hûndert	0.604	0.370	0.406
hundredth	hûndertste	0.427	0.368	0.466
hunger	honger	0.083	0.554	0.328
hungry	hongerich	0.083	0.690	0.254
hunk	hunk	0.438	0.375	0.361
hunks	hunks	0.417	0.453	0.482
hunky	hunky	0.469	0.571	0.438
hunt	jacht	0.327	0.806	0.588
hunter	jager	0.292	0.817	0.817
hunting	jacht	0.448	0.713	0.714
huntress	hannelje	0.357	0.717	0.765
hurdle	hurdle	0.198	0.682	0.434
hurl	hurl	0.316	0.745	0.574
hurrah	hurray	0.802	0.740	0.500
hurricane	hurrike	0.177	0.958	0.787
hurricanes	hurricanes	0.286	0.898	0.784
hurried	hurde	0.314	0.806	0.393
hurry	hast	0.422	0.735	0.481
hurryup	NO TRANSLATION	0.473	0.791	0.555
hurt	wekker	0.062	0.773	0.291
hurtful	swak	0.104	0.680	0.463
hurting	bliuwt	0.153	0.778	0.221
husband	man	0.771	0.500	0.655
husbandry	húshâlding	0.643	0.473	0.445
hush	hush	0.471	0.231	0.312
hushed	hurd	0.292	0.194	0.272
husk	NO TRANSLATION	0.378	0.173	0.147
husky	husky	0.630	0.450	0.490
hussy	hussy	0.219	0.594	0.384
hustle	hustle	0.406	0.661	0.427
hustler	hustler	0.260	0.821	0.627
hut	hutte	0.633	0.270	0.375
hutch	hutch	0.385	0.453	0.520
hyacinth	hyazint	0.372	0.360	0.342
hybrid	hybride	0.500	0.365	0.570
hydra	hydra	0.406	0.598	0.534
hydrant	hydrant	0.570	0.413	0.367
hydrate	hydrate	0.610	0.367	0.547
hydraulic	hydraulysk	0.522	0.398	0.596
hydraulics	hydraulyk	0.500	0.530	0.588
hydrocephalus	hydrocephalus	0.286	0.629	0.393
hydrodynamics	hydrodynamika	0.552	0.582	0.664
hydrogen	wetterstof	0.469	0.303	0.554
hydrographic	hydrografysk	0.490	0.396	0.642
hydrology	hydrology	0.500	0.380	0.509
hydrophobia	hydrophobia	0.323	0.784	0.351
hydroponics	hydroponics	0.500	0.549	0.500
hyena	hyena	0.396	0.719	0.464
hygiene	hygiëne	0.781	0.287	0.537
hygienic	hygienysk	0.719	0.245	0.702
hygienist	hygienist	0.698	0.389	0.682
hymen	hymen	0.469	0.651	0.457
hymn	hymne	0.735	0.292	0.634
hype	hype	0.510	0.500	0.586
hyped	hyped	0.708	0.582	0.679
hyper	hyper	0.542	0.616	0.640
hyperactive	hyperaktyf	0.500	0.921	0.660
hyperbole	hyperbole	0.469	0.521	0.542
hyperspace	hyperspace	0.510	0.623	0.755
hypertension	hypertensie	0.133	0.784	0.427
hypertrophy	hypertrophy	0.312	0.625	0.413
hyperventilate	hyperventilate	0.347	0.729	0.556
hyperventilating	hyperventilating	0.164	0.802	0.625
hyphen	hyfen	0.552	0.356	0.381
hypnosis	hypnosis	0.417	0.410	0.546
hypnotic	hypnotysk	0.571	0.560	0.569
hypnotist	hypnotist	0.490	0.455	0.627
hypnotize	hypnotize	0.469	0.507	0.508
hypnotized	hypnotisearre	0.449	0.434	0.380
hypochondriac	hypochondriac	0.194	0.588	0.333
hypocrisy	hypokrisy	0.156	0.523	0.370
hypocrite	hypokrit	0.082	0.673	0.306
hypocritical	hypokritysk	0.048	0.740	0.415
hypodermic	hypodermysk	0.240	0.441	0.445
hypothalamus	hypothalamus	0.593	0.427	0.539
hypothermia	hypothermia	0.184	0.620	0.301
hypothesis	hypoteze	0.552	0.370	0.509
hypothetical	hypoteetysk	0.480	0.367	0.361
hysterectomy	hysterektomy	0.178	0.660	0.470
hysteria	hystery	0.224	0.906	0.482
hysterical	hysterysk	0.290	0.942	0.398
ibuprofen	ibuprofen	0.448	0.427	0.504
ice	iis	0.440	0.265	0.219
ice tea	iis tee	0.771	0.337	0.336
iceberg	iceberg	0.344	0.540	0.648
icebox	icebox	0.560	0.222	0.370
icebreaker	icebreaker	0.571	0.545	0.848
iced	iced	0.564	0.482	0.339
icing	icing	0.688	0.452	0.411
icky	icky	0.357	0.510	0.342
icon	byldkaike	0.549	0.349	0.415
iconic	ikonikaasje	0.583	0.537	0.700
iconography	ikonografy	0.602	0.382	0.653
icy	icy	0.684	0.375	0.345
id	id	0.449	0.344	0.391
idea	idee	0.750	0.538	0.704
ideal	ideaal	0.802	0.437	0.736
idealism	idealisme	0.635	0.436	0.689
idealist	idealist	0.816	0.510	0.802
idealistic	idealistysk	0.812	0.469	0.755
identical	identysk	0.635	0.380	0.527
identically	identysk	0.667	0.427	0.487
identification	identifikaasje	0.714	0.451	0.692
identify	identifisearje	0.635	0.480	0.667
identity	identiteit	0.663	0.360	0.780
ideology	ideology	0.573	0.344	0.692
idiocy	idiocy	0.112	0.635	0.137
idiom	idiom	0.520	0.337	0.445
idiomatic	idiomatysk	0.531	0.429	0.516
idiot	idiot	0.086	0.567	0.113
idiotic	idiotysk	0.104	0.620	0.170
idiots	idiots	0.143	0.600	0.144
idle	idle	0.179	0.167	0.112
idleness	noait	0.308	0.330	0.228
idler	idler	0.200	0.304	0.194
idol	idol	0.684	0.805	0.853
idolatry	idolatry	0.365	0.571	0.625
idolizing	idolearjen	0.676	0.712	0.643
idyllic	idyllika	0.571	0.394	0.593
iffy	iffy	0.380	0.442	0.333
ifonly	as allinnich	0.406	0.250	0.255
igloo	iglo	0.569	0.302	0.345
igneous	igneous	0.469	0.466	0.517
ignite	ûntstekke	0.458	0.785	0.675
ignition	lûd	0.365	0.720	0.657
ignorance	ûnwittendheid	0.153	0.417	0.209
ignorant	ûnwittend	0.102	0.461	0.223
ignore	Negearje	0.146	0.230	0.295
iguana	iguana	0.521	0.235	0.291
ihatespiders	NO TRANSLATION	0.245	0.611	0.420
ilk	NO TRANSLATION	0.438	0.451	0.455
ill	siik	0.073	0.410	0.200
illegal	yllegaal	0.061	0.787	0.337
illegality	yllegaliteit	0.094	0.635	0.427
illegally	illegaal	0.133	0.788	0.402
illegible	net te leauwen	0.296	0.490	0.315
illegitimate	illegitatyf	0.184	0.644	0.302
illicit	illegaal	0.188	0.794	0.390
illiterate	ûnwittend	0.120	0.410	0.151
illness	sykte	0.098	0.717	0.211
illogical	ûngelok	0.208	0.630	0.251
illuminate	lit sjen	0.905	0.646	0.782
illuminating	ljocht	0.949	0.613	0.773
illumination	illuminaasje	0.760	0.588	0.537
illuminator	illuminator	0.770	0.566	0.718
illusion	yllúzje	0.562	0.490	0.387
illustrate	yllustrearje	0.750	0.430	0.690
illustration	yllustraasje	0.740	0.441	0.640
illustrative	yllustrearre	0.771	0.452	0.647
illustrious	ferrassend	0.673	0.550	0.741
ilovechristmas	NO TRANSLATION	0.885	0.590	0.525
iloveher	NO TRANSLATION	0.750	0.519	0.556
image	byld	0.653	0.241	0.453
imagery	ferbylding	0.653	0.327	0.390
imaginable	fermoedlik	0.613	0.529	0.596
imaginary	fermogen	0.560	0.424	0.310
imagination	ferbylding	0.802	0.491	0.547
imaginative	fermaaklik	0.780	0.541	0.593
imagine	yntinke	0.759	0.480	0.587
imagined	yndrukke	0.656	0.412	0.418
imaging	imaging	0.724	0.394	0.482
imagining	yntinke	0.765	0.458	0.545
imam	NO TRANSLATION	0.527	0.337	0.539
imbalance	ûnbalâns	0.115	0.538	0.264
imbecile	imbecile	0.082	0.569	0.260
imbedded	ynboargje	0.406	0.580	0.562
imissyou	NO TRANSLATION	0.480	0.608	0.344
imitate	imitearje	0.469	0.561	0.336
imitated	nei imitearre	0.333	0.391	0.442
imitation	imitation	0.406	0.592	0.343
immaculate	ûnbepaald	0.698	0.330	0.688
immaterial	net materiaal	0.296	0.309	0.295
immature	ûnreplik guod	0.114	0.500	0.200
immaturity	ûnregelmjittichheid	0.146	0.567	0.221
immeasurable	ûnmeilber	0.510	0.539	0.712
immeasurably	ûngemaklik	0.510	0.640	0.680
immediacy	ymmediacy	0.635	0.630	0.627
immediate	direkteur	0.656	0.548	0.716
immediately	fuortendaliks	0.552	0.780	0.707
immemorial	ûnmooglik	0.327	0.469	0.454
immense	geweldig	0.755	0.750	0.811
immerse	dûke	0.510	0.577	0.509
immersion	Wetter - Agrarwetter	0.510	0.556	0.564
immigrant	ymmigrant	0.357	0.663	0.509
immigration	ymmigraasje	0.390	0.667	0.454
imminent	imminente	0.490	0.784	0.643
immobile	ûnbewenne	0.225	0.217	0.298
immoral	ymmoreel	0.143	0.622	0.385
immorality	ymmoraliteit	0.188	0.689	0.315
immortal	ûnstjerlik	0.812	0.750	0.795
immortality	ûnstjerlikheid	0.688	0.635	0.861
immovable	ûnbetrouber	0.480	0.310	0.571
immune	ymmún	0.629	0.472	0.780
immunity	immuniteit	0.633	0.316	0.786
immunization	ymmigraasje	0.667	0.510	0.733
immutable	ûnbetrouber	0.427	0.431	0.571
imp	imp	0.350	0.448	0.420
impact	impact	0.469	0.884	0.776
impair	beneidielje	0.153	0.500	0.360
impaired	beperkte	0.130	0.459	0.269
impairment	beoardieling	0.170	0.571	0.220
impart	ferjilde	0.521	0.441	0.694
impartial	ûnpartich	0.531	0.406	0.685
impartiality	ûnpartens	0.622	0.394	0.616
impassable	ûnbidich	0.342	0.458	0.553
impassioned	ferwûne	0.740	0.780	0.802
impatience	ûngeduld	0.278	0.780	0.411
impatient	ûngeduldich	0.250	0.708	0.429
impatiently	NO TRANSLATION	0.194	0.750	0.539
impeach	impeach	0.208	0.776	0.664
impeachment	impeachment	0.163	0.735	0.694
impeccable	maklik	0.833	0.370	0.824
impede	foarkommen	0.271	0.510	0.604
impediment	impediment	0.163	0.600	0.409
impelled	beynfloedzje	0.604	0.741	0.690
impending	Wetter - Agrarwetter	0.480	0.735	0.752
impenetrable	impenetrable	0.531	0.577	0.839
imperative	ymperatyf	0.625	0.647	0.708
imperceptible	ûnmisbere	0.378	0.490	0.548
imperfect	ûnfolslein	0.173	0.527	0.202
imperfection	ûnferskieding	0.190	0.567	0.321
imperfectly	ûnfolslein	0.297	0.481	0.330
imperial	keizerlik	0.669	0.646	0.922
imperialist	NO TRANSLATION	0.284	0.786	0.833
impermeable	ferdielbaar	0.510	0.308	0.558
impermissible	ûntslachlik	0.188	0.464	0.352
impersonal	ûnpersoanlik	0.316	0.356	0.472
impersonate	prate	0.510	0.632	0.591
impersonation	persoanlikheid	0.375	0.618	0.528
impersonator	impersonator	0.469	0.586	0.406
impertinence	impertinence	0.170	0.653	0.420
impertinent	impertinent	0.219	0.826	0.373
impervious	djipper	0.582	0.408	0.536
impetuous	ûngeduldich	0.602	0.814	0.712
impetus	impetus	0.521	0.740	0.635
implacable	ûnbetrouber	0.569	0.663	0.830
implant	implant	0.429	0.510	0.588
implantation	implantaasje	0.396	0.604	0.741
implanted	implantearre	0.347	0.500	0.679
implement	útfiere	0.720	0.573	0.792
implicate	implicit	0.250	0.670	0.434
implicated	yntreekt	0.354	0.673	0.438
implication	implikaasje	0.337	0.528	0.690
implied	implied	0.327	0.530	0.481
implore	freegje	0.396	0.650	0.377
implosion	implosion	0.412	0.724	0.547
imply	betsjutte	0.542	0.670	0.533
impolite	impolity	0.167	0.590	0.282
import	ymport	0.615	0.480	0.623
importance	belang	0.750	0.580	0.864
important	belangryk	0.827	0.630	0.836
importation	ymportaasje	0.625	0.500	0.733
impose	oantsjutte	0.503	0.721	0.745
imposing	imposearje	0.392	0.731	0.836
imposition	ymposysje	0.357	0.604	0.618
impossibility	ûnmooglikheid	0.170	0.625	0.306
impossible	ûnmooglik	0.153	0.510	0.407
impostor	impostor	0.135	0.704	0.442
impotence	ûnmooglikheid	0.198	0.689	0.224
impotent	ûnmooglik	0.146	0.587	0.333
impound	impound	0.230	0.587	0.583
impoverished	ferwûne	0.125	0.311	0.203
impracticable	ûnpraktyk	0.398	0.549	0.381
impractical	ûnproduktyf	0.160	0.373	0.291
impregnable	ûnbidich	0.378	0.549	0.667
impregnate	yndrukke	0.510	0.721	0.655
impress	yndruk	0.816	0.744	0.895
impressed	ûnder de yndruk	0.806	0.770	0.429
impression	ympresje	0.684	0.557	0.577
impressionable	yndrukber	0.827	0.720	0.645
impressive	ymposant	0.781	0.830	0.873
imprint	imprint	0.615	0.574	0.685
imprison	ynstânsje	0.112	0.829	0.545
imprisoned	yn 'e finzenis	0.032	0.717	0.302
imprisonment	finzenis	0.133	0.630	0.471
improbable	ûnwierskynber	0.097	0.412	0.439
impromptu	impromptu	0.541	0.729	0.415
improper	ferkeard	0.229	0.520	0.259
impropriety	ûnpost	0.133	0.591	0.389
improve	ferbetterje	0.833	0.528	0.815
improved	ferbettere	0.919	0.480	0.679
improvement	ferbettering	0.786	0.500	0.611
improves	ferbetteret	0.929	0.625	0.727
improving	ferbetterje	0.911	0.510	0.682
improvisation	ymprovisaasje	0.631	0.812	0.529
improvise	ympresearje	0.646	0.650	0.519
improvised	ymprovisearre	0.610	0.673	0.443
imprudent	ûngeduldich	0.170	0.676	0.265
impudence	oersichtigens	0.214	0.500	0.472
impudent	opsichtich	0.302	0.604	0.462
impulse	ympuls	0.530	0.840	0.611
impulsive	ympulsyf	0.365	0.864	0.607
impunity	impunity	0.313	0.721	0.602
impure	ûnreine	0.260	0.560	0.208
impurity	impurity	0.173	0.546	0.306
imputation	ynputaasje	0.333	0.654	0.621
imtryingtosleep	NO TRANSLATION	0.438	0.363	0.385
inability	ûnfermogen	0.150	0.529	0.250
inaccessible	net te brûken	0.083	0.585	0.446
inaccurate	ûnkrekt	0.135	0.450	0.250
inaction	ynaktyf	0.323	0.225	0.325
inactivate	ynaktivearje	0.245	0.240	0.415
inactivation	ynaktivaasje	0.198	0.260	0.220
inactive	ynaktyf	0.271	0.167	0.159
inactivity	ynaktiviteit	0.135	0.143	0.227
inadequacy	Ungedienheid	0.286	0.500	0.297
inadequate	gebrekkich	0.122	0.450	0.223
inadequateness	ûnkunde	0.240	0.529	0.316
inadmissible	ûnbeskikber	0.188	0.636	0.389
inadvertent	ynadvertint	0.365	0.368	0.286
inadvertently	ûnbeheinde	0.302	0.541	0.549
inaffable	NO TRANSLATION	0.388	0.518	0.455
inalienable	ûnferienlik	0.437	0.459	0.608
inane	inane	0.271	0.350	0.268
inanimate	ûnminsklik	0.281	0.143	0.224
inapplicable	net te brûken	0.281	0.402	0.330
inappropriate	ûnbepaald	0.135	0.542	0.353
inattention	ûngeduld	0.208	0.433	0.188
inaudible	ûnsichtber	0.280	0.398	0.358
inaugural	ynauguraal	0.684	0.567	0.608
inaugurate	ynogearre	0.781	0.582	0.800
inauguration	ynauguration	0.847	0.712	0.769
inborn	ynboarne	0.590	0.288	0.546
inbound	ynbûn	0.531	0.388	0.538
inbred	ynbrede	0.397	0.520	0.473
incalculable	ûnskuldich	0.449	0.620	0.679
incandescent	incandescent	0.354	0.612	0.621
incantation	incantation	0.439	0.632	0.548
incapable	ûnbekwaam	0.156	0.529	0.155
incapacity	incapacity	0.052	0.500	0.217
incarceration	ynkarceraasje	0.100	0.800	0.397
incarnate	ynkarnearje	0.552	0.651	0.593
incase	yn 't gefal dat	0.580	0.196	0.365
incendiary	Wetter - Agrarwetter	0.281	0.810	0.598
incense	wijreek	0.698	0.275	0.328
incensed	fergriemd	0.338	0.643	0.392
incentive	incentive	0.812	0.618	0.718
inception	begjin	0.604	0.425	0.561
incessant	ûnstjerlik	0.438	0.760	0.544
incessantly	ûnstjerlik	0.417	0.765	0.606
incest	incest	0.073	0.853	0.491
incestuous	incestuous	0.188	0.736	0.442
inch	inch	0.481	0.327	0.300
incidence	incidence	0.417	0.527	0.429
incident	foarfal	0.084	0.662	0.482
incidental	incidental	0.281	0.610	0.404
incidentally	oerfallend	0.479	0.500	0.500
incineration	Ferbining	0.229	0.787	0.470
incinerator	brommer	0.250	0.643	0.591
incipient	úteinlik	0.442	0.382	0.430
incision	ynsidint	0.240	0.663	0.558
incisive	incisive	0.380	0.602	0.545
incite	incite	0.449	0.736	0.642
incitement	oanstriid	0.302	0.943	0.598
inclement	ûngelok	0.260	0.676	0.616
inclination	oanstriid	0.378	0.490	0.538
incline	slach	0.490	0.423	0.345
inclined	oanstriid	0.469	0.347	0.402
include	ynklusyf	0.729	0.449	0.702
included	ynklusyf	0.760	0.402	0.570
including	ynklusyf	0.700	0.378	0.518
inclusion	ynklusyf	0.774	0.404	0.712
inclusive	ynklusyf	0.604	0.420	0.564
incognito	incognito	0.610	0.490	0.446
incoherent	incoherent	0.122	0.612	0.250
income	ynkommen	0.750	0.510	0.728
incoming	ynkommend	0.660	0.509	0.596
incomparable	ûnparabelber	0.625	0.577	0.670
incompatible	ynkompatibel	0.196	0.500	0.310
incompetence	ynkompetinsje	0.077	0.551	0.208
incompetent	ynkompetint	0.133	0.566	0.239
incomplete	ûnfolslein	0.153	0.370	0.205
incompletely	ûnbegryplike	0.344	0.442	0.232
incompleteness	ûnbegryplike	0.271	0.451	0.234
incomprehensible	ûnbegryplik	0.250	0.550	0.344
inconceivable	ûnbetrouber	0.198	0.552	0.561
inconclusive	ûnskuldich	0.153	0.442	0.340
incongruous	ûngemurken	0.177	0.504	0.343
inconsequential	ûnkonsensyf	0.250	0.480	0.345
inconsiderate	ûnregelmjittich	0.224	0.519	0.423
inconsistency	ûnregelmjittichheid	0.125	0.480	0.314
inconsistent	ûnregelmjittich	0.271	0.431	0.295
inconspicuous	ûnsichtber	0.604	0.214	0.368
incontinence	incontinence	0.150	0.598	0.272
inconvenience	oerlêst	0.063	0.667	0.291
inconvenient	ûngeduldich	0.224	0.610	0.375
incorporate	yndoneare	0.745	0.612	0.571
incorporation	ynboarging	0.573	0.404	0.768
incorrect	ferkeard	0.140	0.569	0.255
incorrigible	ûnregelmjittich	0.130	0.667	0.500
increase	tanimme	0.810	0.657	0.886
increased	ferhege	0.684	0.660	0.773
incredible	incredible	0.857	0.796	0.902
incredulous	ûnregelmjittich	0.286	0.510	0.269
increment	ynstiging	0.684	0.637	0.750
incriminate	ynkrije	0.188	0.810	0.416
incriminating	ûntslach	0.133	0.788	0.500
incrimination	ymmigraasje	0.152	0.865	0.545
incubation	Ynkubaasje	0.461	0.490	0.397
incubator	incubator	0.510	0.435	0.405
incubus	incubus	0.458	0.529	0.482
incumbent	ynkommensje	0.396	0.540	0.565
incur	Wetter - Agrarwetter	0.312	0.667	0.495
incurable	ûnskuldich	0.104	0.667	0.255
incursion	oplieding	0.552	0.830	0.719
indebted	fertsjinje	0.138	0.698	0.275
indecency	ûnôfhinklikens	0.135	0.670	0.491
indecent	ûnfatsoenlik	0.083	0.683	0.240
indecision	ûnbeskikking	0.184	0.480	0.196
indecisive	ûnbeskosyf	0.271	0.420	0.190
indefensible	ûnfensibel	0.173	0.647	0.484
indefinite	indefinite	0.448	0.292	0.296
indelible	ûnbetrouber	0.490	0.337	0.591
indemnification	fermannichfâldiging	0.521	0.490	0.770
indemnify	fermannichfâldigje	0.449	0.548	0.613
indemnity	fermannichheid	0.470	0.607	0.692
indent	indent	0.479	0.346	0.379
indentation	yndruk	0.374	0.500	0.349
indenture	indenture	0.434	0.382	0.636
independence	selsstannigens	0.896	0.663	0.911
independent	ûnôfhinklik	0.885	0.440	0.872
indescribable	ûnskreaun	0.448	0.529	0.648
indestructible	ûnbetrouber	0.772	0.731	0.853
indeterminate	ûnbestimmend	0.360	0.402	0.322
index	yndeks	0.448	0.268	0.342
indicate	oanjaan	0.594	0.350	0.676
indicating	oantsjutte	0.745	0.339	0.555
indication	oanwizing	0.719	0.432	0.750
indicative	indicative	0.510	0.510	0.591
indicator	Yndeks	0.573	0.451	0.670
indice	NO TRANSLATION	0.469	0.377	0.541
indict	oantsjutte	0.188	0.731	0.458
indictment	feroardieling	0.245	0.745	0.577
indie	indie	0.479	0.368	0.430
indifference	Ungelokens	0.265	0.417	0.299
indifferent	ûngelyk	0.396	0.157	0.250
indigenous	indigenous	0.500	0.509	0.552
indigent	indigent	0.156	0.481	0.223
indigestion	fersmoarging	0.204	0.610	0.182
indignant	ûnrjocht	0.260	0.600	0.423
indignation	eangje	0.173	0.778	0.431
indignity	ûnrjocht	0.167	0.500	0.306
indigo	indigo	0.514	0.365	0.473
indirect	yndirekt	0.385	0.402	0.330
indiscreet	ûnskreet	0.177	0.587	0.342
indiscretion	ûnbeskriuwigens	0.265	0.637	0.390
indispensable	ûnmisber	0.710	0.449	0.802
indisposed	ûntslein	0.122	0.519	0.206
indistinct	ûngeduldich	0.255	0.340	0.360
indistinguishable	ûntefreden	0.346	0.458	0.548
individual	yndividueel	0.627	0.327	0.533
individuality	yndividu	0.612	0.469	0.527
indivisible	ûnpartisig	0.646	0.398	0.580
indoctrination	indoctrination	0.327	0.657	0.698
indolent	ûngeduldich	0.177	0.381	0.259
indomitable	ûngeduldich	0.458	0.800	0.830
indoor	binnen	0.615	0.245	0.347
induce	oansette	0.257	0.606	0.684
induced	induced	0.397	0.471	0.491
inducement	yntuysje	0.647	0.765	0.685
induction	yndeksje	0.392	0.593	0.627
indulge	ferdylgje	0.833	0.716	0.669
indulgence	ûnnoazelje	0.479	0.490	0.517
indulgent	ferwûne	0.560	0.481	0.529
industrial	yndustrieel	0.469	0.600	0.875
industrialist	industrialist	0.562	0.633	0.843
industrious	geweldig	0.720	0.537	0.791
industry	yndustry	0.650	0.447	0.836
ineffable	ûnfrede	0.551	0.577	0.585
ineffective	net effektyf	0.093	0.422	0.094
ineffectual	net effektyf	0.163	0.412	0.200
inefficiency	ineffektiviteit	0.092	0.466	0.181
inefficient	net effisjint	0.190	0.460	0.173
inelastic	ynelastysk	0.396	0.426	0.385
ineligible	net te brûken	0.143	0.377	0.457
inept	inept	0.156	0.418	0.209
ineptitude	ineptitude	0.177	0.471	0.250
inequality	Ungelikens	0.122	0.575	0.259
inequitable	unregelmjittich	0.281	0.519	0.373
inert	ynert	0.323	0.180	0.319
inertia	ynertia	0.344	0.288	0.322
inevitable	ûnbeskaat	0.316	0.419	0.623
inexact	ûngewoan	0.153	0.459	0.170
inexcusable	ûnbeskikber	0.271	0.582	0.546
inexhaustible	ûnferwachts	0.602	0.541	0.643
inexpensive	goedkeap	0.694	0.414	0.260
inexperience	ûnpersoanens	0.208	0.614	0.151
inexperienced	ûnbetrouber	0.281	0.473	0.231
inexplicable	ûnferwachte	0.224	0.635	0.443
inexpressible	unexpressibel	0.198	0.608	0.364
infallibility	ûnfermogen	0.583	0.663	0.764
infallible	ûnfrede	0.776	0.687	0.809
infamous	trouwens	0.146	0.580	0.472
infamy	infamy	0.177	0.676	0.421
infancy	bern	0.750	0.399	0.370
infant	infant	0.802	0.431	0.328
infanticide	infantyk	0.167	0.856	0.443
infantile	infantile	0.604	0.382	0.259
infantry	ynfantery	0.531	0.684	0.791
infarct	infarct	0.080	0.846	0.386
infatuated	infatuatearre	0.729	0.764	0.417
infatuation	ferwachting	0.844	0.745	0.530
infeasible	ûnbidich	0.245	0.472	0.236
infect	ynfiere	0.102	0.777	0.424
infection	ynfeksje	0.083	0.735	0.407
infectious	infektyf	0.142	0.760	0.422
infer	ynfer	0.449	0.490	0.453
inference	ynterferinsje	0.359	0.479	0.398
inferential	ynferentiell	0.426	0.451	0.455
inferior	ynferior	0.260	0.254	0.106
inferiority	ynferiority	0.177	0.430	0.205
infernal	ynfernal	0.083	0.837	0.571
inferno	ynferno	0.051	0.857	0.463
infertile	ûnfruchtber	0.274	0.458	0.255
infertility	infertiliteit	0.170	0.664	0.328
infestation	infestaasje	0.256	0.776	0.527
infidel	ferdoarn	0.177	0.740	0.404
infidelity	Ungeduld	0.062	0.777	0.392
infield	infield	0.510	0.571	0.438
infiltrate	infiltrearje	0.408	0.745	0.587
infiltration	infiltraasje	0.265	0.792	0.536
infinite	ûneinich	0.724	0.583	0.735
infinitely	ûnôfhinklik	0.688	0.643	0.829
infinitesimal	infinitesimal	0.388	0.472	0.496
