Word	Vietnamese-vi	Valence	Arousal	Dominance
kudos	thanh danh	0.925	0.587	0.642
kumquat	kumquat	0.417	0.426	0.390
lab	phòng thí nghiệm	0.479	0.500	0.600
label	nhãn	0.582	0.245	0.423
labor	lao động	0.594	0.639	0.754
laboratory	phòng thí nghiệm	0.571	0.490	0.537
labored	lao động	0.646	0.451	0.637
laborer	người lao động	0.561	0.510	0.698
laboring	lao động	0.705	0.644	0.737
laborious	siêng năng	0.393	0.635	0.709
labyrinth	mê cung	0.479	0.811	0.491
lac	lac	0.408	0.418	0.331
lace	ren	0.625	0.200	0.293
laceration	sự rách	0.143	0.667	0.443
lack	thiếu sót	0.250	0.365	0.242
lackey	tay sai	0.260	0.510	0.166
lacking	thiếu xót	0.229	0.375	0.121
lackluster	mờ nhạt	0.250	0.311	0.264
lacquer	sơn mài	0.510	0.353	0.258
lacrosse	lacrosse	0.573	0.656	0.509
lactose	lactose	0.479	0.290	0.433
lad	thanh niên	0.637	0.388	0.336
ladder	thang	0.560	0.438	0.358
laddie	thanh niên	0.668	0.539	0.391
laden	làm đầy	0.392	0.478	0.554
lading	vận đơn	0.388	0.463	0.409
ladle	lò nồi	0.531	0.368	0.352
lady	quý bà	0.854	0.481	0.602
lady bug	NO TRANSLATION	0.490	0.434	0.381
ladybug	bọ rùa	0.602	0.400	0.224
ladylike	giống như	0.592	0.559	0.538
ladyship	nữ tính	0.561	0.480	0.822
lag	tụt hậu	0.220	0.375	0.246
lager	NO TRANSLATION	0.584	0.480	0.353
lagging	tụt hậu	0.135	0.538	0.277
lagoon	đầm phá	0.660	0.231	0.373
lair	lair	0.469	0.438	0.392
laity	người ở	0.510	0.320	0.487
lake	hồ nước	0.694	0.196	0.425
lama	NO TRANSLATION	0.560	0.320	0.400
lamb	cừu	0.646	0.284	0.321
lame	què	0.145	0.410	0.217
lament	than thở	0.198	0.398	0.352
lamenting	than thở	0.156	0.390	0.254
lamina	lamina	0.510	0.314	0.408
laminated	nhiều lớp	0.417	0.304	0.373
lamp	đèn	0.510	0.260	0.309
lamppost	cột đèn	0.420	0.337	0.455
lance	cây thương	0.406	0.620	0.587
lancer	lancer	0.417	0.528	0.519
land	đất đai	0.582	0.260	0.616
landed	hạ cánh	0.709	0.620	0.480
landfall	hạ cánh	0.521	0.434	0.407
landfill	bãi rác	0.398	0.423	0.324
landing	đổ bộ	0.552	0.696	0.596
landlady	chủ nhà	0.677	0.303	0.417
landlocked	không có đất liền	0.280	0.391	0.367
landlord	chủ nhà	0.684	0.500	0.858
landmark	mốc	0.694	0.355	0.681
lands	vùng đất	0.594	0.280	0.492
landscape	phong cảnh	0.719	0.176	0.423
landscaping	cảnh quan	0.823	0.379	0.519
landslide	sạt lở đất	0.250	0.864	0.530
lane	làn đường	0.449	0.490	0.451
language	ngôn ngữ	0.677	0.337	0.704
languid	uể oải	0.281	0.270	0.283
languish	yếu đuối	0.235	0.408	0.382
languishing	không hoạt động	0.308	0.459	0.353
lanky	lố bịch	0.412	0.426	0.370
lantern	đèn lồng	0.622	0.250	0.243
lap	lòng	0.583	0.510	0.412
lapdog	lapdog	0.388	0.490	0.269
lapel	ve áo	0.460	0.287	0.288
lapse	trôi đi	0.420	0.316	0.281
lapsed	mất hiệu lực	0.357	0.333	0.276
laptop	máy tính xách tay	0.724	0.270	0.519
larceny	ăn cắp	0.272	0.821	0.454
lard	mỡ heo	0.427	0.239	0.179
larder	người bỏ trốn	0.656	0.290	0.509
large	lớn	0.704	0.565	0.736
larger	lớn hơn	0.729	0.654	0.763
largo	NO TRANSLATION	0.521	0.480	0.517
lark	chim sơn ca	0.570	0.292	0.352
larva	ấu trùng	0.245	0.423	0.254
laryngitis	viêm thanh quản	0.125	0.500	0.370
larynx	thanh quản	0.460	0.420	0.402
lasagna	mì nướng kiểu Ý	0.719	0.441	0.396
laser	tia laser	0.469	0.531	0.769
lash	dây da roi	0.235	0.794	0.609
lass	lass	0.656	0.536	0.433
lasso	lasso	0.438	0.460	0.339
lastday	NO TRANSLATION	0.309	0.580	0.463
lasting	bền vững	0.804	0.535	0.745
lastminute	phút trước	0.418	0.582	0.385
latch	cái chốt	0.395	0.263	0.288
late	muộn	0.245	0.358	0.315
lateness	độ trễ	0.214	0.388	0.343
latent	ngầm	0.469	0.500	0.653
lateral	bên	0.469	0.370	0.322
laterally	về sau	0.562	0.255	0.450
latex	mủ cao su	0.479	0.413	0.325
lathe	máy tiện	0.510	0.450	0.425
lather	bôi	0.635	0.327	0.313
latitude	vĩ độ	0.562	0.306	0.490
latrine	nhà vệ sinh	0.380	0.353	0.176
latrines	nhà vệ sinh	0.214	0.462	0.267
latte	pha cà phê	0.615	0.320	0.311
lattice	lưới	0.406	0.420	0.349
laud	tán dương	0.493	0.427	0.383
laudable	đáng khen ngợi	0.740	0.472	0.682
laudation	sự tán dương	0.542	0.547	0.623
laudatory	tán dương	0.612	0.417	0.450
laugh	cười	0.980	0.639	0.587
laughable	buồn cười	0.592	0.627	0.298
laughing	cười	0.906	0.596	0.534
laughingstock	NO TRANSLATION	0.427	0.779	0.312
laughs	cười	0.812	0.846	0.425
laughter	tiếng cười	0.959	0.654	0.588
launch	phóng	0.684	0.814	0.598
launcher	người phóng	0.677	0.745	0.808
launches	ra mắt	0.490	0.663	0.602
launder	giặt giũ	0.479	0.450	0.349
laundering	giặt giũ	0.439	0.327	0.444
laundry	giặt ủi	0.644	0.292	0.377
laureate	người đoạt giải	0.724	0.402	0.702
laurel	nguyệt quế	0.646	0.146	0.302
laurels	vòng nguyệt quế	0.684	0.279	0.545
lava	dung nham	0.280	0.539	0.615
lavage	lavage	0.615	0.467	0.361
lavatory	nhà vệ sinh	0.510	0.400	0.259
lavender	Hoa oải hương	0.812	0.198	0.388
lavish	xa hoa	0.792	0.648	0.730
law	pháp luật	0.740	0.590	0.815
lawful	hợp pháp	0.660	0.394	0.780
lawless	vô luật pháp	0.219	0.690	0.420
lawlessness	vô luật pháp	0.156	0.804	0.509
lawman	luật sư	0.510	0.523	0.786
lawn	bãi cỏ	0.686	0.153	0.192
lawnmower	máy cắt cỏ	0.480	0.531	0.355
lawsuit	vụ kiện	0.219	0.794	0.611
lawyer	luật sư	0.521	0.569	0.784
lax	lỏng lẻo	0.430	0.401	0.300
laxative	thuốc nhuận tràng	0.271	0.550	0.528
lay	đặt nằm	0.521	0.336	0.491
layaway	layaway	0.429	0.510	0.451
layer	lớp	0.500	0.208	0.366
layered	xếp lớp	0.571	0.306	0.436
layman	giáo dân	0.531	0.339	0.424
layout	bố trí	0.615	0.442	0.557
layover	layover	0.520	0.355	0.500
laziness	lười biếng	0.271	0.240	0.132
lazy	lười biếng	0.392	0.264	0.096
lazyday	NO TRANSLATION	0.337	0.319	0.145
lea	đồng cỏ	0.583	0.294	0.358
lead	chì	0.323	0.657	0.455
leaded	dẫn đầu	0.439	0.625	0.595
leader	người lãnh đạo	0.833	0.582	0.926
leadership	khả năng lãnh đạo	0.870	0.690	0.983
leading	dẫn đầu	0.823	0.698	0.954
leads	khách hàng tiềm năng	0.530	0.471	0.615
leaf	lá	0.583	0.156	0.294
leaflet	tờ rơi	0.490	0.206	0.375
leafy	có lá	0.653	0.530	0.700
league	liên đoàn	0.656	0.340	0.462
leak	rò rỉ	0.378	0.833	0.520
leakage	sự rò rỉ	0.188	0.731	0.528
leaky	bị rò rỉ	0.170	0.686	0.288
lean	gầy	0.734	0.353	0.438
leaned	nghiêng người	0.570	0.373	0.490
leaning	nghiêng người	0.480	0.409	0.352
leap	bước nhảy vọt	0.750	0.663	0.667
learn	học hỏi	0.833	0.643	0.829
learned	đã học	0.704	0.462	0.543
learner	người học	0.698	0.475	0.398
learning	học tập	0.833	0.588	0.574
lease	cho thuê	0.520	0.463	0.545
leash	dây xích	0.320	0.347	0.427
leather	da	0.510	0.324	0.341
leathery	thuộc về da	0.418	0.471	0.411
leave	rời khỏi	0.375	0.315	0.295
leavemealone	để tôi yên	0.240	0.472	0.402
leaving	rời đi	0.163	0.542	0.371
lecherous	dâm đảng	0.135	0.704	0.376
lecture	bài học	0.594	0.462	0.737
lecturer	giảng viên	0.677	0.549	0.736
ledge	gờ	0.406	0.235	0.339
ledger	sổ cái	0.510	0.362	0.609
lee	lee	0.510	0.269	0.296
leech	leech	0.250	0.623	0.268
leeches	đỉa	0.115	0.698	0.295
leer	NO TRANSLATION	0.612	0.348	0.509
leery	tinh ranh	0.337	0.640	0.410
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	leeway	0.562	0.577	0.569
left	trái	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	thức ăn thừa	0.490	0.460	0.222
leftovers	thức ăn thừa	0.219	0.350	0.116
lefty	lefty	0.490	0.406	0.379
leg	Chân	0.510	0.373	0.313
legacy	di sản	0.792	0.529	0.827
legal	hợp pháp	0.653	0.387	0.887
legality	tính hợp pháp	0.765	0.343	0.713
legalize	hợp pháp hóa	0.510	0.460	0.818
legalized	hợp pháp hóa	0.760	0.440	0.855
legally	hợp pháp	0.771	0.482	0.842
legend	huyền thoại	0.837	0.519	0.750
legendary	huyền thoại	0.857	0.537	0.863
legibility	tính dễ đọc	0.771	0.481	0.580
legible	dễ đọc	0.673	0.279	0.509
legion	quân đoàn	0.469	0.570	0.852
legislate	lập pháp	0.571	0.582	0.736
legislation	pháp luật	0.531	0.418	0.808
legislative	lập pháp	0.633	0.365	0.800
legislator	người lập pháp	0.490	0.580	0.877
legislature	cơ quan lập pháp	0.540	0.435	0.698
legit	hợp pháp	0.747	0.427	0.849
legitimacy	tính hợp pháp	0.823	0.420	0.855
legitimate	hợp pháp	0.792	0.363	0.841
lego	lego	0.600	0.294	0.189
legs	chân	0.479	0.407	0.228
legume	cây họ đậu	0.520	0.302	0.465
legwork	công việc	0.622	0.560	0.509
leisure	giải trí	0.631	0.429	0.421
leisurely	nhàn nhã	0.806	0.250	0.367
lemma	bổ đề	0.530	0.284	0.391
lemon	Chanh	0.596	0.317	0.316
lemonade	Nước chanh	0.661	0.287	0.412
lend	cho vay	0.520	0.461	0.508
lender	người cho vay	0.340	0.520	0.703
lending	cho vay	0.510	0.585	0.462
length	chiều dài	0.479	0.308	0.533
lengthen	kéo dài	0.619	0.481	0.566
lengthened	kéo dài	0.448	0.530	0.474
lengthening	kéo dài	0.673	0.530	0.528
lengthwise	theo chiều dọc	0.571	0.470	0.528
lengthy	dài dòng	0.570	0.342	0.528
leniency	khoan dung	0.517	0.436	0.545
lenient	khoan dung	0.520	0.451	0.340
lens	ống kính	0.420	0.245	0.472
leopard	báo	0.542	0.755	0.611
leotard	leotard	0.510	0.429	0.391
leper	người phung	0.075	0.589	0.206
leprechaun	yêu tinh	0.417	0.480	0.417
leprosy	bệnh phong	0.130	0.670	0.349
lesbian	đồng tính nữ	0.385	0.660	0.415
lesbianism	đồng tính nữ	0.327	0.725	0.440
lesion	tổn thương	0.240	0.623	0.361
less	ít hơn	0.265	0.240	0.115
lessee	người thuê	0.417	0.474	0.595
lessen	giảm bớt	0.235	0.284	0.255
lessening	giảm bớt	0.375	0.300	0.277
lesser	ít hơn	0.396	0.167	0.211
lesson	bài học	0.704	0.577	0.593
lessor	bên cho thuê	0.552	0.490	0.623
let	để cho	0.427	0.373	0.307
lethal	gây chết người	0.156	0.800	0.745
lethargic	hôn mê	0.214	0.245	0.375
lethargy	thờ ơ	0.194	0.302	0.316
letter	lá thư	0.635	0.279	0.342
lettered	có chữ	0.542	0.361	0.482
letterhead	đầu thư	0.450	0.316	0.462
lettering	chữ cái	0.541	0.180	0.431
letters	bức thư	0.663	0.327	0.364
lettuce	rau diếp	0.594	0.163	0.291
leukemia	bệnh bạch cầu	0.094	0.572	0.351
levee	levee	0.520	0.324	0.490
level	cấp độ	0.622	0.277	0.491
lever	đòn bẩy	0.400	0.343	0.402
leverage	đòn bẩy	0.459	0.500	0.629
levitate	bay lên	0.561	0.598	0.551
levy	tiền thuế	0.438	0.420	0.491
lewd	dâm dục	0.188	0.673	0.412
lexicon	từ vựng	0.561	0.463	0.615
ley	NO TRANSLATION	0.604	0.389	0.764
liabilities	nợ phải trả	0.429	0.608	0.694
liability	trách nhiệm pháp lý	0.646	0.500	0.802
liable	chịu trách nhiệm	0.656	0.519	0.821
liaison	sự liên lạc	0.698	0.337	0.472
liar	người nói dối	0.042	0.606	0.339
libel	phỉ báng	0.128	0.694	0.403
libelous	phỉ báng	0.125	0.735	0.436
liberal	tự do	0.565	0.565	0.755
liberalism	chủ nghĩa tự do	0.562	0.712	0.750
liberate	giải phóng	0.760	0.632	0.708
liberated	giải phóng	0.780	0.630	0.683
liberating	giải phóng	0.915	0.620	0.745
liberation	sự giải phóng	0.745	0.614	0.857
liberty	tự do	0.938	0.579	0.836
libido	ham muốn tình dục	0.770	0.602	0.571
librarian	thủ thư	0.625	0.135	0.509
library	thư viện	0.776	0.122	0.549
libretto	libretto	0.612	0.328	0.406
lice	chấy rận	0.133	0.500	0.194
license	giấy phép	0.500	0.394	0.702
lichen	địa y	0.418	0.388	0.463
lick	liếm	0.470	0.482	0.330
licorice	cam thảo	0.677	0.310	0.400
lid	Nắp	0.490	0.189	0.255
lie	nói dối	0.130	0.725	0.272
liege	nói dối	0.479	0.426	0.452
lien	lien	0.396	0.580	0.441
lieu	thay vì	0.427	0.410	0.312
lieutenant	trung úy	0.594	0.612	0.920
life	đời sống	0.918	0.615	0.824
lifeblood	huyết mạch	0.673	0.690	0.708
lifeboat	xuồng cứu sinh	0.724	0.425	0.533
lifeguard	nhân viên cứu hộ	0.870	0.606	0.786
lifeisgood	lifeisgood	0.812	0.575	0.611
lifeless	vô hồn	0.042	0.333	0.163
lifelike	sống động như thật	0.776	0.567	0.765
lifeline	cuộc sống	0.735	0.552	0.496
lifelong	suốt đời	0.823	0.330	0.640
lifer	người cứu hộ	0.427	0.519	0.398
lifesaver	phao cứu sinh	0.908	0.745	0.703
lifestyle	lối sống	0.750	0.472	0.645
lifesucks	lifesucks	0.167	0.637	0.377
lifetime	cả đời	0.816	0.559	0.736
lift	thang máy	0.704	0.518	0.656
lifted	nâng lên	0.714	0.441	0.657
liftoff	cất cánh	0.531	0.667	0.588
ligament	dây chằng	0.490	0.410	0.510
ligation	thắt	0.344	0.423	0.396
ligature	dây chằng	0.478	0.430	0.447
light	ánh sáng	0.771	0.320	0.519
light year	năm ánh sáng	0.719	0.425	0.593
lightbulb	bóng đèn	0.573	0.255	0.302
lighten	làm sáng	0.688	0.438	0.362
lightheaded	sáng chói	0.347	0.620	0.255
lighthouse	ngọn hải đăng	0.622	0.240	0.510
lighting	thắp sáng	0.765	0.440	0.750
lightness	nhẹ nhàng	0.794	0.360	0.526
lightning	sét đánh	0.429	0.683	0.595
lights	đèn	0.750	0.480	0.575
lightweight	nhẹ	0.670	0.300	0.358
likable	như nhau	0.865	0.480	0.663
like	như	0.719	0.353	0.446
likelihood	khả năng	0.760	0.469	0.542
likely	có khả năng	0.633	0.356	0.454
likeness	giống nhau	0.688	0.410	0.561
likewise	tương tự như vậy	0.651	0.217	0.312
liking	thích	0.963	0.604	0.589
lilac	lilac	0.688	0.180	0.357
lily	hoa huệ	0.640	0.245	0.263
limb	chân tay	0.510	0.397	0.427
limber	người khờ dại	0.688	0.729	0.673
limbo	limbo	0.385	0.284	0.309
lime	Vôi	0.594	0.240	0.415
limelight	ánh đèn sân khấu	0.667	0.639	0.694
limestone	đá vôi	0.602	0.323	0.381
limey	vôi	0.469	0.347	0.415
limit	giới hạn	0.427	0.453	0.500
limitation	giới hạn	0.190	0.431	0.225
limited	hạn chế	0.229	0.273	0.380
limitless	vô hạn	0.688	0.574	0.655
limo	limo	0.760	0.367	0.667
limousine	xe limousine	0.638	0.531	0.640
limp	khập khiễng	0.393	0.440	0.172
lin	lin	0.416	0.362	0.343
line	hàng	0.541	0.180	0.353
lineage	dòng truyền thừa	0.633	0.465	0.721
lineal	lót	0.521	0.170	0.474
linear	tuyến tính	0.646	0.250	0.472
linebacker	linebacker	0.490	0.660	0.543
lined	lót	0.438	0.367	0.424
linen	lanh	0.656	0.323	0.286
liner	lót	0.469	0.396	0.400
lines	dòng	0.542	0.317	0.330
lineup	xếp hàng	0.635	0.427	0.638
linger	nán lại	0.480	0.311	0.412
lingerie	đồ lót	0.543	0.463	0.308
lingering	kéo dài	0.630	0.643	0.667
lingo	lingo	0.448	0.364	0.447
lingual	ngôn ngữ	0.500	0.457	0.315
linguini	linguini	0.625	0.338	0.355
linguist	nhà ngôn ngữ học	0.583	0.330	0.634
linguistic	ngôn ngữ học	0.646	0.351	0.618
linguistics	ngôn ngữ học	0.552	0.390	0.618
lining	lót	0.571	0.363	0.472
link	liên kết	0.427	0.264	0.491
linoleum	linoleum	0.510	0.378	0.402
lint	lint	0.388	0.173	0.214
lion	sư tử	0.532	0.717	0.682
lip	môi	0.541	0.348	0.443
liposuction	hút mỡ	0.292	0.684	0.464
lipstick	son môi	0.653	0.429	0.306
liquefaction	hóa lỏng	0.449	0.622	0.535
liquefied	hóa lỏng	0.562	0.463	0.342
liqueur	rượu mùi	0.670	0.612	0.389
liquid	chất lỏng	0.562	0.235	0.307
liquidate	thanh lý	0.327	0.654	0.664
liquidation	thanh lý	0.417	0.625	0.649
liquidator	người thanh lý	0.354	0.663	0.750
liquidity	tính thanh khoản	0.688	0.529	0.534
liquor	rượu	0.603	0.702	0.433
lira	NO TRANSLATION	0.530	0.255	0.370
lisp	lisp	0.365	0.412	0.288
list	danh sách	0.528	0.260	0.402
listen	nghe	0.771	0.360	0.445
listener	người nghe	0.667	0.375	0.403
listenting	NO TRANSLATION	0.640	0.377	0.491
listing	danh sách	0.438	0.273	0.432
listless	vô liêm sỉ	0.219	0.350	0.231
listneing	NO TRANSLATION	0.531	0.370	0.433
litany	litany	0.510	0.365	0.482
liter	lít	0.573	0.208	0.382
literacy	trình độ học vấn	0.730	0.306	0.638
literal	theo nghĩa đen	0.570	0.353	0.574
literally	theo nghĩa đen	0.571	0.353	0.673
literary	văn chương	0.719	0.324	0.667
literature	văn chương	0.708	0.250	0.598
lithe	khắc nghiệt	0.656	0.596	0.602
lithium	lithium	0.417	0.330	0.430
lithograph	in thạch bản	0.551	0.327	0.481
lithography	in thạch bản	0.561	0.346	0.473
lithology	thạch học	0.519	0.378	0.525
lithosphere	thạch quyển	0.473	0.333	0.689
litigant	đương sự	0.219	0.577	0.696
litigate	tranh tụng	0.260	0.819	0.712
litigation	sự kiện tụng	0.388	0.760	0.602
litigator	người tố tụng	0.429	0.630	0.732
litigious	uy tín	0.360	0.736	0.632
litter	xả rác	0.255	0.551	0.110
little	ít	0.385	0.160	0.213
littlethings	littlethings	0.740	0.311	0.242
littoral	littoral	0.551	0.387	0.452
liturgy	phụng vụ	0.490	0.327	0.568
live	trực tiếp	0.880	0.673	0.676
livelife	livelife	0.792	0.624	0.664
livelihood	sinh kế	0.698	0.481	0.721
lively	sống động	0.847	0.810	0.642
liven	liven	0.708	0.713	0.673
liver	Gan	0.439	0.290	0.385
livery	gan	0.510	0.417	0.429
livestock	vật nuôi	0.729	0.420	0.519
livid	sống động	0.469	0.788	0.490
living	sống	0.865	0.608	0.727
lizard	con thằn lằn	0.378	0.375	0.324
llama	llama	0.490	0.590	0.519
lml	lml	0.448	0.519	0.385
load	tải trọng	0.385	0.417	0.528
loader	bộ nạp	0.562	0.377	0.686
loaf	ổ bánh mì	0.755	0.250	0.277
loafer	người đi rong	0.235	0.396	0.254
loam	rượu vang	0.469	0.373	0.673
loan	tiền vay	0.552	0.480	0.352
loath	ghê tởm	0.135	0.714	0.445
loathe	không ưa	0.094	0.730	0.429
loathful	ghê tởm	0.068	0.740	0.358
loathing	ghê tởm	0.083	0.796	0.368
loathsome	không ưa	0.120	0.694	0.343
lobby	sảnh đợi	0.625	0.427	0.472
lobbyist	người vận động hành lang	0.385	0.527	0.565
lobe	thùy	0.459	0.364	0.352
lobotomy	cắt bỏ	0.296	0.598	0.402
lobster	tôm	0.571	0.356	0.291
local	địa phương	0.656	0.269	0.452
locale	miền địa phương	0.449	0.387	0.352
locality	địa phương	0.582	0.336	0.464
localization	bản địa hóa	0.552	0.330	0.545
localize	bản địa hóa	0.520	0.481	0.679
localized	đã bản địa hóa	0.490	0.460	0.621
locate	định vị	0.583	0.520	0.786
location	vị trí	0.615	0.375	0.546
locator	người định vị	0.480	0.426	0.614
loch	loch	0.449	0.235	0.425
lock	Khóa	0.271	0.585	0.600
locker	khóa	0.439	0.300	0.393
locket	mề đay	0.615	0.327	0.616
locksmith	thợ khóa	0.510	0.417	0.491
lockup	Khóa	0.240	0.602	0.617
loco	loco	0.306	0.774	0.226
locomotion	vận động	0.470	0.600	0.595
locomotive	đầu máy xe lửa	0.542	0.650	0.721
locust	cào cào	0.479	0.412	0.417
lode	NO TRANSLATION	0.365	0.423	0.318
lodge	lều	0.656	0.356	0.474
lodger	lodger	0.480	0.448	0.304
lodging	chỗ ở	0.713	0.286	0.527
loft	gác xép	0.510	0.378	0.343
lofty	cao	0.755	0.306	0.569
log	nhật ký	0.591	0.371	0.395
logarithm	logarit	0.520	0.439	0.551
logarithmic	logarit	0.469	0.458	0.606
logic	logic	0.646	0.245	0.819
logical	hợp lý	0.805	0.400	0.648
logistics	hậu cần	0.633	0.500	0.730
logo	Logo	0.469	0.296	0.565
logotype	biểu trưng	0.480	0.337	0.509
loin	NO TRANSLATION	0.420	0.298	0.379
lollipop	kẹo que	0.628	0.483	0.357
lone	đơn độc	0.198	0.204	0.367
loneliness	sự cô đơn	0.146	0.182	0.222
lonely	cô đơn	0.250	0.226	0.238
loner	người cô độc	0.347	0.152	0.221
lonesome	đơn độc	0.281	0.213	0.336
long	Dài	0.541	0.353	0.543
longboat	thuyền dài	0.551	0.454	0.490
longevity	tuổi thọ	0.750	0.353	0.745
longing	khao khát	0.604	0.434	0.560
longitude	kinh độ	0.479	0.310	0.516
longitudinal	theo chiều dọc	0.542	0.398	0.582
longitudinally	theo chiều dọc	0.541	0.380	0.569
longtime	thời gian dài	0.362	0.442	0.546
loo	loo	0.385	0.357	0.283
look	nhìn	0.719	0.429	0.615
looker	người tìm kiếm	0.583	0.354	0.451
lookout	coi chưng	0.698	0.538	0.639
loom	loom	0.531	0.245	0.325
looming	lờ mờ	0.367	0.750	0.528
loon	loon	0.429	0.392	0.325
loony	loony	0.439	0.474	0.295
loop	vòng lặp	0.516	0.343	0.317
loophole	lỗ hổng	0.406	0.755	0.491
loopy	loopy	0.438	0.520	0.195
loose	lỏng lẻo	0.573	0.312	0.365
loosen	nới lỏng	0.487	0.337	0.218
loosening	nới lỏng	0.378	0.343	0.295
loot	cướp bóc	0.604	0.711	0.537
lop	lop	0.429	0.363	0.426
lopsided	lopsided	0.125	0.500	0.272
lord	Chúa tể	0.618	0.327	0.684
lords	chúa	0.571	0.356	0.781
lordship	sự lãnh chúa	0.573	0.557	0.736
lore	truyền thuyết	0.719	0.373	0.768
lorry	xe tải	0.521	0.481	0.402
lose	thua	0.115	0.538	0.176
loser	kẻ thất bại	0.083	0.510	0.155
losing	mất	0.076	0.686	0.223
loss	mất mát	0.062	0.567	0.211
lost	mất đi	0.199	0.663	0.148
lot	nhiều	0.531	0.215	0.370
lotion	kem dưỡng da	0.724	0.261	0.188
lots	rất nhiều	0.604	0.417	0.424
lottery	vé số	0.771	0.731	0.491
lotto	xổ số	0.760	0.635	0.475
lotus	hoa sen	0.604	0.377	0.510
loud	to tiếng	0.573	0.650	0.870
loudly	lớn tiếng	0.541	0.755	0.667
loudmouth	loudmouth	0.337	0.615	0.456
loudness	sự to lớn	0.350	0.582	0.620
loudspeaker	loa	0.490	0.735	0.689
lounge	phòng chờ	0.592	0.245	0.466
lounging	thư giãn	0.735	0.167	0.449
louse	rận	0.184	0.439	0.154
lousy	tồi tệ	0.125	0.482	0.234
lovable	đáng yêu	0.948	0.335	0.565
love	yêu	1.000	0.519	0.673
loved	được yêu thương	0.927	0.452	0.582
lovee	tình yêu	0.949	0.592	0.611
loveee	người yêu	0.927	0.592	0.693
loveless	không yêu thương	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	sự đáng yêu	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	đáng yêu	0.917	0.456	0.741
lovemaking	làm tình	0.969	0.927	0.814
lovemylife	NO TRANSLATION	0.896	0.800	0.573
lover	người yêu	0.881	0.816	0.750
lovesick	say mê	0.796	0.842	0.500
lovethis	thích cái này	0.867	0.552	0.526
loving	thương	0.948	0.612	0.636
lovinglife	lovinglife	0.979	0.404	0.673
lovinlife	lovinlife	0.714	0.460	0.544
low	thấp	0.292	0.220	0.102
lowdown	hạ thấp	0.306	0.441	0.441
lower	thấp hơn	0.327	0.296	0.258
lowering	hạ thấp	0.286	0.363	0.236
lowest	thấp nhất	0.312	0.304	0.129
lowlands	vùng đất thấp	0.323	0.290	0.331
lowlife	lowlife	0.296	0.529	0.309
lowly	ít	0.562	0.294	0.417
lox	lox	0.490	0.373	0.318
loyal	trung thành	0.896	0.265	0.657
loyalty	lòng trung thành	0.885	0.406	0.793
lsd	lsd	0.375	0.471	0.390
luau	luau	0.594	0.545	0.296
lube	bôi trơn	0.552	0.490	0.411
lubricant	chất bôi trơn	0.656	0.550	0.454
lubricate	bôi trơn	0.552	0.490	0.470
lubrication	bôi trơn	0.624	0.646	0.491
lucid	sáng suốt	0.771	0.490	0.705
luck	may mắn	0.854	0.490	0.717
luckiest	may mắn nhất	0.917	0.690	0.852
lucky	may mắn	0.960	0.610	0.793
luckygirl	cô gái may mắn	0.781	0.712	0.471
lucrative	sinh lợi	0.729	0.519	0.798
ludicrous	lố bịch	0.137	0.553	0.274
lug	tai	0.344	0.443	0.340
luggage	Hành lý	0.561	0.226	0.319
lukewarm	lukewarm	0.573	0.300	0.241
lull	ru ngũ	0.602	0.130	0.402
lullaby	bài hát ru	0.796	0.156	0.339
lumbar	ngang lưng	0.323	0.418	0.342
lumber	lumber	0.517	0.184	0.373
lumbering	lumbering	0.354	0.561	0.655
lumberjack	lumberjack	0.500	0.660	0.726
luminescent	phát quang	0.796	0.550	0.526
luminous	sáng chói	0.918	0.392	0.783
lump	cục bướu	0.438	0.337	0.463
lumpy	lầy lội	0.271	0.378	0.365
lunacy	lunacy	0.132	0.847	0.330
lunar	âm lịch	0.562	0.296	0.427
lunatic	lunatic	0.125	0.792	0.442
lunch	Bữa trưa	0.880	0.410	0.542
lunchbox	hộp cơm trưa	0.663	0.346	0.346
luncheon	bữa ăn trưa	0.837	0.240	0.441
lunchtime	giờ ăn trưa	0.896	0.398	0.444
lung	phổi	0.510	0.292	0.629
lunge	lunge	0.354	0.721	0.509
lungs	phổi	0.531	0.352	0.555
lurch	lảo đảo	0.404	0.694	0.363
lure	lure	0.439	0.565	0.300
lurid	lurid	0.186	0.833	0.536
lurk	lurk	0.219	0.740	0.655
lurking	rình rập	0.421	0.781	0.575
luscious	ngon	0.885	0.552	0.545
lush	tươi tốt	0.740	0.783	0.833
lust	ham muốn	0.469	0.944	0.518
luster	nước bóng	0.833	0.566	0.558
lustful	dâm dục	0.427	0.896	0.643
lustrous	lộng lẫy	0.771	0.606	0.598
lusty	mạnh mẽ	0.469	0.941	0.673
lute	lute	0.459	0.407	0.500
luxuriant	lộng lẫy	0.760	0.745	0.812
luxurious	sang trọng	0.947	0.644	0.754
luxury	sang trọng	0.932	0.673	0.750
lycra	lycra	0.520	0.449	0.328
lye	lye	0.378	0.396	0.443
lying	nói dối	0.208	0.704	0.317
lymph	bạch huyết	0.398	0.510	0.390
lymphatic	bạch huyết	0.380	0.509	0.472
lymphoma	ung thư hạch	0.208	0.645	0.330
lynch	lynch	0.167	0.885	0.482
