Word	Kazakh-kk	Valence	Arousal	Dominance
harden	қатайту	0.276	0.598	0.677
hardened	қатайтылған	0.406	0.618	0.764
hardening	қатайту	0.388	0.673	0.741
hardheaded	қатты басылған	0.156	0.699	0.571
hardness	қаттылық	0.417	0.580	0.745
hardship	қиындықтар	0.094	0.775	0.482
hardware	жабдық	0.594	0.289	0.686
hardwood	қатты ағаш	0.417	0.363	0.518
hardworking	еңбекқор	0.719	0.583	0.792
hardy	қатаң	0.571	0.569	0.810
hare	қоян	0.620	0.410	0.345
harebrained	қоянды	0.296	0.551	0.436
harem	гарем	0.521	0.578	0.582
hark	Hark	0.571	0.500	0.398
harlot	сойшы	0.198	0.798	0.330
harm	зиян	0.073	0.679	0.423
harmful	зиянды	0.094	0.750	0.291
harmless	зиянсыз	0.625	0.226	0.241
harmonica	гармоника	0.847	0.235	0.510
harmonics	гармоника	0.865	0.400	0.575
harmonious	үйлесімді	0.938	0.391	0.719
harmoniously	үйлесімді	0.969	0.265	0.647
harmonize	үйлестіру	0.939	0.461	0.609
harmony	үйлесім	0.949	0.230	0.509
harness	сымдық	0.570	0.549	0.508
harp	арфа	0.618	0.310	0.356
harper	гарпер	0.417	0.454	0.435
harpoon	арфон	0.490	0.700	0.557
harpsichord	клавесин	0.541	0.490	0.438
harrowing	тырмыз	0.209	0.810	0.474
harry	Гарри	0.520	0.409	0.390
harsh	қатал	0.250	0.650	0.623
harshness	қатаңдық	0.323	0.600	0.779
hart	харт	0.643	0.389	0.447
harvest	жинау	0.781	0.353	0.548
hash	хэш	0.344	0.453	0.355
hashish	гашиш	0.370	0.570	0.358
hassle	қиындық	0.177	0.740	0.489
haste	шапшаң	0.378	0.745	0.500
hasten	тездетіңіз	0.571	0.750	0.618
hastily	шапанды	0.271	0.609	0.609
hasty	асығыс	0.188	0.885	0.424
hat	шляпа	0.604	0.183	0.353
hatch	Люк	0.479	0.653	0.402
hatchet	шабуыл	0.333	0.608	0.500
hate	жек көру	0.031	0.802	0.430
hateeee	NO TRANSLATION	0.219	0.606	0.368
hateeveryone	NO TRANSLATION	0.041	0.840	0.429
hateful	жексұрын	0.071	0.819	0.430
hater	бұзушы	0.052	0.702	0.422
hateyou	NO TRANSLATION	0.125	0.735	0.464
hating	жек көру	0.083	0.820	0.434
hatred	өшпенділік	0.037	0.847	0.424
haughty	тәкаппар	0.240	0.708	0.588
haul	жүк тасымалдау	0.551	0.564	0.453
haulage	тасымалдау	0.561	0.510	0.650
haunt	аңыз	0.288	0.676	0.576
haunted	әйгілі	0.264	0.731	0.520
have	бар	0.757	0.389	0.593
haven	баспана	0.684	0.265	0.547
havoc	қасірет	0.163	0.769	0.535
haw	хав	0.406	0.426	0.431
hawk	шауыт	0.583	0.530	0.631
hawking	құшақтасу	0.521	0.509	0.491
hay	NO TRANSLATION	0.469	0.212	0.343
haye	хайе	0.615	0.451	0.336
hayride	мазасыздық	0.561	0.521	0.464
haystack	шөптен	0.552	0.292	0.331
haywire	шірік	0.358	0.545	0.430
hazard	қауіпті	0.112	0.884	0.757
hazardous	қауіпті	0.061	0.750	0.670
haze	шірік	0.427	0.327	0.217
hazmat	hazmat	0.398	0.479	0.519
hazy	Тұманды	0.450	0.433	0.230
head	басы	0.530	0.472	0.558
headache	бас ауыруы	0.168	0.755	0.273
headaches	бас аурулары	0.104	0.720	0.259
headband	басы	0.670	0.469	0.527
headdress	бас киім	0.594	0.408	0.443
header	тақырып	0.560	0.398	0.740
headgear	бас киім	0.542	0.442	0.571
heading	тақырып	0.551	0.292	0.642
headland	басы	0.574	0.551	0.430
headless	бассыз	0.136	0.582	0.235
headlight	фара	0.592	0.343	0.393
headline	тақырып	0.630	0.241	0.685
headliner	бас жағы	0.500	0.490	0.625
headlock	басы құлып	0.448	0.538	0.560
headlong	басы	0.354	0.548	0.409
headmaster	директор	0.604	0.564	0.865
headphones	құлаққаптар	0.600	0.357	0.336
headquarter	штаб-пәтері	0.615	0.269	0.525
headquarters	штаб	0.615	0.271	0.525
headset	гарнитура	0.602	0.340	0.302
headstone	қасық тас	0.240	0.378	0.349
headstrong	қараңғылық	0.310	0.714	0.500
headway	баспалдақ	0.823	0.464	0.745
heady	басы	0.448	0.806	0.565
heal	емдеу	0.765	0.245	0.556
healer	емші	0.863	0.378	0.741
healing	емдеу	0.750	0.452	0.585
health	денсаулық	0.935	0.427	0.551
healthcare	денсаулық сақтау	0.780	0.392	0.630
healthful	денсаулығы	0.930	0.315	0.769
healthy	сау	0.938	0.319	0.818
heap	үйме	0.582	0.510	0.474
hear	тыңдау	0.760	0.429	0.444
hearer	тыңдаушы	0.656	0.281	0.415
hearing	есту	0.669	0.490	0.595
hearsay	есту	0.288	0.623	0.333
hearse	күзету	0.177	0.490	0.324
heart	жүрек	0.827	0.500	0.693
heart disease	жүрек ауруы	0.250	0.750	0.386
heartache	қайғы-қасірет	0.088	0.750	0.291
heartattack	NO TRANSLATION	0.156	0.839	0.455
heartbeat	жүрек соғысы	0.750	0.698	0.585
heartbreak	жүрек жарылуы	0.208	0.610	0.245
heartbreaker	жүректің бұзылуы	0.265	0.685	0.580
heartbreaking	жүрегімді	0.146	0.811	0.423
heartbroken	жүрегі ауырады	0.082	0.551	0.235
heartburn	күйдірілген	0.143	0.613	0.398
hearted	шын жүректен	0.823	0.410	0.805
heartfelt	шын жүректен	0.904	0.440	0.540
hearth	омырау	0.760	0.275	0.536
heartily	шын жүректен	0.927	0.531	0.664
heartland	жүрегі	0.812	0.510	0.675
heartless	жүрексіз	0.071	0.652	0.400
hearts	жүректер	0.948	0.592	0.634
heartsick	жүрек	0.240	0.388	0.208
heartworm	жүрек соғысы	0.333	0.550	0.430
hearty	шын жүректен	0.760	0.684	0.792
heat	жылу	0.534	0.612	0.433
heated	қыздырылған	0.479	0.497	0.542
heater	жылытқыш	0.500	0.573	0.538
heath	сұлулық	0.802	0.387	0.546
heathen	халықтар	0.194	0.529	0.491
heather	хиат	0.500	0.352	0.407
heating	жылыту	0.647	0.491	0.537
heave	соққылар	0.716	0.588	0.664
heaven	аспан	0.896	0.385	0.600
heavenly	аспанға	0.844	0.452	0.712
heavens	аспан	0.806	0.273	0.683
heavily	қатты	0.542	0.679	0.814
heaviness	ауырлық	0.219	0.549	0.318
heaving	ауырлатады	0.201	0.843	0.491
heavy	ауыр	0.250	0.454	0.600
heavy metal	ауыр металл	0.417	0.755	0.621
heavyweight	ауыр салмақты	0.429	0.578	0.713
heck	Хек	0.240	0.728	0.560
hectares	гектар	0.570	0.250	0.471
hectic	гекцигі	0.167	0.811	0.438
hedge	хеджирлеу	0.604	0.602	0.569
hedgehog	кірпі	0.458	0.491	0.377
hedonism	гейдонизм	0.510	0.500	0.608
hee	Хи	0.430	0.433	0.312
heed	назар аударыңыз	0.750	0.490	0.569
heel	аяғы	0.480	0.350	0.385
heels	пятки	0.500	0.439	0.396
heft	гравитация	0.503	0.340	0.530
hefty	мықты	0.550	0.654	0.745
hegemonic	гегемоникалық	0.462	0.519	0.558
heheh	NO TRANSLATION	0.625	0.510	0.278
heifer	қауын	0.439	0.443	0.321
height	биіктігі	0.677	0.608	0.648
heighten	арттыру	0.755	0.622	0.765
heightened	жоғары	0.592	0.529	0.788
heinous	жауыз	0.133	0.792	0.471
heir	мұрагері	0.840	0.654	0.764
heiress	мұрагер	0.827	0.571	0.676
heirloom	хиром	0.684	0.375	0.745
heirs	мұрагерлер	0.796	0.519	0.698
heist	гист	0.184	0.850	0.645
helical	спираль	0.379	0.429	0.468
helicopter	тікұшақ	0.714	0.806	0.617
helipad	тікұшақ	0.780	0.637	0.573
heliport	гелипорт	0.594	0.604	0.527
helium	гелия	0.490	0.316	0.304
helix	спираль	0.521	0.462	0.509
hell	тозақ	0.020	0.918	0.565
hellfire	тозақ	0.143	0.890	0.618
hellhole	тозақ	0.200	0.615	0.421
hellish	тозақ	0.125	0.860	0.545
helm	гель	0.511	0.450	0.615
helmet	дулыға	0.573	0.327	0.402
helmsman	дулыға	0.490	0.441	0.647
help	Көмектесіңдер	0.673	0.471	0.460
helper	көмекші	0.704	0.438	0.567
helpful	пайдалы	0.816	0.337	0.705
helpless	дәрменсіз	0.104	0.420	0.214
helplessness	дәрменсіздік	0.087	0.480	0.250
hem	NO TRANSLATION	0.562	0.283	0.291
hematite	гематит	0.448	0.389	0.342
hematoma	гематома	0.146	0.600	0.398
hemi	Хеми	0.510	0.363	0.342
hemisphere	жарты шарда	0.531	0.367	0.598
hemispheric	жарты шар тәрізді	0.562	0.449	0.603
hemlock	гулок	0.438	0.350	0.434
hemoglobin	гемоглобин	0.469	0.481	0.418
hemorrhage	қан кету	0.031	0.849	0.426
hemorrhoids	геморрой	0.133	0.702	0.304
hemostat	гемостат	0.388	0.442	0.464
hemp	қарасора	0.469	0.439	0.422
hen	NO TRANSLATION	0.385	0.276	0.241
henceforth	бұдан әрі	0.527	0.404	0.466
henhouse	хайхаус	0.500	0.577	0.414
hepatitis	гепатит	0.055	0.596	0.358
herald	жариялаушы	0.643	0.382	0.500
heraldry	геральдика	0.550	0.520	0.607
herb	шөп	0.643	0.418	0.353
herbaceous	шөпті	0.560	0.220	0.310
herbal	шөп	0.592	0.255	0.390
herbarium	гербарий	0.602	0.188	0.327
herbs	шөптер	0.620	0.299	0.308
herd	табын	0.592	0.500	0.474
hereditary	мұрагерлік	0.531	0.600	0.737
heredity	тұқым қуалаушылық	0.704	0.445	0.818
heresy	ересек	0.265	0.765	0.443
heretic	еретуші	0.090	0.710	0.447
heretical	еретикалық	0.229	0.630	0.487
heretofore	бұрын	0.479	0.388	0.385
hereunto	осы жерде	0.500	0.225	0.333
herewith	бұл туралы	0.450	0.360	0.415
heritage	мұра	0.842	0.512	0.815
hermaphrodite	гермафродит	0.480	0.684	0.481
hermeneutics	герменевтикалар	0.406	0.577	0.562
hermit	гермит	0.271	0.337	0.351
hernia	шірік	0.146	0.486	0.223
hero	батыр	0.940	0.806	0.881
heroic	ерлік	0.890	0.770	0.912
heroics	кейіпкерлер	0.865	0.673	0.894
heroin	героин	0.276	0.843	0.655
heroine	кейіпкер	0.729	0.755	0.833
heroism	ерлік	0.844	0.802	0.898
herpes	Герпес	0.110	0.600	0.309
herpesvirus	герпесвирус	0.219	0.558	0.435
herring	майшабақ	0.531	0.387	0.422
hertz	Герц	0.396	0.417	0.506
hesitant	теріс	0.333	0.542	0.321
hesitate	қымсынбаңыз	0.459	0.548	0.232
hesitating	тербеліс	0.265	0.528	0.240
hesitation	ауытқу	0.286	0.396	0.217
hetero	гетеро	0.589	0.405	0.435
heterogeneity	гетерогенділік	0.439	0.450	0.556
heterosexual	гетеросексуальды	0.561	0.612	0.557
hew	ғалым	0.417	0.470	0.377
hex	hex	0.410	0.510	0.363
hexagon	алтыбұрыш	0.542	0.226	0.425
heyday	күндізгі	0.646	0.680	0.673
hiatus	hiatus	0.479	0.294	0.352
hibernate	ұйықтау	0.500	0.317	0.431
hibernation	күту режимі	0.469	0.245	0.384
hiccup	хиккуп	0.271	0.549	0.240
hick	хик	0.357	0.442	0.314
hickey	hickey	0.448	0.529	0.345
hickory	хикоры	0.520	0.490	0.415
hidden	жасырын	0.208	0.430	0.327
hide	жасыру	0.438	0.510	0.218
hideaway	жасыру	0.448	0.481	0.360
hideous	қорқынышты	0.091	0.750	0.328
hideout	жасыру	0.337	0.443	0.302
hiding	жасыру	0.250	0.567	0.364
hierarchical	иерархиялық	0.521	0.620	0.939
hierarchy	иерархия	0.583	0.722	0.902
hieroglyphics	иероглифтер	0.479	0.325	0.509
high	жоғары	0.684	0.510	0.614
high heels	жоғары каблуки	0.646	0.528	0.429
highball	бөкендер	0.656	0.520	0.481
higher	жоғары	0.866	0.528	0.713
highest	ең жоғары	0.771	0.640	0.710
highland	жотасы	0.615	0.481	0.611
highlands	тау жоталары	0.735	0.431	0.596
highlight	бөлектеу	0.844	0.637	0.882
highness	биіктігі	0.740	0.670	0.931
hight	биіктігі	0.667	0.637	0.645
hightail	жоғары сапалы	0.448	0.480	0.481
highway	тас жолы	0.640	0.583	0.425
hijack	ұрлау	0.042	0.908	0.594
hijacker	ұрлаушы	0.104	0.953	0.683
hike	жаяу жүру	0.615	0.442	0.538
hiker	саяхатшы	0.694	0.802	0.644
hiking	жаяу серуендеу	0.820	0.843	0.670
hiking boot	жаяу жүру	0.657	0.353	0.446
hilarious	көңілді	0.750	0.640	0.537
hilarity	қуаныш	0.745	0.480	0.575
hill	төбеден	0.615	0.353	0.518
hillside	төбеден	0.625	0.292	0.458
hilltop	төбеден	0.688	0.643	0.787
hilly	ақбөкен	0.643	0.479	0.603
hilt	тегіс	0.396	0.650	0.537
hind	артқы	0.483	0.644	0.337
hinder	кедергі жасайды	0.276	0.537	0.470
hindering	кедергі келтіреді	0.260	0.654	0.435
hindrance	кедергі	0.135	0.545	0.473
hindsight	кедергі	0.333	0.431	0.532
hinge	топсалы	0.458	0.292	0.417
hint	кеңестер	0.602	0.330	0.517
hinterland	хинтерланд	0.530	0.520	0.457
hip	жамбас	0.448	0.415	0.345
hip hop	хип-хоп	0.740	0.714	0.484
hippie	хиппи	0.551	0.400	0.396
hippo	иппо	0.490	0.404	0.477
hippopotamus	гиппопотам	0.541	0.472	0.615
hire	жалдау	0.688	0.558	0.556
hirsute	хирсут	0.385	0.483	0.373
hiss	сезім	0.388	0.480	0.370
hissing	тісімділік	0.500	0.454	0.400
histology	гистология	0.490	0.320	0.560
historian	тарихшы	0.688	0.270	0.637
historic	тарихи	0.816	0.473	0.784
historical	тарихи	0.653	0.357	0.833
historiography	тарихнама	0.562	0.415	0.634
history	Тарих	0.729	0.382	0.754
hit	хит	0.235	0.931	0.679
hitch	шұңқыр	0.512	0.480	0.554
hitchhike	автокөлік	0.396	0.622	0.385
hitchhiker	автожолшы	0.594	0.626	0.603
hitherto	дейін	0.448	0.356	0.463
hitter	шабуылшы	0.418	0.683	0.713
hive	улья	0.471	0.452	0.544
hives	үйірмелер	0.417	0.473	0.591
hoard	жинау	0.506	0.412	0.518
hoarse	жауыз	0.281	0.402	0.315
hoary	жұлдыру	0.469	0.298	0.424
hoax	алдап ойнау	0.146	0.696	0.303
hob	плита	0.633	0.363	0.415
hobbit	хобби	0.479	0.489	0.472
hobby	хобби	0.827	0.560	0.471
hobo	хобо	0.323	0.443	0.282
hock	хок	0.513	0.452	0.412
hockey	хоккей	0.565	0.786	0.548
hoe	NO TRANSLATION	0.302	0.480	0.418
hog	шошқа	0.317	0.509	0.271
hogwash	жуу	0.420	0.490	0.361
hohoho	NO TRANSLATION	0.677	0.433	0.330
hoist	көтеру	0.521	0.520	0.458
hokey	хоккей	0.604	0.667	0.430
hold	ұстаңыз	0.448	0.290	0.364
holder	ұстаушы	0.592	0.330	0.713
holding	ұстау	0.600	0.385	0.670
holdup	күте тұр	0.398	0.471	0.398
hole	тесік	0.531	0.310	0.330
holiday	демалыс	0.948	0.431	0.593
holidays	мерекелер	0.939	0.521	0.512
holidayseason	NO TRANSLATION	0.875	0.566	0.518
holiness	қасиетті	0.860	0.264	0.742
holistic	тұтастық	0.670	0.348	0.547
holler	холлер	0.276	0.825	0.406
hollow	қуыс	0.300	0.337	0.222
holly	Холли	0.510	0.250	0.443
holocaust	Холокост	0.062	0.918	0.618
hologram	голограмма	0.615	0.461	0.575
holographic	голографиялық	0.510	0.471	0.555
holster	ұстаушы	0.561	0.255	0.339
holy	қасиетті	0.812	0.112	0.690
holyspirit	NO TRANSLATION	0.740	0.480	0.526
homage	құрмет	0.833	0.560	0.737
hombre	NO TRANSLATION	0.656	0.472	0.696
hombres	NO TRANSLATION	0.510	0.538	0.652
home	үйі	0.854	0.270	0.545
homeboy	үйбаяны	0.602	0.255	0.436
homecoming	үйге оралу	0.760	0.413	0.472
homeland	Отанымыз	0.663	0.439	0.868
homeless	үйсіз	0.042	0.450	0.188
homely	тегіс	0.745	0.157	0.399
homemade	үйдегідей	0.869	0.340	0.398
homeopathic	гомеопатикалық	0.417	0.268	0.400
homeopathy	гомеопатия	0.469	0.284	0.439
homeowner	үй иесі	0.635	0.397	0.962
homeroom	гомерем	0.604	0.480	0.491
homesick	үйде	0.436	0.304	0.347
homestead	үйде	0.865	0.221	0.536
homesweethome	жылы ұя	0.796	0.380	0.538
hometown	туған	0.858	0.333	0.605
homeward	үйде	0.833	0.275	0.435
homework	үй жұмысы	0.396	0.412	0.459
homey	үйде	0.769	0.278	0.500
homicidal	кісі өлтіру	0.020	0.912	0.573
homicide	кісі өлтіру	0.010	0.973	0.518
homily	көңілді	0.621	0.358	0.425
homing	үйлену	0.551	0.460	0.527
hominy	ерлі-зайыпты	0.479	0.382	0.429
homo	гомо	0.531	0.368	0.415
homogeneity	біртектілігі	0.715	0.365	0.582
homogeneous	біртекті	0.552	0.255	0.617
homologous	гомолог болып табылады	0.471	0.353	0.536
homologue	гомолог	0.542	0.356	0.509
homology	гомологии	0.571	0.494	0.527
homophobic	гомофобты	0.130	0.736	0.464
homosexual	гомосексуализм	0.333	0.780	0.431
homosexuality	гомосексуализм	0.367	0.696	0.429
honcho	honcho	0.469	0.464	0.397
hone	сүйек	0.688	0.392	0.473
honest	адал	0.927	0.254	0.750
honesty	адалдық	0.938	0.411	0.728
honey	бал	0.920	0.431	0.510
honeycomb	ұялы телефон	0.541	0.417	0.412
honeymoon	медовый айы	0.979	0.678	0.526
honeysuckle	ырғай	0.597	0.451	0.517
honk	хош иіс	0.549	0.635	0.415
honky	ақылды	0.458	0.632	0.425
honor	құрмет	0.896	0.587	0.857
honorable	құрметті	0.963	0.412	0.830
honorarium	құрметті	0.796	0.510	0.746
honorary	құрметті	0.885	0.565	0.811
honored	құрметті	0.938	0.447	0.732
hooch	жұлдыру	0.429	0.538	0.373
hood	сорғыш	0.357	0.459	0.306
hooded	күлді	0.306	0.745	0.439
hoodlum	hoodlum	0.354	0.720	0.432
hoof	тұяқ	0.427	0.341	0.365
hook	крючок	0.418	0.444	0.395
hooked	жалғанған	0.610	0.661	0.454
hooker	фанер	0.214	0.889	0.373
hookup	кездесу	0.625	0.529	0.683
hooky	ханым	0.468	0.500	0.452
hooligan	бұзақылық	0.295	0.712	0.455
hoop	тұтқа	0.635	0.204	0.315
hoopla	құрсаумен	0.542	0.471	0.353
hooray	хиорай	0.610	0.481	0.536
hoot	hoot	0.449	0.560	0.430
hooter	хотер	0.470	0.615	0.455
hop	хоп	0.450	0.520	0.427
hope	үміт	0.927	0.317	0.739
hopeful	үміттенемін	0.947	0.357	0.627
hopeless	үмітсіз	0.094	0.298	0.112
hopelessness	үмітсіздік	0.052	0.402	0.223
hopes	үміттенеді	0.917	0.500	0.702
hoping	үміттенеді	0.684	0.469	0.454
hopper	шұңқыр	0.396	0.491	0.442
horde	ордасы	0.286	0.713	0.684
horizon	көкжиек	0.729	0.284	0.590
horizontal	көлденең	0.573	0.304	0.387
horizontally	көлденеңінен	0.500	0.356	0.439
hormonal	гормональды	0.500	0.620	0.551
hormone	гормондар	0.490	0.750	0.621
horn	мүйіз	0.385	0.510	0.366
horned	мүйізді	0.316	0.610	0.375
hornet	шнурка	0.398	0.594	0.500
horny	тозған	0.490	0.908	0.560
horoscope	жылжу	0.500	0.360	0.490
horrendous	түршігерлік	0.073	0.755	0.365
horrible	түршігерлік	0.071	0.857	0.398
horribly	түршігерлік	0.050	0.631	0.454
horrid	түршігерлік	0.052	0.765	0.419
horrific	түршігерлік	0.094	0.846	0.481
horrified	қорқынышты	0.040	0.885	0.368
horrifying	қасіретін	0.010	0.760	0.352
horror	қасіретін	0.115	0.850	0.438
horrors	қасіретін	0.061	0.852	0.409
horse	жылқы	0.635	0.510	0.529
horseback	атпен	0.688	0.588	0.566
horseman	атші	0.441	0.700	0.676
horsepower	ат күші	0.594	0.735	0.735
horseradish	жүгері	0.321	0.584	0.476
horseshit	жіліншік	0.153	0.582	0.179
horseshoe	ногтей	0.673	0.350	0.406
horsey	жылқы	0.602	0.454	0.462
horticultural	бау-бақша	0.594	0.387	0.509
horticulture	бау-бақша шаруашылығы	0.700	0.420	0.434
hosannah	NO TRANSLATION	0.679	0.373	0.500
hose	түтікшесі бар	0.469	0.288	0.263
hosiery	шұлық	0.520	0.344	0.373
hospice	хоспис	0.337	0.443	0.535
hospitable	қонақжай	0.791	0.470	0.661
hospital	аурухана	0.323	0.537	0.598
hospitality	қонақжайлылық	0.865	0.333	0.725
host	хост	0.693	0.471	0.537
hostage	кепіл ұстау	0.163	0.923	0.325
hostel	жатақхана	0.479	0.500	0.398
hostess	иесі	0.792	0.604	0.688
hostile	дұшпандық	0.188	0.877	0.474
hostilities	қақтығыстар	0.276	0.810	0.444
hostility	қастық	0.122	0.775	0.465
hot	ыстық	0.490	0.740	0.573
hot sauce	ыстық соус	0.333	0.740	0.509
hotbed	тоңазытқыш	0.510	0.285	0.395
hotdog	хот-дог	0.720	0.438	0.373
hotel	қонақ үй	0.740	0.370	0.407
hothead	ыстық найзағай	0.240	0.849	0.518
hotline	сенім телефоны	0.592	0.565	0.663
hotshot	ыстық көрініс	0.500	0.727	0.615
hotyoga	NO TRANSLATION	0.683	0.609	0.446
hound	тазы	0.417	0.528	0.582
hour	сағат	0.552	0.265	0.336
hourglass	шыны ыдыс	0.542	0.284	0.492
hourly	сағат сайын	0.469	0.418	0.491
house	үй	0.587	0.135	0.533
houseboat	үй кемесі	0.604	0.389	0.429
houseboy	үйбаяны	0.479	0.415	0.393
housebroken	үйде	0.518	0.461	0.389
houseguest	тұрғын үй	0.530	0.500	0.481
household	үй шаруашылығы	0.781	0.230	0.667
householder	үй иесі	0.816	0.541	0.833
housekeeper	үй қызметшісі	0.694	0.279	0.520
housekeeping	үй шаруашылығы	0.604	0.500	0.445
housewarming	қоныс аудару	0.857	0.710	0.727
housewife	үй шаруасындағы әйел	0.656	0.361	0.449
housework	үй жұмысын	0.484	0.413	0.342
housing	тұрғын үй	0.776	0.304	0.591
hovel	ховел	0.333	0.296	0.322
hover	апарыңыз	0.510	0.431	0.404
hovercraft	әуе кемесі	0.541	0.654	0.588
howl	әзіл	0.357	0.646	0.407
howsoever	дегенмен	0.459	0.309	0.345
hoy	NO TRANSLATION	0.583	0.298	0.471
hub	хаб	0.479	0.399	0.433
hubby	ерлі-зайыпты	0.548	0.435	0.430
huckleberry	хуклберри	0.600	0.279	0.296
huddle	жиналыс	0.604	0.509	0.445
hue	реңк	0.507	0.416	0.417
huff	huff	0.388	0.491	0.315
huffy	huffy	0.420	0.616	0.375
hug	құшақтасу	0.908	0.427	0.548
huge	үлкен	0.573	0.625	0.783
hugger	қояншы	0.520	0.480	0.412
huggy	хагги	0.854	0.429	0.451
hugs	құшақтар	0.980	0.422	0.600
hulk	хулк	0.460	0.740	0.750
hull	корпус	0.542	0.265	0.353
hum	күлді	0.490	0.296	0.276
human	адам	0.767	0.314	0.605
humane	адамгершілік	0.800	0.370	0.580
humanitarian	гуманитарлық	0.786	0.317	0.709
humanities	гуманитарлық ғылымдар	0.729	0.325	0.677
humanity	адамзат	0.750	0.360	0.727
humankind	адамзат	0.885	0.394	0.714
humanoid	гуманоиды	0.521	0.462	0.491
humanrights	NO TRANSLATION	0.792	0.559	0.730
humble	кішіпейіл	0.867	0.236	0.483
humbled	төмендеді	0.280	0.618	0.198
humbly	кішіпейілділікпен	0.771	0.194	0.370
humbug	күңкілдеу	0.219	0.622	0.456
humdrum	гумдрум	0.269	0.246	0.353
humid	дымқыл	0.375	0.324	0.366
humidity	ылғалдылық	0.464	0.373	0.367
humiliate	қорлау	0.052	0.714	0.275
humiliated	қорлайтын	0.104	0.712	0.216
humiliating	қорлайтын	0.062	0.716	0.279
humiliation	қорлау	0.048	0.712	0.310
humility	кішіпейілділік	0.740	0.118	0.444
hummer	хаммер	0.510	0.622	0.589
hummingbird	қытырлақшы	0.750	0.370	0.273
humongous	әдемі	0.378	0.538	0.536
humor	юмор	0.890	0.633	0.462
humored	гуматрий	0.854	0.657	0.545
humorist	юморист	0.958	0.790	0.607
humorous	әзіл-оспақ	0.906	0.616	0.665
hump	соққы	0.296	0.462	0.250
humpback	борпылдақ	0.235	0.346	0.247
hunch	намек	0.561	0.630	0.567
hunchback	шнурка	0.208	0.390	0.259
hundred	жүз	0.604	0.370	0.406
hundredth	жүзінші	0.427	0.368	0.466
hunger	аштық	0.083	0.554	0.328
hungry	ашты	0.083	0.690	0.254
hunk	аңшы	0.438	0.375	0.361
hunks	аңшылар	0.417	0.453	0.482
hunky	аңшы	0.469	0.571	0.438
hunt	аң аулау	0.327	0.806	0.588
hunter	аңшы	0.292	0.817	0.817
hunting	аң аулау	0.448	0.713	0.714
huntress	аңшы	0.357	0.717	0.765
hurdle	тосқауыл	0.198	0.682	0.434
hurl	құлдырау	0.316	0.745	0.574
hurrah	асығыңыз	0.802	0.740	0.500
hurricane	дауыл	0.177	0.958	0.787
hurricanes	дауылдар	0.286	0.898	0.784
hurried	шапалақтады	0.314	0.806	0.393
hurry	асығыңыз	0.422	0.735	0.481
hurryup	NO TRANSLATION	0.473	0.791	0.555
hurt	зардап шегеді	0.062	0.773	0.291
hurtful	зиянды	0.104	0.680	0.463
hurting	зардап шегеді	0.153	0.778	0.221
husband	күйеуі	0.771	0.500	0.655
husbandry	шаруа қожалықтары	0.643	0.473	0.445
hush	тыныштық	0.471	0.231	0.312
hushed	еріксіз	0.292	0.194	0.272
husk	NO TRANSLATION	0.378	0.173	0.147
husky	қуырылған	0.630	0.450	0.490
hussy	күлкі	0.219	0.594	0.384
hustle	шапшаңдық	0.406	0.661	0.427
hustler	hustler	0.260	0.821	0.627
hut	үйірме	0.633	0.270	0.375
hutch	жасуша	0.385	0.453	0.520
hyacinth	гиацинт	0.372	0.360	0.342
hybrid	гибридті	0.500	0.365	0.570
hydra	гидра	0.406	0.598	0.534
hydrant	гидрант	0.570	0.413	0.367
hydrate	гидратация	0.610	0.367	0.547
hydraulic	гидравликалық	0.522	0.398	0.596
hydraulics	гидравлика	0.500	0.530	0.588
hydrocephalus	гидроцефалия	0.286	0.629	0.393
hydrodynamics	гидродинамика	0.552	0.582	0.664
hydrogen	сутегі	0.469	0.303	0.554
hydrographic	гидрографиялық	0.490	0.396	0.642
hydrology	гидрология	0.500	0.380	0.509
hydrophobia	гидрофобия	0.323	0.784	0.351
hydroponics	гидропоника	0.500	0.549	0.500
hyena	гиена	0.396	0.719	0.464
hygiene	гигиена	0.781	0.287	0.537
hygienic	гигиеналық	0.719	0.245	0.702
hygienist	гигиенист	0.698	0.389	0.682
hymen	гимні	0.469	0.651	0.457
hymn	әнұран	0.735	0.292	0.634
hype	алдау	0.510	0.500	0.586
hyped	қате	0.708	0.582	0.679
hyper	гипер	0.542	0.616	0.640
hyperactive	гиперактивті	0.500	0.921	0.660
hyperbole	гипербола	0.469	0.521	0.542
hyperspace	hyperspace	0.510	0.623	0.755
hypertension	гипертониясы	0.133	0.784	0.427
hypertrophy	гипертрофия	0.312	0.625	0.413
hyperventilate	гипервентилат	0.347	0.729	0.556
hyperventilating	гипервентиляция	0.164	0.802	0.625
hyphen	сызықша	0.552	0.356	0.381
hypnosis	гипноз	0.417	0.410	0.546
hypnotic	гипноздық	0.571	0.560	0.569
hypnotist	гипнотизатор	0.490	0.455	0.627
hypnotize	гипнозға ұшырайды	0.469	0.507	0.508
hypnotized	гипнотизирленген	0.449	0.434	0.380
hypochondriac	гипохондриак	0.194	0.588	0.333
hypocrisy	екіжүзділік	0.156	0.523	0.370
hypocrite	екіжақты	0.082	0.673	0.306
hypocritical	екіжүзділік	0.048	0.740	0.415
hypodermic	гиподермиялық	0.240	0.441	0.445
hypothalamus	гипоталамус	0.593	0.427	0.539
hypothermia	гипотермия	0.184	0.620	0.301
hypothesis	гипотеза	0.552	0.370	0.509
