Word	Cebuano-ceb	Valence	Arousal	Dominance
linguist	linguist	0.583	0.330	0.634
linguistic	linguistic	0.646	0.351	0.618
linguistics	linguistics	0.552	0.390	0.618
lining	lining	0.571	0.363	0.472
link	link	0.427	0.264	0.491
linoleum	linoleum	0.510	0.378	0.402
lint	lint	0.388	0.173	0.214
lion	leon	0.532	0.717	0.682
lip	ang ngabil	0.541	0.348	0.443
liposuction	liposuction	0.292	0.684	0.464
lipstick	lipstick	0.653	0.429	0.306
liquefaction	liquefaction	0.449	0.622	0.535
liquefied	liquefied	0.562	0.463	0.342
liqueur	liqueur	0.670	0.612	0.389
liquid	likido	0.562	0.235	0.307
liquidate	pag-liquidate	0.327	0.654	0.664
liquidation	likidasyon	0.417	0.625	0.649
liquidator	likidator	0.354	0.663	0.750
liquidity	liquidity	0.688	0.529	0.534
liquor	bino	0.603	0.702	0.433
lira	NO TRANSLATION	0.530	0.255	0.370
lisp	lisp	0.365	0.412	0.288
list	listahan	0.528	0.260	0.402
listen	paminaw	0.771	0.360	0.445
listener	tigpaminaw	0.667	0.375	0.403
listenting	NO TRANSLATION	0.640	0.377	0.491
listing	paglista	0.438	0.273	0.432
listless	listless	0.219	0.350	0.231
listneing	NO TRANSLATION	0.531	0.370	0.433
litany	litany	0.510	0.365	0.482
liter	litro	0.573	0.208	0.382
literacy	literacy	0.730	0.306	0.638
literal	literal	0.570	0.353	0.574
literally	sa literal	0.571	0.353	0.673
literary	literatura	0.719	0.324	0.667
literature	literatura	0.708	0.250	0.598
lithe	lithe	0.656	0.596	0.602
lithium	lithium	0.417	0.330	0.430
lithograph	lithograph	0.551	0.327	0.481
lithography	lithography	0.561	0.346	0.473
lithology	lithology	0.519	0.378	0.525
lithosphere	lithosphere	0.473	0.333	0.689
litigant	litigant	0.219	0.577	0.696
litigate	litokon	0.260	0.819	0.712
litigation	litigasyon	0.388	0.760	0.602
litigator	litigator	0.429	0.630	0.732
litigious	litigious	0.360	0.736	0.632
litter	basura	0.255	0.551	0.110
little	gamay	0.385	0.160	0.213
littlethings	gagmayng butang	0.740	0.311	0.242
littoral	littoral	0.551	0.387	0.452
liturgy	liturhiya	0.490	0.327	0.568
live	mabuhi	0.880	0.673	0.676
livelife	buhi nga kinabuhi	0.792	0.624	0.664
livelihood	panginabuhian	0.698	0.481	0.721
lively	buhi	0.847	0.810	0.642
liven	liven	0.708	0.713	0.673
liver	atay	0.439	0.290	0.385
livery	atay	0.510	0.417	0.429
livestock	kahayopan	0.729	0.420	0.519
livid	livid	0.469	0.788	0.490
living	buhi	0.865	0.608	0.727
lizard	tabili	0.378	0.375	0.324
llama	llama	0.490	0.590	0.519
lml	lml	0.448	0.519	0.385
load	load	0.385	0.417	0.528
loader	loader	0.562	0.377	0.686
loaf	tinapay	0.755	0.250	0.277
loafer	loafer	0.235	0.396	0.254
loam	loam	0.469	0.373	0.673
loan	loan	0.552	0.480	0.352
loath	kasilag	0.135	0.714	0.445
loathe	gikasilagan	0.094	0.730	0.429
loathful	makaluluoy	0.068	0.740	0.358
loathing	kasilag	0.083	0.796	0.368
loathsome	makalagot	0.120	0.694	0.343
lobby	lobby	0.625	0.427	0.472
lobbyist	lobbyist	0.385	0.527	0.565
lobe	lobe	0.459	0.364	0.352
lobotomy	lobotomy	0.296	0.598	0.402
lobster	lobster	0.571	0.356	0.291
local	lokal	0.656	0.269	0.452
locale	lokal	0.449	0.387	0.352
locality	lokalidad	0.582	0.336	0.464
localization	lokalisasyon	0.552	0.330	0.545
localize	localize	0.520	0.481	0.679
localized	lokal	0.490	0.460	0.621
locate	pagpangita	0.583	0.520	0.786
location	dapit	0.615	0.375	0.546
locator	locator	0.480	0.426	0.614
loch	loch	0.449	0.235	0.425
lock	lock	0.271	0.585	0.600
locker	locker	0.439	0.300	0.393
locket	locket	0.615	0.327	0.616
locksmith	panday	0.510	0.417	0.491
lockup	lockup	0.240	0.602	0.617
loco	loco	0.306	0.774	0.226
locomotion	pag-locomotion	0.470	0.600	0.595
locomotive	ang makina	0.542	0.650	0.721
locust	dulon	0.479	0.412	0.417
lode	NO TRANSLATION	0.365	0.423	0.318
lodge	paghigda	0.656	0.356	0.474
lodger	lodger	0.480	0.448	0.304
lodging	pagpuyo	0.713	0.286	0.527
loft	loft	0.510	0.378	0.343
lofty	halangdon	0.755	0.306	0.569
log	log	0.591	0.371	0.395
logarithm	logarithm	0.520	0.439	0.551
logarithmic	logarithmic	0.469	0.458	0.606
logic	lohika	0.646	0.245	0.819
logical	makatarunganon	0.805	0.400	0.648
logistics	logistics	0.633	0.500	0.730
logo	logo	0.469	0.296	0.565
logotype	logotype	0.480	0.337	0.509
loin	NO TRANSLATION	0.420	0.298	0.379
lollipop	lollipop	0.628	0.483	0.357
lone	nag-inusara	0.198	0.204	0.367
loneliness	kamingaw	0.146	0.182	0.222
lonely	nag-inusara	0.250	0.226	0.238
loner	nag-inusara	0.347	0.152	0.221
lonesome	nag-inusara	0.281	0.213	0.336
long	dugay	0.541	0.353	0.543
longboat	longboat	0.551	0.454	0.490
longevity	taas nga kinabuhi	0.750	0.353	0.745
longing	nangandoy	0.604	0.434	0.560
longitude	longitude	0.479	0.310	0.516
longitudinal	dugay-dugay	0.542	0.398	0.582
longitudinally	longitudinally	0.541	0.380	0.569
longtime	dugay nga panahon	0.362	0.442	0.546
loo	loo	0.385	0.357	0.283
look	tan-awa	0.719	0.429	0.615
looker	looker	0.583	0.354	0.451
lookout	pagbantay	0.698	0.538	0.639
loom	hablanan	0.531	0.245	0.325
looming	naglihok	0.367	0.750	0.528
loon	loon	0.429	0.392	0.325
loony	awa	0.439	0.474	0.295
loop	loop	0.516	0.343	0.317
loophole	huyang	0.406	0.755	0.491
loopy	ulan	0.438	0.520	0.195
loose	pagkawala	0.573	0.312	0.365
loosen	buhawi	0.487	0.337	0.218
loosening	pagkawala	0.378	0.343	0.295
loot	pagkawat	0.604	0.711	0.537
lop	lop	0.429	0.363	0.426
lopsided	luya	0.125	0.500	0.272
lord	ginoo	0.618	0.327	0.684
lords	mga ginoo	0.571	0.356	0.781
lordship	pagkaginoo	0.573	0.557	0.736
lore	lore	0.719	0.373	0.768
lorry	lorry	0.521	0.481	0.402
lose	mawala	0.115	0.538	0.176
loser	napildi	0.083	0.510	0.155
losing	pagkawala	0.076	0.686	0.223
loss	pagkawala	0.062	0.567	0.211
lost	nawala	0.199	0.663	0.148
lot	daghan	0.531	0.215	0.370
lotion	lotion	0.724	0.261	0.188
lots	daghang luna	0.604	0.417	0.424
lottery	loterya	0.771	0.731	0.491
lotto	lotto	0.760	0.635	0.475
lotus	lotus	0.604	0.377	0.510
loud	kusog	0.573	0.650	0.870
loudly	kusog nga tingog	0.541	0.755	0.667
loudmouth	loudmouth	0.337	0.615	0.456
loudness	kusog nga tingog	0.350	0.582	0.620
loudspeaker	loudspeaker	0.490	0.735	0.689
lounge	lounge	0.592	0.245	0.466
lounging	pahuway	0.735	0.167	0.449
louse	louse	0.184	0.439	0.154
lousy	lingy	0.125	0.482	0.234
lovable	hiligugmaon	0.948	0.335	0.565
love	gugma	1.000	0.519	0.673
loved	gihigugma	0.927	0.452	0.582
lovee	lovee	0.949	0.592	0.611
loveee	loveee	0.927	0.592	0.693
loveless	walay gugma	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	gugma	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	matahum	0.917	0.456	0.741
lovemaking	paghigugmaay	0.969	0.927	0.814
lovemylife	lovemylife	0.896	0.800	0.573
lover	mahigugmaon	0.881	0.816	0.750
lovesick	malipayon	0.796	0.842	0.500
lovethis	ganahan ko ani	0.867	0.552	0.526
loving	mahigugmaon	0.948	0.612	0.636
lovinglife	mahigugmaon nga kinabuhi	0.979	0.404	0.673
lovinlife	lovinlife	0.714	0.460	0.544
low	ubos	0.292	0.220	0.102
lowdown	pag-ubos	0.306	0.441	0.441
lower	ubos	0.327	0.296	0.258
lowering	pagpaubos	0.286	0.363	0.236
lowest	labing ubos	0.312	0.304	0.129
lowlands	kapatagan	0.323	0.290	0.331
lowlife	ubos nga kinabuhi	0.296	0.529	0.309
lowly	mapainubsanon	0.562	0.294	0.417
lox	lox	0.490	0.373	0.318
loyal	maunongon	0.896	0.265	0.657
loyalty	pagkamaunongon	0.885	0.406	0.793
lsd	lsd	0.375	0.471	0.390
luau	luau	0.594	0.545	0.296
lube	lube	0.552	0.490	0.411
lubricant	lubricant	0.656	0.550	0.454
lubricate	lubricate	0.552	0.490	0.470
lubrication	lubrication	0.624	0.646	0.491
lucid	matinud-anon	0.771	0.490	0.705
luck	luck	0.854	0.490	0.717
luckiest	luckiest	0.917	0.690	0.852
lucky	lucky	0.960	0.610	0.793
luckygirl	luckygirl	0.781	0.712	0.471
lucrative	dakog suweldo	0.729	0.519	0.798
ludicrous	ludicrous	0.137	0.553	0.274
lug	lug	0.344	0.443	0.340
luggage	bagahe	0.561	0.226	0.319
lukewarm	lukewarm	0.573	0.300	0.241
lull	lull	0.602	0.130	0.402
lullaby	lullaby	0.796	0.156	0.339
lumbar	lumbar	0.323	0.418	0.342
lumber	kahoy	0.517	0.184	0.373
lumbering	lumbering	0.354	0.561	0.655
lumberjack	lumberjack	0.500	0.660	0.726
luminescent	luminescent	0.796	0.550	0.526
luminous	naglihok	0.918	0.392	0.783
lump	lump	0.438	0.337	0.463
lumpy	lumpy	0.271	0.378	0.365
lunacy	lunacy	0.132	0.847	0.330
lunar	lunar	0.562	0.296	0.427
lunatic	lunatic	0.125	0.792	0.442
lunch	paniudto	0.880	0.410	0.542
lunchbox	lunchbox	0.663	0.346	0.346
luncheon	paniudto	0.837	0.240	0.441
lunchtime	paniudto	0.896	0.398	0.444
lung	baga	0.510	0.292	0.629
lunge	lunge	0.354	0.721	0.509
lungs	mga baga	0.531	0.352	0.555
lurch	lurch	0.404	0.694	0.363
lure	lure	0.439	0.565	0.300
lurid	lurid	0.186	0.833	0.536
lurk	lurk	0.219	0.740	0.655
lurking	nagtago	0.421	0.781	0.575
luscious	luscious	0.885	0.552	0.545
lush	lobo	0.740	0.783	0.833
lust	kahinam	0.469	0.944	0.518
luster	kilid	0.833	0.566	0.558
lustful	lustful	0.427	0.896	0.643
lustrous	mahilig	0.771	0.606	0.598
lusty	lusty	0.469	0.941	0.673
lute	lute	0.459	0.407	0.500
luxuriant	madanihon	0.760	0.745	0.812
luxurious	maluho	0.947	0.644	0.754
luxury	kaluho	0.932	0.673	0.750
lycra	lycra	0.520	0.449	0.328
lye	lye	0.378	0.396	0.443
lying	pagpamakak	0.208	0.704	0.317
lymph	lymph	0.398	0.510	0.390
lymphatic	lymphatic	0.380	0.509	0.472
lymphoma	lymphoma	0.208	0.645	0.330
lynch	lynch	0.167	0.885	0.482
lynching	lynching	0.135	0.920	0.548
lynx	lynx	0.510	0.590	0.567
lyre	lira	0.719	0.347	0.414
lyric	lyric	0.702	0.269	0.464
lyrical	lyrical	0.708	0.451	0.618
lyrics	lyrics	0.582	0.214	0.333
macadamia	macadamia	0.635	0.330	0.434
macarena	macarena	0.802	0.601	0.368
macaroni	macaroni	0.816	0.410	0.382
mace	mace	0.450	0.412	0.415
mach	mach	0.541	0.432	0.463
machete	machete	0.260	0.690	0.474
machine	machine	0.510	0.500	0.707
machinery	makinarya	0.458	0.615	0.629
machinist	machinist	0.490	0.598	0.721
macho	macho	0.643	0.690	0.676
mackerel	mackerel	0.418	0.423	0.426
macro	macro	0.552	0.469	0.647
mad	buang	0.219	0.873	0.277
madam	madam	0.580	0.308	0.571
madame	madame	0.604	0.500	0.635
madden	madden	0.329	0.602	0.457
madder	madder	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	mademyday	0.694	0.573	0.537
madhouse	madhouse	0.156	0.736	0.440
madman	buang	0.135	0.880	0.312
madness	kabuang	0.104	0.804	0.440
maestro	maestro	0.823	0.357	0.849
mafia	mafia	0.204	0.867	0.676
magazine	magasin	0.615	0.332	0.377
mage	mage	0.622	0.373	0.453
magenta	magenta	0.635	0.275	0.415
maggot	ulod	0.235	0.500	0.235
magic	magic	0.868	0.663	0.578
magical	mahagiton	0.875	0.651	0.595
magician	salamangkero	0.714	0.657	0.551
magistrate	mahistrado	0.587	0.541	0.904
magma	Magma	0.323	0.623	0.609
magna	magna	0.605	0.490	0.652
magnate	magnate	0.627	0.708	0.868
magnesium	magnesium	0.542	0.320	0.321
magnet	magnet	0.571	0.318	0.553
magnetic	magnetic	0.612	0.529	0.673
magnetism	magnetismo	0.630	0.529	0.741
magnetite	magnetite	0.531	0.490	0.581
magnification	pagpadako	0.890	0.615	0.880
magnificence	kahalangdon	0.802	0.810	0.920
magnificent	halangdon	1.000	0.680	0.886
magnifier	magnifier	0.469	0.216	0.345
magnify	pagpalambo	0.729	0.561	0.839
magnifying	pagpalambo	0.594	0.265	0.406
magnitude	kadako	0.608	0.613	0.774
magnolia	magnoliya	0.558	0.343	0.379
magpie	magpie	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	mahjong	0.556	0.418	0.440
mahogany	mahogany	0.602	0.225	0.393
maid	babaye	0.406	0.324	0.300
maiden	dalaga	0.755	0.396	0.461
mail	mail	0.615	0.231	0.548
mailbox	mailbox	0.573	0.222	0.404
mailing	pagpadala	0.688	0.324	0.375
mailman	mailman	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	main	0.667	0.510	0.811
mainframe	mainframe	0.531	0.490	0.557
mainland	mainland	0.680	0.407	0.806
mainstay	mainstay	0.694	0.400	0.713
mainstream	mainstream	0.653	0.527	0.660
maintain	pagmintinar	0.684	0.398	0.647
maintenance	pagmintinar	0.592	0.410	0.545
majestic	halangdon	0.948	0.731	0.906
majesty	kahalangdon	0.823	0.602	0.955
major	mayor	0.684	0.538	0.874
majority	kadaghanan	0.684	0.560	0.930
make	paghimo	0.684	0.420	0.480
makeover	kausaban	0.771	0.510	0.596
maker	magbubuhat	0.698	0.544	0.706
makeshift	hinay	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	pag-ilis	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	sakit	0.190	0.686	0.304
malaise	malaise	0.150	0.600	0.161
malaria	malarya	0.125	0.653	0.304
malarkey	malarkey	0.396	0.500	0.465
male	lalaki	0.612	0.532	0.695
malevolent	malevolent	0.094	0.854	0.613
malfeasance	malfeasance	0.062	0.745	0.325
malformation	malformation	0.083	0.602	0.357
malfunction	malfunction	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	malisyoso	0.177	0.765	0.607
malign	malign	0.140	0.765	0.481
malignancy	malignancy	0.149	0.814	0.614
malignant	malignant	0.143	0.824	0.370
maligned	maligned	0.102	0.684	0.218
mall	mall	0.724	0.663	0.492
malleable	malleable	0.500	0.500	0.391
mallet	mallet	0.354	0.390	0.483
malnutrition	malnutrisyon	0.024	0.592	0.277
malpractice	malpractice	0.094	0.559	0.330
malt	malt	0.750	0.373	0.324
mama	mama	0.860	0.413	0.728
mambo	mambo	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	mammal	0.618	0.449	0.421
mammoth	mammoth	0.480	0.471	0.537
mammy	mammy	0.680	0.415	0.436
man	tawo	0.688	0.427	0.767
manage	pagdumala	0.560	0.530	0.719
manageable	mapugngan	0.750	0.361	0.655
management	pagdumala	0.792	0.491	0.806
manager	manager	0.625	0.549	0.897
managerial	managerial	0.604	0.520	0.791
mandamus	mandamus	0.439	0.577	0.556
mandarin	mandarin	0.625	0.398	0.491
mandate	sugo	0.448	0.670	0.779
mandatory	gikinahanglan	0.271	0.667	0.777
mandible	mandible	0.510	0.431	0.500
mandolin	mandolin	0.708	0.433	0.367
mandrel	mandrel	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	maniobra	0.615	0.663	0.608
maneuvering	maniobra	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	pasungan	0.656	0.276	0.398
mangle	mangle	0.292	0.449	0.355
mango	Mango	0.765	0.327	0.290
mangosteen	mangosteen	0.562	0.500	0.414
mangy	mangy	0.214	0.698	0.270
manhole	manhole	0.378	0.500	0.516
manhood	pagkalalaki	0.625	0.735	0.858
manhunt	manhunt	0.145	0.925	0.657
mania	mania	0.290	0.683	0.382
maniac	biniyaan	0.120	0.849	0.431
maniacal	maniacal	0.200	0.848	0.500
manic	manic	0.054	0.892	0.368
manicure	manicure	0.706	0.308	0.284
manicurist	manicurist	0.583	0.352	0.341
manifest	gipakita	0.667	0.647	0.704
manifestation	pagpadayag	0.583	0.750	0.655
manifested	gipakita	0.580	0.618	0.667
manifestly	madayag	0.469	0.588	0.577
manifesto	manifesto	0.646	0.519	0.676
manifold	daghan	0.500	0.461	0.435
manipulate	nagmaniobra	0.255	0.700	0.772
manipulation	manipulasyon	0.188	0.775	0.536
manipulative	manipulative	0.177	0.724	0.546
mankind	katawhan	0.823	0.471	0.768
manly	lalaki	0.698	0.633	0.846
manna	manna	0.698	0.294	0.544
manned	gimana	0.551	0.588	0.484
mannequin	mannequin	0.427	0.302	0.295
manner	paagi	0.618	0.250	0.320
mannered	kinaiya	0.469	0.556	0.291
manners	kinaiya	0.816	0.284	0.517
manor	manor	0.646	0.358	0.738
manpower	manpower	0.531	0.620	0.543
mansion	mansyon	0.847	0.490	0.717
mansions	mga mansyon	0.735	0.529	0.777
manslaughter	pagpatay sa tawo	0.090	0.920	0.473
mantel	mantel	0.500	0.265	0.471
mantis	mantis	0.480	0.355	0.421
mantle	mantle	0.510	0.269	0.422
mantra	mantra	0.396	0.249	0.357
manual	manwal	0.635	0.245	0.449
manufacture	paghimo	0.868	0.703	0.780
manufacturer	tiggama	0.688	0.537	0.830
manufacturing	manufacturing	0.653	0.613	0.804
manure	manure	0.250	0.471	0.241
manuscript	manuskrito	0.510	0.208	0.540
map	mapa	0.561	0.229	0.463
maple	maple	0.541	0.390	0.339
mar	mar	0.622	0.544	0.545
marathon	marathon	0.646	0.778	0.740
marble	marmol	0.604	0.212	0.667
marbled	nagmadaugon	0.396	0.385	0.418
marbles	jolen	0.714	0.345	0.241
march	martsa	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	margarine	0.530	0.316	0.333
margarita	margarita	0.750	0.438	0.420
margin	kilid	0.500	0.219	0.331
marginal	marginal	0.235	0.644	0.345
mariachi	mariachi	0.710	0.559	0.609
marijuana	marijuana	0.312	0.779	0.558
marinara	marinara	0.657	0.388	0.435
marine	dagat	0.633	0.471	0.679
mariner	marinero	0.652	0.491	0.676
marital	kaminyoon	0.760	0.529	0.500
maritime	maritime	0.646	0.490	0.713
mark	marka	0.491	0.231	0.600
marked	gimarkahan	0.592	0.358	0.554
marker	marker	0.500	0.333	0.605
market	merkado	0.724	0.480	0.521
marketable	mapalig-on	0.746	0.545	0.664
marketing	pagpamaligya	0.521	0.774	0.675
marketplace	merkado	0.698	0.420	0.525
marks	mga marka	0.430	0.480	0.424
marksman	sulog	0.500	0.833	0.692
marksmanship	marksmanship	0.573	0.531	0.664
marl	marl	0.372	0.471	0.351
marmalade	marmalade	0.729	0.370	0.288
maroon	maroon	0.469	0.358	0.336
marooned	marooned	0.229	0.480	0.160
marquee	marquee	0.602	0.284	0.508
marquis	marquis	0.521	0.444	0.562
marred	nahugawan	0.181	0.561	0.233
marriage	kaminyoon	0.844	0.684	0.750
married	minyo	0.674	0.570	0.602
marrow	utok sa bukog	0.398	0.422	0.472
marry	magminyo	0.896	0.765	0.673
marsh	marsh	0.302	0.358	0.277
marshal	marshal	0.469	0.610	0.819
marshmallow	marshmallow	0.740	0.441	0.391
mart	mart	0.531	0.402	0.418
martial	martial	0.480	0.710	0.737
martingale	martingale	0.469	0.510	0.455
martini	martini	0.828	0.500	0.519
martyr	martir	0.281	0.708	0.509
martyrdom	pagkamartir	0.323	0.745	0.442
marvel	nahibulong	0.961	0.755	0.866
marvellous	kahibulongan	0.878	0.809	0.849
marvelous	kahibulongan	0.948	0.637	0.778
marvelously	kahibulongan	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	maskara	0.575	0.450	0.269
mascot	mascot	0.750	0.337	0.337
masculine	masculine	0.653	0.540	0.773
masculinity	masculinity	0.583	0.670	0.851
mash	mash	0.440	0.363	0.283
mashed	mashed	0.531	0.337	0.194
mask	maskara	0.510	0.490	0.537
masked	masked	0.375	0.549	0.518
masks	mga maskara	0.510	0.472	0.241
masochism	masochism	0.194	0.845	0.483
masochist	masochist	0.164	0.784	0.353
mason	Mason	0.541	0.442	0.580
masquerade	pagsupak	0.431	0.633	0.446
mass	masa	0.458	0.245	0.277
massacre	pagpamatay	0.031	0.887	0.640
massage	pagmasahe	0.708	0.356	0.413
masses	mga masa	0.552	0.453	0.473
masseur	tigpamaba	0.622	0.265	0.463
masseuse	masseuse	0.594	0.373	0.391
massive	dako kaayo	0.569	0.660	0.750
mast	palo	0.542	0.390	0.580
master	agalon	0.694	0.490	0.849
masterful	batid	0.854	0.510	0.960
mastermind	mastermind	0.792	0.625	0.918
masterpiece	obra maestra	0.926	0.623	0.847
mastery	pagkahanas	0.755	0.648	0.873
masturbate	mag-masturbate	0.552	0.926	0.500
masturbation	masturbasyon	0.542	0.961	0.509
mat	mat	0.459	0.221	0.304
matador	matador	0.224	0.880	0.667
match	match	0.599	0.573	0.500
matchbook	matchbook	0.562	0.391	0.412
matching	pagparis	0.719	0.735	0.418
matchmaker	matchmaker	0.615	0.509	0.519
mate	kapikas	0.847	0.417	0.669
material	materyal nga	0.521	0.363	0.439
materialism	materyalismo	0.220	0.390	0.556
materialist	materyalista	0.255	0.491	0.504
materialistic	materyalistiko	0.420	0.506	0.589
materiality	materyalidad	0.417	0.450	0.636
materialize	matuman	0.688	0.596	0.728
materially	sa materyal nga paagi	0.490	0.451	0.670
materials	mga materyales	0.633	0.361	0.473
materiel	materiel	0.531	0.294	0.417
maternal	inahan	0.847	0.417	0.634
maternity	maternity	0.865	0.480	0.622
math	math	0.417	0.375	0.600
mathematical	matematika	0.620	0.500	0.548
mathematician	mathematician	0.541	0.418	0.773
mathematics	matematika	0.438	0.435	0.664
matinee	matinee	0.694	0.578	0.447
mating	mating	0.755	0.840	0.759
matriculation	matriculation	0.622	0.490	0.675
matrimony	kaminyoon	0.850	0.637	0.843
matrix	matrix	0.551	0.378	0.673
matron	matron	0.520	0.519	0.555
matted	matod	0.281	0.519	0.393
matter	butang	0.487	0.353	0.562
matting	matting	0.479	0.405	0.423
mattress	kutson	0.612	0.255	0.397
maturation	pagkahinog	0.612	0.439	0.698
mature	hamtong	0.625	0.347	0.600
maturity	pagkahamtong	0.827	0.400	0.806
maudlin	maudlin	0.337	0.417	0.368
mausoleum	Mausoleum	0.344	0.281	0.594
mauve	mauve	0.533	0.330	0.314
maverick	maverick	0.354	0.676	0.409
maxim	maxim	0.875	0.562	0.887
maximize	labing dako	0.823	0.765	0.792
maximum	maximum	0.724	0.724	0.852
may	mahimo	0.704	0.273	0.245
mayday	mayday	0.344	0.643	0.423
mayflower	mayflower	0.690	0.463	0.429
mayhem	kagubot	0.188	0.870	0.364
mayonnaise	mayonnaise	0.510	0.320	0.222
mayor	mayor	0.469	0.481	0.818
maze	maze	0.438	0.608	0.444
mead	mead	0.667	0.337	0.441
meadow	meadow	0.622	0.130	0.382
meager	gamay	0.144	0.389	0.281
meal	pagkaon	0.833	0.461	0.473
mean	nagpasabot	0.440	0.467	0.620
meander	gahapon	0.480	0.443	0.454
meandering	pagpalayo	0.427	0.644	0.539
meanie	meanie	0.388	0.420	0.404
meaning	kahulugan	0.663	0.395	0.625
meaningful	makahuluganon	0.770	0.500	0.802
meaningless	walay pulos	0.156	0.314	0.143
meanness	kaangayan	0.102	0.694	0.368
means	paagi	0.615	0.373	0.460
meantime	kasamtangan	0.432	0.222	0.300
measles	tipdas	0.092	0.635	0.422
measurable	mahimong masusi	0.604	0.410	0.602
measure	sukda	0.510	0.375	0.365
measured	gisukod	0.542	0.265	0.578
measurement	pagsukod	0.622	0.418	0.491
measuring	pagsukod	0.448	0.337	0.529
measuring cup	sukod nga kopa	0.557	0.343	0.377
measuring tape	pagsukod sa teyp	0.337	0.280	0.327
meat	karne	0.612	0.421	0.413
meatball	meatball	0.612	0.279	0.343
meathead	karne sa karne	0.306	0.534	0.490
meatloaf	meatloaf	0.625	0.389	0.375
mechanic	mekaniko	0.571	0.433	0.566
mechanical	mekanikal	0.479	0.569	0.564
mechanics	mekanika	0.542	0.500	0.761
mechanism	mekanismo	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	medal	0.854	0.555	0.746
medallion	medalyon	0.750	0.510	0.710
medallist	medalist	0.796	0.821	0.897
meddle	kasakitan	0.302	0.770	0.526
meddling	nanghambog	0.245	0.600	0.461
media	media	0.500	0.330	0.464
medial	medial	0.458	0.340	0.429
median	median	0.459	0.216	0.375
mediate	pag-agi	0.635	0.308	0.654
mediation	paghusay	0.661	0.350	0.657
mediator	tigpataliwala	0.592	0.438	0.580
medic	med	0.500	0.472	0.585
medical	medikal	0.583	0.373	0.616
medicate	NO TRANSLATION	0.417	0.375	0.546
medication	tambal	0.615	0.439	0.500
medicinal	medisina	0.667	0.417	0.614
medicine	medisina	0.708	0.318	0.679
medieval	Edad sa Edad Medya	0.560	0.408	0.455
mediocre	kasamtangan	0.188	0.481	0.149
mediocrity	pagkasayod lamang	0.073	0.398	0.225
meditate	pagpamalandong	0.812	0.146	0.564
meditating	pagpamalandong	0.718	0.185	0.399
meditation	pagpamalandong	0.786	0.120	0.478
meditative	meditative	0.614	0.120	0.454
mediterranean	mediterranean	0.663	0.454	0.545
medium	medium	0.559	0.356	0.358
medley	medley	0.487	0.352	0.400
meek	maaghop	0.531	0.150	0.198
meet	pagkita	0.760	0.510	0.580
meeting	miting	0.750	0.569	0.613
mega	mega	0.724	0.538	0.723
meh	meh	0.380	0.286	0.365
melancholic	kasubo	0.181	0.306	0.277
melancholy	kasubo	0.188	0.260	0.237
melee	melee	0.541	0.704	0.611
mellow	mellow	0.633	0.069	0.265
melodious	melodious	0.932	0.530	0.587
melodrama	melodrama	0.378	0.830	0.446
melodramatic	melodramatic	0.235	0.692	0.368
melody	melodiya	0.847	0.434	0.405
melon	melon	0.461	0.231	0.271
melt	matunaw	0.448	0.615	0.312
meltdown	pagkalunod	0.629	0.657	0.602
melting	natunaw	0.592	0.470	0.538
member	nga miyembro	0.698	0.333	0.555
membership	pagkamiyembro	0.698	0.411	0.778
membrane	membrane	0.406	0.430	0.418
memento	memento	0.708	0.360	0.536
memo	memo	0.625	0.235	0.407
memoir	memoir	0.750	0.242	0.553
memorabilia	memorabilia	0.780	0.412	0.491
memorable	halandumon	0.939	0.510	0.769
memorandum	memorandum	0.600	0.500	0.639
memorial	handumanan	0.602	0.304	0.600
memorials	mga memorial	0.771	0.333	0.679
memories	mga handumanan	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	pagsag-ulo	0.520	0.451	0.716
memory	panumduman	0.792	0.378	0.573
menace	hulga	0.125	0.894	0.759
menacing	menacing	0.042	0.880	0.643
menagerie	menagerie	0.573	0.480	0.538
mend	ayo	0.542	0.436	0.602
mending	pag-ayo	0.500	0.633	0.657
menial	menial	0.490	0.420	0.352
meningitis	meningitis	0.104	0.612	0.407
meniscus	meniscus	0.323	0.330	0.453
menopause	menopause	0.204	0.460	0.306
menses	menses	0.163	0.686	0.331
