Word	Slovak-sk	Valence	Arousal	Dominance
irrespective	a to bez ohľadu	0.497	0.538	0.745
irresponsible	nezodpovedný	0.177	0.680	0.241
irreverent	neúctivý	0.191	0.694	0.634
irreversible	nezvratný	0.170	0.541	0.667
irrevocable	neodvolateľný	0.296	0.560	0.712
irrigate	zavlažiť	0.272	0.458	0.490
irrigation	irigácia	0.259	0.426	0.426
irritability	popudlivosť	0.146	0.853	0.283
irritable	dráždivý	0.112	0.952	0.462
irritate	dráždiť	0.167	0.890	0.368
irritated	podráždený	0.210	0.816	0.281
irritates	dráždi	0.173	0.810	0.295
irritating	znervózňujúce	0.104	0.912	0.393
irritation	podráždenie	0.073	0.833	0.496
island	ostrov	0.745	0.347	0.432
isle	ostrovček	0.667	0.390	0.443
islet	ostrovček	0.612	0.314	0.367
isolate	izolovať	0.235	0.422	0.336
isolated	izolovaný	0.221	0.356	0.255
isolation	izolácia	0.198	0.338	0.339
isomorphism	izomorfizmus	0.448	0.361	0.481
isothermal	izotermická	0.459	0.491	0.500
isotope	izotop	0.429	0.404	0.407
issue	problém	0.316	0.819	0.351
itch	svrbenie	0.319	0.610	0.465
itching	svrbenie	0.208	0.690	0.300
itchy	svrbivý	0.334	0.726	0.296
item	položka	0.594	0.270	0.465
itemize	rozvrhnúť	0.459	0.527	0.518
items	položky	0.542	0.401	0.434
iterate	ITERATE	0.449	0.460	0.440
iteration	opakovanie	0.531	0.449	0.486
iterative	opakovacie	0.429	0.420	0.500
itinerant	potulný	0.449	0.545	0.439
itinerary	itinerár	0.551	0.550	0.454
ivory	slonová kosť	0.625	0.235	0.566
jab	bodnutie	0.385	0.519	0.482
jabber	brebentit	0.417	0.506	0.342
jack	zdvihák	0.487	0.450	0.441
jackal	šakal	0.333	0.582	0.436
jackass	blbec	0.188	0.692	0.279
jacket	bunda	0.656	0.302	0.382
jackhammer	zbíjačka	0.199	0.690	0.519
jackpot	jackpot	0.950	0.750	0.786
jackrabbit	zajac	0.625	0.379	0.344
jacks	zdviháky	0.490	0.400	0.505
jade	nefrit	0.604	0.410	0.455
jaded	unavený	0.255	0.560	0.400
jag	NO TRANSLATION	0.408	0.440	0.427
jagged	rozoklaný	0.082	0.462	0.213
jaguar	jaguár	0.559	0.710	0.654
jail	väzenia	0.094	0.898	0.480
jailbird	kriminálnik	0.240	0.567	0.473
jailbreak	útek z väzenia	0.354	0.629	0.471
jailer	žalárnik	0.194	0.630	0.632
jailhouse	väznice	0.104	0.887	0.430
jalopy	kraksna	0.396	0.436	0.337
jam	džem	0.510	0.548	0.318
jamboree	veselice	0.602	0.625	0.351
jammed	uviazol	0.235	0.817	0.411
jammer	jammer	0.417	0.540	0.491
janitor	školník	0.510	0.350	0.527
janitorial	údržbársky	0.490	0.373	0.481
japan	Japonsko	0.667	0.482	0.580
jar	poháre	0.430	0.346	0.318
jargon	žargón	0.333	0.548	0.404
jarhead	Jarhead	0.408	0.530	0.464
jarring	řvavý	0.210	0.673	0.309
jasmine	jazmín	0.765	0.230	0.286
jasper	jaspis	0.480	0.425	0.402
jaundice	žltačka	0.214	0.480	0.355
jaunt	výlet	0.808	0.451	0.500
java	Jáva	0.459	0.321	0.343
javelin	oštep	0.385	0.481	0.465
jaw	čeľusť	0.500	0.510	0.420
jawbone	čeľusť	0.468	0.413	0.342
jaws	čeľuste	0.385	0.528	0.455
jay	sojka	0.531	0.408	0.389
jazz	jazz	0.677	0.362	0.450
jazzy	džezový	0.725	0.431	0.389
jealous	žiarlivý	0.173	0.855	0.345
jealousy	žiarlivosť	0.146	0.783	0.481
jean	Jean	0.602	0.444	0.364
jeans	džínsy	0.622	0.324	0.371
jeep	džíp	0.602	0.510	0.612
jeering	posmešný	0.266	0.792	0.380
jelly	želé	0.651	0.294	0.256
jellybean	Jellybean	0.592	0.406	0.399
jellyfish	medúza	0.531	0.567	0.377
jenny	Janička	0.542	0.406	0.407
jeopardize	ohroziť	0.260	0.877	0.582
jeopardy	ohrozenie	0.129	0.908	0.536
jerk	trhnutie	0.194	0.630	0.238
jerks	trhne	0.214	0.788	0.395
jerky	trhavé	0.233	0.538	0.358
jersey	trikot	0.594	0.317	0.411
jest	NO TRANSLATION	0.520	0.736	0.222
jester	šašo	0.388	0.670	0.264
jesus	Ježiš	0.800	0.400	0.620
jet	tryska	0.612	0.721	0.606
jetty	mólo	0.602	0.480	0.453
jewel	klenot	0.827	0.588	0.625
jeweler	klenotník	0.760	0.482	0.500
jewelry	šperky	0.823	0.569	0.597
jib	kosatka	0.406	0.420	0.413
jiff	NO TRANSLATION	0.576	0.404	0.349
jiffy	okamih	0.410	0.444	0.380
jig	prípravok	0.531	0.396	0.357
jiggle	pohupovať	0.592	0.673	0.518
jigsaw	vykružovačka	0.594	0.582	0.519
jihad	džihád	0.323	0.660	0.444
jimmy	pakľúče	0.579	0.321	0.311
jingle	cinkot	0.635	0.500	0.424
jinx	uhranúť	0.337	0.582	0.373
jitters	nervozita	0.224	0.918	0.192
jittery	nervózny	0.344	0.856	0.255
jive	tanec	0.561	0.551	0.373
job	zamestnania	0.694	0.541	0.717
jobinterview	NO TRANSLATION	0.684	0.837	0.723
jock	atlét	0.592	0.656	0.473
jockey	džokej	0.562	0.644	0.703
jockstrap	suspenzor	0.347	0.431	0.390
jog	behať	0.510	0.708	0.519
jogger	kto behá pre zdravie	0.417	0.510	0.424
john	john	0.562	0.382	0.327
join	pripojiť	0.729	0.479	0.684
joined	pripojila	0.667	0.394	0.600
joining	spájanie	0.755	0.469	0.685
joint	kĺb	0.615	0.392	0.566
jointly	spoločne	0.708	0.425	0.602
joke	vtip	0.704	0.610	0.316
joker	žolík	0.771	0.760	0.416
joking	žartovanie	0.776	0.839	0.407
jolly	rozjarený	0.959	0.705	0.708
jolt	trhnutie	0.365	0.708	0.358
jornada	NO TRANSLATION	0.417	0.500	0.533
jot	drobek	0.406	0.323	0.350
jour	NO TRANSLATION	0.479	0.394	0.415
journal	časopis	0.688	0.240	0.352
journalism	žurnalistika	0.622	0.500	0.684
journalist	novinár	0.542	0.452	0.732
journalistic	žurnalistický	0.696	0.449	0.495
journey	cesta	0.910	0.702	0.625
journeyman	nádenník	0.765	0.596	0.741
joust	zápolení	0.520	0.528	0.551
jovial	žoviálny	0.823	0.460	0.526
joy	potešenie	0.980	0.824	0.794
joyful	rozradostněný	0.990	0.740	0.667
joyous	radostný	0.958	0.580	0.728
joyride	joyride	0.694	0.550	0.500
joys	radosti	0.981	0.643	0.651
jubilant	jasavý	0.844	0.673	0.664
jubilee	jubileum	0.916	0.500	0.579
judge	sudca	0.510	0.604	0.857
judged	ohodnotil	0.281	0.686	0.722
judging	súdiac	0.240	0.625	0.693
judgment	súd	0.396	0.600	0.816
judgmental	odsudzujúci	0.330	0.602	0.579
judicial	súdne	0.378	0.667	0.833
judiciary	súdnictvo	0.439	0.740	0.897
judicious	súdny	0.630	0.432	0.772
judo	Džudo	0.500	0.790	0.612
jug	džbán	0.520	0.250	0.213
juggle	žonglovať	0.594	0.760	0.426
juggler	žonglér	0.633	0.821	0.480
juggling	žonglovanie	0.562	0.874	0.346
jugular	krčnej	0.271	0.573	0.426
juice	šťava	0.776	0.281	0.352
juicer	odšťavovač	0.552	0.520	0.564
juicy	šťavnatý	0.823	0.529	0.490
juju	NO TRANSLATION	0.541	0.519	0.206
juke	Juke	0.500	0.491	0.410
jukebox	hudobný automat	0.699	0.540	0.429
jumble	míchanice	0.357	0.613	0.331
jumbled	miešaný	0.292	0.602	0.445
jumbo	obrovský	0.680	0.552	0.447
jump	preskočiť	0.625	0.865	0.611
jump rope	švihadlo	0.656	0.660	0.368
jumper	skokan	0.615	0.336	0.481
jumpsuit	kombinéza	0.562	0.365	0.361
jumpy	nervózny	0.353	0.810	0.216
junction	križovatka	0.490	0.481	0.364
juncture	kĺb	0.365	0.582	0.491
jungle	džungle	0.500	0.510	0.481
junior	junior	0.635	0.343	0.304
juniper	jalovec	0.583	0.327	0.352
junk	haraburdu	0.115	0.481	0.118
junket	hostina	0.490	0.519	0.386
junkie	feťák	0.135	0.860	0.363
junky	feťák	0.385	0.595	0.343
junkyard	smetisko	0.177	0.398	0.302
junta	junta	0.451	0.503	0.704
juridical	súdne	0.520	0.431	0.873
jurisdiction	jurisdikcie	0.480	0.580	0.820
jurisprudence	súdnictvo	0.360	0.425	0.764
jurist	právnik	0.479	0.523	0.713
juror	porotca	0.582	0.640	0.750
jury	jury	0.479	0.607	0.789
justice	spravodlivosť	0.760	0.538	0.787
justifiable	ospravedlniteľný	0.786	0.413	0.821
justification	ospravedlnenie	0.622	0.444	0.661
justify	ospravedlniť	0.612	0.473	0.615
juststop	NO TRANSLATION	0.417	0.379	0.364
justthebeginning	NO TRANSLATION	0.573	0.451	0.481
jute	juta	0.551	0.216	0.295
juvenile	mladistvý	0.678	0.490	0.526
juxtaposition	juxtapozice	0.427	0.500	0.460
kaiser	kaiser	0.470	0.509	0.690
kale	kale	0.469	0.226	0.411
kaleidoscope	kaleidoskop	0.615	0.439	0.580
kamikaze	kamikaze	0.204	0.810	0.645
kangaroo	klokan	0.716	0.333	0.301
kanji	kanji	0.510	0.413	0.425
kappa	kappa	0.469	0.375	0.366
kaput	NO TRANSLATION	0.281	0.441	0.440
karaoke	karaoke	0.763	0.649	0.342
karate	karate	0.562	0.833	0.598
karma	karma	0.500	0.510	0.537
karmic	karmický	0.357	0.459	0.464
kayak	kajak	0.592	0.600	0.364
kazoo	kazoo	0.503	0.462	0.411
kebab	kebab	0.531	0.431	0.377
keel	kýl	0.344	0.417	0.419
keen	bystrý	0.823	0.719	0.806
keep	zachovať	0.714	0.296	0.547
keeper	brankár	0.612	0.457	0.773
keeping	vedenie	0.592	0.280	0.723
keepsake	pamiatka	0.740	0.307	0.491
keg	súdok	0.551	0.389	0.404
kelp	kelp	0.479	0.264	0.213
ken	dosah poznanie	0.438	0.409	0.360
kennel	psia búda	0.430	0.480	0.406
kerchief	šatka	0.520	0.189	0.236
kern	írsky vojak	0.438	0.420	0.449
kernel	jadro	0.542	0.453	0.462
kerosene	petrolej	0.302	0.472	0.427
ketchup	kečup	0.653	0.338	0.282
kettle	kanvice	0.357	0.497	0.333
key	kľúč	0.615	0.275	0.519
keyboard	klávesnica	0.573	0.279	0.349
keyed	rozrušený	0.469	0.497	0.521
keyhole	kľúčová dierka	0.438	0.358	0.356
keynote	základný tón	0.630	0.431	0.545
keypad	klávesnica	0.604	0.255	0.330
keystone	lichobežníkového skreslenia	0.573	0.438	0.491
keyword	kľúčových slov	0.602	0.520	0.747
khaki	hnedožltý	0.594	0.252	0.278
khan	orientálne hostinec	0.463	0.476	0.529
kibble	granúl	0.510	0.458	0.404
kick	kop	0.271	0.791	0.526
kickboxing	kickboxing	0.427	0.882	0.651
kicker	hráč kopané	0.427	0.711	0.614
kicking	kopanie	0.327	0.802	0.510
kickoff	výkop	0.583	0.600	0.629
kid	dieťa	0.760	0.453	0.298
kidder	Kidder	0.708	0.768	0.471
kidding	srandu	0.622	0.625	0.457
kiddo	chlapček	0.674	0.393	0.419
kiddos	kiddos	0.500	0.480	0.342
kidnap	uniesť	0.032	0.923	0.535
kidnapped	uniesol	0.044	0.923	0.455
kidnapper	únosca	0.115	0.906	0.618
kidnapping	únos	0.094	0.880	0.561
kidney	oblička	0.448	0.363	0.380
kids	deti	0.837	0.500	0.417
kill	zabiť	0.052	0.941	0.736
killer	zabijak	0.041	0.971	0.543
killing	zabitie	0.080	0.959	0.696
killjoy	suchár	0.178	0.550	0.324
kiln	pec	0.451	0.423	0.414
kilo	NO TRANSLATION	0.438	0.358	0.461
kilogram	kilogram	0.510	0.260	0.455
kilometer	kilometer	0.490	0.439	0.485
kilt	kilt	0.448	0.346	0.348
kimono	kimono	0.643	0.280	0.363
kin	príbuzní	0.543	0.441	0.457
kind	druh	0.918	0.240	0.618
kindergarten	MATERSKÁ ŠKOLA	0.833	0.462	0.308
kindling	zakurovanie	0.520	0.651	0.421
kindness	láskavosť	0.938	0.350	0.508
kindred	príbuzenstva	0.760	0.418	0.517
kinematics	kinematika	0.594	0.480	0.614
kinesiology	kineziológia	0.491	0.480	0.633
kinetic	kinetický	0.582	0.540	0.537
king	kráľ	0.677	0.690	0.892
king snake	kráľ had	0.458	0.835	0.647
kingdom	kráľovstvo	0.714	0.547	0.910
kingpin	Kingpin	0.357	0.626	0.642
kink	výstrednosť	0.337	0.634	0.321
kinky	excentrický	0.449	0.558	0.361
kinship	príbuzenstva	0.771	0.300	0.652
kiosk	kiosk	0.500	0.286	0.321
kirk	kostol	0.510	0.390	0.388
kiss	bozk	0.967	0.813	0.630
kisser	kto bozkáva	0.844	0.682	0.618
kissy	Kissy	0.874	0.684	0.402
kit	súprava	0.583	0.344	0.420
kitchen	kuchyňa	0.700	0.234	0.398
kite	papierový drak	0.643	0.500	0.573
kitten	mačiatko	0.816	0.343	0.260
kiwi	kiwi	0.646	0.273	0.282
klutz	nemotorne	0.275	0.451	0.356
knack	zručnosť	0.562	0.518	0.820
knapsack	batoh	0.551	0.317	0.268
knead	hniesť	0.490	0.457	0.345
knee	koleno	0.520	0.245	0.396
kneecap	jabĺčka	0.427	0.360	0.440
kneel	kľačať	0.426	0.417	0.217
kneeling	kľačiaci	0.245	0.435	0.144
knell	umieráčik	0.354	0.500	0.377
knick	Knick	0.480	0.509	0.420
knickers	nohavičky	0.552	0.428	0.328
knife	nôž	0.344	0.717	0.573
knight	rytier	0.780	0.441	0.835
knighthood	rytiersky stav	0.740	0.660	0.769
knit	pliesť	0.630	0.144	0.295
knob	gombík	0.340	0.360	0.272
knock	zaklopať	0.312	0.531	0.527
knockoff	knockoff	0.350	0.606	0.240
knockout	Knock Out	0.388	0.755	0.664
knoll	návršie	0.434	0.347	0.333
knot	uzol	0.541	0.221	0.408
knots	uzlov	0.418	0.346	0.267
knotted	viazané	0.226	0.412	0.294
know	vedieť	0.765	0.361	0.704
knowing	vedomím	0.833	0.353	0.658
knowingly	vedome	0.500	0.459	0.481
knowledge	vedomosti	0.847	0.430	0.896
knowledgeable	informovaný	0.865	0.455	0.971
knuckle	koleno	0.655	0.333	0.393
knucklehead	hlupák	0.157	0.485	0.288
knuckles	kĺby	0.271	0.461	0.320
koala	koala	0.608	0.210	0.311
kook	NO TRANSLATION	0.417	0.471	0.398
kooky	výstredný	0.418	0.582	0.366
kool-aid	Kool-aid	0.531	0.318	0.393
kos	kos	0.500	0.471	0.407
kosher	kóšer	0.469	0.443	0.312
kraut	NO TRANSLATION	0.388	0.500	0.390
kris	kris	0.427	0.417	0.407
kryptonite	kryptonit	0.306	0.690	0.588
kudos	sláva	0.925	0.587	0.642
kumquat	kumquat	0.417	0.426	0.390
lab	laboratórium	0.479	0.500	0.600
label	štítok	0.582	0.245	0.423
labor	práce	0.594	0.639	0.754
laboratory	laboratórium	0.571	0.490	0.537
labored	ťažký	0.646	0.451	0.637
laborer	robotník	0.561	0.510	0.698
laboring	prácny	0.705	0.644	0.737
laborious	prácny	0.393	0.635	0.709
labyrinth	labyrint	0.479	0.811	0.491
lac	mlieko	0.408	0.418	0.331
lace	čipka	0.625	0.200	0.293
laceration	rezná rana	0.143	0.667	0.443
lack	nedostatok	0.250	0.365	0.242
lackey	lokaj	0.260	0.510	0.166
lacking	chýba	0.229	0.375	0.121
lackluster	matný	0.250	0.311	0.264
lacquer	lak	0.510	0.353	0.258
lacrosse	loptová hra	0.573	0.656	0.509
lactose	laktóza	0.479	0.290	0.433
lad	chlapec	0.637	0.388	0.336
ladder	rebrík	0.560	0.438	0.358
laddie	hoch	0.668	0.539	0.391
laden	naložený	0.392	0.478	0.554
lading	naloženie	0.388	0.463	0.409
ladle	naberačka	0.531	0.368	0.352
lady	dáma	0.854	0.481	0.602
lady bug	NO TRANSLATION	0.490	0.434	0.381
ladybug	Lienka	0.602	0.400	0.224
ladylike	chovajúci sa ako dáma	0.592	0.559	0.538
ladyship	grófka	0.561	0.480	0.822
lag	oneskorenie	0.220	0.375	0.246
lager	NO TRANSLATION	0.584	0.480	0.353
lagging	zaostávajúce	0.135	0.538	0.277
lagoon	lagúna	0.660	0.231	0.373
lair	dúpä	0.469	0.438	0.392
laity	stav svetský	0.510	0.320	0.487
lake	jazero	0.694	0.196	0.425
lama	NO TRANSLATION	0.560	0.320	0.400
lamb	jahňacie	0.646	0.284	0.321
lame	Chromý	0.145	0.410	0.217
lament	nárek	0.198	0.398	0.352
lamenting	nariekať	0.156	0.390	0.254
lamina	plátok	0.510	0.314	0.408
laminated	laminovaný	0.417	0.304	0.373
lamp	lampa	0.510	0.260	0.309
lamppost	kandelábroch	0.420	0.337	0.455
lance	oštep	0.406	0.620	0.587
lancer	kopijník	0.417	0.528	0.519
land	pôda	0.582	0.260	0.616
landed	pristálo	0.709	0.620	0.480
landfall	landfall	0.521	0.434	0.407
landfill	skládky	0.398	0.423	0.324
landing	pristávacia	0.552	0.696	0.596
landlady	hostinská	0.677	0.303	0.417
landlocked	vnútrozemský	0.280	0.391	0.367
landlord	Hostinský	0.684	0.500	0.858
landmark	medzník	0.694	0.355	0.681
lands	pozemky	0.594	0.280	0.492
landscape	krajina	0.719	0.176	0.423
landscaping	terénne	0.823	0.379	0.519
landslide	zosuv pôdy	0.250	0.864	0.530
lane	pruh	0.449	0.490	0.451
language	Jazyk	0.677	0.337	0.704
languid	malátny	0.281	0.270	0.283
languish	zamdlieva	0.235	0.408	0.382
languishing	umdlévající	0.308	0.459	0.353
lanky	vytáhl	0.412	0.426	0.370
lantern	lucerna	0.622	0.250	0.243
lap	klin	0.583	0.510	0.412
lapdog	psíček	0.388	0.490	0.269
lapel	klopa	0.460	0.287	0.288
lapse	chyba	0.420	0.316	0.281
lapsed	odpadlý	0.357	0.333	0.276
laptop	laptop	0.724	0.270	0.519
larceny	krádež	0.272	0.821	0.454
lard	masť	0.427	0.239	0.179
larder	špajza	0.656	0.290	0.509
large	veľký	0.704	0.565	0.736
larger	väčšia	0.729	0.654	0.763
largo	NO TRANSLATION	0.521	0.480	0.517
lark	škovránok	0.570	0.292	0.352
larva	larva	0.245	0.423	0.254
laryngitis	zápal hrtana	0.125	0.500	0.370
larynx	hrtan	0.460	0.420	0.402
lasagna	lasagne	0.719	0.441	0.396
laser	laser	0.469	0.531	0.769
lash	bičovať	0.235	0.794	0.609
lass	dievča	0.656	0.536	0.433
lasso	laso	0.438	0.460	0.339
lastday	NO TRANSLATION	0.309	0.580	0.463
lasting	trvalý	0.804	0.535	0.745
lastminute	na poslednú chvíľu	0.418	0.582	0.385
latch	závora	0.395	0.263	0.288
late	neskoro	0.245	0.358	0.315
lateness	oneskorenia	0.214	0.388	0.343
latent	latentný	0.469	0.500	0.653
lateral	postranné	0.469	0.370	0.322
laterally	bočne	0.562	0.255	0.450
latex	latex	0.479	0.413	0.325
lathe	sústruh	0.510	0.450	0.425
lather	pena	0.635	0.327	0.313
latitude	zemepisná šírka	0.562	0.306	0.490
latrine	latrína	0.380	0.353	0.176
latrines	latríny	0.214	0.462	0.267
latte	laté	0.615	0.320	0.311
lattice	mreží	0.406	0.420	0.349
laud	vychvaľovať	0.493	0.427	0.383
laudable	chvályhodný	0.740	0.472	0.682
laudation	velebenie	0.542	0.547	0.623
laudatory	chvalořečný	0.612	0.417	0.450
laugh	smiech	0.980	0.639	0.587
laughable	smiešny	0.592	0.627	0.298
laughing	smiech	0.906	0.596	0.534
laughingstock	NO TRANSLATION	0.427	0.779	0.312
laughs	smiech	0.812	0.846	0.425
laughter	smiech	0.959	0.654	0.588
launch	odpálenie	0.684	0.814	0.598
launcher	spúšťač	0.677	0.745	0.808
launches	štarty	0.490	0.663	0.602
launder	prať	0.479	0.450	0.349
laundering	špinavých peňazí	0.439	0.327	0.444
laundry	bielizeň	0.644	0.292	0.377
laureate	laureát	0.724	0.402	0.702
laurel	vavrín	0.646	0.146	0.302
laurels	vavríny	0.684	0.279	0.545
lava	láva	0.280	0.539	0.615
lavage	výplach	0.615	0.467	0.361
lavatory	toaleta	0.510	0.400	0.259
lavender	levanduľa	0.812	0.198	0.388
lavish	Štedrý	0.792	0.648	0.730
law	zákon	0.740	0.590	0.815
lawful	legálne	0.660	0.394	0.780
lawless	nezákonný	0.219	0.690	0.420
lawlessness	bezprávia	0.156	0.804	0.509
lawman	právnik	0.510	0.523	0.786
lawn	trávnik	0.686	0.153	0.192
lawnmower	kosačka na trávu	0.480	0.531	0.355
lawsuit	súdny proces	0.219	0.794	0.611
lawyer	právnik	0.521	0.569	0.784
lax	laxný	0.430	0.401	0.300
laxative	preháňadlo	0.271	0.550	0.528
lay	položiť	0.521	0.336	0.491
layaway	Layaway	0.429	0.510	0.451
layer	vrstva	0.500	0.208	0.366
layered	vrstvené	0.571	0.306	0.436
layman	laik	0.531	0.339	0.424
layout	dispozície	0.615	0.442	0.557
layover	medzipristátia	0.520	0.355	0.500
laziness	lenivosť	0.271	0.240	0.132
lazy	lenivý	0.392	0.264	0.096
lazyday	NO TRANSLATION	0.337	0.319	0.145
lea	palouk	0.583	0.294	0.358
lead	olovo	0.323	0.657	0.455
leaded	olovnatý	0.439	0.625	0.595
leader	vodca	0.833	0.582	0.926
leadership	vodcovstva	0.870	0.690	0.983
leading	vedúci	0.823	0.698	0.954
leads	vodiče	0.530	0.471	0.615
leaf	krídlo	0.583	0.156	0.294
leaflet	leták	0.490	0.206	0.375
leafy	listnatý	0.653	0.530	0.700
league	liga	0.656	0.340	0.462
leak	únik	0.378	0.833	0.520
leakage	unikaniu	0.188	0.731	0.528
leaky	deravý	0.170	0.686	0.288
lean	chudý	0.734	0.353	0.438
leaned	naklonil	0.570	0.373	0.490
leaning	sklon	0.480	0.409	0.352
leap	skok	0.750	0.663	0.667
learn	učiť sa	0.833	0.643	0.829
learned	učený	0.704	0.462	0.543
learner	študent	0.698	0.475	0.398
learning	štúdium	0.833	0.588	0.574
lease	prenájom	0.520	0.463	0.545
leash	remienok	0.320	0.347	0.427
leather	koža	0.510	0.324	0.341
leathery	kožné	0.418	0.471	0.411
leave	zanechať	0.375	0.315	0.295
leavemealone	leavemealone	0.240	0.472	0.402
leaving	opúšťať	0.163	0.542	0.371
lecherous	chlipný	0.135	0.704	0.376
lecture	prednáška	0.594	0.462	0.737
lecturer	prednášajúci	0.677	0.549	0.736
ledge	rímsa	0.406	0.235	0.339
ledger	Hlavná kniha	0.510	0.362	0.609
lee	závetrie	0.510	0.269	0.296
leech	pijavice	0.250	0.623	0.268
leeches	pijavice	0.115	0.698	0.295
leer	NO TRANSLATION	0.612	0.348	0.509
leery	ľstivý	0.337	0.640	0.410
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	voľnosť	0.562	0.577	0.569
left	ľavý	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	zvyšok	0.490	0.460	0.222
leftovers	zvyšky	0.219	0.350	0.116
lefty	ľavičiar	0.490	0.406	0.379
leg	noha	0.510	0.373	0.313
legacy	dedičstvo	0.792	0.529	0.827
legal	právnej	0.653	0.387	0.887
legality	legálnosť	0.765	0.343	0.713
legalize	legalizovať	0.510	0.460	0.818
legalized	legalizovaný	0.760	0.440	0.855
legally	právne	0.771	0.482	0.842
legend	legenda	0.837	0.519	0.750
legendary	legendárny	0.857	0.537	0.863
legibility	čitateľnosť	0.771	0.481	0.580
legible	čitateľný	0.673	0.279	0.509
legion	légie	0.469	0.570	0.852
legislate	vydávať zákony	0.571	0.582	0.736
legislation	legislatíva	0.531	0.418	0.808
legislative	zákonodarný	0.633	0.365	0.800
legislator	zákonodarca	0.490	0.580	0.877
legislature	zákonodarný zbor	0.540	0.435	0.698
legit	utiecť	0.747	0.427	0.849
legitimacy	legitímnosť	0.823	0.420	0.855
legitimate	legitímne	0.792	0.363	0.841
lego	lego	0.600	0.294	0.189
legs	nohy	0.479	0.407	0.228
legume	struk	0.520	0.302	0.465
legwork	terénny výskum	0.622	0.560	0.509
leisure	voľný čas	0.631	0.429	0.421
leisurely	neuspěchaný	0.806	0.250	0.367
lemma	lemma	0.530	0.284	0.391
lemon	citrón	0.596	0.317	0.316
lemonade	limonáda	0.661	0.287	0.412
lend	požičať	0.520	0.461	0.508
lender	požičiavateľ	0.340	0.520	0.703
lending	požičiavanie	0.510	0.585	0.462
length	dĺžka	0.479	0.308	0.533
lengthen	predĺžiť	0.619	0.481	0.566
lengthened	predĺžená	0.448	0.530	0.474
lengthening	predlžovanie	0.673	0.530	0.528
lengthwise	pozdĺžne	0.571	0.470	0.528
lengthy	zdĺhavý	0.570	0.342	0.528
leniency	zhovievavosť	0.517	0.436	0.545
lenient	zhovievavý	0.520	0.451	0.340
lens	šošovka	0.420	0.245	0.472
leopard	leopard	0.542	0.755	0.611
leotard	trikot	0.510	0.429	0.391
leper	malomocný	0.075	0.589	0.206
leprechaun	škriatok	0.417	0.480	0.417
leprosy	malomocenstvo	0.130	0.670	0.349
lesbian	lesbička	0.385	0.660	0.415
lesbianism	lesbismus	0.327	0.725	0.440
lesion	lézie	0.240	0.623	0.361
less	menej	0.265	0.240	0.115
lessee	nájomca	0.417	0.474	0.595
lessen	znížiť	0.235	0.284	0.255
lessening	zmenšovanie	0.375	0.300	0.277
lesser	menšie	0.396	0.167	0.211
lesson	lekcie	0.704	0.577	0.593
lessor	prenajímateľ	0.552	0.490	0.623
let	nechať	0.427	0.373	0.307
lethal	smrteľný	0.156	0.800	0.745
lethargic	letargický	0.214	0.245	0.375
lethargy	letargia	0.194	0.302	0.316
letter	písmeno	0.635	0.279	0.342
lettered	sčítaný	0.542	0.361	0.482
letterhead	záhlavie	0.450	0.316	0.462
lettering	nápis	0.541	0.180	0.431
letters	literatúra	0.663	0.327	0.364
lettuce	šalát	0.594	0.163	0.291
leukemia	leukémie	0.094	0.572	0.351
levee	ranné audience	0.520	0.324	0.490
level	hladina	0.622	0.277	0.491
lever	páka	0.400	0.343	0.402
leverage	vplyv	0.459	0.500	0.629
levitate	levitovať	0.561	0.598	0.551
levy	daň	0.438	0.420	0.491
lewd	oplzlý	0.188	0.673	0.412
lexicon	lexikón	0.561	0.463	0.615
ley	NO TRANSLATION	0.604	0.389	0.764
liabilities	pasíva	0.429	0.608	0.694
liability	zodpovednosť	0.646	0.500	0.802
liable	zodpovedný	0.656	0.519	0.821
liaison	spojenia	0.698	0.337	0.472
liar	klamár	0.042	0.606	0.339
libel	nactiutrhanie	0.128	0.694	0.403
libelous	hanlivý	0.125	0.735	0.436
liberal	liberálne	0.565	0.565	0.755
liberalism	liberalizmus	0.562	0.712	0.750
liberate	oslobodiť	0.760	0.632	0.708
liberated	oslobodený	0.780	0.630	0.683
liberating	oslobodzujúce	0.915	0.620	0.745
liberation	oslobodenie	0.745	0.614	0.857
liberty	sloboda	0.938	0.579	0.836
libido	libido	0.770	0.602	0.571
librarian	knihovník	0.625	0.135	0.509
library	knižnica	0.776	0.122	0.549
libretto	libreto	0.612	0.328	0.406
lice	vši	0.133	0.500	0.194
license	licencie	0.500	0.394	0.702
lichen	lišajník	0.418	0.388	0.463
lick	olizovať	0.470	0.482	0.330
licorice	sladkého drievka	0.677	0.310	0.400
lid	viečko	0.490	0.189	0.255
lie	lož	0.130	0.725	0.272
liege	vazal	0.479	0.426	0.452
lien	lien	0.396	0.580	0.441
lieu	Lieu	0.427	0.410	0.312
lieutenant	poručík	0.594	0.612	0.920
life	život	0.918	0.615	0.824
lifeblood	miazgou	0.673	0.690	0.708
lifeboat	záchranný čln	0.724	0.425	0.533
lifeguard	PLAVČÍK	0.870	0.606	0.786
lifeisgood	život je dobrý	0.812	0.575	0.611
lifeless	neživý	0.042	0.333	0.163
lifelike	živý	0.776	0.567	0.765
lifeline	záchranné lano	0.735	0.552	0.496
lifelong	celoživotné	0.823	0.330	0.640
