Word	German-de	Valence	Arousal	Dominance
ornate	aufwendig	0.812	0.356	0.500
ornery	ornery	0.361	0.520	0.509
orphan	Waise	0.133	0.388	0.140
orphanage	Waisenhaus	0.184	0.439	0.425
orphaned	verwaist	0.062	0.430	0.228
orthodontist	Kieferorthopäde	0.469	0.615	0.564
orthodox	orthodox	0.388	0.471	0.647
orthodoxy	Orthodoxie	0.271	0.388	0.612
orthogonal	senkrecht	0.500	0.314	0.540
orthopedic	orthopädisch	0.406	0.346	0.473
oscillate	oszillieren	0.449	0.580	0.397
oscillating	oszillierend	0.469	0.548	0.402
oscillation	Schwingung	0.562	0.433	0.431
oscillatory	oszillierend	0.375	0.520	0.480
ostensible	vorgeblich	0.542	0.549	0.585
ostensibly	angeblich	0.473	0.529	0.509
ostentatious	ostentativ	0.479	0.794	0.648
ostracized	geächtet	0.115	0.690	0.377
ostrich	Strauß	0.592	0.382	0.241
other	andere	0.472	0.230	0.259
otter	Otter	0.439	0.216	0.339
otto	Otto	0.427	0.425	0.404
ottoman	Ottomane	0.531	0.337	0.444
ought	sollen	0.438	0.511	0.434
ounce	Unze	0.531	0.255	0.288
oust	verdrängen	0.296	0.716	0.444
outage	Ausfall	0.306	0.684	0.438
outback	Outback	0.500	0.324	0.430
outbid	überbieten	0.594	0.622	0.540
outboard	Außenborder	0.448	0.491	0.456
outbreak	Ausbruch	0.260	0.632	0.472
outburst	Ausbruch	0.209	0.802	0.528
outcast	Ausgestoßener	0.153	0.449	0.353
outcome	Ergebnis	0.615	0.472	0.685
outcry	Aufschrei	0.271	0.773	0.718
outdated	veraltet	0.167	0.236	0.226
outdo	übertrumpfen	0.771	0.750	0.873
outdoor	draussen	0.814	0.256	0.447
outdoors	draußen	0.781	0.444	0.453
outer	äußere	0.552	0.471	0.456
outfit	Outfit	0.760	0.490	0.566
outgoing	ausgehend	0.650	0.472	0.538
outgrow	entwachsen	0.510	0.529	0.722
outgrowth	Auswuchs	0.771	0.620	0.688
outhouse	Nebengebäude	0.281	0.519	0.255
outing	Ausflug	0.771	0.672	0.634
outlandish	fremdartig	0.448	0.737	0.657
outlast	Überleben	0.620	0.786	0.685
outlaw	verbieten	0.255	0.662	0.482
outlet	Auslauf	0.610	0.396	0.245
outline	Gliederung	0.542	0.365	0.509
outlines	Umrisse	0.656	0.402	0.651
outlive	überleben	0.565	0.769	0.724
outlook	Ausblick	0.830	0.525	0.625
outlying	entlegen	0.460	0.562	0.503
outnumber	Überzahl	0.347	0.615	0.577
outpatient	ambulant	0.260	0.400	0.395
outpost	Vorposten	0.635	0.571	0.675
outpouring	Erguss	0.562	0.685	0.552
output	Ausgabe	0.604	0.389	0.434
outrage	Empörung	0.060	0.689	0.542
outraged	empört	0.156	0.696	0.538
outrageous	empörend	0.153	0.945	0.713
outrank	outrank	0.653	0.643	0.817
outreach	Reichweite	0.540	0.462	0.672
outright	direkt	0.767	0.396	0.755
outrun	auslaufen	0.531	0.833	0.573
outset	Anfang	0.750	0.500	0.582
outsider	Außenseiter	0.398	0.549	0.447
outskirts	Stadtrand	0.474	0.519	0.312
outsmart	überlisten	0.673	0.657	0.864
outspoken	unverblümt	0.582	0.413	0.667
outstanding	hervorragend	0.898	0.760	0.896
outstretched	ausgestreckt	0.448	0.481	0.519
outward	nach außen	0.449	0.439	0.365
outwards	nach außen	0.440	0.472	0.400
outweigh	überwiegen	0.486	0.600	0.682
outwit	überlisten	0.302	0.755	0.356
oval	Oval	0.417	0.280	0.330
ovary	Eierstock	0.469	0.399	0.280
ovate	eiförmig	0.385	0.286	0.368
ovation	Ovation	0.719	0.758	0.750
oven	Ofen	0.583	0.425	0.606
overactive	überaktiv	0.667	0.885	0.592
overall	insgesamt	0.583	0.370	0.670
overalls	Overall	0.500	0.392	0.373
overbearing	anmaßend	0.323	0.833	0.861
overburden	Abraum	0.115	0.755	0.546
overcast	bedeckt	0.417	0.250	0.475
overcharged	überladen	0.276	0.780	0.569
overcoat	Mantel	0.594	0.265	0.430
overcome	überwinden	0.719	0.689	0.848
overcoming	Überwindung	0.842	0.765	0.855
overcrowded	überfüllt	0.292	0.520	0.491
overdo	übertreiben	0.156	0.864	0.602
overdose	Überdosis	0.110	0.820	0.468
overdrive	Overdrive	0.303	0.715	0.732
overdue	überfällig	0.125	0.427	0.259
overestimate	überschätzen	0.367	0.796	0.444
overestimated	überschätzt	0.344	0.646	0.527
overflow	Überlauf	0.398	0.792	0.500
overflowing	überfüllt	0.439	0.796	0.635
overgrown	überwuchert	0.333	0.500	0.369
overgrowth	Überwucherung	0.417	0.790	0.673
overhanging	überhängend	0.698	0.755	0.812
overhaul	Überholung	0.500	0.651	0.491
overhead	Overhead	0.344	0.700	0.538
overhear	mithören	0.650	0.365	0.580
overheated	überhitzt	0.250	0.598	0.547
overjoyed	überglücklich	0.908	0.708	0.755
overkill	Overkill	0.379	0.861	0.678
overlaid	überlagert	0.620	0.610	0.676
overlap	Überlappung	0.594	0.615	0.627
overlapping	überlappend	0.595	0.578	0.684
overlay	überlagern	0.564	0.596	0.749
overload	Überlast	0.381	0.690	0.652
overlook	übersehen	0.292	0.418	0.415
overlord	Overlord	0.750	0.755	0.932
overlying	überlagernd	0.500	0.519	0.691
overpaid	überbezahlt	0.429	0.670	0.585
overpass	Überführung	0.562	0.561	0.565
overplayed	überspielt	0.224	0.798	0.586
overpower	überwältigen	0.448	0.859	0.783
overpowering	überwältigend	0.392	0.779	0.589
overpriced	überteuert	0.271	0.556	0.472
overprotective	überschützend	0.448	0.673	0.741
overrated	überbewertet	0.312	0.630	0.482
overreact	überreagieren	0.306	0.912	0.471
override	überschreiben	0.316	0.491	0.529
overriding	überschreiben	0.240	0.490	0.384
overrule	überstimmen	0.224	0.412	0.429
overrun	überrannt	0.271	0.764	0.598
oversee	überwachen	0.541	0.649	0.778
overseer	Aufseher	0.552	0.520	0.873
overshadow	überschatten	0.333	0.549	0.654
oversight	Aufsicht	0.385	0.618	0.723
oversized	übergroß	0.552	0.540	0.679
overslept	verschlafen	0.408	0.315	0.300
overstate	übertreiben	0.281	0.779	0.635
overstock	Überbestände	0.344	0.592	0.589
overt	offen	0.708	0.326	0.607
overtake	überholen	0.573	0.620	0.718
overtaken	überholt	0.594	0.552	0.702
overthemoon	NO TRANSLATION	0.643	0.531	0.481
overthinker	Übertreibender	0.430	0.606	0.552
overthinking	überdenken	0.408	0.761	0.525
overthrow	Sturz	0.260	0.868	0.620
overtime	im Laufe der Zeit	0.447	0.504	0.529
overtired	übermüdet	0.210	0.357	0.273
overture	Ouvertüre	0.490	0.402	0.491
overturn	umkippen	0.240	0.765	0.396
overview	Überblick	0.615	0.380	0.539
overweight	Übergewicht	0.052	0.500	0.389
overwhelm	überwältigen	0.250	0.823	0.462
overwhelmed	überwältigt	0.341	0.680	0.348
overwhelming	überwältigend	0.327	0.830	0.640
overworked	überarbeitet	0.133	0.670	0.387
overwrought	überreizt	0.156	0.900	0.571
overzealous	übereifrig	0.427	0.804	0.703
owe	verdanken	0.500	0.429	0.386
owing	geschuldet	0.396	0.307	0.381
owl	Eule	0.520	0.270	0.321
owner	Inhaber	0.776	0.449	0.920
ownership	Eigentum	0.628	0.445	0.741
ox	Ochse	0.417	0.396	0.412
oxidation	Oxidation	0.453	0.415	0.211
oxide	Oxid	0.354	0.377	0.298
oxygen	Sauerstoff	0.908	0.310	0.575
oxymoron	Oxymoron	0.427	0.481	0.398
oyster	Auster	0.500	0.311	0.327
ozone	Ozon	0.560	0.345	0.518
pace	Tempo	0.510	0.380	0.390
pacemaker	Schrittmacher	0.448	0.569	0.582
pacific	Pazifik	0.627	0.118	0.580
pacified	befriedet	0.802	0.194	0.414
pacifier	Schnuller	0.615	0.342	0.356
pacifist	Pazifist	0.663	0.153	0.557
pacify	beruhigen	0.812	0.283	0.629
pacing	Taktung	0.583	0.551	0.491
pack	Pack	0.510	0.347	0.475
package	Paket	0.571	0.433	0.443
packaging	Verpackung	0.604	0.393	0.549
packer	Packer	0.520	0.480	0.537
packet	Paket	0.582	0.385	0.407
pact	Pakt	0.442	0.444	0.593
pad	Pad	0.684	0.279	0.330
padded	gepolstert	0.606	0.212	0.371
padding	Polsterung	0.561	0.398	0.423
paddle	Paddel	0.561	0.375	0.393
paddle boat	Paddelboot	0.663	0.373	0.415
paddock	Koppel	0.480	0.429	0.481
paddy	Paddy	0.653	0.330	0.330
padlock	Vorhängeschloss	0.459	0.284	0.457
padre	NO TRANSLATION	0.684	0.407	0.647
paean	Lobrede	0.552	0.547	0.471
pagan	heidnisch	0.292	0.578	0.542
paganism	Heidentum	0.240	0.640	0.411
page	Seite	0.677	0.224	0.278
pageant	Festzug	0.719	0.667	0.651
pager	Pager	0.510	0.526	0.554
pagination	Seitennummerierung	0.459	0.333	0.400
paging	Paging	0.542	0.398	0.423
pagoda	Pagode	0.571	0.259	0.435
pail	Eimer	0.448	0.177	0.188
pain	Schmerzen	0.012	0.765	0.395
pained	gequält	0.112	0.500	0.250
painful	schmerzlich	0.050	0.742	0.330
painfully	schmerzlich	0.156	0.720	0.407
painkiller	Schmerzmittel	0.487	0.312	0.481
painless	schmerzlos	0.785	0.173	0.491
pains	Schmerzen	0.106	0.673	0.362
painstaking	mühsam	0.396	0.335	0.386
paint	Farbe	0.667	0.343	0.413
paintball	Paintball	0.615	0.745	0.537
paintbrush	Pinsel	0.714	0.226	0.353
painted	gemalt	0.667	0.333	0.424
painter	Maler	0.677	0.366	0.487
painting	Gemälde	0.792	0.324	0.333
pair	Paar	0.552	0.317	0.304
paisley	Paisley	0.531	0.327	0.347
pajama	Schlafanzug	0.908	0.157	0.245
pajamas	Pyjama	0.719	0.170	0.264
pal	Kumpel	0.812	0.426	0.596
palace	Palast	0.878	0.510	0.804
palatable	schmackhaft	0.823	0.500	0.594
palate	Gaumen	0.625	0.350	0.358
pale	blass	0.281	0.259	0.245
paleontology	Paläontologie	0.438	0.308	0.617
palette	Palette	0.590	0.333	0.205
pall	Leichentuch	0.277	0.387	0.394
palladium	Palladium	0.470	0.380	0.393
pallet	Palette	0.604	0.241	0.349
palliative	palliativ	0.548	0.394	0.518
palm	Palme	0.531	0.194	0.340
palmer	palmer	0.480	0.269	0.413
palomino	Palomino	0.616	0.349	0.396
palpable	fühlbar	0.552	0.343	0.611
palpitations	Herzklopfen	0.417	0.702	0.528
palsy	Lähmung	0.083	0.446	0.221
paltry	armselig	0.333	0.491	0.320
pamper	verwöhnen	0.792	0.321	0.348
pamphlet	Broschüre	0.530	0.250	0.327
pan	Pfanne	0.734	0.182	0.364
panacea	Allheilmittel	0.420	0.427	0.613
panache	Elan	0.510	0.363	0.306
pancake	Pfannkuchen	0.802	0.274	0.364
pancakes	Pfannkuchen	0.844	0.373	0.402
pancreas	Pankreas	0.469	0.302	0.366
panda	Panda	0.646	0.194	0.406
pandemic	Pandemie	0.160	0.790	0.544
pandemonium	Pandämonium	0.229	0.885	0.500
pane	Feld	0.385	0.250	0.444
panel	Panel	0.469	0.321	0.425
pang	NO TRANSLATION	0.146	0.595	0.455
panhandle	Pfannenstiel	0.441	0.431	0.414
panic	Panik	0.062	0.938	0.400
panicattack	NO TRANSLATION	0.255	0.724	0.386
panicked	in Panik geraten	0.100	0.949	0.260
panicking	in Panik geraten	0.094	0.882	0.333
panicky	panisch	0.284	0.962	0.393
panier	NO TRANSLATION	0.500	0.392	0.380
panorama	Panorama	0.719	0.402	0.625
panoramic	Panorama-	0.542	0.462	0.684
pansy	Stiefmütterchen	0.653	0.283	0.589
pant	keuchen	0.448	0.463	0.409
pantheon	Pantheon	0.144	0.410	0.610
panther	Panther	0.303	0.594	0.682
panties	Höschen	0.594	0.529	0.312
pantomime	Pantomime	0.552	0.481	0.385
pantry	Speisekammer	0.622	0.294	0.312
pants	Hose	0.673	0.320	0.333
panty	Höschen	0.451	0.557	0.303
pantyhose	Strumpfhose	0.570	0.539	0.250
pap	Brei	0.438	0.403	0.302
papa	Papa	0.656	0.340	0.527
papacy	Papsttum	0.481	0.263	0.553
papal	NO TRANSLATION	0.493	0.304	0.559
papaya	Papaya	0.630	0.306	0.300
paper	Papier-	0.520	0.123	0.293
paperback	Taschenbuch	0.633	0.269	0.314
paperboy	Zeitungsjunge	0.521	0.490	0.471
paperweight	Briefbeschwerer	0.421	0.278	0.433
paperwork	Papierkram	0.448	0.355	0.422
paprika	Paprika	0.417	0.250	0.264
papyrus	Papyrus	0.459	0.240	0.324
par	NO TRANSLATION	0.615	0.372	0.429
parable	Gleichnis	0.479	0.357	0.525
parabola	Parabel	0.542	0.413	0.620
parabolic	parabolisch	0.459	0.509	0.500
parachute	Fallschirm	0.562	0.787	0.564
parade	Parade	0.792	0.685	0.509
paradigm	Paradigma	0.573	0.429	0.779
paradise	Paradies	0.875	0.540	0.796
paradox	Paradox	0.417	0.442	0.482
paradoxical	paradox	0.406	0.547	0.433
paraffin	Paraffin	0.426	0.291	0.343
paragon	Paragon	0.490	0.431	0.473
paragraph	Absatz	0.510	0.164	0.269
parakeet	Sittich	0.576	0.387	0.227
paralegal	Rechtsassistent	0.479	0.470	0.519
parallax	Parallaxe	0.437	0.394	0.471
parallel	parallel	0.568	0.284	0.465
parallelism	Parallelität	0.549	0.363	0.527
paralysis	Lähmung	0.156	0.500	0.305
paralyze	lähmen	0.188	0.367	0.471
paralyzed	gelähmt	0.194	0.480	0.198
paramedic	Sanitäter	0.673	0.464	0.636
paramedics	Sanitäter	0.479	0.594	0.712
paramilitary	paramilitärisch	0.154	0.804	0.727
paramount	vorrangig	0.771	0.615	0.902
paranoia	Paranoia	0.146	0.841	0.407
paranoid	paranoid	0.122	0.918	0.364
paranormal	paranormal	0.167	0.814	0.560
parapet	Geländer	0.450	0.356	0.279
paraphernalia	Utensilien	0.443	0.726	0.509
paraphrase	Paraphrase	0.500	0.375	0.444
paraplegic	Paraplegiker	0.188	0.441	0.321
parasite	Parasit	0.092	0.442	0.324
parasitic	parasitär	0.037	0.600	0.364
parasol	Sonnenschirm	0.604	0.255	0.304
parcel	Paket	0.660	0.324	0.411
parcels	Pakete	0.551	0.445	0.418
parched	ausgedörrt	0.250	0.235	0.255
parchment	Pergament	0.615	0.228	0.455
pardon	Pardon	0.552	0.413	0.542
pare	NO TRANSLATION	0.500	0.356	0.309
parenchyma	Parenchym	0.500	0.399	0.595
parent	Elternteil	0.812	0.357	0.860
parentage	Abstammung	0.903	0.382	0.595
parental	eltern	0.760	0.430	0.627
parenthesis	NO TRANSLATION	0.510	0.255	0.380
parenthetical	Klammern	0.490	0.327	0.391
parenthood	Elternschaft	0.750	0.630	0.782
parenting	Erziehung	0.812	0.520	0.676
pariah	Paria	0.397	0.478	0.293
parietal	parietal	0.481	0.333	0.491
paring	schälen	0.429	0.441	0.324
parish	Gemeinde	0.698	0.354	0.582
parity	Parität	0.582	0.406	0.407
park	Park	0.816	0.343	0.414
parka	Parka	0.469	0.481	0.395
parking	Parken	0.777	0.469	0.510
parkinsons	Parkinsons	0.104	0.570	0.373
parlance	Sprachgebrauch	0.510	0.350	0.462
parlay	Parlay	0.469	0.611	0.483
parliament	Parlament	0.573	0.540	0.858
parliamentary	parlamentarisch	0.490	0.554	0.755
parlor	Salon	0.500	0.327	0.366
parmesan	Parmesan	0.698	0.321	0.382
parody	Parodie	0.561	0.651	0.375
parole	Parole	0.388	0.620	0.526
parquet	Parkett	0.541	0.240	0.422
parrot	Papagei	0.588	0.333	0.292
parry	parieren	0.510	0.404	0.436
parse	analysieren	0.469	0.456	0.667
parsimonious	sparsam	0.417	0.312	0.446
parsimony	Sparsamkeit	0.449	0.280	0.403
parsley	Petersilie	0.458	0.170	0.291
parson	Pfarrer	0.583	0.250	0.615
part	Teil	0.663	0.278	0.360
partake	teilnehmen	0.755	0.656	0.629
partial	teilweise	0.429	0.324	0.348
partiality	Parteilichkeit	0.375	0.380	0.490
partially	teilweise	0.418	0.368	0.396
participant	Teilnehmer	0.712	0.598	0.613
participate	sich beteiligen	0.755	0.580	0.684
participation	Beteiligung	0.781	0.700	0.702
particle	Partikel	0.521	0.265	0.438
particular	besonders	0.562	0.402	0.552
particularity	Besonderheit	0.670	0.434	0.586
particulars	Einzelheiten	0.604	0.348	0.525
parting	Abschied	0.260	0.542	0.353
partisan	Partisan	0.615	0.549	0.669
partisanship	Parteinahme	0.438	0.566	0.551
partition	Partition	0.615	0.469	0.567
partly	teilweise	0.415	0.410	0.396
partner	Partner	0.673	0.302	0.586
partnership	Partnerschaft	0.786	0.387	0.545
partridge	Rebhuhn	0.583	0.415	0.250
parts	Teile	0.459	0.327	0.392
party	Party	0.948	0.840	0.547
pas	NO TRANSLATION	0.490	0.344	0.262
pass	bestehen	0.510	0.324	0.362
passable	befahrbar	0.688	0.337	0.633
passage	Passage	0.429	0.314	0.370
passageway	Durchgang	0.490	0.389	0.400
passe	NO TRANSLATION	0.531	0.357	0.426
passenger	Passagier	0.717	0.413	0.481
passim	NO TRANSLATION	0.458	0.491	0.333
passing	Vorbeigehen	0.458	0.298	0.509
passion	Leidenschaft	0.854	0.865	0.728
passionate	leidenschaftlich	0.990	0.827	0.731
passive	passiv	0.420	0.116	0.241
passivity	Passivität	0.241	0.115	0.246
passkey	Hauptschlüssel	0.646	0.500	0.791
passport	Reisepass	0.653	0.457	0.682
password	Passwort	0.390	0.356	0.559
past	Vergangenheit	0.490	0.422	0.311
pasta	Pasta	0.615	0.306	0.375
paste	Einfügen	0.500	0.556	0.500
pastel	Pastell-	0.719	0.357	0.367
pastime	Zeitvertreib	0.677	0.353	0.443
pastor	Pastor	0.698	0.236	0.746
pastrami	Pastrami	0.542	0.415	0.348
pastry	Gebäck	0.870	0.407	0.419
pasture	Weide	0.688	0.145	0.170
pasty	pastös	0.479	0.363	0.375
pat	klopfen	0.418	0.377	0.340
patch	patch	0.439	0.288	0.283
patchwork	Patchwork	0.500	0.260	0.325
pate	Pastete	0.406	0.260	0.260
patella	Patella	0.430	0.260	0.342
patent	Patent	0.724	0.391	0.609
patented	patentiert	0.571	0.422	0.685
paternal	väterlicherseits	0.776	0.353	0.755
paternity	Vaterschaft	0.704	0.590	0.806
path	Pfad	0.590	0.245	0.421
pathetic	erbärmlich	0.088	0.464	0.139
pathological	pathologisch	0.220	0.602	0.580
pathologist	Pathologe	0.354	0.552	0.585
pathology	Pathologie	0.271	0.560	0.558
pathos	NO TRANSLATION	0.350	0.449	0.462
pathway	Weg	0.646	0.410	0.519
patience	die Geduld	0.771	0.125	0.387
patient	geduldig	0.583	0.193	0.340
patio	Terrasse	0.562	0.245	0.402
patriarch	Patriarch	0.592	0.448	0.898
patriarchal	patriarchalisch	0.531	0.500	0.857
patrimony	Patrimonium	0.719	0.406	0.740
patriot	Patriot	0.771	0.635	0.886
patriotic	patriotisch	0.875	0.509	0.933
patriotism	Patriotismus	0.708	0.635	0.848
patrol	patrouillieren	0.427	0.664	0.736
patrolman	Streifenpolizist	0.469	0.731	0.884
patron	Patron	0.583	0.451	0.870
patronage	Schirmherrschaft	0.583	0.490	0.583
patronising	herablassend	0.439	0.455	0.582
patronize	bevormunden	0.430	0.451	0.591
patronizing	herablassend	0.542	0.365	0.529
patter	prasseln	0.312	0.635	0.451
pattern	Muster	0.479	0.422	0.664
paucity	Mangel	0.153	0.453	0.175
pauper	Armer	0.260	0.347	0.151
pause	Pause	0.429	0.188	0.264
pave	pflastern	0.594	0.490	0.509
pavement	Pflaster	0.460	0.353	0.475
pavilion	Pavillon	0.583	0.500	0.770
paving	Pflasterung	0.408	0.469	0.545
paw	Pfote	0.417	0.360	0.286
pawn	Pfand	0.390	0.321	0.187
pawnshop	Pfandhaus	0.396	0.439	0.519
pax	Pax	0.551	0.421	0.473
pay	Zahlen	0.514	0.588	0.592
payable	zahlbar	0.385	0.480	0.606
payback	Rückzahlung	0.459	0.500	0.567
paycheck	Gehaltsscheck	0.896	0.630	0.652
payday	Zahltag	0.833	0.741	0.571
payer	Zahler	0.313	0.630	0.638
payload	Nutzlast	0.612	0.510	0.682
payment	Zahlung	0.629	0.452	0.643
payoff	auszahlen	0.740	0.644	0.673
payout	Auszahlung	0.646	0.600	0.575
payphone	Münztelefon	0.469	0.360	0.370
payroll	Lohn-und Gehaltsabrechnung	0.521	0.360	0.549
pea	Erbse	0.580	0.275	0.298
peace	Frieden	0.939	0.156	0.613
peaceable	friedlich	0.776	0.134	0.453
peaceful	friedlich	0.867	0.108	0.569
peacefully	friedlich	0.901	0.190	0.639
peacekeeper	Friedenstruppe	0.865	0.320	0.644
peaceofmind	NO TRANSLATION	0.786	0.160	0.519
peacetime	Friedenszeit	0.949	0.180	0.579
peach	Pfirsich	0.704	0.480	0.272
peachy	Pfirsich	0.755	0.479	0.388
peacock	Pfau	0.786	0.449	0.458
peak	Gipfel	0.500	0.345	0.431
peaked	Höhepunkt	0.677	0.704	0.857
peanut	Erdnuss	0.646	0.202	0.246
peanuts	Erdnüsse	0.542	0.294	0.324
pear	Birne	0.677	0.158	0.241
pearl	Perle	0.905	0.425	0.642
pearly	Perlmutt	0.635	0.337	0.373
peas	Erbsen	0.542	0.283	0.310
peasant	Bauer	0.530	0.275	0.407
peat	Torf	0.333	0.655	0.504
pebble	Kieselstein	0.354	0.353	0.287
pecan	Pekannuss	0.552	0.316	0.358
peck	picken	0.202	0.530	0.321
pecker	Pucker	0.459	0.509	0.375
peculiar	eigenartig	0.600	0.491	0.564
peculiarities	Besonderheiten	0.511	0.460	0.528
peculiarity	Besonderheit	0.439	0.452	0.652
peculiarly	besonders	0.615	0.450	0.454
pecuniary	Geld	0.490	0.490	0.500
pedal	Pedal	0.500	0.320	0.342
pedantic	pedantisch	0.229	0.608	0.253
peddle	hausieren	0.539	0.549	0.538
peddler	Hausierer	0.408	0.481	0.390
pedestal	Sockel	0.735	0.284	0.579
pedestrian	Fußgänger	0.438	0.360	0.448
pediatric	Kinder	0.560	0.462	0.490
pediatrician	Kinderarzt	0.602	0.500	0.627
pediatrics	Pädiatrie	0.750	0.380	0.596
pedicure	Pediküre	0.695	0.269	0.296
pedigree	Stammbaum	0.625	0.340	0.609
pedometer	Schrittzähler	0.469	0.561	0.405
pedophile	Pädophile	0.051	0.724	0.430
pee	pinkeln	0.449	0.529	0.391
peek	spähen	0.486	0.360	0.411
peekaboo	Guck-Guck	0.592	0.607	0.412
peel	schälen	0.439	0.250	0.279
peep	gucken	0.573	0.317	0.269
peeper	Peeper	0.182	0.537	0.343
peephole	Guckloch	0.479	0.500	0.310
peer	Peer	0.458	0.321	0.569
peering	spähen	0.514	0.409	0.451
peerless	unvergleichlich	0.688	0.450	0.462
peeved	verärgert	0.156	0.750	0.467
peg	Pflock	0.520	0.357	0.393
pegs	Heringe	0.408	0.286	0.386
peice	NO TRANSLATION	0.479	0.422	0.398
pelagic	pelagisch	0.521	0.554	0.491
pelican	Pelikan	0.573	0.391	0.380
pellet	Pellet	0.448	0.390	0.466
pelvic	Becken-	0.320	0.632	0.373
pelvis	Becken	0.378	0.618	0.380
pen	Stift	0.622	0.194	0.250
penal	strafrechtlich	0.208	0.565	0.610
penalty	Elfmeter	0.062	0.490	0.240
penance	Buße	0.219	0.667	0.463
penchant	Vorliebe	0.688	0.480	0.609
pencil	Bleistift	0.552	0.200	0.263
pendant	Anhänger	0.676	0.321	0.385
pendency	Abhängigkeit	0.396	0.452	0.472
pendent	NO TRANSLATION	0.470	0.380	0.425
pending	steht aus	0.396	0.441	0.473
pendulum	Pendel	0.542	0.368	0.434
penetrate	durchdringen	0.287	0.877	0.732
penetrating	durchdringend	0.469	0.792	0.782
penetration	Penetration	0.438	0.885	0.792
penguin	Pinguin	0.615	0.296	0.307
penicillin	Penicillin	0.417	0.431	0.566
penile	Penis	0.490	0.736	0.491
peninsula	Halbinsel	0.551	0.384	0.627
penis	Penis	0.354	0.810	0.556
penitent	Büßer	0.542	0.530	0.508
penitentiary	Zuchthaus	0.229	0.726	0.491
penmanship	Kalligraphie	0.677	0.284	0.509
pennant	Wimpel	0.542	0.380	0.426
penniless	mittellos	0.062	0.316	0.083
penny	Penny	0.615	0.302	0.324
pension	die Pension	0.625	0.409	0.406
pensioner	Rentner	0.440	0.245	0.442
pensive	nachdenklich	0.540	0.220	0.529
pentagon	Pentagon	0.490	0.636	0.774
pentagram	Pentagramm	0.510	0.433	0.466
penthouse	Penthouse	0.592	0.430	0.395
penultimate	vorletzte	0.469	0.366	0.255
people	Menschen	0.604	0.400	0.500
peopled	bevölkert	0.594	0.450	0.679
pep	Pep	0.510	0.510	0.364
pepper	Pfeffer	0.400	0.539	0.328
peppermint	Pfefferminze	0.720	0.264	0.271
pepperoni	Peperoni	0.796	0.472	0.358
peppy	schwungvoll	0.677	0.529	0.438
peptic	peptisch	0.398	0.463	0.362
peptide	Peptid	0.380	0.480	0.411
perceive	wahrnehmen	0.653	0.490	0.655
percent	Prozent	0.470	0.350	0.356
percentage	Prozentsatz	0.469	0.400	0.553
percentile	Perzentil	0.479	0.410	0.390
perceptible	wahrnehmbar	0.710	0.460	0.620
perception	Wahrnehmung	0.653	0.481	0.655
perceptive	scharfsinnig	0.745	0.500	0.741
perch	Barsch	0.531	0.300	0.314
perchance	vielleicht	0.480	0.224	0.298
percolation	Perkolation	0.397	0.417	0.415
percussion	Schlagzeug	0.622	0.635	0.642
perdition	Verderben	0.135	0.656	0.496
peremptory	peremptorisch	0.429	0.426	0.606
perennial	Staude	0.527	0.358	0.500
perfect	perfekt	0.980	0.471	0.870
perfection	Perfektion	0.881	0.745	0.934
perfectionist	Perfektionist	0.667	0.704	0.905
perfecto	NO TRANSLATION	0.802	0.567	0.889
perforated	perforiert	0.219	0.607	0.344
perforation	Zähnung	0.365	0.668	0.578
perforce	zwangsläufig	0.357	0.689	0.354
perform	ausführen	0.765	0.555	0.773
performance	Performance	0.750	0.520	0.672
performer	Künstler	0.541	0.530	0.708
perfume	Parfüm	0.740	0.472	0.463
perfumed	parfümiert	0.816	0.471	0.509
peri	Peri	0.448	0.433	0.370
peridot	Peridot	0.458	0.481	0.435
peril	Tücke	0.052	0.910	0.518
perilous	gefährlich	0.143	0.862	0.575
perimeter	Umfang	0.470	0.443	0.555
period	Zeitraum	0.396	0.324	0.588
periodic	periodisch	0.677	0.324	0.508
periodical	Zeitschrift	0.550	0.298	0.430
periodically	regelmäßig	0.480	0.314	0.515
periodicity	Periodizität	0.646	0.324	0.645
peripheral	peripher	0.406	0.406	0.549
periphery	Peripherie	0.469	0.360	0.366
periscope	Periskop	0.604	0.375	0.609
perish	umkommen	0.296	0.570	0.415
perishable	verderblich	0.270	0.464	0.354
perished	umgekommen	0.135	0.596	0.225
perishing	vergehen	0.229	0.423	0.148
perjury	Meineid	0.229	0.686	0.409
perk	Vorteil	0.903	0.519	0.682
perky	munter	0.896	0.792	0.673
perm	Dauerwelle	0.667	0.465	0.741
permanence	Dauerhaftigkeit	0.771	0.370	0.708
permanent	permanent	0.745	0.345	0.736
permeable	durchlässig	0.635	0.402	0.495
permeate	durchdringen	0.417	0.410	0.407
permeation	Permeation	0.418	0.559	0.536
permissible	zulässig	0.684	0.646	0.612
permission	Genehmigung	0.612	0.311	0.580
permissive	freizügig	0.633	0.389	0.413
permit	erlauben	0.733	0.349	0.518
permitted	zulässig	0.865	0.410	0.613
permitting	erlaubt	0.724	0.481	0.661
permutation	Permutation	0.385	0.588	0.500
pernicious	verderblich	0.229	0.600	0.382
peroxide	Peroxid	0.458	0.529	0.510
perpendicular	aufrecht	0.510	0.398	0.439
perpetrate	begehen	0.327	0.837	0.732
perpetrator	Täter	0.229	0.765	0.538
perpetual	ewig	0.625	0.438	0.741
perpetually	ständig	0.510	0.473	0.868
perpetuate	verewigen	0.397	0.588	0.788
perpetuation	Verewigung	0.510	0.677	0.716
