Word	Slovenian-sl	Valence	Arousal	Dominance
launder	pranje	0.479	0.450	0.349
laundering	pranje	0.439	0.327	0.444
laundry	perilo	0.644	0.292	0.377
laureate	nagrajenec	0.724	0.402	0.702
laurel	lovor	0.646	0.146	0.302
laurels	lovorike	0.684	0.279	0.545
lava	lava	0.280	0.539	0.615
lavage	lavage	0.615	0.467	0.361
lavatory	stranišče	0.510	0.400	0.259
lavender	lavender	0.812	0.198	0.388
lavish	razkošno	0.792	0.648	0.730
law	zakon	0.740	0.590	0.815
lawful	zakonito	0.660	0.394	0.780
lawless	brez zakonca	0.219	0.690	0.420
lawlessness	brezpravja	0.156	0.804	0.509
lawman	lawman	0.510	0.523	0.786
lawn	travnik	0.686	0.153	0.192
lawnmower	kosilnica	0.480	0.531	0.355
lawsuit	tožba	0.219	0.794	0.611
lawyer	odvetnik	0.521	0.569	0.784
lax	lax	0.430	0.401	0.300
laxative	laksativ	0.271	0.550	0.528
lay	ležati	0.521	0.336	0.491
layaway	odpuščanje	0.429	0.510	0.451
layer	plast	0.500	0.208	0.366
layered	slojevito	0.571	0.306	0.436
layman	laik	0.531	0.339	0.424
layout	postavitev	0.615	0.442	0.557
layover	layover	0.520	0.355	0.500
laziness	lenost	0.271	0.240	0.132
lazy	len	0.392	0.264	0.096
lazyday	NO TRANSLATION	0.337	0.319	0.145
lea	lea	0.583	0.294	0.358
lead	svinec	0.323	0.657	0.455
leaded	vodil	0.439	0.625	0.595
leader	vodja	0.833	0.582	0.926
leadership	vodstvo	0.870	0.690	0.983
leading	vodil	0.823	0.698	0.954
leads	vodi	0.530	0.471	0.615
leaf	list	0.583	0.156	0.294
leaflet	letak	0.490	0.206	0.375
leafy	listnato	0.653	0.530	0.700
league	liga	0.656	0.340	0.462
leak	puščanje	0.378	0.833	0.520
leakage	puščanje	0.188	0.731	0.528
leaky	uhajanje	0.170	0.686	0.288
lean	vitka	0.734	0.353	0.438
leaned	naslonil	0.570	0.373	0.490
leaning	naslonjen	0.480	0.409	0.352
leap	preskok	0.750	0.663	0.667
learn	učiti se	0.833	0.643	0.829
learned	naučili	0.704	0.462	0.543
learner	učenec	0.698	0.475	0.398
learning	učenje	0.833	0.588	0.574
lease	zakup	0.520	0.463	0.545
leash	povodec	0.320	0.347	0.427
leather	usnje	0.510	0.324	0.341
leathery	Usnjen	0.418	0.471	0.411
leave	dopust	0.375	0.315	0.295
leavemealone	pusti me pri miru	0.240	0.472	0.402
leaving	odhod	0.163	0.542	0.371
lecherous	razburljivo	0.135	0.704	0.376
lecture	predavanje	0.594	0.462	0.737
lecturer	predavatelj	0.677	0.549	0.736
ledge	polica	0.406	0.235	0.339
ledger	knjiga	0.510	0.362	0.609
lee	lee	0.510	0.269	0.296
leech	pijavka	0.250	0.623	0.268
leeches	pijavke	0.115	0.698	0.295
leer	NO TRANSLATION	0.612	0.348	0.509
leery	poškodovan	0.337	0.640	0.410
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	prosti čas	0.562	0.577	0.569
left	levo	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	ostanek	0.490	0.460	0.222
leftovers	ostanki	0.219	0.350	0.116
lefty	lefty	0.490	0.406	0.379
leg	nog	0.510	0.373	0.313
legacy	zapuščina	0.792	0.529	0.827
legal	pravno	0.653	0.387	0.887
legality	zakonitost	0.765	0.343	0.713
legalize	legalizirati	0.510	0.460	0.818
legalized	legalizirano	0.760	0.440	0.855
legally	zakonito	0.771	0.482	0.842
legend	legenda	0.837	0.519	0.750
legendary	legendarni	0.857	0.537	0.863
legibility	čitljivost	0.771	0.481	0.580
legible	čitljivo	0.673	0.279	0.509
legion	legija	0.469	0.570	0.852
legislate	zakonodajo	0.571	0.582	0.736
legislation	legalizacija	0.531	0.418	0.808
legislative	zakonodajno	0.633	0.365	0.800
legislator	zakonodajalec	0.490	0.580	0.877
legislature	zakonodajalca	0.540	0.435	0.698
legit	legit	0.747	0.427	0.849
legitimacy	legitimnost	0.823	0.420	0.855
legitimate	legitimno	0.792	0.363	0.841
lego	Lego	0.600	0.294	0.189
legs	nog	0.479	0.407	0.228
legume	stročnica	0.520	0.302	0.465
legwork	legwork	0.622	0.560	0.509
leisure	prosti čas	0.631	0.429	0.421
leisurely	lagodno	0.806	0.250	0.367
lemma	lemma	0.530	0.284	0.391
lemon	limona	0.596	0.317	0.316
lemonade	limonada	0.661	0.287	0.412
lend	posojati	0.520	0.461	0.508
lender	posojilodajalec	0.340	0.520	0.703
lending	posojanje	0.510	0.585	0.462
length	dolžina	0.479	0.308	0.533
lengthen	podaljša	0.619	0.481	0.566
lengthened	podaljšano	0.448	0.530	0.474
lengthening	podaljšanje	0.673	0.530	0.528
lengthwise	po dolžini	0.571	0.470	0.528
lengthy	dolgotrajno	0.570	0.342	0.528
leniency	prizanesljivost	0.517	0.436	0.545
lenient	Blažje	0.520	0.451	0.340
lens	objektiv	0.420	0.245	0.472
leopard	Leopard	0.542	0.755	0.611
leotard	Leotard	0.510	0.429	0.391
leper	gobavec	0.075	0.589	0.206
leprechaun	leprechaun	0.417	0.480	0.417
leprosy	gobavost	0.130	0.670	0.349
lesbian	lezbijka	0.385	0.660	0.415
lesbianism	lezbijk	0.327	0.725	0.440
lesion	lezija	0.240	0.623	0.361
less	manj	0.265	0.240	0.115
lessee	najemnik	0.417	0.474	0.595
lessen	zmanjšati	0.235	0.284	0.255
lessening	zmanjšanje	0.375	0.300	0.277
lesser	manj	0.396	0.167	0.211
lesson	lekcijo	0.704	0.577	0.593
lessor	najemodajalec	0.552	0.490	0.623
let	pusti	0.427	0.373	0.307
lethal	smrtonosno	0.156	0.800	0.745
lethargic	Letargičnost	0.214	0.245	0.375
lethargy	letargija	0.194	0.302	0.316
letter	pismo	0.635	0.279	0.342
lettered	črka	0.542	0.361	0.482
letterhead	pisma	0.450	0.316	0.462
lettering	črka	0.541	0.180	0.431
letters	črke	0.663	0.327	0.364
lettuce	zelena solata	0.594	0.163	0.291
leukemia	levkemija	0.094	0.572	0.351
levee	nasipa	0.520	0.324	0.490
level	ravni	0.622	0.277	0.491
lever	vzvod	0.400	0.343	0.402
leverage	vzvod	0.459	0.500	0.629
levitate	levitate	0.561	0.598	0.551
levy	dajatev	0.438	0.420	0.491
lewd	neumni	0.188	0.673	0.412
lexicon	leksikon	0.561	0.463	0.615
ley	NO TRANSLATION	0.604	0.389	0.764
liabilities	obveznosti	0.429	0.608	0.694
liability	odgovornost	0.646	0.500	0.802
liable	odgovoren	0.656	0.519	0.821
liaison	povezava	0.698	0.337	0.472
liar	lažnivec	0.042	0.606	0.339
libel	Kleveta	0.128	0.694	0.403
libelous	klevetni	0.125	0.735	0.436
liberal	liberalni	0.565	0.565	0.755
liberalism	liberalizem	0.562	0.712	0.750
liberate	osvoboditi	0.760	0.632	0.708
liberated	osvobojeno	0.780	0.630	0.683
liberating	osvoboditev	0.915	0.620	0.745
liberation	osvoboditev	0.745	0.614	0.857
liberty	svobodo	0.938	0.579	0.836
libido	libido	0.770	0.602	0.571
librarian	knjižničar	0.625	0.135	0.509
library	knjižnica	0.776	0.122	0.549
libretto	libreto	0.612	0.328	0.406
lice	uši	0.133	0.500	0.194
license	licenco	0.500	0.394	0.702
lichen	lišaj	0.418	0.388	0.463
lick	lizati	0.470	0.482	0.330
licorice	sladkarije	0.677	0.310	0.400
lid	pokrov	0.490	0.189	0.255
lie	laž	0.130	0.725	0.272
liege	liege	0.479	0.426	0.452
lien	zaseg	0.396	0.580	0.441
lieu	laž	0.427	0.410	0.312
lieutenant	poročnik	0.594	0.612	0.920
life	življenje	0.918	0.615	0.824
lifeblood	življenjska sila	0.673	0.690	0.708
lifeboat	rešilni čoln	0.724	0.425	0.533
lifeguard	reševalec iz vode	0.870	0.606	0.786
lifeisgood	življenje je dobro	0.812	0.575	0.611
lifeless	brez življenja	0.042	0.333	0.163
lifelike	živahno	0.776	0.567	0.765
lifeline	življenjska doba	0.735	0.552	0.496
lifelong	vse življenje	0.823	0.330	0.640
lifer	življenje	0.427	0.519	0.398
lifesaver	lifesaver	0.908	0.745	0.703
lifestyle	življenjski slog	0.750	0.472	0.645
lifesucks	življenje je bedno	0.167	0.637	0.377
lifetime	življenska doba	0.816	0.559	0.736
lift	dvig	0.704	0.518	0.656
lifted	dvignejo	0.714	0.441	0.657
liftoff	dvigalo	0.531	0.667	0.588
ligament	ligament	0.490	0.410	0.510
ligation	ligation	0.344	0.423	0.396
ligature	ligatura	0.478	0.430	0.447
light	svetloba	0.771	0.320	0.519
light year	svetlobno leto	0.719	0.425	0.593
lightbulb	žarnica	0.573	0.255	0.302
lighten	osvetliti	0.688	0.438	0.362
lightheaded	lahkomiseln	0.347	0.620	0.255
lighthouse	svetilnik	0.622	0.240	0.510
lighting	razsvetljava	0.765	0.440	0.750
lightness	lahkotnost	0.794	0.360	0.526
lightning	strela	0.429	0.683	0.595
lights	luči	0.750	0.480	0.575
lightweight	lahek	0.670	0.300	0.358
likable	Lepo	0.865	0.480	0.663
like	podobno	0.719	0.353	0.446
likelihood	verjetnost	0.760	0.469	0.542
likely	verjetno	0.633	0.356	0.454
likeness	podobnost	0.688	0.410	0.561
likewise	prav tako	0.651	0.217	0.312
liking	Všeč mi je	0.963	0.604	0.589
lilac	lila	0.688	0.180	0.357
lily	Lily	0.640	0.245	0.263
limb	okončina	0.510	0.397	0.427
limber	limba	0.688	0.729	0.673
limbo	limbo	0.385	0.284	0.309
lime	apno	0.594	0.240	0.415
limelight	v središču pozornosti	0.667	0.639	0.694
limestone	apnenec	0.602	0.323	0.381
limey	Limey	0.469	0.347	0.415
limit	omejitev	0.427	0.453	0.500
limitation	omejitev	0.190	0.431	0.225
limited	omejeno	0.229	0.273	0.380
limitless	brezmejna	0.688	0.574	0.655
limo	limuzina	0.760	0.367	0.667
limousine	limuzina	0.638	0.531	0.640
limp	limp	0.393	0.440	0.172
lin	lin	0.416	0.362	0.343
line	line	0.541	0.180	0.353
lineage	rodu	0.633	0.465	0.721
lineal	linearno	0.521	0.170	0.474
linear	linearno	0.646	0.250	0.472
linebacker	linebacker	0.490	0.660	0.543
lined	obložene	0.438	0.367	0.424
linen	perilo	0.656	0.323	0.286
liner	podloga	0.469	0.396	0.400
lines	linije	0.542	0.317	0.330
lineup	poravnaj	0.635	0.427	0.638
linger	Počakajte	0.480	0.311	0.412
lingerie	perilo	0.543	0.463	0.308
lingering	dolgotrajno	0.630	0.643	0.667
lingo	Lingo	0.448	0.364	0.447
lingual	jezikovno	0.500	0.457	0.315
linguini	linguini	0.625	0.338	0.355
linguist	jezikoslovec	0.583	0.330	0.634
linguistic	jezikovno	0.646	0.351	0.618
linguistics	jezikoslovje	0.552	0.390	0.618
lining	obloga	0.571	0.363	0.472
link	povezavo	0.427	0.264	0.491
linoleum	linolej	0.510	0.378	0.402
lint	lint	0.388	0.173	0.214
lion	lev	0.532	0.717	0.682
lip	ustnica	0.541	0.348	0.443
liposuction	liposukcija	0.292	0.684	0.464
lipstick	šminka	0.653	0.429	0.306
liquefaction	utekočinjanje	0.449	0.622	0.535
liquefied	utekočinjen	0.562	0.463	0.342
liqueur	liker	0.670	0.612	0.389
liquid	tekočina	0.562	0.235	0.307
liquidate	likvidirati	0.327	0.654	0.664
liquidation	likvidacija	0.417	0.625	0.649
liquidator	likvidator	0.354	0.663	0.750
liquidity	likvidnost	0.688	0.529	0.534
liquor	liker	0.603	0.702	0.433
lira	NO TRANSLATION	0.530	0.255	0.370
lisp	lisp	0.365	0.412	0.288
list	seznam	0.528	0.260	0.402
listen	Poslušaj	0.771	0.360	0.445
listener	poslušalca	0.667	0.375	0.403
listenting	NO TRANSLATION	0.640	0.377	0.491
listing	seznam	0.438	0.273	0.432
listless	listless	0.219	0.350	0.231
listneing	NO TRANSLATION	0.531	0.370	0.433
litany	litany	0.510	0.365	0.482
liter	liter	0.573	0.208	0.382
literacy	pismenost	0.730	0.306	0.638
literal	dobesedno	0.570	0.353	0.574
literally	dobesedno	0.571	0.353	0.673
literary	literarni	0.719	0.324	0.667
literature	literatura	0.708	0.250	0.598
lithe	lithe	0.656	0.596	0.602
lithium	litij	0.417	0.330	0.430
lithograph	litografija	0.551	0.327	0.481
lithography	litografija	0.561	0.346	0.473
lithology	litologija	0.519	0.378	0.525
lithosphere	litosfera	0.473	0.333	0.689
litigant	tožilec	0.219	0.577	0.696
litigate	litigate	0.260	0.819	0.712
litigation	sodni postopek	0.388	0.760	0.602
litigator	litigator	0.429	0.630	0.732
litigious	pravdni	0.360	0.736	0.632
litter	leglo	0.255	0.551	0.110
little	malo	0.385	0.160	0.213
littlethings	majhne stvari	0.740	0.311	0.242
littoral	obalni	0.551	0.387	0.452
liturgy	liturgija	0.490	0.327	0.568
live	v živo	0.880	0.673	0.676
livelife	živi življenje	0.792	0.624	0.664
livelihood	preživljanje	0.698	0.481	0.721
lively	živahno	0.847	0.810	0.642
liven	Živi	0.708	0.713	0.673
liver	jetra	0.439	0.290	0.385
livery	livery	0.510	0.417	0.429
livestock	živino	0.729	0.420	0.519
livid	LIVE	0.469	0.788	0.490
living	živeti	0.865	0.608	0.727
lizard	kuščar	0.378	0.375	0.324
llama	lama	0.490	0.590	0.519
lml	lml	0.448	0.519	0.385
load	obremenitev	0.385	0.417	0.528
loader	nakladač	0.562	0.377	0.686
loaf	hlebec	0.755	0.250	0.277
loafer	mulja	0.235	0.396	0.254
loam	ilovnata	0.469	0.373	0.673
loan	posojilo	0.552	0.480	0.352
loath	nezadovoljstvo	0.135	0.714	0.445
loathe	prezirati	0.094	0.730	0.429
loathful	grdo	0.068	0.740	0.358
loathing	Odsotnost	0.083	0.796	0.368
loathsome	Grozljivo	0.120	0.694	0.343
lobby	lobby	0.625	0.427	0.472
lobbyist	lobist	0.385	0.527	0.565
lobe	lobanj	0.459	0.364	0.352
lobotomy	lobotomija	0.296	0.598	0.402
lobster	jastog	0.571	0.356	0.291
local	lokalno	0.656	0.269	0.452
locale	locale	0.449	0.387	0.352
locality	kraj	0.582	0.336	0.464
localization	lokalizacija	0.552	0.330	0.545
localize	lokalizirati	0.520	0.481	0.679
localized	lokaliziran	0.490	0.460	0.621
locate	poiščite	0.583	0.520	0.786
location	lokacija	0.615	0.375	0.546
locator	lokator	0.480	0.426	0.614
loch	loch	0.449	0.235	0.425
lock	zaklepanje	0.271	0.585	0.600
locker	omarica	0.439	0.300	0.393
locket	omarica	0.615	0.327	0.616
locksmith	Ključavničar	0.510	0.417	0.491
lockup	zakleniti	0.240	0.602	0.617
loco	loco	0.306	0.774	0.226
locomotion	lokomotiva	0.470	0.600	0.595
locomotive	lokomotiva	0.542	0.650	0.721
locust	kobilica	0.479	0.412	0.417
lode	NO TRANSLATION	0.365	0.423	0.318
lodge	hišo	0.656	0.356	0.474
lodger	podizvajalec	0.480	0.448	0.304
lodging	vložitev	0.713	0.286	0.527
loft	podstrešje	0.510	0.378	0.343
lofty	vzvišeno	0.755	0.306	0.569
log	dnevnik	0.591	0.371	0.395
logarithm	logaritem	0.520	0.439	0.551
logarithmic	logaritmično	0.469	0.458	0.606
logic	logika	0.646	0.245	0.819
logical	logično	0.805	0.400	0.648
logistics	logistika	0.633	0.500	0.730
logo	logotip	0.469	0.296	0.565
logotype	logotip	0.480	0.337	0.509
loin	NO TRANSLATION	0.420	0.298	0.379
lollipop	Lizika	0.628	0.483	0.357
lone	Sam	0.198	0.204	0.367
loneliness	Osamljenost	0.146	0.182	0.222
lonely	osamljen	0.250	0.226	0.238
loner	samotarja	0.347	0.152	0.221
lonesome	osamljen	0.281	0.213	0.336
long	dolga	0.541	0.353	0.543
longboat	longboat	0.551	0.454	0.490
longevity	dolgoživost	0.750	0.353	0.745
longing	hrepenenje	0.604	0.434	0.560
longitude	dolžina	0.479	0.310	0.516
longitudinal	vzdolžni	0.542	0.398	0.582
longitudinally	vzdolžno	0.541	0.380	0.569
longtime	dolgo časa	0.362	0.442	0.546
loo	loo	0.385	0.357	0.283
look	poglej	0.719	0.429	0.615
looker	gledalec	0.583	0.354	0.451
lookout	pazi	0.698	0.538	0.639
loom	statve	0.531	0.245	0.325
looming	grozno	0.367	0.750	0.528
loon	Loon	0.429	0.392	0.325
loony	Loony	0.439	0.474	0.295
loop	zanke	0.516	0.343	0.317
loophole	vrzel	0.406	0.755	0.491
loopy	zanič	0.438	0.520	0.195
loose	ohlapna	0.573	0.312	0.365
loosen	popustite	0.487	0.337	0.218
loosening	sproščanje	0.378	0.343	0.295
loot	plen	0.604	0.711	0.537
lop	lop	0.429	0.363	0.426
lopsided	Lopsided	0.125	0.500	0.272
lord	Gospod	0.618	0.327	0.684
lords	Gospodje	0.571	0.356	0.781
lordship	Gospodarstvo	0.573	0.557	0.736
lore	lore	0.719	0.373	0.768
lorry	tovornjak	0.521	0.481	0.402
lose	izgubi	0.115	0.538	0.176
loser	zguba	0.083	0.510	0.155
losing	izgublja	0.076	0.686	0.223
loss	izguba	0.062	0.567	0.211
lost	izgubljen	0.199	0.663	0.148
lot	lot	0.531	0.215	0.370
lotion	losjon	0.724	0.261	0.188
lots	veliko	0.604	0.417	0.424
lottery	loterija	0.771	0.731	0.491
lotto	loto	0.760	0.635	0.475
lotus	lotus	0.604	0.377	0.510
loud	glasno	0.573	0.650	0.870
loudly	glasno	0.541	0.755	0.667
loudmouth	Loudmouth	0.337	0.615	0.456
loudness	glasnost	0.350	0.582	0.620
loudspeaker	zvočnik	0.490	0.735	0.689
lounge	bivalni prostor	0.592	0.245	0.466
lounging	lounging	0.735	0.167	0.449
louse	Vaza	0.184	0.439	0.154
lousy	Slabo	0.125	0.482	0.234
lovable	ljubi	0.948	0.335	0.565
love	ljubezen	1.000	0.519	0.673
loved	Ljubil sem	0.927	0.452	0.582
lovee	Ljubezen	0.949	0.592	0.611
loveee	Ljubica	0.927	0.592	0.693
loveless	brez ljubezni	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	lepota	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	lepo	0.917	0.456	0.741
lovemaking	ljubezen	0.969	0.927	0.814
lovemylife	NO TRANSLATION	0.896	0.800	0.573
lover	ljubimec	0.881	0.816	0.750
lovesick	ljubezen	0.796	0.842	0.500
lovethis	ljubim to	0.867	0.552	0.526
loving	ljubezni	0.948	0.612	0.636
lovinglife	ljubezni	0.979	0.404	0.673
lovinlife	lovinlife	0.714	0.460	0.544
low	nizka	0.292	0.220	0.102
lowdown	nizkotonec	0.306	0.441	0.441
lower	nižje	0.327	0.296	0.258
lowering	znižanje	0.286	0.363	0.236
lowest	najnižja	0.312	0.304	0.129
lowlands	nižine	0.323	0.290	0.331
lowlife	nizko življenje	0.296	0.529	0.309
lowly	nizko	0.562	0.294	0.417
lox	lox	0.490	0.373	0.318
loyal	zvest	0.896	0.265	0.657
loyalty	zvestoba	0.885	0.406	0.793
lsd	lsd	0.375	0.471	0.390
luau	luau	0.594	0.545	0.296
lube	lube	0.552	0.490	0.411
lubricant	mazivo	0.656	0.550	0.454
lubricate	mazati	0.552	0.490	0.470
lubrication	mazanje	0.624	0.646	0.491
lucid	lucidna	0.771	0.490	0.705
luck	Sreča	0.854	0.490	0.717
luckiest	Najsrečnejši	0.917	0.690	0.852
lucky	srečen	0.960	0.610	0.793
luckygirl	Srečnica	0.781	0.712	0.471
lucrative	donosen	0.729	0.519	0.798
ludicrous	smešno	0.137	0.553	0.274
lug	lug	0.344	0.443	0.340
luggage	prtljaga	0.561	0.226	0.319
lukewarm	mlačen	0.573	0.300	0.241
lull	zaspani	0.602	0.130	0.402
lullaby	Uspavanka	0.796	0.156	0.339
lumbar	lumbalna	0.323	0.418	0.342
lumber	les	0.517	0.184	0.373
lumbering	drgetanje	0.354	0.561	0.655
lumberjack	lumberjack	0.500	0.660	0.726
luminescent	luminescent	0.796	0.550	0.526
luminous	svetlobno	0.918	0.392	0.783
lump	kosilo	0.438	0.337	0.463
lumpy	grudast	0.271	0.378	0.365
lunacy	Lunacy	0.132	0.847	0.330
lunar	Lunarni	0.562	0.296	0.427
lunatic	ludak	0.125	0.792	0.442
lunch	kosilo	0.880	0.410	0.542
lunchbox	škatla s kosilom	0.663	0.346	0.346
luncheon	kosilo	0.837	0.240	0.441
lunchtime	čas za kosilo	0.896	0.398	0.444
lung	pljuča	0.510	0.292	0.629
lunge	potopite	0.354	0.721	0.509
lungs	pljuča	0.531	0.352	0.555
lurch	lurch	0.404	0.694	0.363
lure	privabiti	0.439	0.565	0.300
lurid	lurid	0.186	0.833	0.536
lurk	lurk	0.219	0.740	0.655
lurking	lurking	0.421	0.781	0.575
luscious	slasten	0.885	0.552	0.545
lush	bujna	0.740	0.783	0.833
lust	poželenje	0.469	0.944	0.518
luster	luster	0.833	0.566	0.558
lustful	Pohoten	0.427	0.896	0.643
lustrous	sijajno	0.771	0.606	0.598
lusty	Lusty	0.469	0.941	0.673
lute	lutnja	0.459	0.407	0.500
luxuriant	razkošno	0.760	0.745	0.812
luxurious	luksuzno	0.947	0.644	0.754
luxury	razkošje	0.932	0.673	0.750
lycra	lycra	0.520	0.449	0.328
lye	luž	0.378	0.396	0.443
lying	laž	0.208	0.704	0.317
lymph	limfa	0.398	0.510	0.390
lymphatic	limfni	0.380	0.509	0.472
lymphoma	limfom	0.208	0.645	0.330
lynch	Linč	0.167	0.885	0.482
lynching	Linching	0.135	0.920	0.548
lynx	ris	0.510	0.590	0.567
lyre	lyre	0.719	0.347	0.414
lyric	lirika	0.702	0.269	0.464
lyrical	lirsko	0.708	0.451	0.618
lyrics	lyrics	0.582	0.214	0.333
macadamia	makadamija	0.635	0.330	0.434
macarena	makarena	0.802	0.601	0.368
macaroni	makaroni	0.816	0.410	0.382
mace	mace	0.450	0.412	0.415
mach	mach	0.541	0.432	0.463
machete	machete	0.260	0.690	0.474
machine	stroj	0.510	0.500	0.707
machinery	stroji	0.458	0.615	0.629
machinist	strojar	0.490	0.598	0.721
macho	mačo	0.643	0.690	0.676
mackerel	skuša	0.418	0.423	0.426
macro	makro	0.552	0.469	0.647
mad	jezen	0.219	0.873	0.277
madam	gospa	0.580	0.308	0.571
madame	gospa	0.604	0.500	0.635
madden	norec	0.329	0.602	0.457
madder	Madder	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	polepšalo mi je dan	0.694	0.573	0.537
madhouse	Lahka hiša	0.156	0.736	0.440
madman	norca	0.135	0.880	0.312
madness	norost	0.104	0.804	0.440
maestro	maestro	0.823	0.357	0.849
mafia	mafija	0.204	0.867	0.676
magazine	revija	0.615	0.332	0.377
mage	mage	0.622	0.373	0.453
magenta	magenta	0.635	0.275	0.415
maggot	maggot	0.235	0.500	0.235
magic	magija	0.868	0.663	0.578
magical	čarobno	0.875	0.651	0.595
magician	čarovnik	0.714	0.657	0.551
magistrate	magistrata	0.587	0.541	0.904
magma	magma	0.323	0.623	0.609
magna	magna	0.605	0.490	0.652
magnate	magnat	0.627	0.708	0.868
magnesium	magnezij	0.542	0.320	0.321
magnet	magnet	0.571	0.318	0.553
magnetic	magnetno	0.612	0.529	0.673
magnetism	magnetizem	0.630	0.529	0.741
magnetite	magnetit	0.531	0.490	0.581
magnification	povečava	0.890	0.615	0.880
magnificence	veličastnost	0.802	0.810	0.920
magnificent	veličasten	1.000	0.680	0.886
magnifier	povečevalec	0.469	0.216	0.345
magnify	povečaj	0.729	0.561	0.839
magnifying	povečava	0.594	0.265	0.406
magnitude	velikost	0.608	0.613	0.774
magnolia	magnolija	0.558	0.343	0.379
magpie	magpie	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	mahjong	0.556	0.418	0.440
mahogany	mahagoni	0.602	0.225	0.393
maid	služkinja	0.406	0.324	0.300
maiden	deklica	0.755	0.396	0.461
mail	pošta	0.615	0.231	0.548
mailbox	poštni predal	0.573	0.222	0.404
mailing	pošta	0.688	0.324	0.375
mailman	poštar	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	glavni	0.667	0.510	0.811
mainframe	mainframe	0.531	0.490	0.557
mainland	kopno	0.680	0.407	0.806
mainstay	temelj	0.694	0.400	0.713
mainstream	mainstream	0.653	0.527	0.660
maintain	vzdrževati	0.684	0.398	0.647
maintenance	vzdrževanje	0.592	0.410	0.545
majestic	veličastno	0.948	0.731	0.906
majesty	Veličastnost	0.823	0.602	0.955
major	Major	0.684	0.538	0.874
majority	večino	0.684	0.560	0.930
make	naredi	0.684	0.420	0.480
makeover	preobrazba	0.771	0.510	0.596
maker	ustvarjalec	0.698	0.544	0.706
makeshift	zasilno	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	pobotati se	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	bolezen	0.190	0.686	0.304
malaise	slabo počutje	0.150	0.600	0.161
malaria	malarija	0.125	0.653	0.304
malarkey	malarkey	0.396	0.500	0.465
male	moški	0.612	0.532	0.695
malevolent	zlonamerno	0.094	0.854	0.613
malfeasance	zlorabe	0.062	0.745	0.325
malformation	malformacija	0.083	0.602	0.357
malfunction	motnja	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	zlonamerno	0.177	0.765	0.607
malign	maligna	0.140	0.765	0.481
malignancy	malignosti	0.149	0.814	0.614
malignant	maligni	0.143	0.824	0.370
maligned	maligned	0.102	0.684	0.218
mall	center	0.724	0.663	0.492
malleable	voljno	0.500	0.500	0.391
mallet	kladivo	0.354	0.390	0.483
malnutrition	podhranjenost	0.024	0.592	0.277
malpractice	zloraba	0.094	0.559	0.330
malt	slad	0.750	0.373	0.324
mama	mama	0.860	0.413	0.728
mambo	mambo	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	sesalec	0.618	0.449	0.421
mammoth	mamut	0.480	0.471	0.537
mammy	mamica	0.680	0.415	0.436
man	človek	0.688	0.427	0.767
manage	upravljati	0.560	0.530	0.719
manageable	obvladljiv	0.750	0.361	0.655
management	upravljanje	0.792	0.491	0.806
manager	manager	0.625	0.549	0.897
managerial	vodstveni	0.604	0.520	0.791
mandamus	mandamus	0.439	0.577	0.556
mandarin	mandarin	0.625	0.398	0.491
mandate	mandat	0.448	0.670	0.779
mandatory	obvezno	0.271	0.667	0.777
mandible	mandibula	0.510	0.431	0.500
mandolin	mandolin	0.708	0.433	0.367
mandrel	trn	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	manever	0.615	0.663	0.608
maneuvering	manevriranje	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	jajca	0.656	0.276	0.398
mangle	mangle	0.292	0.449	0.355
mango	mango	0.765	0.327	0.290
mangosteen	mangosteen	0.562	0.500	0.414
mangy	Mangy	0.214	0.698	0.270
manhole	jahanje	0.378	0.500	0.516
manhood	moškost	0.625	0.735	0.858
manhunt	Manhunt	0.145	0.925	0.657
mania	manija	0.290	0.683	0.382
maniac	manijak	0.120	0.849	0.431
maniacal	maniakal	0.200	0.848	0.500
manic	manično	0.054	0.892	0.368
manicure	manikura	0.706	0.308	0.284
manicurist	manikir	0.583	0.352	0.341
manifest	manifest	0.667	0.647	0.704
manifestation	manifestacija	0.583	0.750	0.655
manifested	se kaže	0.580	0.618	0.667
manifestly	očitno	0.469	0.588	0.577
manifesto	manifest	0.646	0.519	0.676
manifold	kolektor	0.500	0.461	0.435
manipulate	manipulirati	0.255	0.700	0.772
manipulation	manipulacija	0.188	0.775	0.536
manipulative	manipulativno	0.177	0.724	0.546
mankind	človeštvo	0.823	0.471	0.768
