Word	Turkish-tr	Valence	Arousal	Dominance
layered	tabakalı	0.571	0.306	0.436
layman	meslekten olmayan	0.531	0.339	0.424
layout	düzen	0.615	0.442	0.557
layover	konaklama	0.520	0.355	0.500
laziness	tembellik	0.271	0.240	0.132
lazy	tembel	0.392	0.264	0.096
lazyday	NO TRANSLATION	0.337	0.319	0.145
lea	otlak	0.583	0.294	0.358
lead	öncülük etmek	0.323	0.657	0.455
leaded	kurşunlu	0.439	0.625	0.595
leader	lider	0.833	0.582	0.926
leadership	liderlik	0.870	0.690	0.983
leading	önemli	0.823	0.698	0.954
leads	potansiyel müşteriler	0.530	0.471	0.615
leaf	Yaprak	0.583	0.156	0.294
leaflet	broşür	0.490	0.206	0.375
leafy	yapraklı	0.653	0.530	0.700
league	lig	0.656	0.340	0.462
leak	sızıntı	0.378	0.833	0.520
leakage	sızıntı	0.188	0.731	0.528
leaky	sızdıran	0.170	0.686	0.288
lean	yağsız	0.734	0.353	0.438
leaned	eğildi	0.570	0.373	0.490
leaning	yatık	0.480	0.409	0.352
leap	sıçrama	0.750	0.663	0.667
learn	öğrenmek	0.833	0.643	0.829
learned	bilgili	0.704	0.462	0.543
learner	öğrenci	0.698	0.475	0.398
learning	öğrenme	0.833	0.588	0.574
lease	kiralama	0.520	0.463	0.545
leash	tasma kayışı	0.320	0.347	0.427
leather	deri	0.510	0.324	0.341
leathery	kösele gibi	0.418	0.471	0.411
leave	ayrılmak	0.375	0.315	0.295
leavemealone	beni yalnız bırak	0.240	0.472	0.402
leaving	ayrılma	0.163	0.542	0.371
lecherous	zampara	0.135	0.704	0.376
lecture	ders	0.594	0.462	0.737
lecturer	okutman	0.677	0.549	0.736
ledge	çıkıntı	0.406	0.235	0.339
ledger	defteri kebir	0.510	0.362	0.609
lee	rüzgâraltı	0.510	0.269	0.296
leech	sülük	0.250	0.623	0.268
leeches	sülükler	0.115	0.698	0.295
leer	NO TRANSLATION	0.612	0.348	0.509
leery	temkinli	0.337	0.640	0.410
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	zaman kaybı	0.562	0.577	0.569
left	ayrıldı	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	artık	0.490	0.460	0.222
leftovers	kalanlar	0.219	0.350	0.116
lefty	solak	0.490	0.406	0.379
leg	bacak	0.510	0.373	0.313
legacy	miras	0.792	0.529	0.827
legal	yasal	0.653	0.387	0.887
legality	yasallık	0.765	0.343	0.713
legalize	yasallaştırmak	0.510	0.460	0.818
legalized	yasallaşması	0.760	0.440	0.855
legally	yasal olarak	0.771	0.482	0.842
legend	efsane	0.837	0.519	0.750
legendary	efsanevi	0.857	0.537	0.863
legibility	okunabilirlik	0.771	0.481	0.580
legible	okunaklı	0.673	0.279	0.509
legion	lejyon	0.469	0.570	0.852
legislate	yasamak	0.571	0.582	0.736
legislation	mevzuat	0.531	0.418	0.808
legislative	yasama	0.633	0.365	0.800
legislator	millet meclisi üyesi	0.490	0.580	0.877
legislature	yasama organı	0.540	0.435	0.698
legit	yasal	0.747	0.427	0.849
legitimacy	meşruluk	0.823	0.420	0.855
legitimate	meşru	0.792	0.363	0.841
lego	Lego	0.600	0.294	0.189
legs	bacaklar	0.479	0.407	0.228
legume	baklagillerden bitki	0.520	0.302	0.465
legwork	ayak işi	0.622	0.560	0.509
leisure	boş	0.631	0.429	0.421
leisurely	yavaş	0.806	0.250	0.367
lemma	baş kelime	0.530	0.284	0.391
lemon	Limon	0.596	0.317	0.316
lemonade	limonata	0.661	0.287	0.412
lend	ödünç vermek	0.520	0.461	0.508
lender	ödünç veren	0.340	0.520	0.703
lending	borç verme	0.510	0.585	0.462
length	uzunluk	0.479	0.308	0.533
lengthen	uzatmak	0.619	0.481	0.566
lengthened	uzatılmıştır	0.448	0.530	0.474
lengthening	uzatma	0.673	0.530	0.528
lengthwise	uzunlamasına	0.571	0.470	0.528
lengthy	uzun	0.570	0.342	0.528
leniency	hoşgörü	0.517	0.436	0.545
lenient	Hoşgörülü	0.520	0.451	0.340
lens	lens	0.420	0.245	0.472
leopard	leopar	0.542	0.755	0.611
leotard	tek parça streç giysi	0.510	0.429	0.391
leper	cüzamlı	0.075	0.589	0.206
leprechaun	cüce cin	0.417	0.480	0.417
leprosy	cüzam	0.130	0.670	0.349
lesbian	lezbiyen	0.385	0.660	0.415
lesbianism	lezbiyenlik	0.327	0.725	0.440
lesion	yara	0.240	0.623	0.361
less	az	0.265	0.240	0.115
lessee	kiracı	0.417	0.474	0.595
lessen	azaltmak	0.235	0.284	0.255
lessening	eksiltme	0.375	0.300	0.277
lesser	daha az	0.396	0.167	0.211
lesson	ders	0.704	0.577	0.593
lessor	kiraya veren kimse	0.552	0.490	0.623
let	let	0.427	0.373	0.307
lethal	öldürücü	0.156	0.800	0.745
lethargic	uyuşuk	0.214	0.245	0.375
lethargy	letarji	0.194	0.302	0.316
letter	mektup	0.635	0.279	0.342
lettered	aydın	0.542	0.361	0.482
letterhead	mektup başlığı	0.450	0.316	0.462
lettering	harfler	0.541	0.180	0.431
letters	harfler	0.663	0.327	0.364
lettuce	marul	0.594	0.163	0.291
leukemia	lösemi	0.094	0.572	0.351
levee	resmi kabul	0.520	0.324	0.490
level	seviye	0.622	0.277	0.491
lever	manivela	0.400	0.343	0.402
leverage	Kaldıraç	0.459	0.500	0.629
levitate	havada durmak	0.561	0.598	0.551
levy	haciz	0.438	0.420	0.491
lewd	iffetsiz	0.188	0.673	0.412
lexicon	sözlük	0.561	0.463	0.615
ley	NO TRANSLATION	0.604	0.389	0.764
liabilities	yükümlülükler	0.429	0.608	0.694
liability	yükümlülük	0.646	0.500	0.802
liable	sorumlu	0.656	0.519	0.821
liaison	irtibat	0.698	0.337	0.472
liar	yalancı	0.042	0.606	0.339
libel	karalama	0.128	0.694	0.403
libelous	karalayıcı	0.125	0.735	0.436
liberal	liberal	0.565	0.565	0.755
liberalism	liberalizm	0.562	0.712	0.750
liberate	kurtarmak	0.760	0.632	0.708
liberated	kurtarılmış	0.780	0.630	0.683
liberating	kurtarıcı	0.915	0.620	0.745
liberation	kurtuluş	0.745	0.614	0.857
liberty	özgürlük	0.938	0.579	0.836
libido	libido	0.770	0.602	0.571
librarian	kütüphaneci	0.625	0.135	0.509
library	kütüphane	0.776	0.122	0.549
libretto	libretto	0.612	0.328	0.406
lice	bitler	0.133	0.500	0.194
license	lisans	0.500	0.394	0.702
lichen	liken	0.418	0.388	0.463
lick	yalamak	0.470	0.482	0.330
licorice	meyankökü	0.677	0.310	0.400
lid	kapak	0.490	0.189	0.255
lie	Yalan	0.130	0.725	0.272
liege	derebeyine bağlı kimse	0.479	0.426	0.452
lien	ipotek	0.396	0.580	0.441
lieu	lieu	0.427	0.410	0.312
lieutenant	teğmen	0.594	0.612	0.920
life	hayat	0.918	0.615	0.824
lifeblood	can	0.673	0.690	0.708
lifeboat	filika	0.724	0.425	0.533
lifeguard	Cankurtaran	0.870	0.606	0.786
lifeisgood	hayat güzel	0.812	0.575	0.611
lifeless	cansız	0.042	0.333	0.163
lifelike	canlı	0.776	0.567	0.765
lifeline	hayat çizgisi	0.735	0.552	0.496
lifelong	ömür boyu	0.823	0.330	0.640
lifer	ömür boyu hapis	0.427	0.519	0.398
lifesaver	cankurtaran	0.908	0.745	0.703
lifestyle	yaşam tarzı	0.750	0.472	0.645
lifesucks	hayat berbat	0.167	0.637	0.377
lifetime	ömür	0.816	0.559	0.736
lift	asansör	0.704	0.518	0.656
lifted	kaldırdı	0.714	0.441	0.657
liftoff	havalanmak	0.531	0.667	0.588
ligament	bağ	0.490	0.410	0.510
ligation	ligasyonu	0.344	0.423	0.396
ligature	bağ	0.478	0.430	0.447
light	ışık	0.771	0.320	0.519
light year	ışık yılı	0.719	0.425	0.593
lightbulb	ampul	0.573	0.255	0.302
lighten	hafifletmek	0.688	0.438	0.362
lightheaded	sersemlemiş	0.347	0.620	0.255
lighthouse	fener	0.622	0.240	0.510
lighting	aydınlatma	0.765	0.440	0.750
lightness	hafiflik	0.794	0.360	0.526
lightning	Şimşek	0.429	0.683	0.595
lights	ışıklar	0.750	0.480	0.575
lightweight	hafif	0.670	0.300	0.358
likable	sevimli	0.865	0.480	0.663
like	sevmek	0.719	0.353	0.446
likelihood	olasılık	0.760	0.469	0.542
likely	muhtemelen	0.633	0.356	0.454
likeness	benzerlik	0.688	0.410	0.561
likewise	aynı şekilde	0.651	0.217	0.312
liking	sevme	0.963	0.604	0.589
lilac	leylak	0.688	0.180	0.357
lily	zambak	0.640	0.245	0.263
limb	uzuv	0.510	0.397	0.427
limber	esnek	0.688	0.729	0.673
limbo	belirsizlik	0.385	0.284	0.309
lime	Misket Limonu	0.594	0.240	0.415
limelight	sahne ışığı	0.667	0.639	0.694
limestone	kalker	0.602	0.323	0.381
limey	İngiliz	0.469	0.347	0.415
limit	sınır	0.427	0.453	0.500
limitation	sınırlama	0.190	0.431	0.225
limited	sınırlı	0.229	0.273	0.380
limitless	sınırsız	0.688	0.574	0.655
limo	limuzin	0.760	0.367	0.667
limousine	limuzin	0.638	0.531	0.640
limp	gevşek	0.393	0.440	0.172
lin	lin	0.416	0.362	0.343
line	hat	0.541	0.180	0.353
lineage	soy	0.633	0.465	0.721
lineal	çizgisel	0.521	0.170	0.474
linear	doğrusal	0.646	0.250	0.472
linebacker	linebacker	0.490	0.660	0.543
lined	astarlı	0.438	0.367	0.424
linen	keten	0.656	0.323	0.286
liner	astar	0.469	0.396	0.400
lines	hatlar	0.542	0.317	0.330
lineup	sıralanmak	0.635	0.427	0.638
linger	uzamak	0.480	0.311	0.412
lingerie	kadın iç çamaşırı	0.543	0.463	0.308
lingering	kalıcı	0.630	0.643	0.667
lingo	argo	0.448	0.364	0.447
lingual	lingual	0.500	0.457	0.315
linguini	linguini	0.625	0.338	0.355
linguist	dilbilimci	0.583	0.330	0.634
linguistic	dilbilimsel	0.646	0.351	0.618
linguistics	dilbilim	0.552	0.390	0.618
lining	astar	0.571	0.363	0.472
link	bağlantı	0.427	0.264	0.491
linoleum	linolyum	0.510	0.378	0.402
lint	keten tiftiği	0.388	0.173	0.214
lion	aslan	0.532	0.717	0.682
lip	dudak	0.541	0.348	0.443
liposuction	liposuction	0.292	0.684	0.464
lipstick	ruj	0.653	0.429	0.306
liquefaction	sıvılaşma	0.449	0.622	0.535
liquefied	sıvılaştırılmış	0.562	0.463	0.342
liqueur	likör	0.670	0.612	0.389
liquid	sıvı	0.562	0.235	0.307
liquidate	tasfiye etmek	0.327	0.654	0.664
liquidation	tasfiye	0.417	0.625	0.649
liquidator	likidatör	0.354	0.663	0.750
liquidity	likidite	0.688	0.529	0.534
liquor	likör	0.603	0.702	0.433
lira	NO TRANSLATION	0.530	0.255	0.370
lisp	yanlış telaffuz	0.365	0.412	0.288
list	liste	0.528	0.260	0.402
listen	dinlemek	0.771	0.360	0.445
listener	dinleyici	0.667	0.375	0.403
listenting	NO TRANSLATION	0.640	0.377	0.491
listing	listeleme	0.438	0.273	0.432
listless	cansız	0.219	0.350	0.231
listneing	NO TRANSLATION	0.531	0.370	0.433
litany	ayin	0.510	0.365	0.482
liter	litre	0.573	0.208	0.382
literacy	okur yazarlık	0.730	0.306	0.638
literal	kelimesi kelimesine	0.570	0.353	0.574
literally	harfi harfine	0.571	0.353	0.673
literary	edebi	0.719	0.324	0.667
literature	Edebiyat	0.708	0.250	0.598
lithe	kıvrak	0.656	0.596	0.602
lithium	lityum	0.417	0.330	0.430
lithograph	litograf	0.551	0.327	0.481
lithography	litografi	0.561	0.346	0.473
lithology	litoloji	0.519	0.378	0.525
lithosphere	litosfer	0.473	0.333	0.689
litigant	davacı	0.219	0.577	0.696
litigate	dava	0.260	0.819	0.712
litigation	dava	0.388	0.760	0.602
litigator	litigator	0.429	0.630	0.732
litigious	kavgalı	0.360	0.736	0.632
litter	çöp	0.255	0.551	0.110
little	küçük	0.385	0.160	0.213
littlethings	küçük şeyler	0.740	0.311	0.242
littoral	kıyı	0.551	0.387	0.452
liturgy	komünyon	0.490	0.327	0.568
live	canlı	0.880	0.673	0.676
livelife	hayatı yaşa	0.792	0.624	0.664
livelihood	geçim	0.698	0.481	0.721
lively	canlı	0.847	0.810	0.642
liven	canlandırmak	0.708	0.713	0.673
liver	karaciğer	0.439	0.290	0.385
livery	üniforma	0.510	0.417	0.429
livestock	çiftlik hayvanları	0.729	0.420	0.519
livid	mosmor	0.469	0.788	0.490
living	yaşam	0.865	0.608	0.727
lizard	kertenkele	0.378	0.375	0.324
llama	lama	0.490	0.590	0.519
lml	lml	0.448	0.519	0.385
load	yük	0.385	0.417	0.528
loader	yükleyici	0.562	0.377	0.686
loaf	somun	0.755	0.250	0.277
loafer	mokasen	0.235	0.396	0.254
loam	verimli toprak	0.469	0.373	0.673
loan	borç	0.552	0.480	0.352
loath	gönülsüz	0.135	0.714	0.445
loathe	tiksinmek	0.094	0.730	0.429
loathful	loathful	0.068	0.740	0.358
loathing	iğrenme	0.083	0.796	0.368
loathsome	tiksindirici	0.120	0.694	0.343
lobby	lobi	0.625	0.427	0.472
lobbyist	lobici	0.385	0.527	0.565
lobe	lop	0.459	0.364	0.352
lobotomy	lobotomi	0.296	0.598	0.402
lobster	Istakoz	0.571	0.356	0.291
local	yerel	0.656	0.269	0.452
locale	yerel	0.449	0.387	0.352
locality	mekân	0.582	0.336	0.464
localization	yerelleştirme	0.552	0.330	0.545
localize	yerelleştirmek	0.520	0.481	0.679
localized	lokalize	0.490	0.460	0.621
locate	yerleştirmek	0.583	0.520	0.786
location	yer	0.615	0.375	0.546
locator	bulucu	0.480	0.426	0.614
loch	göl	0.449	0.235	0.425
lock	kilit	0.271	0.585	0.600
locker	kilitli dolap	0.439	0.300	0.393
locket	madalyon	0.615	0.327	0.616
locksmith	çilingir	0.510	0.417	0.491
lockup	kilitlemek	0.240	0.602	0.617
loco	kaçık	0.306	0.774	0.226
locomotion	hareket	0.470	0.600	0.595
locomotive	lokomotif	0.542	0.650	0.721
locust	keçiboynuzu	0.479	0.412	0.417
lode	NO TRANSLATION	0.365	0.423	0.318
lodge	loca	0.656	0.356	0.474
lodger	pansiyoner	0.480	0.448	0.304
lodging	konaklama	0.713	0.286	0.527
loft	çatı katı	0.510	0.378	0.343
lofty	yüce	0.755	0.306	0.569
log	kütük	0.591	0.371	0.395
logarithm	logaritma	0.520	0.439	0.551
logarithmic	logaritmik	0.469	0.458	0.606
logic	mantık	0.646	0.245	0.819
logical	mantıksal	0.805	0.400	0.648
logistics	lojistik	0.633	0.500	0.730
logo	logo	0.469	0.296	0.565
logotype	logo	0.480	0.337	0.509
loin	NO TRANSLATION	0.420	0.298	0.379
lollipop	lolipop	0.628	0.483	0.357
lone	yalnız	0.198	0.204	0.367
loneliness	yalnızlık	0.146	0.182	0.222
lonely	yalnız	0.250	0.226	0.238
loner	yalnız yaşayan kimse	0.347	0.152	0.221
lonesome	yalnız	0.281	0.213	0.336
long	uzun	0.541	0.353	0.543
longboat	büyük sandal	0.551	0.454	0.490
longevity	uzun ömürlü	0.750	0.353	0.745
longing	özlem	0.604	0.434	0.560
longitude	boylam	0.479	0.310	0.516
longitudinal	uzunlamasına	0.542	0.398	0.582
longitudinally	boyuna	0.541	0.380	0.569
longtime	uzun zaman	0.362	0.442	0.546
loo	tuvalet	0.385	0.357	0.283
look	bak	0.719	0.429	0.615
looker	güzel ve çekici kız	0.583	0.354	0.451
lookout	bak	0.698	0.538	0.639
loom	dokuma tezgâhı	0.531	0.245	0.325
looming	başgösteren	0.367	0.750	0.528
loon	dalgıçkuşu	0.429	0.392	0.325
loony	kaçık	0.439	0.474	0.295
loop	döngü	0.516	0.343	0.317
loophole	mazgal	0.406	0.755	0.491
loopy	loopy	0.438	0.520	0.195
loose	gevşek	0.573	0.312	0.365
loosen	gevşetmek	0.487	0.337	0.218
loosening	gevşeme	0.378	0.343	0.295
loot	yağma	0.604	0.711	0.537
lop	sarkıtmak	0.429	0.363	0.426
lopsided	dengesiz	0.125	0.500	0.272
lord	Kral	0.618	0.327	0.684
lords	Lordlar	0.571	0.356	0.781
lordship	lordluk	0.573	0.557	0.736
lore	irfan	0.719	0.373	0.768
lorry	kamyon	0.521	0.481	0.402
lose	kaybetmek	0.115	0.538	0.176
loser	ezik	0.083	0.510	0.155
losing	kaybetme	0.076	0.686	0.223
loss	kayıp	0.062	0.567	0.211
lost	kayıp	0.199	0.663	0.148
lot	çok	0.531	0.215	0.370
lotion	losyon	0.724	0.261	0.188
lots	çok	0.604	0.417	0.424
lottery	Piyango	0.771	0.731	0.491
lotto	loto	0.760	0.635	0.475
lotus	lotus	0.604	0.377	0.510
loud	yüksek sesle	0.573	0.650	0.870
loudly	yüksek sesle	0.541	0.755	0.667
loudmouth	loudmouth	0.337	0.615	0.456
loudness	gürültü	0.350	0.582	0.620
loudspeaker	hoparlör	0.490	0.735	0.689
lounge	salon	0.592	0.245	0.466
lounging	uzanmanız	0.735	0.167	0.449
louse	bit	0.184	0.439	0.154
lousy	bitli	0.125	0.482	0.234
lovable	sevimli	0.948	0.335	0.565
love	Aşk	1.000	0.519	0.673
loved	sevilen	0.927	0.452	0.582
lovee	lovee	0.949	0.592	0.611
loveee	loveee	0.927	0.592	0.693
loveless	sevgisiz	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	sevimlilik	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	güzel	0.917	0.456	0.741
lovemaking	sevişmek	0.969	0.927	0.814
lovemylife	NO TRANSLATION	0.896	0.800	0.573
lover	sevgili	0.881	0.816	0.750
lovesick	sevdalı	0.796	0.842	0.500
lovethis	bunu sev	0.867	0.552	0.526
loving	seven	0.948	0.612	0.636
lovinglife	Hayatı sevmek	0.979	0.404	0.673
lovinlife	lovinlife	0.714	0.460	0.544
low	düşük	0.292	0.220	0.102
lowdown	lowdown	0.306	0.441	0.441
lower	alt	0.327	0.296	0.258
lowering	indirme	0.286	0.363	0.236
lowest	en düşük	0.312	0.304	0.129
lowlands	lowlands	0.323	0.290	0.331
lowlife	sefil hayat	0.296	0.529	0.309
lowly	aşağı	0.562	0.294	0.417
lox	füme balık	0.490	0.373	0.318
loyal	sadık	0.896	0.265	0.657
loyalty	bağlılık	0.885	0.406	0.793
lsd	l.s.d	0.375	0.471	0.390
luau	luau	0.594	0.545	0.296
lube	madeni	0.552	0.490	0.411
lubricant	yağlayıcı madde	0.656	0.550	0.454
lubricate	yağlamak	0.552	0.490	0.470
lubrication	yağlama	0.624	0.646	0.491
lucid	berrak	0.771	0.490	0.705
luck	şans	0.854	0.490	0.717
luckiest	şanslı	0.917	0.690	0.852
lucky	şanslı	0.960	0.610	0.793
luckygirl	şanslı kız	0.781	0.712	0.471
lucrative	kazançlı	0.729	0.519	0.798
ludicrous	gülünç	0.137	0.553	0.274
lug	kulp	0.344	0.443	0.340
luggage	bagaj	0.561	0.226	0.319
lukewarm	ılık	0.573	0.300	0.241
lull	sükunet	0.602	0.130	0.402
lullaby	ninni	0.796	0.156	0.339
lumbar	lomber	0.323	0.418	0.342
lumber	kereste	0.517	0.184	0.373
lumbering	hantal	0.354	0.561	0.655
lumberjack	ağaç kesen kimse	0.500	0.660	0.726
luminescent	ışıldayan	0.796	0.550	0.526
luminous	aydınlık	0.918	0.392	0.783
lump	yumru	0.438	0.337	0.463
lumpy	topaklı	0.271	0.378	0.365
lunacy	çılgınlık	0.132	0.847	0.330
lunar	kameri	0.562	0.296	0.427
lunatic	çılgın	0.125	0.792	0.442
lunch	öğle yemeği	0.880	0.410	0.542
lunchbox	sefer tası	0.663	0.346	0.346
luncheon	öğle yemeği	0.837	0.240	0.441
lunchtime	öğle yemeği vakti	0.896	0.398	0.444
lung	akciğer	0.510	0.292	0.629
lunge	hamle	0.354	0.721	0.509
lungs	akciğer	0.531	0.352	0.555
lurch	silkinme	0.404	0.694	0.363
lure	yem	0.439	0.565	0.300
lurid	korkunç	0.186	0.833	0.536
lurk	gizlenmek	0.219	0.740	0.655
lurking	gizlenmiş	0.421	0.781	0.575
luscious	tatlı	0.885	0.552	0.545
lush	bereketli	0.740	0.783	0.833
lust	şehvet	0.469	0.944	0.518
luster	parıltı	0.833	0.566	0.558
lustful	şehvetli	0.427	0.896	0.643
lustrous	parlak	0.771	0.606	0.598
lusty	dinç	0.469	0.941	0.673
lute	ut	0.459	0.407	0.500
luxuriant	bereketli	0.760	0.745	0.812
luxurious	lüks	0.947	0.644	0.754
luxury	lüks	0.932	0.673	0.750
lycra	likra	0.520	0.449	0.328
lye	kül suyu	0.378	0.396	0.443
lying	yalan söyleme	0.208	0.704	0.317
lymph	lenf	0.398	0.510	0.390
lymphatic	lenfatik	0.380	0.509	0.472
lymphoma	lenfoma	0.208	0.645	0.330
lynch	linç	0.167	0.885	0.482
lynching	linç	0.135	0.920	0.548
lynx	vaşak	0.510	0.590	0.567
lyre	lir	0.719	0.347	0.414
lyric	lirik	0.702	0.269	0.464
lyrical	lirik tarzında	0.708	0.451	0.618
lyrics	şarkı sözleri	0.582	0.214	0.333
macadamia	macadamia	0.635	0.330	0.434
macarena	macarena	0.802	0.601	0.368
macaroni	makarna	0.816	0.410	0.382
mace	Topuz	0.450	0.412	0.415
mach	mak	0.541	0.432	0.463
machete	pala	0.260	0.690	0.474
machine	makine	0.510	0.500	0.707
machinery	makinalar	0.458	0.615	0.629
machinist	makinist	0.490	0.598	0.721
macho	maço	0.643	0.690	0.676
mackerel	orkinos	0.418	0.423	0.426
macro	makro	0.552	0.469	0.647
mad	deli	0.219	0.873	0.277
madam	bayan	0.580	0.308	0.571
madame	madam	0.604	0.500	0.635
madden	delirtmek	0.329	0.602	0.457
madder	kızılkök	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	günümü şenlendirdin	0.694	0.573	0.537
madhouse	tımarhane	0.156	0.736	0.440
madman	deli	0.135	0.880	0.312
madness	delilik	0.104	0.804	0.440
maestro	maystro	0.823	0.357	0.849
mafia	mafya	0.204	0.867	0.676
magazine	dergi	0.615	0.332	0.377
mage	sihirbaz	0.622	0.373	0.453
magenta	eflatun	0.635	0.275	0.415
maggot	kurtçuk	0.235	0.500	0.235
magic	sihirli	0.868	0.663	0.578
magical	büyülü	0.875	0.651	0.595
magician	büyücü	0.714	0.657	0.551
magistrate	sulh hakimi	0.587	0.541	0.904
magma	mağma	0.323	0.623	0.609
magna	magna	0.605	0.490	0.652
magnate	kodaman	0.627	0.708	0.868
magnesium	magnezyum	0.542	0.320	0.321
magnet	mıknatıs	0.571	0.318	0.553
magnetic	manyetik	0.612	0.529	0.673
magnetism	manyetizma	0.630	0.529	0.741
magnetite	manyetit	0.531	0.490	0.581
magnification	büyütme	0.890	0.615	0.880
magnificence	görkem	0.802	0.810	0.920
magnificent	muhteşem	1.000	0.680	0.886
magnifier	büyüteç	0.469	0.216	0.345
magnify	büyütmek	0.729	0.561	0.839
magnifying	büyüteç	0.594	0.265	0.406
magnitude	büyüklük	0.608	0.613	0.774
magnolia	manolya	0.558	0.343	0.379
magpie	saksağan	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	Çin dominosu	0.556	0.418	0.440
mahogany	maun	0.602	0.225	0.393
maid	hizmetçi	0.406	0.324	0.300
maiden	bakire	0.755	0.396	0.461
mail	posta	0.615	0.231	0.548
mailbox	posta kutusu	0.573	0.222	0.404
mailing	posta	0.688	0.324	0.375
mailman	postacı	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	ana	0.667	0.510	0.811
mainframe	anabilgisayar	0.531	0.490	0.557
mainland	anakara	0.680	0.407	0.806
mainstay	dayanak noktası	0.694	0.400	0.713
mainstream	ana akım	0.653	0.527	0.660
maintain	sürdürmek	0.684	0.398	0.647
maintenance	bakım	0.592	0.410	0.545
majestic	görkemli	0.948	0.731	0.906
majesty	majeste	0.823	0.602	0.955
major	majör	0.684	0.538	0.874
majority	çoğunluk	0.684	0.560	0.930
make	Yapmak	0.684	0.420	0.480
makeover	makyaj	0.771	0.510	0.596
maker	yapıcı	0.698	0.544	0.706
makeshift	eğreti	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	beni delirtiyor	0.296	0.643	0.500
makeup	makyaj	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	illet	0.190	0.686	0.304
malaise	keyifsizlik	0.150	0.600	0.161
malaria	sıtma	0.125	0.653	0.304
malarkey	saçmalık	0.396	0.500	0.465
male	erkek	0.612	0.532	0.695
malevolent	kötü niyetli	0.094	0.854	0.613
malfeasance	kötülük	0.062	0.745	0.325
malformation	sakatlık	0.083	0.602	0.357
malfunction	arıza	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	kötü niyetli	0.177	0.765	0.607
malign	habis	0.140	0.765	0.481
malignancy	habis tümör	0.149	0.814	0.614
malignant	habis	0.143	0.824	0.370
maligned	maligned	0.102	0.684	0.218
mall	alışveriş Merkezi	0.724	0.663	0.492
malleable	dövülebilir	0.500	0.500	0.391
mallet	tokmak	0.354	0.390	0.483
malnutrition	yetersiz beslenme	0.024	0.592	0.277
malpractice	yanlış tedavi	0.094	0.559	0.330
malt	malt	0.750	0.373	0.324
mama	anne	0.860	0.413	0.728
mambo	mambo	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	memeli	0.618	0.449	0.421
mammoth	mamut	0.480	0.471	0.537
mammy	NO TRANSLATION	0.680	0.415	0.436
man	adam	0.688	0.427	0.767
manage	yönetmek	0.560	0.530	0.719
manageable	idare edilebilir	0.750	0.361	0.655
management	yönetim	0.792	0.491	0.806
manager	müdür	0.625	0.549	0.897
managerial	yönetimsel	0.604	0.520	0.791
mandamus	yüksek mahkeme emri	0.439	0.577	0.556
mandarin	mandalina	0.625	0.398	0.491
mandate	manda	0.448	0.670	0.779
mandatory	zorunlu	0.271	0.667	0.777
mandible	çene	0.510	0.431	0.500
mandolin	mandolin	0.708	0.433	0.367
mandrel	mandrel	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	manevra	0.615	0.663	0.608
maneuvering	manevra	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	yemlik	0.656	0.276	0.398
mangle	NO TRANSLATION	0.292	0.449	0.355
mango	Mango	0.765	0.327	0.290
mangosteen	mangostan	0.562	0.500	0.414
mangy	uyuz	0.214	0.698	0.270
manhole	rögar	0.378	0.500	0.516
manhood	erkeklik	0.625	0.735	0.858
manhunt	insan avı	0.145	0.925	0.657
mania	cinnet	0.290	0.683	0.382
maniac	manyak	0.120	0.849	0.431
maniacal	çılgın	0.200	0.848	0.500
manic	manyak	0.054	0.892	0.368
manicure	manikür	0.706	0.308	0.284
manicurist	manikürcü	0.583	0.352	0.341
manifest	apaçık	0.667	0.647	0.704
manifestation	tezahürü	0.583	0.750	0.655
manifested	tecelli	0.580	0.618	0.667
manifestly	açıkça	0.469	0.588	0.577
manifesto	bildiri	0.646	0.519	0.676
manifold	çeşitli	0.500	0.461	0.435
manipulate	idare	0.255	0.700	0.772
manipulation	hile	0.188	0.775	0.536
manipulative	manipülatif	0.177	0.724	0.546
mankind	insanlık	0.823	0.471	0.768
manly	erkekçe	0.698	0.633	0.846
manna	kudret helvası	0.698	0.294	0.544
manned	insanlı	0.551	0.588	0.484
mannequin	Manken	0.427	0.302	0.295
manner	tavır	0.618	0.250	0.320
mannered	yapmacıklı	0.469	0.556	0.291
manners	görgü	0.816	0.284	0.517
manor	malikâne	0.646	0.358	0.738
manpower	işgücü	0.531	0.620	0.543
mansion	konak	0.847	0.490	0.717
