"label","text","googleScore","VADER"
"Negative","This is a brilliant way to show the pathetic service that Virgin Media call webmail - you'd be better sending a letter!They are the WORST ISP EVER!BTW - they only support Windows.Service crap,GUI crap, storage crap (50Mb!) support crap, speed crap and you can't contact them without having to pay for itYou have my sympathy. Spread the word - Virgin Media are CRAP!BTW, I don't think they're owned by Branson anymore.If I could take my email addy with me (had it for 10 years!) I'd leave today.",-0.5,-0.751
"Positive","chiptacular had the most astute observation. Where is the last long board scene filmed? That was awesome!",0.2,0.659
"Neutral","OMG!",0.2,0
"Negative","@red341111 You haven't even finished (maybe haven't even started) puberty yet. You WILL fill out.",-0.2,0
"Neutral","Beautiful.?",0,0.599
"Positive","La Terekhova is divine. Even her little steps during the introduction of her variation are right on teh music.",0.5,0.557
"Positive","i love the song its from sonic heros for intendo game cube",0.8,0.758
"Positive","I like this song, alot! :)",0.8,0.7
"Neutral","Western Seaboard? Ha! Nice vid, though.",0.2,0.67
"Positive","Oh snap!!!Hahaha,so good! The ending still makes me laugh aloud. In public.I get weird looks.",0.4,0.789
"Positive","Very nice!!!",0.8,0.608
"Negative","oh wow shes a brat",0.2,0.586
"Neutral","You seem like a smart guy, but to gain popularity you need to gain speech making skills. I suggest getting a good public speaking book from the library and practicing. Being intelligent is only half the battle, you also need to sound intelligent too.",0.2,0.979
"Positive","Awesome yeeaaaaahhhhhh !!",0.8,0.689
"Neutral",">>EagleTalonZCaltrain actually has a big problem with suicides. However, the tracks will be grade-separated and secured over the next 10 years for high-speed rail. This of course means fewer (if any) suicides, no more crossing bells and horns, and smoother traffic. So, does Sunnyvale sound any nicer :-) ?",0.2,0.459
"Positive","love the song and the picturization from Lion King!",0.5,0.67
"Positive","YEAAAAA",0.1,0
"Positive","@davisnurse no prob. I can even do the simple stuff. Very impressive for their age",0.5,0.338
"Positive","Hey Janet, is it safe to use water that's gone through a reverse osmosis filter? Oh and wonderful video by the way. You are one convincing woman! =)",0.2,0.915
"Positive","Love this show ^^",0.8,0.637
"Positive","Thanks, Mike was a good friend and will not beforgotten.Miss you buddyWeedz",0.7,0.84
"Negative","WHY WOOD IRVIN EVER HELP ANY OTHER UP AND COMING FIGHTER AGAIN THE WAY HE HOOKED UP ANGEL AND THE WAY ANGELS FANS TREATED HIM EVEN BEFOR THE FIGHT. IF I EVER GET TO HIT SOME DUDE SO HARD THAT HE DOESNT NO WERE HE IS OR WHAT HAPEND AFTER HE HIT ANGEL IN THE FACE WITH HIS RIGHT HANDED BAT I WOOD NEVER FEL THE NEED TO GIVEM A 2ND CHANCE, ARE U EVEN FOR REAL, WERE U THERE. WHO HAS ANGEL EVEN FOUGHT WITH A REAL RECORD. ANGEL MITE HAV BETR LUCK VS DAVE HUCKABA.. MAYBE",0,0.557
"Positive","@TheKeyToBeingAmazing Omg! when is season 2 starting?",-0.1,0
"Positive","Beautiful spiritual uplifting song.",0.9,0.599
"Neutral","can't disagree",0,0.292
"Negative","You mean people can sing without autotune? Wow! *cough* This is wonderful.",0.2,0.231
"Negative","1st-i hate people like YOU!",-0.2,-0.359
"Neutral","what size tank",0.2,0
"Neutral","He came up with the word 'more'?",0,0
"Negative","You bitch, i'm gonna punch you in the face!",-0.2,-0.624
"Negative","ya, he obviously is a lazy person. and in violation of the NRC (nuclear regulatory commitie) policy on safe radiation practicies.",-0.3,-0.421
"Positive","Absolutely fabulous. A former golden no1 from the past. Great stuff and take a bow inmeyard.",0.7,0.831
"Negative","The Cop responds to the woman ""No, He's saying you're tresspassing on city property"". Well doesn't the cop have the duty to know the law and uphold it? Shouldn't the cop have told the guy who was protesting the Librarian that she was within her CONSTITUTIONAL rights to be there with a sign???????",-0.4,-0.594
"Neutral","pikachu get up hurry it doesnt hurt that bad",0.5,0.683
"Neutral","rotflmao get it boi",0.1,0.586
"Negative","acorn sucks",-0.6,-0.361
"Neutral","Filmed Saturday at about 2:45pm near Montrose Ave. from Gargoyle.",0.1,0
"Neutral","this is the same guy that did the song from el farah, can someone please tell me where i can find that song i have to listen to it!",-0.1,0.38
"Negative","YANKEE TWAT!!",0.2,-0.717
"Negative","a fucked up car in that game Interstate 82 makes EXACTLY the same sound. Just like the beat ""de de dee """,0,-0.44
"Neutral","Why does he have a beard",-0.3,0
"Negative","The only people allied with McKinney are terrorists and their supporters.",-0.4,-0.296
"Positive","Loved Marge and Gower Champion, loved his choreography and thankful for Gilvey's book. Harold Channer needs to be replaced!",0.3,0.949
"Neutral","Nao acho a Pitty emo, nao sou fa, conheco algumas musicas delas e ate gosto dessa ai em questao. ",0,0
"Positive","@lovesmakeupxox Aww thankyouu (: Yeaah, i want it !! :D xx",0.4,0.812
"Negative","the 19 people who disliked are too fat for the beds.",-0.2,-0.402
"Positive","THIS SOUND LIKE DAT ORIGINAL TYPE THREE 6 MAFIA MUSIC THAT I MISS!!!!",-0.7,0.656
"Positive","haha LOL mate!",0.5,0.811
"Negative","We are the smallest species on earth- hahahahaSmall, but surprisingly destructive.",0.1,-0.572
"Negative","me me me sheesh god needs to get over himself...i dont need to listen to a guy that thinks he knows what he reads if tehre was a god he can come talk to me..im sure he could do that if he can make the universe...",-0.2,0.67
"Negative","McSame is just another bushbot running another sleazy show run by the same criminals that brought you BushCo 2004. The good thing is that Obama Camp won't take this crap as did the Kerry team =) The respond Fast!",0,0.596
"Positive","Hit #12 pop, #20 AC in the US (Billboard). Got airplay on WLS. Thanx, WWYW for bringin' it back! How'd it do in the UK? God bless!",0.2,0.669
"Positive","Thumbs way up! Looks, sounds, and strobes awesome.",0.7,0.659
"Positive","ah sounds good hoply out soon",0.4,0.44
"Negative","daveeeeeeeee, you crazy fucker.",-0.6,-0.772
"Positive","danggg way better than my high school!!! very nice =]",0.5,0.867
"Neutral","@picmario Hello. How about zinc ? Zinc efectivelly reduces ferrocyanides. It could also work on iron atoms on the mitocondrial citocromes.",0,0
"Negative","...like u had the song, the video, the lead singer, the concert mogul = Erasure...what? Who was ur marketing pimp?. OMG....pls",0,0.433
"Positive","this song kicks ass!!!",0.4,-0.657
"Neutral","Shown the building of well, nice facilities.",0.8,0.599
"Positive","How in the world did you get there on such low levels? That is awesome man! I am subscribing to your videos God Bless you and may God Bless you all!!",0.3,0.913
"Neutral","good flilipino music",0.4,0.44
"Neutral","jew",0,0
"Positive","sturm has good footwork. watch the way he beat jermain taylor in the amateurs",0.4,0.44
"Positive","thats a loooooooong bridge. its amazing he pulled this off.",0.3,0.586
"Positive","wow!!!!!!!! in 2010 its still sounding goood even though i first heard it in 1979 when i was 9 , what a voice.",0.4,0.716
"Positive","So true, no other king, president or ruler would humbly give himself as our Lord - I Love you Lord!",0.8,0.728
"Neutral","Febian semakin oke aja ya....",0,0
"Negative","@MsThunderroad Can you explain to a point where I dont want to kill myself after you make a comment?",-0.2,0.545
"Positive","The guitar is so cute... and sounds sweet as well.",0.6,0.812
"Negative","... and if people made a run on banks they would see their money is not actually there and has been partially transferred to the winners of the bet on behalf of the leveraged loser of the bet... regardless if physaical gold is being transferred or being settled in cash, a great deal of wealth is being leveraged off of savers... how do they determine a premium of insurance on hedge against an assett beyond its worth one full time. and especially nonvested parties with no rights to th underlying",0.3,0.865
"Neutral","@yourmotherisawhail Netherlands has a queen?",0,0
"Positive","HEY! Josh is my oncology Docctor! I love him!",0.3,0.725
"Positive","This film is a Masterpiece. ",0.7,0.625
"Neutral","what are you talking about you need them back? they're still around... saw them this past saturday.",0,0
"Neutral","Damn, I mad I only heard Deadly medely and stopped. This is hip hopest in one of its truest forms.",0,-0.599
"Neutral","yeah, only a few words (a generic category called racial slurs) should be bannedi posted lyrics to the song on a webforum to protest chat filters",-0.6,0.052
"Positive","HAHA if you think thats big, you need to check the long one, we use in our festival",0.5,0.787
"Neutral","Exactly.",0.4,0
"Positive","WOW! BIG LEMONS!",0.3,0.658
"Positive","Mad Love! This song is in your top 5 fa sho.",0.6,0.475
"Positive","GOD IOU1Awesome video..... Clean. I love the TV's all over and the seats look good too. I'm not a big into luxury prints in a car but good combo all together.",0.5,0.88
"Positive","Epic, and I faved.",0.4,0
"Positive","@00ellie00 I am female also and need to lose about 50 lbs. I am nervous about starting Atkins. I've read the book but I am still unsure. You comment makes me want to start ASAP:)",0.1,-0.535
"Positive","WAHT iT DEW STiCKMAN, woot! yhew rock this sonq.",0.5,0.475
"Negative","...he said she said...",0,0
"Neutral","haha cote is nothing like her character...she is such a goofball",-0.6,0.224
"Negative","Not even 10. More like a retarded 4 year old with a retarded family.",-0.7,-0.707
"Neutral","es annalay una de las chiki chaka girls yo soy de pinar del rio, lo que me impresiono es que tu sabias que eramos de pinar,tu eres?",0.8,0
"Negative","wooo, China also borrowed money to USA to fuel its invasion of Iraq. Should we blame China for the Iraqi invasion? What a joke!",-0.3,-0.126
"Positive","This is an awesome song :)",0.8,0.796
"Positive","FANTASTIC mmmmmmmmmmm",0.8,0.652
"Positive","Black cat is so adorable!",0.8,0.584
"Positive","Thank you!",0.7,0.42
"Neutral","Un gran saludo a La Orquesta Hnos Aviles de Holguin. Los conoci en Portugal el verano del 93. Desde California.Raphael Paz",0.4,0
"Negative","I'm so confused about this. Why would the US do this to it's own troops? I'm a United States Citizen. Doesn't the US need its troops? Why would the government make its troops sick? ...Please someone clear this up for me.",-0.1,0.328
"Positive","epiccccc",0.1,0
"Positive","I love this song. I have to listen to this everyday. when ever I am down or up. God is good all the time and I don't know where I would be without him. Thank you Jesus.",0.5,0.796
"Positive","I cannot be prouder of us!",0.6,-0.444
"Neutral","thats my uncle : )",0.1,0
"Negative","Dumb video. Shakey Camera rules.",-0.3,-0.511
"Neutral","I have a sharp pain shoot when I move my neck. In between my shoulder blades slightly to the right. Any home remedies available? I am in much pain and would love some help!",0.1,-0.338
"Neutral","isnt facade pronounced fay kayd?",-0.2,0
"Neutral","just a matter of time...",0.1,0.026
"Neutral","won't stop unitl i hear your momma scream. Church!!!!",0.3,-0.455
"Positive","bahrain construction is of such high quality. the roads are way smoother than american roads. i love bahrain sign/lamposts,boards, very neat!",0.7,0.831
"Neutral","Please, please more comments from the grannies. They tell it as it is!!",0,0.635
"Neutral","Has this been proven? Oddly roniugh I had alot less colds this year...",0.1,0
"Neutral","@RadiationReservoir Lmao im black, i do that shit too. You dont even notice ur doin it till someone points it out, ahaha.",-0.1,-0.039
"Neutral","Nice, but the problem is if ever i will need to actually give someone CPR, i really dont wana be singing or thinking about ""Another one bites the dust"" LOL!",-0.5,0.645
"Positive","Hey old friend....This is sooo funny!",0.7,0.493
"Neutral","Kind of a sedate sax player. Still good, but no skerik.",0.2,-0.214
"Positive","Aren't they're something! love them.",0.5,-0.566
"Negative","Difficult to believe that Prince ""thicker than a whale omelette"" George will go on to become stepfather to a talking mouse, and one of the most brilliant diagnosticians in the world.",0.6,0.38
"Neutral","The name is at the beginning of each song as it is mixed in.",0,0
"Neutral","Greek 2 year bonds hit 20%, and the ten year is over 11%. The euro and dollar are probably going 1:1 before this mess is over.",-0.1,-0.361
"Positive","Action comedy! w00t!",0.6,0.742
"Positive","One of the few human treasures left, and one of the even fewer handful of American heroes still alive.",0.5,0.827
"Neutral","Yeh khitaab bohut kamal ki hai...sab bhag gaye room se hehe",0.6,0
"Positive","One of my favorite Wayne Watson songs. Loyd, you have such an amazing voice.",0.6,0.778
"Positive","I went to prom/afterprom and won $100 :D",0.6,0.791
"Neutral","@NaomiXTC once every 3-4 weeks, in the in between time i paint them myself.",0,0
"Positive","Sweet.",0.7,0.459
"Neutral","nice to see them shake hands",0.4,0.273
"Neutral","is there an app like this fore writing?I write alot of thoughts down and I don't want people reading them",0.1,0.313
"Neutral","Just follow this link and discover how you can make a 100% free? living!lovefreestuff.webs",0.3,0.556
"Neutral","@JUSTaSTEPPINGstone i cant tell either",-0.1,0
"Neutral","$650",0.1,0
"Positive","This is good !",0.7,0.493
"Positive","dude this was a great show on PBSi rather want to watch NCIS or star trek or wishbone.",0,0.66
"Neutral","i got it on video there should be no question that the old man and the woman and the hero from the stands are at fault",0.2,-0.077
"Positive","Wow...AWESOME.",0.7,0
"Negative","How can a God who demands killing be a god of mercy?",0,0.077
"Positive","i wasnt keen on david tennant leaving, but when i saw matt smith in the first episode of series 5 tonight, i have fallen in love with him ha. wierd i know but, i suddenly want to watch everything he's been in so im starting here :L:L:L whos in the same possition:L?",0,0.761
"Positive","nice...",0.4,0.421
"Positive","MY Disney,.good disney. Disney EVERYONE could Relate to.",0.3,0
"Neutral","@iggy35 Try making her feel like a queen and she will do anything for you, King.",0.2,0.361
"Neutral","whos the tune by ??",-0.2,0
"Negative","@howardmciii , thats a matter of opinion. So what it was an academy award nominee. The movies he named describe the hood, they represent the inner city, the black community. The acting,directing and motion picture were better in Rebound,that's how it is",0,0.758
"Neutral","Cliff Edwards!",0.2,0
"Positive","I just got this pedal today and it is KICKASS",0,0
"Positive","Love that color!!!!",0.7,0.748
"Positive","That is an excellent suggestion, I will implement that one as soon as I can.",0.8,0.572
"Positive","Man, just watched this, nice work and awesome shots. Love the music too!",0.8,0.908
"Negative","that guy is nuts goin at it with a wool pad!!",-0.5,-0.437
"Neutral",".... But I never can think of the right thing to say until everybody's gone home...Was reminded of this famous line of dialogue today -- unreal how great Hollywood was when it was. Conservatism even makes better comedies. Ryskind was a conservative and Obama could learn a thing or two from this film...",0.2,0.933
"Neutral","Max, Max, Max...",0.2,0
"Positive","Excellent! Brooke Smith",0.4,0.611
"Neutral","It's always amusing and interesting to see ""Fingers"". You never know what'll happen next. ""Next""....",0.2,0.649
"Neutral","@kingbharvey did you let mayweather cum in your mouth?",-0.1,0
"Positive","This is more than cool!!!! Great animation! Brings literature to life! Truly shows how amazing the human body is.",0.7,0.941
"Positive","Great song! ty for sharing",0.9,0.869
"Positive","Wow... whoever edited this did a great job... and that guy on the piano aint too bad either. :)",0.9,0.929
"Positive","papi jump is hood!!",0.2,0
"Negative","Surprisingly enough, the one thing i cant get passed is a Badass raider. He just WILL NOT die.",0.4,0.775
"Negative","@rumblefish1988 too bad they are weak. running is useless if you want to be strong",-0.6,-0.681
"Negative","i was referring to philo farnsworth, u aching great cock",0.7,0.077
"Positive","this song is amazing.",0.7,0.586
"Neutral","I want to sync cubase SX to a Tascam atr 60 8-Track reel to reel. Cubase sends out a smpte code how do you get the tape machine to act as a slave? Do you know?",-0.1,0.168
"Positive","You're welcome",0.3,0.459
"Negative","...umm i hate tht voice pllllz change itz annoying..and scary",-0.4,-0.785
"Negative","adam suck my cock.....",-0.6,-0.542
"Positive","Thank you.",0.7,0.361
"Positive","Cool song x3 Thanks for the link!",0.8,0.67
"Positive","i believe it's A-DOE annie. haha.",0.3,0.459
"Positive","My Favorite group and educational at the same I'm doing GCSE History! It's not just the fact that Abba are my favourite group that makes me like it, all the information is easy to understand as well! I think all these History revision Vids are going to be very helpful. Thanks!",0.7,0.949
"Positive","cool very cool",0.6,0.598
"Negative","I deal with this every day in the United States. this is a crappy country. China rules.",0,-0.202
"Positive","picked up just cause 2 and resonance of fate this weekend in the Uk. haven't touched just cause. resonance of fate rocks. :}",0.1,0.477
"Neutral","SithLord is correct, treadstone is CIA based, out of Langley VA",0.3,0
"Negative","0:02 Was that a soaking wet condom wrapper on the ground?",-0.8,0
"Negative","Seems like the last few stories like these, like the girl in her dorm getting swastikas on her door, all have turned out to be the person doing it themselves.They set up a camera to catch the anti-semite, and instead found her drawing it, then calling and crying saying someone was going to kill her.",-0.2,-0.318
"Neutral","very well done for a none economics person - informative and not boring - Thx",0.8,0.306
"Positive","8:48 omg the girl on the righttt..",0.1,0
"Positive","SING CHRIS!",0.2,0
"Neutral","where was this video shot?",-0.2,0
"Negative","Who cares if the Japanese are hunting whiles? I don't know if greenpeace gets government backing at all or not, but I don't want my tax dollars supporting this rogue organization. If so, I'm going to write my senator.",0,0.677
"Neutral","@swu880 hell there are so many ways of making a stable structure such that it could stand with half its columns, or even a quarter of its support columns, or even lessits all about REDUNDANCY & good design",0.3,0.296
"Positive","awesome.",0.6,0.625
"Positive","beautiful, really ""sounds"" like absinthe",0.4,0.77
"Positive","What's wrong with the ""Audishness""you can get the similar look with less money and better fuel economy. I want this car!",0.1,-0.117
"Positive","lol",0.3,0.519
"Positive","Lol i love it .. Go to BestBangz {d 0t] com if you like hotties too ^^",0.6,0.876
"Positive","Thank you sooo much I am glad that you loved it!!! Yeah that was actually what i was hoping people would realize by watching this video and i am really glad you did!! Yay thanks! lol!! Jim is definately everything to Mel no matter what!!! ",0.6,0.981
"Positive","Steve hit #20 in Billboard, 8-22-87. No offense here, but, God bless!",0.1,0.791
"Negative","dude. you can see your buddy's reflection in your sunglasses. don't be a douche and try to BS the world.",-0.1,0.276
"Neutral","ditto",0.1,0
"Neutral","i am trying to look for a diffrent kind of halalujha song bsides shrek",0,0
"Negative","Its good to know that they are populating the earth, more then what it already is. Screw their religion, screw the duggars, and screw any organization that gives them money for spitting out their hatch lings...I hope all 20 of their kids die in a plane accident, now.....THAT would be a hell of a story LOLOL!",-0.3,-0.852
"Positive","Oh yeah, I can see it when you first spin it. Thx.",0.4,0.572
"Neutral","wat a come back",0.2,0
"Positive","My favorite scarf is the cheetah print scarf ! it's soo adorable and you can wear it in so many ways ! (:",0.9,0.875
"Neutral","So thats what it was supposed to sound like at the jam night? Well done for remembering it, shall have to give it another bash sometime.",0.1,0.557
"Neutral","Exactly, this is a song about obsession not romance. The love was one sided.",0.3,-0.827
"Neutral","buen tuto y buena inspiracion",0.5,0
"Positive","maybe my favourite video ever",0.4,0
"Neutral","2-5-10 USDA announced its dropping NAIS...for the time being anyway...just read that at Farm and Ranch Freedom.",-0.2,0.637
"Neutral","minh minh ki qua! Hac Cai luong di! LOL!",0,0.715
"Neutral","maan wer h?rt denn bitte Jan Delay? xD",0,0.423
"Positive","I enjoy this",0.7,0.494
"Positive","Awesome vid... I had forgotten all about this... it's great...",0.7,0.807
"Neutral","wow norweigen sounds a lot like english",0.2,0.743
"Negative","Sieg Heil From Bristol.Clean Again The Streets of Europe of scum!Heil Third Reich!14/88. Britain!.",0,0
"Neutral","Theres a hole in my bucket, dear lisa,dear lisa, theres a hole in my bucket dear lisa a hole",-0.2,0.637
"Positive","this guys also played george washington in the TV series george washington 2 the forging of a nation and movie George Washington. Im disappointed that he's not remembered for that particular role since he really did a fantastic job in it.",0.2,0.488
"Negative","u guys know what i hate u ur using a good stragie than people say ""ur a noob"" or they say ""ur cheating"" i just hate that",-0.1,-0.852
"Neutral","es muy bueno y muy sierto la perseverancia es la llave al exito animo",0.7,0
"Neutral","they should do a Morgan Freeman narration LOL",0.4,0.777
"Neutral","holy hell... i better stop bein a bad boy",0.3,-0.813
"Positive","I've had mine for 5 months and it works great and has done everything advertised. Don't know why people are complaining about this thing.",0.4,0.511
"Positive","thanks man",0.4,0.44
"Neutral","@BrownMatteo i wanted to move to japan for vehicle stuff but now i got a new reason",-0.1,0
"Positive","hey guys! comment like and sub!",0.1,0.474
"Positive","I hope Spielberg directs the Just Cause movie adaption. Every movie he does is a masterpiece! (Yes i was hired by him to say this)",0.6,0.875
"Neutral","Valid point.",0.1,0
"Negative","1:28, my God what an annoying voice.",0,-0.153
"Positive","I really adore this song.",0.9,0.598
"Positive","@Eccles345 Haha =P",0.3,0.649
"Positive","Brought back such wonderful memories from the Lahore of mid 60's",0.8,0.572
"Neutral","im better",0.1,0.44
"Negative","shoot the cameraman!",0.2,-0.4
"Positive","hey, r u ok? i'm sorry ur confused...BE NICE!!!",0.1,0.759
"Neutral","i think i was having trouble getting the sound right, not playing the riff",-0.1,-0.509
"Neutral","who is that lol",0.3,0.519
"Positive","Thanks! x",0.4,0.493
"Positive","A home with true character!",0.3,0.475
"Neutral","I don't know about this video. Do you habe any others that can back it up?",-0.1,0
"Positive","@wlin2w8 AHAHAHHAHAHAH! ;DDD",0.1,0
"Positive","She is truly stunning!",0.9,0.7
"Neutral","Don't use google! There are other search engines you can go through for the same info. Also there are host sites that will ""search"" for you. Maintaining your privacy for a small fee.Good Vid Bro!",0.1,0
"Negative","the amount of fear mongering over this on the tv lately is rediculous. this is no more fatal then seasonal flu. alot of these fatalities they report are people who died from other causes that just so happend to also have h1n1 at the time.",-0.5,-0.899
"Positive","very good",0.6,0.493
"Neutral","It is referring to the original Air Date",0,0.318
"Neutral","univision tiene a la gente inyectandole solo noticias bajeras ,pobres vendidos del govierno",-0.5,0
"Neutral","Ayo menk mez voch mekis chenk geradasum mi hat hay eyin uzum toxnel aynel tangaranum bays chen karox ayn anel kani vor mez HAY en asum.",0.1,0
"Positive","I love FFF!",0.7,0.67
"Positive","AWSOME SONG why no coments if such a good song",0.8,0.178
"Positive","wow just wow",0.4,0.822
"Neutral","I wanted to see that Weakest Link episode..great upload anyway!",0.7,-0.556
"Neutral","hes good in pes6 though",0.3,0.44
"Positive","VERY NICE. could've added an extra video for a higher guitar on the very last part, but other than that, excellent job.",0.8,0.833
"Neutral","the music brings back memories!",0.6,0
"Positive","i now got frances ashman and this song woop woop",0.7,0
"Positive","Massive rattings to the person upz dis still, tinie tempah smashes IT but i got Afew Of his VIDEOS LEAKED ON MA PAGE NOW, I THINK MORE LADIES WILL LIKE IT TO TELL THE TRUTH BEHIND THE SCENES. Check it. Click ME NOW!!!.",0.1,0.823
"Neutral","Uzywalam tych szamponow i odzywek John Frieda do wlosow blond i jestem zadowolona!!!!",0,0
"Positive","say bye bye Autotune lol...Autotune is still good though...for that electronic style in the vocals...but but this shit is the bomb! too damn realistic forreal",0.6,-0.92
"Positive","I remember my housemates and I crowding around my television to watch this; we loved it, it was such a good spin-off.",0.5,0.778
"Neutral","Food is food.",0,0
"Neutral","well thats just the shake pulling through the mouthpiece.learn to roll the mouthpiece of your blunts and joints better and you won't have this problem.sometimes i put a few little stems in the mouthpiece to keep any buds from getting through",0,0.511
"Negative","No shit it altars weather patterns ` this caused the earthquake in China in 2008 ` the earthquake sure did grab attention away from the brutality in Tibet.",-0.6,0.058
"Neutral","they need to put this on itunes.",0.3,0
"Negative","@GregoryD57 Haha your lack of irony is hilarious mate.",0,0.494
"Neutral","Im Ancraophobia",0.1,0
"Positive","she is wearing a thong...hawt!",0.2,0
"Neutral","lol wth i just noticed the guy in the background going "" ughh ugh ugh ughh""",-0.8,-0.686
"Neutral","he lifts the stone up as if it weighs 10 pounds",0.2,0
"Positive","I wonder how many people watch this show. Uh.....hopefuly EVERYBODY!",0,0
"Positive","The beginning was the best so wishie washie spreeso washy washy!!!!I about died for that",0.2,0.415
"Positive","God be with her during this time of pain. I pray for her and Michael Jackson's family to have strength and find comfort through the memories they will mever loose. God Bless xxxx",0.4,0.813
"Positive","my favorite track from the new CD...it's awesome",0.8,0.796
"Positive","ROFL",0.2,0.572
"Positive","The chord move from the bridge into the new solo just makes my skin crawl. I love it!",0.3,0.67
"Neutral","that candy apple red and rosewood is growing on me.",0.2,0.178
"Neutral","The boost force direction is opposite the camera moving direction.",0,0.402
"Negative","words can't describe how much I hate this song, and how I nearly kill myself singing it in Lego Rock Band",-0.5,-0.856
"Neutral","wait who sings this.........? XD",0.1,0.669
"Positive","Every song he ever sings makes you feel like you are really there and can or have lived in that moment.",0.5,0.361
"Neutral","hi sunny. i live on the east coasts long island. i have about ten black wallnut trees on my horse farm and i just went out to pick a bout 100 today and now i need to crack them. last year, i had a harvest of about 1,000,000 and my italian grandmother came up with a new way to crack open the wallnut. what she did was put it in a sock and beat them with a hammer. try this idea and tell us what you think. is it easer than the nut cracker",0.3,0.421
"Positive","Why I love my knight xD",0.3,0.838
"Negative","The film is good but the message is very obvious and biased. It's basic premise is to honor the draft regardless the price or the mission. Long live the republic, but may the empire it has become become may never sustain the agony it's inflicted on the world.",-0.5,0.735
"Neutral","You should use your knight to search vats and other things that could possibly hurt you because he can take the most punishment.",0.5,-0.784
"Positive","Purely Adorable!!!!",0.9,0.687
"Positive","this match was way better than mike mo vs. billy marks",0,0.44
"Positive","I still miss Louie Kaboom!",0.2,-0.224
"Positive","Vary nice work. Excellent detail, I want one too just a wee bit bigger. I can here myself from DX land cool.",0.7,0.521
"Positive","They need a higher rating system for this one. Absolutely amazing in every way! Quite possibly the most original concept on youtube. Keep up the good work.",0.4,0.871
"Neutral","Why shouldn't evey wound hit him?",-0.6,0
"Negative","WTF im trying to make pancakes not a bomb!",-0.8,-0.493
"Negative","wtf is this... proberly the worst shit i have ever herd...",-0.8,-0.91
"Negative","sorry but pittiful",0,-0.039
"Negative","I have no idea what ""yes, idiot"" is supposed to mean. Ditto goes for your ""YOU!"" comment.As for ""cock"" meaning both, then it would be equivalent to our ""dick"", which is generally not bleeped when used to refer to a person.",-0.5,-0.79
"Negative","Heavily edited with ads......there is like a half hour missing from this movie WTF? What a rip-off!",-0.7,-0.673
"Positive","@AttitudeEra9701 hell yea i peep dat 2",0,-0.681
"Neutral","You should be able to do this in CompositeLab. We filmed the actor against a greenscreen, then animated him disappearing into the floor. A displacement filter was applied to create the wibbly effect. The full DVD has more info.The easiest way to apply a mask to grading is to use a grade object, which can be found in the 'effects browser'. This can then be masked like any other object.",0.2,0.77
"Neutral","eh, blue beam already, china must be a bigger threat than I thought.",-0.3,-0.527
"Positive","Thank you! This helped me on my excel homework !!!!!! -[A thankful college student]",0.7,0.885
"Neutral","What the music to this dance?",-0.1,0
"Positive","Nice video 5 stars",0.6,0.421
"Neutral","How about a Dodgers v.s Giants inning man?",-0.5,0
"Positive","Noel is now a better singer than Liam, no question about that.His voice has remained strong ever since the 90's.What a man Noel is!",0.4,0.648
"Negative","IRAN delivers TERRORIST ATTACKS through out the world!!!",0.6,-0.899
"Positive","Totally agree man. The Knicks (and the whole league, for that matter) need to play with more heart and less B.S. Get the Knicks Complete History on DVD, it's great to go back and watch the old playoff games...so many great memories!",0.1,0.93
"Neutral","@alazrenda9 you could hear her voice is kind of raspy when you use your voice to much it gets like that",0.1,0.361
"Neutral","werd my friend werd",-0.1,0.494
"Neutral","I thought I saw a Pussy Cat! I did, I did...",0.1,0
"Positive","I'm just...over the moon.",0.2,0
"Negative","Tabs PLEASE dude. Thanks lol",0.3,0.851
"Neutral","Sometimes?blak12345, Sega always rules. -_-",-0.1,0
"Neutral","funny thing iz his singing isnt really dat bad so i dont undastand why he would use autotune",-0.4,0.715
"Neutral","Thomas Jefferson - The tree of liberty must be refreshed from time to time with the blood of patriots and tyrants.",0.5,0.527
"Positive","This reminds me of the book ""Longitude"" by Dava Sobel about the invention of the marine chronometer...great book!",0.7,0
"Neutral","The music start at 4:19 Nice Song If You From South Central",0.6,0.421
"Neutral","They used Shawn's real name, Shoot Sketch!",0.6,-0.4
"Neutral","Yeah. Terrible driving happens to everyone that has Mario Kart. (When they first play it.)",-0.1,0.128
"Positive","WHATS THE SONG @ 1:00 @??????????",-0.4,0
"Positive","Love eva!!! Does she say parker in an english accent at 2:10? lol",0.5,0.856
"Neutral",",,ah right,he,s a chef /",0.3,0
"Neutral","bonek - aksi barbar, sebuah kemuduran peradaban",0,0
"Neutral","@jaguarfast1 he sings ""theres gotta be more"" at the bridge",0.2,0
"Neutral","Dont you ever wonder how Lil John gets his voice like that? O_e It scares me sometimes!",0.1,0.101
"Positive","Nice Video.",0.7,0.421
"Neutral","I belong to a secret group which is connected to the Catholic Church. It's called, ""The Knights of Columbus.""",0.4,0
"Positive","You are so sexy! And I like how honest you are, "" not like the one you have at the restaurant but it's pretty good enough."" Wont cheat. Marry me and cook for my fat ass!",0.3,0.898
"Neutral","crazy",0.1,-0.34
"Positive","Your videos are charming! I'm completely in love with your show! Thanks for taking the time to share :)",0.6,0.951
"Neutral","Go online till sunday morning then go too sleep",0,0
"Positive","But what if u DO like it? i think this song, or at least the way u sing it is wonderful and beautiful and awesome lol",0.7,0.979
"Positive","great song, great video. thank you!",0.6,0.9
"Neutral","Are the speakers weak? How is the music player?",-0.2,-0.504
