Word	Malayalam-ml	Valence	Arousal	Dominance
insoluble	ലയിക്കില്ല	0.439	0.290	0.414
insolvency	വഞ്ചന	0.323	0.431	0.300
insolvent	പാപ്പരത്വം	0.230	0.481	0.318
insomnia	ഉറക്കമില്ലായ്മ	0.198	0.611	0.373
insomniac	ഉറക്കമില്ലായ്മ	0.231	0.367	0.329
inspect	പരിശോധിക്കുക	0.479	0.603	0.793
inspection	പരിശോധന	0.459	0.630	0.718
inspector	ഇൻസ്പെക്ടർ	0.418	0.580	0.852
inspiration	പ്രചോദനം	0.938	0.600	0.779
inspirational	പ്രചോദനം	0.927	0.720	0.810
inspire	പ്രചോദിപ്പിക്കുക	0.918	0.627	0.759
inspired	പ്രചോദനം	0.967	0.702	0.736
instability	അസ്ഥിരത	0.177	0.760	0.353
install	ഇൻസ്റ്റാൾ ചെയ്യുക	0.630	0.583	0.736
installation	ഇൻസ്റ്റാളേഷൻ	0.656	0.469	0.759
installment	ഇൻസ്റ്റാൾമെന്റ്	0.619	0.396	0.483
instance	ഉദാഹരണം	0.547	0.450	0.558
instant	തൽക്ഷണം	0.766	0.454	0.554
instantaneous	തൽക്ഷണം	0.750	0.500	0.585
instantaneously	തൽക്ഷണം	0.656	0.640	0.600
instigate	പ്രേരിപ്പിക്കുക	0.278	0.765	0.642
instigation	പ്രചോദനം	0.323	0.769	0.648
instill	കളയുക	0.562	0.490	0.618
instinct	സഹജബോധം	0.771	0.602	0.642
instinctive	സഹജമായ	0.752	0.575	0.694
institute	ഇൻസ്റ്റിറ്റ്യൂട്ട്	0.604	0.480	0.807
institution	സ്ഥാപനം	0.580	0.311	0.790
instruct	പ്രബോധനം നൽകുക	0.729	0.490	0.833
instructed	ഉപദേശിച്ചു	0.740	0.388	0.722
instruction	പ്രബോധനം	0.656	0.434	0.736
instructional	നിർദ്ദേശിക്കൽ	0.698	0.500	0.773
instructions	നിർദ്ദേശങ്ങൾ	0.582	0.302	0.556
instructive	വിശദമായി	0.583	0.420	0.643
instructor	പരിശീലകൻ	0.771	0.490	0.782
instrument	ഉപകരണം	0.562	0.537	0.655
instrumental	ഉപകരണം	0.740	0.472	0.647
instrumentalist	ഇൻസ്ട്രുമെന്റലിസ്റ്റ്	0.656	0.540	0.740
instrumentality	instrumentality	0.637	0.510	0.618
insubordination	അസന്തുലിതാവസ്ഥ	0.281	0.775	0.634
insufferable	അശക്തമായ	0.220	0.784	0.291
insufficiency	അപര്യാപ്തത	0.115	0.431	0.210
insufficient	അപര്യാപ്തമാണ്	0.188	0.380	0.093
insufficiently	അപര്യാപ്തമാണ്	0.147	0.509	0.198
insular	ഇൻസുലാർ	0.531	0.426	0.465
insulate	ഇൻസുലേറ്റ്	0.365	0.358	0.286
insulated	ഇൻസുലേറ്റ് ചെയ്തു	0.208	0.265	0.304
insulation	ഇൻസുലേഷൻ	0.245	0.327	0.264
insulin	ഇൻസുലിൻ	0.429	0.472	0.375
insult	അപമാനിക്കുക	0.085	0.831	0.389
insulting	അപമാനിക്കൽ	0.094	0.840	0.412
insurance	ഇൻഷ്വറൻസ്	0.714	0.308	0.825
insure	ഇൻഷ്വർ ചെയ്യുക	0.700	0.415	0.698
insurgent	കലാപകാരികൾ	0.235	0.735	0.660
insurmountable	അസാധാരണമായ	0.620	0.627	0.737
insurrection	കലാപം	0.229	0.706	0.582
intact	ആകസ്മികമായി	0.716	0.212	0.602
intake	കഴിക്കുക	0.604	0.527	0.442
intangible	അപ്രതീക്ഷിതമായ	0.525	0.480	0.473
integer	പൂർണ്ണസംഖ്യ	0.573	0.327	0.595
integral	സമഗ്രമായ	0.590	0.337	0.615
integrate	സമന്വയിപ്പിക്കുക	0.729	0.390	0.700
integration	സംയോജനം	0.771	0.480	0.737
integrity	സമഗ്രത	0.865	0.413	0.848
intellect	ബുദ്ധി	0.844	0.418	0.870
intellectual	ബൗദ്ധിക	0.906	0.455	0.845
intelligence	ബുദ്ധി	0.833	0.587	0.885
intelligent	ബുദ്ധി	0.917	0.541	0.868
intelligibility	വിവേകം	0.740	0.481	0.689
intelligible	സുബോധം	0.635	0.480	0.691
intend	ഉദ്ദേശിക്കുക	0.562	0.520	0.519
intended	ഉദ്ദേശിച്ചിട്ടുള്ള	0.406	0.542	0.587
intending	ഉദ്ദേശിക്കുന്നത്	0.510	0.567	0.597
intense	തീവ്രമായ	0.592	0.774	0.679
intensely	തീവ്രമായി	0.694	0.846	0.750
intensify	തീവ്രമാക്കുക	0.604	0.870	0.737
intensity	തീവ്രത	0.622	0.930	0.952
intensive	തീവ്രമായ	0.570	0.842	0.776
intent	ഉദ്ദേശത്തോടെ	0.550	0.481	0.500
intention	ഉദ്ദേശം	0.531	0.480	0.636
intentional	മനപൂർവ്വം	0.650	0.615	0.750
intentionally	മനഃപൂർവം	0.450	0.676	0.696
inter	inter	0.510	0.375	0.466
interact	സംവദിക്കുക	0.822	0.690	0.759
interaction	ഇടപെടൽ	0.646	0.735	0.750
interactive	ഇന്ററാക്ടീവ്	0.727	0.811	0.770
intercede	ഇടപഴകുക	0.582	0.577	0.630
intercept	തടസ്സം	0.221	0.660	0.676
interception	തടസ്സം	0.327	0.673	0.643
intercession	മദ്ധ്യസ്ഥത	0.503	0.486	0.598
interchange	കൈമാറ്റം	0.615	0.527	0.565
interchangeable	പരസ്പരം മാറ്റാവുന്നവ	0.615	0.459	0.526
interchanged	ഇന്റർചേഞ്ച്	0.396	0.472	0.434
intercom	ഇന്റർകോം	0.623	0.429	0.453
intercourse	ബന്ധം	0.551	0.608	0.557
interdependence	പരസ്പരബന്ധം	0.608	0.618	0.639
interdependent	പരസ്പരബന്ധിതമാണ്	0.410	0.482	0.598
interdiction	വിരോധാഭാസം	0.337	0.500	0.585
interest	പലിശ	0.780	0.667	0.618
interested	താത്പര്യം	0.750	0.529	0.725
interesting	രസകരം	0.927	0.726	0.731
interface	ഇന്റർഫേസ്	0.643	0.357	0.600
interfere	ഇടപെടാൻ	0.323	0.714	0.471
interference	ഇടപെടൽ	0.396	0.736	0.357
interferometer	ഇന്റർഫെറോമീറ്റർ	0.510	0.510	0.517
intergalactic	ഇന്റർഗാലക്സിക്	0.562	0.661	0.741
interim	ഇടക്കാല	0.604	0.400	0.524
interior	ഉൾഭാഗം	0.618	0.157	0.462
interject	ഇടപെടൽ	0.333	0.648	0.658
interlocutory	ഇന്റർലോക്കൂട്ടറി	0.490	0.500	0.527
interlude	ഇടവിട്ട്	0.470	0.417	0.377
intermediary	ഇടനിലക്കാരൻ	0.427	0.510	0.643
intermediate	ഇന്റർമീഡിയറ്റ്	0.480	0.368	0.400
interment	ഇടവേള	0.235	0.608	0.346
interminable	സംസ്കൃതം	0.327	0.481	0.561
intermission	ഇടവേള	0.490	0.360	0.402
intermittent	ഇടയ്ക്കിടെ	0.337	0.565	0.436
intern	പരിശീലകൻ	0.459	0.460	0.392
internal	ആന്തരിക	0.439	0.349	0.423
internally	ആന്തരികമായി	0.615	0.400	0.616
international	അന്താരാഷ്ട്ര	0.800	0.519	0.702
internet	ഇന്റർനെറ്റ്	0.760	0.462	0.755
internship	ഇന്റേൺഷിപ്പ്	0.590	0.510	0.482
interoffice	ഇന്റർഫീസ്	0.439	0.375	0.556
interpolate	ഇടവേള	0.460	0.490	0.569
interpolation	ഇടവേള	0.419	0.506	0.528
interpret	വ്യാഖ്യാനിക്കുക	0.646	0.625	0.673
interpretation	വ്യാഖ്യാനം	0.677	0.594	0.620
interpreter	ഇന്റർപ്രെറ്റർ	0.708	0.461	0.596
interpretive	വ്യാഖ്യാനങ്ങൾ	0.531	0.549	0.595
interrelated	പരസ്പരം ബന്ധപ്പെട്ടിരിക്കുന്നു	0.615	0.469	0.592
interrogate	ചോദ്യം ചെയ്യുക	0.323	0.808	0.680
interrogation	ചോദ്യം ചെയ്യൽ	0.302	0.827	0.657
interrupt	തടസ്സപ്പെടുത്തുക	0.210	0.635	0.509
interrupted	തടസ്സപ്പെട്ടത്	0.281	0.559	0.333
interrupting	തടസ്സം	0.146	0.593	0.509
interruption	തടസ്സം	0.184	0.632	0.425
interrupts	തടസ്സപ്പെടുത്തുക	0.204	0.545	0.389
intersect	കടന്നുപോകുക	0.521	0.510	0.480
intersection	കവല	0.344	0.541	0.658
interstate	ഇന്റർസ്റ്റേറ്റ്	0.520	0.443	0.600
interstellar	നക്ഷത്രാന്തരീക്ഷം	0.708	0.702	0.622
interstitial	ഇന്റർസ്റ്റീഷ്യൽ	0.333	0.471	0.534
interval	ഇടവേള	0.510	0.284	0.400
intervene	ഇടപെടുക	0.520	0.677	0.768
intervening	ഇടപെടൽ	0.398	0.627	0.442
intervention	ഇടപെടല്	0.388	0.696	0.689
interview	അഭിമുഖം	0.573	0.770	0.619
interviewer	അഭിമുഖം	0.552	0.736	0.816
interworking	ഇടപെടൽ	0.552	0.587	0.691
intestate	കുടൽ	0.459	0.467	0.415
intestinal	കുടൽ	0.357	0.531	0.370
intestine	കുടൽ	0.343	0.450	0.380
intestines	കുടൽ	0.292	0.547	0.398
intimacy	അടുപ്പം	0.857	0.802	0.558
intimate	അടുത്തത്	0.724	0.598	0.393
intimately	അടുത്തത്	0.806	0.573	0.590
intimation	അറിയിപ്പ്	0.406	0.673	0.500
intimidate	ഭീഷണിപ്പെടുത്തുക	0.210	0.804	0.632
intimidated	ഭീഷണിപ്പെടുത്തുന്നു	0.177	0.663	0.208
intimidating	ഭീഷണിപ്പെടുത്തൽ	0.229	0.790	0.708
intimidation	ഭീഷണി	0.177	0.791	0.644
intolerable	അസഹനീയമായ	0.146	0.660	0.439
intolerance	അസഹിഷ്ണുത	0.052	0.704	0.520
intolerant	അസഹിഷ്ണുത	0.135	0.676	0.509
intonation	സംക്ഷേപന	0.615	0.442	0.598
intoxicated	ലഹരിചെയ്തു	0.079	0.824	0.246
intoxicating	മദ്യപാനം	0.224	0.760	0.464
intoxication	മദ്യപാനം	0.323	0.710	0.400
intracranial	വക്രമായ	0.281	0.602	0.553
intractable	ഇല്ലാത്ത	0.154	0.694	0.302
intramural	intramural	0.490	0.464	0.447
intravenous	നട്ടെല്ല്	0.357	0.538	0.458
intrepid	വല്ലാത്ത	0.753	0.696	0.637
intricate	സങ്കീർണ്ണമായ	0.559	0.704	0.500
intrigue	ഗൂഢാലോചന	0.362	0.830	0.327
intriguing	ആകസ്മികമായ	0.422	0.713	0.462
intrinsic	ആന്തരികമായ	0.406	0.471	0.526
intrinsically	സഹജമായി	0.459	0.382	0.538
intro	ആമുഖം	0.510	0.331	0.657
introduce	പരിചയപ്പെടുത്തുക	0.592	0.559	0.648
introduction	ആമുഖം	0.612	0.413	0.640
introductory	ആമുഖം	0.635	0.368	0.593
introspection	ആത്മവിശ്വാസം	0.603	0.337	0.575
introspective	ആമുഖമാണ്	0.552	0.360	0.471
intrude	നുഴഞ്ഞുകയറുക	0.058	0.735	0.480
intruder	നുഴഞ്ഞുകയറുക	0.146	0.740	0.324
intrusion	നുഴഞ്ഞുകയറുക	0.293	0.641	0.670
intrusive	അത്യധികമായിരിക്കും	0.461	0.607	0.538
intubation	ഇൻകുബേഷൻ	0.276	0.598	0.526
intuition	ഇൻക്യുഷൻ	0.857	0.508	0.602
intuitive	അവബോധം	0.771	0.573	0.690
intuitively	അചിന്തപരമായി	0.670	0.561	0.648
inundation	വെള്ളപ്പൊക്കം	0.177	0.780	0.455
invade	ആക്രമിക്കുക	0.408	0.892	0.714
invader	അധിനിവേശം	0.200	0.827	0.618
invalid	അസാധുവാണ്	0.180	0.330	0.255
invalidate	അസാധുവാക്കുക	0.315	0.480	0.397
invalidation	അസാധുവാക്കൽ	0.181	0.490	0.278
invalidity	അസ്ഥിരമാണ്	0.186	0.394	0.158
invaluable	വിലമതിക്കാനാവാത്ത	0.740	0.500	0.745
invariably	സ്ഥിരമായി	0.458	0.365	0.550
invasion	അധിനിവേശം	0.271	0.843	0.808
invasive	ക്ഷീണിച്ചിരിക്കുന്നു	0.194	0.730	0.598
invent	കണ്ടുപിടിക്കുക	0.719	0.689	0.833
invention	കണ്ടുപിടിത്തം	0.714	0.577	0.811
inventive	കണ്ടുപിടിത്തം	0.780	0.627	0.721
inventor	കണ്ടുപിടുത്തക്കാരൻ	0.781	0.667	0.847
inventory	വസ്തുവിവരണം	0.594	0.463	0.490
inverse	വിപരീതം	0.459	0.337	0.319
inversely	വിപരീതമായി	0.286	0.418	0.351
inversion	വിപരീതം	0.602	0.630	0.772
invert	വിപരീതം	0.510	0.585	0.706
inverted	വിപരീതദിശയിലാണ്	0.310	0.471	0.357
invest	നിക്ഷേപിക്കുക	0.650	0.663	0.682
investigate	അന്വേഷിക്കുക	0.640	0.500	0.781
investigation	അന്വേഷണം	0.531	0.592	0.820
investigative	അന്വേഷണം	0.562	0.600	0.704
investigator	അന്വേഷകൻ	0.615	0.509	0.779
investment	നിക്ഷേപം	0.720	0.592	0.745
investor	നിക്ഷേപകന്	0.794	0.655	0.791
invidious	ക്ഷമാപണം	0.112	0.650	0.364
invigorate	ഉന്മൂലനം ചെയ്യുക	0.821	0.798	0.831
invincible	അജയ്യമായ	0.867	0.853	0.914
invisibility	അദൃശ്യത	0.438	0.461	0.382
invisible	അദൃശ്യമാണ്	0.417	0.345	0.412
invitation	ക്ഷണം	0.802	0.549	0.647
invite	ക്ഷണിക്കൂ	0.745	0.655	0.611
inviting	ക്ഷണിക്കുന്നു	0.938	0.571	0.538
invocation	പ്രേരണ	0.430	0.620	0.673
invoice	ഇൻവോയ്സ്	0.480	0.380	0.474
invoke	വിളിക്കുക	0.583	0.740	0.579
involuntary	അശ്രദ്ധ	0.354	0.490	0.231
involution	വിപരീതം	0.296	0.420	0.407
involve	ഉൾപ്പെടുന്നു	0.694	0.490	0.728
involvement	ഇടപെടൽ	0.760	0.620	0.696
invulnerable	അപ്രതീക്ഷിതമായ	0.552	0.683	0.745
inwards	അകത്ത്	0.490	0.385	0.438
iodine	അയോഡിൻ	0.390	0.265	0.333
ion	അയോൺ	0.429	0.330	0.408
iota	ക്ഷമിക്കണം	0.344	0.385	0.314
irate	ക്ഷയിക്കുക	0.188	0.852	0.474
ire	NO TRANSLATION	0.198	0.740	0.575
iridescent	iridescent	0.602	0.588	0.539
iris	ഐറിസ്	0.708	0.275	0.380
irked	അനിയന്ത്രിതമായി	0.164	0.791	0.353
irks	അയാൾ പറഞ്ഞു	0.276	0.781	0.339
iron	ഇരുമ്പ്	0.448	0.351	0.679
ironclad	ഇരുമ്പുമൂലമാണ്	0.561	0.648	0.679
ironic	വിരോധാഭാസമാണ്	0.435	0.550	0.500
irons	ഇറിൻ	0.531	0.441	0.625
irony	വഞ്ചന	0.390	0.587	0.508
irradiation	റേഡിയേഷൻ	0.385	0.736	0.509
irrational	യുക്തിരാഹിത്യം	0.125	0.648	0.394
irrationality	യുക്തിവാദം	0.198	0.735	0.361
irreconcilable	അനിയന്ത്രിതമായ	0.146	0.667	0.375
irreducible	മാറ്റമില്ലാത്തവ	0.296	0.455	0.569
irrefutable	മാറ്റമില്ല	0.496	0.549	0.716
irregular	ക്രമരഹിതമായ	0.312	0.548	0.321
irregularity	അസ്ഥിരത	0.104	0.647	0.306
irregularly	ക്രമരഹിതമായി	0.292	0.565	0.397
irrelevant	അപ്രസക്തം	0.138	0.311	0.296
irreparable	പരിഹരിക്കാവുന്ന	0.061	0.530	0.430
irreplaceable	മാറാത്തത്	0.479	0.580	0.833
irrepressible	അപ്രസക്തമായ	0.512	0.566	0.745
irresistible	അപ്രതിരോധ്യമായ	0.823	0.833	0.839
irrespective	അപ്രതീക്ഷിതമായി	0.497	0.538	0.745
irresponsible	നിരുത്തരവാദപരമായ	0.177	0.680	0.241
irreverent	അകാരണമായി	0.191	0.694	0.634
irreversible	തിരിച്ചെടുക്കാൻ കഴിയില്ല	0.170	0.541	0.667
irrevocable	പിൻവലിക്കാനാവില്ല	0.296	0.560	0.712
irrigate	ജലസേചനം	0.272	0.458	0.490
irrigation	ജലസേചനം	0.259	0.426	0.426
irritability	ക്ഷോഭം	0.146	0.853	0.283
irritable	രോഷം	0.112	0.952	0.462
irritate	നിരാശപ്പെടുത്തുക	0.167	0.890	0.368
irritated	അസ്വസ്ഥനായിരുന്നു	0.210	0.816	0.281
irritates	അസ്വസ്ഥമാക്കുന്നു	0.173	0.810	0.295
irritating	പ്രകോപിപ്പിക്കരുത്	0.104	0.912	0.393
irritation	അസ്വസ്ഥത	0.073	0.833	0.496
island	ദ്വീപ്	0.745	0.347	0.432
isle	ഐൽ	0.667	0.390	0.443
islet	എസ്	0.612	0.314	0.367
isolate	ഒറ്റപ്പെടുത്തുന്നു	0.235	0.422	0.336
isolated	ഒറ്റപ്പെട്ട	0.221	0.356	0.255
isolation	ഒറ്റപ്പെടൽ	0.198	0.338	0.339
isomorphism	ഐസോമെർഫിസം	0.448	0.361	0.481
isothermal	സമൂലമായ	0.459	0.491	0.500
isotope	ഐസോട്ടോപ്പ്	0.429	0.404	0.407
issue	ഇഷ്യൂ	0.316	0.819	0.351
itch	ചൊറിച്ചില്	0.319	0.610	0.465
itching	ചൊറിച്ചിൽ	0.208	0.690	0.300
itchy	ചൊറിച്ചിൽ	0.334	0.726	0.296
item	ഇനം	0.594	0.270	0.465
itemize	ഇനം മാറ്റുക	0.459	0.527	0.518
items	ഇനങ്ങൾ	0.542	0.401	0.434
iterate	ഇതിനെതിരേ	0.449	0.460	0.440
iteration	ആവർത്തനം	0.531	0.449	0.486
iterative	രേവതി	0.429	0.420	0.500
itinerant	നാട്ടുകാരൻ	0.449	0.545	0.439
itinerary	യാത്ര	0.551	0.550	0.454
ivory	ആനക്കൊമ്പ്	0.625	0.235	0.566
jab	ജബ്	0.385	0.519	0.482
jabber	jabber	0.417	0.506	0.342
jack	ജാക്ക്	0.487	0.450	0.441
jackal	ജാക്കൽ	0.333	0.582	0.436
jackass	ജാക്കാസ്	0.188	0.692	0.279
jacket	ജാക്കറ്റ്	0.656	0.302	0.382
jackhammer	ജാക്കാംമീറ്റർ	0.199	0.690	0.519
jackpot	ജാക്ക്പോട്ട്	0.950	0.750	0.786
jackrabbit	ജാക്കാബിറ്റ്	0.625	0.379	0.344
jacks	ജാക്കുകൾ	0.490	0.400	0.505
jade	ജേഡ്	0.604	0.410	0.455
jaded	ക്ഷീണിച്ചിരിക്കുന്നു	0.255	0.560	0.400
jag	NO TRANSLATION	0.408	0.440	0.427
jagged	പൊട്ടിച്ചിരിച്ചു	0.082	0.462	0.213
jaguar	ജാഗർ	0.559	0.710	0.654
jail	ജയിൽ	0.094	0.898	0.480
jailbird	ജയിൽ ബേർഡ്	0.240	0.567	0.473
jailbreak	jailbreak	0.354	0.629	0.471
jailer	ജയിലർ	0.194	0.630	0.632
jailhouse	ജയിൽഹൗസ്	0.104	0.887	0.430
jalopy	ജലോപ്പി	0.396	0.436	0.337
jam	ജാം	0.510	0.548	0.318
jamboree	ജംബോർ	0.602	0.625	0.351
jammed	ഞെക്കി	0.235	0.817	0.411
jammer	ജാമർ	0.417	0.540	0.491
janitor	വൃത്തികെട്ട	0.510	0.350	0.527
janitorial	ജാനറ്റോറിയൽ	0.490	0.373	0.481
japan	ജപ്പാൻ	0.667	0.482	0.580
jar	ഭരണി	0.430	0.346	0.318
jargon	വാചാടോപം	0.333	0.548	0.404
jarhead	ജാർട്ട്ഹെഡ്	0.408	0.530	0.464
jarring	ജയിലിംഗ്	0.210	0.673	0.309
jasmine	മല്ലി	0.765	0.230	0.286
jasper	ജാസ്പ്പർ	0.480	0.425	0.402
jaundice	മഞ്ഞപ്പിത്തം	0.214	0.480	0.355
jaunt	യാൺ	0.808	0.451	0.500
java	ജാവ	0.459	0.321	0.343
javelin	ജാവലിൻ	0.385	0.481	0.465
jaw	താടിയെല്ല്	0.500	0.510	0.420
jawbone	താടിയെല്ല്	0.468	0.413	0.342
jaws	താടിയെല്ലുകൾ	0.385	0.528	0.455
jay	ജയ്	0.531	0.408	0.389
jazz	ജാസ്സ്	0.677	0.362	0.450
jazzy	ജാസ്സി	0.725	0.431	0.389
jealous	അസൂയ	0.173	0.855	0.345
jealousy	അസൂയ	0.146	0.783	0.481
jean	ജീൻ	0.602	0.444	0.364
jeans	ജീൻസ്	0.622	0.324	0.371
jeep	ജീപ്പ്	0.602	0.510	0.612
jeering	വഞ്ചന	0.266	0.792	0.380
jelly	ജെല്ലി	0.651	0.294	0.256
jellybean	ജെല്ലി ബീൻ	0.592	0.406	0.399
jellyfish	ജെല്ലിഫിഷ്	0.531	0.567	0.377
jenny	ജെന്നി	0.542	0.406	0.407
jeopardize	അപകടം ഉണ്ടാക്കുക	0.260	0.877	0.582
jeopardy	ജീപ്പ്	0.129	0.908	0.536
jerk	തമാശ	0.194	0.630	0.238
jerks	jerks	0.214	0.788	0.395
jerky	ജെർക്കി	0.233	0.538	0.358
jersey	ജെഴ്സി	0.594	0.317	0.411
jest	NO TRANSLATION	0.520	0.736	0.222
jester	എഴുന്നേറ്റ്	0.388	0.670	0.264
jesus	യേശു	0.800	0.400	0.620
jet	ജെറ്റ്	0.612	0.721	0.606
jetty	ജെട്ടി	0.602	0.480	0.453
jewel	ആഭരണം	0.827	0.588	0.625
jeweler	ആഭരണക്കാരൻ	0.760	0.482	0.500
jewelry	ആഭരണങ്ങൾ	0.823	0.569	0.597
jib	ജിബ്	0.406	0.420	0.413
jiff	NO TRANSLATION	0.576	0.404	0.349
jiffy	jiffy	0.410	0.444	0.380
jig	ഗംഭീരം	0.531	0.396	0.357
jiggle	ജഗ്ഗിൾ	0.592	0.673	0.518
jigsaw	jigsaw	0.594	0.582	0.519
jihad	ജിഹാദ്	0.323	0.660	0.444
jimmy	ജിമ്മി	0.579	0.321	0.311
jingle	നീന്തൽ	0.635	0.500	0.424
jinx	ജിങ്ക്സ്	0.337	0.582	0.373
jitters	ജറ്റ്സ്	0.224	0.918	0.192
jittery	അസൂയ	0.344	0.856	0.255
jive	ജീവ്	0.561	0.551	0.373
job	ജോലി	0.694	0.541	0.717
jobinterview	NO TRANSLATION	0.684	0.837	0.723
jock	ജോക്ക്	0.592	0.656	0.473
jockey	ജോക്കി	0.562	0.644	0.703
jockstrap	jockstrap	0.347	0.431	0.390
jog	ജോഗ്	0.510	0.708	0.519
jogger	ജോഗിർ	0.417	0.510	0.424
john	ജോൺ	0.562	0.382	0.327
join	ചേരുക	0.729	0.479	0.684
joined	ചേർന്നു	0.667	0.394	0.600
joining	ചേരുന്നു	0.755	0.469	0.685
joint	സംയുക്തം	0.615	0.392	0.566
jointly	സംയുക്തമായി	0.708	0.425	0.602
joke	തമാശ	0.704	0.610	0.316
joker	ജോക്കർ	0.771	0.760	0.416
joking	തമാശ	0.776	0.839	0.407
jolly	സുഖമില്ല	0.959	0.705	0.708
jolt	തമാശ	0.365	0.708	0.358
jornada	NO TRANSLATION	0.417	0.500	0.533
jot	jot	0.406	0.323	0.350
jour	NO TRANSLATION	0.479	0.394	0.415
journal	ജേണൽ	0.688	0.240	0.352
journalism	പത്രപ്രവർത്തനം	0.622	0.500	0.684
journalist	പത്രപ്രവർത്തകൻ	0.542	0.452	0.732
journalistic	പത്രപ്രവർത്തനം	0.696	0.449	0.495
journey	യാത്രയെ	0.910	0.702	0.625
journeyman	യാത്രക്കാരന്	0.765	0.596	0.741
joust	joust	0.520	0.528	0.551
jovial	ജോഡിയൽ	0.823	0.460	0.526
joy	സന്തോഷം	0.980	0.824	0.794
joyful	സന്തോഷകരമായ	0.990	0.740	0.667
joyous	സന്തോഷകരമായ	0.958	0.580	0.728
joyride	സന്തോഷം	0.694	0.550	0.500
joys	സന്തോഷം	0.981	0.643	0.651
jubilant	ജ്യൂബിലന്റ്	0.844	0.673	0.664
jubilee	ജൂബിലി	0.916	0.500	0.579
judge	ന്യായാധിപൻ	0.510	0.604	0.857
judged	വിധിച്ചു	0.281	0.686	0.722
judging	വിധിക്കുക	0.240	0.625	0.693
judgment	വിധി	0.396	0.600	0.816
judgmental	ന്യായവിധി	0.330	0.602	0.579
judicial	ജുഡീഷ്യല്	0.378	0.667	0.833
judiciary	ജുഡീഷ്യറി	0.439	0.740	0.897
judicious	ന്യായയുക്തമായ	0.630	0.432	0.772
judo	ജൂഡോ	0.500	0.790	0.612
jug	ചമ്മന്തി	0.520	0.250	0.213
juggle	മോഹിപ്പിക്കുക	0.594	0.760	0.426
juggler	ജങ്ക്ലർ	0.633	0.821	0.480
juggling	വിരൽത്തുമ്പുകൾ	0.562	0.874	0.346
jugular	കട്ടികൂടിയ	0.271	0.573	0.426
juice	ജ്യൂസ്	0.776	0.281	0.352
juicer	ജൂനിയർ	0.552	0.520	0.564
juicy	ചീഞ്ഞ	0.823	0.529	0.490
juju	NO TRANSLATION	0.541	0.519	0.206
juke	juke	0.500	0.491	0.410
jukebox	ജ്യൂക്സ്ബോക്സ്	0.699	0.540	0.429
jumble	ജമ്മു	0.357	0.613	0.331
jumbled	പൊട്ടിച്ചിരിച്ചു	0.292	0.602	0.445
jumbo	ജംബോ	0.680	0.552	0.447
jump	കുതിക്കുക	0.625	0.865	0.611
jump rope	ജമ്പ് കയറ്റം	0.656	0.660	0.368
jumper	ജമ്പർ	0.615	0.336	0.481
jumpsuit	ജങ്സുസെറ്റ്	0.562	0.365	0.361
jumpy	jumpy	0.353	0.810	0.216
junction	ജംഗ്ഷൻ	0.490	0.481	0.364
juncture	സാഹചര്യത്തിൽ	0.365	0.582	0.491
jungle	കാട്	0.500	0.510	0.481
junior	ഇളമുറയായ	0.635	0.343	0.304
juniper	ചൂരൽ	0.583	0.327	0.352
junk	ജങ്ക്	0.115	0.481	0.118
junket	ജങ്കറ്റ്	0.490	0.519	0.386
junkie	ജങ്കി	0.135	0.860	0.363
junky	ജങ്കി	0.385	0.595	0.343
junkyard	ജങ്ക്യാർഡ്	0.177	0.398	0.302
junta	ഭരണകൂടം	0.451	0.503	0.704
juridical	നിയമനിർമ്മാണം	0.520	0.431	0.873
jurisdiction	അധികാരപരിധി	0.480	0.580	0.820
jurisprudence	നിയമജ്ഞൻ	0.360	0.425	0.764
jurist	നിയമജ്ഞൻ	0.479	0.523	0.713
juror	ന്യായാധിപൻ	0.582	0.640	0.750
jury	ജൂറി	0.479	0.607	0.789
justice	നീതി	0.760	0.538	0.787
justifiable	ന്യായീകരിക്കാവുന്ന	0.786	0.413	0.821
justification	നീതീകരണം	0.622	0.444	0.661
justify	ന്യായീകരിക്കൂ	0.612	0.473	0.615
juststop	NO TRANSLATION	0.417	0.379	0.364
justthebeginning	NO TRANSLATION	0.573	0.451	0.481
jute	ചണം	0.551	0.216	0.295
juvenile	ജുവനൈൽ	0.678	0.490	0.526
juxtaposition	നീളം കൂട്ടുക	0.427	0.500	0.460
kaiser	കൈസർ	0.470	0.509	0.690
kale	കലെ	0.469	0.226	0.411
kaleidoscope	കാലിഡോസ്കോപ്പ്	0.615	0.439	0.580
kamikaze	kamikaze	0.204	0.810	0.645
kangaroo	കങ്കാരു	0.716	0.333	0.301
kanji	കാഞ്ചി	0.510	0.413	0.425
kappa	കാപ്പ	0.469	0.375	0.366
kaput	NO TRANSLATION	0.281	0.441	0.440
karaoke	കരോക്കെ	0.763	0.649	0.342
karate	കരാട്ടെ	0.562	0.833	0.598
karma	കർമ്മ	0.500	0.510	0.537
karmic	കർമ്മം	0.357	0.459	0.464
kayak	കയാക്ക്	0.592	0.600	0.364
kazoo	kazoo	0.503	0.462	0.411
kebab	കബാബ്	0.531	0.431	0.377
keel	കീൽ	0.344	0.417	0.419
keen	രസകരം	0.823	0.719	0.806
keep	സൂക്ഷിക്കുക	0.714	0.296	0.547
keeper	കീപ്പർ	0.612	0.457	0.773
keeping	സൂക്ഷിക്കുന്നു	0.592	0.280	0.723
keepsake	സൂക്ഷിക്കുക	0.740	0.307	0.491
