Word	French-fr	Valence	Arousal	Dominance
melee	mêlée	0.541	0.704	0.611
mellow	moelleux	0.633	0.069	0.265
melodious	mélodieux	0.932	0.530	0.587
melodrama	mélodrame	0.378	0.830	0.446
melodramatic	mélodramatique	0.235	0.692	0.368
melody	mélodie	0.847	0.434	0.405
melon	melon	0.461	0.231	0.271
melt	fondre	0.448	0.615	0.312
meltdown	effondrement	0.629	0.657	0.602
melting	fusion	0.592	0.470	0.538
member	membre	0.698	0.333	0.555
membership	adhésion	0.698	0.411	0.778
membrane	membrane	0.406	0.430	0.418
memento	mémento	0.708	0.360	0.536
memo	note	0.625	0.235	0.407
memoir	mémoire	0.750	0.242	0.553
memorabilia	souvenirs	0.780	0.412	0.491
memorable	mémorable	0.939	0.510	0.769
memorandum	mémorandum	0.600	0.500	0.639
memorial	Mémorial	0.602	0.304	0.600
memorials	mémoriaux	0.771	0.333	0.679
memories	souvenirs	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	mémoriser	0.520	0.451	0.716
memory	Mémoire	0.792	0.378	0.573
menace	menace	0.125	0.894	0.759
menacing	menaçant	0.042	0.880	0.643
menagerie	ménagerie	0.573	0.480	0.538
mend	réparer	0.542	0.436	0.602
mending	raccommodage	0.500	0.633	0.657
menial	servile	0.490	0.420	0.352
meningitis	méningite	0.104	0.612	0.407
meniscus	ménisque	0.323	0.330	0.453
menopause	ménopause	0.204	0.460	0.306
menses	règles	0.163	0.686	0.331
menstrual	menstruel	0.408	0.519	0.435
mental	mental	0.490	0.490	0.585
mentalhealth	NO TRANSLATION	0.562	0.541	0.670
mentality	mentalité	0.711	0.415	0.726
menthol	menthol	0.490	0.292	0.433
mention	mention	0.562	0.365	0.562
mentor	mentor	0.719	0.455	0.777
menu	menu	0.633	0.333	0.385
meow	Miaou	0.510	0.510	0.412
mercantile	mercantile	0.480	0.490	0.713
mercenary	mercenaire	0.245	0.837	0.673
merchandise	marchandise	0.594	0.460	0.621
merchant	marchande	0.675	0.500	0.620
merciful	miséricordieux	0.854	0.346	0.500
merciless	sans merci	0.062	0.880	0.634
mercurial	mercuriel	0.490	0.546	0.518
mercury	Mercure	0.337	0.312	0.475
mercy	pitié	0.719	0.229	0.500
mere	simple	0.396	0.221	0.176
merengue	merengue	0.688	0.519	0.442
merge	fusionner	0.760	0.480	0.733
merger	fusionnement	0.592	0.490	0.642
meridian	méridien	0.510	0.324	0.558
meridional	méridional	0.365	0.290	0.600
meringue	Meringue	0.625	0.580	0.411
merit	mérite	0.854	0.500	0.722
meritorious	méritoire	0.781	0.618	0.855
mermaid	Sirène	0.765	0.623	0.452
merriment	gaieté	0.948	0.721	0.632
merry	joyeux	0.979	0.731	0.764
merrychristmas	NO TRANSLATION	0.888	0.510	0.536
mesa	mesa	0.604	0.191	0.319
mescaline	mescaline	0.490	0.580	0.415
mesh	engrener	0.429	0.235	0.371
meshes	mailles	0.440	0.363	0.362
mesmerized	hypnotisé	0.520	0.552	0.421
mess	désordre	0.143	0.843	0.273
message	message	0.650	0.391	0.415
messedup	NO TRANSLATION	0.333	0.615	0.358
messenger	Messager	0.694	0.434	0.500
messiah	Messie	0.781	0.634	0.800
messy	désordonné	0.260	0.635	0.140
metabolic	métabolique	0.408	0.531	0.559
metabolism	métabolisme	0.698	0.509	0.555
metal	métal	0.551	0.429	0.547
metallic	métallique	0.615	0.330	0.607
metallurgy	métallurgie	0.396	0.509	0.587
metamorphosis	métamorphose	0.541	0.571	0.613
metaphor	métaphore	0.562	0.280	0.470
metaphorical	métaphorique	0.500	0.412	0.480
metaphysical	métaphysique	0.630	0.573	0.686
metaphysics	métaphysique	0.561	0.396	0.588
metastasis	métastase	0.177	0.646	0.452
meteor	météore	0.398	0.714	0.737
meteoric	météorique	0.590	0.802	0.684
meteorite	météorite	0.385	0.794	0.750
meteorological	météorologique	0.635	0.557	0.556
meteorology	météorologie	0.630	0.418	0.689
meter	mètre	0.438	0.300	0.463
meth	meth	0.354	0.564	0.340
methadone	méthadone	0.240	0.540	0.453
methane	méthane	0.290	0.460	0.569
methanol	méthanol	0.292	0.500	0.570
method	méthode	0.640	0.275	0.698
methodical	méthodique	0.663	0.360	0.745
methodology	méthodologie	0.664	0.327	0.745
meticulous	méticuleux	0.555	0.480	0.555
metime	moi temps	0.531	0.398	0.417
metric	métrique	0.519	0.248	0.573
metrical	métrique	0.521	0.375	0.482
metrology	métrologie	0.531	0.432	0.439
metropolis	métropole	0.656	0.625	0.779
metropolitan	métropolitain	0.387	0.408	0.723
mettle	courage	0.667	0.529	0.750
mew	miauler	0.418	0.481	0.380
mezzanine	mezzanine	0.479	0.427	0.404
mica	mica	0.531	0.250	0.314
mick	mick	0.449	0.451	0.382
micro	micro	0.500	0.270	0.250
microbe	microbe	0.255	0.450	0.340
microbiology	microbiologie	0.571	0.378	0.560
microchip	puce électronique	0.551	0.358	0.432
microcosm	microcosme	0.500	0.500	0.520
microfilm	microfilm	0.469	0.352	0.412
microgram	microgramme	0.448	0.286	0.355
micrometer	micromètre	0.573	0.358	0.394
micron	micron	0.375	0.291	0.315
microphone	microphone	0.551	0.431	0.462
microscope	microscope	0.531	0.330	0.464
microscopic	microscopique	0.360	0.327	0.433
microscopically	microscopiquement	0.623	0.370	0.412
microscopy	microscopie	0.500	0.339	0.455
microwave	four micro onde	0.542	0.497	0.443
mid	milieu	0.500	0.315	0.356
midair	en plein air	0.633	0.413	0.455
midday	midi	0.658	0.250	0.403
middle	milieu	0.458	0.157	0.300
middleman	intermédiaire	0.500	0.404	0.452
middleweight	poids moyen	0.510	0.302	0.428
midget	nain	0.396	0.295	0.254
midland	Midland	0.521	0.402	0.456
midlife	mi-vie	0.594	0.244	0.473
midline	ligne médiane	0.332	0.224	0.330
midnight	minuit	0.562	0.470	0.545
midshipman	aspirant	0.469	0.615	0.785
midst	milieu	0.324	0.275	0.296
midsummer	milieu de l'été	0.781	0.480	0.492
midterm	à mi-parcours	0.427	0.337	0.425
midtown	Midtown	0.479	0.442	0.538
midway	à mi-chemin	0.459	0.316	0.304
midwife	sage-femme	0.531	0.570	0.453
midwifery	obstétrique	0.510	0.570	0.459
mien	NO TRANSLATION	0.500	0.352	0.447
miffed	mordu	0.204	0.726	0.429
mighty	puissant	0.855	0.837	0.936
mignon	mignon	0.551	0.440	0.423
migraine	migraine	0.135	0.783	0.318
migrate	émigrer	0.415	0.580	0.454
migration	migration	0.492	0.731	0.566
migratory	migratoire	0.448	0.521	0.491
mike	Mike	0.542	0.365	0.423
mil	NO TRANSLATION	0.534	0.388	0.347
mild	doux	0.635	0.198	0.216
mildew	moisissure	0.344	0.250	0.241
mildness	douceur	0.827	0.226	0.311
mile	mile	0.521	0.417	0.456
mileage	kilométrage	0.510	0.458	0.562
milestone	Étape importante	0.719	0.373	0.558
militant	militant	0.418	0.667	0.750
militants	militants	0.260	0.673	0.652
military	militaire	0.396	0.710	0.875
militia	milice	0.396	0.729	0.769
milk	Lait	0.817	0.270	0.327
milkman	laitier	0.750	0.380	0.304
milkshake	Milk-shake	0.796	0.521	0.330
milky	laiteux	0.517	0.283	0.311
mill	moulin	0.531	0.382	0.347
millennium	millénaire	0.573	0.398	0.760
milligram	milligramme	0.429	0.217	0.302
millimeter	millimètre	0.427	0.177	0.360
million	million	0.776	0.647	0.812
millionaire	millionnaire	0.917	0.755	0.850
millionth	millionième	0.635	0.528	0.611
millstone	meule	0.510	0.433	0.492
mime	mime	0.455	0.235	0.302
mimic	imiter	0.557	0.587	0.391
mimicking	mimer	0.316	0.433	0.364
mimicry	mimétisme	0.420	0.337	0.472
mince	hacher	0.417	0.529	0.378
mincemeat	Viande hachée	0.396	0.435	0.358
mind	esprit	0.650	0.388	0.627
minded	préoccupé	0.656	0.394	0.627
mindful	conscient	0.765	0.450	0.725
mindfulness	pleine conscience	0.729	0.635	0.745
mindless	stupide	0.184	0.333	0.153
mine	mien	0.688	0.418	0.578
minefield	champ de mines	0.188	0.839	0.684
miner	mineur	0.408	0.594	0.644
mineral	minéral	0.519	0.287	0.605
mineralogy	minéralogie	0.551	0.408	0.545
mingle	mêler	0.561	0.480	0.434
mingled	mêlé	0.521	0.392	0.357
mini	mini	0.421	0.324	0.221
miniature	miniature	0.429	0.292	0.204
minibus	minibus	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	minimal	0.448	0.147	0.206
minimize	minimiser	0.360	0.236	0.311
minimized	minimisé	0.458	0.137	0.208
minimum	le minimum	0.380	0.198	0.194
mining	exploitation minière	0.633	0.598	0.554
minion	serviteur	0.490	0.430	0.167
minister	ministre	0.547	0.441	0.892
ministerial	ministériel	0.571	0.519	0.660
ministry	ministère	0.510	0.346	0.717
minivan	monospace	0.592	0.356	0.452
mink	vison	0.560	0.515	0.430
minnow	vairon	0.541	0.367	0.364
minor	mineur	0.250	0.235	0.175
minority	minorité	0.310	0.332	0.211
minstrel	ménestrel	0.458	0.541	0.397
mint	menthe	0.688	0.221	0.345
minty	menthe	0.635	0.292	0.361
minuscule	minuscule	0.396	0.286	0.214
minute	minute	0.582	0.279	0.356
minutiae	menus détails	0.323	0.257	0.316
minx	friponne	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	miracle	0.917	0.607	0.806
miracles	miracles	0.922	0.735	0.692
miraculous	miraculeux	0.875	0.706	0.812
mirage	mirage	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	miroir	0.677	0.310	0.438
mirth	gaieté	0.888	0.640	0.608
misappropriation	détournement	0.097	0.831	0.500
misbehave	se conduire mal	0.020	0.847	0.304
misbehavior	mauvaise conduite	0.031	0.704	0.269
miscalculation	erreur de calcul	0.177	0.490	0.353
miscarriage	fausse couche	0.042	0.781	0.312
miscellaneous	divers	0.531	0.321	0.196
miscellany	recueil	0.500	0.412	0.384
mischief	sottises	0.385	0.834	0.292
mischievous	malicieux	0.439	0.804	0.472
misconception	idée fausse	0.210	0.557	0.291
misconduct	inconduite	0.061	0.667	0.304
misdemeanor	délit	0.210	0.640	0.364
misdirection	mauvaise direction	0.131	0.710	0.281
miser	avare	0.208	0.633	0.311
miserable	misérable	0.062	0.461	0.188
miserably	misérablement	0.280	0.545	0.150
misery	misère	0.146	0.378	0.158
misfire	raté	0.153	0.453	0.200
misfit	inadapté	0.173	0.500	0.393
misfortune	malheur	0.094	0.780	0.311
misguided	égaré	0.280	0.531	0.259
mishap	mésaventure	0.071	0.654	0.227
misinformed	mal informé	0.156	0.567	0.250
misinterpretation	interprétation erronée	0.112	0.556	0.360
mislead	tromper	0.167	0.765	0.412
misleading	trompeur	0.070	0.660	0.272
misled	induit en erreur	0.177	0.606	0.353
mismanagement	mauvaise gestion	0.094	0.520	0.295
mismatch	décalage	0.250	0.459	0.282
mismatched	incompatibles	0.250	0.557	0.302
misnomer	abus de langage	0.296	0.528	0.284
misplace	égarer	0.229	0.461	0.191
misplaced	mal placé	0.247	0.450	0.324
misread	mal interpréter	0.115	0.558	0.315
misrepresent	dénaturer	0.198	0.542	0.418
misrepresentation	fausse déclaration	0.323	0.618	0.518
misrepresented	déformé	0.042	0.519	0.466
miss	manquer	0.573	0.490	0.408
missile	missile	0.240	0.830	0.764
missiles	missiles	0.070	0.922	0.830
missing	disparu	0.306	0.418	0.222
missingyou	NO TRANSLATION	0.260	0.471	0.377
mission	mission	0.765	0.633	0.870
missionary	missionnaire	0.729	0.404	0.596
misspell	mal orthographier	0.292	0.423	0.281
misstatement	déclaration inexacte	0.302	0.547	0.221
missy	missy	0.521	0.480	0.333
mist	brouillard	0.375	0.194	0.221
mistake	erreur	0.208	0.585	0.102
mistaken	trompé	0.131	0.630	0.212
mister	Monsieur	0.604	0.406	0.663
mistletoe	du gui	0.542	0.470	0.324
mistreated	maltraité	0.010	0.792	0.200
mistress	maîtresse	0.630	0.796	0.694
mistrial	erreur	0.427	0.539	0.536
mistrust	méfiance	0.135	0.657	0.231
misty	brumeux	0.427	0.451	0.278
misunderstand	mal comprendre	0.177	0.548	0.382
misunderstanding	malentendu	0.112	0.618	0.284
misunderstood	mal compris	0.177	0.625	0.309
misuse	abuser	0.083	0.560	0.196
mite	mite	0.290	0.584	0.271
miter	mitre	0.458	0.500	0.414
mitigate	atténuer	0.506	0.427	0.456
mitigating	atténuer	0.551	0.520	0.600
mitigation	atténuation	0.448	0.527	0.423
mitt	gant	0.406	0.183	0.264
mitten	NO TRANSLATION	0.531	0.330	0.408
mitzvah	Mitsva	0.422	0.610	0.409
mix	mélanger	0.542	0.490	0.472
mixed	mixte	0.510	0.346	0.444
mixedemotions	émotions mixtes	0.440	0.673	0.430
mixer	mixer	0.562	0.500	0.556
mixture	mélange	0.546	0.360	0.481
mnemonic	mnémonique	0.531	0.480	0.452
moan	gémissement	0.357	0.735	0.352
moat	fossé	0.398	0.380	0.314
mob	foule	0.296	0.788	0.567
mobile	mobile	0.615	0.569	0.481
mobility	mobilité	0.700	0.596	0.654
mobilization	la mobilisation	0.688	0.720	0.787
mobilize	mobiliser	0.604	0.684	0.727
mobster	gangster	0.188	0.870	0.638
mocha	moka	0.500	0.396	0.311
mock	moquer	0.360	0.606	0.618
mocked	moqué	0.225	0.746	0.204
mockery	moquerie	0.094	0.806	0.181
mocking	railleur	0.082	0.755	0.394
mockingbird	oiseau moqueur	0.513	0.337	0.423
mod	mod	0.458	0.367	0.384
modal	modal	0.592	0.264	0.461
modality	modalité	0.633	0.404	0.527
mode	mode	0.531	0.185	0.367
model	modèle	0.607	0.388	0.723
modeler	modeleur	0.500	0.510	0.730
modeling	la modélisation	0.684	0.404	0.490
modem	modem	0.573	0.355	0.500
moderate	modérer	0.582	0.190	0.453
moderate anticipation	anticipation modérée	0.667	0.451	0.574
moderate disgust	dégoût modéré	0.229	0.558	0.381
moderate negative	négatif modéré	0.177	0.500	0.306
moderate positive	modéré positif	0.896	0.453	0.753
moderate surprise	surprise modérée	0.776	0.663	0.637
moderate trust	confiance modérée	0.677	0.350	0.773
moderately	modérément	0.604	0.264	0.500
moderating	modérer	0.667	0.402	0.783
moderation	modération	0.531	0.240	0.453
moderator	modérateur	0.519	0.354	0.802
modern	moderne	0.855	0.423	0.691
modernism	modernisme	0.760	0.553	0.703
modest	modeste	0.760	0.130	0.412
modesty	modestie	0.778	0.240	0.500
modicum	minimum	0.234	0.417	0.327
modifiable	modifiable	0.541	0.422	0.373
modification	modification	0.480	0.520	0.625
modified	modifié	0.561	0.458	0.693
modify	modifier	0.458	0.584	0.625
modulate	moduler	0.673	0.343	0.555
modulation	modulation	0.458	0.365	0.565
module	module	0.582	0.388	0.571
modulus	module	0.622	0.304	0.481
mogul	magnat	0.510	0.652	0.865
moiety	moitié	0.378	0.343	0.454
moist	humide	0.470	0.316	0.386
moisture	humidité	0.406	0.398	0.327
moisturizer	Crème hydratante	0.750	0.280	0.386
molar	molaire	0.544	0.426	0.350
molasses	mélasse	0.490	0.269	0.286
mold	moule	0.330	0.274	0.402
molded	moulé	0.667	0.361	0.373
molding	moulage	0.552	0.308	0.546
moldy	moisi	0.235	0.387	0.250
mole	Môle	0.436	0.377	0.352
molecular	moléculaire	0.495	0.440	0.536
molecule	molécule	0.531	0.259	0.375
molest	molester	0.133	0.816	0.319
molestation	attentat à la pudeur	0.102	0.808	0.407
molester	agresseur	0.143	0.811	0.478
molten	fondu	0.417	0.490	0.339
mom	maman	0.927	0.336	0.639
moment	moment	0.604	0.435	0.509
momentary	momentané	0.562	0.271	0.330
momentous	important	0.792	0.587	0.760
momentum	élan	0.663	0.750	0.688
momma	maman	0.833	0.412	0.527
mommy	maman	0.854	0.353	0.422
monad	monade	0.510	0.482	0.451
monarch	monarque	0.583	0.559	0.870
monarchy	la monarchie	0.450	0.557	0.870
monastery	monastère	0.694	0.183	0.726
monastic	monastique	0.438	0.314	0.676
monetary	monétaire	0.583	0.494	0.716
money	argent	0.844	0.608	0.827
mongoloid	mongolien	0.177	0.364	0.317
mongoose	mangouste	0.327	0.380	0.546
mongrel	bâtard	0.425	0.438	0.395
monitor	moniteur	0.490	0.298	0.538
monk	moine	0.472	0.208	0.439
monkey	singe	0.548	0.449	0.283
mono	NO TRANSLATION	0.500	0.390	0.273
monochrome	monochrome	0.312	0.292	0.339
monogamous	monogame	0.510	0.335	0.402
monogamy	monogamie	0.542	0.380	0.455
monogram	monogramme	0.480	0.210	0.425
monogrammed	monogramme	0.503	0.270	0.402
monograph	monographie	0.500	0.242	0.481
monolayer	monocouche	0.427	0.294	0.433
monolith	monolithe	0.429	0.327	0.500
monologue	monologue	0.500	0.284	0.534
monopolist	monopoliste	0.330	0.590	0.725
monopoly	monopole	0.449	0.509	0.640
monotonous	monotone	0.354	0.221	0.400
monotony	monotonie	0.398	0.135	0.353
monoxide	monoxyde	0.433	0.430	0.490
monsieur	Monsieur	0.552	0.340	0.623
monsoon	mousson	0.358	0.600	0.481
monster	monstre	0.133	0.935	0.596
monstrosity	monstruosité	0.094	0.933	0.611
monstrous	monstrueux	0.094	0.942	0.649
montage	montage	0.438	0.520	0.388
monte	monte	0.589	0.330	0.391
month	mois	0.688	0.255	0.411
monthly	mensuel	0.622	0.314	0.364
monument	monument	0.833	0.404	0.811
monumental	monumental	0.656	0.594	0.955
moo	meuglement	0.438	0.355	0.300
mooch	traîner	0.378	0.413	0.309
mood	ambiance	0.720	0.500	0.500
moods	humeurs	0.578	0.633	0.491
moody	de mauvaise humeur	0.245	0.811	0.595
moon	lune	0.673	0.233	0.547
moonbeam	rayon de lune	0.700	0.290	0.491
moonlight	clair de lune	0.865	0.264	0.409
moonlit	éclairé par la lune	0.873	0.269	0.508
moonshine	alcool de contrebande	0.633	0.389	0.491
moonstruck	rêveur	0.583	0.438	0.407
moonwalk	moonwalk	0.615	0.586	0.525
moor	lande	0.311	0.464	0.378
moored	amarré	0.344	0.500	0.417
mooring	amarrage	0.323	0.490	0.444
moorings	amarres	0.406	0.500	0.516
moorland	landes	0.490	0.370	0.456
moose	élan	0.648	0.373	0.318
moot	discutable	0.344	0.500	0.615
mooted	discuté	0.388	0.580	0.463
mop	balai	0.396	0.442	0.296
mope	broyer du noir	0.406	0.309	0.345
moped	vélomoteur	0.582	0.582	0.554
moral	moral	0.700	0.459	0.796
morale	moral	0.729	0.158	0.792
morality	moralité	0.750	0.408	0.759
morals	morale	0.646	0.430	0.611
morass	marécage	0.387	0.348	0.375
moratorium	moratoire	0.337	0.427	0.373
moray	moray	0.510	0.402	0.463
morbid	morbide	0.090	0.833	0.395
morbidity	morbidité	0.370	0.630	0.443
morbidness	morbidité	0.120	0.694	0.339
mores	mœurs	0.582	0.317	0.684
morgue	morgue	0.022	0.539	0.241
moribund	moribond	0.083	0.488	0.167
morn	matin	0.542	0.284	0.345
morning	Matin	0.688	0.235	0.444
moron	idiot	0.133	0.587	0.183
moronic	débile	0.122	0.500	0.224
morose	morose	0.240	0.663	0.264
morph	morph	0.448	0.469	0.451
morphine	morphine	0.229	0.490	0.496
morphism	morphisme	0.398	0.549	0.386
morphology	morphologie	0.516	0.373	0.639
morrow	demain	0.708	0.314	0.490
morsel	morceau	0.490	0.296	0.400
mortal	mortel	0.196	0.786	0.510
mortality	mortalité	0.229	0.726	0.518
mortar	mortier	0.333	0.627	0.562
mortgage	hypothèque	0.255	0.408	0.537
mortgagee	créancier hypothécaire	0.418	0.633	0.723
mortgagor	débiteur hypothécaire	0.431	0.522	0.490
mortician	entrepreneur de pompes funèbres	0.104	0.429	0.275
mortification	mortification	0.135	0.644	0.404
mortified	mortifié	0.073	0.731	0.270
mortuary	mortuaire	0.133	0.606	0.427
mosaic	mosaïque	0.635	0.250	0.302
mosey	baguenauder	0.521	0.402	0.330
mosque	mosquée	0.542	0.352	0.528
mosquito	moustique	0.229	0.400	0.198
moss	mousse	0.235	0.270	0.245
mossy	moussu	0.375	0.329	0.286
mote	NO TRANSLATION	0.375	0.388	0.260
motel	motel	0.531	0.372	0.450
moth	papillon de nuit	0.323	0.350	0.196
mother	mère	0.931	0.408	0.725
motherfucker	connard	0.122	0.827	0.351
motherfucking	enfoncer	0.071	0.823	0.373
motherhood	maternité	0.844	0.546	0.667
motherland	mère patrie	0.677	0.375	0.731
motherless	sans mère	0.163	0.541	0.337
motherly	maternel	0.927	0.324	0.710
motif	motif	0.688	0.481	0.527
motion	mouvement	0.667	0.538	0.657
motionless	immobile	0.323	0.210	0.246
motivate	motiver	0.812	0.776	0.873
motivating	motivant	0.958	0.820	0.787
motivation	motivation	0.854	0.784	0.802
motivational	motivationnel	0.906	0.646	0.858
motive	motif	0.667	0.588	0.663
motley	hétéroclite	0.480	0.398	0.412
motor	moteur	0.531	0.551	0.648
motorbike	moto	0.552	0.608	0.616
motorboat	bateau à moteur	0.677	0.500	0.390
motorcade	cortège	0.708	0.730	0.593
motorcar	Voiture	0.694	0.565	0.682
motorcycle	moto	0.677	0.764	0.713
motorist	automobiliste	0.562	0.663	0.578
motte	motte	0.481	0.389	0.370
mottled	tacheté	0.380	0.336	0.295
motto	devise	0.688	0.317	0.439
mould	moule	0.357	0.176	0.246
mound	monticule	0.520	0.481	0.509
mount	monter	0.500	0.292	0.348
mountain	Montagne	0.698	0.408	0.649
mountaineer	alpiniste	0.635	0.774	0.535
mountainous	montagneux	0.635	0.519	0.612
mountains	les montagnes	0.766	0.433	0.569
mountaintop	sommet de la montagne	0.653	0.541	0.713
mourn	faire le deuil	0.056	0.583	0.150
mournful	triste	0.180	0.441	0.188
mourning	deuil	0.177	0.490	0.266
mouse	Souris	0.427	0.441	0.206
mousetrap	piege a souris	0.180	0.643	0.330
mousse	mousse	0.604	0.336	0.368
moustache	moustache	0.470	0.236	0.409
mousy	timide	0.480	0.413	0.339
mouth	bouche	0.734	0.294	0.336
mouthful	bouchée	0.609	0.565	0.389
mouthpiece	embouchure	0.573	0.346	0.393
mouthwash	bain de bouche	0.438	0.385	0.352
movable	mobile	0.469	0.509	0.500
move	bouge toi	0.656	0.647	0.670
movement	mouvement	0.656	0.654	0.658
mover	déménageur	0.615	0.539	0.466
movie	film	0.792	0.560	0.471
movies	films	0.724	0.426	0.472
moving	en mouvement	0.479	0.673	0.358
movingforward	NO TRANSLATION	0.857	0.518	0.848
movingon	movingon	0.490	0.529	0.435
mow	tondre	0.420	0.559	0.393
mower	tondeuse	0.458	0.510	0.368
moxie	moxie	0.531	0.490	0.366
mozzarella	mozzarella	0.653	0.265	0.340
mri	mri	0.365	0.431	0.349
muchneeded	NO TRANSLATION	0.438	0.602	0.455
mucis	NO TRANSLATION	0.398	0.418	0.420
muck	boue	0.347	0.423	0.272
mucked	mucked	0.184	0.500	0.373
mucous	muqueux	0.330	0.296	0.293
mucus	mucus	0.143	0.309	0.228
mud	boue	0.333	0.260	0.185
muddle	confusion	0.184	0.710	0.336
muddled	embrouillé	0.250	0.615	0.263
muddy	boueux	0.292	0.400	0.283
muff	manchon	0.542	0.335	0.314
muffin	muffin	0.684	0.430	0.306
muffled	étouffé	0.479	0.330	0.421
muffler	silencieux	0.357	0.407	0.454
mug	agresser	0.542	0.214	0.382
mugger	agresseur	0.125	0.850	0.500
mulberry	mûre	0.469	0.315	0.361
mulch	paillis	0.349	0.361	0.383
mule	mule	0.320	0.337	0.254
mull	réfléchir	0.663	0.340	0.594
mullet	mulet	0.521	0.356	0.377
multilateral	multilatéral	0.500	0.469	0.705
multimedia	multimédia	0.611	0.390	0.607
multinational	multinational	0.656	0.510	0.842
multiple	plusieurs	0.660	0.510	0.578
multiple sclerosis	sclérose en plaque	0.188	0.587	0.483
multiplex	multiplex	0.610	0.590	0.667
multiplication	multiplication	0.646	0.565	0.762
multiplicity	multiplicité	0.677	0.490	0.777
multiplied	multiplié	0.802	0.559	0.729
multiplier	multiplicateur	0.643	0.615	0.741
multiply	multiplier	0.802	0.625	0.777
multitude	multitude	0.562	0.765	0.847
mum	maman	0.802	0.317	0.698
mumble	marmonner	0.292	0.444	0.245
mumbo	mumbo	0.429	0.506	0.336
mummy	Maman	0.400	0.588	0.415
mumps	oreillons	0.099	0.410	0.311
munch	croquer	0.541	0.277	0.434
munchies	munchies	0.562	0.470	0.491
munchkin	Munchkin	0.490	0.466	0.374
mundane	banal	0.312	0.420	0.480
municipal	municipal	0.625	0.390	0.758
municipality	municipalité	0.569	0.280	0.614
mural	mural	0.551	0.265	0.454
murder	meurtre	0.061	0.942	0.615
murderer	meurtrier	0.010	0.960	0.650
murderess	meurtrière	0.041	0.941	0.462
murderous	meurtrier	0.017	0.940	0.682
murky	sombre	0.143	0.618	0.370
murmur	murmure	0.458	0.520	0.200
muscle	muscle	0.359	0.490	0.645
muscular	musclé	0.531	0.434	0.577
muse	muse	0.760	0.360	0.509
muses	muses	0.714	0.434	0.571
museum	musée	0.792	0.206	0.481
mush	NO TRANSLATION	0.500	0.311	0.125
mushroom	champignon	0.490	0.274	0.269
mushy	détrempé	0.520	0.200	0.182
music	la musique	0.833	0.563	0.605
musical	musical	0.908	0.630	0.530
musician	musicien	0.816	0.509	0.618
musing	rêver	0.740	0.151	0.465
musk	musc	0.469	0.454	0.453
musket	mousquet	0.260	0.654	0.510
musketeer	mousquetaire	0.694	0.569	0.705
muskrat	rat musqué	0.439	0.510	0.368
muslin	mousseline	0.439	0.304	0.352
muss	NO TRANSLATION	0.418	0.438	0.302
must	doit	0.408	0.382	0.441
mustang	mustang	0.635	0.642	0.708
mustard	moutarde	0.500	0.346	0.275
muster	rassemblement	0.635	0.460	0.548
musty	de moisi	0.354	0.367	0.267
mutable	mutable	0.426	0.531	0.491
mutant	mutant	0.337	0.676	0.573
mutate	subir une mutation	0.281	0.548	0.463
mutation	mutation	0.365	0.625	0.611
mute	muet	0.271	0.200	0.250
muted	en sourdine	0.260	0.167	0.162
mutilate	mutiler	0.125	0.900	0.465
mutilated	mutilé	0.041	0.841	0.356
mutilation	mutilation	0.122	0.782	0.456
mutiny	mutinerie	0.323	0.890	0.549
mutt	cabot	0.418	0.408	0.387
mutter	NO TRANSLATION	0.406	0.427	0.228
mutton	viande de mouton	0.427	0.283	0.393
mutual	mutuel	0.729	0.321	0.464
mutually	mutuellement	0.844	0.490	0.582
muzzle	museau	0.388	0.430	0.232
myfavorite	mon préféré	0.812	0.587	0.615
myopia	myopie	0.245	0.387	0.226
myopic	myope	0.344	0.396	0.218
myriad	myriade	0.480	0.429	0.550
mysterious	mystérieux	0.448	0.699	0.455
mystery	mystère	0.417	0.667	0.519
mystic	mystique	0.643	0.520	0.535
mystical	mystique	0.594	0.443	0.689
mysticism	mysticisme	0.594	0.598	0.423
mystified	mystifié	0.344	0.600	0.509
mystique	mystique	0.668	0.633	0.667
myth	mythe	0.458	0.432	0.338
mythic	mythique	0.635	0.528	0.645
mythical	mythique	0.625	0.556	0.583
mythological	mythologique	0.760	0.573	0.658
mythology	mythologie	0.684	0.439	0.688
nab	nab	0.469	0.544	0.407
nacho	nacho	0.667	0.259	0.333
nada	NO TRANSLATION	0.250	0.231	0.136
nadir	nadir	0.479	0.363	0.424
nag	NO TRANSLATION	0.271	0.451	0.472
nail	clou	0.469	0.397	0.282
nail gun	cloueuse	0.378	0.806	0.574
naive	naïve	0.406	0.260	0.375
naked	nu	0.323	0.885	0.288
nakedness	nudité	0.480	0.760	0.350
namaste	NO TRANSLATION	0.719	0.255	0.464
name	prénom	0.573	0.300	0.415
named	nommé	0.562	0.396	0.565
nameless	sans nom	0.344	0.280	0.164
namesake	homonyme	0.418	0.327	0.404
naming	appellation	0.667	0.410	0.559
nana	nana	0.765	0.255	0.375
nanny	nounou	0.615	0.370	0.528
nanometer	nanomètre	0.375	0.356	0.446
nap	NO TRANSLATION	0.660	0.098	0.342
napalm	napalm	0.265	0.580	0.471
