Word	Bengali-bn	Valence	Arousal	Dominance
jockey	জকি	0.562	0.644	0.703
jockstrap	jockstrap	0.347	0.431	0.390
jog	ধাক্কা	0.510	0.708	0.519
jogger	jogger	0.417	0.510	0.424
john	জন	0.562	0.382	0.327
join	যোগদানের	0.729	0.479	0.684
joined	যোগদান	0.667	0.394	0.600
joining	যোগদান	0.755	0.469	0.685
joint	যৌথ	0.615	0.392	0.566
jointly	একত্রে	0.708	0.425	0.602
joke	রসিকতা	0.704	0.610	0.316
joker	ভাঁড়	0.771	0.760	0.416
joking	joking	0.776	0.839	0.407
jolly	বলিষ্ঠ	0.959	0.705	0.708
jolt	ঝাঁকুনি	0.365	0.708	0.358
jornada	NO TRANSLATION	0.417	0.500	0.533
jot	লেশ	0.406	0.323	0.350
jour	NO TRANSLATION	0.479	0.394	0.415
journal	সাময়িক পত্রিকা	0.688	0.240	0.352
journalism	সাংবাদিকতা	0.622	0.500	0.684
journalist	সাংবাদিক	0.542	0.452	0.732
journalistic	সাংবাদিক	0.696	0.449	0.495
journey	যাত্রা	0.910	0.702	0.625
journeyman	মজুর	0.765	0.596	0.741
joust	দ্বন্দ্বযুদ্ধ	0.520	0.528	0.551
jovial	প্রফুল্ল	0.823	0.460	0.526
joy	আনন্দ	0.980	0.824	0.794
joyful	আনন্দদায়ক	0.990	0.740	0.667
joyous	আহ্লাদিত	0.958	0.580	0.728
joyride	joyride	0.694	0.550	0.500
joys	আনন্দ	0.981	0.643	0.651
jubilant	উল্লসিত	0.844	0.673	0.664
jubilee	জয়ন্তী	0.916	0.500	0.579
judge	বিচারক	0.510	0.604	0.857
judged	বিচার	0.281	0.686	0.722
judging	বিচার	0.240	0.625	0.693
judgment	রায়	0.396	0.600	0.816
judgmental	বিচার	0.330	0.602	0.579
judicial	বিচারসংক্রান্ত	0.378	0.667	0.833
judiciary	বিচারপতিগণ	0.439	0.740	0.897
judicious	বিচক্ষণ	0.630	0.432	0.772
judo	জুডো	0.500	0.790	0.612
jug	জলপাত্র	0.520	0.250	0.213
juggle	প্রতারণা	0.594	0.760	0.426
juggler	বাজিকর	0.633	0.821	0.480
juggling	আকাশ গান	0.562	0.874	0.346
jugular	ঘাড়ের	0.271	0.573	0.426
juice	রস	0.776	0.281	0.352
juicer	juicer	0.552	0.520	0.564
juicy	সরস	0.823	0.529	0.490
juju	NO TRANSLATION	0.541	0.519	0.206
juke	Juke	0.500	0.491	0.410
jukebox	সঙ্গীতের খাজানা	0.699	0.540	0.429
jumble	মিশান	0.357	0.613	0.331
jumbled	এটা কল্পনাপ্রসূত	0.292	0.602	0.445
jumbo	হস্তী	0.680	0.552	0.447
jump	ঝাঁপ	0.625	0.865	0.611
jump rope	লাফ দড়ি	0.656	0.660	0.368
jumper	মাথা গলান জামাবিশেষ	0.615	0.336	0.481
jumpsuit	জাম্পস্যুট	0.562	0.365	0.361
jumpy	লাফানে	0.353	0.810	0.216
junction	মোড়	0.490	0.481	0.364
juncture	সন্ধিক্ষণ	0.365	0.582	0.491
jungle	জঙ্গল	0.500	0.510	0.481
junior	ছোট	0.635	0.343	0.304
juniper	একধরণের গাছ	0.583	0.327	0.352
junk	আবর্জনা	0.115	0.481	0.118
junket	বনভোজন	0.490	0.519	0.386
junkie	নেশাখোর	0.135	0.860	0.363
junky	মাদকাসক্ত ব্যক্তি	0.385	0.595	0.343
junkyard	উঠলে আস্তাকুঁড়ে	0.177	0.398	0.302
junta	স্পেইনের রাষ্ট্র্রপরিষৎ	0.451	0.503	0.704
juridical	বিচারকসংক্রান্ত	0.520	0.431	0.873
jurisdiction	অধিক্ষেত্র	0.480	0.580	0.820
jurisprudence	ব্যবহারশাস্ত্র	0.360	0.425	0.764
jurist	আইনজ্ঞ	0.479	0.523	0.713
juror	জুরি	0.582	0.640	0.750
jury	জুরি	0.479	0.607	0.789
justice	বিচার	0.760	0.538	0.787
justifiable	সমর্থনীয়	0.786	0.413	0.821
justification	আত্মপক্ষ সমর্থন	0.622	0.444	0.661
justify	ন্যায্যতা প্রতিপাদন করা	0.612	0.473	0.615
juststop	NO TRANSLATION	0.417	0.379	0.364
justthebeginning	NO TRANSLATION	0.573	0.451	0.481
jute	পাট	0.551	0.216	0.295
juvenile	কিশোরী	0.678	0.490	0.526
juxtaposition	সন্নিধি	0.427	0.500	0.460
kaiser	সম্রাট্	0.470	0.509	0.690
kale	পাতা কপি	0.469	0.226	0.411
kaleidoscope	বিচিত্রদৃক্	0.615	0.439	0.580
kamikaze	কামিকাযি	0.204	0.810	0.645
kangaroo	ক্যাঙ্গারু	0.716	0.333	0.301
kanji	কাঞ্জি	0.510	0.413	0.425
kappa	কাপ্পা	0.469	0.375	0.366
kaput	NO TRANSLATION	0.281	0.441	0.440
karaoke	কারাওকে	0.763	0.649	0.342
karate	কারাতে	0.562	0.833	0.598
karma	কর্মফল	0.500	0.510	0.537
karmic	karmic	0.357	0.459	0.464
kayak	কায়াক	0.592	0.600	0.364
kazoo	kazoo	0.503	0.462	0.411
kebab	কাবাব	0.531	0.431	0.377
keel	জাহাজের তলি	0.344	0.417	0.419
keen	উত্সাহী	0.823	0.719	0.806
keep	রাখা	0.714	0.296	0.547
keeper	রক্ষক	0.612	0.457	0.773
keeping	পালন	0.592	0.280	0.723
keepsake	স্মরণচিহ্ন	0.740	0.307	0.491
keg	ছোট পিপা	0.551	0.389	0.404
kelp	কেলপ	0.479	0.264	0.213
ken	কেন	0.438	0.409	0.360
kennel	কুকুরের ঘর	0.430	0.480	0.406
kerchief	রূমাল	0.520	0.189	0.236
kern	চাষা	0.438	0.420	0.449
kernel	শাঁস	0.542	0.453	0.462
kerosene	কেরোসির্নতৈল	0.302	0.472	0.427
ketchup	কেচাপ	0.653	0.338	0.282
kettle	কেতলি	0.357	0.497	0.333
key	চাবি	0.615	0.275	0.519
keyboard	কীবোর্ড	0.573	0.279	0.349
keyed	অস্থির	0.469	0.497	0.521
keyhole	চাবির ছিদ্র	0.438	0.358	0.356
keynote	তান	0.630	0.431	0.545
keypad	কীপ্যাড	0.604	0.255	0.330
keystone	খিলানের মধ্যপ্রস্তর	0.573	0.438	0.491
keyword	শব্দ	0.602	0.520	0.747
khaki	খাকি	0.594	0.252	0.278
khan	খান	0.463	0.476	0.529
kibble	বালতি	0.510	0.458	0.404
kick	পদাঘাত	0.271	0.791	0.526
kickboxing	কিকবক্সিং	0.427	0.882	0.651
kicker	পদাঘাতকারী	0.427	0.711	0.614
kicking	সুস্থ ও সক্রিয়	0.327	0.802	0.510
kickoff	লাথি মারা	0.583	0.600	0.629
kid	ছাগলছানা	0.760	0.453	0.298
kidder	kidder	0.708	0.768	0.471
kidding	দুষ্টুমি করসি	0.622	0.625	0.457
kiddo	আম্মি	0.674	0.393	0.419
kiddos	kiddos	0.500	0.480	0.342
kidnap	অপহরণ	0.032	0.923	0.535
kidnapped	অপহরণ	0.044	0.923	0.455
kidnapper	ছেলেধরা	0.115	0.906	0.618
kidnapping	পাচার	0.094	0.880	0.561
kidney	বৃক্ক	0.448	0.363	0.380
kids	কিডস	0.837	0.500	0.417
kill	বধ	0.052	0.941	0.736
killer	হত্যাকারী	0.041	0.971	0.543
killing	হত্যা	0.080	0.959	0.696
killjoy	মূর্তিমান নিরানন্দ	0.178	0.550	0.324
kiln	ভাটি	0.451	0.423	0.414
kilo	NO TRANSLATION	0.438	0.358	0.461
kilogram	কিলোগ্রাম	0.510	0.260	0.455
kilometer	কিলোমিটার	0.490	0.439	0.485
kilt	চেক-কাটা পশমী কাপড়ের কুঁচি দেওয়া ঘাগরা বা স্কার্টের মতো পোশাক	0.448	0.346	0.348
kimono	কিমোনো	0.643	0.280	0.363
kin	কুটুম্ব	0.543	0.441	0.457
kind	সদয়	0.918	0.240	0.618
kindergarten	শিশুবিদ্যালয়	0.833	0.462	0.308
kindling	ইন্ধন	0.520	0.651	0.421
kindness	উদারতা	0.938	0.350	0.508
kindred	সজাতি	0.760	0.418	0.517
kinematics	গতিবিদ্যা	0.594	0.480	0.614
kinesiology	kinesiology	0.491	0.480	0.633
kinetic	গতিসম্পর্কিত	0.582	0.540	0.537
king	রাজা	0.677	0.690	0.892
king snake	রাজা সাপ	0.458	0.835	0.647
kingdom	রাজ্য	0.714	0.547	0.910
kingpin	সাম্রাজ্যের রাজা	0.357	0.626	0.642
kink	গিরা	0.337	0.634	0.321
kinky	অদ্ভুত	0.449	0.558	0.361
kinship	আত্মীয়তা	0.771	0.300	0.652
kiosk	কিয়স্ক	0.500	0.286	0.321
kirk	গির্জা	0.510	0.390	0.388
kiss	চুম্বন	0.967	0.813	0.630
kisser	চুম্বনকারী	0.844	0.682	0.618
kissy	চুম্বন	0.874	0.684	0.402
kit	সজ্জা	0.583	0.344	0.420
kitchen	রান্নাঘর	0.700	0.234	0.398
kite	ঘুড়ি	0.643	0.500	0.573
kitten	বিড়ালছানা	0.816	0.343	0.260
kiwi	কিউই	0.646	0.273	0.282
klutz	klutz	0.275	0.451	0.356
knack	দক্ষতা	0.562	0.518	0.820
knapsack	ঝোলা	0.551	0.317	0.268
knead	পিষা	0.490	0.457	0.345
knee	হাঁটু	0.520	0.245	0.396
kneecap	হাঁটুর হাড়	0.427	0.360	0.440
kneel	হাঁটু গাড়িয়া বসা	0.426	0.417	0.217
kneeling	হাঁটু গেড়ে	0.245	0.435	0.144
knell	বাজা	0.354	0.500	0.377
knick	ছোটখাট	0.480	0.509	0.420
knickers	নিকার্বোকার্	0.552	0.428	0.328
knife	ছুরি	0.344	0.717	0.573
knight	নাইট	0.780	0.441	0.835
knighthood	নাইট্ত্ব	0.740	0.660	0.769
knit	বুনা	0.630	0.144	0.295
knob	শক্ত গাঁট	0.340	0.360	0.272
knock	ঠক্ঠক্	0.312	0.531	0.527
knockoff	অনুকরণ	0.350	0.606	0.240
knockout	নকআউট	0.388	0.755	0.664
knoll	গোলাকার টিলা	0.434	0.347	0.333
knot	গিঁট	0.541	0.221	0.408
knots	নট	0.418	0.346	0.267
knotted	গ্রন্থিবদ্ধ	0.226	0.412	0.294
know	জানা	0.765	0.361	0.704
knowing	বুদ্ধিমান	0.833	0.353	0.658
knowingly	জ্ঞাতসারে	0.500	0.459	0.481
knowledge	জ্ঞান	0.847	0.430	0.896
knowledgeable	বুদ্ধিমান	0.865	0.455	0.971
knuckle	গিঁট	0.655	0.333	0.393
knucklehead	কুলসন	0.157	0.485	0.288
knuckles	knuckles	0.271	0.461	0.320
koala	কোয়ালা	0.608	0.210	0.311
kook	NO TRANSLATION	0.417	0.471	0.398
kooky	kooky	0.418	0.582	0.366
kool-aid	Kool এইড	0.531	0.318	0.393
kos	কস	0.500	0.471	0.407
kosher	খাঁটি	0.469	0.443	0.312
kraut	NO TRANSLATION	0.388	0.500	0.390
kris	কিরীচ	0.427	0.417	0.407
kryptonite	ক্রিপ্টোনিট	0.306	0.690	0.588
kudos	খ্যাতি	0.925	0.587	0.642
kumquat	kumquat	0.417	0.426	0.390
lab	গবেষণাগার	0.479	0.500	0.600
label	লেবেল	0.582	0.245	0.423
labor	শ্রম	0.594	0.639	0.754
laboratory	পরীক্ষাগার	0.571	0.490	0.537
labored	মুশকিল	0.646	0.451	0.637
laborer	শ্রমিক	0.561	0.510	0.698
laboring	শ্রমজীবী	0.705	0.644	0.737
laborious	শ্রমসাধ্য	0.393	0.635	0.709
labyrinth	গোলকধাঁধা	0.479	0.811	0.491
lac	লক্ষ	0.408	0.418	0.331
lace	ফিতা	0.625	0.200	0.293
laceration	কাটা	0.143	0.667	0.443
lack	অভাব	0.250	0.365	0.242
lackey	ভৃত্য	0.260	0.510	0.166
lacking	উদাসীন	0.229	0.375	0.121
lackluster	নিষ্প্রভ	0.250	0.311	0.264
lacquer	বার্ণিশ	0.510	0.353	0.258
lacrosse	ল্যাক্রোসি	0.573	0.656	0.509
lactose	ল্যাকটোজ	0.479	0.290	0.433
lad	বালক	0.637	0.388	0.336
ladder	মই	0.560	0.438	0.358
laddie	ছোকরা	0.668	0.539	0.391
laden	ভারাক্রান্ত	0.392	0.478	0.554
lading	জিনিসপত্র	0.388	0.463	0.409
ladle	হাতা	0.531	0.368	0.352
lady	ভদ্রমহিলা	0.854	0.481	0.602
lady bug	NO TRANSLATION	0.490	0.434	0.381
ladybug	গয়াল	0.602	0.400	0.224
ladylike	আর্যা	0.592	0.559	0.538
ladyship	ভদ্রমহিলার উপাধি	0.561	0.480	0.822
lag	বিলম্ব	0.220	0.375	0.246
lager	NO TRANSLATION	0.584	0.480	0.353
lagging	সাপেক্ষে বেশ পিছিয়ে পড়েছে	0.135	0.538	0.277
lagoon	উপহ্রদ	0.660	0.231	0.373
lair	ডেরা	0.469	0.438	0.392
laity	অপেশাদারী লোকসমূহ	0.510	0.320	0.487
lake	হ্রদ	0.694	0.196	0.425
lama	NO TRANSLATION	0.560	0.320	0.400
lamb	মেষশাবক	0.646	0.284	0.321
lame	পঙ্গু	0.145	0.410	0.217
lament	বিলাপ	0.198	0.398	0.352
lamenting	বিলপমান	0.156	0.390	0.254
lamina	পট্ট	0.510	0.314	0.408
laminated	স্তরিত	0.417	0.304	0.373
lamp	বাতি	0.510	0.260	0.309
lamppost	lamppost	0.420	0.337	0.455
lance	বল্লম	0.406	0.620	0.587
lancer	বল্লমধারী অশ্বারোহী সৈনিক	0.417	0.528	0.519
land	জমি	0.582	0.260	0.616
landed	অবতরণ করেছে	0.709	0.620	0.480
landfall	তটরেখা	0.521	0.434	0.407
landfill	ল্যান্ডফিল	0.398	0.423	0.324
landing	অবতরণ	0.552	0.696	0.596
landlady	হোটেলত্তয়ালি	0.677	0.303	0.417
landlocked	দ্বীপ	0.280	0.391	0.367
landlord	জমিদার	0.684	0.500	0.858
landmark	বৈশিষ্ট্য	0.694	0.355	0.681
lands	জমি	0.594	0.280	0.492
landscape	ভূদৃশ্য	0.719	0.176	0.423
landscaping	প্রাকৃতিক দৃশ্য নির্মাণ	0.823	0.379	0.519
landslide	ভূমিস্থলন	0.250	0.864	0.530
lane	গলি	0.449	0.490	0.451
language	ভাষা	0.677	0.337	0.704
languid	অবসন্ন	0.281	0.270	0.283
languish	শক্তিহীনতা	0.235	0.408	0.382
languishing	languishing	0.308	0.459	0.353
lanky	ঢেঙ্গা	0.412	0.426	0.370
lantern	লণ্ঠন	0.622	0.250	0.243
lap	ভাঁজ	0.583	0.510	0.412
lapdog	lapdog	0.388	0.490	0.269
lapel	ল্যাপেল	0.460	0.287	0.288
lapse	ভ্রষ্টতা	0.420	0.316	0.281
lapsed	অতিপন্ন	0.357	0.333	0.276
laptop	ল্যাপটপ	0.724	0.270	0.519
larceny	অপহরণ	0.272	0.821	0.454
lard	চর্বি	0.427	0.239	0.179
larder	ভাঁড়ারঘর	0.656	0.290	0.509
large	বড়	0.704	0.565	0.736
larger	বৃহত্তর	0.729	0.654	0.763
largo	NO TRANSLATION	0.521	0.480	0.517
lark	দুষ্টুমি	0.570	0.292	0.352
larva	শূককীট	0.245	0.423	0.254
laryngitis	গলদাহ	0.125	0.500	0.370
larynx	স্বরযন্ত্র	0.460	0.420	0.402
lasagna	lasagna	0.719	0.441	0.396
laser	লেজার	0.469	0.531	0.769
lash	কশাঘাত	0.235	0.794	0.609
lass	খুকি	0.656	0.536	0.433
lasso	ফাঁস-দড়ি	0.438	0.460	0.339
lastday	NO TRANSLATION	0.309	0.580	0.463
lasting	দীর্ঘস্থায়ী	0.804	0.535	0.745
lastminute	শেষ মিনিট	0.418	0.582	0.385
latch	হুড়কা	0.395	0.263	0.288
late	বিলম্বে	0.245	0.358	0.315
lateness	বিলম্ব	0.214	0.388	0.343
latent	সুপ্ত	0.469	0.500	0.653
lateral	পার্শ্বীয়	0.469	0.370	0.322
laterally	পার্শ্বত	0.562	0.255	0.450
latex	ক্ষীর	0.479	0.413	0.325
lathe	লেদ	0.510	0.450	0.425
lather	সাবানের ফেনা	0.635	0.327	0.313
latitude	অক্ষাংশ	0.562	0.306	0.490
latrine	পায়খানা	0.380	0.353	0.176
latrines	ল্যাট্রিন	0.214	0.462	0.267
latte	ল্যাটির	0.615	0.320	0.311
lattice	জাফরি	0.406	0.420	0.349
laud	প্রশংসা	0.493	0.427	0.383
laudable	প্রশংসনীয়	0.740	0.472	0.682
laudation	শ্লাঘা	0.542	0.547	0.623
laudatory	প্রশংসাপূর্ণ	0.612	0.417	0.450
laugh	হাসি	0.980	0.639	0.587
laughable	হাস্যকর	0.592	0.627	0.298
laughing	হাস্যময়	0.906	0.596	0.534
laughingstock	NO TRANSLATION	0.427	0.779	0.312
laughs	হাসি	0.812	0.846	0.425
laughter	হাসি	0.959	0.654	0.588
launch	শুরু করা	0.684	0.814	0.598
launcher	লঞ্চার	0.677	0.745	0.808
launches	লঞ্চ	0.490	0.663	0.602
launder	কাচা	0.479	0.450	0.349
laundering	পাচার	0.439	0.327	0.444
laundry	লন্ড্রি	0.644	0.292	0.377
laureate	বিজয়ী	0.724	0.402	0.702
laurel	গুল্মবিশেষ	0.646	0.146	0.302
laurels	জয়মাল্য	0.684	0.279	0.545
lava	লাভা	0.280	0.539	0.615
lavage	lavage	0.615	0.467	0.361
lavatory	পায়খানা	0.510	0.400	0.259
lavender	ল্যাভেন্ডার	0.812	0.198	0.388
lavish	ঢের	0.792	0.648	0.730
law	আইন	0.740	0.590	0.815
lawful	বৈধ	0.660	0.394	0.780
lawless	অনাচার	0.219	0.690	0.420
lawlessness	অনাচার	0.156	0.804	0.509
lawman	lawman	0.510	0.523	0.786
lawn	বনভূমি	0.686	0.153	0.192
lawnmower	lawnmower	0.480	0.531	0.355
lawsuit	মামলা	0.219	0.794	0.611
lawyer	আইনজীবী	0.521	0.569	0.784
lax	শিথিল	0.430	0.401	0.300
laxative	জোলাপ	0.271	0.550	0.528
lay	রাখা	0.521	0.336	0.491
layaway	layaway	0.429	0.510	0.451
layer	স্তর	0.500	0.208	0.366
layered	স্তরপূর্ণ	0.571	0.306	0.436
layman	সাধারণ লোক	0.531	0.339	0.424
layout	বিন্যাস	0.615	0.442	0.557
layover	লেওভার	0.520	0.355	0.500
laziness	আলস্য	0.271	0.240	0.132
lazy	অলস	0.392	0.264	0.096
lazyday	অলস দিন	0.337	0.319	0.145
lea	তৃণক্ষেত্র	0.583	0.294	0.358
lead	নেতৃত্ব	0.323	0.657	0.455
leaded	, leaded	0.439	0.625	0.595
leader	নেতা	0.833	0.582	0.926
leadership	নেতৃত্ব	0.870	0.690	0.983
leading	নেতৃত্ব	0.823	0.698	0.954
leads	বিশালাকার	0.530	0.471	0.615
leaf	গাছের পাতা	0.583	0.156	0.294
leaflet	প্রচারপত্র	0.490	0.206	0.375
leafy	পল্লবিত	0.653	0.530	0.700
league	সন্ধি	0.656	0.340	0.462
leak	ফুটো	0.378	0.833	0.520
leakage	ফুটা হত্তয়া	0.188	0.731	0.528
leaky	ছিদ্রময়	0.170	0.686	0.288
lean	রোগা	0.734	0.353	0.438
leaned	হেলান	0.570	0.373	0.490
leaning	পক্ষপাতী	0.480	0.409	0.352
leap	লাফ	0.750	0.663	0.667
learn	শেখা	0.833	0.643	0.829
learned	জ্ঞানী	0.704	0.462	0.543
learner	শিক্ষার্থী	0.698	0.475	0.398
learning	শিক্ষা	0.833	0.588	0.574
lease	ইজারা	0.520	0.463	0.545
leash	শিকল	0.320	0.347	0.427
leather	চামড়া	0.510	0.324	0.341
leathery	অটল	0.418	0.471	0.411
leave	ছেড়ে	0.375	0.315	0.295
leavemealone	আমাকে একা থাকতে দাও	0.240	0.472	0.402
leaving	ছোড়	0.163	0.542	0.371
lecherous	লম্পট	0.135	0.704	0.376
lecture	বক্তৃতা	0.594	0.462	0.737
lecturer	অধ্যাপক	0.677	0.549	0.736
ledge	স্তর	0.406	0.235	0.339
ledger	খতিয়ান	0.510	0.362	0.609
lee	আচ্ছাদন	0.510	0.269	0.296
leech	জোঁক	0.250	0.623	0.268
leeches	জোঁক	0.115	0.698	0.295
leer	NO TRANSLATION	0.612	0.348	0.509
leery	ধূর্ত	0.337	0.640	0.410
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	অতি সামান্য বিচ্যুতি	0.562	0.577	0.569
left	বাম	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	অবশেষ	0.490	0.460	0.222
leftovers	উচ্ছিষ্ট	0.219	0.350	0.116
lefty	ন্যাটা লোক	0.490	0.406	0.379
leg	পা	0.510	0.373	0.313
legacy	উত্তরাধিকার	0.792	0.529	0.827
legal	আইনগত	0.653	0.387	0.887
legality	বৈধতা	0.765	0.343	0.713
legalize	বৈধ করা	0.510	0.460	0.818
legalized	বৈধ	0.760	0.440	0.855
legally	আইনত	0.771	0.482	0.842
legend	কিংবদন্তি	0.837	0.519	0.750
legendary	কাল্পনিক	0.857	0.537	0.863
legibility	স্পষ্টতা	0.771	0.481	0.580
legible	সহজপাঠ্য	0.673	0.279	0.509
legion	সৈন্যবাহিনী	0.469	0.570	0.852
legislate	আইন পাস করা	0.571	0.582	0.736
legislation	আইন	0.531	0.418	0.808
legislative	বিধানিক	0.633	0.365	0.800
legislator	বিধানকর্তা	0.490	0.580	0.877
legislature	আইন-সভা	0.540	0.435	0.698
legit	পাঠ্য	0.747	0.427	0.849
legitimacy	বৈধতা	0.823	0.420	0.855
legitimate	বৈধ	0.792	0.363	0.841
lego	লেগো	0.600	0.294	0.189
legs	পাগুলো	0.479	0.407	0.228
legume	কলাই	0.520	0.302	0.465
legwork	legwork	0.622	0.560	0.509
leisure	অবসর	0.631	0.429	0.421
leisurely	ব্যস্ততাহীন	0.806	0.250	0.367
lemma	থিম	0.530	0.284	0.391
lemon	লেবু	0.596	0.317	0.316
lemonade	সরবৎ	0.661	0.287	0.412
lend	ধার	0.520	0.461	0.508
lender	সুদখোর	0.340	0.520	0.703
lending	ঋণদান	0.510	0.585	0.462
length	লম্বা	0.479	0.308	0.533
lengthen	প্রলম্বিত করা	0.619	0.481	0.566
lengthened	lengthened	0.448	0.530	0.474
lengthening	দৈর্ঘ্য	0.673	0.530	0.528
lengthwise	সটান	0.571	0.470	0.528
lengthy	লম্বা	0.570	0.342	0.528
leniency	ধৈর্য	0.517	0.436	0.545
lenient	কোমল	0.520	0.451	0.340
lens	লেন্স	0.420	0.245	0.472
leopard	চিতা	0.542	0.755	0.611
leotard	ব্যালেনর্তকদের একধরনের আঁটসাঁট পোশাক	0.510	0.429	0.391
leper	কুষ্ঠী	0.075	0.589	0.206
leprechaun	দুষ্টু পরী	0.417	0.480	0.417
leprosy	কুষ্ঠব্যাধি	0.130	0.670	0.349
lesbian	লেসবিয়ান	0.385	0.660	0.415
lesbianism	সমকামী	0.327	0.725	0.440
lesion	ক্ষত	0.240	0.623	0.361
less	কম	0.265	0.240	0.115
lessee	ইজারাদার	0.417	0.474	0.595
lessen	হ্রাস করা	0.235	0.284	0.255
lessening	কমিয়ে	0.375	0.300	0.277
lesser	ক্ষুদ্রতর	0.396	0.167	0.211
lesson	পাঠ	0.704	0.577	0.593
lessor	ইজারাদাতা	0.552	0.490	0.623
let	দিন	0.427	0.373	0.307
lethal	মারাত্মক	0.156	0.800	0.745
lethargic	অলস	0.214	0.245	0.375
lethargy	তন্দ্রা	0.194	0.302	0.316
letter	চিঠি	0.635	0.279	0.342
lettered	অক্ষরবিশিষ্ট	0.542	0.361	0.482
letterhead	লেটারহেডে	0.450	0.316	0.462
lettering	অক্ষর	0.541	0.180	0.431
letters	অক্ষর	0.663	0.327	0.364
lettuce	লেটুস	0.594	0.163	0.291
leukemia	শ্বেতকণিকাধিক্যঘটিত রক্তাল্পতা	0.094	0.572	0.351
levee	নদীতীরের বাঁধ	0.520	0.324	0.490
level	উচ্চতা	0.622	0.277	0.491
lever	লিভার	0.400	0.343	0.402
leverage	উদ্দেশ্যসাধনের উপায়	0.459	0.500	0.629
levitate	ভাসান	0.561	0.598	0.551
levy	আরোপ	0.438	0.420	0.491
lewd	লুচ্চা	0.188	0.673	0.412
lexicon	শব্দকোষ	0.561	0.463	0.615
ley	NO TRANSLATION	0.604	0.389	0.764
liabilities	দায়	0.429	0.608	0.694
liability	দায়	0.646	0.500	0.802
liable	দায়ী	0.656	0.519	0.821
liaison	মৈত্রী	0.698	0.337	0.472
liar	মিথ্যাবাদী	0.042	0.606	0.339
libel	পরনিন্দা	0.128	0.694	0.403
libelous	মানহানিকর	0.125	0.735	0.436
liberal	উদার	0.565	0.565	0.755
liberalism	উদারনীতি	0.562	0.712	0.750
liberate	মুক্ত করা	0.760	0.632	0.708
liberated	বিমুক্ত	0.780	0.630	0.683
liberating	মুক্তিদান	0.915	0.620	0.745
liberation	স্বাধীনতা	0.745	0.614	0.857
liberty	স্বাধীনতা	0.938	0.579	0.836
libido	কামশক্তি	0.770	0.602	0.571
librarian	গ্রন্থাগারিক	0.625	0.135	0.509
library	গ্রন্থাগার	0.776	0.122	0.549
libretto	যাত্রাগানের বই	0.612	0.328	0.406
lice	উকুন	0.133	0.500	0.194
license	লাইসেন্স	0.500	0.394	0.702
lichen	শৈবাল	0.418	0.388	0.463
lick	লেহন	0.470	0.482	0.330
licorice	যষ্টিমধু	0.677	0.310	0.400
lid	ঢাকনা	0.490	0.189	0.255
lie	মিথ্যা	0.130	0.725	0.272
liege	সম্রাট্	0.479	0.426	0.452
lien	লিয়েন	0.396	0.580	0.441
lieu	বদলে	0.427	0.410	0.312
lieutenant	বদলি	0.594	0.612	0.920
life	জীবন	0.918	0.615	0.824
lifeblood	রক্ত	0.673	0.690	0.708
lifeboat	লাইফ বোট	0.724	0.425	0.533
lifeguard	দেহরক্ষী	0.870	0.606	0.786
lifeisgood	জীবন সুন্দর	0.812	0.575	0.611
lifeless	নির্জীব	0.042	0.333	0.163
lifelike	জীবন্ত বলিয়া প্রতীয়মান	0.776	0.567	0.765
lifeline	লাইফলাইন	0.735	0.552	0.496
lifelong	জীবনব্যাপী	0.823	0.330	0.640
lifer	যাবজ্জীবন কারাদণ্ডের আদেশ	0.427	0.519	0.398
lifesaver	রক্ষাকর্তা	0.908	0.745	0.703
lifestyle	জীবনধারা	0.750	0.472	0.645
lifesucks	দুর্বিষহ জীবন	0.167	0.637	0.377
lifetime	জীবনকাল	0.816	0.559	0.736
lift	উত্তোলন	0.704	0.518	0.656
lifted	উত্তোলিত	0.714	0.441	0.657
liftoff	liftoff	0.531	0.667	0.588
ligament	সন্ধিবন্ধনী	0.490	0.410	0.510
ligation	বন্ধ্যাকরণ	0.344	0.423	0.396
ligature	পটীবন্ধনী	0.478	0.430	0.447
light	আলো	0.771	0.320	0.519
light year	হালকা বছর	0.719	0.425	0.593
lightbulb	লাইটবাল্ব	0.573	0.255	0.302
lighten	হালকা করা	0.688	0.438	0.362
lightheaded	উদ্ভ্রান্ত	0.347	0.620	0.255
lighthouse	বাতিঘর	0.622	0.240	0.510
lighting	প্রজ্বলন	0.765	0.440	0.750
lightness	লঘিমা	0.794	0.360	0.526
lightning	বজ্র	0.429	0.683	0.595
lights	আলো	0.750	0.480	0.575
lightweight	লাইটওয়েট	0.670	0.300	0.358
likable	মনোরম	0.865	0.480	0.663
like	মত	0.719	0.353	0.446
likelihood	সম্ভাবনা	0.760	0.469	0.542
likely	সম্ভবত	0.633	0.356	0.454
likeness	উপমা	0.688	0.410	0.561
likewise	অনুরূপভাবে	0.651	0.217	0.312
liking	পছন্দ	0.963	0.604	0.589
lilac	বেগুনি	0.688	0.180	0.357
lily	কমল	0.640	0.245	0.263
limb	অবয়ব	0.510	0.397	0.427
limber	নমনীয়	0.688	0.729	0.673
limbo	নরকের প্রান্ত	0.385	0.284	0.309
lime	চুন	0.594	0.240	0.415
limelight	খ্যাতির ছটা	0.667	0.639	0.694
limestone	চুনাপাথর	0.602	0.323	0.381
limey	limey	0.469	0.347	0.415
