Word	Somali-so	Valence	Arousal	Dominance
lunchbox	sanduuqa qadada	0.663	0.346	0.346
luncheon	qado	0.837	0.240	0.441
lunchtime	waqtiga qadada	0.896	0.398	0.444
lung	sambabada	0.510	0.292	0.629
lunge	garaacid	0.354	0.721	0.509
lungs	sambabada	0.531	0.352	0.555
lurch	waa la hayaa	0.404	0.694	0.363
lure	caaro	0.439	0.565	0.300
lurid	lurid	0.186	0.833	0.536
lurk	lurk	0.219	0.740	0.655
lurking	isbedelka	0.421	0.781	0.575
luscious	kalsooni	0.885	0.552	0.545
lush	luuq	0.740	0.783	0.833
lust	jecel	0.469	0.944	0.518
luster	baaqul	0.833	0.566	0.558
lustful	runtii	0.427	0.896	0.643
lustrous	daacadnimo	0.771	0.606	0.598
lusty	Fudud	0.469	0.941	0.673
lute	lute	0.459	0.407	0.500
luxuriant	raaxo leh	0.760	0.745	0.812
luxurious	raaxo leh	0.947	0.644	0.754
luxury	raaxo	0.932	0.673	0.750
lycra	lycra	0.520	0.449	0.328
lye	lye	0.378	0.396	0.443
lying	been	0.208	0.704	0.317
lymph	lymph	0.398	0.510	0.390
lymphatic	lymphatic	0.380	0.509	0.472
lymphoma	Lymphoma	0.208	0.645	0.330
lynch	lynch	0.167	0.885	0.482
lynching	lynching	0.135	0.920	0.548
lynx	lynx	0.510	0.590	0.567
lyre	lyre	0.719	0.347	0.414
lyric	lyric	0.702	0.269	0.464
lyrical	lyrical	0.708	0.451	0.618
lyrics	lyrics	0.582	0.214	0.333
macadamia	Macadamiya	0.635	0.330	0.434
macarena	macarena	0.802	0.601	0.368
macaroni	macaroni	0.816	0.410	0.382
mace	mace	0.450	0.412	0.415
mach	mach	0.541	0.432	0.463
machete	duugo	0.260	0.690	0.474
machine	mashiinka	0.510	0.500	0.707
machinery	mishiinada	0.458	0.615	0.629
machinist	mishiinka	0.490	0.598	0.721
macho	macho	0.643	0.690	0.676
mackerel	mackerel	0.418	0.423	0.426
macro	macro	0.552	0.469	0.647
mad	waalan	0.219	0.873	0.277
madam	Marwo	0.580	0.308	0.571
madame	madame	0.604	0.500	0.635
madden	madden	0.329	0.602	0.457
madder	madder	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	madamyday	0.694	0.573	0.537
madhouse	Madhouse	0.156	0.736	0.440
madman	madman	0.135	0.880	0.312
madness	dareen	0.104	0.804	0.440
maestro	maestro	0.823	0.357	0.849
mafia	mafia	0.204	0.867	0.676
magazine	wargeyska	0.615	0.332	0.377
mage	magee	0.622	0.373	0.453
magenta	magenta	0.635	0.275	0.415
maggot	maggot	0.235	0.500	0.235
magic	sixir	0.868	0.663	0.578
magical	muusik	0.875	0.651	0.595
magician	macalinka	0.714	0.657	0.551
magistrate	garsoore	0.587	0.541	0.904
magma	Magma	0.323	0.623	0.609
magna	magna	0.605	0.490	0.652
magnate	weynaan	0.627	0.708	0.868
magnesium	magnesium	0.542	0.320	0.321
magnet	Magnet	0.571	0.318	0.553
magnetic	magnetic	0.612	0.529	0.673
magnetism	magnetism	0.630	0.529	0.741
magnetite	magnetite	0.531	0.490	0.581
magnification	weyneynin	0.890	0.615	0.880
magnificence	weynaanta	0.802	0.810	0.920
magnificent	cajiib ah	1.000	0.680	0.886
magnifier	weyneeyaha	0.469	0.216	0.345
magnify	waynee	0.729	0.561	0.839
magnifying	weynaanta	0.594	0.265	0.406
magnitude	miisaanka	0.608	0.613	0.774
magnolia	Magnolia	0.558	0.343	0.379
magpie	magpie	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	Mahjong	0.556	0.418	0.440
mahogany	muqdisho	0.602	0.225	0.393
maid	gabadh	0.406	0.324	0.300
maiden	gabdhaha	0.755	0.396	0.461
mail	boostada	0.615	0.231	0.548
mailbox	boostada	0.573	0.222	0.404
mailing	dirista	0.688	0.324	0.375
mailman	mailman	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	ugu weyn	0.667	0.510	0.811
mainframe	iskuulka	0.531	0.490	0.557
mainland	dhul-beereedka	0.680	0.407	0.806
mainstay	muhiimadda	0.694	0.400	0.713
mainstream	guud ahaan	0.653	0.527	0.660
maintain	sii wad	0.684	0.398	0.647
maintenance	dayactirka	0.592	0.410	0.545
majestic	haybad	0.948	0.731	0.906
majesty	majiraan	0.823	0.602	0.955
major	weyn	0.684	0.538	0.874
majority	inta badan	0.684	0.560	0.930
make	samee	0.684	0.420	0.480
makeover	sameynta	0.771	0.510	0.596
maker	sameeyaha	0.698	0.544	0.706
makeshift	qadarin	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	isqurxin	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	malady	0.190	0.686	0.304
malaise	wax xun	0.150	0.600	0.161
malaria	duumada	0.125	0.653	0.304
malarkey	malarkey	0.396	0.500	0.465
male	lab ah	0.612	0.532	0.695
malevolent	nacasnimo	0.094	0.854	0.613
malfeasance	xumayn	0.062	0.745	0.325
malformation	maleyn	0.083	0.602	0.357
malfunction	cillad	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	xaasidnimo	0.177	0.765	0.607
malign	malignimo	0.140	0.765	0.481
malignancy	malignancy	0.149	0.814	0.614
malignant	malignant	0.143	0.824	0.370
maligned	xumaan	0.102	0.684	0.218
mall	Suuqa	0.724	0.663	0.492
malleable	malleable	0.500	0.500	0.391
mallet	mallet	0.354	0.390	0.483
malnutrition	nafaqo daro	0.024	0.592	0.277
malpractice	xumeyn	0.094	0.559	0.330
malt	malt	0.750	0.373	0.324
mama	Mama	0.860	0.413	0.728
mambo	Mambo	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	naasku	0.618	0.449	0.421
mammoth	mammoth	0.480	0.471	0.537
mammy	mammy	0.680	0.415	0.436
man	nin	0.688	0.427	0.767
manage	maamul	0.560	0.530	0.719
manageable	la maamuli karo	0.750	0.361	0.655
management	maamulka	0.792	0.491	0.806
manager	tababaraha	0.625	0.549	0.897
managerial	maamulka	0.604	0.520	0.791
mandamus	mandamus	0.439	0.577	0.556
mandarin	mandarin	0.625	0.398	0.491
mandate	waajib ah	0.448	0.670	0.779
mandatory	khasab	0.271	0.667	0.777
mandible	awood u leh	0.510	0.431	0.500
mandolin	mandolin	0.708	0.433	0.367
mandrel	mandheerta	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	maneuver	0.615	0.663	0.608
maneuvering	maneuvering	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	manger	0.656	0.276	0.398
mangle	mangle	0.292	0.449	0.355
mango	mango	0.765	0.327	0.290
mangosteen	mangosteen	0.562	0.500	0.414
mangy	mangy	0.214	0.698	0.270
manhole	manjo	0.378	0.500	0.516
manhood	manhood	0.625	0.735	0.858
manhunt	manhum	0.145	0.925	0.657
mania	mania	0.290	0.683	0.382
maniac	maniac	0.120	0.849	0.431
maniacal	maniacal	0.200	0.848	0.500
manic	manic	0.054	0.892	0.368
manicure	manicure	0.706	0.308	0.284
manicurist	manicurist	0.583	0.352	0.341
manifest	muujin	0.667	0.647	0.704
manifestation	muuqda	0.583	0.750	0.655
manifested	muujiyey	0.580	0.618	0.667
manifestly	caddayn	0.469	0.588	0.577
manifesto	muuqaal	0.646	0.519	0.676
manifold	manifold	0.500	0.461	0.435
manipulate	wax ka qabashada	0.255	0.700	0.772
manipulation	shaqaynta	0.188	0.775	0.536
manipulative	wax-qabad	0.177	0.724	0.546
mankind	aadanaha	0.823	0.471	0.768
manly	manly	0.698	0.633	0.846
manna	manna	0.698	0.294	0.544
manned	manned	0.551	0.588	0.484
mannequin	manuquin	0.427	0.302	0.295
manner	hab	0.618	0.250	0.320
mannered	hareeraysan	0.469	0.556	0.291
manners	dhaqan	0.816	0.284	0.517
manor	mooro	0.646	0.358	0.738
manpower	shaqeeyaa	0.531	0.620	0.543
mansion	dhismo	0.847	0.490	0.717
mansions	guryaha	0.735	0.529	0.777
manslaughter	xishood la'aan	0.090	0.920	0.473
mantel	mantel	0.500	0.265	0.471
mantis	mantis	0.480	0.355	0.421
mantle	xargaha	0.510	0.269	0.422
mantra	mantra	0.396	0.249	0.357
manual	buug	0.635	0.245	0.449
manufacture	wax soo saar	0.868	0.703	0.780
manufacturer	soo saaraha	0.688	0.537	0.830
manufacturing	wax soo saarka	0.653	0.613	0.804
manure	digada	0.250	0.471	0.241
manuscript	qoraallada	0.510	0.208	0.540
map	khariidada	0.561	0.229	0.463
maple	maple	0.541	0.390	0.339
mar	mar	0.622	0.544	0.545
marathon	marathon	0.646	0.778	0.740
marble	marble	0.604	0.212	0.667
marbled	marbled	0.396	0.385	0.418
marbles	marbles	0.714	0.345	0.241
march	Maarso	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	margarine	0.530	0.316	0.333
margarita	margarita	0.750	0.438	0.420
margin	margin	0.500	0.219	0.331
marginal	marginal	0.235	0.644	0.345
mariachi	mariachi	0.710	0.559	0.609
marijuana	marijuana	0.312	0.779	0.558
marinara	marinara	0.657	0.388	0.435
marine	badda	0.633	0.471	0.679
mariner	mariner	0.652	0.491	0.676
marital	guurka	0.760	0.529	0.500
maritime	badda	0.646	0.490	0.713
mark	calaamadee	0.491	0.231	0.600
marked	calaamadeeyay	0.592	0.358	0.554
marker	calaamadeeyaha	0.500	0.333	0.605
market	suuqa	0.724	0.480	0.521
marketable	la iibsan karo	0.746	0.545	0.664
marketing	suuq geynta	0.521	0.774	0.675
marketplace	suuqa	0.698	0.420	0.525
marks	calaamadaha	0.430	0.480	0.424
marksman	marksman	0.500	0.833	0.692
marksmanship	markasmanship	0.573	0.531	0.664
marl	marl	0.372	0.471	0.351
marmalade	marmalade	0.729	0.370	0.288
maroon	maroon	0.469	0.358	0.336
marooned	marooned	0.229	0.480	0.160
marquee	marquee	0.602	0.284	0.508
marquis	marquis	0.521	0.444	0.562
marred	gooyay	0.181	0.561	0.233
marriage	guurka	0.844	0.684	0.750
married	guursatay	0.674	0.570	0.602
marrow	dhuuxa	0.398	0.422	0.472
marry	guursato	0.896	0.765	0.673
marsh	marsh	0.302	0.358	0.277
marshal	marshal	0.469	0.610	0.819
marshmallow	marshmallow	0.740	0.441	0.391
mart	Maarso	0.531	0.402	0.418
martial	dagaal	0.480	0.710	0.737
martingale	martingale	0.469	0.510	0.455
martini	martini	0.828	0.500	0.519
martyr	shahiid	0.281	0.708	0.509
martyrdom	shahiidnimo	0.323	0.745	0.442
marvel	yaabay	0.961	0.755	0.866
marvellous	cajiib ah	0.878	0.809	0.849
marvelous	cajiib ah	0.948	0.637	0.778
marvelously	si cajiib leh	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	mascara	0.575	0.450	0.269
mascot	mascot	0.750	0.337	0.337
masculine	ragga	0.653	0.540	0.773
masculinity	ragga	0.583	0.670	0.851
mash	Mash	0.440	0.363	0.283
mashed	la shiiday	0.531	0.337	0.194
mask	maaskaro	0.510	0.490	0.537
masked	masked	0.375	0.549	0.518
masks	maaskaro	0.510	0.472	0.241
masochism	masochism	0.194	0.845	0.483
masochist	masochist	0.164	0.784	0.353
mason	mason	0.541	0.442	0.580
masquerade	masquerade	0.431	0.633	0.446
mass	tiro	0.458	0.245	0.277
massacre	xasuuq	0.031	0.887	0.640
massage	duugista	0.708	0.356	0.413
masses	masses	0.552	0.453	0.473
masseur	masseur	0.622	0.265	0.463
masseuse	masseuse	0.594	0.373	0.391
massive	weyn	0.569	0.660	0.750
mast	mast	0.542	0.390	0.580
master	macallin	0.694	0.490	0.849
masterful	aqoon leh	0.854	0.510	0.960
mastermind	macalinka	0.792	0.625	0.918
masterpiece	sawirqaade	0.926	0.623	0.847
mastery	baqdin	0.755	0.648	0.873
masturbate	niyad jabin	0.552	0.926	0.500
masturbation	niyadjab	0.542	0.961	0.509
mat	mat	0.459	0.221	0.304
matador	matador	0.224	0.880	0.667
match	ciyaarta	0.599	0.573	0.500
matchbook	cayaarta ciyaaraha	0.562	0.391	0.412
matching	isdhaafka	0.719	0.735	0.418
matchmaker	ciyaaraha	0.615	0.509	0.519
mate	saaxiibka	0.847	0.417	0.669
material	wax	0.521	0.363	0.439
materialism	waxtarka	0.220	0.390	0.556
materialist	Waxyaabaha	0.255	0.491	0.504
materialistic	waxtarka	0.420	0.506	0.589
materiality	macaamilka	0.417	0.450	0.636
materialize	ka dhigo	0.688	0.596	0.728
materially	maadi ahaan	0.490	0.451	0.670
materials	qalabka	0.633	0.361	0.473
materiel	qalab	0.531	0.294	0.417
maternal	hooyada	0.847	0.417	0.634
maternity	hooyada	0.865	0.480	0.622
math	xisaab	0.417	0.375	0.600
mathematical	xisaabeed	0.620	0.500	0.548
mathematician	xisaabiyaha	0.541	0.418	0.773
mathematics	xisaabta	0.438	0.435	0.664
matinee	matinee	0.694	0.578	0.447
mating	labiska	0.755	0.840	0.759
matriculation	Buuxinta	0.622	0.490	0.675
matrimony	xaaska	0.850	0.637	0.843
matrix	Matrix	0.551	0.378	0.673
matron	mataan	0.520	0.519	0.555
matted	mateen	0.281	0.519	0.393
matter	arrinta	0.487	0.353	0.562
matting	mataansho	0.479	0.405	0.423
mattress	joodariga	0.612	0.255	0.397
maturation	koriinka	0.612	0.439	0.698
mature	baaluq	0.625	0.347	0.600
maturity	qaan-gaarin	0.827	0.400	0.806
maudlin	maudlin	0.337	0.417	0.368
mausoleum	dhagaxaan	0.344	0.281	0.594
mauve	mauve	0.533	0.330	0.314
maverick	Maverick	0.354	0.676	0.409
maxim	maxim	0.875	0.562	0.887
maximize	ugu badnaan	0.823	0.765	0.792
maximum	ugu badnaan	0.724	0.724	0.852
may	laga yaabaa	0.704	0.273	0.245
mayday	mayday	0.344	0.643	0.423
mayflower	mayalkow	0.690	0.463	0.429
mayhem	mayhem	0.188	0.870	0.364
mayonnaise	majones	0.510	0.320	0.222
mayor	duqa magaalada	0.469	0.481	0.818
maze	labiska	0.438	0.608	0.444
mead	mead	0.667	0.337	0.441
meadow	meadho	0.622	0.130	0.382
meager	wax yar	0.144	0.389	0.281
meal	cuntada	0.833	0.461	0.473
mean	macnaheedu	0.440	0.467	0.620
meander	meeraha	0.480	0.443	0.454
meandering	meandering	0.427	0.644	0.539
meanie	macneheedu waa	0.388	0.420	0.404
meaning	macnaha	0.663	0.395	0.625
meaningful	macno leh	0.770	0.500	0.802
meaningless	micno la'aan	0.156	0.314	0.143
meanness	macnaha	0.102	0.694	0.368
means	macnaheedu waa	0.615	0.373	0.460
meantime	hadda	0.432	0.222	0.300
measles	jadeecada	0.092	0.635	0.422
measurable	la qiyaasi karo	0.604	0.410	0.602
measure	qiyaas	0.510	0.375	0.365
measured	la qiyaasay	0.542	0.265	0.578
measurement	cabbiraadda	0.622	0.418	0.491
measuring	cabbiraadda	0.448	0.337	0.529
measuring cup	cabbirka koobi	0.557	0.343	0.377
measuring tape	qiyaasida cajalad	0.337	0.280	0.327
meat	hilibka	0.612	0.421	0.413
meatball	kubbadda hilibka	0.612	0.279	0.343
meathead	meathead	0.306	0.534	0.490
meatloaf	hiliblaha	0.625	0.389	0.375
mechanic	makaanikada	0.571	0.433	0.566
mechanical	farsamada	0.479	0.569	0.564
mechanics	farsamada	0.542	0.500	0.761
mechanism	farsamo	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	bilad	0.854	0.555	0.746
medallion	madadaalo	0.750	0.510	0.710
medallist	abaalmarin	0.796	0.821	0.897
meddle	dhexgal	0.302	0.770	0.526
meddling	dhexgalka	0.245	0.600	0.461
media	warbaahinta	0.500	0.330	0.464
medial	medial	0.458	0.340	0.429
median	dhexdhexaad	0.459	0.216	0.375
mediate	dhexdhexaadin	0.635	0.308	0.654
mediation	dhexdhexaadin	0.661	0.350	0.657
mediator	dhexdhexaadiyaha	0.592	0.438	0.580
medic	daawooyinka	0.500	0.472	0.585
medical	caafimaadka	0.583	0.373	0.616
medicate	daawo	0.417	0.375	0.546
medication	daawo	0.615	0.439	0.500
medicinal	daawo	0.667	0.417	0.614
medicine	daawada	0.708	0.318	0.679
medieval	dhexdhexaad ah	0.560	0.408	0.455
mediocre	dhexdhexaad ah	0.188	0.481	0.149
mediocrity	dhexdhexaadinta	0.073	0.398	0.225
meditate	ka fikir	0.812	0.146	0.564
meditating	fikirka	0.718	0.185	0.399
meditation	fikirka	0.786	0.120	0.478
meditative	meditative	0.614	0.120	0.454
mediterranean	isbeddel	0.663	0.454	0.545
medium	dhexdhexaad ah	0.559	0.356	0.358
medley	dhexaad	0.487	0.352	0.400
meek	qabow	0.531	0.150	0.198
meet	kulan	0.760	0.510	0.580
meeting	kulan	0.750	0.569	0.613
mega	mega	0.724	0.538	0.723
meh	meh	0.380	0.286	0.365
melancholic	melancholic	0.181	0.306	0.277
melancholy	murugo	0.188	0.260	0.237
melee	jilbaha	0.541	0.704	0.611
mellow	mellow	0.633	0.069	0.265
melodious	melodyo	0.932	0.530	0.587
melodrama	melodrama	0.378	0.830	0.446
melodramatic	melodramatic	0.235	0.692	0.368
melody	heesaha	0.847	0.434	0.405
melon	qaraha	0.461	0.231	0.271
melt	dhalaalayaa	0.448	0.615	0.312
meltdown	meltdown	0.629	0.657	0.602
melting	dhalaalid	0.592	0.470	0.538
member	xubin	0.698	0.333	0.555
membership	xubin	0.698	0.411	0.778
membrane	xajinta	0.406	0.430	0.418
memento	memento	0.708	0.360	0.536
memo	xusuusin	0.625	0.235	0.407
memoir	xusuusin	0.750	0.242	0.553
memorabilia	xusuusin	0.780	0.412	0.491
memorable	xusuusi	0.939	0.510	0.769
memorandum	xusuusin	0.600	0.500	0.639
memorial	xusuus	0.602	0.304	0.600
memorials	xusuusin	0.771	0.333	0.679
memories	xusuusto	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	xusuuso	0.520	0.451	0.716
memory	xasuusta	0.792	0.378	0.573
menace	cabsi	0.125	0.894	0.759
menacing	xannibaad	0.042	0.880	0.643
menagerie	menagerie	0.573	0.480	0.538
mend	dib u habeyn	0.542	0.436	0.602
mending	gaabis ah	0.500	0.633	0.657
menial	miisaan	0.490	0.420	0.352
meningitis	qoorgooyaha	0.104	0.612	0.407
meniscus	meniscus	0.323	0.330	0.453
menopause	Menopause	0.204	0.460	0.306
menses	qoorta	0.163	0.686	0.331
menstrual	caadada	0.408	0.519	0.435
mental	maskax ahaan	0.490	0.490	0.585
mentalhealth	NO TRANSLATION	0.562	0.541	0.670
mentality	maskaxda	0.711	0.415	0.726
menthol	menthol	0.490	0.292	0.433
mention	xusuusnow	0.562	0.365	0.562
mentor	hagaha	0.719	0.455	0.777
menu	menu	0.633	0.333	0.385
meow	mow	0.510	0.510	0.412
mercantile	ganacsade	0.480	0.490	0.713
mercenary	nacasnimo	0.245	0.837	0.673
merchandise	Ganacsi	0.594	0.460	0.621
merchant	ganacsade	0.675	0.500	0.620
merciful	naxariis badan	0.854	0.346	0.500
merciless	raali gelin	0.062	0.880	0.634
mercurial	mercurial	0.490	0.546	0.518
mercury	meerkuriga	0.337	0.312	0.475
mercy	naxariis	0.719	0.229	0.500
mere	kaliya	0.396	0.221	0.176
merengue	merengue	0.688	0.519	0.442
merge	isku dar	0.760	0.480	0.733
merger	mideynta	0.592	0.490	0.642
meridian	Meridian	0.510	0.324	0.558
meridional	kali ah	0.365	0.290	0.600
meringue	duuban	0.625	0.580	0.411
merit	mudnaan	0.854	0.500	0.722
meritorious	uqaabilsan	0.781	0.618	0.855
mermaid	mermaid	0.765	0.623	0.452
merriment	merriment	0.948	0.721	0.632
merry	faraxsanahay	0.979	0.731	0.764
merrychristmas	NO TRANSLATION	0.888	0.510	0.536
mesa	mesa	0.604	0.191	0.319
mescaline	mescaline	0.490	0.580	0.415
mesh	mesh	0.429	0.235	0.371
meshes	Meshes	0.440	0.363	0.362
mesmerized	dhalanteed	0.520	0.552	0.421
mess	qasan	0.143	0.843	0.273
message	farriin	0.650	0.391	0.415
messedup	NO TRANSLATION	0.333	0.615	0.358
messenger	Rasuul ah	0.694	0.434	0.500
messiah	messiah	0.781	0.634	0.800
messy	murugeysan	0.260	0.635	0.140
metabolic	metabolic	0.408	0.531	0.559
metabolism	metabolism	0.698	0.509	0.555
metal	biraha	0.551	0.429	0.547
metallic	metallic	0.615	0.330	0.607
metallurgy	metallurgy	0.396	0.509	0.587
metamorphosis	metamorphosis	0.541	0.571	0.613
metaphor	tusaaleyn	0.562	0.280	0.470
metaphorical	tusaalooyin	0.500	0.412	0.480
metaphysical	metaphysical	0.630	0.573	0.686
metaphysics	metaphysics	0.561	0.396	0.588
metastasis	metastasis	0.177	0.646	0.452
meteor	meteor	0.398	0.714	0.737
meteoric	meteoric	0.590	0.802	0.684
meteorite	meteorite	0.385	0.794	0.750
meteorological	meteorological	0.635	0.557	0.556
meteorology	meteorology	0.630	0.418	0.689
meter	mitir	0.438	0.300	0.463
meth	meth	0.354	0.564	0.340
methadone	methadone	0.240	0.540	0.453
methane	methane	0.290	0.460	0.569
methanol	methanol	0.292	0.500	0.570
method	habka	0.640	0.275	0.698
methodical	habeyn	0.663	0.360	0.745
methodology	qaabka	0.664	0.327	0.745
meticulous	tifaftiran	0.555	0.480	0.555
metime	Muuqaalka	0.531	0.398	0.417
metric	metric	0.519	0.248	0.573
metrical	Muuqaal	0.521	0.375	0.482
metrology	metrology	0.531	0.432	0.439
metropolis	magaalo weyn	0.656	0.625	0.779
metropolitan	magaalo weyn	0.387	0.408	0.723
mettle	mettle	0.667	0.529	0.750
mew	Mew	0.418	0.481	0.380
mezzanine	mezzanine	0.479	0.427	0.404
mica	mica	0.531	0.250	0.314
mick	mick	0.449	0.451	0.382
micro	micro	0.500	0.270	0.250
microbe	mikrobe	0.255	0.450	0.340
microbiology	mikrobiyoloji	0.571	0.378	0.560
microchip	microchip	0.551	0.358	0.432
microcosm	microcosm	0.500	0.500	0.520
microfilm	microfilm	0.469	0.352	0.412
microgram	mikrogram	0.448	0.286	0.355
micrometer	micrometer	0.573	0.358	0.394
micron	mikron	0.375	0.291	0.315
microphone	makarafoonka	0.551	0.431	0.462
microscope	mikroskoob	0.531	0.330	0.464
microscopic	microscopic	0.360	0.327	0.433
microscopically	microscopically	0.623	0.370	0.412
microscopy	mikroskoobo	0.500	0.339	0.455
microwave	microwave	0.542	0.497	0.443
mid	dhexe	0.500	0.315	0.356
midair	midur	0.633	0.413	0.455
midday	habeenkii	0.658	0.250	0.403
middle	dhexe	0.458	0.157	0.300
middleman	dhexdhexaadiye	0.500	0.404	0.452
middleweight	dhexdhexaad	0.510	0.302	0.428
midget	bartamaha	0.396	0.295	0.254
midland	midland	0.521	0.402	0.456
midlife	bartamaha	0.594	0.244	0.473
midline	bartamihii dhexe	0.332	0.224	0.330
midnight	habeenbarka	0.562	0.470	0.545
midshipman	midnimada	0.469	0.615	0.785
midst	dhexda	0.324	0.275	0.296
midsummer	bartamaha	0.781	0.480	0.492
midterm	dhexdhexaad ah	0.427	0.337	0.425
midtown	bartamaha magaalada	0.479	0.442	0.538
midway	badhtamaha	0.459	0.316	0.304
midwife	ummuliso	0.531	0.570	0.453
midwifery	umulisooyin	0.510	0.570	0.459
mien	NO TRANSLATION	0.500	0.352	0.447
miffed	miffed	0.204	0.726	0.429
mighty	xoog leh	0.855	0.837	0.936
mignon	mignon	0.551	0.440	0.423
migraine	xanuunka dhanjafka	0.135	0.783	0.318
migrate	u haajiraan	0.415	0.580	0.454
migration	guuritaanka	0.492	0.731	0.566
migratory	guurguurta	0.448	0.521	0.491
mike	Mike	0.542	0.365	0.423
mil	NO TRANSLATION	0.534	0.388	0.347
mild	khafiif ah	0.635	0.198	0.216
mildew	caarada	0.344	0.250	0.241
mildness	buuq	0.827	0.226	0.311
mile	mayl	0.521	0.417	0.456
mileage	moos	0.510	0.458	0.562
milestone	guuleysiga	0.719	0.373	0.558
militant	xagjir ah	0.418	0.667	0.750
militants	Xagjiriin	0.260	0.673	0.652
military	ciidan	0.396	0.710	0.875
militia	maliishiyaadka	0.396	0.729	0.769
milk	caanaha	0.817	0.270	0.327
milkman	milkman	0.750	0.380	0.304
milkshake	milkshake	0.796	0.521	0.330
milky	caan	0.517	0.283	0.311
mill	dhagax	0.531	0.382	0.347
millennium	sano jir	0.573	0.398	0.760
milligram	milligaraam	0.429	0.217	0.302
millimeter	millimeter	0.427	0.177	0.360
million	milyan	0.776	0.647	0.812
millionaire	milyaneer	0.917	0.755	0.850
millionth	milyan	0.635	0.528	0.611
millstone	millstone	0.510	0.433	0.492
mime	mime	0.455	0.235	0.302
mimic	naqshad	0.557	0.587	0.391
mimicking	jadwalka	0.316	0.433	0.364
mimicry	mimicry	0.420	0.337	0.472
mince	fal waxashnimo leh	0.417	0.529	0.378
mincemeat	Mincemeat	0.396	0.435	0.358
mind	maskaxda	0.650	0.388	0.627
minded	maskaxda ku hay	0.656	0.394	0.627
mindful	xusuusnow	0.765	0.450	0.725
mindfulness	dareenka	0.729	0.635	0.745
mindless	maskax lahayn	0.184	0.333	0.153
mine	anigaa iska leh	0.688	0.418	0.578
minefield	miro yar	0.188	0.839	0.684
miner	macdan	0.408	0.594	0.644
mineral	macdanta	0.519	0.287	0.605
mineralogy	macdanta	0.551	0.408	0.545
mingle	isdhexgalka	0.561	0.480	0.434
mingled	isku duuban	0.521	0.392	0.357
mini	mini	0.421	0.324	0.221
miniature	macquul ah	0.429	0.292	0.204
minibus	minibus	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	ugu yaraan	0.448	0.147	0.206
minimize	yaree	0.360	0.236	0.311
minimized	yareeyo	0.458	0.137	0.208
minimum	ugu yaraan	0.380	0.198	0.194
mining	macdan	0.633	0.598	0.554
minion	minion	0.490	0.430	0.167
minister	Wasiir	0.547	0.441	0.892
ministerial	wasaarad	0.571	0.519	0.660
ministry	wasaaradda	0.510	0.346	0.717
minivan	minivan	0.592	0.356	0.452
mink	mink	0.560	0.515	0.430
minnow	dad badan	0.541	0.367	0.364
minor	yar yar	0.250	0.235	0.175
minority	dad tiro yar	0.310	0.332	0.211
minstrel	gabayga	0.458	0.541	0.397
mint	naas	0.688	0.221	0.345
minty	nasiib wanaag	0.635	0.292	0.361
minuscule	yar-yar	0.396	0.286	0.214
minute	daqiiqo	0.582	0.279	0.356
minutiae	daqiiqado	0.323	0.257	0.316
minx	minx	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	mucjiso	0.917	0.607	0.806
miracles	mucjisooyinka	0.922	0.735	0.692
miraculous	mucjiso	0.875	0.706	0.812
mirage	miraayad	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	muraayad	0.677	0.310	0.438
mirth	farxad	0.888	0.640	0.608
misappropriation	qasaarinta	0.097	0.831	0.500
misbehave	xumayn	0.020	0.847	0.304
misbehavior	edeb daro	0.031	0.704	0.269
miscalculation	niyadjabinta	0.177	0.490	0.353
miscarriage	dhicin	0.042	0.781	0.312
miscellaneous	qaar kale	0.531	0.321	0.196
miscellany	qadarin	0.500	0.412	0.384
mischief	musuqmaasuq	0.385	0.834	0.292
mischievous	nasiib daro	0.439	0.804	0.472
misconception	qalad la'aan	0.210	0.557	0.291
misconduct	dhaqanxumo	0.061	0.667	0.304
misdemeanor	dambi	0.210	0.640	0.364
misdirection	xumayn	0.131	0.710	0.281
miser	murugo	0.208	0.633	0.311
miserable	murugaysan	0.062	0.461	0.188
miserably	dhib badan	0.280	0.545	0.150
misery	murugo	0.146	0.378	0.158
