Word	Myanmar (Burmese)-my	Valence	Arousal	Dominance
lowlands	လွင်ပြင်	0.323	0.290	0.331
lowlife	lowlife	0.296	0.529	0.309
lowly	နိမ့်	0.562	0.294	0.417
lox	lox	0.490	0.373	0.318
loyal	သစ္စာစောင့်သိ	0.896	0.265	0.657
loyalty	သစ္စာရှိခြင်း	0.885	0.406	0.793
lsd	lsd	0.375	0.471	0.390
luau	luau	0.594	0.545	0.296
lube	lube	0.552	0.490	0.411
lubricant	စက်ဆီ	0.656	0.550	0.454
lubricate	ဆီထည့်	0.552	0.490	0.470
lubrication	ချောဆီအရည်ကြည်	0.624	0.646	0.491
lucid	Lucid	0.771	0.490	0.705
luck	ကံကောင်းခြင်း	0.854	0.490	0.717
luckiest	luckiest	0.917	0.690	0.852
lucky	ကောင်းမွန်သော	0.960	0.610	0.793
luckygirl	luckygirl	0.781	0.712	0.471
lucrative	အကျိုးအမြတ်	0.729	0.519	0.798
ludicrous	ကနေလည်း	0.137	0.553	0.274
lug	lug	0.344	0.443	0.340
luggage	ဝန်စည်	0.561	0.226	0.319
lukewarm	lukewarm	0.573	0.300	0.241
lull	နှစ်သစ်ကူးပွဲတော်	0.602	0.130	0.402
lullaby	ကလေးချော့တေ	0.796	0.156	0.339
lumbar	lumbar	0.323	0.418	0.342
lumber	အသုံးမရသောအရာ	0.517	0.184	0.373
lumbering	အသုံးမရသောအရာ	0.354	0.561	0.655
lumberjack	lumberjack	0.500	0.660	0.726
luminescent	ဖြာထွက်	0.796	0.550	0.526
luminous	တောက်ပ	0.918	0.392	0.783
lump	အစိုင်အခဲ	0.438	0.337	0.463
lumpy	lumpy	0.271	0.378	0.365
lunacy	lunacy	0.132	0.847	0.330
lunar	လ	0.562	0.296	0.427
lunatic	ရူးရူး	0.125	0.792	0.442
lunch	နေ့လယ်စာ	0.880	0.410	0.542
lunchbox	နေ့လယ်စာထမင်းဗူး	0.663	0.346	0.346
luncheon	နေ့လယ်စာစားပွဲ	0.837	0.240	0.441
lunchtime	နေ့လည်စာစားချိန်	0.896	0.398	0.444
lung	အဆုတ်	0.510	0.292	0.629
lunge	အဆုတ်	0.354	0.721	0.509
lungs	အဆုတ်	0.531	0.352	0.555
lurch	lurch	0.404	0.694	0.363
lure	မြှူ	0.439	0.565	0.300
lurid	lurid	0.186	0.833	0.536
lurk	အနားတွင်ပုန်း	0.219	0.740	0.655
lurking	ခြောငျး	0.421	0.781	0.575
luscious	luscious	0.885	0.552	0.545
lush	စိမ်းလန်းစိုပြေတဲ့	0.740	0.783	0.833
lust	တဏှာ	0.469	0.944	0.518
luster	တောက်ပ	0.833	0.566	0.558
lustful	ကိလေသာလွန်ကျူး	0.427	0.896	0.643
lustrous	တောက်ပ	0.771	0.606	0.598
lusty	lusty	0.469	0.941	0.673
lute	တယော	0.459	0.407	0.500
luxuriant	စိမျးလ	0.760	0.745	0.812
luxurious	စည်းစိမ်ကြီသော	0.947	0.644	0.754
luxury	ဇိမ်ခံ	0.932	0.673	0.750
lycra	lycra	0.520	0.449	0.328
lye	ပေါက်ဆပ်ပြာ	0.378	0.396	0.443
lying	လဲလျောင်း	0.208	0.704	0.317
lymph	တုံးမှာတက်စေ့	0.398	0.510	0.390
lymphatic	ဖဲ	0.380	0.509	0.472
lymphoma	lymphoma	0.208	0.645	0.330
lynch	Lynch	0.167	0.885	0.482
lynching	Lynch	0.135	0.920	0.548
lynx	Lynx	0.510	0.590	0.567
lyre	စောင်း	0.719	0.347	0.414
lyric	lyric	0.702	0.269	0.464
lyrical	lyrics	0.708	0.451	0.618
lyrics	သီချင်းစာသား	0.582	0.214	0.333
macadamia	macadamia	0.635	0.330	0.434
macarena	Macarena	0.802	0.601	0.368
macaroni	ကရိုနီရောင်	0.816	0.410	0.382
mace	mace	0.450	0.412	0.415
mach	Mach	0.541	0.432	0.463
machete	တောခုတ်ဓား	0.260	0.690	0.474
machine	စက်ယန္တရား	0.510	0.500	0.707
machinery	ယန္တရား	0.458	0.615	0.629
machinist	စက်လုပ်သမား	0.490	0.598	0.721
macho	macho	0.643	0.690	0.676
mackerel	မြောက်အတ္တလန္တတိတ်ငါးသလောက်တစ်မျိုး	0.418	0.423	0.426
macro	မက္ကရို	0.552	0.469	0.647
mad	ရူးသွပ်သော	0.219	0.873	0.277
madam	Madam	0.580	0.308	0.571
madame	Madame	0.604	0.500	0.635
madden	Madden	0.329	0.602	0.457
madder	madder	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	mademyday	0.694	0.573	0.537
madhouse	madhouse	0.156	0.736	0.440
madman	အရူး	0.135	0.880	0.312
madness	ရူးသွပ်မှု	0.104	0.804	0.440
maestro	ပညာရှင်	0.823	0.357	0.849
mafia	မာဖီးယားဂိုဏ်း	0.204	0.867	0.676
magazine	မဂ္ဂဇင်း	0.615	0.332	0.377
mage	မာဂုပညာရှိ	0.622	0.373	0.453
magenta	ပန်းခရမ်းရောင်	0.635	0.275	0.415
maggot	ဖလောင်းကောင်	0.235	0.500	0.235
magic	မျှော	0.868	0.663	0.578
magical	မှော်	0.875	0.651	0.595
magician	ကဝေမ	0.714	0.657	0.551
magistrate	တရားသူကြီး	0.587	0.541	0.904
magma	ကျောက်	0.323	0.623	0.609
magna	Magna	0.605	0.490	0.652
magnate	သူဌေး	0.627	0.708	0.868
magnesium	မဂ္ဂနီဆီယမ်	0.542	0.320	0.321
magnet	သံလိုက်	0.571	0.318	0.553
magnetic	သံလိုက်	0.612	0.529	0.673
magnetism	သံလိုက်	0.630	0.529	0.741
magnetite	magnetite	0.531	0.490	0.581
magnification	ချဲ့	0.890	0.615	0.880
magnificence	ဘုနျး	0.802	0.810	0.920
magnificent	ကြီးကျယ်သော	1.000	0.680	0.886
magnifier	ချဲ့	0.469	0.216	0.345
magnify	ကြီးကျယ်စေ	0.729	0.561	0.839
magnifying	magnifying	0.594	0.265	0.406
magnitude	ပမာဏ	0.608	0.613	0.774
magnolia	Magnolia	0.558	0.343	0.379
magpie	magpie	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	mahjong	0.556	0.418	0.440
mahogany	လောက်အလေးချိန်ရှိတဲ့	0.602	0.225	0.393
maid	အစေခံ	0.406	0.324	0.300
maiden	ကညာ	0.755	0.396	0.461
mail	စာပို့	0.615	0.231	0.548
mailbox	စာတိုက်ပုံး	0.573	0.222	0.404
mailing	ပို့စရာ	0.688	0.324	0.375
mailman	စာပို့သမား	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	အဓိက	0.667	0.510	0.811
mainframe	Mainframe အတွက်	0.531	0.490	0.557
mainland	တိုက်	0.680	0.407	0.806
mainstay	အဓိက	0.694	0.400	0.713
mainstream	ခေတ်ရေစီးကြောင်း	0.653	0.527	0.660
maintain	ထိန်းသိမ်းရန်	0.684	0.398	0.647
maintenance	ပြုပြင်ထိန်းသိမ်းမှု	0.592	0.410	0.545
majestic	ညား	0.948	0.731	0.906
majesty	တန်ခိုးအာနုဘော်	0.823	0.602	0.955
major	ဗိုလ်မှူး	0.684	0.538	0.874
majority	အများစု	0.684	0.560	0.930
make	အောင်	0.684	0.420	0.480
makeover	ပြဿနာနှင့်မေးခွန်းများ	0.771	0.510	0.596
maker	ထုတ်လုပ်သူ	0.698	0.544	0.706
makeshift	ယာယီ	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	မိတ်ကပ်	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	ဒေနာ	0.190	0.686	0.304
malaise	အကျပ်အတည်းများကြောင့်သာဖြစ်လေသည်	0.150	0.600	0.161
malaria	ငှက်ဖျား	0.125	0.653	0.304
malarkey	malarkey	0.396	0.500	0.465
male	အထီး	0.612	0.532	0.695
malevolent	malevolent	0.094	0.854	0.613
malfeasance	malfeasance	0.062	0.745	0.325
malformation	Malformed	0.083	0.602	0.357
malfunction	ချို့ယွင်းသည်	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	အန္တရာယ်ရှိတဲ့	0.177	0.765	0.607
malign	ရန်ငြိုးထားသော	0.140	0.765	0.481
malignancy	ရန်ငြိုးထားသော	0.149	0.814	0.614
malignant	ရန်ငြိုးထားသော	0.143	0.824	0.370
maligned	ရန်ငြိုးထားသော	0.102	0.684	0.218
mall	ကုန်တိုက်	0.724	0.663	0.492
malleable	ပျော့	0.500	0.500	0.391
mallet	ဆောက်ပုတ်	0.354	0.390	0.483
malnutrition	အာဟာရချို့တဲ့မှု	0.024	0.592	0.277
malpractice	သျောလှဲချြော	0.094	0.559	0.330
malt	Malt	0.750	0.373	0.324
mama	mama	0.860	0.413	0.728
mambo	Mambo	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	နို့တိုက်သတ္တဝါ	0.618	0.449	0.421
mammoth	ကြီးမားသော	0.480	0.471	0.537
mammy	mammy	0.680	0.415	0.436
man	လူကို	0.688	0.427	0.767
manage	စီမံခန့်ခွဲ	0.560	0.530	0.719
manageable	ဆောင်ရွက်နိုင်သော	0.750	0.361	0.655
management	စီမံခန့်ခွဲမှု	0.792	0.491	0.806
manager	မန်နေဂျာ	0.625	0.549	0.897
managerial	စီမံခန့်ခွဲမှု	0.604	0.520	0.791
mandamus	mandamus	0.439	0.577	0.556
mandarin	အဘိဓါန် Mandarin-	0.625	0.398	0.491
mandate	လုပ်ပိုင်ခွင့်အာဏာ	0.448	0.670	0.779
mandatory	အတင်းအကျပ်ဖြစ်သော	0.271	0.667	0.777
mandible	mandible	0.510	0.431	0.500
mandolin	mandolin	0.708	0.433	0.367
mandrel	mandrel	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	စစျရေးပွပှဲ	0.615	0.663	0.608
maneuvering	တော့ဘဲ	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	နွားစားခွက်	0.656	0.276	0.398
mangle	အစိတ်အပိုင်းများ	0.292	0.449	0.355
mango	သရက်သီး	0.765	0.327	0.290
mangosteen	mangosteen	0.562	0.500	0.414
mangy	mangy	0.214	0.698	0.270
manhole	manhole	0.378	0.500	0.516
manhood	ယောကျ်ားဘဝ	0.625	0.735	0.858
manhunt	လူဖမ်းပွဲကြီးပြုလုပ်နေ	0.145	0.925	0.657
mania	ကိုနောက်ကောက်	0.290	0.683	0.382
maniac	အရူး	0.120	0.849	0.431
maniacal	အရူး	0.200	0.848	0.500
manic	Manic	0.054	0.892	0.368
manicure	နောက်ပြီး	0.706	0.308	0.284
manicurist	manicurist	0.583	0.352	0.341
manifest	မန်နီးဖက်စ်	0.667	0.647	0.704
manifestation	ပေါ်ထွန်းခြင်း	0.583	0.750	0.655
manifested	ထင်ရှား	0.580	0.618	0.667
manifestly	ထငျရှား	0.469	0.588	0.577
manifesto	စာတမ်းတွင်	0.646	0.519	0.676
manifold	ထူးထူးအပြားပြား	0.500	0.461	0.435
manipulate	လှည့်ဖြားကစား	0.255	0.700	0.772
manipulation	ခြယ်လှယ်	0.188	0.775	0.536
manipulative	အသုံးချကစား	0.177	0.724	0.546
mankind	လူသား	0.823	0.471	0.768
manly	သူရဲ	0.698	0.633	0.846
manna	မန္န	0.698	0.294	0.544
manned	လိုက်ပါ	0.551	0.588	0.484
mannequin	mannequin	0.427	0.302	0.295
manner	နည်းလမ်း	0.618	0.250	0.320
mannered	ယဉ်ကျေးသိမ်မွေ့	0.469	0.556	0.291
manners	ဒဏ္ဍာရီ	0.816	0.284	0.517
manor	manor	0.646	0.358	0.738
manpower	လူအင်အား	0.531	0.620	0.543
mansion	အိမ်ကြီး	0.847	0.490	0.717
mansions	အိမ်တော်	0.735	0.529	0.777
manslaughter	လူသတ်မှု	0.090	0.920	0.473
mantel	mantel	0.500	0.265	0.471
mantis	mantis	0.480	0.355	0.421
mantle	ဝတ်လုံ	0.510	0.269	0.422
mantra	ဂါထာ	0.396	0.249	0.357
manual	လက်စွဲ	0.635	0.245	0.449
manufacture	ပြုလုပ်	0.868	0.703	0.780
manufacturer	ထုတ်လုပ်သူ	0.688	0.537	0.830
manufacturing	ကုန်ထုတ်လုပ်ငန်း	0.653	0.613	0.804
manure	မွေသွဇါ	0.250	0.471	0.241
manuscript	လက်ရေးမူများမှာတွေ့နိုင်ပါတယ်	0.510	0.208	0.540
map	မြေပုံ	0.561	0.229	0.463
maple	မေပယ်	0.541	0.390	0.339
mar	mar	0.622	0.544	0.545
marathon	မာရသွန်	0.646	0.778	0.740
marble	စကငျြကြောကျ	0.604	0.212	0.667
marbled	စကငျြကြောကျ	0.396	0.385	0.418
marbles	ဂေါ်လီ	0.714	0.345	0.241
march	မတ်လ	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	မာဂျ	0.530	0.316	0.333
margarita	မာဂရီး	0.750	0.438	0.420
margin	အနားသတ်	0.500	0.219	0.331
marginal	အနားကွက်လပ်တွင်ပါရှိသော	0.235	0.644	0.345
mariachi	mariachi	0.710	0.559	0.609
marijuana	ဆေးခြောက်	0.312	0.779	0.558
marinara	marinara	0.657	0.388	0.435
marine	အဏ္ဏဝါ	0.633	0.471	0.679
mariner	ဘော	0.652	0.491	0.676
marital	အိမ်ထောင်ရေး	0.760	0.529	0.500
maritime	ရေကြောင်း	0.646	0.490	0.713
mark	အမှတ်	0.491	0.231	0.600
marked	မှတ်သား	0.592	0.358	0.554
marker	အမှတ်အသား	0.500	0.333	0.605
market	စျေးကွက်	0.724	0.480	0.521
marketable	ဈေးကွက်	0.746	0.545	0.664
marketing	စျေးကွက်ရှာဖွေရေး	0.521	0.774	0.675
marketplace	စျေးကွက်	0.698	0.420	0.525
marks	အမှတ်အသားများ	0.430	0.480	0.424
marksman	လက်ကောင်းသူ	0.500	0.833	0.692
marksmanship	ပစ်ခတ်မှုကျွမ်းကျင်သူဆုတံဆိပ်	0.573	0.531	0.664
marl	marl	0.372	0.471	0.351
marmalade	Marmalade	0.729	0.370	0.288
maroon	ကြက်သွေး	0.469	0.358	0.336
marooned	သောင်တင်	0.229	0.480	0.160
marquee	marquee	0.602	0.284	0.508
marquis	Marquis	0.521	0.444	0.562
marred	မရရှိသေး	0.181	0.561	0.233
marriage	လက်ထပ်ထိမ်းမြား	0.844	0.684	0.750
married	လက်ထပ်	0.674	0.570	0.602
marrow	တွင်းခြင်ဆီ	0.398	0.422	0.472
marry	လက်ထပ်ထိမ်းမြား	0.896	0.765	0.673
marsh	စိမျ့မွေ	0.302	0.358	0.277
marshal	Marshal	0.469	0.610	0.819
marshmallow	marshmallow	0.740	0.441	0.391
mart	Mart	0.531	0.402	0.418
martial	စစ်အုပ်ချုပ်ရေး	0.480	0.710	0.737
martingale	martingale	0.469	0.510	0.455
martini	Martini	0.828	0.500	0.519
martyr	အာဇါနည်	0.281	0.708	0.509
martyrdom	အာဇာနည်	0.323	0.745	0.442
marvel	အံ့ဩ	0.961	0.755	0.866
marvellous	အံ့ဘွယ်သော	0.878	0.809	0.849
marvelous	အံ့ဘွယ်သော	0.948	0.637	0.778
marvelously	အံ့ဖှယျ	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	mascara	0.575	0.450	0.269
mascot	mascot	0.750	0.337	0.337
masculine	ပုလ္လိင်	0.653	0.540	0.773
masculinity	ပုလ္လိင်	0.583	0.670	0.851
mash	mash	0.440	0.363	0.283
mashed	mash	0.531	0.337	0.194
mask	မျက်နှာဖုံး	0.510	0.490	0.537
masked	မျက်နှာဖုံး	0.375	0.549	0.518
masks	မျက်နှာဖုံးများ	0.510	0.472	0.241
masochism	masochism	0.194	0.845	0.483
masochist	masochist	0.164	0.784	0.353
mason	Mason	0.541	0.442	0.580
masquerade	masquerade	0.431	0.633	0.446
mass	အစုလိုက်အပြုံလိုက်	0.458	0.245	0.277
massacre	အများကိုရက်စက်စွာသတ်	0.031	0.887	0.640
massage	နှိပ်နယ်	0.708	0.356	0.413
masses	ထု	0.552	0.453	0.473
masseur	masseur	0.622	0.265	0.463
masseuse	masseuse	0.594	0.373	0.391
massive	ဧရာ	0.569	0.660	0.750
mast	ရွက်တိုင်	0.542	0.390	0.580
master	မာစတာ	0.694	0.490	0.849
masterful	ကြှမျးက	0.854	0.510	0.960
mastermind	ကြိုးကိုင်သူ	0.792	0.625	0.918
masterpiece	အပြောင်မြောက်ဆုံးလက်ရာ	0.926	0.623	0.847
mastery	ကျွမ်းကျင်ပိုင်နိုင်စွာ	0.755	0.648	0.873
masturbate	masturbate	0.552	0.926	0.500
masturbation	တစ်ကိုယ်ရည်အာသာဖြေ	0.542	0.961	0.509
mat	သင်ဖြူး	0.459	0.221	0.304
matador	matador	0.224	0.880	0.667
match	မီးခြစ်	0.599	0.573	0.500
matchbook	matchbook	0.562	0.391	0.412
matching	ကိုက်ညီခြင်း	0.719	0.735	0.418
matchmaker	အောင်သွယ်	0.615	0.509	0.519
mate	အိမ်ထောင်ဖက်	0.847	0.417	0.669
material	ပစ္စည်း	0.521	0.363	0.439
materialism	ရုပ်ဝါဒ	0.220	0.390	0.556
materialist	ရုပ်ဝါဒ	0.255	0.491	0.504
materialistic	ရုပ်ဝါဒ	0.420	0.506	0.589
materiality	ပစ္စည်းများ	0.417	0.450	0.636
materialize	ရုပ်လုံးပေါ်လာ	0.688	0.596	0.728
materially	ရုပျပစ်စညျး	0.490	0.451	0.670
materials	သင်ထောက်ကူပစ္စည်းများ	0.633	0.361	0.473
materiel	ပစ္စည်းများ	0.531	0.294	0.417
maternal	မိခင်	0.847	0.417	0.634
maternity	သားဖွား	0.865	0.480	0.622
math	သင်္ချာ	0.417	0.375	0.600
mathematical	သင်္ချာ	0.620	0.500	0.548
mathematician	သင်္ချာပညာရှင်	0.541	0.418	0.773
mathematics	သင်္ချာအတတ်ပညာ	0.438	0.435	0.664
matinee	matinee	0.694	0.578	0.447
mating	မိတ်လိုက်	0.755	0.840	0.759
matriculation	တက္ကသိုလ်ဝင်တန်း	0.622	0.490	0.675
matrimony	matrimony	0.850	0.637	0.843
matrix	matrix	0.551	0.378	0.673
matron	matron	0.520	0.519	0.555
matted	matted	0.281	0.519	0.393
matter	ကိစ္စ	0.487	0.353	0.562
matting	matting	0.479	0.405	0.423
mattress	မှေ့ရာ	0.612	0.255	0.397
maturation	ရငျ့	0.612	0.439	0.698
mature	ရင့်ကျက်	0.625	0.347	0.600
maturity	ရင့်ကျက်မှု	0.827	0.400	0.806
maudlin	maudlin	0.337	0.417	0.368
mausoleum	ဂူဗိမာန်	0.344	0.281	0.594
mauve	mauve	0.533	0.330	0.314
maverick	Maverick	0.354	0.676	0.409
maxim	အခွခေံမူ	0.875	0.562	0.887
maximize	အမြင့်ဆုံး	0.823	0.765	0.792
maximum	အများဆုံး	0.724	0.724	0.852
may	နိုင်	0.704	0.273	0.245
mayday	ကမ္ဘာ့အလုပ်သမားနေ့	0.344	0.643	0.423
mayflower	မေဖလားဝါး	0.690	0.463	0.429
mayhem	mayhem	0.188	0.870	0.364
mayonnaise	Mayonnaise	0.510	0.320	0.222
mayor	မြို့တော်ဝန်	0.469	0.481	0.818
maze	ဝင်္ကပါ	0.438	0.608	0.444
mead	Mead	0.667	0.337	0.441
meadow	မြက်ခင်း	0.622	0.130	0.382
meager	မဖြစ်စလောက်	0.144	0.389	0.281
meal	အစားအသောက်	0.833	0.461	0.473
mean	ဆိုလို	0.440	0.467	0.620
meander	meander	0.480	0.443	0.454
meandering	meandering	0.427	0.644	0.539
meanie	meanie	0.388	0.420	0.404
meaning	အဓိပ်ပါယျ	0.663	0.395	0.625
meaningful	အဓိပ္ပါယ်ရှိသော	0.770	0.500	0.802
meaningless	အဓိပ်ပါယျမရှိသော	0.156	0.314	0.143
meanness	ဆိုလို	0.102	0.694	0.368
means	နည်းလမ်း	0.615	0.373	0.460
meantime	သို့သော်	0.432	0.222	0.300
measles	ဝက်သက်	0.092	0.635	0.422
measurable	တိုင်းတာ	0.604	0.410	0.602
measure	အတိုင်းအတာ	0.510	0.375	0.365
measured	တိုင်းတာ	0.542	0.265	0.578
measurement	တိုင်းတာခြင်း	0.622	0.418	0.491
measuring	တိုင်းတာခြင်း	0.448	0.337	0.529
measuring cup	ခွက်ကိုတိုင်းတာခြင်း	0.557	0.343	0.377
measuring tape	တိုင်းတာခြင်းတိပ်	0.337	0.280	0.327
meat	အသား	0.612	0.421	0.413
meatball	meatballs	0.612	0.279	0.343
meathead	meathead	0.306	0.534	0.490
meatloaf	meatloaf	0.625	0.389	0.375
mechanic	စက်ပြင်သမား	0.571	0.433	0.566
mechanical	စက်နှင့်ဆိုင်သော	0.479	0.569	0.564
mechanics	စက်ပြင်	0.542	0.500	0.761
mechanism	စက်ကိရိယာ	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	တံဆိပ်	0.854	0.555	0.746
medallion	ဆောင်လည်ဆွဲကလေးကို	0.750	0.510	0.710
medallist	medalist	0.796	0.821	0.897
meddle	်ရောက်စွက်ဖက်	0.302	0.770	0.526
meddling	ဝင်ရောက်စွက်ဖက်သည်ဟု	0.245	0.600	0.461
media	မီဒီယာ	0.500	0.330	0.464
medial	medial	0.458	0.340	0.429
median	ပျမ်းမျှ	0.459	0.216	0.375
mediate	ကြားဖြန်	0.635	0.308	0.654
mediation	ဖျန်ဖြေခြင်း	0.661	0.350	0.657
mediator	ဖျန်ဖြေ	0.592	0.438	0.580
medic	ဆေးမှူး	0.500	0.472	0.585
medical	ဆေးဘက်	0.583	0.373	0.616
medicate	ဆေး	0.417	0.375	0.546
medication	ဆေးဝါး	0.615	0.439	0.500
medicinal	ဆေးဖက်ဝင်	0.667	0.417	0.614
medicine	ဆေး	0.708	0.318	0.679
medieval	အလယ်ခေတ်	0.560	0.408	0.455
mediocre	သာမန်	0.188	0.481	0.149
mediocrity	သာမန်	0.073	0.398	0.225
meditate	သေချာစွာစဉ်းစား	0.812	0.146	0.564
meditating	တှေးတောဆငျခွ	0.718	0.185	0.399
meditation	သေချာစွာစဉ်းစားခြင်း	0.786	0.120	0.478
meditative	ဘာဝနာ	0.614	0.120	0.454
mediterranean	မြေထဲပင်လယ်	0.663	0.454	0.545
medium	အလယ်အလတ်	0.559	0.356	0.358
medley	medley	0.487	0.352	0.400
meek	နှိမ့်ချ	0.531	0.150	0.198
meet	တှေ့ဆုံ	0.760	0.510	0.580
meeting	အစည်းအဝေး	0.750	0.569	0.613
mega	ကျိကျိတက်	0.724	0.538	0.723
meh	အုမဲ့	0.380	0.286	0.365
melancholic	လွမ်းဆွေး	0.181	0.306	0.277
melancholy	Melancholie	0.188	0.260	0.237
melee	Mele	0.541	0.704	0.611
mellow	mellow	0.633	0.069	0.265
melodious	နူးညံ့သော	0.932	0.530	0.587
melodrama	မဲလိုဒရမ်မာ	0.378	0.830	0.446
melodramatic	melodramatic	0.235	0.692	0.368
melody	တေးသံ	0.847	0.434	0.405
melon	သခွားမသီး	0.461	0.231	0.271
melt	အရပျြော	0.448	0.615	0.312
meltdown	အရည်ပျော်ကျခြင်း	0.629	0.657	0.602
melting	အရည်ပျော်	0.592	0.470	0.538
member	အဖှဲ့ဝငျ	0.698	0.333	0.555
membership	အဖှဲ့ဝငျအဖွစျ	0.698	0.411	0.778
membrane	အမြှေးပါး	0.406	0.430	0.418
memento	memento	0.708	0.360	0.536
memo	မှတ်စုတို	0.625	0.235	0.407
memoir	စာအုပ် '	0.750	0.242	0.553
memorabilia	အမှတ်တရ	0.780	0.412	0.491
memorable	အမှတ်ရစရာ	0.939	0.510	0.769
memorandum	စာချွန်လွှာ	0.600	0.500	0.639
memorial	သတိရစရာ	0.602	0.304	0.600
memorials	အထိမ်းအမှတ်	0.771	0.333	0.679
memories	အမှတ်တရများ	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	အလွတ်ကျက်	0.520	0.451	0.716
memory	မှတ်ဉာဏ်	0.792	0.378	0.573
menace	ဆိုထားပါသည်	0.125	0.894	0.759
menacing	ဆိုထားပါသည်	0.042	0.880	0.643
menagerie	menagerie	0.573	0.480	0.538
mend	ပြုပြင်	0.542	0.436	0.602
mending	ပွငျ	0.500	0.633	0.657
menial	menial	0.490	0.420	0.352
meningitis	နှောက်အမြှေးရောင်	0.104	0.612	0.407
meniscus	meniscus	0.323	0.330	0.453
menopause	သွေးဆုံး	0.204	0.460	0.306
menses	menses	0.163	0.686	0.331
menstrual	ရာသီ	0.408	0.519	0.435
mental	စိတ်ကျန်းမာရေး	0.490	0.490	0.585
mentalhealth	NO TRANSLATION	0.562	0.541	0.670
mentality	စိတ်ဓာတ်	0.711	0.415	0.726
menthol	menthol	0.490	0.292	0.433
mention	ဖေါ်ပြ	0.562	0.365	0.562
mentor	ဆရာ	0.719	0.455	0.777
menu	မီနူး	0.633	0.333	0.385
meow	ညောင်	0.510	0.510	0.412
mercantile	mercantile	0.480	0.490	0.713
mercenary	ကြေးစား	0.245	0.837	0.673
merchandise	ကုန်ပစ္စည်း	0.594	0.460	0.621
merchant	ကုန်သည်	0.675	0.500	0.620
merciful	သနားတတ်သော	0.854	0.346	0.500
merciless	ကရုဏာမဲ့	0.062	0.880	0.634
mercurial	အပွောငျးအလဲ	0.490	0.546	0.518
mercury	မာကျူရီ	0.337	0.312	0.475
mercy	သနားခြင်းကရုဏာ	0.719	0.229	0.500
mere	မျှသာ	0.396	0.221	0.176
merengue	မဲ့ရင်ဂယ့	0.688	0.519	0.442
merge	အဖှဲ့ပေါငျး	0.760	0.480	0.733
merger	အဖှဲ့ပေါငျးစညျးခွငျး	0.592	0.490	0.642
meridian	ဒီဂရီမျဉ်း	0.510	0.324	0.558
meridional	meridional	0.365	0.290	0.600
meringue	meringue	0.625	0.580	0.411
merit	ကောင်းမှု	0.854	0.500	0.722
meritorious	meritorious	0.781	0.618	0.855
mermaid	မိန်းမတပိုင်းငါးတပိုင်း	0.765	0.623	0.452
merriment	ဝမ်းမြောက်	0.948	0.721	0.632
merry	ရွှင်ပျသော	0.979	0.731	0.764
merrychristmas	NO TRANSLATION	0.888	0.510	0.536
mesa	mesa	0.604	0.191	0.319
mescaline	mescaline	0.490	0.580	0.415
mesh	mesh	0.429	0.235	0.371
meshes	mesh	0.440	0.363	0.362
mesmerized	Mesmerize	0.520	0.552	0.421
mess	ရှုပ်ထွေး	0.143	0.843	0.273
message	မက်ဆေ့ခ်ျကို	0.650	0.391	0.415
messedup	NO TRANSLATION	0.333	0.615	0.358
messenger	တမန်	0.694	0.434	0.500
messiah	မရှေိယ	0.781	0.634	0.800
messy	ညစ်ပတ်သော	0.260	0.635	0.140
metabolic	ဇီဝဖြစ်စဉ်	0.408	0.531	0.559
metabolism	ဇီဝြဖစ်	0.698	0.509	0.555
metal	သတ္တု	0.551	0.429	0.547
metallic	သတ္တု	0.615	0.330	0.607
metallurgy	သတ္တုဗေဒ	0.396	0.509	0.587
metamorphosis	သှငျပွောငျးသှား	0.541	0.571	0.613
metaphor	ဥပစာ	0.562	0.280	0.470
metaphorical	တင်စားထားတဲ့	0.500	0.412	0.480
metaphysical	အဆုံးမရှိတဲ့	0.630	0.573	0.686
metaphysics	တက္ကဗေဒ	0.561	0.396	0.588
metastasis	metastasis	0.177	0.646	0.452
meteor	ဥက္ကာ	0.398	0.714	0.737
meteoric	ဥက္ကာ	0.590	0.802	0.684
meteorite	ဥက္ကာခဲ	0.385	0.794	0.750
meteorological	မိုးလေဝသ	0.635	0.557	0.556
meteorology	မိုးလေဝသ	0.630	0.418	0.689
meter	မီတာ	0.438	0.300	0.463
meth	meth	0.354	0.564	0.340
methadone	methadone	0.240	0.540	0.453
