Word	Khmer-km	Valence	Arousal	Dominance
hostilities	អរិភាព	0.276	0.810	0.444
hostility	អរិភាព	0.122	0.775	0.465
hot	ក្តៅ	0.490	0.740	0.573
hot sauce	ទឹកម្ទេស	0.333	0.740	0.509
hotbed	hotbed	0.510	0.285	0.395
hotdog	ហត់​ដក	0.720	0.438	0.373
hotel	សណ្ឋាគារ	0.740	0.370	0.407
hothead	hothead	0.240	0.849	0.518
hotline	ខ្សែទូរស័ព្ទ	0.592	0.565	0.663
hotshot	ចំណុចក្តៅ	0.500	0.727	0.615
hotyoga	NO TRANSLATION	0.683	0.609	0.446
hound	hound	0.417	0.528	0.582
hour	ម៉ោង	0.552	0.265	0.336
hourglass	ម៉ោង	0.542	0.284	0.492
hourly	រាល់ម៉ោង	0.469	0.418	0.491
house	ផ្ទះ	0.587	0.135	0.533
houseboat	houseboat	0.604	0.389	0.429
houseboy	ផ្ទះ	0.479	0.415	0.393
housebroken	ផ្ទះខូច	0.518	0.461	0.389
houseguest	houseguest	0.530	0.500	0.481
household	គ្រួសារ	0.781	0.230	0.667
householder	ម្ចាស់ផ្ទះ	0.816	0.541	0.833
housekeeper	អ្នកថែរក្សា	0.694	0.279	0.520
housekeeping	គេហកិច្ច	0.604	0.500	0.445
housewarming	មានភាពកក់ក្តៅ	0.857	0.710	0.727
housewife	មេផ្ទះ	0.656	0.361	0.449
housework	ការងារផ្ទះ	0.484	0.413	0.342
housing	ផ្ទះ	0.776	0.304	0.591
hovel	hovel	0.333	0.296	0.322
hover	ដាក់	0.510	0.431	0.404
hovercraft	hovercraft	0.541	0.654	0.588
howl	howl	0.357	0.646	0.407
howsoever	ទោះយ៉ាងណា	0.459	0.309	0.345
hoy	NO TRANSLATION	0.583	0.298	0.471
hub	មជ្ឈមណ្ឌល	0.479	0.399	0.433
hubby	hubby	0.548	0.435	0.430
huckleberry	huckleberry	0.600	0.279	0.296
huddle	huddle	0.604	0.509	0.445
hue	ពណ៌លាំ ៗ	0.507	0.416	0.417
huff	ស្ទិល	0.388	0.491	0.315
huffy	ស្វាហាប់	0.420	0.616	0.375
hug	ឱប	0.908	0.427	0.548
huge	ធំ	0.573	0.625	0.783
hugger	អង្រឹង	0.520	0.480	0.412
huggy	អោប	0.854	0.429	0.451
hugs	ឱប	0.980	0.422	0.600
hulk	hulk	0.460	0.740	0.750
hull	ឆ្អឹង	0.542	0.265	0.353
hum	hum	0.490	0.296	0.276
human	មនុស្ស	0.767	0.314	0.605
humane	មនុស្ស	0.800	0.370	0.580
humanitarian	មនុស្សធម៌	0.786	0.317	0.709
humanities	មនុស្សជាតិ	0.729	0.325	0.677
humanity	មនុស្សជាតិ	0.750	0.360	0.727
humankind	មនុស្សជាតិ	0.885	0.394	0.714
humanoid	មនុស្សជាតិ	0.521	0.462	0.491
humanrights	NO TRANSLATION	0.792	0.559	0.730
humble	បន្ទាបខ្លួន	0.867	0.236	0.483
humbled	បន្ទាបខ្លួន	0.280	0.618	0.198
humbly	ដោយបន្ទាបខ្លួន	0.771	0.194	0.370
humbug	humbug	0.219	0.622	0.456
humdrum	humdrum	0.269	0.246	0.353
humid	សើម	0.375	0.324	0.366
humidity	សំណើម	0.464	0.373	0.367
humiliate	អាម៉ាស់	0.052	0.714	0.275
humiliated	អាម៉ាស់	0.104	0.712	0.216
humiliating	អាម៉ាស់	0.062	0.716	0.279
humiliation	ភាពអាម៉ាស់	0.048	0.712	0.310
humility	ការបន្ទាបខ្លួន	0.740	0.118	0.444
hummer	hummer	0.510	0.622	0.589
hummingbird	ហាំមីងឃីត	0.750	0.370	0.273
humongous	humongous	0.378	0.538	0.536
humor	លេងសើច	0.890	0.633	0.462
humored	កំប្លែង	0.854	0.657	0.545
humorist	អ្នកកំប្លែង	0.958	0.790	0.607
humorous	កំប្លែង	0.906	0.616	0.665
hump	hump	0.296	0.462	0.250
humpback	ងងុយដេក	0.235	0.346	0.247
hunch	hunch	0.561	0.630	0.567
hunchback	hunchback	0.208	0.390	0.259
hundred	រយ	0.604	0.370	0.406
hundredth	រយ	0.427	0.368	0.466
hunger	ភាព​អត់​ឃ្លាន	0.083	0.554	0.328
hungry	ឃ្លាន	0.083	0.690	0.254
hunk	ធ្នឹម	0.438	0.375	0.361
hunks	hunks	0.417	0.453	0.482
hunky	hunky	0.469	0.571	0.438
hunt	បរបាញ់	0.327	0.806	0.588
hunter	នាងហិនទ័រ	0.292	0.817	0.817
hunting	ម៉ាញ់	0.448	0.713	0.714
huntress	អ្នកបរបាញ់	0.357	0.717	0.765
hurdle	ឧបសគ្គ	0.198	0.682	0.434
hurl	hurl	0.316	0.745	0.574
hurrah	ហើរ	0.802	0.740	0.500
hurricane	ខ្យល់ព្យុះ	0.177	0.958	0.787
hurricanes	ព្យុះសង្ឃរា	0.286	0.898	0.784
hurried	ប្រញាប់	0.314	0.806	0.393
hurry	ប្រញាប់	0.422	0.735	0.481
hurryup	NO TRANSLATION	0.473	0.791	0.555
hurt	ឈឺចាប់	0.062	0.773	0.291
hurtful	ឈឺចាប់	0.104	0.680	0.463
hurting	ឈឺចាប់	0.153	0.778	0.221
husband	ស្វាមី	0.771	0.500	0.655
husbandry	ការចិញ្ចឹម	0.643	0.473	0.445
hush	ស្ងាត់	0.471	0.231	0.312
hushed	ស្ងាត់	0.292	0.194	0.272
husk	NO TRANSLATION	0.378	0.173	0.147
husky	ស្វា	0.630	0.450	0.490
hussy	ស្វាមី	0.219	0.594	0.384
hustle	hustle	0.406	0.661	0.427
hustler	hustler	0.260	0.821	0.627
hut	ខ្ទម	0.633	0.270	0.375
hutch	hutch	0.385	0.453	0.520
hyacinth	hyacinth	0.372	0.360	0.342
hybrid	កូនកាត់	0.500	0.365	0.570
hydra	ទឹក	0.406	0.598	0.534
hydrant	ទឹក	0.570	0.413	0.367
hydrate	hydrate	0.610	0.367	0.547
hydraulic	ធារាសាស្ត្រ	0.522	0.398	0.596
hydraulics	ប្រព័ន្ធធារាសាស្ត្រ	0.500	0.530	0.588
hydrocephalus	hydrocephalus	0.286	0.629	0.393
hydrodynamics	hydrodynamics	0.552	0.582	0.664
hydrogen	អ៊ីដ្រូសែន	0.469	0.303	0.554
hydrographic	hydrographic	0.490	0.396	0.642
hydrology	ជលសាស្ដ្រ	0.500	0.380	0.509
hydrophobia	hydrophobia	0.323	0.784	0.351
hydroponics	ជលវប្បកម្ម	0.500	0.549	0.500
hyena	hyena	0.396	0.719	0.464
hygiene	អនាម័យ	0.781	0.287	0.537
hygienic	អនាម័យ	0.719	0.245	0.702
hygienist	អនាម័យ	0.698	0.389	0.682
hymen	hymen	0.469	0.651	0.457
hymn	បទចំរៀង	0.735	0.292	0.634
hype	ឃោសនាបំផ្លើស	0.510	0.500	0.586
hyped	hyped	0.708	0.582	0.679
hyper	ខ្លាំង	0.542	0.616	0.640
hyperactive	ស្ទាប់	0.500	0.921	0.660
hyperbole	hyperbole	0.469	0.521	0.542
hyperspace	hyperspace	0.510	0.623	0.755
hypertension	ជំងឺលើសឈាម	0.133	0.784	0.427
hypertrophy	ការរីកធំ	0.312	0.625	0.413
hyperventilate	hyperventilate	0.347	0.729	0.556
hyperventilating	hyperventilating	0.164	0.802	0.625
hyphen	សហសញ្ញា	0.552	0.356	0.381
hypnosis	hypnosis	0.417	0.410	0.546
hypnotic	hypnotic	0.571	0.560	0.569
hypnotist	អ្នកជម្ងឺ hypnotist	0.490	0.455	0.627
hypnotize	hypnotize	0.469	0.507	0.508
hypnotized	hypnotized	0.449	0.434	0.380
hypochondriac	hypochondriac	0.194	0.588	0.333
hypocrisy	លាក់ពុត	0.156	0.523	0.370
hypocrite	លាក់ពុត	0.082	0.673	0.306
hypocritical	លាក់ពុត	0.048	0.740	0.415
hypodermic	hypodermic	0.240	0.441	0.445
hypothalamus	hypothalamus	0.593	0.427	0.539
hypothermia	hypothermia	0.184	0.620	0.301
hypothesis	សម្មតិកម្ម	0.552	0.370	0.509
hypothetical	hypothetical	0.480	0.367	0.361
hysterectomy	ការកាត់ស្បូន	0.178	0.660	0.470
hysteria	ការរំជួលចិត្ត	0.224	0.906	0.482
hysterical	រំជើបរំជួល	0.290	0.942	0.398
ibuprofen	ibuprofen	0.448	0.427	0.504
ice	ទឹកកក	0.440	0.265	0.219
ice tea	តែ​ទឹក​ក​ក	0.771	0.337	0.336
iceberg	ផ្ទាំងទឹកកក	0.344	0.540	0.648
icebox	ប្រអប់ទឹកកក	0.560	0.222	0.370
icebreaker	ទឹកកក	0.571	0.545	0.848
iced	iced	0.564	0.482	0.339
icing	icing	0.688	0.452	0.411
icky	icky	0.357	0.510	0.342
icon	រូបតំណាង	0.549	0.349	0.415
iconic	រូប	0.583	0.537	0.700
iconography	រូបសញ្ញា	0.602	0.382	0.653
icy	ត្រជាក់	0.684	0.375	0.345
id	លេខសម្គាល់	0.449	0.344	0.391
idea	គំនិត	0.750	0.538	0.704
ideal	ល្អ	0.802	0.437	0.736
idealism	មនោគមនិយម	0.635	0.436	0.689
idealist	ឧត្តមគតិ	0.816	0.510	0.802
idealistic	ឧត្តមគតិ	0.812	0.469	0.755
identical	ដូចគ្នា	0.635	0.380	0.527
identically	ដូចគ្នា	0.667	0.427	0.487
identification	អត្តសញ្ញាណ	0.714	0.451	0.692
identify	កំណត់អត្តសញ្ញាណ	0.635	0.480	0.667
identity	អត្តសញ្ញាណ	0.663	0.360	0.780
ideology	មនោគមវិជ្ជា	0.573	0.344	0.692
idiocy	idiocy	0.112	0.635	0.137
idiom	ភាសា	0.520	0.337	0.445
idiomatic	និយាយដោយសាមញ្ញ	0.531	0.429	0.516
idiot	ឆ្កួត ៗ	0.086	0.567	0.113
idiotic	រញ៉េរញ៉ៃ	0.104	0.620	0.170
idiots	ឆ្កួត ៗ	0.143	0.600	0.144
idle	ទំនេរ	0.179	0.167	0.112
idleness	អត់ការងារធ្វើ	0.308	0.330	0.228
idler	អ្នកមិនជឿ	0.200	0.304	0.194
idol	រូបគំនូរ	0.684	0.805	0.853
idolatry	ការថ្វាយបង្គំរូបព្រះ	0.365	0.571	0.625
idolizing	idolizing	0.676	0.712	0.643
idyllic	ពិសេស	0.571	0.394	0.593
iffy	iffy	0.380	0.442	0.333
ifonly	ប្រសិន​បើ​មាន​តែ	0.406	0.250	0.255
igloo	igloo	0.569	0.302	0.345
igneous	មិនល្អ	0.469	0.466	0.517
ignite	ឆេះ	0.458	0.785	0.675
ignition	បញ្ឆេះ	0.365	0.720	0.657
ignorance	ល្ងង់ខ្លៅ	0.153	0.417	0.209
ignorant	ល្ងង់ខ្លៅ	0.102	0.461	0.223
ignore	មិនអើពើ	0.146	0.230	0.295
iguana	iguana	0.521	0.235	0.291
ihatespiders	NO TRANSLATION	0.245	0.611	0.420
ilk	NO TRANSLATION	0.438	0.451	0.455
ill	ឈឺ	0.073	0.410	0.200
illegal	ខុសច្បាប់	0.061	0.787	0.337
illegality	ខុសច្បាប់	0.094	0.635	0.427
illegally	ដែល​ខុសច្បាប់	0.133	0.788	0.402
illegible	មិនត្រឹមត្រូវ	0.296	0.490	0.315
illegitimate	មិនស្របច្បាប់	0.184	0.644	0.302
illicit	ខុសច្បាប់	0.188	0.794	0.390
illiterate	អនក្ខរប់	0.120	0.410	0.151
illness	ជំងឺ	0.098	0.717	0.211
illogical	មិនសមហេតុផល	0.208	0.630	0.251
illuminate	បំភ្លឺ	0.905	0.646	0.782
illuminating	បំភ្លឺ	0.949	0.613	0.773
illumination	ការបំភ្លឺ	0.760	0.588	0.537
illuminator	illuminator	0.770	0.566	0.718
illusion	ការបំភាន់	0.562	0.490	0.387
illustrate	បង្ហាញ	0.750	0.430	0.690
illustration	គំនូរ	0.740	0.441	0.640
illustrative	បង្ហាញ	0.771	0.452	0.647
illustrious	បង្ហាញ	0.673	0.550	0.741
ilovechristmas	NO TRANSLATION	0.885	0.590	0.525
iloveher	NO TRANSLATION	0.750	0.519	0.556
image	រូបភាព	0.653	0.241	0.453
imagery	រូបភាព	0.653	0.327	0.390
imaginable	អាចស្រម៉ៃបាន	0.613	0.529	0.596
imaginary	ស្រមៃ	0.560	0.424	0.310
imagination	ការស្រមើលស្រមៃ	0.802	0.491	0.547
imaginative	ការស្រមើលស្រមៃ	0.780	0.541	0.593
imagine	ស្រមៃ	0.759	0.480	0.587
imagined	ស្រមៃ	0.656	0.412	0.418
imaging	រូបភាព	0.724	0.394	0.482
imagining	ស្រមើលស្រមៃ	0.765	0.458	0.545
imam	NO TRANSLATION	0.527	0.337	0.539
imbalance	អតុល្យភាព	0.115	0.538	0.264
imbecile	imbecile	0.082	0.569	0.260
imbedded	imbedded	0.406	0.580	0.562
imissyou	NO TRANSLATION	0.480	0.608	0.344
imitate	ធ្វើតាម	0.469	0.561	0.336
imitated	ត្រាប់តាម	0.333	0.391	0.442
imitation	ក្លែងក្លាយ	0.406	0.592	0.343
immaculate	ភាពស្អាតស្អំ	0.698	0.330	0.688
immaterial	មិនសំខាន់	0.296	0.309	0.295
immature	មិនទាន់​ពេញវ័យ	0.114	0.500	0.200
immaturity	មិនទាន់គ្រប់លក្ខណៈ	0.146	0.567	0.221
immeasurable	immeasurable	0.510	0.539	0.712
immeasurably	អមតៈ	0.510	0.640	0.680
immediacy	immediacy	0.635	0.630	0.627
immediate	ភ្លាម	0.656	0.548	0.716
immediately	ភ្លាម	0.552	0.780	0.707
immemorial	immemorial	0.327	0.469	0.454
immense	យ៉ាងសម្បើម	0.755	0.750	0.811
immerse	ជ្រមុជ	0.510	0.577	0.509
immersion	ជ្រមុជទឹក	0.510	0.556	0.564
immigrant	ជនអន្តោប្រវេសន៍	0.357	0.663	0.509
immigration	អន្តោប្រវេសន៍	0.390	0.667	0.454
imminent	imminent	0.490	0.784	0.643
immobile	immobile	0.225	0.217	0.298
immoral	អសីលធម៌	0.143	0.622	0.385
immorality	អសីលធម៌	0.188	0.689	0.315
immortal	អមតៈ	0.812	0.750	0.795
immortality	អមតភាព	0.688	0.635	0.861
immovable	អចលនទ្រព្យ	0.480	0.310	0.571
immune	ភាពស៊ាំ	0.629	0.472	0.780
immunity	អភ័យឯកសិទ្ធិ	0.633	0.316	0.786
immunization	ចាក់ថ្នាំបង្ការរោគ	0.667	0.510	0.733
immutable	មិនប្រែប្រួល	0.427	0.431	0.571
imp	imp	0.350	0.448	0.420
impact	ផលប៉ះពាល់	0.469	0.884	0.776
impair	ឱនភាព	0.153	0.500	0.360
impaired	ខ្សោយ	0.130	0.459	0.269
impairment	ឱនភាព	0.170	0.571	0.220
impart	impart	0.521	0.441	0.694
impartial	មិនលំអៀង	0.531	0.406	0.685
impartiality	មិនលំអៀង	0.622	0.394	0.616
impassable	មិនអាចទៅរួច	0.342	0.458	0.553
impassioned	រំភើប	0.740	0.780	0.802
impatience	អត់ធ្មត់	0.278	0.780	0.411
impatient	អត់ធ្មត់	0.250	0.708	0.429
impatiently	NO TRANSLATION	0.194	0.750	0.539
impeach	impeach	0.208	0.776	0.664
impeachment	impeachment	0.163	0.735	0.694
impeccable	គ្មានកំហុស	0.833	0.370	0.824
impede	រារាំង	0.271	0.510	0.604
impediment	ឧបសគ្គ	0.163	0.600	0.409
impelled	ជំរុញ	0.604	0.741	0.690
impending	កំពុងរង់ចាំ	0.480	0.735	0.752
impenetrable	មិនអាចច្របាច់បញ្ចូល	0.531	0.577	0.839
imperative	ចាំបាច់	0.625	0.647	0.708
imperceptible	មិនដឹង	0.378	0.490	0.548
imperfect	មិនល្អឥតខ្ចោះ	0.173	0.527	0.202
imperfection	ភាពឥតគ្រប់ល័ក្ខណ៍	0.190	0.567	0.321
imperfectly	មិនល្អឥតខ្ចោះ	0.297	0.481	0.330
imperial	អធិរាជ	0.669	0.646	0.922
imperialist	NO TRANSLATION	0.284	0.786	0.833
impermeable	impermeable	0.510	0.308	0.558
impermissible	មិនអាចទទួលយកបាន	0.188	0.464	0.352
impersonal	មិនចាំបាច់	0.316	0.356	0.472
impersonate	ក្លែងបន្លំ	0.510	0.632	0.591
impersonation	ក្លែងបន្លំ	0.375	0.618	0.528
impersonator	ក្លែងបន្លំ	0.469	0.586	0.406
impertinence	impertinence	0.170	0.653	0.420
impertinent	impertinent	0.219	0.826	0.373
impervious	មិនអាចធ្វើបាន	0.582	0.408	0.536
impetuous	ធុញទ្រាន់	0.602	0.814	0.712
impetus	កម្លាំងរុញច្រាន	0.521	0.740	0.635
implacable	គួរឱ្យស្អប់	0.569	0.663	0.830
implant	implant	0.429	0.510	0.588
implantation	implantation	0.396	0.604	0.741
implanted	ដាំ	0.347	0.500	0.679
implement	អនុវត្ត	0.720	0.573	0.792
implicate	ជាប់ទាក់ទង	0.250	0.670	0.434
implicated	ពាក់ព័ន្ធនឹង	0.354	0.673	0.438
implication	ការជាប់ទាក់ទង	0.337	0.528	0.690
implied	implied	0.327	0.530	0.481
implore	អង្វរ	0.396	0.650	0.377
implosion	implosion	0.412	0.724	0.547
imply	បញ្ជាក់	0.542	0.670	0.533
impolite	អសមត្ថភាព	0.167	0.590	0.282
import	នាំចូល	0.615	0.480	0.623
importance	សារៈសំខាន់	0.750	0.580	0.864
important	សំខាន់	0.827	0.630	0.836
importation	នាំចូល	0.625	0.500	0.733
impose	ដាក់	0.503	0.721	0.745
imposing	imposing	0.392	0.731	0.836
imposition	ការដាក់ពាក្យ	0.357	0.604	0.618
impossibility	មិនអាចទៅរួចទេ	0.170	0.625	0.306
impossible	មិនអាចទៅរួចទេ	0.153	0.510	0.407
impostor	អ្នកបញ្ឆោត	0.135	0.704	0.442
impotence	អសមត្ថភាព	0.198	0.689	0.224
impotent	អសមត្ថភាព	0.146	0.587	0.333
impound	បង្ក្រាប	0.230	0.587	0.583
impoverished	ក្រីក្រ	0.125	0.311	0.203
impracticable	មិនអាចទៅរួចទេ	0.398	0.549	0.381
impractical	អសមត្ថភាព	0.160	0.373	0.291
impregnable	មិនអាចគិតបាន	0.378	0.549	0.667
impregnate	impregnate	0.510	0.721	0.655
impress	គួរ​ឱ្យ​ចាប់អារម្មណ៍	0.816	0.744	0.895
impressed	គួរឱ្យចាប់អារម្មណ៍	0.806	0.770	0.429
impression	អារម្មណ៍	0.684	0.557	0.577
impressionable	គួរឱ្យចាប់អារម្មណ៍	0.827	0.720	0.645
impressive	គួរឱ្យចាប់អារម្មណ៍	0.781	0.830	0.873
imprint	បោះពុម្ព	0.615	0.574	0.685
imprison	ដាក់ពន្ធនាគារ	0.112	0.829	0.545
imprisoned	ដាក់ពន្ធនាគារ	0.032	0.717	0.302
imprisonment	ការដាក់ពន្ធនាគារ	0.133	0.630	0.471
improbable	មិនគួរឱ្យជឿ	0.097	0.412	0.439
impromptu	impromptu	0.541	0.729	0.415
improper	មិនត្រឹមត្រូវ	0.229	0.520	0.259
impropriety	ខុស	0.133	0.591	0.389
improve	កែលម្អ	0.833	0.528	0.815
improved	ធ្វើឱ្យប្រសើរឡើង	0.919	0.480	0.679
improvement	កែលម្អ	0.786	0.500	0.611
improves	ធ្វើឱ្យប្រសើរឡើង	0.929	0.625	0.727
improving	ធ្វើឱ្យប្រសើរឡើង	0.911	0.510	0.682
improvisation	ការច្នៃប្រឌិត	0.631	0.812	0.529
improvise	improvise	0.646	0.650	0.519
improvised	improvised	0.610	0.673	0.443
imprudent	មិនប្រុងប្រយ័ត្ន	0.170	0.676	0.265
impudence	មិនល្អ	0.214	0.500	0.472
impudent	ឃោរឃៅ	0.302	0.604	0.462
impulse	ជំរុញ	0.530	0.840	0.611
impulsive	ស្រើបស្រាល	0.365	0.864	0.607
impunity	និទណ្ឌភាព	0.313	0.721	0.602
impure	មិនបរិសុទ្ធ	0.260	0.560	0.208
impurity	កខ្វក់	0.173	0.546	0.306
imputation	ការចោទប្រកាន់	0.333	0.654	0.621
imtryingtosleep	NO TRANSLATION	0.438	0.363	0.385
inability	អសមត្ថភាព	0.150	0.529	0.250
inaccessible	មិនអាចចូលបាន	0.083	0.585	0.446
inaccurate	មិនត្រឹមត្រូវ	0.135	0.450	0.250
inaction	អសកម្ម	0.323	0.225	0.325
inactivate	អសកម្ម	0.245	0.240	0.415
inactivation	អសកម្ម	0.198	0.260	0.220
inactive	អសកម្ម	0.271	0.167	0.159
inactivity	អសកម្ម	0.135	0.143	0.227
inadequacy	មិនគ្រប់គ្រាន់	0.286	0.500	0.297
inadequate	មិនគ្រប់គ្រាន់	0.122	0.450	0.223
inadequateness	មិនគ្រប់គ្រាន់	0.240	0.529	0.316
inadmissible	មិនទទួលខុសត្រូវ	0.188	0.636	0.389
inadvertent	inadvertent	0.365	0.368	0.286
inadvertently	ដោយចៃដន្យ	0.302	0.541	0.549
inaffable	NO TRANSLATION	0.388	0.518	0.455
inalienable	មិនអាចលុបចោលបាន	0.437	0.459	0.608
inane	inane	0.271	0.350	0.268
inanimate	inanimate	0.281	0.143	0.224
inapplicable	មិនអាចប្រើបាន	0.281	0.402	0.330
inappropriate	មិនសមរម្យ	0.135	0.542	0.353
inattention	inattention	0.208	0.433	0.188
inaudible	inaudible	0.280	0.398	0.358
inaugural	សម្ពោធ	0.684	0.567	0.608
inaugurate	សម្ពោធ	0.781	0.582	0.800
inauguration	ពិធីសម្ពោធ	0.847	0.712	0.769
inborn	កំណើត	0.590	0.288	0.546
inbound	ចូលមក	0.531	0.388	0.538
inbred	inbred	0.397	0.520	0.473
incalculable	មិនអាចគិតលេខបាន	0.449	0.620	0.679
incandescent	incandescent	0.354	0.612	0.621
incantation	ការបញ្ចាំង	0.439	0.632	0.548
incapable	មិនអាចធ្វើបាន	0.156	0.529	0.155
incapacity	អសមត្ថភាព	0.052	0.500	0.217
incarceration	ឃុំឃាំង	0.100	0.800	0.397
incarnate	incarnate	0.552	0.651	0.593
incase	ក្រែងលោ​រ	0.580	0.196	0.365
incendiary	ឆេះ	0.281	0.810	0.598
incense	គ្រឿងក្រអូប	0.698	0.275	0.328
incensed	ខឹង	0.338	0.643	0.392
incentive	ការលើកទឹកចិត្ត	0.812	0.618	0.718
inception	ការចាប់ផ្តើម	0.604	0.425	0.561
incessant	ឥតឈប់ឈរ	0.438	0.760	0.544
incessantly	ឥតឈប់ឈរ	0.417	0.765	0.606
incest	សាច់ញាតិ	0.073	0.853	0.491
incestuous	មានសណ្តាប់ធ្នាប់	0.188	0.736	0.442
inch	inch	0.481	0.327	0.300
incidence	ឧប្បត្តិហេតុ	0.417	0.527	0.429
incident	ឧប្បត្តិហេតុ	0.084	0.662	0.482
incidental	ដោយចៃដន្យ	0.281	0.610	0.404
incidentally	ជួបដោយចៃដន្យ	0.479	0.500	0.500
incineration	ឡដុត	0.229	0.787	0.470
incinerator	ឡដុត	0.250	0.643	0.591
incipient	កំណើត	0.442	0.382	0.430
incision	វះកាត់	0.240	0.663	0.558
incisive	incisive	0.380	0.602	0.545
incite	ញុះញង់	0.449	0.736	0.642
incitement	ញុះញង់	0.302	0.943	0.598
inclement	inclement	0.260	0.676	0.616
inclination	ទំនោរ	0.378	0.490	0.538
incline	បង្វិល	0.490	0.423	0.345
inclined	inclined	0.469	0.347	0.402
include	រួមបញ្ចូល	0.729	0.449	0.702
included	រួមបញ្ចូល	0.760	0.402	0.570
including	រួមទាំង	0.700	0.378	0.518
inclusion	ការដាក់បញ្ចូល	0.774	0.404	0.712
inclusive	បញ្ចូល​គ្នា	0.604	0.420	0.564
incognito	អនាមិក	0.610	0.490	0.446
incoherent	មិនសមស្រប	0.122	0.612	0.250
income	ចំណូល	0.750	0.510	0.728
incoming	ចូល	0.660	0.509	0.596
incomparable	មិនអាចប្រៀបផ្ទឹមបាន	0.625	0.577	0.670
incompatible	មិនឆបគ្នា	0.196	0.500	0.310
incompetence	អសមត្ថភាព	0.077	0.551	0.208
incompetent	អសមត្ថភាព	0.133	0.566	0.239
incomplete	មិនពេញលេញ	0.153	0.370	0.205
incompletely	មិនពេញលេញ	0.344	0.442	0.232
incompleteness	មិនពេញលេញ	0.271	0.451	0.234
incomprehensible	មិនអាចយល់បាន	0.250	0.550	0.344
inconceivable	មិនអាចយល់បាន	0.198	0.552	0.561
inconclusive	មិនប្រាកដ	0.153	0.442	0.340
incongruous	incongruous	0.177	0.504	0.343
inconsequential	មិនសមរម្យ	0.250	0.480	0.345
inconsiderate	មិនជឿ	0.224	0.519	0.423
inconsistency	មិនជាប់លាប់	0.125	0.480	0.314
inconsistent	មិនជាប់លាប់	0.271	0.431	0.295
inconspicuous	មិនច្បាស់លាស់	0.604	0.214	0.368
incontinence	មិនដឹងខ្លួន	0.150	0.598	0.272
inconvenience	ការរអាក់រអួល	0.063	0.667	0.291
inconvenient	មិនស្រួល	0.224	0.610	0.375
incorporate	បញ្ចូល	0.745	0.612	0.571
incorporation	បញ្ចូល	0.573	0.404	0.768
incorrect	មិន​ត្រឹមត្រូវ	0.140	0.569	0.255
incorrigible	incorrigible	0.130	0.667	0.500
increase	កើនឡើង	0.810	0.657	0.886
increased	បានកើនឡើង	0.684	0.660	0.773
incredible	មិន​គួរ​ឱ្យ​ជឿ	0.857	0.796	0.902
incredulous	មិនជឿ	0.286	0.510	0.269
increment	កើនឡើង	0.684	0.637	0.750
incriminate	incriminate	0.188	0.810	0.416
incriminating	incriminating	0.133	0.788	0.500
incrimination	ការចោទប្រកាន់	0.152	0.865	0.545
incubation	incubation	0.461	0.490	0.397
incubator	incubator	0.510	0.435	0.405
incubus	incubus	0.458	0.529	0.482
incumbent	អ្នកកាន់តំណែង	0.396	0.540	0.565
incur	ទទួលរង	0.312	0.667	0.495
incurable	មិនអាចព្យាបាលបាន	0.104	0.667	0.255
incursion	ការលុកលុយ	0.552	0.830	0.719
indebted	ជំពាក់	0.138	0.698	0.275
indecency	ភាពមិនសមរម្យ	0.135	0.670	0.491
indecent	មិនសមរម្យ	0.083	0.683	0.240
indecision	indecision	0.184	0.480	0.196
indecisive	មិនសម្រេច	0.271	0.420	0.190
indefensible	indefensible	0.173	0.647	0.484
indefinite	មិនកំណត់	0.448	0.292	0.296
indelible	មិនជ្រះ	0.490	0.337	0.591
indemnification	សំណង	0.521	0.490	0.770
indemnify	សងបំណុល	0.449	0.548	0.613
indemnity	សំណង	0.470	0.607	0.692
indent	ចូលបន្ទាត់	0.479	0.346	0.379
indentation	ការចូលបន្ទាត់	0.374	0.500	0.349
indenture	indenture	0.434	0.382	0.636
independence	ឯករាជ្យ	0.896	0.663	0.911
independent	ឯករាជ្យ	0.885	0.440	0.872
indescribable	មិនអាចសរសេរបាន	0.448	0.529	0.648
indestructible	indestructible	0.772	0.731	0.853
indeterminate	indeterminate	0.360	0.402	0.322
index	លិបិក្រម	0.448	0.268	0.342
indicate	បង្ហាញ	0.594	0.350	0.676
indicating	បង្ហាញ	0.745	0.339	0.555
indication	ការបង្ហាញ	0.719	0.432	0.750
indicative	បង្ហាញ	0.510	0.510	0.591
indicator	សូចនាករ	0.573	0.451	0.670
indice	NO TRANSLATION	0.469	0.377	0.541
indict	ចោទប្រកាន់	0.188	0.731	0.458
indictment	ការចោទប្រកាន់	0.245	0.745	0.577
indie	indie	0.479	0.368	0.430
indifference	ការព្រងើយកន្តើយ	0.265	0.417	0.299
indifferent	ព្រងើយកន្តើយ	0.396	0.157	0.250
indigenous	ជនជាតិភាគតិច	0.500	0.509	0.552
indigent	កង្វះខាត	0.156	0.481	0.223
indigestion	ការរំលាយអាហារ	0.204	0.610	0.182
indignant	ខឹង	0.260	0.600	0.423
indignation	កំហឹង	0.173	0.778	0.431
indignity	កំហឹង	0.167	0.500	0.306
indigo	indigo	0.514	0.365	0.473
indirect	ដោយប្រយោល	0.385	0.402	0.330
indiscreet	indiscreet	0.177	0.587	0.342
indiscretion	indiscretion	0.265	0.637	0.390
indispensable	មិនអាចខ្វះបាន	0.710	0.449	0.802
indisposed	មិនដឹងខ្លួន	0.122	0.519	0.206
