Word	Nyanja (Chichewa)-ny	Valence	Arousal	Dominance
makeshift	zokonzeka	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	makongoletsedwe	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	matenda	0.190	0.686	0.304
malaise	malaise	0.150	0.600	0.161
malaria	malungo	0.125	0.653	0.304
malarkey	malarkey	0.396	0.500	0.465
male	mwamuna	0.612	0.532	0.695
malevolent	zachiwawa	0.094	0.854	0.613
malfeasance	malfeasance	0.062	0.745	0.325
malformation	malformation	0.083	0.602	0.357
malfunction	wonongeka	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	zoipa	0.177	0.765	0.607
malign	kunyoza	0.140	0.765	0.481
malignancy	malignancy	0.149	0.814	0.614
malignant	zovuta	0.143	0.824	0.370
maligned	zolakwika	0.102	0.684	0.218
mall	mall	0.724	0.663	0.492
malleable	zosasinthika	0.500	0.500	0.391
mallet	mallet	0.354	0.390	0.483
malnutrition	kusowa zakudya m'thupi	0.024	0.592	0.277
malpractice	zolakwika	0.094	0.559	0.330
malt	malt	0.750	0.373	0.324
mama	mayi	0.860	0.413	0.728
mambo	mfumu	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	zinyama	0.618	0.449	0.421
mammoth	mammoth	0.480	0.471	0.537
mammy	mayi	0.680	0.415	0.436
man	mwamuna	0.688	0.427	0.767
manage	sungani	0.560	0.530	0.719
manageable	zosamalidwa	0.750	0.361	0.655
management	kasamalidwe	0.792	0.491	0.806
manager	mtsogoleri	0.625	0.549	0.897
managerial	oyang'anira	0.604	0.520	0.791
mandamus	mandamus	0.439	0.577	0.556
mandarin	Chimandarini	0.625	0.398	0.491
mandate	udindo	0.448	0.670	0.779
mandatory	chovomerezeka	0.271	0.667	0.777
mandible	mandible	0.510	0.431	0.500
mandolin	mandolin	0.708	0.433	0.367
mandrel	mandrel	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	kuyendetsa	0.615	0.663	0.608
maneuvering	kuyendetsa	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	kudya	0.656	0.276	0.398
mangle	mangolo	0.292	0.449	0.355
mango	mango	0.765	0.327	0.290
mangosteen	mangosteen	0.562	0.500	0.414
mangy	mangy	0.214	0.698	0.270
manhole	manhole	0.378	0.500	0.516
manhood	umuna	0.625	0.735	0.858
manhunt	Manhunt	0.145	0.925	0.657
mania	mania	0.290	0.683	0.382
maniac	maniac	0.120	0.849	0.431
maniacal	kusokoneza	0.200	0.848	0.500
manic	manic	0.054	0.892	0.368
manicure	manicure	0.706	0.308	0.284
manicurist	manicurist	0.583	0.352	0.341
manifest	kuwonetseredwa	0.667	0.647	0.704
manifestation	mawonetseredwe	0.583	0.750	0.655
manifested	kuwonetseredwa	0.580	0.618	0.667
manifestly	mwachiwonetsero	0.469	0.588	0.577
manifesto	manifesto	0.646	0.519	0.676
manifold	zochuluka	0.500	0.461	0.435
manipulate	gwiritsani ntchito	0.255	0.700	0.772
manipulation	kusokoneza	0.188	0.775	0.536
manipulative	osamala	0.177	0.724	0.546
mankind	anthu	0.823	0.471	0.768
manly	mwamunthu	0.698	0.633	0.846
manna	manna	0.698	0.294	0.544
manned	anthu	0.551	0.588	0.484
mannequin	mannequin	0.427	0.302	0.295
manner	njira	0.618	0.250	0.320
mannered	mwambo	0.469	0.556	0.291
manners	miyambo	0.816	0.284	0.517
manor	manor	0.646	0.358	0.738
manpower	wogwira ntchito	0.531	0.620	0.543
mansion	nyumba	0.847	0.490	0.717
mansions	nyumba	0.735	0.529	0.777
manslaughter	kupha anthu	0.090	0.920	0.473
mantel	zovala	0.500	0.265	0.471
mantis	mantis	0.480	0.355	0.421
mantle	zovala	0.510	0.269	0.422
mantra	mantra	0.396	0.249	0.357
manual	Bukuli	0.635	0.245	0.449
manufacture	kupanga	0.868	0.703	0.780
manufacturer	wopanga	0.688	0.537	0.830
manufacturing	kupanga	0.653	0.613	0.804
manure	manyowa	0.250	0.471	0.241
manuscript	zolembedwera	0.510	0.208	0.540
map	mapu	0.561	0.229	0.463
maple	mapulo	0.541	0.390	0.339
mar	mar	0.622	0.544	0.545
marathon	marathon	0.646	0.778	0.740
marble	marble	0.604	0.212	0.667
marbled	kupweteka	0.396	0.385	0.418
marbles	miyala	0.714	0.345	0.241
march	kuyenda	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	margarine	0.530	0.316	0.333
margarita	margarita	0.750	0.438	0.420
margin	malire	0.500	0.219	0.331
marginal	m'mphepete	0.235	0.644	0.345
mariachi	mariachi	0.710	0.559	0.609
marijuana	chamba	0.312	0.779	0.558
marinara	marinara	0.657	0.388	0.435
marine	nyanja	0.633	0.471	0.679
mariner	mariner	0.652	0.491	0.676
marital	ukwati	0.760	0.529	0.500
maritime	nyanja	0.646	0.490	0.713
mark	lembani	0.491	0.231	0.600
marked	chizindikiro	0.592	0.358	0.554
marker	chizindikiro	0.500	0.333	0.605
market	malonda	0.724	0.480	0.521
marketable	malonda	0.746	0.545	0.664
marketing	malonda	0.521	0.774	0.675
marketplace	pamsika	0.698	0.420	0.525
marks	zizindikiro	0.430	0.480	0.424
marksman	marker	0.500	0.833	0.692
marksmanship	zizindikiro	0.573	0.531	0.664
marl	mdima	0.372	0.471	0.351
marmalade	chiwonongeko	0.729	0.370	0.288
maroon	maroon	0.469	0.358	0.336
marooned	marooned	0.229	0.480	0.160
marquee	marquee	0.602	0.284	0.508
marquis	marquis	0.521	0.444	0.562
marred	zasokonezedwa	0.181	0.561	0.233
marriage	ukwati	0.844	0.684	0.750
married	okwatiwa	0.674	0.570	0.602
marrow	mafuta	0.398	0.422	0.472
marry	kukwatira	0.896	0.765	0.673
marsh	mtsinje	0.302	0.358	0.277
marshal	wokongola	0.469	0.610	0.819
marshmallow	mtambo	0.740	0.441	0.391
mart	mart	0.531	0.402	0.418
martial	nkhondo	0.480	0.710	0.737
martingale	martingale	0.469	0.510	0.455
martini	martini	0.828	0.500	0.519
martyr	wofera chikhulupiriro	0.281	0.708	0.509
martyrdom	kuphedwa	0.323	0.745	0.442
marvel	zodabwitsa	0.961	0.755	0.866
marvellous	zodabwitsa	0.878	0.809	0.849
marvelous	zodabwitsa	0.948	0.637	0.778
marvelously	zodabwitsa	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	mascara	0.575	0.450	0.269
mascot	mascot	0.750	0.337	0.337
masculine	amuna	0.653	0.540	0.773
masculinity	masculinity	0.583	0.670	0.851
mash	phala	0.440	0.363	0.283
mashed	mashed	0.531	0.337	0.194
mask	maski	0.510	0.490	0.537
masked	atsekedwa	0.375	0.549	0.518
masks	masks	0.510	0.472	0.241
masochism	masochism	0.194	0.845	0.483
masochist	masochist	0.164	0.784	0.353
mason	masoni	0.541	0.442	0.580
masquerade	kusamala	0.431	0.633	0.446
mass	misa	0.458	0.245	0.277
massacre	kupha	0.031	0.887	0.640
massage	kusisita	0.708	0.356	0.413
masses	masses	0.552	0.453	0.473
masseur	masseur	0.622	0.265	0.463
masseuse	masseuse	0.594	0.373	0.391
massive	chachikulu	0.569	0.660	0.750
mast	mast	0.542	0.390	0.580
master	mbuye	0.694	0.490	0.849
masterful	mwaluso	0.854	0.510	0.960
mastermind	mtsogoleri	0.792	0.625	0.918
masterpiece	chaluso	0.926	0.623	0.847
mastery	kusamalira	0.755	0.648	0.873
masturbate	maliseche	0.552	0.926	0.500
masturbation	maliseche	0.542	0.961	0.509
mat	mat	0.459	0.221	0.304
matador	matador	0.224	0.880	0.667
match	samanitsani	0.599	0.573	0.500
matchbook	matchbook	0.562	0.391	0.412
matching	zofanana	0.719	0.735	0.418
matchmaker	matchmaker	0.615	0.509	0.519
mate	mnzanu	0.847	0.417	0.669
material	zakuthupi	0.521	0.363	0.439
materialism	kukonda chuma	0.220	0.390	0.556
materialist	wokonda zakuthupi	0.255	0.491	0.504
materialistic	kukonda chuma	0.420	0.506	0.589
materiality	zinthu zakuthupi	0.417	0.450	0.636
materialize	zikanike	0.688	0.596	0.728
materially	chuma	0.490	0.451	0.670
materials	zipangizo	0.633	0.361	0.473
materiel	katundu	0.531	0.294	0.417
maternal	amayi	0.847	0.417	0.634
maternity	kubereka	0.865	0.480	0.622
math	masamu	0.417	0.375	0.600
mathematical	masamu	0.620	0.500	0.548
mathematician	katswiri wa masamu	0.541	0.418	0.773
mathematics	masamu	0.438	0.435	0.664
matinee	matinee	0.694	0.578	0.447
mating	mating	0.755	0.840	0.759
matriculation	matriculation	0.622	0.490	0.675
matrimony	ukwati	0.850	0.637	0.843
matrix	matrix	0.551	0.378	0.673
matron	matron	0.520	0.519	0.555
matted	matted	0.281	0.519	0.393
matter	nkhani	0.487	0.353	0.562
matting	matting	0.479	0.405	0.423
mattress	mateti	0.612	0.255	0.397
maturation	kusasitsa	0.612	0.439	0.698
mature	okhwima	0.625	0.347	0.600
maturity	kukula	0.827	0.400	0.806
maudlin	maudlin	0.337	0.417	0.368
mausoleum	mausoleum	0.344	0.281	0.594
mauve	mauve	0.533	0.330	0.314
maverick	maverick	0.354	0.676	0.409
maxim	maxim	0.875	0.562	0.887
maximize	kuwonjezera	0.823	0.765	0.792
maximum	zapamwamba	0.724	0.724	0.852
may	mwina	0.704	0.273	0.245
mayday	zavuta	0.344	0.643	0.423
mayflower	mayflower	0.690	0.463	0.429
mayhem	mayhem	0.188	0.870	0.364
mayonnaise	mayonesi	0.510	0.320	0.222
mayor	meya	0.469	0.481	0.818
maze	maze	0.438	0.608	0.444
mead	mead	0.667	0.337	0.441
meadow	dambo	0.622	0.130	0.382
meager	ochepa	0.144	0.389	0.281
meal	chakudya	0.833	0.461	0.473
mean	tanthauzo	0.440	0.467	0.620
meander	meander	0.480	0.443	0.454
meandering	zovuta	0.427	0.644	0.539
meanie	meanie	0.388	0.420	0.404
meaning	tanthauzo	0.663	0.395	0.625
meaningful	zopindulitsa	0.770	0.500	0.802
meaningless	zopanda pake	0.156	0.314	0.143
meanness	chikhalidwe	0.102	0.694	0.368
means	amatanthauza	0.615	0.373	0.460
meantime	pakalipano	0.432	0.222	0.300
measles	chikuku	0.092	0.635	0.422
measurable	zowoneka	0.604	0.410	0.602
measure	chiyeso	0.510	0.375	0.365
measured	kuyeza	0.542	0.265	0.578
measurement	chiyeso	0.622	0.418	0.491
measuring	kuyesa	0.448	0.337	0.529
measuring cup	chikho choyezera	0.557	0.343	0.377
measuring tape	tepi yoyesera	0.337	0.280	0.327
meat	nyama	0.612	0.421	0.413
meatball	nyamaball	0.612	0.279	0.343
meathead	meathead	0.306	0.534	0.490
meatloaf	nyama ya nyama	0.625	0.389	0.375
mechanic	makaniki	0.571	0.433	0.566
mechanical	mawotchi	0.479	0.569	0.564
mechanics	makina	0.542	0.500	0.761
mechanism	mawonekedwe	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	medal	0.854	0.555	0.746
medallion	medallion	0.750	0.510	0.710
medallist	medalist	0.796	0.821	0.897
meddle	sungani	0.302	0.770	0.526
meddling	kusinkhasinkha	0.245	0.600	0.461
media	zofalitsa	0.500	0.330	0.464
medial	wapakatikati	0.458	0.340	0.429
median	wapakatikati	0.459	0.216	0.375
mediate	tithandizani	0.635	0.308	0.654
mediation	chisamaliro	0.661	0.350	0.657
mediator	mkhalapakati	0.592	0.438	0.580
medic	mankhwala	0.500	0.472	0.585
medical	mankhwala	0.583	0.373	0.616
medicate	mankhwala	0.417	0.375	0.546
medication	mankhwala	0.615	0.439	0.500
medicinal	mankhwala	0.667	0.417	0.614
medicine	mankhwala	0.708	0.318	0.679
medieval	zaka zapakatikati	0.560	0.408	0.455
mediocre	mofanana	0.188	0.481	0.149
mediocrity	mediocrity	0.073	0.398	0.225
meditate	sinkhasinkha	0.812	0.146	0.564
meditating	kusinkhasinkha	0.718	0.185	0.399
meditation	kusinkhasinkha	0.786	0.120	0.478
meditative	kusinkhasinkha	0.614	0.120	0.454
mediterranean	Mediterranean	0.663	0.454	0.545
medium	zamkati	0.559	0.356	0.358
medley	medley	0.487	0.352	0.400
meek	ofatsa	0.531	0.150	0.198
meet	kukumana	0.760	0.510	0.580
meeting	msonkhano	0.750	0.569	0.613
mega	mega	0.724	0.538	0.723
meh	meh	0.380	0.286	0.365
melancholic	kusungunuka	0.181	0.306	0.277
melancholy	kusungunuka	0.188	0.260	0.237
melee	mzanga	0.541	0.704	0.611
mellow	wodekha	0.633	0.069	0.265
melodious	zosangalatsa	0.932	0.530	0.587
melodrama	melodrama	0.378	0.830	0.446
melodramatic	zojambula	0.235	0.692	0.368
melody	nyimbo	0.847	0.434	0.405
melon	Vwende	0.461	0.231	0.271
melt	sungunulani	0.448	0.615	0.312
meltdown	kusungunuka	0.629	0.657	0.602
melting	kusungunuka	0.592	0.470	0.538
member	membala	0.698	0.333	0.555
membership	umembala	0.698	0.411	0.778
membrane	membrane	0.406	0.430	0.418
memento	memento	0.708	0.360	0.536
memo	memo	0.625	0.235	0.407
memoir	memoir	0.750	0.242	0.553
memorabilia	zikumbutso	0.780	0.412	0.491
memorable	kukumbukira	0.939	0.510	0.769
memorandum	chikumbumtima	0.600	0.500	0.639
memorial	chikumbutso	0.602	0.304	0.600
memorials	kukumbukira	0.771	0.333	0.679
memories	kukumbukira	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	kuloweza pamtima	0.520	0.451	0.716
memory	kukumbukira	0.792	0.378	0.573
menace	chiopsezo	0.125	0.894	0.759
menacing	kuopseza	0.042	0.880	0.643
menagerie	menagerie	0.573	0.480	0.538
mend	konzani	0.542	0.436	0.602
mending	kukonza	0.500	0.633	0.657
menial	kuchepetsa	0.490	0.420	0.352
meningitis	meningitis	0.104	0.612	0.407
meniscus	meniscus	0.323	0.330	0.453
menopause	kusamba kwa mimba	0.204	0.460	0.306
menses	sungani	0.163	0.686	0.331
menstrual	kusamba	0.408	0.519	0.435
mental	maganizo	0.490	0.490	0.585
mentalhealth	NO TRANSLATION	0.562	0.541	0.670
mentality	maganizo	0.711	0.415	0.726
menthol	menthol	0.490	0.292	0.433
mention	tchulani	0.562	0.365	0.562
mentor	wothandizira	0.719	0.455	0.777
menu	menyu	0.633	0.333	0.385
meow	muyawo	0.510	0.510	0.412
mercantile	mercantile	0.480	0.490	0.713
mercenary	mercenary	0.245	0.837	0.673
merchandise	malonda	0.594	0.460	0.621
merchant	wamalonda	0.675	0.500	0.620
merciful	wachifundo	0.854	0.346	0.500
merciless	opanda chifundo	0.062	0.880	0.634
mercurial	mercurial	0.490	0.546	0.518
mercury	mercury	0.337	0.312	0.475
mercy	chifundo	0.719	0.229	0.500
mere	chabe	0.396	0.221	0.176
merengue	merengue	0.688	0.519	0.442
merge	kuphatikiza	0.760	0.480	0.733
merger	mgwirizano	0.592	0.490	0.642
meridian	meridian	0.510	0.324	0.558
meridional	meridional	0.365	0.290	0.600
meringue	meringue	0.625	0.580	0.411
merit	ubwino	0.854	0.500	0.722
meritorious	zopanda pake	0.781	0.618	0.855
mermaid	chisomo	0.765	0.623	0.452
merriment	chisangalalo	0.948	0.721	0.632
merry	osangalala	0.979	0.731	0.764
merrychristmas	NO TRANSLATION	0.888	0.510	0.536
mesa	mesa	0.604	0.191	0.319
mescaline	mescaline	0.490	0.580	0.415
mesh	mesh	0.429	0.235	0.371
meshes	meshes	0.440	0.363	0.362
mesmerized	amachiritsidwa	0.520	0.552	0.421
mess	chisokonezo	0.143	0.843	0.273
message	uthenga	0.650	0.391	0.415
messedup	NO TRANSLATION	0.333	0.615	0.358
messenger	mthenga	0.694	0.434	0.500
messiah	mesiya	0.781	0.634	0.800
messy	zosokoneza	0.260	0.635	0.140
metabolic	zamagetsi	0.408	0.531	0.559
metabolism	mitsempha yamatenda	0.698	0.509	0.555
metal	chitsulo	0.551	0.429	0.547
metallic	zitsulo	0.615	0.330	0.607
metallurgy	malingaliro	0.396	0.509	0.587
metamorphosis	kusokoneza thupi	0.541	0.571	0.613
metaphor	fanizo	0.562	0.280	0.470
metaphorical	zojambula	0.500	0.412	0.480
metaphysical	zofikira	0.630	0.573	0.686
metaphysics	zofikira	0.561	0.396	0.588
metastasis	metastasis	0.177	0.646	0.452
meteor	meteor	0.398	0.714	0.737
meteoric	meteoric	0.590	0.802	0.684
meteorite	meteorite	0.385	0.794	0.750
meteorological	nyengo	0.635	0.557	0.556
meteorology	meteorology	0.630	0.418	0.689
meter	mita	0.438	0.300	0.463
meth	meth	0.354	0.564	0.340
methadone	methadone	0.240	0.540	0.453
methane	methane	0.290	0.460	0.569
methanol	methanol	0.292	0.500	0.570
method	njira	0.640	0.275	0.698
methodical	methodical	0.663	0.360	0.745
methodology	njira	0.664	0.327	0.745
meticulous	mosamala	0.555	0.480	0.555
metime	nthawi	0.531	0.398	0.417
metric	miyala	0.519	0.248	0.573
metrical	zamatala	0.521	0.375	0.482
metrology	metrology	0.531	0.432	0.439
metropolis	metropolis	0.656	0.625	0.779
metropolitan	mzinda	0.387	0.408	0.723
mettle	ziphuphu	0.667	0.529	0.750
mew	mew	0.418	0.481	0.380
mezzanine	mezzanine	0.479	0.427	0.404
mica	mica	0.531	0.250	0.314
mick	khala	0.449	0.451	0.382
micro	micro	0.500	0.270	0.250
microbe	tizilombo toyambitsa matenda	0.255	0.450	0.340
microbiology	tizilombo toyambitsa matenda	0.571	0.378	0.560
microchip	microchip	0.551	0.358	0.432
microcosm	microcosm	0.500	0.500	0.520
microfilm	microfilm	0.469	0.352	0.412
microgram	microgram	0.448	0.286	0.355
micrometer	micrometer	0.573	0.358	0.394
micron	micron	0.375	0.291	0.315
microphone	maikolofoni	0.551	0.431	0.462
microscope	microscope	0.531	0.330	0.464
microscopic	zochepa kwambiri	0.360	0.327	0.433
microscopically	microscopically	0.623	0.370	0.412
microscopy	kusakanikirana ndi microscopy	0.500	0.339	0.455
microwave	microwave	0.542	0.497	0.443
mid	pakati	0.500	0.315	0.356
midair	midair	0.633	0.413	0.455
midday	masana	0.658	0.250	0.403
middle	pakati	0.458	0.157	0.300
middleman	middleman	0.500	0.404	0.452
middleweight	pakatikati	0.510	0.302	0.428
midget	midget	0.396	0.295	0.254
midland	midland	0.521	0.402	0.456
midlife	midlife	0.594	0.244	0.473
midline	midline	0.332	0.224	0.330
midnight	pakati pausiku	0.562	0.470	0.545
midshipman	mzimayi	0.469	0.615	0.785
midst	pakati	0.324	0.275	0.296
midsummer	midsummer	0.781	0.480	0.492
midterm	pakatikati	0.427	0.337	0.425
midtown	midtown	0.479	0.442	0.538
midway	midway	0.459	0.316	0.304
midwife	mzamba	0.531	0.570	0.453
midwifery	midwifery	0.510	0.570	0.459
mien	NO TRANSLATION	0.500	0.352	0.447
miffed	miffed	0.204	0.726	0.429
mighty	wamphamvu	0.855	0.837	0.936
mignon	mignon	0.551	0.440	0.423
migraine	migraine	0.135	0.783	0.318
migrate	kusamuka	0.415	0.580	0.454
migration	kusamuka	0.492	0.731	0.566
migratory	zosamukira	0.448	0.521	0.491
mike	mike	0.542	0.365	0.423
mil	NO TRANSLATION	0.534	0.388	0.347
mild	wofatsa	0.635	0.198	0.216
mildew	mildew	0.344	0.250	0.241
mildness	kufatsa	0.827	0.226	0.311
mile	male	0.521	0.417	0.456
mileage	mileage	0.510	0.458	0.562
milestone	chofunika kwambiri	0.719	0.373	0.558
militant	msilikali	0.418	0.667	0.750
militants	asilikali	0.260	0.673	0.652
military	asilikali	0.396	0.710	0.875
militia	asilikali	0.396	0.729	0.769
milk	mkaka	0.817	0.270	0.327
milkman	milkman	0.750	0.380	0.304
milkshake	chakumwa chamkaka	0.796	0.521	0.330
milky	zokoma	0.517	0.283	0.311
mill	mphero	0.531	0.382	0.347
millennium	mileniamu	0.573	0.398	0.760
milligram	milligram	0.429	0.217	0.302
millimeter	millimeter	0.427	0.177	0.360
million	miliyoni	0.776	0.647	0.812
millionaire	mamiliyoni	0.917	0.755	0.850
millionth	milioni	0.635	0.528	0.611
millstone	mphero	0.510	0.433	0.492
mime	mime	0.455	0.235	0.302
mimic	kutsanzira	0.557	0.587	0.391
mimicking	kumatsanzira	0.316	0.433	0.364
mimicry	mimicry	0.420	0.337	0.472
mince	mince	0.417	0.529	0.378
mincemeat	mincemeat	0.396	0.435	0.358
mind	maganizo	0.650	0.388	0.627
minded	maganizo	0.656	0.394	0.627
mindful	kukumbukira	0.765	0.450	0.725
mindfulness	kusamala	0.729	0.635	0.745
mindless	opanda nzeru	0.184	0.333	0.153
mine	zanga	0.688	0.418	0.578
minefield	minefield	0.188	0.839	0.684
miner	wosungira minda	0.408	0.594	0.644
mineral	mineral	0.519	0.287	0.605
mineralogy	mineralogy	0.551	0.408	0.545
mingle	kusakaniza	0.561	0.480	0.434
mingled	zosakanikirana	0.521	0.392	0.357
mini	mini	0.421	0.324	0.221
miniature	kakang'ono	0.429	0.292	0.204
minibus	minibus	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	zochepa	0.448	0.147	0.206
minimize	kuchepetsa	0.360	0.236	0.311
minimized	kuchepetsedwa	0.458	0.137	0.208
minimum	zochepa	0.380	0.198	0.194
mining	migodi	0.633	0.598	0.554
minion	minion	0.490	0.430	0.167
minister	mtumiki	0.547	0.441	0.892
ministerial	utumiki	0.571	0.519	0.660
ministry	utumiki	0.510	0.346	0.717
minivan	minivan	0.592	0.356	0.452
mink	mink	0.560	0.515	0.430
minnow	minnow	0.541	0.367	0.364
minor	ochepa	0.250	0.235	0.175
minority	ochepa	0.310	0.332	0.211
minstrel	sing'anga	0.458	0.541	0.397
mint	timbewu	0.688	0.221	0.345
minty	zabwino	0.635	0.292	0.361
minuscule	zochepa	0.396	0.286	0.214
minute	mphindi	0.582	0.279	0.356
minutiae	minutiae	0.323	0.257	0.316
minx	minx	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	chozizwitsa	0.917	0.607	0.806
miracles	zozizwitsa	0.922	0.735	0.692
miraculous	chozizwitsa	0.875	0.706	0.812
mirage	mirage	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	galasi	0.677	0.310	0.438
mirth	kusangalala	0.888	0.640	0.608
misappropriation	kugwiritsa ntchito molakwa	0.097	0.831	0.500
misbehave	kusokoneza	0.020	0.847	0.304
misbehavior	khalidwe loipa	0.031	0.704	0.269
miscalculation	miscalculation	0.177	0.490	0.353
miscarriage	kutaya padera	0.042	0.781	0.312
miscellaneous	zosiyana	0.531	0.321	0.196
miscellany	miscellany	0.500	0.412	0.384
mischief	kufuntha	0.385	0.834	0.292
mischievous	zovuta	0.439	0.804	0.472
misconception	malingaliro olakwika	0.210	0.557	0.291
misconduct	kulakwitsa	0.061	0.667	0.304
misdemeanor	zolakwika	0.210	0.640	0.364
misdirection	kusokonezeka	0.131	0.710	0.281
miser	masautso	0.208	0.633	0.311
miserable	zomvetsa chisoni	0.062	0.461	0.188
miserably	zomvetsa chisoni	0.280	0.545	0.150
misery	zowawa	0.146	0.378	0.158
misfire	kusokoneza	0.153	0.453	0.200
misfit	osayenera	0.173	0.500	0.393
misfortune	zovuta	0.094	0.780	0.311
misguided	NO TRANSLATION	0.280	0.531	0.259
mishap	kusokonezeka	0.071	0.654	0.227
misinformed	osamveketsedwa	0.156	0.567	0.250
misinterpretation	kutanthauzira molakwika	0.112	0.556	0.360
mislead	kusocheretsa	0.167	0.765	0.412
misleading	kusocheretsa	0.070	0.660	0.272
misled	anasocheretsedwa	0.177	0.606	0.353
mismanagement	kusayendetsa bwino	0.094	0.520	0.295
mismatch	zolakwika	0.250	0.459	0.282
mismatched	zosafanana	0.250	0.557	0.302
misnomer	kusokoneza	0.296	0.528	0.284
misplace	misplace	0.229	0.461	0.191
misplaced	zolakwika	0.247	0.450	0.324
misread	molakwika	0.115	0.558	0.315
misrepresent	amanenera molakwika	0.198	0.542	0.418
misrepresentation	malingaliro olakwika	0.323	0.618	0.518
misrepresented	amanenedwa molakwika	0.042	0.519	0.466
miss	akusowa	0.573	0.490	0.408
missile	misisi	0.240	0.830	0.764
missiles	mipu	0.070	0.922	0.830
missing	akusowa	0.306	0.418	0.222
missingyou	NO TRANSLATION	0.260	0.471	0.377
mission	ntchito	0.765	0.633	0.870
missionary	amishonale	0.729	0.404	0.596
misspell	zopanda pake	0.292	0.423	0.281
misstatement	kusokoneza	0.302	0.547	0.221
missy	akusowa	0.521	0.480	0.333
mist	mphutsi	0.375	0.194	0.221
mistake	kulakwa	0.208	0.585	0.102
mistaken	zolakwitsa	0.131	0.630	0.212
mister	bambo	0.604	0.406	0.663
mistletoe	mistletoe	0.542	0.470	0.324
mistreated	akuzunzidwa	0.010	0.792	0.200
mistress	mbuye	0.630	0.796	0.694
mistrial	zolakwika	0.427	0.539	0.536
mistrust	kusakhulupirira	0.135	0.657	0.231
misty	zolakwika	0.427	0.451	0.278
misunderstand	osamvetsetsa	0.177	0.548	0.382
misunderstanding	kusamvetsetsana	0.112	0.618	0.284
misunderstood	osamvetsetsedwa	0.177	0.625	0.309
misuse	kugwiritsa ntchito molakwa	0.083	0.560	0.196
mite	mite	0.290	0.584	0.271
miter	mitambo	0.458	0.500	0.414
mitigate	kuchepetsa	0.506	0.427	0.456
mitigating	kuchepetsa	0.551	0.520	0.600
mitigation	kuchepetsa	0.448	0.527	0.423
mitt	mitt	0.406	0.183	0.264
mitten	NO TRANSLATION	0.531	0.330	0.408
mitzvah	mitzvah	0.422	0.610	0.409
mix	Sakanizani	0.542	0.490	0.472
mixed	zosakaniza	0.510	0.346	0.444
mixedemotions	zosokoneza	0.440	0.673	0.430
mixer	chosakaniza	0.562	0.500	0.556
mixture	osakaniza	0.546	0.360	0.481
mnemonic	mnemonic	0.531	0.480	0.452
moan	kudandaula	0.357	0.735	0.352
moat	moti	0.398	0.380	0.314
mob	gulu	0.296	0.788	0.567
mobile	mafoni	0.615	0.569	0.481
mobility	kuyenda	0.700	0.596	0.654
mobilization	Kulimbikitsa	0.688	0.720	0.787
mobilize	kusonkhanitsani	0.604	0.684	0.727
mobster	mobster	0.188	0.870	0.638
mocha	mocha	0.500	0.396	0.311
mock	onyoza	0.360	0.606	0.618
mocked	kunyozedwa	0.225	0.746	0.204
mockery	kuseka	0.094	0.806	0.181
mocking	kunyoza	0.082	0.755	0.394
mockingbird	mockingbird	0.513	0.337	0.423
mod	mod	0.458	0.367	0.384
modal	modal	0.592	0.264	0.461
modality	miyambo	0.633	0.404	0.527
mode	mawonekedwe	0.531	0.185	0.367
model	chitsanzo	0.607	0.388	0.723
modeler	modeler	0.500	0.510	0.730
modeling	kuwonetsa	0.684	0.404	0.490
modem	modem	0.573	0.355	0.500
moderate	moyenera	0.582	0.190	0.453
moderate anticipation	kuyembekezera mwachidwi	0.667	0.451	0.574
moderate disgust	kunyansidwa	0.229	0.558	0.381
moderate negative	zoipa zochepa	0.177	0.500	0.306
moderate positive	zosangalatsa zabwino	0.896	0.453	0.753
moderate surprise	kudabwa modabwitsa	0.776	0.663	0.637
moderate trust	kukhulupirirana pang'ono	0.677	0.350	0.773
moderately	moyenera	0.604	0.264	0.500
moderating	kusinthasintha	0.667	0.402	0.783
moderation	kuchepetsa	0.531	0.240	0.453
moderator	woyang'anira	0.519	0.354	0.802
modern	zamakono	0.855	0.423	0.691
modernism	zamakono	0.760	0.553	0.703
modest	wodzichepetsa	0.760	0.130	0.412
modesty	kudzichepetsa	0.778	0.240	0.500
modicum	modicum	0.234	0.417	0.327
modifiable	zosinthika	0.541	0.422	0.373
