Word	Sesotho-st	Valence	Arousal	Dominance
inexact	ho se lumellane	0.153	0.459	0.170
inexcusable	e se na boikemelo	0.271	0.582	0.546
inexhaustible	e sa feleng	0.602	0.541	0.643
inexpensive	e sa theko e tlaase	0.694	0.414	0.260
inexperience	se nang phihlelo	0.208	0.614	0.151
inexperienced	se nang phihlelo	0.281	0.473	0.231
inexplicable	e sa hlaloseheng	0.224	0.635	0.443
inexpressible	e sa tsebeng letho	0.198	0.608	0.364
infallibility	ho se tšepahale	0.583	0.663	0.764
infallible	e sa khonehe	0.776	0.687	0.809
infamous	e se nang mohau	0.146	0.580	0.472
infamy	ho nyenyefatsa	0.177	0.676	0.421
infancy	ho tloha boseeng	0.750	0.399	0.370
infant	lesea	0.802	0.431	0.328
infanticide	infanticide	0.167	0.856	0.443
infantile	bana ba banyenyane	0.604	0.382	0.259
infantry	babyana	0.531	0.684	0.791
infarct	e fokolang	0.080	0.846	0.386
infatuated	e nyelisoa	0.729	0.764	0.417
infatuation	ho nkeha maikutlo	0.844	0.745	0.530
infeasible	e sa khonehe	0.245	0.472	0.236
infect	tšoaetsa	0.102	0.777	0.424
infection	tšoaetso	0.083	0.735	0.407
infectious	e tšoaetsanoang	0.142	0.760	0.422
infer	hanela	0.449	0.490	0.453
inference	tlhaloso	0.359	0.479	0.398
inferential	ho sa tsotellehe	0.426	0.451	0.455
inferior	e tlaase	0.260	0.254	0.106
inferiority	ho theoha	0.177	0.430	0.205
infernal	e sa feleng	0.083	0.837	0.571
inferno	inferno	0.051	0.857	0.463
infertile	ho fokola	0.274	0.458	0.255
infertility	ho hloka matla	0.170	0.664	0.328
infestation	infestation	0.256	0.776	0.527
infidel	ho se tšepahale	0.177	0.740	0.404
infidelity	ho se tšepahale	0.062	0.777	0.392
infield	infield	0.510	0.571	0.438
infiltrate	kenella	0.408	0.745	0.587
infiltration	ho kenella	0.265	0.792	0.536
infinite	ho sa feleng	0.724	0.583	0.735
infinitely	ho sa feleng	0.688	0.643	0.829
infinitesimal	e sa lekanyetsoang	0.388	0.472	0.496
infinity	ho sa feleng	0.516	0.459	0.805
infirm	ba fokola	0.115	0.521	0.210
infirmary	phekolo ea boipheliso	0.500	0.438	0.517
infirmity	ho fokola	0.094	0.482	0.252
inflammation	ho ruruha	0.146	0.765	0.423
inflammatory	ho ruruha	0.177	0.642	0.404
inflatable	inflatable	0.510	0.510	0.400
inflate	kenya	0.305	0.569	0.462
inflated	e tšoaetsanoe	0.303	0.431	0.617
inflation	inflation	0.219	0.792	0.508
inflection	ho kheloha	0.385	0.635	0.377
inflict	e ntša	0.167	0.760	0.609
infliction	ho kenya letsoho	0.302	0.722	0.571
inflorescence	inflorescence	0.459	0.344	0.412
influence	tšusumetso	0.622	0.663	0.824
influential	e na le tšusumetso	0.899	0.688	0.944
influenza	feberu	0.271	0.718	0.321
influx	tšela	0.622	0.635	0.575
info	info	0.750	0.330	0.642
infomercial	ho se tsotelle	0.427	0.462	0.555
inform	tsebisa	0.723	0.582	0.679
informal	e sa reroang	0.480	0.398	0.441
informant	e tsebang	0.604	0.612	0.719
information	tlhahisoleseding	0.765	0.370	0.711
informative	tse rutang	0.812	0.419	0.741
informed	tsebiso	0.543	0.298	0.617
informer	mo tsebisa	0.521	0.578	0.580
infraction	tlōlo ea molao	0.245	0.660	0.471
infrared	infrared	0.469	0.588	0.526
infrastructure	mekhoa ea metse	0.604	0.460	0.694
infrequent	e sa tloaelehang	0.312	0.377	0.192
infrequently	ka nako e telele	0.204	0.250	0.327
infringement	ho tlōla	0.153	0.800	0.481
infuriate	e halefile	0.102	0.934	0.596
infuriated	a halefile	0.073	0.930	0.510
infuriates	ba halefile	0.135	0.913	0.627
infuriating	ho halefa	0.139	0.870	0.509
infuse	kenya	0.380	0.705	0.589
infused	e kenngoa	0.385	0.473	0.546
infuser	ho nyatsa	0.469	0.433	0.536
infusion	infusion	0.583	0.365	0.453
ingenious	tse bohlale	0.760	0.690	0.891
ingenuity	bohlale	0.708	0.590	0.868
ingest	ho kopa	0.510	0.559	0.473
ingestion	ho kenella	0.429	0.612	0.512
ingot	ingot	0.688	0.444	0.615
ingrained	e tiisitsoeng	0.531	0.490	0.712
ingrate	khaola	0.235	0.606	0.327
ingredient	motsoako	0.792	0.373	0.451
ingress	ingress	0.601	0.366	0.736
inhabit	a lule teng	0.656	0.378	0.556
inhabitant	moahi	0.604	0.356	0.519
inhabited	e ahiloeng	0.667	0.361	0.510
inhabiting	ba ahileng ho lona	0.458	0.440	0.598
inhalation	ho inhalation	0.510	0.613	0.464
inhale	inhale	0.427	0.340	0.492
inhaler	inhaler	0.408	0.500	0.349
inherent	tsa tlhaho	0.562	0.439	0.480
inherit	rua	0.745	0.546	0.694
inheritance	lefa	0.900	0.565	0.798
inhibit	thibela	0.167	0.479	0.447
inhibition	ho thibela	0.265	0.392	0.534
inhibitor	inhibitor	0.281	0.450	0.471
inhospitable	e ke keng ea qojoa	0.265	0.531	0.395
inhuman	e se nang botho	0.107	0.660	0.492
inhumane	ho hloka bokooa	0.104	0.587	0.402
inhumanity	ho hloka botho	0.143	0.540	0.405
inimaginable	NO TRANSLATION	0.542	0.636	0.534
inimical	e sa tloaelehang	0.260	0.823	0.556
inimitable	ha e na thuso	0.571	0.413	0.790
iniquity	bobe	0.219	0.567	0.425
initial	pele	0.583	0.314	0.539
initiate	qala	0.719	0.480	0.553
initiated	e qalile	0.760	0.490	0.650
initiation	qalo	0.698	0.529	0.527
initiative	bohato ba pele	0.833	0.615	0.768
inject	kenya	0.406	0.735	0.596
injection	ente	0.281	0.741	0.518
injunction	taelo	0.281	0.422	0.519
injure	ho ntša kotsi	0.177	0.710	0.364
injured	ba lemetse	0.083	0.680	0.302
injuring	ho lematsa	0.073	0.790	0.245
injurious	kotsi	0.177	0.759	0.366
injury	kotsi	0.049	0.769	0.287
injustice	ho hloka toka	0.082	0.755	0.444
ink	inki	0.471	0.408	0.235
inkling	ho inkela	0.448	0.551	0.570
inland	ka hare ho naha	0.510	0.417	0.423
inlay	inlay	0.406	0.531	0.565
inlet	ho kena	0.646	0.378	0.466
inmate	batšoaruoa	0.235	0.663	0.398
inn	hotele e nyane	0.660	0.284	0.475
innards	innards	0.302	0.480	0.400
innate	mohau	0.490	0.400	0.521
inner	ka hare	0.551	0.216	0.443
innermost	ka hare	0.583	0.500	0.510
innerpeace	NO TRANSLATION	0.714	0.318	0.551
inning	inning	0.602	0.315	0.520
innings	innings	0.573	0.487	0.443
innkeeper	mong'a ntlo	0.578	0.224	0.472
innocence	ho hloka molato	0.802	0.260	0.307
innocent	ba hlokang molato	0.729	0.206	0.340
innocently	ho hloka molato	0.776	0.250	0.302
innocuous	ho hloka toka	0.510	0.321	0.172
innovate	ho innosa	0.898	0.872	0.750
innovation	tse ncha	0.949	0.680	0.890
innovative	tse ncha	0.880	0.640	0.830
innuendo	innuendo	0.467	0.670	0.463
innumerable	e ke keng ea baloa	0.667	0.445	0.704
inoculation	inoculation	0.333	0.570	0.598
inoperable	e sa sebetse	0.184	0.422	0.304
inoperative	e sa sebetse	0.138	0.425	0.273
inordinate	ho sa tsotellehe	0.163	0.630	0.330
inorganic	e sa tloaelehang	0.385	0.345	0.282
input	kenyelletso	0.643	0.337	0.527
inquest	botsa	0.458	0.569	0.721
inquire	botsa	0.583	0.519	0.363
inquirer	botsa	0.573	0.598	0.776
inquiring	ho botsa	0.479	0.510	0.500
inquiry	tlhahlobo	0.541	0.420	0.536
inquisitive	ho na le bothata	0.301	0.637	0.615
inquisitor	mofuputsi	0.385	0.873	0.642
insane	ho hlanya	0.062	0.670	0.265
insanity	insanity	0.098	0.847	0.337
insatiable	e tsitsitseng	0.375	0.656	0.558
inscription	ho ngoloa	0.592	0.422	0.542
inscrutable	e tsitsitseng	0.459	0.541	0.613
insect	likokoanyana	0.276	0.633	0.242
insecticide	likokoana-hloko	0.188	0.598	0.430
insecure	se sireletsehileng	0.114	0.538	0.132
insecurity	ho se sireletsehe	0.094	0.647	0.350
insemination	ho senya	0.542	0.644	0.622
insensitive	e sa tsotellehe	0.219	0.471	0.302
inseparable	e ke keng ea arohana	0.700	0.520	0.571
insert	kenya	0.481	0.552	0.519
inserted	kenngoa	0.479	0.402	0.476
insertion	kenya	0.521	0.520	0.565
inside	ka hare	0.612	0.404	0.472
insider	ho kena	0.625	0.562	0.750
insidious	e bolotsana	0.146	0.622	0.480
insight	temohisiso	0.613	0.363	0.649
insightful	ho ba le temohisiso	0.664	0.691	0.713
insignia	boitsebiso bo sa tloaelehang	0.665	0.282	0.685
insignificance	e se ea bohlokoa	0.250	0.216	0.222
insignificant	e se nang bohlokoa	0.083	0.306	0.114
insinuate	insinuate	0.292	0.635	0.413
insipid	ho hloka kelello	0.214	0.250	0.241
insist	tsitlella	0.635	0.651	0.688
insistence	ho tsitlella	0.418	0.704	0.645
insistent	tsitlella	0.552	0.635	0.701
insists	e tsitlella	0.490	0.587	0.610
insolence	ho nyelisa	0.115	0.731	0.402
insolent	e nyelisang	0.112	0.663	0.343
insoluble	e sa hlajoe	0.439	0.290	0.414
insolvency	ho senya	0.323	0.431	0.300
insolvent	tse sa tsejoeng	0.230	0.481	0.318
insomnia	ho hlobaela	0.198	0.611	0.373
insomniac	insomniac	0.231	0.367	0.329
inspect	hlahloba	0.479	0.603	0.793
inspection	tlhahlobo	0.459	0.630	0.718
inspector	mohlokomeli	0.418	0.580	0.852
inspiration	phefumoloho	0.938	0.600	0.779
inspirational	e tsotehang	0.927	0.720	0.810
inspire	susumetsa	0.918	0.627	0.759
inspired	e bululetsoeng	0.967	0.702	0.736
instability	ho se tsitse	0.177	0.760	0.353
install	kenya	0.630	0.583	0.736
installation	tlhomamiso	0.656	0.469	0.759
installment	karolo	0.619	0.396	0.483
instance	mohlala	0.547	0.450	0.558
instant	hang-hang	0.766	0.454	0.554
instantaneous	hang-hang	0.750	0.500	0.585
instantaneously	hang-hang	0.656	0.640	0.600
instigate	kenya letsoho	0.278	0.765	0.642
instigation	ho kenya letsoho	0.323	0.769	0.648
instill	kenya	0.562	0.490	0.618
instinct	tlhaho	0.771	0.602	0.642
instinctive	ea tlhaho	0.752	0.575	0.694
institute	mokhatlo	0.604	0.480	0.807
institution	setheo	0.580	0.311	0.790
instruct	ruta	0.729	0.490	0.833
instructed	ba laetsoe	0.740	0.388	0.722
instruction	taeo	0.656	0.434	0.736
instructional	ho ruta	0.698	0.500	0.773
instructions	litaelo	0.582	0.302	0.556
instructive	ho ruta	0.583	0.420	0.643
instructor	morupeli	0.771	0.490	0.782
instrument	seletsa	0.562	0.537	0.655
instrumental	lipapali	0.740	0.472	0.647
instrumentalist	instrumentalist	0.656	0.540	0.740
instrumentality	seletsa	0.637	0.510	0.618
insubordination	ho se lumellane	0.281	0.775	0.634
insufferable	e ke ke ea khoneha	0.220	0.784	0.291
insufficiency	ho se sebetse	0.115	0.431	0.210
insufficient	ha e lekaneng	0.188	0.380	0.093
insufficiently	e sa lekaneng	0.147	0.509	0.198
insular	ho kenya letsoho	0.531	0.426	0.465
insulate	kenya letsoho	0.365	0.358	0.286
insulated	insulated	0.208	0.265	0.304
insulation	ho kenya letsoho	0.245	0.327	0.264
insulin	insulin	0.429	0.472	0.375
insult	ho rohaka	0.085	0.831	0.389
insulting	ho nyefola	0.094	0.840	0.412
insurance	inshorense	0.714	0.308	0.825
insure	netefatsa	0.700	0.415	0.698
insurgent	bofetoheli	0.235	0.735	0.660
insurmountable	e ke keng ea khoneha	0.620	0.627	0.737
insurrection	bofetoheli	0.229	0.706	0.582
intact	e tiile	0.716	0.212	0.602
intake	kena	0.604	0.527	0.442
intangible	e sa bonahaleng	0.525	0.480	0.473
integer	e kholo	0.573	0.327	0.595
integral	ho kopane	0.590	0.337	0.615
integrate	kopanya	0.729	0.390	0.700
integration	ho kopanngoa	0.771	0.480	0.737
integrity	botšepehi	0.865	0.413	0.848
intellect	bohlale	0.844	0.418	0.870
intellectual	kelello	0.906	0.455	0.845
intelligence	bohlale	0.833	0.587	0.885
intelligent	ba bohlale	0.917	0.541	0.868
intelligibility	bohlale	0.740	0.481	0.689
intelligible	e utloahalang	0.635	0.480	0.691
intend	ikemiselitse	0.562	0.520	0.519
intended	morero	0.406	0.542	0.587
intending	e rerile	0.510	0.567	0.597
intense	haholo	0.592	0.774	0.679
intensely	ka matla	0.694	0.846	0.750
intensify	matlafatsa	0.604	0.870	0.737
intensity	matla	0.622	0.930	0.952
intensive	e matla haholo	0.570	0.842	0.776
intent	sepheo	0.550	0.481	0.500
intention	morero	0.531	0.480	0.636
intentional	ka boomo	0.650	0.615	0.750
intentionally	ka boomo	0.450	0.676	0.696
inter	ho kena	0.510	0.375	0.466
interact	sebelisana	0.822	0.690	0.759
interaction	ho sebelisana	0.646	0.735	0.750
interactive	ho sebelisana	0.727	0.811	0.770
intercede	kopa	0.582	0.577	0.630
intercept	thibela	0.221	0.660	0.676
interception	ho kheloha	0.327	0.673	0.643
intercession	ho rapella	0.503	0.486	0.598
interchange	ho fapanyetsana	0.615	0.527	0.565
interchangeable	e feto-fetoha	0.615	0.459	0.526
interchanged	ba fapanyetsana	0.396	0.472	0.434
intercom	intercom	0.623	0.429	0.453
intercourse	ho kopanela liphate	0.551	0.608	0.557
interdependence	ho itšehla thajana	0.608	0.618	0.639
interdependent	e ikemetse	0.410	0.482	0.598
interdiction	thibelo	0.337	0.500	0.585
interest	thahasello	0.780	0.667	0.618
interested	thahasello	0.750	0.529	0.725
interesting	thahasellisang	0.927	0.726	0.731
interface	sebopeho	0.643	0.357	0.600
interfere	kena-kenana	0.323	0.714	0.471
interference	ho kena-kenana	0.396	0.736	0.357
interferometer	interferometer	0.510	0.510	0.517
intergalactic	intergalactic	0.562	0.661	0.741
interim	nakoana	0.604	0.400	0.524
interior	ka hare	0.618	0.157	0.462
interject	ho kena-kenana	0.333	0.648	0.658
interlocutory	ho buisana	0.490	0.500	0.527
interlude	ho kopana	0.470	0.417	0.377
intermediary	mohokahanyi	0.427	0.510	0.643
intermediate	lipakeng	0.480	0.368	0.400
interment	ho bua	0.235	0.608	0.346
interminable	e ke keng ea qojoa	0.327	0.481	0.561
intermission	ho khutsa	0.490	0.360	0.402
intermittent	lipakeng	0.337	0.565	0.436
intern	basebetsi	0.459	0.460	0.392
internal	ka hare	0.439	0.349	0.423
internally	ka hare	0.615	0.400	0.616
international	machaba	0.800	0.519	0.702
internet	internet	0.760	0.462	0.755
internship	internship	0.590	0.510	0.482
interoffice	ho kena lipakeng	0.439	0.375	0.556
interpolate	tlhaloso	0.460	0.490	0.569
interpolation	tlhaloso	0.419	0.506	0.528
interpret	ho fetolela	0.646	0.625	0.673
interpretation	tlhaloso	0.677	0.594	0.620
interpreter	mofetoleli	0.708	0.461	0.596
interpretive	ho fetolela	0.531	0.549	0.595
interrelated	e amanang	0.615	0.469	0.592
interrogate	ho hlongoa lipotso	0.323	0.808	0.680
interrogation	lipotso	0.302	0.827	0.657
interrupt	ho kena-kenana	0.210	0.635	0.509
interrupted	e sitisitsoe	0.281	0.559	0.333
interrupting	ho kena-kenana	0.146	0.593	0.509
interruption	ho sitisoa	0.184	0.632	0.425
interrupts	e sitisa	0.204	0.545	0.389
intersect	fapanyetsana	0.521	0.510	0.480
intersection	litšebelisano	0.344	0.541	0.658
interstate	ka hare	0.520	0.443	0.600
interstellar	interstellar	0.708	0.702	0.622
interstitial	litšebelisano	0.333	0.471	0.534
interval	nako	0.510	0.284	0.400
intervene	kenella	0.520	0.677	0.768
intervening	ho kena-kenana	0.398	0.627	0.442
intervention	ho kenella	0.388	0.696	0.689
interview	lipuisano	0.573	0.770	0.619
interviewer	moqoqo	0.552	0.736	0.816
interworking	ho sebelisana	0.552	0.587	0.691
intestate	malapa	0.459	0.467	0.415
intestinal	mala	0.357	0.531	0.370
intestine	mala	0.343	0.450	0.380
intestines	mala	0.292	0.547	0.398
intimacy	kamano e haufi-ufi	0.857	0.802	0.558
intimate	e haufi-ufi	0.724	0.598	0.393
intimately	haufi-ufi	0.806	0.573	0.590
intimation	khabiso	0.406	0.673	0.500
intimidate	tšosa	0.210	0.804	0.632
intimidated	tšosoa	0.177	0.663	0.208
intimidating	tšosa	0.229	0.790	0.708
intimidation	tšoso	0.177	0.791	0.644
intolerable	e ke keng ea qojoa	0.146	0.660	0.439
intolerance	ho hloka kutloano	0.052	0.704	0.520
intolerant	e sa mamelleng	0.135	0.676	0.509
intonation	polelo	0.615	0.442	0.598
intoxicated	tahiloeng	0.079	0.824	0.246
intoxicating	e tahang	0.224	0.760	0.464
intoxication	ho tahoa	0.323	0.710	0.400
intracranial	ho se sebetse	0.281	0.602	0.553
intractable	e ke keng ea qojoa	0.154	0.694	0.302
intramural	ho kenya letsoho	0.490	0.464	0.447
intravenous	ho senya	0.357	0.538	0.458
intrepid	ba sebete	0.753	0.696	0.637
intricate	e rarahaneng	0.559	0.704	0.500
intrigue	khethollo	0.362	0.830	0.327
intriguing	e thahasellisang	0.422	0.713	0.462
intrinsic	ka hare	0.406	0.471	0.526
intrinsically	ka tlhaho	0.459	0.382	0.538
intro	kenyelletso	0.510	0.331	0.657
introduce	hlahisa	0.592	0.559	0.648
introduction	kenyelletso	0.612	0.413	0.640
introductory	kenyelletso	0.635	0.368	0.593
introspection	ho itlhahisa pele	0.603	0.337	0.575
introspective	ho hlahisa maikutlo	0.552	0.360	0.471
intrude	kenella	0.058	0.735	0.480
intruder	moqapi	0.146	0.740	0.324
intrusion	ho kena-kenana	0.293	0.641	0.670
intrusive	intrusive	0.461	0.607	0.538
intubation	ho phomola	0.276	0.598	0.526
intuition	intuition	0.857	0.508	0.602
intuitive	e utloahalang	0.771	0.573	0.690
intuitively	intuitively	0.670	0.561	0.648
inundation	ho hlatsoa	0.177	0.780	0.455
invade	hlasela	0.408	0.892	0.714
invader	mohlaseli	0.200	0.827	0.618
invalid	ha e na thuso	0.180	0.330	0.255
invalidate	e se ke ea e-ba matla	0.315	0.480	0.397
invalidation	ho fosahetse	0.181	0.490	0.278
invalidity	ho se sebetse	0.186	0.394	0.158
invaluable	e bohlokoa haholo	0.740	0.500	0.745
invariably	khafetsa	0.458	0.365	0.550
invasion	tlhaselo	0.271	0.843	0.808
invasive	e hlaselang	0.194	0.730	0.598
invent	qapa	0.719	0.689	0.833
invention	e qapiloeng	0.714	0.577	0.811
inventive	e sa sebetseng	0.780	0.627	0.721
inventor	moqapi	0.781	0.667	0.847
inventory	tlhahlobo	0.594	0.463	0.490
inverse	ho fapana	0.459	0.337	0.319
inversely	ka tsela e fapaneng	0.286	0.418	0.351
inversion	ho tsuba	0.602	0.630	0.772
invert	khelosa	0.510	0.585	0.706
inverted	e khelohile	0.310	0.471	0.357
invest	kenya chelete	0.650	0.663	0.682
investigate	hlahloba	0.640	0.500	0.781
investigation	phuputso	0.531	0.592	0.820
investigative	lipatlisiso	0.562	0.600	0.704
investigator	mofuputsi	0.615	0.509	0.779
investment	letsete	0.720	0.592	0.745
investor	motjhelete	0.794	0.655	0.791
invidious	e se nang thuso	0.112	0.650	0.364
invigorate	matlafatsa	0.821	0.798	0.831
invincible	se ke keng sa hlōloa	0.867	0.853	0.914
invisibility	ho bonahala	0.438	0.461	0.382
invisible	e sa bonahaleng	0.417	0.345	0.412
invitation	memo	0.802	0.549	0.647
invite	memela	0.745	0.655	0.611
inviting	e mema	0.938	0.571	0.538
invocation	ho ipiletsa	0.430	0.620	0.673
invoice	invoice	0.480	0.380	0.474
invoke	ho kopa	0.583	0.740	0.579
involuntary	e sa ikhethang	0.354	0.490	0.231
involution	ho fetoha	0.296	0.420	0.407
involve	ho ameha	0.694	0.490	0.728
involvement	ho kenya letsoho	0.760	0.620	0.696
invulnerable	e ke keng ea hlaseloa	0.552	0.683	0.745
inwards	ka hare	0.490	0.385	0.438
iodine	iodine	0.390	0.265	0.333
ion	ion	0.429	0.330	0.408
iota	e le 'ngoe	0.344	0.385	0.314
irate	ho halefa	0.188	0.852	0.474
ire	NO TRANSLATION	0.198	0.740	0.575
iridescent	likhahla	0.602	0.588	0.539
iris	iris	0.708	0.275	0.380
irked	e halefile	0.164	0.791	0.353
irks	li-irks	0.276	0.781	0.339
iron	tšepe	0.448	0.351	0.679
ironclad	khaled	0.561	0.648	0.679
ironic	ho makatsa	0.435	0.550	0.500
irons	litone	0.531	0.441	0.625
irony	ho se tsotelle	0.390	0.587	0.508
irradiation	ho fokotsa matla	0.385	0.736	0.509
irrational	ho se nahane	0.125	0.648	0.394
irrationality	ho se nahane	0.198	0.735	0.361
irreconcilable	ho se lumellane	0.146	0.667	0.375
irreducible	ho se na thuso	0.296	0.455	0.569
irrefutable	e ke keng ea qojoa	0.496	0.549	0.716
irregular	e sa tloaelehang	0.312	0.548	0.321
irregularity	ho se natse	0.104	0.647	0.306
irregularly	ka mokhoa o sa tloaelehang	0.292	0.565	0.397
irrelevant	irrelevant	0.138	0.311	0.296
irreparable	e ke keng ea lekanngoa	0.061	0.530	0.430
irreplaceable	e ke keng ea khoneha	0.479	0.580	0.833
irrepressible	ho se na thuso	0.512	0.566	0.745
irresistible	e ke keng ea qojoa	0.823	0.833	0.839
irrespective	ho sa tsotellehe seo	0.497	0.538	0.745
irresponsible	ho se tsotellehe	0.177	0.680	0.241
irreverent	ho hloka tlhompho	0.191	0.694	0.634
irreversible	e ke keng ea senoloa	0.170	0.541	0.667
irrevocable	e sa fetoheng	0.296	0.560	0.712
irrigate	nosetsa	0.272	0.458	0.490
irrigation	ho nosetsa	0.259	0.426	0.426
irritability	ho halefa	0.146	0.853	0.283
irritable	ho halefa	0.112	0.952	0.462
irritate	ho halefisa	0.167	0.890	0.368
irritated	e halefile	0.210	0.816	0.281
irritates	e halefisa	0.173	0.810	0.295
irritating	ho halefisa	0.104	0.912	0.393
irritation	khalefo	0.073	0.833	0.496
island	sehlekehleke	0.745	0.347	0.432
isle	sehlekehleke	0.667	0.390	0.443
islet	sehlekehleke	0.612	0.314	0.367
isolate	ho itšehla thajana	0.235	0.422	0.336
isolated	tse ling	0.221	0.356	0.255
isolation	ho itšehla thajana	0.198	0.338	0.339
isomorphism	isomorphism	0.448	0.361	0.481
isothermal	e sa tloaelehang	0.459	0.491	0.500
isotope	isotope	0.429	0.404	0.407
issue	hlahisa	0.316	0.819	0.351
itch	itch	0.319	0.610	0.465
itching	ho hlohlona	0.208	0.690	0.300
itchy	ho hlakile	0.334	0.726	0.296
item	ntho	0.594	0.270	0.465
itemize	itemize	0.459	0.527	0.518
items	lintho	0.542	0.401	0.434
iterate	iterate	0.449	0.460	0.440
iteration	iteration	0.531	0.449	0.486
iterative	phetolelo	0.429	0.420	0.500
itinerant	e tsamaeang leetong	0.449	0.545	0.439
itinerary	leetong	0.551	0.550	0.454
ivory	manaka a tlou	0.625	0.235	0.566
jab	jab	0.385	0.519	0.482
jabber	jabber	0.417	0.506	0.342
jack	jack	0.487	0.450	0.441
jackal	jackal	0.333	0.582	0.436
jackass	jackass	0.188	0.692	0.279
jacket	jacket	0.656	0.302	0.382
jackhammer	jackhammer	0.199	0.690	0.519
jackpot	jackpot	0.950	0.750	0.786
jackrabbit	jackrabbit	0.625	0.379	0.344
jacks	jacks	0.490	0.400	0.505
jade	jade	0.604	0.410	0.455
jaded	e tletse	0.255	0.560	0.400
jag	NO TRANSLATION	0.408	0.440	0.427
jagged	jagged	0.082	0.462	0.213
jaguar	jaguar	0.559	0.710	0.654
jail	chankaneng	0.094	0.898	0.480
jailbird	jailbird	0.240	0.567	0.473
jailbreak	lefu la teronko	0.354	0.629	0.471
jailer	molebeli oa teronko	0.194	0.630	0.632
jailhouse	teronkong	0.104	0.887	0.430
jalopy	jalopy	0.396	0.436	0.337
jam	jeme	0.510	0.548	0.318
jamboree	nthoree	0.602	0.625	0.351
jammed	e koetsoe	0.235	0.817	0.411
jammer	jammer	0.417	0.540	0.491
janitor	mohlokomeli	0.510	0.350	0.527
janitorial	janitorial	0.490	0.373	0.481
japan	japan	0.667	0.482	0.580
jar	nkho	0.430	0.346	0.318
jargon	jargon	0.333	0.548	0.404
jarhead	hlooho	0.408	0.530	0.464
jarring	jarring	0.210	0.673	0.309
jasmine	jasmine	0.765	0.230	0.286
jasper	jasper	0.480	0.425	0.402
jaundice	jaundice	0.214	0.480	0.355
jaunt	jaunt	0.808	0.451	0.500
java	java	0.459	0.321	0.343
javelin	javelin	0.385	0.481	0.465
jaw	mohlahare	0.500	0.510	0.420
jawbone	lehare	0.468	0.413	0.342
jaws	melahare	0.385	0.528	0.455
jay	jay	0.531	0.408	0.389
jazz	jazz	0.677	0.362	0.450
jazzy	jazzy	0.725	0.431	0.389
jealous	mōna	0.173	0.855	0.345
jealousy	poulelo	0.146	0.783	0.481
jean	jean	0.602	0.444	0.364
jeans	li jeane	0.622	0.324	0.371
jeep	jeep	0.602	0.510	0.612
jeering	ho laola	0.266	0.792	0.380
jelly	jelly	0.651	0.294	0.256
jellybean	pompong ea jeli	0.592	0.406	0.399
jellyfish	jellyfish	0.531	0.567	0.377
jenny	jenny	0.542	0.406	0.407
jeopardize	beha kotsing	0.260	0.877	0.582
jeopardy	e kotsing	0.129	0.908	0.536
jerk	jerk	0.194	0.630	0.238
jerks	jerks	0.214	0.788	0.395
jerky	jerky	0.233	0.538	0.358
jersey	jerese	0.594	0.317	0.411
jest	NO TRANSLATION	0.520	0.736	0.222
jester	jester	0.388	0.670	0.264
jesus	Jesu	0.800	0.400	0.620
jet	jete	0.612	0.721	0.606
jetty	jetty	0.602	0.480	0.453
jewel	jewel	0.827	0.588	0.625
jeweler	jeweller	0.760	0.482	0.500
jewelry	mabenyane	0.823	0.569	0.597
jib	jib	0.406	0.420	0.413
jiff	NO TRANSLATION	0.576	0.404	0.349
jiffy	jiffy	0.410	0.444	0.380
jig	jig	0.531	0.396	0.357
jiggle	jiggle	0.592	0.673	0.518
jigsaw	jigsaw	0.594	0.582	0.519
jihad	jihad	0.323	0.660	0.444
jimmy	jimmy	0.579	0.321	0.311
jingle	jingle	0.635	0.500	0.424
jinx	jinx	0.337	0.582	0.373
jitters	jitters	0.224	0.918	0.192
jittery	jitere	0.344	0.856	0.255
jive	jive	0.561	0.551	0.373
job	mosebetsi	0.694	0.541	0.717
jobinterview	NO TRANSLATION	0.684	0.837	0.723
jock	jock	0.592	0.656	0.473
jockey	jockey	0.562	0.644	0.703
jockstrap	jockstrap	0.347	0.431	0.390
jog	jog	0.510	0.708	0.519
jogger	ho fofa	0.417	0.510	0.424
john	John	0.562	0.382	0.327
join	kena	0.729	0.479	0.684
joined	ikopanya	0.667	0.394	0.600
joining	kena	0.755	0.469	0.685
joint	kopane	0.615	0.392	0.566
jointly	hammoho	0.708	0.425	0.602
joke	joke	0.704	0.610	0.316
joker	joker	0.771	0.760	0.416
joking	ho tsuba	0.776	0.839	0.407
jolly	ho robala	0.959	0.705	0.708
jolt	jolt	0.365	0.708	0.358
jornada	NO TRANSLATION	0.417	0.500	0.533
jot	jot	0.406	0.323	0.350
jour	NO TRANSLATION	0.479	0.394	0.415
journal	koranta	0.688	0.240	0.352
journalism	boqolotsi ba litaba	0.622	0.500	0.684
journalist	moqolotsi oa litaba	0.542	0.452	0.732
journalistic	baqolotsi ba litaba	0.696	0.449	0.495
journey	leeto	0.910	0.702	0.625
journeyman	motho ea tsamaeang	0.765	0.596	0.741
joust	ho bapala	0.520	0.528	0.551
jovial	ho lekana	0.823	0.460	0.526
joy	thabo	0.980	0.824	0.794
joyful	thabo	0.990	0.740	0.667
joyous	thabo	0.958	0.580	0.728
joyride	thaba	0.694	0.550	0.500
joys	thabo	0.981	0.643	0.651
jubilant	e thabisang	0.844	0.673	0.664
jubilee	jubilee	0.916	0.500	0.579
judge	moahloli	0.510	0.604	0.857
