Word	Bosnian-bs	Valence	Arousal	Dominance
lean	lean	0.734	0.353	0.438
leaned	nagnut	0.570	0.373	0.490
leaning	naslonjen	0.480	0.409	0.352
leap	skok	0.750	0.663	0.667
learn	uči	0.833	0.643	0.829
learned	naučio	0.704	0.462	0.543
learner	učenik	0.698	0.475	0.398
learning	učenje	0.833	0.588	0.574
lease	zakup	0.520	0.463	0.545
leash	povodom	0.320	0.347	0.427
leather	koža	0.510	0.324	0.341
leathery	kožni	0.418	0.471	0.411
leave	odlazi	0.375	0.315	0.295
leavemealone	ostavi me na miru	0.240	0.472	0.402
leaving	odlazak	0.163	0.542	0.371
lecherous	lježljiv	0.135	0.704	0.376
lecture	predavanje	0.594	0.462	0.737
lecturer	predavač	0.677	0.549	0.736
ledge	polica	0.406	0.235	0.339
ledger	ledger	0.510	0.362	0.609
lee	lee	0.510	0.269	0.296
leech	pijavica	0.250	0.623	0.268
leeches	pijavice	0.115	0.698	0.295
leer	NO TRANSLATION	0.612	0.348	0.509
leery	leery	0.337	0.640	0.410
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	slobodan	0.562	0.577	0.569
left	levo	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	ostatak	0.490	0.460	0.222
leftovers	ostaci	0.219	0.350	0.116
lefty	lefty	0.490	0.406	0.379
leg	nogu	0.510	0.373	0.313
legacy	nasleđe	0.792	0.529	0.827
legal	legalno	0.653	0.387	0.887
legality	zakonitost	0.765	0.343	0.713
legalize	legalizovati	0.510	0.460	0.818
legalized	legalizovan	0.760	0.440	0.855
legally	legalno	0.771	0.482	0.842
legend	legenda	0.837	0.519	0.750
legendary	legendarni	0.857	0.537	0.863
legibility	čitljivost	0.771	0.481	0.580
legible	čitljiv	0.673	0.279	0.509
legion	legion	0.469	0.570	0.852
legislate	zakonodavstvo	0.571	0.582	0.736
legislation	zakonodavstvo	0.531	0.418	0.808
legislative	zakonodavstvo	0.633	0.365	0.800
legislator	zakonodavac	0.490	0.580	0.877
legislature	zakonodavstvo	0.540	0.435	0.698
legit	legit	0.747	0.427	0.849
legitimacy	legitimitet	0.823	0.420	0.855
legitimate	legitimno	0.792	0.363	0.841
lego	lego	0.600	0.294	0.189
legs	nogu	0.479	0.407	0.228
legume	legume	0.520	0.302	0.465
legwork	nogu	0.622	0.560	0.509
leisure	slobodno vrijeme	0.631	0.429	0.421
leisurely	lagano	0.806	0.250	0.367
lemma	lemma	0.530	0.284	0.391
lemon	limun	0.596	0.317	0.316
lemonade	limunada	0.661	0.287	0.412
lend	posuditi	0.520	0.461	0.508
lender	zajmodavac	0.340	0.520	0.703
lending	kreditiranje	0.510	0.585	0.462
length	dužine	0.479	0.308	0.533
lengthen	produženje	0.619	0.481	0.566
lengthened	produženo	0.448	0.530	0.474
lengthening	produženje	0.673	0.530	0.528
lengthwise	dužine	0.571	0.470	0.528
lengthy	dugotrajno	0.570	0.342	0.528
leniency	popustljivost	0.517	0.436	0.545
lenient	Blaži	0.520	0.451	0.340
lens	objektiv	0.420	0.245	0.472
leopard	leopard	0.542	0.755	0.611
leotard	leotard	0.510	0.429	0.391
leper	leper	0.075	0.589	0.206
leprechaun	leprechaun	0.417	0.480	0.417
leprosy	lezija	0.130	0.670	0.349
lesbian	lezbejka	0.385	0.660	0.415
lesbianism	lezbejstvo	0.327	0.725	0.440
lesion	lezija	0.240	0.623	0.361
less	manje	0.265	0.240	0.115
lessee	zakupac	0.417	0.474	0.595
lessen	smanjiti	0.235	0.284	0.255
lessening	smanjenje	0.375	0.300	0.277
lesser	manje	0.396	0.167	0.211
lesson	lekciju	0.704	0.577	0.593
lessor	zakupodavca	0.552	0.490	0.623
let	pusti	0.427	0.373	0.307
lethal	smrtonosno	0.156	0.800	0.745
lethargic	letargičan	0.214	0.245	0.375
lethargy	letargija	0.194	0.302	0.316
letter	pismo	0.635	0.279	0.342
lettered	pisano	0.542	0.361	0.482
letterhead	memorandum	0.450	0.316	0.462
lettering	pisma	0.541	0.180	0.431
letters	slova	0.663	0.327	0.364
lettuce	zelena salata	0.594	0.163	0.291
leukemia	leukemija	0.094	0.572	0.351
levee	levee	0.520	0.324	0.490
level	nivo	0.622	0.277	0.491
lever	poluga	0.400	0.343	0.402
leverage	leverage	0.459	0.500	0.629
levitate	levitate	0.561	0.598	0.551
levy	naplata	0.438	0.420	0.491
lewd	neudate	0.188	0.673	0.412
lexicon	leksikon	0.561	0.463	0.615
ley	NO TRANSLATION	0.604	0.389	0.764
liabilities	obaveze	0.429	0.608	0.694
liability	odgovornost	0.646	0.500	0.802
liable	odgovoran	0.656	0.519	0.821
liaison	veza	0.698	0.337	0.472
liar	lažov	0.042	0.606	0.339
libel	kleveta	0.128	0.694	0.403
libelous	klevetnički	0.125	0.735	0.436
liberal	liberal	0.565	0.565	0.755
liberalism	liberalizam	0.562	0.712	0.750
liberate	osloboditi	0.760	0.632	0.708
liberated	oslobođeni	0.780	0.630	0.683
liberating	oslobađanje	0.915	0.620	0.745
liberation	oslobođenje	0.745	0.614	0.857
liberty	sloboda	0.938	0.579	0.836
libido	libido	0.770	0.602	0.571
librarian	bibliotekar	0.625	0.135	0.509
library	biblioteka	0.776	0.122	0.549
libretto	libreto	0.612	0.328	0.406
lice	uši	0.133	0.500	0.194
license	licenca	0.500	0.394	0.702
lichen	lišaj	0.418	0.388	0.463
lick	lizati	0.470	0.482	0.330
licorice	licorice	0.677	0.310	0.400
lid	poklopac	0.490	0.189	0.255
lie	laži	0.130	0.725	0.272
liege	liege	0.479	0.426	0.452
lien	lien	0.396	0.580	0.441
lieu	lieu	0.427	0.410	0.312
lieutenant	poručnik	0.594	0.612	0.920
life	život	0.918	0.615	0.824
lifeblood	ćivota	0.673	0.690	0.708
lifeboat	čamac za spašavanje	0.724	0.425	0.533
lifeguard	spasilac	0.870	0.606	0.786
lifeisgood	život je dobar	0.812	0.575	0.611
lifeless	bez života	0.042	0.333	0.163
lifelike	u životu	0.776	0.567	0.765
lifeline	lifeline	0.735	0.552	0.496
lifelong	doživotno	0.823	0.330	0.640
lifer	lifer	0.427	0.519	0.398
lifesaver	lifesaver	0.908	0.745	0.703
lifestyle	način života	0.750	0.472	0.645
lifesucks	zivotinje	0.167	0.637	0.377
lifetime	životni vek	0.816	0.559	0.736
lift	lift	0.704	0.518	0.656
lifted	podignuta	0.714	0.441	0.657
liftoff	podići	0.531	0.667	0.588
ligament	ligament	0.490	0.410	0.510
ligation	ligation	0.344	0.423	0.396
ligature	ligature	0.478	0.430	0.447
light	svetlo	0.771	0.320	0.519
light year	svjetlosna godina	0.719	0.425	0.593
lightbulb	sijalica	0.573	0.255	0.302
lighten	olakšati	0.688	0.438	0.362
lightheaded	zaglavljen	0.347	0.620	0.255
lighthouse	svetionik	0.622	0.240	0.510
lighting	osvetljenje	0.765	0.440	0.750
lightness	lakoća	0.794	0.360	0.526
lightning	munja	0.429	0.683	0.595
lights	svjetla	0.750	0.480	0.575
lightweight	lagana	0.670	0.300	0.358
likable	likable	0.865	0.480	0.663
like	kao	0.719	0.353	0.446
likelihood	vjerovatnoća	0.760	0.469	0.542
likely	vjerovatno	0.633	0.356	0.454
likeness	sličnost	0.688	0.410	0.561
likewise	isto tako	0.651	0.217	0.312
liking	liking	0.963	0.604	0.589
lilac	lila	0.688	0.180	0.357
lily	ljiljan	0.640	0.245	0.263
limb	ud	0.510	0.397	0.427
limber	limber	0.688	0.729	0.673
limbo	limbo	0.385	0.284	0.309
lime	kreč	0.594	0.240	0.415
limelight	u centru pažnje	0.667	0.639	0.694
limestone	krečnjak	0.602	0.323	0.381
limey	lajm	0.469	0.347	0.415
limit	ograničenje	0.427	0.453	0.500
limitation	ograničenje	0.190	0.431	0.225
limited	ograničeno	0.229	0.273	0.380
limitless	bez granica	0.688	0.574	0.655
limo	limuzina	0.760	0.367	0.667
limousine	limuzina	0.638	0.531	0.640
limp	limp	0.393	0.440	0.172
lin	lin	0.416	0.362	0.343
line	line	0.541	0.180	0.353
lineage	poreklo	0.633	0.465	0.721
lineal	linearno	0.521	0.170	0.474
linear	linearno	0.646	0.250	0.472
linebacker	linebacker	0.490	0.660	0.543
lined	obrastao	0.438	0.367	0.424
linen	posteljina	0.656	0.323	0.286
liner	liner	0.469	0.396	0.400
lines	linije	0.542	0.317	0.330
lineup	poredati	0.635	0.427	0.638
linger	ostani	0.480	0.311	0.412
lingerie	donje rublje	0.543	0.463	0.308
lingering	dugotrajno	0.630	0.643	0.667
lingo	lingo	0.448	0.364	0.447
lingual	lingual	0.500	0.457	0.315
linguini	linguini	0.625	0.338	0.355
linguist	lingvist	0.583	0.330	0.634
linguistic	lingvistički	0.646	0.351	0.618
linguistics	lingvistika	0.552	0.390	0.618
lining	obloga	0.571	0.363	0.472
link	veza	0.427	0.264	0.491
linoleum	linoleum	0.510	0.378	0.402
lint	lint	0.388	0.173	0.214
lion	lav	0.532	0.717	0.682
lip	usne	0.541	0.348	0.443
liposuction	liposukcija	0.292	0.684	0.464
lipstick	ruž za usne	0.653	0.429	0.306
liquefaction	tečnost	0.449	0.622	0.535
liquefied	tečni	0.562	0.463	0.342
liqueur	liker	0.670	0.612	0.389
liquid	tečnost	0.562	0.235	0.307
liquidate	likvidirati	0.327	0.654	0.664
liquidation	likvidacija	0.417	0.625	0.649
liquidator	likvidator	0.354	0.663	0.750
liquidity	likvidnost	0.688	0.529	0.534
liquor	alkohol	0.603	0.702	0.433
lira	NO TRANSLATION	0.530	0.255	0.370
lisp	lisp	0.365	0.412	0.288
list	listu	0.528	0.260	0.402
listen	slušaj	0.771	0.360	0.445
listener	slušalac	0.667	0.375	0.403
listenting	NO TRANSLATION	0.640	0.377	0.491
listing	listing	0.438	0.273	0.432
listless	bez liste	0.219	0.350	0.231
listneing	NO TRANSLATION	0.531	0.370	0.433
litany	litany	0.510	0.365	0.482
liter	litar	0.573	0.208	0.382
literacy	pismenost	0.730	0.306	0.638
literal	doslovno	0.570	0.353	0.574
literally	bukvalno	0.571	0.353	0.673
literary	književno	0.719	0.324	0.667
literature	literature	0.708	0.250	0.598
lithe	lithe	0.656	0.596	0.602
lithium	litijum	0.417	0.330	0.430
lithograph	litografija	0.551	0.327	0.481
lithography	litografija	0.561	0.346	0.473
lithology	litologija	0.519	0.378	0.525
lithosphere	litosfera	0.473	0.333	0.689
litigant	parničar	0.219	0.577	0.696
litigate	sudija	0.260	0.819	0.712
litigation	parnica	0.388	0.760	0.602
litigator	litigator	0.429	0.630	0.732
litigious	parnični	0.360	0.736	0.632
litter	leglo	0.255	0.551	0.110
little	malo	0.385	0.160	0.213
littlethings	male stvari	0.740	0.311	0.242
littoral	littoral	0.551	0.387	0.452
liturgy	liturgija	0.490	0.327	0.568
live	uživo	0.880	0.673	0.676
livelife	živi život	0.792	0.624	0.664
livelihood	život	0.698	0.481	0.721
lively	živahno	0.847	0.810	0.642
liven	liven	0.708	0.713	0.673
liver	jetra	0.439	0.290	0.385
livery	livija	0.510	0.417	0.429
livestock	stoka	0.729	0.420	0.519
livid	livid	0.469	0.788	0.490
living	živi	0.865	0.608	0.727
lizard	gušter	0.378	0.375	0.324
llama	lama	0.490	0.590	0.519
lml	lml	0.448	0.519	0.385
load	opterećenje	0.385	0.417	0.528
loader	utovarivač	0.562	0.377	0.686
loaf	loaf	0.755	0.250	0.277
loafer	loafer	0.235	0.396	0.254
loam	šljunak	0.469	0.373	0.673
loan	kredit	0.552	0.480	0.352
loath	loat	0.135	0.714	0.445
loathe	loathe	0.094	0.730	0.429
loathful	gnjevito	0.068	0.740	0.358
loathing	omalovažavanje	0.083	0.796	0.368
loathsome	odvratno	0.120	0.694	0.343
lobby	lobi	0.625	0.427	0.472
lobbyist	lobista	0.385	0.527	0.565
lobe	režnja	0.459	0.364	0.352
lobotomy	lobotomija	0.296	0.598	0.402
lobster	jastog	0.571	0.356	0.291
local	lokalno	0.656	0.269	0.452
locale	locale	0.449	0.387	0.352
locality	locality	0.582	0.336	0.464
localization	lokalizacija	0.552	0.330	0.545
localize	lokalizirati	0.520	0.481	0.679
localized	lokalizovan	0.490	0.460	0.621
locate	locirati	0.583	0.520	0.786
location	lokacija	0.615	0.375	0.546
locator	locator	0.480	0.426	0.614
loch	loch	0.449	0.235	0.425
lock	brava	0.271	0.585	0.600
locker	ormarić	0.439	0.300	0.393
locket	mamac	0.615	0.327	0.616
locksmith	bravar	0.510	0.417	0.491
lockup	zaključati	0.240	0.602	0.617
loco	loco	0.306	0.774	0.226
locomotion	lokomotiva	0.470	0.600	0.595
locomotive	lokomotiva	0.542	0.650	0.721
locust	skakavac	0.479	0.412	0.417
lode	NO TRANSLATION	0.365	0.423	0.318
lodge	kućica	0.656	0.356	0.474
lodger	lodger	0.480	0.448	0.304
lodging	smeštaj	0.713	0.286	0.527
loft	potkrovlje	0.510	0.378	0.343
lofty	uzvišen	0.755	0.306	0.569
log	log	0.591	0.371	0.395
logarithm	logaritam	0.520	0.439	0.551
logarithmic	logaritamski	0.469	0.458	0.606
logic	logika	0.646	0.245	0.819
logical	logično	0.805	0.400	0.648
logistics	logistika	0.633	0.500	0.730
logo	logo	0.469	0.296	0.565
logotype	logotip	0.480	0.337	0.509
loin	NO TRANSLATION	0.420	0.298	0.379
lollipop	lizalica	0.628	0.483	0.357
lone	lone	0.198	0.204	0.367
loneliness	usamljenost	0.146	0.182	0.222
lonely	usamljen	0.250	0.226	0.238
loner	usamljenik	0.347	0.152	0.221
lonesome	usamljen	0.281	0.213	0.336
long	dugo	0.541	0.353	0.543
longboat	longboat	0.551	0.454	0.490
longevity	dugovječnost	0.750	0.353	0.745
longing	žudnja	0.604	0.434	0.560
longitude	dužine	0.479	0.310	0.516
longitudinal	uzdužni	0.542	0.398	0.582
longitudinally	uzdužno	0.541	0.380	0.569
longtime	dugo vrijeme	0.362	0.442	0.546
loo	loo	0.385	0.357	0.283
look	pogledaj	0.719	0.429	0.615
looker	izgledaš	0.583	0.354	0.451
lookout	pazi	0.698	0.538	0.639
loom	razbojni	0.531	0.245	0.325
looming	lebdeći	0.367	0.750	0.528
loon	loon	0.429	0.392	0.325
loony	loony	0.439	0.474	0.295
loop	petlja	0.516	0.343	0.317
loophole	rupa	0.406	0.755	0.491
loopy	zeznuti	0.438	0.520	0.195
loose	slobodno	0.573	0.312	0.365
loosen	olabaviti	0.487	0.337	0.218
loosening	otpuštanje	0.378	0.343	0.295
loot	pljačka	0.604	0.711	0.537
lop	lop	0.429	0.363	0.426
lopsided	lopsided	0.125	0.500	0.272
lord	Gospodaru	0.618	0.327	0.684
lords	gospodari	0.571	0.356	0.781
lordship	gospodstvo	0.573	0.557	0.736
lore	lore	0.719	0.373	0.768
lorry	kamion	0.521	0.481	0.402
lose	gube	0.115	0.538	0.176
loser	gubitnik	0.083	0.510	0.155
losing	gubljenje	0.076	0.686	0.223
loss	gubitak	0.062	0.567	0.211
lost	izgubljeno	0.199	0.663	0.148
lot	lot	0.531	0.215	0.370
lotion	losion	0.724	0.261	0.188
lots	mnogo	0.604	0.417	0.424
lottery	lutrija	0.771	0.731	0.491
lotto	loto	0.760	0.635	0.475
lotus	lotus	0.604	0.377	0.510
loud	glasno	0.573	0.650	0.870
loudly	glasno	0.541	0.755	0.667
loudmouth	loudmouth	0.337	0.615	0.456
loudness	glasnost	0.350	0.582	0.620
loudspeaker	zvučnik	0.490	0.735	0.689
lounge	salon	0.592	0.245	0.466
lounging	lounging	0.735	0.167	0.449
louse	ušće	0.184	0.439	0.154
lousy	loše	0.125	0.482	0.234
lovable	ljubazan	0.948	0.335	0.565
love	ljubav	1.000	0.519	0.673
loved	voleo	0.927	0.452	0.582
lovee	lovee	0.949	0.592	0.611
loveee	loveee	0.927	0.592	0.693
loveless	bez ljubavi	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	ljubaznost	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	divno	0.917	0.456	0.741
lovemaking	vođenje ljubavi	0.969	0.927	0.814
lovemylife	volim svoj zivot	0.896	0.800	0.573
lover	ljubavnik	0.881	0.816	0.750
lovesick	ljubav	0.796	0.842	0.500
lovethis	volim ovo	0.867	0.552	0.526
loving	ljubavi	0.948	0.612	0.636
lovinglife	lovinglife	0.979	0.404	0.673
lovinlife	lovinlife	0.714	0.460	0.544
low	nisko	0.292	0.220	0.102
lowdown	lowdown	0.306	0.441	0.441
lower	niže	0.327	0.296	0.258
lowering	spuštanje	0.286	0.363	0.236
lowest	najniži	0.312	0.304	0.129
lowlands	niske	0.323	0.290	0.331
lowlife	niski život	0.296	0.529	0.309
lowly	ponižavajuće	0.562	0.294	0.417
lox	lox	0.490	0.373	0.318
loyal	lojalni	0.896	0.265	0.657
loyalty	lojalnost	0.885	0.406	0.793
lsd	lsd	0.375	0.471	0.390
luau	luau	0.594	0.545	0.296
lube	lube	0.552	0.490	0.411
lubricant	lubrikant	0.656	0.550	0.454
lubricate	podmazati	0.552	0.490	0.470
lubrication	podmazivanje	0.624	0.646	0.491
lucid	lucidan	0.771	0.490	0.705
luck	sreća	0.854	0.490	0.717
luckiest	najsretniji	0.917	0.690	0.852
lucky	Srećno	0.960	0.610	0.793
luckygirl	sretnica	0.781	0.712	0.471
lucrative	donekle	0.729	0.519	0.798
ludicrous	smešno	0.137	0.553	0.274
lug	lug	0.344	0.443	0.340
luggage	prtljag	0.561	0.226	0.319
lukewarm	mlak	0.573	0.300	0.241
lull	uspavanost	0.602	0.130	0.402
lullaby	uspavanka	0.796	0.156	0.339
lumbar	lumbalna	0.323	0.418	0.342
lumber	građa	0.517	0.184	0.373
lumbering	drvo	0.354	0.561	0.655
lumberjack	lumberjack	0.500	0.660	0.726
luminescent	luminiscentno	0.796	0.550	0.526
luminous	blistavo	0.918	0.392	0.783
lump	grudnjak	0.438	0.337	0.463
lumpy	grublje	0.271	0.378	0.365
lunacy	Lunacy	0.132	0.847	0.330
lunar	lunarni	0.562	0.296	0.427
lunatic	ludak	0.125	0.792	0.442
lunch	ručak	0.880	0.410	0.542
lunchbox	kutija za ručak	0.663	0.346	0.346
luncheon	ručak	0.837	0.240	0.441
lunchtime	vrijeme za ručak	0.896	0.398	0.444
lung	pluća	0.510	0.292	0.629
lunge	lunge	0.354	0.721	0.509
lungs	pluća	0.531	0.352	0.555
lurch	lurch	0.404	0.694	0.363
lure	mamac	0.439	0.565	0.300
lurid	lurid	0.186	0.833	0.536
lurk	lurk	0.219	0.740	0.655
lurking	lurking	0.421	0.781	0.575
luscious	sjajan	0.885	0.552	0.545
lush	bujna	0.740	0.783	0.833
lust	požuda	0.469	0.944	0.518
luster	sjaj	0.833	0.566	0.558
lustful	požudno	0.427	0.896	0.643
lustrous	sjajno	0.771	0.606	0.598
lusty	Lusty	0.469	0.941	0.673
lute	lute	0.459	0.407	0.500
luxuriant	luksuzno	0.760	0.745	0.812
luxurious	luksuzno	0.947	0.644	0.754
luxury	luksuz	0.932	0.673	0.750
lycra	lycra	0.520	0.449	0.328
lye	lži	0.378	0.396	0.443
lying	laganje	0.208	0.704	0.317
lymph	limf	0.398	0.510	0.390
lymphatic	limfat	0.380	0.509	0.472
lymphoma	limfom	0.208	0.645	0.330
lynch	linč	0.167	0.885	0.482
lynching	linčiranje	0.135	0.920	0.548
lynx	ris	0.510	0.590	0.567
lyre	lyre	0.719	0.347	0.414
lyric	lirika	0.702	0.269	0.464
lyrical	lirski	0.708	0.451	0.618
lyrics	lyrics	0.582	0.214	0.333
macadamia	makadamija	0.635	0.330	0.434
macarena	makarena	0.802	0.601	0.368
macaroni	makaroni	0.816	0.410	0.382
mace	mace	0.450	0.412	0.415
mach	mach	0.541	0.432	0.463
machete	machete	0.260	0.690	0.474
machine	mašina	0.510	0.500	0.707
machinery	mašine	0.458	0.615	0.629
machinist	mašinista	0.490	0.598	0.721
macho	macho	0.643	0.690	0.676
mackerel	skuša	0.418	0.423	0.426
macro	makro	0.552	0.469	0.647
mad	lud	0.219	0.873	0.277
madam	gospođo	0.580	0.308	0.571
madame	madame	0.604	0.500	0.635
madden	madden	0.329	0.602	0.457
madder	madder	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	mademyday	0.694	0.573	0.537
madhouse	ludnica	0.156	0.736	0.440
madman	ludak	0.135	0.880	0.312
madness	ludilo	0.104	0.804	0.440
maestro	maestro	0.823	0.357	0.849
mafia	mafija	0.204	0.867	0.676
magazine	časopis	0.615	0.332	0.377
mage	mage	0.622	0.373	0.453
magenta	magenta	0.635	0.275	0.415
maggot	magma	0.235	0.500	0.235
magic	magija	0.868	0.663	0.578
magical	magičan	0.875	0.651	0.595
magician	magičar	0.714	0.657	0.551
magistrate	sudija	0.587	0.541	0.904
magma	magma	0.323	0.623	0.609
magna	magna	0.605	0.490	0.652
magnate	magnat	0.627	0.708	0.868
magnesium	magnezijum	0.542	0.320	0.321
magnet	magnet	0.571	0.318	0.553
magnetic	magnetski	0.612	0.529	0.673
magnetism	magnetizam	0.630	0.529	0.741
magnetite	magnetit	0.531	0.490	0.581
magnification	uvećanje	0.890	0.615	0.880
magnificence	veličanstvenost	0.802	0.810	0.920
magnificent	veličanstven	1.000	0.680	0.886
magnifier	lupa	0.469	0.216	0.345
magnify	magnify	0.729	0.561	0.839
magnifying	uvećava	0.594	0.265	0.406
magnitude	magnitude	0.608	0.613	0.774
magnolia	magnolija	0.558	0.343	0.379
magpie	magpie	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	mahjong	0.556	0.418	0.440
mahogany	mahagoni	0.602	0.225	0.393
maid	služavka	0.406	0.324	0.300
maiden	maiden	0.755	0.396	0.461
mail	mail	0.615	0.231	0.548
mailbox	poštansko sanduče	0.573	0.222	0.404
mailing	mailing	0.688	0.324	0.375
mailman	mailman	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	glavni	0.667	0.510	0.811
mainframe	mainframe	0.531	0.490	0.557
mainland	kopno	0.680	0.407	0.806
mainstay	mainstay	0.694	0.400	0.713
mainstream	mainstream	0.653	0.527	0.660
maintain	održavati	0.684	0.398	0.647
maintenance	održavanje	0.592	0.410	0.545
majestic	veličanstven	0.948	0.731	0.906
majesty	veličanstvenost	0.823	0.602	0.955
major	major	0.684	0.538	0.874
majority	većina	0.684	0.560	0.930
make	napraviti	0.684	0.420	0.480
makeover	makeover	0.771	0.510	0.596
maker	proizvođač	0.698	0.544	0.706
makeshift	improvizacija	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	šminka	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	bolest	0.190	0.686	0.304
malaise	slabost	0.150	0.600	0.161
malaria	malariju	0.125	0.653	0.304
malarkey	malarkey	0.396	0.500	0.465
male	muško	0.612	0.532	0.695
malevolent	zlonamjeran	0.094	0.854	0.613
malfeasance	zloupotreba	0.062	0.745	0.325
malformation	malformacija	0.083	0.602	0.357
malfunction	kvar	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	zlonamerni	0.177	0.765	0.607
malign	maligni	0.140	0.765	0.481
malignancy	malignitet	0.149	0.814	0.614
malignant	maligni	0.143	0.824	0.370
maligned	maligirana	0.102	0.684	0.218
mall	centar	0.724	0.663	0.492
malleable	korelaciono	0.500	0.500	0.391
mallet	mallet	0.354	0.390	0.483
malnutrition	neuhranjenost	0.024	0.592	0.277
malpractice	zloupotreba	0.094	0.559	0.330
malt	malt	0.750	0.373	0.324
mama	mama	0.860	0.413	0.728
mambo	mambo	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	sisara	0.618	0.449	0.421
mammoth	mamut	0.480	0.471	0.537
mammy	mamy	0.680	0.415	0.436
man	čovječe	0.688	0.427	0.767
manage	upravljati	0.560	0.530	0.719
manageable	upravljiv	0.750	0.361	0.655
management	upravljanje	0.792	0.491	0.806
manager	menadžer	0.625	0.549	0.897
managerial	menadžerski	0.604	0.520	0.791
mandamus	mandamus	0.439	0.577	0.556
mandarin	mandarina	0.625	0.398	0.491
mandate	mandat	0.448	0.670	0.779
mandatory	obavezno	0.271	0.667	0.777
mandible	mandibula	0.510	0.431	0.500
mandolin	mandolin	0.708	0.433	0.367
mandrel	mandrel	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	manevar	0.615	0.663	0.608
maneuvering	manevrisanje	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	manger	0.656	0.276	0.398
mangle	mangle	0.292	0.449	0.355
mango	mango	0.765	0.327	0.290
mangosteen	mangosteen	0.562	0.500	0.414
mangy	mangy	0.214	0.698	0.270
manhole	šaht	0.378	0.500	0.516
manhood	muškosti	0.625	0.735	0.858
manhunt	manhunt	0.145	0.925	0.657
mania	manija	0.290	0.683	0.382
maniac	manijak	0.120	0.849	0.431
maniacal	manijak	0.200	0.848	0.500
manic	maničan	0.054	0.892	0.368
manicure	manikir	0.706	0.308	0.284
manicurist	manikir	0.583	0.352	0.341
manifest	manifest	0.667	0.647	0.704
manifestation	manifestacija	0.583	0.750	0.655
manifested	manifestovano	0.580	0.618	0.667
manifestly	očigledno	0.469	0.588	0.577
manifesto	manifesto	0.646	0.519	0.676
manifold	manifold	0.500	0.461	0.435
manipulate	manipulirati	0.255	0.700	0.772
manipulation	manipulacija	0.188	0.775	0.536
manipulative	manipulativan	0.177	0.724	0.546
mankind	čovečanstvo	0.823	0.471	0.768
manly	muljko	0.698	0.633	0.846
manna	manna	0.698	0.294	0.544
manned	posada	0.551	0.588	0.484
mannequin	maneken	0.427	0.302	0.295
manner	način	0.618	0.250	0.320
mannered	obučen	0.469	0.556	0.291
manners	manners	0.816	0.284	0.517
manor	dvorište	0.646	0.358	0.738
manpower	radna snaga	0.531	0.620	0.543
mansion	vila	0.847	0.490	0.717
mansions	dvorci	0.735	0.529	0.777
manslaughter	ubojstvo	0.090	0.920	0.473
mantel	mantel	0.500	0.265	0.471
mantis	mantis	0.480	0.355	0.421
mantle	mantle	0.510	0.269	0.422
mantra	mantra	0.396	0.249	0.357
manual	manuelno	0.635	0.245	0.449
manufacture	proizvodnja	0.868	0.703	0.780
manufacturer	proizvođač	0.688	0.537	0.830
manufacturing	proizvodnja	0.653	0.613	0.804
manure	stajnjak	0.250	0.471	0.241
manuscript	rukopis	0.510	0.208	0.540
map	karta	0.561	0.229	0.463
maple	javor	0.541	0.390	0.339
mar	mar	0.622	0.544	0.545
marathon	maraton	0.646	0.778	0.740
marble	mramor	0.604	0.212	0.667
marbled	mramor	0.396	0.385	0.418
marbles	mramor	0.714	0.345	0.241
march	marš	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	margarin	0.530	0.316	0.333
margarita	margarita	0.750	0.438	0.420
margin	marža	0.500	0.219	0.331
marginal	marginalna	0.235	0.644	0.345
mariachi	mariachi	0.710	0.559	0.609
marijuana	marihuana	0.312	0.779	0.558
marinara	marinara	0.657	0.388	0.435
marine	marine	0.633	0.471	0.679
mariner	mariner	0.652	0.491	0.676
marital	bračni	0.760	0.529	0.500
maritime	pomorski	0.646	0.490	0.713
mark	oznaka	0.491	0.231	0.600
marked	označeno	0.592	0.358	0.554
marker	marker	0.500	0.333	0.605
market	tržište	0.724	0.480	0.521
marketable	tržišno	0.746	0.545	0.664
marketing	marketing	0.521	0.774	0.675
marketplace	tržište	0.698	0.420	0.525
marks	oznake	0.430	0.480	0.424
marksman	marksman	0.500	0.833	0.692
marksmanship	oštricu	0.573	0.531	0.664
marl	marl	0.372	0.471	0.351
