Word	Javanese-jw	Valence	Arousal	Dominance
nodular	nodular	0.438	0.351	0.411
nodule	nodule	0.312	0.426	0.349
noggin	noggin	0.510	0.433	0.382
nohope	NO TRANSLATION	0.200	0.441	0.385
noir	noir	0.375	0.394	0.365
noise	gangguan	0.260	0.883	0.388
noisy	rame	0.271	0.812	0.561
nomad	nomad	0.375	0.413	0.433
nomadic	nomad	0.427	0.519	0.422
nomenclature	nomenklatur	0.500	0.222	0.575
nominal	nominal	0.594	0.250	0.463
nominate	nyalonake	0.615	0.471	0.669
nomination	nominasi	0.663	0.637	0.696
nominee	Nominee	0.662	0.625	0.765
nonce	nonce	0.422	0.370	0.377
nonchalant	nonchalant	0.312	0.314	0.366
noncompliance	noncompliance	0.112	0.598	0.259
nondescript	nondescript	0.490	0.434	0.348
nonexistent	nonexistent	0.208	0.429	0.149
nonfat	nonfat	0.604	0.260	0.340
nonfiction	nonfiksi	0.426	0.315	0.431
nonpayment	nonpayment	0.229	0.510	0.298
nonresident	nonresident	0.250	0.340	0.302
nonsense	omongan kosong	0.214	0.531	0.155
nonsensical	nonsensical	0.173	0.268	0.193
nonviolent	nonviolent	0.640	0.287	0.346
noob	noob	0.417	0.430	0.267
noodle	mie	0.633	0.216	0.225
nook	nook	0.480	0.321	0.296
noon	noon	0.531	0.343	0.518
noose	noose	0.356	0.300	0.330
nopoint	NO TRANSLATION	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	Unggah ungguh	0.500	0.245	0.527
normal	normal	0.740	0.127	0.380
normalcy	normalcy	0.805	0.151	0.620
normality	normalitas	0.781	0.089	0.444
north	lor	0.531	0.255	0.450
northbound	northbound	0.604	0.454	0.491
northeast	wetan	0.562	0.260	0.375
northern	lor	0.570	0.340	0.472
northwest	sisih kulon	0.604	0.345	0.451
northwestern	Kulon	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	irung	0.582	0.270	0.245
nosebleed	nosebleed	0.153	0.776	0.361
nosey	nosy	0.276	0.655	0.223
nosnow	nosnow	0.392	0.394	0.366
nostalgia	nostalgia	0.417	0.337	0.339
nostalgic	nostalgia	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	nostril	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	nosy	0.292	0.558	0.433
not negative	ora negatif	0.622	0.270	0.444
not positive	ora positif	0.051	0.370	0.236
notable	kacathet	0.760	0.450	0.696
notables	lumayan	0.594	0.608	0.755
notably	notabene	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	notaris	0.541	0.451	0.676
notation	notasi	0.635	0.380	0.558
notch	bingung	0.459	0.361	0.358
notched	notched	0.480	0.530	0.356
note	cathetan	0.594	0.163	0.416
notebook	notebook	0.449	0.167	0.442
noted	nyathet	0.615	0.382	0.464
noteworthy	ngremenaken	0.704	0.481	0.759
nothappy	NO TRANSLATION	0.112	0.320	0.170
nothingbetter	NO TRANSLATION	0.635	0.390	0.543
nothingness	boten wonten	0.204	0.080	0.161
notice	kabar	0.646	0.408	0.491
noticeable	nyatane	0.890	0.562	0.750
notification	kabar	0.604	0.461	0.671
notify	ngabari	0.643	0.471	0.573
notion	pamanggih	0.612	0.284	0.667
notional	notional	0.520	0.288	0.500
notoriety	jenenge	0.552	0.633	0.769
notorious	jahat	0.366	0.582	0.609
notready	ora ana	0.133	0.400	0.196
notwithstanding	sanadyan	0.367	0.316	0.433
nought	boten	0.312	0.098	0.116
noun	tembung	0.531	0.230	0.477
nourish	nyenengake	0.878	0.460	0.639
nourishment	nikmat	0.786	0.290	0.631
nouveau	NO TRANSLATION	0.633	0.438	0.432
novel	novel	0.702	0.352	0.439
novelist	novelist	0.340	0.343	0.529
novelty	anyar	0.673	0.521	0.740
novice	wong anyar	0.429	0.346	0.180
nowadays	saiki	0.680	0.346	0.400
nowork	saiki	0.312	0.264	0.309
noworries	saiki	0.630	0.402	0.500
noxious	cacat	0.177	0.585	0.379
nozzle	nozzle	0.438	0.330	0.287
nuance	nuansa	0.408	0.282	0.411
nuances	nuances	0.490	0.375	0.527
nuclear	nuklir	0.219	0.856	0.781
nucleus	inti	0.529	0.296	0.667
nude	nude	0.490	0.915	0.200
nudge	nudge	0.448	0.500	0.509
nudie	nudie	0.500	0.529	0.373
nudist	nudist	0.440	0.796	0.483
nudity	nudity	0.438	0.853	0.415
nugget	nugget	0.602	0.340	0.348
nuisance	nuisance	0.198	0.817	0.227
nuke	nuke	0.125	0.905	0.873
nul	NO TRANSLATION	0.337	0.358	0.264
null	null	0.253	0.147	0.152
nullify	nullify	0.255	0.373	0.395
numb	numb	0.108	0.420	0.352
number	nomer	0.406	0.231	0.471
numbering	Nomer	0.510	0.363	0.482
numbers	nomer	0.406	0.241	0.440
numbness	numbness	0.306	0.398	0.265
numbskull	numbskull	0.300	0.472	0.284
numeral	angka	0.582	0.254	0.382
numerator	numerator	0.490	0.317	0.526
numerical	angka	0.479	0.322	0.517
numerically	sacara numerik	0.510	0.337	0.500
numerous	akeh	0.622	0.462	0.609
nun	NO TRANSLATION	0.500	0.150	0.406
nunchucks	nunchucks	0.337	0.580	0.526
nunnery	nunnery	0.653	0.236	0.473
nuptials	nuptials	0.771	0.588	0.571
nurse	perawat	0.635	0.578	0.521
nursemaid	nursemaid	0.615	0.431	0.436
nursery	nursery	0.894	0.406	0.389
nursing	nursing	0.552	0.549	0.653
nurture	nurture	0.745	0.378	0.657
nut	kacang	0.365	0.310	0.250
nutcase	nutcase	0.286	0.775	0.259
nutcracker	nutcracker	0.635	0.378	0.522
nuthouse	nuthouse	0.347	0.519	0.434
nutmeg	nutmeg	0.635	0.302	0.350
nutrition	nutrisi	0.885	0.420	0.579
nutritional	nutrisi	0.812	0.406	0.676
nutritious	nutritious	0.833	0.337	0.655
nutritive	nutritif	0.875	0.422	0.667
nuts	kacang	0.594	0.250	0.291
nutshell	nutshell	0.458	0.407	0.310
nutty	nutty	0.444	0.317	0.271
nylon	nilon	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	nylons	0.556	0.379	0.320
nymph	nymph	0.542	0.529	0.472
nymphomaniac	nymphomaniac	0.398	0.894	0.536
oaf	oaf	0.344	0.357	0.330
oak	oak	0.583	0.245	0.536
oar	oar	0.469	0.392	0.316
oasis	oasis	0.796	0.283	0.429
oat	oat	0.622	0.170	0.298
oath	sumpah	0.543	0.615	0.824
oatmeal	oatmeal	0.592	0.192	0.241
obedience	ketaatan	0.765	0.287	0.536
obedient	obedient	0.800	0.179	0.518
obediently	manut	0.802	0.304	0.577
obelisk	obelisk	0.604	0.408	0.596
obese	obese	0.133	0.427	0.250
obesity	obesitas	0.215	0.370	0.328
obey	ngrungokake	0.677	0.433	0.533
obi	obi	0.469	0.442	0.414
obit	obit	0.410	0.464	0.393
obituary	obituary	0.188	0.330	0.423
object	obyek	0.531	0.356	0.375
objection	kabotan	0.347	0.592	0.709
objectionable	objectionable	0.459	0.382	0.558
objective	adil	0.724	0.337	0.736
objectivity	obyektif	0.765	0.431	0.711
obligation	kewajiban	0.222	0.596	0.718
obligatory	wajib	0.337	0.571	0.780
oblige	ngajeni	0.281	0.770	0.614
obliged	diwajibake	0.327	0.680	0.411
obliging	ngawasi	0.740	0.402	0.545
obligor	obligor	0.302	0.600	0.360
oblique	oblique	0.438	0.347	0.455
obliterate	mungkasi	0.250	0.539	0.569
obliterated	dibusak	0.240	0.469	0.344
obliteration	pamungkas	0.177	0.622	0.397
oblivion	loma	0.153	0.330	0.282
oblivious	ora bisa	0.229	0.388	0.355
oblong	oblong	0.561	0.455	0.370
obnoxious	obnoxious	0.088	0.602	0.256
oboe	oboe	0.510	0.340	0.392
obscene	saru	0.050	0.745	0.348
obscenity	obscenity	0.083	0.843	0.418
obscure	ora jelas	0.370	0.551	0.278
obscured	obscured	0.115	0.356	0.298
obscurity	obscurity	0.208	0.392	0.380
observance	observasi	0.531	0.315	0.632
observant	observant	0.740	0.422	0.708
observation	pengamatan	0.633	0.433	0.667
observatory	observatorium	0.643	0.324	0.731
observe	mirsani	0.771	0.390	0.360
observer	pengamat	0.663	0.363	0.603
observing	ngawasi	0.583	0.400	0.685
obsess	obsess	0.112	0.846	0.509
obsessed	obsessed	0.219	0.840	0.439
obsessing	obsessing	0.173	0.773	0.698
obsession	obsesi	0.229	0.847	0.571
obsessive	obsessive	0.219	0.823	0.480
obsolescence	obsolesen	0.250	0.431	0.377
obsolete	lungse	0.337	0.321	0.250
obstacle	alangan	0.204	0.708	0.336
obstetrician	obstetri	0.521	0.636	0.604
obstetrics	kebranan	0.530	0.582	0.564
obstinate	obstinate	0.146	0.696	0.562
obstruct	obah	0.115	0.660	0.458
obstruction	alangan	0.125	0.742	0.491
obstructive	obstructive	0.204	0.650	0.613
obtain	entuk	0.760	0.438	0.731
obtainable	bisa ditemokake	0.677	0.327	0.702
obtuse	obtuse	0.281	0.460	0.345
obverse	obah	0.470	0.394	0.464
obvious	cetho	0.625	0.336	0.585
ocarina	ocarina	0.541	0.392	0.366
occasion	wusana	0.700	0.451	0.398
occasional	occasional	0.490	0.298	0.387
occasionally	sok-sok	0.538	0.240	0.264
occipital	occipital	0.398	0.408	0.518
occlusion	occlusion	0.306	0.439	0.442
occult	gaib	0.292	0.382	0.406
occupancy	panggonan	0.625	0.471	0.721
occupant	manggoni	0.500	0.417	0.483
occupation	pendhudhukan	0.562	0.470	0.692
occupational	pekerjaan	0.583	0.469	0.596
occupied	dikuwasani	0.337	0.546	0.441
occupier	manggon	0.427	0.438	0.600
occupy	manggoni	0.396	0.520	0.589
occupying	manggoni	0.573	0.462	0.519
occur	kedadeyan	0.451	0.561	0.510
occurrence	kedadeyan	0.573	0.690	0.541
ocd	ocd	0.333	0.472	0.370
ocean	segara	0.823	0.308	0.642
oceanic	oceanic	0.740	0.317	0.632
octagon	octagon	0.602	0.349	0.462
octave	octave	0.438	0.380	0.482
octopus	gurita	0.713	0.378	0.411
ocular	ocular	0.418	0.370	0.400
odd	Ganjil	0.265	0.337	0.302
oddball	oddball	0.316	0.360	0.357
oddity	oddity	0.312	0.557	0.386
odds	kemungkinan	0.500	0.472	0.680
ode	ode	0.604	0.269	0.519
odious	odious	0.235	0.708	0.235
odometer	odometer	0.367	0.470	0.388
odor	ambu	0.337	0.363	0.404
odyssey	odyssey	0.622	0.692	0.710
oedipal	oedipal	0.312	0.575	0.509
oestrogen	estrogen	0.521	0.608	0.561
oeuvre	NO TRANSLATION	0.653	0.484	0.598
offal	offal	0.302	0.470	0.302
offence	pelanggaran	0.312	0.798	0.446
offend	nyalahke	0.094	0.804	0.333
offended	gelisah	0.188	0.690	0.337
offender	pelanggaran	0.104	0.851	0.537
offense	pelanggaran	0.230	0.765	0.510
offensive	nyerang	0.135	0.882	0.600
offer	tawaran	0.750	0.745	0.596
offered	ditawakake	0.582	0.490	0.544
offering	kurban	0.688	0.462	0.585
offhand	sakdurunge	0.388	0.500	0.368
office	kantor	0.427	0.302	0.509
officer	pejabat	0.542	0.430	0.877
offices	kantor	0.469	0.312	0.534
official	resmi	0.646	0.565	0.833
officiate	resmi	0.688	0.453	0.704
offing	offing	0.490	0.412	0.447
offload	offload	0.479	0.444	0.525
offset	nutupi	0.719	0.394	0.704
offshoot	offshoot	0.517	0.330	0.361
offshore	Tengah segoro	0.417	0.484	0.441
offside	offside	0.323	0.519	0.443
offspring	turunan	0.656	0.435	0.600
oft	akeh	0.500	0.308	0.474
oftentimes	sering	0.571	0.500	0.482
ogre	lane	0.135	0.698	0.510
ohdear	NO TRANSLATION	0.458	0.519	0.442
ohgod	NO TRANSLATION	0.500	0.557	0.439
ohno	ohno	0.396	0.475	0.380
ohshit	NO TRANSLATION	0.230	0.594	0.343
oil	lenga	0.521	0.278	0.306
oils	lenga	0.459	0.229	0.391
oily	lengo	0.276	0.533	0.385
oink	oink	0.500	0.450	0.289
ointment	ointment	0.438	0.271	0.398
okra	okra	0.469	0.400	0.362
old	lawas	0.410	0.279	0.315
olden	lawas	0.284	0.213	0.425
older	luwih tuwa	0.385	0.255	0.317
oldie	oldie	0.363	0.363	0.342
oldies	oldies	0.438	0.300	0.412
olfactory	olfactory	0.602	0.409	0.452
oligarchy	oligarki	0.327	0.567	0.741
olive	zaitun	0.571	0.231	0.406
omega	Omega	0.529	0.337	0.526
omelet	omelet	0.708	0.323	0.315
omen	omen	0.390	0.657	0.583
omgomgomg	NO TRANSLATION	0.490	0.551	0.358
ominous	ominous	0.255	0.730	0.510
omission	omission	0.367	0.333	0.275
omit	omit	0.330	0.265	0.451
omitted	dilirwakaké	0.260	0.235	0.211
omnibus	omnibus	0.490	0.410	0.473
omnipotence	omnipotence	0.667	0.793	0.866
omnipotent	omnipotent	0.719	0.679	0.919
omnipresent	omnipresent	0.688	0.452	0.825
omniscient	omniscient	0.656	0.334	0.778
onboard	onboard	0.612	0.451	0.491
oncologist	oncologist	0.260	0.654	0.640
oncology	oncology	0.204	0.424	0.500
oncoming	Mlebu	0.594	0.625	0.773
one	siji	0.542	0.292	0.370
oneday	NO TRANSLATION	0.667	0.245	0.374
onedge	onedge	0.479	0.552	0.400
onelove	onelove	0.816	0.577	0.541
oneness	oneness	0.745	0.272	0.720
onerous	onerous	0.500	0.480	0.462
oneself	awak dhewe	0.660	0.337	0.483
ongoing	aktif	0.674	0.484	0.556
onion	bawang bombay	0.378	0.367	0.382
onset	serangan	0.673	0.497	0.500
onslaught	onslaught	0.198	0.939	0.717
onstage	onstage	0.719	0.673	0.583
ontology	ontologi	0.510	0.450	0.518
onus	ons	0.562	0.520	0.769
onward	terus	0.667	0.538	0.741
onyx	onyx	0.571	0.461	0.380
oodles	oodles	0.490	0.374	0.446
oomph	oomph	0.449	0.613	0.315
ooze	Mbah	0.344	0.577	0.333
oozing	oozing	0.238	0.515	0.427
op	op	0.480	0.402	0.349
opacity	opacity	0.471	0.251	0.256
opal	opal	0.623	0.479	0.379
opaque	opaque	0.344	0.265	0.342
ope	ope	0.375	0.380	0.395
open	mbukak	0.620	0.480	0.569
opener	pambuka	0.584	0.526	0.377
opening	mbukak	0.667	0.510	0.620
openly	kanthi terang	0.603	0.388	0.553
openness	keterbukaan	0.837	0.561	0.667
opera	opera	0.714	0.500	0.483
operate	operate	0.582	0.690	0.691
operatic	operatic	0.375	0.452	0.627
operation	operasi	0.475	0.611	0.755
operational	operasional	0.562	0.570	0.679
operations	operasi	0.480	0.549	0.798
operative	penggaweyan	0.541	0.635	0.718
operator	operator	0.612	0.630	0.726
ophthalmic	ophthalmic	0.427	0.385	0.444
ophthalmologist	ophthalmologist	0.552	0.389	0.491
opiate	opiate	0.281	0.594	0.598
opinion	pendapat	0.594	0.482	0.638
opinionated	mikiraken	0.156	0.800	0.491
opium	opium	0.276	0.490	0.333
opponent	mungsuh	0.080	0.741	0.716
opportune	opportune	0.796	0.538	0.767
opportunism	opportunism	0.571	0.752	0.673
opportunity	kesempatan	0.938	0.745	0.833
oppose	nglawan	0.431	0.800	0.473
opposed	nentang	0.092	0.460	0.606
opposing	nentang	0.188	0.660	0.518
opposite	ngelawan	0.235	0.545	0.408
opposites	opposites	0.281	0.518	0.462
opposition	oposisi	0.135	0.729	0.592
oppress	nindakake oppress	0.186	0.654	0.555
oppressed	ditindhes	0.119	0.640	0.259
oppression	oppression	0.080	0.673	0.615
oppressive	oppressive	0.276	0.590	0.667
oppressor	oppressor	0.160	0.776	0.629
ops	ops	0.417	0.550	0.528
opt	milih	0.510	0.471	0.345
optic	optik	0.663	0.384	0.594
optical	optik	0.677	0.311	0.542
optics	optik	0.562	0.286	0.580
optimism	optimis	0.949	0.565	0.814
optimist	optimistis	0.875	0.539	0.787
optimistic	optimistis	0.979	0.580	0.821
optimum	paling apik	0.892	0.469	0.808
option	pilihan	0.512	0.427	0.359
optional	pilihan	0.755	0.350	0.440
optionally	Opsional	0.365	0.405	0.481
options	opsi	0.622	0.327	0.473
optometrist	optometris	0.446	0.455	0.668
opulence	opulence	0.620	0.615	0.648
opulent	opulent	0.562	0.660	0.660
opus	opus	0.458	0.368	0.391
oracle	oracle	0.552	0.531	0.670
oral	lisan	0.530	0.448	0.375
orange	orange	0.646	0.132	0.296
orange juice	jus jeruk	0.719	0.343	0.445
orangutan	Orangutan	0.430	0.560	0.471
oration	oration	0.646	0.315	0.683
orator	orator	0.667	0.375	0.682
oratory	pidato	0.602	0.472	0.693
orb	orb	0.463	0.370	0.444
orbit	orbit	0.561	0.422	0.575
orbital	orbit	0.458	0.451	0.559
orbiting	orbiting	0.520	0.643	0.554
orbs	orbs	0.469	0.355	0.482
orc	orc	0.240	0.510	0.388
orchard	kebun	0.760	0.269	0.333
orchestra	orkestra	0.708	0.500	0.664
orchid	anggrek	0.840	0.345	0.382
ordained	ditetepake	0.735	0.409	0.731
ordeal	ordeal	0.344	0.539	0.529
order	urutan	0.780	0.295	0.814
orderly	tertib	0.844	0.240	0.661
ordinance	aturan	0.615	0.452	0.776
ordinary	biasa	0.375	0.312	0.286
ordination	pentahbisan	0.688	0.490	0.765
ordnance	ordnance	0.354	0.825	0.679
ore	ore	0.500	0.333	0.356
oregano	oregano	0.596	0.327	0.250
organ	organ	0.510	0.469	0.538
organic	Organic	0.719	0.343	0.535
organism	organisme	0.457	0.559	0.800
organist	organisme	0.740	0.469	0.669
organization	organisasi	0.810	0.535	0.851
organize	ngatur	0.802	0.655	0.781
organized	diatur	0.816	0.337	0.746
organizer	organizer	0.604	0.577	0.846
orgasm	orgasme	0.844	0.863	0.676
orgies	orgies	0.388	0.953	0.433
orgy	penthil	0.346	0.962	0.536
orient	orientasi	0.667	0.422	0.667
oriental	oriental	0.592	0.409	0.598
orientation	orientasi	0.667	0.454	0.686
orifice	orifice	0.448	0.355	0.443
origami	origami	0.684	0.276	0.294
origin	asal	0.729	0.435	0.591
original	asli	0.765	0.480	0.746
originality	asli	0.898	0.500	0.824
originate	asal	0.702	0.500	0.866
origination	origination	0.760	0.443	0.604
originator	originator	0.592	0.510	0.868
ornament	hiasan	0.561	0.373	0.441
ornamental	ornamental	0.663	0.392	0.460
ornamentation	ornamen	0.663	0.471	0.472
ornamented	ornamented	0.677	0.350	0.490
ornate	ornate	0.812	0.356	0.500
ornery	ornery	0.361	0.520	0.509
orphan	yatim piatu	0.133	0.388	0.140
orphanage	panti asuhan	0.184	0.439	0.425
orphaned	yatim piatu	0.062	0.430	0.228
orthodontist	orthodontist	0.469	0.615	0.564
orthodox	Orthodox	0.388	0.471	0.647
orthodoxy	orthodoxy	0.271	0.388	0.612
orthogonal	orthogonal	0.500	0.314	0.540
orthopedic	orthopedic	0.406	0.346	0.473
oscillate	oscillate	0.449	0.580	0.397
oscillating	oscillating	0.469	0.548	0.402
oscillation	oscillation	0.562	0.433	0.431
oscillatory	oscillatory	0.375	0.520	0.480
ostensible	ostensible	0.542	0.549	0.585
ostensibly	mesthine	0.473	0.529	0.509
ostentatious	ostentatious	0.479	0.794	0.648
ostracized	ostracized	0.115	0.690	0.377
ostrich	ostrich	0.592	0.382	0.241
other	liyane	0.472	0.230	0.259
otter	Liyane	0.439	0.216	0.339
otto	otto	0.427	0.425	0.404
ottoman	ottoman	0.531	0.337	0.444
ought	mesthine	0.438	0.511	0.434
ounce	ons	0.531	0.255	0.288
oust	ngilangi	0.296	0.716	0.444
outage	outage	0.306	0.684	0.438
outback	njaba	0.500	0.324	0.430
outbid	njlentrehake	0.594	0.622	0.540
outboard	outboard	0.448	0.491	0.456
outbreak	wabah	0.260	0.632	0.472
outburst	njeblug	0.209	0.802	0.528
outcast	metu	0.153	0.449	0.353
outcome	kasil	0.615	0.472	0.685
outcry	outcry	0.271	0.773	0.718
outdated	langka	0.167	0.236	0.226
outdo	njlentrehake	0.771	0.750	0.873
outdoor	outdoor	0.814	0.256	0.447
outdoors	njobo	0.781	0.444	0.453
outer	njaba	0.552	0.471	0.456
outfit	rasukan rasukan	0.760	0.490	0.566
outgoing	metu	0.650	0.472	0.538
outgrow	outgrow	0.510	0.529	0.722
outgrowth	outgrowth	0.771	0.620	0.688
outhouse	outhouse	0.281	0.519	0.255
outing	outing	0.771	0.672	0.634
outlandish	outlandish	0.448	0.737	0.657
outlast	nglampahi	0.620	0.786	0.685
outlaw	nglampahi	0.255	0.662	0.482
outlet	outlet	0.610	0.396	0.245
outline	njlentrehake	0.542	0.365	0.509
outlines	njlentrehake	0.656	0.402	0.651
outlive	outlive	0.565	0.769	0.724
outlook	prospek	0.830	0.525	0.625
outlying	njlajah	0.460	0.562	0.503
outnumber	outnumber	0.347	0.615	0.577
outpatient	rawat omah	0.260	0.400	0.395
outpost	outpost	0.635	0.571	0.675
outpouring	njeblug	0.562	0.685	0.552
output	output	0.604	0.389	0.434
outrage	njobo	0.060	0.689	0.542
outraged	nyerang	0.156	0.696	0.538
outrageous	ngguyu	0.153	0.945	0.713
outrank	outrank	0.653	0.643	0.817
outreach	jangkep	0.540	0.462	0.672
outright	outright	0.767	0.396	0.755
outrun	outrun	0.531	0.833	0.573
outset	wiwit	0.750	0.500	0.582
outsider	outsider	0.398	0.549	0.447
outskirts	pinggiran	0.474	0.519	0.312
outsmart	outsmart	0.673	0.657	0.864
outspoken	outspoken	0.582	0.413	0.667
outstanding	pinunjul	0.898	0.760	0.896
outstretched	outstretched	0.448	0.481	0.519
outward	metu	0.449	0.439	0.365
outwards	metu	0.440	0.472	0.400
outweigh	kabotan	0.486	0.600	0.682
outwit	ngalahake	0.302	0.755	0.356
oval	oval	0.417	0.280	0.330
ovary	ovary	0.469	0.399	0.280
ovate	ovate	0.385	0.286	0.368
ovation	ovation	0.719	0.758	0.750
oven	oven	0.583	0.425	0.606
overactive	overactive	0.667	0.885	0.592
overall	sakabèhé	0.583	0.370	0.670
overalls	overalls	0.500	0.392	0.373
overbearing	overbearing	0.323	0.833	0.861
overburden	overburden	0.115	0.755	0.546
overcast	mendem	0.417	0.250	0.475
overcharged	overcharged	0.276	0.780	0.569
overcoat	mantel	0.594	0.265	0.430
overcome	ngatasi	0.719	0.689	0.848
overcoming	ngatasi	0.842	0.765	0.855
overcrowded	overcrowded	0.292	0.520	0.491
overdo	overdo	0.156	0.864	0.602
overdose	overdosis	0.110	0.820	0.468
overdrive	overdrive	0.303	0.715	0.732
overdue	overdue	0.125	0.427	0.259
overestimate	overestimate	0.367	0.796	0.444
overestimated	overestimated	0.344	0.646	0.527
overflow	kebanjiran	0.398	0.792	0.500
overflowing	overflowing	0.439	0.796	0.635
overgrown	overgrown	0.333	0.500	0.369
overgrowth	overgrowth	0.417	0.790	0.673
overhanging	overhanging	0.698	0.755	0.812
overhaul	mrikso	0.500	0.651	0.491
overhead	overhead	0.344	0.700	0.538
overhear	overhear	0.650	0.365	0.580
overheated	overheated	0.250	0.598	0.547
overjoyed	seneng banget	0.908	0.708	0.755
overkill	overkill	0.379	0.861	0.678
overlaid	overlaid	0.620	0.610	0.676
overlap	tumpang tindih	0.594	0.615	0.627
overlapping	tumpang tindih	0.595	0.578	0.684
overlay	numpuk	0.564	0.596	0.749
overload	kakehan	0.381	0.690	0.652
overlook	overlook	0.292	0.418	0.415
overlord	overlord	0.750	0.755	0.932
overlying	overlying	0.500	0.519	0.691
overpaid	overpaid	0.429	0.670	0.585
overpass	ngluwihi	0.562	0.561	0.565
overplayed	overplayed	0.224	0.798	0.586
overpower	ngalahake	0.448	0.859	0.783
overpowering	overpowering	0.392	0.779	0.589
overpriced	overpriced	0.271	0.556	0.472
overprotective	overprotective	0.448	0.673	0.741
overrated	overrated	0.312	0.630	0.482
overreact	overreact	0.306	0.912	0.471
override	ngganggu	0.316	0.491	0.529
overriding	overriding	0.240	0.490	0.384
overrule	overrule	0.224	0.412	0.429
overrun	overrun	0.271	0.764	0.598
oversee	ngawasi	0.541	0.649	0.778
overseer	pengawas	0.552	0.520	0.873
overshadow	ngalahake	0.333	0.549	0.654
oversight	pengawasan	0.385	0.618	0.723
oversized	gedhe banget	0.552	0.540	0.679
overslept	overslept	0.408	0.315	0.300
overstate	overstate	0.281	0.779	0.635
overstock	ngluwihi	0.344	0.592	0.589
overt	overt	0.708	0.326	0.607
overtake	nyusul	0.573	0.620	0.718
overtaken	overtaken	0.594	0.552	0.702
overthemoon	NO TRANSLATION	0.643	0.531	0.481
overthinker	overthinker	0.430	0.606	0.552
overthinking	overthinking	0.408	0.761	0.525
overthrow	nggulingake	0.260	0.868	0.620
overtime	lembur	0.447	0.504	0.529
overtired	overtired	0.210	0.357	0.273
overture	overture	0.490	0.402	0.491
overturn	overturn	0.240	0.765	0.396
overview	Ringkesan	0.615	0.380	0.539
overweight	kabotan	0.052	0.500	0.389
overwhelm	nyebar	0.250	0.823	0.462
overwhelmed	kepengin banget	0.341	0.680	0.348
overwhelming	akeh banget	0.327	0.830	0.640
overworked	overworked	0.133	0.670	0.387
overwrought	overwrought	0.156	0.900	0.571
overzealous	overzealous	0.427	0.804	0.703
owe	utang	0.500	0.429	0.386
owing	utang	0.396	0.307	0.381
owl	owl	0.520	0.270	0.321
owner	pemilik	0.776	0.449	0.920
ownership	kepemilikan	0.628	0.445	0.741
ox	sapi	0.417	0.396	0.412
oxidation	oksidasi	0.453	0.415	0.211
oxide	oksida	0.354	0.377	0.298
oxygen	oksigen	0.908	0.310	0.575
oxymoron	oxymoron	0.427	0.481	0.398
oyster	kerang	0.500	0.311	0.327
ozone	ozon	0.560	0.345	0.518
pace	jangkah	0.510	0.380	0.390
pacemaker	pacemaker	0.448	0.569	0.582
pacific	pacific	0.627	0.118	0.580
pacified	pacify	0.802	0.194	0.414
pacifier	pacifier	0.615	0.342	0.356
pacifist	pacifist	0.663	0.153	0.557
pacify	nyemangati	0.812	0.283	0.629
pacing	pacing	0.583	0.551	0.491
pack	paket	0.510	0.347	0.475
package	paket	0.571	0.433	0.443
packaging	packaging	0.604	0.393	0.549
packer	packer	0.520	0.480	0.537
packet	paket	0.582	0.385	0.407
pact	pakta	0.442	0.444	0.593
pad	pad	0.684	0.279	0.330
padded	lengen	0.606	0.212	0.371
padding	padding	0.561	0.398	0.423
paddle	paddle	0.561	0.375	0.393
paddle boat	paddle boat	0.663	0.373	0.415
paddock	paddock	0.480	0.429	0.481
paddy	paddy	0.653	0.330	0.330
padlock	gembok	0.459	0.284	0.457
padre	NO TRANSLATION	0.684	0.407	0.647
paean	paean	0.552	0.547	0.471
pagan	pagan	0.292	0.578	0.542
paganism	paganism	0.240	0.640	0.411
page	kaca	0.677	0.224	0.278
pageant	pageant	0.719	0.667	0.651
pager	pager	0.510	0.526	0.554
pagination	pagination	0.459	0.333	0.400
paging	paging	0.542	0.398	0.423
pagoda	pagoda	0.571	0.259	0.435
pail	pail	0.448	0.177	0.188
pain	pain	0.012	0.765	0.395
pained	pained	0.112	0.500	0.250
painful	nyenyet	0.050	0.742	0.330
painfully	painfully	0.156	0.720	0.407
painkiller	painkiller	0.487	0.312	0.481
painless	tanpa rasa sakit	0.785	0.173	0.491
pains	sakit	0.106	0.673	0.362
painstaking	painstaking	0.396	0.335	0.386
paint	Paint	0.667	0.343	0.413
paintball	paintball	0.615	0.745	0.537
paintbrush	paintbrush	0.714	0.226	0.353
painted	dicet	0.667	0.333	0.424
painter	pelukis	0.677	0.366	0.487
painting	lukisan	0.792	0.324	0.333
pair	pasangan	0.552	0.317	0.304
paisley	paisley	0.531	0.327	0.347
pajama	pajama	0.908	0.157	0.245
pajamas	piyama	0.719	0.170	0.264
pal	pal	0.812	0.426	0.596
palace	istana	0.878	0.510	0.804
palatable	palatable	0.823	0.500	0.594
palate	palate	0.625	0.350	0.358
pale	pucet	0.281	0.259	0.245
paleontology	paleontologi	0.438	0.308	0.617
