Word	Estonian-et	Valence	Arousal	Dominance
kid	poiss	0.760	0.453	0.298
kidder	naljakas	0.708	0.768	0.471
kidding	nalja	0.622	0.625	0.457
kiddo	nalja	0.674	0.393	0.419
kiddos	kiddos	0.500	0.480	0.342
kidnap	röövima	0.032	0.923	0.535
kidnapped	rööviti	0.044	0.923	0.455
kidnapper	kidnapper	0.115	0.906	0.618
kidnapping	röövimine	0.094	0.880	0.561
kidney	neerud	0.448	0.363	0.380
kids	lapsed	0.837	0.500	0.417
kill	tappa	0.052	0.941	0.736
killer	tapja	0.041	0.971	0.543
killing	tapmine	0.080	0.959	0.696
killjoy	killjoy	0.178	0.550	0.324
kiln	ahju	0.451	0.423	0.414
kilo	NO TRANSLATION	0.438	0.358	0.461
kilogram	kilogramm	0.510	0.260	0.455
kilometer	kilomeeter	0.490	0.439	0.485
kilt	kilt	0.448	0.346	0.348
kimono	kimono	0.643	0.280	0.363
kin	sugulane	0.543	0.441	0.457
kind	laadi	0.918	0.240	0.618
kindergarten	lasteaed	0.833	0.462	0.308
kindling	keetmine	0.520	0.651	0.421
kindness	headus	0.938	0.350	0.508
kindred	sugulane	0.760	0.418	0.517
kinematics	kinemaatika	0.594	0.480	0.614
kinesiology	kinesioloogia	0.491	0.480	0.633
kinetic	kineetiline	0.582	0.540	0.537
king	kuningas	0.677	0.690	0.892
king snake	kuningas madu	0.458	0.835	0.647
kingdom	kuningriik	0.714	0.547	0.910
kingpin	süütama	0.357	0.626	0.642
kink	kink	0.337	0.634	0.321
kinky	kinky	0.449	0.558	0.361
kinship	sugulus	0.771	0.300	0.652
kiosk	kiosk	0.500	0.286	0.321
kirk	kirk	0.510	0.390	0.388
kiss	suudlus	0.967	0.813	0.630
kisser	suudleja	0.844	0.682	0.618
kissy	suudlus	0.874	0.684	0.402
kit	komplekt	0.583	0.344	0.420
kitchen	köök	0.700	0.234	0.398
kite	lohe	0.643	0.500	0.573
kitten	kassipoeg	0.816	0.343	0.260
kiwi	Kiwi	0.646	0.273	0.282
klutz	klutz	0.275	0.451	0.356
knack	teadmine	0.562	0.518	0.820
knapsack	seljakott	0.551	0.317	0.268
knead	sõtkuma	0.490	0.457	0.345
knee	põlve	0.520	0.245	0.396
kneecap	põlvekaha	0.427	0.360	0.440
kneel	põlvitama	0.426	0.417	0.217
kneeling	põlvitades	0.245	0.435	0.144
knell	kelluke	0.354	0.500	0.377
knick	kutt	0.480	0.509	0.420
knickers	püksikud	0.552	0.428	0.328
knife	nuga	0.344	0.717	0.573
knight	ratsu	0.780	0.441	0.835
knighthood	rüütelkond	0.740	0.660	0.769
knit	kududa	0.630	0.144	0.295
knob	nupp	0.340	0.360	0.272
knock	koputama	0.312	0.531	0.527
knockoff	knockoff	0.350	0.606	0.240
knockout	väljalangemine	0.388	0.755	0.664
knoll	knoll	0.434	0.347	0.333
knot	sõlme	0.541	0.221	0.408
knots	sõlmed	0.418	0.346	0.267
knotted	sõlmega	0.226	0.412	0.294
know	tean	0.765	0.361	0.704
knowing	teades	0.833	0.353	0.658
knowingly	teadlikult	0.500	0.459	0.481
knowledge	teadmised	0.847	0.430	0.896
knowledgeable	teadlik	0.865	0.455	0.971
knuckle	rätik	0.655	0.333	0.393
knucklehead	kuklakübar	0.157	0.485	0.288
knuckles	käpikud	0.271	0.461	0.320
koala	koala	0.608	0.210	0.311
kook	NO TRANSLATION	0.417	0.471	0.398
kooky	kooki	0.418	0.582	0.366
kool-aid	kool-abi	0.531	0.318	0.393
kos	kos	0.500	0.471	0.407
kosher	kosher	0.469	0.443	0.312
kraut	NO TRANSLATION	0.388	0.500	0.390
kris	kris	0.427	0.417	0.407
kryptonite	kryptonite	0.306	0.690	0.588
kudos	kudos	0.925	0.587	0.642
kumquat	kumquat	0.417	0.426	0.390
lab	lab	0.479	0.500	0.600
label	silt	0.582	0.245	0.423
labor	töö	0.594	0.639	0.754
laboratory	laboratoorium	0.571	0.490	0.537
labored	tötanud	0.646	0.451	0.637
laborer	töötaja	0.561	0.510	0.698
laboring	töötav	0.705	0.644	0.737
laborious	vaevaline	0.393	0.635	0.709
labyrinth	labürint	0.479	0.811	0.491
lac	lakk	0.408	0.418	0.331
lace	pits	0.625	0.200	0.293
laceration	lõhkamine	0.143	0.667	0.443
lack	puudus	0.250	0.365	0.242
lackey	lutipudel	0.260	0.510	0.166
lacking	puudus	0.229	0.375	0.121
lackluster	närviline	0.250	0.311	0.264
lacquer	lakk	0.510	0.353	0.258
lacrosse	lakroos	0.573	0.656	0.509
lactose	laktoos	0.479	0.290	0.433
lad	poiss	0.637	0.388	0.336
ladder	redel	0.560	0.438	0.358
laddie	laddie	0.668	0.539	0.391
laden	koormatud	0.392	0.478	0.554
lading	ladu	0.388	0.463	0.409
ladle	kopp	0.531	0.368	0.352
lady	daam	0.854	0.481	0.602
lady bug	NO TRANSLATION	0.490	0.434	0.381
ladybug	ladybug	0.602	0.400	0.224
ladylike	ladylike	0.592	0.559	0.538
ladyship	naine	0.561	0.480	0.822
lag	lag	0.220	0.375	0.246
lager	NO TRANSLATION	0.584	0.480	0.353
lagging	maha jäänud	0.135	0.538	0.277
lagoon	laguun	0.660	0.231	0.373
lair	lair	0.469	0.438	0.392
laity	laity	0.510	0.320	0.487
lake	järv	0.694	0.196	0.425
lama	NO TRANSLATION	0.560	0.320	0.400
lamb	lamb	0.646	0.284	0.321
lame	lame	0.145	0.410	0.217
lament	riitama	0.198	0.398	0.352
lamenting	lamenting	0.156	0.390	0.254
lamina	lamina	0.510	0.314	0.408
laminated	lamineeritud	0.417	0.304	0.373
lamp	lamp	0.510	0.260	0.309
lamppost	lambipost	0.420	0.337	0.455
lance	Lance	0.406	0.620	0.587
lancer	lancer	0.417	0.528	0.519
land	maa	0.582	0.260	0.616
landed	lossitud	0.709	0.620	0.480
landfall	rannikuala	0.521	0.434	0.407
landfill	prügila	0.398	0.423	0.324
landing	maandumine	0.552	0.696	0.596
landlady	majaomanik	0.677	0.303	0.417
landlocked	maastikukujuline	0.280	0.391	0.367
landlord	üürileandja	0.684	0.500	0.858
landmark	maamärk	0.694	0.355	0.681
lands	maandub	0.594	0.280	0.492
landscape	maastik	0.719	0.176	0.423
landscaping	haljastus	0.823	0.379	0.519
landslide	maalihe	0.250	0.864	0.530
lane	sõidurada	0.449	0.490	0.451
language	keel	0.677	0.337	0.704
languid	vilets	0.281	0.270	0.283
languish	tormama	0.235	0.408	0.382
languishing	nõrk	0.308	0.459	0.353
lanky	kallis	0.412	0.426	0.370
lantern	latern	0.622	0.250	0.243
lap	ring	0.583	0.510	0.412
lapdog	lapdog	0.388	0.490	0.269
lapel	lapel	0.460	0.287	0.288
lapse	aegumine	0.420	0.316	0.281
lapsed	kadunud	0.357	0.333	0.276
laptop	sülearvuti	0.724	0.270	0.519
larceny	larceny	0.272	0.821	0.454
lard	sibul	0.427	0.239	0.179
larder	vooder	0.656	0.290	0.509
large	suur	0.704	0.565	0.736
larger	suurem	0.729	0.654	0.763
largo	NO TRANSLATION	0.521	0.480	0.517
lark	Lark	0.570	0.292	0.352
larva	vasar	0.245	0.423	0.254
laryngitis	larüngiit	0.125	0.500	0.370
larynx	kõri	0.460	0.420	0.402
lasagna	lasanje	0.719	0.441	0.396
laser	laser	0.469	0.531	0.769
lash	lööve	0.235	0.794	0.609
lass	lass	0.656	0.536	0.433
lasso	lasso	0.438	0.460	0.339
lastday	NO TRANSLATION	0.309	0.580	0.463
lasting	püsiv	0.804	0.535	0.745
lastminute	viimase hetke	0.418	0.582	0.385
latch	riiv	0.395	0.263	0.288
late	hilja	0.245	0.358	0.315
lateness	hilinemine	0.214	0.388	0.343
latent	latentne	0.469	0.500	0.653
lateral	külgne	0.469	0.370	0.322
laterally	külgsuunas	0.562	0.255	0.450
latex	lateks	0.479	0.413	0.325
lathe	treipink	0.510	0.450	0.425
lather	maha	0.635	0.327	0.313
latitude	laiuskraad	0.562	0.306	0.490
latrine	söögikoht	0.380	0.353	0.176
latrines	latriinid	0.214	0.462	0.267
latte	latte	0.615	0.320	0.311
lattice	võre	0.406	0.420	0.349
laud	lau	0.493	0.427	0.383
laudable	kiiduväärt	0.740	0.472	0.682
laudation	kiitlemine	0.542	0.547	0.623
laudatory	kiiduväärt	0.612	0.417	0.450
laugh	naerma	0.980	0.639	0.587
laughable	naeruväärne	0.592	0.627	0.298
laughing	naerdes	0.906	0.596	0.534
laughingstock	NO TRANSLATION	0.427	0.779	0.312
laughs	naerab	0.812	0.846	0.425
laughter	naer	0.959	0.654	0.588
launch	käivitada	0.684	0.814	0.598
launcher	käivitaja	0.677	0.745	0.808
launches	käivitab	0.490	0.663	0.602
launder	pesemine	0.479	0.450	0.349
laundering	pesemine	0.439	0.327	0.444
laundry	pesu	0.644	0.292	0.377
laureate	laureaat	0.724	0.402	0.702
laurel	laurel	0.646	0.146	0.302
laurels	lauremid	0.684	0.279	0.545
lava	lava	0.280	0.539	0.615
lavage	lavaaž	0.615	0.467	0.361
lavatory	tualettruum	0.510	0.400	0.259
lavender	lavendel	0.812	0.198	0.388
lavish	rikkalik	0.792	0.648	0.730
law	seadus	0.740	0.590	0.815
lawful	seaduslik	0.660	0.394	0.780
lawless	seadusevastane	0.219	0.690	0.420
lawlessness	seadusetus	0.156	0.804	0.509
lawman	jurist	0.510	0.523	0.786
lawn	muru	0.686	0.153	0.192
lawnmower	muruniiduk	0.480	0.531	0.355
lawsuit	kohtuasi	0.219	0.794	0.611
lawyer	advokaat	0.521	0.569	0.784
lax	laks	0.430	0.401	0.300
laxative	lahtistav	0.271	0.550	0.528
lay	panema	0.521	0.336	0.491
layaway	laupäev	0.429	0.510	0.451
layer	kiht	0.500	0.208	0.366
layered	kihiline	0.571	0.306	0.436
layman	laamatud	0.531	0.339	0.424
layout	paigutus	0.615	0.442	0.557
layover	kleepimine	0.520	0.355	0.500
laziness	laiskus	0.271	0.240	0.132
lazy	laisk	0.392	0.264	0.096
lazyday	NO TRANSLATION	0.337	0.319	0.145
lea	lea	0.583	0.294	0.358
lead	juhtima	0.323	0.657	0.455
leaded	pliisisaldusega	0.439	0.625	0.595
leader	liider	0.833	0.582	0.926
leadership	juhtimine	0.870	0.690	0.983
leading	juhtiv	0.823	0.698	0.954
leads	juhib	0.530	0.471	0.615
leaf	lehed	0.583	0.156	0.294
leaflet	infoleht	0.490	0.206	0.375
leafy	lehestik	0.653	0.530	0.700
league	liigas	0.656	0.340	0.462
leak	lekima	0.378	0.833	0.520
leakage	lekkimine	0.188	0.731	0.528
leaky	lekkiv	0.170	0.686	0.288
lean	lahja	0.734	0.353	0.438
leaned	leaned	0.570	0.373	0.490
leaning	tuginedes	0.480	0.409	0.352
leap	hüpe	0.750	0.663	0.667
learn	õppida	0.833	0.643	0.829
learned	õppinud	0.704	0.462	0.543
learner	õppija	0.698	0.475	0.398
learning	õppimine	0.833	0.588	0.574
lease	üürileping	0.520	0.463	0.545
leash	jalutusrihma	0.320	0.347	0.427
leather	nahk	0.510	0.324	0.341
leathery	nahkjas	0.418	0.471	0.411
leave	lahkuma	0.375	0.315	0.295
leavemealone	Jäta mind rahule	0.240	0.472	0.402
leaving	lahkudes	0.163	0.542	0.371
lecherous	lecherous	0.135	0.704	0.376
lecture	loeng	0.594	0.462	0.737
lecturer	lektor	0.677	0.549	0.736
ledge	vöö	0.406	0.235	0.339
ledger	pealkiri	0.510	0.362	0.609
lee	lee	0.510	0.269	0.296
leech	leech	0.250	0.623	0.268
leeches	Piibud	0.115	0.698	0.295
leer	NO TRANSLATION	0.612	0.348	0.509
leery	leery	0.337	0.640	0.410
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	tegevusruum	0.562	0.577	0.569
left	lahkus	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	jäänud	0.490	0.460	0.222
leftovers	ülejäägid	0.219	0.350	0.116
lefty	vasakpoolne	0.490	0.406	0.379
leg	jalg	0.510	0.373	0.313
legacy	pärand	0.792	0.529	0.827
legal	seaduslik	0.653	0.387	0.887
legality	seaduslikkus	0.765	0.343	0.713
legalize	legaliseerida	0.510	0.460	0.818
legalized	legaliseeritud	0.760	0.440	0.855
legally	seaduslikult	0.771	0.482	0.842
legend	legend	0.837	0.519	0.750
legendary	legendaarne	0.857	0.537	0.863
legibility	loetavus	0.771	0.481	0.580
legible	loetav	0.673	0.279	0.509
legion	leegion	0.469	0.570	0.852
legislate	seaduse järgi	0.571	0.582	0.736
legislation	seadusandlus	0.531	0.418	0.808
legislative	seadusandlik	0.633	0.365	0.800
legislator	seadusandja	0.490	0.580	0.877
legislature	seadusandlik kogu	0.540	0.435	0.698
legit	legit	0.747	0.427	0.849
legitimacy	legitiimsus	0.823	0.420	0.855
legitimate	õigustatud	0.792	0.363	0.841
lego	lego	0.600	0.294	0.189
legs	jalad	0.479	0.407	0.228
legume	liblikõielised	0.520	0.302	0.465
legwork	jalgpall	0.622	0.560	0.509
leisure	vaba aja veetmine	0.631	0.429	0.421
leisurely	rahulikult	0.806	0.250	0.367
lemma	lemma	0.530	0.284	0.391
lemon	sidrun	0.596	0.317	0.316
lemonade	Limonaad	0.661	0.287	0.412
lend	laenata	0.520	0.461	0.508
lender	laenuandja	0.340	0.520	0.703
lending	laenud	0.510	0.585	0.462
length	pikkus	0.479	0.308	0.533
lengthen	pikendama	0.619	0.481	0.566
lengthened	pikendatud	0.448	0.530	0.474
lengthening	pikendamine	0.673	0.530	0.528
lengthwise	pikisuunas	0.571	0.470	0.528
lengthy	pikk	0.570	0.342	0.528
leniency	leebus	0.517	0.436	0.545
lenient	leebe	0.520	0.451	0.340
lens	objektiiv	0.420	0.245	0.472
leopard	leopard	0.542	0.755	0.611
leotard	Leotard	0.510	0.429	0.391
leper	leppima	0.075	0.589	0.206
leprechaun	leprechaun	0.417	0.480	0.417
leprosy	leepra	0.130	0.670	0.349
lesbian	lesbi	0.385	0.660	0.415
lesbianism	lesbismus	0.327	0.725	0.440
lesion	kahjustus	0.240	0.623	0.361
less	vähem	0.265	0.240	0.115
lessee	liisinguvõtja	0.417	0.474	0.595
lessen	vähendama	0.235	0.284	0.255
lessening	vähenemine	0.375	0.300	0.277
lesser	väiksem	0.396	0.167	0.211
lesson	õppetund	0.704	0.577	0.593
lessor	rendileandja	0.552	0.490	0.623
let	lase	0.427	0.373	0.307
lethal	surmav	0.156	0.800	0.745
lethargic	müstiline	0.214	0.245	0.375
lethargy	letargia	0.194	0.302	0.316
letter	kirjaga	0.635	0.279	0.342
lettered	kirjaga	0.542	0.361	0.482
letterhead	kirjaplank	0.450	0.316	0.462
lettering	kiri	0.541	0.180	0.431
letters	kirjad	0.663	0.327	0.364
lettuce	salat	0.594	0.163	0.291
leukemia	leukeemia	0.094	0.572	0.351
levee	levee	0.520	0.324	0.490
level	tasemel	0.622	0.277	0.491
lever	hoob	0.400	0.343	0.402
leverage	finantsvõimendus	0.459	0.500	0.629
levitate	levitate	0.561	0.598	0.551
levy	tasu	0.438	0.420	0.491
lewd	pahane	0.188	0.673	0.412
lexicon	leksikon	0.561	0.463	0.615
ley	NO TRANSLATION	0.604	0.389	0.764
liabilities	kohustused	0.429	0.608	0.694
liability	vastutus	0.646	0.500	0.802
liable	vastutav	0.656	0.519	0.821
liaison	sidepidamine	0.698	0.337	0.472
liar	valetaja	0.042	0.606	0.339
libel	süü	0.128	0.694	0.403
libelous	solvav	0.125	0.735	0.436
liberal	liberaalne	0.565	0.565	0.755
liberalism	liberalism	0.562	0.712	0.750
liberate	vabastama	0.760	0.632	0.708
liberated	vabanenud	0.780	0.630	0.683
liberating	vabastades	0.915	0.620	0.745
liberation	vabastamine	0.745	0.614	0.857
liberty	vabadus	0.938	0.579	0.836
libido	libiido	0.770	0.602	0.571
librarian	raamatukoguhoidja	0.625	0.135	0.509
library	raamatukogu	0.776	0.122	0.549
libretto	libreto	0.612	0.328	0.406
lice	täid	0.133	0.500	0.194
license	litsents	0.500	0.394	0.702
lichen	samblikud	0.418	0.388	0.463
lick	lakkima	0.470	0.482	0.330
licorice	Lagrits	0.677	0.310	0.400
lid	kaas	0.490	0.189	0.255
lie	valeta	0.130	0.725	0.272
liege	liege	0.479	0.426	0.452
lien	kinnipidamisõigus	0.396	0.580	0.441
lieu	lieu	0.427	0.410	0.312
lieutenant	leitnant	0.594	0.612	0.920
life	elu	0.918	0.615	0.824
lifeblood	elujõud	0.673	0.690	0.708
lifeboat	päästepaat	0.724	0.425	0.533
lifeguard	päästetöötaja	0.870	0.606	0.786
lifeisgood	elu on hea	0.812	0.575	0.611
lifeless	elutu	0.042	0.333	0.163
lifelike	elutruu	0.776	0.567	0.765
lifeline	päästerõngas	0.735	0.552	0.496
lifelong	elukestev	0.823	0.330	0.640
lifer	lifer	0.427	0.519	0.398
lifesaver	elupäästja	0.908	0.745	0.703
lifestyle	elustiil	0.750	0.472	0.645
lifesucks	elu imeb	0.167	0.637	0.377
lifetime	eluaeg	0.816	0.559	0.736
lift	lift	0.704	0.518	0.656
lifted	tõstetud	0.714	0.441	0.657
liftoff	õhku tõusma	0.531	0.667	0.588
ligament	sideme	0.490	0.410	0.510
ligation	ligeerimine	0.344	0.423	0.396
ligature	ligatuur	0.478	0.430	0.447
light	valgus	0.771	0.320	0.519
light year	kerge aasta	0.719	0.425	0.593
lightbulb	lambipirn	0.573	0.255	0.302
lighten	kergendama	0.688	0.438	0.362
lightheaded	põgusad	0.347	0.620	0.255
lighthouse	tuletorn	0.622	0.240	0.510
lighting	valgustus	0.765	0.440	0.750
lightness	kergus	0.794	0.360	0.526
lightning	välk	0.429	0.683	0.595
lights	valgus	0.750	0.480	0.575
lightweight	kerge kaal	0.670	0.300	0.358
likable	meeldiv	0.865	0.480	0.663
like	meeldib	0.719	0.353	0.446
likelihood	tõenäosus	0.760	0.469	0.542
likely	tõenäoliselt	0.633	0.356	0.454
likeness	sarnasus	0.688	0.410	0.561
likewise	samamoodi	0.651	0.217	0.312
liking	meeldib	0.963	0.604	0.589
lilac	lilla	0.688	0.180	0.357
lily	liilia	0.640	0.245	0.263
limb	jäseme	0.510	0.397	0.427
limber	limber	0.688	0.729	0.673
limbo	lõpmatu	0.385	0.284	0.309
lime	lubi	0.594	0.240	0.415
limelight	rambivalgus	0.667	0.639	0.694
limestone	lubjakivi	0.602	0.323	0.381
limey	limey	0.469	0.347	0.415
limit	piirata	0.427	0.453	0.500
limitation	piirang	0.190	0.431	0.225
limited	piiratud	0.229	0.273	0.380
limitless	piiramatu	0.688	0.574	0.655
limo	limusiin	0.760	0.367	0.667
limousine	limusiin	0.638	0.531	0.640
limp	kummardama	0.393	0.440	0.172
lin	lin	0.416	0.362	0.343
line	rida	0.541	0.180	0.353
lineage	päritolu	0.633	0.465	0.721
lineal	lineaalne	0.521	0.170	0.474
linear	lineaarne	0.646	0.250	0.472
linebacker	linebacker	0.490	0.660	0.543
lined	vooderdatud	0.438	0.367	0.424
linen	linane	0.656	0.323	0.286
liner	vooderdis	0.469	0.396	0.400
lines	liinid	0.542	0.317	0.330
lineup	joonistus	0.635	0.427	0.638
linger	järele jääda	0.480	0.311	0.412
lingerie	pesu	0.543	0.463	0.308
lingering	igav	0.630	0.643	0.667
lingo	lingo	0.448	0.364	0.447
lingual	keeleline	0.500	0.457	0.315
linguini	linguini	0.625	0.338	0.355
linguist	keeleteadlane	0.583	0.330	0.634
linguistic	keeleline	0.646	0.351	0.618
linguistics	lingvistika	0.552	0.390	0.618
lining	vooder	0.571	0.363	0.472
link	link	0.427	0.264	0.491
linoleum	linoleum	0.510	0.378	0.402
lint	lint	0.388	0.173	0.214
lion	lõvi	0.532	0.717	0.682
lip	huule	0.541	0.348	0.443
liposuction	rasvaimu	0.292	0.684	0.464
lipstick	huulepulk	0.653	0.429	0.306
liquefaction	vedeldamine	0.449	0.622	0.535
liquefied	veeldatud	0.562	0.463	0.342
liqueur	liköör	0.670	0.612	0.389
liquid	vedelik	0.562	0.235	0.307
liquidate	likvideerima	0.327	0.654	0.664
liquidation	likvideerimine	0.417	0.625	0.649
liquidator	likvideerija	0.354	0.663	0.750
liquidity	likviidsus	0.688	0.529	0.534
liquor	likööri	0.603	0.702	0.433
lira	NO TRANSLATION	0.530	0.255	0.370
lisp	lisp	0.365	0.412	0.288
list	nimekiri	0.528	0.260	0.402
listen	kuulake	0.771	0.360	0.445
listener	kuulaja	0.667	0.375	0.403
listenting	NO TRANSLATION	0.640	0.377	0.491
listing	nimekiri	0.438	0.273	0.432
listless	loksutav	0.219	0.350	0.231
listneing	NO TRANSLATION	0.531	0.370	0.433
litany	litaniat	0.510	0.365	0.482
liter	liitri kohta	0.573	0.208	0.382
literacy	kirjaoskus	0.730	0.306	0.638
literal	sõnasõnaline	0.570	0.353	0.574
literally	sõna otseses mõttes	0.571	0.353	0.673
literary	kirjanduslik	0.719	0.324	0.667
literature	kirjandus	0.708	0.250	0.598
lithe	vilets	0.656	0.596	0.602
lithium	liitium	0.417	0.330	0.430
lithograph	litograafia	0.551	0.327	0.481
lithography	litograafia	0.561	0.346	0.473
lithology	litoloogia	0.519	0.378	0.525
lithosphere	litosfäär	0.473	0.333	0.689
litigant	vaidlusega	0.219	0.577	0.696
litigate	kohtuprotsess	0.260	0.819	0.712
litigation	kohtuvaidlus	0.388	0.760	0.602
litigator	kohtuprotsess	0.429	0.630	0.732
litigious	vaieldav	0.360	0.736	0.632
litter	pesakond	0.255	0.551	0.110
little	vähe	0.385	0.160	0.213
littlethings	väiksed asjad	0.740	0.311	0.242
littoral	rannikuala	0.551	0.387	0.452
liturgy	liturgia	0.490	0.327	0.568
live	elus	0.880	0.673	0.676
livelife	ela elu	0.792	0.624	0.664
livelihood	elatusvahendid	0.698	0.481	0.721
lively	elav	0.847	0.810	0.642
liven	elavdada	0.708	0.713	0.673
liver	maks	0.439	0.290	0.385
livery	lüüa	0.510	0.417	0.429
livestock	kariloomad	0.729	0.420	0.519
livid	livid	0.469	0.788	0.490
living	elamine	0.865	0.608	0.727
lizard	sisalik	0.378	0.375	0.324
llama	laama	0.490	0.590	0.519
lml	lml	0.448	0.519	0.385
load	koormus	0.385	0.417	0.528
loader	laadur	0.562	0.377	0.686
loaf	kuklid	0.755	0.250	0.277
loafer	loafer	0.235	0.396	0.254
loam	liivakarva	0.469	0.373	0.673
loan	laen	0.552	0.480	0.352
loath	tagasihoidlik	0.135	0.714	0.445
loathe	jälestama	0.094	0.730	0.429
loathful	vihane	0.068	0.740	0.358
loathing	vihkamine	0.083	0.796	0.368
loathsome	vihane	0.120	0.694	0.343
lobby	lobby	0.625	0.427	0.472
lobbyist	lobist	0.385	0.527	0.565
lobe	vähk	0.459	0.364	0.352
lobotomy	lobotoomia	0.296	0.598	0.402
lobster	homaari	0.571	0.356	0.291
local	kohalik	0.656	0.269	0.452
locale	locale	0.449	0.387	0.352
locality	paikkond	0.582	0.336	0.464
localization	lokaliseerimine	0.552	0.330	0.545
localize	lokaliseerima	0.520	0.481	0.679
localized	lokaliseeritud	0.490	0.460	0.621
locate	leidke	0.583	0.520	0.786
location	asukoht	0.615	0.375	0.546
locator	locator	0.480	0.426	0.614
loch	loch	0.449	0.235	0.425
lock	lukk	0.271	0.585	0.600
locker	kapp	0.439	0.300	0.393
locket	armukese	0.615	0.327	0.616
locksmith	lukksepp	0.510	0.417	0.491
lockup	lukustama	0.240	0.602	0.617
loco	loco	0.306	0.774	0.226
locomotion	vedu	0.470	0.600	0.595
locomotive	vedur	0.542	0.650	0.721
locust	jaanileiv	0.479	0.412	0.417
lode	NO TRANSLATION	0.365	0.423	0.318
lodge	esitama	0.656	0.356	0.474
lodger	üürnik	0.480	0.448	0.304
lodging	majutus	0.713	0.286	0.527
loft	pööning	0.510	0.378	0.343
lofty	ülbe	0.755	0.306	0.569
log	logi	0.591	0.371	0.395
logarithm	logaritm	0.520	0.439	0.551
logarithmic	logaritmiline	0.469	0.458	0.606
logic	loogika	0.646	0.245	0.819
logical	loogiline	0.805	0.400	0.648
logistics	logistika	0.633	0.500	0.730
logo	logo	0.469	0.296	0.565
logotype	logotype	0.480	0.337	0.509
loin	NO TRANSLATION	0.420	0.298	0.379
lollipop	lollipop	0.628	0.483	0.357
lone	üksi	0.198	0.204	0.367
loneliness	üksindus	0.146	0.182	0.222
lonely	üksildane	0.250	0.226	0.238
loner	üksinda	0.347	0.152	0.221
lonesome	üksildane	0.281	0.213	0.336
long	pikk	0.541	0.353	0.543
longboat	pikk laev	0.551	0.454	0.490
longevity	Pikaealisus	0.750	0.353	0.745
longing	igatsus	0.604	0.434	0.560
longitude	pikkuskraad	0.479	0.310	0.516
longitudinal	pikisuunas	0.542	0.398	0.582
longitudinally	pikisuunas	0.541	0.380	0.569
longtime	kaua aega	0.362	0.442	0.546
loo	loo	0.385	0.357	0.283
look	vaata	0.719	0.429	0.615
looker	looker	0.583	0.354	0.451
lookout	Vaata ette	0.698	0.538	0.639
loom	kudumismasin	0.531	0.245	0.325
looming	kutuv	0.367	0.750	0.528
loon	loon	0.429	0.392	0.325
loony	loony	0.439	0.474	0.295
loop	silmus	0.516	0.343	0.317
loophole	lünk	0.406	0.755	0.491
loopy	loopiline	0.438	0.520	0.195
loose	lahti	0.573	0.312	0.365
loosen	lahti	0.487	0.337	0.218
loosening	lahti	0.378	0.343	0.295
loot	rüüstata	0.604	0.711	0.537
lop	lop	0.429	0.363	0.426
lopsided	ühepoolne	0.125	0.500	0.272
lord	isand	0.618	0.327	0.684
lords	isandad	0.571	0.356	0.781
lordship	lordsus	0.573	0.557	0.736
lore	lore	0.719	0.373	0.768
lorry	veoauto	0.521	0.481	0.402
lose	kaotada	0.115	0.538	0.176
loser	kaotaja	0.083	0.510	0.155
losing	kaotada	0.076	0.686	0.223
loss	kaotus	0.062	0.567	0.211
lost	kadunud	0.199	0.663	0.148
lot	palju	0.531	0.215	0.370
lotion	kreem	0.724	0.261	0.188
lots	palju	0.604	0.417	0.424
lottery	loterii	0.771	0.731	0.491
lotto	loto	0.760	0.635	0.475
lotus	lotus	0.604	0.377	0.510
loud	valjusti	0.573	0.650	0.870
loudly	valjusti	0.541	0.755	0.667
loudmouth	Loudmouth	0.337	0.615	0.456
loudness	valjusus	0.350	0.582	0.620
loudspeaker	valjuhääldi	0.490	0.735	0.689
lounge	salong	0.592	0.245	0.466
lounging	lounging	0.735	0.167	0.449
louse	kutt	0.184	0.439	0.154
lousy	kővasti	0.125	0.482	0.234
lovable	armastav	0.948	0.335	0.565
love	armastus	1.000	0.519	0.673
loved	armastatud	0.927	0.452	0.582
lovee	armastus	0.949	0.592	0.611
loveee	loveee	0.927	0.592	0.693
loveless	armatuim	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	armasus	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	armas	0.917	0.456	0.741
lovemaking	armastus	0.969	0.927	0.814
lovemylife	NO TRANSLATION	0.896	0.800	0.573
lover	armastaja	0.881	0.816	0.750
lovesick	armastaja	0.796	0.842	0.500
lovethis	armastan seda	0.867	0.552	0.526
loving	armastav	0.948	0.612	0.636
lovinglife	armastusluba	0.979	0.404	0.673
lovinlife	lovinlife	0.714	0.460	0.544
low	madal	0.292	0.220	0.102
lowdown	alamjooks	0.306	0.441	0.441
lower	madalam	0.327	0.296	0.258
lowering	langetamine	0.286	0.363	0.236
lowest	madalaim	0.312	0.304	0.129
lowlands	madalikud alad	0.323	0.290	0.331
lowlife	madala eluga	0.296	0.529	0.309
lowly	madalalt	0.562	0.294	0.417
lox	lox	0.490	0.373	0.318
loyal	lojaalne	0.896	0.265	0.657
loyalty	lojaalsus	0.885	0.406	0.793
lsd	lsd	0.375	0.471	0.390
luau	luau	0.594	0.545	0.296
lube	lube	0.552	0.490	0.411
