Word	Xhosa-xh	Valence	Arousal	Dominance
golden	golide	0.802	0.491	0.609
goldfish	golide	0.786	0.296	0.317
golf	galufa	0.573	0.358	0.447
golfer	golfer	0.602	0.402	0.578
golfing	igalofu	0.625	0.427	0.455
gondola	gondola	0.520	0.404	0.379
gone	uhambe	0.292	0.230	0.190
goner	goner	0.410	0.461	0.274
gong	NO TRANSLATION	0.490	0.529	0.462
gonorrhea	gonorrhea	0.106	0.635	0.322
goo	goo	0.439	0.396	0.312
goober	ukuhamba	0.469	0.444	0.342
good	kulungile	0.938	0.368	0.534
goodbye	Sala kakuhle	0.240	0.389	0.328
goodday	Usuku olumnwandi	0.961	0.357	0.418
goodfeeling	NO TRANSLATION	0.939	0.459	0.679
goodhealth	NO TRANSLATION	0.938	0.402	0.712
goodie	goodie	0.854	0.327	0.600
goodies	ezikhoyo	0.950	0.622	0.424
goodlife	ubomi obumnandi	0.917	0.471	0.736
goodly	kakuhle	0.701	0.471	0.636
goodmood	NO TRANSLATION	0.823	0.491	0.519
goodmorning	mholo	0.922	0.461	0.552
goodmusic	goodmusic	0.756	0.500	0.500
goodness	ukulunga	0.969	0.321	0.715
goodnews	Iindaba ezimnandi	0.961	0.740	0.768
goods	iimpahla	0.888	0.396	0.726
goodtimes	amaxesha amnandi	0.910	0.526	0.629
goodvibes	NO TRANSLATION	0.827	0.500	0.534
goodwill	ukukholiswa	0.938	0.327	0.667
goody	ezilungileyo	0.786	0.337	0.570
gooey	gooey	0.392	0.480	0.445
goof	ukuhamba	0.448	0.490	0.272
goofball	goofball	0.561	0.550	0.382
goofy	ukuhamba	0.281	0.224	0.179
goon	qhubeleka	0.312	0.481	0.361
gooood	gooood	0.857	0.652	0.547
goop	goop	0.469	0.394	0.333
goose	igusi	0.479	0.283	0.265
gopher	gopher	0.449	0.440	0.421
gore	ukuqala	0.260	0.608	0.518
gorge	umgca	0.365	0.644	0.420
gorgeous	mhle	0.920	0.560	0.741
gorilla	gorilla	0.565	0.720	0.648
gory	gory	0.140	0.875	0.455
gospel	iindaba ezilungileyo	0.740	0.333	0.580
gossip	ukuhleka	0.173	0.765	0.245
gothic	gothic	0.197	0.333	0.475
gouge	gouge	0.396	0.441	0.400
goulash	goulash	0.582	0.429	0.347
gourd	umtya	0.427	0.271	0.289
gourmet	gourmet	0.911	0.387	0.562
gout	gout	0.354	0.314	0.170
govern	lawula	0.573	0.702	0.980
governess	umgcini	0.426	0.500	0.632
governing	lawula	0.635	0.700	0.900
government	rhu lumente	0.427	0.530	0.850
governmental	karhulumente	0.521	0.541	0.906
governor	irhuluneli	0.500	0.683	0.934
gown	ingubo	0.625	0.283	0.421
grab	kubamba	0.448	0.706	0.538
grace	babalo	0.906	0.304	0.462
graceful	ubabalo	0.906	0.510	0.655
gracias	NO TRANSLATION	0.833	0.356	0.600
gracious	nenceba	0.918	0.634	0.637
graciously	ngenceba	0.948	0.353	0.680
grad	NO TRANSLATION	0.806	0.538	0.733
gradation	ulungiso	0.487	0.477	0.616
grade	bakala	0.698	0.360	0.600
graded	ziweyo	0.562	0.340	0.759
grader	umgcini	0.583	0.317	0.420
grades	mabakala	0.521	0.349	0.566
gradient	i gradient	0.480	0.423	0.509
gradschool	zezikolo	0.616	0.602	0.528
gradual	ngokugqithiseleyo	0.571	0.350	0.509
gradually	ngokuthe ngcembe	0.583	0.385	0.464
graduate	Isithwalandwe	0.898	0.549	0.778
graduation	ukugqiba	0.880	0.670	0.837
graffiti	graffiti	0.582	0.633	0.353
graft	ulwahlulo	0.410	0.528	0.420
grail	grail	0.573	0.384	0.566
grain	ngqolowa	0.390	0.198	0.302
gram	igram	0.578	0.333	0.260
grammar	igrama	0.560	0.287	0.607
grand	mkhulu	0.898	0.740	0.888
grand theft auto	bazebelayo abazenzekela ngokwabo abalungile	0.493	0.663	0.580
grandchild	umzukulwana	0.781	0.433	0.465
grandchildren	bazukulu	0.796	0.545	0.426
granddad	mkhulukazi	0.740	0.248	0.461
granddaddy	mkhulu	0.708	0.291	0.480
granddaughter	umzukulu	0.823	0.445	0.389
grandeur	ubukhulu	0.885	0.796	0.839
grandfather	utatomkhulu	0.827	0.279	0.586
grandiose	grandiose	0.900	0.682	0.864
grandma	umkhulu	0.796	0.208	0.491
grandmother	umakhulu	0.792	0.283	0.426
grandpa	umkhulu	0.806	0.296	0.466
grandson	umzukulu	0.778	0.333	0.500
grandstand	bukhulu	0.500	0.679	0.708
grange	igrange	0.531	0.340	0.391
granite	granite	0.572	0.343	0.483
granny	umkhulu	0.796	0.240	0.452
granola	granola	0.625	0.240	0.281
grant	nelelo	0.719	0.380	0.667
granted	kunikwe	0.882	0.348	0.779
grantee	igranti	0.865	0.477	0.708
grantor	umnikezeli	0.542	0.500	0.717
granular	granular	0.478	0.337	0.443
granule	igranule	0.406	0.373	0.316
grape	iidiliya	0.729	0.122	0.295
grape juice	ijusi lomdiliya	0.696	0.304	0.267
grapefruit	i-grapefruit	0.521	0.281	0.282
grapes	iidiliya	0.784	0.240	0.236
grapevine	i diliya	0.541	0.343	0.232
graph	igrafu	0.510	0.286	0.621
graphic	umzobo	0.602	0.494	0.491
graphics	imifanekiso	0.542	0.431	0.509
graphite	graphite	0.479	0.377	0.336
grapple	ukulwa	0.490	0.577	0.482
grappling	ukutshintsha	0.448	0.676	0.516
grasp	ukuqonda	0.560	0.623	0.570
grasping	ukuqonda	0.327	0.561	0.561
grass	utshani	0.604	0.164	0.333
grasshopper	ingca	0.500	0.462	0.287
grassy	ingca	0.647	0.323	0.371
grate	i grate	0.333	0.250	0.419
grated	lisiwe	0.357	0.462	0.361
grateful	mbulelo	0.958	0.353	0.560
gratification	novuyo	0.867	0.643	0.755
gratified	nelisa	0.781	0.519	0.702
gratify	nelisa	0.837	0.539	0.794
gratifying	ku vuyisa	0.857	0.606	0.776
grating	igranti	0.512	0.337	0.282
gratis	NO TRANSLATION	0.796	0.510	0.417
gratitude	mbulelo	0.885	0.441	0.610
gratuitous	lukhululekile	0.735	0.650	0.452
gratuity	ngaphandle	0.865	0.500	0.462
grave	ngcwabeni	0.153	0.385	0.386
gravel	i gravel	0.390	0.370	0.332
graver	NO TRANSLATION	0.102	0.622	0.453
graveyard	mangcwaba	0.041	0.441	0.272
gravitate	kutyumba	0.479	0.472	0.476
gravitation	i gravitation	0.698	0.592	0.600
gravitational	ezinamandla	0.528	0.510	0.691
gravity	kukhulula	0.510	0.635	0.538
gravy	i gravy	0.608	0.450	0.339
gray	ngwevu	0.335	0.153	0.189
graze	kudla	0.560	0.255	0.371
grease	igrisi	0.255	0.404	0.306
greased	ugcobe	0.250	0.461	0.368
greaser	greaser	0.408	0.518	0.462
greasy	ezigcobileyo	0.399	0.442	0.294
great	kakhulu	0.958	0.665	0.810
great anticipation	lindele	0.786	0.735	0.655
great aunt	mkhulukazi	0.896	0.419	0.589
great disgust	kakhulu ukunyaniseka	0.042	0.836	0.389
great grandfather	Utatomkhulu kamakhulu	0.729	0.241	0.569
great grandma	umkhulu omkhulu	0.771	0.221	0.491
great grandmother	Umakhulu kamakhulu	0.802	0.236	0.549
great grandpa	omkhulu umkhulu	0.857	0.280	0.602
great surprise	ngaliswa gqitha	0.939	0.941	0.688
great trust	kholose kakhulu	0.939	0.528	0.853
great uncle	mkhulukazi	0.729	0.398	0.621
greatday	NO TRANSLATION	0.823	0.571	0.574
greater	mkhulu	0.755	0.519	0.796
greatest	mkhulu	0.847	0.627	0.922
greatfriends	NO TRANSLATION	0.908	0.593	0.570
greatful	NO TRANSLATION	0.923	0.571	0.676
greatly	kakhulu	0.750	0.708	0.877
greatly negative	zibi kakhulu	0.051	0.640	0.282
greatly positive	kakhulu ezintle	0.967	0.538	0.877
greatness	bukhulu	0.990	0.750	0.943
greatnight	NO TRANSLATION	0.918	0.349	0.574
greed	ukuhaha	0.173	0.780	0.528
greedy	ukukrakra	0.125	0.660	0.476
green	luhlaza	0.630	0.306	0.333
green bean	ibhontshisi eluhlaza	0.469	0.280	0.304
green pepper	ipelepele eluhlaza	0.500	0.431	0.425
green snake	inyoka eluhlaza	0.229	0.634	0.614
greenhouse	kuluhlaza	0.719	0.438	0.384
greenish	oluhlaza	0.574	0.290	0.429
greenwood	greenwood	0.531	0.382	0.491
greet	bulisa	0.885	0.539	0.618
greeted	buliswa	0.781	0.317	0.454
greeting	bulisa	0.854	0.556	0.510
gregarious	nganiso	0.551	0.471	0.529
grenade	grenade	0.281	0.777	0.694
grey	ngwevu	0.347	0.140	0.295
greyhound	greyhound	0.520	0.490	0.440
grid	grid	0.562	0.426	0.443
gridiron	gridiron	0.667	0.491	0.425
grief	intlungu	0.070	0.640	0.474
grievance	isikhalazo	0.092	0.635	0.364
grieve	buhlungu	0.122	0.500	0.333
grieved	buhlungu	0.104	0.460	0.191
grieving	buhlungu	0.093	0.673	0.403
grievous	zibuhlungu	0.146	0.640	0.179
griffin	griffin	0.418	0.337	0.360
grill	grill	0.755	0.491	0.546
grille	grille	0.337	0.327	0.246
grilled	grilled	0.702	0.500	0.373
grim	buhlungu	0.310	0.483	0.298
grime	ulunge	0.198	0.500	0.225
grimy	buhlungu	0.112	0.597	0.283
grin	igrin	0.885	0.570	0.491
grind	ugaya	0.480	0.276	0.397
grinder	umgca	0.459	0.615	0.561
grinding	ukugaya	0.415	0.450	0.461
grindstone	ilitye	0.541	0.453	0.526
gringo	gringo	0.540	0.452	0.510
grip	bamba	0.520	0.549	0.602
gripe	gripe	0.184	0.526	0.241
grisly	grisly	0.083	0.863	0.426
grist	grist	0.317	0.391	0.363
grit	grit	0.449	0.296	0.345
grits	kuhlutha	0.458	0.333	0.346
gritty	gritty	0.417	0.373	0.375
grizzly	grizzly	0.398	0.679	0.657
groan	bubula	0.396	0.750	0.351
grocer	grocer	0.625	0.250	0.382
groceries	ukutya	0.740	0.363	0.417
grocery	zokutya	0.687	0.540	0.446
groggy	groggy	0.235	0.265	0.194
groin	ukubola	0.296	0.452	0.364
groom	umyeni	0.698	0.500	0.605
groove	groove	0.552	0.448	0.361
groovy	groovy	0.615	0.538	0.464
grope	ukuphosa	0.420	0.559	0.358
gross	epheleleyo	0.115	0.575	0.181
grotesque	buhlungu	0.135	0.788	0.500
grotto	grotto	0.510	0.394	0.336
grouch	udidi	0.342	0.593	0.411
grouchy	i-grouchy	0.143	0.708	0.407
ground	mhlabeni	0.398	0.343	0.602
grounded	esekelwe	0.531	0.601	0.509
groundhog	umqubu	0.385	0.324	0.377
grounding	mhlaba	0.521	0.452	0.591
groundless	ngaphandle	0.333	0.535	0.387
grounds	zizathu	0.667	0.500	0.598
groundwork	umgangatho	0.500	0.375	0.593
group	iqela	0.573	0.423	0.480
groupie	groupie	0.521	0.583	0.393
grouping	qela	0.745	0.580	0.698
grouse	iqela	0.448	0.401	0.412
grout	i-grout	0.405	0.356	0.366
grove	i grove	0.604	0.245	0.417
grovel	i-grovel	0.360	0.500	0.414
grow	kukhula	0.914	0.615	0.755
growl	bhala	0.194	0.764	0.482
growling	ukukhaluma	0.119	0.887	0.475
growls	iindlovu	0.125	0.675	0.442
grownup	khula unyukele	0.735	0.400	0.683
growth	ukukhula	0.917	0.588	0.776
growthefuckup	ukukhula	0.229	0.692	0.426
grr	grr	0.229	0.538	0.333
grrr	grrr	0.271	0.755	0.327
grrrrr	grrrrr	0.281	0.633	0.444
grub	grub	0.602	0.406	0.355
grubby	igrubby	0.156	0.583	0.176
grudge	nomsindo	0.115	0.647	0.414
grudging	ukukrakra	0.092	0.636	0.473
grudgingly	ngokukrakra	0.156	0.610	0.292
gruel	gruel	0.382	0.304	0.297
grueling	eziyingozi	0.180	0.763	0.704
gruesome	ezibuhlungu	0.094	0.837	0.474
gruff	gruff	0.323	0.611	0.472
grumble	khalaza	0.101	0.750	0.333
grump	isitshalo	0.260	0.469	0.425
grumpy	ihlutha	0.198	0.808	0.559
grunt	ukuxhamla	0.286	0.798	0.392
grunting	ukukrokra	0.198	0.827	0.481
guacamole	guacamole	0.684	0.317	0.282
guano	guano	0.296	0.343	0.191
guarantee	isiqinisekiso	0.949	0.337	0.805
guaranty	i-guaranty	0.646	0.337	0.818
guard	balindi	0.592	0.510	0.725
guarded	ligcinwe	0.758	0.686	0.500
guardhouse	indlu yokulinda	0.510	0.435	0.770
guardian	umgcini	0.656	0.686	0.789
guardianship	umgcini	0.592	0.370	0.681
guards	balindi	0.448	0.663	0.720
gubernatorial	gubernatorial	0.552	0.604	0.897
guerilla	guerilla	0.146	0.845	0.727
guerrilla	guerrilla	0.219	0.917	0.792
guess	qagela	0.640	0.463	0.442
guesser	guesser	0.542	0.670	0.535
guesswork	uqikelelo	0.417	0.451	0.405
guest	ndwendwe	0.719	0.490	0.558
guesthouse	indlu yeendwendwe	0.729	0.337	0.406
guidance	khokelo	0.729	0.471	0.718
guide	khokelo	0.688	0.315	0.620
guidebook	khokelo	0.677	0.260	0.427
guidelines	izikhokelo	0.459	0.500	0.664
guiding	khokela	0.667	0.520	0.714
guild	lombutho	0.580	0.459	0.729
guile	nkohliso	0.410	0.417	0.467
guillotine	guillotine	0.163	0.817	0.585
guilt	netyala	0.208	0.567	0.206
guilty	netyala	0.135	0.770	0.352
guinea	Gini	0.521	0.440	0.396
guise	ukukhangela	0.531	0.547	0.324
guitar	guitar	0.844	0.542	0.469
guitarist	guitarist	0.827	0.740	0.549
gules	iigulane	0.469	0.443	0.340
gulf	gulf	0.520	0.365	0.398
gull	intle	0.594	0.317	0.378
gullet	gullet	0.385	0.490	0.393
gullible	ukuguquka	0.440	0.442	0.318
gully	gully	0.316	0.519	0.394
gulp	gulp	0.551	0.660	0.409
gum	gum	0.573	0.227	0.213
gumbo	gumbo	0.500	0.422	0.361
gummy	gummy	0.521	0.302	0.291
gumption	gumption	0.480	0.538	0.488
gun	umpu	0.147	0.920	0.713
gunboat	isibhamu	0.139	0.663	0.618
gunfight	ukuqhuma	0.051	0.961	0.700
gunfighter	umqhubi	0.156	0.910	0.741
gunfire	umpu	0.156	0.930	0.673
gunk	gunk	0.250	0.478	0.219
gunman	umkhweli	0.167	0.922	0.689
gunmen	abantu abamsundu	0.073	0.942	0.727
gunner	umkhweli	0.250	0.853	0.817
gunnery	mbulali	0.281	0.861	0.873
gunplay	gunplay	0.133	0.906	0.627
gunpoint	nompu	0.188	0.817	0.719
gunpowder	umpu	0.425	0.853	0.509
gunshot	gunshot	0.042	0.953	0.673
gunslinger	gunslinger	0.316	0.873	0.811
gurney	gurney	0.408	0.304	0.352
guru	guru	0.573	0.360	0.653
gush	ukutshiza	0.510	0.490	0.381
gusher	gusher	0.406	0.520	0.453
gusset	gusset	0.427	0.425	0.423
gust	gust	0.490	0.755	0.556
gusto	NO TRANSLATION	0.692	0.729	0.620
gusty	ezinqabileyo	0.687	0.631	0.455
gut	emathunjini	0.408	0.367	0.364
gutless	engenamanzi	0.250	0.381	0.384
guts	i-guts	0.592	0.649	0.582
gutsy	buhlungu	0.635	0.573	0.536
gutter	kumanzi	0.466	0.260	0.400
guy	mfana	0.583	0.367	0.546
guzzler	guzzler	0.393	0.537	0.436
guzzling	guzzling	0.460	0.490	0.380
gym	Ijim	0.635	0.690	0.613
gymnasium	gymnasium	0.667	0.561	0.474
gymnast	gymnast	0.670	0.760	0.558
gymnastic	gymnastic	0.810	0.706	0.604
gymnastics	gymnastics	0.745	0.677	0.508
gynecologist	gynecologist	0.552	0.566	0.682
gynecology	gynecology	0.408	0.590	0.519
gypsy	gypsy	0.375	0.665	0.396
gyroscope	gyroscope	0.500	0.390	0.510
habit	umkhwa	0.625	0.226	0.585
habitat	indawo yokuhlala	0.633	0.343	0.553
habitation	yokuhlala	0.781	0.231	0.538
habitual	ziqhelo	0.527	0.208	0.490
habitually	aqhelekile	0.600	0.324	0.583
hacienda	hacienda	0.688	0.402	0.573
hack	ukukhwaza	0.135	0.717	0.534
hacker	utyumba	0.271	0.755	0.740
hacksaw	i-hicksaw	0.406	0.645	0.537
hadenough	NO TRANSLATION	0.323	0.566	0.529
hag	hag	0.188	0.695	0.411
haggard	uguqa	0.115	0.510	0.246
haggle	ukuguqula	0.480	0.601	0.461
haiku	haiku	0.583	0.356	0.392
hail	isichotho	0.459	0.627	0.411
hair	i inwele	0.582	0.186	0.286
hairball	hairball	0.370	0.302	0.315
hairbrush	uboya bezinwele	0.454	0.216	0.263
haircut	izinwele	0.677	0.343	0.307
hairdo	izinwele	0.552	0.320	0.435
hairdresser	wezinwele	0.708	0.509	0.407
hairdryer	umosi wenwele	0.642	0.402	0.330
hairless	ezingenaswele	0.136	0.235	0.139
hairline	ezinwele	0.418	0.154	0.230
hairpin	inwele	0.459	0.363	0.370
hairspray	i-hairspray	0.549	0.279	0.269
hairstyle	kwekhanda	0.771	0.380	0.433
hairy	ngeenwele	0.542	0.380	0.343
hale	hale	0.479	0.435	0.500
half	isiqingatha	0.500	0.274	0.276
half dollar	kwisiqingatha dollar	0.573	0.408	0.509
halfback	isiqingatha	0.490	0.429	0.440
halftime	ixesha lecala	0.458	0.352	0.429
halfway	qingatha	0.510	0.254	0.339
halibut	ihalibut	0.449	0.412	0.411
hall	iholo	0.510	0.340	0.424
hallelujah	Haleluya	0.770	0.554	0.657
hallmark	ephawulekayo	0.646	0.315	0.411
hallowed	ngcwaliswe	0.740	0.500	0.728
hallucination	iholo	0.396	0.706	0.370
hallway	iholo	0.573	0.230	0.279
halo	halo	0.490	0.370	0.441
halt	ukuma	0.167	0.360	0.432
halter	ukuyeka	0.448	0.451	0.431
halting	ukumisa	0.255	0.596	0.519
halve	nxalenye	0.316	0.347	0.302
halving	nciphisa	0.292	0.474	0.366
ham	iham	0.673	0.245	0.404
hamburger	hamburger	0.809	0.551	0.387
hamlet	indlu	0.573	0.270	0.397
hammer	nyundo	0.312	0.509	0.563
hammerhead	nyundo	0.337	0.490	0.569
hammering	ukunyakaza	0.347	0.779	0.557
hammock	intambo	0.673	0.255	0.287
hamper	ukuphazamiseka	0.204	0.711	0.473
hamster	hamster	0.520	0.394	0.349
hamstring	i-hamstring	0.406	0.471	0.443
hand	ngesandla	0.542	0.314	0.434
handbag	isikhwama	0.562	0.240	0.336
handball	ngesandla	0.561	0.493	0.440
handbook	incwadi	0.600	0.224	0.567
handcuff	sithintelo	0.310	0.590	0.593
handful	ezandleni	0.521	0.481	0.400
handgun	ngesandla	0.156	0.914	0.782
handheld	ephathekayo	0.646	0.350	0.586
handicap	abakhubazekileyo	0.133	0.394	0.264
handicapped	abakhubazekileyo	0.204	0.467	0.180
handicraft	ngesandla	0.724	0.333	0.565
handiwork	imisebenzi yezandla	0.753	0.430	0.410
handkerchief	ihekhi	0.510	0.192	0.219
handle	phatha	0.698	0.571	0.558
handler	umphathi	0.439	0.593	0.861
handmade	ezenziwe ngesandla	0.776	0.383	0.475
handout	ku thunyelwa	0.560	0.330	0.545
handprint	ngesandla	0.635	0.289	0.463
handshake	ukuxhaphaza	0.816	0.654	0.492
handsome	mhle	0.890	0.600	0.682
handwriting	ukubhala ngesandla	0.615	0.378	0.381
handy	sinobuchule	0.741	0.378	0.639
handyman	umphathi	0.660	0.373	0.393
hang	xhoma	0.323	0.529	0.446
hangar	i-hangar	0.490	0.456	0.481
hanger	hanger	0.439	0.462	0.461
hanging	ku xhoma	0.378	0.471	0.389
hangman	i-hangman	0.153	0.877	0.555
hangout	Hlala nabantu	0.573	0.500	0.462
hangover	isango	0.188	0.565	0.267
hangry	NO TRANSLATION	0.219	0.794	0.279
hank	hank	0.510	0.375	0.339
hankering	ukugubha	0.604	0.540	0.558
hanky	hanky	0.460	0.276	0.250
hap	NO TRANSLATION	0.503	0.431	0.453
haphazard	ngxakini	0.469	0.530	0.324
hapless	nantoni	0.271	0.442	0.193
happen	kwenzeka	0.677	0.670	0.551
happening	kwenzeka	0.646	0.529	0.555
happier	uvuyo	0.990	0.760	0.806
happiest	nwabile ngakumbi	0.990	0.716	0.746
happily	ngovuyo	1.000	0.690	0.674
happiness	lonwabo	0.960	0.732	0.850
happy	uvuyo	1.000	0.735	0.772
happydance	lonwabo	0.857	0.760	0.582
happyday	Usuku lokonwaba	0.929	0.650	0.663
happyheart	lonwabo	0.949	0.575	0.605
happyholidays	NO TRANSLATION	0.927	0.740	0.637
happynewyear	NO TRANSLATION	0.969	0.815	0.559
happyplace	NO TRANSLATION	0.938	0.589	0.645
happytweet	NO TRANSLATION	0.847	0.588	0.437
happyvalentinesday	NO TRANSLATION	0.929	0.784	0.509
harass	ukuhlukumeza	0.160	0.775	0.620
harassing	ukuhlukumeza	0.120	0.873	0.446
harassment	ku xhatshazwa	0.083	0.896	0.420
harbinger	i-harbinger	0.490	0.389	0.692
harbor	ichweba	0.594	0.356	0.634
hard	nzima	0.302	0.708	0.616
hardball	ibhola	0.542	0.667	0.452
hardcore	nzima	0.250	0.721	0.585
harden	nzima	0.276	0.598	0.677
hardened	lukhuni	0.406	0.618	0.764
hardening	lukhuni	0.388	0.673	0.741
hardheaded	inwele	0.156	0.699	0.571
hardness	bunzima	0.417	0.580	0.745
hardship	ubunzima	0.094	0.775	0.482
hardware	yeehadi	0.594	0.289	0.686
hardwood	ngumthi onzima	0.417	0.363	0.518
hardworking	usebenza nzima	0.719	0.583	0.792
hardy	lukhuni	0.571	0.569	0.810
hare	ingcuka	0.620	0.410	0.345
harebrained	i-harebrained	0.296	0.551	0.436
harem	bahlali	0.521	0.578	0.582
hark	i harki	0.571	0.500	0.398
harlot	henyuza	0.198	0.798	0.330
harm	yingozi	0.073	0.679	0.423
harmful	yingozi	0.094	0.750	0.291
harmless	nangozi	0.625	0.226	0.241
harmonica	harmonica	0.847	0.235	0.510
harmonics	iiHarmony	0.865	0.400	0.575
harmonious	ngokuvisisanayo	0.938	0.391	0.719
harmoniously	ngokuvisisana	0.969	0.265	0.647
harmonize	uhambelana	0.939	0.461	0.609
harmony	ngokuvisisana	0.949	0.230	0.509
harness	ikhonkco	0.570	0.549	0.508
harp	ihadi	0.618	0.310	0.356
harper	uhadi	0.417	0.454	0.435
harpoon	i-harpoon	0.490	0.700	0.557
harpsichord	harpsichord	0.541	0.490	0.438
harrowing	u buhlungu	0.209	0.810	0.474
harry	ku xhaphaza	0.520	0.409	0.390
harsh	buhlungu	0.250	0.650	0.623
harshness	ngantloni	0.323	0.600	0.779
hart	hart	0.643	0.389	0.447
harvest	kuvuna	0.781	0.353	0.548
hash	hashi	0.344	0.453	0.355
hashish	ihashish	0.370	0.570	0.358
hassle	ukulahleka	0.177	0.740	0.489
haste	kha wuleza	0.378	0.745	0.500
hasten	kha wuleza	0.571	0.750	0.618
hastily	ngokukhawuleza	0.271	0.609	0.609
hasty	kha wuleza	0.188	0.885	0.424
hat	ingubo	0.604	0.183	0.353
hatch	qhekeza	0.479	0.653	0.402
hatchet	uhlaselo	0.333	0.608	0.500
hate	thiyile	0.031	0.802	0.430
hateeee	NO TRANSLATION	0.219	0.606	0.368
hateeveryone	NO TRANSLATION	0.041	0.840	0.429
hateful	thiyile	0.071	0.819	0.430
hater	thiyile	0.052	0.702	0.422
hateyou	NO TRANSLATION	0.125	0.735	0.464
hating	thiyile	0.083	0.820	0.434
hatred	inzondo	0.037	0.847	0.424
haughty	nekratshi	0.240	0.708	0.588
haul	ukucima	0.551	0.564	0.453
haulage	ukuhlakulela	0.561	0.510	0.650
haunt	ukuxhamla	0.288	0.676	0.576
haunted	haunted	0.264	0.731	0.520
have	unayo	0.757	0.389	0.593
haven	indawo	0.684	0.265	0.547
havoc	ukuphazamiseka	0.163	0.769	0.535
haw	haw	0.406	0.426	0.431
hawk	intambo	0.583	0.530	0.631
hawking	ukukhwaza	0.521	0.509	0.491
hay	NO TRANSLATION	0.469	0.212	0.343
haye	NO TRANSLATION	0.615	0.451	0.336
hayride	i-hayride	0.561	0.521	0.464
haystack	utywala	0.552	0.292	0.331
haywire	haywire	0.358	0.545	0.430
hazard	ingozi	0.112	0.884	0.757
hazardous	yingozi	0.061	0.750	0.670
haze	haze	0.427	0.327	0.217
hazmat	hazmat	0.398	0.479	0.519
hazy	hazy	0.450	0.433	0.230
head	intloko	0.530	0.472	0.558
headache	intloko	0.168	0.755	0.273
headaches	intloko	0.104	0.720	0.259
headband	ibhloko	0.670	0.469	0.527
headdress	kwintloko	0.594	0.408	0.443
header	intloko	0.560	0.398	0.740
headgear	yintloko	0.542	0.442	0.571
heading	ehamba phambili	0.551	0.292	0.642
headland	kweentloko	0.574	0.551	0.430
headless	engenazintloko	0.136	0.582	0.235
headlight	ukukhanya	0.592	0.343	0.393
headline	sihloko	0.630	0.241	0.685
headliner	sihloko	0.500	0.490	0.625
headlock	intloko	0.448	0.538	0.560
headlong	ukuhamba	0.354	0.548	0.409
headmaster	ngutitshala	0.604	0.564	0.865
headphones	i headphones	0.600	0.357	0.336
headquarter	kwinqununu	0.615	0.269	0.525
headquarters	kwikomkhulu	0.615	0.271	0.525
headset	headset	0.602	0.340	0.302
headstone	ilitye lekhanda	0.240	0.378	0.349
headstrong	ngqondweni	0.310	0.714	0.500
headway	kwindlela	0.823	0.464	0.745
heady	ephezulu	0.448	0.806	0.565
heal	philisa	0.765	0.245	0.556
healer	mpilisi	0.863	0.378	0.741
healing	ku philisa	0.750	0.452	0.585
health	impilo	0.935	0.427	0.551
healthcare	ukhathalelo lwempilo	0.780	0.392	0.630
healthful	ephilileyo	0.930	0.315	0.769
healthy	enempilo	0.938	0.319	0.818
heap	inqwaba	0.582	0.510	0.474
hear	ukuva	0.760	0.429	0.444
hearer	umphulaphuli	0.656	0.281	0.415
hearing	ukuva	0.669	0.490	0.595
hearsay	ukuva	0.288	0.623	0.333
hearse	i-hearse	0.177	0.490	0.324
heart	ntliziyo	0.827	0.500	0.693
heart disease	isifo sentliziyo	0.250	0.750	0.386
heartache	intlungu	0.088	0.750	0.291
heartattack	NO TRANSLATION	0.156	0.839	0.455
heartbeat	intliziyo	0.750	0.698	0.585
heartbreak	ntliziyo	0.208	0.610	0.245
heartbreaker	ntliziyo	0.265	0.685	0.580
heartbreaking	buhlungu	0.146	0.811	0.423
heartbroken	phuke intliziyo	0.082	0.551	0.235
heartburn	ukuguquka	0.143	0.613	0.398
hearted	ntliziyo	0.823	0.410	0.805
heartfelt	ngokusuka enhliziyweni	0.904	0.440	0.540
hearth	kwindlebe	0.760	0.275	0.536
heartily	nge ntliziyo	0.927	0.531	0.664
heartland	ntliziyo	0.812	0.510	0.675
heartless	ntliziyo	0.071	0.652	0.400
hearts	ntliziyo	0.948	0.592	0.634
heartsick	ntliziyo	0.240	0.388	0.208
heartworm	entliziyweni	0.333	0.550	0.430
hearty	entliziyweni	0.760	0.684	0.792
heat	bushushu	0.534	0.612	0.433
heated	ukuvutha	0.479	0.497	0.542
heater	lokufudumala	0.500	0.573	0.538
heath	iindawo	0.802	0.387	0.546
heathen	iintlanga	0.194	0.529	0.491
heather	intsimbi	0.500	0.352	0.407
heating	ukufudumeza	0.647	0.491	0.537
heave	ukuphakama	0.716	0.588	0.664
heaven	zulwini	0.896	0.385	0.600
heavenly	wasemazulwini	0.844	0.452	0.712
heavens	mazulu	0.806	0.273	0.683
heavily	kakhulu	0.542	0.679	0.814
heaviness	bunzima	0.219	0.549	0.318
heaving	ukuhamba	0.201	0.843	0.491
heavy	enzima	0.250	0.454	0.600
heavy metal	intsimbi enzima	0.417	0.755	0.621
heavyweight	bunzima	0.429	0.578	0.713
heck	ukuxhamla	0.240	0.728	0.560
hectares	hektare	0.570	0.250	0.471
hectic	buhle	0.167	0.811	0.438
hedge	kwinqaba	0.604	0.602	0.569
hedgehog	i hedgehog	0.458	0.491	0.377
hedonism	ukunyaniseka	0.510	0.500	0.608
hee	hee	0.430	0.433	0.312
heed	thobela	0.750	0.490	0.569
heel	isithende	0.480	0.350	0.385
