Word	Lithuanian-lt	Valence	Arousal	Dominance
hospital	ligoninė	0.323	0.537	0.598
hospitality	svetingumas	0.865	0.333	0.725
host	priimančioji	0.693	0.471	0.537
hostage	įkaitas	0.163	0.923	0.325
hostel	nakvynės namai	0.479	0.500	0.398
hostess	šeimininkė	0.792	0.604	0.688
hostile	priešiškas	0.188	0.877	0.474
hostilities	karo veiksmai	0.276	0.810	0.444
hostility	priešiškumas	0.122	0.775	0.465
hot	karštas	0.490	0.740	0.573
hot sauce	aštrus padažas	0.333	0.740	0.509
hotbed	židinys	0.510	0.285	0.395
hotdog	dešrainis	0.720	0.438	0.373
hotel	viešbutis	0.740	0.370	0.407
hothead	karšta galva	0.240	0.849	0.518
hotline	karštoji linija	0.592	0.565	0.663
hotshot	karštas šūvis	0.500	0.727	0.615
hotyoga	NO TRANSLATION	0.683	0.609	0.446
hound	skalikas	0.417	0.528	0.582
hour	valandą	0.552	0.265	0.336
hourglass	smėlio laikrodis	0.542	0.284	0.492
hourly	valandą	0.469	0.418	0.491
house	namas	0.587	0.135	0.533
houseboat	namelis	0.604	0.389	0.429
houseboy	namų šeimininkė	0.479	0.415	0.393
housebroken	housebroken	0.518	0.461	0.389
houseguest	namo gėjų	0.530	0.500	0.481
household	namų ūkis	0.781	0.230	0.667
householder	namų šeimininkė	0.816	0.541	0.833
housekeeper	namų šeimininkė	0.694	0.279	0.520
housekeeping	namų ūkis	0.604	0.500	0.445
housewarming	namuose	0.857	0.710	0.727
housewife	namų šeimininkė	0.656	0.361	0.449
housework	namų ruošos darbai	0.484	0.413	0.342
housing	būstas	0.776	0.304	0.591
hovel	Hovel	0.333	0.296	0.322
hover	užveskite pelę	0.510	0.431	0.404
hovercraft	oro transporto priemonė	0.541	0.654	0.588
howl	gaudyti	0.357	0.646	0.407
howsoever	bet kokia	0.459	0.309	0.345
hoy	NO TRANSLATION	0.583	0.298	0.471
hub	koncentratorius	0.479	0.399	0.433
hubby	asociacija	0.548	0.435	0.430
huckleberry	kiškis	0.600	0.279	0.296
huddle	sustoti	0.604	0.509	0.445
hue	atspalvis	0.507	0.416	0.417
huff	Huff	0.388	0.491	0.315
huffy	huffy	0.420	0.616	0.375
hug	apkabinti	0.908	0.427	0.548
huge	didelis	0.573	0.625	0.783
hugger	hugeris	0.520	0.480	0.412
huggy	Huggis	0.854	0.429	0.451
hugs	susitinka	0.980	0.422	0.600
hulk	Hulk	0.460	0.740	0.750
hull	korpusas	0.542	0.265	0.353
hum	garsas	0.490	0.296	0.276
human	žmogus	0.767	0.314	0.605
humane	humaniškas	0.800	0.370	0.580
humanitarian	humanitariniai	0.786	0.317	0.709
humanities	humanitariniai mokslai	0.729	0.325	0.677
humanity	žmonija	0.750	0.360	0.727
humankind	žmonija	0.885	0.394	0.714
humanoid	humanoidas	0.521	0.462	0.491
humanrights	NO TRANSLATION	0.792	0.559	0.730
humble	kuklus	0.867	0.236	0.483
humbled	nuolankus	0.280	0.618	0.198
humbly	nuolankiai	0.771	0.194	0.370
humbug	Humbug	0.219	0.622	0.456
humdrum	šmaikštus	0.269	0.246	0.353
humid	drėgnas	0.375	0.324	0.366
humidity	drėgmė	0.464	0.373	0.367
humiliate	pažeminti	0.052	0.714	0.275
humiliated	pažemintas	0.104	0.712	0.216
humiliating	žeminantis	0.062	0.716	0.279
humiliation	pažeminimas	0.048	0.712	0.310
humility	nuolankumas	0.740	0.118	0.444
hummer	Hummeras	0.510	0.622	0.589
hummingbird	kolibris	0.750	0.370	0.273
humongous	Humuniškas	0.378	0.538	0.536
humor	humoras	0.890	0.633	0.462
humored	humoruotos	0.854	0.657	0.545
humorist	humoristas	0.958	0.790	0.607
humorous	humoristinis	0.906	0.616	0.665
hump	kupolas	0.296	0.462	0.250
humpback	kuprokas	0.235	0.346	0.247
hunch	kvailys	0.561	0.630	0.567
hunchback	kumpis	0.208	0.390	0.259
hundred	šimtas	0.604	0.370	0.406
hundredth	šimtoji	0.427	0.368	0.466
hunger	badas	0.083	0.554	0.328
hungry	alkanas	0.083	0.690	0.254
hunk	Hunk	0.438	0.375	0.361
hunks	medžioklės	0.417	0.453	0.482
hunky	baisus	0.469	0.571	0.438
hunt	medžioti	0.327	0.806	0.588
hunter	medžiotojas	0.292	0.817	0.817
hunting	medžioklė	0.448	0.713	0.714
huntress	medžiotojas	0.357	0.717	0.765
hurdle	kliūtis	0.198	0.682	0.434
hurl	skubėti	0.316	0.745	0.574
hurrah	hurray	0.802	0.740	0.500
hurricane	uraganas	0.177	0.958	0.787
hurricanes	uraganai	0.286	0.898	0.784
hurried	skubėti	0.314	0.806	0.393
hurry	skubėk	0.422	0.735	0.481
hurryup	NO TRANSLATION	0.473	0.791	0.555
hurt	skauda	0.062	0.773	0.291
hurtful	žalingas	0.104	0.680	0.463
hurting	skauda	0.153	0.778	0.221
husband	vyru	0.771	0.500	0.655
husbandry	gyvulininkystė	0.643	0.473	0.445
hush	skubėti	0.471	0.231	0.312
hushed	nuraminti	0.292	0.194	0.272
husk	NO TRANSLATION	0.378	0.173	0.147
husky	Husky	0.630	0.450	0.490
hussy	Hussy	0.219	0.594	0.384
hustle	šurmulys	0.406	0.661	0.427
hustler	Hustler	0.260	0.821	0.627
hut	namelis	0.633	0.270	0.375
hutch	kotelis	0.385	0.453	0.520
hyacinth	hiacintas	0.372	0.360	0.342
hybrid	hibridas	0.500	0.365	0.570
hydra	Hidra	0.406	0.598	0.534
hydrant	hidrantas	0.570	0.413	0.367
hydrate	hidratas	0.610	0.367	0.547
hydraulic	hidraulinis	0.522	0.398	0.596
hydraulics	hidraulika	0.500	0.530	0.588
hydrocephalus	hidrocefalija	0.286	0.629	0.393
hydrodynamics	hidrodinamika	0.552	0.582	0.664
hydrogen	vandenilis	0.469	0.303	0.554
hydrographic	hidrografinis	0.490	0.396	0.642
hydrology	hidrologija	0.500	0.380	0.509
hydrophobia	hidrofobija	0.323	0.784	0.351
hydroponics	hidroponika	0.500	0.549	0.500
hyena	hyena	0.396	0.719	0.464
hygiene	higiena	0.781	0.287	0.537
hygienic	higieniškas	0.719	0.245	0.702
hygienist	higienistė	0.698	0.389	0.682
hymen	hymen	0.469	0.651	0.457
hymn	himnas	0.735	0.292	0.634
hype	hype	0.510	0.500	0.586
hyped	išpūstas	0.708	0.582	0.679
hyper	hiper	0.542	0.616	0.640
hyperactive	hiperaktyvus	0.500	0.921	0.660
hyperbole	hiperbolė	0.469	0.521	0.542
hyperspace	hipertekstas	0.510	0.623	0.755
hypertension	hipertenzija	0.133	0.784	0.427
hypertrophy	hipertrofija	0.312	0.625	0.413
hyperventilate	hiperventilatas	0.347	0.729	0.556
hyperventilating	hiperventiliacija	0.164	0.802	0.625
hyphen	brūkšnelis	0.552	0.356	0.381
hypnosis	hipnozė	0.417	0.410	0.546
hypnotic	hipnotizuojantis	0.571	0.560	0.569
hypnotist	hipnotizuotojas	0.490	0.455	0.627
hypnotize	hipnotizuoti	0.469	0.507	0.508
hypnotized	hipnotizuotas	0.449	0.434	0.380
hypochondriac	hipochondriakas	0.194	0.588	0.333
hypocrisy	veidmainystė	0.156	0.523	0.370
hypocrite	veidmainas	0.082	0.673	0.306
hypocritical	veidmainiškas	0.048	0.740	0.415
hypodermic	poodinė	0.240	0.441	0.445
hypothalamus	hipotalamas	0.593	0.427	0.539
hypothermia	hipotermija	0.184	0.620	0.301
hypothesis	hipotezė	0.552	0.370	0.509
hypothetical	hipotetinis	0.480	0.367	0.361
hysterectomy	histerektomija	0.178	0.660	0.470
hysteria	isterija	0.224	0.906	0.482
hysterical	isteriškas	0.290	0.942	0.398
ibuprofen	ibuprofenas	0.448	0.427	0.504
ice	ledas	0.440	0.265	0.219
ice tea	šalta arbata	0.771	0.337	0.336
iceberg	ledkalnis	0.344	0.540	0.648
icebox	ledinė	0.560	0.222	0.370
icebreaker	ledlaužas	0.571	0.545	0.848
iced	ledinis	0.564	0.482	0.339
icing	apledėjimas	0.688	0.452	0.411
icky	icky	0.357	0.510	0.342
icon	piktograma	0.549	0.349	0.415
iconic	iconic	0.583	0.537	0.700
iconography	ikonografija	0.602	0.382	0.653
icy	ledinis	0.684	0.375	0.345
id	id	0.449	0.344	0.391
idea	idėja	0.750	0.538	0.704
ideal	idealus	0.802	0.437	0.736
idealism	idealizmas	0.635	0.436	0.689
idealist	idealistas	0.816	0.510	0.802
idealistic	idealistinis	0.812	0.469	0.755
identical	identiškas	0.635	0.380	0.527
identically	identiškai	0.667	0.427	0.487
identification	identifikavimas	0.714	0.451	0.692
identify	identifikuoti	0.635	0.480	0.667
identity	tapatybė	0.663	0.360	0.780
ideology	ideologija	0.573	0.344	0.692
idiocy	idiotiškumas	0.112	0.635	0.137
idiom	idiomas	0.520	0.337	0.445
idiomatic	idiomas	0.531	0.429	0.516
idiot	idiotas	0.086	0.567	0.113
idiotic	idiotiškas	0.104	0.620	0.170
idiots	idiots	0.143	0.600	0.144
idle	tuščiąja eiga	0.179	0.167	0.112
idleness	džiaugsmas	0.308	0.330	0.228
idler	tuštybė	0.200	0.304	0.194
idol	stabas	0.684	0.805	0.853
idolatry	stabmeldystė	0.365	0.571	0.625
idolizing	stabmingas	0.676	0.712	0.643
idyllic	idiliškas	0.571	0.394	0.593
iffy	kvailys	0.380	0.442	0.333
ifonly	jei tik	0.406	0.250	0.255
igloo	igle	0.569	0.302	0.345
igneous	tigras	0.469	0.466	0.517
ignite	užsiliepsnoti	0.458	0.785	0.675
ignition	uždegimas	0.365	0.720	0.657
ignorance	nežinojimas	0.153	0.417	0.209
ignorant	neišmanantis	0.102	0.461	0.223
ignore	ignoruoti	0.146	0.230	0.295
iguana	iguana	0.521	0.235	0.291
ihatespiders	NO TRANSLATION	0.245	0.611	0.420
ilk	NO TRANSLATION	0.438	0.451	0.455
ill	nesveikas	0.073	0.410	0.200
illegal	neteisėtas	0.061	0.787	0.337
illegality	neteisėtumas	0.094	0.635	0.427
illegally	nelegaliai	0.133	0.788	0.402
illegible	neįskaitomas	0.296	0.490	0.315
illegitimate	neteisėtas	0.184	0.644	0.302
illicit	neteisėtas	0.188	0.794	0.390
illiterate	neraštingas	0.120	0.410	0.151
illness	liga	0.098	0.717	0.211
illogical	nelogiška	0.208	0.630	0.251
illuminate	apšviesti	0.905	0.646	0.782
illuminating	apšvietimas	0.949	0.613	0.773
illumination	apšvietimas	0.760	0.588	0.537
illuminator	šviestuvas	0.770	0.566	0.718
illusion	iliuzija	0.562	0.490	0.387
illustrate	iliustruoti	0.750	0.430	0.690
illustration	iliustracija	0.740	0.441	0.640
illustrative	iliustruojantis	0.771	0.452	0.647
illustrious	garsus	0.673	0.550	0.741
ilovechristmas	NO TRANSLATION	0.885	0.590	0.525
iloveher	NO TRANSLATION	0.750	0.519	0.556
image	vaizdas	0.653	0.241	0.453
imagery	vaizdai	0.653	0.327	0.390
imaginable	įsivaizduojama	0.613	0.529	0.596
imaginary	įsivaizduojama	0.560	0.424	0.310
imagination	vaizduotė	0.802	0.491	0.547
imaginative	vaizduotė	0.780	0.541	0.593
imagine	įsivaizduok	0.759	0.480	0.587
imagined	įsivaizduoti	0.656	0.412	0.418
imaging	vaizdavimas	0.724	0.394	0.482
imagining	įsivaizduoti	0.765	0.458	0.545
imam	NO TRANSLATION	0.527	0.337	0.539
imbalance	disbalansas	0.115	0.538	0.264
imbecile	imbecile	0.082	0.569	0.260
imbedded	įterptas	0.406	0.580	0.562
imissyou	NO TRANSLATION	0.480	0.608	0.344
imitate	imituoti	0.469	0.561	0.336
imitated	imituotas	0.333	0.391	0.442
imitation	imitacija	0.406	0.592	0.343
immaculate	nepriekaištingas	0.698	0.330	0.688
immaterial	nematerialus	0.296	0.309	0.295
immature	nesubrendęs	0.114	0.500	0.200
immaturity	nebrandumas	0.146	0.567	0.221
immeasurable	neišmatuojamas	0.510	0.539	0.712
immeasurably	neišmatuojama	0.510	0.640	0.680
immediacy	nedelsiant	0.635	0.630	0.627
immediate	nedelsiant	0.656	0.548	0.716
immediately	nedelsiant	0.552	0.780	0.707
immemorial	senovinis	0.327	0.469	0.454
immense	didžiulis	0.755	0.750	0.811
immerse	pasinerti	0.510	0.577	0.509
immersion	panardinimas	0.510	0.556	0.564
immigrant	imigrantas	0.357	0.663	0.509
immigration	imigracija	0.390	0.667	0.454
imminent	neišvengiamas	0.490	0.784	0.643
immobile	nejudantis	0.225	0.217	0.298
immoral	amoralus	0.143	0.622	0.385
immorality	amoralumas	0.188	0.689	0.315
immortal	nemirtingas	0.812	0.750	0.795
immortality	nemirtingumas	0.688	0.635	0.861
immovable	nekilnojamasis	0.480	0.310	0.571
immune	imuninis	0.629	0.472	0.780
immunity	imunitetas	0.633	0.316	0.786
immunization	imunizacija	0.667	0.510	0.733
immutable	nekintamas	0.427	0.431	0.571
imp	imp	0.350	0.448	0.420
impact	poveikis	0.469	0.884	0.776
impair	pabloginti	0.153	0.500	0.360
impaired	sutrikusios	0.130	0.459	0.269
impairment	sumažėjimas	0.170	0.571	0.220
impart	skleisti	0.521	0.441	0.694
impartial	nešališkas	0.531	0.406	0.685
impartiality	nešališkumas	0.622	0.394	0.616
impassable	nepertraukiamas	0.342	0.458	0.553
impassioned	entuziastingas	0.740	0.780	0.802
impatience	nekantrumas	0.278	0.780	0.411
impatient	nekantrus	0.250	0.708	0.429
impatiently	NO TRANSLATION	0.194	0.750	0.539
impeach	impeach	0.208	0.776	0.664
impeachment	apkaltos	0.163	0.735	0.694
impeccable	nepriekaištinga	0.833	0.370	0.824
impede	trukdyti	0.271	0.510	0.604
impediment	kliūtis	0.163	0.600	0.409
impelled	impelled	0.604	0.741	0.690
impending	artėjantis	0.480	0.735	0.752
impenetrable	neįveikiama	0.531	0.577	0.839
imperative	būtinas	0.625	0.647	0.708
imperceptible	nepastebimas	0.378	0.490	0.548
imperfect	netobulas	0.173	0.527	0.202
imperfection	netobulumas	0.190	0.567	0.321
imperfectly	netobula	0.297	0.481	0.330
imperial	imperijos	0.669	0.646	0.922
imperialist	NO TRANSLATION	0.284	0.786	0.833
impermeable	nepralaidus	0.510	0.308	0.558
impermissible	neleistinas	0.188	0.464	0.352
impersonal	be asmenybės	0.316	0.356	0.472
impersonate	apsimesti	0.510	0.632	0.591
impersonation	apsimetinėjimas	0.375	0.618	0.528
impersonator	apsimeta	0.469	0.586	0.406
impertinence	netinkamumas	0.170	0.653	0.420
impertinent	netinkamas	0.219	0.826	0.373
impervious	nepralaidus	0.582	0.408	0.536
impetuous	traukiamas	0.602	0.814	0.712
impetus	impulsas	0.521	0.740	0.635
implacable	nepagrįstas	0.569	0.663	0.830
implant	implantas	0.429	0.510	0.588
implantation	implantacija	0.396	0.604	0.741
implanted	implantuotas	0.347	0.500	0.679
implement	įgyvendinti	0.720	0.573	0.792
implicate	prisiminti	0.250	0.670	0.434
implicated	prisideda	0.354	0.673	0.438
implication	implikacija	0.337	0.528	0.690
implied	numanomas	0.327	0.530	0.481
implore	implore	0.396	0.650	0.377
implosion	sprogimas	0.412	0.724	0.547
imply	reikšti	0.542	0.670	0.533
impolite	nepagarbus	0.167	0.590	0.282
import	importas	0.615	0.480	0.623
importance	svarba	0.750	0.580	0.864
important	svarbu	0.827	0.630	0.836
importation	importas	0.625	0.500	0.733
impose	primesti	0.503	0.721	0.745
imposing	įvedimas	0.392	0.731	0.836
imposition	įvedimas	0.357	0.604	0.618
impossibility	neįmanoma	0.170	0.625	0.306
impossible	neįmanomas	0.153	0.510	0.407
impostor	nemalonus	0.135	0.704	0.442
impotence	impotencija	0.198	0.689	0.224
impotent	bejėgis	0.146	0.587	0.333
impound	prisiminti	0.230	0.587	0.583
impoverished	nuskurdęs	0.125	0.311	0.203
impracticable	neįmanoma	0.398	0.549	0.381
impractical	nepraktiška	0.160	0.373	0.291
impregnable	neįveikiamas	0.378	0.549	0.667
impregnate	impregnuoti	0.510	0.721	0.655
impress	įspūdį	0.816	0.744	0.895
impressed	sužavėtas	0.806	0.770	0.429
impression	įspūdis	0.684	0.557	0.577
impressionable	įspūdingas	0.827	0.720	0.645
impressive	įspūdingas	0.781	0.830	0.873
imprint	spaudas	0.615	0.574	0.685
imprison	įkalinimas	0.112	0.829	0.545
imprisoned	įkalintas	0.032	0.717	0.302
imprisonment	laisvės atėmimas	0.133	0.630	0.471
improbable	neįtikėtinas	0.097	0.412	0.439
impromptu	ekspromtas	0.541	0.729	0.415
improper	netinkamas	0.229	0.520	0.259
impropriety	netinkamumas	0.133	0.591	0.389
improve	pagerinti	0.833	0.528	0.815
improved	patobulintas	0.919	0.480	0.679
improvement	tobulinimas	0.786	0.500	0.611
improves	pagerėja	0.929	0.625	0.727
improving	tobulinimas	0.911	0.510	0.682
improvisation	improvizacija	0.631	0.812	0.529
improvise	improvizuoti	0.646	0.650	0.519
improvised	improvizuotas	0.610	0.673	0.443
imprudent	neprotingas	0.170	0.676	0.265
impudence	drovumas	0.214	0.500	0.472
impudent	nepatogus	0.302	0.604	0.462
impulse	impulsas	0.530	0.840	0.611
impulsive	impulsyvus	0.365	0.864	0.607
impunity	nebaudžiamumas	0.313	0.721	0.602
impure	nešvarus	0.260	0.560	0.208
impurity	priemaiša	0.173	0.546	0.306
imputation	priskyrimas	0.333	0.654	0.621
imtryingtosleep	NO TRANSLATION	0.438	0.363	0.385
inability	nesugebėjimas	0.150	0.529	0.250
inaccessible	neprieinama	0.083	0.585	0.446
inaccurate	netikslus	0.135	0.450	0.250
inaction	neveikimas	0.323	0.225	0.325
inactivate	inaktyvuoti	0.245	0.240	0.415
inactivation	inaktyvacija	0.198	0.260	0.220
inactive	neaktyvus	0.271	0.167	0.159
inactivity	neveiklumas	0.135	0.143	0.227
inadequacy	nepakankamumas	0.286	0.500	0.297
inadequate	nepakankamas	0.122	0.450	0.223
inadequateness	nepakankamumas	0.240	0.529	0.316
inadmissible	nepriimtinas	0.188	0.636	0.389
inadvertent	netyčia	0.365	0.368	0.286
inadvertently	netyčia	0.302	0.541	0.549
inaffable	NO TRANSLATION	0.388	0.518	0.455
inalienable	neatsiejama	0.437	0.459	0.608
inane	neribotas	0.271	0.350	0.268
inanimate	negyvas	0.281	0.143	0.224
inapplicable	netaikytina	0.281	0.402	0.330
inappropriate	netinkamas	0.135	0.542	0.353
inattention	neatsargumas	0.208	0.433	0.188
inaudible	neskausmingas	0.280	0.398	0.358
inaugural	inauguracja	0.684	0.567	0.608
inaugurate	atidaryti	0.781	0.582	0.800
inauguration	inauguracija	0.847	0.712	0.769
inborn	inkaras	0.590	0.288	0.546
inbound	atvykstamasis	0.531	0.388	0.538
inbred	inbredas	0.397	0.520	0.473
incalculable	neįkainojamas	0.449	0.620	0.679
incandescent	kaitinantis	0.354	0.612	0.621
incantation	užpuolimas	0.439	0.632	0.548
incapable	nesugeba	0.156	0.529	0.155
incapacity	nedarbingumas	0.052	0.500	0.217
incarceration	įkalinimas	0.100	0.800	0.397
incarnate	įsikūnijimas	0.552	0.651	0.593
incase	tuo atveju	0.580	0.196	0.365
incendiary	uždegiminis	0.281	0.810	0.598
incense	smilkalai	0.698	0.275	0.328
incensed	susierzinęs	0.338	0.643	0.392
incentive	paskata	0.812	0.618	0.718
inception	pradžia	0.604	0.425	0.561
incessant	tęstinis	0.438	0.760	0.544
incessantly	nepertraukiamai	0.417	0.765	0.606
incest	incestas	0.073	0.853	0.491
incestuous	infekcinė	0.188	0.736	0.442
inch	colių	0.481	0.327	0.300
incidence	sergamumas	0.417	0.527	0.429
incident	incidentas	0.084	0.662	0.482
incidental	atsitiktinis	0.281	0.610	0.404
incidentally	atsitiktinai	0.479	0.500	0.500
incineration	deginimas	0.229	0.787	0.470
incinerator	deginimo įrenginys	0.250	0.643	0.591
incipient	pradinė	0.442	0.382	0.430
incision	pjūvis	0.240	0.663	0.558
incisive	įžambinis	0.380	0.602	0.545
incite	paskatinti	0.449	0.736	0.642
incitement	kurstymas	0.302	0.943	0.598
inclement	nelygus	0.260	0.676	0.616
inclination	polinkis	0.378	0.490	0.538
incline	nuolydis	0.490	0.423	0.345
inclined	linkęs	0.469	0.347	0.402
include	įtraukti	0.729	0.449	0.702
included	įskaitant	0.760	0.402	0.570
including	įskaitant	0.700	0.378	0.518
inclusion	įtraukimas	0.774	0.404	0.712
inclusive	imtinai	0.604	0.420	0.564
incognito	inkognito	0.610	0.490	0.446
incoherent	nesuderintas	0.122	0.612	0.250
income	pajamos	0.750	0.510	0.728
incoming	gaunamas	0.660	0.509	0.596
incomparable	neprilygstamas	0.625	0.577	0.670
incompatible	nesuderinama	0.196	0.500	0.310
incompetence	nekompetencija	0.077	0.551	0.208
incompetent	nekompetentingas	0.133	0.566	0.239
incomplete	Nebaigtas	0.153	0.370	0.205
incompletely	nepilnai	0.344	0.442	0.232
incompleteness	neišsamumas	0.271	0.451	0.234
incomprehensible	nesuprantama	0.250	0.550	0.344
inconceivable	neįsivaizduojamas	0.198	0.552	0.561
inconclusive	neabejotinas	0.153	0.442	0.340
incongruous	netinkamas	0.177	0.504	0.343
inconsequential	nesvarbus	0.250	0.480	0.345
inconsiderate	nesvarbu	0.224	0.519	0.423
inconsistency	nenuoseklumas	0.125	0.480	0.314
inconsistent	nenuoseklus	0.271	0.431	0.295
inconspicuous	nepastebimas	0.604	0.214	0.368
incontinence	šlapimo nelaikymas	0.150	0.598	0.272
inconvenience	nepatogumus	0.063	0.667	0.291
inconvenient	nepatogu	0.224	0.610	0.375
incorporate	įtraukti	0.745	0.612	0.571
incorporation	įtraukimas	0.573	0.404	0.768
incorrect	neteisingas	0.140	0.569	0.255
incorrigible	netinkamas	0.130	0.667	0.500
increase	padidinti	0.810	0.657	0.886
increased	padidėjo	0.684	0.660	0.773
incredible	neįtikėtinas	0.857	0.796	0.902
incredulous	neatitikus	0.286	0.510	0.269
increment	prieaugis	0.684	0.637	0.750
incriminate	inkriminuojamas	0.188	0.810	0.416
incriminating	inkriminuojantis	0.133	0.788	0.500
incrimination	kaltinimas	0.152	0.865	0.545
incubation	inkubacija	0.461	0.490	0.397
incubator	inkubatorius	0.510	0.435	0.405
incubus	inkubas	0.458	0.529	0.482
incumbent	esamasis atstovas	0.396	0.540	0.565
incur	patirti	0.312	0.667	0.495
incurable	neišgydomas	0.104	0.667	0.255
incursion	įsiveržimas	0.552	0.830	0.719
indebted	įsiskolinimas	0.138	0.698	0.275
indecency	nepadorumas	0.135	0.670	0.491
indecent	nepadorus	0.083	0.683	0.240
indecision	nelygybė	0.184	0.480	0.196
indecisive	neryžtingas	0.271	0.420	0.190
indefensible	nepagrįstas	0.173	0.647	0.484
indefinite	neterminuota	0.448	0.292	0.296
indelible	neištrinama	0.490	0.337	0.591
indemnification	atlyginimas	0.521	0.490	0.770
indemnify	atlyginti žalą	0.449	0.548	0.613
indemnity	kompensacija	0.470	0.607	0.692
indent	įtrauka	0.479	0.346	0.379
indentation	indentas	0.374	0.500	0.349
indenture	indenture	0.434	0.382	0.636
independence	nepriklausomybė	0.896	0.663	0.911
independent	nepriklausomas	0.885	0.440	0.872
indescribable	neapsakomas	0.448	0.529	0.648
indestructible	nesunaikinamas	0.772	0.731	0.853
indeterminate	neapibrėžtas	0.360	0.402	0.322
index	indeksas	0.448	0.268	0.342
indicate	nurodykite	0.594	0.350	0.676
indicating	nurodant	0.745	0.339	0.555
indication	indikacija	0.719	0.432	0.750
indicative	orientacinis	0.510	0.510	0.591
indicator	indikatorius	0.573	0.451	0.670
indice	NO TRANSLATION	0.469	0.377	0.541
indict	kaltinamasis	0.188	0.731	0.458
indictment	kaltinamoji akcija	0.245	0.745	0.577
indie	indie	0.479	0.368	0.430
indifference	abejingumas	0.265	0.417	0.299
indifferent	abejingas	0.396	0.157	0.250
indigenous	vietiniai	0.500	0.509	0.552
indigent	neturtingas	0.156	0.481	0.223
indigestion	Nevirškinimas	0.204	0.610	0.182
indignant	pasipiktinęs	0.260	0.600	0.423
indignation	pasipiktinimas	0.173	0.778	0.431
indignity	nepasitikėjimas	0.167	0.500	0.306
indigo	Indigo	0.514	0.365	0.473
indirect	netiesioginis	0.385	0.402	0.330
indiscreet	nediskreti	0.177	0.587	0.342
indiscretion	neatsargumas	0.265	0.637	0.390
indispensable	būtinas	0.710	0.449	0.802
indisposed	nepasitenkinimas	0.122	0.519	0.206
indistinct	neaiškus	0.255	0.340	0.360
indistinguishable	nesiskiria	0.346	0.458	0.548
individual	individualus	0.627	0.327	0.533
individuality	individualumas	0.612	0.469	0.527
indivisible	nedalomas	0.646	0.398	0.580
indoctrination	indoktrinacija	0.327	0.657	0.698
indolent	indolent	0.177	0.381	0.259
indomitable	nepaklusnus	0.458	0.800	0.830
indoor	patalpose	0.615	0.245	0.347
induce	sukelti	0.257	0.606	0.684
induced	sukeltas	0.397	0.471	0.491
inducement	paskatinimas	0.647	0.765	0.685
induction	indukcija	0.392	0.593	0.627
indulge	mėgautis	0.833	0.716	0.669
indulgence	indulgencija	0.479	0.490	0.517
indulgent	indulgent	0.560	0.481	0.529
industrial	pramoninis	0.469	0.600	0.875
industrialist	pramonininkas	0.562	0.633	0.843
industrious	darbštus	0.720	0.537	0.791
industry	industrija	0.650	0.447	0.836
ineffable	neapsakomas	0.551	0.577	0.585
ineffective	neefektyvus	0.093	0.422	0.094
ineffectual	neefektyvus	0.163	0.412	0.200
inefficiency	neveiksmingumas	0.092	0.466	0.181
inefficient	neefektyvus	0.190	0.460	0.173
inelastic	neelastinis	0.396	0.426	0.385
ineligible	netinkamas	0.143	0.377	0.457
inept	negerai	0.156	0.418	0.209
ineptitude	netinkamumas	0.177	0.471	0.250
inequality	nelygybė	0.122	0.575	0.259
inequitable	neteisinga	0.281	0.519	0.373
inert	inertiška	0.323	0.180	0.319
inertia	inercija	0.344	0.288	0.322
inevitable	neišvengiamas	0.316	0.419	0.623
inexact	netikslus	0.153	0.459	0.170
inexcusable	nepateisinamas	0.271	0.582	0.546
inexhaustible	neišsemiama	0.602	0.541	0.643
inexpensive	nebrangus	0.694	0.414	0.260
inexperience	nepatyrimas	0.208	0.614	0.151
inexperienced	nepatyręs	0.281	0.473	0.231
inexplicable	nepaaiškinamas	0.224	0.635	0.443
inexpressible	neapsakomas	0.198	0.608	0.364
infallibility	klaidingas	0.583	0.663	0.764
infallible	neklystantis	0.776	0.687	0.809
infamous	liūdnai	0.146	0.580	0.472
infamy	skriaudimas	0.177	0.676	0.421
infancy	kūdikystėje	0.750	0.399	0.370
infant	kūdikis	0.802	0.431	0.328
infanticide	kūdikiams	0.167	0.856	0.443
infantile	kūdikiškas	0.604	0.382	0.259
infantry	pėstininkas	0.531	0.684	0.791
infarct	infarktas	0.080	0.846	0.386
infatuated	įsimylėjęs	0.729	0.764	0.417
infatuation	pribloškimas	0.844	0.745	0.530
infeasible	nepriimtina	0.245	0.472	0.236
infect	užkrėsti	0.102	0.777	0.424
infection	infekcija	0.083	0.735	0.407
infectious	infekcinis	0.142	0.760	0.422
infer	išvaduoti	0.449	0.490	0.453
inference	išvada	0.359	0.479	0.398
inferential	nuoseklus	0.426	0.451	0.455
inferior	prastesnė	0.260	0.254	0.106
inferiority	nepilnavertiškumas	0.177	0.430	0.205
infernal	inferny	0.083	0.837	0.571
inferno	inferno	0.051	0.857	0.463
infertile	nevaisinga	0.274	0.458	0.255
infertility	nevaisingumas	0.170	0.664	0.328
infestation	užkrėtimo	0.256	0.776	0.527
infidel	neteisingas	0.177	0.740	0.404
infidelity	netikėjimas	0.062	0.777	0.392
infield	užtvankos	0.510	0.571	0.438
infiltrate	įsiskverbti	0.408	0.745	0.587
infiltration	infiltracija	0.265	0.792	0.536
infinite	begalinis	0.724	0.583	0.735
infinitely	begalinis	0.688	0.643	0.829
infinitesimal	begalinis mažas	0.388	0.472	0.496
infinity	begalybė	0.516	0.459	0.805
