Word	Dutch-nl	Valence	Arousal	Dominance
lubricate	smeren	0.552	0.490	0.470
lubrication	het smeren	0.624	0.646	0.491
lucid	helder	0.771	0.490	0.705
luck	geluk	0.854	0.490	0.717
luckiest	gelukkigste	0.917	0.690	0.852
lucky	Lucky	0.960	0.610	0.793
luckygirl	geluksvogel	0.781	0.712	0.471
lucrative	winstgevend	0.729	0.519	0.798
ludicrous	belachelijk	0.137	0.553	0.274
lug	uitsteeksel	0.344	0.443	0.340
luggage	bagage	0.561	0.226	0.319
lukewarm	lauw	0.573	0.300	0.241
lull	wiegen	0.602	0.130	0.402
lullaby	slaapliedje	0.796	0.156	0.339
lumbar	lumbaal	0.323	0.418	0.342
lumber	timmerhout	0.517	0.184	0.373
lumbering	voortsjokkend	0.354	0.561	0.655
lumberjack	houthakker	0.500	0.660	0.726
luminescent	luminescent	0.796	0.550	0.526
luminous	lichtgevend	0.918	0.392	0.783
lump	brok	0.438	0.337	0.463
lumpy	klonterige	0.271	0.378	0.365
lunacy	krankzinnigheid	0.132	0.847	0.330
lunar	maan-	0.562	0.296	0.427
lunatic	gek	0.125	0.792	0.442
lunch	lunch	0.880	0.410	0.542
lunchbox	lunchbox	0.663	0.346	0.346
luncheon	lunch	0.837	0.240	0.441
lunchtime	lunchtijd	0.896	0.398	0.444
lung	long	0.510	0.292	0.629
lunge	longe	0.354	0.721	0.509
lungs	longen	0.531	0.352	0.555
lurch	slingeren	0.404	0.694	0.363
lure	lokken	0.439	0.565	0.300
lurid	luguber	0.186	0.833	0.536
lurk	op de loer liggen	0.219	0.740	0.655
lurking	loer	0.421	0.781	0.575
luscious	heerlijk	0.885	0.552	0.545
lush	weelderig	0.740	0.783	0.833
lust	lust	0.469	0.944	0.518
luster	glans	0.833	0.566	0.558
lustful	wellustig	0.427	0.896	0.643
lustrous	glanzend	0.771	0.606	0.598
lusty	wellustig	0.469	0.941	0.673
lute	luit	0.459	0.407	0.500
luxuriant	weelderig	0.760	0.745	0.812
luxurious	luxueus	0.947	0.644	0.754
luxury	luxe	0.932	0.673	0.750
lycra	lycra	0.520	0.449	0.328
lye	loog	0.378	0.396	0.443
lying	aan het liegen	0.208	0.704	0.317
lymph	weefselvocht	0.398	0.510	0.390
lymphatic	lymfatische	0.380	0.509	0.472
lymphoma	lymfoom	0.208	0.645	0.330
lynch	lynchen	0.167	0.885	0.482
lynching	lynching	0.135	0.920	0.548
lynx	lynx	0.510	0.590	0.567
lyre	lier	0.719	0.347	0.414
lyric	lyrisch	0.702	0.269	0.464
lyrical	lyrisch	0.708	0.451	0.618
lyrics	songtekst	0.582	0.214	0.333
macadamia	macadamia	0.635	0.330	0.434
macarena	macarena	0.802	0.601	0.368
macaroni	macaroni	0.816	0.410	0.382
mace	foelie	0.450	0.412	0.415
mach	mach	0.541	0.432	0.463
machete	machete	0.260	0.690	0.474
machine	machine	0.510	0.500	0.707
machinery	machinerie	0.458	0.615	0.629
machinist	machinist	0.490	0.598	0.721
macho	macho	0.643	0.690	0.676
mackerel	makreel	0.418	0.423	0.426
macro	macro	0.552	0.469	0.647
mad	boos	0.219	0.873	0.277
madam	mevrouw	0.580	0.308	0.571
madame	mevrouw	0.604	0.500	0.635
madden	gek maken	0.329	0.602	0.457
madder	meekrap	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	mademyday	0.694	0.573	0.537
madhouse	gekkenhuis	0.156	0.736	0.440
madman	gek	0.135	0.880	0.312
madness	krankzinnigheid	0.104	0.804	0.440
maestro	meester	0.823	0.357	0.849
mafia	maffia	0.204	0.867	0.676
magazine	tijdschrift	0.615	0.332	0.377
mage	tovenaar	0.622	0.373	0.453
magenta	magenta	0.635	0.275	0.415
maggot	made	0.235	0.500	0.235
magic	magie	0.868	0.663	0.578
magical	magisch	0.875	0.651	0.595
magician	goochelaar	0.714	0.657	0.551
magistrate	magistraat	0.587	0.541	0.904
magma	magma	0.323	0.623	0.609
magna	magna	0.605	0.490	0.652
magnate	magnaat	0.627	0.708	0.868
magnesium	magnesium	0.542	0.320	0.321
magnet	magneet	0.571	0.318	0.553
magnetic	magnetisch	0.612	0.529	0.673
magnetism	magnetisme	0.630	0.529	0.741
magnetite	magnetiet	0.531	0.490	0.581
magnification	vergroting	0.890	0.615	0.880
magnificence	pracht	0.802	0.810	0.920
magnificent	prachtig	1.000	0.680	0.886
magnifier	vergrootglas	0.469	0.216	0.345
magnify	vergroten	0.729	0.561	0.839
magnifying	vergrootglas	0.594	0.265	0.406
magnitude	omvang	0.608	0.613	0.774
magnolia	magnolia	0.558	0.343	0.379
magpie	ekster	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	mahjong	0.556	0.418	0.440
mahogany	mahonie	0.602	0.225	0.393
maid	hulp in de huishouding	0.406	0.324	0.300
maiden	meisje	0.755	0.396	0.461
mail	mail	0.615	0.231	0.548
mailbox	postbus	0.573	0.222	0.404
mailing	mailing	0.688	0.324	0.375
mailman	postbode	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	hoofd	0.667	0.510	0.811
mainframe	grote computer	0.531	0.490	0.557
mainland	vasteland	0.680	0.407	0.806
mainstay	steunpilaar	0.694	0.400	0.713
mainstream	hoofdstroom	0.653	0.527	0.660
maintain	in stand houden	0.684	0.398	0.647
maintenance	onderhoud	0.592	0.410	0.545
majestic	majestueus	0.948	0.731	0.906
majesty	majesteit	0.823	0.602	0.955
major	groot	0.684	0.538	0.874
majority	meerderheid	0.684	0.560	0.930
make	maken	0.684	0.420	0.480
makeover	makeover	0.771	0.510	0.596
maker	maker	0.698	0.544	0.706
makeshift	noodoplossing	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	bedenken	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	ziekte	0.190	0.686	0.304
malaise	malaise	0.150	0.600	0.161
malaria	malaria-	0.125	0.653	0.304
malarkey	malarkey	0.396	0.500	0.465
male	mannetje	0.612	0.532	0.695
malevolent	kwaadwillig	0.094	0.854	0.613
malfeasance	misdadiger	0.062	0.745	0.325
malformation	misvorming	0.083	0.602	0.357
malfunction	storing	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	kwaadaardig	0.177	0.765	0.607
malign	kwaadaardig	0.140	0.765	0.481
malignancy	kwaadaardigheid	0.149	0.814	0.614
malignant	kwaadaardig	0.143	0.824	0.370
maligned	verguisde	0.102	0.684	0.218
mall	winkelcentrum	0.724	0.663	0.492
malleable	smeedbaar	0.500	0.500	0.391
mallet	houten hamer	0.354	0.390	0.483
malnutrition	ondervoeding	0.024	0.592	0.277
malpractice	wangedrag	0.094	0.559	0.330
malt	mout	0.750	0.373	0.324
mama	mama	0.860	0.413	0.728
mambo	mambo	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	zoogdier	0.618	0.449	0.421
mammoth	mammoet-	0.480	0.471	0.537
mammy	mamma	0.680	0.415	0.436
man	man	0.688	0.427	0.767
manage	beheren	0.560	0.530	0.719
manageable	handelbaar	0.750	0.361	0.655
management	beheer	0.792	0.491	0.806
manager	manager	0.625	0.549	0.897
managerial	leidinggevende	0.604	0.520	0.791
mandamus	mandamus	0.439	0.577	0.556
mandarin	mandarijn-	0.625	0.398	0.491
mandate	mandaat	0.448	0.670	0.779
mandatory	verplicht	0.271	0.667	0.777
mandible	kaak	0.510	0.431	0.500
mandolin	mandoline	0.708	0.433	0.367
mandrel	spil	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	manoeuvreren	0.615	0.663	0.608
maneuvering	manoeuvreren	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	kribbe	0.656	0.276	0.398
mangle	mangel	0.292	0.449	0.355
mango	mango-	0.765	0.327	0.290
mangosteen	mangisboom	0.562	0.500	0.414
mangy	schurftig	0.214	0.698	0.270
manhole	mangat	0.378	0.500	0.516
manhood	mannelijkheid	0.625	0.735	0.858
manhunt	mensenjacht	0.145	0.925	0.657
mania	manie	0.290	0.683	0.382
maniac	maniac	0.120	0.849	0.431
maniacal	waanzinnig	0.200	0.848	0.500
manic	manisch	0.054	0.892	0.368
manicure	manicuur	0.706	0.308	0.284
manicurist	manicure	0.583	0.352	0.341
manifest	manifesteren	0.667	0.647	0.704
manifestation	manifestatie	0.583	0.750	0.655
manifested	gemanifesteerd	0.580	0.618	0.667
manifestly	kennelijk	0.469	0.588	0.577
manifesto	manifesto	0.646	0.519	0.676
manifold	verdeelstuk	0.500	0.461	0.435
manipulate	manipuleren	0.255	0.700	0.772
manipulation	manipulatie	0.188	0.775	0.536
manipulative	manipulatieve	0.177	0.724	0.546
mankind	mensheid	0.823	0.471	0.768
manly	mannelijk	0.698	0.633	0.846
manna	manna	0.698	0.294	0.544
manned	bemand	0.551	0.588	0.484
mannequin	mannequin	0.427	0.302	0.295
manner	manier	0.618	0.250	0.320
mannered	gemanierd	0.469	0.556	0.291
manners	manieren	0.816	0.284	0.517
manor	landhuis	0.646	0.358	0.738
manpower	arbeidskrachten	0.531	0.620	0.543
mansion	herenhuis	0.847	0.490	0.717
mansions	herenhuizen	0.735	0.529	0.777
manslaughter	doodslag	0.090	0.920	0.473
mantel	schoorsteenmantel	0.500	0.265	0.471
mantis	mantis	0.480	0.355	0.421
mantle	mantel	0.510	0.269	0.422
mantra	mantra	0.396	0.249	0.357
manual	met de hand	0.635	0.245	0.449
manufacture	vervaardiging	0.868	0.703	0.780
manufacturer	fabrikant	0.688	0.537	0.830
manufacturing	fabricage	0.653	0.613	0.804
manure	mest	0.250	0.471	0.241
manuscript	manuscript	0.510	0.208	0.540
map	kaart	0.561	0.229	0.463
maple	esdoorn-	0.541	0.390	0.339
mar	bederven	0.622	0.544	0.545
marathon	marathonloop	0.646	0.778	0.740
marble	marmeren	0.604	0.212	0.667
marbled	gemarmerd	0.396	0.385	0.418
marbles	knikkers	0.714	0.345	0.241
march	maart	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	margarine	0.530	0.316	0.333
margarita	margarita	0.750	0.438	0.420
margin	marge	0.500	0.219	0.331
marginal	marginaal	0.235	0.644	0.345
mariachi	mariachi	0.710	0.559	0.609
marijuana	marihuana	0.312	0.779	0.558
marinara	marinara	0.657	0.388	0.435
marine	marinier	0.633	0.471	0.679
mariner	zeeman	0.652	0.491	0.676
marital	echtelijk	0.760	0.529	0.500
maritime	maritiem	0.646	0.490	0.713
mark	Mark	0.491	0.231	0.600
marked	gemarkeerd	0.592	0.358	0.554
marker	markeerstift	0.500	0.333	0.605
market	markt	0.724	0.480	0.521
marketable	verkoopbaar	0.746	0.545	0.664
marketing	afzet	0.521	0.774	0.675
marketplace	marktplaats	0.698	0.420	0.525
marks	merken	0.430	0.480	0.424
marksman	scherpschutter	0.500	0.833	0.692
marksmanship	scherpschutterkunst	0.573	0.531	0.664
marl	mergel	0.372	0.471	0.351
marmalade	marmelade	0.729	0.370	0.288
maroon	kastanjebruin	0.469	0.358	0.336
marooned	gestrand	0.229	0.480	0.160
marquee	grote tent	0.602	0.284	0.508
marquis	markies	0.521	0.444	0.562
marred	ontsierd	0.181	0.561	0.233
marriage	huwelijk	0.844	0.684	0.750
married	getrouwd	0.674	0.570	0.602
marrow	merg	0.398	0.422	0.472
marry	trouwen	0.896	0.765	0.673
marsh	moeras	0.302	0.358	0.277
marshal	maarschalk	0.469	0.610	0.819
marshmallow	heemst	0.740	0.441	0.391
mart	markt	0.531	0.402	0.418
martial	krijgshaftig	0.480	0.710	0.737
martingale	martingaal	0.469	0.510	0.455
martini	martini	0.828	0.500	0.519
martyr	martelaar	0.281	0.708	0.509
martyrdom	marteldood	0.323	0.745	0.442
marvel	wonder	0.961	0.755	0.866
marvellous	wonderbaar	0.878	0.809	0.849
marvelous	wonderbaar	0.948	0.637	0.778
marvelously	verbazend	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	mascara	0.575	0.450	0.269
mascot	mascotte	0.750	0.337	0.337
masculine	mannelijk	0.653	0.540	0.773
masculinity	mannelijkheid	0.583	0.670	0.851
mash	beslag	0.440	0.363	0.283
mashed	gestampt	0.531	0.337	0.194
mask	masker	0.510	0.490	0.537
masked	gemaskerd	0.375	0.549	0.518
masks	maskers	0.510	0.472	0.241
masochism	masochisme	0.194	0.845	0.483
masochist	masochist	0.164	0.784	0.353
mason	metselaar	0.541	0.442	0.580
masquerade	maskerade	0.431	0.633	0.446
mass	massa-	0.458	0.245	0.277
massacre	bloedbad	0.031	0.887	0.640
massage	massage	0.708	0.356	0.413
masses	massa's	0.552	0.453	0.473
masseur	masseur	0.622	0.265	0.463
masseuse	masseuse	0.594	0.373	0.391
massive	massief	0.569	0.660	0.750
mast	mast	0.542	0.390	0.580
master	meester	0.694	0.490	0.849
masterful	meesterlijk	0.854	0.510	0.960
mastermind	brein	0.792	0.625	0.918
masterpiece	meesterwerk	0.926	0.623	0.847
mastery	meesterschap	0.755	0.648	0.873
masturbate	masturberen	0.552	0.926	0.500
masturbation	masturbatie	0.542	0.961	0.509
mat	mat	0.459	0.221	0.304
matador	matador	0.224	0.880	0.667
match	bij elkaar passen	0.599	0.573	0.500
matchbook	matchbook	0.562	0.391	0.412
matching	bij elkaar passen	0.719	0.735	0.418
matchmaker	koppelaarster	0.615	0.509	0.519
mate	stuurman	0.847	0.417	0.669
material	materiaal	0.521	0.363	0.439
materialism	materialisme	0.220	0.390	0.556
materialist	materialist	0.255	0.491	0.504
materialistic	materialistisch	0.420	0.506	0.589
materiality	materialiteit	0.417	0.450	0.636
materialize	materialiseren	0.688	0.596	0.728
materially	wezenlijk	0.490	0.451	0.670
materials	materialen	0.633	0.361	0.473
materiel	materiel	0.531	0.294	0.417
maternal	moederlijk	0.847	0.417	0.634
maternity	moederschap	0.865	0.480	0.622
math	wiskunde	0.417	0.375	0.600
mathematical	wiskundig	0.620	0.500	0.548
mathematician	wiskundige	0.541	0.418	0.773
mathematics	wiskunde	0.438	0.435	0.664
matinee	matinee	0.694	0.578	0.447
mating	paring	0.755	0.840	0.759
matriculation	toelatingsexamen	0.622	0.490	0.675
matrimony	huwelijk	0.850	0.637	0.843
matrix	Matrix	0.551	0.378	0.673
matron	matrone	0.520	0.519	0.555
matted	gemat	0.281	0.519	0.393
matter	er toe doen	0.487	0.353	0.562
matting	matwerk	0.479	0.405	0.423
mattress	matras	0.612	0.255	0.397
maturation	rijping	0.612	0.439	0.698
mature	volwassen	0.625	0.347	0.600
maturity	rijpheid	0.827	0.400	0.806
maudlin	overdreven sentimenteel	0.337	0.417	0.368
mausoleum	mausoleum	0.344	0.281	0.594
mauve	mauve	0.533	0.330	0.314
maverick	non-conformist	0.354	0.676	0.409
maxim	Maxim	0.875	0.562	0.887
maximize	maximaliseren	0.823	0.765	0.792
maximum	maximum	0.724	0.724	0.852
may	mei	0.704	0.273	0.245
mayday	mayday	0.344	0.643	0.423
mayflower	mayflower	0.690	0.463	0.429
mayhem	verminking	0.188	0.870	0.364
mayonnaise	mayonaise	0.510	0.320	0.222
mayor	burgemeester	0.469	0.481	0.818
maze	doolhof	0.438	0.608	0.444
mead	mede	0.667	0.337	0.441
meadow	weide	0.622	0.130	0.382
meager	mager	0.144	0.389	0.281
meal	maaltijd	0.833	0.461	0.473
mean	gemiddelde	0.440	0.467	0.620
meander	slingeren	0.480	0.443	0.454
meandering	meanderende	0.427	0.644	0.539
meanie	gemenerik	0.388	0.420	0.404
meaning	betekenis	0.663	0.395	0.625
meaningful	belangrijk	0.770	0.500	0.802
meaningless	zinloos	0.156	0.314	0.143
meanness	gemeenheid	0.102	0.694	0.368
means	middelen	0.615	0.373	0.460
meantime	ondertussen	0.432	0.222	0.300
measles	mazelen	0.092	0.635	0.422
measurable	meetbaar	0.604	0.410	0.602
measure	maatregel	0.510	0.375	0.365
measured	afgemeten	0.542	0.265	0.578
measurement	meting	0.622	0.418	0.491
measuring	meten	0.448	0.337	0.529
measuring cup	maatbeker	0.557	0.343	0.377
measuring tape	meetlint	0.337	0.280	0.327
meat	vlees	0.612	0.421	0.413
meatball	gehaktbal	0.612	0.279	0.343
meathead	meathead	0.306	0.534	0.490
meatloaf	gehakt	0.625	0.389	0.375
mechanic	monteur	0.571	0.433	0.566
mechanical	mechanisch	0.479	0.569	0.564
mechanics	mechanica	0.542	0.500	0.761
mechanism	mechanisme	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	medaille	0.854	0.555	0.746
medallion	medaillon	0.750	0.510	0.710
medallist	medaillewinnaar	0.796	0.821	0.897
meddle	zich bemoeien	0.302	0.770	0.526
meddling	bemoeizucht	0.245	0.600	0.461
media	media	0.500	0.330	0.464
medial	midden-	0.458	0.340	0.429
median	mediaan-	0.459	0.216	0.375
mediate	bemiddelen	0.635	0.308	0.654
mediation	bemiddeling	0.661	0.350	0.657
mediator	bemiddelaar	0.592	0.438	0.580
medic	medisch	0.500	0.472	0.585
medical	medisch	0.583	0.373	0.616
medicate	NO TRANSLATION	0.417	0.375	0.546
medication	geneesmiddel	0.615	0.439	0.500
medicinal	geneeskrachtig	0.667	0.417	0.614
medicine	geneeskunde	0.708	0.318	0.679
medieval	middeleeuws	0.560	0.408	0.455
mediocre	middelmatig	0.188	0.481	0.149
mediocrity	middelmatigheid	0.073	0.398	0.225
meditate	mediteren	0.812	0.146	0.564
meditating	mediteren	0.718	0.185	0.399
meditation	meditatie	0.786	0.120	0.478
meditative	meditatieve	0.614	0.120	0.454
mediterranean	middellandse Zee	0.663	0.454	0.545
medium	medium	0.559	0.356	0.358
medley	mengeling	0.487	0.352	0.400
meek	zachtmoedig	0.531	0.150	0.198
meet	ontmoeten	0.760	0.510	0.580
meeting	vergadering	0.750	0.569	0.613
mega	mega	0.724	0.538	0.723
meh	meh	0.380	0.286	0.365
melancholic	melancholicus	0.181	0.306	0.277
melancholy	weemoed	0.188	0.260	0.237
melee	melee	0.541	0.704	0.611
mellow	zacht	0.633	0.069	0.265
melodious	melodieus	0.932	0.530	0.587
melodrama	melodrama	0.378	0.830	0.446
melodramatic	melodramatisch	0.235	0.692	0.368
melody	melodie	0.847	0.434	0.405
melon	meloen	0.461	0.231	0.271
melt	smelten	0.448	0.615	0.312
meltdown	kernsmelting	0.629	0.657	0.602
melting	smeltend	0.592	0.470	0.538
member	lid	0.698	0.333	0.555
membership	lidmaatschap	0.698	0.411	0.778
membrane	membraan	0.406	0.430	0.418
memento	aandenken	0.708	0.360	0.536
memo	memo	0.625	0.235	0.407
memoir	gedenkschrift	0.750	0.242	0.553
memorabilia	memorabilia	0.780	0.412	0.491
memorable	gedenkwaardig	0.939	0.510	0.769
memorandum	memorandum	0.600	0.500	0.639
memorial	gedenkteken	0.602	0.304	0.600
memorials	gedenktekens	0.771	0.333	0.679
memories	herinneringen	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	memoriseren	0.520	0.451	0.716
memory	geheugen	0.792	0.378	0.573
menace	bedreiging	0.125	0.894	0.759
menacing	dreigend	0.042	0.880	0.643
menagerie	menagerie	0.573	0.480	0.538
mend	beteren	0.542	0.436	0.602
mending	verstelwerk	0.500	0.633	0.657
menial	huurling	0.490	0.420	0.352
meningitis	hersenvliesontsteking	0.104	0.612	0.407
meniscus	meniscus	0.323	0.330	0.453
menopause	menopauze	0.204	0.460	0.306
menses	menstruatie	0.163	0.686	0.331
menstrual	menstruatie-	0.408	0.519	0.435
mental	geestelijk	0.490	0.490	0.585
mentalhealth	NO TRANSLATION	0.562	0.541	0.670
mentality	mentaliteit	0.711	0.415	0.726
menthol	mentol	0.490	0.292	0.433
mention	noemen	0.562	0.365	0.562
mentor	mentor	0.719	0.455	0.777
menu	menu	0.633	0.333	0.385
meow	mauw	0.510	0.510	0.412
mercantile	handels-	0.480	0.490	0.713
mercenary	huurling	0.245	0.837	0.673
merchandise	handelswaar	0.594	0.460	0.621
merchant	handelaar	0.675	0.500	0.620
merciful	barmhartig	0.854	0.346	0.500
merciless	meedogenloos	0.062	0.880	0.634
mercurial	kwikmiddel	0.490	0.546	0.518
mercury	kwik	0.337	0.312	0.475
mercy	genade	0.719	0.229	0.500
mere	louter	0.396	0.221	0.176
merengue	merengue	0.688	0.519	0.442
merge	samensmelten	0.760	0.480	0.733
merger	fusie	0.592	0.490	0.642
meridian	meridiaan	0.510	0.324	0.558
meridional	zuidelijk	0.365	0.290	0.600
meringue	schuimgebakje	0.625	0.580	0.411
merit	verdienste	0.854	0.500	0.722
meritorious	verdienstelijk	0.781	0.618	0.855
mermaid	meermin	0.765	0.623	0.452
merriment	vreugde	0.948	0.721	0.632
merry	vrolijk	0.979	0.731	0.764
merrychristmas	NO TRANSLATION	0.888	0.510	0.536
mesa	mesa	0.604	0.191	0.319
mescaline	mescaline	0.490	0.580	0.415
mesh	maas	0.429	0.235	0.371
meshes	mazen	0.440	0.363	0.362
mesmerized	gebiologeerd	0.520	0.552	0.421
mess	knoeien	0.143	0.843	0.273
message	bericht	0.650	0.391	0.415
messedup	NO TRANSLATION	0.333	0.615	0.358
messenger	boodschapper	0.694	0.434	0.500
messiah	Messias	0.781	0.634	0.800
messy	rommelig	0.260	0.635	0.140
metabolic	stofwisselings-	0.408	0.531	0.559
metabolism	metabolisme	0.698	0.509	0.555
metal	metaal	0.551	0.429	0.547
metallic	metalen	0.615	0.330	0.607
metallurgy	metallurgie	0.396	0.509	0.587
metamorphosis	metamorfose	0.541	0.571	0.613
metaphor	metafoor	0.562	0.280	0.470
metaphorical	figuurlijk	0.500	0.412	0.480
metaphysical	metafysisch	0.630	0.573	0.686
metaphysics	metafysica	0.561	0.396	0.588
metastasis	metastasis	0.177	0.646	0.452
meteor	meteoor	0.398	0.714	0.737
meteoric	bliksemsnel	0.590	0.802	0.684
meteorite	meteoriet	0.385	0.794	0.750
meteorological	meteorologisch	0.635	0.557	0.556
meteorology	meteorologie	0.630	0.418	0.689
meter	meter	0.438	0.300	0.463
meth	meth	0.354	0.564	0.340
methadone	methadon	0.240	0.540	0.453
methane	methaan	0.290	0.460	0.569
methanol	methanol	0.292	0.500	0.570
method	methode	0.640	0.275	0.698
methodical	methodisch	0.663	0.360	0.745
methodology	methodologie	0.664	0.327	0.745
meticulous	nauwkeurig	0.555	0.480	0.555
metime	tijd voor mezelf	0.531	0.398	0.417
metric	metriek	0.519	0.248	0.573
metrical	metrisch	0.521	0.375	0.482
metrology	metrologie	0.531	0.432	0.439
metropolis	metropolis	0.656	0.625	0.779
metropolitan	metropolitaans	0.387	0.408	0.723
mettle	moed	0.667	0.529	0.750
mew	miauwen	0.418	0.481	0.380
mezzanine	tussenverdieping	0.479	0.427	0.404
mica	mica-	0.531	0.250	0.314
mick	mick	0.449	0.451	0.382
micro	micro	0.500	0.270	0.250
microbe	microbe	0.255	0.450	0.340
microbiology	microbiologie	0.571	0.378	0.560
microchip	microchip	0.551	0.358	0.432
microcosm	microkosmos	0.500	0.500	0.520
microfilm	microfilm	0.469	0.352	0.412
microgram	microgram	0.448	0.286	0.355
micrometer	micrometer	0.573	0.358	0.394
micron	micron	0.375	0.291	0.315
microphone	microfoon	0.551	0.431	0.462
microscope	microscoop	0.531	0.330	0.464
microscopic	microscopisch	0.360	0.327	0.433
microscopically	microscopisch	0.623	0.370	0.412
microscopy	microscopie	0.500	0.339	0.455
microwave	magnetronoven	0.542	0.497	0.443
mid	midden	0.500	0.315	0.356
midair	midair	0.633	0.413	0.455
midday	middag	0.658	0.250	0.403
middle	midden-	0.458	0.157	0.300
middleman	tussenpersoon	0.500	0.404	0.452
middleweight	middengewicht	0.510	0.302	0.428
midget	miniatuur	0.396	0.295	0.254
midland	binnenland	0.521	0.402	0.456
midlife	midlife	0.594	0.244	0.473
midline	middenlijn	0.332	0.224	0.330
midnight	middernacht	0.562	0.470	0.545
midshipman	adelborst	0.469	0.615	0.785
midst	midden	0.324	0.275	0.296
midsummer	midzomer	0.781	0.480	0.492
midterm	midterm	0.427	0.337	0.425
midtown	midtown	0.479	0.442	0.538
midway	halverwege	0.459	0.316	0.304
midwife	verloskundige	0.531	0.570	0.453
midwifery	verloskunde	0.510	0.570	0.459
mien	NO TRANSLATION	0.500	0.352	0.447
miffed	miffed	0.204	0.726	0.429
mighty	machtig	0.855	0.837	0.936
mignon	mignon	0.551	0.440	0.423
migraine	migraine	0.135	0.783	0.318
migrate	trekken	0.415	0.580	0.454
migration	migratie	0.492	0.731	0.566
migratory	migrerend	0.448	0.521	0.491
mike	Mike	0.542	0.365	0.423
mil	NO TRANSLATION	0.534	0.388	0.347
mild	mild	0.635	0.198	0.216
mildew	meeldauw	0.344	0.250	0.241
mildness	mildheid	0.827	0.226	0.311
mile	mijl	0.521	0.417	0.456
mileage	kilometerstand	0.510	0.458	0.562
milestone	mijlpaal	0.719	0.373	0.558
militant	strijdbaar	0.418	0.667	0.750
militants	militanten	0.260	0.673	0.652
military	leger	0.396	0.710	0.875
militia	militie	0.396	0.729	0.769
milk	melk	0.817	0.270	0.327
milkman	melkboer	0.750	0.380	0.304
milkshake	milkshake	0.796	0.521	0.330
milky	melkachtig	0.517	0.283	0.311
mill	molen	0.531	0.382	0.347
millennium	millennium	0.573	0.398	0.760
milligram	milligram	0.429	0.217	0.302
millimeter	millimeter	0.427	0.177	0.360
million	miljoen	0.776	0.647	0.812
millionaire	miljonair	0.917	0.755	0.850
millionth	miljoenste	0.635	0.528	0.611
millstone	molensteen	0.510	0.433	0.492
mime	nabootsen	0.455	0.235	0.302
mimic	nabootsen	0.557	0.587	0.391
mimicking	nabootsen	0.316	0.433	0.364
mimicry	mimicry	0.420	0.337	0.472
mince	fijnhakken	0.417	0.529	0.378
mincemeat	pasteivulling	0.396	0.435	0.358
mind	geest	0.650	0.388	0.627
minded	gezind	0.656	0.394	0.627
mindful	indachtig	0.765	0.450	0.725
mindfulness	mindfulness	0.729	0.635	0.745
mindless	dwaas	0.184	0.333	0.153
mine	de mijne	0.688	0.418	0.578
minefield	mijnenveld	0.188	0.839	0.684
miner	mijnwerker	0.408	0.594	0.644
mineral	mineraal	0.519	0.287	0.605
mineralogy	mineralogie	0.551	0.408	0.545
mingle	mengen	0.561	0.480	0.434
mingled	vermengd	0.521	0.392	0.357
mini	mini	0.421	0.324	0.221
miniature	miniatuur	0.429	0.292	0.204
minibus	minibus	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	minimaal	0.448	0.147	0.206
minimize	verkleinen	0.360	0.236	0.311
minimized	geminimaliseerd	0.458	0.137	0.208
minimum	minimum	0.380	0.198	0.194
mining	mijnbouw	0.633	0.598	0.554
minion	gunsteling	0.490	0.430	0.167
minister	minister	0.547	0.441	0.892
ministerial	ministerieel	0.571	0.519	0.660
ministry	ministerie	0.510	0.346	0.717
minivan	busje	0.592	0.356	0.452
mink	nerts	0.560	0.515	0.430
minnow	voorn	0.541	0.367	0.364
minor	mineur	0.250	0.235	0.175
minority	minderheid	0.310	0.332	0.211
minstrel	minstreel	0.458	0.541	0.397
mint	munt	0.688	0.221	0.345
minty	minty	0.635	0.292	0.361
minuscule	gering	0.396	0.286	0.214
minute	minuut	0.582	0.279	0.356
minutiae	kleinigheden	0.323	0.257	0.316
minx	brutale meid	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	wonder	0.917	0.607	0.806
miracles	wonderen	0.922	0.735	0.692
miraculous	wonderbaarlijk	0.875	0.706	0.812
mirage	luchtspiegeling	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
