Word	Lao-lo	Valence	Arousal	Dominance
holding	ຖື	0.600	0.385	0.670
holdup	holdup	0.398	0.471	0.398
hole	ຂຸມ	0.531	0.310	0.330
holiday	ວັນພັກຜ່ອນ	0.948	0.431	0.593
holidays	ວັນຢຸດ	0.939	0.521	0.512
holidayseason	NO TRANSLATION	0.875	0.566	0.518
holiness	ຄວາມສັກສິດ	0.860	0.264	0.742
holistic	holistic	0.670	0.348	0.547
holler	ອຸກໃຈ	0.276	0.825	0.406
hollow	ຮູ	0.300	0.337	0.222
holly	holly	0.510	0.250	0.443
holocaust	holocaust	0.062	0.918	0.618
hologram	hologram	0.615	0.461	0.575
holographic	holographic	0.510	0.471	0.555
holster	holster	0.561	0.255	0.339
holy	ສັກສິດ	0.812	0.112	0.690
holyspirit	NO TRANSLATION	0.740	0.480	0.526
homage	ຊົມເຊີຍ	0.833	0.560	0.737
hombre	NO TRANSLATION	0.656	0.472	0.696
hombres	NO TRANSLATION	0.510	0.538	0.652
home	ເຮືອນ	0.854	0.270	0.545
homeboy	homeboy	0.602	0.255	0.436
homecoming	homecoming	0.760	0.413	0.472
homeland	ບ້ານເກີດເມືອງນອນ	0.663	0.439	0.868
homeless	ບໍ່ມີທີ່ຢູ່ອາໄສ	0.042	0.450	0.188
homely	ຫນ້າທໍາອິດ	0.745	0.157	0.399
homemade	homemade	0.869	0.340	0.398
homeopathic	homeopathic	0.417	0.268	0.400
homeopathy	homeopathy	0.469	0.284	0.439
homeowner	ເຈົ້າຂອງເຮືອນ	0.635	0.397	0.962
homeroom	homeroom	0.604	0.480	0.491
homesick	ບ້ານເຮືອນ	0.436	0.304	0.347
homestead	homestead	0.865	0.221	0.536
homesweethome	ບ້ານ​ແສນ​ສຸກ	0.796	0.380	0.538
hometown	ບ້ານເກີດເມືອງນອນ	0.858	0.333	0.605
homeward	ໄປເຮືອນ	0.833	0.275	0.435
homework	ວຽກ​ບ້ານ	0.396	0.412	0.459
homey	ບ້ານເຮືອນ	0.769	0.278	0.500
homicidal	homicidal	0.020	0.912	0.573
homicide	homicide	0.010	0.973	0.518
homily	homily	0.621	0.358	0.425
homing	homing	0.551	0.460	0.527
hominy	hominy	0.479	0.382	0.429
homo	homo	0.531	0.368	0.415
homogeneity	homogeneity	0.715	0.365	0.582
homogeneous	homogeneous	0.552	0.255	0.617
homologous	homologous	0.471	0.353	0.536
homologue	homologue	0.542	0.356	0.509
homology	homology	0.571	0.494	0.527
homophobic	homophobic	0.130	0.736	0.464
homosexual	homosexual	0.333	0.780	0.431
homosexuality	homosexuality	0.367	0.696	0.429
honcho	honcho	0.469	0.464	0.397
hone	hone	0.688	0.392	0.473
honest	ຊື່ສັດ	0.927	0.254	0.750
honesty	ຄວາມຊື່ສັດ	0.938	0.411	0.728
honey	honey	0.920	0.431	0.510
honeycomb	honeycomb	0.541	0.417	0.412
honeymoon	honeymoon	0.979	0.678	0.526
honeysuckle	honeysuckle	0.597	0.451	0.517
honk	honk	0.549	0.635	0.415
honky	honky	0.458	0.632	0.425
honor	ກຽດສັກສີ	0.896	0.587	0.857
honorable	ກຽດສັກສີ	0.963	0.412	0.830
honorarium	honorarium	0.796	0.510	0.746
honorary	ກຽດສັກສີ	0.885	0.565	0.811
honored	ເກີຍລດ	0.938	0.447	0.732
hooch	hooch	0.429	0.538	0.373
hood	hood	0.357	0.459	0.306
hooded	ຫົວຫູ	0.306	0.745	0.439
hoodlum	hoodlum	0.354	0.720	0.432
hoof	hoof	0.427	0.341	0.365
hook	hook	0.418	0.444	0.395
hooked	hooked	0.610	0.661	0.454
hooker	hooker	0.214	0.889	0.373
hookup	hookup	0.625	0.529	0.683
hooky	hooky	0.468	0.500	0.452
hooligan	hooligan	0.295	0.712	0.455
hoop	hoop	0.635	0.204	0.315
hoopla	hoopla	0.542	0.471	0.353
hooray	hooray	0.610	0.481	0.536
hoot	hoot	0.449	0.560	0.430
hooter	hooter	0.470	0.615	0.455
hop	hop	0.450	0.520	0.427
hope	ຫວັງວ່າ	0.927	0.317	0.739
hopeful	ຫວັງວ່າ	0.947	0.357	0.627
hopeless	hopeless	0.094	0.298	0.112
hopelessness	ຄວາມສິ້ນຫວັງ	0.052	0.402	0.223
hopes	ຫວັງວ່າ	0.917	0.500	0.702
hoping	ຫວັງວ່າ	0.684	0.469	0.454
hopper	hopper	0.396	0.491	0.442
horde	horde	0.286	0.713	0.684
horizon	horizon	0.729	0.284	0.590
horizontal	ທາງນອນ	0.573	0.304	0.387
horizontally	ຕາມແນວນອນ	0.500	0.356	0.439
hormonal	hormonal	0.500	0.620	0.551
hormone	ຮໍໂມນ	0.490	0.750	0.621
horn	ຮອນ	0.385	0.510	0.366
horned	ໂກງ	0.316	0.610	0.375
hornet	hornet	0.398	0.594	0.500
horny	horny	0.490	0.908	0.560
horoscope	horoscope	0.500	0.360	0.490
horrendous	horrendous	0.073	0.755	0.365
horrible	horrible	0.071	0.857	0.398
horribly	horribly	0.050	0.631	0.454
horrid	horrid	0.052	0.765	0.419
horrific	horrific	0.094	0.846	0.481
horrified	ຢ້ານກົວ	0.040	0.885	0.368
horrifying	horrifying	0.010	0.760	0.352
horror	horror	0.115	0.850	0.438
horrors	horrors	0.061	0.852	0.409
horse	ມ້າ	0.635	0.510	0.529
horseback	ມ້າ	0.688	0.588	0.566
horseman	horseman	0.441	0.700	0.676
horsepower	ແຮງດັນໄຟຟ້າ	0.594	0.735	0.735
horseradish	horseradish	0.321	0.584	0.476
horseshit	horseshit	0.153	0.582	0.179
horseshoe	horseshoe	0.673	0.350	0.406
horsey	ມ້າ	0.602	0.454	0.462
horticultural	ພືດສວນ	0.594	0.387	0.509
horticulture	ການປູກພືດສວນ	0.700	0.420	0.434
hosannah	NO TRANSLATION	0.679	0.373	0.500
hose	ທໍ່	0.469	0.288	0.263
hosiery	hosiery	0.520	0.344	0.373
hospice	hospice	0.337	0.443	0.535
hospitable	ອົບອຸ່ນ	0.791	0.470	0.661
hospital	ໂຮງຫມໍ	0.323	0.537	0.598
hospitality	ການຕ້ອນຮັບ	0.865	0.333	0.725
host	host	0.693	0.471	0.537
hostage	hostage	0.163	0.923	0.325
hostel	hostel	0.479	0.500	0.398
hostess	hostess	0.792	0.604	0.688
hostile	hostile	0.188	0.877	0.474
hostilities	hostilities	0.276	0.810	0.444
hostility	hostility	0.122	0.775	0.465
hot	ຮ້ອນ	0.490	0.740	0.573
hot sauce	ຮ້ອນຮ້ອນ	0.333	0.740	0.509
hotbed	hotbed	0.510	0.285	0.395
hotdog	ໄສ້​ກອກ	0.720	0.438	0.373
hotel	ໂຮງແຮມ	0.740	0.370	0.407
hothead	hothead	0.240	0.849	0.518
hotline	ສາຍດ່ວນ	0.592	0.565	0.663
hotshot	hotshot	0.500	0.727	0.615
hotyoga	NO TRANSLATION	0.683	0.609	0.446
hound	Hound	0.417	0.528	0.582
hour	ຊົ່ວໂມງ	0.552	0.265	0.336
hourglass	ເວລາຫວ່າງ	0.542	0.284	0.492
hourly	ທຸກໆຊົ່ວໂມງ	0.469	0.418	0.491
house	ເຮືອນ	0.587	0.135	0.533
houseboat	houseboat	0.604	0.389	0.429
houseboy	houseboy	0.479	0.415	0.393
housebroken	housebroken	0.518	0.461	0.389
houseguest	houseguest	0.530	0.500	0.481
household	ຄົວເຮືອນ	0.781	0.230	0.667
householder	ເຈົ້າບ້ານ	0.816	0.541	0.833
housekeeper	housekeeper	0.694	0.279	0.520
housekeeping	housekeeping	0.604	0.500	0.445
housewarming	housewarming	0.857	0.710	0.727
housewife	housewife	0.656	0.361	0.449
housework	ບ້ານເຮືອນ	0.484	0.413	0.342
housing	ທີ່ຢູ່ອາໃສ	0.776	0.304	0.591
hovel	hovel	0.333	0.296	0.322
hover	hover	0.510	0.431	0.404
hovercraft	hovercraft	0.541	0.654	0.588
howl	howl	0.357	0.646	0.407
howsoever	ຢ່າງໃດກໍຕາມ	0.459	0.309	0.345
hoy	NO TRANSLATION	0.583	0.298	0.471
hub	hub	0.479	0.399	0.433
hubby	hubby	0.548	0.435	0.430
huckleberry	huckleberry	0.600	0.279	0.296
huddle	huddle	0.604	0.509	0.445
hue	hue	0.507	0.416	0.417
huff	huff	0.388	0.491	0.315
huffy	huffy	0.420	0.616	0.375
hug	ອົກ	0.908	0.427	0.548
huge	huge	0.573	0.625	0.783
hugger	hugger	0.520	0.480	0.412
huggy	huggy	0.854	0.429	0.451
hugs	ກອດ	0.980	0.422	0.600
hulk	hulk	0.460	0.740	0.750
hull	hull	0.542	0.265	0.353
hum	hum	0.490	0.296	0.276
human	ມະນຸດ	0.767	0.314	0.605
humane	ມະນຸດ	0.800	0.370	0.580
humanitarian	ມະນຸດສະທໍາ	0.786	0.317	0.709
humanities	ມະນຸດ	0.729	0.325	0.677
humanity	ມະນຸດ	0.750	0.360	0.727
humankind	humankind	0.885	0.394	0.714
humanoid	humanoid	0.521	0.462	0.491
humanrights	NO TRANSLATION	0.792	0.559	0.730
humble	ຖ່ອມຕົວ	0.867	0.236	0.483
humbled	humbled	0.280	0.618	0.198
humbly	ດ້ວຍຄວາມຖ່ອມຕົນ	0.771	0.194	0.370
humbug	humbug	0.219	0.622	0.456
humdrum	humdrum	0.269	0.246	0.353
humid	ຊຸ່ມຊື້ນ	0.375	0.324	0.366
humidity	ຄວາມຊຸ່ມຊື້ນ	0.464	0.373	0.367
humiliate	humiliate	0.052	0.714	0.275
humiliated	ຖືກອັບອາຍ	0.104	0.712	0.216
humiliating	humiliating	0.062	0.716	0.279
humiliation	ຄວາມອັບອາຍ	0.048	0.712	0.310
humility	ຄວາມອົດທົນ	0.740	0.118	0.444
hummer	hummer	0.510	0.622	0.589
hummingbird	hummingbird	0.750	0.370	0.273
humongous	humongous	0.378	0.538	0.536
humor	humor	0.890	0.633	0.462
humored	ມີຄວາມສຸກ	0.854	0.657	0.545
humorist	humorist	0.958	0.790	0.607
humorous	ອາລົມຂັນ	0.906	0.616	0.665
hump	hump	0.296	0.462	0.250
humpback	humpback	0.235	0.346	0.247
hunch	hunch	0.561	0.630	0.567
hunchback	hunchback	0.208	0.390	0.259
hundred	hundred	0.604	0.370	0.406
hundredth	hundredth	0.427	0.368	0.466
hunger	ຄວາມອຶດຫິວ	0.083	0.554	0.328
hungry	ຫິວ	0.083	0.690	0.254
hunk	hunk	0.438	0.375	0.361
hunks	hunks	0.417	0.453	0.482
hunky	hunky	0.469	0.571	0.438
hunt	ລ່າສັດ	0.327	0.806	0.588
hunter	ລ່າ	0.292	0.817	0.817
hunting	ການລ່າສັດ	0.448	0.713	0.714
huntress	ລ່າສັດ	0.357	0.717	0.765
hurdle	hurdle	0.198	0.682	0.434
hurl	hurl	0.316	0.745	0.574
hurrah	hurray	0.802	0.740	0.500
hurricane	hurricane	0.177	0.958	0.787
hurricanes	hurricanes	0.286	0.898	0.784
hurried	hurried	0.314	0.806	0.393
hurry	hurry	0.422	0.735	0.481
hurryup	NO TRANSLATION	0.473	0.791	0.555
hurt	ເຈັບປວດ	0.062	0.773	0.291
hurtful	hurtful	0.104	0.680	0.463
hurting	ເຈັບປວດ	0.153	0.778	0.221
husband	ຜົວ	0.771	0.500	0.655
husbandry	ການລ້ຽງສັດ	0.643	0.473	0.445
hush	ຂັດຂວາງ	0.471	0.231	0.312
hushed	ອືມ	0.292	0.194	0.272
husk	NO TRANSLATION	0.378	0.173	0.147
husky	husky	0.630	0.450	0.490
hussy	hussy	0.219	0.594	0.384
hustle	hustle	0.406	0.661	0.427
hustler	hustler	0.260	0.821	0.627
hut	hut	0.633	0.270	0.375
hutch	hutch	0.385	0.453	0.520
hyacinth	hyacinth	0.372	0.360	0.342
hybrid	hybrid	0.500	0.365	0.570
hydra	hydra	0.406	0.598	0.534
hydrant	ນ້ໍາ	0.570	0.413	0.367
hydrate	hydrate	0.610	0.367	0.547
hydraulic	ໄຮດໍລິກ	0.522	0.398	0.596
hydraulics	ໄຮດໍລິກ	0.500	0.530	0.588
hydrocephalus	hydrocephalus	0.286	0.629	0.393
hydrodynamics	hydrodynamics	0.552	0.582	0.664
hydrogen	ໄຮໂດເຈນ	0.469	0.303	0.554
hydrographic	hydrographic	0.490	0.396	0.642
hydrology	hydrology	0.500	0.380	0.509
hydrophobia	hydrophobia	0.323	0.784	0.351
hydroponics	hydroponics	0.500	0.549	0.500
hyena	hyena	0.396	0.719	0.464
hygiene	ສຸຂະພາບ	0.781	0.287	0.537
hygienic	ສຸຂະພາບ	0.719	0.245	0.702
hygienist	ຜູ້ເຮັດສຸຂະພາບ	0.698	0.389	0.682
hymen	hymen	0.469	0.651	0.457
hymn	ເພງສວດ	0.735	0.292	0.634
hype	hype	0.510	0.500	0.586
hyped	hyped	0.708	0.582	0.679
hyper	hyper	0.542	0.616	0.640
hyperactive	hyperactive	0.500	0.921	0.660
hyperbole	hyperbole	0.469	0.521	0.542
hyperspace	hyperspace	0.510	0.623	0.755
hypertension	hypertension	0.133	0.784	0.427
hypertrophy	hypertrophy	0.312	0.625	0.413
hyperventilate	hyperventilate	0.347	0.729	0.556
hyperventilating	hyperventilating	0.164	0.802	0.625
hyphen	ເສັ້ນກົງ	0.552	0.356	0.381
hypnosis	hypnosis	0.417	0.410	0.546
hypnotic	hypnotic	0.571	0.560	0.569
hypnotist	hypnotist	0.490	0.455	0.627
hypnotize	hypnotize	0.469	0.507	0.508
hypnotized	hypnotized	0.449	0.434	0.380
hypochondriac	hypochondriac	0.194	0.588	0.333
hypocrisy	ຄວາມຫນ້າຊື່ໃຈຄົດ	0.156	0.523	0.370
hypocrite	ຫນ້າຊື່ໃຈຄົດ	0.082	0.673	0.306
hypocritical	hypocritical	0.048	0.740	0.415
hypodermic	hypodermic	0.240	0.441	0.445
hypothalamus	hypothalamus	0.593	0.427	0.539
hypothermia	hypothermia	0.184	0.620	0.301
hypothesis	hypothesis	0.552	0.370	0.509
hypothetical	hypothetical	0.480	0.367	0.361
hysterectomy	hysterectomy	0.178	0.660	0.470
hysteria	hysteria	0.224	0.906	0.482
hysterical	hysterical	0.290	0.942	0.398
ibuprofen	ibuprofen	0.448	0.427	0.504
ice	ກ້ອນ	0.440	0.265	0.219
ice tea	ກ້ອນຫີນ	0.771	0.337	0.336
iceberg	iceberg	0.344	0.540	0.648
icebox	icebox	0.560	0.222	0.370
icebreaker	icebreaker	0.571	0.545	0.848
iced	iced	0.564	0.482	0.339
icing	icing	0.688	0.452	0.411
icky	icky	0.357	0.510	0.342
icon	icon	0.549	0.349	0.415
iconic	iconic	0.583	0.537	0.700
iconography	iconography	0.602	0.382	0.653
icy	icy	0.684	0.375	0.345
id	id	0.449	0.344	0.391
idea	ຄວາມຄິດເຫັນ	0.750	0.538	0.704
ideal	ເຫມາະສົມ	0.802	0.437	0.736
idealism	idealism	0.635	0.436	0.689
idealist	idealist	0.816	0.510	0.802
idealistic	idealistic	0.812	0.469	0.755
identical	ດຽວກັນ	0.635	0.380	0.527
identically	ດຽວກັນ	0.667	0.427	0.487
identification	identification	0.714	0.451	0.692
identify	identify	0.635	0.480	0.667
identity	identity	0.663	0.360	0.780
ideology	ideology	0.573	0.344	0.692
idiocy	idiocy	0.112	0.635	0.137
idiom	idiom	0.520	0.337	0.445
idiomatic	idiomatic	0.531	0.429	0.516
idiot	idiot	0.086	0.567	0.113
idiotic	idiotic	0.104	0.620	0.170
idiots	idiots	0.143	0.600	0.144
idle	ບໍ່ເຮັດວຽກ	0.179	0.167	0.112
idleness	idleness	0.308	0.330	0.228
idler	idler	0.200	0.304	0.194
idol	idol	0.684	0.805	0.853
idolatry	idolatry	0.365	0.571	0.625
idolizing	idolizing	0.676	0.712	0.643
idyllic	idyllic	0.571	0.394	0.593
iffy	iffy	0.380	0.442	0.333
ifonly	ifonly	0.406	0.250	0.255
igloo	igloo	0.569	0.302	0.345
igneous	igneous	0.469	0.466	0.517
ignite	ໄຟໄຫມ້	0.458	0.785	0.675
ignition	ໄຟໄຫມ້	0.365	0.720	0.657
ignorance	ignorance	0.153	0.417	0.209
ignorant	ignorant	0.102	0.461	0.223
ignore	ບໍ່ສົນໃຈ	0.146	0.230	0.295
iguana	iguana	0.521	0.235	0.291
ihatespiders	NO TRANSLATION	0.245	0.611	0.420
ilk	NO TRANSLATION	0.438	0.451	0.455
ill	ill	0.073	0.410	0.200
illegal	ຜິດກົດຫມາຍ	0.061	0.787	0.337
illegality	ຜິດກົດຫມາຍ	0.094	0.635	0.427
illegally	ຜິດກົດຫມາຍ	0.133	0.788	0.402
illegible	ບໍ່ເຂົ້າໃຈ	0.296	0.490	0.315
illegitimate	illegitimate	0.184	0.644	0.302
illicit	ຜິດກົດຫມາຍ	0.188	0.794	0.390
illiterate	ບໍ່ຮູ້ຫນັງສື	0.120	0.410	0.151
illness	ເຈັບປ່ວຍ	0.098	0.717	0.211
illogical	illogical	0.208	0.630	0.251
illuminate	ສະຫວ່າງແຈ້ງ	0.905	0.646	0.782
illuminating	ການສະຫວ່າງແຈ້ງ	0.949	0.613	0.773
illumination	illumination	0.760	0.588	0.537
illuminator	illuminator	0.770	0.566	0.718
illusion	illusion	0.562	0.490	0.387
illustrate	ສະແດງໃຫ້ເຫັນ	0.750	0.430	0.690
illustration	ຕົວຢ່າງ	0.740	0.441	0.640
illustrative	illustrative	0.771	0.452	0.647
illustrious	illustrious	0.673	0.550	0.741
ilovechristmas	NO TRANSLATION	0.885	0.590	0.525
iloveher	NO TRANSLATION	0.750	0.519	0.556
image	ຮູບພາບ	0.653	0.241	0.453
imagery	imagery	0.653	0.327	0.390
imaginable	imaginable	0.613	0.529	0.596
imaginary	ຈິນຕະນາການ	0.560	0.424	0.310
imagination	ຈິນຕະນາການ	0.802	0.491	0.547
imaginative	ຈິນຕະນາການ	0.780	0.541	0.593
imagine	ຈິນຕະນາການ	0.759	0.480	0.587
imagined	imagined	0.656	0.412	0.418
imaging	imaging	0.724	0.394	0.482
imagining	imagining	0.765	0.458	0.545
imam	NO TRANSLATION	0.527	0.337	0.539
imbalance	ຄວາມບໍ່ສົມດຸນ	0.115	0.538	0.264
imbecile	imbecile	0.082	0.569	0.260
imbedded	imbedded	0.406	0.580	0.562
imissyou	NO TRANSLATION	0.480	0.608	0.344
imitate	imitate	0.469	0.561	0.336
imitated	imitated	0.333	0.391	0.442
imitation	imitation	0.406	0.592	0.343
immaculate	immaculate	0.698	0.330	0.688
immaterial	immaterial	0.296	0.309	0.295
immature	immature	0.114	0.500	0.200
immaturity	immaturity	0.146	0.567	0.221
immeasurable	immeasurable	0.510	0.539	0.712
immeasurably	immeasurably	0.510	0.640	0.680
immediacy	immediacy	0.635	0.630	0.627
immediate	ທັນທີທັນໃດ	0.656	0.548	0.716
immediately	ທັນທີ	0.552	0.780	0.707
immemorial	immemorial	0.327	0.469	0.454
immense	immense	0.755	0.750	0.811
immerse	ແຊງ	0.510	0.577	0.509
immersion	immersion	0.510	0.556	0.564
immigrant	ຜູ້ເຂົ້າເມືອງ	0.357	0.663	0.509
immigration	ການ​ອົບ​ພະ​ຍົບ	0.390	0.667	0.454
imminent	imminent	0.490	0.784	0.643
immobile	immobile	0.225	0.217	0.298
immoral	immoral	0.143	0.622	0.385
immorality	immorality	0.188	0.689	0.315
immortal	immortal	0.812	0.750	0.795
immortality	immortality	0.688	0.635	0.861
immovable	immovable	0.480	0.310	0.571
immune	ພູມຕ້ານທານ	0.629	0.472	0.780
immunity	immunity	0.633	0.316	0.786
immunization	ການສັກຢາປ້ອງກັນ	0.667	0.510	0.733
immutable	immutable	0.427	0.431	0.571
imp	imp	0.350	0.448	0.420
impact	ຜົນກະທົບ	0.469	0.884	0.776
impair	ເສຍສະລະ	0.153	0.500	0.360
impaired	ບົກພ່ອງ	0.130	0.459	0.269
impairment	ຄວາມບົກຜ່ອງ	0.170	0.571	0.220
impart	impart	0.521	0.441	0.694
impartial	impartial	0.531	0.406	0.685
impartiality	impartiality	0.622	0.394	0.616
impassable	impassable	0.342	0.458	0.553
impassioned	ມີຄວາມກະຕືລືລົ້ນ	0.740	0.780	0.802
impatience	impatience	0.278	0.780	0.411
impatient	impatient	0.250	0.708	0.429
impatiently	NO TRANSLATION	0.194	0.750	0.539
impeach	impeach	0.208	0.776	0.664
impeachment	impeachment	0.163	0.735	0.694
impeccable	impeccable	0.833	0.370	0.824
impede	ຂັດຂວາງ	0.271	0.510	0.604
impediment	ຄວາມສັບສົນ	0.163	0.600	0.409
impelled	ສະຫນັບສະຫນູນ	0.604	0.741	0.690
impending	ການປະກົດຕົວ	0.480	0.735	0.752
impenetrable	impenetrable	0.531	0.577	0.839
imperative	imperative	0.625	0.647	0.708
imperceptible	imperceptible	0.378	0.490	0.548
imperfect	ບໍ່ສົມບູນແບບ	0.173	0.527	0.202
imperfection	imperfection	0.190	0.567	0.321
imperfectly	imperfectly	0.297	0.481	0.330
imperial	imperial	0.669	0.646	0.922
imperialist	NO TRANSLATION	0.284	0.786	0.833
impermeable	impermeable	0.510	0.308	0.558
impermissible	ບໍ່ຍອມຮັບ	0.188	0.464	0.352
impersonal	ບໍ່ມີຕົວຕົນ	0.316	0.356	0.472
impersonate	impersonate	0.510	0.632	0.591
impersonation	impersonation	0.375	0.618	0.528
impersonator	impersonator	0.469	0.586	0.406
impertinence	impertinence	0.170	0.653	0.420
impertinent	impertinent	0.219	0.826	0.373
impervious	ບໍ່ຕິດ	0.582	0.408	0.536
impetuous	impetuous	0.602	0.814	0.712
impetus	impetus	0.521	0.740	0.635
implacable	implacable	0.569	0.663	0.830
implant	implant	0.429	0.510	0.588
implantation	implantation	0.396	0.604	0.741
implanted	implanted	0.347	0.500	0.679
implement	ປະຕິບັດ	0.720	0.573	0.792
implicate	implicate	0.250	0.670	0.434
implicated	implicated	0.354	0.673	0.438
implication	implication	0.337	0.528	0.690
implied	implied	0.327	0.530	0.481
implore	implore	0.396	0.650	0.377
implosion	implosion	0.412	0.724	0.547
imply	ຫມາຍຄວາມວ່າ	0.542	0.670	0.533
impolite	impolite	0.167	0.590	0.282
import	ນໍາເຂົ້າ	0.615	0.480	0.623
importance	ຄວາມສໍາຄັນ	0.750	0.580	0.864
important	ທີ່ສໍາຄັນ	0.827	0.630	0.836
importation	ການນໍາເຂົ້າ	0.625	0.500	0.733
impose	ບັງຄັບ	0.503	0.721	0.745
imposing	imposing	0.392	0.731	0.836
imposition	imposition	0.357	0.604	0.618
impossibility	impossibility	0.170	0.625	0.306
impossible	ບໍ່ເປັນໄປໄດ້	0.153	0.510	0.407
impostor	impostor	0.135	0.704	0.442
impotence	impotence	0.198	0.689	0.224
impotent	impotent	0.146	0.587	0.333
impound	ບັງຄັບ	0.230	0.587	0.583
impoverished	ທຸກຍາກ	0.125	0.311	0.203
impracticable	ບໍ່ສາມາດເຂົ້າໃຈໄດ້	0.398	0.549	0.381
impractical	ບໍ່ຈິງຈັງ	0.160	0.373	0.291
impregnable	impregnable	0.378	0.549	0.667
impregnate	impregnate	0.510	0.721	0.655
impress	ປະທັບໃຈ	0.816	0.744	0.895
impressed	ປະທັບໃຈ	0.806	0.770	0.429
impression	ຄວາມປະທັບໃຈ	0.684	0.557	0.577
impressionable	impressable	0.827	0.720	0.645
impressive	ປະທັບໃຈ	0.781	0.830	0.873
imprint	imprint	0.615	0.574	0.685
imprison	imprison	0.112	0.829	0.545
imprisoned	ຖືກຈໍາຄຸກ	0.032	0.717	0.302
imprisonment	ການຈໍາຄຸກ	0.133	0.630	0.471
improbable	improbable	0.097	0.412	0.439
impromptu	impromptu	0.541	0.729	0.415
improper	ບໍ່ເຫມາະສົມ	0.229	0.520	0.259
impropriety	ບໍ່ເຫມາະສົມ	0.133	0.591	0.389
improve	ປັບປຸງ	0.833	0.528	0.815
improved	ປັບປຸງ	0.919	0.480	0.679
improvement	ການປັບປຸງ	0.786	0.500	0.611
improves	ປັບປຸງ	0.929	0.625	0.727
improving	ການປັບປຸງ	0.911	0.510	0.682
improvisation	improvisation	0.631	0.812	0.529
improvise	improvise	0.646	0.650	0.519
improvised	improvised	0.610	0.673	0.443
imprudent	imprudent	0.170	0.676	0.265
impudence	impudence	0.214	0.500	0.472
impudent	impudent	0.302	0.604	0.462
impulse	impulse	0.530	0.840	0.611
impulsive	impulsive	0.365	0.864	0.607
impunity	impunity	0.313	0.721	0.602
impure	ບໍ່ສະອາດ	0.260	0.560	0.208
impurity	ບໍ່ສະອາດ	0.173	0.546	0.306
imputation	imputation	0.333	0.654	0.621
imtryingtosleep	NO TRANSLATION	0.438	0.363	0.385
inability	ຄວາມບໍ່ສາມາດ	0.150	0.529	0.250
inaccessible	ບໍ່ສາມາດເຂົ້າເຖິງໄດ້	0.083	0.585	0.446
inaccurate	ບໍ່ຖືກຕ້ອງ	0.135	0.450	0.250
inaction	inaction	0.323	0.225	0.325
inactivate	inactivate	0.245	0.240	0.415
inactivation	inactivation	0.198	0.260	0.220
inactive	inactive	0.271	0.167	0.159
inactivity	inactivity	0.135	0.143	0.227
inadequacy	inadequacy	0.286	0.500	0.297
inadequate	ບໍ່ພຽງພໍ	0.122	0.450	0.223
inadequateness	ຄວາມບໍ່ພໍໃຈ	0.240	0.529	0.316
inadmissible	inadmissible	0.188	0.636	0.389
inadvertent	inadvertent	0.365	0.368	0.286
inadvertently	ໂດຍບັງເອີນ	0.302	0.541	0.549
inaffable	NO TRANSLATION	0.388	0.518	0.455
inalienable	inalienable	0.437	0.459	0.608
inane	inane	0.271	0.350	0.268
inanimate	inanimate	0.281	0.143	0.224
inapplicable	inapplicable	0.281	0.402	0.330
inappropriate	ບໍ່ເຫມາະສົມ	0.135	0.542	0.353
inattention	inattention	0.208	0.433	0.188
inaudible	inaudible	0.280	0.398	0.358
inaugural	inaugural	0.684	0.567	0.608
inaugurate	inaugurate	0.781	0.582	0.800
inauguration	ການເປີດຕົວ	0.847	0.712	0.769
inborn	inborn	0.590	0.288	0.546
inbound	inbound	0.531	0.388	0.538
inbred	inbred	0.397	0.520	0.473
incalculable	incalculable	0.449	0.620	0.679
incandescent	incandescent	0.354	0.612	0.621
incantation	incantation	0.439	0.632	0.548
incapable	ບໍ່ສາມາດເຮັດໄດ້	0.156	0.529	0.155
incapacity	incapacity	0.052	0.500	0.217
incarceration	ການຄຸມຂັງ	0.100	0.800	0.397
incarnate	incarnate	0.552	0.651	0.593
incase	ໃນ​ກໍ​ລະ​ນີ	0.580	0.196	0.365
incendiary	incendiary	0.281	0.810	0.598
incense	ທູບ	0.698	0.275	0.328
incensed	ຂີ້ຮ້າຍ	0.338	0.643	0.392
incentive	ແຮງຈູງໃຈ	0.812	0.618	0.718
inception	ເລີ່ມຕົ້ນ	0.604	0.425	0.561
incessant	incessant	0.438	0.760	0.544
incessantly	ຢ່າງບໍ່ຢຸດຢັ້ງ	0.417	0.765	0.606
incest	incest	0.073	0.853	0.491
incestuous	incestuous	0.188	0.736	0.442
inch	inch	0.481	0.327	0.300
incidence	incidence	0.417	0.527	0.429
incident	ເຫດການ	0.084	0.662	0.482
incidental	incidental	0.281	0.610	0.404
incidentally	incidentally	0.479	0.500	0.500
incineration	incineration	0.229	0.787	0.470
incinerator	ຂີ້ເຫຍື້ອ	0.250	0.643	0.591
incipient	ເລີ່ມຕົ້ນ	0.442	0.382	0.430
incision	incision	0.240	0.663	0.558
incisive	incisive	0.380	0.602	0.545
incite	ກະຕຸ້ນໃຈ	0.449	0.736	0.642
incitement	incitement	0.302	0.943	0.598
inclement	inclement	0.260	0.676	0.616
inclination	inclination	0.378	0.490	0.538
incline	ບີບບັງຄັບ	0.490	0.423	0.345
inclined	inclined	0.469	0.347	0.402
include	ລວມມີ	0.729	0.449	0.702
included	ລວມຢູ່	0.760	0.402	0.570
including	ລວມທັງ	0.700	0.378	0.518
inclusion	ລວມມີ	0.774	0.404	0.712
