Word	Arabic-ar	Valence	Arousal	Dominance
grenade	قنبلة يدوية	0.281	0.777	0.694
grey	اللون الرمادي	0.347	0.140	0.295
greyhound	السلوقي كلب الصيد	0.520	0.490	0.440
grid	شبكة	0.562	0.426	0.443
gridiron	ملعب كرة قدم	0.667	0.491	0.425
grief	حزن	0.070	0.640	0.474
grievance	شكوى	0.092	0.635	0.364
grieve	حزن	0.122	0.500	0.333
grieved	مكتئب	0.104	0.460	0.191
grieving	الحزن	0.093	0.673	0.403
grievous	مؤلم	0.146	0.640	0.179
griffin	الغرفين حيوان خرافي	0.418	0.337	0.360
grill	شواء	0.755	0.491	0.546
grille	مصبغة	0.337	0.327	0.246
grilled	مشوي	0.702	0.500	0.373
grim	متجهم	0.310	0.483	0.298
grime	وسخ	0.198	0.500	0.225
grimy	وسخ	0.112	0.597	0.283
grin	ابتسامة	0.885	0.570	0.491
grind	طحن	0.480	0.276	0.397
grinder	طاحونة	0.459	0.615	0.561
grinding	طحن	0.415	0.450	0.461
grindstone	مجلخة	0.541	0.453	0.526
gringo	غرينغو	0.540	0.452	0.510
grip	قبضة	0.520	0.549	0.602
gripe	وجع	0.184	0.526	0.241
grisly	مروع	0.083	0.863	0.426
grist	حنطة	0.317	0.391	0.363
grit	مثابرة	0.449	0.296	0.345
grits	فريك	0.458	0.333	0.346
gritty	شجاع	0.417	0.373	0.375
grizzly	أشيب	0.398	0.679	0.657
groan	تأوه	0.396	0.750	0.351
grocer	بقال	0.625	0.250	0.382
groceries	محلات البقالة	0.740	0.363	0.417
grocery	بقالة	0.687	0.540	0.446
groggy	مترنح	0.235	0.265	0.194
groin	الفخذ	0.296	0.452	0.364
groom	عريس	0.698	0.500	0.605
groove	أخدود	0.552	0.448	0.361
groovy	رائع	0.615	0.538	0.464
grope	تلمس	0.420	0.559	0.358
gross	إجمالي	0.115	0.575	0.181
grotesque	شىء متنافر	0.135	0.788	0.500
grotto	كهف	0.510	0.394	0.336
grouch	تذمر	0.342	0.593	0.411
grouchy	عابس	0.143	0.708	0.407
ground	أرض	0.398	0.343	0.602
grounded	على الارض	0.531	0.601	0.509
groundhog	جرذ الأرض	0.385	0.324	0.377
grounding	أساس	0.521	0.452	0.591
groundless	لا أساس له	0.333	0.535	0.387
grounds	أساس	0.667	0.500	0.598
groundwork	الأساس	0.500	0.375	0.593
group	مجموعة	0.573	0.423	0.480
groupie	زقة	0.521	0.583	0.393
grouping	تجمع	0.745	0.580	0.698
grouse	احتج	0.448	0.401	0.412
grout	جصص	0.405	0.356	0.366
grove	بستان	0.604	0.245	0.417
grovel	تذلل	0.360	0.500	0.414
grow	تنمو	0.914	0.615	0.755
growl	تذمر	0.194	0.764	0.482
growling	الهدر	0.119	0.887	0.475
growls	الهدير	0.125	0.675	0.442
grownup	كبار	0.735	0.400	0.683
growth	نمو	0.917	0.588	0.776
growthefuckup	growthefuckup	0.229	0.692	0.426
grr	GRR	0.229	0.538	0.333
grrr	grrr	0.271	0.755	0.327
grrrrr	grrrrr	0.281	0.633	0.444
grub	نكش	0.602	0.406	0.355
grubby	وضيع	0.156	0.583	0.176
grudge	ضغينة	0.115	0.647	0.414
grudging	حسود	0.092	0.636	0.473
grudgingly	على مضض	0.156	0.610	0.292
gruel	عصيدة	0.382	0.304	0.297
grueling	منهك	0.180	0.763	0.704
gruesome	بشع	0.094	0.837	0.474
gruff	خشن	0.323	0.611	0.472
grumble	تذمر	0.101	0.750	0.333
grump	grump	0.260	0.469	0.425
grumpy	غاضب	0.198	0.808	0.559
grunt	الناخر	0.286	0.798	0.392
grunting	الشخير	0.198	0.827	0.481
guacamole	حبوبا	0.684	0.317	0.282
guano	ذرق الطائر	0.296	0.343	0.191
guarantee	ضمان	0.949	0.337	0.805
guaranty	ضمانة	0.646	0.337	0.818
guard	حارس	0.592	0.510	0.725
guarded	محروس	0.758	0.686	0.500
guardhouse	بيت الحراسة	0.510	0.435	0.770
guardian	وصي	0.656	0.686	0.789
guardianship	وصاية	0.592	0.370	0.681
guards	حراس	0.448	0.663	0.720
gubernatorial	حاكمي	0.552	0.604	0.897
guerilla	حرب العصابات	0.146	0.845	0.727
guerrilla	حرب العصابات	0.219	0.917	0.792
guess	خمن	0.640	0.463	0.442
guesser	الحازر	0.542	0.670	0.535
guesswork	التخمين	0.417	0.451	0.405
guest	زائر	0.719	0.490	0.558
guesthouse	منزل الضيف	0.729	0.337	0.406
guidance	توجيه	0.729	0.471	0.718
guide	يرشد	0.688	0.315	0.620
guidebook	دليل	0.677	0.260	0.427
guidelines	القواعد الارشادية	0.459	0.500	0.664
guiding	توجيه	0.667	0.520	0.714
guild	نقابة	0.580	0.459	0.729
guile	مكر	0.410	0.417	0.467
guillotine	مقصلة	0.163	0.817	0.585
guilt	إثم	0.208	0.567	0.206
guilty	مذنب	0.135	0.770	0.352
guinea	غينيا	0.521	0.440	0.396
guise	مظهر	0.531	0.547	0.324
guitar	غيتار	0.844	0.542	0.469
guitarist	عازف الجيتار	0.827	0.740	0.549
gules	غوليس	0.469	0.443	0.340
gulf	خليج	0.520	0.365	0.398
gull	نورس	0.594	0.317	0.378
gullet	مريء	0.385	0.490	0.393
gullible	ساذج	0.440	0.442	0.318
gully	واد	0.316	0.519	0.394
gulp	بلع	0.551	0.660	0.409
gum	صمغ	0.573	0.227	0.213
gumbo	البامية	0.500	0.422	0.361
gummy	غائر	0.521	0.302	0.291
gumption	التضميغ	0.480	0.538	0.488
gun	بندقية	0.147	0.920	0.713
gunboat	السفينة المدفعية	0.139	0.663	0.618
gunfight	تبادل لاطلاق النار	0.051	0.961	0.700
gunfighter	المقاتل	0.156	0.910	0.741
gunfire	إطلاق النار	0.156	0.930	0.673
gunk	المادة اللزجة	0.250	0.478	0.219
gunman	مسلح	0.167	0.922	0.689
gunmen	مسلحون	0.073	0.942	0.727
gunner	مدفعي	0.250	0.853	0.817
gunnery	المدفعية	0.281	0.861	0.873
gunplay	عن إطلاق النار	0.133	0.906	0.627
gunpoint	تحت تهديد السلاح	0.188	0.817	0.719
gunpowder	بارود	0.425	0.853	0.509
gunshot	طلق ناري	0.042	0.953	0.673
gunslinger	حامل السلاح	0.316	0.873	0.811
gurney	محفة	0.408	0.304	0.352
guru	المعلم	0.573	0.360	0.653
gush	تدفق	0.510	0.490	0.381
gusher	المتدفق	0.406	0.520	0.453
gusset	مجمعة	0.427	0.425	0.423
gust	عاصفة	0.490	0.755	0.556
gusto	NO TRANSLATION	0.692	0.729	0.620
gusty	عاصف	0.687	0.631	0.455
gut	القناة الهضمية	0.408	0.367	0.364
gutless	جبان	0.250	0.381	0.384
guts	أحشاء	0.592	0.649	0.582
gutsy	جريء	0.635	0.573	0.536
gutter	مزراب	0.466	0.260	0.400
guy	شاب	0.583	0.367	0.546
guzzler	مسرف في ألاكل	0.393	0.537	0.436
guzzling	الكرع	0.460	0.490	0.380
gym	نادي رياضي	0.635	0.690	0.613
gymnasium	الجمنازيوم	0.667	0.561	0.474
gymnast	لاعبة جمباز	0.670	0.760	0.558
gymnastic	رياضي	0.810	0.706	0.604
gymnastics	رياضة بدنية	0.745	0.677	0.508
gynecologist	دكتور امراض نساء	0.552	0.566	0.682
gynecology	طب النساء	0.408	0.590	0.519
gypsy	غجر	0.375	0.665	0.396
gyroscope	جيروسكوب	0.500	0.390	0.510
habit	عادة	0.625	0.226	0.585
habitat	موطن	0.633	0.343	0.553
habitation	سكن	0.781	0.231	0.538
habitual	معتاد	0.527	0.208	0.490
habitually	عادة	0.600	0.324	0.583
hacienda	مزرعة أو المبنى الرئيسي فيها	0.688	0.402	0.573
hack	الإختراق	0.135	0.717	0.534
hacker	القراصنة	0.271	0.755	0.740
hacksaw	منشار المعادن	0.406	0.645	0.537
hadenough	NO TRANSLATION	0.323	0.566	0.529
hag	عجوز شمطاء	0.188	0.695	0.411
haggard	صقر قريش	0.115	0.510	0.246
haggle	تساوم	0.480	0.601	0.461
haiku	الهايكو	0.583	0.356	0.392
hail	وابل	0.459	0.627	0.411
hair	شعر	0.582	0.186	0.286
hairball	كرة شعر	0.370	0.302	0.315
hairbrush	فرشاة للشعر	0.454	0.216	0.263
haircut	حلاقة شعر	0.677	0.343	0.307
hairdo	تسريحة	0.552	0.320	0.435
hairdresser	حلاق	0.708	0.509	0.407
hairdryer	مجفف الشعر	0.642	0.402	0.330
hairless	أصلع	0.136	0.235	0.139
hairline	خط دقيق	0.418	0.154	0.230
hairpin	دبوس الشعر	0.459	0.363	0.370
hairspray	مثبتات الشعر	0.549	0.279	0.269
hairstyle	تسريحه شعر	0.771	0.380	0.433
hairy	كثير الشعر	0.542	0.380	0.343
hale	معافى	0.479	0.435	0.500
half	نصف	0.500	0.274	0.276
half dollar	نصف دولار	0.573	0.408	0.509
halfback	الظهير المساعد	0.490	0.429	0.440
halftime	نصف الوقت	0.458	0.352	0.429
halfway	في منتصف الطريق	0.510	0.254	0.339
halibut	سمكة الهلبوت	0.449	0.412	0.411
hall	صالة	0.510	0.340	0.424
hallelujah	الحمد لله	0.770	0.554	0.657
hallmark	سمة مميزة	0.646	0.315	0.411
hallowed	مقدس	0.740	0.500	0.728
hallucination	هلوسة	0.396	0.706	0.370
hallway	مدخل	0.573	0.230	0.279
halo	هالة	0.490	0.370	0.441
halt	وقف	0.167	0.360	0.432
halter	حبل المشنقة	0.448	0.451	0.431
halting	وقف	0.255	0.596	0.519
halve	نصف	0.316	0.347	0.302
halving	إلى النصف	0.292	0.474	0.366
ham	لحم خنزير	0.673	0.245	0.404
hamburger	هامبورجر	0.809	0.551	0.387
hamlet	قرية	0.573	0.270	0.397
hammer	شاكوش	0.312	0.509	0.563
hammerhead	المطرقة	0.337	0.490	0.569
hammering	يدق	0.347	0.779	0.557
hammock	الارجوحة الشبكية	0.673	0.255	0.287
hamper	يعيق	0.204	0.711	0.473
hamster	الهمستر حيوان قارض	0.520	0.394	0.349
hamstring	أوتار المأبض	0.406	0.471	0.443
hand	يد	0.542	0.314	0.434
handbag	حقيبة يد	0.562	0.240	0.336
handball	كرة يد	0.561	0.493	0.440
handbook	كتيب	0.600	0.224	0.567
handcuff	تكبيل	0.310	0.590	0.593
handful	حفنة	0.521	0.481	0.400
handgun	مسدس	0.156	0.914	0.782
handheld	محمول باليد	0.646	0.350	0.586
handicap	عائق	0.133	0.394	0.264
handicapped	معاق	0.204	0.467	0.180
handicraft	حرفي	0.724	0.333	0.565
handiwork	عمل يدوي	0.753	0.430	0.410
handkerchief	منديل	0.510	0.192	0.219
handle	مقبض	0.698	0.571	0.558
handler	معالج	0.439	0.593	0.861
handmade	صنع يدوي	0.776	0.383	0.475
handout	مذكرة	0.560	0.330	0.545
handprint	بصمة يد	0.635	0.289	0.463
handshake	مصافحة	0.816	0.654	0.492
handsome	وسيم	0.890	0.600	0.682
handwriting	خط يد	0.615	0.378	0.381
handy	في المتناول	0.741	0.378	0.639
handyman	بارع في كل الصنع	0.660	0.373	0.393
hang	علق	0.323	0.529	0.446
hangar	حظيرة للطائرات	0.490	0.456	0.481
hanger	الشانق	0.439	0.462	0.461
hanging	معلق	0.378	0.471	0.389
hangman	جلاد	0.153	0.877	0.555
hangout	يتسكع	0.573	0.500	0.462
hangover	دوار من اثر الخمرة	0.188	0.565	0.267
hangry	hangry	0.219	0.794	0.279
hank	شلة	0.510	0.375	0.339
hankering	لهفة	0.604	0.540	0.558
hanky	منديل	0.460	0.276	0.250
hap	NO TRANSLATION	0.503	0.431	0.453
haphazard	بدون تنظيم	0.469	0.530	0.324
hapless	قليل الحظ	0.271	0.442	0.193
happen	يحدث	0.677	0.670	0.551
happening	حدث	0.646	0.529	0.555
happier	أسعد	0.990	0.760	0.806
happiest	أسعد	0.990	0.716	0.746
happily	بسعادة	1.000	0.690	0.674
happiness	سعادة	0.960	0.732	0.850
happy	السعيدة	1.000	0.735	0.772
happydance	happydance	0.857	0.760	0.582
happyday	يوم سعيد	0.929	0.650	0.663
happyheart	قلب سعيد	0.949	0.575	0.605
happyholidays	NO TRANSLATION	0.927	0.740	0.637
happynewyear	NO TRANSLATION	0.969	0.815	0.559
happyplace	مكان سعيد	0.938	0.589	0.645
happytweet	NO TRANSLATION	0.847	0.588	0.437
happyvalentinesday	NO TRANSLATION	0.929	0.784	0.509
harass	مضايقة	0.160	0.775	0.620
harassing	مضايقة	0.120	0.873	0.446
harassment	مضايقة	0.083	0.896	0.420
harbinger	نذير	0.490	0.389	0.692
harbor	مرفأ	0.594	0.356	0.634
hard	الصعب	0.302	0.708	0.616
hardball	قاسية	0.542	0.667	0.452
hardcore	المتشددين	0.250	0.721	0.585
harden	قسى	0.276	0.598	0.677
hardened	تصلب	0.406	0.618	0.764
hardening	تصلب	0.388	0.673	0.741
hardheaded	واقعي	0.156	0.699	0.571
hardness	صلابة	0.417	0.580	0.745
hardship	ضائقة	0.094	0.775	0.482
hardware	المعدات	0.594	0.289	0.686
hardwood	الصلبة	0.417	0.363	0.518
hardworking	العمل الجاد	0.719	0.583	0.792
hardy	قوي	0.571	0.569	0.810
hare	أرنبة	0.620	0.410	0.345
harebrained	أرعن	0.296	0.551	0.436
harem	حريم	0.521	0.578	0.582
hark	أصغى	0.571	0.500	0.398
harlot	عاهرة	0.198	0.798	0.330
harm	ضرر	0.073	0.679	0.423
harmful	مضر	0.094	0.750	0.291
harmless	غير ضارة	0.625	0.226	0.241
harmonica	هارمونيكا	0.847	0.235	0.510
harmonics	التوافقيات	0.865	0.400	0.575
harmonious	متناغم	0.938	0.391	0.719
harmoniously	وئام	0.969	0.265	0.647
harmonize	توافق	0.939	0.461	0.609
harmony	انسجام	0.949	0.230	0.509
harness	ظفيرة	0.570	0.549	0.508
harp	قيثار	0.618	0.310	0.356
harper	هاربر	0.417	0.454	0.435
harpoon	رمح لصيد الحيتان	0.490	0.700	0.557
harpsichord	بيان القيثاري	0.541	0.490	0.438
harrowing	مروعة	0.209	0.810	0.474
harry	هاري	0.520	0.409	0.390
harsh	قاس	0.250	0.650	0.623
harshness	قسوة	0.323	0.600	0.779
hart	هارت	0.643	0.389	0.447
harvest	حصاد	0.781	0.353	0.548
hash	مزيج	0.344	0.453	0.355
hashish	حشيش مخدر	0.370	0.570	0.358
hassle	مشاحنة	0.177	0.740	0.489
haste	تسرع	0.378	0.745	0.500
hasten	عجل	0.571	0.750	0.618
hastily	بعجالة	0.271	0.609	0.609
hasty	متسرع	0.188	0.885	0.424
hat	قبعة	0.604	0.183	0.353
hatch	فأس	0.479	0.653	0.402
hatchet	فأس صغيرة	0.333	0.608	0.500
hate	اكرهه	0.031	0.802	0.430
hateeee	NO TRANSLATION	0.219	0.606	0.368
hateeveryone	NO TRANSLATION	0.041	0.840	0.429
hateful	بغيض	0.071	0.819	0.430
hater	القبعى صانع القبعات	0.052	0.702	0.422
hateyou	NO TRANSLATION	0.125	0.735	0.464
hating	كره	0.083	0.820	0.434
hatred	كراهية	0.037	0.847	0.424
haughty	متجبر	0.240	0.708	0.588
haul	سحب	0.551	0.564	0.453
haulage	شحن	0.561	0.510	0.650
haunt	تطارد	0.288	0.676	0.576
haunted	ازم	0.264	0.731	0.520
have	يملك	0.757	0.389	0.593
haven	ملاذ	0.684	0.265	0.547
havoc	خراب	0.163	0.769	0.535
haw	ثمر الزعرور البرى	0.406	0.426	0.431
hawk	صقر	0.583	0.530	0.631
hawking	هوكينج	0.521	0.509	0.491
hay	NO TRANSLATION	0.469	0.212	0.343
haye	هاي	0.615	0.451	0.336
hayride	هيرد	0.561	0.521	0.464
haystack	كومة قش	0.552	0.292	0.331
haywire	أحمق	0.358	0.545	0.430
hazard	خطر	0.112	0.884	0.757
hazardous	خطير	0.061	0.750	0.670
haze	ضباب	0.427	0.327	0.217
hazmat	المواد الخطرة	0.398	0.479	0.519
hazy	ضبابي	0.450	0.433	0.230
head	رئيس	0.530	0.472	0.558
headache	صداع الراس	0.168	0.755	0.273
headaches	الصداع	0.104	0.720	0.259
headband	عقال الرأس	0.670	0.469	0.527
headdress	غطاء الرأس	0.594	0.408	0.443
header	رأس	0.560	0.398	0.740
headgear	القبعات	0.542	0.442	0.571
heading	عنوان	0.551	0.292	0.642
headland	الأرض الرأسية	0.574	0.551	0.430
headless	بلا رأس	0.136	0.582	0.235
headlight	مصباح أمامي	0.592	0.343	0.393
headline	عنوان رئيسي	0.630	0.241	0.685
headliner	المتصدر عناوين	0.500	0.490	0.625
headlock	هيدلوك	0.448	0.538	0.560
headlong	بتهور	0.354	0.548	0.409
headmaster	ناظر المدرسة	0.604	0.564	0.865
headphones	سماعات الرأس	0.600	0.357	0.336
headquarter	المركز الرئيسى	0.615	0.269	0.525
headquarters	مقر	0.615	0.271	0.525
headset	سماعة	0.602	0.340	0.302
headstone	شاهد القبر	0.240	0.378	0.349
headstrong	عنيد	0.310	0.714	0.500
headway	تقدم	0.823	0.464	0.745
heady	مسكر	0.448	0.806	0.565
heal	شفاء - يشفى	0.765	0.245	0.556
healer	المعالج	0.863	0.378	0.741
healing	شفاء	0.750	0.452	0.585
health	الصحة	0.935	0.427	0.551
healthcare	الرعاىة الصحية	0.780	0.392	0.630
healthful	صحي	0.930	0.315	0.769
healthy	صحي	0.938	0.319	0.818
heap	كومة	0.582	0.510	0.474
hear	سمع	0.760	0.429	0.444
hearer	مستمع	0.656	0.281	0.415
hearing	سمع	0.669	0.490	0.595
hearsay	إشاعة	0.288	0.623	0.333
hearse	عربة الموتى	0.177	0.490	0.324
heart	قلب	0.827	0.500	0.693
heart disease	مرض القلب	0.250	0.750	0.386
heartache	وجع القلب	0.088	0.750	0.291
heartattack	NO TRANSLATION	0.156	0.839	0.455
heartbeat	نبض القلب	0.750	0.698	0.585
heartbreak	حسرة	0.208	0.610	0.245
heartbreaker	هرتبركر	0.265	0.685	0.580
heartbreaking	مفجع	0.146	0.811	0.423
heartbroken	مكسور القلب	0.082	0.551	0.235
heartburn	حرقة من المعدة	0.143	0.613	0.398
hearted	القلب	0.823	0.410	0.805
heartfelt	صادر من القلب	0.904	0.440	0.540
hearth	موقد	0.760	0.275	0.536
heartily	بإخلاص	0.927	0.531	0.664
heartland	قلب	0.812	0.510	0.675
heartless	عديم الشفقة	0.071	0.652	0.400
hearts	قلوب	0.948	0.592	0.634
heartsick	المحبط	0.240	0.388	0.208
heartworm	القلبية	0.333	0.550	0.430
hearty	قلبي	0.760	0.684	0.792
heat	الحرارة	0.534	0.612	0.433
heated	مسخن	0.479	0.497	0.542
heater	سخان	0.500	0.573	0.538
heath	الصحة	0.802	0.387	0.546
heathen	وثني	0.194	0.529	0.491
heather	خلنج نبات	0.500	0.352	0.407
heating	تدفئة	0.647	0.491	0.537
heave	جيشان	0.716	0.588	0.664
heaven	الجنة	0.896	0.385	0.600
heavenly	سماوي	0.844	0.452	0.712
heavens	السماوات	0.806	0.273	0.683
heavily	بشكل كبير	0.542	0.679	0.814
heaviness	ثقل	0.219	0.549	0.318
heaving	الرفع	0.201	0.843	0.491
heavy	ثقيل	0.250	0.454	0.600
heavy metal	معدن ثقيل	0.417	0.755	0.621
heavyweight	وزن ثقيل	0.429	0.578	0.713
heck	تبا	0.240	0.728	0.560
hectares	هكتار	0.570	0.250	0.471
hectic	محموم	0.167	0.811	0.438
hedge	التحوط أو طوق	0.604	0.602	0.569
hedgehog	قنفذ	0.458	0.491	0.377
hedonism	مذهب المتعة	0.510	0.500	0.608
hee	ها	0.430	0.433	0.312
heed	حذرهم	0.750	0.490	0.569
heel	كعب	0.480	0.350	0.385
heels	كعوب	0.500	0.439	0.396
heft	الثقل	0.503	0.340	0.530
hefty	ضخم	0.550	0.654	0.745
hegemonic	هيمنة	0.462	0.519	0.558
heheh	NO TRANSLATION	0.625	0.510	0.278
heifer	بقرة صغيرة	0.439	0.443	0.321
height	ارتفاع	0.677	0.608	0.648
heighten	رفع	0.755	0.622	0.765
heightened	تزايد	0.592	0.529	0.788
heinous	شنيع	0.133	0.792	0.471
heir	وريث	0.840	0.654	0.764
heiress	وريثة	0.827	0.571	0.676
heirloom	أملاك موروثة	0.684	0.375	0.745
heirs	الورثة	0.796	0.519	0.698
heist	سرقة	0.184	0.850	0.645
helical	حلزوني	0.379	0.429	0.468
helicopter	هليكوبتر	0.714	0.806	0.617
helipad	مهبط للطائرات	0.780	0.637	0.573
heliport	مهبط الطائرة العامودية	0.594	0.604	0.527
helium	الهيليوم	0.490	0.316	0.304
helix	حلزون	0.521	0.462	0.509
hell	الجحيم	0.020	0.918	0.565
hellfire	نار الجحيم	0.143	0.890	0.618
hellhole	فوضويا	0.200	0.615	0.421
hellish	جهنمي	0.125	0.860	0.545
helm	القياده	0.511	0.450	0.615
helmet	خوذة	0.573	0.327	0.402
helmsman	مدير الدفة في السفينة	0.490	0.441	0.647
help	مساعدة	0.673	0.471	0.460
helper	المساعد	0.704	0.438	0.567
helpful	معاون، مساعد، مفيد، فاعل خير	0.816	0.337	0.705
helpless	عاجز	0.104	0.420	0.214
helplessness	العجز	0.087	0.480	0.250
hem	NO TRANSLATION	0.562	0.283	0.291
hematite	الهيماتيت حجر الدم	0.448	0.389	0.342
hematoma	ورم دموي	0.146	0.600	0.398
hemi	هيمي	0.510	0.363	0.342
hemisphere	نصف كرة	0.531	0.367	0.598
hemispheric	نصف الكرة الغربي	0.562	0.449	0.603
hemlock	شراب الشوكران	0.438	0.350	0.434
hemoglobin	الهيموغلوبين	0.469	0.481	0.418
hemorrhage	نزف	0.031	0.849	0.426
hemorrhoids	بواسير	0.133	0.702	0.304
hemostat	مرقئ	0.388	0.442	0.464
hemp	قنب	0.469	0.439	0.422
hen	NO TRANSLATION	0.385	0.276	0.241
henceforth	من الآن فصاعدا	0.527	0.404	0.466
henhouse	بيت الدجاجة	0.500	0.577	0.414
hepatitis	التهاب الكبد	0.055	0.596	0.358
herald	يعلن	0.643	0.382	0.500
heraldry	علم شعارات النبالة	0.550	0.520	0.607
herb	عشب	0.643	0.418	0.353
herbaceous	عشبي	0.560	0.220	0.310
herbal	عشبي	0.592	0.255	0.390
herbarium	معشب	0.602	0.188	0.327
herbs	أعشاب	0.620	0.299	0.308
herd	قطيع	0.592	0.500	0.474
hereditary	وراثي	0.531	0.600	0.737
heredity	وراثة	0.704	0.445	0.818
heresy	بدعة	0.265	0.765	0.443
heretic	كافر	0.090	0.710	0.447
heretical	ابتداعي	0.229	0.630	0.487
heretofore	حتى الآن	0.479	0.388	0.385
hereunto	توقيعي هنا	0.500	0.225	0.333
herewith	طيه	0.450	0.360	0.415
heritage	تراث	0.842	0.512	0.815
hermaphrodite	خنثى	0.480	0.684	0.481
hermeneutics	تفسيري	0.406	0.577	0.562
hermit	الناسك	0.271	0.337	0.351
hernia	فتق	0.146	0.486	0.223
hero	بطل	0.940	0.806	0.881
heroic	بطولي	0.890	0.770	0.912
heroics	بطولات	0.865	0.673	0.894
heroin	الهيروين	0.276	0.843	0.655
heroine	بطلة	0.729	0.755	0.833
heroism	بطولة	0.844	0.802	0.898
herpes	الهربس	0.110	0.600	0.309
herpesvirus	هربس	0.219	0.558	0.435
herring	سمك مملح	0.531	0.387	0.422
hertz	الموجه الهرتزى	0.396	0.417	0.506
hesitant	متردد	0.333	0.542	0.321
hesitate	تردد	0.459	0.548	0.232
hesitating	متردد	0.265	0.528	0.240
hesitation	تردد	0.286	0.396	0.217
hetero	مغاير	0.589	0.405	0.435
heterogeneity	عدم التجانس	0.439	0.450	0.556
heterosexual	متباين الجنس	0.561	0.612	0.557
hew	حطب	0.417	0.470	0.377
hex	عرافة	0.410	0.510	0.363
hexagon	سداسي الزوايا	0.542	0.226	0.425
heyday	ذروة	0.646	0.680	0.673
hiatus	ثغرة	0.479	0.294	0.352
hibernate	بيات شتوى	0.500	0.317	0.431
hibernation	السبات الشتوي	0.469	0.245	0.384
hiccup	حازوق	0.271	0.549	0.240
hick	شخص ريفى أخرق	0.357	0.442	0.314
hickey	هيكي	0.448	0.529	0.345
hickory	جوز	0.520	0.490	0.415
hidden	مخفي	0.208	0.430	0.327
hide	إخفاء	0.438	0.510	0.218
hideaway	مخفي	0.448	0.481	0.360
hideous	بشع	0.091	0.750	0.328
hideout	مخبأ	0.337	0.443	0.302
hiding	إخفاء	0.250	0.567	0.364
hierarchical	الهرمية	0.521	0.620	0.939
hierarchy	التسلسل الهرمي	0.583	0.722	0.902
hieroglyphics	الهيروغليفية	0.479	0.325	0.509
high	متوسط	0.684	0.510	0.614
high heels	كعب عالي	0.646	0.528	0.429
highball	خمرة	0.656	0.520	0.481
higher	أعلى	0.866	0.528	0.713
highest	أعلى	0.771	0.640	0.710
highland	هضبة	0.615	0.481	0.611
highlands	المرتفعات	0.735	0.431	0.596
highlight	تسليط الضوء	0.844	0.637	0.882
highness	سمو	0.740	0.670	0.931
hight	هايت	0.667	0.637	0.645
hightail	hightail	0.448	0.480	0.481
highway	الطريق السريع	0.640	0.583	0.425
hijack	خطف	0.042	0.908	0.594
hijacker	خاطف	0.104	0.953	0.683
hike	رفع	0.615	0.442	0.538
hiker	مسافر	0.694	0.802	0.644
hiking	التنزه	0.820	0.843	0.670
hiking boot	حذاء تنزه	0.657	0.353	0.446
hilarious	مزاح	0.750	0.640	0.537
hilarity	مرح	0.745	0.480	0.575
hill	تل	0.615	0.353	0.518
hillside	جانب التل	0.625	0.292	0.458
hilltop	تلة	0.688	0.643	0.787
hilly	كثير التلال	0.643	0.479	0.603
hilt	المقبض	0.396	0.650	0.537
hind	هند	0.483	0.644	0.337
hinder	منع	0.276	0.537	0.470
hindering	إعاقة	0.260	0.654	0.435
hindrance	عائق	0.135	0.545	0.473
hindsight	الإدراك المتأخر	0.333	0.431	0.532
hinge	مفصل	0.458	0.292	0.417
hint	ملحوظة	0.602	0.330	0.517
hinterland	المناطق النائية	0.530	0.520	0.457
hip	ورك او نتوء	0.448	0.415	0.345
hip hop	هيب هوب	0.740	0.714	0.484
hippie	الهبي	0.551	0.400	0.396
hippo	فرس النهر	0.490	0.404	0.477
hippopotamus	فرس نهر	0.541	0.472	0.615
hire	توظيف	0.688	0.558	0.556
hirsute	أهلب	0.385	0.483	0.373
hiss	همسة	0.388	0.480	0.370
hissing	المطلق صوتا	0.500	0.454	0.400
histology	علم الانسجة	0.490	0.320	0.560
historian	مؤرخ	0.688	0.270	0.637
historic	تاريخي	0.816	0.473	0.784
historical	تاريخي	0.653	0.357	0.833
historiography	علم التأريخ	0.562	0.415	0.634
history	التاريخ	0.729	0.382	0.754
hit	نجاح	0.235	0.931	0.679
hitch	عقبة	0.512	0.480	0.554
hitchhike	توصيلهم	0.396	0.622	0.385
hitchhiker	هتشكوك	0.594	0.626	0.603
hitherto	حتى اليوم	0.448	0.356	0.463
hitter	ضاربا	0.418	0.683	0.713
hive	خلية	0.471	0.452	0.544
hives	قشعريرة	0.417	0.473	0.591
hoard	خزن	0.506	0.412	0.518
hoarse	أجش	0.281	0.402	0.315
hoary	أشيب	0.469	0.298	0.424
hoax	خدعة	0.146	0.696	0.303
hob	صفيحة	0.633	0.363	0.415
hobbit	الهوبيت	0.479	0.489	0.472
hobby	هواية	0.827	0.560	0.471
hobo	المتشرد	0.323	0.443	0.282
hock	عرقوب الخيل	0.513	0.452	0.412
hockey	الهوكي	0.565	0.786	0.548
hoe	NO TRANSLATION	0.302	0.480	0.418
hog	خنزير	0.317	0.509	0.271
hogwash	هراء	0.420	0.490	0.361
hohoho	NO TRANSLATION	0.677	0.433	0.330
hoist	رفع	0.521	0.520	0.458
hokey	باقة	0.604	0.667	0.430
hold	معلق	0.448	0.290	0.364
holder	مالك	0.592	0.330	0.713
holding	تحتجز	0.600	0.385	0.670
holdup	أصمد	0.398	0.471	0.398
hole	الفجوة	0.531	0.310	0.330
holiday	يوم الاجازة	0.948	0.431	0.593
holidays	العطل	0.939	0.521	0.512
