Word	Hausa-ha	Valence	Arousal	Dominance
overreact	bacewa	0.306	0.912	0.471
override	override	0.316	0.491	0.529
overriding	overriding	0.240	0.490	0.384
overrule	overrule	0.224	0.412	0.429
overrun	sama	0.271	0.764	0.598
oversee	kulawa	0.541	0.649	0.778
overseer	mai kula	0.552	0.520	0.873
overshadow	rufe	0.333	0.549	0.654
oversight	dubawa	0.385	0.618	0.723
oversized	oversized	0.552	0.540	0.679
overslept	overslept	0.408	0.315	0.300
overstate	sama	0.281	0.779	0.635
overstock	kaya	0.344	0.592	0.589
overt	overt	0.708	0.326	0.607
overtake	cimma	0.573	0.620	0.718
overtaken	an kama	0.594	0.552	0.702
overthemoon	NO TRANSLATION	0.643	0.531	0.481
overthinker	overthinker	0.430	0.606	0.552
overthinking	overthinking	0.408	0.761	0.525
overthrow	kwashe	0.260	0.868	0.620
overtime	karin lokaci	0.447	0.504	0.529
overtired	overtired	0.210	0.357	0.273
overture	sokewa	0.490	0.402	0.491
overturn	sokewa	0.240	0.765	0.396
overview	bayyani	0.615	0.380	0.539
overweight	nauyi	0.052	0.500	0.389
overwhelm	rufe	0.250	0.823	0.462
overwhelmed	rufe	0.341	0.680	0.348
overwhelming	m	0.327	0.830	0.640
overworked	da aka yi	0.133	0.670	0.387
overwrought	overwrought	0.156	0.900	0.571
overzealous	kishi	0.427	0.804	0.703
owe	bashi	0.500	0.429	0.386
owing	saboda haka	0.396	0.307	0.381
owl	kaji	0.520	0.270	0.321
owner	mai shi	0.776	0.449	0.920
ownership	ikon mallakar	0.628	0.445	0.741
ox	ox	0.417	0.396	0.412
oxidation	maganin iskar shaka	0.453	0.415	0.211
oxide	oxide	0.354	0.377	0.298
oxygen	oxygen	0.908	0.310	0.575
oxymoron	oxymoron	0.427	0.481	0.398
oyster	kawa	0.500	0.311	0.327
ozone	ozone	0.560	0.345	0.518
pace	taki	0.510	0.380	0.390
pacemaker	na'urar bugun zuciya	0.448	0.569	0.582
pacific	Pacific	0.627	0.118	0.580
pacified	an ƙaddara	0.802	0.194	0.414
pacifier	fashewa	0.615	0.342	0.356
pacifist	kwaminisanci	0.663	0.153	0.557
pacify	Pacify	0.812	0.283	0.629
pacing	gyare-gyare	0.583	0.551	0.491
pack	fakitin	0.510	0.347	0.475
package	kunshin	0.571	0.433	0.443
packaging	marufi	0.604	0.393	0.549
packer	mai kwashewa	0.520	0.480	0.537
packet	fakiti	0.582	0.385	0.407
pact	yarjejeniya	0.442	0.444	0.593
pad	pad	0.684	0.279	0.330
padded	padded	0.606	0.212	0.371
padding	padding	0.561	0.398	0.423
paddle	kullun	0.561	0.375	0.393
paddle boat	jirgin ruwan kwalliya	0.663	0.373	0.415
paddock	paddock	0.480	0.429	0.481
paddy	paddy	0.653	0.330	0.330
padlock	padlock	0.459	0.284	0.457
padre	NO TRANSLATION	0.684	0.407	0.647
paean	m	0.552	0.547	0.471
pagan	arna	0.292	0.578	0.542
paganism	arna	0.240	0.640	0.411
page	page	0.677	0.224	0.278
pageant	shafi	0.719	0.667	0.651
pager	Pager	0.510	0.526	0.554
pagination	Pagination	0.459	0.333	0.400
paging	kisa	0.542	0.398	0.423
pagoda	damuwa	0.571	0.259	0.435
pail	pail	0.448	0.177	0.188
pain	zafi	0.012	0.765	0.395
pained	fushi	0.112	0.500	0.250
painful	mai raɗaɗi	0.050	0.742	0.330
painfully	zafi	0.156	0.720	0.407
painkiller	Painkiller	0.487	0.312	0.481
painless	m	0.785	0.173	0.491
pains	ciwo	0.106	0.673	0.362
painstaking	painstaking	0.396	0.335	0.386
paint	Paint	0.667	0.343	0.413
paintball	paintball	0.615	0.745	0.537
paintbrush	zanen fatar	0.714	0.226	0.353
painted	fentin	0.667	0.333	0.424
painter	mai zane	0.677	0.366	0.487
painting	zane	0.792	0.324	0.333
pair	biyu	0.552	0.317	0.304
paisley	Paisley	0.531	0.327	0.347
pajama	pajama	0.908	0.157	0.245
pajamas	Pajamas	0.719	0.170	0.264
pal	alal	0.812	0.426	0.596
palace	fadar sarki	0.878	0.510	0.804
palatable	maras nauyi	0.823	0.500	0.594
palate	palate	0.625	0.350	0.358
pale	kodadde	0.281	0.259	0.245
paleontology	kodin halitta	0.438	0.308	0.617
palette	palette	0.590	0.333	0.205
pall	pall	0.277	0.387	0.394
palladium	alkama	0.470	0.380	0.393
pallet	pallet	0.604	0.241	0.349
palliative	palliative	0.548	0.394	0.518
palm	dabino	0.531	0.194	0.340
palmer	palmer	0.480	0.269	0.413
palomino	palomino	0.616	0.349	0.396
palpable	alal misali	0.552	0.343	0.611
palpitations	alamu	0.417	0.702	0.528
palsy	palsy	0.083	0.446	0.221
paltry	sharaɗi	0.333	0.491	0.320
pamper	kaya	0.792	0.321	0.348
pamphlet	pamphlet	0.530	0.250	0.327
pan	kwanon rufi	0.734	0.182	0.364
panacea	panacea	0.420	0.427	0.613
panache	panache	0.510	0.363	0.306
pancake	pancake	0.802	0.274	0.364
pancakes	pancakes	0.844	0.373	0.402
pancreas	pancreas	0.469	0.302	0.366
panda	panda	0.646	0.194	0.406
pandemic	pandemic	0.160	0.790	0.544
pandemonium	pandemonium	0.229	0.885	0.500
pane	amsawa	0.385	0.250	0.444
panel	panel	0.469	0.321	0.425
pang	NO TRANSLATION	0.146	0.595	0.455
panhandle	panhandle	0.441	0.431	0.414
panic	tsoro	0.062	0.938	0.400
panicattack	NO TRANSLATION	0.255	0.724	0.386
panicked	abin mamaki	0.100	0.949	0.260
panicking	tsoro	0.094	0.882	0.333
panicky	panicky	0.284	0.962	0.393
panier	NO TRANSLATION	0.500	0.392	0.380
panorama	panorama	0.719	0.402	0.625
panoramic	panoramic	0.542	0.462	0.684
pansy	pansy	0.653	0.283	0.589
pant	motsa	0.448	0.463	0.409
pantheon	pantheon	0.144	0.410	0.610
panther	panther	0.303	0.594	0.682
panties	kaya	0.594	0.529	0.312
pantomime	wasan kwaikwayo	0.552	0.481	0.385
pantry	kayan aiki	0.622	0.294	0.312
pants	wando	0.673	0.320	0.333
panty	panty	0.451	0.557	0.303
pantyhose	pantyhose	0.570	0.539	0.250
pap	Pap	0.438	0.403	0.302
papa	Papa	0.656	0.340	0.527
papacy	papacy	0.481	0.263	0.553
papal	NO TRANSLATION	0.493	0.304	0.559
papaya	gwanda	0.630	0.306	0.300
paper	takarda	0.520	0.123	0.293
paperback	paperback	0.633	0.269	0.314
paperboy	takarda	0.521	0.490	0.471
paperweight	takarda	0.421	0.278	0.433
paperwork	takarda	0.448	0.355	0.422
paprika	paprika	0.417	0.250	0.264
papyrus	Papyrus	0.459	0.240	0.324
par	NO TRANSLATION	0.615	0.372	0.429
parable	misali	0.479	0.357	0.525
parabola	fasali	0.542	0.413	0.620
parabolic	alal misali	0.459	0.509	0.500
parachute	parachute	0.562	0.787	0.564
parade	farati	0.792	0.685	0.509
paradigm	misali	0.573	0.429	0.779
paradise	aljanna	0.875	0.540	0.796
paradox	sabani	0.417	0.442	0.482
paradoxical	sabani	0.406	0.547	0.433
paraffin	paraffin	0.426	0.291	0.343
paragon	alamar	0.490	0.431	0.473
paragraph	sakin layi	0.510	0.164	0.269
parakeet	parakeet	0.576	0.387	0.227
paralegal	alal misali	0.479	0.470	0.519
parallax	daidaici	0.437	0.394	0.471
parallel	a layi daya	0.568	0.284	0.465
parallelism	daidaici	0.549	0.363	0.527
paralysis	inna	0.156	0.500	0.305
paralyze	paralyze	0.188	0.367	0.471
paralyzed	paralyzed	0.194	0.480	0.198
paramedic	paramedic	0.673	0.464	0.636
paramedics	magunguna	0.479	0.594	0.712
paramilitary	sabo	0.154	0.804	0.727
paramount	mafi girma	0.771	0.615	0.902
paranoia	paranoia	0.146	0.841	0.407
paranoid	paranoid	0.122	0.918	0.364
paranormal	Paranormal	0.167	0.814	0.560
parapet	shimfiɗa	0.450	0.356	0.279
paraphernalia	tsari	0.443	0.726	0.509
paraphrase	fassarar	0.500	0.375	0.444
paraplegic	paraplegic	0.188	0.441	0.321
parasite	m	0.092	0.442	0.324
parasitic	parasitic	0.037	0.600	0.364
parasol	parasol	0.604	0.255	0.304
parcel	ƙunshi	0.660	0.324	0.411
parcels	yankunan	0.551	0.445	0.418
parched	bushe	0.250	0.235	0.255
parchment	takarda	0.615	0.228	0.455
pardon	gafara	0.552	0.413	0.542
pare	NO TRANSLATION	0.500	0.356	0.309
parenchyma	parenchyma	0.500	0.399	0.595
parent	iyaye	0.812	0.357	0.860
parentage	iyaye	0.903	0.382	0.595
parental	iyaye	0.760	0.430	0.627
parenthesis	NO TRANSLATION	0.510	0.255	0.380
parenthetical	iyaye	0.490	0.327	0.391
parenthood	iyaye	0.750	0.630	0.782
parenting	iyaye	0.812	0.520	0.676
pariah	pariah	0.397	0.478	0.293
parietal	parietal	0.481	0.333	0.491
paring	paring	0.429	0.441	0.324
parish	Ikklesiya	0.698	0.354	0.582
parity	parity	0.582	0.406	0.407
park	Park	0.816	0.343	0.414
parka	parka	0.469	0.481	0.395
parking	filin ajiye motoci	0.777	0.469	0.510
parkinsons	Parkinsons	0.104	0.570	0.373
parlance	parlance	0.510	0.350	0.462
parlay	parlay	0.469	0.611	0.483
parliament	majalisar	0.573	0.540	0.858
parliamentary	majalisar	0.490	0.554	0.755
parlor	parlor	0.500	0.327	0.366
parmesan	parmesan	0.698	0.321	0.382
parody	parody	0.561	0.651	0.375
parole	parole	0.388	0.620	0.526
parquet	parquet	0.541	0.240	0.422
parrot	kara	0.588	0.333	0.292
parry	parry	0.510	0.404	0.436
parse	parse	0.469	0.456	0.667
parsimonious	parsimonious	0.417	0.312	0.446
parsimony	parsimony	0.449	0.280	0.403
parsley	faski	0.458	0.170	0.291
parson	parson	0.583	0.250	0.615
part	sashe	0.663	0.278	0.360
partake	ci	0.755	0.656	0.629
partial	m	0.429	0.324	0.348
partiality	nuna kai tsaye	0.375	0.380	0.490
partially	wani bangare	0.418	0.368	0.396
participant	mai shiga	0.712	0.598	0.613
participate	shiga	0.755	0.580	0.684
participation	sa hannu	0.781	0.700	0.702
particle	barbashi	0.521	0.265	0.438
particular	musamman	0.562	0.402	0.552
particularity	musamman	0.670	0.434	0.586
particulars	bayani	0.604	0.348	0.525
parting	rabu	0.260	0.542	0.353
partisan	partisan	0.615	0.549	0.669
partisanship	hadin kai	0.438	0.566	0.551
partition	bangare	0.615	0.469	0.567
partly	wani ɓangare	0.415	0.410	0.396
partner	abokin tarayya	0.673	0.302	0.586
partnership	haɗin gwiwa	0.786	0.387	0.545
partridge	partridge	0.583	0.415	0.250
parts	sassa	0.459	0.327	0.392
party	jam'iyyar	0.948	0.840	0.547
pas	NO TRANSLATION	0.490	0.344	0.262
pass	wucewa	0.510	0.324	0.362
passable	wucewa	0.688	0.337	0.633
passage	nassi	0.429	0.314	0.370
passageway	hanyar wucewa	0.490	0.389	0.400
passe	NO TRANSLATION	0.531	0.357	0.426
passenger	fasinja	0.717	0.413	0.481
passim	NO TRANSLATION	0.458	0.491	0.333
passing	wucewa	0.458	0.298	0.509
passion	sha'awar	0.854	0.865	0.728
passionate	m	0.990	0.827	0.731
passive	m	0.420	0.116	0.241
passivity	wucewa	0.241	0.115	0.246
passkey	passkey	0.646	0.500	0.791
passport	fasfo	0.653	0.457	0.682
password	kalmar sirri	0.390	0.356	0.559
past	baya	0.490	0.422	0.311
pasta	taliya	0.615	0.306	0.375
paste	manna	0.500	0.556	0.500
pastel	pastel	0.719	0.357	0.367
pastime	wasa	0.677	0.353	0.443
pastor	fasto	0.698	0.236	0.746
pastrami	pastrami	0.542	0.415	0.348
pastry	fashewa	0.870	0.407	0.419
pasture	makiyaya	0.688	0.145	0.170
pasty	pasty	0.479	0.363	0.375
pat	pat	0.418	0.377	0.340
patch	patch	0.439	0.288	0.283
patchwork	patchwork	0.500	0.260	0.325
pate	pate	0.406	0.260	0.260
patella	patella	0.430	0.260	0.342
patent	patent	0.724	0.391	0.609
patented	An yi watsi da shi	0.571	0.422	0.685
paternal	iyaye	0.776	0.353	0.755
paternity	iyaye	0.704	0.590	0.806
path	hanya	0.590	0.245	0.421
pathetic	raɗaɗi	0.088	0.464	0.139
pathological	pathological	0.220	0.602	0.580
pathologist	pathologist	0.354	0.552	0.585
pathology	pathology	0.271	0.560	0.558
pathos	NO TRANSLATION	0.350	0.449	0.462
pathway	hanya	0.646	0.410	0.519
patience	haƙuri	0.771	0.125	0.387
patient	haƙuri	0.583	0.193	0.340
patio	patio	0.562	0.245	0.402
patriarch	ubangiji	0.592	0.448	0.898
patriarchal	patriarchal	0.531	0.500	0.857
patrimony	patrimony	0.719	0.406	0.740
patriot	yan kishin kasa	0.771	0.635	0.886
patriotic	patriotic	0.875	0.509	0.933
patriotism	patriotism	0.708	0.635	0.848
patrol	shinge	0.427	0.664	0.736
patrolman	patrolman	0.469	0.731	0.884
patron	mai kulawa	0.583	0.451	0.870
patronage	patronage	0.583	0.490	0.583
patronising	patronizing	0.439	0.455	0.582
patronize	patronize	0.430	0.451	0.591
patronizing	patronizing	0.542	0.365	0.529
patter	alamar	0.312	0.635	0.451
pattern	tsari	0.479	0.422	0.664
paucity	paucity	0.153	0.453	0.175
pauper	pauper	0.260	0.347	0.151
pause	dakatarwa	0.429	0.188	0.264
pave	kwashe	0.594	0.490	0.509
pavement	kwasfa	0.460	0.353	0.475
pavilion	alfarwa	0.583	0.500	0.770
paving	gyare	0.408	0.469	0.545
paw	Paw	0.417	0.360	0.286
pawn	pawn	0.390	0.321	0.187
pawnshop	pawnshop	0.396	0.439	0.519
pax	Pax	0.551	0.421	0.473
pay	biya	0.514	0.588	0.592
payable	biya	0.385	0.480	0.606
payback	payback	0.459	0.500	0.567
paycheck	paycheck	0.896	0.630	0.652
payday	ranar biya	0.833	0.741	0.571
payer	biya	0.313	0.630	0.638
payload	biya biya	0.612	0.510	0.682
payment	biya	0.629	0.452	0.643
payoff	payoff	0.740	0.644	0.673
payout	biya	0.646	0.600	0.575
payphone	payphone	0.469	0.360	0.370
payroll	albashi	0.521	0.360	0.549
pea	pea	0.580	0.275	0.298
peace	zaman lafiya	0.939	0.156	0.613
peaceable	zaman lafiya	0.776	0.134	0.453
peaceful	zaman lafiya	0.867	0.108	0.569
peacefully	da salama	0.901	0.190	0.639
peacekeeper	mai kula da zaman lafiya	0.865	0.320	0.644
peaceofmind	NO TRANSLATION	0.786	0.160	0.519
peacetime	lokacin dan lokaci	0.949	0.180	0.579
peach	peach	0.704	0.480	0.272
peachy	peachy	0.755	0.479	0.388
peacock	tsuntsaye	0.786	0.449	0.458
peak	ganiya	0.500	0.345	0.431
peaked	peaked	0.677	0.704	0.857
peanut	gyada	0.646	0.202	0.246
peanuts	kirki ba	0.542	0.294	0.324
pear	pear	0.677	0.158	0.241
pearl	lu'u-lu'u	0.905	0.425	0.642
pearly	pearly	0.635	0.337	0.373
peas	Peas	0.542	0.283	0.310
peasant	manoma	0.530	0.275	0.407
peat	peat	0.333	0.655	0.504
pebble	launi	0.354	0.353	0.287
pecan	pecan	0.552	0.316	0.358
peck	buga	0.202	0.530	0.321
pecker	kwasfa	0.459	0.509	0.375
peculiar	musamman	0.600	0.491	0.564
peculiarities	peculiarities	0.511	0.460	0.528
peculiarity	peculiarity	0.439	0.452	0.652
peculiarly	musamman	0.615	0.450	0.454
pecuniary	albashi	0.490	0.490	0.500
pedal	ƙusa	0.500	0.320	0.342
pedantic	pedantic	0.229	0.608	0.253
peddle	peddle	0.539	0.549	0.538
peddler	peddler	0.408	0.481	0.390
pedestal	shinge	0.735	0.284	0.579
pedestrian	mai tafiya	0.438	0.360	0.448
pediatric	pediatric	0.560	0.462	0.490
pediatrician	pediatrician	0.602	0.500	0.627
pediatrics	pediatrics	0.750	0.380	0.596
pedicure	pedicure	0.695	0.269	0.296
pedigree	lakabi	0.625	0.340	0.609
pedometer	fasalin	0.469	0.561	0.405
pedophile	safa	0.051	0.724	0.430
pee	bin	0.449	0.529	0.391
peek	kunya	0.486	0.360	0.411
peekaboo	peekaboo	0.592	0.607	0.412
peel	kwasfa	0.439	0.250	0.279
peep	peep	0.573	0.317	0.269
peeper	peeper	0.182	0.537	0.343
peephole	peephole	0.479	0.500	0.310
peer	yan uwan	0.458	0.321	0.569
peering	peering	0.514	0.409	0.451
peerless	ba tare da komai ba	0.688	0.450	0.462
peeved	ɓoye	0.156	0.750	0.467
peg	peg	0.520	0.357	0.393
pegs	kwari	0.408	0.286	0.386
peice	NO TRANSLATION	0.479	0.422	0.398
pelagic	tausananci	0.521	0.554	0.491
pelican	kwaskwarima	0.573	0.391	0.380
pellet	pellet	0.448	0.390	0.466
pelvic	pelvic	0.320	0.632	0.373
pelvis	ƙira	0.378	0.618	0.380
pen	pen	0.622	0.194	0.250
penal	hukunci	0.208	0.565	0.610
penalty	azãba	0.062	0.490	0.240
penance	penance	0.219	0.667	0.463
penchant	mai hankali	0.688	0.480	0.609
pencil	fensir	0.552	0.200	0.263
pendant	abin wuya	0.676	0.321	0.385
pendency	daidaituwa	0.396	0.452	0.472
pendent	NO TRANSLATION	0.470	0.380	0.425
pending	a lokacin	0.396	0.441	0.473
pendulum	shafi	0.542	0.368	0.434
penetrate	shiga	0.287	0.877	0.732
penetrating	shiga	0.469	0.792	0.782
penetration	shigarwa cikin farji	0.438	0.885	0.792
penguin	penguin	0.615	0.296	0.307
penicillin	penicillin	0.417	0.431	0.566
penile	penile	0.490	0.736	0.491
peninsula	yankunan ruwa	0.551	0.384	0.627
penis	azzakari	0.354	0.810	0.556
penitent	mãsu haƙuri	0.542	0.530	0.508
penitentiary	Kurkuku	0.229	0.726	0.491
penmanship	kamfani	0.677	0.284	0.509
pennant	pennant	0.542	0.380	0.426
penniless	ba tare da komai ba	0.062	0.316	0.083
penny	dinari	0.615	0.302	0.324
pension	fensho	0.625	0.409	0.406
pensioner	pensioner	0.440	0.245	0.442
pensive	m	0.540	0.220	0.529
pentagon	pentagon	0.490	0.636	0.774
pentagram	pentagram	0.510	0.433	0.466
penthouse	gidaje	0.592	0.430	0.395
penultimate	ƙaddamarwa	0.469	0.366	0.255
people	mutane	0.604	0.400	0.500
peopled	baƙi	0.594	0.450	0.679
pep	pep	0.510	0.510	0.364
pepper	barkono	0.400	0.539	0.328
peppermint	ruhun nana	0.720	0.264	0.271
pepperoni	pepperoni	0.796	0.472	0.358
peppy	peppy	0.677	0.529	0.438
peptic	peptic	0.398	0.463	0.362
peptide	peptide	0.380	0.480	0.411
perceive	fahimta	0.653	0.490	0.655
percent	kashi	0.470	0.350	0.356
percentage	kashi	0.469	0.400	0.553
percentile	kashi	0.479	0.410	0.390
perceptible	fahimta	0.710	0.460	0.620
perception	fahimta	0.653	0.481	0.655
perceptive	fahimta	0.745	0.500	0.741
perch	perch	0.531	0.300	0.314
perchance	yiwuwa	0.480	0.224	0.298
percolation	lalata	0.397	0.417	0.415
percussion	ƙaddara	0.622	0.635	0.642
perdition	halaka	0.135	0.656	0.496
peremptory	peremptory	0.429	0.426	0.606
perennial	sananne	0.527	0.358	0.500
perfect	cikakke	0.980	0.471	0.870
perfection	kammala	0.881	0.745	0.934
perfectionist	perfectionist	0.667	0.704	0.905
perfecto	NO TRANSLATION	0.802	0.567	0.889
perforated	perforated	0.219	0.607	0.344
perforation	dashi	0.365	0.668	0.578
perforce	tilasta	0.357	0.689	0.354
perform	yi	0.765	0.555	0.773
performance	yi	0.750	0.520	0.672
performer	wasan kwaikwayo	0.541	0.530	0.708
perfume	turare	0.740	0.472	0.463
perfumed	turare	0.816	0.471	0.509
peri	peri	0.448	0.433	0.370
peridot	peridot	0.458	0.481	0.435
peril	hadari	0.052	0.910	0.518
perilous	hadari	0.143	0.862	0.575
perimeter	kewaye	0.470	0.443	0.555
period	lokacin	0.396	0.324	0.588
periodic	lokaci-lokaci	0.677	0.324	0.508
periodical	lokaci-lokaci	0.550	0.298	0.430
periodically	lokaci-lokaci	0.480	0.314	0.515
periodicity	lokaci-lokaci	0.646	0.324	0.645
peripheral	gefe	0.406	0.406	0.549
periphery	kariya	0.469	0.360	0.366
periscope	periscope	0.604	0.375	0.609
perish	halaka	0.296	0.570	0.415
perishable	perishable	0.270	0.464	0.354
perished	halaka	0.135	0.596	0.225
perishing	halaka	0.229	0.423	0.148
perjury	rantsuwa	0.229	0.686	0.409
perk	perk	0.903	0.519	0.682
perky	perky	0.896	0.792	0.673
perm	perm	0.667	0.465	0.741
permanence	har abada	0.771	0.370	0.708
permanent	dindindin	0.745	0.345	0.736
permeable	permeable	0.635	0.402	0.495
permeate	permeate	0.417	0.410	0.407
permeation	permeation	0.418	0.559	0.536
permissible	halatta	0.684	0.646	0.612
permission	izinin	0.612	0.311	0.580
permissive	permissive	0.633	0.389	0.413
permit	yarda	0.733	0.349	0.518
permitted	halatta	0.865	0.410	0.613
permitting	yarda	0.724	0.481	0.661
permutation	ƙaddamarwa	0.385	0.588	0.500
pernicious	lalata	0.229	0.600	0.382
peroxide	peroxide	0.458	0.529	0.510
perpendicular	perpendicular	0.510	0.398	0.439
perpetrate	ci gaba	0.327	0.837	0.732
perpetrator	farfadowa	0.229	0.765	0.538
perpetual	har abada	0.625	0.438	0.741
perpetually	har abada	0.510	0.473	0.868
perpetuate	ci gaba	0.397	0.588	0.788
perpetuation	ci gaba	0.510	0.677	0.716
perpetuity	har abada	0.590	0.434	0.759
perplexed	damuwa	0.312	0.705	0.318
perplexing	damuwa	0.316	0.530	0.362
perplexity	damuwa	0.275	0.720	0.500
persecute	tsananta	0.281	0.873	0.509
persecution	tsananta	0.229	0.865	0.660
perseverance	juriya	0.888	0.630	0.796
persevere	jure	0.802	0.583	0.937
persist	ci gaba	0.765	0.644	0.727
persistence	juriya	0.684	0.611	0.873
persistent	m	0.646	0.667	0.815
persisting	ci gaba	0.697	0.677	0.745
person	mutum	0.646	0.363	0.596
persona	NO TRANSLATION	0.741	0.480	0.743
personable	m	0.816	0.520	0.637
personage	mutum	0.653	0.324	0.698
personal	na sirri	0.750	0.311	0.467
personality	hali	0.896	0.513	0.790
personification	keɓancewa	0.760	0.471	0.691
personnel	ma'aikatan	0.729	0.344	0.587
persons	mutane	0.869	0.302	0.588
perspective	hangen zaman gaba	0.688	0.470	0.704
perspiration	gumi	0.385	0.667	0.490
persuade	rinjayi	0.620	0.618	0.709
persuasion	rinjaya	0.612	0.670	0.537
persuasive	m	0.740	0.700	0.657
pert	rasa	0.469	0.460	0.348
pertinent	dace	0.580	0.333	0.723
perturbation	damuwa	0.270	0.840	0.500
pertussis	pertussis	0.279	0.569	0.386
perusal	perusal	0.622	0.235	0.543
peruse	duba	0.503	0.270	0.439
pervading	pervading	0.418	0.684	0.728
perverse	rudani	0.146	0.808	0.464
perversion	rushewa	0.083	0.830	0.490
pervert	karkata	0.082	0.863	0.500
perverted	karkatar da	0.062	0.918	0.436
pesky	pesky	0.250	0.760	0.431
pessimism	pessimism	0.083	0.484	0.264
pessimist	pessimist	0.125	0.470	0.218
pessimistic	pessimistic	0.088	0.394	0.236
pest	kwaro	0.188	0.680	0.452
pester	pester	0.143	0.780	0.385
pestilence	annoba	0.122	0.660	0.283
pestle	pestle	0.427	0.463	0.426
pesto	pesto	0.531	0.323	0.336
pet	Pet	0.875	0.327	0.305
petal	petal	0.810	0.194	0.211
petite	karama	0.510	0.354	0.245
petition	takarda kai	0.498	0.575	0.415
petitioner	takarda	0.601	0.531	0.566
petloss	NO TRANSLATION	0.271	0.481	0.424
petpeeve	NO TRANSLATION	0.375	0.594	0.392
petrified	karara	0.221	0.625	0.232
petrify	petrify	0.177	0.571	0.447
petrol	fetur	0.418	0.519	0.577
petroleum	man fetur	0.583	0.451	0.640
petticoat	petticoat	0.550	0.396	0.351
petting	hawan	0.812	0.462	0.480
petty	kadan	0.210	0.537	0.236
petulant	maras lafiya	0.247	0.685	0.491
petunia	petunia	0.583	0.260	0.356
pew	pew	0.449	0.235	0.664
pewter	pewter	0.396	0.260	0.321
peyote	NO TRANSLATION	0.406	0.462	0.426
phalanx	phalanx	0.398	0.398	0.455
phantom	fatalwa	0.260	0.759	0.448
pharaoh	pharaoh	0.656	0.491	0.798
pharmaceutical	Pharmaceutical	0.500	0.435	0.562
pharmacist	magunguna	0.592	0.382	0.648
pharmacology	pharmacology	0.560	0.440	0.526
pharmacy	kantin magani	0.531	0.337	0.542
phase	lokaci	0.645	0.300	0.482
pheasant	pheasant	0.541	0.362	0.292
phenomenal	mamaki	0.915	0.750	0.918
phenomenon	sabon abu	0.625	0.721	0.848
pheromone	pheromone	0.561	0.573	0.561
phew	phew	0.531	0.429	0.302
phi	phi	0.420	0.361	0.452
philanthropic	jin kai	0.812	0.426	0.717
philanthropist	mai taimakawa	0.704	0.463	0.623
philanthropy	jin kai	0.745	0.412	0.801
philistine	philistine	0.390	0.500	0.491
philosopher	masanin kimiyya	0.684	0.316	0.720
philosophic	falsafa	0.688	0.270	0.655
philosophical	falsafa	0.719	0.275	0.713
philosophy	falsafar	0.684	0.255	0.640
phlegm	phlegm	0.173	0.394	0.240
pho	pho	0.541	0.370	0.384
phobia	phobia	0.173	0.904	0.291
phoenix	Phoenix	0.653	0.481	0.594
phone	waya	0.729	0.344	0.418
phonetic	faɗakarwa	0.542	0.435	0.536
phonetics	salo	0.646	0.425	0.519
phonics	Hoto	0.490	0.519	0.455
phonograph	phonograph	0.561	0.398	0.565
phonology	phonology	0.695	0.402	0.512
phony	phony	0.115	0.592	0.202
phooey	sautin	0.333	0.490	0.352
phosphate	phosphate	0.500	0.306	0.407
phosphor	phosphor	0.438	0.480	0.427
phosphorus	phosphorus	0.429	0.539	0.370
photo	hoto	0.729	0.327	0.431
photogenic	hoto	0.780	0.500	0.495
photograph	hoto	0.677	0.353	0.358
photographer	mai daukar hoto	0.714	0.481	0.562
photographic	hoto	0.761	0.429	0.564
photography	daukar hoto	0.630	0.431	0.360
photometry	hotuna	0.417	0.456	0.436
photon	photon	0.459	0.439	0.455
phrase	magana	0.630	0.264	0.314
phraseology	phrasesology	0.620	0.406	0.537
phylogeny	phylogeny	0.378	0.410	0.481
physical	jiki	0.750	0.520	0.607
physical therapist	mai ilimin hanyoyin kwantar da hankali	0.531	0.337	0.775
physician	likita	0.583	0.490	0.843
physicist	physicist	0.635	0.538	0.693
physics	kimiyya	0.582	0.415	0.664
physiological	physiological	0.510	0.418	0.620
physiology	physiology	0.521	0.451	0.519
physique	jiki	0.643	0.500	0.543
pi	pi	0.469	0.265	0.400
pianist	pianist	0.806	0.491	0.573
piano	piano	0.704	0.343	0.438
piazza	piazza	0.625	0.471	0.472
piccolo	NO TRANSLATION	0.625	0.423	0.380
pick	karɓa	0.500	0.464	0.525
picked	tsince	0.740	0.518	0.670
picker	mai karbi	0.534	0.340	0.609
picket	picket	0.365	0.615	0.451
picketing	kaya	0.330	0.557	0.471
pickle	gwangwani	0.593	0.449	0.288
pickled	yankakke	0.344	0.450	0.291
pickpocket	pickpocket	0.365	0.704	0.449
pickup	sama	0.561	0.529	0.420
picky	picky	0.257	0.729	0.598
picnic	pikinik	0.625	0.470	0.375
pictorial	pictorial	0.704	0.481	0.476
picture	hoto	0.714	0.308	0.462
pictures	hotuna	0.653	0.240	0.405
picturesque	hotuna	0.802	0.491	0.483
pie	Kusa	0.880	0.402	0.368
piece	yanki	0.646	0.245	0.367
piecemeal	yanki	0.615	0.269	0.319
pieceofshit	yanki	0.083	0.724	0.292
pied	ƙafa	0.594	0.433	0.350
pier	dut	0.583	0.279	0.445
pierce	soki	0.365	0.670	0.611
piety	taƙawa	0.760	0.340	0.482
pig	alade	0.343	0.368	0.324
pigeon	pigeon	0.688	0.224	0.276
piggy	alaka	0.541	0.365	0.412
piggyback	piggyback	0.438	0.490	0.343
pigheaded	pigheaded	0.271	0.472	0.358
piglet	piglet	0.540	0.443	0.250
