Word	Igbo-ig	Valence	Arousal	Dominance
naturalized	naturalized	0.760	0.333	0.600
naturally	n'ezie	0.854	0.276	0.549
nature	ọdịdị	0.857	0.184	0.643
naught	enweghị	0.344	0.176	0.161
naughty	adịghị mma	0.451	0.857	0.371
nausea	nausea	0.104	0.781	0.273
nauseate	nauseate	0.062	0.660	0.176
nauseating	nauseating	0.021	0.640	0.250
nauseous	nauseous	0.135	0.780	0.284
nautical	nautical	0.646	0.250	0.579
nautilus	nautilus	0.396	0.509	0.517
naval	ụgbọ mmiri	0.542	0.449	0.679
nave	nave	0.583	0.448	0.585
navel	otu	0.448	0.261	0.276
navigable	ụgbọ mmiri	0.749	0.406	0.645
navigate	nyochaa	0.740	0.555	0.675
navigation	igodo	0.841	0.470	0.720
navigational	nhazi	0.573	0.481	0.564
navigator	ọkwọ ụgbọ mmiri	0.583	0.592	0.623
navy	ụgbọ mmiri	0.531	0.760	0.764
nay	NO TRANSLATION	0.344	0.290	0.325
nearsighted	enweghị anya	0.271	0.373	0.265
neat	anya	0.878	0.235	0.491
neatly	adịghị mma	0.802	0.412	0.588
nebula	nebula	0.510	0.418	0.438
nebulae	nebulae	0.490	0.330	0.472
nebulous	adịghị njọ	0.469	0.347	0.417
necessarily	dị mkpa	0.667	0.423	0.598
necessary	dị mkpa	0.750	0.433	0.679
necessitate	dị mkpa	0.578	0.604	0.516
necessities	ihe ndị dị mkpa	0.520	0.630	0.463
necessity	mkpa	0.567	0.471	0.588
neck	n'olu	0.541	0.245	0.345
necklace	olu	0.760	0.294	0.373
necktie	olu	0.583	0.229	0.314
necromancer	necromancer	0.333	0.625	0.536
necrosis	necrosis	0.115	0.622	0.385
nectar	nectar	0.746	0.331	0.398
need	mkpa	0.510	0.574	0.200
needalife	NO TRANSLATION	0.490	0.443	0.394
needed	dị mkpa	0.677	0.342	0.679
needful	mkpa	0.582	0.460	0.614
needit	NO TRANSLATION	0.250	0.472	0.356
needle	agịga	0.250	0.472	0.360
needlepoint	ihe dị mkpa	0.653	0.500	0.556
needles	ọ dị mkpa	0.250	0.602	0.348
needless	enweghị isi	0.327	0.385	0.200
needtoknow	achọrọ	0.427	0.606	0.474
needtorelax	NO TRANSLATION	0.673	0.438	0.274
needy	ndị nọ ná mkpa	0.360	0.451	0.245
nefarious	adịghị njọ	0.184	0.720	0.528
negation	negation	0.255	0.461	0.297
negative	adịghị mma	0.102	0.527	0.176
negativity	negativity	0.060	0.520	0.273
neglect	eleghara anya	0.045	0.550	0.163
neglected	eleghara anya	0.271	0.385	0.160
neglecting	eleghara anya	0.177	0.441	0.230
negligee	eleghara anya	0.385	0.520	0.336
negligence	nleghara anya	0.092	0.570	0.251
negligent	eleghara anya	0.167	0.583	0.259
negligently	NO TRANSLATION	0.056	0.583	0.266
negligible	negligible	0.177	0.292	0.232
negotiable	ọnụọgụ	0.688	0.585	0.731
negotiate	kwurịta	0.612	0.708	0.769
negotiation	mkparita uka	0.490	0.615	0.728
negotiator	onye nkwekọrịta	0.635	0.471	0.817
negro	negro	0.354	0.368	0.461
neigh	kwaa ákwá	0.378	0.642	0.373
neighbor	onye agbata obi	0.657	0.448	0.434
neighborhood	agbata	0.385	0.469	0.373
neighboring	agbata obi	0.656	0.306	0.481
nemesis	nemesis	0.271	0.688	0.647
neon	neon	0.594	0.480	0.380
neonatal	neonatal	0.542	0.529	0.357
neophyte	neophyte	0.286	0.363	0.411
neoprene	neoprene	0.316	0.451	0.443
nephew	nwa nwanne	0.719	0.337	0.412
nepotism	nepotism	0.349	0.584	0.517
nerd	nerd	0.408	0.481	0.315
nerdy	nerdy	0.296	0.255	0.292
nerve	akwara	0.129	0.698	0.307
nerves	akwara	0.333	0.783	0.264
nervous	ụjọ	0.235	0.820	0.213
nervousness	nervousness	0.163	0.915	0.241
nervouswreck	NO TRANSLATION	0.112	0.867	0.179
nervy	NO TRANSLATION	0.250	0.830	0.241
ness	ọ bụ	0.396	0.480	0.392
nest	akwu	0.687	0.221	0.333
nestle	nestle	0.625	0.308	0.379
nestling	nestling	0.604	0.427	0.286
net	ụgbụ	0.441	0.288	0.417
nether	ala	0.240	0.265	0.259
netting	na-agba	0.368	0.509	0.585
nettle	nettle	0.406	0.324	0.490
network	netwọk	0.531	0.337	0.466
networking	netwọk	0.625	0.482	0.545
neural	neural	0.582	0.426	0.391
neuralgia	neuralgia	0.092	0.706	0.439
neurological	neurological	0.500	0.540	0.558
neurologist	neurologist	0.608	0.500	0.736
neurology	neurology	0.459	0.537	0.580
neurosis	neurosis	0.122	0.766	0.418
neurosurgeon	neurosurgeon	0.590	0.673	0.755
neurosurgery	neurosurgery	0.490	0.632	0.730
neurotic	neurotic	0.198	0.801	0.387
neuter	neuter	0.621	0.163	0.302
neutral	anọpụ iche	0.469	0.184	0.357
neutrality	nnọpụiche	0.469	0.205	0.434
neutralize	belata	0.519	0.363	0.719
neutron	anọpụghị	0.469	0.440	0.679
new	ọhụrụ	0.917	0.490	0.582
new age	afọ ọhụrụ	0.694	0.556	0.727
newbeginnings	NO TRANSLATION	0.802	0.613	0.524
newborn	nwa amụrụ ọhụrụ	0.918	0.580	0.372
newcomer	onye ohuru	0.622	0.380	0.396
newday	ụbọchị ọhụrụ	0.847	0.388	0.618
newfound	ọhụrụ	0.745	0.741	0.520
newjob	NO TRANSLATION	0.755	0.643	0.729
newlife	ọhụrụ ndụ	0.898	0.646	0.701
newly	ọhụrụ	0.688	0.422	0.552
newlywed	alụ ọhụrụ	0.847	0.706	0.570
newme	ọhụrụ	0.643	0.550	0.527
newness	ọhụrụ	0.740	0.522	0.588
news	akụkọ	0.633	0.580	0.610
newscast	ozi ọma	0.531	0.509	0.714
newscaster	akụkọ ozi	0.646	0.510	0.764
newsflash	akụkọ akụkọ	0.604	0.637	0.518
newsletter	akwụkwọ akụkọ	0.622	0.385	0.490
newsman	onye nta akụkọ	0.604	0.480	0.696
newspaper	akwụkwọ akụkọ	0.602	0.283	0.444
newspaperman	akwụkwọ akụkọ	0.561	0.458	0.750
newsreel	akụkọ ifo	0.625	0.571	0.577
newsroom	nhazi ozi	0.531	0.392	0.658
newsstand	akwụkwọ akụkọ	0.615	0.222	0.336
newstart	newstart	0.802	0.510	0.667
newt	ọhụrụ	0.458	0.380	0.541
newyear	NO TRANSLATION	0.938	0.784	0.520
nexus	nexus	0.496	0.368	0.412
nib	ebe	0.510	0.282	0.406
nibble	ebe	0.551	0.551	0.411
nice	mma	0.930	0.442	0.650
niche	niche	0.459	0.413	0.318
nichts	NO TRANSLATION	0.406	0.293	0.404
nick	nick	0.554	0.388	0.387
nickel	nickel	0.510	0.347	0.406
nickname	aha otutu	0.490	0.470	0.263
nicotine	nicotine	0.235	0.608	0.447
niece	niece	0.771	0.320	0.400
nifty	dị elu	0.740	0.745	0.815
nigger	nigger	0.240	0.347	0.398
nigh	nso	0.653	0.216	0.336
night	n'abalị	0.598	0.396	0.404
nightcap	nightcap	0.750	0.196	0.268
nightclub	ụlọ ịgba egwu	0.802	0.894	0.528
nightfall	abalị	0.490	0.436	0.426
nightgown	nrọ	0.643	0.408	0.250
nightie	nightie	0.630	0.388	0.274
nightingale	nightingale	0.740	0.340	0.496
nightlife	ndụ ndụ	0.542	0.783	0.510
nightly	n'abalị	0.673	0.410	0.474
nightmare	nro	0.005	0.810	0.436
nightmares	nrọ	0.082	0.942	0.448
nightstand	ihe ndozi	0.490	0.130	0.327
nightstick	abalị	0.500	0.461	0.348
nighttime	abalị	0.735	0.385	0.439
nihilism	nha	0.367	0.510	0.364
nil	nil	0.286	0.143	0.157
nimble	nimble	0.833	0.729	0.769
nimrod	nimrod	0.327	0.500	0.539
nincompoop	nincompoop	0.365	0.431	0.368
nine	itoolu	0.552	0.255	0.327
nineteen	iri na itoolu	0.673	0.304	0.375
ninety	iri itoolu	0.479	0.349	0.436
ninja	ninja	0.542	0.844	0.682
ninny	ninny	0.344	0.343	0.309
nintendo	nintendo	0.802	0.571	0.464
ninth	itoolu	0.490	0.212	0.396
nip	nhicha	0.281	0.700	0.264
nipper	nwu	0.386	0.422	0.317
nipple	onua	0.480	0.786	0.415
nippy	nippy	0.540	0.500	0.416
nitrate	nitrate	0.388	0.406	0.500
nitro	nitro	0.500	0.647	0.639
nitrogen	nitrogen	0.427	0.435	0.562
nitrous	nitrous	0.435	0.561	0.411
nitwit	nitwit	0.146	0.606	0.139
nix	nix	0.330	0.380	0.404
no anticipation	enweghị atụmanya	0.396	0.480	0.341
no disgust	ọ bụghị ihe arụ	0.510	0.324	0.448
no emotion	enweghị mmetụta ọ bụla	0.170	0.109	0.225
no sentiment	enweghị mmetụta	0.092	0.382	0.278
no surprise	ọ bụghị ihe ijuanya	0.171	0.224	0.412
no trust	enweghị ntụkwasị obi	0.055	0.445	0.257
nobility	mba	0.844	0.347	0.736
noble	mara mma	0.906	0.345	0.610
nobleman	ọgaranya	0.675	0.286	0.709
nobodycares	NO TRANSLATION	0.365	0.410	0.354
nocomplaints	NO TRANSLATION	0.677	0.164	0.491
nocturnal	nocturnal	0.540	0.500	0.462
nod	nod	0.590	0.367	0.427
nodding	nodding	0.694	0.294	0.426
node	ọnụ	0.396	0.343	0.361
nodular	nodular	0.438	0.351	0.411
nodule	nodule	0.312	0.426	0.349
noggin	nchịkwa	0.510	0.433	0.382
nohope	NO TRANSLATION	0.200	0.441	0.385
noir	black	0.375	0.394	0.365
noise	mkpọtụ	0.260	0.883	0.388
noisy	uju	0.271	0.812	0.561
nomad	nomad	0.375	0.413	0.433
nomadic	nomadic	0.427	0.519	0.422
nomenclature	nomenclature	0.500	0.222	0.575
nominal	aha	0.594	0.250	0.463
nominate	họrọ	0.615	0.471	0.669
nomination	nhoputa	0.663	0.637	0.696
nominee	onye nomine	0.662	0.625	0.765
nonce	ọ bụghị	0.422	0.370	0.377
nonchalant	nonchalant	0.312	0.314	0.366
noncompliance	nkwenye	0.112	0.598	0.259
nondescript	nondescript	0.490	0.434	0.348
nonexistent	adịghị adị	0.208	0.429	0.149
nonfat	mba na-adịghị	0.604	0.260	0.340
nonfiction	ezighi ezi	0.426	0.315	0.431
nonpayment	enweghị ụgwọ ọrụ	0.229	0.510	0.298
nonresident	abụghị onye isi	0.250	0.340	0.302
nonsense	nzuzu	0.214	0.531	0.155
nonsensical	nonsensical	0.173	0.268	0.193
nonviolent	enweghị ike	0.640	0.287	0.346
noob	noob	0.417	0.430	0.267
noodle	noodle	0.633	0.216	0.225
nook	mba	0.480	0.321	0.296
noon	ehihie	0.531	0.343	0.518
noose	noose	0.356	0.300	0.330
nopoint	NO TRANSLATION	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	iwu	0.500	0.245	0.527
normal	nkịtị	0.740	0.127	0.380
normalcy	nkịtị	0.805	0.151	0.620
normality	ezumike	0.781	0.089	0.444
north	n'ebe ugwu	0.531	0.255	0.450
northbound	northbound	0.604	0.454	0.491
northeast	n'ebe ugwu	0.562	0.260	0.375
northern	ugwu	0.570	0.340	0.472
northwest	n'ebe ugwu ọdịda anyanwụ	0.604	0.345	0.451
northwestern	n'ebe ugwu ọdịda anyanwụ	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	imi	0.582	0.270	0.245
nosebleed	agba ume	0.153	0.776	0.361
nosey	ọfọn	0.276	0.655	0.223
nosnow	amaghị	0.392	0.394	0.366
nostalgia	na-enweghị ọhụụ	0.417	0.337	0.339
nostalgic	enweghị nsogbu	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	nostril	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	ọfọn	0.292	0.558	0.433
not negative	ọ bụghị ihe ọjọọ	0.622	0.270	0.444
not positive	adịghị mma	0.051	0.370	0.236
notable	ọwọrọiso	0.760	0.450	0.696
notables	ndị a ma ama	0.594	0.608	0.755
notably	n'ụzọ dị mkpa	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	notari	0.541	0.451	0.676
notation	ọkwa	0.635	0.380	0.558
notch	notch	0.459	0.361	0.358
notched	eleghi anya	0.480	0.530	0.356
note	dee	0.594	0.163	0.416
notebook	ederede	0.449	0.167	0.442
noted	kwuru	0.615	0.382	0.464
noteworthy	dị ịrịba ama	0.704	0.481	0.759
nothappy	NO TRANSLATION	0.112	0.320	0.170
nothingbetter	NO TRANSLATION	0.635	0.390	0.543
nothingness	ihe efu	0.204	0.080	0.161
notice	nyochaa	0.646	0.408	0.491
noticeable	mara mma	0.890	0.562	0.750
notification	ngosi	0.604	0.461	0.671
notify	gwa	0.643	0.471	0.573
notion	echiche	0.612	0.284	0.667
notional	echiche	0.520	0.288	0.500
notoriety	ama ama	0.552	0.633	0.769
notorious	mara	0.366	0.582	0.609
notready	emebeghị	0.133	0.400	0.196
notwithstanding	n'agbanyeghị	0.367	0.316	0.433
nought	enweghị	0.312	0.098	0.116
noun	aha	0.531	0.230	0.477
nourish	na-azụlite	0.878	0.460	0.639
nourishment	nri	0.786	0.290	0.631
nouveau	NO TRANSLATION	0.633	0.438	0.432
novel	akwukwo	0.702	0.352	0.439
novelist	onye edemede	0.340	0.343	0.529
novelty	ihe omuma	0.673	0.521	0.740
novice	novice	0.429	0.346	0.180
nowadays	n'oge a	0.680	0.346	0.400
nowork	ugbu a	0.312	0.264	0.309
noworries	enweghị nchekasị	0.630	0.402	0.500
noxious	ihe ojoo	0.177	0.585	0.379
nozzle	ederede	0.438	0.330	0.287
nuance	nuance	0.408	0.282	0.411
nuances	nuances	0.490	0.375	0.527
nuclear	nuklia	0.219	0.856	0.781
nucleus	nucleus	0.529	0.296	0.667
nude	nude	0.490	0.915	0.200
nudge	nudge	0.448	0.500	0.509
nudie	nudie	0.500	0.529	0.373
nudist	na-egwu	0.440	0.796	0.483
nudity	ncha	0.438	0.853	0.415
nugget	nugget	0.602	0.340	0.348
nuisance	nhụsianya	0.198	0.817	0.227
nuke	nuke	0.125	0.905	0.873
nul	NO TRANSLATION	0.337	0.358	0.264
null	null	0.253	0.147	0.152
nullify	nullify	0.255	0.373	0.395
numb	ụda	0.108	0.420	0.352
number	nọmba	0.406	0.231	0.471
numbering	ọnụ ọgụgụ	0.510	0.363	0.482
numbers	nọmba	0.406	0.241	0.440
numbness	nkwụsị	0.306	0.398	0.265
numbskull	numbskull	0.300	0.472	0.284
numeral	ọnụ ọgụgụ	0.582	0.254	0.382
numerator	numerator	0.490	0.317	0.526
numerical	nọmba	0.479	0.322	0.517
numerically	ugboro ole	0.510	0.337	0.500
numerous	ọtụtụ	0.622	0.462	0.609
nun	NO TRANSLATION	0.500	0.150	0.406
nunchucks	nunchucks	0.337	0.580	0.526
nunnery	nhazi	0.653	0.236	0.473
nuptials	ihe ndozi	0.771	0.588	0.571
nurse	nọọsụ	0.635	0.578	0.521
nursemaid	Nọọsụ	0.615	0.431	0.436
nursery	akwalite akwụkwọ	0.894	0.406	0.389
nursing	elekọta nwa	0.552	0.549	0.653
nurture	zụlite	0.745	0.378	0.657
nut	nut	0.365	0.310	0.250
nutcase	nri	0.286	0.775	0.259
nutcracker	nutcracker	0.635	0.378	0.522
nuthouse	Nri	0.347	0.519	0.434
nutmeg	nutmeg	0.635	0.302	0.350
nutrition	nri oriri	0.885	0.420	0.579
nutritional	Nri	0.812	0.406	0.676
nutritious	na-edozi ahụ	0.833	0.337	0.655
nutritive	nri	0.875	0.422	0.667
nuts	mkpụrụ	0.594	0.250	0.291
nutshell	akụ	0.458	0.407	0.310
nutty	nutty	0.444	0.317	0.271
nylon	nylon	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	nylon	0.556	0.379	0.320
nymph	nymph	0.542	0.529	0.472
nymphomaniac	nymphomaniac	0.398	0.894	0.536
oaf	oaf	0.344	0.357	0.330
oak	akpu	0.583	0.245	0.536
oar	oar	0.469	0.392	0.316
oasis	oasis	0.796	0.283	0.429
oat	oat	0.622	0.170	0.298
oath	ṅụọ iyi	0.543	0.615	0.824
oatmeal	oatmeal	0.592	0.192	0.241
obedience	nrubeisi	0.765	0.287	0.536
obedient	nrube isi	0.800	0.179	0.518
obediently	nrubeisi	0.802	0.304	0.577
obelisk	obelisk	0.604	0.408	0.596
obese	obese	0.133	0.427	0.250
obesity	oke ibu	0.215	0.370	0.328
obey	rube isi	0.677	0.433	0.533
obi	obi	0.469	0.442	0.414
obit	obit	0.410	0.464	0.393
obituary	ọhụụ	0.188	0.330	0.423
object	ihe	0.531	0.356	0.375
objection	nkatọ	0.347	0.592	0.709
objectionable	ihe na-adịghị mma	0.459	0.382	0.558
objective	ihe mgbaru ọsọ	0.724	0.337	0.736
objectivity	arụ ọrụ	0.765	0.431	0.711
obligation	ọrụ	0.222	0.596	0.718
obligatory	iwu	0.337	0.571	0.780
oblige	chie	0.281	0.770	0.614
obliged	iwu	0.327	0.680	0.411
obliging	iwu	0.740	0.402	0.545
obligor	ọ dị mkpa	0.302	0.600	0.360
oblique	oblique	0.438	0.347	0.455
obliterate	kpochapu	0.250	0.539	0.569
obliterated	kpochapu	0.240	0.469	0.344
obliteration	mkpochapu	0.177	0.622	0.397
oblivion	echefu	0.153	0.330	0.282
oblivious	amaghị	0.229	0.388	0.355
oblong	oblong	0.561	0.455	0.370
obnoxious	na-asọ oyi	0.088	0.602	0.256
oboe	oboe	0.510	0.340	0.392
obscene	ihe rụrụ arụ	0.050	0.745	0.348
obscenity	okwu njakịrị	0.083	0.843	0.418
obscure	ezo	0.370	0.551	0.278
obscured	ekpuchi	0.115	0.356	0.298
obscurity	ezo	0.208	0.392	0.380
observance	ememe	0.531	0.315	0.632
observant	na-ekiri	0.740	0.422	0.708
observation	nchọpụta	0.633	0.433	0.667
observatory	onye nche	0.643	0.324	0.731
observe	edebe	0.771	0.390	0.360
observer	onye na-ekiri ya	0.663	0.363	0.603
observing	na-ekiri	0.583	0.400	0.685
obsess	anya	0.112	0.846	0.509
obsessed	eche	0.219	0.840	0.439
obsessing	eche	0.173	0.773	0.698
obsession	anya	0.229	0.847	0.571
obsessive	anya	0.219	0.823	0.480
obsolescence	ọhụụ	0.250	0.431	0.377
obsolete	agwụla	0.337	0.321	0.250
obstacle	ihe mgbochi	0.204	0.708	0.336
obstetrician	obstetrician	0.521	0.636	0.604
obstetrics	obstetrics	0.530	0.582	0.564
obstinate	ekwenyeghi	0.146	0.696	0.562
obstruct	gbochi	0.115	0.660	0.458
obstruction	igbochi	0.125	0.742	0.491
obstructive	igbochi	0.204	0.650	0.613
obtain	nweta	0.760	0.438	0.731
obtainable	nweta	0.677	0.327	0.702
obtuse	wepu	0.281	0.460	0.345
obverse	obugh	0.470	0.394	0.464
obvious	doro anya	0.625	0.336	0.585
ocarina	ocarina	0.541	0.392	0.366
occasion	oge	0.700	0.451	0.398
occasional	mgbe ụfọdụ	0.490	0.298	0.387
occasionally	mgbe ụfọdụ	0.538	0.240	0.264
occipital	occipital	0.398	0.408	0.518
occlusion	emechi	0.306	0.439	0.442
occult	anwansi	0.292	0.382	0.406
occupancy	bi n'ime ya	0.625	0.471	0.721
occupant	onye bi	0.500	0.417	0.483
occupation	ọrụ	0.562	0.470	0.692
occupational	arụ ọrụ	0.583	0.469	0.596
occupied	biri	0.337	0.546	0.441
occupier	onye bi	0.427	0.438	0.600
occupy	bi	0.396	0.520	0.589
occupying	bi	0.573	0.462	0.519
occur	eme	0.451	0.561	0.510
occurrence	ihe omume	0.573	0.690	0.541
ocd	ocd	0.333	0.472	0.370
ocean	oké osimiri	0.823	0.308	0.642
oceanic	oké osimiri	0.740	0.317	0.632
octagon	octagon	0.602	0.349	0.462
octave	okpu	0.438	0.380	0.482
octopus	ọktopus	0.713	0.378	0.411
ocular	ocular	0.418	0.370	0.400
odd	odighi	0.265	0.337	0.302
oddball	oddball	0.316	0.360	0.357
oddity	oddity	0.312	0.557	0.386
odds	nsogbu	0.500	0.472	0.680
ode	ode	0.604	0.269	0.519
odious	jọgburu onwe ya	0.235	0.708	0.235
odometer	odometer	0.367	0.470	0.388
odor	odor	0.337	0.363	0.404
odyssey	odyssey	0.622	0.692	0.710
oedipal	oedipal	0.312	0.575	0.509
oestrogen	estrogen	0.521	0.608	0.561
oeuvre	NO TRANSLATION	0.653	0.484	0.598
offal	gbanyụọ	0.302	0.470	0.302
offence	mmejọ	0.312	0.798	0.446
offend	ewe iwe	0.094	0.804	0.333
offended	kpasuru	0.188	0.690	0.337
offender	onye mebiri	0.104	0.851	0.537
offense	mmejọ	0.230	0.765	0.510
offensive	iwe	0.135	0.882	0.600
offer	enye	0.750	0.745	0.596
offered	nyere	0.582	0.490	0.544
offering	onyinye	0.688	0.462	0.585
offhand	anya	0.388	0.500	0.368
office	ụlọ ọrụ	0.427	0.302	0.509
officer	onye nlekọta	0.542	0.430	0.877
offices	ụlọ ọrụ	0.469	0.312	0.534
official	onye ochichi	0.646	0.565	0.833
officiate	arụ ọrụ	0.688	0.453	0.704
offing	inye	0.490	0.412	0.447
offload	iwepụ	0.479	0.444	0.525
offset	iwe	0.719	0.394	0.704
offshoot	wepụ	0.517	0.330	0.361
offshore	oke osimiri	0.417	0.484	0.441
offside	n'akụkụ	0.323	0.519	0.443
offspring	mkpụrụ	0.656	0.435	0.600
oft	ugboro ole	0.500	0.308	0.474
oftentimes	ọtụtụ mgbe	0.571	0.500	0.482
ogre	ogre	0.135	0.698	0.510
ohdear	NO TRANSLATION	0.458	0.519	0.442
ohgod	NO TRANSLATION	0.500	0.557	0.439
ohno	ohno	0.396	0.475	0.380
ohshit	NO TRANSLATION	0.230	0.594	0.343
oil	mmanụ	0.521	0.278	0.306
oils	mmanụ	0.459	0.229	0.391
oily	mmanu mmanu	0.276	0.533	0.385
oink	oink	0.500	0.450	0.289
ointment	mmanu mmanu	0.438	0.271	0.398
okra	okra	0.469	0.400	0.362
old	agadi	0.410	0.279	0.315
olden	ochie	0.284	0.213	0.425
older	okenye	0.385	0.255	0.317
oldie	oldie	0.363	0.363	0.342
oldies	oldies	0.438	0.300	0.412
olfactory	olfactory	0.602	0.409	0.452
oligarchy	oligarchy	0.327	0.567	0.741
olive	olive	0.571	0.231	0.406
omega	Omega	0.529	0.337	0.526
omelet	omelet	0.708	0.323	0.315
omen	omenala	0.390	0.657	0.583
omgomgomg	NO TRANSLATION	0.490	0.551	0.358
ominous	egwu	0.255	0.730	0.510
omission	nkwụsị	0.367	0.333	0.275
omit	wepụ	0.330	0.265	0.451
omitted	omitted	0.260	0.235	0.211
omnibus	ọ bụla	0.490	0.410	0.473
omnipotence	omnipotence	0.667	0.793	0.866
omnipotent	ike niile	0.719	0.679	0.919
omnipresent	ebe niile	0.688	0.452	0.825
omniscient	ihe omuma	0.656	0.334	0.778
onboard	abanyela	0.612	0.451	0.491
oncologist	oncologist	0.260	0.654	0.640
oncology	oncology	0.204	0.424	0.500
oncoming	abata	0.594	0.625	0.773
one	otu	0.542	0.292	0.370
oneday	NO TRANSLATION	0.667	0.245	0.374
onedge	onedge	0.479	0.552	0.400
onelove	otu ịhụnanya	0.816	0.577	0.541
oneness	ịdị n'otu	0.745	0.272	0.720
onerous	ndị na-adịghị mma	0.500	0.480	0.462
oneself	onwe ya	0.660	0.337	0.483
ongoing	aga n'ihu	0.674	0.484	0.556
onion	yabasị	0.378	0.367	0.382
onset	mmalite	0.673	0.497	0.500
onslaught	onslaught	0.198	0.939	0.717
onstage	n'elu akwa ihe nkiri	0.719	0.673	0.583
ontology	na ontology	0.510	0.450	0.518
onus	onus	0.562	0.520	0.769
onward	gaa n'ihu	0.667	0.538	0.741
onyx	onyx	0.571	0.461	0.380
oodles	oodles	0.490	0.374	0.446
oomph	oomph	0.449	0.613	0.315
ooze	gbanye	0.344	0.577	0.333
oozing	na-egwu	0.238	0.515	0.427
op	op	0.480	0.402	0.349
opacity	opacity	0.471	0.251	0.256
opal	opal	0.623	0.479	0.379
opaque	opaque	0.344	0.265	0.342
ope	ọrụ	0.375	0.380	0.395
open	meghee	0.620	0.480	0.569
opener	oghere	0.584	0.526	0.377
opening	oghere	0.667	0.510	0.620
openly	n'ihu ọha	0.603	0.388	0.553
openness	oghere	0.837	0.561	0.667
opera	opera	0.714	0.500	0.483
operate	rụọ ọrụ	0.582	0.690	0.691
operatic	arụ ọrụ	0.375	0.452	0.627
operation	arụ ọrụ	0.475	0.611	0.755
operational	arụ ọrụ	0.562	0.570	0.679
operations	arụ ọrụ	0.480	0.549	0.798
operative	arụ ọrụ	0.541	0.635	0.718
operator	onye ọrụ	0.612	0.630	0.726
ophthalmic	ophthalmic	0.427	0.385	0.444
ophthalmologist	ọkà mmụta ọgwụ	0.552	0.389	0.491
opiate	opiate	0.281	0.594	0.598
opinion	echiche	0.594	0.482	0.638
opinionated	eche echiche	0.156	0.800	0.491
opium	opium	0.276	0.490	0.333
opponent	onye iro	0.080	0.741	0.716
opportune	ekwesighi	0.796	0.538	0.767
opportunism	opportunism	0.571	0.752	0.673
opportunity	ohere	0.938	0.745	0.833
oppose	emegide	0.431	0.800	0.473
opposed	emegide	0.092	0.460	0.606
opposing	emegide	0.188	0.660	0.518
opposite	ihu	0.235	0.545	0.408
opposites	mmegide	0.281	0.518	0.462
opposition	mmegide	0.135	0.729	0.592
oppress	mmegbu	0.186	0.654	0.555
oppressed	mmegbu	0.119	0.640	0.259
oppression	mmegbu	0.080	0.673	0.615
oppressive	mmegbu	0.276	0.590	0.667
oppressor	onye mmegbu	0.160	0.776	0.629
ops	ops	0.417	0.550	0.528
opt	pụọ	0.510	0.471	0.345
optic	nyocha	0.663	0.384	0.594
optical	ngwa anya	0.677	0.311	0.542
optics	nyocha	0.562	0.286	0.580
optimism	nchekwube	0.949	0.565	0.814
optimist	eche echiche	0.875	0.539	0.787
optimistic	optimistic	0.979	0.580	0.821
optimum	kacha mma	0.892	0.469	0.808
option	nhọrọ	0.512	0.427	0.359
optional	nhọrọ	0.755	0.350	0.440
optionally	nhọrọ	0.365	0.405	0.481
options	nhọrọ	0.622	0.327	0.473
optometrist	optometrist	0.446	0.455	0.668
opulence	opulence	0.620	0.615	0.648
opulent	opulent	0.562	0.660	0.660
opus	opus	0.458	0.368	0.391
oracle	okwu ọnụ	0.552	0.531	0.670
oral	ọnụ	0.530	0.448	0.375
orange	oroma	0.646	0.132	0.296
orange juice	ihe ọṅụṅụ oroma	0.719	0.343	0.445
orangutan	orangutan	0.430	0.560	0.471
oration	oration	0.646	0.315	0.683
orator	Orator	0.667	0.375	0.682
oratory	nyocha	0.602	0.472	0.693
orb	orb	0.463	0.370	0.444
orbit	orbit	0.561	0.422	0.575
orbital	orbital	0.458	0.451	0.559
orbiting	orbiting	0.520	0.643	0.554
orbs	orbs	0.469	0.355	0.482
orc	orc	0.240	0.510	0.388
orchard	ubi ubi	0.760	0.269	0.333
orchestra	igwe egwu	0.708	0.500	0.664
orchid	orchid	0.840	0.345	0.382
ordained	edozi	0.735	0.409	0.731
ordeal	nsogbu	0.344	0.539	0.529
order	iwu	0.780	0.295	0.814
orderly	n'usoro	0.844	0.240	0.661
ordinance	iwu	0.615	0.452	0.776
ordinary	nkịtị	0.375	0.312	0.286
ordination	nhazi	0.688	0.490	0.765
ordnance	iwu	0.354	0.825	0.679
ore	ore	0.500	0.333	0.356
oregano	oregano	0.596	0.327	0.250
organ	ngwa	0.510	0.469	0.538
organic	organic	0.719	0.343	0.535
organism	organism	0.457	0.559	0.800
organist	organist	0.740	0.469	0.669
organization	nzukọ	0.810	0.535	0.851
organize	hazie	0.802	0.655	0.781
organized	hazie	0.816	0.337	0.746
organizer	nhazi	0.604	0.577	0.846
orgasm	orgasm	0.844	0.863	0.676
orgies	orgies	0.388	0.953	0.433
orgy	orgy	0.346	0.962	0.536
