Word	Persian-fa	Valence	Arousal	Dominance
paralyzed	فلج شده	0.194	0.480	0.198
paramedic	متخصص	0.673	0.464	0.636
paramedics	امدادرسان	0.479	0.594	0.712
paramilitary	شبه نظامی	0.154	0.804	0.727
paramount	مهمترین	0.771	0.615	0.902
paranoia	پارانویا	0.146	0.841	0.407
paranoid	پارانوئید	0.122	0.918	0.364
paranormal	ماوراء الطبیعه	0.167	0.814	0.560
parapet	پاراپت	0.450	0.356	0.279
paraphernalia	لوازم جانبی	0.443	0.726	0.509
paraphrase	تفسیر	0.500	0.375	0.444
paraplegic	پاراگلیفیک	0.188	0.441	0.321
parasite	انگل	0.092	0.442	0.324
parasitic	انگلی	0.037	0.600	0.364
parasol	پارکینگ	0.604	0.255	0.304
parcel	بسته	0.660	0.324	0.411
parcels	بسته ها	0.551	0.445	0.418
parched	خرد شده	0.250	0.235	0.255
parchment	پوست پرچم	0.615	0.228	0.455
pardon	عفو	0.552	0.413	0.542
pare	NO TRANSLATION	0.500	0.356	0.309
parenchyma	parenchyma	0.500	0.399	0.595
parent	والدین	0.812	0.357	0.860
parentage	پدر و مادر	0.903	0.382	0.595
parental	والدین	0.760	0.430	0.627
parenthesis	NO TRANSLATION	0.510	0.255	0.380
parenthetical	پرانتز	0.490	0.327	0.391
parenthood	پدر و مادر	0.750	0.630	0.782
parenting	پدر و مادر	0.812	0.520	0.676
pariah	منفور	0.397	0.478	0.293
parietal	تریتیال	0.481	0.333	0.491
paring	پاره کردن	0.429	0.441	0.324
parish	فرقه	0.698	0.354	0.582
parity	برابری	0.582	0.406	0.407
park	پارک	0.816	0.343	0.414
parka	پارک	0.469	0.481	0.395
parking	پارکینگ	0.777	0.469	0.510
parkinsons	پارکینسون	0.104	0.570	0.373
parlance	سخنرانی	0.510	0.350	0.462
parlay	پاراگراف	0.469	0.611	0.483
parliament	مجلس	0.573	0.540	0.858
parliamentary	پارلمانی	0.490	0.554	0.755
parlor	سالن	0.500	0.327	0.366
parmesan	پنیر پارمزان	0.698	0.321	0.382
parody	تقلید	0.561	0.651	0.375
parole	رمز عبور	0.388	0.620	0.526
parquet	پارکت	0.541	0.240	0.422
parrot	طوطی	0.588	0.333	0.292
parry	پری	0.510	0.404	0.436
parse	تجزیه	0.469	0.456	0.667
parsimonious	parsimonious	0.417	0.312	0.446
parsimony	پارسمیون	0.449	0.280	0.403
parsley	جعفری	0.458	0.170	0.291
parson	پدرم	0.583	0.250	0.615
part	بخشی	0.663	0.278	0.360
partake	بخور	0.755	0.656	0.629
partial	جزئي	0.429	0.324	0.348
partiality	فرسودگی	0.375	0.380	0.490
partially	تا اندازه ای	0.418	0.368	0.396
participant	شرکت کننده	0.712	0.598	0.613
participate	شرکت کردن	0.755	0.580	0.684
participation	مشارکت	0.781	0.700	0.702
particle	ذره	0.521	0.265	0.438
particular	خاص	0.562	0.402	0.552
particularity	خاصیت	0.670	0.434	0.586
particulars	جزئیات	0.604	0.348	0.525
parting	جدا شدن	0.260	0.542	0.353
partisan	پارتیزان	0.615	0.549	0.669
partisanship	حزب کمونیست	0.438	0.566	0.551
partition	پارتیشن	0.615	0.469	0.567
partly	تا حدی	0.415	0.410	0.396
partner	شریک	0.673	0.302	0.586
partnership	شراکت	0.786	0.387	0.545
partridge	کدو تنبل	0.583	0.415	0.250
parts	قطعات	0.459	0.327	0.392
party	مهمانی - جشن	0.948	0.840	0.547
pas	NO TRANSLATION	0.490	0.344	0.262
pass	عبور	0.510	0.324	0.362
passable	قابل قبول	0.688	0.337	0.633
passage	پاساژ	0.429	0.314	0.370
passageway	گذرگاه	0.490	0.389	0.400
passe	NO TRANSLATION	0.531	0.357	0.426
passenger	مسافر	0.717	0.413	0.481
passim	NO TRANSLATION	0.458	0.491	0.333
passing	گذراندن	0.458	0.298	0.509
passion	شور	0.854	0.865	0.728
passionate	پرشور	0.990	0.827	0.731
passive	منفعل	0.420	0.116	0.241
passivity	گذرنامه	0.241	0.115	0.246
passkey	رمز عبور	0.646	0.500	0.791
passport	گذرنامه	0.653	0.457	0.682
password	کلمه عبور	0.390	0.356	0.559
past	گذشته	0.490	0.422	0.311
pasta	ماکارونی	0.615	0.306	0.375
paste	چسباندن	0.500	0.556	0.500
pastel	پاستل	0.719	0.357	0.367
pastime	سرگرمی	0.677	0.353	0.443
pastor	کشیش	0.698	0.236	0.746
pastrami	پاترمی	0.542	0.415	0.348
pastry	شیرینی	0.870	0.407	0.419
pasture	مرتع	0.688	0.145	0.170
pasty	قهوه ای	0.479	0.363	0.375
pat	پات	0.418	0.377	0.340
patch	پچ	0.439	0.288	0.283
patchwork	کلاهبرداری	0.500	0.260	0.325
pate	پت	0.406	0.260	0.260
patella	پاتلا	0.430	0.260	0.342
patent	ثبت اختراع	0.724	0.391	0.609
patented	ثبت اختراع شده	0.571	0.422	0.685
paternal	پدر و مادر	0.776	0.353	0.755
paternity	پدر و مادر	0.704	0.590	0.806
path	مسیر	0.590	0.245	0.421
pathetic	تأسفبار - رقت انگیز	0.088	0.464	0.139
pathological	آسیب شناسی	0.220	0.602	0.580
pathologist	پاتولوژیست	0.354	0.552	0.585
pathology	آسيب شناسي	0.271	0.560	0.558
pathos	NO TRANSLATION	0.350	0.449	0.462
pathway	مسیر	0.646	0.410	0.519
patience	صبر	0.771	0.125	0.387
patient	صبور	0.583	0.193	0.340
patio	پاسیو	0.562	0.245	0.402
patriarch	وطن پرست	0.592	0.448	0.898
patriarchal	پدرسالاری	0.531	0.500	0.857
patrimony	اموال	0.719	0.406	0.740
patriot	وطن پرست	0.771	0.635	0.886
patriotic	وطن پرست	0.875	0.509	0.933
patriotism	میهن پرستی	0.708	0.635	0.848
patrol	گشت	0.427	0.664	0.736
patrolman	گشت ارشاد	0.469	0.731	0.884
patron	حامی	0.583	0.451	0.870
patronage	حامی	0.583	0.490	0.583
patronising	حامی	0.439	0.455	0.582
patronize	حامی	0.430	0.451	0.591
patronizing	حامی	0.542	0.365	0.529
patter	خنده دار	0.312	0.635	0.451
pattern	الگو	0.479	0.422	0.664
paucity	کمبود	0.153	0.453	0.175
pauper	ضعیف	0.260	0.347	0.151
pause	مکث	0.429	0.188	0.264
pave	خم شدن	0.594	0.490	0.509
pavement	پیاده رو	0.460	0.353	0.475
pavilion	غرفه	0.583	0.500	0.770
paving	کاشی کاری	0.408	0.469	0.545
paw	چنگال	0.417	0.360	0.286
pawn	پیاده	0.390	0.321	0.187
pawnshop	گشت و گذار	0.396	0.439	0.519
pax	چشمان	0.551	0.421	0.473
pay	پرداخت	0.514	0.588	0.592
payable	قابل پرداخت است	0.385	0.480	0.606
payback	بازپرداخت	0.459	0.500	0.567
paycheck	paycheck	0.896	0.630	0.652
payday	payday	0.833	0.741	0.571
payer	پرداخت کننده	0.313	0.630	0.638
payload	ظرفیت ترابری	0.612	0.510	0.682
payment	پرداخت	0.629	0.452	0.643
payoff	بازپرداخت	0.740	0.644	0.673
payout	پرداخت	0.646	0.600	0.575
payphone	تلفن همراه	0.469	0.360	0.370
payroll	حقوق و دستمزد	0.521	0.360	0.549
pea	نخود	0.580	0.275	0.298
peace	صلح	0.939	0.156	0.613
peaceable	صلح آمیز	0.776	0.134	0.453
peaceful	صلح آمیز	0.867	0.108	0.569
peacefully	صلح آمیز	0.901	0.190	0.639
peacekeeper	صلحبان	0.865	0.320	0.644
peaceofmind	NO TRANSLATION	0.786	0.160	0.519
peacetime	زمان صلح	0.949	0.180	0.579
peach	هلو	0.704	0.480	0.272
peachy	هلو	0.755	0.479	0.388
peacock	طاووس	0.786	0.449	0.458
peak	اوج	0.500	0.345	0.431
peaked	اوج گرفت	0.677	0.704	0.857
peanut	بادام زمینی	0.646	0.202	0.246
peanuts	بادام زمینی	0.542	0.294	0.324
pear	گلابی	0.677	0.158	0.241
pearl	مروارید	0.905	0.425	0.642
pearly	مروارید	0.635	0.337	0.373
peas	نخود فرنگی	0.542	0.283	0.310
peasant	دهقانی	0.530	0.275	0.407
peat	ذغال سنگ	0.333	0.655	0.504
pebble	سنگ ریزه	0.354	0.353	0.287
pecan	پشته	0.552	0.316	0.358
peck	پک	0.202	0.530	0.321
pecker	پیکر	0.459	0.509	0.375
peculiar	عجیب و غریب	0.600	0.491	0.564
peculiarities	تنوع	0.511	0.460	0.528
peculiarity	خاصیت	0.439	0.452	0.652
peculiarly	به طور خاص	0.615	0.450	0.454
pecuniary	مادی	0.490	0.490	0.500
pedal	پدال	0.500	0.320	0.342
pedantic	عاشقانه	0.229	0.608	0.253
peddle	شلاق زدن	0.539	0.549	0.538
peddler	بچه دار	0.408	0.481	0.390
pedestal	پایه	0.735	0.284	0.579
pedestrian	عابر پیاده	0.438	0.360	0.448
pediatric	اطفال	0.560	0.462	0.490
pediatrician	متخصص اطفال	0.602	0.500	0.627
pediatrics	اطفال	0.750	0.380	0.596
pedicure	پدیکور	0.695	0.269	0.296
pedigree	شجره نامه	0.625	0.340	0.609
pedometer	گام شمار	0.469	0.561	0.405
pedophile	pedophile	0.051	0.724	0.430
pee	ادرار	0.449	0.529	0.391
peek	زیرچشمی نگاه کردن	0.486	0.360	0.411
peekaboo	پیکبو	0.592	0.607	0.412
peel	پوست کندن	0.439	0.250	0.279
peep	نگاه کردن	0.573	0.317	0.269
peeper	سرگردان	0.182	0.537	0.343
peephole	رفع خستگی	0.479	0.500	0.310
peer	همکار	0.458	0.321	0.569
peering	چشم انداز	0.514	0.409	0.451
peerless	بی نظیر	0.688	0.450	0.462
peeved	پژواک	0.156	0.750	0.467
peg	گیره	0.520	0.357	0.393
pegs	گیره	0.408	0.286	0.386
peice	NO TRANSLATION	0.479	0.422	0.398
pelagic	پلاژیک	0.521	0.554	0.491
pelican	پیلین	0.573	0.391	0.380
pellet	گلوله	0.448	0.390	0.466
pelvic	لگن	0.320	0.632	0.373
pelvis	لگن	0.378	0.618	0.380
pen	خودکار	0.622	0.194	0.250
penal	مجازات	0.208	0.565	0.610
penalty	مجازات	0.062	0.490	0.240
penance	مجازات	0.219	0.667	0.463
penchant	میل جنسی	0.688	0.480	0.609
pencil	مداد	0.552	0.200	0.263
pendant	آویز	0.676	0.321	0.385
pendency	انعطاف پذیری	0.396	0.452	0.472
pendent	NO TRANSLATION	0.470	0.380	0.425
pending	انتظار	0.396	0.441	0.473
pendulum	آونگ	0.542	0.368	0.434
penetrate	نفوذ کنید	0.287	0.877	0.732
penetrating	نفوذ	0.469	0.792	0.782
penetration	نفوذ	0.438	0.885	0.792
penguin	پنگوئن	0.615	0.296	0.307
penicillin	پنی سیلین	0.417	0.431	0.566
penile	آلت تناسلی	0.490	0.736	0.491
peninsula	شبه جزیره	0.551	0.384	0.627
penis	آلت تناسلی	0.354	0.810	0.556
penitent	مجروح	0.542	0.530	0.508
penitentiary	مجازات	0.229	0.726	0.491
penmanship	مرخصی	0.677	0.284	0.509
pennant	پرچم	0.542	0.380	0.426
penniless	بی پولی	0.062	0.316	0.083
penny	پنی	0.615	0.302	0.324
pension	حقوق بازنشستگی	0.625	0.409	0.406
pensioner	بازنشسته	0.440	0.245	0.442
pensive	مودبانه	0.540	0.220	0.529
pentagon	پنتاگون	0.490	0.636	0.774
pentagram	پنتاگرام	0.510	0.433	0.466
penthouse	پنت هاوس	0.592	0.430	0.395
penultimate	پیشین	0.469	0.366	0.255
people	مردم	0.604	0.400	0.500
peopled	مردمی	0.594	0.450	0.679
pep	pep	0.510	0.510	0.364
pepper	فلفل	0.400	0.539	0.328
peppermint	نعناع تند	0.720	0.264	0.271
pepperoni	pepperoni	0.796	0.472	0.358
peppy	عجیب و غریب	0.677	0.529	0.438
peptic	پپتیک	0.398	0.463	0.362
peptide	پپتید	0.380	0.480	0.411
perceive	درک	0.653	0.490	0.655
percent	درصد	0.470	0.350	0.356
percentage	درصد	0.469	0.400	0.553
percentile	صد درصد	0.479	0.410	0.390
perceptible	قابل درک	0.710	0.460	0.620
perception	ادراک	0.653	0.481	0.655
perceptive	درخشان	0.745	0.500	0.741
perch	چتر	0.531	0.300	0.314
perchance	حواس پرتی	0.480	0.224	0.298
percolation	نفوذ	0.397	0.417	0.415
percussion	کوبه ای	0.622	0.635	0.642
perdition	سقوط	0.135	0.656	0.496
peremptory	بی چون و چرا	0.429	0.426	0.606
perennial	چند ساله	0.527	0.358	0.500
perfect	کامل	0.980	0.471	0.870
perfection	کمال	0.881	0.745	0.934
perfectionist	کمالگرا	0.667	0.704	0.905
perfecto	NO TRANSLATION	0.802	0.567	0.889
perforated	سوراخ سوراخ	0.219	0.607	0.344
perforation	سوراخ کردن	0.365	0.668	0.578
perforce	نیرومندی	0.357	0.689	0.354
perform	انجام دادن	0.765	0.555	0.773
performance	کارایی	0.750	0.520	0.672
performer	بازیگر	0.541	0.530	0.708
perfume	عطر	0.740	0.472	0.463
perfumed	عطر و بوی	0.816	0.471	0.509
peri	پری	0.448	0.433	0.370
peridot	پریدوت	0.458	0.481	0.435
peril	خطرات	0.052	0.910	0.518
perilous	خطرناک	0.143	0.862	0.575
perimeter	محیط	0.470	0.443	0.555
period	دوره زمانی	0.396	0.324	0.588
periodic	تناوبی	0.677	0.324	0.508
periodical	دوره ای	0.550	0.298	0.430
periodically	دوره ای	0.480	0.314	0.515
periodicity	دوره ای	0.646	0.324	0.645
peripheral	پیرامونی	0.406	0.406	0.549
periphery	حاشیه	0.469	0.360	0.366
periscope	پریسکوپ	0.604	0.375	0.609
perish	از بین بردن	0.296	0.570	0.415
perishable	فاسد می شود	0.270	0.464	0.354
perished	از بین رفت	0.135	0.596	0.225
perishing	از بین می رود	0.229	0.423	0.148
perjury	مجازات	0.229	0.686	0.409
perk	نفس کشیدن	0.903	0.519	0.682
perky	مجذوب	0.896	0.792	0.673
perm	پیمان	0.667	0.465	0.741
permanence	پایداری	0.771	0.370	0.708
permanent	دائمی	0.745	0.345	0.736
permeable	نفوذ پذیر	0.635	0.402	0.495
permeate	نفوذ کن	0.417	0.410	0.407
permeation	نفوذ	0.418	0.559	0.536
permissible	مجاز	0.684	0.646	0.612
permission	اجازه	0.612	0.311	0.580
permissive	قابل قبول	0.633	0.389	0.413
permit	مجوز	0.733	0.349	0.518
permitted	مجاز است	0.865	0.410	0.613
permitting	اجازه دادن	0.724	0.481	0.661
permutation	جایگزینی	0.385	0.588	0.500
pernicious	خرابکاری	0.229	0.600	0.382
peroxide	پراکسید	0.458	0.529	0.510
perpendicular	عمود بر	0.510	0.398	0.439
perpetrate	مرتکب شدن	0.327	0.837	0.732
perpetrator	مجرم	0.229	0.765	0.538
perpetual	دائمی	0.625	0.438	0.741
perpetually	همیشه	0.510	0.473	0.868
perpetuate	ادامه دادن	0.397	0.588	0.788
perpetuation	ادامه دادن	0.510	0.677	0.716
perpetuity	دائمی	0.590	0.434	0.759
perplexed	ناراحت	0.312	0.705	0.318
perplexing	مبهم	0.316	0.530	0.362
perplexity	ناراحتی	0.275	0.720	0.500
persecute	آزار و اذیت	0.281	0.873	0.509
persecution	آزار و اذیت	0.229	0.865	0.660
perseverance	استقامت	0.888	0.630	0.796
persevere	پایدار باشید	0.802	0.583	0.937
persist	اصرار ورزیدن	0.765	0.644	0.727
persistence	ماندگاری	0.684	0.611	0.873
persistent	مداوم	0.646	0.667	0.815
persisting	ماندگار	0.697	0.677	0.745
person	فرد	0.646	0.363	0.596
persona	NO TRANSLATION	0.741	0.480	0.743
personable	شخصیت	0.816	0.520	0.637
personage	شخصیت	0.653	0.324	0.698
personal	شخصی	0.750	0.311	0.467
personality	شخصیت	0.896	0.513	0.790
personification	شخصیت	0.760	0.471	0.691
personnel	کارکنان	0.729	0.344	0.587
persons	افراد	0.869	0.302	0.588
perspective	چشم انداز	0.688	0.470	0.704
perspiration	تعریق	0.385	0.667	0.490
persuade	متقاعد کردن	0.620	0.618	0.709
persuasion	متقاعد کردن	0.612	0.670	0.537
persuasive	متقاعد کننده	0.740	0.700	0.657
pert	پرت	0.469	0.460	0.348
pertinent	مربوط	0.580	0.333	0.723
perturbation	آشفتگی	0.270	0.840	0.500
pertussis	سکته مغزی	0.279	0.569	0.386
perusal	خواندن	0.622	0.235	0.543
peruse	فهمیدن	0.503	0.270	0.439
pervading	فراموشی	0.418	0.684	0.728
perverse	انحراف	0.146	0.808	0.464
perversion	انحراف	0.083	0.830	0.490
pervert	منحرف	0.082	0.863	0.500
perverted	منحرف شده	0.062	0.918	0.436
pesky	مزاحم	0.250	0.760	0.431
pessimism	بدبینی	0.083	0.484	0.264
pessimist	بدبختی	0.125	0.470	0.218
pessimistic	بدبینانه	0.088	0.394	0.236
pest	آفت	0.188	0.680	0.452
pester	پسته	0.143	0.780	0.385
pestilence	مورچه	0.122	0.660	0.283
pestle	پاستل	0.427	0.463	0.426
pesto	سس پستو	0.531	0.323	0.336
pet	حیوان خانگی	0.875	0.327	0.305
petal	گلبرگ	0.810	0.194	0.211
petite	ریزه اندام	0.510	0.354	0.245
petition	تقاضا	0.498	0.575	0.415
petitioner	متقاضی	0.601	0.531	0.566
petloss	NO TRANSLATION	0.271	0.481	0.424
petpeeve	NO TRANSLATION	0.375	0.594	0.392
petrified	سنگ فرش	0.221	0.625	0.232
petrify	پوسیدگی	0.177	0.571	0.447
petrol	بنزین	0.418	0.519	0.577
petroleum	نفت	0.583	0.451	0.640
petticoat	دستمال مرطوب	0.550	0.396	0.351
petting	خوشبختی	0.812	0.462	0.480
petty	کوچک	0.210	0.537	0.236
petulant	دلتنگ	0.247	0.685	0.491
petunia	petunia	0.583	0.260	0.356
pew	اره	0.449	0.235	0.664
pewter	پودر	0.396	0.260	0.321
peyote	NO TRANSLATION	0.406	0.462	0.426
phalanx	فالانکس	0.398	0.398	0.455
phantom	فانتوم	0.260	0.759	0.448
pharaoh	فرعون	0.656	0.491	0.798
pharmaceutical	دارویی	0.500	0.435	0.562
pharmacist	داروساز	0.592	0.382	0.648
pharmacology	فارماکولوژی	0.560	0.440	0.526
pharmacy	داروخانه	0.531	0.337	0.542
phase	فاز	0.645	0.300	0.482
pheasant	قرقاول	0.541	0.362	0.292
phenomenal	فوقالعاده	0.915	0.750	0.918
phenomenon	پدیده	0.625	0.721	0.848
pheromone	فرومون	0.561	0.573	0.561
phew	بله	0.531	0.429	0.302
phi	phi	0.420	0.361	0.452
philanthropic	بشردوستانه	0.812	0.426	0.717
philanthropist	خیرخواهانه	0.704	0.463	0.623
philanthropy	بشردوستی	0.745	0.412	0.801
philistine	خیانتکار	0.390	0.500	0.491
philosopher	فیلسوف	0.684	0.316	0.720
philosophic	فیلسوفی	0.688	0.270	0.655
philosophical	فلسفی	0.719	0.275	0.713
philosophy	فلسفه	0.684	0.255	0.640
phlegm	خلط	0.173	0.394	0.240
pho	فو	0.541	0.370	0.384
phobia	فوبیا	0.173	0.904	0.291
phoenix	ققنوس	0.653	0.481	0.594
phone	تلفن	0.729	0.344	0.418
phonetic	آوایی	0.542	0.435	0.536
phonetics	آوایی	0.646	0.425	0.519
phonics	آواز خواندن	0.490	0.519	0.455
phonograph	فونوگرافی	0.561	0.398	0.565
phonology	واجشناسی	0.695	0.402	0.512
phony	جعلی	0.115	0.592	0.202
phooey	فوئي	0.333	0.490	0.352
phosphate	فسفات	0.500	0.306	0.407
phosphor	فسفر	0.438	0.480	0.427
phosphorus	فسفر	0.429	0.539	0.370
photo	عکس	0.729	0.327	0.431
photogenic	فتوژنیک	0.780	0.500	0.495
photograph	عکس	0.677	0.353	0.358
photographer	عکاس	0.714	0.481	0.562
photographic	عکاسی	0.761	0.429	0.564
photography	عکاسی	0.630	0.431	0.360
photometry	فوتومتری	0.417	0.456	0.436
photon	فوتون	0.459	0.439	0.455
phrase	عبارت	0.630	0.264	0.314
phraseology	واژه شناسی	0.620	0.406	0.537
phylogeny	فیلوژنی	0.378	0.410	0.481
physical	فیزیکی	0.750	0.520	0.607
physical therapist	فیزیوتراپیست	0.531	0.337	0.775
physician	پزشک	0.583	0.490	0.843
physicist	فیزیکدان	0.635	0.538	0.693
physics	فیزیک	0.582	0.415	0.664
physiological	فیزیولوژیکی	0.510	0.418	0.620
physiology	فیزیولوژی	0.521	0.451	0.519
physique	بدنسازی	0.643	0.500	0.543
pi	پی	0.469	0.265	0.400
pianist	پیانیست	0.806	0.491	0.573
piano	پیانو	0.704	0.343	0.438
piazza	پیتزا	0.625	0.471	0.472
piccolo	NO TRANSLATION	0.625	0.423	0.380
pick	انتخاب	0.500	0.464	0.525
picked	برداشت	0.740	0.518	0.670
picker	جمع کننده	0.534	0.340	0.609
picket	جادوگر	0.365	0.615	0.451
picketing	پیاده روی	0.330	0.557	0.471
pickle	ترشی کردن	0.593	0.449	0.288
pickled	ترشی	0.344	0.450	0.291
pickpocket	جیب بر	0.365	0.704	0.449
pickup	سوار کردن	0.561	0.529	0.420
picky	شگفت انگیز	0.257	0.729	0.598
picnic	پیک نیک	0.625	0.470	0.375
pictorial	تصویری	0.704	0.481	0.476
picture	عکس	0.714	0.308	0.462
pictures	تصاویر	0.653	0.240	0.405
picturesque	زیبا	0.802	0.491	0.483
pie	پای	0.880	0.402	0.368
piece	قطعه	0.646	0.245	0.367
piecemeal	تقسیم بندی	0.615	0.269	0.319
pieceofshit	قطعه قطعه	0.083	0.724	0.292
pied	اوج	0.594	0.433	0.350
pier	اسکله	0.583	0.279	0.445
pierce	سوراخ کردن	0.365	0.670	0.611
piety	تقوا	0.760	0.340	0.482
pig	خوک	0.343	0.368	0.324
pigeon	کبوتر	0.688	0.224	0.276
piggy	خوکچه	0.541	0.365	0.412
piggyback	کمربندها	0.438	0.490	0.343
pigheaded	سرخ شده	0.271	0.472	0.358
piglet	گوشت خوک	0.540	0.443	0.250
pigment	رنگدانه	0.390	0.333	0.339
pigskin	اسکراب پوست	0.347	0.449	0.300
pigsty	کله پاچه	0.133	0.529	0.221
pike	تپه	0.427	0.410	0.452
pile	توده	0.461	0.320	0.539
piles	شمع ها	0.469	0.423	0.468
pileup	انباشته شدن	0.340	0.559	0.446
pilgrim	زائر	0.531	0.404	0.569
pilgrimage	زیارت	0.708	0.522	0.625
pill	قرص	0.573	0.407	0.368
pillage	غارت	0.240	0.685	0.375
pillar	ستون	0.583	0.330	0.684
pillbox	کوله پشتی	0.385	0.339	0.296
pillow	بالش	0.663	0.128	0.195
pillowcase	بالشتک	0.500	0.179	0.250
pilot	خلبان	0.688	0.680	0.736
pimp	دلال	0.146	0.700	0.536
pimple	جوش	0.245	0.370	0.274
pin	پین	0.438	0.346	0.390
pinball	پین بال دزد	0.582	0.640	0.442
pinch	خرج کردن	0.340	0.632	0.339
pinching	تکان دادن	0.250	0.788	0.345
pine	کاج	0.583	0.225	0.312
pineapple	آناناس	0.677	0.316	0.245
ping	پینگ	0.541	0.490	0.391
pinhead	سرنشین	0.459	0.300	0.308
pinhole	پین هول	0.375	0.279	0.345
pinion	چرخ دنده	0.444	0.361	0.346
pink	رنگ صورتی	0.806	0.269	0.471
pinkie	پینکی	0.663	0.265	0.269
pinnacle	اوج	0.633	0.390	0.508
pinot	پینتو	0.365	0.370	0.361
pinpoint	دقیقا مشخص کن	0.583	0.443	0.528
pint	پینت	0.686	0.333	0.321
pinto	پینتو	0.570	0.354	0.373
pinup	پینوشت	0.610	0.459	0.393
pioneer	پیشگام	0.796	0.618	0.802
pious	معشوق	0.698	0.306	0.426
pip	پیپ	0.448	0.430	0.366
pipe	لوله	0.541	0.340	0.330
piped	لوله کشی	0.360	0.529	0.379
pipeline	خط لوله	0.479	0.337	0.411
piper	piper	0.569	0.442	0.398
pipette	pipette	0.480	0.403	0.418
piping	لوله کشی	0.365	0.337	0.405
pipsqueak	pipsqueak	0.347	0.481	0.349
pique	پیکه	0.417	0.500	0.426
piracy	دزدی دریایی	0.296	0.792	0.567
piranha	پیرانا	0.219	0.799	0.575
pirate	دزد دریایی	0.156	0.740	0.559
piscina	NO TRANSLATION	0.714	0.500	0.443
piss	شاش	0.354	0.462	0.268
pissed	ترسناک	0.102	0.888	0.543
pissedoff	pissedoff	0.240	0.651	0.459
pisser	NO TRANSLATION	0.378	0.547	0.398
pissesmeoff	pissesmeoff	0.180	0.587	0.441
pissingmeoff	pissingmeoff	0.208	0.622	0.423
pissoff	پیزوف	0.255	0.617	0.400
pistachio	پسته	0.643	0.336	0.305
pistol	تپانچه	0.170	0.900	0.677
piston	پیستون	0.398	0.480	0.500
pit	گودال	0.408	0.396	0.278
pita	پیتا	0.551	0.279	0.255
pitch	گام صدا	0.521	0.431	0.465
pitcher	کوزه	0.510	0.673	0.704
pitchfork	جادوگر	0.312	0.580	0.529
pitfall	افتادن	0.177	0.775	0.508
pith	اسم	0.458	0.350	0.596
pithy	متکی	0.480	0.360	0.635
pitiful	ترسناک	0.219	0.490	0.232
pitted	حفره دار	0.358	0.653	0.470
pitter	پیتور	0.469	0.424	0.384
pituitary	هیپوفیز	0.406	0.365	0.442
pity	تاسف	0.160	0.398	0.114
pivot	محور	0.458	0.382	0.440
pivotal	محوری	0.582	0.471	0.536
pix	pix	0.521	0.373	0.364
pixie	pixie	0.562	0.537	0.325
pizza	پیتزا	0.847	0.390	0.295
pizzazz	پیتزاز	0.635	0.735	0.682
pizzeria	پیتزا فروشی	0.719	0.520	0.364
placard	پلاکارد	0.388	0.442	0.500
place	محل	0.573	0.261	0.398
placebo	پلاسبو	0.520	0.306	0.365
placement	تعیین سطح	0.643	0.460	0.528
placenta	جفت	0.375	0.433	0.443
placid	آرامش	0.640	0.317	0.491
placket	چاقو	0.408	0.231	0.228
plagiarism	سرقت ادبی	0.135	0.716	0.436
plague	طاعون	0.083	0.596	0.355
plaid	پلید	0.480	0.330	0.417
plain	جلگه	0.500	0.167	0.311
plainclothes	لباس ساده	0.698	0.337	0.424
plaintiff	شاکی	0.365	0.806	0.711
plaintive	گناهکار	0.292	0.529	0.306
plan	طرح	0.646	0.540	0.733
plane	سطح	0.510	0.356	0.386
planes	هواپیما	0.667	0.606	0.575
planet	سیاره	0.698	0.404	0.832
planetarium	سیاره زمین	0.704	0.462	0.655
planetary	سیاره ای	0.604	0.500	0.620
planets	سیارات	0.724	0.318	0.658
plank	تخته	0.427	0.280	0.333
plankton	پلانکتون	0.552	0.321	0.371
planned	برنامه ریزی شده	0.740	0.385	0.729
planner	برنامه ریز	0.760	0.469	0.868
planning	برنامه ریزی	0.894	0.462	0.705
plant	گیاه	0.730	0.180	0.371
plantation	کاشت	0.573	0.585	0.575
planter	کاشت	0.604	0.450	0.634
planting	کاشت	0.635	0.343	0.595
plaque	پلاک	0.520	0.333	0.420
plasma	پلاسما	0.474	0.398	0.360
plaster	گچ	0.438	0.264	0.255
plastic	پلاستیک	0.490	0.269	0.320
plasticity	پلاستیک	0.542	0.471	0.402
plat	پلات	0.716	0.359	0.556
plate	بشقاب	0.583	0.245	0.366
plateau	فلات	0.611	0.316	0.400
plated	پوشیده شده	0.562	0.458	0.457
platform	سکو	0.602	0.340	0.718
plating	آبکاری	0.576	0.368	0.433
platinum	پلاتین	0.750	0.518	0.702
platonic	Platonic	0.490	0.461	0.469
platoon	جوخه	0.448	0.700	0.745
platter	تبلت	0.686	0.245	0.219
plaudit	NO TRANSLATION	0.816	0.813	0.546
plausibility	قابل اعتماد بودن	0.705	0.451	0.570
plausible	محتمل	0.714	0.404	0.510
play	بازی	0.812	0.765	0.358
playa	بازیا	0.724	0.510	0.575
playback	پخش	0.656	0.559	0.639
playbook	playbook	0.673	0.582	0.500
playboy	playboy	0.646	0.900	0.519
player	بازیکن	0.557	0.688	0.644
playful	بازیگوش	0.892	0.688	0.463
playground	زمین بازی	0.888	0.620	0.435
playhouse	نمایشگاه	0.719	0.729	0.426
playmate	دوست دختر	0.878	0.509	0.398
playoff	بازی کردن	0.622	0.716	0.550
playpen	اسباب بازی	0.698	0.481	0.475
