Word	Malagasy-mg	Valence	Arousal	Dominance
mademyday	mademyday	0.694	0.573	0.537
madhouse	madhouse	0.156	0.736	0.440
madman	adala	0.135	0.880	0.312
madness	fahaverezan-tsaina	0.104	0.804	0.440
maestro	Maestro	0.823	0.357	0.849
mafia	Mafia	0.204	0.867	0.676
magazine	gazety	0.615	0.332	0.377
mage	mage	0.622	0.373	0.453
magenta	magenta	0.635	0.275	0.415
maggot	olitra	0.235	0.500	0.235
magic	majika	0.868	0.663	0.578
magical	mahagaga	0.875	0.651	0.595
magician	ody	0.714	0.657	0.551
magistrate	mpitsara	0.587	0.541	0.904
magma	magma	0.323	0.623	0.609
magna	Magna	0.605	0.490	0.652
magnate	magnate	0.627	0.708	0.868
magnesium	magnésium	0.542	0.320	0.321
magnet	andriamby	0.571	0.318	0.553
magnetic	andriamby	0.612	0.529	0.673
magnetism	fanindrahindram	0.630	0.529	0.741
magnetite	magnetite	0.531	0.490	0.581
magnification	fampihebana	0.890	0.615	0.880
magnificence	fahamboniany	0.802	0.810	0.920
magnificent	mahatalanjona	1.000	0.680	0.886
magnifier	magnifier	0.469	0.216	0.345
magnify	milofo	0.729	0.561	0.839
magnifying	fanandratana	0.594	0.265	0.406
magnitude	maridrefy	0.608	0.613	0.774
magnolia	Magnolia	0.558	0.343	0.379
magpie	magpie	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	mahjong	0.556	0.418	0.440
mahogany	rotra	0.602	0.225	0.393
maid	mpiasa an-trano	0.406	0.324	0.300
maiden	tovovavy	0.755	0.396	0.461
mail	namany Sary	0.615	0.231	0.548
mailbox	mailbox	0.573	0.222	0.404
mailing	mailaka	0.688	0.324	0.375
mailman	mailman	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	tena	0.667	0.510	0.811
mainframe	mainframe	0.531	0.490	0.557
mainland	tanibe	0.680	0.407	0.806
mainstay	iankinan'ny	0.694	0.400	0.713
mainstream	mahazatra	0.653	0.527	0.660
maintain	foana	0.684	0.398	0.647
maintenance	fikarakarana	0.592	0.410	0.545
majestic	malaza	0.948	0.731	0.906
majesty	voninahitra	0.823	0.602	0.955
major	lehibe	0.684	0.538	0.874
majority	maro an'isa	0.684	0.560	0.930
make	manao	0.684	0.420	0.480
makeover	Makeover	0.771	0.510	0.596
maker	mpanao	0.698	0.544	0.706
makeshift	vonjimaika	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	manjamaso	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	aretina	0.190	0.686	0.304
malaise	malaise	0.150	0.600	0.161
malaria	tazo	0.125	0.653	0.304
malarkey	malarkey	0.396	0.500	0.465
male	lahy	0.612	0.532	0.695
malevolent	malevolent	0.094	0.854	0.613
malfeasance	malfeasance	0.062	0.745	0.325
malformation	malformation	0.083	0.602	0.357
malfunction	tsy fetezana	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	ratsy toetra	0.177	0.765	0.607
malign	hanaratsy	0.140	0.765	0.481
malignancy	fivontosana	0.149	0.814	0.614
malignant	mamohehatra	0.143	0.824	0.370
maligned	haratsina	0.102	0.684	0.218
mall	mall	0.724	0.663	0.492
malleable	mora volavolaina	0.500	0.500	0.391
mallet	Mallet	0.354	0.390	0.483
malnutrition	tsy fahampian-tsakafo	0.024	0.592	0.277
malpractice	malpractice	0.094	0.559	0.330
malt	malt	0.750	0.373	0.324
mama	Mama	0.860	0.413	0.728
mambo	Mambo	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	biby mampinono	0.618	0.449	0.421
mammoth	goavana	0.480	0.471	0.537
mammy	mammy	0.680	0.415	0.436
man	olona	0.688	0.427	0.767
manage	mitantana	0.560	0.530	0.719
manageable	manageable	0.750	0.361	0.655
management	fitantanana	0.792	0.491	0.806
manager	mpitantana	0.625	0.549	0.897
managerial	pitantanana	0.604	0.520	0.791
mandamus	mandamus	0.439	0.577	0.556
mandarin	Anarana iombonana	0.625	0.398	0.491
mandate	fe-potoana	0.448	0.670	0.779
mandatory	maintsy	0.271	0.667	0.777
mandible	mandible	0.510	0.431	0.500
mandolin	Mandolin	0.708	0.433	0.367
mandrel	mandrel	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	manova ny toe-	0.615	0.663	0.608
maneuvering	mitantana	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	fihinanam-bilona	0.656	0.276	0.398
mangle	mangle	0.292	0.449	0.355
mango	manga	0.765	0.327	0.290
mangosteen	mangosteen	0.562	0.500	0.414
mangy	mangy	0.214	0.698	0.270
manhole	manhole	0.378	0.500	0.516
manhood	ny lehilahy	0.625	0.735	0.858
manhunt	fihazana olombelona	0.145	0.925	0.657
mania	Mania	0.290	0.683	0.382
maniac	maniac	0.120	0.849	0.431
maniacal	maniacal	0.200	0.848	0.500
manic	fivadibadihana adala ateraky	0.054	0.892	0.368
manicure	manicure	0.706	0.308	0.284
manicurist	manicurist	0.583	0.352	0.341
manifest	miseho	0.667	0.647	0.704
manifestation	fanehoana	0.583	0.750	0.655
manifested	naseho	0.580	0.618	0.667
manifestly	aseho	0.469	0.588	0.577
manifesto	Manifesto	0.646	0.519	0.676
manifold	samy hafa	0.500	0.461	0.435
manipulate	fitaovana	0.255	0.700	0.772
manipulation	fanodinkodinana	0.188	0.775	0.536
manipulative	mpandrokidroky	0.177	0.724	0.546
mankind	ny olombelona	0.823	0.471	0.768
manly	dehilahy	0.698	0.633	0.846
manna	mana	0.698	0.294	0.544
manned	nisian'ny	0.551	0.588	0.484
mannequin	mannequin	0.427	0.302	0.295
manner	fomba	0.618	0.250	0.320
mannered	mahalala fomba	0.469	0.556	0.291
manners	fahalalam-pomba	0.816	0.284	0.517
manor	Manor	0.646	0.358	0.738
manpower	zavatra hafa	0.531	0.620	0.543
mansion	trano izy	0.847	0.490	0.717
mansions	fitoerana	0.735	0.529	0.777
manslaughter	tsy nahy	0.090	0.920	0.473
mantel	mantel	0.500	0.265	0.471
mantis	mantis	0.480	0.355	0.421
mantle	lamba	0.510	0.269	0.422
mantra	Mantra	0.396	0.249	0.357
manual	boky fampianarana	0.635	0.245	0.449
manufacture	fanamboarana	0.868	0.703	0.780
manufacturer	mpanamboatra	0.688	0.537	0.830
manufacturing	orinasa mpamokatra entana	0.653	0.613	0.804
manure	zezika	0.250	0.471	0.241
manuscript	sora-tanana	0.510	0.208	0.540
map	sari-tany	0.561	0.229	0.463
maple	Maple	0.541	0.390	0.339
mar	Mar	0.622	0.544	0.545
marathon	hazakazaka lavitra ezaka	0.646	0.778	0.740
marble	marbra	0.604	0.212	0.667
marbled	marbled	0.396	0.385	0.418
marbles	marbres	0.714	0.345	0.241
march	ny diabe	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	margarine	0.530	0.316	0.333
margarita	Margarita	0.750	0.438	0.420
margin	sisiny	0.500	0.219	0.331
marginal	sisim	0.235	0.644	0.345
mariachi	mariachi	0.710	0.559	0.609
marijuana	rongony	0.312	0.779	0.558
marinara	marinara	0.657	0.388	0.435
marine	an-dranomasina	0.633	0.471	0.679
mariner	tantsambo	0.652	0.491	0.676
marital	mpivady	0.760	0.529	0.500
maritime	maritime	0.646	0.490	0.713
mark	marika	0.491	0.231	0.600
marked	marika	0.592	0.358	0.554
marker	fanamarihana toerana	0.500	0.333	0.605
market	tsena	0.724	0.480	0.521
marketable	marketable	0.746	0.545	0.664
marketing	-barotra	0.521	0.774	0.675
marketplace	an-tsena	0.698	0.420	0.525
marks	marika	0.430	0.480	0.424
marksman	marksman	0.500	0.833	0.692
marksmanship	marksmanship	0.573	0.531	0.664
marl	Marl	0.372	0.471	0.351
marmalade	marmalade	0.729	0.370	0.288
maroon	Maroon	0.469	0.358	0.336
marooned	marooned	0.229	0.480	0.160
marquee	marquee	0.602	0.284	0.508
marquis	Marquis	0.521	0.444	0.562
marred	simba	0.181	0.561	0.233
marriage	fanambadiana	0.844	0.684	0.750
married	manambady	0.674	0.570	0.602
marrow	tsoka	0.398	0.422	0.472
marry	hanambady	0.896	0.765	0.673
marsh	Marsh	0.302	0.358	0.277
marshal	mpifehy	0.469	0.610	0.819
marshmallow	marshmallow	0.740	0.441	0.391
mart	tsenan'ny	0.531	0.402	0.418
martial	miaramila	0.480	0.710	0.737
martingale	martingale	0.469	0.510	0.455
martini	Martini	0.828	0.500	0.519
martyr	maritiora	0.281	0.708	0.509
martyrdom	maritiora	0.323	0.745	0.442
marvel	mahagaga	0.961	0.755	0.866
marvellous	mahatalanjona	0.878	0.809	0.849
marvelous	mahatalanjona	0.948	0.637	0.778
marvelously	mahagaga	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	mascara	0.575	0.450	0.269
mascot	mascot	0.750	0.337	0.337
masculine	iombonana	0.653	0.540	0.773
masculinity	masculinity	0.583	0.670	0.851
mash	Masy	0.440	0.363	0.283
mashed	nopotsehina	0.531	0.337	0.194
mask	hanafina	0.510	0.490	0.537
masked	misaron-tava	0.375	0.549	0.518
masks	saron-tava	0.510	0.472	0.241
masochism	masochism	0.194	0.845	0.483
masochist	masochist	0.164	0.784	0.353
mason	Mason	0.541	0.442	0.580
masquerade	fihatsarambelatsihin'ny	0.431	0.633	0.446
mass	faobe	0.458	0.245	0.277
massacre	fandripahana	0.031	0.887	0.640
massage	fanorana	0.708	0.356	0.413
masses	vahoaka	0.552	0.453	0.473
masseur	mpanotra	0.622	0.265	0.463
masseuse	masseuse	0.594	0.373	0.391
massive	goavana	0.569	0.660	0.750
mast	andry tokana	0.542	0.390	0.580
master	tompony	0.694	0.490	0.849
masterful	fahaizany	0.854	0.510	0.960
mastermind	atidoha	0.792	0.625	0.918
masterpiece	sanganasa	0.926	0.623	0.847
mastery	fehezina	0.755	0.648	0.873
masturbate	masturbate	0.552	0.926	0.500
masturbation	filahiana	0.542	0.961	0.509
mat	tsihy	0.459	0.221	0.304
matador	Matador	0.224	0.880	0.667
match	lalao	0.599	0.573	0.500
matchbook	matchbook	0.562	0.391	0.412
matching	mifandraika	0.719	0.735	0.418
matchmaker	matchmaker	0.615	0.509	0.519
mate	vady	0.847	0.417	0.669
material	ara-nofo	0.521	0.363	0.439
materialism	ny fitiavan-karena	0.220	0.390	0.556
materialist	zavatra ara-nofo	0.255	0.491	0.504
materialistic	zavatra ara-nofo	0.420	0.506	0.589
materiality	materiality	0.417	0.450	0.636
materialize	vatan'olombelona	0.688	0.596	0.728
materially	ara-nofo	0.490	0.451	0.670
materials	akora	0.633	0.361	0.473
materiel	MATERIEL	0.531	0.294	0.417
maternal	reny	0.847	0.417	0.634
maternity	fiterahana	0.865	0.480	0.622
math	matematika	0.417	0.375	0.600
mathematical	matematika	0.620	0.500	0.548
mathematician	mpahay matematika	0.541	0.418	0.773
mathematics	Matematika	0.438	0.435	0.664
matinee	Matinée	0.694	0.578	0.447
mating	manao firaisana	0.755	0.840	0.759
matriculation	matriculation	0.622	0.490	0.675
matrimony	fanambadiana	0.850	0.637	0.843
matrix	teraka	0.551	0.378	0.673
matron	mpiasa azy	0.520	0.519	0.555
matted	matted	0.281	0.519	0.393
matter	resaka	0.487	0.353	0.562
matting	matting	0.479	0.405	0.423
mattress	kidoro	0.612	0.255	0.397
maturation	maturation	0.612	0.439	0.698
mature	matotra	0.625	0.347	0.600
maturity	fahamatorana	0.827	0.400	0.806
maudlin	maudlin	0.337	0.417	0.368
mausoleum	fasan'i	0.344	0.281	0.594
mauve	mauve	0.533	0.330	0.314
maverick	maverick	0.354	0.676	0.409
maxim	Maxim	0.875	0.562	0.887
maximize	faran'izay betsaka	0.823	0.765	0.792
maximum	faratampony	0.724	0.724	0.852
may	mety	0.704	0.273	0.245
mayday	May Day	0.344	0.643	0.423
mayflower	mayflower	0.690	0.463	0.429
mayhem	fifamonoana	0.188	0.870	0.364
mayonnaise	mayonnaise	0.510	0.320	0.222
mayor	ben'ny tanàna	0.469	0.481	0.818
maze	pahalehibenao	0.438	0.608	0.444
mead	Mead	0.667	0.337	0.441
meadow	tanin'ahitra	0.622	0.130	0.382
meager	kely	0.144	0.389	0.281
meal	sakafo	0.833	0.461	0.473
mean	midika	0.440	0.467	0.620
meander	meander	0.480	0.443	0.454
meandering	Meandering	0.427	0.644	0.539
meanie	meanie	0.388	0.420	0.404
meaning	izay midika hoe	0.663	0.395	0.625
meaningful	manan-danja	0.770	0.500	0.802
meaningless	dikany	0.156	0.314	0.143
meanness	meanness	0.102	0.694	0.368
means	dia midika hoe	0.615	0.373	0.460
meantime	Mandritra izany fotoana izany	0.432	0.222	0.300
measles	kitrotro	0.092	0.635	0.422
measurable	azo refesina	0.604	0.410	0.602
measure	refesina	0.510	0.375	0.365
measured	norefesiny	0.542	0.265	0.578
measurement	fandrefesana	0.622	0.418	0.491
measuring	famarana	0.448	0.337	0.529
measuring cup	kapoaka	0.557	0.343	0.377
measuring tape	kasety fandrefesana	0.337	0.280	0.327
meat	hena	0.612	0.421	0.413
meatball	meatball	0.612	0.279	0.343
meathead	meathead	0.306	0.534	0.490
meatloaf	meatloaf	0.625	0.389	0.375
mechanic	mpanamboatra	0.571	0.433	0.566
mechanical	mekanika	0.479	0.569	0.564
mechanics	haihetsika	0.542	0.500	0.761
mechanism	rafitra	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	medaly	0.854	0.555	0.746
medallion	medaliny	0.750	0.510	0.710
medallist	nahazo medaly	0.796	0.821	0.897
meddle	mila ady	0.302	0.770	0.526
meddling	Manohana	0.245	0.600	0.461
media	haino aman-jery	0.500	0.330	0.464
medial	medial	0.458	0.340	0.429
median	Median	0.459	0.216	0.375
mediate	mikatroka	0.635	0.308	0.654
mediation	fanelanelanana	0.661	0.350	0.657
mediator	mpanelanelana	0.592	0.438	0.580
medic	medic	0.500	0.472	0.585
medical	fitsaboana	0.583	0.373	0.616
medicate	medicate	0.417	0.375	0.546
medication	fanafody	0.615	0.439	0.500
medicinal	fanafody	0.667	0.417	0.614
medicine	fanafody	0.708	0.318	0.679
medieval	tamin'ny Moyen Âge	0.560	0.408	0.455
mediocre	mediocre	0.188	0.481	0.149
mediocrity	asa tsizarizary	0.073	0.398	0.225
meditate	misaintsaina	0.812	0.146	0.564
meditating	misaintsaina	0.718	0.185	0.399
meditation	misaintsaina	0.786	0.120	0.478
meditative	misaintsaina	0.614	0.120	0.454
mediterranean	Mediterane	0.663	0.454	0.545
medium	antonony	0.559	0.356	0.358
medley	hira natambatra	0.487	0.352	0.400
meek	malemy fanahy	0.531	0.150	0.198
meet	mivory	0.760	0.510	0.580
meeting	fihaonana	0.750	0.569	0.613
mega	Mega	0.724	0.538	0.723
meh	meh	0.380	0.286	0.365
melancholic	melancholic	0.181	0.306	0.277
melancholy	alahelo	0.188	0.260	0.237
melee	melee	0.541	0.704	0.611
mellow	mahafinaritra fanaon'ilay vorona	0.633	0.069	0.265
melodious	melodious	0.932	0.530	0.587
melodrama	melodrama	0.378	0.830	0.446
melodramatic	melodramatic	0.235	0.692	0.368
melody	fiderana	0.847	0.434	0.405
melon	voatavo	0.461	0.231	0.271
melt	kivy	0.448	0.615	0.312
meltdown	meltdown	0.629	0.657	0.602
melting	mpandrendrika	0.592	0.470	0.538
member	member	0.698	0.333	0.555
membership	mpikambana	0.698	0.411	0.778
membrane	manify	0.406	0.430	0.418
memento	fahatsiarovana	0.708	0.360	0.536
memo	fanamarihana	0.625	0.235	0.407
memoir	memoir	0.750	0.242	0.553
memorabilia	fahatsiarovana	0.780	0.412	0.491
memorable	tsy hay hadinoina	0.939	0.510	0.769
memorandum	ny taratasy	0.600	0.500	0.639
memorial	Fahatsiarovana	0.602	0.304	0.600
memorials	fahatsiarovana	0.771	0.333	0.679
memories	fahatsiarovana	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	tsianjery	0.520	0.451	0.716
memory	fahatsiarovana	0.792	0.378	0.573
menace	hampidi-doza	0.125	0.894	0.759
menacing	menacing	0.042	0.880	0.643
menagerie	menagerie	0.573	0.480	0.538
mend	amboary izay rava	0.542	0.436	0.602
mending	namboatra	0.500	0.633	0.657
menial	ambany	0.490	0.420	0.352
meningitis	meningite	0.104	0.612	0.407
meniscus	meniscus	0.323	0.330	0.453
menopause	mitsahatra amin'ny fananahana	0.204	0.460	0.306
menses	tonga fadim-bolana	0.163	0.686	0.331
menstrual	tonga fotoana	0.408	0.519	0.435
mental	ara-tsaina	0.490	0.490	0.585
mentalhealth	NO TRANSLATION	0.562	0.541	0.670
mentality	toe-tsaina	0.711	0.415	0.726
menthol	menthol	0.490	0.292	0.433
mention	manonona	0.562	0.365	0.562
mentor	mpanoro hevitra	0.719	0.455	0.777
menu	sakafo	0.633	0.333	0.385
meow	meo	0.510	0.510	0.412
mercantile	varotra,	0.480	0.490	0.713
mercenary	mpikarama an'ady	0.245	0.837	0.673
merchandise	entam-barotra	0.594	0.460	0.621
merchant	mpivarotra	0.675	0.500	0.620
merciful	feno famindram-po	0.854	0.346	0.500
merciless	tsy misy indrafo	0.062	0.880	0.634
mercurial	mercurial	0.490	0.546	0.518
mercury	volavelona	0.337	0.312	0.475
mercy	famindram-po	0.719	0.229	0.500
mere	fotsiny	0.396	0.221	0.176
merengue	merengey	0.688	0.519	0.442
merge	mampiray	0.760	0.480	0.733
merger	fiombonana	0.592	0.490	0.642
meridian	mitataovovonan	0.510	0.324	0.558
meridional	meridional	0.365	0.290	0.600
meringue	meringue	0.625	0.580	0.411
merit	fahamendrehana	0.854	0.500	0.722
meritorious	mendrika hampihatra izay mampihatra	0.781	0.618	0.855
mermaid	mermaid	0.765	0.623	0.452
merriment	merriment	0.948	0.721	0.632
merry	ravoravo	0.979	0.731	0.764
merrychristmas	NO TRANSLATION	0.888	0.510	0.536
mesa	Mesa	0.604	0.191	0.319
mescaline	mescaline	0.490	0.580	0.415
mesh	volovolo	0.429	0.235	0.371
meshes	meshes	0.440	0.363	0.362
mesmerized	Tena nambabo ireo mpijery	0.520	0.552	0.421
mess	mikorontana	0.143	0.843	0.273
message	hafatra	0.650	0.391	0.415
messedup	NO TRANSLATION	0.333	0.615	0.358
messenger	mpitondra hafatra	0.694	0.434	0.500
messiah	Mesia	0.781	0.634	0.800
messy	mahafantatra ny korontana	0.260	0.635	0.140
metabolic	metabolic	0.408	0.531	0.559
metabolism	metabolism	0.698	0.509	0.555
metal	metaly	0.551	0.429	0.547
metallic	metaly	0.615	0.330	0.607
metallurgy	mpampatsiro hanina	0.396	0.509	0.587
metamorphosis	fiofony	0.541	0.571	0.613
metaphor	fanoharana	0.562	0.280	0.470
metaphorical	miainga	0.500	0.412	0.480
metaphysical	ny metafizika	0.630	0.573	0.686
metaphysics	metafizikan	0.561	0.396	0.588
metastasis	metastasis	0.177	0.646	0.452
meteor	meteor	0.398	0.714	0.737
meteoric	meteoric	0.590	0.802	0.684
meteorite	tainkintana	0.385	0.794	0.750
meteorological	toetr'andro	0.635	0.557	0.556
meteorology	Haitoetrandro	0.630	0.418	0.689
meter	metatra	0.438	0.300	0.463
meth	meth	0.354	0.564	0.340
methadone	methadone	0.240	0.540	0.453
methane	metanina	0.290	0.460	0.569
methanol	methanol	0.292	0.500	0.570
method	fomba	0.640	0.275	0.698
methodical	fomba voarindra	0.663	0.360	0.745
methodology	fomba fiasa	0.664	0.327	0.745
meticulous	tena nitandrina	0.555	0.480	0.555
metime	metime	0.531	0.398	0.417
metric	mimetatra	0.519	0.248	0.573
metrical	metrical	0.521	0.375	0.482
metrology	drefy	0.531	0.432	0.439
metropolis	tanàn-dehibe	0.656	0.625	0.779
metropolitan	Metropolitana	0.387	0.408	0.723
mettle	mettle	0.667	0.529	0.750
mew	mew	0.418	0.481	0.380
mezzanine	mezzanine	0.479	0.427	0.404
mica	Mika	0.531	0.250	0.314
mick	Mick	0.449	0.451	0.382
micro	madinika	0.500	0.270	0.250
microbe	mikraoba	0.255	0.450	0.340
microbiology	ny zavamiaina bitika	0.571	0.378	0.560
microchip	microchip	0.551	0.358	0.432
microcosm	microcosm	0.500	0.500	0.520
microfilm	horonan-tsary bitika	0.469	0.352	0.412
microgram	microgram	0.448	0.286	0.355
micrometer	micrometer	0.573	0.358	0.394
micron	micron	0.375	0.291	0.315
microphone	mikrô	0.551	0.431	0.462
microscope	mikraoskaopy	0.531	0.330	0.464
microscopic	bitika	0.360	0.327	0.433
microscopically	microscopically	0.623	0.370	0.412
microscopy	microscopy	0.500	0.339	0.455
microwave	microwave	0.542	0.497	0.443
mid	tapaky ny volana	0.500	0.315	0.356
midair	midair	0.633	0.413	0.455
midday	atoandro	0.658	0.250	0.403
middle	afovoany	0.458	0.157	0.300
middleman	middleman	0.500	0.404	0.452
middleweight	middleweight	0.510	0.302	0.428
midget	midget	0.396	0.295	0.254
midland	Midland	0.521	0.402	0.456
midlife	midlife	0.594	0.244	0.473
midline	midline	0.332	0.224	0.330
midnight	misasakalina	0.562	0.470	0.545
midshipman	midshipman	0.469	0.615	0.785
midst	afovoany	0.324	0.275	0.296
midsummer	midsummer	0.781	0.480	0.492
midterm	midterm	0.427	0.337	0.425
midtown	midtown	0.479	0.442	0.538
midway	Midway	0.459	0.316	0.304
midwife	mpampivelona	0.531	0.570	0.453
midwifery	midwifery	0.510	0.570	0.459
mien	NO TRANSLATION	0.500	0.352	0.447
miffed	miffed	0.204	0.726	0.429
mighty	mahery	0.855	0.837	0.936
mignon	mignon	0.551	0.440	0.423
migraine	Marary Andoha Lava	0.135	0.783	0.318
migrate	hifindra monina	0.415	0.580	0.454
migration	fifindra-monina	0.492	0.731	0.566
migratory	mpifindrafindra monina	0.448	0.521	0.491
mike	Mike	0.542	0.365	0.423
mil	NO TRANSLATION	0.534	0.388	0.347
mild	malemy fanahy	0.635	0.198	0.216
mildew	maty fotsy	0.344	0.250	0.241
mildness	fahalemem-panahy	0.827	0.226	0.311
mile	kilaometatra	0.521	0.417	0.456
mileage	mileage	0.510	0.458	0.562
milestone	niavaka	0.719	0.373	0.558
militant	mpikatroka	0.418	0.667	0.750
militants	mpikatroka	0.260	0.673	0.652
military	miaramila	0.396	0.710	0.875
militia	milisy	0.396	0.729	0.769
milk	ronono	0.817	0.270	0.327
milkman	milkman	0.750	0.380	0.304
milkshake	Milkshake	0.796	0.521	0.330
milky	milky	0.517	0.283	0.311
mill	bary	0.531	0.382	0.347
millennium	arivo taona	0.573	0.398	0.760
milligram	milligram	0.429	0.217	0.302
millimeter	milimetatra	0.427	0.177	0.360
million	tapitrisa	0.776	0.647	0.812
millionaire	mpanapitrisa	0.917	0.755	0.850
millionth	tapitrisa	0.635	0.528	0.611
millstone	fikosoham-bary,	0.510	0.433	0.492
mime	MIME	0.455	0.235	0.302
mimic	manahaka	0.557	0.587	0.391
mimicking	nanahaka	0.316	0.433	0.364
mimicry	mimicry	0.420	0.337	0.472
mince	nitsitsy	0.417	0.529	0.378
mincemeat	mincemeat	0.396	0.435	0.358
mind	-tsaina	0.650	0.388	0.627
minded	tsaina	0.656	0.394	0.627
mindful	hahatsiaro	0.765	0.450	0.725
mindfulness	mindfulness	0.729	0.635	0.745
mindless	tsy hifankahitana	0.184	0.333	0.153
mine	mine	0.688	0.418	0.578
minefield	minefield	0.188	0.839	0.684
miner	mpitrandraka	0.408	0.594	0.644
mineral	mineraly	0.519	0.287	0.605
mineralogy	mineralogy	0.551	0.408	0.545
mingle	niharoharo	0.561	0.480	0.434
mingled	samy hafa	0.521	0.392	0.357
mini	Mini	0.421	0.324	0.221
miniature	kely	0.429	0.292	0.204
minibus	minibus	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	kely dia kely	0.448	0.147	0.206
minimize	manamaivana	0.360	0.236	0.311
minimized	ahena	0.458	0.137	0.208
minimum	kely indrindra	0.380	0.198	0.194
mining	fitrandrahana	0.633	0.598	0.554
minion	minion	0.490	0.430	0.167
minister	fanompoam-pivavahana	0.547	0.441	0.892
ministerial	fanompoana	0.571	0.519	0.660
ministry	asa fanompoana	0.510	0.346	0.717
minivan	minivan	0.592	0.356	0.452
mink	mink	0.560	0.515	0.430
minnow	minnow	0.541	0.367	0.364
minor	tsy ampy taona	0.250	0.235	0.175
minority	vitsy an'isa	0.310	0.332	0.211
minstrel	mpitendry lokanga	0.458	0.541	0.397
mint	mint	0.688	0.221	0.345
minty	minty	0.635	0.292	0.361
minuscule	kiritika kely	0.396	0.286	0.214
minute	minitra	0.582	0.279	0.356
minutiae	tsipiriany	0.323	0.257	0.316
minx	minx	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	fahagagana	0.917	0.607	0.806
miracles	fahagagana	0.922	0.735	0.692
miraculous	mahagaga	0.875	0.706	0.812
mirage	mirage	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	fitaratra	0.677	0.310	0.438
mirth	fifaliana	0.888	0.640	0.608
misappropriation	fanodikodinana	0.097	0.831	0.500
misbehave	maditra	0.020	0.847	0.304
misbehavior	namela	0.031	0.704	0.269
miscalculation	miscalculation	0.177	0.490	0.353
miscarriage	afa-jaza	0.042	0.781	0.312
miscellaneous	Miscellaneous	0.531	0.321	0.196
miscellany	miscellany	0.500	0.412	0.384
mischief	sompatra	0.385	0.834	0.292
mischievous	-doza	0.439	0.804	0.472
misconception	hevi-diso	0.210	0.557	0.291
misconduct	fitondran-tena	0.061	0.667	0.304
misdemeanor	misdemeanor	0.210	0.640	0.364
misdirection	misdirection	0.131	0.710	0.281
miser	miser	0.208	0.633	0.311
miserable	fadiranovana	0.062	0.461	0.188
miserably	loza tokoa ny	0.280	0.545	0.150
misery	fahoriana	0.146	0.378	0.158
misfire	misfire	0.153	0.453	0.200
misfit	misfit	0.173	0.500	0.393
misfortune	fahavoazana	0.094	0.780	0.311
misguided	NO TRANSLATION	0.280	0.531	0.259
mishap	mishap	0.071	0.654	0.227
misinformed	diso hevitra momba antsika	0.156	0.567	0.250
misinterpretation	amim-pahadisoana	0.112	0.556	0.360
mislead	hamitaka	0.167	0.765	0.412
misleading	mamitaka	0.070	0.660	0.272
misled	voafitaka	0.177	0.606	0.353
mismanagement	tsy fahaiza-mitantana	0.094	0.520	0.295
mismatch	mismatch	0.250	0.459	0.282
mismatched	mismatched	0.250	0.557	0.302
misnomer	misnomer	0.296	0.528	0.284
misplace	hanary	0.229	0.461	0.191
misplaced	diso toerana	0.247	0.450	0.324
misread	misread	0.115	0.558	0.315
misrepresent	lainga momba	0.198	0.542	0.418
misrepresentation	diso	0.323	0.618	0.518
misrepresented	vilana ny fomba fisainan'Andriamanitra	0.042	0.519	0.466
miss	Miss	0.573	0.490	0.408
missile	balafomanga	0.240	0.830	0.764
missiles	zana-tsipìka	0.070	0.922	0.830
missing	tsy hita	0.306	0.418	0.222
missingyou	NO TRANSLATION	0.260	0.471	0.377
mission	asa fitoriana	0.765	0.633	0.870
missionary	misionera	0.729	0.404	0.596
misspell	misspell	0.292	0.423	0.281
misstatement	misstatement	0.302	0.547	0.221
missy	Missy	0.521	0.480	0.333
mist	zavon	0.375	0.194	0.221
mistake	fahadisoana	0.208	0.585	0.102
mistaken	diso	0.131	0.630	0.212
mister	Mister	0.604	0.406	0.663
mistletoe	mistletoe	0.542	0.470	0.324
mistreated	nampahory	0.010	0.792	0.200
mistress	tompovavy	0.630	0.796	0.694
mistrial	mistrial	0.427	0.539	0.536
mistrust	tsy fifampitokisana	0.135	0.657	0.231
misty	zavona	0.427	0.451	0.278
misunderstand	diso fandray	0.177	0.548	0.382
