Word	Tamil-ta	Valence	Arousal	Dominance
jail	சிறையில்	0.094	0.898	0.480
jailbird	சிறையில் இருப்பவர்	0.240	0.567	0.473
jailbreak	கண்டுவருகின்றனர்	0.354	0.629	0.471
jailer	சிறைக்காவலர்	0.194	0.630	0.632
jailhouse	சிறைச்சாலை	0.104	0.887	0.430
jalopy	பழைய ஊர்தி	0.396	0.436	0.337
jam	ஜாம்	0.510	0.548	0.318
jamboree	மகிழ்ச்சிக் கூட்டம்	0.602	0.625	0.351
jammed	திறக்கமுடியவில்லை	0.235	0.817	0.411
jammer	நெருக்குதல்	0.417	0.540	0.491
janitor	வாயிற்காவலர்	0.510	0.350	0.527
janitorial	கட்டிட பராமரிப்பு	0.490	0.373	0.481
japan	ஜப்பான்	0.667	0.482	0.580
jar	ஜாடி	0.430	0.346	0.318
jargon	வாசகங்கள்	0.333	0.548	0.404
jarhead	jarhead	0.408	0.530	0.464
jarring	jarring	0.210	0.673	0.309
jasmine	மல்லிகை	0.765	0.230	0.286
jasper	ஜாஸ்பர்	0.480	0.425	0.402
jaundice	மஞ்சள் காமாலை	0.214	0.480	0.355
jaunt	நிகழ்ச்சியில் பங்கேற்றதால்	0.808	0.451	0.500
java	ஜாவா	0.459	0.321	0.343
javelin	ஈட்டியை	0.385	0.481	0.465
jaw	தாடை	0.500	0.510	0.420
jawbone	தாடை	0.468	0.413	0.342
jaws	தாடைகள்	0.385	0.528	0.455
jay	ஜே	0.531	0.408	0.389
jazz	ஜாஸ்	0.677	0.362	0.450
jazzy	கவர்ச்சியாக	0.725	0.431	0.389
jealous	பொறாமை	0.173	0.855	0.345
jealousy	பொறாமை	0.146	0.783	0.481
jean	Jean	0.602	0.444	0.364
jeans	ஜீன்ஸ்	0.622	0.324	0.371
jeep	ஜீப்	0.602	0.510	0.612
jeering	ஊளையிட்டது	0.266	0.792	0.380
jelly	ஜெல்லி	0.651	0.294	0.256
jellybean	ஜெல்லி பீன்	0.592	0.406	0.399
jellyfish	ஜெல்லிமீன்	0.531	0.567	0.377
jenny	ஜென்னி	0.542	0.406	0.407
jeopardize	பாதிக்க	0.260	0.877	0.582
jeopardy	ஜியோபார்டியில்	0.129	0.908	0.536
jerk	முட்டாள்	0.194	0.630	0.238
jerks	குலுக்குதல்	0.214	0.788	0.395
jerky	செயற்கைகோள்	0.233	0.538	0.358
jersey	ஜெர்சி	0.594	0.317	0.411
jest	NO TRANSLATION	0.520	0.736	0.222
jester	வேடிக்கை செய்பவன்	0.388	0.670	0.264
jesus	கிறிஸ்தவ சமயத்தை தோற்றுவித்தவர்	0.800	0.400	0.620
jet	ஜெட்	0.612	0.721	0.606
jetty	படகுத்துறை	0.602	0.480	0.453
jewel	நகை	0.827	0.588	0.625
jeweler	நகைக்கடைக்கு	0.760	0.482	0.500
jewelry	நகை	0.823	0.569	0.597
jib	அபாய	0.406	0.420	0.413
jiff	NO TRANSLATION	0.576	0.404	0.349
jiffy	கூடியவிரைவில்	0.410	0.444	0.380
jig	வழியுறுதித்	0.531	0.396	0.357
jiggle	நெளிந்தாடு	0.592	0.673	0.518
jigsaw	திகைப்பளி	0.594	0.582	0.519
jihad	ஜிகாத்	0.323	0.660	0.444
jimmy	ஜிம்மி	0.579	0.321	0.311
jingle	ஜிங்கள்	0.635	0.500	0.424
jinx	தீய செய்தி கொண்டு வருபவர்	0.337	0.582	0.373
jitters	நடுக்கங்கள்	0.224	0.918	0.192
jittery	நிலைகுலைந்துள்ள	0.344	0.856	0.255
jive	ஜிவ்	0.561	0.551	0.373
job	வேலை	0.694	0.541	0.717
jobinterview	NO TRANSLATION	0.684	0.837	0.723
jock	ஜாக்	0.592	0.656	0.473
jockey	தொகுப்பாளராக	0.562	0.644	0.703
jockstrap	jockstrap	0.347	0.431	0.390
jog	ஓடுவது	0.510	0.708	0.519
jogger	ஜோக்கர்	0.417	0.510	0.424
john	ஜான்	0.562	0.382	0.327
join	சேர	0.729	0.479	0.684
joined	சேர்ந்தார்	0.667	0.394	0.600
joining	சேர	0.755	0.469	0.685
joint	கூட்டு	0.615	0.392	0.566
jointly	கூட்டாக	0.708	0.425	0.602
joke	ஜோக்	0.704	0.610	0.316
joker	கோமாளி	0.771	0.760	0.416
joking	வேடிக்கையாகப்	0.776	0.839	0.407
jolly	ஜாலி	0.959	0.705	0.708
jolt	அதிர்ச்சி	0.365	0.708	0.358
jornada	NO TRANSLATION	0.417	0.500	0.533
jot	சிறிதளவு	0.406	0.323	0.350
jour	NO TRANSLATION	0.479	0.394	0.415
journal	பத்திரிகை	0.688	0.240	0.352
journalism	இதழியல்	0.622	0.500	0.684
journalist	பத்திரிகையாளர்	0.542	0.452	0.732
journalistic	இதழியல்	0.696	0.449	0.495
journey	பயணம்	0.910	0.702	0.625
journeyman	கைதேர்ந்த	0.765	0.596	0.741
joust	தோழர்களே	0.520	0.528	0.551
jovial	மகிழ்வான	0.823	0.460	0.526
joy	மகிழ்ச்சி	0.980	0.824	0.794
joyful	மகிழ்ச்சிமிக்க	0.990	0.740	0.667
joyous	மகிழ்ச்சி	0.958	0.580	0.728
joyride	களிப்புப்பயணம்	0.694	0.550	0.500
joys	மகிழ்ச்சிகளில்	0.981	0.643	0.651
jubilant	களிப்புடன்	0.844	0.673	0.664
jubilee	ஐம்பதாம்	0.916	0.500	0.579
judge	நீதிபதி	0.510	0.604	0.857
judged	தீர்மானித்தனர்	0.281	0.686	0.722
judging	ஆராய	0.240	0.625	0.693
judgment	தீர்ப்பு	0.396	0.600	0.816
judgmental	தீர்ப்பு	0.330	0.602	0.579
judicial	நீதித்துறை	0.378	0.667	0.833
judiciary	நீதித்துறை	0.439	0.740	0.897
judicious	சிறப்பான	0.630	0.432	0.772
judo	ஜூடோ	0.500	0.790	0.612
jug	குடம்	0.520	0.250	0.213
juggle	மோசடியாக	0.594	0.760	0.426
juggler	செப்பிடு வித்தைக்காரர்	0.633	0.821	0.480
juggling	ஏமாற்று வித்தை	0.562	0.874	0.346
jugular	தொண்டைக்	0.271	0.573	0.426
juice	சாறு	0.776	0.281	0.352
juicer	juicer	0.552	0.520	0.564
juicy	தாகமாக	0.823	0.529	0.490
juju	NO TRANSLATION	0.541	0.519	0.206
juke	Juke	0.500	0.491	0.410
jukebox	ஜூக்பாக்ஸ்	0.699	0.540	0.429
jumble	குழப்பநிலை	0.357	0.613	0.331
jumbled	சரிசெய்யவேண்டும்	0.292	0.602	0.445
jumbo	ஜம்போ	0.680	0.552	0.447
jump	குதிக்க	0.625	0.865	0.611
jump rope	குதித்து கயிறு	0.656	0.660	0.368
jumper	குதிப்பவன்	0.615	0.336	0.481
jumpsuit	ஜம்ப்சூட்	0.562	0.365	0.361
jumpy	துடிப்போடு	0.353	0.810	0.216
junction	சந்தி	0.490	0.481	0.364
juncture	சூழ்நிலையில்	0.365	0.582	0.491
jungle	காட்டில்	0.500	0.510	0.481
junior	இளைய	0.635	0.343	0.304
juniper	ஜூனிபர்	0.583	0.327	0.352
junk	குப்பை	0.115	0.481	0.118
junket	இன்ப சுற்றுலா	0.490	0.519	0.386
junkie	ஜன்கி	0.135	0.860	0.363
junky	junky	0.385	0.595	0.343
junkyard	குப்பைக்கொட்டுமிடம்	0.177	0.398	0.302
junta	ஆட்சிக்குழு	0.451	0.503	0.704
juridical	சட்டமுறையான	0.520	0.431	0.873
jurisdiction	அதிகார	0.480	0.580	0.820
jurisprudence	நீதி பரிபாலனம்	0.360	0.425	0.764
jurist	நீதியாளர்	0.479	0.523	0.713
juror	தி ஜூரர்	0.582	0.640	0.750
jury	ஜூரி	0.479	0.607	0.789
justice	நீதி	0.760	0.538	0.787
justifiable	நியாயமான	0.786	0.413	0.821
justification	நியாயப்படுத்துவதாக	0.622	0.444	0.661
justify	நியாயப்படுத்துவதற்கு	0.612	0.473	0.615
juststop	NO TRANSLATION	0.417	0.379	0.364
justthebeginning	NO TRANSLATION	0.573	0.451	0.481
jute	சணல்	0.551	0.216	0.295
juvenile	இளம்	0.678	0.490	0.526
juxtaposition	தீர்வை	0.427	0.500	0.460
kaiser	கைசர்	0.470	0.509	0.690
kale	காலே	0.469	0.226	0.411
kaleidoscope	பலவண்ணக்காட்சியாக	0.615	0.439	0.580
kamikaze	Kamikaze	0.204	0.810	0.645
kangaroo	கங்காரு	0.716	0.333	0.301
kanji	காஞ்சி	0.510	0.413	0.425
kappa	கப்பாத்	0.469	0.375	0.366
kaput	NO TRANSLATION	0.281	0.441	0.440
karaoke	கரோக்கே	0.763	0.649	0.342
karate	கராத்தே	0.562	0.833	0.598
karma	கர்மா	0.500	0.510	0.537
karmic	கர்ம	0.357	0.459	0.464
kayak	கயாக்	0.592	0.600	0.364
kazoo	kazoo	0.503	0.462	0.411
kebab	கபாப் உணவகங்களுக்கு	0.531	0.431	0.377
keel	சம	0.344	0.417	0.419
keen	முனைப்புடன்	0.823	0.719	0.806
keep	வை	0.714	0.296	0.547
keeper	கீப்பர்	0.612	0.457	0.773
keeping	கீப்பிங்	0.592	0.280	0.723
keepsake	ஞாபகார்த்த	0.740	0.307	0.491
keg	சிறு பீப்பாய்	0.551	0.389	0.404
kelp	கெல்ப்	0.479	0.264	0.213
ken	கென்	0.438	0.409	0.360
kennel	கேனல்	0.430	0.480	0.406
kerchief	தலைக்குட்டை	0.520	0.189	0.236
kern	கெர்ன்	0.438	0.420	0.449
kernel	கர்னல்	0.542	0.453	0.462
kerosene	மண்ணெண்ணெய்	0.302	0.472	0.427
ketchup	கெட்ச்அப்	0.653	0.338	0.282
kettle	கெண்டி	0.357	0.497	0.333
key	முக்கிய	0.615	0.275	0.519
keyboard	விசைப்பலகை	0.573	0.279	0.349
keyed	இயங்கக்கூடிய	0.469	0.497	0.521
keyhole	சாவித் துவாரத்தின்	0.438	0.358	0.356
keynote	சிறப்பு	0.630	0.431	0.545
keypad	விசைப்பலகை	0.604	0.255	0.330
keystone	மையக்கல்	0.573	0.438	0.491
keyword	முக்கிய	0.602	0.520	0.747
khaki	காக்கி	0.594	0.252	0.278
khan	கான்	0.463	0.476	0.529
kibble	kibble	0.510	0.458	0.404
kick	கிக்	0.271	0.791	0.526
kickboxing	குத்துச்சண்டை	0.427	0.882	0.651
kicker	கிக்கர்	0.427	0.711	0.614
kicking	உதைத்து	0.327	0.802	0.510
kickoff	ஈடுபடுவார்கள்	0.583	0.600	0.629
kid	குழந்தை	0.760	0.453	0.298
kidder	Kidder	0.708	0.768	0.471
kidding	விளையாடினேன்	0.622	0.625	0.457
kiddo	குட்டிக்கு	0.674	0.393	0.419
kiddos	kiddos	0.500	0.480	0.342
kidnap	கடத்தல்	0.032	0.923	0.535
kidnapped	கடத்தப்பட்ட	0.044	0.923	0.455
kidnapper	கடத்திச்சென்ற	0.115	0.906	0.618
kidnapping	கடத்தல்	0.094	0.880	0.561
kidney	சிறுநீரக	0.448	0.363	0.380
kids	குழந்தைகள்	0.837	0.500	0.417
kill	கொல்ல	0.052	0.941	0.736
killer	கொலையாளி	0.041	0.971	0.543
killing	கொலை	0.080	0.959	0.696
killjoy	killjoy	0.178	0.550	0.324
kiln	சூளை	0.451	0.423	0.414
kilo	NO TRANSLATION	0.438	0.358	0.461
kilogram	கிலோகிராம்	0.510	0.260	0.455
kilometer	கிலோமீட்டர்	0.490	0.439	0.485
kilt	ஸ்காட்லாண்டில் அணியப்படும் சிறிய பாவாடை	0.448	0.346	0.348
kimono	கிமோனோ	0.643	0.280	0.363
kin	உறவினர்களின்	0.543	0.441	0.457
kind	வகையான	0.918	0.240	0.618
kindergarten	மழலையர் பள்ளி	0.833	0.462	0.308
kindling	எரியும்	0.520	0.651	0.421
kindness	இரக்கம்	0.938	0.350	0.508
kindred	இனத்தையும்	0.760	0.418	0.517
kinematics	இயக்கவடிவியல்	0.594	0.480	0.614
kinesiology	மனித உடலியக்கவியல்	0.491	0.480	0.633
kinetic	இயக்க	0.582	0.540	0.537
king	ராஜா	0.677	0.690	0.892
king snake	ராஜா பாம்பு	0.458	0.835	0.647
kingdom	இராச்சியம்	0.714	0.547	0.910
kingpin	கொள்ளைக்கூட்டத் தலைவன்	0.357	0.626	0.642
kink	முறிவு, இடைமுறுக்கு	0.337	0.634	0.321
kinky	செக்ஸ்	0.449	0.558	0.361
kinship	சொந்தம்	0.771	0.300	0.652
kiosk	கியோஸ்க்	0.500	0.286	0.321
kirk	கிர்க்	0.510	0.390	0.388
kiss	முத்தம்	0.967	0.813	0.630
kisser	முத்தக்காரர்	0.844	0.682	0.618
kissy	முத்தமிடும்	0.874	0.684	0.402
kit	கிட்	0.583	0.344	0.420
kitchen	சமையலறை	0.700	0.234	0.398
kite	காத்தாடி	0.643	0.500	0.573
kitten	பூனை குட்டி	0.816	0.343	0.260
kiwi	கிவி	0.646	0.273	0.282
klutz	klutz	0.275	0.451	0.356
knack	சாமர்த்தியம்	0.562	0.518	0.820
knapsack	பையில்	0.551	0.317	0.268
knead	பிசைந்து	0.490	0.457	0.345
knee	முழங்கால்	0.520	0.245	0.396
kneecap	kneecap	0.427	0.360	0.440
kneel	மண்டியிட	0.426	0.417	0.217
kneeling	முழங்கால்	0.245	0.435	0.144
knell	நாதம்	0.354	0.500	0.377
knick	முறிவுத்தானம்-	0.480	0.509	0.420
knickers	நிக்கரை	0.552	0.428	0.328
knife	கத்தி	0.344	0.717	0.573
knight	நைட்	0.780	0.441	0.835
knighthood	வீரத்திருமகன்	0.740	0.660	0.769
knit	பின்னப்பட்ட	0.630	0.144	0.295
knob	குமிழ்	0.340	0.360	0.272
knock	தட்டுங்கள்	0.312	0.531	0.527
knockoff	knockoff	0.350	0.606	0.240
knockout	நாக் அவுட்	0.388	0.755	0.664
knoll	குன்ற	0.434	0.347	0.333
knot	முடிச்சு	0.541	0.221	0.408
knots	முடிச்சு	0.418	0.346	0.267
knotted	முடிச்சு	0.226	0.412	0.294
know	தெரியும்	0.765	0.361	0.704
knowing	தெரிந்தும்	0.833	0.353	0.658
knowingly	தெரிந்தே	0.500	0.459	0.481
knowledge	அறிவு	0.847	0.430	0.896
knowledgeable	அறிவார்ந்த	0.865	0.455	0.971
knuckle	புறமாகச்	0.655	0.333	0.393
knucklehead	knucklehead	0.157	0.485	0.288
knuckles	விரல்	0.271	0.461	0.320
koala	கோலா	0.608	0.210	0.311
kook	NO TRANSLATION	0.417	0.471	0.398
kooky	கோணல்	0.418	0.582	0.366
kool-aid	கூல்-உதவி	0.531	0.318	0.393
kos	கோக்களை	0.500	0.471	0.407
kosher	கோஷர்	0.469	0.443	0.312
kraut	NO TRANSLATION	0.388	0.500	0.390
kris	கிரிஸ்	0.427	0.417	0.407
kryptonite	கிரிப்டோனைட்	0.306	0.690	0.588
kudos	பெருமையையும்	0.925	0.587	0.642
kumquat	kumquat	0.417	0.426	0.390
lab	ஆய்வக	0.479	0.500	0.600
label	லேபிள்	0.582	0.245	0.423
labor	தொழிலாளர்	0.594	0.639	0.754
laboratory	ஆய்வக	0.571	0.490	0.537
labored	ஈடுபட்டிருந்தனர்	0.646	0.451	0.637
laborer	கூலியாளாக	0.561	0.510	0.698
laboring	அன்றாட	0.705	0.644	0.737
laborious	உழைக்க	0.393	0.635	0.709
labyrinth	சிக்கலான	0.479	0.811	0.491
lac	அரக்கு	0.408	0.418	0.331
lace	சரிகை	0.625	0.200	0.293
laceration	கீறல்காயம்	0.143	0.667	0.443
lack	பற்றாக்குறை	0.250	0.365	0.242
lackey	லாக்கி	0.260	0.510	0.166
lacking	இல்லாத	0.229	0.375	0.121
lackluster	மந்தமான	0.250	0.311	0.264
lacquer	அரக்கு	0.510	0.353	0.258
lacrosse	லக்ரோஸ்	0.573	0.656	0.509
lactose	லாக்டோஸ்	0.479	0.290	0.433
lad	பையன்	0.637	0.388	0.336
ladder	ஏணி	0.560	0.438	0.358
laddie	சிறுவன்	0.668	0.539	0.391
laden	அளவுடைய	0.392	0.478	0.554
lading	கப்பல் சரக்கு	0.388	0.463	0.409
ladle	கரண்டியால்	0.531	0.368	0.352
lady	பெண்	0.854	0.481	0.602
lady bug	NO TRANSLATION	0.490	0.434	0.381
ladybug	Ladybug	0.602	0.400	0.224
ladylike	Ladylike	0.592	0.559	0.538
ladyship	ladyship	0.561	0.480	0.822
lag	பின்னடைவு	0.220	0.375	0.246
lager	NO TRANSLATION	0.584	0.480	0.353
lagging	பிந்தும்	0.135	0.538	0.277
lagoon	நீர்ப்பரப்பு	0.660	0.231	0.373
lair	குகையில்	0.469	0.438	0.392
laity	பாமர மக்கள்	0.510	0.320	0.487
lake	ஏரி	0.694	0.196	0.425
lama	NO TRANSLATION	0.560	0.320	0.400
lamb	ஆட்டுக்குட்டி	0.646	0.284	0.321
lame	நொண்டி	0.145	0.410	0.217
lament	புலம்புகிறார்	0.198	0.398	0.352
lamenting	வருந்துவதற்கு	0.156	0.390	0.254
lamina	மென்தகட்டினதும்	0.510	0.314	0.408
laminated	தகட்டு	0.417	0.304	0.373
lamp	விளக்கு	0.510	0.260	0.309
lamppost	விளக்கு கம்பம்	0.420	0.337	0.455
lance	ஈட்டி	0.406	0.620	0.587
lancer	லான்ஸர்	0.417	0.528	0.519
land	நில	0.582	0.260	0.616
landed	தரையிறங்கியது	0.709	0.620	0.480
landfall	கரையை	0.521	0.434	0.407
landfill	உரக் குழி	0.398	0.423	0.324
landing	இறங்கும்	0.552	0.696	0.596
landlady	நில உரிமையாளரான	0.677	0.303	0.417
landlocked	நிலத்தால் சூழப்பட்ட	0.280	0.391	0.367
landlord	உரிமையாளர்	0.684	0.500	0.858
landmark	மைல்கல்	0.694	0.355	0.681
lands	நிலங்களை	0.594	0.280	0.492
landscape	இயற்கை	0.719	0.176	0.423
landscaping	இயற்கையை ரசித்தல்	0.823	0.379	0.519
landslide	நிலச்சரிவு	0.250	0.864	0.530
lane	லேன்	0.449	0.490	0.451
language	மொழி	0.677	0.337	0.704
languid	சோர்வான	0.281	0.270	0.283
languish	வாட	0.235	0.408	0.382
languishing	அடைக்கப்பட்டுள்ள	0.308	0.459	0.353
lanky	lanky	0.412	0.426	0.370
lantern	விளக்கு	0.622	0.250	0.243
lap	மடியில்	0.583	0.510	0.412
lapdog	lapdog	0.388	0.490	0.269
lapel	முன்மடிப்பை	0.460	0.287	0.288
lapse	கழிந்தும்	0.420	0.316	0.281
lapsed	செலவான	0.357	0.333	0.276
laptop	மடிக்கணினி	0.724	0.270	0.519
larceny	திருட்டு	0.272	0.821	0.454
lard	பன்றிக்கொழுப்பு	0.427	0.239	0.179
larder	உணவு பொருட்கள் வைக்கும் அலமாரி	0.656	0.290	0.509
large	பெரிய	0.704	0.565	0.736
larger	பெரிய	0.729	0.654	0.763
largo	NO TRANSLATION	0.521	0.480	0.517
lark	லார்	0.570	0.292	0.352
larva	லார்வா	0.245	0.423	0.254
laryngitis	குரல்வளை	0.125	0.500	0.370
larynx	குரல்வளை	0.460	0.420	0.402
lasagna	மாவடை	0.719	0.441	0.396
laser	லேசர்	0.469	0.531	0.769
lash	பலங்கொண்டு அடி	0.235	0.794	0.609
lass	இழப்பை	0.656	0.536	0.433
lasso	சுருக்குடன் கூடிய கயிறு	0.438	0.460	0.339
lastday	NO TRANSLATION	0.309	0.580	0.463
lasting	நீடித்த	0.804	0.535	0.745
lastminute	கடைசி நிமிடத்தில்	0.418	0.582	0.385
latch	தாழ்ப்பாளை	0.395	0.263	0.288
late	தாமதமாக	0.245	0.358	0.315
lateness	lateness	0.214	0.388	0.343
latent	உள்ளுறை	0.469	0.500	0.653
lateral	பக்கவாட்டு	0.469	0.370	0.322
laterally	பக்கவாட்டாக	0.562	0.255	0.450
latex	மரப்பால்	0.479	0.413	0.325
lathe	lathe	0.510	0.450	0.425
lather	நுரை	0.635	0.327	0.313
latitude	அட்சரேகை	0.562	0.306	0.490
latrine	கழிவறை	0.380	0.353	0.176
latrines	கழிப்பிடங்கள்	0.214	0.462	0.267
latte	குழம்பு	0.615	0.320	0.311
lattice	பின்னல்	0.406	0.420	0.349
laud	புகழ்வோமாக	0.493	0.427	0.383
laudable	பாராட்டத்தக்க	0.740	0.472	0.682
laudation	புகழ்ச்சி	0.542	0.547	0.623
laudatory	புகழ் பேசுகிற	0.612	0.417	0.450
laugh	சிரிக்க	0.980	0.639	0.587
laughable	நகைப்பூட்டுவதாக	0.592	0.627	0.298
laughing	சிரித்து	0.906	0.596	0.534
laughingstock	NO TRANSLATION	0.427	0.779	0.312
laughs	சிரிக்கிறார்	0.812	0.846	0.425
laughter	சிரிப்பு	0.959	0.654	0.588
launch	வெளியீட்டு	0.684	0.814	0.598
launcher	தொடக்கம்	0.677	0.745	0.808
launches	ஏவல்களில்	0.490	0.663	0.602
launder	வெள்ளை பணமாக்க	0.479	0.450	0.349
laundering	மோசடியில்	0.439	0.327	0.444
laundry	சலவை	0.644	0.292	0.377
laureate	பரிசு பெற்ற	0.724	0.402	0.702
laurel	லாரல்	0.646	0.146	0.302
laurels	கெளரவம்	0.684	0.279	0.545
lava	எரிமலைக்குழம்பு	0.280	0.539	0.615
lavage	வயிறு	0.615	0.467	0.361
lavatory	சிறுநீர் கழிக்கும்	0.510	0.400	0.259
lavender	லாவெண்டர்	0.812	0.198	0.388
lavish	பகட்டான	0.792	0.648	0.730
law	சட்டம்	0.740	0.590	0.815
lawful	சட்டப்பூர்வமான	0.660	0.394	0.780
lawless	சட்டத்திற்கு	0.219	0.690	0.420
lawlessness	சட்டத்திற்கு புறம்பாகவும்	0.156	0.804	0.509
lawman	Lawman	0.510	0.523	0.786
lawn	புல்வெளி	0.686	0.153	0.192
lawnmower	lawnmower	0.480	0.531	0.355
lawsuit	வழக்கு	0.219	0.794	0.611
lawyer	வழக்கறிஞர்	0.521	0.569	0.784
lax	தளர்வாக	0.430	0.401	0.300
laxative	மலமிளக்கி	0.271	0.550	0.528
lay	இடுகின்றன	0.521	0.336	0.491
layaway	layaway	0.429	0.510	0.451
layer	அடுக்கு	0.500	0.208	0.366
layered	அடுக்கு	0.571	0.306	0.436
layman	துறைசாராதவர்களுக்கு	0.531	0.339	0.424
layout	அமைப்பை	0.615	0.442	0.557
layover	Layover	0.520	0.355	0.500
laziness	சோம்பேறித்தனம்	0.271	0.240	0.132
lazy	சோம்பேறி	0.392	0.264	0.096
lazyday	NO TRANSLATION	0.337	0.319	0.145
lea	லியா	0.583	0.294	0.358
lead	வழிவகுக்கும்	0.323	0.657	0.455
leaded	ஈய	0.439	0.625	0.595
leader	தலைவர்	0.833	0.582	0.926
leadership	தலைமைத்துவம்	0.870	0.690	0.983
leading	முன்னணி	0.823	0.698	0.954
leads	தடங்கள்	0.530	0.471	0.615
leaf	இலை	0.583	0.156	0.294
leaflet	துண்டுப் பிரசுரத்தில்	0.490	0.206	0.375
leafy	இலை	0.653	0.530	0.700
league	லீக்	0.656	0.340	0.462
leak	கசிவு	0.378	0.833	0.520
leakage	கசிவு	0.188	0.731	0.528
leaky	கசியும்	0.170	0.686	0.288
lean	ஒல்லியான	0.734	0.353	0.438
leaned	சாய்ந்து	0.570	0.373	0.490
leaning	சார்பு	0.480	0.409	0.352
leap	லீப்	0.750	0.663	0.667
learn	அறிய	0.833	0.643	0.829
learned	கற்று	0.704	0.462	0.543
learner	கற்பவர்	0.698	0.475	0.398
learning	கற்றல்	0.833	0.588	0.574
lease	குத்தகை	0.520	0.463	0.545
leash	தோல்வார்	0.320	0.347	0.427
leather	தோல்	0.510	0.324	0.341
leathery	தோல்	0.418	0.471	0.411
leave	விட்டு	0.375	0.315	0.295
leavemealone	leavemealone	0.240	0.472	0.402
leaving	விட்டு	0.163	0.542	0.371
lecherous	ஒழுக்கமற்ற	0.135	0.704	0.376
lecture	விரிவுரை	0.594	0.462	0.737
lecturer	விரிவுரையாளர்	0.677	0.549	0.736
ledge	தொங்குபாறை	0.406	0.235	0.339
ledger	பேரேடு	0.510	0.362	0.609
lee	லீ	0.510	0.269	0.296
leech	அட்டை	0.250	0.623	0.268
leeches	அட்டைகளை	0.115	0.698	0.295
leer	NO TRANSLATION	0.612	0.348	0.509
leery	leery	0.337	0.640	0.410
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	இயன்றது	0.562	0.577	0.569
left	விட்டு	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	எஞ்சியவை	0.490	0.460	0.222
leftovers	மிச்சத்தை	0.219	0.350	0.116
lefty	லெப்டி	0.490	0.406	0.379
leg	கால்	0.510	0.373	0.313
legacy	மரபு	0.792	0.529	0.827
legal	சட்ட	0.653	0.387	0.887
legality	சட்டப்பூர்வ	0.765	0.343	0.713
legalize	சட்டப்பூர்வமாக்க	0.510	0.460	0.818
legalized	சட்டப்பூர்வமாக்கி	0.760	0.440	0.855
legally	சட்டபூர்வமாக	0.771	0.482	0.842
legend	புராண	0.837	0.519	0.750
legendary	பழம்பெரும்	0.857	0.537	0.863
legibility	தெளிவு	0.771	0.481	0.580
legible	தெளிவாக	0.673	0.279	0.509
legion	படையணி	0.469	0.570	0.852
legislate	சட்டம் இயற்ற	0.571	0.582	0.736
legislation	சட்டத்தை	0.531	0.418	0.808
legislative	சட்டமன்ற	0.633	0.365	0.800
legislator	சட்டமன்ற உறுப்பினர்	0.490	0.580	0.877
legislature	சட்டமன்றம்	0.540	0.435	0.698
legit	முறைப்படியாக	0.747	0.427	0.849
legitimacy	சட்டபூர்வமான தன்மையை	0.823	0.420	0.855
legitimate	முறையான	0.792	0.363	0.841
lego	லெகோ	0.600	0.294	0.189
legs	கால்கள்	0.479	0.407	0.228
legume	பருப்பு	0.520	0.302	0.465
legwork	legwork	0.622	0.560	0.509
leisure	ஓய்வு	0.631	0.429	0.421
leisurely	நிதானமாக	0.806	0.250	0.367
lemma	மறைக்கப்பட்ட	0.530	0.284	0.391
lemon	எலுமிச்சை	0.596	0.317	0.316
lemonade	எலுமிச்சை பாணம்	0.661	0.287	0.412
lend	கடன்	0.520	0.461	0.508
lender	கடன்	0.340	0.520	0.703
lending	கடன்	0.510	0.585	0.462
length	நீளம்	0.479	0.308	0.533
lengthen	நீண்டு	0.619	0.481	0.566
lengthened	நீட்டிக்கப்பட்டு	0.448	0.530	0.474
lengthening	நீண்டு	0.673	0.530	0.528
lengthwise	, lengthwise	0.571	0.470	0.528
lengthy	நீண்ட	0.570	0.342	0.528
leniency	கருணை	0.517	0.436	0.545
lenient	கருணை	0.520	0.451	0.340
lens	லென்ஸ்	0.420	0.245	0.472
leopard	சிறுத்தை	0.542	0.755	0.611
leotard	லியோடார்டை	0.510	0.429	0.391
leper	குஷ்டரோகி	0.075	0.589	0.206
leprechaun	& gt	0.417	0.480	0.417
leprosy	தொழுநோய்	0.130	0.670	0.349
lesbian	லெஸ்பியன்	0.385	0.660	0.415
lesbianism	ஒருபாலுறவு	0.327	0.725	0.440
lesion	சிதைவின்	0.240	0.623	0.361
less	குறைவான	0.265	0.240	0.115
lessee	குத்தகைதாரர்	0.417	0.474	0.595
lessen	குறைக்க	0.235	0.284	0.255
lessening	குறைந்துள்ள	0.375	0.300	0.277
lesser	குறைந்த	0.396	0.167	0.211
lesson	பாடம்	0.704	0.577	0.593
lessor	குத்தகையில்	0.552	0.490	0.623
let	நாம்	0.427	0.373	0.307
lethal	மரணம்	0.156	0.800	0.745
lethargic	மந்தமான	0.214	0.245	0.375
lethargy	சோம்பல்	0.194	0.302	0.316
letter	கடிதம்	0.635	0.279	0.342
lettered	எழுத்துகள்	0.542	0.361	0.482
letterhead	லெட்டர்	0.450	0.316	0.462
lettering	எழுத்துமுறை	0.541	0.180	0.431
letters	எழுத்துக்கள்	0.663	0.327	0.364
lettuce	கீரை	0.594	0.163	0.291
leukemia	லுகேமியா	0.094	0.572	0.351
levee	திருவோலக்கம்	0.520	0.324	0.490
level	நிலை	0.622	0.277	0.491
