Word	Albanian-sq	Valence	Arousal	Dominance
navigator	lundërtar	0.583	0.592	0.623
navy	marinë	0.531	0.760	0.764
nay	NO TRANSLATION	0.344	0.290	0.325
nearsighted	miop	0.271	0.373	0.265
neat	i zoti	0.878	0.235	0.491
neatly	mjeshtërisht	0.802	0.412	0.588
nebula	mjegullnajë	0.510	0.418	0.438
nebulae	mjegullnaja	0.490	0.330	0.472
nebulous	i mjegullt	0.469	0.347	0.417
necessarily	domosdo	0.667	0.423	0.598
necessary	i nevojshëm	0.750	0.433	0.679
necessitate	kërkoj	0.578	0.604	0.516
necessities	nevojat	0.520	0.630	0.463
necessity	domosdoshmëri	0.567	0.471	0.588
neck	qafë	0.541	0.245	0.345
necklace	gjerdan	0.760	0.294	0.373
necktie	kravatë	0.583	0.229	0.314
necromancer	shtrigë	0.333	0.625	0.536
necrosis	nekrozë	0.115	0.622	0.385
nectar	nektar	0.746	0.331	0.398
need	duhet	0.510	0.574	0.200
needalife	NO TRANSLATION	0.490	0.443	0.394
needed	nevojshme	0.677	0.342	0.679
needful	i nevojshëm	0.582	0.460	0.614
needit	NO TRANSLATION	0.250	0.472	0.356
needle	gjilpërë	0.250	0.472	0.360
needlepoint	Needlepoint	0.653	0.500	0.556
needles	hala	0.250	0.602	0.348
needless	i panevojshëm	0.327	0.385	0.200
needtoknow	needtoknow	0.427	0.606	0.474
needtorelax	NO TRANSLATION	0.673	0.438	0.274
needy	nevojtar	0.360	0.451	0.245
nefarious	i poshtër	0.184	0.720	0.528
negation	mohim	0.255	0.461	0.297
negative	negativ	0.102	0.527	0.176
negativity	negativitet	0.060	0.520	0.273
neglect	mospërfillje	0.045	0.550	0.163
neglected	lënë pas dore	0.271	0.385	0.160
neglecting	neglizhenca	0.177	0.441	0.230
negligee	petk dhome	0.385	0.520	0.336
negligence	pakujdesi	0.092	0.570	0.251
negligent	i pakujdesshëm	0.167	0.583	0.259
negligently	NO TRANSLATION	0.056	0.583	0.266
negligible	i papërfillshëm	0.177	0.292	0.232
negotiable	për negociatë	0.688	0.585	0.731
negotiate	negociojë	0.612	0.708	0.769
negotiation	bisedime	0.490	0.615	0.728
negotiator	ndërmjetës	0.635	0.471	0.817
negro	zezak	0.354	0.368	0.461
neigh	hingëllin	0.378	0.642	0.373
neighbor	fqinj	0.657	0.448	0.434
neighborhood	lagje	0.385	0.469	0.373
neighboring	fqinj	0.656	0.306	0.481
nemesis	ndëshkim i drejtë	0.271	0.688	0.647
neon	neon	0.594	0.480	0.380
neonatal	neonatal	0.542	0.529	0.357
neophyte	fillestar	0.286	0.363	0.411
neoprene	neoprene	0.316	0.451	0.443
nephew	nip	0.719	0.337	0.412
nepotism	nepotizëm	0.349	0.584	0.517
nerd	budalla	0.408	0.481	0.315
nerdy	nerdy	0.296	0.255	0.292
nerve	nerv	0.129	0.698	0.307
nerves	nerva	0.333	0.783	0.264
nervous	shqetësuar	0.235	0.820	0.213
nervousness	nervozizëm	0.163	0.915	0.241
nervouswreck	NO TRANSLATION	0.112	0.867	0.179
nervy	NO TRANSLATION	0.250	0.830	0.241
ness	kep	0.396	0.480	0.392
nest	fole	0.687	0.221	0.333
nestle	strehohem	0.625	0.308	0.379
nestling	zogth	0.604	0.427	0.286
net	neto	0.441	0.288	0.417
nether	nether	0.240	0.265	0.259
netting	tyl	0.368	0.509	0.585
nettle	hithër	0.406	0.324	0.490
network	rrjet	0.531	0.337	0.466
networking	networking	0.625	0.482	0.545
neural	nervoz	0.582	0.426	0.391
neuralgia	nevralgji	0.092	0.706	0.439
neurological	neurologjike	0.500	0.540	0.558
neurologist	neurolog	0.608	0.500	0.736
neurology	neurologji	0.459	0.537	0.580
neurosis	nevrozë	0.122	0.766	0.418
neurosurgeon	neurokirurgu	0.590	0.673	0.755
neurosurgery	Neurokirurgji	0.490	0.632	0.730
neurotic	nevrotik	0.198	0.801	0.387
neuter	i paanshëm	0.621	0.163	0.302
neutral	neutral	0.469	0.184	0.357
neutrality	neutralitet	0.469	0.205	0.434
neutralize	neutralizoj	0.519	0.363	0.719
neutron	neutron	0.469	0.440	0.679
new	i ri	0.917	0.490	0.582
new age	mosha e re	0.694	0.556	0.727
newbeginnings	NO TRANSLATION	0.802	0.613	0.524
newborn	i porsalindur	0.918	0.580	0.372
newcomer	njeri i panjohur	0.622	0.380	0.396
newday	ditë e re	0.847	0.388	0.618
newfound	newfound	0.745	0.741	0.520
newjob	NO TRANSLATION	0.755	0.643	0.729
newlife	jete e re	0.898	0.646	0.701
newly	rishtas	0.688	0.422	0.552
newlywed	sapomartuar	0.847	0.706	0.570
newme	newme	0.643	0.550	0.527
newness	risi	0.740	0.522	0.588
news	Lajme	0.633	0.580	0.610
newscast	newscast	0.531	0.509	0.714
newscaster	folës	0.646	0.510	0.764
newsflash	Newsflash	0.604	0.637	0.518
newsletter	gazete	0.622	0.385	0.490
newsman	gazetashitës	0.604	0.480	0.696
newspaper	Gazete	0.602	0.283	0.444
newspaperman	gazetar	0.561	0.458	0.750
newsreel	kronikë	0.625	0.571	0.577
newsroom	redaksi	0.531	0.392	0.658
newsstand	qoshk gazetash	0.615	0.222	0.336
newstart	Newstart	0.802	0.510	0.667
newt	triton	0.458	0.380	0.541
newyear	viti i Ri	0.938	0.784	0.520
nexus	lidhje	0.496	0.368	0.412
nib	pykë	0.510	0.282	0.406
nibble	nduk	0.551	0.551	0.411
nice	i mirë	0.930	0.442	0.650
niche	kamare	0.459	0.413	0.318
nichts	NO TRANSLATION	0.406	0.293	0.404
nick	qok	0.554	0.388	0.387
nickel	nikel	0.510	0.347	0.406
nickname	pseudonimi	0.490	0.470	0.263
nicotine	nikotinë	0.235	0.608	0.447
niece	mbesë	0.771	0.320	0.400
nifty	i mrekullueshëm	0.740	0.745	0.815
nigger	zezak	0.240	0.347	0.398
nigh	afër	0.653	0.216	0.336
night	natë	0.598	0.396	0.404
nightcap	skufje nate	0.750	0.196	0.268
nightclub	klub nate	0.802	0.894	0.528
nightfall	mugëtirë	0.490	0.436	0.426
nightgown	këmishë nate	0.643	0.408	0.250
nightie	nightie	0.630	0.388	0.274
nightingale	bilbil	0.740	0.340	0.496
nightlife	natës	0.542	0.783	0.510
nightly	çdo natë	0.673	0.410	0.474
nightmare	ankth	0.005	0.810	0.436
nightmares	këqija	0.082	0.942	0.448
nightstand	nightstand	0.490	0.130	0.327
nightstick	nightstick	0.500	0.461	0.348
nighttime	natë	0.735	0.385	0.439
nihilism	nihilizëm	0.367	0.510	0.364
nil	zero	0.286	0.143	0.157
nimble	i shkathët	0.833	0.729	0.769
nimrod	Nimrod	0.327	0.500	0.539
nincompoop	leshko	0.365	0.431	0.368
nine	nëntë	0.552	0.255	0.327
nineteen	nëntëmbëdhjetë	0.673	0.304	0.375
ninety	nëntëdhjetë	0.479	0.349	0.436
ninja	ninja	0.542	0.844	0.682
ninny	loço	0.344	0.343	0.309
nintendo	nintendo	0.802	0.571	0.464
ninth	i nëntë	0.490	0.212	0.396
nip	kafshim	0.281	0.700	0.264
nipper	kalama	0.386	0.422	0.317
nipple	thith	0.480	0.786	0.415
nippy	kutërbues	0.540	0.500	0.416
nitrate	nitrat	0.388	0.406	0.500
nitro	nitro	0.500	0.647	0.639
nitrogen	azot	0.427	0.435	0.562
nitrous	i azotuar	0.435	0.561	0.411
nitwit	trutharë	0.146	0.606	0.139
nix	hiç	0.330	0.380	0.404
no anticipation	nuk ka parashikim	0.396	0.480	0.341
no disgust	nuk ka neveri	0.510	0.324	0.448
no emotion	nuk ka emocione	0.170	0.109	0.225
no sentiment	nuk ka sentiment	0.092	0.382	0.278
no surprise	nuk është befasi	0.171	0.224	0.412
no trust	ska besim	0.055	0.445	0.257
nobility	fisnikëri	0.844	0.347	0.736
noble	fisnik	0.906	0.345	0.610
nobleman	fisnik	0.675	0.286	0.709
nobodycares	NO TRANSLATION	0.365	0.410	0.354
nocomplaints	NO TRANSLATION	0.677	0.164	0.491
nocturnal	nate	0.540	0.500	0.462
nod	dremitje	0.590	0.367	0.427
nodding	nodding	0.694	0.294	0.426
node	nyjë	0.396	0.343	0.361
nodular	me gunga	0.438	0.351	0.411
nodule	rruzull	0.312	0.426	0.349
noggin	kokë	0.510	0.433	0.382
nohope	NO TRANSLATION	0.200	0.441	0.385
noir	noir	0.375	0.394	0.365
noise	zhurmë	0.260	0.883	0.388
noisy	zhurmshme	0.271	0.812	0.561
nomad	nomad	0.375	0.413	0.433
nomadic	nomad	0.427	0.519	0.422
nomenclature	nomenklaturë	0.500	0.222	0.575
nominal	formal	0.594	0.250	0.463
nominate	emëroj	0.615	0.471	0.669
nomination	emërim	0.663	0.637	0.696
nominee	kandidat	0.662	0.625	0.765
nonce	rast i vetëm	0.422	0.370	0.377
nonchalant	shpërfillës	0.312	0.314	0.366
noncompliance	mospërputhje	0.112	0.598	0.259
nondescript	i papërshkrueshëm	0.490	0.434	0.348
nonexistent	inekzistent	0.208	0.429	0.149
nonfat	nonfat	0.604	0.260	0.340
nonfiction	Nonfiction	0.426	0.315	0.431
nonpayment	mospagimi	0.229	0.510	0.298
nonresident	jo rezident	0.250	0.340	0.302
nonsense	marrëzi	0.214	0.531	0.155
nonsensical	absurd	0.173	0.268	0.193
nonviolent	jo të dhunshme	0.640	0.287	0.346
noob	trullan	0.417	0.430	0.267
noodle	hajvan	0.633	0.216	0.225
nook	qoshe	0.480	0.321	0.296
noon	mesditë	0.531	0.343	0.518
noose	lak	0.356	0.300	0.330
nopoint	nopoint	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	normë	0.500	0.245	0.527
normal	normal	0.740	0.127	0.380
normalcy	gjendje normale	0.805	0.151	0.620
normality	gjendje normale	0.781	0.089	0.444
north	veri	0.531	0.255	0.450
northbound	që shkon drejt veriut	0.604	0.454	0.491
northeast	verilindje	0.562	0.260	0.375
northern	verior	0.570	0.340	0.472
northwest	veri Perëndim	0.604	0.345	0.451
northwestern	veriperëndimor	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	hundë	0.582	0.270	0.245
nosebleed	gjak nga hundët	0.153	0.776	0.361
nosey	me hundë të madhe	0.276	0.655	0.223
nosnow	nosnow	0.392	0.394	0.366
nostalgia	nostalgji	0.417	0.337	0.339
nostalgic	nostalgjik	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	flegër	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	me hundë të madhe	0.292	0.558	0.433
not negative	jo negative	0.622	0.270	0.444
not positive	jo pozitive	0.051	0.370	0.236
notable	i dukshëm	0.760	0.450	0.696
notables	fisnikëri	0.594	0.608	0.755
notably	sidomos	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	noter	0.541	0.451	0.676
notation	simbol	0.635	0.380	0.558
notch	vallëzuese	0.459	0.361	0.358
notched	notched	0.480	0.530	0.356
note	shënim	0.594	0.163	0.416
notebook	fletore shënimesh	0.449	0.167	0.442
noted	vuri në dukje	0.615	0.382	0.464
noteworthy	i rëndësishëm	0.704	0.481	0.759
nothappy	NO TRANSLATION	0.112	0.320	0.170
nothingbetter	NO TRANSLATION	0.635	0.390	0.543
nothingness	mosqenie	0.204	0.080	0.161
notice	njoftim	0.646	0.408	0.491
noticeable	i dukshëm	0.890	0.562	0.750
notification	njoftim	0.604	0.461	0.671
notify	njoftoj	0.643	0.471	0.573
notion	nocion	0.612	0.284	0.667
notional	joreal	0.520	0.288	0.500
notoriety	famë	0.552	0.633	0.769
notorious	famëkeq	0.366	0.582	0.609
notready	jo gati	0.133	0.400	0.196
notwithstanding	megjithatë	0.367	0.316	0.433
nought	hiç	0.312	0.098	0.116
noun	emër	0.531	0.230	0.477
nourish	ushqej	0.878	0.460	0.639
nourishment	ushqim	0.786	0.290	0.631
nouveau	NO TRANSLATION	0.633	0.438	0.432
novel	novelë	0.702	0.352	0.439
novelist	romancier	0.340	0.343	0.529
novelty	risi	0.673	0.521	0.740
novice	rishtar	0.429	0.346	0.180
nowadays	në ditët tona	0.680	0.346	0.400
nowork	Asnjë punë	0.312	0.264	0.309
noworries	mos u shqeteso	0.630	0.402	0.500
noxious	i dëmshëm	0.177	0.585	0.379
nozzle	hundë	0.438	0.330	0.287
nuance	nuancë	0.408	0.282	0.411
nuances	nuanca	0.490	0.375	0.527
nuclear	bërthamor	0.219	0.856	0.781
nucleus	bërthamë	0.529	0.296	0.667
nude	lakuriq	0.490	0.915	0.200
nudge	shtytje e lehtë	0.448	0.500	0.509
nudie	nudie	0.500	0.529	0.373
nudist	nudist	0.440	0.796	0.483
nudity	lakuriqësi	0.438	0.853	0.415
nugget	copëz	0.602	0.340	0.348
nuisance	njeri i bezdisur	0.198	0.817	0.227
nuke	nuke	0.125	0.905	0.873
nul	NO TRANSLATION	0.337	0.358	0.264
null	i pavlefshëm	0.253	0.147	0.152
nullify	anuloj	0.255	0.373	0.395
numb	i mpirë	0.108	0.420	0.352
number	numër	0.406	0.231	0.471
numbering	numërim	0.510	0.363	0.482
numbers	numrat	0.406	0.241	0.440
numbness	mpirje	0.306	0.398	0.265
numbskull	numbskull	0.300	0.472	0.284
numeral	numëror	0.582	0.254	0.382
numerator	llogaritës	0.490	0.317	0.526
numerical	numerik	0.479	0.322	0.517
numerically	numerikisht	0.510	0.337	0.500
numerous	i shumtë	0.622	0.462	0.609
nun	NO TRANSLATION	0.500	0.150	0.406
nunchucks	nunchucks	0.337	0.580	0.526
nunnery	manastir grash	0.653	0.236	0.473
nuptials	dasmë	0.771	0.588	0.571
nurse	infermiere	0.635	0.578	0.521
nursemaid	kujdestare fëmijësh	0.615	0.431	0.436
nursery	fidanishte	0.894	0.406	0.389
nursing	ushqyese	0.552	0.549	0.653
nurture	të ngrëna	0.745	0.378	0.657
nut	arrë	0.365	0.310	0.250
nutcase	Nutcase	0.286	0.775	0.259
nutcracker	arrëthyese	0.635	0.378	0.522
nuthouse	çmendinë	0.347	0.519	0.434
nutmeg	arrëmyshk	0.635	0.302	0.350
nutrition	ushqim	0.885	0.420	0.579
nutritional	ushqyese	0.812	0.406	0.676
nutritious	kalori	0.833	0.337	0.655
nutritive	ushqimor	0.875	0.422	0.667
nuts	arra	0.594	0.250	0.291
nutshell	guall	0.458	0.407	0.310
nutty	me shije të arre	0.444	0.317	0.271
nylon	najloni	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	çorape nailoni	0.556	0.379	0.320
nymph	nimfë	0.542	0.529	0.472
nymphomaniac	nymphomaniac	0.398	0.894	0.536
oaf	i shëmtuar	0.344	0.357	0.330
oak	lisi	0.583	0.245	0.536
oar	rrem	0.469	0.392	0.316
oasis	oazë	0.796	0.283	0.429
oat	tërshërë	0.622	0.170	0.298
oath	betim	0.543	0.615	0.824
oatmeal	bollgur	0.592	0.192	0.241
obedience	bindje	0.765	0.287	0.536
obedient	i bindur	0.800	0.179	0.518
obediently	bindje	0.802	0.304	0.577
obelisk	obelisk	0.604	0.408	0.596
obese	i trashë	0.133	0.427	0.250
obesity	trashje	0.215	0.370	0.328
obey	bindem	0.677	0.433	0.533
obi	obi	0.469	0.442	0.414
obit	nekrologji	0.410	0.464	0.393
obituary	nekrologji	0.188	0.330	0.423
object	Objekt	0.531	0.356	0.375
objection	kundërshtim	0.347	0.592	0.709
objectionable	i pakëndshëm	0.459	0.382	0.558
objective	objektiv	0.724	0.337	0.736
objectivity	objektivitet	0.765	0.431	0.711
obligation	detyrim	0.222	0.596	0.718
obligatory	i detyrueshëm	0.337	0.571	0.780
oblige	detyroj	0.281	0.770	0.614
obliged	detyruar	0.327	0.680	0.411
obliging	i mirësjellshëm	0.740	0.402	0.545
obligor	obliguesi	0.302	0.600	0.360
oblique	i pjerrët	0.438	0.347	0.455
obliterate	prish	0.250	0.539	0.569
obliterated	zhdukur	0.240	0.469	0.344
obliteration	zhdukje	0.177	0.622	0.397
oblivion	harresë	0.153	0.330	0.282
oblivious	i pavëmendshëm	0.229	0.388	0.355
oblong	i zgjatur	0.561	0.455	0.370
obnoxious	i padurueshëm	0.088	0.602	0.256
oboe	oboe	0.510	0.340	0.392
obscene	i pahijshëm	0.050	0.745	0.348
obscenity	gjë e turpshme	0.083	0.843	0.418
obscure	i panjohur	0.370	0.551	0.278
obscured	errësuar	0.115	0.356	0.298
obscurity	errësirë	0.208	0.392	0.380
observance	respektim	0.531	0.315	0.632
observant	i vëmendshëm	0.740	0.422	0.708
observation	vrojtim	0.633	0.433	0.667
observatory	observator	0.643	0.324	0.731
observe	vëzhgojnë	0.771	0.390	0.360
observer	mbikëqyrës	0.663	0.363	0.603
observing	respektuar	0.583	0.400	0.685
obsess	më pushton	0.112	0.846	0.509
obsessed	fiksuar	0.219	0.840	0.439
obsessing	obsessing	0.173	0.773	0.698
obsession	mani	0.229	0.847	0.571
obsessive	i ngulët	0.219	0.823	0.480
obsolescence	vjetrim	0.250	0.431	0.377
obsolete	i vjetruar	0.337	0.321	0.250
obstacle	pengesë	0.204	0.708	0.336
obstetrician	mjek obstetër	0.521	0.636	0.604
obstetrics	obstetrikë	0.530	0.582	0.564
obstinate	kokëfortë	0.146	0.696	0.562
obstruct	pengoj	0.115	0.660	0.458
obstruction	pengim	0.125	0.742	0.491
obstructive	pengues	0.204	0.650	0.613
obtain	marrë	0.760	0.438	0.731
obtainable	i arritshëm	0.677	0.327	0.702
obtuse	i mpirë	0.281	0.460	0.345
obverse	plotësim	0.470	0.394	0.464
obvious	i dukshëm	0.625	0.336	0.585
ocarina	okarinë	0.541	0.392	0.366
occasion	rast	0.700	0.451	0.398
occasional	i rastit	0.490	0.298	0.387
occasionally	herë pas here	0.538	0.240	0.264
occipital	zverku	0.398	0.408	0.518
occlusion	mbyllje	0.306	0.439	0.442
occult	okult	0.292	0.382	0.406
occupancy	zënie	0.625	0.471	0.721
occupant	okupator	0.500	0.417	0.483
occupation	profesion	0.562	0.470	0.692
occupational	profesional	0.583	0.469	0.596
occupied	i zënë	0.337	0.546	0.441
occupier	okupator	0.427	0.438	0.600
occupy	zë	0.396	0.520	0.589
occupying	zënë	0.573	0.462	0.519
occur	ndodh	0.451	0.561	0.510
occurrence	dukuri	0.573	0.690	0.541
ocd	OCD	0.333	0.472	0.370
ocean	oqean	0.823	0.308	0.642
oceanic	oqeanik	0.740	0.317	0.632
octagon	tetëkëndësh	0.602	0.349	0.462
octave	oktavë	0.438	0.380	0.482
octopus	oktapod	0.713	0.378	0.411
ocular	i syrit	0.418	0.370	0.400
odd	i rastësishëm	0.265	0.337	0.302
oddball	oddball	0.316	0.360	0.357
oddity	gjë e çuditshme	0.312	0.557	0.386
odds	mundësi	0.500	0.472	0.680
ode	ode	0.604	0.269	0.519
odious	i neveritshëm	0.235	0.708	0.235
odometer	rrugëmatës	0.367	0.470	0.388
odor	erë	0.337	0.363	0.404
odyssey	odisea	0.622	0.692	0.710
oedipal	Edipit	0.312	0.575	0.509
oestrogen	estrogjenit	0.521	0.608	0.561
oeuvre	NO TRANSLATION	0.653	0.484	0.598
offal	rropulli	0.302	0.470	0.302
offence	shkelje	0.312	0.798	0.446
offend	ofendoj	0.094	0.804	0.333
offended	ofenduar	0.188	0.690	0.337
offender	shkelës	0.104	0.851	0.537
offense	shkelje	0.230	0.765	0.510
offensive	ofensivë	0.135	0.882	0.600
offer	ofroj	0.750	0.745	0.596
offered	ofruar	0.582	0.490	0.544
offering	Oferta e	0.688	0.462	0.585
offhand	i çastit	0.388	0.500	0.368
office	zyrë	0.427	0.302	0.509
officer	oficer	0.542	0.430	0.877
offices	zyrat	0.469	0.312	0.534
official	zyrtar	0.646	0.565	0.833
officiate	kryej detyrën	0.688	0.453	0.704
offing	det	0.490	0.412	0.447
offload	shkarkoj	0.479	0.444	0.525
offset	ofset	0.719	0.394	0.704
offshoot	degë	0.517	0.330	0.361
offshore	në det të hapur	0.417	0.484	0.441
offside	offside	0.323	0.519	0.443
offspring	pasardhës	0.656	0.435	0.600
oft	shpesh	0.500	0.308	0.474
oftentimes	shumë herë	0.571	0.500	0.482
ogre	vigan	0.135	0.698	0.510
ohdear	NO TRANSLATION	0.458	0.519	0.442
ohgod	NO TRANSLATION	0.500	0.557	0.439
ohno	Ohno	0.396	0.475	0.380
ohshit	NO TRANSLATION	0.230	0.594	0.343
oil	vaj	0.521	0.278	0.306
oils	vajra	0.459	0.229	0.391
oily	me vaj	0.276	0.533	0.385
oink	oink	0.500	0.450	0.289
ointment	krem	0.438	0.271	0.398
okra	bamje	0.469	0.400	0.362
old	i vjetër	0.410	0.279	0.315
olden	i vjetër	0.284	0.213	0.425
older	më të vjetër	0.385	0.255	0.317
oldie	Oldie	0.363	0.363	0.342
oldies	Oldies	0.438	0.300	0.412
olfactory	i nuhatjes	0.602	0.409	0.452
oligarchy	oligarki	0.327	0.567	0.741
olive	ulliri	0.571	0.231	0.406
omega	omega	0.529	0.337	0.526
omelet	omëletë	0.708	0.323	0.315
omen	shenjë	0.390	0.657	0.583
omgomgomg	NO TRANSLATION	0.490	0.551	0.358
ominous	ogurzi	0.255	0.730	0.510
omission	heqje	0.367	0.333	0.275
omit	heq	0.330	0.265	0.451
omitted	i harruar	0.260	0.235	0.211
omnibus	omnibus	0.490	0.410	0.473
omnipotence	i plotfuqishëm	0.667	0.793	0.866
omnipotent	i gjithëfuqishëm	0.719	0.679	0.919
omnipresent	i gjithëpranishëm	0.688	0.452	0.825
omniscient	i gjithëdijshëm	0.656	0.334	0.778
onboard	në bord	0.612	0.451	0.491
oncologist	oncologist	0.260	0.654	0.640
oncology	onkologji	0.204	0.424	0.500
oncoming	afrim	0.594	0.625	0.773
one	një	0.542	0.292	0.370
oneday	një ditë	0.667	0.245	0.374
onedge	onedge	0.479	0.552	0.400
onelove	nje dashuri	0.816	0.577	0.541
oneness	unitet	0.745	0.272	0.720
onerous	i vështirë	0.500	0.480	0.462
oneself	vetë	0.660	0.337	0.483
ongoing	në vazhdim	0.674	0.484	0.556
onion	qepë	0.378	0.367	0.382
onset	fillim	0.673	0.497	0.500
onslaught	sulm	0.198	0.939	0.717
onstage	ne skene	0.719	0.673	0.583
ontology	ontologji	0.510	0.450	0.518
onus	barrë	0.562	0.520	0.769
onward	tutje	0.667	0.538	0.741
onyx	oniks	0.571	0.461	0.380
oodles	mori	0.490	0.374	0.446
oomph	oomph	0.449	0.613	0.315
ooze	rrjedh	0.344	0.577	0.333
oozing	oozing	0.238	0.515	0.427
op	op	0.480	0.402	0.349
opacity	perde	0.471	0.251	0.256
opal	opal	0.623	0.479	0.379
opaque	i errët	0.344	0.265	0.342
ope	ope	0.375	0.380	0.395
open	hapur	0.620	0.480	0.569
opener	hapës	0.584	0.526	0.377
opening	hapje	0.667	0.510	0.620
openly	hapur	0.603	0.388	0.553
openness	çiltërsi	0.837	0.561	0.667
opera	operë	0.714	0.500	0.483
operate	operoj	0.582	0.690	0.691
operatic	i operës	0.375	0.452	0.627
operation	operacion	0.475	0.611	0.755
operational	operativ	0.562	0.570	0.679
operations	operacionet	0.480	0.549	0.798
operative	operativ	0.541	0.635	0.718
operator	operator	0.612	0.630	0.726
ophthalmic	i syrit	0.427	0.385	0.444
ophthalmologist	okulist	0.552	0.389	0.491
opiate	narkotik	0.281	0.594	0.598
opinion	opinion	0.594	0.482	0.638
opinionated	i vetëdijshëm	0.156	0.800	0.491
opium	opium	0.276	0.490	0.333
opponent	kundërshtar	0.080	0.741	0.716
opportune	i përshtatshëm	0.796	0.538	0.767
opportunism	oportunizëm	0.571	0.752	0.673
opportunity	mundësi	0.938	0.745	0.833
oppose	kundërshtoj	0.431	0.800	0.473
opposed	kundërshtoi	0.092	0.460	0.606
opposing	kundërta	0.188	0.660	0.518
opposite	e kundërt	0.235	0.545	0.408
opposites	opposites	0.281	0.518	0.462
opposition	opozitë	0.135	0.729	0.592
oppress	shtyp	0.186	0.654	0.555
oppressed	shtypur	0.119	0.640	0.259
oppression	shtypje	0.080	0.673	0.615
oppressive	shtypës	0.276	0.590	0.667
oppressor	shtypës	0.160	0.776	0.629
ops	ops	0.417	0.550	0.528
opt	opt	0.510	0.471	0.345
optic	optik	0.663	0.384	0.594
optical	optik	0.677	0.311	0.542
optics	optikë	0.562	0.286	0.580
optimism	optimizëm	0.949	0.565	0.814
optimist	optimist	0.875	0.539	0.787
optimistic	optimist	0.979	0.580	0.821
optimum	optimal	0.892	0.469	0.808
option	alternativë	0.512	0.427	0.359
optional	fakultativ	0.755	0.350	0.440
optionally	opsionalisht	0.365	0.405	0.481
options	opsione	0.622	0.327	0.473
optometrist	optometrist	0.446	0.455	0.668
opulence	pasuri	0.620	0.615	0.648
opulent	i pasur	0.562	0.660	0.660
opus	opus	0.458	0.368	0.391
oracle	orakull	0.552	0.531	0.670
oral	gojor	0.530	0.448	0.375
orange	portokall	0.646	0.132	0.296
orange juice	lëng portokalli	0.719	0.343	0.445
orangutan	orangutang	0.430	0.560	0.471
oration	fjalim	0.646	0.315	0.683
orator	orator	0.667	0.375	0.682
oratory	oratori	0.602	0.472	0.693
orb	rruzull	0.463	0.370	0.444
orbit	orbitë	0.561	0.422	0.575
orbital	i syrit	0.458	0.451	0.559
orbiting	orbital	0.520	0.643	0.554
orbs	orbs	0.469	0.355	0.482
orc	ORC	0.240	0.510	0.388
orchard	dru frutor	0.760	0.269	0.333
orchestra	orkestër	0.708	0.500	0.664
orchid	orkide	0.840	0.345	0.382
ordained	shugurua	0.735	0.409	0.731
ordeal	përvojë e hidhur	0.344	0.539	0.529
order	urdhër	0.780	0.295	0.814
orderly	i rregullt	0.844	0.240	0.661
ordinance	urdhëresë	0.615	0.452	0.776
ordinary	i zakonshëm	0.375	0.312	0.286
ordination	koordinimit	0.688	0.490	0.765
ordnance	artileri	0.354	0.825	0.679
ore	mineral	0.500	0.333	0.356
oregano	rigon	0.596	0.327	0.250
organ	organ	0.510	0.469	0.538
organic	organike	0.719	0.343	0.535
organism	organizëm	0.457	0.559	0.800
organist	organist	0.740	0.469	0.669
organization	organizatë	0.810	0.535	0.851
organize	organizoj	0.802	0.655	0.781
organized	i organizuar	0.816	0.337	0.746
organizer	organizator	0.604	0.577	0.846
orgasm	orgazmë	0.844	0.863	0.676
orgies	orgies	0.388	0.953	0.433
orgy	orgji	0.346	0.962	0.536
orient	Orienti	0.667	0.422	0.667
oriental	oriental	0.592	0.409	0.598
orientation	orientim	0.667	0.454	0.686
orifice	grykë	0.448	0.355	0.443
origami	origami	0.684	0.276	0.294
origin	origjinë	0.729	0.435	0.591
original	origjinal	0.765	0.480	0.746
originality	origjinalitet	0.898	0.500	0.824
originate	origjinë	0.702	0.500	0.866
origination	prejardhje	0.760	0.443	0.604
originator	iniciator	0.592	0.510	0.868
ornament	zbukurim	0.561	0.373	0.441
ornamental	dekorativ	0.663	0.392	0.460
ornamentation	stolisje	0.663	0.471	0.472
ornamented	zbukuruar	0.677	0.350	0.490
ornate	me zbukurime	0.812	0.356	0.500
ornery	i sertë	0.361	0.520	0.509
orphan	jetim	0.133	0.388	0.140
orphanage	jetimore	0.184	0.439	0.425
orphaned	që s'ka prindërit	0.062	0.430	0.228
orthodontist	ortodont	0.469	0.615	0.564
orthodox	ortodoks	0.388	0.471	0.647
orthodoxy	ortodokësi	0.271	0.388	0.612
orthogonal	Puna	0.500	0.314	0.540
orthopedic	ortopedik	0.406	0.346	0.473
oscillate	lëkundem	0.449	0.580	0.397
oscillating	lekundese	0.469	0.548	0.402
oscillation	luhatje	0.562	0.433	0.431
oscillatory	oscillatory	0.375	0.520	0.480
ostensible	i shtirur	0.542	0.549	0.585
ostensibly	gjoja	0.473	0.529	0.509
ostentatious	për t'u dukur	0.479	0.794	0.648
ostracized	izoluar	0.115	0.690	0.377
