Word	Tajik-tg	Valence	Arousal	Dominance
jasmine	жасин	0.765	0.230	0.286
jasper	jasper	0.480	0.425	0.402
jaundice	сандӣ	0.214	0.480	0.355
jaunt	пӯст	0.808	0.451	0.500
java	java	0.459	0.321	0.343
javelin	шиддат	0.385	0.481	0.465
jaw	дона	0.500	0.510	0.420
jawbone	сегона	0.468	0.413	0.342
jaws	дандон	0.385	0.528	0.455
jay	Ҷей	0.531	0.408	0.389
jazz	ҷаз	0.677	0.362	0.450
jazzy	jazzy	0.725	0.431	0.389
jealous	ҳасад	0.173	0.855	0.345
jealousy	ҳасад	0.146	0.783	0.481
jean	данд	0.602	0.444	0.364
jeans	кншт	0.622	0.324	0.371
jeep	jeep	0.602	0.510	0.612
jeering	Муваффақият	0.266	0.792	0.380
jelly	желли	0.651	0.294	0.256
jellybean	лубиёи полуда	0.592	0.406	0.399
jellyfish	jellyfish	0.531	0.567	0.377
jenny	jenny	0.542	0.406	0.407
jeopardize	хатарнок аст	0.260	0.877	0.582
jeopardy	хатарнок аст	0.129	0.908	0.536
jerk	данд	0.194	0.630	0.238
jerks	Дунёи иқтисод	0.214	0.788	0.395
jerky	зеркашӣ	0.233	0.538	0.358
jersey	ҷарима	0.594	0.317	0.411
jest	NO TRANSLATION	0.520	0.736	0.222
jester	хоб	0.388	0.670	0.264
jesus	Исо	0.800	0.400	0.620
jet	jet	0.612	0.721	0.606
jetty	данд	0.602	0.480	0.453
jewel	заргарӣ	0.827	0.588	0.625
jeweler	Зеварҳо	0.760	0.482	0.500
jewelry	заргарӣ	0.823	0.569	0.597
jib	jib	0.406	0.420	0.413
jiff	NO TRANSLATION	0.576	0.404	0.349
jiffy	Ҷифзод	0.410	0.444	0.380
jig	jig	0.531	0.396	0.357
jiggle	хандидан	0.592	0.673	0.518
jigsaw	jigsaw	0.594	0.582	0.519
jihad	jihad	0.323	0.660	0.444
jimmy	jimmy	0.579	0.321	0.311
jingle	jingle	0.635	0.500	0.424
jinx	Ҷинс	0.337	0.582	0.373
jitters	Садо Ояндасоз	0.224	0.918	0.192
jittery	зӯроварӣ	0.344	0.856	0.255
jive	Ҷиҷоб	0.561	0.551	0.373
job	кор	0.694	0.541	0.717
jobinterview	NO TRANSLATION	0.684	0.837	0.723
jock	хандовар	0.592	0.656	0.473
jockey	хандовар	0.562	0.644	0.703
jockstrap	хандовар	0.347	0.431	0.390
jog	jog	0.510	0.708	0.519
jogger	jogger	0.417	0.510	0.424
john	Ҷон	0.562	0.382	0.327
join	ҳамроҳ кунед	0.729	0.479	0.684
joined	ҳамроҳ шуд	0.667	0.394	0.600
joining	ҳамроҳӣ кунед	0.755	0.469	0.685
joint	якҷоя	0.615	0.392	0.566
jointly	якҷоя	0.708	0.425	0.602
joke	шӯхӣ	0.704	0.610	0.316
joker	joker	0.771	0.760	0.416
joking	шӯхӣ	0.776	0.839	0.407
jolly	Ҷаннат	0.959	0.705	0.708
jolt	садақа	0.365	0.708	0.358
jornada	NO TRANSLATION	0.417	0.500	0.533
jot	сот	0.406	0.323	0.350
jour	NO TRANSLATION	0.479	0.394	0.415
journal	маҷалла	0.688	0.240	0.352
journalism	журналистика	0.622	0.500	0.684
journalist	журналист	0.542	0.452	0.732
journalistic	журналистӣ	0.696	0.449	0.495
journey	сафар	0.910	0.702	0.625
journeyman	коргар	0.765	0.596	0.741
joust	Садо Ояндасоз	0.520	0.528	0.551
jovial	ҷовидона	0.823	0.460	0.526
joy	шодравон	0.980	0.824	0.794
joyful	шодбошӣ	0.990	0.740	0.667
joyous	хурсандӣ	0.958	0.580	0.728
joyride	шодравон	0.694	0.550	0.500
joys	хурсандӣ	0.981	0.643	0.651
jubilant	Ҷубилант	0.844	0.673	0.664
jubilee	юми	0.916	0.500	0.579
judge	судя	0.510	0.604	0.857
judged	доварӣ карда мешавад	0.281	0.686	0.722
judging	доварӣ мекунанд	0.240	0.625	0.693
judgment	доварӣ	0.396	0.600	0.816
judgmental	доварӣ	0.330	0.602	0.579
judicial	судӣ	0.378	0.667	0.833
judiciary	судӣ	0.439	0.740	0.897
judicious	доварӣ мекунанд	0.630	0.432	0.772
judo	дзюдо	0.500	0.790	0.612
jug	jug	0.520	0.250	0.213
juggle	Ҷаҳиш	0.594	0.760	0.426
juggler	ҳакер	0.633	0.821	0.480
juggling	қаллобӣ	0.562	0.874	0.346
jugular	jugular	0.271	0.573	0.426
juice	афшура	0.776	0.281	0.352
juicer	juicer	0.552	0.520	0.564
juicy	боллазат	0.823	0.529	0.490
juju	NO TRANSLATION	0.541	0.519	0.206
juke	Ҷӯра	0.500	0.491	0.410
jukebox	хукук	0.699	0.540	0.429
jumble	садақа	0.357	0.613	0.331
jumbled	хашмгин шуд	0.292	0.602	0.445
jumbo	jumbo	0.680	0.552	0.447
jump	сақф	0.625	0.865	0.611
jump rope	аспи сиёҳ	0.656	0.660	0.368
jumper	пашм	0.615	0.336	0.481
jumpsuit	Садо Ояндасоз	0.562	0.365	0.361
jumpy	садақа	0.353	0.810	0.216
junction	ҳамоҳангӣ	0.490	0.481	0.364
juncture	данд	0.365	0.582	0.491
jungle	овезон	0.500	0.510	0.481
junior	хурдсол	0.635	0.343	0.304
juniper	Ҷонибдорон	0.583	0.327	0.352
junk	хомӯш	0.115	0.481	0.118
junket	Садо Ояндасоз	0.490	0.519	0.386
junkie	Ҷонибҳо	0.135	0.860	0.363
junky	junky	0.385	0.595	0.343
junkyard	Ҷанубӣ	0.177	0.398	0.302
junta	junta	0.451	0.503	0.704
juridical	ҳакамӣ	0.520	0.431	0.873
jurisdiction	ҳуқуқ	0.480	0.580	0.820
jurisprudence	юридикӣ	0.360	0.425	0.764
jurist	jurist	0.479	0.523	0.713
juror	juror	0.582	0.640	0.750
jury	jury	0.479	0.607	0.789
justice	адолат	0.760	0.538	0.787
justifiable	асоснок аст	0.786	0.413	0.821
justification	асоснок	0.622	0.444	0.661
justify	асоснок аст	0.612	0.473	0.615
juststop	NO TRANSLATION	0.417	0.379	0.364
justthebeginning	NO TRANSLATION	0.573	0.451	0.481
jute	зич	0.551	0.216	0.295
juvenile	ноболиғ	0.678	0.490	0.526
juxtaposition	Ҷаҳишнома	0.427	0.500	0.460
kaiser	канисер	0.470	0.509	0.690
kale	дигар	0.469	0.226	0.411
kaleidoscope	гидрогеноз	0.615	0.439	0.580
kamikaze	Садо Ояндасоз	0.204	0.810	0.645
kangaroo	Kangaroo	0.716	0.333	0.301
kanji	Канжи	0.510	0.413	0.425
kappa	Капа	0.469	0.375	0.366
kaput	NO TRANSLATION	0.281	0.441	0.440
karaoke	karaoke	0.763	0.649	0.342
karate	karate	0.562	0.833	0.598
karma	карма	0.500	0.510	0.537
karmic	Кармик	0.357	0.459	0.464
kayak	kayak	0.592	0.600	0.364
kazoo	шохис	0.503	0.462	0.411
kebab	kebab	0.531	0.431	0.377
keel	кел	0.344	0.417	0.419
keen	ки	0.823	0.719	0.806
keep	нигоҳ доред	0.714	0.296	0.547
keeper	нигоҳдоранда	0.612	0.457	0.773
keeping	нигоҳдорӣ	0.592	0.280	0.723
keepsake	нигоҳ доред	0.740	0.307	0.491
keg	кег	0.551	0.389	0.404
kelp	пӯст	0.479	0.264	0.213
ken	Ким	0.438	0.409	0.360
kennel	ношукр	0.430	0.480	0.406
kerchief	гармидиҳӣ	0.520	0.189	0.236
kern	керн	0.438	0.420	0.449
kernel	ядро	0.542	0.453	0.462
kerosene	кососе	0.302	0.472	0.427
ketchup	ketchup	0.653	0.338	0.282
kettle	чатр	0.357	0.497	0.333
key	калид	0.615	0.275	0.519
keyboard	клавиатура	0.573	0.279	0.349
keyed	keyed	0.469	0.497	0.521
keyhole	калидҳо	0.438	0.358	0.356
keynote	Кино	0.630	0.431	0.545
keypad	keypad	0.604	0.255	0.330
keystone	калл	0.573	0.438	0.491
keyword	калимаи калидӣ	0.602	0.520	0.747
khaki	хаки	0.594	0.252	0.278
khan	хан	0.463	0.476	0.529
kibble	шамшер	0.510	0.458	0.404
kick	буридан	0.271	0.791	0.526
kickboxing	kickboxing	0.427	0.882	0.651
kicker	кикер	0.427	0.711	0.614
kicking	сӯзон	0.327	0.802	0.510
kickoff	сар шудан	0.583	0.600	0.629
kid	кӯдакон	0.760	0.453	0.298
kidder	гурда	0.708	0.768	0.471
kidding	шӯхӣ	0.622	0.625	0.457
kiddo	кӯдакона	0.674	0.393	0.419
kiddos	Кидо	0.500	0.480	0.342
kidnap	зӯроварӣ	0.032	0.923	0.535
kidnapped	гуреза	0.044	0.923	0.455
kidnapper	гурда	0.115	0.906	0.618
kidnapping	гурда	0.094	0.880	0.561
kidney	гурда	0.448	0.363	0.380
kids	кӯдакон	0.837	0.500	0.417
kill	кушиш кунед	0.052	0.941	0.736
killer	келлер	0.041	0.971	0.543
killing	куштор	0.080	0.959	0.696
killjoy	қурбонӣ	0.178	0.550	0.324
kiln	ангуштарин	0.451	0.423	0.414
kilo	NO TRANSLATION	0.438	0.358	0.461
kilogram	кило	0.510	0.260	0.455
kilometer	километр	0.490	0.439	0.485
kilt	кӯҳ	0.448	0.346	0.348
kimono	кимиё	0.643	0.280	0.363
kin	туҳфа	0.543	0.441	0.457
kind	хуб	0.918	0.240	0.618
kindergarten	кӯдакистон	0.833	0.462	0.308
kindling	сӯзонданд	0.520	0.651	0.421
kindness	меҳрубонӣ	0.938	0.350	0.508
kindred	оилавӣ	0.760	0.418	0.517
kinematics	kinematics	0.594	0.480	0.614
kinesiology	kinesiology	0.491	0.480	0.633
kinetic	кинтикӣ	0.582	0.540	0.537
king	подшоҳ	0.677	0.690	0.892
king snake	подшоҳ	0.458	0.835	0.647
kingdom	салтанат	0.714	0.547	0.910
kingpin	подполин	0.357	0.626	0.642
kink	кино	0.337	0.634	0.321
kinky	кино	0.449	0.558	0.361
kinship	хешовандӣ	0.771	0.300	0.652
kiosk	kiosk	0.500	0.286	0.321
kirk	кирк	0.510	0.390	0.388
kiss	бӯса	0.967	0.813	0.630
kisser	бӯса	0.844	0.682	0.618
kissy	бӯса	0.874	0.684	0.402
kit	маҷмӯъ	0.583	0.344	0.420
kitchen	ошхона	0.700	0.234	0.398
kite	kite	0.643	0.500	0.573
kitten	кӯҳ	0.816	0.343	0.260
kiwi	киви	0.646	0.273	0.282
klutz	klutz	0.275	0.451	0.356
knack	данд	0.562	0.518	0.820
knapsack	баста	0.551	0.317	0.268
knead	knead	0.490	0.457	0.345
knee	зону	0.520	0.245	0.396
kneecap	kneecap	0.427	0.360	0.440
kneel	зону	0.426	0.417	0.217
kneeling	зону	0.245	0.435	0.144
knell	knell	0.354	0.500	0.377
knick	knick	0.480	0.509	0.420
knickers	knickers	0.552	0.428	0.328
knife	корд	0.344	0.717	0.573
knight	knight	0.780	0.441	0.835
knighthood	данд	0.740	0.660	0.769
knit	пӯшанд	0.630	0.144	0.295
knob	пӯшед	0.340	0.360	0.272
knock	зада истодааст	0.312	0.531	0.527
knockoff	зӯроварӣ	0.350	0.606	0.240
knockout	зарбаи мадҳушкунанда	0.388	0.755	0.664
knoll	knoll	0.434	0.347	0.333
knot	данд	0.541	0.221	0.408
knots	knots	0.418	0.346	0.267
knotted	кушода шуд	0.226	0.412	0.294
know	медонед	0.765	0.361	0.704
knowing	медонад	0.833	0.353	0.658
knowingly	медонад	0.500	0.459	0.481
knowledge	дониш	0.847	0.430	0.896
knowledgeable	донишманд	0.865	0.455	0.971
knuckle	knuckle	0.655	0.333	0.393
knucklehead	данд	0.157	0.485	0.288
knuckles	knuckles	0.271	0.461	0.320
koala	koala	0.608	0.210	0.311
kook	NO TRANSLATION	0.417	0.471	0.398
kooky	Кукӣ	0.418	0.582	0.366
kool-aid	kool-aid	0.531	0.318	0.393
kos	санҷед	0.500	0.471	0.407
kosher	кошер	0.469	0.443	0.312
kraut	NO TRANSLATION	0.388	0.500	0.390
kris	kris	0.427	0.417	0.407
kryptonite	Кредитион	0.306	0.690	0.588
kudos	данд	0.925	0.587	0.642
kumquat	Сайф	0.417	0.426	0.390
lab	лабораторӣ	0.479	0.500	0.600
label	тамға	0.582	0.245	0.423
labor	меҳнатӣ	0.594	0.639	0.754
laboratory	лаборатория	0.571	0.490	0.537
labored	меҳнатӣ	0.646	0.451	0.637
laborer	коргар	0.561	0.510	0.698
laboring	меҳнатӣ	0.705	0.644	0.737
laborious	меҳнатӣ	0.393	0.635	0.709
labyrinth	labyrinth	0.479	0.811	0.491
lac	Л.	0.408	0.418	0.331
lace	дандон	0.625	0.200	0.293
laceration	лампед	0.143	0.667	0.443
lack	набудани	0.250	0.365	0.242
lackey	набудани	0.260	0.510	0.166
lacking	набудани	0.229	0.375	0.121
lackluster	ночиз	0.250	0.311	0.264
lacquer	lacquer	0.510	0.353	0.258
lacrosse	lacrosse	0.573	0.656	0.509
lactose	лактоза	0.479	0.290	0.433
lad	лад	0.637	0.388	0.336
ladder	лад	0.560	0.438	0.358
laddie	ладдие	0.668	0.539	0.391
laden	Лутфан	0.392	0.478	0.554
lading	лакат	0.388	0.463	0.409
ladle	лимӯ	0.531	0.368	0.352
lady	зан	0.854	0.481	0.602
lady bug	NO TRANSLATION	0.490	0.434	0.381
ladybug	ladybug	0.602	0.400	0.224
ladylike	ladylike	0.592	0.559	0.538
ladyship	лабораторӣ	0.561	0.480	0.822
lag	данд	0.220	0.375	0.246
lager	NO TRANSLATION	0.584	0.480	0.353
lagging	данд	0.135	0.538	0.277
lagoon	lagoon	0.660	0.231	0.373
lair	данд	0.469	0.438	0.392
laity	данд	0.510	0.320	0.487
lake	кӯл	0.694	0.196	0.425
lama	NO TRANSLATION	0.560	0.320	0.400
lamb	гӯсфанд	0.646	0.284	0.321
lame	ламс	0.145	0.410	0.217
lament	ламс кунед	0.198	0.398	0.352
lamenting	хандидан	0.156	0.390	0.254
lamina	lamina	0.510	0.314	0.408
laminated	Ламинатсия	0.417	0.304	0.373
lamp	шамол	0.510	0.260	0.309
lamppost	фонуси сутун	0.420	0.337	0.455
lance	лимит	0.406	0.620	0.587
lancer	lancer	0.417	0.528	0.519
land	замин	0.582	0.260	0.616
landed	замин шуд	0.709	0.620	0.480
landfall	замин	0.521	0.434	0.407
landfill	майдончаҳо	0.398	0.423	0.324
landing	заминларза	0.552	0.696	0.596
landlady	заминҷунбӣ	0.677	0.303	0.417
landlocked	баста шуд	0.280	0.391	0.367
landlord	заминҷунбӣ	0.684	0.500	0.858
landmark	хатогӣ	0.694	0.355	0.681
lands	заминҳо	0.594	0.280	0.492
landscape	манзара	0.719	0.176	0.423
landscaping	манзилӣ	0.823	0.379	0.519
landslide	заминҷунбӣ	0.250	0.864	0.530
lane	роҳ	0.449	0.490	0.451
language	забон	0.677	0.337	0.704
languid	лоғар	0.281	0.270	0.283
languish	languish	0.235	0.408	0.382
languishing	данд	0.308	0.459	0.353
lanky	Ланка	0.412	0.426	0.370
lantern	шиша	0.622	0.250	0.243
lap	дарвоз	0.583	0.510	0.412
lapdog	lapdog	0.388	0.490	0.269
lapel	лапел	0.460	0.287	0.288
lapse	қафо мемонад	0.420	0.316	0.281
lapsed	зада шудааст	0.357	0.333	0.276
laptop	laptop	0.724	0.270	0.519
larceny	секунҷа	0.272	0.821	0.454
lard	чарб	0.427	0.239	0.179
larder	шодравон	0.656	0.290	0.509
large	калон	0.704	0.565	0.736
larger	калонтар	0.729	0.654	0.763
largo	NO TRANSLATION	0.521	0.480	0.517
lark	Шабака	0.570	0.292	0.352
larva	кирмҳо	0.245	0.423	0.254
laryngitis	ларгинӣ	0.125	0.500	0.370
larynx	чарб	0.460	0.420	0.402
lasagna	ламагна	0.719	0.441	0.396
laser	лазер	0.469	0.531	0.769
lash	лаб	0.235	0.794	0.609
lass	ласс	0.656	0.536	0.433
lasso	лассо	0.438	0.460	0.339
lastday	NO TRANSLATION	0.309	0.580	0.463
lasting	давомнок	0.804	0.535	0.745
lastminute	охирин	0.418	0.582	0.385
latch	забони англисӣ	0.395	0.263	0.288
late	дертар	0.245	0.358	0.315
lateness	дертар	0.214	0.388	0.343
latent	латталӣ	0.469	0.500	0.653
lateral	lateral	0.469	0.370	0.322
laterally	дертар	0.562	0.255	0.450
latex	дермат	0.479	0.413	0.325
lathe	толор	0.510	0.450	0.425
lather	ламс	0.635	0.327	0.313
latitude	элита	0.562	0.306	0.490
latrine	ҳашарот	0.380	0.353	0.176
latrines	ҳоҷатхонаҳо	0.214	0.462	0.267
latte	латте	0.615	0.320	0.311
lattice	буридан	0.406	0.420	0.349
laud	лад	0.493	0.427	0.383
laudable	саховатмандона	0.740	0.472	0.682
laudation	фахр кардан	0.542	0.547	0.623
laudatory	фахрӣ	0.612	0.417	0.450
laugh	хандидед	0.980	0.639	0.587
laughable	хандон	0.592	0.627	0.298
laughing	хандидан	0.906	0.596	0.534
laughingstock	NO TRANSLATION	0.427	0.779	0.312
laughs	хандидед	0.812	0.846	0.425
laughter	ханда	0.959	0.654	0.588
launch	кушода мешавад	0.684	0.814	0.598
launcher	оғозгар	0.677	0.745	0.808
launches	оғоз меёбад	0.490	0.663	0.602
launder	ҷазо додан	0.479	0.450	0.349
laundering	кушодан	0.439	0.327	0.444
laundry	ҷомашӯӣ	0.644	0.292	0.377
laureate	тӯҳфаҳо	0.724	0.402	0.702
laurel	лаурел	0.646	0.146	0.302
laurels	дандонҳо	0.684	0.279	0.545
lava	лава	0.280	0.539	0.615
lavage	лаблабу	0.615	0.467	0.361
lavatory	лабораторӣ	0.510	0.400	0.259
lavender	лаблабу	0.812	0.198	0.388
lavish	лутфан	0.792	0.648	0.730
law	қонун	0.740	0.590	0.815
lawful	қонунӣ	0.660	0.394	0.780
lawless	ғайриқонунӣ	0.219	0.690	0.420
lawlessness	ғайриқонунӣ	0.156	0.804	0.509
lawman	буд	0.510	0.523	0.786
lawn	Ситапур	0.686	0.153	0.192
lawnmower	мошини дарави чаман	0.480	0.531	0.355
lawsuit	додгоҳ	0.219	0.794	0.611
lawyer	ҳимоягар	0.521	0.569	0.784
lax	лак	0.430	0.401	0.300
laxative	тозакунанда	0.271	0.550	0.528
lay	хоб кунед	0.521	0.336	0.491
layaway	хоб кунед	0.429	0.510	0.451
layer	қабати	0.500	0.208	0.366
layered	баста шуд	0.571	0.306	0.436
layman	ламс	0.531	0.339	0.424
layout	тартиб дода шудааст	0.615	0.442	0.557
layover	бармегарданд	0.520	0.355	0.500
laziness	шадид	0.271	0.240	0.132
lazy	танбал	0.392	0.264	0.096
lazyday	NO TRANSLATION	0.337	0.319	0.145
lea	Дунёи иқтисод	0.583	0.294	0.358
lead	роҳбарӣ кунед	0.323	0.657	0.455
leaded	роҳбарӣ мекунад	0.439	0.625	0.595
leader	лидер	0.833	0.582	0.926
leadership	роҳбарӣ	0.870	0.690	0.983
leading	пешкаш кунед	0.823	0.698	0.954
leads	роҳҳо	0.530	0.471	0.615
leaf	барге	0.583	0.156	0.294
leaflet	брошюра	0.490	0.206	0.375
leafy	барг	0.653	0.530	0.700
league	Лига	0.656	0.340	0.462
leak	пӯшед	0.378	0.833	0.520
leakage	манъ кунед	0.188	0.731	0.528
leaky	манъ карда шудааст	0.170	0.686	0.288
lean	ламс	0.734	0.353	0.438
leaned	баста шуд	0.570	0.373	0.490
leaning	ламс кардан	0.480	0.409	0.352
leap	сӯзишворӣ	0.750	0.663	0.667
learn	омӯзед	0.833	0.643	0.829
learned	фаҳмид	0.704	0.462	0.543
learner	хонанда	0.698	0.475	0.398
learning	омӯзиш	0.833	0.588	0.574
lease	иҷора	0.520	0.463	0.545
leash	баста	0.320	0.347	0.427
leather	пӯст	0.510	0.324	0.341
leathery	leathery	0.418	0.471	0.411
leave	тарк кунед	0.375	0.315	0.295
leavemealone	маро ба ҳолам гузоред	0.240	0.472	0.402
leaving	тарк	0.163	0.542	0.371
lecherous	лимуи	0.135	0.704	0.376
lecture	лексия	0.594	0.462	0.737
lecturer	муаллим	0.677	0.549	0.736
ledge	Нишони мо	0.406	0.235	0.339
ledger	идоракунанда	0.510	0.362	0.609
lee	lee	0.510	0.269	0.296
leech	сиёҳ	0.250	0.623	0.268
leeches	сехҳо	0.115	0.698	0.295
leer	NO TRANSLATION	0.612	0.348	0.509
leery	пӯст	0.337	0.640	0.410
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	баста аст	0.562	0.577	0.569
left	left	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	пасмонда	0.490	0.460	0.222
leftovers	калимаҳо	0.219	0.350	0.116
lefty	лифт	0.490	0.406	0.379
leg	пиёдагард	0.510	0.373	0.313
legacy	мераванд	0.792	0.529	0.827
legal	қонунӣ	0.653	0.387	0.887
legality	қонунӣ	0.765	0.343	0.713
legalize	қонунӣ	0.510	0.460	0.818
legalized	қонунӣ	0.760	0.440	0.855
legally	қонунӣ	0.771	0.482	0.842
legend	Ҳикояҳо	0.837	0.519	0.750
legendary	легионер	0.857	0.537	0.863
legibility	қонуният	0.771	0.481	0.580
legible	боэътимод	0.673	0.279	0.509
legion	литория	0.469	0.570	0.852
legislate	қонунгузорӣ	0.571	0.582	0.736
legislation	қонунгузорӣ	0.531	0.418	0.808
legislative	қонунгузорӣ	0.633	0.365	0.800
legislator	қонунгузор	0.490	0.580	0.877
legislature	қонунгузорӣ	0.540	0.435	0.698
legit	қонунӣ	0.747	0.427	0.849
legitimacy	қонунӣ	0.823	0.420	0.855
legitimate	қонунӣ	0.792	0.363	0.841
lego	lego	0.600	0.294	0.189
legs	пойҳо	0.479	0.407	0.228
legume	лӯбиё	0.520	0.302	0.465
legwork	пошхӯрӣ	0.622	0.560	0.509
leisure	истироҳат	0.631	0.429	0.421
leisurely	боинсофона	0.806	0.250	0.367
lemma	лемма	0.530	0.284	0.391
lemon	лимӯ	0.596	0.317	0.316
lemonade	лимонад	0.661	0.287	0.412
lend	қарз диҳед	0.520	0.461	0.508
lender	қарздиҳанда	0.340	0.520	0.703
lending	қарздиҳӣ	0.510	0.585	0.462
length	дарозӣ	0.479	0.308	0.533
lengthen	дароз кардан	0.619	0.481	0.566
lengthened	дароз карда шуд	0.448	0.530	0.474
lengthening	дароз кардан	0.673	0.530	0.528
lengthwise	дарозии	0.571	0.470	0.528
lengthy	дароз	0.570	0.342	0.528
leniency	бофарҳангӣ	0.517	0.436	0.545
lenient	сусттар	0.520	0.451	0.340
lens	Линзаи	0.420	0.245	0.472
leopard	лазер	0.542	0.755	0.611
leotard	лотерея	0.510	0.429	0.391
leper	махав	0.075	0.589	0.206
leprechaun	leprechaun	0.417	0.480	0.417
leprosy	махав	0.130	0.670	0.349
lesbian	lesbian	0.385	0.660	0.415
lesbianism	lesbianism	0.327	0.725	0.440
lesion	лимит	0.240	0.623	0.361
less	Камтар	0.265	0.240	0.115
lessee	лизинг	0.417	0.474	0.595
lessen	кам карда шавад	0.235	0.284	0.255
lessening	кам кардани	0.375	0.300	0.277
lesser	камтар	0.396	0.167	0.211
lesson	дарс	0.704	0.577	0.593
lessor	иҷорапулӣ	0.552	0.490	0.623
let	бигзор	0.427	0.373	0.307
lethal	мурдааст	0.156	0.800	0.745
lethargic	шадидтар аст	0.214	0.245	0.375
lethargy	латукӯб	0.194	0.302	0.316
letter	мактуб	0.635	0.279	0.342
lettered	навишта шудааст	0.542	0.361	0.482
letterhead	номаълум	0.450	0.316	0.462
lettering	нависед	0.541	0.180	0.431
letters	мактубҳо	0.663	0.327	0.364
lettuce	каҳу	0.594	0.163	0.291
leukemia	лакемия	0.094	0.572	0.351
levee	пӯшед	0.520	0.324	0.490
level	сатҳ	0.622	0.277	0.491
lever	лев	0.400	0.343	0.402
leverage	фишурда	0.459	0.500	0.629
levitate	ба даст оварданд	0.561	0.598	0.551
levy	анд	0.438	0.420	0.491
lewd	левизода	0.188	0.673	0.412
lexicon	лексикон	0.561	0.463	0.615
ley	NO TRANSLATION	0.604	0.389	0.764
liabilities	ӯҳдадориҳо	0.429	0.608	0.694
liability	масъулият	0.646	0.500	0.802
liable	ҷавобгар аст	0.656	0.519	0.821
liaison	алоқа	0.698	0.337	0.472
liar	дурӯғгӯй	0.042	0.606	0.339
libel	латукӯб	0.128	0.694	0.403
libelous	дуздӣ	0.125	0.735	0.436
liberal	озодона	0.565	0.565	0.755
liberalism	либерализм	0.562	0.712	0.750
liberate	озод шавед	0.760	0.632	0.708
liberated	озод карда шудааст	0.780	0.630	0.683
liberating	озод кардан	0.915	0.620	0.745
liberation	озод шудан	0.745	0.614	0.857
liberty	озодӣ	0.938	0.579	0.836
libido	libido	0.770	0.602	0.571
librarian	китобхона	0.625	0.135	0.509
library	китобхона	0.776	0.122	0.549
libretto	libretto	0.612	0.328	0.406
lice	литсей	0.133	0.500	0.194
license	иҷозатнома	0.500	0.394	0.702
lichen	Личен	0.418	0.388	0.463
lick	лизинг	0.470	0.482	0.330
licorice	licorice	0.677	0.310	0.400
lid	зарф	0.490	0.189	0.255
lie	дурӯғ мегӯянд	0.130	0.725	0.272
liege	шӯхӣ	0.479	0.426	0.452
lien	гарон	0.396	0.580	0.441
lieu	швейтсарӣ	0.427	0.410	0.312
lieutenant	лейтенант	0.594	0.612	0.920
life	ҳаёт	0.918	0.615	0.824
lifeblood	зиндагонӣ	0.673	0.690	0.708
lifeboat	зиндагонӣ	0.724	0.425	0.533
lifeguard	Наҷотбахш	0.870	0.606	0.786
lifeisgood	ҳаёт	0.812	0.575	0.611
lifeless	зинда нест	0.042	0.333	0.163
lifelike	зинда монд	0.776	0.567	0.765
lifeline	зиндагонӣ	0.735	0.552	0.496
lifelong	давомнок	0.823	0.330	0.640
lifer	зинда	0.427	0.519	0.398
lifesaver	зиндагонӣ	0.908	0.745	0.703
lifestyle	тарзи зиндагӣ	0.750	0.472	0.645
lifesucks	зиндагонӣ	0.167	0.637	0.377
lifetime	умр	0.816	0.559	0.736
lift	лифт	0.704	0.518	0.656
lifted	баланд шуд	0.714	0.441	0.657
liftoff	барҳамдиҳӣ	0.531	0.667	0.588
ligament	ligament	0.490	0.410	0.510
ligation	луғат	0.344	0.423	0.396
ligature	ligate	0.478	0.430	0.447
light	нур	0.771	0.320	0.519
light year	сола	0.719	0.425	0.593
lightbulb	чароғ	0.573	0.255	0.302
lighten	нур	0.688	0.438	0.362
lightheaded	шитобед	0.347	0.620	0.255
lighthouse	лентаи	0.622	0.240	0.510
lighting	равшанӣ	0.765	0.440	0.750
lightness	нур	0.794	0.360	0.526
lightning	сӯзон	0.429	0.683	0.595
lights	чароғҳои	0.750	0.480	0.575
lightweight	нур	0.670	0.300	0.358
likable	маъқул	0.865	0.480	0.663
like	Мисли	0.719	0.353	0.446
likelihood	эҳтимолият	0.760	0.469	0.542
likely	эҳтимол	0.633	0.356	0.454
likeness	Мисли	0.688	0.410	0.561
likewise	Ҳамин тавр	0.651	0.217	0.312
liking	маъқул шуд	0.963	0.604	0.589
lilac	лилак	0.688	0.180	0.357
lily	Лилия	0.640	0.245	0.263
limb	лампа	0.510	0.397	0.427
limber	лимӯ	0.688	0.729	0.673
limbo	манъ карда шудааст	0.385	0.284	0.309
lime	оҳак	0.594	0.240	0.415
limelight	бепарҳезӣ	0.667	0.639	0.694
limestone	лимонад	0.602	0.323	0.381
limey	лимӯ	0.469	0.347	0.415
limit	маҳдуд	0.427	0.453	0.500
limitation	маҳдудият	0.190	0.431	0.225
limited	маҳдуд	0.229	0.273	0.380
limitless	бесабаб нест	0.688	0.574	0.655
limo	лимӯ	0.760	0.367	0.667
limousine	лимузин	0.638	0.531	0.640
limp	зада	0.393	0.440	0.172
lin	лим	0.416	0.362	0.343
line	хати	0.541	0.180	0.353
lineage	сеҳр	0.633	0.465	0.721
lineal	хатти	0.521	0.170	0.474
linear	сатр	0.646	0.250	0.472
linebacker	linebacker	0.490	0.660	0.543
lined	пӯшанд	0.438	0.367	0.424
