Word	Yiddish-yi	Valence	Arousal	Dominance
innumerable	וניווערסאַבאַל	0.667	0.445	0.704
inoculation	ינאָקולאַטיאָן	0.333	0.570	0.598
inoperable	ינאַפּעראַבאַל	0.184	0.422	0.304
inoperative	ינאַפּעראַטיוו	0.138	0.425	0.273
inordinate	ינאָרדינאַטע	0.163	0.630	0.330
inorganic	ינאָרגאַניק	0.385	0.345	0.282
input	input	0.643	0.337	0.527
inquest	inquest	0.458	0.569	0.721
inquire	נאָכפרעגן	0.583	0.519	0.363
inquirer	inquirer	0.573	0.598	0.776
inquiring	inquiring	0.479	0.510	0.500
inquiry	inquiry	0.541	0.420	0.536
inquisitive	נייַגעריק	0.301	0.637	0.615
inquisitor	ינקוויסיטאָר	0.385	0.873	0.642
insane	מעשוגע	0.062	0.670	0.265
insanity	מעשוגאַס	0.098	0.847	0.337
insatiable	ינסיישאַבאַל	0.375	0.656	0.558
inscription	ינסקריפּשאַן	0.592	0.422	0.542
inscrutable	inscrutable	0.459	0.541	0.613
insect	ינסעקט	0.276	0.633	0.242
insecticide	ינסעקטיסידע	0.188	0.598	0.430
insecure	ינסאַקיער	0.114	0.538	0.132
insecurity	ינסיקיוריטי	0.094	0.647	0.350
insemination	ינסעמינאַטיאָן	0.542	0.644	0.622
insensitive	insensitive	0.219	0.471	0.302
inseparable	ינסעפּעראַבאַל	0.700	0.520	0.571
insert	insert	0.481	0.552	0.519
inserted	ינסערטאַד	0.479	0.402	0.476
insertion	ינסערשאַן	0.521	0.520	0.565
inside	אינעווייניק	0.612	0.404	0.472
insider	ינסיידער	0.625	0.562	0.750
insidious	ינסידיאַס	0.146	0.622	0.480
insight	ינסייט	0.613	0.363	0.649
insightful	ינסייטפאַל	0.664	0.691	0.713
insignia	insignia	0.665	0.282	0.685
insignificance	ומשולד	0.250	0.216	0.222
insignificant	נישטיק	0.083	0.306	0.114
insinuate	ינסיניואַטע	0.292	0.635	0.413
insipid	ינסיפּיד	0.214	0.250	0.241
insist	באַשטיין	0.635	0.651	0.688
insistence	ינסיסטאַנס	0.418	0.704	0.645
insistent	ינסיסטאַנט	0.552	0.635	0.701
insists	ינסיסץ	0.490	0.587	0.610
insolence	ינסאָלענסע	0.115	0.731	0.402
insolent	ינסאַלאַנט	0.112	0.663	0.343
insoluble	ינסאַליאַבאַל	0.439	0.290	0.414
insolvency	ינסאַלוואַנסי	0.323	0.431	0.300
insolvent	ינסאַלוואַנט	0.230	0.481	0.318
insomnia	ינסאַמניאַ	0.198	0.611	0.373
insomniac	insomniac	0.231	0.367	0.329
inspect	דורכקוקן	0.479	0.603	0.793
inspection	דורכקוק	0.459	0.630	0.718
inspector	אינספעקטאר	0.418	0.580	0.852
inspiration	ינספּיראַציע	0.938	0.600	0.779
inspirational	ינספּעריישאַנאַל	0.927	0.720	0.810
inspire	ינספּירירן	0.918	0.627	0.759
inspired	inspired	0.967	0.702	0.736
instability	ינסטאַביליטי	0.177	0.760	0.353
install	ינסטאַלירן	0.630	0.583	0.736
installation	ינסטאַלירונג	0.656	0.469	0.759
installment	ינסטאָלמאַנט	0.619	0.396	0.483
instance	א שטייגער	0.547	0.450	0.558
instant	רעגע	0.766	0.454	0.554
instantaneous	ינסטאַנטאַניאַס	0.750	0.500	0.585
instantaneously	ינסטאַנטאַניאַסלי	0.656	0.640	0.600
instigate	ינסטאַגייט	0.278	0.765	0.642
instigation	ינסטיגיישאַן	0.323	0.769	0.648
instill	ינסטיל	0.562	0.490	0.618
instinct	אינסטינקט	0.771	0.602	0.642
instinctive	אינסטינקטיווע	0.752	0.575	0.694
institute	אינסטיטוט	0.604	0.480	0.807
institution	ינסטיטושאַן	0.580	0.311	0.790
instruct	אָנווייַזן	0.729	0.490	0.833
instructed	געבראכט	0.740	0.388	0.722
instruction	לימעד	0.656	0.434	0.736
instructional	ינסטראַקשאַנאַל	0.698	0.500	0.773
instructions	ינסטראַקשאַנז	0.582	0.302	0.556
instructive	ינסטרוקטיווע	0.583	0.420	0.643
instructor	ינסטראַקטער	0.771	0.490	0.782
instrument	ינסטרומענט	0.562	0.537	0.655
instrumental	ינסטרומענטאַל	0.740	0.472	0.647
instrumentalist	ינסטראַמענטאַליסט	0.656	0.540	0.740
instrumentality	ינסטרומענטאַליטי	0.637	0.510	0.618
insubordination	ינסאַבאָרדאַניישאַן	0.281	0.775	0.634
insufferable	insufferable	0.220	0.784	0.291
insufficiency	ינסופפיסיענסי	0.115	0.431	0.210
insufficient	ניט גענוגיק	0.188	0.380	0.093
insufficiently	ניט גענוגיק	0.147	0.509	0.198
insular	אינסולאַר	0.531	0.426	0.465
insulate	ינסולאַטעד	0.365	0.358	0.286
insulated	ינסאַלייטיד	0.208	0.265	0.304
insulation	ינסאַליישאַן	0.245	0.327	0.264
insulin	ינסאַלאַן	0.429	0.472	0.375
insult	פאַרצווייפלט	0.085	0.831	0.389
insulting	ינסאַלטינג	0.094	0.840	0.412
insurance	פאַרזיכערונג	0.714	0.308	0.825
insure	פאַרזיכערן	0.700	0.415	0.698
insurgent	insurgent	0.235	0.735	0.660
insurmountable	ינסערמאַונטאַבאַל	0.620	0.627	0.737
insurrection	ינסוררעקטיאָן	0.229	0.706	0.582
intact	intact	0.716	0.212	0.602
intake	ינטייק	0.604	0.527	0.442
intangible	immaterial	0.525	0.480	0.473
integer	ינטעגער	0.573	0.327	0.595
integral	integral	0.590	0.337	0.615
integrate	ויסשטימען	0.729	0.390	0.700
integration	integration	0.771	0.480	0.737
integrity	integrity	0.865	0.413	0.848
intellect	intellect	0.844	0.418	0.870
intellectual	אינטעלעקטואַל	0.906	0.455	0.845
intelligence	intelligence	0.833	0.587	0.885
intelligent	intelligent	0.917	0.541	0.868
intelligibility	intelligibility	0.740	0.481	0.689
intelligible	intelligible	0.635	0.480	0.691
intend	intend	0.562	0.520	0.519
intended	בדעה	0.406	0.542	0.587
intending	intending	0.510	0.567	0.597
intense	intense	0.592	0.774	0.679
intensely	intensely	0.694	0.846	0.750
intensify	פאַרשטאַרקן	0.604	0.870	0.737
intensity	ינטענסיטי	0.622	0.930	0.952
intensive	אינטענסיווע	0.570	0.842	0.776
intent	intent	0.550	0.481	0.500
intention	intent	0.531	0.480	0.636
intentional	intentional	0.650	0.615	0.750
intentionally	intentionally	0.450	0.676	0.696
inter	ינטער	0.510	0.375	0.466
interact	ינטעראַקט	0.822	0.690	0.759
interaction	ינטעראַקטיאָן	0.646	0.735	0.750
interactive	ינטעראַקטיווע	0.727	0.811	0.770
intercede	intercede	0.582	0.577	0.630
intercept	ינטערסעפּט	0.221	0.660	0.676
interception	ינטערסעפּשאַן	0.327	0.673	0.643
intercession	השתדלות	0.503	0.486	0.598
interchange	ויסבייַט	0.615	0.527	0.565
interchangeable	ינטערטשיינדזשאַבאַל	0.615	0.459	0.526
interchanged	ינטערטשאַנגעד	0.396	0.472	0.434
intercom	ינטערקאָם	0.623	0.429	0.453
intercourse	באַטזיונגען	0.551	0.608	0.557
interdependence	ינטערדעפּענדענסע	0.608	0.618	0.639
interdependent	ינטערדעפּענדענט	0.410	0.482	0.598
interdiction	interdiction	0.337	0.500	0.585
interest	אינטערעס	0.780	0.667	0.618
interested	אינטערעסירט	0.750	0.529	0.725
interesting	טשיקאַווע	0.927	0.726	0.731
interface	interface	0.643	0.357	0.600
interfere	אַרייַנמישנ זיך	0.323	0.714	0.471
interference	ינטערפיראַנס	0.396	0.736	0.357
interferometer	ינטערפערמאַטער	0.510	0.510	0.517
intergalactic	ינטערגאַלאַקטיק	0.562	0.661	0.741
interim	interim	0.604	0.400	0.524
interior	ינלענדיש	0.618	0.157	0.462
interject	ינטערדזשעקט	0.333	0.648	0.658
interlocutory	interlocutory	0.490	0.500	0.527
interlude	ינטערלויד	0.470	0.417	0.377
intermediary	ינטערמידיערי	0.427	0.510	0.643
intermediate	ינטערמידייט	0.480	0.368	0.400
interment	interment	0.235	0.608	0.346
interminable	ינערמאַנאַבאַל	0.327	0.481	0.561
intermission	ינטערמידייט	0.490	0.360	0.402
intermittent	ינטערמיטאַנט	0.337	0.565	0.436
intern	intern	0.459	0.460	0.392
internal	internal	0.439	0.349	0.423
internally	internally	0.615	0.400	0.616
international	אינטערנאַציאָנאַלער	0.800	0.519	0.702
internet	אינטערנעט	0.760	0.462	0.755
internship	ינטערנשיפּ	0.590	0.510	0.482
interoffice	interoffice	0.439	0.375	0.556
interpolate	ינטערפּאָלאַטע	0.460	0.490	0.569
interpolation	ינטערפּאָלאַטיאָן	0.419	0.506	0.528
interpret	טייַטשן	0.646	0.625	0.673
interpretation	ינטערפּריטיישאַן	0.677	0.594	0.620
interpreter	interpreter	0.708	0.461	0.596
interpretive	ינטערפּריטיישאַן	0.531	0.549	0.595
interrelated	ינטעררילייטיד	0.615	0.469	0.592
interrogate	ויספרעגן	0.323	0.808	0.680
interrogation	ינטעראַגיישאַן	0.302	0.827	0.657
interrupt	יבעררייַסן	0.210	0.635	0.509
interrupted	ינטעראַפּטיד	0.281	0.559	0.333
interrupting	ינטעראַפּטינג	0.146	0.593	0.509
interruption	יבעררייַס	0.184	0.632	0.425
interrupts	ינטעררופּץ	0.204	0.545	0.389
intersect	ינטערסעקסט	0.521	0.510	0.480
intersection	ינטערסעקשאַן	0.344	0.541	0.658
interstate	interstate	0.520	0.443	0.600
interstellar	ינטערסטעלער	0.708	0.702	0.622
interstitial	interstitial	0.333	0.471	0.534
interval	מעהאַלעך	0.510	0.284	0.400
intervene	ינטערווינד	0.520	0.677	0.768
intervening	ינטערווינד	0.398	0.627	0.442
intervention	אריינמישונג	0.388	0.696	0.689
interview	אינטערוויו	0.573	0.770	0.619
interviewer	ינטערוויוז	0.552	0.736	0.816
interworking	ינטערוואָרקינג	0.552	0.587	0.691
intestate	אַרייַנציען	0.459	0.467	0.415
intestinal	ינטעסטאַנאַל	0.357	0.531	0.370
intestine	קישקע	0.343	0.450	0.380
intestines	אינהאַלט	0.292	0.547	0.398
intimacy	ינטימאַסי	0.857	0.802	0.558
intimate	אָנווינקען	0.724	0.598	0.393
intimately	intimately	0.806	0.573	0.590
intimation	ינטימאַציע	0.406	0.673	0.500
intimidate	אָנשרעקן	0.210	0.804	0.632
intimidated	ינאַמאַדיד	0.177	0.663	0.208
intimidating	אָנשרעקן	0.229	0.790	0.708
intimidation	ינטימידיישאַן	0.177	0.791	0.644
intolerable	ינטאָלעראַבלע	0.146	0.660	0.439
intolerance	ינטאָלעראַנס	0.052	0.704	0.520
intolerant	intolerant	0.135	0.676	0.509
intonation	ינטאַניישאַן	0.615	0.442	0.598
intoxicated	ינטאַקסאַקייטאַד	0.079	0.824	0.246
intoxicating	ינטאַקסאַקיישאַן	0.224	0.760	0.464
intoxication	ינטאַקסאַקיישאַן	0.323	0.710	0.400
intracranial	intracranial	0.281	0.602	0.553
intractable	ינטראַקטאַבאַל	0.154	0.694	0.302
intramural	intramural	0.490	0.464	0.447
intravenous	ינטראַווינאַס	0.357	0.538	0.458
intrepid	intrepid	0.753	0.696	0.637
intricate	ינטראַקאַט	0.559	0.704	0.500
intrigue	ינטריג	0.362	0.830	0.327
intriguing	ינטריגינג	0.422	0.713	0.462
intrinsic	ינטרינסיק	0.406	0.471	0.526
intrinsically	ינטרינסיקלי	0.459	0.382	0.538
intro	intro	0.510	0.331	0.657
introduce	פאָרשטעלן	0.592	0.559	0.648
introduction	הקדמה	0.612	0.413	0.640
introductory	ינטראַדאַקטערי	0.635	0.368	0.593
introspection	ינטראַספּעקשאַן	0.603	0.337	0.575
introspective	ינטראַספּעקטיוו	0.552	0.360	0.471
intrude	ינטרוד	0.058	0.735	0.480
intruder	ינטרודערז	0.146	0.740	0.324
intrusion	ינטרוזשאַן	0.293	0.641	0.670
intrusive	ינטרוסיוו	0.461	0.607	0.538
intubation	ינבובאַטיאָן	0.276	0.598	0.526
intuition	ינטוישאַן	0.857	0.508	0.602
intuitive	ינטואַטיוו	0.771	0.573	0.690
intuitively	ינטויטיוולי	0.670	0.561	0.648
inundation	ינונדאַטיאָן	0.177	0.780	0.455
invade	באַפאַלן	0.408	0.892	0.714
invader	ינוויידער	0.200	0.827	0.618
invalid	פאַרקריפּלט	0.180	0.330	0.255
invalidate	ינוואַלידייט	0.315	0.480	0.397
invalidation	ינוואַלידיישאַן	0.181	0.490	0.278
invalidity	ינוואַלידיטי	0.186	0.394	0.158
invaluable	ינוואַלאַבאַל	0.740	0.500	0.745
invariably	אייביג	0.458	0.365	0.550
invasion	ינוואַזיע	0.271	0.843	0.808
invasive	ינווייסיוו	0.194	0.730	0.598
invent	ינווענט	0.719	0.689	0.833
invention	דערפינדונג	0.714	0.577	0.811
inventive	inventive	0.780	0.627	0.721
inventor	inventor	0.781	0.667	0.847
inventory	ינווענטאָרי	0.594	0.463	0.490
inverse	פאַרקערט	0.459	0.337	0.319
inversely	פאַרקערט	0.286	0.418	0.351
inversion	ינערשאַן	0.602	0.630	0.772
invert	ינווערט	0.510	0.585	0.706
inverted	ינווערטיד	0.310	0.471	0.357
invest	ינוועסטירן	0.650	0.663	0.682
investigate	ויספאָרשן	0.640	0.500	0.781
investigation	ויספאָרשונג	0.531	0.592	0.820
investigative	ינוועסטאַגייטיוו	0.562	0.600	0.704
investigator	investigator	0.615	0.509	0.779
investment	ינוועסמאַנט	0.720	0.592	0.745
investor	ינוועסטער	0.794	0.655	0.791
invidious	ינווידיאַס	0.112	0.650	0.364
invigorate	יבערנאַכטיק	0.821	0.798	0.831
invincible	ינווינסאַבאַל	0.867	0.853	0.914
invisibility	invisibility	0.438	0.461	0.382
invisible	ומזעיק	0.417	0.345	0.412
invitation	פאַרבעטונג	0.802	0.549	0.647
invite	invite	0.745	0.655	0.611
inviting	ינווייטינג	0.938	0.571	0.538
invocation	invocation	0.430	0.620	0.673
invoice	ינווויס	0.480	0.380	0.474
invoke	invoke	0.583	0.740	0.579
involuntary	ינוואַלאַנטערי	0.354	0.490	0.231
involution	ינוואָלוטיאָן	0.296	0.420	0.407
involve	אַרייַנציען	0.694	0.490	0.728
involvement	involvement	0.760	0.620	0.696
invulnerable	ינוואַלנעראַבאַל	0.552	0.683	0.745
inwards	ינוואַרדס	0.490	0.385	0.438
iodine	יאָדינע	0.390	0.265	0.333
ion	יאָן	0.429	0.330	0.408
iota	iota	0.344	0.385	0.314
irate	ירייט	0.188	0.852	0.474
ire	NO TRANSLATION	0.198	0.740	0.575
iridescent	ירידעסאַנט	0.602	0.588	0.539
iris	יריס	0.708	0.275	0.380
irked	irked	0.164	0.791	0.353
irks	ירקס	0.276	0.781	0.339
iron	אייַזן	0.448	0.351	0.679
ironclad	ironclad	0.561	0.648	0.679
ironic	ironic	0.435	0.550	0.500
irons	irons	0.531	0.441	0.625
irony	געשפּעט	0.390	0.587	0.508
irradiation	יריידייישאַן	0.385	0.736	0.509
irrational	יראַשאַנאַל	0.125	0.648	0.394
irrationality	יראַשאַנאַליטי	0.198	0.735	0.361
irreconcilable	ירעקאַנסאַמאַבאַל	0.146	0.667	0.375
irreducible	irreducible	0.296	0.455	0.569
irrefutable	יראַפייטאַבאַל	0.496	0.549	0.716
irregular	ירעגיאַלער	0.312	0.548	0.321
irregularity	ירעגיאַלעראַטי	0.104	0.647	0.306
irregularly	ירעגיאַלערלי	0.292	0.565	0.397
irrelevant	irrelevant	0.138	0.311	0.296
irreparable	יריזאַבלע	0.061	0.530	0.430
irreplaceable	יראַפּלייסאַבאַל	0.479	0.580	0.833
irrepressible	יראַפּרעסאַבאַל	0.512	0.566	0.745
irresistible	יריזיסטאַבאַל	0.823	0.833	0.839
irrespective	יראַספּעקטיוו	0.497	0.538	0.745
irresponsible	יראַספּאַנסאַבאַל	0.177	0.680	0.241
irreverent	יריווער	0.191	0.694	0.634
irreversible	יריווערסאַבאַל	0.170	0.541	0.667
irrevocable	ירעוואַקאַבאַל	0.296	0.560	0.712
irrigate	יראַגייט	0.272	0.458	0.490
irrigation	יראַגיישאַן	0.259	0.426	0.426
irritability	יריטאַבילאַטי	0.146	0.853	0.283
irritable	יראַטאַבאַל	0.112	0.952	0.462
irritate	רייצן	0.167	0.890	0.368
irritated	יריטיישאַן	0.210	0.816	0.281
irritates	יריטרייץ	0.173	0.810	0.295
irritating	יריטיישאַן	0.104	0.912	0.393
irritation	יריטיישאַן	0.073	0.833	0.496
island	island	0.745	0.347	0.432
isle	isle	0.667	0.390	0.443
islet	islet	0.612	0.314	0.367
isolate	יזאָלירן	0.235	0.422	0.336
isolated	isolated	0.221	0.356	0.255
isolation	אפגעזונדערטקייט	0.198	0.338	0.339
isomorphism	isomorphism	0.448	0.361	0.481
isothermal	isothermal	0.459	0.491	0.500
isotope	isotope	0.429	0.404	0.407
issue	issue	0.316	0.819	0.351
itch	בייַסעניש	0.319	0.610	0.465
itching	יטשינג	0.208	0.690	0.300
itchy	יטשי	0.334	0.726	0.296
item	item	0.594	0.270	0.465
itemize	פּונקט אַזוי	0.459	0.527	0.518
items	זאכן	0.542	0.401	0.434
iterate	יטיראַטע	0.449	0.460	0.440
iteration	iteration	0.531	0.449	0.486
iterative	iterative	0.429	0.420	0.500
itinerant	רייזינג	0.449	0.545	0.439
itinerary	רייַזע - פּלאַן	0.551	0.550	0.454
ivory	ivory	0.625	0.235	0.566
jab	דזשאַב	0.385	0.519	0.482
jabber	jabber	0.417	0.506	0.342
jack	jack	0.487	0.450	0.441
jackal	jackal	0.333	0.582	0.436
jackass	דזשאַקאַס	0.188	0.692	0.279
jacket	jacket	0.656	0.302	0.382
jackhammer	דזשאַקכאַמער	0.199	0.690	0.519
jackpot	דזשאַקפּאַט	0.950	0.750	0.786
jackrabbit	דזשאַקקאַבביט	0.625	0.379	0.344
jacks	דזשאַקס	0.490	0.400	0.505
jade	דזשאַדע	0.604	0.410	0.455
jaded	דזשאַדעד	0.255	0.560	0.400
jag	NO TRANSLATION	0.408	0.440	0.427
jagged	jagged	0.082	0.462	0.213
jaguar	דזשאַגואַר	0.559	0.710	0.654
jail	טורמע	0.094	0.898	0.480
jailbird	jailbird	0.240	0.567	0.473
jailbreak	jailbreak	0.354	0.629	0.471
jailer	jailer	0.194	0.630	0.632
jailhouse	jailhouse	0.104	0.887	0.430
jalopy	דזשאַלאָפּי	0.396	0.436	0.337
jam	אַרייַנשטופּן	0.510	0.548	0.318
jamboree	דזשאַמבאָרע	0.602	0.625	0.351
jammed	דזשאַמד	0.235	0.817	0.411
jammer	jammer	0.417	0.540	0.491
janitor	סטראָבעריז	0.510	0.350	0.527
janitorial	דזשאַניטאָריאַל	0.490	0.373	0.481
japan	יאַפּאַן	0.667	0.482	0.580
jar	סלוי	0.430	0.346	0.318
jargon	זשאַרגאַן	0.333	0.548	0.404
jarhead	jarhead	0.408	0.530	0.464
jarring	דזשאַרינג	0.210	0.673	0.309
jasmine	דזשאַסמינע	0.765	0.230	0.286
jasper	דזשאַספּער	0.480	0.425	0.402
jaundice	דזשאָנדאַס	0.214	0.480	0.355
jaunt	דזשיפּ	0.808	0.451	0.500
java	דזשאַוואַ	0.459	0.321	0.343
javelin	דזשאַוועלין	0.385	0.481	0.465
jaw	קין	0.500	0.510	0.420
jawbone	jawbone	0.468	0.413	0.342
jaws	דזשאָז	0.385	0.528	0.455
jay	jay	0.531	0.408	0.389
jazz	דזשאַז	0.677	0.362	0.450
jazzy	דזשאַזזי	0.725	0.431	0.389
jealous	מקנא	0.173	0.855	0.345
jealousy	קנאה	0.146	0.783	0.481
jean	דזשין	0.602	0.444	0.364
jeans	דזשינס	0.622	0.324	0.371
jeep	דזשיפּ	0.602	0.510	0.612
jeering	גיימינג	0.266	0.792	0.380
jelly	זשעלע	0.651	0.294	0.256
jellybean	דזשעלליבעאַן	0.592	0.406	0.399
jellyfish	דזשעלליפיש	0.531	0.567	0.377
jenny	דזשעני	0.542	0.406	0.407
jeopardize	jeopardize	0.260	0.877	0.582
jeopardy	סאַקאָנע	0.129	0.908	0.536
jerk	שנוק	0.194	0.630	0.238
jerks	jerks	0.214	0.788	0.395
jerky	jerky	0.233	0.538	0.358
jersey	דזשערזי	0.594	0.317	0.411
jest	NO TRANSLATION	0.520	0.736	0.222
jester	דזשעסטער	0.388	0.670	0.264
jesus	יאָשקע	0.800	0.400	0.620
jet	שפּריץ	0.612	0.721	0.606
jetty	jetty	0.602	0.480	0.453
jewel	בריליאַנט	0.827	0.588	0.625
jeweler	יווועלער	0.760	0.482	0.500
jewelry	צירונג	0.823	0.569	0.597
jib	jib	0.406	0.420	0.413
jiff	NO TRANSLATION	0.576	0.404	0.349
jiffy	דזשיפפי	0.410	0.444	0.380
jig	דזשיג	0.531	0.396	0.357
jiggle	jiggle	0.592	0.673	0.518
jigsaw	לאָבזעג	0.594	0.582	0.519
jihad	דזשיהאַד	0.323	0.660	0.444
jimmy	דזשימי	0.579	0.321	0.311
jingle	דזשינגלע	0.635	0.500	0.424
jinx	דזשינקס	0.337	0.582	0.373
jitters	דזשיטטערס	0.224	0.918	0.192
jittery	דזשיטטערי	0.344	0.856	0.255
jive	jive	0.561	0.551	0.373
job	אַרבעט	0.694	0.541	0.717
jobinterview	NO TRANSLATION	0.684	0.837	0.723
jock	jock	0.592	0.656	0.473
jockey	דזשאָוקיי	0.562	0.644	0.703
jockstrap	jockstrap	0.347	0.431	0.390
jog	jog	0.510	0.708	0.519
jogger	jogger	0.417	0.510	0.424
john	יוחנן	0.562	0.382	0.327
join	join	0.729	0.479	0.684
joined	joined	0.667	0.394	0.600
joining	דזשוינינג	0.755	0.469	0.685
joint	שלאָס	0.615	0.392	0.566
jointly	צוזאַמען	0.708	0.425	0.602
joke	וויץ	0.704	0.610	0.316
joker	דזשאָוקער	0.771	0.760	0.416
joking	וויצלענ זיך	0.776	0.839	0.407
jolly	פריילעך	0.959	0.705	0.708
jolt	jolt	0.365	0.708	0.358
jornada	NO TRANSLATION	0.417	0.500	0.533
jot	jot	0.406	0.323	0.350
jour	NO TRANSLATION	0.479	0.394	0.415
journal	זשורנאַל	0.688	0.240	0.352
journalism	זשורנאליסטיק	0.622	0.500	0.684
journalist	זשורנאַליסט	0.542	0.452	0.732
journalistic	זשורנאַליסט	0.696	0.449	0.495
journey	journey	0.910	0.702	0.625
journeyman	פארווארפן	0.765	0.596	0.741
joust	joust	0.520	0.528	0.551
jovial	דזשאָוויאַל	0.823	0.460	0.526
joy	פרייד	0.980	0.824	0.794
joyful	פרייד	0.990	0.740	0.667
joyous	פריידיק	0.958	0.580	0.728
joyride	joyride	0.694	0.550	0.500
joys	פרייד	0.981	0.643	0.651
jubilant	דזשובילאַנט	0.844	0.673	0.664
jubilee	יויוול	0.916	0.500	0.579
judge	ריכטער	0.510	0.604	0.857
judged	געמשפט	0.281	0.686	0.722
judging	אויב משפטן	0.240	0.625	0.693
judgment	משפּט	0.396	0.600	0.816
judgmental	judgeal	0.330	0.602	0.579
judicial	דזשודישאַל	0.378	0.667	0.833
judiciary	דזשודישיערי	0.439	0.740	0.897
judicious	judicious	0.630	0.432	0.772
judo	דזשודאָ	0.500	0.790	0.612
jug	קרוג	0.520	0.250	0.213
juggle	דזשאַגאַל	0.594	0.760	0.426
juggler	דזשאַגלער	0.633	0.821	0.480
juggling	דזשאַגאַלינג	0.562	0.874	0.346
jugular	דזשוגולאַר	0.271	0.573	0.426
juice	זאַפט	0.776	0.281	0.352
juicer	דזשויסער	0.552	0.520	0.564
juicy	זאַפטיק	0.823	0.529	0.490
juju	NO TRANSLATION	0.541	0.519	0.206
juke	juke	0.500	0.491	0.410
jukebox	דזשוקבאַקס	0.699	0.540	0.429
jumble	jumble	0.357	0.613	0.331
jumbled	jumbled	0.292	0.602	0.445
jumbo	jumbo	0.680	0.552	0.447
jump	שפּרונג	0.625	0.865	0.611
jump rope	שפּרינגען שטריק	0.656	0.660	0.368
jumper	דזשאַמפּער	0.615	0.336	0.481
jumpsuit	jumpsuit	0.562	0.365	0.361
jumpy	jumpy	0.353	0.810	0.216
junction	קנופּ	0.490	0.481	0.364
juncture	דזשונקטורע	0.365	0.582	0.491
jungle	דזשאַנגגאַל	0.500	0.510	0.481
junior	יינגער	0.635	0.343	0.304
juniper	דזשוניפּער	0.583	0.327	0.352
junk	אָפּפאַל	0.115	0.481	0.118
junket	junket	0.490	0.519	0.386
junkie	דזשאַנגקי	0.135	0.860	0.363
junky	junky	0.385	0.595	0.343
junkyard	junkyard	0.177	0.398	0.302
junta	דזשונטאַ	0.451	0.503	0.704
juridical	דזשורידיקאַל	0.520	0.431	0.873
jurisdiction	דזשוריסדיקשאַן	0.480	0.580	0.820
jurisprudence	דזשוריספּרודענסע	0.360	0.425	0.764
jurist	jurist	0.479	0.523	0.713
juror	juror	0.582	0.640	0.750
jury	זשורי	0.479	0.607	0.789
justice	יושר	0.760	0.538	0.787
justifiable	דזשאַסטאַפייאַבאַל	0.786	0.413	0.821
justification	טערעץ	0.622	0.444	0.661
justify	באַרעכטיקן	0.612	0.473	0.615
juststop	NO TRANSLATION	0.417	0.379	0.364
justthebeginning	NO TRANSLATION	0.573	0.451	0.481
jute	jute	0.551	0.216	0.295
juvenile	יוגנט	0.678	0.490	0.526
juxtaposition	juxtaposition	0.427	0.500	0.460
kaiser	kaiser	0.470	0.509	0.690
kale	קאַלע	0.469	0.226	0.411
kaleidoscope	קאַליידאַסקאָופּ	0.615	0.439	0.580
kamikaze	קאַמאַקאַזי	0.204	0.810	0.645
kangaroo	קאַנגגערו	0.716	0.333	0.301
kanji	קאַנדזשי	0.510	0.413	0.425
kappa	kappa	0.469	0.375	0.366
kaput	NO TRANSLATION	0.281	0.441	0.440
karaoke	קאַראַאָקע	0.763	0.649	0.342
karate	קאַראַטע	0.562	0.833	0.598
karma	קאַרמאַ	0.500	0.510	0.537
karmic	קאַרמיק	0.357	0.459	0.464
kayak	kayak	0.592	0.600	0.364
kazoo	kazoo	0.503	0.462	0.411
kebab	קעבאַב	0.531	0.431	0.377
keel	קיל	0.344	0.417	0.419
keen	שאַרף	0.823	0.719	0.806
keep	האַלטן	0.714	0.296	0.547
keeper	keeper	0.612	0.457	0.773
keeping	בעכעסקעם	0.592	0.280	0.723
keepsake	keepsake	0.740	0.307	0.491
keg	קעג	0.551	0.389	0.404
kelp	קעלפּ	0.479	0.264	0.213
ken	ken	0.438	0.409	0.360
kennel	קעז	0.430	0.480	0.406
kerchief	kerchief	0.520	0.189	0.236
kern	kern	0.438	0.420	0.449
kernel	kernel	0.542	0.453	0.462
kerosene	kerosene	0.302	0.472	0.427
ketchup	קעטשופּ	0.653	0.338	0.282
kettle	קעסל	0.357	0.497	0.333
key	key	0.615	0.275	0.519
keyboard	קיבארד	0.573	0.279	0.349
keyed	קלעד	0.469	0.497	0.521
keyhole	keyhole	0.438	0.358	0.356
keynote	שטענדיק	0.630	0.431	0.545
keypad	קלאַוויאַטור	0.604	0.255	0.330
keystone	keystone	0.573	0.438	0.491
keyword	keyword	0.602	0.520	0.747
khaki	khaki	0.594	0.252	0.278
khan	khan	0.463	0.476	0.529
kibble	קיבל	0.510	0.458	0.404
kick	בריק	0.271	0.791	0.526
kickboxing	קיקקבאָקסינג	0.427	0.882	0.651
kicker	קיקער	0.427	0.711	0.614
kicking	קיקינג	0.327	0.802	0.510
kickoff	kickoff	0.583	0.600	0.629
kid	קינד	0.760	0.453	0.298
kidder	קידז	0.708	0.768	0.471
kidding	kidding	0.622	0.625	0.457
kiddo	קידאָ	0.674	0.393	0.419
kiddos	קידז	0.500	0.480	0.342
kidnap	קידנאַפּ	0.032	0.923	0.535
kidnapped	kidnapped	0.044	0.923	0.455
kidnapper	קידנאַפּער	0.115	0.906	0.618
kidnapping	קידנאַפּינג	0.094	0.880	0.561
kidney	ניר	0.448	0.363	0.380
kids	קידס	0.837	0.500	0.417
kill	טויטן	0.052	0.941	0.736
