Word	Greek-el	Valence	Arousal	Dominance
orifice	στόμιο	0.448	0.355	0.443
origami	origami	0.684	0.276	0.294
origin	προέλευση	0.729	0.435	0.591
original	πρωτότυπο	0.765	0.480	0.746
originality	πρωτοτυπία	0.898	0.500	0.824
originate	καταγομαι απο	0.702	0.500	0.866
origination	προέλευση	0.760	0.443	0.604
originator	δημιουργός	0.592	0.510	0.868
ornament	στολίδι	0.561	0.373	0.441
ornamental	διακοσμητικός	0.663	0.392	0.460
ornamentation	διακόσμηση	0.663	0.471	0.472
ornamented	διακοσμημένα	0.677	0.350	0.490
ornate	στολισμένος	0.812	0.356	0.500
ornery	πεισματάρης	0.361	0.520	0.509
orphan	ορφανό	0.133	0.388	0.140
orphanage	ορφανοτροφείο	0.184	0.439	0.425
orphaned	ορφανά	0.062	0.430	0.228
orthodontist	ορθοδοντίατρος	0.469	0.615	0.564
orthodox	ορθόδοξος	0.388	0.471	0.647
orthodoxy	ορθοδοξία	0.271	0.388	0.612
orthogonal	ορθογώνιο	0.500	0.314	0.540
orthopedic	ορθοπεδικός	0.406	0.346	0.473
oscillate	ταλαντεύω	0.449	0.580	0.397
oscillating	ταλάντωση	0.469	0.548	0.402
oscillation	ταλάντωση	0.562	0.433	0.431
oscillatory	ταλαντευτικός	0.375	0.520	0.480
ostensible	δήθεν	0.542	0.549	0.585
ostensibly	φαινομενικά	0.473	0.529	0.509
ostentatious	επιδεικτικός	0.479	0.794	0.648
ostracized	αποστειρωμένο	0.115	0.690	0.377
ostrich	στρουθοκάμηλος	0.592	0.382	0.241
other	άλλα	0.472	0.230	0.259
otter	βίδρα	0.439	0.216	0.339
otto	όθων	0.427	0.425	0.404
ottoman	ντιβανοκασέλα	0.531	0.337	0.444
ought	πρέπει	0.438	0.511	0.434
ounce	ουγκιά	0.531	0.255	0.288
oust	εκβάλλω	0.296	0.716	0.444
outage	διακοπή λειτουργίας	0.306	0.684	0.438
outback	outback	0.500	0.324	0.430
outbid	υπερθεματίζω	0.594	0.622	0.540
outboard	εξωλέμβιος	0.448	0.491	0.456
outbreak	έκρηξη	0.260	0.632	0.472
outburst	ξέσπασμα	0.209	0.802	0.528
outcast	απόβλητος	0.153	0.449	0.353
outcome	αποτέλεσμα	0.615	0.472	0.685
outcry	κατακραυγή	0.271	0.773	0.718
outdated	απαρχαιωμένος	0.167	0.236	0.226
outdo	υπερβαίνω	0.771	0.750	0.873
outdoor	ΕΞΩΤΕΡΙΚΟΥ ΧΩΡΟΥ	0.814	0.256	0.447
outdoors	σε εξωτερικό χώρο	0.781	0.444	0.453
outer	εξωτερικός	0.552	0.471	0.456
outfit	εξοπλισμός	0.760	0.490	0.566
outgoing	εξερχόμενος	0.650	0.472	0.538
outgrow	ξεπερνώ	0.510	0.529	0.722
outgrowth	απόφυση	0.771	0.620	0.688
outhouse	αποχωρητήριο	0.281	0.519	0.255
outing	εκδρομή	0.771	0.672	0.634
outlandish	παράξενος	0.448	0.737	0.657
outlast	επιζώ	0.620	0.786	0.685
outlaw	εκτός νόμου	0.255	0.662	0.482
outlet	έξοδος	0.610	0.396	0.245
outline	περίγραμμα	0.542	0.365	0.509
outlines	περιγράφει	0.656	0.402	0.651
outlive	επιζώ	0.565	0.769	0.724
outlook	άποψη	0.830	0.525	0.625
outlying	απόκεντρος	0.460	0.562	0.503
outnumber	υπερέχω αριθμητικά	0.347	0.615	0.577
outpatient	εξωτερικός ασθενής νοσοκομείου	0.260	0.400	0.395
outpost	προφυλακή	0.635	0.571	0.675
outpouring	έκχυση	0.562	0.685	0.552
output	παραγωγή	0.604	0.389	0.434
outrage	προσβολή	0.060	0.689	0.542
outraged	εξοργισμένοι	0.156	0.696	0.538
outrageous	αποτρόπαιος	0.153	0.945	0.713
outrank	υπερέχω εις βαθμό	0.653	0.643	0.817
outreach	ξεπερνώ	0.540	0.462	0.672
outright	εντελώς	0.767	0.396	0.755
outrun	ξεπερνώ	0.531	0.833	0.573
outset	αρχή	0.750	0.500	0.582
outsider	ξένος	0.398	0.549	0.447
outskirts	περίχωρα	0.474	0.519	0.312
outsmart	ξεγελώ	0.673	0.657	0.864
outspoken	ειλικρινής	0.582	0.413	0.667
outstanding	εξαιρετική	0.898	0.760	0.896
outstretched	τεντωμένος	0.448	0.481	0.519
outward	προς τα έξω	0.449	0.439	0.365
outwards	προς τα έξω	0.440	0.472	0.400
outweigh	υπερτερούν	0.486	0.600	0.682
outwit	καταστρατηγώ	0.302	0.755	0.356
oval	ωοειδής	0.417	0.280	0.330
ovary	ωοθήκη	0.469	0.399	0.280
ovate	ωοειδής	0.385	0.286	0.368
ovation	πανηγυρική υποδοχή	0.719	0.758	0.750
oven	φούρνος	0.583	0.425	0.606
overactive	παραπολύ ενεργητικός	0.667	0.885	0.592
overall	Συνολικά	0.583	0.370	0.670
overalls	φόρμα	0.500	0.392	0.373
overbearing	καταθλιπτικός	0.323	0.833	0.861
overburden	παραφορτώνω	0.115	0.755	0.546
overcast	νεφελώδης	0.417	0.250	0.475
overcharged	υπερφορτωμένο	0.276	0.780	0.569
overcoat	πανωφόρι	0.594	0.265	0.430
overcome	καταβάλλω	0.719	0.689	0.848
overcoming	ξεπερνώντας	0.842	0.765	0.855
overcrowded	υπερπλήρης	0.292	0.520	0.491
overdo	παρακάνω	0.156	0.864	0.602
overdose	υπερβολική δόση	0.110	0.820	0.468
overdrive	υπερπολλαπλασιασμένη ταχύτητα	0.303	0.715	0.732
overdue	εκπρόθεσμος	0.125	0.427	0.259
overestimate	υπερτιμώ	0.367	0.796	0.444
overestimated	υπερεκτίμησε	0.344	0.646	0.527
overflow	ξεχείλισμα	0.398	0.792	0.500
overflowing	ξέχειλος	0.439	0.796	0.635
overgrown	κατάφυτος	0.333	0.500	0.369
overgrowth	υπερανάπτυξη	0.417	0.790	0.673
overhanging	προεξοχή	0.698	0.755	0.812
overhaul	εξετάζω και διορθώνω επιμελώς	0.500	0.651	0.491
overhead	πάνω από το κεφάλι	0.344	0.700	0.538
overhear	ακούω τυχαία	0.650	0.365	0.580
overheated	υπερθερμανθεί	0.250	0.598	0.547
overjoyed	περιχαρής	0.908	0.708	0.755
overkill	overkill	0.379	0.861	0.678
overlaid	επικαλύπτονται	0.620	0.610	0.676
overlap	επικάλυψη	0.594	0.615	0.627
overlapping	επικαλύπτονται	0.595	0.578	0.684
overlay	επικάλυμμα	0.564	0.596	0.749
overload	παραφορτώνω	0.381	0.690	0.652
overlook	παραβλέπω	0.292	0.418	0.415
overlord	ηγεμόνας	0.750	0.755	0.932
overlying	overlying	0.500	0.519	0.691
overpaid	υπερπληρωθεί	0.429	0.670	0.585
overpass	υπερυψωμένη διάβαση	0.562	0.561	0.565
overplayed	overplayed	0.224	0.798	0.586
overpower	καταβάλλω	0.448	0.859	0.783
overpowering	συντριπτικός	0.392	0.779	0.589
overpriced	υπερτιμημένο	0.271	0.556	0.472
overprotective	υπερπροστατευτικός	0.448	0.673	0.741
overrated	υπερεκτιμημένη	0.312	0.630	0.482
overreact	αντιδρούν υπερβολικά	0.306	0.912	0.471
override	καταπατώ	0.316	0.491	0.529
overriding	υπερισχύουν	0.240	0.490	0.384
overrule	εξουσιάζω	0.224	0.412	0.429
overrun	υπερβαίνω	0.271	0.764	0.598
oversee	επιβλέπω	0.541	0.649	0.778
overseer	επιτηρητής	0.552	0.520	0.873
overshadow	επισκιάζω	0.333	0.549	0.654
oversight	επίβλεψη	0.385	0.618	0.723
oversized	υπερμεγέθη	0.552	0.540	0.679
overslept	σπάνια	0.408	0.315	0.300
overstate	τα παραλες	0.281	0.779	0.635
overstock	υπερπληρώ	0.344	0.592	0.589
overt	φανερός	0.708	0.326	0.607
overtake	προσπεράσεις	0.573	0.620	0.718
overtaken	ξεπεραστεί	0.594	0.552	0.702
overthemoon	NO TRANSLATION	0.643	0.531	0.481
overthinker	overthinker	0.430	0.606	0.552
overthinking	υπερβολική σκέψη	0.408	0.761	0.525
overthrow	ανατροπή	0.260	0.868	0.620
overtime	στο περασμα του χρονου	0.447	0.504	0.529
overtired	υπερβολική	0.210	0.357	0.273
overture	εισαγωγή	0.490	0.402	0.491
overturn	ανατροπή	0.240	0.765	0.396
overview	ΣΦΑΙΡΙΚΗ ΕΙΚΟΝΑ	0.615	0.380	0.539
overweight	υπέρβαρος	0.052	0.500	0.389
overwhelm	κατακλύζω	0.250	0.823	0.462
overwhelmed	συγκλονισμένοι	0.341	0.680	0.348
overwhelming	αφόρητος	0.327	0.830	0.640
overworked	υπερβολική εργασία	0.133	0.670	0.387
overwrought	υπερεξηντλημένος	0.156	0.900	0.571
overzealous	overzealous	0.427	0.804	0.703
owe	οφείλω	0.500	0.429	0.386
owing	οφειλόμενος	0.396	0.307	0.381
owl	κουκουβάγια	0.520	0.270	0.321
owner	ιδιοκτήτης	0.776	0.449	0.920
ownership	ιδιοκτησία	0.628	0.445	0.741
ox	βόδι	0.417	0.396	0.412
oxidation	οξείδωση	0.453	0.415	0.211
oxide	οξείδιο	0.354	0.377	0.298
oxygen	οξυγόνο	0.908	0.310	0.575
oxymoron	οξύμωρο	0.427	0.481	0.398
oyster	στρείδι	0.500	0.311	0.327
ozone	όζο	0.560	0.345	0.518
pace	βήμα	0.510	0.380	0.390
pacemaker	βηματοδότης	0.448	0.569	0.582
pacific	ειρηνικός	0.627	0.118	0.580
pacified	ειρήνη	0.802	0.194	0.414
pacifier	ειρηνευτής	0.615	0.342	0.356
pacifist	ειρηνιστής	0.663	0.153	0.557
pacify	ειρηνεύω	0.812	0.283	0.629
pacing	βηματοδότηση	0.583	0.551	0.491
pack	πακέτο	0.510	0.347	0.475
package	πακέτο	0.571	0.433	0.443
packaging	συσκευασίας	0.604	0.393	0.549
packer	συσκευαστής	0.520	0.480	0.537
packet	πακέτο	0.582	0.385	0.407
pact	συμφωνία	0.442	0.444	0.593
pad	μπλοκ	0.684	0.279	0.330
padded	γεμισμένο	0.606	0.212	0.371
padding	υλικό παραγεμίσματος	0.561	0.398	0.423
paddle	κουπί	0.561	0.375	0.393
paddle boat	βάρκα με κουπιά	0.663	0.373	0.415
paddock	μάντρα	0.480	0.429	0.481
paddy	αναποφλοίωτο ρύζι	0.653	0.330	0.330
padlock	λουκέτο	0.459	0.284	0.457
padre	NO TRANSLATION	0.684	0.407	0.647
paean	παιάνας	0.552	0.547	0.471
pagan	ειδωλολατρικός	0.292	0.578	0.542
paganism	παγανισμός	0.240	0.640	0.411
page	σελίδα	0.677	0.224	0.278
pageant	πομπή	0.719	0.667	0.651
pager	pager	0.510	0.526	0.554
pagination	σελιδοποίηση	0.459	0.333	0.400
paging	τηλεειδοποίησης	0.542	0.398	0.423
pagoda	παγόδα	0.571	0.259	0.435
pail	κάδος	0.448	0.177	0.188
pain	πόνος	0.012	0.765	0.395
pained	πικραμένος	0.112	0.500	0.250
painful	επώδυνος	0.050	0.742	0.330
painfully	οδυνηρά	0.156	0.720	0.407
painkiller	παυσίπονο	0.487	0.312	0.481
painless	ανώδυνος	0.785	0.173	0.491
pains	κόποι	0.106	0.673	0.362
painstaking	επιμελής	0.396	0.335	0.386
paint	χρώμα	0.667	0.343	0.413
paintball	paintball	0.615	0.745	0.537
paintbrush	πινελο ΖΩΓΡΑΦΙΚΗΣ	0.714	0.226	0.353
painted	ζωγραφισμένο	0.667	0.333	0.424
painter	ζωγράφος	0.677	0.366	0.487
painting	ζωγραφική	0.792	0.324	0.333
pair	ζεύγος	0.552	0.317	0.304
paisley	είδος μάλλινου υφάσματος	0.531	0.327	0.347
pajama	πυτζάμα	0.908	0.157	0.245
pajamas	πιζάμες	0.719	0.170	0.264
pal	φιλαράκος	0.812	0.426	0.596
palace	παλάτι	0.878	0.510	0.804
palatable	εύγευστος	0.823	0.500	0.594
palate	γεύση	0.625	0.350	0.358
pale	χλωμός	0.281	0.259	0.245
paleontology	παλαιοντολογία	0.438	0.308	0.617
palette	παλέτα	0.590	0.333	0.205
pall	ξεθυμαίνω	0.277	0.387	0.394
palladium	παλλάδιο	0.470	0.380	0.393
pallet	αχυρόστρωμα	0.604	0.241	0.349
palliative	πραϋντικό	0.548	0.394	0.518
palm	παλάμη	0.531	0.194	0.340
palmer	προσκυνητής	0.480	0.269	0.413
palomino	palomino	0.616	0.349	0.396
palpable	χειροπιαστός	0.552	0.343	0.611
palpitations	αίσθημα παλμών	0.417	0.702	0.528
palsy	παράλυση	0.083	0.446	0.221
paltry	ασήμαντος	0.333	0.491	0.320
pamper	παραχαϊδεύω	0.792	0.321	0.348
pamphlet	φυλλάδιο	0.530	0.250	0.327
pan	τηγάνι	0.734	0.182	0.364
panacea	πανάκεια	0.420	0.427	0.613
panache	καμάρι	0.510	0.363	0.306
pancake	τηγανίτα	0.802	0.274	0.364
pancakes	τηγανίτες	0.844	0.373	0.402
pancreas	παγκρέας	0.469	0.302	0.366
panda	αρκτοειδές ζώο της ασίας	0.646	0.194	0.406
pandemic	πανδημία ιατρική	0.160	0.790	0.544
pandemonium	πανδαιμόνιο	0.229	0.885	0.500
pane	τζάμι	0.385	0.250	0.444
panel	πίνακας	0.469	0.321	0.425
pang	NO TRANSLATION	0.146	0.595	0.455
panhandle	επαιτώ	0.441	0.431	0.414
panic	πανικός	0.062	0.938	0.400
panicattack	NO TRANSLATION	0.255	0.724	0.386
panicked	πανικοβλημένος	0.100	0.949	0.260
panicking	πανικού	0.094	0.882	0.333
panicky	πανικόβλητος	0.284	0.962	0.393
panier	NO TRANSLATION	0.500	0.392	0.380
panorama	πανόραμα	0.719	0.402	0.625
panoramic	πανοραματικός	0.542	0.462	0.684
pansy	πανσές	0.653	0.283	0.589
pant	λαχανιάζω	0.448	0.463	0.409
pantheon	πάνθεο	0.144	0.410	0.610
panther	πανθήρ	0.303	0.594	0.682
panties	κιλότα	0.594	0.529	0.312
pantomime	παντομίμα	0.552	0.481	0.385
pantry	ντουλάπι	0.622	0.294	0.312
pants	παντελόνι	0.673	0.320	0.333
panty	εσώρουχα	0.451	0.557	0.303
pantyhose	παντελόνι	0.570	0.539	0.250
pap	χυλός	0.438	0.403	0.302
papa	μπαμπάς	0.656	0.340	0.527
papacy	παπισμός	0.481	0.263	0.553
papal	NO TRANSLATION	0.493	0.304	0.559
papaya	παπάγια	0.630	0.306	0.300
paper	χαρτί	0.520	0.123	0.293
paperback	βιβλίο τσέπης	0.633	0.269	0.314
paperboy	χαρτί	0.521	0.490	0.471
paperweight	βάρος χαρτιού	0.421	0.278	0.433
paperwork	χαρτιά	0.448	0.355	0.422
paprika	πάπρικα	0.417	0.250	0.264
papyrus	πάπυρος	0.459	0.240	0.324
par	NO TRANSLATION	0.615	0.372	0.429
parable	παραβολή	0.479	0.357	0.525
parabola	παραβολή	0.542	0.413	0.620
parabolic	παραβολικός	0.459	0.509	0.500
parachute	αλεξίπτωτο	0.562	0.787	0.564
parade	παρέλαση	0.792	0.685	0.509
paradigm	παράδειγμα	0.573	0.429	0.779
paradise	παράδεισος	0.875	0.540	0.796
paradox	παράδοξο	0.417	0.442	0.482
paradoxical	παράδοξος	0.406	0.547	0.433
paraffin	παραφίνη	0.426	0.291	0.343
paragon	υπόδειγμα	0.490	0.431	0.473
paragraph	παράγραφος	0.510	0.164	0.269
parakeet	είδος παπαγάλου	0.576	0.387	0.227
paralegal	paralegal	0.479	0.470	0.519
parallax	παράλλαξη	0.437	0.394	0.471
parallel	παράλληλο	0.568	0.284	0.465
parallelism	παραλληλισμός	0.549	0.363	0.527
paralysis	παράλυση	0.156	0.500	0.305
paralyze	παραλύω	0.188	0.367	0.471
paralyzed	παράλυση	0.194	0.480	0.198
paramedic	παραϊατρικό	0.673	0.464	0.636
paramedics	παραϊατρικών	0.479	0.594	0.712
paramilitary	παραστρατιωτικός	0.154	0.804	0.727
paramount	κυρίαρχος	0.771	0.615	0.902
paranoia	παράνοια	0.146	0.841	0.407
paranoid	παρανοΪκός	0.122	0.918	0.364
paranormal	παραφυσικά	0.167	0.814	0.560
parapet	στηθαίο	0.450	0.356	0.279
paraphernalia	σύνεργα	0.443	0.726	0.509
paraphrase	παράφραση	0.500	0.375	0.444
paraplegic	παραπληγικός	0.188	0.441	0.321
parasite	παράσιτο	0.092	0.442	0.324
parasitic	παρασιτικός	0.037	0.600	0.364
parasol	αλεξήλιο	0.604	0.255	0.304
parcel	δέμα	0.660	0.324	0.411
parcels	αγροτεμάχια	0.551	0.445	0.418
parched	κατάξηρος	0.250	0.235	0.255
parchment	περγαμηνή	0.615	0.228	0.455
pardon	συγνώμη	0.552	0.413	0.542
pare	NO TRANSLATION	0.500	0.356	0.309
parenchyma	παρέγχυμα	0.500	0.399	0.595
parent	μητρική εταιρεία	0.812	0.357	0.860
parentage	καταγωγή	0.903	0.382	0.595
parental	γονικός	0.760	0.430	0.627
parenthesis	NO TRANSLATION	0.510	0.255	0.380
parenthetical	παρενθετικός	0.490	0.327	0.391
parenthood	γονικής μέριμνας	0.750	0.630	0.782
parenting	γονέων	0.812	0.520	0.676
pariah	παρίας	0.397	0.478	0.293
parietal	πλευρικός	0.481	0.333	0.491
paring	φλούδι	0.429	0.441	0.324
parish	ενορία	0.698	0.354	0.582
parity	ισοτιμία	0.582	0.406	0.407
park	πάρκο	0.816	0.343	0.414
parka	parka	0.469	0.481	0.395
parking	στάθμευση	0.777	0.469	0.510
parkinsons	πάρκινσον	0.104	0.570	0.373
parlance	ομιλία	0.510	0.350	0.462
parlay	στοιχηματίζω το κεφάλαιον	0.469	0.611	0.483
parliament	κοινοβούλιο	0.573	0.540	0.858
parliamentary	κοινοβουλευτικός	0.490	0.554	0.755
parlor	σαλόνι	0.500	0.327	0.366
parmesan	παρμεζάνα	0.698	0.321	0.382
parody	παρωδία	0.561	0.651	0.375
parole	λόγος τιμής	0.388	0.620	0.526
parquet	παρκέ	0.541	0.240	0.422
parrot	παπαγάλος	0.588	0.333	0.292
parry	αποφεύγω	0.510	0.404	0.436
parse	αναλύω πρόταση	0.469	0.456	0.667
parsimonious	φειδωλός	0.417	0.312	0.446
parsimony	οικονομία	0.449	0.280	0.403
parsley	μαϊντανός	0.458	0.170	0.291
parson	εφημέριος	0.583	0.250	0.615
part	μέρος	0.663	0.278	0.360
partake	συμμετέχω	0.755	0.656	0.629
partial	μερικός	0.429	0.324	0.348
partiality	μεροληψία	0.375	0.380	0.490
partially	εν μέρει	0.418	0.368	0.396
participant	συμμέτοχος	0.712	0.598	0.613
participate	συμμετέχω	0.755	0.580	0.684
participation	συμμετοχή	0.781	0.700	0.702
particle	σωματίδιο	0.521	0.265	0.438
particular	ιδιαιτερος	0.562	0.402	0.552
particularity	λεπτομέρεια	0.670	0.434	0.586
particulars	λεπτομέρειες	0.604	0.348	0.525
parting	χωρίστρα	0.260	0.542	0.353
partisan	οπαδός	0.615	0.549	0.669
partisanship	κομματισμός	0.438	0.566	0.551
partition	χώρισμα	0.615	0.469	0.567
partly	εν μέρει	0.415	0.410	0.396
partner	εταίρος	0.673	0.302	0.586
partnership	συνεταιρισμός	0.786	0.387	0.545
partridge	πέρδικα	0.583	0.415	0.250
parts	εξαρτήματα	0.459	0.327	0.392
party	κόμμα	0.948	0.840	0.547
pas	NO TRANSLATION	0.490	0.344	0.262
pass	πέρασμα	0.510	0.324	0.362
passable	μέτριος	0.688	0.337	0.633
passage	πέρασμα	0.429	0.314	0.370
passageway	διάδρομος	0.490	0.389	0.400
passe	NO TRANSLATION	0.531	0.357	0.426
passenger	επιβάτης	0.717	0.413	0.481
passim	NO TRANSLATION	0.458	0.491	0.333
passing	πέρασμα	0.458	0.298	0.509
passion	πάθος	0.854	0.865	0.728
passionate	παθιασμένος	0.990	0.827	0.731
passive	παθητικός	0.420	0.116	0.241
passivity	παθητικότητα	0.241	0.115	0.246
passkey	αντικλείδι	0.646	0.500	0.791
passport	διαβατήριο	0.653	0.457	0.682
password	Κωδικός πρόσβασης	0.390	0.356	0.559
past	το παρελθόν	0.490	0.422	0.311
pasta	ζυμαρικά	0.615	0.306	0.375
paste	Επικόλληση	0.500	0.556	0.500
pastel	παστέλ	0.719	0.357	0.367
pastime	απασχόληση	0.677	0.353	0.443
pastor	πάστορας	0.698	0.236	0.746
pastrami	καπνιστό βοδινό κρέας	0.542	0.415	0.348
pastry	ζύμη	0.870	0.407	0.419
pasture	βοσκή	0.688	0.145	0.170
pasty	ζυμώδης	0.479	0.363	0.375
pat	ελαφρό κτύπημα	0.418	0.377	0.340
patch	κηλίδα	0.439	0.288	0.283
patchwork	κουρελού	0.500	0.260	0.325
pate	πατέ	0.406	0.260	0.260
patella	επιγονάτις	0.430	0.260	0.342
patent	ευρεσιτεχνία	0.724	0.391	0.609
patented	πατενταρισμένο	0.571	0.422	0.685
paternal	πατρικός	0.776	0.353	0.755
paternity	πατρότητα	0.704	0.590	0.806
path	μονοπάτι	0.590	0.245	0.421
pathetic	αξιολύπητο	0.088	0.464	0.139
pathological	παθολογικός	0.220	0.602	0.580
pathologist	παθολόγος	0.354	0.552	0.585
pathology	παθολογία	0.271	0.560	0.558
pathos	NO TRANSLATION	0.350	0.449	0.462
pathway	μονοπάτι	0.646	0.410	0.519
patience	υπομονή	0.771	0.125	0.387
patient	υπομονετικος	0.583	0.193	0.340
patio	πλακόστρωτη εσωτερική αυλή	0.562	0.245	0.402
patriarch	πατριάρχης	0.592	0.448	0.898
patriarchal	πατριαρχικός	0.531	0.500	0.857
patrimony	κληρονομία	0.719	0.406	0.740
patriot	πατριώτης	0.771	0.635	0.886
patriotic	πατριωτικός	0.875	0.509	0.933
patriotism	πατριωτισμός	0.708	0.635	0.848
patrol	περιπολία	0.427	0.664	0.736
patrolman	φρουρός	0.469	0.731	0.884
patron	προστάτης	0.583	0.451	0.870
patronage	προστασία	0.583	0.490	0.583
patronising	προστατευτικός	0.439	0.455	0.582
patronize	υποστηρίζω	0.430	0.451	0.591
patronizing	προστατευτικός	0.542	0.365	0.529
patter	κορακίστικα	0.312	0.635	0.451
pattern	πρότυπο	0.479	0.422	0.664
paucity	σπάνις	0.153	0.453	0.175
pauper	άπορος	0.260	0.347	0.151
pause	παύση	0.429	0.188	0.264
pave	ετοιμάζω τον δρόμον	0.594	0.490	0.509
pavement	πεζοδρόμιο	0.460	0.353	0.475
pavilion	περίπτερο	0.583	0.500	0.770
paving	λιθόστρωση	0.408	0.469	0.545
paw	πόδι ζώου	0.417	0.360	0.286
pawn	πιόνι	0.390	0.321	0.187
pawnshop	ενεχυροδανειστήριο	0.396	0.439	0.519
pax	μικρός σταυρός	0.551	0.421	0.473
pay	πληρωμή	0.514	0.588	0.592
payable	πληρωτέος	0.385	0.480	0.606
payback	αποπληρωμή	0.459	0.500	0.567
paycheck	εκκαθαριστικό σημείωμα	0.896	0.630	0.652
payday	ημέρα πληρωμής	0.833	0.741	0.571
payer	πληρωτής	0.313	0.630	0.638
payload	φορτίο επί πληρωμή	0.612	0.510	0.682
payment	πληρωμή	0.629	0.452	0.643
payoff	εξόφληση	0.740	0.644	0.673
payout	πληρωμή	0.646	0.600	0.575
payphone	τηλέφωνο	0.469	0.360	0.370
payroll	κατάσταση μισθοδοσίας	0.521	0.360	0.549
pea	μπιζέλι	0.580	0.275	0.298
peace	ειρήνη	0.939	0.156	0.613
peaceable	φιλήσυχος	0.776	0.134	0.453
peaceful	ειρηνικός	0.867	0.108	0.569
peacefully	ειρηνικά	0.901	0.190	0.639
peacekeeper	ειρηνευτής	0.865	0.320	0.644
peaceofmind	NO TRANSLATION	0.786	0.160	0.519
peacetime	χρόνο ειρήνης	0.949	0.180	0.579
peach	ροδάκινο	0.704	0.480	0.272
peachy	έξοχος	0.755	0.479	0.388
peacock	παγώνι	0.786	0.449	0.458
peak	κορυφή	0.500	0.345	0.431
peaked	ισχνός	0.677	0.704	0.857
peanut	αράπικο φιστίκι	0.646	0.202	0.246
peanuts	φιστίκια	0.542	0.294	0.324
pear	αχλάδι	0.677	0.158	0.241
pearl	μαργαριτάρι	0.905	0.425	0.642
pearly	μαργαριτώδης	0.635	0.337	0.373
peas	αρακάς	0.542	0.283	0.310
peasant	χωρικός	0.530	0.275	0.407
peat	τύρφη	0.333	0.655	0.504
pebble	χαλίκι	0.354	0.353	0.287
pecan	πέκαν	0.552	0.316	0.358
peck	τσιμπώ	0.202	0.530	0.321
pecker	ψωλή	0.459	0.509	0.375
peculiar	ιδιόμορφος	0.600	0.491	0.564
peculiarities	ιδιαιτερότητες	0.511	0.460	0.528
peculiarity	ιδιορρυθμία	0.439	0.452	0.652
peculiarly	ιδιαιτέρως	0.615	0.450	0.454
pecuniary	χρηματικός	0.490	0.490	0.500
pedal	πετάλι	0.500	0.320	0.342
pedantic	σχολαστικός	0.229	0.608	0.253
peddle	είμαι γυρολόγος	0.539	0.549	0.538
peddler	γυρολόγος	0.408	0.481	0.390
pedestal	βάθρο	0.735	0.284	0.579
pedestrian	πεζός	0.438	0.360	0.448
pediatric	παιδιατρικός	0.560	0.462	0.490
pediatrician	παιδίατρος	0.602	0.500	0.627
pediatrics	παιδιατρική	0.750	0.380	0.596
pedicure	πεντικιούρ	0.695	0.269	0.296
pedigree	γενεαλογικο δεντρο	0.625	0.340	0.609
pedometer	βηματόμετρο	0.469	0.561	0.405
pedophile	παιδεραστ	0.051	0.724	0.430
pee	κατούρημα	0.449	0.529	0.391
peek	κρυφοκοίταγμα	0.486	0.360	0.411
peekaboo	peekaboo	0.592	0.607	0.412
peel	φλούδα	0.439	0.250	0.279
peep	κρυφοκοιτάζω	0.573	0.317	0.269
peeper	ηδονοβλεψίας	0.182	0.537	0.343
peephole	κούμπωμα	0.479	0.500	0.310
peer	ομότιμων	0.458	0.321	0.569
peering	peering	0.514	0.409	0.451
peerless	απαράμιλλος	0.688	0.450	0.462
peeved	κοίταξε	0.156	0.750	0.467
peg	πάσσαλος	0.520	0.357	0.393
pegs	μανταλάκια	0.408	0.286	0.386
peice	NO TRANSLATION	0.479	0.422	0.398
pelagic	πελαγικός	0.521	0.554	0.491
pelican	πελεκάνος	0.573	0.391	0.380
pellet	σφαιρίδιο	0.448	0.390	0.466
pelvic	λεκανικός	0.320	0.632	0.373
pelvis	λεκάνη	0.378	0.618	0.380
pen	στυλό	0.622	0.194	0.250
penal	ποινικός	0.208	0.565	0.610
penalty	ποινή	0.062	0.490	0.240
penance	μετάνοια	0.219	0.667	0.463
penchant	κλίση	0.688	0.480	0.609
pencil	μολύβι	0.552	0.200	0.263
pendant	κρεμαστό κόσμημα	0.676	0.321	0.385
pendency	εκκρεμότης	0.396	0.452	0.472
pendent	NO TRANSLATION	0.470	0.380	0.425
pending	εκκρεμής	0.396	0.441	0.473
pendulum	εκκρεμές	0.542	0.368	0.434
penetrate	διαπερνώ	0.287	0.877	0.732
penetrating	διαπεραστικός	0.469	0.792	0.782
penetration	διείσδυση	0.438	0.885	0.792
penguin	πιγκουίνος	0.615	0.296	0.307
penicillin	πενικιλλίνη	0.417	0.431	0.566
penile	πέος	0.490	0.736	0.491
peninsula	χερσόνησος	0.551	0.384	0.627
penis	πέος	0.354	0.810	0.556
penitent	μετανοών	0.542	0.530	0.508
penitentiary	αναμορφωτήριο	0.229	0.726	0.491
penmanship	καλλιγραφία	0.677	0.284	0.509
pennant	σήμα	0.542	0.380	0.426
penniless	αδέκαρος	0.062	0.316	0.083
penny	σεντ	0.615	0.302	0.324
pension	σύνταξη	0.625	0.409	0.406
pensioner	απόμαχος	0.440	0.245	0.442
pensive	συλλογισμένος	0.540	0.220	0.529
pentagon	πεντάγωνο	0.490	0.636	0.774
pentagram	πενταγράμμου	0.510	0.433	0.466
penthouse	ρετιρέ	0.592	0.430	0.395
penultimate	παραλήγουσα	0.469	0.366	0.255
people	Ανθρωποι	0.604	0.400	0.500
peopled	κατοικημένη	0.594	0.450	0.679
