Word	Swedish-sv	Valence	Arousal	Dominance
inhale	andas in	0.427	0.340	0.492
inhaler	inhalator	0.408	0.500	0.349
inherent	inneboende	0.562	0.439	0.480
inherit	ärva	0.745	0.546	0.694
inheritance	arv	0.900	0.565	0.798
inhibit	hämma	0.167	0.479	0.447
inhibition	hämning	0.265	0.392	0.534
inhibitor	inhibitor	0.281	0.450	0.471
inhospitable	ogästvänlig	0.265	0.531	0.395
inhuman	omänsklig	0.107	0.660	0.492
inhumane	omänsklig	0.104	0.587	0.402
inhumanity	omänsklighet	0.143	0.540	0.405
inimaginable	NO TRANSLATION	0.542	0.636	0.534
inimical	fientlig	0.260	0.823	0.556
inimitable	oefterhärmlig	0.571	0.413	0.790
iniquity	orätt	0.219	0.567	0.425
initial	första	0.583	0.314	0.539
initiate	inleda	0.719	0.480	0.553
initiated	initieras	0.760	0.490	0.650
initiation	initiering	0.698	0.529	0.527
initiative	initiativ	0.833	0.615	0.768
inject	injicera	0.406	0.735	0.596
injection	injektion	0.281	0.741	0.518
injunction	åläggande	0.281	0.422	0.519
injure	skada	0.177	0.710	0.364
injured	skadade	0.083	0.680	0.302
injuring	skadade	0.073	0.790	0.245
injurious	skadlig	0.177	0.759	0.366
injury	skada	0.049	0.769	0.287
injustice	orätt	0.082	0.755	0.444
ink	bläck	0.471	0.408	0.235
inkling	aning	0.448	0.551	0.570
inland	inåt landet	0.510	0.417	0.423
inlay	intarsia	0.406	0.531	0.565
inlet	inlopp	0.646	0.378	0.466
inmate	fånge	0.235	0.663	0.398
inn	värdshus	0.660	0.284	0.475
innards	inälvor	0.302	0.480	0.400
innate	medfödd	0.490	0.400	0.521
inner	inre	0.551	0.216	0.443
innermost	innerst	0.583	0.500	0.510
innerpeace	NO TRANSLATION	0.714	0.318	0.551
inning	inningen	0.602	0.315	0.520
innings	omgångar	0.573	0.487	0.443
innkeeper	gästgivare	0.578	0.224	0.472
innocence	oskuld	0.802	0.260	0.307
innocent	oskyldig	0.729	0.206	0.340
innocently	oskyldigt	0.776	0.250	0.302
innocuous	ofarlig	0.510	0.321	0.172
innovate	förnya	0.898	0.872	0.750
innovation	innovation	0.949	0.680	0.890
innovative	innovativ	0.880	0.640	0.830
innuendo	insinuation	0.467	0.670	0.463
innumerable	oräknelig	0.667	0.445	0.704
inoculation	ympning	0.333	0.570	0.598
inoperable	inoperabel	0.184	0.422	0.304
inoperative	verkningslös	0.138	0.425	0.273
inordinate	omåttlig	0.163	0.630	0.330
inorganic	oorganisk	0.385	0.345	0.282
input	inmatning	0.643	0.337	0.527
inquest	inquest	0.458	0.569	0.721
inquire	fråga	0.583	0.519	0.363
inquirer	inquirer	0.573	0.598	0.776
inquiring	frågande	0.479	0.510	0.500
inquiry	förfrågan	0.541	0.420	0.536
inquisitive	frågvis	0.301	0.637	0.615
inquisitor	inkvisitor	0.385	0.873	0.642
insane	sinnessjuk	0.062	0.670	0.265
insanity	vansinne	0.098	0.847	0.337
insatiable	omättlig	0.375	0.656	0.558
inscription	inskrift	0.592	0.422	0.542
inscrutable	outgrundlig	0.459	0.541	0.613
insect	insekt	0.276	0.633	0.242
insecticide	insekticid	0.188	0.598	0.430
insecure	osäker	0.114	0.538	0.132
insecurity	osäkerhet	0.094	0.647	0.350
insemination	insemination	0.542	0.644	0.622
insensitive	okänslig	0.219	0.471	0.302
inseparable	oskiljaktig	0.700	0.520	0.571
insert	Föra in	0.481	0.552	0.519
inserted	införd	0.479	0.402	0.476
insertion	införande	0.521	0.520	0.565
inside	inuti	0.612	0.404	0.472
insider	insider	0.625	0.562	0.750
insidious	smygande	0.146	0.622	0.480
insight	insikt	0.613	0.363	0.649
insightful	insiktsfull	0.664	0.691	0.713
insignia	insignier	0.665	0.282	0.685
insignificance	obetydlighet	0.250	0.216	0.222
insignificant	obetydlig	0.083	0.306	0.114
insinuate	insinuera	0.292	0.635	0.413
insipid	fadd	0.214	0.250	0.241
insist	insistera	0.635	0.651	0.688
insistence	krav	0.418	0.704	0.645
insistent	påträngande	0.552	0.635	0.701
insists	insisterar	0.490	0.587	0.610
insolence	fräckhet	0.115	0.731	0.402
insolent	oförskämd	0.112	0.663	0.343
insoluble	olöslig	0.439	0.290	0.414
insolvency	insolvens	0.323	0.431	0.300
insolvent	insolvent	0.230	0.481	0.318
insomnia	sömnlöshet	0.198	0.611	0.373
insomniac	sömnlös person	0.231	0.367	0.329
inspect	inspektera	0.479	0.603	0.793
inspection	inspektion	0.459	0.630	0.718
inspector	inspektör	0.418	0.580	0.852
inspiration	inspiration	0.938	0.600	0.779
inspirational	inspirera	0.927	0.720	0.810
inspire	inspirera	0.918	0.627	0.759
inspired	inspirerad	0.967	0.702	0.736
instability	instabilitet	0.177	0.760	0.353
install	Installera	0.630	0.583	0.736
installation	installation	0.656	0.469	0.759
installment	avbetalning	0.619	0.396	0.483
instance	exempel	0.547	0.450	0.558
instant	omedelbar	0.766	0.454	0.554
instantaneous	momentan	0.750	0.500	0.585
instantaneously	ögonblickligen	0.656	0.640	0.600
instigate	anstifta	0.278	0.765	0.642
instigation	anstiftan	0.323	0.769	0.648
instill	ingjuta	0.562	0.490	0.618
instinct	instinkt	0.771	0.602	0.642
instinctive	instinktiv	0.752	0.575	0.694
institute	inleda	0.604	0.480	0.807
institution	institution	0.580	0.311	0.790
instruct	instruera	0.729	0.490	0.833
instructed	instrueras	0.740	0.388	0.722
instruction	instruktion	0.656	0.434	0.736
instructional	instruktions-	0.698	0.500	0.773
instructions	instruktioner	0.582	0.302	0.556
instructive	lärorik	0.583	0.420	0.643
instructor	instruktör	0.771	0.490	0.782
instrument	instrument	0.562	0.537	0.655
instrumental	instrumental	0.740	0.472	0.647
instrumentalist	instrumentalist	0.656	0.540	0.740
instrumentality	instrumentality	0.637	0.510	0.618
insubordination	olydnad	0.281	0.775	0.634
insufferable	olidlig	0.220	0.784	0.291
insufficiency	insufficiens	0.115	0.431	0.210
insufficient	otillräcklig	0.188	0.380	0.093
insufficiently	otillräckligt	0.147	0.509	0.198
insular	trångsynt	0.531	0.426	0.465
insulate	isolera	0.365	0.358	0.286
insulated	isolerade	0.208	0.265	0.304
insulation	isolering	0.245	0.327	0.264
insulin	insulin	0.429	0.472	0.375
insult	förolämpning	0.085	0.831	0.389
insulting	kränkande	0.094	0.840	0.412
insurance	försäkring	0.714	0.308	0.825
insure	försäkra	0.700	0.415	0.698
insurgent	rebellisk	0.235	0.735	0.660
insurmountable	oöverstiglig	0.620	0.627	0.737
insurrection	uppror	0.229	0.706	0.582
intact	intakt	0.716	0.212	0.602
intake	intag	0.604	0.527	0.442
intangible	immateriell	0.525	0.480	0.473
integer	heltal	0.573	0.327	0.595
integral	väsentlig	0.590	0.337	0.615
integrate	integrera	0.729	0.390	0.700
integration	integration	0.771	0.480	0.737
integrity	integritet	0.865	0.413	0.848
intellect	intellekt	0.844	0.418	0.870
intellectual	intellektuell	0.906	0.455	0.845
intelligence	intelligens	0.833	0.587	0.885
intelligent	intelligent	0.917	0.541	0.868
intelligibility	begriplighet	0.740	0.481	0.689
intelligible	begriplig	0.635	0.480	0.691
intend	avsikt	0.562	0.520	0.519
intended	avsedd	0.406	0.542	0.587
intending	avsikt	0.510	0.567	0.597
intense	intensiv	0.592	0.774	0.679
intensely	intensivt	0.694	0.846	0.750
intensify	intensifiera	0.604	0.870	0.737
intensity	intensitet	0.622	0.930	0.952
intensive	intensiv	0.570	0.842	0.776
intent	avsikt	0.550	0.481	0.500
intention	avsikt	0.531	0.480	0.636
intentional	avsiktlig	0.650	0.615	0.750
intentionally	avsiktligt	0.450	0.676	0.696
inter	bland	0.510	0.375	0.466
interact	påverka varandra	0.822	0.690	0.759
interaction	interaktion	0.646	0.735	0.750
interactive	interaktiv	0.727	0.811	0.770
intercede	medla	0.582	0.577	0.630
intercept	snappa upp	0.221	0.660	0.676
interception	uppsnappande	0.327	0.673	0.643
intercession	förbön	0.503	0.486	0.598
interchange	utbyte	0.615	0.527	0.565
interchangeable	utbytbar	0.615	0.459	0.526
interchanged	utbytas	0.396	0.472	0.434
intercom	intercom	0.623	0.429	0.453
intercourse	umgänge	0.551	0.608	0.557
interdependence	ömsesidigt beroende	0.608	0.618	0.639
interdependent	beroende av varandra	0.410	0.482	0.598
interdiction	förbud	0.337	0.500	0.585
interest	intressera	0.780	0.667	0.618
interested	intresserad	0.750	0.529	0.725
interesting	intressant	0.927	0.726	0.731
interface	gränssnitt	0.643	0.357	0.600
interfere	blanda sig i	0.323	0.714	0.471
interference	interferens	0.396	0.736	0.357
interferometer	interferometer	0.510	0.510	0.517
intergalactic	intergalaktisk	0.562	0.661	0.741
interim	tillfällig	0.604	0.400	0.524
interior	interiör	0.618	0.157	0.462
interject	interject	0.333	0.648	0.658
interlocutory	interimistiska	0.490	0.500	0.527
interlude	mellanspel	0.470	0.417	0.377
intermediary	mellanhand	0.427	0.510	0.643
intermediate	mellanliggande	0.480	0.368	0.400
interment	begravning	0.235	0.608	0.346
interminable	oändlig	0.327	0.481	0.561
intermission	paus	0.490	0.360	0.402
intermittent	intermittent	0.337	0.565	0.436
intern	internera	0.459	0.460	0.392
internal	inre	0.439	0.349	0.423
internally	internt	0.615	0.400	0.616
international	internationell	0.800	0.519	0.702
internet	internet	0.760	0.462	0.755
internship	praktik	0.590	0.510	0.482
interoffice	interoffice	0.439	0.375	0.556
interpolate	interpolera	0.460	0.490	0.569
interpolation	interpolation	0.419	0.506	0.528
interpret	tolka	0.646	0.625	0.673
interpretation	tolkning	0.677	0.594	0.620
interpreter	tolk	0.708	0.461	0.596
interpretive	tolkande	0.531	0.549	0.595
interrelated	sammanhängande	0.615	0.469	0.592
interrogate	förhöra	0.323	0.808	0.680
interrogation	förhör	0.302	0.827	0.657
interrupt	avbryta	0.210	0.635	0.509
interrupted	avbruten	0.281	0.559	0.333
interrupting	avbryter	0.146	0.593	0.509
interruption	avbrott	0.184	0.632	0.425
interrupts	avbrott	0.204	0.545	0.389
intersect	korsas	0.521	0.510	0.480
intersection	genomskärning	0.344	0.541	0.658
interstate	mellanstatlig	0.520	0.443	0.600
interstellar	interstellär	0.708	0.702	0.622
interstitial	interstitial	0.333	0.471	0.534
interval	intervall	0.510	0.284	0.400
intervene	ingripa	0.520	0.677	0.768
intervening	mellanliggande	0.398	0.627	0.442
intervention	intervention	0.388	0.696	0.689
interview	intervju	0.573	0.770	0.619
interviewer	intervjuare	0.552	0.736	0.816
interworking	samverkan	0.552	0.587	0.691
intestate	state	0.459	0.467	0.415
intestinal	tarm-	0.357	0.531	0.370
intestine	tarm	0.343	0.450	0.380
intestines	tarmar	0.292	0.547	0.398
intimacy	intimitet	0.857	0.802	0.558
intimate	intim	0.724	0.598	0.393
intimately	intimt	0.806	0.573	0.590
intimation	antydan	0.406	0.673	0.500
intimidate	skrämma	0.210	0.804	0.632
intimidated	skräms	0.177	0.663	0.208
intimidating	hotfull	0.229	0.790	0.708
intimidation	skrämsel	0.177	0.791	0.644
intolerable	outhärdlig	0.146	0.660	0.439
intolerance	intolerans	0.052	0.704	0.520
intolerant	intolerant	0.135	0.676	0.509
intonation	intonation	0.615	0.442	0.598
intoxicated	berusade	0.079	0.824	0.246
intoxicating	berusande	0.224	0.760	0.464
intoxication	berusning	0.323	0.710	0.400
intracranial	intrakraniell	0.281	0.602	0.553
intractable	svårbehandlad	0.154	0.694	0.302
intramural	intramural	0.490	0.464	0.447
intravenous	intravenös	0.357	0.538	0.458
intrepid	orädda	0.753	0.696	0.637
intricate	invecklad	0.559	0.704	0.500
intrigue	intrig	0.362	0.830	0.327
intriguing	fängslande	0.422	0.713	0.462
intrinsic	inneboende	0.406	0.471	0.526
intrinsically	i sig själv	0.459	0.382	0.538
intro	intro	0.510	0.331	0.657
introduce	införa	0.592	0.559	0.648
introduction	introduktion	0.612	0.413	0.640
introductory	inledande	0.635	0.368	0.593
introspection	introspektion	0.603	0.337	0.575
introspective	introspektiv	0.552	0.360	0.471
intrude	inkräkta	0.058	0.735	0.480
intruder	inkräktare	0.146	0.740	0.324
intrusion	intrång	0.293	0.641	0.670
intrusive	påträngande	0.461	0.607	0.538
intubation	intubation	0.276	0.598	0.526
intuition	intuition	0.857	0.508	0.602
intuitive	intuitiv	0.771	0.573	0.690
intuitively	intuitivt	0.670	0.561	0.648
inundation	översvämning	0.177	0.780	0.455
invade	invadera	0.408	0.892	0.714
invader	inkräktare	0.200	0.827	0.618
invalid	ogiltig	0.180	0.330	0.255
invalidate	ogiltigförklara	0.315	0.480	0.397
invalidation	annullering	0.181	0.490	0.278
invalidity	invaliditet	0.186	0.394	0.158
invaluable	ovärderlig	0.740	0.500	0.745
invariably	ständigt	0.458	0.365	0.550
invasion	invasion	0.271	0.843	0.808
invasive	invasiv	0.194	0.730	0.598
invent	uppfinna	0.719	0.689	0.833
invention	uppfinning	0.714	0.577	0.811
inventive	uppfinningsrik	0.780	0.627	0.721
inventor	uppfinnare	0.781	0.667	0.847
inventory	lager	0.594	0.463	0.490
inverse	omvänd	0.459	0.337	0.319
inversely	omvänt	0.286	0.418	0.351
inversion	inversion	0.602	0.630	0.772
invert	invertera	0.510	0.585	0.706
inverted	omvänd	0.310	0.471	0.357
invest	investera	0.650	0.663	0.682
investigate	undersöka	0.640	0.500	0.781
investigation	undersökning	0.531	0.592	0.820
investigative	undersökande	0.562	0.600	0.704
investigator	forskare	0.615	0.509	0.779
investment	investering	0.720	0.592	0.745
investor	investerare	0.794	0.655	0.791
invidious	orättvis	0.112	0.650	0.364
invigorate	stärka	0.821	0.798	0.831
invincible	oövervinnerlig	0.867	0.853	0.914
invisibility	osynlighet	0.438	0.461	0.382
invisible	osynlig	0.417	0.345	0.412
invitation	inbjudan	0.802	0.549	0.647
invite	inbjudan	0.745	0.655	0.611
inviting	inbjudande	0.938	0.571	0.538
invocation	åkallan	0.430	0.620	0.673
invoice	faktura	0.480	0.380	0.474
invoke	åberopa	0.583	0.740	0.579
involuntary	oavsiktlig	0.354	0.490	0.231
involution	involution	0.296	0.420	0.407
involve	engagera	0.694	0.490	0.728
involvement	medverkan	0.760	0.620	0.696
invulnerable	osårbar	0.552	0.683	0.745
inwards	inåt	0.490	0.385	0.438
iodine	jod	0.390	0.265	0.333
ion	Jon	0.429	0.330	0.408
iota	iota	0.344	0.385	0.314
irate	ilsken	0.188	0.852	0.474
ire	NO TRANSLATION	0.198	0.740	0.575
iridescent	regnbågsskimrande	0.602	0.588	0.539
iris	iris	0.708	0.275	0.380
irked	irked	0.164	0.791	0.353
irks	irriterar	0.276	0.781	0.339
iron	järn	0.448	0.351	0.679
ironclad	ironclad	0.561	0.648	0.679
ironic	Ironisk	0.435	0.550	0.500
irons	järn	0.531	0.441	0.625
irony	ironi	0.390	0.587	0.508
irradiation	bestrålning	0.385	0.736	0.509
irrational	irrationell	0.125	0.648	0.394
irrationality	irrationella	0.198	0.735	0.361
irreconcilable	oförenlig	0.146	0.667	0.375
irreducible	oreducerbar	0.296	0.455	0.569
irrefutable	obestridlig	0.496	0.549	0.716
irregular	oregelbunden	0.312	0.548	0.321
irregularity	oegentlighet	0.104	0.647	0.306
irregularly	oregelbundet	0.292	0.565	0.397
irrelevant	irrelevant	0.138	0.311	0.296
irreparable	irreparabel	0.061	0.530	0.430
irreplaceable	oersättlig	0.479	0.580	0.833
irrepressible	okuvlig	0.512	0.566	0.745
irresistible	oemotståndlig	0.823	0.833	0.839
irrespective	oavsett	0.497	0.538	0.745
irresponsible	oansvarig	0.177	0.680	0.241
irreverent	vanvördig	0.191	0.694	0.634
irreversible	irreversibel	0.170	0.541	0.667
irrevocable	oåterkallelig	0.296	0.560	0.712
irrigate	bevattna	0.272	0.458	0.490
irrigation	bevattning	0.259	0.426	0.426
irritability	irritabilitet	0.146	0.853	0.283
irritable	irritabel	0.112	0.952	0.462
irritate	irritera	0.167	0.890	0.368
irritated	irriterad	0.210	0.816	0.281
irritates	irriterar	0.173	0.810	0.295
irritating	irriterande	0.104	0.912	0.393
irritation	irritation	0.073	0.833	0.496
island	ö	0.745	0.347	0.432
isle	ö	0.667	0.390	0.443
islet	holme	0.612	0.314	0.367
isolate	isolera	0.235	0.422	0.336
isolated	isolerat	0.221	0.356	0.255
isolation	isolering	0.198	0.338	0.339
isomorphism	isomorfi	0.448	0.361	0.481
isothermal	isotermisk	0.459	0.491	0.500
isotope	isotop	0.429	0.404	0.407
issue	problem	0.316	0.819	0.351
itch	klia	0.319	0.610	0.465
itching	klåda	0.208	0.690	0.300
itchy	kliande	0.334	0.726	0.296
item	Artikel	0.594	0.270	0.465
itemize	specificera	0.459	0.527	0.518
items	objekt	0.542	0.401	0.434
iterate	iterera	0.449	0.460	0.440
iteration	iteration	0.531	0.449	0.486
iterative	iterativ	0.429	0.420	0.500
itinerant	ambulerande	0.449	0.545	0.439
itinerary	resväg	0.551	0.550	0.454
ivory	elfenben	0.625	0.235	0.566
jab	stöt	0.385	0.519	0.482
jabber	pladder	0.417	0.506	0.342
jack	jack	0.487	0.450	0.441
jackal	schakal	0.333	0.582	0.436
jackass	åsna	0.188	0.692	0.279
jacket	jacka	0.656	0.302	0.382
jackhammer	pneumatisk hammare	0.199	0.690	0.519
jackpot	jackpott	0.950	0.750	0.786
jackrabbit	jackrabbit	0.625	0.379	0.344
jacks	domkrafter	0.490	0.400	0.505
jade	jade	0.604	0.410	0.455
jaded	utsliten	0.255	0.560	0.400
jag	NO TRANSLATION	0.408	0.440	0.427
jagged	ojämn	0.082	0.462	0.213
jaguar	jaguar	0.559	0.710	0.654
jail	fängelse	0.094	0.898	0.480
jailbird	jailbird	0.240	0.567	0.473
jailbreak	jailbreak	0.354	0.629	0.471
jailer	fångvaktare	0.194	0.630	0.632
jailhouse	jailhouse	0.104	0.887	0.430
jalopy	rishög	0.396	0.436	0.337
jam	sylt	0.510	0.548	0.318
jamboree	jamboree	0.602	0.625	0.351
jammed	fastnat	0.235	0.817	0.411
jammer	jammer	0.417	0.540	0.491
janitor	portvakt	0.510	0.350	0.527
janitorial	vaktmästeri	0.490	0.373	0.481
japan	japan	0.667	0.482	0.580
jar	burk	0.430	0.346	0.318
jargon	jargong	0.333	0.548	0.404
jarhead	jarhead	0.408	0.530	0.464
jarring	skärande	0.210	0.673	0.309
jasmine	jasmin	0.765	0.230	0.286
jasper	jaspis	0.480	0.425	0.402
jaundice	gulsot	0.214	0.480	0.355
jaunt	utfärd	0.808	0.451	0.500
java	java	0.459	0.321	0.343
javelin	spjut	0.385	0.481	0.465
jaw	käke	0.500	0.510	0.420
jawbone	käkben	0.468	0.413	0.342
jaws	käftar	0.385	0.528	0.455
jay	jay	0.531	0.408	0.389
jazz	jazz	0.677	0.362	0.450
jazzy	jazzig	0.725	0.431	0.389
jealous	svartsjuk	0.173	0.855	0.345
jealousy	svartsjuka	0.146	0.783	0.481
jean	jean	0.602	0.444	0.364
jeans	jeans	0.622	0.324	0.371
jeep	jeep	0.602	0.510	0.612
jeering	hånfull	0.266	0.792	0.380
jelly	gelé	0.651	0.294	0.256
jellybean	geleböna	0.592	0.406	0.399
jellyfish	manet	0.531	0.567	0.377
jenny	jenny	0.542	0.406	0.407
jeopardize	äventyra	0.260	0.877	0.582
jeopardy	Jeopardy	0.129	0.908	0.536
jerk	rycka	0.194	0.630	0.238
jerks	ryck	0.214	0.788	0.395
jerky	ryckig	0.233	0.538	0.358
jersey	jersey	0.594	0.317	0.411
jest	NO TRANSLATION	0.520	0.736	0.222
jester	gycklare	0.388	0.670	0.264
jesus	Jesus	0.800	0.400	0.620
jet	jet	0.612	0.721	0.606
jetty	brygga	0.602	0.480	0.453
jewel	juvel	0.827	0.588	0.625
jeweler	juvelerare	0.760	0.482	0.500
jewelry	Smycken	0.823	0.569	0.597
jib	fock	0.406	0.420	0.413
jiff	NO TRANSLATION	0.576	0.404	0.349
jiffy	ögonblick	0.410	0.444	0.380
jig	jigg	0.531	0.396	0.357
jiggle	vicka	0.592	0.673	0.518
jigsaw	kontursåg	0.594	0.582	0.519
jihad	jihad	0.323	0.660	0.444
jimmy	jimmy	0.579	0.321	0.311
jingle	klingande	0.635	0.500	0.424
jinx	jinx	0.337	0.582	0.373
jitters	panik	0.224	0.918	0.192
jittery	skakis	0.344	0.856	0.255
jive	jive	0.561	0.551	0.373
job	jobb	0.694	0.541	0.717
jobinterview	NO TRANSLATION	0.684	0.837	0.723
jock	jock	0.592	0.656	0.473
jockey	jockey	0.562	0.644	0.703
jockstrap	suspensoar	0.347	0.431	0.390
jog	jogga	0.510	0.708	0.519
jogger	joggare	0.417	0.510	0.424
john	john	0.562	0.382	0.327
join	Ansluta sig	0.729	0.479	0.684
joined	fogade	0.667	0.394	0.600
joining	sammanfogning	0.755	0.469	0.685
joint	gemensam	0.615	0.392	0.566
jointly	gemensamt	0.708	0.425	0.602
joke	skämt	0.704	0.610	0.316
joker	joker	0.771	0.760	0.416
joking	skojar	0.776	0.839	0.407
jolly	glad	0.959	0.705	0.708
jolt	ryck	0.365	0.708	0.358
jornada	NO TRANSLATION	0.417	0.500	0.533
jot	anteckna	0.406	0.323	0.350
jour	NO TRANSLATION	0.479	0.394	0.415
journal	tidning	0.688	0.240	0.352
journalism	journalistik	0.622	0.500	0.684
journalist	journalist	0.542	0.452	0.732
journalistic	journalistisk	0.696	0.449	0.495
journey	resa	0.910	0.702	0.625
journeyman	gesäll	0.765	0.596	0.741
joust	tornera	0.520	0.528	0.551
jovial	gladlynt	0.823	0.460	0.526
joy	glädje	0.980	0.824	0.794
joyful	glad	0.990	0.740	0.667
joyous	glad	0.958	0.580	0.728
joyride	nöjestur	0.694	0.550	0.500
joys	glädje	0.981	0.643	0.651
jubilant	jublande	0.844	0.673	0.664
jubilee	jubileum	0.916	0.500	0.579
judge	bedöma	0.510	0.604	0.857
judged	bedöms	0.281	0.686	0.722
judging	bedömning	0.240	0.625	0.693
judgment	dom	0.396	0.600	0.816
judgmental	dömande	0.330	0.602	0.579
judicial	rättslig	0.378	0.667	0.833
judiciary	dömande	0.439	0.740	0.897
judicious	klok	0.630	0.432	0.772
judo	judo	0.500	0.790	0.612
jug	kanna	0.520	0.250	0.213
juggle	jonglera	0.594	0.760	0.426
juggler	jonglör	0.633	0.821	0.480
juggling	jonglering	0.562	0.874	0.346
jugular	jugular	0.271	0.573	0.426
juice	juice	0.776	0.281	0.352
juicer	juicepress	0.552	0.520	0.564
juicy	saftig	0.823	0.529	0.490
juju	NO TRANSLATION	0.541	0.519	0.206
juke	juke	0.500	0.491	0.410
jukebox	jukebox	0.699	0.540	0.429
jumble	virrvarr	0.357	0.613	0.331
jumbled	rörig	0.292	0.602	0.445
jumbo	jumbo	0.680	0.552	0.447
jump	hoppa	0.625	0.865	0.611
jump rope	hopprep	0.656	0.660	0.368
jumper	hoppare	0.615	0.336	0.481
jumpsuit	overall	0.562	0.365	0.361
jumpy	nervös	0.353	0.810	0.216
junction	korsning	0.490	0.481	0.364
juncture	föreningspunkt	0.365	0.582	0.491
jungle	djungel	0.500	0.510	0.481
junior	junior	0.635	0.343	0.304
juniper	enbär	0.583	0.327	0.352
junk	skräp	0.115	0.481	0.118
junket	fest	0.490	0.519	0.386
junkie	knarkare	0.135	0.860	0.363
junky	junky	0.385	0.595	0.343
junkyard	skrotupplag	0.177	0.398	0.302
junta	junta	0.451	0.503	0.704
juridical	juridisk	0.520	0.431	0.873
jurisdiction	jurisdiktion	0.480	0.580	0.820
jurisprudence	juridik	0.360	0.425	0.764
jurist	jurist	0.479	0.523	0.713
juror	jurymedlem	0.582	0.640	0.750
jury	jury	0.479	0.607	0.789
justice	rättvisa	0.760	0.538	0.787
justifiable	berättigad	0.786	0.413	0.821
justification	berättigande	0.622	0.444	0.661
justify	rättfärdiga	0.612	0.473	0.615
juststop	NO TRANSLATION	0.417	0.379	0.364
justthebeginning	NO TRANSLATION	0.573	0.451	0.481
jute	jute	0.551	0.216	0.295
juvenile	juvenil	0.678	0.490	0.526
juxtaposition	sammanställning	0.427	0.500	0.460
kaiser	kejsare	0.470	0.509	0.690
kale	grönkål	0.469	0.226	0.411
kaleidoscope	kalejdoskop	0.615	0.439	0.580
kamikaze	kamikaze	0.204	0.810	0.645
kangaroo	känguru	0.716	0.333	0.301
kanji	kanji	0.510	0.413	0.425
kappa	kappa	0.469	0.375	0.366
kaput	NO TRANSLATION	0.281	0.441	0.440
karaoke	karaoke	0.763	0.649	0.342
karate	karate	0.562	0.833	0.598
karma	karma	0.500	0.510	0.537
karmic	karmic	0.357	0.459	0.464
kayak	kajak	0.592	0.600	0.364
kazoo	kazoo	0.503	0.462	0.411
kebab	kebab	0.531	0.431	0.377
keel	köl	0.344	0.417	0.419
keen	angelägen	0.823	0.719	0.806
keep	ha kvar	0.714	0.296	0.547
keeper	vårdare	0.612	0.457	0.773
keeping	förvaring	0.592	0.280	0.723
keepsake	minnessak	0.740	0.307	0.491
keg	kagge	0.551	0.389	0.404
kelp	kelp	0.479	0.264	0.213
ken	ken	0.438	0.409	0.360
kennel	kennel	0.430	0.480	0.406
kerchief	sjalett	0.520	0.189	0.236
kern	kern	0.438	0.420	0.449
kernel	kärna	0.542	0.453	0.462
kerosene	fotogen	0.302	0.472	0.427
ketchup	ketchup	0.653	0.338	0.282
kettle	vattenkokare	0.357	0.497	0.333
key	nyckel-	0.615	0.275	0.519
keyboard	tangentbord	0.573	0.279	0.349
keyed	fastkilad	0.469	0.497	0.521
keyhole	nyckelhål	0.438	0.358	0.356
keynote	grundton	0.630	0.431	0.545
keypad	knappsats	0.604	0.255	0.330
keystone	hörnsten	0.573	0.438	0.491
keyword	nyckelord	0.602	0.520	0.747
khaki	kaki	0.594	0.252	0.278
khan	khan	0.463	0.476	0.529
kibble	kibble	0.510	0.458	0.404
kick	sparka	0.271	0.791	0.526
kickboxing	kickboxning	0.427	0.882	0.651
kicker	kicker	0.427	0.711	0.614
kicking	sparkar	0.327	0.802	0.510
kickoff	avspark	0.583	0.600	0.629
kid	unge	0.760	0.453	0.298
kidder	kidder	0.708	0.768	0.471
kidding	skojar	0.622	0.625	0.457
kiddo	kiddo	0.674	0.393	0.419
kiddos	kiddos	0.500	0.480	0.342
kidnap	kidnappa	0.032	0.923	0.535
kidnapped	kidnappade	0.044	0.923	0.455
kidnapper	kidnappare	0.115	0.906	0.618
kidnapping	kidnappning	0.094	0.880	0.561
kidney	njure	0.448	0.363	0.380
kids	barn	0.837	0.500	0.417
kill	döda	0.052	0.941	0.736
killer	mördare	0.041	0.971	0.543
killing	dödande	0.080	0.959	0.696
killjoy	killjoy	0.178	0.550	0.324
kiln	ugn	0.451	0.423	0.414
kilo	NO TRANSLATION	0.438	0.358	0.461
kilogram	kilogram	0.510	0.260	0.455
kilometer	kilometer	0.490	0.439	0.485
kilt	kilt	0.448	0.346	0.348
kimono	kimono	0.643	0.280	0.363
kin	släkt	0.543	0.441	0.457
kind	snäll	0.918	0.240	0.618
kindergarten	dagis	0.833	0.462	0.308
kindling	tändved	0.520	0.651	0.421
kindness	vänlighet	0.938	0.350	0.508
kindred	släkt	0.760	0.418	0.517
kinematics	kinematik	0.594	0.480	0.614
kinesiology	kinesiologi	0.491	0.480	0.633
kinetic	kinetisk	0.582	0.540	0.537
king	kung	0.677	0.690	0.892
king snake	kung orm	0.458	0.835	0.647
kingdom	rike	0.714	0.547	0.910
kingpin	kingpin	0.357	0.626	0.642
kink	kink	0.337	0.634	0.321
kinky	kinky	0.449	0.558	0.361
kinship	släktskap	0.771	0.300	0.652
kiosk	kiosk	0.500	0.286	0.321
kirk	kirk	0.510	0.390	0.388
kiss	kyss	0.967	0.813	0.630
kisser	trut	0.844	0.682	0.618
kissy	kissy	0.874	0.684	0.402
kit	utrustning	0.583	0.344	0.420
kitchen	kök	0.700	0.234	0.398
