Word	Scots Gaelic-gd	Valence	Arousal	Dominance
hypnotic	aodach	0.571	0.560	0.569
hypnotist	hypnotist	0.490	0.455	0.627
hypnotize	geàrr-iomradh	0.469	0.507	0.508
hypnotized	Air adhart	0.449	0.434	0.380
hypochondriac	hipochondriac	0.194	0.588	0.333
hypocrisy	cealgach	0.156	0.523	0.370
hypocrite	cealgair	0.082	0.673	0.306
hypocritical	sgiobalta	0.048	0.740	0.415
hypodermic	s an Iar-	0.240	0.441	0.445
hypothalamus	hypothalamus	0.593	0.427	0.539
hypothermia	aodach	0.184	0.620	0.301
hypothesis	barail	0.552	0.370	0.509
hypothetical	tàmailteach	0.480	0.367	0.361
hysterectomy	hysterectomy	0.178	0.660	0.470
hysteria	hysteria	0.224	0.906	0.482
hysterical	sgaoileadh	0.290	0.942	0.398
ibuprofen	ibuprofen	0.448	0.427	0.504
ice	deigh	0.440	0.265	0.219
ice tea	tì deigh	0.771	0.337	0.336
iceberg	geòidh-deighe	0.344	0.540	0.648
icebox	bogsa-deighe	0.560	0.222	0.370
icebreaker	briseadh deigh	0.571	0.545	0.848
iced	eadhon	0.564	0.482	0.339
icing	eadhon	0.688	0.452	0.411
icky	icky	0.357	0.510	0.342
icon	ìomhaigh	0.549	0.349	0.415
iconic	eireachdail	0.583	0.537	0.700
iconography	iconography	0.602	0.382	0.653
icy	oighre	0.684	0.375	0.345
id	id	0.449	0.344	0.391
idea	smaoineachadh	0.750	0.538	0.704
ideal	fìor mhath	0.802	0.437	0.736
idealism	idealism	0.635	0.436	0.689
idealist	sàr-mhath	0.816	0.510	0.802
idealistic	sàr-mhath	0.812	0.469	0.755
identical	co-ionann	0.635	0.380	0.527
identically	gu dearbh	0.667	0.427	0.487
identification	aithneachadh	0.714	0.451	0.692
identify	aithneachadh	0.635	0.480	0.667
identity	dearbh-aithne	0.663	0.360	0.780
ideology	ideology	0.573	0.344	0.692
idiocy	idioc	0.112	0.635	0.137
idiom	gnàthasan-cainnte	0.520	0.337	0.445
idiomatic	idiomatic	0.531	0.429	0.516
idiot	iongantach	0.086	0.567	0.113
idiotic	iongantach	0.104	0.620	0.170
idiots	gnàthasan-cainnt	0.143	0.600	0.144
idle	neo-eisimeileach	0.179	0.167	0.112
idleness	neo-chothromachd	0.308	0.330	0.228
idler	aodach	0.200	0.304	0.194
idol	idol	0.684	0.805	0.853
idolatry	idolatraidh	0.365	0.571	0.625
idolizing	idolizing	0.676	0.712	0.643
idyllic	s an Iar-	0.571	0.394	0.593
iffy	ma tha	0.380	0.442	0.333
ifonly	ma tha	0.406	0.250	0.255
igloo	igloo	0.569	0.302	0.345
igneous	igneous	0.469	0.466	0.517
ignite	leig seachad	0.458	0.785	0.675
ignition	a leigeil air falbh	0.365	0.720	0.657
ignorance	aineolas	0.153	0.417	0.209
ignorant	aineolach	0.102	0.461	0.223
ignore	leig seachad	0.146	0.230	0.295
iguana	iguana	0.521	0.235	0.291
ihatespiders	NO TRANSLATION	0.245	0.611	0.420
ilk	NO TRANSLATION	0.438	0.451	0.455
ill	tinn	0.073	0.410	0.200
illegal	mì-laghail	0.061	0.787	0.337
illegality	mì-laghail	0.094	0.635	0.427
illegally	gu mì-laghail	0.133	0.788	0.402
illegible	neònach so	0.296	0.490	0.315
illegitimate	dìolain	0.184	0.644	0.302
illicit	mì-laghail	0.188	0.794	0.390
illiterate	neo-riaghailteach	0.120	0.410	0.151
illness	tinneas	0.098	0.717	0.211
illogical	neo-àbhaisteach	0.208	0.630	0.251
illuminate	soilleireachadh	0.905	0.646	0.782
illuminating	a 'soilleireachadh	0.949	0.613	0.773
illumination	soillseachadh	0.760	0.588	0.537
illuminator	soilleireachadh	0.770	0.566	0.718
illusion	mì-thoilichte	0.562	0.490	0.387
illustrate	sealltainn	0.750	0.430	0.690
illustration	dealbh	0.740	0.441	0.640
illustrative	dealbhan	0.771	0.452	0.647
illustrious	eireachdail	0.673	0.550	0.741
ilovechristmas	NO TRANSLATION	0.885	0.590	0.525
iloveher	NO TRANSLATION	0.750	0.519	0.556
image	ìomhaigh	0.653	0.241	0.453
imagery	ìomhaighean	0.653	0.327	0.390
imaginable	smaoineachadh	0.613	0.529	0.596
imaginary	samhlachail	0.560	0.424	0.310
imagination	mac-meanmna	0.802	0.491	0.547
imaginative	mac-meanmnach	0.780	0.541	0.593
imagine	smaoineachadh	0.759	0.480	0.587
imagined	smaoineachadh	0.656	0.412	0.418
imaging	ìomhaighean	0.724	0.394	0.482
imagining	a 'smaoineachadh	0.765	0.458	0.545
imam	NO TRANSLATION	0.527	0.337	0.539
imbalance	mì-chothromachadh	0.115	0.538	0.264
imbecile	imbecile	0.082	0.569	0.260
imbedded	s an Iar-	0.406	0.580	0.562
imissyou	NO TRANSLATION	0.480	0.608	0.344
imitate	aithris	0.469	0.561	0.336
imitated	imrich	0.333	0.391	0.442
imitation	smuaintean	0.406	0.592	0.343
immaculate	gun teagamh	0.698	0.330	0.688
immaterial	neo-chùramach	0.296	0.309	0.295
immature	neo-neònach	0.114	0.500	0.200
immaturity	neo-thlachdmhor	0.146	0.567	0.221
immeasurable	mì-chothromach	0.510	0.539	0.712
immeasurably	gun teagamh	0.510	0.640	0.680
immediacy	dìreach	0.635	0.630	0.627
immediate	sa bhad	0.656	0.548	0.716
immediately	sa bhad	0.552	0.780	0.707
immemorial	gun teagamh	0.327	0.469	0.454
immense	mòr	0.755	0.750	0.811
immerse	bogadh	0.510	0.577	0.509
immersion	bogadh	0.510	0.556	0.564
immigrant	in-imriche	0.357	0.663	0.509
immigration	in-imrich	0.390	0.667	0.454
imminent	air thoiseach	0.490	0.784	0.643
immobile	gluasad	0.225	0.217	0.298
immoral	mì-laghail	0.143	0.622	0.385
immorality	mì-bheothalachd	0.188	0.689	0.315
immortal	neo-bhàsmhor	0.812	0.750	0.795
immortality	neo-bhàsachd	0.688	0.635	0.861
immovable	neo-ghluasadach	0.480	0.310	0.571
immune	dìon	0.629	0.472	0.780
immunity	dìonachd	0.633	0.316	0.786
immunization	banachdach	0.667	0.510	0.733
immutable	neo-chomasach	0.427	0.431	0.571
imp	imp	0.350	0.448	0.420
impact	buaidh	0.469	0.884	0.776
impair	milleadh	0.153	0.500	0.360
impaired	le duilgheadas	0.130	0.459	0.269
impairment	milleadh	0.170	0.571	0.220
impart	toirt seachad	0.521	0.441	0.694
impartial	neo-chlaonachd	0.531	0.406	0.685
impartiality	neo-chlaonachd	0.622	0.394	0.616
impassable	neo-chomasach	0.342	0.458	0.553
impassioned	gun teagamh	0.740	0.780	0.802
impatience	neo-fhaireachdainn	0.278	0.780	0.411
impatient	neo-fhulangach	0.250	0.708	0.429
impatiently	NO TRANSLATION	0.194	0.750	0.539
impeach	impeach	0.208	0.776	0.664
impeachment	impeachment	0.163	0.735	0.694
impeccable	impeccable	0.833	0.370	0.824
impede	gàirdeachas	0.271	0.510	0.604
impediment	bacadh	0.163	0.600	0.409
impelled	sgaoileadh	0.604	0.741	0.690
impending	sgaoileadh	0.480	0.735	0.752
impenetrable	neo-shoilleir	0.531	0.577	0.839
imperative	riatanach	0.625	0.647	0.708
imperceptible	neo-chomasach	0.378	0.490	0.548
imperfect	neo-iomlan	0.173	0.527	0.202
imperfection	annasach	0.190	0.567	0.321
imperfectly	neo-iomlan	0.297	0.481	0.330
imperial	imperial	0.669	0.646	0.922
imperialist	NO TRANSLATION	0.284	0.786	0.833
impermeable	neo-thruaillte	0.510	0.308	0.558
impermissible	Cha ghabh seo a chluich	0.188	0.464	0.352
impersonal	neo-pearsanta	0.316	0.356	0.472
impersonate	mì-chomasach	0.510	0.632	0.591
impersonation	mì-chliù	0.375	0.618	0.528
impersonator	neach-aithris	0.469	0.586	0.406
impertinence	s an Iar-	0.170	0.653	0.420
impertinent	s an Iar-	0.219	0.826	0.373
impervious	mì-fhortanach	0.582	0.408	0.536
impetuous	èibhinn	0.602	0.814	0.712
impetus	èasgaidh	0.521	0.740	0.635
implacable	mì-chomasach	0.569	0.663	0.830
implant	implant	0.429	0.510	0.588
implantation	implantachadh	0.396	0.604	0.741
implanted	air a chuir a-steach	0.347	0.500	0.679
implement	cur an gnìomh	0.720	0.573	0.792
implicate	ciallachadh	0.250	0.670	0.434
implicated	steach	0.354	0.673	0.438
implication	implication	0.337	0.528	0.690
implied	air a thuigsinn	0.327	0.530	0.481
implore	gun teagamh	0.396	0.650	0.377
implosion	implosion	0.412	0.724	0.547
imply	ciallaich	0.542	0.670	0.533
impolite	mì-chinnteach	0.167	0.590	0.282
import	steach	0.615	0.480	0.623
importance	cudromachd	0.750	0.580	0.864
important	cudromach	0.827	0.630	0.836
importation	a 'toirt a-steach	0.625	0.500	0.733
impose	òrdachadh	0.503	0.721	0.745
imposing	sgaoileadh	0.392	0.731	0.836
imposition	sgaoileadh	0.357	0.604	0.618
impossibility	neo-chomasach	0.170	0.625	0.306
impossible	do-dhèanta	0.153	0.510	0.407
impostor	impostor	0.135	0.704	0.442
impotence	impotence	0.198	0.689	0.224
impotent	neo-chomasach	0.146	0.587	0.333
impound	sgaoileadh	0.230	0.587	0.583
impoverished	truagh	0.125	0.311	0.203
impracticable	mì-chomasach	0.398	0.549	0.381
impractical	neo-fhoirmeil	0.160	0.373	0.291
impregnable	impregnable	0.378	0.549	0.667
impregnate	a lìonadh	0.510	0.721	0.655
impress	s an Iar-	0.816	0.744	0.895
impressed	s an Iar-	0.806	0.770	0.429
impression	beachd	0.684	0.557	0.577
impressionable	s dòcha	0.827	0.720	0.645
impressive	iongantach	0.781	0.830	0.873
imprint	imprint	0.615	0.574	0.685
imprison	sa phrìosan	0.112	0.829	0.545
imprisoned	sa phrìosan	0.032	0.717	0.302
imprisonment	prìosain	0.133	0.630	0.471
improbable	iongantach	0.097	0.412	0.439
impromptu	neo-ghluasadach	0.541	0.729	0.415
improper	mì-fhreagarrach	0.229	0.520	0.259
impropriety	neònach	0.133	0.591	0.389
improve	leasachadh	0.833	0.528	0.815
improved	leasaichte	0.919	0.480	0.679
improvement	leasachadh	0.786	0.500	0.611
improves	a 'fàs nas fheàrr	0.929	0.625	0.727
improving	a 'fàs nas fheàrr	0.911	0.510	0.682
improvisation	sgeadachadh	0.631	0.812	0.529
improvise	sgrìobhaidh	0.646	0.650	0.519
improvised	sgiobalta	0.610	0.673	0.443
imprudent	mì-chùramach	0.170	0.676	0.265
impudence	impudence	0.214	0.500	0.472
impudent	mì-mhodhail	0.302	0.604	0.462
impulse	sgaoileadh	0.530	0.840	0.611
impulsive	èibhinn	0.365	0.864	0.607
impunity	ciontach	0.313	0.721	0.602
impure	impure	0.260	0.560	0.208
impurity	neo-dhìomhaireachd	0.173	0.546	0.306
imputation	s an Iar-	0.333	0.654	0.621
imtryingtosleep	NO TRANSLATION	0.438	0.363	0.385
inability	neo-chomas	0.150	0.529	0.250
inaccessible	mì-ruigsinneach	0.083	0.585	0.446
inaccurate	mì-cheart	0.135	0.450	0.250
inaction	mì-rianachd	0.323	0.225	0.325
inactivate	neo-ghnìomhach	0.245	0.240	0.415
inactivation	inactivation	0.198	0.260	0.220
inactive	neo-ghnìomhach	0.271	0.167	0.159
inactivity	neo-ghnìomhachd	0.135	0.143	0.227
inadequacy	neo-fhreagarrach	0.286	0.500	0.297
inadequate	mì-fhreagarrach	0.122	0.450	0.223
inadequateness	neo-fhreagarrach	0.240	0.529	0.316
inadmissible	neo-chomasach	0.188	0.636	0.389
inadvertent	mì-fhortanach	0.365	0.368	0.286
inadvertently	gu mì-fhortanach	0.302	0.541	0.549
inaffable	NO TRANSLATION	0.388	0.518	0.455
inalienable	neo-ionnan	0.437	0.459	0.608
inane	annan	0.271	0.350	0.268
inanimate	annasach	0.281	0.143	0.224
inapplicable	neo-fhreagarrach	0.281	0.402	0.330
inappropriate	neo-iomchaidh	0.135	0.542	0.353
inattention	mothachadh	0.208	0.433	0.188
inaudible	neo-chudthromach	0.280	0.398	0.358
inaugural	chiad turas	0.684	0.567	0.608
inaugurate	tòiseachadh	0.781	0.582	0.800
inauguration	tòiseachadh	0.847	0.712	0.769
inborn	s an Iar-	0.590	0.288	0.546
inbound	a-steach	0.531	0.388	0.538
inbred	ann	0.397	0.520	0.473
incalculable	neo-ionnan	0.449	0.620	0.679
incandescent	sgaoileadh	0.354	0.612	0.621
incantation	beul-aithris	0.439	0.632	0.548
incapable	neo-chomasach	0.156	0.529	0.155
incapacity	neo-chomas	0.052	0.500	0.217
incarceration	a 'losgadh	0.100	0.800	0.397
incarnate	sgaoileadh	0.552	0.651	0.593
incase	Gun fhios	0.580	0.196	0.365
incendiary	fiadhaich	0.281	0.810	0.598
incense	tùis	0.698	0.275	0.328
incensed	sgaoileadh	0.338	0.643	0.392
incentive	brosnachaidh	0.812	0.618	0.718
inception	tòiseachadh	0.604	0.425	0.561
incessant	neo-eisimeileach	0.438	0.760	0.544
incessantly	gun chùis	0.417	0.765	0.606
incest	incest	0.073	0.853	0.491
incestuous	sgaoileadh	0.188	0.736	0.442
inch	òirlich	0.481	0.327	0.300
incidence	tricead	0.417	0.527	0.429
incident	tachartas	0.084	0.662	0.482
incidental	tachartas	0.281	0.610	0.404
incidentally	gu caraid	0.479	0.500	0.500
incineration	losgadh	0.229	0.787	0.470
incinerator	losgaidh	0.250	0.643	0.591
incipient	tòiseachadh	0.442	0.382	0.430
incision	incrise	0.240	0.663	0.558
incisive	sgaoileadh	0.380	0.602	0.545
incite	brosnaich	0.449	0.736	0.642
incitement	brosnachadh	0.302	0.943	0.598
inclement	aodach	0.260	0.676	0.616
inclination	bualadh	0.378	0.490	0.538
incline	incline	0.490	0.423	0.345
inclined	clachan	0.469	0.347	0.402
include	steach	0.729	0.449	0.702
included	steach	0.760	0.402	0.570
including	gabhail a-steach	0.700	0.378	0.518
inclusion	in-ghabhail	0.774	0.404	0.712
inclusive	in-ghabhalach	0.604	0.420	0.564
incognito	A 'chiad chòig làithean Nas fhaide air adhart	0.610	0.490	0.446
incoherent	annasach	0.122	0.612	0.250
income	teachd-a-steach	0.750	0.510	0.728
incoming	a 'tighinn a-steach	0.660	0.509	0.596
incomparable	neo-chothromach	0.625	0.577	0.670
incompatible	neo-chòrdail	0.196	0.500	0.310
incompetence	neo-chomasachd	0.077	0.551	0.208
incompetent	neo-chomasach	0.133	0.566	0.239
incomplete	neo-iomlan	0.153	0.370	0.205
incompletely	neo-iomlan	0.344	0.442	0.232
incompleteness	neo-iomlanachd	0.271	0.451	0.234
incomprehensible	neo-shoilleir	0.250	0.550	0.344
inconceivable	neo-chomasach	0.198	0.552	0.561
inconclusive	mì-chinnteach	0.153	0.442	0.340
incongruous	neo-chothromach	0.177	0.504	0.343
inconsequential	neo-eisimeileach	0.250	0.480	0.345
inconsiderate	mì-fhreagarrach	0.224	0.519	0.423
inconsistency	neo-chunbhalachd	0.125	0.480	0.314
inconsistent	neo-chunbhalach	0.271	0.431	0.295
inconspicuous	neo-chunbhalach	0.604	0.214	0.368
incontinence	neo-riaghailteach	0.150	0.598	0.272
inconvenience	mì-ghoireasachd	0.063	0.667	0.291
inconvenient	mì-ghoireasach	0.224	0.610	0.375
incorporate	steach	0.745	0.612	0.571
incorporation	corporra	0.573	0.404	0.768
incorrect	ceàrr	0.140	0.569	0.255
incorrigible	neo-chothromach	0.130	0.667	0.500
increase	meudachadh	0.810	0.657	0.886
increased	meudachadh	0.684	0.660	0.773
incredible	iongantach	0.857	0.796	0.902
incredulous	mì-chinnteach	0.286	0.510	0.269
increment	meudachadh	0.684	0.637	0.750
incriminate	neo-chiontach	0.188	0.810	0.416
incriminating	a 'cur bacadh air	0.133	0.788	0.500
incrimination	mì-ghearradh	0.152	0.865	0.545
incubation	cùram	0.461	0.490	0.397
incubator	sneachda	0.510	0.435	0.405
incubus	s an Iar-	0.458	0.529	0.482
incumbent	neach-seilbh	0.396	0.540	0.565
incur	a 'tighinn	0.312	0.667	0.495
incurable	neo-chomasach	0.104	0.667	0.255
incursion	ionnsaigh	0.552	0.830	0.719
indebted	dealasach	0.138	0.698	0.275
indecency	èibhinn	0.135	0.670	0.491
indecent	mì-fhortanach	0.083	0.683	0.240
indecision	dìomhaireachd	0.184	0.480	0.196
indecisive	dìcheallach	0.271	0.420	0.190
indefensible	neo-chothromach	0.173	0.647	0.484
indefinite	neo-chinnteach	0.448	0.292	0.296
indelible	neo-fhaicsinneach	0.490	0.337	0.591
indemnification	indemnation	0.521	0.490	0.770
indemnify	dìoladh	0.449	0.548	0.613
indemnity	indemnity	0.470	0.607	0.692
indent	steach	0.479	0.346	0.379
indentation	sgaoileadh	0.374	0.500	0.349
indenture	sgaoileadh	0.434	0.382	0.636
independence	neo-eisimeileachd	0.896	0.663	0.911
independent	neo-eisimeileach	0.885	0.440	0.872
indescribable	gun teagamh	0.448	0.529	0.648
indestructible	neo-chomasach	0.772	0.731	0.853
indeterminate	neo-chrìochnaichte	0.360	0.402	0.322
index	clàr-amais	0.448	0.268	0.342
indicate	sealltainn	0.594	0.350	0.676
indicating	a 'sealltainn	0.745	0.339	0.555
indication	comharrachadh	0.719	0.432	0.750
indicative	taisbeanach	0.510	0.510	0.591
indicator	comharradh	0.573	0.451	0.670
indice	NO TRANSLATION	0.469	0.377	0.541
indict	a dhìteadh	0.188	0.731	0.458
indictment	dìteadh	0.245	0.745	0.577
indie	indie	0.479	0.368	0.430
indifference	mì-chothrom	0.265	0.417	0.299
indifferent	gun teagamh	0.396	0.157	0.250
indigenous	dùthchasach	0.500	0.509	0.552
indigent	èiginn	0.156	0.481	0.223
indigestion	dragh	0.204	0.610	0.182
indignant	indignach	0.260	0.600	0.423
indignation	indign	0.173	0.778	0.431
indignity	indignation	0.167	0.500	0.306
indigo	indigo	0.514	0.365	0.473
indirect	neo-dhìreach	0.385	0.402	0.330
indiscreet	neo-sgaradh	0.177	0.587	0.342
indiscretion	neo-dhìoladh	0.265	0.637	0.390
indispensable	riatanach	0.710	0.449	0.802
indisposed	s an Iar-	0.122	0.519	0.206
indistinct	neo-iongantach	0.255	0.340	0.360
indistinguishable	mì-chinnteach	0.346	0.458	0.548
individual	fa leth	0.627	0.327	0.533
individuality	fa leth	0.612	0.469	0.527
indivisible	neo-dhìreach	0.646	0.398	0.580
indoctrination	dìtheanachadh	0.327	0.657	0.698
indolent	mì-fhortanach	0.177	0.381	0.259
indomitable	gun teagamh	0.458	0.800	0.830
indoor	staigh	0.615	0.245	0.347
induce	a 'brosnachadh	0.257	0.606	0.684
induced	air a bhrosnachadh	0.397	0.471	0.491
inducement	an-inntinn	0.647	0.765	0.685
induction	inntrigeadh	0.392	0.593	0.627
indulge	s an Iar-	0.833	0.716	0.669
indulgence	dealachadh	0.479	0.490	0.517
indulgent	neo-eisimeileach	0.560	0.481	0.529
industrial	gnìomhachas	0.469	0.600	0.875
industrialist	gnìomhachas	0.562	0.633	0.843
industrious	gnìomhachasach	0.720	0.537	0.791
industry	gnìomhachas	0.650	0.447	0.836
ineffable	neo-chomasach	0.551	0.577	0.585
ineffective	neo-èifeachdach	0.093	0.422	0.094
ineffectual	neo-èifeachdach	0.163	0.412	0.200
inefficiency	neo-èifeachdach	0.092	0.466	0.181
inefficient	neo-èifeachdach	0.190	0.460	0.173
inelastic	neo-ionnan	0.396	0.426	0.385
ineligible	mì-chothromach	0.143	0.377	0.457
inept	inept	0.156	0.418	0.209
ineptitude	neo-chomasach	0.177	0.471	0.250
inequality	neo-ionannachd	0.122	0.575	0.259
inequitable	neo-ionnan	0.281	0.519	0.373
inert	annasach	0.323	0.180	0.319
inertia	inertia	0.344	0.288	0.322
inevitable	do-sheachanta	0.316	0.419	0.623
inexact	neo-ghnìomhach	0.153	0.459	0.170
inexcusable	neo-chràbhach	0.271	0.582	0.546
inexhaustible	neo-ionannachd	0.602	0.541	0.643
inexpensive	saor	0.694	0.414	0.260
inexperience	eòlas	0.208	0.614	0.151
inexperienced	neo-eòlach	0.281	0.473	0.231
inexplicable	mì-chliùiteach	0.224	0.635	0.443
inexpressible	neo-inntinneach	0.198	0.608	0.364
infallibility	infallibility	0.583	0.663	0.764
infallible	neo-mhearachdach	0.776	0.687	0.809
infamous	mì-chliùiteach	0.146	0.580	0.472
infamy	mì-chliù	0.177	0.676	0.421
infancy	infancy	0.750	0.399	0.370
infant	leanabh	0.802	0.431	0.328
infanticide	leanabas	0.167	0.856	0.443
infantile	leanabh	0.604	0.382	0.259
infantry	coisearachd	0.531	0.684	0.791
infarct	mì-fhortanach	0.080	0.846	0.386
infatuated	mì-fhortanach	0.729	0.764	0.417
infatuation	sabaid	0.844	0.745	0.530
infeasible	mì-chothromach	0.245	0.472	0.236
infect	gabhaltas	0.102	0.777	0.424
infection	galar	0.083	0.735	0.407
infectious	gabhaltach	0.142	0.760	0.422
infer	ìosal	0.449	0.490	0.453
inference	co-dhùnadh	0.359	0.479	0.398
inferential	sgaoileadh	0.426	0.451	0.455
inferior	inferior	0.260	0.254	0.106
inferiority	inferiorachd	0.177	0.430	0.205
infernal	Alba | Naidheachdan |	0.083	0.837	0.571
inferno	inferno	0.051	0.857	0.463
infertile	mì-fhortanach	0.274	0.458	0.255
infertility	mì-ghnàthachadh	0.170	0.664	0.328
infestation	infestation	0.256	0.776	0.527
infidel	neo-chreideamh	0.177	0.740	0.404
infidelity	neo-chreideas	0.062	0.777	0.392
infield	infield	0.510	0.571	0.438
infiltrate	a-steach	0.408	0.745	0.587
infiltration	iniltireachd	0.265	0.792	0.536
infinite	neo-chrìochnach	0.724	0.583	0.735
infinitely	neo-chrìochnach	0.688	0.643	0.829
infinitesimal	neo-chrìochnach	0.388	0.472	0.496
infinity	neo-chrìochnach	0.516	0.459	0.805
infirm	euslainteach	0.115	0.521	0.210
infirmary	an ospadal	0.500	0.438	0.517
infirmity	laigsean	0.094	0.482	0.252
inflammation	sèid	0.146	0.765	0.423
inflammatory	sgaoileadh	0.177	0.642	0.404
inflatable	sèididh	0.510	0.510	0.400
inflate	inflate	0.305	0.569	0.462
inflated	bròg	0.303	0.431	0.617
inflation	atmhorachd	0.219	0.792	0.508
inflection	inflection	0.385	0.635	0.377
inflict	sgaoileadh	0.167	0.760	0.609
infliction	sgaoileadh	0.302	0.722	0.571
inflorescence	sneachda	0.459	0.344	0.412
influence	buaidh	0.622	0.663	0.824
influential	buaidh	0.899	0.688	0.944
influenza	influenza	0.271	0.718	0.321
influx	steach	0.622	0.635	0.575
info	fiosrachadh	0.750	0.330	0.642
infomercial	sgaoileadh	0.427	0.462	0.555
inform	innse	0.723	0.582	0.679
informal	neo-fhoirmeil	0.480	0.398	0.441
informant	neach-cuideachaidh	0.604	0.612	0.719
information	fiosrachadh	0.765	0.370	0.711
informative	fiosrachadh	0.812	0.419	0.741
informed	fiosraichte	0.543	0.298	0.617
informer	fiosraiche	0.521	0.578	0.580
infraction	smachd	0.245	0.660	0.471
infrared	infridhearg	0.469	0.588	0.526
infrastructure	bun-structar	0.604	0.460	0.694
infrequent	gu math tric	0.312	0.377	0.192
infrequently	glè thric	0.204	0.250	0.327
infringement	briseadh	0.153	0.800	0.481
infuriate	ann an cunnart	0.102	0.934	0.596
infuriated	mì-fhortanach	0.073	0.930	0.510
infuriates	neo-ionnan	0.135	0.913	0.627
infuriating	mì-fhortanach	0.139	0.870	0.509
infuse	sgaoilidh	0.380	0.705	0.589
infused	sgaoileadh	0.385	0.473	0.546
infuser	sgudal	0.469	0.433	0.536
infusion	sgudal	0.583	0.365	0.453
ingenious	èibhinn	0.760	0.690	0.891
ingenuity	innleachdas	0.708	0.590	0.868
ingest	s an Iar-	0.510	0.559	0.473
ingestion	sèididh	0.429	0.612	0.512
ingot	ingot	0.688	0.444	0.615
ingrained	s an Iar-	0.531	0.490	0.712
ingrate	ann	0.235	0.606	0.327
ingredient	tàthchuid	0.792	0.373	0.451
ingress	steach	0.601	0.366	0.736
inhabit	fuireach	0.656	0.378	0.556
inhabitant	neach-còmhnaidh	0.604	0.356	0.519
inhabited	fuireach	0.667	0.361	0.510
inhabiting	fuireach ann	0.458	0.440	0.598
inhalation	inhalation	0.510	0.613	0.464
inhale	inhale	0.427	0.340	0.492
inhaler	analadair	0.408	0.500	0.349
inherent	eachdraidheil	0.562	0.439	0.480
inherit	oighre	0.745	0.546	0.694
inheritance	oighreachd	0.900	0.565	0.798
inhibit	bacadh	0.167	0.479	0.447
inhibition	bacadh	0.265	0.392	0.534
inhibitor	inhibitor	0.281	0.450	0.471
inhospitable	neo-sgaraichte	0.265	0.531	0.395
inhuman	neo-dhaonna	0.107	0.660	0.492
inhumane	mì-fhortanach	0.104	0.587	0.402
inhumanity	neo-dhaonna	0.143	0.540	0.405
inimaginable	NO TRANSLATION	0.542	0.636	0.534
inimical	inimical	0.260	0.823	0.556
inimitable	inimitable	0.571	0.413	0.790
iniquity	aingidheachd	0.219	0.567	0.425
initial	tùs	0.583	0.314	0.539
initiate	tòiseachadh	0.719	0.480	0.553
initiated	tòiseachadh	0.760	0.490	0.650
initiation	tòiseachadh	0.698	0.529	0.527
initiative	iomairt	0.833	0.615	0.768
inject	sgaoilidh	0.406	0.735	0.596
injection	in-stealladh	0.281	0.741	0.518
injunction	smachdachadh	0.281	0.422	0.519
injure	leòn	0.177	0.710	0.364
injured	air an leòn	0.083	0.680	0.302
injuring	leòn	0.073	0.790	0.245
injurious	truailleachail	0.177	0.759	0.366
injury	leòn	0.049	0.769	0.287
injustice	mì-cheartas	0.082	0.755	0.444
ink	inc	0.471	0.408	0.235
inkling	steach	0.448	0.551	0.570
inland	taobh a-staigh na dùthcha	0.510	0.417	0.423
inlay	còmhdach	0.406	0.531	0.565
inlet	ann	0.646	0.378	0.466
inmate	caoidh	0.235	0.663	0.398
inn	Taigh-òsta	0.660	0.284	0.475
innards	innards	0.302	0.480	0.400
innate	innis	0.490	0.400	0.521
inner	staigh	0.551	0.216	0.443
innermost	innermost	0.583	0.500	0.510
innerpeace	NO TRANSLATION	0.714	0.318	0.551
inning	inning	0.602	0.315	0.520
innings	innings	0.573	0.487	0.443
innkeeper	taigh-seinnse	0.578	0.224	0.472
innocence	neo-chiontach	0.802	0.260	0.307
innocent	neo-chiontach	0.729	0.206	0.340
innocently	neo-chiontach	0.776	0.250	0.302
innocuous	neo-chiontach	0.510	0.321	0.172
innovate	ùr-ghnàthachadh	0.898	0.872	0.750
innovation	ùr-ghnàthachadh	0.949	0.680	0.890
innovative	ùr-ghnàthach	0.880	0.640	0.830
innuendo	innuendo	0.467	0.670	0.463
innumerable	innumerable	0.667	0.445	0.704
inoculation	sèididh	0.333	0.570	0.598
inoperable	neo-chomasach	0.184	0.422	0.304
inoperative	neo-eisimeileach	0.138	0.425	0.273
inordinate	neo-dhìreach	0.163	0.630	0.330
inorganic	neo-riaghailteach	0.385	0.345	0.282
input	steach	0.643	0.337	0.527
inquest	ceist	0.458	0.569	0.721
inquire	faighneachd	0.583	0.519	0.363
inquirer	fiosraichidh	0.573	0.598	0.776
inquiring	a 'faighneachd	0.479	0.510	0.500
inquiry	ceasnachadh	0.541	0.420	0.536
inquisitive	ceasnachail	0.301	0.637	0.615
inquisitor	rannsachair	0.385	0.873	0.642
insane	mì-chinnteach	0.062	0.670	0.265
insanity	dìomhaireachd	0.098	0.847	0.337
insatiable	neo-sheasmhach	0.375	0.656	0.558
inscription	sgrìobhadh	0.592	0.422	0.542
inscrutable	mì-chinnteach	0.459	0.541	0.613
insect	insect	0.276	0.633	0.242
insecticide	insectide	0.188	0.598	0.430
insecure	neo-chinnteach	0.114	0.538	0.132
insecurity	mì-thèarainteachd	0.094	0.647	0.350
insemination	biathadh	0.542	0.644	0.622
insensitive	mì-chinnteach	0.219	0.471	0.302
inseparable	neo-sgaraichte	0.700	0.520	0.571
insert	cuir a-steach	0.481	0.552	0.519
inserted	steach	0.479	0.402	0.476
