Word	Belarusian-be	Valence	Arousal	Dominance
gift	падарунак	0.880	0.539	0.483
gifted	адораны	0.902	0.647	0.868
gifts	дары	0.865	0.755	0.509
gig	двухколка	0.816	0.755	0.594
gigantic	гіганцкі	0.750	0.776	0.921
giggle	хіхікаць	0.719	0.618	0.360
giggles	хіхікае	0.865	0.684	0.346
giggling	хіхікаць	0.886	0.726	0.391
gigolo	альфонс	0.400	0.706	0.528
gilded	пазалочаны	0.719	0.471	0.455
gill	жаберных	0.521	0.473	0.382
gills	жабры	0.479	0.583	0.609
gilt	пазалота	0.583	0.417	0.510
gimmick	дзівоцтва	0.380	0.663	0.519
gimp	каніцель	0.469	0.442	0.342
gin	джын	0.449	0.551	0.518
ginger	імбір	0.406	0.375	0.316
gingerbread	пернікавыя	0.597	0.333	0.264
gingerly	асцярожна	0.602	0.406	0.415
ginseng	жэньшэнь	0.677	0.360	0.364
giraffe	жыраф	0.561	0.347	0.436
girder	бэлька	0.388	0.245	0.452
girdle	кушак	0.500	0.340	0.349
girl	дзяўчына	0.740	0.572	0.443
girlfriend	сяброўка	0.712	0.763	0.604
girlie	девчушка	0.604	0.540	0.409
girlish	дзявочай	0.677	0.477	0.345
girly	дзяўчынкі	0.595	0.462	0.371
girth	абхапілі	0.520	0.353	0.377
gist	сутнасць	0.622	0.450	0.519
give	даць	0.750	0.346	0.500
giveaway	аддаваць	0.865	0.618	0.437
giver	NO TRANSLATION	0.688	0.415	0.658
giving	які дае	0.795	0.333	0.585
gizmo	штуковіна	0.510	0.490	0.337
gizzard	глотка	0.422	0.423	0.259
glabrous	гладкі	0.413	0.474	0.462
glacial	ледніковы	0.439	0.327	0.474
glacier	ледавік	0.573	0.396	0.554
glad	рады	0.938	0.760	0.740
glade	паляна	0.600	0.385	0.434
gladiator	гладыятар	0.500	0.833	0.866
gladness	радасць	0.896	0.670	0.643
glamorous	абаяльны	0.918	0.630	0.791
glamour	зачараванне	0.823	0.606	0.623
glance	погляд	0.625	0.357	0.454
gland	жалеза	0.396	0.382	0.467
glare	яркае святло	0.698	0.735	0.733
glaring	абуральны	0.694	0.794	0.798
glass	шкло	0.490	0.404	0.322
glasses	акуляры	0.531	0.210	0.330
glassware	вырабы са шкла	0.633	0.356	0.450
glaucoma	глаўкома	0.208	0.500	0.315
glaze	глазуру	0.650	0.340	0.356
glazed	глазураваны	0.622	0.410	0.491
gleam	мігацець	0.781	0.520	0.741
gleaming	бліскучых	0.827	0.635	0.627
glean	падбіраць каласы	0.398	0.531	0.500
glee	радасьць	0.698	0.580	0.464
gleeful	радасны	0.906	0.806	0.679
glen	лагчына	0.573	0.337	0.406
glib	бойкі	0.438	0.433	0.381
glide	слізгаценне	0.561	0.706	0.415
glider	планёр	0.618	0.548	0.590
glimmer	мігаценне	0.615	0.462	0.427
glimpse	пробліск	0.646	0.480	0.455
glint	водбліск	0.677	0.538	0.541
glisten	бліскацець	0.765	0.608	0.694
glitch	глюк	0.444	0.448	0.269
glitter	зіхаценне	0.814	0.750	0.762
glittering	бліскучы	0.860	0.588	0.818
gloat	злараднічаць	0.500	0.637	0.603
global	глабальнай	0.583	0.520	0.713
globe	зямны шар	0.760	0.315	0.364
globular	шарападобных	0.542	0.375	0.438
gloom	змрочнасць	0.135	0.404	0.196
gloomy	змрочны	0.107	0.410	0.287
glorification	ўслаўленне	0.821	0.541	0.817
glorified	праслаўлены	0.865	0.570	0.886
glorify	праслаўляць	0.940	0.591	0.661
glorious	слаўны	0.959	0.673	0.827
glory	слава	0.948	0.735	0.817
gloss	бляск	0.757	0.466	0.625
glossary	гласарый	0.570	0.204	0.447
glossy	глянцавы	0.802	0.519	0.807
glove	пальчатка	0.500	0.230	0.382
gloves	пальчаткі	0.542	0.225	0.491
glow	палаць	0.918	0.500	0.745
glowing	палымяны	0.940	0.620	0.737
glucose	глюкоза	0.562	0.316	0.444
glue	клей	0.450	0.345	0.349
glum	пануры	0.244	0.337	0.123
glut	перанасычаным	0.417	0.524	0.540
gluten	клейкавіна	0.385	0.308	0.388
glutton	абжора	0.438	0.519	0.384
gluttony	пражэрлівасць	0.500	0.702	0.412
glycerin	гліцэрына	0.427	0.402	0.402
gnat	камар	0.357	0.345	0.200
gnome	гном	0.429	0.479	0.380
go	ісці	0.510	0.441	0.444
goal	мэта	0.830	0.356	0.669
goalie	брамнік	0.573	0.389	0.455
goals	мэты	0.719	0.490	0.795
goat	каза	0.448	0.304	0.364
goatee	эспаньёлкай	0.479	0.290	0.255
gob	плявок	0.280	0.357	0.447
gobble	пажыраць	0.390	0.623	0.455
goblet	кубак	0.786	0.353	0.442
goblin	гоблін	0.333	0.542	0.377
god	бог	0.758	0.518	0.886
godbless	NO TRANSLATION	0.823	0.395	0.588
goddamn	праклён	0.125	0.760	0.422
goddamned	пр`оклятый	0.042	0.758	0.420
goddess	багіня	0.865	0.560	0.888
godfather	хросны бацька	0.694	0.450	0.509
godforsaken	закінуты	0.439	0.520	0.422
godisgood	godisgood	0.740	0.434	0.630
godisgreat	NO TRANSLATION	0.712	0.596	0.600
godless	бязбожны	0.316	0.557	0.358
godlike	богападобны	0.854	0.648	0.870
godly	набожны	0.747	0.298	0.589
godmother	хросная	0.733	0.311	0.530
godsend	знаходка	0.865	0.562	0.613
godson	хроснік	0.680	0.515	0.429
gofuckyourself	gofuckyourself	0.167	0.654	0.415
goggle	вытрашчыўся	0.525	0.286	0.360
goggles	акуляры ахоўныя	0.667	0.360	0.278
gold	золата	0.939	0.686	0.692
golden	залаты	0.802	0.491	0.609
goldfish	залатая рыбка	0.786	0.296	0.317
golf	гольф	0.573	0.358	0.447
golfer	гулец у гольф	0.602	0.402	0.578
golfing	гульня ў гольф	0.625	0.427	0.455
gondola	гандола	0.520	0.404	0.379
gone	прайшло	0.292	0.230	0.190
goner	кончаны чалавек	0.410	0.461	0.274
gong	NO TRANSLATION	0.490	0.529	0.462
gonorrhea	ганарэя	0.106	0.635	0.322
goo	ліпкая	0.439	0.396	0.312
goober	земляны арэх	0.469	0.444	0.342
good	добра	0.938	0.368	0.534
goodbye	да пабачэння	0.240	0.389	0.328
goodday	добры дзень	0.961	0.357	0.418
goodfeeling	NO TRANSLATION	0.939	0.459	0.679
goodhealth	NO TRANSLATION	0.938	0.402	0.712
goodie	Гудзі	0.854	0.327	0.600
goodies	прысмакі	0.950	0.622	0.424
goodlife	GOODLIFE	0.917	0.471	0.736
goodly	прыгожы	0.701	0.471	0.636
goodmood	NO TRANSLATION	0.823	0.491	0.519
goodmorning	добрай раніцы	0.922	0.461	0.552
goodmusic	goodmusic	0.756	0.500	0.500
goodness	дабрыня	0.969	0.321	0.715
goodnews	добрыя навіны	0.961	0.740	0.768
goods	тавары	0.888	0.396	0.726
goodtimes	добры час	0.910	0.526	0.629
goodvibes	NO TRANSLATION	0.827	0.500	0.534
goodwill	добразычлівасць	0.938	0.327	0.667
goody	сентыментальны	0.786	0.337	0.570
gooey	клейкі	0.392	0.480	0.445
goof	лох	0.448	0.490	0.272
goofball	дурня	0.561	0.550	0.382
goofy	бесталковы	0.281	0.224	0.179
goon	працягваць	0.312	0.481	0.361
gooood	gooood	0.857	0.652	0.547
goop	GOOP	0.469	0.394	0.333
goose	гусь	0.479	0.283	0.265
gopher	суслік	0.449	0.440	0.421
gore	ластовица	0.260	0.608	0.518
gorge	цясніна	0.365	0.644	0.420
gorgeous	цудоўны	0.920	0.560	0.741
gorilla	гарыла	0.565	0.720	0.648
gory	скрываўлены	0.140	0.875	0.455
gospel	евангелле	0.740	0.333	0.580
gossip	плётка	0.173	0.765	0.245
gothic	готыка	0.197	0.333	0.475
gouge	выдзёўбваць	0.396	0.441	0.400
goulash	гуляш	0.582	0.429	0.347
gourd	гарбуз	0.427	0.271	0.289
gourmet	гурман	0.911	0.387	0.562
gout	падагра	0.354	0.314	0.170
govern	правіць	0.573	0.702	0.980
governess	гувернантка	0.426	0.500	0.632
governing	кіруючы	0.635	0.700	0.900
government	ўрад	0.427	0.530	0.850
governmental	ўрадавы	0.521	0.541	0.906
governor	губернатар	0.500	0.683	0.934
gown	сукенка	0.625	0.283	0.421
grab	грэйфера	0.448	0.706	0.538
grace	благадаць	0.906	0.304	0.462
graceful	хупавы	0.906	0.510	0.655
gracias	NO TRANSLATION	0.833	0.356	0.600
gracious	літасцівы	0.918	0.634	0.637
graciously	ласкава	0.948	0.353	0.680
grad	NO TRANSLATION	0.806	0.538	0.733
gradation	градацыя	0.487	0.477	0.616
grade	клас	0.698	0.360	0.600
graded	градуяваны	0.562	0.340	0.759
grader	грэйдэр	0.583	0.317	0.420
grades	гатункаў	0.521	0.349	0.566
gradient	градыент	0.480	0.423	0.509
gradschool	NO TRANSLATION	0.616	0.602	0.528
gradual	паступовы	0.571	0.350	0.509
gradually	паступова	0.583	0.385	0.464
graduate	скончыць навучальную установу	0.898	0.549	0.778
graduation	градацыя	0.880	0.670	0.837
graffiti	графіці	0.582	0.633	0.353
graft	трансплантаты	0.410	0.528	0.420
grail	Грааль	0.573	0.384	0.566
grain	зерне	0.390	0.198	0.302
gram	грам	0.578	0.333	0.260
grammar	граматыка	0.560	0.287	0.607
grand	вялікі	0.898	0.740	0.888
grand theft auto	Grand Theft Auto	0.493	0.663	0.580
grandchild	унук	0.781	0.433	0.465
grandchildren	внучата	0.796	0.545	0.426
granddad	дзед	0.740	0.248	0.461
granddaddy	дзядуля	0.708	0.291	0.480
granddaughter	ўнучка	0.823	0.445	0.389
grandeur	грандыёзнасць	0.885	0.796	0.839
grandfather	дзед	0.827	0.279	0.586
grandiose	грандыёзны	0.900	0.682	0.864
grandma	бабуля	0.796	0.208	0.491
grandmother	бабуля	0.792	0.283	0.426
grandpa	дзядуля	0.806	0.296	0.466
grandson	унук	0.778	0.333	0.500
grandstand	трыбуна	0.500	0.679	0.708
grange	мыза	0.531	0.340	0.391
granite	граніт	0.572	0.343	0.483
granny	бабуля	0.796	0.240	0.452
granola	гранола	0.625	0.240	0.281
grant	дараваць	0.719	0.380	0.667
granted	прадастаўляецца	0.882	0.348	0.779
grantee	Цессионарий	0.865	0.477	0.708
grantor	дарыльнік	0.542	0.500	0.717
granular	крупчасты	0.478	0.337	0.443
granule	гранула	0.406	0.373	0.316
grape	вінаград	0.729	0.122	0.295
grape juice	вінаградны сок	0.696	0.304	0.267
grapefruit	грэйпфрут	0.521	0.281	0.282
grapes	вінаград	0.784	0.240	0.236
grapevine	вінаградная лаза	0.541	0.343	0.232
graph	графік	0.510	0.286	0.621
graphic	графічны	0.602	0.494	0.491
graphics	графіка	0.542	0.431	0.509
graphite	графіт	0.479	0.377	0.336
grapple	прычапіццца	0.490	0.577	0.482
grappling	змагаецца	0.448	0.676	0.516
grasp	схопліванне	0.560	0.623	0.570
grasping	захопліваючы	0.327	0.561	0.561
grass	трава	0.604	0.164	0.333
grasshopper	конік	0.500	0.462	0.287
grassy	травяністы	0.647	0.323	0.371
grate	рашотка	0.333	0.250	0.419
grated	цёрты	0.357	0.462	0.361
grateful	удзячны	0.958	0.353	0.560
gratification	задавальненне	0.867	0.643	0.755
gratified	задавальненне	0.781	0.519	0.702
gratify	патураць	0.837	0.539	0.794
gratifying	ўцешна	0.857	0.606	0.776
grating	рашотка	0.512	0.337	0.282
gratis	NO TRANSLATION	0.796	0.510	0.417
gratitude	падзяку	0.885	0.441	0.610
gratuitous	беспадстаўны	0.735	0.650	0.452
gratuity	хабар	0.865	0.500	0.462
grave	магіла	0.153	0.385	0.386
gravel	жвір	0.390	0.370	0.332
graver	NO TRANSLATION	0.102	0.622	0.453
graveyard	могілках	0.041	0.441	0.272
gravitate	імкнуцца	0.479	0.472	0.476
gravitation	прыцягненне	0.698	0.592	0.600
gravitational	гравітацыйны	0.528	0.510	0.691
gravity	сіла цяжару	0.510	0.635	0.538
gravy	падліўкі	0.608	0.450	0.339
gray	шэры	0.335	0.153	0.189
graze	дзяўбок	0.560	0.255	0.371
grease	змазка	0.255	0.404	0.306
greased	змазаны	0.250	0.461	0.368
greaser	змазчык	0.408	0.518	0.462
greasy	сальны	0.399	0.442	0.294
great	вялікі	0.958	0.665	0.810
great anticipation	прадчуванне	0.786	0.735	0.655
great aunt	прабабуля	0.896	0.419	0.589
great disgust	вялікае агіду	0.042	0.836	0.389
great grandfather	прадзед	0.729	0.241	0.569
great grandma	вялікі бабка	0.771	0.221	0.491
great grandmother	прабабуля	0.802	0.236	0.549
great grandpa	вялікі дзядуля	0.857	0.280	0.602
great surprise	вялікі сюрпрыз	0.939	0.941	0.688
great trust	вялікі давер	0.939	0.528	0.853
great uncle	прадядя	0.729	0.398	0.621
greatday	NO TRANSLATION	0.823	0.571	0.574
greater	вялікая	0.755	0.519	0.796
greatest	найвялікшы	0.847	0.627	0.922
greatfriends	NO TRANSLATION	0.908	0.593	0.570
greatful	NO TRANSLATION	0.923	0.571	0.676
greatly	значна	0.750	0.708	0.877
greatly negative	моцна адмоўны	0.051	0.640	0.282
greatly positive	вельмі пазітыўны	0.967	0.538	0.877
greatness	веліч	0.990	0.750	0.943
greatnight	NO TRANSLATION	0.918	0.349	0.574
greed	прагнасць	0.173	0.780	0.528
greedy	прагны	0.125	0.660	0.476
green	зялёны	0.630	0.306	0.333
green bean	зялёная фасолю	0.469	0.280	0.304
green pepper	зялёны перац	0.500	0.431	0.425
green snake	зялёная змяя	0.229	0.634	0.614
greenhouse	цяпліца	0.719	0.438	0.384
greenish	зялёны	0.574	0.290	0.429
greenwood	ліставы лес	0.531	0.382	0.491
greet	вітаць	0.885	0.539	0.618
greeted	сустрэта	0.781	0.317	0.454
greeting	прывітанне	0.854	0.556	0.510
gregarious	статкавы	0.551	0.471	0.529
grenade	граната	0.281	0.777	0.694
grey	шэры	0.347	0.140	0.295
greyhound	хорт	0.520	0.490	0.440
grid	сетка	0.562	0.426	0.443
gridiron	каласнікі	0.667	0.491	0.425
grief	гора	0.070	0.640	0.474
grievance	крыўда	0.092	0.635	0.364
grieve	гараваць	0.122	0.500	0.333
grieved	засмучаны	0.104	0.460	0.191
grieving	скарбячая	0.093	0.673	0.403
grievous	пакутлівы	0.146	0.640	0.179
griffin	грыфон	0.418	0.337	0.360
grill	грыль	0.755	0.491	0.546
grille	рашотка	0.337	0.327	0.246
grilled	грыль	0.702	0.500	0.373
grim	змрочны	0.310	0.483	0.298
grime	бруднымі	0.198	0.500	0.225
grimy	мурзаты	0.112	0.597	0.283
grin	ўсмешка	0.885	0.570	0.491
grind	расцерці	0.480	0.276	0.397
grinder	шліфавальны станок	0.459	0.615	0.561
grinding	шліфоўка	0.415	0.450	0.461
grindstone	чавільню	0.541	0.453	0.526
gringo	гринго	0.540	0.452	0.510
grip	дзяржальня	0.520	0.549	0.602
gripe	схопліванне	0.184	0.526	0.241
grisly	кепскі	0.083	0.863	0.426
grist	памол	0.317	0.391	0.363
grit	зярністасць	0.449	0.296	0.345
grits	аўсяная крупы	0.458	0.333	0.346
gritty	пяшчаны	0.417	0.373	0.375
grizzly	Грызлі	0.398	0.679	0.657
groan	кряхтеть	0.396	0.750	0.351
grocer	бакалейшчыка	0.625	0.250	0.382
groceries	бакалейныя тавары	0.740	0.363	0.417
grocery	прадуктовы	0.687	0.540	0.446
groggy	нетрывалы	0.235	0.265	0.194
groin	пахвіну	0.296	0.452	0.364
groom	жаніх	0.698	0.500	0.605
groove	пазу	0.552	0.448	0.361
groovy	завадны	0.615	0.538	0.464
grope	намацваць	0.420	0.559	0.358
gross	брута	0.115	0.575	0.181
grotesque	гратэскавы	0.135	0.788	0.500
grotto	грот	0.510	0.394	0.336
grouch	бурчэць	0.342	0.593	0.411
grouchy	бурклівы	0.143	0.708	0.407
ground	зямля	0.398	0.343	0.602
grounded	заземлены	0.531	0.601	0.509
groundhog	сурок лясной амерыканскі	0.385	0.324	0.377
grounding	зазямлення	0.521	0.452	0.591
groundless	неабгрунтаваны	0.333	0.535	0.387
grounds	падставы	0.667	0.500	0.598
groundwork	падмурак	0.500	0.375	0.593
group	група	0.573	0.423	0.480
groupie	Групу	0.521	0.583	0.393
grouping	групоўка	0.745	0.580	0.698
grouse	рабчык	0.448	0.401	0.412
grout	цэментны раствор	0.405	0.356	0.366
grove	лясок	0.604	0.245	0.417
grovel	поўзаць	0.360	0.500	0.414
grow	расці	0.914	0.615	0.755
growl	рык	0.194	0.764	0.482
growling	рыкаць	0.119	0.887	0.475
growls	рык	0.125	0.675	0.442
grownup	дарослы	0.735	0.400	0.683
growth	рост	0.917	0.588	0.776
growthefuckup	growthefuckup	0.229	0.692	0.426
grr	ГРР	0.229	0.538	0.333
grrr	Гррр	0.271	0.755	0.327
grrrrr	Grrrrr	0.281	0.633	0.444
grub	надрывацца	0.602	0.406	0.355
grubby	нягег	0.156	0.583	0.176
grudge	нядобразычлівасць	0.115	0.647	0.414
grudging	скупы	0.092	0.636	0.473
grudgingly	неахвотна	0.156	0.610	0.292
gruel	кашыца	0.382	0.304	0.297
grueling	знясільваючы	0.180	0.763	0.704
gruesome	агідны	0.094	0.837	0.474
gruff	грубаваты	0.323	0.611	0.472
grumble	бурчэць	0.101	0.750	0.333
grump	Grump	0.260	0.469	0.425
grumpy	раздражняльны	0.198	0.808	0.559
grunt	рохкаць	0.286	0.798	0.392
grunting	рохканне	0.198	0.827	0.481
guacamole	гуакамоле	0.684	0.317	0.282
guano	гуано	0.296	0.343	0.191
guarantee	гарантыя	0.949	0.337	0.805
guaranty	гарантыя	0.646	0.337	0.818
guard	ахова	0.592	0.510	0.725
guarded	ахоўны	0.758	0.686	0.500
guardhouse	гаўпвахта	0.510	0.435	0.770
guardian	апякун	0.656	0.686	0.789
guardianship	папячыцельства	0.592	0.370	0.681
guards	гвардыя	0.448	0.663	0.720
gubernatorial	губэрнатарскі	0.552	0.604	0.897
guerilla	партызанскі	0.146	0.845	0.727
guerrilla	партызанскі	0.219	0.917	0.792
guess	адгадаць	0.640	0.463	0.442
guesser	адгадчык	0.542	0.670	0.535
guesswork	здагадак	0.417	0.451	0.405
guest	госць	0.719	0.490	0.558
guesthouse	пансіён	0.729	0.337	0.406
guidance	кіраўніцтва	0.729	0.471	0.718
guide	кіраўніцтва	0.688	0.315	0.620
guidebook	даведнік	0.677	0.260	0.427
guidelines	кіруючыя ўказанні	0.459	0.500	0.664
guiding	накіроўвалы	0.667	0.520	0.714
guild	гільдыя	0.580	0.459	0.729
guile	падступства	0.410	0.417	0.467
guillotine	гільяціна	0.163	0.817	0.585
guilt	пачуццё віны	0.208	0.567	0.206
guilty	вінаваты	0.135	0.770	0.352
guinea	гинея	0.521	0.440	0.396
guise	маска	0.531	0.547	0.324
guitar	гітара	0.844	0.542	0.469
guitarist	гітарыст	0.827	0.740	0.549
gules	чырвоны колер	0.469	0.443	0.340
gulf	бездань	0.520	0.365	0.398
gull	чайка	0.594	0.317	0.378
gullet	стрававод	0.385	0.490	0.393
gullible	легкаверны	0.440	0.442	0.318
gully	вадасцёк	0.316	0.519	0.394
gulp	глытанне	0.551	0.660	0.409
gum	жавальная гумка	0.573	0.227	0.213
gumbo	гумбо	0.500	0.422	0.361
gummy	смалісты	0.521	0.302	0.291
gumption	кемлівасць	0.480	0.538	0.488
gun	пісталет	0.147	0.920	0.713
gunboat	кананерская лодка	0.139	0.663	0.618
gunfight	бойка з прымяненнем агнястрэльнай зброі	0.051	0.961	0.700
gunfighter	стрэлак	0.156	0.910	0.741
gunfire	гарматны агонь	0.156	0.930	0.673
gunk	дрэнь	0.250	0.478	0.219
gunman	бандыт	0.167	0.922	0.689
gunmen	баевікі	0.073	0.942	0.727
gunner	кулямётчык	0.250	0.853	0.817
gunnery	артылерыйскае справа	0.281	0.861	0.873
gunplay	перастрэлка	0.133	0.906	0.627
gunpoint	дула пісталета	0.188	0.817	0.719
gunpowder	порах	0.425	0.853	0.509
gunshot	агнястрэльную	0.042	0.953	0.673
gunslinger	стрэлак	0.316	0.873	0.811
gurney	Гурноў	0.408	0.304	0.352
guru	гуру	0.573	0.360	0.653
gush	фантанаваць	0.510	0.490	0.381
gusher	нафтавай фантан	0.406	0.520	0.453
gusset	ластовица	0.427	0.425	0.423
gust	парыў ветру	0.490	0.755	0.556
gusto	NO TRANSLATION	0.692	0.729	0.620
gusty	парывісты	0.687	0.631	0.455
gut	патрашыць	0.408	0.367	0.364
gutless	бязвольны	0.250	0.381	0.384
guts	кішкі	0.592	0.649	0.582
gutsy	бясстрашны	0.635	0.573	0.536
gutter	вадасцёкавы жолаб	0.466	0.260	0.400
guy	хлопец	0.583	0.367	0.546
guzzler	абжора	0.393	0.537	0.436
guzzling	паглынальнай	0.460	0.490	0.380
gym	гімнастычны зала	0.635	0.690	0.613
gymnasium	гімнастычны зала	0.667	0.561	0.474
gymnast	гімнаст	0.670	0.760	0.558
gymnastic	гімнастычны	0.810	0.706	0.604
gymnastics	гімнастыка	0.745	0.677	0.508
gynecologist	гінеколаг	0.552	0.566	0.682
gynecology	гінекалогія	0.408	0.590	0.519
gypsy	цыганскі	0.375	0.665	0.396
gyroscope	гіраскоп	0.500	0.390	0.510
habit	звычка	0.625	0.226	0.585
habitat	асяроддзе пражывання	0.633	0.343	0.553
habitation	жыллё	0.781	0.231	0.538
habitual	звыклы	0.527	0.208	0.490
habitually	звыкла	0.600	0.324	0.583
hacienda	гасиенда	0.688	0.402	0.573
hack	матыка	0.135	0.717	0.534
hacker	хакер	0.271	0.755	0.740
hacksaw	ножовка	0.406	0.645	0.537
hadenough	NO TRANSLATION	0.323	0.566	0.529
hag	карга	0.188	0.695	0.411
haggard	змардаваны	0.115	0.510	0.246
haggle	гандлявацца	0.480	0.601	0.461
haiku	хайку	0.583	0.356	0.392
hail	воклік	0.459	0.627	0.411
hair	валасы	0.582	0.186	0.286
hairball	Hairball	0.370	0.302	0.315
hairbrush	шчотка для валасоў	0.454	0.216	0.263
haircut	стрыжка	0.677	0.343	0.307
hairdo	прычоска	0.552	0.320	0.435
hairdresser	цырульнік	0.708	0.509	0.407
hairdryer	фен	0.642	0.402	0.330
hairless	безвалосы	0.136	0.235	0.139
hairline	волосные	0.418	0.154	0.230
hairpin	шпілька	0.459	0.363	0.370
hairspray	Лак для валасоў	0.549	0.279	0.269
hairstyle	прычоска	0.771	0.380	0.433
hairy	валасаты	0.542	0.380	0.343
hale	здаровы	0.479	0.435	0.500
half	палова	0.500	0.274	0.276
half dollar	паўдаляра	0.573	0.408	0.509
halfback	паўабаронца	0.490	0.429	0.440
halftime	полупериод	0.458	0.352	0.429
halfway	на паўдарозе	0.510	0.254	0.339
halibut	палтус	0.449	0.412	0.411
hall	зала	0.510	0.340	0.424
hallelujah	алілуя	0.770	0.554	0.657
hallmark	адметны прыкмета	0.646	0.315	0.411
hallowed	свяціцца	0.740	0.500	0.728
hallucination	галюцынацыя	0.396	0.706	0.370
hallway	пярэдні пакой	0.573	0.230	0.279
halo	гало	0.490	0.370	0.441
halt	стой	0.167	0.360	0.432
halter	недоуздок	0.448	0.451	0.431
halting	запінаўся	0.255	0.596	0.519
halve	дзяліць папалам	0.316	0.347	0.302
halving	зрошчванне	0.292	0.474	0.366
ham	вяндліна	0.673	0.245	0.404
hamburger	гамбургер	0.809	0.551	0.387
hamlet	вёсачка	0.573	0.270	0.397
hammer	малаток	0.312	0.509	0.563
hammerhead	Hammerhead	0.337	0.490	0.569
hammering	чаканка	0.347	0.779	0.557
hammock	гамак	0.673	0.255	0.287
hamper	абцяжарваць	0.204	0.711	0.473
hamster	хамяк	0.520	0.394	0.349
hamstring	калечыць	0.406	0.471	0.443
hand	рука	0.542	0.314	0.434
handbag	сумка	0.562	0.240	0.336
handball	гандбол	0.561	0.493	0.440
handbook	кіраўніцтва	0.600	0.224	0.567
handcuff	кайданкі	0.310	0.590	0.593
handful	жменю	0.521	0.481	0.400
handgun	пісталет	0.156	0.914	0.782
handheld	партатыўны	0.646	0.350	0.586
handicap	Гандыкапы	0.133	0.394	0.264
handicapped	інвалід	0.204	0.467	0.180
handicraft	рамесны	0.724	0.333	0.565
handiwork	ручная работа	0.753	0.430	0.410
handkerchief	насоўку	0.510	0.192	0.219
handle	ручка	0.698	0.571	0.558
handler	апрацоўшчык	0.439	0.593	0.861
handmade	ручная работа	0.776	0.383	0.475
handout	рэкламны праспект	0.560	0.330	0.545
handprint	ідэнтыфікацыйны	0.635	0.289	0.463
handshake	поціск рукі	0.816	0.654	0.492
handsome	прыгожы	0.890	0.600	0.682
handwriting	почырк	0.615	0.378	0.381
handy	зручны	0.741	0.378	0.639
handyman	майстар на ўсе рукі	0.660	0.373	0.393
hang	вешаць	0.323	0.529	0.446
hangar	ангар	0.490	0.456	0.481
hanger	вешалка	0.439	0.462	0.461
hanging	падвешванне	0.378	0.471	0.389
hangman	кат	0.153	0.877	0.555
hangout	прытон	0.573	0.500	0.462
hangover	пахмелле	0.188	0.565	0.267
hangry	Hangry	0.219	0.794	0.279
hank	скрутак	0.510	0.375	0.339
hankering	гарачае жаданне	0.604	0.540	0.558
hanky	насоўку	0.460	0.276	0.250
hap	NO TRANSLATION	0.503	0.431	0.453
haphazard	бессістэмны	0.469	0.530	0.324
hapless	няўдачлівы	0.271	0.442	0.193
happen	здарацца	0.677	0.670	0.551
happening	адбываецца	0.646	0.529	0.555
happier	шчаслівей	0.990	0.760	0.806
happiest	самы шчаслівы	0.990	0.716	0.746
happily	шчасліва	1.000	0.690	0.674
happiness	шчасце	0.960	0.732	0.850
happy	шчаслівы	1.000	0.735	0.772
happydance	happydance	0.857	0.760	0.582
happyday	шчаслівы дзень	0.929	0.650	0.663
happyheart	happyheart	0.949	0.575	0.605
happyholidays	NO TRANSLATION	0.927	0.740	0.637
happynewyear	NO TRANSLATION	0.969	0.815	0.559
happyplace	happyplace	0.938	0.589	0.645
happytweet	NO TRANSLATION	0.847	0.588	0.437
happyvalentinesday	NO TRANSLATION	0.929	0.784	0.509
harass	даймаць	0.160	0.775	0.620
harassing	турбуюць	0.120	0.873	0.446
harassment	дамаганне	0.083	0.896	0.420
harbinger	прадвеснік	0.490	0.389	0.692
harbor	гавань	0.594	0.356	0.634
hard	жорсткі	0.302	0.708	0.616
hardball	бескампраміснасць	0.542	0.667	0.452
hardcore	хардкор	0.250	0.721	0.585
harden	зацвярдзець	0.276	0.598	0.677
hardened	загартаваныя	0.406	0.618	0.764
hardening	ўмацаванне	0.388	0.673	0.741
hardheaded	цяжка на чале	0.156	0.699	0.571
hardness	цвёрдасць	0.417	0.580	0.745
hardship	пазбаўлення	0.094	0.775	0.482
hardware	апаратныя сродкі	0.594	0.289	0.686
hardwood	цвёрдая драўніна	0.417	0.363	0.518
hardworking	цяжка працаваць	0.719	0.583	0.792
hardy	цягавіты	0.571	0.569	0.810
hare	заяц	0.620	0.410	0.345
harebrained	неабдуманы	0.296	0.551	0.436
harem	гарэм	0.521	0.578	0.582
hark	чу	0.571	0.500	0.398
harlot	прастытутка	0.198	0.798	0.330
harm	шкоду	0.073	0.679	0.423
harmful	шкодны	0.094	0.750	0.291
harmless	бясшкодны	0.625	0.226	0.241
harmonica	губны гармонік	0.847	0.235	0.510
harmonics	гармонікі	0.865	0.400	0.575
harmonious	гарманічны	0.938	0.391	0.719
harmoniously	гарманічна	0.969	0.265	0.647
harmonize	гарманізаваць	0.939	0.461	0.609
harmony	гармонія	0.949	0.230	0.509
harness	вупраж	0.570	0.549	0.508
harp	арфа	0.618	0.310	0.356
harper	арфістаў	0.417	0.454	0.435
harpoon	гарпун	0.490	0.700	0.557
harpsichord	клавесін	0.541	0.490	0.438
harrowing	баранаванне	0.209	0.810	0.474
harry	руйнаваць	0.520	0.409	0.390
harsh	суровы	0.250	0.650	0.623
harshness	рэзкасць	0.323	0.600	0.779
hart	алень-самец	0.643	0.389	0.447
harvest	ўраджай	0.781	0.353	0.548
