Word	Czech-cs	Valence	Arousal	Dominance
howsoever	jakkoli	0.459	0.309	0.345
hoy	NO TRANSLATION	0.583	0.298	0.471
hub	rozbočovač	0.479	0.399	0.433
hubby	manžílek	0.548	0.435	0.430
huckleberry	borůvka	0.600	0.279	0.296
huddle	shluk	0.604	0.509	0.445
hue	odstín	0.507	0.416	0.417
huff	zlost	0.388	0.491	0.315
huffy	urážlivý	0.420	0.616	0.375
hug	obejmout	0.908	0.427	0.548
huge	obrovský	0.573	0.625	0.783
hugger	hugger	0.520	0.480	0.412
huggy	huggy	0.854	0.429	0.451
hugs	Objetí	0.980	0.422	0.600
hulk	vrak	0.460	0.740	0.750
hull	trup	0.542	0.265	0.353
hum	hučení	0.490	0.296	0.276
human	člověk	0.767	0.314	0.605
humane	humánní	0.800	0.370	0.580
humanitarian	humanitární	0.786	0.317	0.709
humanities	humanitních oborů	0.729	0.325	0.677
humanity	lidstvo	0.750	0.360	0.727
humankind	lidstvo	0.885	0.394	0.714
humanoid	humanoid	0.521	0.462	0.491
humanrights	NO TRANSLATION	0.792	0.559	0.730
humble	pokořit	0.867	0.236	0.483
humbled	ponížený	0.280	0.618	0.198
humbly	pokorně	0.771	0.194	0.370
humbug	švindl	0.219	0.622	0.456
humdrum	fádní	0.269	0.246	0.353
humid	vlhký	0.375	0.324	0.366
humidity	vlhkost vzduchu	0.464	0.373	0.367
humiliate	ponížit	0.052	0.714	0.275
humiliated	ponížený	0.104	0.712	0.216
humiliating	ponižující	0.062	0.716	0.279
humiliation	ponížení	0.048	0.712	0.310
humility	pokora	0.740	0.118	0.444
hummer	hummer	0.510	0.622	0.589
hummingbird	kolibřík	0.750	0.370	0.273
humongous	humongous	0.378	0.538	0.536
humor	humor	0.890	0.633	0.462
humored	humorózní	0.854	0.657	0.545
humorist	humorista	0.958	0.790	0.607
humorous	vtipný	0.906	0.616	0.665
hump	hrb	0.296	0.462	0.250
humpback	hrbáč	0.235	0.346	0.247
hunch	tušení	0.561	0.630	0.567
hunchback	hrbáč	0.208	0.390	0.259
hundred	sto	0.604	0.370	0.406
hundredth	setina	0.427	0.368	0.466
hunger	hlad	0.083	0.554	0.328
hungry	hladový	0.083	0.690	0.254
hunk	skýva	0.438	0.375	0.361
hunks	lakomec	0.417	0.453	0.482
hunky	hunky	0.469	0.571	0.438
hunt	lov	0.327	0.806	0.588
hunter	lovec	0.292	0.817	0.817
hunting	lov	0.448	0.713	0.714
huntress	lovkyně	0.357	0.717	0.765
hurdle	překážka	0.198	0.682	0.434
hurl	mrštit	0.316	0.745	0.574
hurrah	Hurá	0.802	0.740	0.500
hurricane	hurikán	0.177	0.958	0.787
hurricanes	hurikány	0.286	0.898	0.784
hurried	spěchal	0.314	0.806	0.393
hurry	pospěš si	0.422	0.735	0.481
hurryup	NO TRANSLATION	0.473	0.791	0.555
hurt	zranit	0.062	0.773	0.291
hurtful	bolestný	0.104	0.680	0.463
hurting	bolest	0.153	0.778	0.221
husband	manžel	0.771	0.500	0.655
husbandry	hospodářství	0.643	0.473	0.445
hush	utišit	0.471	0.231	0.312
hushed	tichý	0.292	0.194	0.272
husk	NO TRANSLATION	0.378	0.173	0.147
husky	chraplavý	0.630	0.450	0.490
hussy	pochybná ženština	0.219	0.594	0.384
hustle	ruch	0.406	0.661	0.427
hustler	hustler	0.260	0.821	0.627
hut	chata	0.633	0.270	0.375
hutch	králíkárna	0.385	0.453	0.520
hyacinth	hyacint	0.372	0.360	0.342
hybrid	hybridní	0.500	0.365	0.570
hydra	Hydra	0.406	0.598	0.534
hydrant	hydrant	0.570	0.413	0.367
hydrate	hydrát	0.610	0.367	0.547
hydraulic	hydraulické	0.522	0.398	0.596
hydraulics	hydraulika	0.500	0.530	0.588
hydrocephalus	hydrocefalus	0.286	0.629	0.393
hydrodynamics	hydrodynamika	0.552	0.582	0.664
hydrogen	vodík	0.469	0.303	0.554
hydrographic	hydrografické	0.490	0.396	0.642
hydrology	hydrologie	0.500	0.380	0.509
hydrophobia	hydrofobie	0.323	0.784	0.351
hydroponics	hydroponie	0.500	0.549	0.500
hyena	hyena	0.396	0.719	0.464
hygiene	hygiena	0.781	0.287	0.537
hygienic	hygienický	0.719	0.245	0.702
hygienist	hygienist	0.698	0.389	0.682
hymen	Panenská blána	0.469	0.651	0.457
hymn	hymnus	0.735	0.292	0.634
hype	humbuk	0.510	0.500	0.586
hyped	hyped	0.708	0.582	0.679
hyper	hyper	0.542	0.616	0.640
hyperactive	hyperaktivní	0.500	0.921	0.660
hyperbole	nadsázka	0.469	0.521	0.542
hyperspace	hyperprostor	0.510	0.623	0.755
hypertension	hypertenze	0.133	0.784	0.427
hypertrophy	hypertrofii	0.312	0.625	0.413
hyperventilate	hyperventilát	0.347	0.729	0.556
hyperventilating	hyperventilační	0.164	0.802	0.625
hyphen	pomlčka	0.552	0.356	0.381
hypnosis	hypnóza	0.417	0.410	0.546
hypnotic	hypnotický	0.571	0.560	0.569
hypnotist	hypnotizér	0.490	0.455	0.627
hypnotize	hypnotizovat	0.469	0.507	0.508
hypnotized	hypnotizován	0.449	0.434	0.380
hypochondriac	hypochondr	0.194	0.588	0.333
hypocrisy	pokrytectví	0.156	0.523	0.370
hypocrite	pokrytec	0.082	0.673	0.306
hypocritical	pokrytecký	0.048	0.740	0.415
hypodermic	podkožní	0.240	0.441	0.445
hypothalamus	hypotalamus	0.593	0.427	0.539
hypothermia	podchlazení	0.184	0.620	0.301
hypothesis	hypotéza	0.552	0.370	0.509
hypothetical	hypotetický	0.480	0.367	0.361
hysterectomy	hysterektomie	0.178	0.660	0.470
hysteria	hysterie	0.224	0.906	0.482
hysterical	hysterický	0.290	0.942	0.398
ibuprofen	ibuprofen	0.448	0.427	0.504
ice	led	0.440	0.265	0.219
ice tea	ledový čaj	0.771	0.337	0.336
iceberg	ledovec	0.344	0.540	0.648
icebox	lednice	0.560	0.222	0.370
icebreaker	ledoborec	0.571	0.545	0.848
iced	ledový	0.564	0.482	0.339
icing	námrazy	0.688	0.452	0.411
icky	icky	0.357	0.510	0.342
icon	ikona	0.549	0.349	0.415
iconic	ikonický	0.583	0.537	0.700
iconography	ikonografie	0.602	0.382	0.653
icy	ledový	0.684	0.375	0.345
id	id	0.449	0.344	0.391
idea	idea	0.750	0.538	0.704
ideal	ideál	0.802	0.437	0.736
idealism	idealismus	0.635	0.436	0.689
idealist	idealista	0.816	0.510	0.802
idealistic	idealistický	0.812	0.469	0.755
identical	identické	0.635	0.380	0.527
identically	identický	0.667	0.427	0.487
identification	identifikace	0.714	0.451	0.692
identify	identifikovat	0.635	0.480	0.667
identity	identita	0.663	0.360	0.780
ideology	ideologie	0.573	0.344	0.692
idiocy	idiotství	0.112	0.635	0.137
idiom	idiom	0.520	0.337	0.445
idiomatic	idiomatické	0.531	0.429	0.516
idiot	idiot	0.086	0.567	0.113
idiotic	idiotský	0.104	0.620	0.170
idiots	idioti	0.143	0.600	0.144
idle	líný	0.179	0.167	0.112
idleness	zahálka	0.308	0.330	0.228
idler	idler	0.200	0.304	0.194
idol	modla	0.684	0.805	0.853
idolatry	modlářství	0.365	0.571	0.625
idolizing	idolizace	0.676	0.712	0.643
idyllic	idylický	0.571	0.394	0.593
iffy	iffy	0.380	0.442	0.333
ifonly	pokud ano	0.406	0.250	0.255
igloo	iglú	0.569	0.302	0.345
igneous	ohnivý	0.469	0.466	0.517
ignite	zapálit	0.458	0.785	0.675
ignition	zapalování	0.365	0.720	0.657
ignorance	neznalost	0.153	0.417	0.209
ignorant	neznalý	0.102	0.461	0.223
ignore	ignorovat	0.146	0.230	0.295
iguana	iguana	0.521	0.235	0.291
ihatespiders	NO TRANSLATION	0.245	0.611	0.420
ilk	NO TRANSLATION	0.438	0.451	0.455
ill	nemocný	0.073	0.410	0.200
illegal	ilegální	0.061	0.787	0.337
illegality	nezákonnost	0.094	0.635	0.427
illegally	nelegálně	0.133	0.788	0.402
illegible	nečitelný	0.296	0.490	0.315
illegitimate	nelegitimní	0.184	0.644	0.302
illicit	nedovolený	0.188	0.794	0.390
illiterate	negramotný	0.120	0.410	0.151
illness	nemoc	0.098	0.717	0.211
illogical	nelogický	0.208	0.630	0.251
illuminate	osvětlit	0.905	0.646	0.782
illuminating	osvětlení	0.949	0.613	0.773
illumination	osvětlení	0.760	0.588	0.537
illuminator	iluminátor	0.770	0.566	0.718
illusion	iluze	0.562	0.490	0.387
illustrate	ilustrovat	0.750	0.430	0.690
illustration	ilustrace	0.740	0.441	0.640
illustrative	ilustrativní	0.771	0.452	0.647
illustrious	proslulý	0.673	0.550	0.741
ilovechristmas	NO TRANSLATION	0.885	0.590	0.525
iloveher	NO TRANSLATION	0.750	0.519	0.556
image	obraz	0.653	0.241	0.453
imagery	snímky	0.653	0.327	0.390
imaginable	představitelné	0.613	0.529	0.596
imaginary	imaginární	0.560	0.424	0.310
imagination	fantazie	0.802	0.491	0.547
imaginative	imaginativní	0.780	0.541	0.593
imagine	představ si	0.759	0.480	0.587
imagined	představoval	0.656	0.412	0.418
imaging	zobrazování	0.724	0.394	0.482
imagining	představovat	0.765	0.458	0.545
imam	NO TRANSLATION	0.527	0.337	0.539
imbalance	nerovnováha	0.115	0.538	0.264
imbecile	imbecilní	0.082	0.569	0.260
imbedded	vložené	0.406	0.580	0.562
imissyou	NO TRANSLATION	0.480	0.608	0.344
imitate	napodobit	0.469	0.561	0.336
imitated	napodoben	0.333	0.391	0.442
imitation	imitace	0.406	0.592	0.343
immaculate	bezvadný	0.698	0.330	0.688
immaterial	nehmotný	0.296	0.309	0.295
immature	nezralý	0.114	0.500	0.200
immaturity	nezralost	0.146	0.567	0.221
immeasurable	nezměrné	0.510	0.539	0.712
immeasurably	nezměřitelný	0.510	0.640	0.680
immediacy	bezprostřednost	0.635	0.630	0.627
immediate	bezprostřední	0.656	0.548	0.716
immediately	ihned	0.552	0.780	0.707
immemorial	prastarý	0.327	0.469	0.454
immense	obrovský	0.755	0.750	0.811
immerse	ponořit	0.510	0.577	0.509
immersion	ponoření	0.510	0.556	0.564
immigrant	přistěhovalec	0.357	0.663	0.509
immigration	přistěhovalectví	0.390	0.667	0.454
imminent	bezprostřední	0.490	0.784	0.643
immobile	nehybný	0.225	0.217	0.298
immoral	nemorální	0.143	0.622	0.385
immorality	nemorálnost	0.188	0.689	0.315
immortal	nesmrtelný	0.812	0.750	0.795
immortality	nesmrtelnost	0.688	0.635	0.861
immovable	nemovitost	0.480	0.310	0.571
immune	imunní	0.629	0.472	0.780
immunity	imunita	0.633	0.316	0.786
immunization	imunizace	0.667	0.510	0.733
immutable	neměnný	0.427	0.431	0.571
imp	imp	0.350	0.448	0.420
impact	dopad	0.469	0.884	0.776
impair	narušit	0.153	0.500	0.360
impaired	poškozen	0.130	0.459	0.269
impairment	poškození	0.170	0.571	0.220
impart	předat	0.521	0.441	0.694
impartial	nestranný	0.531	0.406	0.685
impartiality	nestrannost	0.622	0.394	0.616
impassable	neprůchodné	0.342	0.458	0.553
impassioned	vášnivý	0.740	0.780	0.802
impatience	netrpělivost	0.278	0.780	0.411
impatient	netrpělivý	0.250	0.708	0.429
impatiently	NO TRANSLATION	0.194	0.750	0.539
impeach	obvinit	0.208	0.776	0.664
impeachment	obžaloba	0.163	0.735	0.694
impeccable	dokonalý	0.833	0.370	0.824
impede	překážet	0.271	0.510	0.604
impediment	překážka	0.163	0.600	0.409
impelled	impulzní	0.604	0.741	0.690
impending	hrozící	0.480	0.735	0.752
impenetrable	neproniknutelný	0.531	0.577	0.839
imperative	rozkazovací způsob	0.625	0.647	0.708
imperceptible	nepostřehnutelný	0.378	0.490	0.548
imperfect	nedokonalý	0.173	0.527	0.202
imperfection	nedokonalost	0.190	0.567	0.321
imperfectly	nedokonalé	0.297	0.481	0.330
imperial	císařský	0.669	0.646	0.922
imperialist	NO TRANSLATION	0.284	0.786	0.833
impermeable	nepropustné	0.510	0.308	0.558
impermissible	nepřípustné	0.188	0.464	0.352
impersonal	neosobní	0.316	0.356	0.472
impersonate	vyděsit	0.510	0.632	0.591
impersonation	předstírání identity	0.375	0.618	0.528
impersonator	imitátor	0.469	0.586	0.406
impertinence	drzost	0.170	0.653	0.420
impertinent	impertinentní	0.219	0.826	0.373
impervious	nepropustný	0.582	0.408	0.536
impetuous	impetutivní	0.602	0.814	0.712
impetus	impuls	0.521	0.740	0.635
implacable	nesmiřitelný	0.569	0.663	0.830
implant	implantát	0.429	0.510	0.588
implantation	implantace	0.396	0.604	0.741
implanted	implantován	0.347	0.500	0.679
implement	nářadí	0.720	0.573	0.792
implicate	zaplést	0.250	0.670	0.434
implicated	implicit	0.354	0.673	0.438
implication	implikace	0.337	0.528	0.690
implied	implicitní	0.327	0.530	0.481
implore	prosit	0.396	0.650	0.377
implosion	imploze	0.412	0.724	0.547
imply	imply	0.542	0.670	0.533
impolite	nezdvořilý	0.167	0.590	0.282
import	import	0.615	0.480	0.623
importance	důležitost	0.750	0.580	0.864
important	Důležité	0.827	0.630	0.836
importation	dovoz	0.625	0.500	0.733
impose	vnucovat	0.503	0.721	0.745
imposing	impozantní	0.392	0.731	0.836
imposition	uvalení	0.357	0.604	0.618
impossibility	nemožnost	0.170	0.625	0.306
impossible	nemožné	0.153	0.510	0.407
impostor	podvodník	0.135	0.704	0.442
impotence	impotence	0.198	0.689	0.224
impotent	impotentní	0.146	0.587	0.333
impound	zabavit	0.230	0.587	0.583
impoverished	chudé	0.125	0.311	0.203
impracticable	neproveditelné	0.398	0.549	0.381
impractical	nepraktický	0.160	0.373	0.291
impregnable	nedobytný	0.378	0.549	0.667
impregnate	impregnovat	0.510	0.721	0.655
impress	zapůsobit	0.816	0.744	0.895
impressed	ohromen	0.806	0.770	0.429
impression	dojem	0.684	0.557	0.577
impressionable	vnímavý	0.827	0.720	0.645
impressive	impozantní	0.781	0.830	0.873
imprint	otisk	0.615	0.574	0.685
imprison	uvěznit	0.112	0.829	0.545
imprisoned	uvězněn	0.032	0.717	0.302
imprisonment	odnětí svobody	0.133	0.630	0.471
improbable	nepravděpodobný	0.097	0.412	0.439
impromptu	improvizovaný	0.541	0.729	0.415
improper	nevhodný	0.229	0.520	0.259
impropriety	nevhodný	0.133	0.591	0.389
improve	zlepšit	0.833	0.528	0.815
improved	zlepšení	0.919	0.480	0.679
improvement	zlepšení	0.786	0.500	0.611
improves	zlepšuje	0.929	0.625	0.727
improving	zlepšení	0.911	0.510	0.682
improvisation	improvizace	0.631	0.812	0.529
improvise	improvizovat	0.646	0.650	0.519
improvised	improvizovaný	0.610	0.673	0.443
imprudent	nedůvěřivý	0.170	0.676	0.265
impudence	drzost	0.214	0.500	0.472
impudent	drzý	0.302	0.604	0.462
impulse	impuls	0.530	0.840	0.611
impulsive	impulsivní	0.365	0.864	0.607
impunity	beztrestnost	0.313	0.721	0.602
impure	nečistý	0.260	0.560	0.208
impurity	nečistota	0.173	0.546	0.306
imputation	imputace	0.333	0.654	0.621
imtryingtosleep	NO TRANSLATION	0.438	0.363	0.385
inability	neschopnost	0.150	0.529	0.250
inaccessible	nepřístupný	0.083	0.585	0.446
inaccurate	nepřesné	0.135	0.450	0.250
inaction	nečinnost	0.323	0.225	0.325
inactivate	deaktivovat	0.245	0.240	0.415
inactivation	inaktivace	0.198	0.260	0.220
inactive	neaktivní	0.271	0.167	0.159
inactivity	nečinnost	0.135	0.143	0.227
inadequacy	nedostatečnost	0.286	0.500	0.297
inadequate	nedostačující	0.122	0.450	0.223
inadequateness	nedostatečnost	0.240	0.529	0.316
inadmissible	nepřípustný	0.188	0.636	0.389
inadvertent	neúmyslně	0.365	0.368	0.286
inadvertently	neúmyslně	0.302	0.541	0.549
inaffable	NO TRANSLATION	0.388	0.518	0.455
inalienable	nezcizitelný	0.437	0.459	0.608
inane	inane	0.271	0.350	0.268
inanimate	neživý	0.281	0.143	0.224
inapplicable	neuplatnitelné	0.281	0.402	0.330
inappropriate	nevhodný	0.135	0.542	0.353
inattention	nepozornost	0.208	0.433	0.188
inaudible	neslyšitelný	0.280	0.398	0.358
inaugural	inaugurační	0.684	0.567	0.608
inaugurate	slavnost	0.781	0.582	0.800
inauguration	inaugurace	0.847	0.712	0.769
inborn	vrozený	0.590	0.288	0.546
inbound	příchozí	0.531	0.388	0.538
inbred	inbrední	0.397	0.520	0.473
incalculable	nevypočitatelné	0.449	0.620	0.679
incandescent	žhavící	0.354	0.612	0.621
incantation	zaklínadlo	0.439	0.632	0.548
incapable	neschopný	0.156	0.529	0.155
incapacity	neschopnost	0.052	0.500	0.217
incarceration	uvěznění	0.100	0.800	0.397
incarnate	inkarnovat	0.552	0.651	0.593
incase	v případě	0.580	0.196	0.365
incendiary	zápalný	0.281	0.810	0.598
incense	kadidlo	0.698	0.275	0.328
incensed	obtěžování	0.338	0.643	0.392
incentive	pobídka	0.812	0.618	0.718
inception	počátek	0.604	0.425	0.561
incessant	neustálý	0.438	0.760	0.544
incessantly	neustále	0.417	0.765	0.606
incest	incest	0.073	0.853	0.491
incestuous	incestní	0.188	0.736	0.442
inch	palec	0.481	0.327	0.300
incidence	incidence	0.417	0.527	0.429
incident	incident	0.084	0.662	0.482
incidental	vedlejší	0.281	0.610	0.404
incidentally	mimochodem	0.479	0.500	0.500
incineration	spalování	0.229	0.787	0.470
incinerator	spalovna	0.250	0.643	0.591
incipient	počáteční	0.442	0.382	0.430
incision	řez	0.240	0.663	0.558
incisive	pronikavý	0.380	0.602	0.545
incite	podněcovat	0.449	0.736	0.642
incitement	podněcování	0.302	0.943	0.598
inclement	nevhodné	0.260	0.676	0.616
inclination	sklon	0.378	0.490	0.538
incline	naklonění	0.490	0.423	0.345
inclined	nakloněný	0.469	0.347	0.402
include	zahrnout	0.729	0.449	0.702
included	zahrnuta	0.760	0.402	0.570
including	počítaje v to	0.700	0.378	0.518
inclusion	zařazení	0.774	0.404	0.712
inclusive	včetně	0.604	0.420	0.564
incognito	inkognito	0.610	0.490	0.446
incoherent	nesouvislý	0.122	0.612	0.250
income	příjem	0.750	0.510	0.728
incoming	přicházející	0.660	0.509	0.596
incomparable	nesrovnatelný	0.625	0.577	0.670
incompatible	nekompatibilní	0.196	0.500	0.310
incompetence	neschopnost	0.077	0.551	0.208
incompetent	neschopný	0.133	0.566	0.239
incomplete	neúplný	0.153	0.370	0.205
incompletely	neúplně	0.344	0.442	0.232
incompleteness	neúplnost	0.271	0.451	0.234
incomprehensible	nepochopitelný	0.250	0.550	0.344
inconceivable	nepředstavitelné	0.198	0.552	0.561
inconclusive	nepřesvědčivý	0.153	0.442	0.340
incongruous	nepohodlné	0.177	0.504	0.343
inconsequential	bezvýznamný	0.250	0.480	0.345
inconsiderate	bezohledný	0.224	0.519	0.423
inconsistency	nesoulad	0.125	0.480	0.314
inconsistent	nekonzistentní	0.271	0.431	0.295
inconspicuous	nenápadný	0.604	0.214	0.368
incontinence	inkontinence	0.150	0.598	0.272
inconvenience	nepohodlí	0.063	0.667	0.291
inconvenient	nevyhovující	0.224	0.610	0.375
incorporate	začlenit	0.745	0.612	0.571
incorporation	začlenění	0.573	0.404	0.768
incorrect	nesprávný	0.140	0.569	0.255
incorrigible	nenapravitelný	0.130	0.667	0.500
increase	zvýšit	0.810	0.657	0.886
increased	zvýšené	0.684	0.660	0.773
incredible	neuvěřitelný	0.857	0.796	0.902
incredulous	nevěřící	0.286	0.510	0.269
increment	přírůstek	0.684	0.637	0.750
incriminate	obvinit	0.188	0.810	0.416
incriminating	inkriminující	0.133	0.788	0.500
incrimination	obvinění	0.152	0.865	0.545
incubation	inkubace	0.461	0.490	0.397
incubator	inkubátor	0.510	0.435	0.405
incubus	upír	0.458	0.529	0.482
incumbent	provozovatel	0.396	0.540	0.565
incur	vzniknout	0.312	0.667	0.495
incurable	nevyléčitelné	0.104	0.667	0.255
incursion	vpád	0.552	0.830	0.719
indebted	zadlužený	0.138	0.698	0.275
indecency	neslušnost	0.135	0.670	0.491
indecent	sprostý	0.083	0.683	0.240
indecision	nerozhodnost	0.184	0.480	0.196
indecisive	nerozhodný	0.271	0.420	0.190
indefensible	neohrožitelný	0.173	0.647	0.484
indefinite	neurčitý	0.448	0.292	0.296
indelible	nesmazatelný	0.490	0.337	0.591
indemnification	odškodnění	0.521	0.490	0.770
indemnify	odškodnit	0.449	0.548	0.613
indemnity	odškodnění	0.470	0.607	0.692
indent	Odrážka	0.479	0.346	0.379
indentation	odsazení	0.374	0.500	0.349
indenture	odsouzení	0.434	0.382	0.636
independence	nezávislost	0.896	0.663	0.911
independent	nezávislý	0.885	0.440	0.872
indescribable	nepopsatelný	0.448	0.529	0.648
indestructible	nezničitelný	0.772	0.731	0.853
indeterminate	neurčitý	0.360	0.402	0.322
index	index	0.448	0.268	0.342
indicate	uveďte	0.594	0.350	0.676
indicating	označující	0.745	0.339	0.555
indication	indikace	0.719	0.432	0.750
indicative	orientační	0.510	0.510	0.591
indicator	indikátor	0.573	0.451	0.670
indice	NO TRANSLATION	0.469	0.377	0.541
indict	obvinit	0.188	0.731	0.458
indictment	obžaloba	0.245	0.745	0.577
indie	indie	0.479	0.368	0.430
indifference	lhostejnost	0.265	0.417	0.299
indifferent	lhostejný	0.396	0.157	0.250
indigenous	domorodé	0.500	0.509	0.552
indigent	nuzný	0.156	0.481	0.223
indigestion	špatné trávení	0.204	0.610	0.182
indignant	rozhořčený	0.260	0.600	0.423
indignation	rozhořčení	0.173	0.778	0.431
indignity	ponížení	0.167	0.500	0.306
indigo	indigo	0.514	0.365	0.473
indirect	nepřímý	0.385	0.402	0.330
indiscreet	netaktní	0.177	0.587	0.342
indiscretion	netaktnost	0.265	0.637	0.390
indispensable	nepostradatelný	0.710	0.449	0.802
indisposed	nepostradatelný	0.122	0.519	0.206
indistinct	nejasný	0.255	0.340	0.360
indistinguishable	nerozeznatelný	0.346	0.458	0.548
individual	individuální	0.627	0.327	0.533
individuality	osobitost	0.612	0.469	0.527
indivisible	nedělitelný	0.646	0.398	0.580
indoctrination	indoktrinace	0.327	0.657	0.698
indolent	indolentní	0.177	0.381	0.259
indomitable	nezkrotný	0.458	0.800	0.830
indoor	krytý	0.615	0.245	0.347
induce	vyvolat	0.257	0.606	0.684
induced	indukovaný	0.397	0.471	0.491
inducement	podněcování	0.647	0.765	0.685
induction	indukce	0.392	0.593	0.627
indulge	dopřejte si	0.833	0.716	0.669
indulgence	shovívavost	0.479	0.490	0.517
indulgent	shovívavý	0.560	0.481	0.529
industrial	průmyslový	0.469	0.600	0.875
industrialist	průmyslník	0.562	0.633	0.843
industrious	pracovitý	0.720	0.537	0.791
industry	průmysl	0.650	0.447	0.836
ineffable	nevýslovný	0.551	0.577	0.585
ineffective	neúčinné	0.093	0.422	0.094
ineffectual	neúčinné	0.163	0.412	0.200
inefficiency	neefektivnost	0.092	0.466	0.181
inefficient	neefektivní	0.190	0.460	0.173
inelastic	neelastický	0.396	0.426	0.385
ineligible	neoprávněné	0.143	0.377	0.457
inept	nešikovný	0.156	0.418	0.209
ineptitude	ineptitude	0.177	0.471	0.250
inequality	nerovnost	0.122	0.575	0.259
inequitable	nespravedlivý	0.281	0.519	0.373
inert	inertní	0.323	0.180	0.319
inertia	setrvačnost	0.344	0.288	0.322
inevitable	nevyhnutelný	0.316	0.419	0.623
inexact	nepřesný	0.153	0.459	0.170
inexcusable	nevyslovitelný	0.271	0.582	0.546
inexhaustible	nevyčerpatelný	0.602	0.541	0.643
inexpensive	levný	0.694	0.414	0.260
inexperience	nezkušenost	0.208	0.614	0.151
inexperienced	nezkušený	0.281	0.473	0.231
inexplicable	nevysvětlitelný	0.224	0.635	0.443
inexpressible	nepopsatelný	0.198	0.608	0.364
infallibility	neomylnost	0.583	0.663	0.764
infallible	neomylný	0.776	0.687	0.809
infamous	neslavné	0.146	0.580	0.472
infamy	nepoctivost	0.177	0.676	0.421
infancy	dětství	0.750	0.399	0.370
infant	dítě	0.802	0.431	0.328
infanticide	infanticid	0.167	0.856	0.443
infantile	infantilní	0.604	0.382	0.259
infantry	pěchota	0.531	0.684	0.791
infarct	infarkt	0.080	0.846	0.386
infatuated	zamilovaný	0.729	0.764	0.417
infatuation	poblouznění	0.844	0.745	0.530
infeasible	neuskutečnitelný	0.245	0.472	0.236
infect	infikovat	0.102	0.777	0.424
infection	infekce	0.083	0.735	0.407
infectious	infekční	0.142	0.760	0.422
infer	usoudit	0.449	0.490	0.453
inference	odvození	0.359	0.479	0.398
inferential	inferenční	0.426	0.451	0.455
inferior	nižší	0.260	0.254	0.106
inferiority	méněcennosti	0.177	0.430	0.205
infernal	pekelný	0.083	0.837	0.571
inferno	peklo	0.051	0.857	0.463
infertile	neplodný	0.274	0.458	0.255
infertility	neplodnost	0.170	0.664	0.328
infestation	zamoření	0.256	0.776	0.527
infidel	nevěřící	0.177	0.740	0.404
infidelity	nevěra	0.062	0.777	0.392
infield	infield	0.510	0.571	0.438
infiltrate	infiltrovat	0.408	0.745	0.587
infiltration	infiltrace	0.265	0.792	0.536
infinite	nekonečný	0.724	0.583	0.735
infinitely	nekonečně	0.688	0.643	0.829
infinitesimal	infinitezimální	0.388	0.472	0.496
infinity	nekonečno	0.516	0.459	0.805
infirm	nemohoucí	0.115	0.521	0.210
infirmary	ošetřovna	0.500	0.438	0.517
infirmity	slabost	0.094	0.482	0.252
inflammation	zánět	0.146	0.765	0.423
inflammatory	zánětlivé	0.177	0.642	0.404
inflatable	nafukovací	0.510	0.510	0.400
inflate	nahustit	0.305	0.569	0.462
inflated	nafouknutý	0.303	0.431	0.617
inflation	inflace	0.219	0.792	0.508
inflection	skloňování	0.385	0.635	0.377
inflict	způsobit	0.167	0.760	0.609
infliction	postižení	0.302	0.722	0.571
inflorescence	květenství	0.459	0.344	0.412
influence	vliv	0.622	0.663	0.824
influential	vlivný	0.899	0.688	0.944
influenza	chřipka	0.271	0.718	0.321
influx	příliv	0.622	0.635	0.575
info	info	0.750	0.330	0.642
infomercial	infomercial	0.427	0.462	0.555
inform	informovat	0.723	0.582	0.679
informal	neformální	0.480	0.398	0.441
informant	informátor	0.604	0.612	0.719
information	informace	0.765	0.370	0.711
informative	informativní	0.812	0.419	0.741
informed	informovaný	0.543	0.298	0.617
informer	informátor	0.521	0.578	0.580
infraction	porušení	0.245	0.660	0.471
infrared	infračervený	0.469	0.588	0.526
infrastructure	infrastruktura	0.604	0.460	0.694
infrequent	občasné	0.312	0.377	0.192
infrequently	zřídka	0.204	0.250	0.327
infringement	porušení	0.153	0.800	0.481
infuriate	rozzuřit	0.102	0.934	0.596
infuriated	rozzlobený	0.073	0.930	0.510
infuriates	zdědí	0.135	0.913	0.627
infuriating	rozzuřující	0.139	0.870	0.509
infuse	infuze	0.380	0.705	0.589
infused	infuze	0.385	0.473	0.546
infuser	infuser	0.469	0.433	0.536
infusion	infuze	0.583	0.365	0.453
ingenious	geniální	0.760	0.690	0.891
ingenuity	vynalézavost	0.708	0.590	0.868
ingest	ingest	0.510	0.559	0.473
ingestion	požití	0.429	0.612	0.512
ingot	ingot	0.688	0.444	0.615
ingrained	zakořeněný	0.531	0.490	0.712
ingrate	nevděčník	0.235	0.606	0.327
ingredient	přísada	0.792	0.373	0.451
ingress	vstup	0.601	0.366	0.736
inhabit	obývat	0.656	0.378	0.556
inhabitant	obyvatel	0.604	0.356	0.519
inhabited	obydlené	0.667	0.361	0.510
inhabiting	obývání	0.458	0.440	0.598
inhalation	inhalace	0.510	0.613	0.464
inhale	inhalovat	0.427	0.340	0.492
inhaler	inhalátor	0.408	0.500	0.349
inherent	vlastní	0.562	0.439	0.480
inherit	zdědit	0.745	0.546	0.694
inheritance	dědictví	0.900	0.565	0.798
inhibit	inhibovat	0.167	0.479	0.447
inhibition	inhibice	0.265	0.392	0.534
inhibitor	inhibitor	0.281	0.450	0.471
