Word	Sindhi-sd	Valence	Arousal	Dominance
jingle	ٽڪرا	0.635	0.500	0.424
jinx	jinx	0.337	0.582	0.373
jitters	جتن	0.224	0.918	0.192
jittery	ڦٽي	0.344	0.856	0.255
jive	جويو	0.561	0.551	0.373
job	نوڪري	0.694	0.541	0.717
jobinterview	NO TRANSLATION	0.684	0.837	0.723
jock	جوڪ	0.592	0.656	0.473
jockey	جوکي	0.562	0.644	0.703
jockstrap	جوڪ اسٽيٽ	0.347	0.431	0.390
jog	جوڙو	0.510	0.708	0.519
jogger	جوگر	0.417	0.510	0.424
john	جاني	0.562	0.382	0.327
join	شامل ٿيو	0.729	0.479	0.684
joined	ٻيلي	0.667	0.394	0.600
joining	شامل ٿيڻ	0.755	0.469	0.685
joint	گڏيل	0.615	0.392	0.566
jointly	گڏيل طور تي	0.708	0.425	0.602
joke	مذاق	0.704	0.610	0.316
joker	ڪوبہ	0.771	0.760	0.416
joking	مذاق	0.776	0.839	0.407
jolly	اھو آھي	0.959	0.705	0.708
jolt	وڪڻي	0.365	0.708	0.358
jornada	NO TRANSLATION	0.417	0.500	0.533
jot	ڪري ڇڏيو	0.406	0.323	0.350
jour	NO TRANSLATION	0.479	0.394	0.415
journal	جرنل	0.688	0.240	0.352
journalism	صحافت	0.622	0.500	0.684
journalist	صحافين	0.542	0.452	0.732
journalistic	صحافت	0.696	0.449	0.495
journey	سفر	0.910	0.702	0.625
journeyman	مسافر	0.765	0.596	0.741
joust	وڪرو	0.520	0.528	0.551
jovial	جوش	0.823	0.460	0.526
joy	خوشي	0.980	0.824	0.794
joyful	خوشيء سان	0.990	0.740	0.667
joyous	خوشيء سان	0.958	0.580	0.728
joyride	خوشخبري	0.694	0.550	0.500
joys	خوشي	0.981	0.643	0.651
jubilant	جناب	0.844	0.673	0.664
jubilee	جوبلي	0.916	0.500	0.579
judge	جج	0.510	0.604	0.857
judged	انصاف ڪيو	0.281	0.686	0.722
judging	فيصلو	0.240	0.625	0.693
judgment	فيصلو	0.396	0.600	0.816
judgmental	فيصلو	0.330	0.602	0.579
judicial	عدليه	0.378	0.667	0.833
judiciary	عدليه	0.439	0.740	0.897
judicious	محتاج	0.630	0.432	0.772
judo	جودو	0.500	0.790	0.612
jug	جوڳي	0.520	0.250	0.213
juggle	juggle	0.594	0.760	0.426
juggler	جادوگر	0.633	0.821	0.480
juggling	جدوجهد	0.562	0.874	0.346
jugular	جاگيردار	0.271	0.573	0.426
juice	جوس	0.776	0.281	0.352
juicer	رسائيندڙ	0.552	0.520	0.564
juicy	رسائي	0.823	0.529	0.490
juju	NO TRANSLATION	0.541	0.519	0.206
juke	ايڪو	0.500	0.491	0.410
jukebox	jukebox	0.699	0.540	0.429
jumble	ڇڪيل	0.357	0.613	0.331
jumbled	ٿلهو	0.292	0.602	0.445
jumbo	جمبو	0.680	0.552	0.447
jump	ٽپو	0.625	0.865	0.611
jump rope	رسي ٽپ	0.656	0.660	0.368
jumper	جمپر	0.615	0.336	0.481
jumpsuit	جمپريٽ	0.562	0.365	0.361
jumpy	ٽپو	0.353	0.810	0.216
junction	ڪوشن	0.490	0.481	0.364
juncture	جوڳي	0.365	0.582	0.491
jungle	جنگل	0.500	0.510	0.481
junior	جونيئر	0.635	0.343	0.304
juniper	جنير	0.583	0.327	0.352
junk	جتن	0.115	0.481	0.118
junket	جنٽ	0.490	0.519	0.386
junkie	ڪشتي	0.135	0.860	0.363
junky	جوني	0.385	0.595	0.343
junkyard	جونيئرڪار	0.177	0.398	0.302
junta	ڪوٽا	0.451	0.503	0.704
juridical	جمالياتي	0.520	0.431	0.873
jurisdiction	حقائق	0.480	0.580	0.820
jurisprudence	فقہ	0.360	0.425	0.764
jurist	وڪيل	0.479	0.523	0.713
juror	وڪيل	0.582	0.640	0.750
jury	جووري	0.479	0.607	0.789
justice	انصاف	0.760	0.538	0.787
justifiable	حقائق آهي	0.786	0.413	0.821
justification	دليل	0.622	0.444	0.661
justify	ثابت ٿيو	0.612	0.473	0.615
juststop	NO TRANSLATION	0.417	0.379	0.364
justthebeginning	NO TRANSLATION	0.573	0.451	0.481
jute	جوش	0.551	0.216	0.295
juvenile	ٻارڙا	0.678	0.490	0.526
juxtaposition	جاگيرداري	0.427	0.500	0.460
kaiser	kaiser	0.470	0.509	0.690
kale	ڪٿا	0.469	0.226	0.411
kaleidoscope	ڪلليڊڪوپ	0.615	0.439	0.580
kamikaze	ڪانڪز	0.204	0.810	0.645
kangaroo	ڪانگارو	0.716	0.333	0.301
kanji	ڪانجي	0.510	0.413	0.425
kappa	ڪيپي	0.469	0.375	0.366
kaput	NO TRANSLATION	0.281	0.441	0.440
karaoke	ڪاروڪ	0.763	0.649	0.342
karate	ڪارٽ	0.562	0.833	0.598
karma	ڪرما	0.500	0.510	0.537
karmic	ڪاروڪ	0.357	0.459	0.464
kayak	ڪيڪ	0.592	0.600	0.364
kazoo	ڪجو	0.503	0.462	0.411
kebab	ڪاباب	0.531	0.431	0.377
keel	ڇوڪري	0.344	0.417	0.419
keen	ڳولڻ	0.823	0.719	0.806
keep	رکو	0.714	0.296	0.547
keeper	هائو	0.612	0.457	0.773
keeping	رکو	0.592	0.280	0.723
keepsake	هڻڻ	0.740	0.307	0.491
keg	ڇوڪرو	0.551	0.389	0.404
kelp	ڪول	0.479	0.264	0.213
ken	ڪين	0.438	0.409	0.360
kennel	ڪيٽل	0.430	0.480	0.406
kerchief	ڪيڏي	0.520	0.189	0.236
kern	ڪون	0.438	0.420	0.449
kernel	ڪٿا	0.542	0.453	0.462
kerosene	ريزيڪل	0.302	0.472	0.427
ketchup	ڪيٽپ	0.653	0.338	0.282
kettle	ڪيٿل	0.357	0.497	0.333
key	اهم	0.615	0.275	0.519
keyboard	ڪيبورڊ	0.573	0.279	0.349
keyed	چاڙهيو	0.469	0.497	0.521
keyhole	چڪر	0.438	0.358	0.356
keynote	بيان ٿيل	0.630	0.431	0.545
keypad	ڪيپي	0.604	0.255	0.330
keystone	سيريز	0.573	0.438	0.491
keyword	لفظ	0.602	0.520	0.747
khaki	khaki	0.594	0.252	0.278
khan	ڪڇ	0.463	0.476	0.529
kibble	ننڍڙو	0.510	0.458	0.404
kick	کک	0.271	0.791	0.526
kickboxing	ڪيڪ بوڪسنگ	0.427	0.882	0.651
kicker	کڪيندڙ	0.427	0.711	0.614
kicking	ڪري رهيو آهي	0.327	0.802	0.510
kickoff	شروع ڪريو	0.583	0.600	0.629
kid	همت	0.760	0.453	0.298
kidder	همت	0.708	0.768	0.471
kidding	مذاق	0.622	0.625	0.457
kiddo	ڪدو	0.674	0.393	0.419
kiddos	ڪدوس	0.500	0.480	0.342
kidnap	اغوا	0.032	0.923	0.535
kidnapped	اغوا ڪيو ويو	0.044	0.923	0.455
kidnapper	اغوا ڪندڙ	0.115	0.906	0.618
kidnapping	اغوا	0.094	0.880	0.561
kidney	همت	0.448	0.363	0.380
kids	ٻارڙا	0.837	0.500	0.417
kill	ماريندو	0.052	0.941	0.736
killer	قاتل	0.041	0.971	0.543
killing	قتل ڪيو	0.080	0.959	0.696
killjoy	ڪڻڪ	0.178	0.550	0.324
kiln	ٽڪن	0.451	0.423	0.414
kilo	NO TRANSLATION	0.438	0.358	0.461
kilogram	ڪلوگرام	0.510	0.260	0.455
kilometer	ڪلوميٽر	0.490	0.439	0.485
kilt	ڪٽي	0.448	0.346	0.348
kimono	ڪيمبو	0.643	0.280	0.363
kin	ڇوٽ	0.543	0.441	0.457
kind	قسم	0.918	0.240	0.618
kindergarten	ڪنڊر گارٽن	0.833	0.462	0.308
kindling	ڪوڙي	0.520	0.651	0.421
kindness	احسان	0.938	0.350	0.508
kindred	مهربان	0.760	0.418	0.517
kinematics	ڪئنماٽيڪٽس	0.594	0.480	0.614
kinesiology	اڳڀياس	0.491	0.480	0.633
kinetic	مزاحمت	0.582	0.540	0.537
king	بادشاھ	0.677	0.690	0.892
king snake	بادشاھ سانپ	0.458	0.835	0.647
kingdom	بادشاهن	0.714	0.547	0.910
kingpin	شهزادو	0.357	0.626	0.642
kink	ڪڪڙ	0.337	0.634	0.321
kinky	ڪني	0.449	0.558	0.361
kinship	خوش نصيب	0.771	0.300	0.652
kiosk	kiosk	0.500	0.286	0.321
kirk	ريڪ	0.510	0.390	0.388
kiss	چمي	0.967	0.813	0.630
kisser	چمڪندڙ	0.844	0.682	0.618
kissy	چمي	0.874	0.684	0.402
kit	کٽ	0.583	0.344	0.420
kitchen	کاڌو	0.700	0.234	0.398
kite	لغڙ	0.643	0.500	0.573
kitten	ڪٽين	0.816	0.343	0.260
kiwi	نيوي	0.646	0.273	0.282
klutz	ڪلٽز	0.275	0.451	0.356
knack	نڪو	0.562	0.518	0.820
knapsack	ڪوڪ	0.551	0.317	0.268
knead	گوڏن جو	0.490	0.457	0.345
knee	گھڙڻ	0.520	0.245	0.396
kneecap	گوڏن جو	0.427	0.360	0.440
kneel	گوڏن	0.426	0.417	0.217
kneeling	گوڏن ڀر	0.245	0.435	0.144
knell	ڏاڪڻ	0.354	0.500	0.377
knick	چاڙهيو	0.480	0.509	0.420
knickers	ڪوڙا	0.552	0.428	0.328
knife	چاقو	0.344	0.717	0.573
knight	ناراض	0.780	0.441	0.835
knighthood	ڇانو	0.740	0.660	0.769
knit	آڻڻ	0.630	0.144	0.295
knob	گوب	0.340	0.360	0.272
knock	کڙڪائڻ	0.312	0.531	0.527
knockoff	ٺٽو	0.350	0.606	0.240
knockout	ختم ڪرڻ	0.388	0.755	0.664
knoll	ڳچ	0.434	0.347	0.333
knot	ڳاڙهو	0.541	0.221	0.408
knots	ڪنڌ	0.418	0.346	0.267
knotted	ڦاٽل	0.226	0.412	0.294
know	ڄاڻو	0.765	0.361	0.704
knowing	ڄاڻڻ	0.833	0.353	0.658
knowingly	واقف آهي	0.500	0.459	0.481
knowledge	ڄاڻ	0.847	0.430	0.896
knowledgeable	ڄاڻ	0.865	0.455	0.971
knuckle	ڪوڪ	0.655	0.333	0.393
knucklehead	ڏاڪڻ	0.157	0.485	0.288
knuckles	ڪوڙا	0.271	0.461	0.320
koala	ڪوالا	0.608	0.210	0.311
kook	NO TRANSLATION	0.417	0.471	0.398
kooky	چوڪ	0.418	0.582	0.366
kool-aid	ڪول امداد	0.531	0.318	0.393
kos	kos	0.500	0.471	0.407
kosher	کير وارو	0.469	0.443	0.312
kraut	NO TRANSLATION	0.388	0.500	0.390
kris	kris	0.427	0.417	0.407
kryptonite	ڪيريپيٽائٽ	0.306	0.690	0.588
kudos	kudos	0.925	0.587	0.642
kumquat	ڪومڪات	0.417	0.426	0.390
lab	lab	0.479	0.500	0.600
label	ليبل	0.582	0.245	0.423
labor	محنت	0.594	0.639	0.754
laboratory	ليبارٽري	0.571	0.490	0.537
labored	محنت ڪئي	0.646	0.451	0.637
laborer	مزدور	0.561	0.510	0.698
laboring	محنت	0.705	0.644	0.737
laborious	محنت	0.393	0.635	0.709
labyrinth	ڳولا	0.479	0.811	0.491
lac	lac	0.408	0.418	0.331
lace	ليس	0.625	0.200	0.293
laceration	زخم	0.143	0.667	0.443
lack	هجڻ جي آهي	0.250	0.365	0.242
lackey	ڪمزور	0.260	0.510	0.166
lacking	ڪوٺيو ويندو آهي	0.229	0.375	0.121
lackluster	ڪمزور	0.250	0.311	0.264
lacquer	لاکو	0.510	0.353	0.258
lacrosse	لکن	0.573	0.656	0.509
lactose	معالج	0.479	0.290	0.433
lad	ڇوڪريون	0.637	0.388	0.336
ladder	ڏاڪڻ	0.560	0.438	0.358
laddie	laddie	0.668	0.539	0.391
laden	ڀريل	0.392	0.478	0.554
lading	ٺهيل	0.388	0.463	0.409
ladle	ٿڪل	0.531	0.368	0.352
lady	ليڊي	0.854	0.481	0.602
lady bug	NO TRANSLATION	0.490	0.434	0.381
ladybug	ٿلهو	0.602	0.400	0.224
ladylike	چمڪندڙ	0.592	0.559	0.538
ladyship	ڇوڪريون	0.561	0.480	0.822
lag	ڪريل	0.220	0.375	0.246
lager	NO TRANSLATION	0.584	0.480	0.353
lagging	لڌل	0.135	0.538	0.277
lagoon	لغاري	0.660	0.231	0.373
lair	مٽي	0.469	0.438	0.392
laity	شهرت	0.510	0.320	0.487
lake	ڍنڍ	0.694	0.196	0.425
lama	NO TRANSLATION	0.560	0.320	0.400
lamb	فيما	0.646	0.284	0.321
lame	ڪريم	0.145	0.410	0.217
lament	مذاق	0.198	0.398	0.352
lamenting	ويندڙ	0.156	0.390	0.254
lamina	لامنا	0.510	0.314	0.408
laminated	زهر	0.417	0.304	0.373
lamp	ڏيئو	0.510	0.260	0.309
lamppost	ممڪن آهي	0.420	0.337	0.455
lance	شعر	0.406	0.620	0.587
lancer	لانسر	0.417	0.528	0.519
land	زمين	0.582	0.260	0.616
landed	مهانگو	0.709	0.620	0.480
landfall	زمينداري	0.521	0.434	0.407
landfill	زميني ٻوڙا	0.398	0.423	0.324
landing	لڌل	0.552	0.696	0.596
landlady	زمينداري	0.677	0.303	0.417
landlocked	جھنڊو	0.280	0.391	0.367
landlord	زمينداري	0.684	0.500	0.858
landmark	نشان	0.694	0.355	0.681
lands	زمينون	0.594	0.280	0.492
landscape	منظوري واريون	0.719	0.176	0.423
landscaping	جهنگلي	0.823	0.379	0.519
landslide	زمينداري	0.250	0.864	0.530
lane	ڦرندو	0.449	0.490	0.451
language	ٻولي	0.677	0.337	0.704
languid	بيشمار	0.281	0.270	0.283
languish	سمجهه ۾ اچي ٿو	0.235	0.408	0.382
languishing	ويٺو آهي	0.308	0.459	0.353
lanky	پاتي	0.412	0.426	0.370
lantern	مڪان	0.622	0.250	0.243
lap	گود	0.583	0.510	0.412
lapdog	lapdog	0.388	0.490	0.269
lapel	ڍڪ	0.460	0.287	0.288
lapse	بٽڻ	0.420	0.316	0.281
lapsed	ڳاڙهو	0.357	0.333	0.276
laptop	ليپ ٽاپ	0.724	0.270	0.519
larceny	لالچ	0.272	0.821	0.454
lard	غريب	0.427	0.239	0.179
larder	غريب	0.656	0.290	0.509
large	وڏو	0.704	0.565	0.736
larger	وڏو	0.729	0.654	0.763
largo	NO TRANSLATION	0.521	0.480	0.517
lark	لاڙڪاڻو	0.570	0.292	0.352
larva	الارو	0.245	0.423	0.254
laryngitis	ڪشن	0.125	0.500	0.370
larynx	larynx	0.460	0.420	0.402
lasagna	لسانگا	0.719	0.441	0.396
laser	ليزر	0.469	0.531	0.769
lash	ڍڪڻ	0.235	0.794	0.609
lass	قطعي	0.656	0.536	0.433
lasso	لسان	0.438	0.460	0.339
lastday	NO TRANSLATION	0.309	0.580	0.463
lasting	آخري	0.804	0.535	0.745
lastminute	آخري منٽ	0.418	0.582	0.385
latch	ليچ	0.395	0.263	0.288
late	دير سان	0.245	0.358	0.315
lateness	ويڪرائي	0.214	0.388	0.343
latent	ويڪرائي	0.469	0.500	0.653
lateral	ورهاڱي	0.469	0.370	0.322
laterally	ساڳئي طرح	0.562	0.255	0.450
latex	شهيدڪس	0.479	0.413	0.325
lathe	ڳاڙهو	0.510	0.450	0.425
lather	بلڪه	0.635	0.327	0.313
latitude	طول و عرض	0.562	0.306	0.490
latrine	لاطيني	0.380	0.353	0.176
latrines	ويڪرائيز	0.214	0.462	0.267
latte	لاطيني	0.615	0.320	0.311
lattice	لاڏاڻو	0.406	0.420	0.349
laud	حوض	0.493	0.427	0.383
laudable	قابل ذڪر آهي	0.740	0.472	0.682
laudation	احترام	0.542	0.547	0.623
laudatory	تعاقب	0.612	0.417	0.450
laugh	کلڻ	0.980	0.639	0.587
laughable	کلڻ	0.592	0.627	0.298
laughing	کلڻ	0.906	0.596	0.534
laughingstock	NO TRANSLATION	0.427	0.779	0.312
laughs	کلڻ	0.812	0.846	0.425
laughter	مهنجو	0.959	0.654	0.588
launch	لانچ	0.684	0.814	0.598
launcher	لانچر	0.677	0.745	0.808
launches	لانچ	0.490	0.663	0.602
launder	لانڌا	0.479	0.450	0.349
laundering	لانڌنگ	0.439	0.327	0.444
laundry	ڌوٻي	0.644	0.292	0.377
laureate	اعزاز	0.724	0.402	0.702
laurel	لانورل	0.646	0.146	0.302
laurels	گهرو	0.684	0.279	0.545
lava	lava	0.280	0.539	0.615
lavage	ڪوريج	0.615	0.467	0.361
lavatory	سازش	0.510	0.400	0.259
lavender	لوهيندڙ	0.812	0.198	0.388
lavish	سست	0.792	0.648	0.730
law	قانون	0.740	0.590	0.815
lawful	حلال	0.660	0.394	0.780
lawless	غير قانوني	0.219	0.690	0.420
lawlessness	بيقانونيت	0.156	0.804	0.509
lawman	قانوناڻي	0.510	0.523	0.786
lawn	لأن	0.686	0.153	0.192
lawnmower	لانجو	0.480	0.531	0.355
lawsuit	مقدمو	0.219	0.794	0.611
lawyer	وڪيل	0.521	0.569	0.784
lax	ليڪس	0.430	0.401	0.300
laxative	لاجائز	0.271	0.550	0.528
lay	رکيو	0.521	0.336	0.491
layaway	پري	0.429	0.510	0.451
layer	پرت	0.500	0.208	0.366
layered	پرتگالي	0.571	0.306	0.436
layman	ٿانو	0.531	0.339	0.424
layout	ترتيب	0.615	0.442	0.557
layover	اجايو	0.520	0.355	0.500
laziness	سستگي	0.271	0.240	0.132
lazy	سست	0.392	0.264	0.096
lazyday	NO TRANSLATION	0.337	0.319	0.145
lea	lea	0.583	0.294	0.358
lead	ڏس	0.323	0.657	0.455
leaded	ڏسجي وئي	0.439	0.625	0.595
leader	aggwan	0.833	0.582	0.926
leadership	قيادت	0.870	0.690	0.983
leading	ڇوڙيندڙ	0.823	0.698	0.954
leads	ٿي رهيو آهي	0.530	0.471	0.615
leaf	پتي	0.583	0.156	0.294
leaflet	leaflet	0.490	0.206	0.375
leafy	ٿورڙو	0.653	0.530	0.700
league	ليگ	0.656	0.340	0.462
leak	ليکڪ	0.378	0.833	0.520
leakage	ليکڪ	0.188	0.731	0.528
leaky	ليکڪ	0.170	0.686	0.288
lean	ٽيڪس	0.734	0.353	0.438
leaned	هلي سگھي ٿو	0.570	0.373	0.490
leaning	ويندڙ	0.480	0.409	0.352
leap	ڍڪ	0.750	0.663	0.667
learn	سکيو	0.833	0.643	0.829
learned	سکيو	0.704	0.462	0.543
learner	سکندڙ	0.698	0.475	0.398
learning	سکيا	0.833	0.588	0.574
lease	ليز	0.520	0.463	0.545
leash	ڍڪڻ	0.320	0.347	0.427
leather	چمڙو	0.510	0.324	0.341
leathery	چمڙي	0.418	0.471	0.411
leave	ڇڏ	0.375	0.315	0.295
leavemealone	مونکي اڪيلو ڇڏي ڏيو	0.240	0.472	0.402
leaving	ڇڏڻ	0.163	0.542	0.371
lecherous	فلاڻو	0.135	0.704	0.376
lecture	ليڪچر	0.594	0.462	0.737
lecturer	ليڪچر	0.677	0.549	0.736
ledge	جهيڙي	0.406	0.235	0.339
ledger	قيادت	0.510	0.362	0.609
lee	ٽيڪ	0.510	0.269	0.296
leech	ليکڪ	0.250	0.623	0.268
leeches	ليڪون	0.115	0.698	0.295
leer	NO TRANSLATION	0.612	0.348	0.509
leery	چالو	0.337	0.640	0.410
lees	NO TRANSLATION	0.360	0.567	0.406
leeway	حصو	0.562	0.577	0.569
left	کاٻو	0.354	0.370	0.361
leftout	NO TRANSLATION	0.229	0.365	0.245
leftover	ليفٽيننٽ	0.490	0.460	0.222
leftovers	ڇڏي ڏيڻ	0.219	0.350	0.116
lefty	کاٻي ڌر	0.490	0.406	0.379
leg	ٽنگ	0.510	0.373	0.313
legacy	ويچاري	0.792	0.529	0.827
legal	قانوني	0.653	0.387	0.887
legality	قانوني	0.765	0.343	0.713
legalize	قانوني طور تي	0.510	0.460	0.818
legalized	قانوني طور تي	0.760	0.440	0.855
legally	قانوني طور تي	0.771	0.482	0.842
legend	ڏند ڪٿا	0.837	0.519	0.750
legendary	افسانوي	0.857	0.537	0.863
legibility	جائزگي	0.771	0.481	0.580
legible	جائز آهي	0.673	0.279	0.509
legion	شعر	0.469	0.570	0.852
legislate	قانون سازي	0.571	0.582	0.736
legislation	قانون سازي	0.531	0.418	0.808
legislative	قانون ساز	0.633	0.365	0.800
legislator	قانون ساز	0.490	0.580	0.877
legislature	قانون ساز	0.540	0.435	0.698
legit	جائز آهي	0.747	0.427	0.849
legitimacy	قانوني طور تي	0.823	0.420	0.855
legitimate	جائز آهي	0.792	0.363	0.841
lego	پيئي	0.600	0.294	0.189
legs	ڪپڙو	0.479	0.407	0.228
legume	ٿلهو	0.520	0.302	0.465
legwork	ڪاغذ	0.622	0.560	0.509
leisure	فرصت	0.631	0.429	0.421
leisurely	آرام سان	0.806	0.250	0.367
lemma	ليمه	0.530	0.284	0.391
lemon	ليم	0.596	0.317	0.316
lemonade	ڪشادو	0.661	0.287	0.412
lend	قرض ڏيو	0.520	0.461	0.508
lender	قرض ڏيڻ وارو	0.340	0.520	0.703
lending	قرض ڏيڻ	0.510	0.585	0.462
length	ڊيگهه	0.479	0.308	0.533
lengthen	ڊگھو	0.619	0.481	0.566
lengthened	ڊگهي ويو	0.448	0.530	0.474
lengthening	ڊگهو	0.673	0.530	0.528
lengthwise	ڊگھي وقت	0.571	0.470	0.528
lengthy	ڊگهو	0.570	0.342	0.528
leniency	تڪليف	0.517	0.436	0.545
lenient	زينت	0.520	0.451	0.340
lens	لينس	0.420	0.245	0.472
leopard	ڪوڙا	0.542	0.755	0.611
leotard	ليٽڪار	0.510	0.429	0.391
leper	ليپر	0.075	0.589	0.206
leprechaun	leprechaun	0.417	0.480	0.417
leprosy	ايسوسيئيشن	0.130	0.670	0.349
lesbian	ڇوٽڪارو	0.385	0.660	0.415
lesbianism	پسنديو	0.327	0.725	0.440
lesion	زخم	0.240	0.623	0.361
less	گھٽ	0.265	0.240	0.115
lessee	ٿورڙو	0.417	0.474	0.595
lessen	گهٽ ۾ گهٽ	0.235	0.284	0.255
lessening	گهٽائڻ	0.375	0.300	0.277
lesser	گھٽ	0.396	0.167	0.211
lesson	سبق	0.704	0.577	0.593
lessor	ڪمائڻ	0.552	0.490	0.623
let	اچو	0.427	0.373	0.307
lethal	ڏند	0.156	0.800	0.745
lethargic	ڏات	0.214	0.245	0.375
lethargy	ڏنڊ	0.194	0.302	0.316
letter	خط	0.635	0.279	0.342
lettered	خط ڪيل	0.542	0.361	0.482
letterhead	خطوڪي	0.450	0.316	0.462
lettering	خط	0.541	0.180	0.431
letters	خط	0.663	0.327	0.364
lettuce	ليٽ	0.594	0.163	0.291
leukemia	لڪيميا	0.094	0.572	0.351
levee	ليٽ	0.520	0.324	0.490
level	سطح	0.622	0.277	0.491
lever	ليور	0.400	0.343	0.402
leverage	آئوٽ	0.459	0.500	0.629
levitate	ڦوڪيو	0.561	0.598	0.551
levy	لي	0.438	0.420	0.491
lewd	اڀري	0.188	0.673	0.412
lexicon	ٽڪسڪس	0.561	0.463	0.615
ley	NO TRANSLATION	0.604	0.389	0.764
liabilities	ذميواريون	0.429	0.608	0.694
liability	ذميواري	0.646	0.500	0.802
liable	ذميوار	0.656	0.519	0.821
liaison	لاڳاپو	0.698	0.337	0.472
liar	جهان	0.042	0.606	0.339
libel	ليبل	0.128	0.694	0.403
libelous	آزمائش	0.125	0.735	0.436
liberal	لبرل	0.565	0.565	0.755
liberalism	لبرلزم	0.562	0.712	0.750
liberate	آزاد	0.760	0.632	0.708
liberated	آزاد ٿيو	0.780	0.630	0.683
liberating	آزاد آهي	0.915	0.620	0.745
liberation	آزادي	0.745	0.614	0.857
liberty	آزادي	0.938	0.579	0.836
libido	لبيا	0.770	0.602	0.571
librarian	لائبريري	0.625	0.135	0.509
library	لائبريري	0.776	0.122	0.549
libretto	آزمائش	0.612	0.328	0.406
lice	جوس	0.133	0.500	0.194
license	لائسنس	0.500	0.394	0.702
lichen	لکين ٿو	0.418	0.388	0.463
lick	چٽيو	0.470	0.482	0.330
licorice	لائسنس	0.677	0.310	0.400
lid	ڪٽيو	0.490	0.189	0.255
lie	ڪوڙ ڳالهايو	0.130	0.725	0.272
liege	ڪوڙج	0.479	0.426	0.452
lien	ڪوٺيو	0.396	0.580	0.441
lieu	ڪوڙ	0.427	0.410	0.312
lieutenant	غلط آهي	0.594	0.612	0.920
life	زندگي	0.918	0.615	0.824
lifeblood	حياتيون	0.673	0.690	0.708
lifeboat	زندگي جو حصو	0.724	0.425	0.533
lifeguard	زندگي گذارڻ	0.870	0.606	0.786
lifeisgood	زندگي سٺي آهي	0.812	0.575	0.611
lifeless	ڄاڻي ٿو	0.042	0.333	0.163
lifelike	ڄاڻي ٿو	0.776	0.567	0.765
lifeline	زندگي واريون	0.735	0.552	0.496
lifelong	زندگي گذارڻ	0.823	0.330	0.640
lifer	جيئرو	0.427	0.519	0.398
lifesaver	حياتيء جو	0.908	0.745	0.703
lifestyle	زندگي	0.750	0.472	0.645
lifesucks	ڄاڻي ٿو	0.167	0.637	0.377
lifetime	زندگي گذارڻ	0.816	0.559	0.736
lift	کڻڻ	0.704	0.518	0.656
lifted	پڪاريو	0.714	0.441	0.657
liftoff	حياتيون	0.531	0.667	0.588
ligament	ويران	0.490	0.410	0.510
ligation	ligation	0.344	0.423	0.396
ligature	گنجائش	0.478	0.430	0.447
light	نور	0.771	0.320	0.519
light year	هلڪو سال	0.719	0.425	0.593
lightbulb	بلب ٻاريو	0.573	0.255	0.302
lighten	روشني	0.688	0.438	0.362
lightheaded	هلڪو	0.347	0.620	0.255
lighthouse	ٻرندڙ	0.622	0.240	0.510
lighting	نظم	0.765	0.440	0.750
lightness	روشني	0.794	0.360	0.526
lightning	وڄندڙ	0.429	0.683	0.595
lights	روشني	0.750	0.480	0.575
lightweight	ٿلهي	0.670	0.300	0.358
likable	مناسب	0.865	0.480	0.663
like	وانگر	0.719	0.353	0.446
likelihood	معيشت	0.760	0.469	0.542
likely	ممڪن آهي	0.633	0.356	0.454
likeness	مثال	0.688	0.410	0.561
likewise	اھڙي طرح	0.651	0.217	0.312
liking	پسند	0.963	0.604	0.589
lilac	ڍڪيل	0.688	0.180	0.357
lily	ليلي	0.640	0.245	0.263
limb	تخت	0.510	0.397	0.427
limber	ٺهيل	0.688	0.729	0.673
limbo	لامبو	0.385	0.284	0.309
lime	ماني	0.594	0.240	0.415
limelight	لفافي	0.667	0.639	0.694
limestone	چن جو پٿر	0.602	0.323	0.381
limey	رومي	0.469	0.347	0.415
limit	حد تائين	0.427	0.453	0.500
limitation	حد	0.190	0.431	0.225
limited	محدود	0.229	0.273	0.380
limitless	حد تائين	0.688	0.574	0.655
limo	لمو	0.760	0.367	0.667
limousine	لڪوزيم	0.638	0.531	0.640
limp	لپي	0.393	0.440	0.172
lin	لن	0.416	0.362	0.343
line	لڪير	0.541	0.180	0.353
lineage	نسخ	0.633	0.465	0.721
lineal	لائني	0.521	0.170	0.474
linear	قطار	0.646	0.250	0.472
linebacker	لڪيريندڙ	0.490	0.660	0.543
lined	ٺهيل	0.438	0.367	0.424
linen	ڪڙيون	0.656	0.323	0.286
liner	ليٽر	0.469	0.396	0.400
lines	سٽون	0.542	0.317	0.330
lineup	قطار ٺاهيو	0.635	0.427	0.638
linger	آنگر	0.480	0.311	0.412
lingerie	ڇوڪريون	0.543	0.463	0.308
lingering	مشڪل	0.630	0.643	0.667
lingo	ڪانو	0.448	0.364	0.447
lingual	زنده	0.500	0.457	0.315
linguini	لسانيات	0.625	0.338	0.355
linguist	لسانيات	0.583	0.330	0.634
linguistic	ٻولي	0.646	0.351	0.618
linguistics	لسانيات	0.552	0.390	0.618
lining	استحڪام	0.571	0.363	0.472
link	لنڪ	0.427	0.264	0.491
linoleum	ليونٽيم	0.510	0.378	0.402
lint	لکت	0.388	0.173	0.214
lion	شعر	0.532	0.717	0.682
lip	چپس	0.541	0.348	0.443
liposuction	liposuction	0.292	0.684	0.464
lipstick	ليٽسٽ	0.653	0.429	0.306
liquefaction	ڌوڪو	0.449	0.622	0.535
