Word	Kyrgyz-ky	Valence	Arousal	Dominance
motherland	Мекен	0.677	0.375	0.731
motherless	энеси	0.163	0.541	0.337
motherly	эненин	0.927	0.324	0.710
motif	Пейзаж	0.688	0.481	0.527
motion	кыймыл	0.667	0.538	0.657
motionless	кыймылсыз	0.323	0.210	0.246
motivate	түрткү	0.812	0.776	0.873
motivating	түрткү	0.958	0.820	0.787
motivation	жөнүн көрсөтүү	0.854	0.784	0.802
motivational	Жүйөлүү	0.906	0.646	0.858
motive	себеп	0.667	0.588	0.663
motley	чөптүү	0.480	0.398	0.412
motor	кыймылдаткыч	0.531	0.551	0.648
motorbike	унаасынын д	0.552	0.608	0.616
motorboat	моторлуу кайык	0.677	0.500	0.390
motorcade	унаалар	0.708	0.730	0.593
motorcar	УНААНЫ	0.694	0.565	0.682
motorcycle	мотоцикл	0.677	0.764	0.713
motorist	автомобилист аял	0.562	0.663	0.578
motte	Motte	0.481	0.389	0.370
mottled	тактары	0.380	0.336	0.295
motto	урааны	0.688	0.317	0.439
mould	көк	0.357	0.176	0.246
mound	адыр	0.520	0.481	0.509
mount	тоосунда	0.500	0.292	0.348
mountain	тоо	0.698	0.408	0.649
mountaineer	тоо	0.635	0.774	0.535
mountainous	тоолуу	0.635	0.519	0.612
mountains	тоолор	0.766	0.433	0.569
mountaintop	чоку	0.653	0.541	0.713
mourn	аза күтүү	0.056	0.583	0.150
mournful	капалуу	0.180	0.441	0.188
mourning	кайгы	0.177	0.490	0.266
mouse	чычкан	0.427	0.441	0.206
mousetrap	бекер жерден	0.180	0.643	0.330
mousse	Mousse	0.604	0.336	0.368
moustache	мурут	0.470	0.236	0.409
mousy	Ласкин	0.480	0.413	0.339
mouth	ооз	0.734	0.294	0.336
mouthful	жутум	0.609	0.565	0.389
mouthpiece	тт	0.573	0.346	0.393
mouthwash	чайкоочу	0.438	0.385	0.352
movable	кыймылдуу	0.469	0.509	0.500
move	жылуу	0.656	0.647	0.670
movement	кыймыл	0.656	0.654	0.658
mover	Ураган	0.615	0.539	0.466
movie	кино	0.792	0.560	0.471
movies	тасмалар	0.724	0.426	0.472
moving	жылып	0.479	0.673	0.358
movingforward	NO TRANSLATION	0.857	0.518	0.848
movingon	movingon	0.490	0.529	0.435
mow	чабуу	0.420	0.559	0.393
mower	чалгы	0.458	0.510	0.368
moxie	Moxie	0.531	0.490	0.366
mozzarella	Mozzarella	0.653	0.265	0.340
mri	MRI	0.365	0.431	0.349
muchneeded	NO TRANSLATION	0.438	0.602	0.455
mucis	NO TRANSLATION	0.398	0.418	0.420
muck	кык	0.347	0.423	0.272
mucked	журбойм	0.184	0.500	0.373
mucous	былжыр	0.330	0.296	0.293
mucus	былжыр	0.143	0.309	0.228
mud	баткак	0.333	0.260	0.185
muddle	Түрк тилдүү элдердин	0.184	0.710	0.336
muddled	чаташкан	0.250	0.615	0.263
muddy	ылай	0.292	0.400	0.283
muff	ниетте	0.542	0.335	0.314
muffin	токоч	0.684	0.430	0.306
muffled	ачык эмес	0.479	0.330	0.421
muffler	глушитель	0.357	0.407	0.454
mug	кружка	0.542	0.214	0.382
mugger	калчу	0.125	0.850	0.500
mulberry	тыт	0.469	0.315	0.361
mulch	Июн	0.349	0.361	0.383
mule	качыр	0.320	0.337	0.254
mull	Раси-	0.663	0.340	0.594
mullet	Омур	0.521	0.356	0.377
multilateral	ар тараптуу	0.500	0.469	0.705
multimedia	Мултимедиа	0.611	0.390	0.607
multinational	көп	0.656	0.510	0.842
multiple	бир нече	0.660	0.510	0.578
multiple sclerosis	бир нече жактуу склероз	0.188	0.587	0.483
multiplex	Multiplex	0.610	0.590	0.667
multiplication	көбөйтүү	0.646	0.565	0.762
multiplicity	көптүгү	0.677	0.490	0.777
multiplied	көп	0.802	0.559	0.729
multiplier	көбөйткүч	0.643	0.615	0.741
multiply	көп	0.802	0.625	0.777
multitude	көп сандаган	0.562	0.765	0.847
mum	апа	0.802	0.317	0.698
mumble	кобуроо	0.292	0.444	0.245
mumbo	куру	0.429	0.506	0.336
mummy	Мумия	0.400	0.588	0.415
mumps	амебалар	0.099	0.410	0.311
munch	Сук	0.541	0.277	0.434
munchies	Munchies	0.562	0.470	0.491
munchkin	munchkin	0.490	0.466	0.374
mundane	дүнүйөгө	0.312	0.420	0.480
municipal	коммуналдык	0.625	0.390	0.758
municipality	аймагы	0.569	0.280	0.614
mural	здании	0.551	0.265	0.454
murder	өлтүрүү	0.061	0.942	0.615
murderer	киши өлтүргүч	0.010	0.960	0.650
murderess	murderess	0.041	0.941	0.462
murderous	канкор	0.017	0.940	0.682
murky	көмүскө	0.143	0.618	0.370
murmur	наалый	0.458	0.520	0.200
muscle	булчуң	0.359	0.490	0.645
muscular	төшү	0.531	0.434	0.577
muse	кайрат нуртас	0.760	0.360	0.509
muses	Muses	0.714	0.434	0.571
museum	музей	0.792	0.206	0.481
mush	NO TRANSLATION	0.500	0.311	0.125
mushroom	козу карын	0.490	0.274	0.269
mushy	ылайы	0.520	0.200	0.182
music	музыка	0.833	0.563	0.605
musical	музыкалык	0.908	0.630	0.530
musician	музыкант аял	0.816	0.509	0.618
musing	ойлуу	0.740	0.151	0.465
musk	миск	0.469	0.454	0.453
musket	мылтыкты	0.260	0.654	0.510
musketeer	Musketeer	0.694	0.569	0.705
muskrat	Маскрэт	0.439	0.510	0.368
muslin	Драгуша	0.439	0.304	0.352
muss	NO TRANSLATION	0.418	0.438	0.302
must	керек	0.408	0.382	0.441
mustang	мустанг	0.635	0.642	0.708
mustard	горчица	0.500	0.346	0.275
muster	кайраттанган	0.635	0.460	0.548
musty	курдун	0.354	0.367	0.267
mutable	өзгөгүчтүк	0.426	0.531	0.491
mutant	мутант	0.337	0.676	0.573
mutate	төлөгөн	0.281	0.548	0.463
mutation	түрлөрдүн	0.365	0.625	0.611
mute	көп сүйлөбөгөн	0.271	0.200	0.250
muted	үнү	0.260	0.167	0.162
mutilate	отургузууну	0.125	0.900	0.465
mutilated	жараат	0.041	0.841	0.356
mutilation	жаракат	0.122	0.782	0.456
mutiny	бийликтери	0.323	0.890	0.549
mutt	mutt	0.418	0.408	0.387
mutter	NO TRANSLATION	0.406	0.427	0.228
mutton	койдун	0.427	0.283	0.393
mutual	өз ара	0.729	0.321	0.464
mutually	өз ара	0.844	0.490	0.582
muzzle	морда	0.388	0.430	0.232
myfavorite	Менин Сүйүктүү	0.812	0.587	0.615
myopia	Myopia	0.245	0.387	0.226
myopic	myopic	0.344	0.396	0.218
myriad	сансыз	0.480	0.429	0.550
mysterious	сырдуу	0.448	0.699	0.455
mystery	жашыруун сыр	0.417	0.667	0.519
mystic	мистикалык	0.643	0.520	0.535
mystical	сырдуу	0.594	0.443	0.689
mysticism	диндик	0.594	0.598	0.423
mystified	көрүүсүнүн	0.344	0.600	0.509
mystique	мистикалык	0.668	0.633	0.667
myth	ойдон чыгарылган	0.458	0.432	0.338
mythic	Mythic	0.635	0.528	0.645
mythical	ойдон чыгарылган	0.625	0.556	0.583
mythological	уламыштарында	0.760	0.573	0.658
mythology	Уламыштарда	0.684	0.439	0.688
nab	NAB	0.469	0.544	0.407
nacho	Игнасио	0.667	0.259	0.333
nada	NO TRANSLATION	0.250	0.231	0.136
nadir	Надир	0.479	0.363	0.424
nag	NO TRANSLATION	0.271	0.451	0.472
nail	мык	0.469	0.397	0.282
nail gun	мык аткыч	0.378	0.806	0.574
naive	ишенчээк	0.406	0.260	0.375
naked	жылаңач	0.323	0.885	0.288
nakedness	этин	0.480	0.760	0.350
namaste	NO TRANSLATION	0.719	0.255	0.464
name	ысым	0.573	0.300	0.415
named	деген	0.562	0.396	0.565
nameless	аты жок	0.344	0.280	0.164
namesake	апага	0.418	0.327	0.404
naming	ат	0.667	0.410	0.559
nana	Бейбит	0.765	0.255	0.375
nanny	Таянеси	0.615	0.370	0.528
nanometer	нанометрдик	0.375	0.356	0.446
nap	үлгүрөө	0.660	0.098	0.342
napalm	Шуман	0.265	0.580	0.471
nape	желке	0.427	0.268	0.298
napkin	кол аарчы	0.469	0.142	0.209
napping	-кyмөн	0.765	0.046	0.306
nappy	л буруъуз:	0.529	0.333	0.207
narcissism	коркуу	0.214	0.639	0.540
narcissist	narcissist	0.173	0.614	0.629
narcissistic	октем	0.323	0.708	0.655
narcotic	наркотик	0.102	0.858	0.450
narrate	айтып	0.541	0.480	0.473
narration	баян	0.622	0.408	0.551
narrative	билдирүү	0.580	0.303	0.443
narrator	баяндоочу	0.673	0.430	0.623
narrow	тыгыз	0.260	0.368	0.356
narrowing	кууш, бир жагы	0.354	0.593	0.357
nasal	мурун	0.479	0.340	0.330
nascent	пайда болгон	0.684	0.373	0.585
nasty	жийиркеничтүү	0.115	0.620	0.264
natal	Натал	0.755	0.462	0.481
nation	улут	0.594	0.443	0.821
national	улуттук	0.698	0.365	0.663
nationality	улут	0.642	0.400	0.772
nationwide	улуттук	0.684	0.217	0.672
native	өз	0.635	0.422	0.710
nativity	Туулган	0.750	0.337	0.673
natural	жаратылыш	0.854	0.118	0.481
natural gas	табигый газ	0.635	0.324	0.396
naturalist	натуралист	0.844	0.255	0.562
naturalization	природные	0.781	0.279	0.652
naturalized	өз каалоосу менен	0.760	0.333	0.600
naturally	табигый	0.854	0.276	0.549
nature	жаратылыш	0.857	0.184	0.643
naught	нерсебиз	0.344	0.176	0.161
naughty	тентек	0.451	0.857	0.371
nausea	жүрөк айлануу	0.104	0.781	0.273
nauseate	nauseate	0.062	0.660	0.176
nauseating	жүрөк	0.021	0.640	0.250
nauseous	кускусу	0.135	0.780	0.284
nautical	милге	0.646	0.250	0.579
nautilus	наутилус	0.396	0.509	0.517
naval	деңиздик	0.542	0.449	0.679
nave	корабле	0.583	0.448	0.585
navel	гиндик	0.448	0.261	0.276
navigable	кеме	0.749	0.406	0.645
navigate	сүзүү	0.740	0.555	0.675
navigation	багыттоо	0.841	0.470	0.720
navigational	навигациялык	0.573	0.481	0.564
navigator	Navigator	0.583	0.592	0.623
navy	деңиздик-аскер флоту	0.531	0.760	0.764
nay	NO TRANSLATION	0.344	0.290	0.325
nearsighted	дүнүйөкорлукка умтулгандыктан	0.271	0.373	0.265
neat	таза	0.878	0.235	0.491
neatly	жарашыктуу	0.802	0.412	0.588
nebula	боштуктун	0.510	0.418	0.438
nebulae	тумандуулуктар	0.490	0.330	0.472
nebulous	тумандуу	0.469	0.347	0.417
necessarily	сөзсүз	0.667	0.423	0.598
necessary	керектүү	0.750	0.433	0.679
necessitate	талап	0.578	0.604	0.516
necessities	зарыл	0.520	0.630	0.463
necessity	керектүүлүк	0.567	0.471	0.588
neck	моюн	0.541	0.245	0.345
necklace	шуру	0.760	0.294	0.373
necktie	галстук	0.583	0.229	0.314
necromancer	чакырса	0.333	0.625	0.536
necrosis	некроз	0.115	0.622	0.385
nectar	нектар	0.746	0.331	0.398
need	керек	0.510	0.574	0.200
needalife	NO TRANSLATION	0.490	0.443	0.394
needed	керек	0.677	0.342	0.679
needful	керектүү	0.582	0.460	0.614
needit	NO TRANSLATION	0.250	0.472	0.356
needle	ийне	0.250	0.472	0.360
needlepoint	Сайма саюу	0.653	0.500	0.556
needles	ийне	0.250	0.602	0.348
needless	керексиз	0.327	0.385	0.200
needtoknow	needtoknow	0.427	0.606	0.474
needtorelax	NO TRANSLATION	0.673	0.438	0.274
needy	муктаж	0.360	0.451	0.245
nefarious	өмүрдө	0.184	0.720	0.528
negation	тескериси	0.255	0.461	0.297
negative	терс	0.102	0.527	0.176
negativity	жаман	0.060	0.520	0.273
neglect	кайдыгерлик	0.045	0.550	0.163
neglected	кароосуз	0.271	0.385	0.160
neglecting	бурулбаганы	0.177	0.441	0.230
negligee	negligee	0.385	0.520	0.336
negligence	шаалаакылык	0.092	0.570	0.251
negligent	шаалаакы	0.167	0.583	0.259
negligently	NO TRANSLATION	0.056	0.583	0.266
negligible	анча	0.177	0.292	0.232
negotiable	Келишимдүү	0.688	0.585	0.731
negotiate	сүйлөшүү	0.612	0.708	0.769
negotiation	сүйлөшүү	0.490	0.615	0.728
negotiator	сүйлөшүүчүсү	0.635	0.471	0.817
negro	черный	0.354	0.368	0.461
neigh	Суунун,	0.378	0.642	0.373
neighbor	кошуна	0.657	0.448	0.434
neighborhood	кошуна колоң	0.385	0.469	0.373
neighboring	кошуна	0.656	0.306	0.481
nemesis	Бэйн	0.271	0.688	0.647
neon	неон	0.594	0.480	0.380
neonatal	неонаталдык	0.542	0.529	0.357
neophyte	болуп казактардын	0.286	0.363	0.411
neoprene	неопрен	0.316	0.451	0.443
nephew	жээн	0.719	0.337	0.412
nepotism	непотизм	0.349	0.584	0.517
nerd	Nerd	0.408	0.481	0.315
nerdy	тажатма	0.296	0.255	0.292
nerve	нерв	0.129	0.698	0.307
nerves	Алишер Кайратулы	0.333	0.783	0.264
nervous	тынчсыздана	0.235	0.820	0.213
nervousness	толкундануу	0.163	0.915	0.241
nervouswreck	NO TRANSLATION	0.112	0.867	0.179
nervy	NO TRANSLATION	0.250	0.830	0.241
ness	өтүмдүүлүгүн	0.396	0.480	0.392
nest	уя	0.687	0.221	0.333
nestle	Nestle	0.625	0.308	0.379
nestling	жылмая	0.604	0.427	0.286
net	тор	0.441	0.288	0.417
nether	жайга,	0.240	0.265	0.259
netting	неттинг жөнүндө	0.368	0.509	0.585
nettle	чалкан	0.406	0.324	0.490
network	тармак	0.531	0.337	0.466
networking	тармактар	0.625	0.482	0.545
neural	нейрон	0.582	0.426	0.391
neuralgia	neuralgia	0.092	0.706	0.439
neurological	нейрологиялык	0.500	0.540	0.558
neurologist	алмакчы	0.608	0.500	0.736
neurology	Neurology	0.459	0.537	0.580
neurosis	желек	0.122	0.766	0.418
neurosurgeon	нейрохирург	0.590	0.673	0.755
neurosurgery	нейрохирургия	0.490	0.632	0.730
neurotic	Neurotic	0.198	0.801	0.387
neuter	орто	0.621	0.163	0.302
neutral	нейтралдуу	0.469	0.184	0.357
neutrality	бейтараптык	0.469	0.205	0.434
neutralize	таасирсиз	0.519	0.363	0.719
neutron	нейтрон	0.469	0.440	0.679
new	жаңы	0.917	0.490	0.582
new age	жаңы доор	0.694	0.556	0.727
newbeginnings	NO TRANSLATION	0.802	0.613	0.524
newborn	төрөлгөн ымыркайга	0.918	0.580	0.372
newcomer	жолоочу	0.622	0.380	0.396
newday	жаңы күн	0.847	0.388	0.618
newfound	Жипсиз	0.745	0.741	0.520
newjob	NO TRANSLATION	0.755	0.643	0.729
newlife	жаңы жашоо	0.898	0.646	0.701
newly	кайрадан	0.688	0.422	0.552
newlywed	үйлөнгөн	0.847	0.706	0.570
newme	newme	0.643	0.550	0.527
newness	дулдардын	0.740	0.522	0.588
news	жаңылык	0.633	0.580	0.610
newscast	Сыналгыда	0.531	0.509	0.714
newscaster	окуган диктор	0.646	0.510	0.764
newsflash	newsflash	0.604	0.637	0.518
newsletter	тасма	0.622	0.385	0.490
newsman	журналисттердин	0.604	0.480	0.696
newspaper	гезит	0.602	0.283	0.444
newspaperman	newspaperman	0.561	0.458	0.750
newsreel	колдоду	0.625	0.571	0.577
newsroom	бөлүмүнүн	0.531	0.392	0.658
newsstand	киоск	0.615	0.222	0.336
newstart	newstart	0.802	0.510	0.667
newt	тритон	0.458	0.380	0.541
newyear	NO TRANSLATION	0.938	0.784	0.520
nexus	байланыш	0.496	0.368	0.412
nib	уч	0.510	0.282	0.406
nibble	Сук	0.551	0.551	0.411
nice	жакшы	0.930	0.442	0.650
niche	Хабитат	0.459	0.413	0.318
nichts	NO TRANSLATION	0.406	0.293	0.404
nick	Ник	0.554	0.388	0.387
nickel	никелден	0.510	0.347	0.406
nickname	ылакап ат	0.490	0.470	0.263
nicotine	никотин	0.235	0.608	0.447
niece	жээн	0.771	0.320	0.400
nifty	татынакай	0.740	0.745	0.815
nigger	набат	0.240	0.347	0.398
nigh	жакын	0.653	0.216	0.336
night	түн	0.598	0.396	0.404
nightcap	nightcap	0.750	0.196	0.268
nightclub	түнкү клуб	0.802	0.894	0.528
nightfall	Nightfall	0.490	0.436	0.426
nightgown	молдир	0.643	0.408	0.250
nightie	nightie	0.630	0.388	0.274
nightingale	булбул	0.740	0.340	0.496
nightlife	башкага келинсин	0.542	0.783	0.510
nightly	кечинде	0.673	0.410	0.474
nightmare	коркунучтуу жаман түш	0.005	0.810	0.436
nightmares	балээлердин	0.082	0.942	0.448
nightstand	тумбочка	0.490	0.130	0.327
nightstick	nightstick	0.500	0.461	0.348
nighttime	түн	0.735	0.385	0.439
nihilism	нигилизм	0.367	0.510	0.364
nil	болгон эмес	0.286	0.143	0.157
nimble	секелек	0.833	0.729	0.769
nimrod	Нимрот	0.327	0.500	0.539
nincompoop	Nincompoop	0.365	0.431	0.368
nine	тогуз	0.552	0.255	0.327
nineteen	он тогуз	0.673	0.304	0.375
ninety	токсон	0.479	0.349	0.436
ninja	ниндзя	0.542	0.844	0.682
ninny	ninny	0.344	0.343	0.309
nintendo	Nintendo	0.802	0.571	0.464
ninth	тогузунчу	0.490	0.212	0.396
nip	бөгөт коюу	0.281	0.700	0.264
nipper	тилип	0.386	0.422	0.317
nipple	соска	0.480	0.786	0.415
nippy	nippy	0.540	0.500	0.416
nitrate	нитраты	0.388	0.406	0.500
nitro	Nitro	0.500	0.647	0.639
nitrogen	азот	0.427	0.435	0.562
nitrous	торнадо	0.435	0.561	0.411
nitwit	nitwit	0.146	0.606	0.139
nix	Орозгул	0.330	0.380	0.404
no anticipation	жок күтүшөт	0.396	0.480	0.341
no disgust	жок өчө элек	0.510	0.324	0.448
no emotion	эч кандай сезим	0.170	0.109	0.225
no sentiment	эч кандай сезим	0.092	0.382	0.278
no surprise	эч кандай сюрприз	0.171	0.224	0.412
no trust	эч кандай ишеним	0.055	0.445	0.257
nobility	асылдыгы	0.844	0.347	0.736
noble	асыл	0.906	0.345	0.610
nobleman	Сарай	0.675	0.286	0.709
nobodycares	NO TRANSLATION	0.365	0.410	0.354
nocomplaints	NO TRANSLATION	0.677	0.164	0.491
nocturnal	түнкү	0.540	0.500	0.462
nod	башын ийкөө	0.590	0.367	0.427
nodding	тартуунун бир	0.694	0.294	0.426
node	түйүн	0.396	0.343	0.361
nodular	зоб	0.438	0.351	0.411
nodule	кремнезем	0.312	0.426	0.349
noggin	noggin	0.510	0.433	0.382
nohope	NO TRANSLATION	0.200	0.441	0.385
noir	черный	0.375	0.394	0.365
noise	ызы-чуу	0.260	0.883	0.388
noisy	ызы-чуулуу	0.271	0.812	0.561
nomad	Nomad	0.375	0.413	0.433
nomadic	көчмөн	0.427	0.519	0.422
nomenclature	номенклатурасы	0.500	0.222	0.575
nominal	номиналдуу	0.594	0.250	0.463
nominate	атоо	0.615	0.471	0.669
nomination	көрсөтүү	0.663	0.637	0.696
nominee	талапкер	0.662	0.625	0.765
nonce	ысырапкерчиликти	0.422	0.370	0.377
nonchalant	смарт-карта	0.312	0.314	0.366
noncompliance	сакталбагандыгы	0.112	0.598	0.259
nondescript	расага	0.490	0.434	0.348
nonexistent	жок	0.208	0.429	0.149
nonfat	чала	0.604	0.260	0.340
nonfiction	тартмакчы	0.426	0.315	0.431
nonpayment	төлөбөө	0.229	0.510	0.298
nonresident	резидент эмес	0.250	0.340	0.302
nonsense	келжиректик	0.214	0.531	0.155
nonsensical	сүйүнүчтүү	0.173	0.268	0.193
nonviolent	зомбулуксуз	0.640	0.287	0.346
noob	Момун	0.417	0.430	0.267
noodle	кесме	0.633	0.216	0.225
nook	газеттин	0.480	0.321	0.296
noon	түш маалы	0.531	0.343	0.518
noose	Кылтакка	0.356	0.300	0.330
nopoint	NO TRANSLATION	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	норма	0.500	0.245	0.527
normal	демейдеги	0.740	0.127	0.380
normalcy	нормалдуулугуна	0.805	0.151	0.620
normality	нормалдуу	0.781	0.089	0.444
north	түндүк	0.531	0.255	0.450
northbound	түндүккө	0.604	0.454	0.491
northeast	түндүк-чыгыш	0.562	0.260	0.375
northern	түндүктүк	0.570	0.340	0.472
northwest	Түндүк батыш	0.604	0.345	0.451
northwestern	түндүк-батыш	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	мурун	0.582	0.270	0.245
nosebleed	мурдум	0.153	0.776	0.361
nosey	кулак түргүч	0.276	0.655	0.223
nosnow	кар жок	0.392	0.394	0.366
nostalgia	кандагар	0.417	0.337	0.339
nostalgic	Nostalgic	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	таноо	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	кулак түргүч	0.292	0.558	0.433
not negative	терс эмес,	0.622	0.270	0.444
not positive	эмес, оң	0.051	0.370	0.236
notable	белгилүү	0.760	0.450	0.696
notables	көсөмдөрү	0.594	0.608	0.755
notably	топ	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	нотариус	0.541	0.451	0.676
notation	ноталык	0.635	0.380	0.558
notch	нук	0.459	0.361	0.358
notched	уча	0.480	0.530	0.356
note	Эскертүү	0.594	0.163	0.416
notebook	жазуу дептер	0.449	0.167	0.442
noted	белгиленген	0.615	0.382	0.464
noteworthy	кетчү	0.704	0.481	0.759
nothappy	NO TRANSLATION	0.112	0.320	0.170
nothingbetter	NO TRANSLATION	0.635	0.390	0.543
nothingness	жоктук	0.204	0.080	0.161
notice	кабарлоо	0.646	0.408	0.491
noticeable	көрүнүктүү	0.890	0.562	0.750
notification	билдирүү	0.604	0.461	0.671
notify	билдирүү	0.643	0.471	0.573
notion	түшүнүк	0.612	0.284	0.667
notional	шарттуу	0.520	0.288	0.500
notoriety	кара чайыр	0.552	0.633	0.769
notorious	чуулгандуу	0.366	0.582	0.609
notready	даяр эмес	0.133	0.400	0.196
notwithstanding	карабастан,	0.367	0.316	0.433
nought	нерсебиз	0.312	0.098	0.116
noun	зат атооч	0.531	0.230	0.477
nourish	сиңирүү	0.878	0.460	0.639
nourishment	азыгы	0.786	0.290	0.631
nouveau	NO TRANSLATION	0.633	0.438	0.432
novel	роман	0.702	0.352	0.439
novelist	жазуучу	0.340	0.343	0.529
novelty	жаңылык	0.673	0.521	0.740
novice	башталгыч	0.429	0.346	0.180
nowadays	азыркы учурда	0.680	0.346	0.400
nowork	жумуш жок	0.312	0.264	0.309
noworries	кабатыр болбо	0.630	0.402	0.500
noxious	зыяндуу	0.177	0.585	0.379
nozzle	мурун	0.438	0.330	0.287
nuance	жагдай	0.408	0.282	0.411
nuances	анын айырмачылыктары	0.490	0.375	0.527
nuclear	ядролук	0.219	0.856	0.781
nucleus	ядро	0.529	0.296	0.667
nude	жылаңач	0.490	0.915	0.200
nudge	эскертүү	0.448	0.500	0.509
nudie	Nudie	0.500	0.529	0.373
nudist	нудист	0.440	0.796	0.483
nudity	сексуалдык	0.438	0.853	0.415
nugget	Тандем	0.602	0.340	0.348
nuisance	жагымсыз	0.198	0.817	0.227
nuke	Женишбек	0.125	0.905	0.873
nul	NO TRANSLATION	0.337	0.358	0.264
null	нөл	0.253	0.147	0.152
nullify	жокко	0.255	0.373	0.395
numb	далдыроо	0.108	0.420	0.352
number	сан	0.406	0.231	0.471
numbering	номерлөө	0.510	0.363	0.482
numbers	сандар	0.406	0.241	0.440
numbness	жатса,	0.306	0.398	0.265
numbskull	numbskull	0.300	0.472	0.284
numeral	сан атооч	0.582	0.254	0.382
numerator	экилик	0.490	0.317	0.526
numerical	сындык	0.479	0.322	0.517
numerically	сан	0.510	0.337	0.500
numerous	көп сандаган	0.622	0.462	0.609
nun	NO TRANSLATION	0.500	0.150	0.406
nunchucks	nunchucks	0.337	0.580	0.526
nunnery	монастры	0.653	0.236	0.473
nuptials	nuptials	0.771	0.588	0.571
nurse	багуучу	0.635	0.578	0.521
nursemaid	nursemaid	0.615	0.431	0.436
nursery	инкубатор	0.894	0.406	0.389
nursing	эмчектеги бала	0.552	0.549	0.653
nurture	тарбиялоо	0.745	0.378	0.657
nut	жаңгак	0.365	0.310	0.250
nutcase	Псих	0.286	0.775	0.259
nutcracker	алакаргасына	0.635	0.378	0.522
nuthouse	nuthouse	0.347	0.519	0.434
nutmeg	даярдалат	0.635	0.302	0.350
nutrition	азыктануу	0.885	0.420	0.579
nutritional	тамак-аш	0.812	0.406	0.676
nutritious	аш болумдуу	0.833	0.337	0.655
nutritive	азыктык	0.875	0.422	0.667
nuts	жаъгактар	0.594	0.250	0.291
nutshell	ПДУЭ	0.458	0.407	0.310
nutty	nutty	0.444	0.317	0.271
nylon	нейлон	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	түшөйүнбү	0.556	0.379	0.320
nymph	куурчакча	0.542	0.529	0.472
nymphomaniac	-сатуда	0.398	0.894	0.536
oaf	актёрго	0.344	0.357	0.330
oak	дубдан жасалган буюм	0.583	0.245	0.536
oar	калак	0.469	0.392	0.316
oasis	жай	0.796	0.283	0.429
oat	талкан	0.622	0.170	0.298
oath	ант	0.543	0.615	0.824
oatmeal	сулу	0.592	0.192	0.241
obedience	баш ийүү	0.765	0.287	0.536
obedient	тил алчаак	0.800	0.179	0.518
obediently	баш ийип,	0.802	0.304	0.577
obelisk	обелискинде	0.604	0.408	0.596
obese	семиздик	0.133	0.427	0.250
obesity	кетүү	0.215	0.370	0.328
obey	баш ийүү	0.677	0.433	0.533
obi	Obi	0.469	0.442	0.414
obit	obit	0.410	0.464	0.393
obituary	көңүл айтуу	0.188	0.330	0.423
object	зат	0.531	0.356	0.375
objection	каршылык	0.347	0.592	0.709
objectionable	адепсиз	0.459	0.382	0.558
objective	объективдүү	0.724	0.337	0.736
objectivity	калыстыгы	0.765	0.431	0.711
obligation	милдеттенме	0.222	0.596	0.718
obligatory	милдеттүү	0.337	0.571	0.780
oblige	милдеттендирүү	0.281	0.770	0.614
obliged	милдеттүү	0.327	0.680	0.411
obliging	милдеттендирүүчү	0.740	0.402	0.545
obligor	карызкор	0.302	0.600	0.360
oblique	ийилген	0.438	0.347	0.455
obliterate	коёру	0.250	0.539	0.569
obliterated	бай менен кедейдин кыпындай дагы	0.240	0.469	0.344
obliteration	бузуу	0.177	0.622	0.397
oblivion	ыр	0.153	0.330	0.282
oblivious	кагылыш	0.229	0.388	0.355
oblong	сүйрү	0.561	0.455	0.370
obnoxious	ачуулуу	0.088	0.602	0.256
oboe	гобой	0.510	0.340	0.392
obscene	уяты жок	0.050	0.745	0.348
obscenity	уятсыздык	0.083	0.843	0.418
obscure	көңүлсүз	0.370	0.551	0.278
obscured	жашырылган	0.115	0.356	0.298
obscurity	туманда	0.208	0.392	0.380
observance	сактоо	0.531	0.315	0.632
observant	байкагыч	0.740	0.422	0.708
observation	байкоо	0.633	0.433	0.667
observatory	Observatory	0.643	0.324	0.731
observe	сактоо	0.771	0.390	0.360
observer	байкоочу	0.663	0.363	0.603
observing	байкоо	0.583	0.400	0.685
obsess	айта бербей	0.112	0.846	0.509
obsessed	адеп-ахлаксыздыкка белчесинен баткан	0.219	0.840	0.439
obsessing	карманып	0.173	0.773	0.698
obsession	азгыруу	0.229	0.847	0.571
obsessive	таасири астындагы	0.219	0.823	0.480
obsolescence	эскирүү	0.250	0.431	0.377
obsolete	эскирген	0.337	0.321	0.250
obstacle	тоскоолдук	0.204	0.708	0.336
obstetrician	акушер	0.521	0.636	0.604
obstetrics	акушердик	0.530	0.582	0.564
obstinate	катууланышына	0.146	0.696	0.562
obstruct	өткөөлдү тосуу	0.115	0.660	0.458
obstruction	тоскоолдук	0.125	0.742	0.491
obstructive	тосуучу	0.204	0.650	0.613
obtain	алуу	0.760	0.438	0.731
obtainable	жеткиликтүү	0.677	0.327	0.702
obtuse	оор	0.281	0.460	0.345
obverse	алдынкы	0.470	0.394	0.464
