Word	Georgian-ka	Valence	Arousal	Dominance
limelight	ტვირთი	0.667	0.639	0.694
limestone	კირქვა	0.602	0.323	0.381
limey	ცაცხვი	0.469	0.347	0.415
limit	ზღვარი	0.427	0.453	0.500
limitation	შეზღუდვა	0.190	0.431	0.225
limited	შეზღუდულია	0.229	0.273	0.380
limitless	უსაზღვრო	0.688	0.574	0.655
limo	limo	0.760	0.367	0.667
limousine	ლიმუზინი	0.638	0.531	0.640
limp	limp	0.393	0.440	0.172
lin	lin	0.416	0.362	0.343
line	ხაზი	0.541	0.180	0.353
lineage	lineage	0.633	0.465	0.721
lineal	ხაზოვანი	0.521	0.170	0.474
linear	ხაზოვანი	0.646	0.250	0.472
linebacker	linebacker	0.490	0.660	0.543
lined	გაფორმებულია	0.438	0.367	0.424
linen	თეთრეული	0.656	0.323	0.286
liner	ლაინერი	0.469	0.396	0.400
lines	ხაზები	0.542	0.317	0.330
lineup	წყობა	0.635	0.427	0.638
linger	linger	0.480	0.311	0.412
lingerie	ქალის თეთრეული	0.543	0.463	0.308
lingering	გაღრმავება	0.630	0.643	0.667
lingo	ლინგო	0.448	0.364	0.447
lingual	ენობრივი	0.500	0.457	0.315
linguini	ლინგუინი	0.625	0.338	0.355
linguist	ლინგვისტი	0.583	0.330	0.634
linguistic	ლინგვისტური	0.646	0.351	0.618
linguistics	ლინგვისტიკა	0.552	0.390	0.618
lining	უგულებელყოფა	0.571	0.363	0.472
link	ბმული	0.427	0.264	0.491
linoleum	ლინოლეუმი	0.510	0.378	0.402
lint	ბამბა	0.388	0.173	0.214
lion	ლომი	0.532	0.717	0.682
lip	ტუჩის	0.541	0.348	0.443
liposuction	ლიპოსაქცია	0.292	0.684	0.464
lipstick	პომადა	0.653	0.429	0.306
liquefaction	ლიქიფრაცია	0.449	0.622	0.535
liquefied	გათხევადებული	0.562	0.463	0.342
liqueur	ლიქიორი	0.670	0.612	0.389
liquid	თხევადი	0.562	0.235	0.307
liquidate	ლიკვიდაცია	0.327	0.654	0.664
liquidation	ლიკვიდაცია	0.417	0.625	0.649
liquidator	ლიკვიდატორი	0.354	0.663	0.750
liquidity	ლიკვიდურობა	0.688	0.529	0.534
liquor	ლიქიორით	0.603	0.702	0.433
lira	NO TRANSLATION	0.530	0.255	0.370
lisp	lisp	0.365	0.412	0.288
list	სია	0.528	0.260	0.402
listen	მოუსმინე	0.771	0.360	0.445
listener	მსმენელი	0.667	0.375	0.403
listenting	NO TRANSLATION	0.640	0.377	0.491
listing	ჩამონათვალი	0.438	0.273	0.432
listless	უაზრო	0.219	0.350	0.231
listneing	NO TRANSLATION	0.531	0.370	0.433
litany	სინათლე	0.510	0.365	0.482
liter	ლიტრი	0.573	0.208	0.382
literacy	ცოდნა	0.730	0.306	0.638
literal	ლიტერატურული	0.570	0.353	0.574
literally	სიტყვასიტყვით	0.571	0.353	0.673
literary	ლიტერატურული	0.719	0.324	0.667
literature	ლიტერატურა	0.708	0.250	0.598
lithe	განათებული	0.656	0.596	0.602
lithium	ლითიუმი	0.417	0.330	0.430
lithograph	ლითოგრაფია	0.551	0.327	0.481
lithography	ლითოგრაფია	0.561	0.346	0.473
lithology	ლითოლოგია	0.519	0.378	0.525
lithosphere	ლითოსფერო	0.473	0.333	0.689
litigant	litigant	0.219	0.577	0.696
litigate	იმოქმედე	0.260	0.819	0.712
litigation	სამართალწარმოება	0.388	0.760	0.602
litigator	litigator	0.429	0.630	0.732
litigious	litigious	0.360	0.736	0.632
litter	ნარჩენები	0.255	0.551	0.110
little	პატარა	0.385	0.160	0.213
littlethings	წვრილმანები	0.740	0.311	0.242
littoral	სანაპირო	0.551	0.387	0.452
liturgy	ლიტურგია	0.490	0.327	0.568
live	ცხოვრობს	0.880	0.673	0.676
livelife	livelife	0.792	0.624	0.664
livelihood	საარსებო საშუალება	0.698	0.481	0.721
lively	ცოცხალი	0.847	0.810	0.642
liven	liven	0.708	0.713	0.673
liver	ღვიძლში	0.439	0.290	0.385
livery	livery	0.510	0.417	0.429
livestock	მეცხოველეობა	0.729	0.420	0.519
livid	livid	0.469	0.788	0.490
living	ცხოვრება	0.865	0.608	0.727
lizard	ხვლიკი	0.378	0.375	0.324
llama	ვენა	0.490	0.590	0.519
lml	ლმ	0.448	0.519	0.385
load	დატვირთვა	0.385	0.417	0.528
loader	მტვირთავი	0.562	0.377	0.686
loaf	პური	0.755	0.250	0.277
loafer	loafer	0.235	0.396	0.254
loam	loam	0.469	0.373	0.673
loan	სესხი	0.552	0.480	0.352
loath	loath	0.135	0.714	0.445
loathe	loathe	0.094	0.730	0.429
loathful	სიცარიელე	0.068	0.740	0.358
loathing	სიძულვილი	0.083	0.796	0.368
loathsome	უხერხულია	0.120	0.694	0.343
lobby	ლობირება	0.625	0.427	0.472
lobbyist	ლობისტი	0.385	0.527	0.565
lobe	lobe	0.459	0.364	0.352
lobotomy	ლობოტომია	0.296	0.598	0.402
lobster	lobster	0.571	0.356	0.291
local	ადგილობრივი	0.656	0.269	0.452
locale	ლოკალი	0.449	0.387	0.352
locality	რაიონი	0.582	0.336	0.464
localization	ლოკალიზაცია	0.552	0.330	0.545
localize	ლოკალიზება	0.520	0.481	0.679
localized	ლოკალიზებული	0.490	0.460	0.621
locate	განთავსება	0.583	0.520	0.786
location	მდებარეობა	0.615	0.375	0.546
locator	ლოკატორი	0.480	0.426	0.614
loch	loch	0.449	0.235	0.425
lock	ჩაკეტვა	0.271	0.585	0.600
locker	მბრძანებელი	0.439	0.300	0.393
locket	საკეტი	0.615	0.327	0.616
locksmith	ჩაკეტვა	0.510	0.417	0.491
lockup	ჩაკეტვა	0.240	0.602	0.617
loco	ლოკო	0.306	0.774	0.226
locomotion	ლოკომოტივა	0.470	0.600	0.595
locomotive	ლოკომოტივი	0.542	0.650	0.721
locust	კალია	0.479	0.412	0.417
lode	NO TRANSLATION	0.365	0.423	0.318
lodge	ლოჯი	0.656	0.356	0.474
lodger	lodger	0.480	0.448	0.304
lodging	ცხოვრება	0.713	0.286	0.527
loft	loft	0.510	0.378	0.343
lofty	მაღალი	0.755	0.306	0.569
log	შესვლა	0.591	0.371	0.395
logarithm	ლოგარითმი	0.520	0.439	0.551
logarithmic	ლოგარითმული	0.469	0.458	0.606
logic	ლოგიკა	0.646	0.245	0.819
logical	ლოგიკური	0.805	0.400	0.648
logistics	ლოგისტიკა	0.633	0.500	0.730
logo	ლოგო	0.469	0.296	0.565
logotype	ლოგოტიპი	0.480	0.337	0.509
loin	NO TRANSLATION	0.420	0.298	0.379
lollipop	lollipop	0.628	0.483	0.357
lone	მარტოხელა	0.198	0.204	0.367
loneliness	მარტოობა	0.146	0.182	0.222
lonely	მარტოხელა	0.250	0.226	0.238
loner	loner	0.347	0.152	0.221
lonesome	lonesome	0.281	0.213	0.336
long	ხანგრძლივი	0.541	0.353	0.543
longboat	გრძელი	0.551	0.454	0.490
longevity	ხანგრძლივობა	0.750	0.353	0.745
longing	ლტოლვა	0.604	0.434	0.560
longitude	გრძედი	0.479	0.310	0.516
longitudinal	გრძივი	0.542	0.398	0.582
longitudinally	გრძივი	0.541	0.380	0.569
longtime	დიდი დრო	0.362	0.442	0.546
loo	loo	0.385	0.357	0.283
look	გამოიყურება	0.719	0.429	0.615
looker	looker	0.583	0.354	0.451
lookout	ფრთხილად	0.698	0.538	0.639
loom	იკვეთება	0.531	0.245	0.325
looming	მოსალოდნელი	0.367	0.750	0.528
loon	ლანჩი	0.429	0.392	0.325
loony	loony	0.439	0.474	0.295
loop	loop	0.516	0.343	0.317
loophole	loophole	0.406	0.755	0.491
loopy	loopy	0.438	0.520	0.195
loose	ფხვიერი	0.573	0.312	0.365
loosen	loosen	0.487	0.337	0.218
loosening	შესუსტება	0.378	0.343	0.295
loot	ნაძარცვი	0.604	0.711	0.537
lop	lop	0.429	0.363	0.426
lopsided	მოკლებულია	0.125	0.500	0.272
lord	უფალო	0.618	0.327	0.684
lords	ლორდები	0.571	0.356	0.781
lordship	ლოცვა	0.573	0.557	0.736
lore	ლორე	0.719	0.373	0.768
lorry	სატვირთო	0.521	0.481	0.402
lose	დაკარგავს	0.115	0.538	0.176
loser	ხელმოცარული	0.083	0.510	0.155
losing	დაკარგვა	0.076	0.686	0.223
loss	დაკარგვა	0.062	0.567	0.211
lost	დაკარგა	0.199	0.663	0.148
lot	ბევრი	0.531	0.215	0.370
lotion	ლოსიონი	0.724	0.261	0.188
lots	უამრავი	0.604	0.417	0.424
lottery	ლატარიაში	0.771	0.731	0.491
lotto	ლოტოს	0.760	0.635	0.475
lotus	ლოტუსი	0.604	0.377	0.510
loud	ხმამაღალი	0.573	0.650	0.870
loudly	ხმამაღლა	0.541	0.755	0.667
loudmouth	ხმამაღლა	0.337	0.615	0.456
loudness	ხმამაღალი	0.350	0.582	0.620
loudspeaker	დინამიკი	0.490	0.735	0.689
lounge	ლაუნჯი	0.592	0.245	0.466
lounging	lounging	0.735	0.167	0.449
louse	louse	0.184	0.439	0.154
lousy	lousy	0.125	0.482	0.234
lovable	ფონი	0.948	0.335	0.565
love	სიყვარული	1.000	0.519	0.673
loved	უყვარდა	0.927	0.452	0.582
lovee	სიყვარული	0.949	0.592	0.611
loveee	სიყვარული	0.927	0.592	0.693
loveless	უყვარულო	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	ლამაზობა	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	ლამაზი	0.917	0.456	0.741
lovemaking	სიყვარული	0.969	0.927	0.814
lovemylife	NO TRANSLATION	0.896	0.800	0.573
lover	შეყვარებული	0.881	0.816	0.750
lovesick	lovesick	0.796	0.842	0.500
lovethis	მიყვარს	0.867	0.552	0.526
loving	მოსიყვარულე	0.948	0.612	0.636
lovinglife	სიყვარულისა	0.979	0.404	0.673
lovinlife	სიყვარული	0.714	0.460	0.544
low	დაბალი	0.292	0.220	0.102
lowdown	დაბალია	0.306	0.441	0.441
lower	ქვედა	0.327	0.296	0.258
lowering	შემცირება	0.286	0.363	0.236
lowest	უმდაბლესი	0.312	0.304	0.129
lowlands	დაბლობები	0.323	0.290	0.331
lowlife	დაბალი ცხოვრება	0.296	0.529	0.309
lowly	დაბალია	0.562	0.294	0.417
lox	lox	0.490	0.373	0.318
loyal	ერთგული	0.896	0.265	0.657
loyalty	ერთგულება	0.885	0.406	0.793
lsd	lsd	0.375	0.471	0.390
luau	ლუაუ	0.594	0.545	0.296
lube	lube	0.552	0.490	0.411
lubricant	საპოხი	0.656	0.550	0.454
lubricate	საპოხი	0.552	0.490	0.470
lubrication	საპოხი	0.624	0.646	0.491
lucid	ნათელი	0.771	0.490	0.705
luck	გისურვებთ	0.854	0.490	0.717
luckiest	მომხიბლავი	0.917	0.690	0.852
lucky	იღბლიანი	0.960	0.610	0.793
luckygirl	იღბლიანი გოგონა	0.781	0.712	0.471
lucrative	მომგებიანი	0.729	0.519	0.798
ludicrous	ludicrous	0.137	0.553	0.274
lug	მოდი	0.344	0.443	0.340
luggage	ბარგი	0.561	0.226	0.319
lukewarm	გამონაყარი	0.573	0.300	0.241
lull	გაჩერებული	0.602	0.130	0.402
lullaby	იავნანა	0.796	0.156	0.339
lumbar	წელის	0.323	0.418	0.342
lumber	ხე	0.517	0.184	0.373
lumbering	საძოვრები	0.354	0.561	0.655
lumberjack	lumberjack	0.500	0.660	0.726
luminescent	luminescent	0.796	0.550	0.526
luminous	luminous	0.918	0.392	0.783
lump	ერთიანად	0.438	0.337	0.463
lumpy	lumpy	0.271	0.378	0.365
lunacy	სიგიჟე	0.132	0.847	0.330
lunar	მთვარე	0.562	0.296	0.427
lunatic	ლინატური	0.125	0.792	0.442
lunch	ლანჩი	0.880	0.410	0.542
lunchbox	ლანჩის ყუთი	0.663	0.346	0.346
luncheon	ლანჩენი	0.837	0.240	0.441
lunchtime	ლანჩის დრო	0.896	0.398	0.444
lung	ფილტვის	0.510	0.292	0.629
lunge	ლანჩი	0.354	0.721	0.509
lungs	ფილტვები	0.531	0.352	0.555
lurch	ლურჯი	0.404	0.694	0.363
lure	შესაძენად	0.439	0.565	0.300
lurid	lurid	0.186	0.833	0.536
lurk	დაივიწყე	0.219	0.740	0.655
lurking	ჩხუბი	0.421	0.781	0.575
luscious	luscious	0.885	0.552	0.545
lush	აყვავებულს	0.740	0.783	0.833
lust	იმედგაცრუება	0.469	0.944	0.518
luster	ბრწყინვალება	0.833	0.566	0.558
lustful	lustful	0.427	0.896	0.643
lustrous	lustrous	0.771	0.606	0.598
lusty	lusty	0.469	0.941	0.673
lute	lute	0.459	0.407	0.500
luxuriant	ლურჯიანი	0.760	0.745	0.812
luxurious	ძვირადღირებული	0.947	0.644	0.754
luxury	ფუფუნება	0.932	0.673	0.750
lycra	lycra	0.520	0.449	0.328
lye	ლი	0.378	0.396	0.443
lying	ცრუობს	0.208	0.704	0.317
lymph	ლიმფური	0.398	0.510	0.390
lymphatic	ლიმფური	0.380	0.509	0.472
lymphoma	ლიმფომა	0.208	0.645	0.330
lynch	ლინჩი	0.167	0.885	0.482
lynching	დამღუპველი	0.135	0.920	0.548
lynx	ფოცხვერი	0.510	0.590	0.567
lyre	lyre	0.719	0.347	0.414
lyric	ტექსტი	0.702	0.269	0.464
lyrical	ლირიკული	0.708	0.451	0.618
lyrics	ტექსტი	0.582	0.214	0.333
macadamia	მაკადამია	0.635	0.330	0.434
macarena	მაკარნა	0.802	0.601	0.368
macaroni	მაკარონი	0.816	0.410	0.382
mace	mace	0.450	0.412	0.415
mach	mach	0.541	0.432	0.463
machete	machete	0.260	0.690	0.474
machine	მანქანა	0.510	0.500	0.707
machinery	მანქანები	0.458	0.615	0.629
machinist	machinist	0.490	0.598	0.721
macho	მაჩო	0.643	0.690	0.676
mackerel	სკუმბრია	0.418	0.423	0.426
macro	მაკრო	0.552	0.469	0.647
mad	შეშლილი	0.219	0.873	0.277
madam	ქალბატონი	0.580	0.308	0.571
madame	madame	0.604	0.500	0.635
madden	madden	0.329	0.602	0.457
madder	madder	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	mademyday	0.694	0.573	0.537
madhouse	madhouse	0.156	0.736	0.440
madman	გიჟია	0.135	0.880	0.312
madness	სიგიჟე	0.104	0.804	0.440
maestro	მაესტრო	0.823	0.357	0.849
mafia	მაფია	0.204	0.867	0.676
magazine	ჟურნალი	0.615	0.332	0.377
mage	mage	0.622	0.373	0.453
magenta	მაგენტა	0.635	0.275	0.415
maggot	maggot	0.235	0.500	0.235
magic	ჯადოსნური	0.868	0.663	0.578
magical	ჯადოსნური	0.875	0.651	0.595
magician	ჯადოქარი	0.714	0.657	0.551
magistrate	მაგისტრატი	0.587	0.541	0.904
magma	მაგმა	0.323	0.623	0.609
magna	მაგნა	0.605	0.490	0.652
magnate	მაგნატი	0.627	0.708	0.868
magnesium	მაგნიუმი	0.542	0.320	0.321
magnet	მაგნიტი	0.571	0.318	0.553
magnetic	მაგნიტური	0.612	0.529	0.673
magnetism	მაგნეტიზმი	0.630	0.529	0.741
magnetite	მაგნეტიტი	0.531	0.490	0.581
magnification	გადიდება	0.890	0.615	0.880
magnificence	ბრწყინვალება	0.802	0.810	0.920
magnificent	ბრწყინვალე	1.000	0.680	0.886
magnifier	ლუპა	0.469	0.216	0.345
magnify	გადიდება	0.729	0.561	0.839
magnifying	გამადიდებელი	0.594	0.265	0.406
magnitude	სიდიდე	0.608	0.613	0.774
magnolia	მაგნოლია	0.558	0.343	0.379
magpie	მაგია	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	Mahjong	0.556	0.418	0.440
mahogany	მღვიმე	0.602	0.225	0.393
maid	დამლაგებელი	0.406	0.324	0.300
maiden	ქალწული	0.755	0.396	0.461
mail	ფოსტა	0.615	0.231	0.548
mailbox	საფოსტო ყუთი	0.573	0.222	0.404
mailing	საფოსტო	0.688	0.324	0.375
mailman	ფოსტალიონი	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	მთავარი	0.667	0.510	0.811
mainframe	მენიუ	0.531	0.490	0.557
mainland	მატერიკზე	0.680	0.407	0.806
mainstay	მთავარია	0.694	0.400	0.713
mainstream	ზომიერება	0.653	0.527	0.660
maintain	შენარჩუნება	0.684	0.398	0.647
maintenance	შენარჩუნება	0.592	0.410	0.545
majestic	დიდებული	0.948	0.731	0.906
majesty	უდიდებულესობა	0.823	0.602	0.955
major	ძირითადი	0.684	0.538	0.874
majority	უმრავლესობა	0.684	0.560	0.930
make	გააკეთოს	0.684	0.420	0.480
makeover	makeover	0.771	0.510	0.596
maker	მწარმოებელი	0.698	0.544	0.706
makeshift	კუსტარული	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	კოსმეტიკა	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	malady	0.190	0.686	0.304
malaise	გაღიზიანება	0.150	0.600	0.161
malaria	მალარია	0.125	0.653	0.304
malarkey	მალარქია	0.396	0.500	0.465
male	კაცი	0.612	0.532	0.695
malevolent	მტკივა	0.094	0.854	0.613
malfeasance	malfeasance	0.062	0.745	0.325
malformation	malformation	0.083	0.602	0.357
malfunction	გაუმართაობა	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	ბოროტი	0.177	0.765	0.607
malign	malign	0.140	0.765	0.481
malignancy	ავთვისებიანი	0.149	0.814	0.614
malignant	ავთვისებიანი	0.143	0.824	0.370
maligned	შეურაცხყოფა	0.102	0.684	0.218
mall	ცენტრი	0.724	0.663	0.492
malleable	malleable	0.500	0.500	0.391
mallet	მალეტი	0.354	0.390	0.483
malnutrition	malnutrition	0.024	0.592	0.277
malpractice	malpractice	0.094	0.559	0.330
malt	ალაო	0.750	0.373	0.324
mama	დედა	0.860	0.413	0.728
mambo	mambo	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	ძუძუმწოვარი	0.618	0.449	0.421
mammoth	მამული	0.480	0.471	0.537
mammy	mammy	0.680	0.415	0.436
man	კაცი	0.688	0.427	0.767
manage	მართვა	0.560	0.530	0.719
manageable	მართვადი	0.750	0.361	0.655
management	მართვა	0.792	0.491	0.806
manager	მენეჯერი	0.625	0.549	0.897
managerial	მმართველი	0.604	0.520	0.791
mandamus	მანამუსი	0.439	0.577	0.556
mandarin	მანდარინი	0.625	0.398	0.491
mandate	მანდატი	0.448	0.670	0.779
mandatory	სავალდებულო	0.271	0.667	0.777
mandible	სავალდებულო	0.510	0.431	0.500
mandolin	მანდოლინი	0.708	0.433	0.367
mandrel	mandrel	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	მანევრირება	0.615	0.663	0.608
maneuvering	მანევრირება	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	მენეჯერი	0.656	0.276	0.398
mangle	mangle	0.292	0.449	0.355
mango	მანგო	0.765	0.327	0.290
mangosteen	მანგოსტეინი	0.562	0.500	0.414
mangy	mangy	0.214	0.698	0.270
manhole	მანჰოლი	0.378	0.500	0.516
manhood	manhood	0.625	0.735	0.858
manhunt	manhunt	0.145	0.925	0.657
mania	მანია	0.290	0.683	0.382
maniac	მანიაკი	0.120	0.849	0.431
maniacal	მანიაკალი	0.200	0.848	0.500
manic	მანიაკალური	0.054	0.892	0.368
manicure	მანიკური	0.706	0.308	0.284
manicurist	მანიკური	0.583	0.352	0.341
manifest	მანიფესტი	0.667	0.647	0.704
manifestation	მანიფესტაცია	0.583	0.750	0.655
manifested	გამოიხატება	0.580	0.618	0.667
manifestly	აშკარად	0.469	0.588	0.577
manifesto	მანიფესტი	0.646	0.519	0.676
manifold	მრავალფეროვანი	0.500	0.461	0.435
manipulate	მანიპულირება	0.255	0.700	0.772
manipulation	მანიპულირება	0.188	0.775	0.536
manipulative	მანიპულირება	0.177	0.724	0.546
mankind	კაცობრიობა	0.823	0.471	0.768
manly	manly	0.698	0.633	0.846
manna	მანანა	0.698	0.294	0.544
manned	მანიპულირება	0.551	0.588	0.484
mannequin	mannequin	0.427	0.302	0.295
manner	წესით	0.618	0.250	0.320
mannered	mannered	0.469	0.556	0.291
manners	მანერები	0.816	0.284	0.517
manor	მანორი	0.646	0.358	0.738
manpower	ცოცხალი ძალის	0.531	0.620	0.543
mansion	სასახლე	0.847	0.490	0.717
mansions	სასახლეები	0.735	0.529	0.777
manslaughter	manslaughter	0.090	0.920	0.473
mantel	mantel	0.500	0.265	0.471
mantis	mantis	0.480	0.355	0.421
mantle	მანტია	0.510	0.269	0.422
mantra	mantra	0.396	0.249	0.357
manual	სახელმძღვანელო	0.635	0.245	0.449
manufacture	წარმოება	0.868	0.703	0.780
manufacturer	მწარმოებელი	0.688	0.537	0.830
manufacturing	წარმოება	0.653	0.613	0.804
manure	manure	0.250	0.471	0.241
manuscript	ხელნაწერი	0.510	0.208	0.540
map	რუკა	0.561	0.229	0.463
maple	ნეკერჩხალი	0.541	0.390	0.339
mar	მარ	0.622	0.544	0.545
marathon	მარათონი	0.646	0.778	0.740
marble	მარმარილო	0.604	0.212	0.667
marbled	მარმარილო	0.396	0.385	0.418
marbles	მარმარილოები	0.714	0.345	0.241
march	მარტი	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	მარგარინი	0.530	0.316	0.333
margarita	მარგარიტა	0.750	0.438	0.420
margin	ზღვარი	0.500	0.219	0.331
marginal	მარგინალი	0.235	0.644	0.345
mariachi	მარიჩი	0.710	0.559	0.609
marijuana	მარიხუანა	0.312	0.779	0.558
marinara	მარინარა	0.657	0.388	0.435
marine	საზღვაო	0.633	0.471	0.679
mariner	მარინერი	0.652	0.491	0.676
marital	ქორწინება	0.760	0.529	0.500
maritime	საზღვაო	0.646	0.490	0.713
mark	მარკ	0.491	0.231	0.600
marked	აღინიშნა	0.592	0.358	0.554
marker	მარკერი	0.500	0.333	0.605
market	ბაზარი	0.724	0.480	0.521
marketable	ბაზარი	0.746	0.545	0.664
marketing	მარკეტინგი	0.521	0.774	0.675
marketplace	ბაზარი	0.698	0.420	0.525
marks	ნიშნები	0.430	0.480	0.424
marksman	მარკმენის	0.500	0.833	0.692
marksmanship	საცეცხლე	0.573	0.531	0.664
marl	მარლ	0.372	0.471	0.351
marmalade	მარმელადი	0.729	0.370	0.288
maroon	მარანი	0.469	0.358	0.336
marooned	marooned	0.229	0.480	0.160
marquee	მარკიკი	0.602	0.284	0.508
marquis	მარკიზი	0.521	0.444	0.562
marred	დამარცხდა	0.181	0.561	0.233
marriage	ქორწინება	0.844	0.684	0.750
married	ცოლად	0.674	0.570	0.602
marrow	ტვინი	0.398	0.422	0.472
marry	ცოლად	0.896	0.765	0.673
marsh	ჭაობი	0.302	0.358	0.277
marshal	მარშალი	0.469	0.610	0.819
marshmallow	მარმარილო	0.740	0.441	0.391
mart	mart	0.531	0.402	0.418
martial	საბრძოლო	0.480	0.710	0.737
martingale	მარტინგელი	0.469	0.510	0.455
martini	მარტინი	0.828	0.500	0.519
martyr	მოწამე	0.281	0.708	0.509
martyrdom	წამება	0.323	0.745	0.442
marvel	მარველის	0.961	0.755	0.866
marvellous	საოცარი	0.878	0.809	0.849
marvelous	საოცარი	0.948	0.637	0.778
marvelously	საოცარია	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	mascara	0.575	0.450	0.269
mascot	თილისმად	0.750	0.337	0.337
masculine	მამაკაცური	0.653	0.540	0.773
masculinity	მამაკაცური	0.583	0.670	0.851
mash	ბადაგი	0.440	0.363	0.283
mashed	mashed	0.531	0.337	0.194
mask	ნიღაბი	0.510	0.490	0.537
masked	ნიღბიანი	0.375	0.549	0.518
masks	ნიღბები	0.510	0.472	0.241
masochism	მუსოვიზმი	0.194	0.845	0.483
masochist	მუსკოტი	0.164	0.784	0.353
mason	მეისონი	0.541	0.442	0.580
masquerade	მასკარადი	0.431	0.633	0.446
mass	მასა	0.458	0.245	0.277
massacre	ხოცვა	0.031	0.887	0.640
massage	მასაჟი	0.708	0.356	0.413
masses	მასები	0.552	0.453	0.473
masseur	მასტერ	0.622	0.265	0.463
masseuse	masseuse	0.594	0.373	0.391
massive	მასიური	0.569	0.660	0.750
mast	ანძა	0.542	0.390	0.580
master	ოსტატი	0.694	0.490	0.849
masterful	ვირტუოზული	0.854	0.510	0.960
mastermind	ოსტატი	0.792	0.625	0.918
masterpiece	ხელოვნების ნიმუში	0.926	0.623	0.847
mastery	ოსტატობა	0.755	0.648	0.873
masturbate	masturbate	0.552	0.926	0.500
masturbation	მასტურბაცია	0.542	0.961	0.509
mat	mat	0.459	0.221	0.304
matador	მედორად	0.224	0.880	0.667
match	მატჩი	0.599	0.573	0.500
matchbook	მატჩების წიგნი	0.562	0.391	0.412
matching	შესატყვისი	0.719	0.735	0.418
matchmaker	მაჭანკო	0.615	0.509	0.519
mate	მეუღლე	0.847	0.417	0.669
material	მასალა	0.521	0.363	0.439
materialism	მატერიალიზმი	0.220	0.390	0.556
materialist	მატერიალისტი	0.255	0.491	0.504
materialistic	მატერიალისტური	0.420	0.506	0.589
materiality	მატერია	0.417	0.450	0.636
materialize	განხორციელება	0.688	0.596	0.728
materially	მატერიალურად	0.490	0.451	0.670
materials	მასალები	0.633	0.361	0.473
materiel	მატერიალი	0.531	0.294	0.417
maternal	დედა	0.847	0.417	0.634
maternity	სამშობიარო	0.865	0.480	0.622
math	მათემატიკა	0.417	0.375	0.600
mathematical	მათემატიკური	0.620	0.500	0.548
mathematician	მათემატიკოსი	0.541	0.418	0.773
mathematics	მათემატიკა	0.438	0.435	0.664
matinee	matinee	0.694	0.578	0.447
mating	მომდგარი	0.755	0.840	0.759
matriculation	მეტრიკულაცია	0.622	0.490	0.675
matrimony	ქორწინება	0.850	0.637	0.843
matrix	მატრიცა	0.551	0.378	0.673
matron	მატრინი	0.520	0.519	0.555
matted	matted	0.281	0.519	0.393
matter	მნიშვნელობა	0.487	0.353	0.562
matting	matting	0.479	0.405	0.423
mattress	ლეიბები	0.612	0.255	0.397
maturation	ხანგრძლივობა	0.612	0.439	0.698
mature	მოწიფული	0.625	0.347	0.600
maturity	დაფარვა	0.827	0.400	0.806
maudlin	maudlin	0.337	0.417	0.368
mausoleum	მავზოლეუმი	0.344	0.281	0.594
mauve	mauve	0.533	0.330	0.314
maverick	maverick	0.354	0.676	0.409
maxim	მაქსიმ	0.875	0.562	0.887
maximize	მაქსიმალურად	0.823	0.765	0.792
maximum	მაქსიმალური	0.724	0.724	0.852
may	შეიძლება	0.704	0.273	0.245
mayday	შეიძლება	0.344	0.643	0.423
mayflower	მზესუმზირა	0.690	0.463	0.429
mayhem	არეულობა	0.188	0.870	0.364
mayonnaise	მაიონეზი	0.510	0.320	0.222
mayor	მერი	0.469	0.481	0.818
maze	maze	0.438	0.608	0.444
mead	მედა	0.667	0.337	0.441
meadow	მდელოს	0.622	0.130	0.382
meager	მწირი	0.144	0.389	0.281
meal	კვება	0.833	0.461	0.473
mean	ნიშნავს	0.440	0.467	0.620
meander	მეანდრე	0.480	0.443	0.454
meandering	meandering	0.427	0.644	0.539
meanie	დიახ	0.388	0.420	0.404
meaning	მნიშვნელობა	0.663	0.395	0.625
meaningful	მნიშვნელოვანია	0.770	0.500	0.802
meaningless	უაზრო	0.156	0.314	0.143
meanness	meanness	0.102	0.694	0.368
means	ნიშნავს	0.615	0.373	0.460
meantime	ამასობაში	0.432	0.222	0.300
measles	წითელა	0.092	0.635	0.422
measurable	გაზომვადი	0.604	0.410	0.602
measure	გავზომოთ	0.510	0.375	0.365
measured	იზომება	0.542	0.265	0.578
