Word	Latvian-lv	Valence	Arousal	Dominance
newsreel	kinohronika	0.625	0.571	0.577
newsroom	ziņu telpa	0.531	0.392	0.658
newsstand	kiosks	0.615	0.222	0.336
newstart	Jauns sākums	0.802	0.510	0.667
newt	jauns	0.458	0.380	0.541
newyear	NO TRANSLATION	0.938	0.784	0.520
nexus	nexus	0.496	0.368	0.412
nib	nib	0.510	0.282	0.406
nibble	nibbles	0.551	0.551	0.411
nice	jauki	0.930	0.442	0.650
niche	niša	0.459	0.413	0.318
nichts	NO TRANSLATION	0.406	0.293	0.404
nick	nika	0.554	0.388	0.387
nickel	niķelis	0.510	0.347	0.406
nickname	segvārds	0.490	0.470	0.263
nicotine	nikotīns	0.235	0.608	0.447
niece	brāļameita	0.771	0.320	0.400
nifty	skaista	0.740	0.745	0.815
nigger	nigger	0.240	0.347	0.398
nigh	tuvu	0.653	0.216	0.336
night	nakts	0.598	0.396	0.404
nightcap	nakts krēsls	0.750	0.196	0.268
nightclub	nakts klubs	0.802	0.894	0.528
nightfall	nakts krēsls	0.490	0.436	0.426
nightgown	naktskrekls	0.643	0.408	0.250
nightie	nightie	0.630	0.388	0.274
nightingale	suns	0.740	0.340	0.496
nightlife	naktsdzīve	0.542	0.783	0.510
nightly	katru nakti	0.673	0.410	0.474
nightmare	murgs	0.005	0.810	0.436
nightmares	murgi	0.082	0.942	0.448
nightstand	nakts skapītis	0.490	0.130	0.327
nightstick	nightstick	0.500	0.461	0.348
nighttime	nakts laiks	0.735	0.385	0.439
nihilism	nihilisms	0.367	0.510	0.364
nil	nulle	0.286	0.143	0.157
nimble	izveicīgs	0.833	0.729	0.769
nimrod	Nimrod	0.327	0.500	0.539
nincompoop	nincompoop	0.365	0.431	0.368
nine	deviņi	0.552	0.255	0.327
nineteen	deviņpadsmit	0.673	0.304	0.375
ninety	deviņdesmit	0.479	0.349	0.436
ninja	ninja	0.542	0.844	0.682
ninny	ninny	0.344	0.343	0.309
nintendo	nintendo	0.802	0.571	0.464
ninth	devītais	0.490	0.212	0.396
nip	nip	0.281	0.700	0.264
nipper	niper	0.386	0.422	0.317
nipple	nipelis	0.480	0.786	0.415
nippy	nipītis	0.540	0.500	0.416
nitrate	nitrāts	0.388	0.406	0.500
nitro	nitro	0.500	0.647	0.639
nitrogen	slāpeklis	0.427	0.435	0.562
nitrous	slāpeklis	0.435	0.561	0.411
nitwit	nitwit	0.146	0.606	0.139
nix	niks	0.330	0.380	0.404
no anticipation	nav gaidīšanas	0.396	0.480	0.341
no disgust	nav riebuma	0.510	0.324	0.448
no emotion	nav emociju	0.170	0.109	0.225
no sentiment	nav izjūtas	0.092	0.382	0.278
no surprise	nav pārsteigums	0.171	0.224	0.412
no trust	neuzticas	0.055	0.445	0.257
nobility	muižniecība	0.844	0.347	0.736
noble	cēls	0.906	0.345	0.610
nobleman	augstākais cilvēks	0.675	0.286	0.709
nobodycares	NO TRANSLATION	0.365	0.410	0.354
nocomplaints	NO TRANSLATION	0.677	0.164	0.491
nocturnal	nakts	0.540	0.500	0.462
nod	Piekrist	0.590	0.367	0.427
nodding	paklupšana	0.694	0.294	0.426
node	mezgls	0.396	0.343	0.361
nodular	mezglains	0.438	0.351	0.411
nodule	mezgls	0.312	0.426	0.349
noggin	noggin	0.510	0.433	0.382
nohope	NO TRANSLATION	0.200	0.441	0.385
noir	noir	0.375	0.394	0.365
noise	troksnis	0.260	0.883	0.388
noisy	trokšņains	0.271	0.812	0.561
nomad	nomad	0.375	0.413	0.433
nomadic	nomadisks	0.427	0.519	0.422
nomenclature	nomenklatūra	0.500	0.222	0.575
nominal	nominālā	0.594	0.250	0.463
nominate	nominēt	0.615	0.471	0.669
nomination	nominācija	0.663	0.637	0.696
nominee	kandidāts	0.662	0.625	0.765
nonce	nece	0.422	0.370	0.377
nonchalant	bezceļš	0.312	0.314	0.366
noncompliance	neatbilstība	0.112	0.598	0.259
nondescript	bezskaidrs	0.490	0.434	0.348
nonexistent	neeksistējošs	0.208	0.429	0.149
nonfat	bezkrāsains	0.604	0.260	0.340
nonfiction	zinātniskā izpēte	0.426	0.315	0.431
nonpayment	nemaksāšana	0.229	0.510	0.298
nonresident	nerezidents	0.250	0.340	0.302
nonsense	absurds	0.214	0.531	0.155
nonsensical	absurds	0.173	0.268	0.193
nonviolent	nevardarbīgs	0.640	0.287	0.346
noob	iesācējs	0.417	0.430	0.267
noodle	nūdeles	0.633	0.216	0.225
nook	kakts	0.480	0.321	0.296
noon	pusdienlaiks	0.531	0.343	0.518
noose	cilpiņa	0.356	0.300	0.330
nopoint	NO TRANSLATION	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	norma	0.500	0.245	0.527
normal	normāls	0.740	0.127	0.380
normalcy	normalitāte	0.805	0.151	0.620
normality	normāli	0.781	0.089	0.444
north	uz ziemeļiem	0.531	0.255	0.450
northbound	uz ziemeļiem	0.604	0.454	0.491
northeast	ziemeļaustrumiem	0.562	0.260	0.375
northern	ziemeļu	0.570	0.340	0.472
northwest	ziemeļrietumi	0.604	0.345	0.451
northwestern	ziemeļrietumu	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	deguns	0.582	0.270	0.245
nosebleed	deguna asiņošana	0.153	0.776	0.361
nosey	ziņkārīgs	0.276	0.655	0.223
nosnow	nosnow	0.392	0.394	0.366
nostalgia	nostalģija	0.417	0.337	0.339
nostalgic	nostaļģisks	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	nāsa	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	ziņkārīgs	0.292	0.558	0.433
not negative	nav negatīva	0.622	0.270	0.444
not positive	nav pozitīvs	0.051	0.370	0.236
notable	ievērojams	0.760	0.450	0.696
notables	notables	0.594	0.608	0.755
notably	jo īpaši	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	notārs	0.541	0.451	0.676
notation	apzīmējums	0.635	0.380	0.558
notch	iecirtums	0.459	0.361	0.358
notched	iecirsts	0.480	0.530	0.356
note	Piezīme	0.594	0.163	0.416
notebook	piezīmju grāmatiņa	0.449	0.167	0.442
noted	atzīmēts	0.615	0.382	0.464
noteworthy	ievērības cienīgs	0.704	0.481	0.759
nothappy	NO TRANSLATION	0.112	0.320	0.170
nothingbetter	NO TRANSLATION	0.635	0.390	0.543
nothingness	nekas	0.204	0.080	0.161
notice	paziņojums	0.646	0.408	0.491
noticeable	ievērojams	0.890	0.562	0.750
notification	paziņojums	0.604	0.461	0.671
notify	paziņot	0.643	0.471	0.573
notion	jēdziens	0.612	0.284	0.667
notional	nosacīts	0.520	0.288	0.500
notoriety	slavenība	0.552	0.633	0.769
notorious	bēdīgi slavens	0.366	0.582	0.609
notready	nav gatavs	0.133	0.400	0.196
notwithstanding	neskatoties uz to	0.367	0.316	0.433
nought	nē	0.312	0.098	0.116
noun	lietvārds	0.531	0.230	0.477
nourish	baro	0.878	0.460	0.639
nourishment	barošana	0.786	0.290	0.631
nouveau	NO TRANSLATION	0.633	0.438	0.432
novel	novele	0.702	0.352	0.439
novelist	romānists	0.340	0.343	0.529
novelty	jaunums	0.673	0.521	0.740
novice	iesācējs	0.429	0.346	0.180
nowadays	mūsdienās	0.680	0.346	0.400
nowork	nav darba	0.312	0.264	0.309
noworries	neuztraucies	0.630	0.402	0.500
noxious	kaitīgs	0.177	0.585	0.379
nozzle	uzgalis	0.438	0.330	0.287
nuance	nianses	0.408	0.282	0.411
nuances	nianses	0.490	0.375	0.527
nuclear	kodolenerģija	0.219	0.856	0.781
nucleus	kodols	0.529	0.296	0.667
nude	pliks	0.490	0.915	0.200
nudge	atlaist	0.448	0.500	0.509
nudie	nudie	0.500	0.529	0.373
nudist	nudists	0.440	0.796	0.483
nudity	kailums	0.438	0.853	0.415
nugget	tīrradnis	0.602	0.340	0.348
nuisance	traucējumi	0.198	0.817	0.227
nuke	nuke	0.125	0.905	0.873
nul	NO TRANSLATION	0.337	0.358	0.264
null	null	0.253	0.147	0.152
nullify	anulēt	0.255	0.373	0.395
numb	nicināt	0.108	0.420	0.352
number	numurs	0.406	0.231	0.471
numbering	numerācija	0.510	0.363	0.482
numbers	cipari	0.406	0.241	0.440
numbness	nejutīgums	0.306	0.398	0.265
numbskull	numbskull	0.300	0.472	0.284
numeral	skaitlis	0.582	0.254	0.382
numerator	skaitītājs	0.490	0.317	0.526
numerical	skaitliski	0.479	0.322	0.517
numerically	skaitliski	0.510	0.337	0.500
numerous	daudzi	0.622	0.462	0.609
nun	NO TRANSLATION	0.500	0.150	0.406
nunchucks	nunchucks	0.337	0.580	0.526
nunnery	klosteris	0.653	0.236	0.473
nuptials	draugi	0.771	0.588	0.571
nurse	medmāsa	0.635	0.578	0.521
nursemaid	aukle	0.615	0.431	0.436
nursery	bērnistaba	0.894	0.406	0.389
nursing	māsu	0.552	0.549	0.653
nurture	audzināt	0.745	0.378	0.657
nut	rieksts	0.365	0.310	0.250
nutcase	riekstu saturs	0.286	0.775	0.259
nutcracker	riekstu krēms	0.635	0.378	0.522
nuthouse	nuthouse	0.347	0.519	0.434
nutmeg	muskatrieksts	0.635	0.302	0.350
nutrition	uzturs	0.885	0.420	0.579
nutritional	uzturvērtība	0.812	0.406	0.676
nutritious	barojošs	0.833	0.337	0.655
nutritive	barības vielas	0.875	0.422	0.667
nuts	rieksti	0.594	0.250	0.291
nutshell	īsumā	0.458	0.407	0.310
nutty	riebīgs	0.444	0.317	0.271
nylon	neilons	0.490	0.304	0.295
nylong	NO TRANSLATION	0.439	0.248	0.351
nylons	neiloni	0.556	0.379	0.320
nymph	nimfa	0.542	0.529	0.472
nymphomaniac	nymphomaniac	0.398	0.894	0.536
oaf	oaf	0.344	0.357	0.330
oak	ozols	0.583	0.245	0.536
oar	airis	0.469	0.392	0.316
oasis	oāze	0.796	0.283	0.429
oat	auzas	0.622	0.170	0.298
oath	zvērests	0.543	0.615	0.824
oatmeal	auzu pārslu	0.592	0.192	0.241
obedience	paklausība	0.765	0.287	0.536
obedient	paklausīgs	0.800	0.179	0.518
obediently	paklausīgi	0.802	0.304	0.577
obelisk	obelisks	0.604	0.408	0.596
obese	aptaukošanās	0.133	0.427	0.250
obesity	aptaukošanās	0.215	0.370	0.328
obey	pakļauties	0.677	0.433	0.533
obi	obi	0.469	0.442	0.414
obit	obit	0.410	0.464	0.393
obituary	nekrologs	0.188	0.330	0.423
object	objekts	0.531	0.356	0.375
objection	iebildums	0.347	0.592	0.709
objectionable	iebildīgs	0.459	0.382	0.558
objective	mērķis	0.724	0.337	0.736
objectivity	objektivitāte	0.765	0.431	0.711
obligation	pienākums	0.222	0.596	0.718
obligatory	obligāti	0.337	0.571	0.780
oblige	pienākums	0.281	0.770	0.614
obliged	pienākums	0.327	0.680	0.411
obliging	pienākums	0.740	0.402	0.545
obligor	parādnieks	0.302	0.600	0.360
oblique	slīps	0.438	0.347	0.455
obliterate	iznīcināt	0.250	0.539	0.569
obliterated	iznīcināts	0.240	0.469	0.344
obliteration	likvidācija	0.177	0.622	0.397
oblivion	aizmirstība	0.153	0.330	0.282
oblivious	izklaidīgs	0.229	0.388	0.355
oblong	iegarenas	0.561	0.455	0.370
obnoxious	nepatīkams	0.088	0.602	0.256
oboe	oboe	0.510	0.340	0.392
obscene	nepatīkams	0.050	0.745	0.348
obscenity	neķītrība	0.083	0.843	0.418
obscure	neskaidra	0.370	0.551	0.278
obscured	aptumšota	0.115	0.356	0.298
obscurity	tumsa	0.208	0.392	0.380
observance	ievērošana	0.531	0.315	0.632
observant	uzmanīgs	0.740	0.422	0.708
observation	novērošana	0.633	0.433	0.667
observatory	novērošanas centrs	0.643	0.324	0.731
observe	novērot	0.771	0.390	0.360
observer	novērotājs	0.663	0.363	0.603
observing	ievērojot	0.583	0.400	0.685
obsess	apsēsties	0.112	0.846	0.509
obsessed	pārņemts	0.219	0.840	0.439
obsessing	apsēsts	0.173	0.773	0.698
obsession	apsēstība	0.229	0.847	0.571
obsessive	obsessīvs	0.219	0.823	0.480
obsolescence	novecošana	0.250	0.431	0.377
obsolete	novecojusi	0.337	0.321	0.250
obstacle	šķērslis	0.204	0.708	0.336
obstetrician	akušieris	0.521	0.636	0.604
obstetrics	dzemdniecība	0.530	0.582	0.564
obstinate	stūrgalvīgs	0.146	0.696	0.562
obstruct	aizsegt	0.115	0.660	0.458
obstruction	šķēršļi	0.125	0.742	0.491
obstructive	obstruktīva	0.204	0.650	0.613
obtain	iegūt	0.760	0.438	0.731
obtainable	iegūstama	0.677	0.327	0.702
obtuse	netīrs	0.281	0.460	0.345
obverse	averss	0.470	0.394	0.464
obvious	acīmredzams	0.625	0.336	0.585
ocarina	okarina	0.541	0.392	0.366
occasion	gadījums	0.700	0.451	0.398
occasional	gadījuma rakstura	0.490	0.298	0.387
occasionally	reizēm	0.538	0.240	0.264
occipital	pakauša	0.398	0.408	0.518
occlusion	oklūzija	0.306	0.439	0.442
occult	slepena	0.292	0.382	0.406
occupancy	izmitināšana	0.625	0.471	0.721
occupant	pasažieris	0.500	0.417	0.483
occupation	nodarbošanās	0.562	0.470	0.692
occupational	profesionālā	0.583	0.469	0.596
occupied	aizņemts	0.337	0.546	0.441
occupier	iemītnieks	0.427	0.438	0.600
occupy	aizņem	0.396	0.520	0.589
occupying	aizņem	0.573	0.462	0.519
occur	notikt	0.451	0.561	0.510
occurrence	notikums	0.573	0.690	0.541
ocd	ocd	0.333	0.472	0.370
ocean	okeāns	0.823	0.308	0.642
oceanic	okeāna	0.740	0.317	0.632
octagon	astoņstūris	0.602	0.349	0.462
octave	oktāvs	0.438	0.380	0.482
octopus	astoņkājis	0.713	0.378	0.411
ocular	acu forma	0.418	0.370	0.400
odd	nepāra	0.265	0.337	0.302
oddball	oddball	0.316	0.360	0.357
oddity	dīvains	0.312	0.557	0.386
odds	izredzes	0.500	0.472	0.680
ode	oda	0.604	0.269	0.519
odious	apbēdinošs	0.235	0.708	0.235
odometer	odometra rādītājs	0.367	0.470	0.388
odor	smarža	0.337	0.363	0.404
odyssey	Odiseja	0.622	0.692	0.710
oedipal	oedipal	0.312	0.575	0.509
oestrogen	estrogēns	0.521	0.608	0.561
oeuvre	NO TRANSLATION	0.653	0.484	0.598
offal	subprodukti	0.302	0.470	0.302
offence	apvainojums	0.312	0.798	0.446
offend	apvainot	0.094	0.804	0.333
offended	apvainots	0.188	0.690	0.337
offender	likumpārkāpējs	0.104	0.851	0.537
offense	apvainojums	0.230	0.765	0.510
offensive	aizvainojoša	0.135	0.882	0.600
offer	piedāvājums	0.750	0.745	0.596
offered	piedāvāja	0.582	0.490	0.544
offering	piedāvājums	0.688	0.462	0.585
offhand	atlaide	0.388	0.500	0.368
office	birojs	0.427	0.302	0.509
officer	virsnieks	0.542	0.430	0.877
offices	biroji	0.469	0.312	0.534
official	ierēdnis	0.646	0.565	0.833
officiate	darbinieks	0.688	0.453	0.704
offing	izslēgšana	0.490	0.412	0.447
offload	izkraut	0.479	0.444	0.525
offset	kompensēt	0.719	0.394	0.704
offshoot	atzars	0.517	0.330	0.361
offshore	ārzonas	0.417	0.484	0.441
offside	offside	0.323	0.519	0.443
offspring	pēcnācēji	0.656	0.435	0.600
oft	oft	0.500	0.308	0.474
oftentimes	bieži vien	0.571	0.500	0.482
ogre	ogre	0.135	0.698	0.510
ohdear	NO TRANSLATION	0.458	0.519	0.442
ohgod	NO TRANSLATION	0.500	0.557	0.439
ohno	Ak nē	0.396	0.475	0.380
ohshit	NO TRANSLATION	0.230	0.594	0.343
oil	eļļa	0.521	0.278	0.306
oils	eļļas	0.459	0.229	0.391
oily	eļļains	0.276	0.533	0.385
oink	oink	0.500	0.450	0.289
ointment	ziede	0.438	0.271	0.398
okra	okra	0.469	0.400	0.362
old	vecs	0.410	0.279	0.315
olden	senais	0.284	0.213	0.425
older	vecāki	0.385	0.255	0.317
oldie	vecais	0.363	0.363	0.342
oldies	veci cilvēki	0.438	0.300	0.412
olfactory	ožas	0.602	0.409	0.452
oligarchy	oligarhija	0.327	0.567	0.741
olive	olīvu	0.571	0.231	0.406
omega	omega	0.529	0.337	0.526
omelet	Omlete	0.708	0.323	0.315
omen	iezīme	0.390	0.657	0.583
omgomgomg	NO TRANSLATION	0.490	0.551	0.358
ominous	draudīgs	0.255	0.730	0.510
omission	izlaidums	0.367	0.333	0.275
omit	izlaist	0.330	0.265	0.451
omitted	izlaists	0.260	0.235	0.211
omnibus	omnibus	0.490	0.410	0.473
omnipotence	visvarenība	0.667	0.793	0.866
omnipotent	visvarens	0.719	0.679	0.919
omnipresent	visuresošs	0.688	0.452	0.825
omniscient	pazīstams	0.656	0.334	0.778
onboard	uz klāja	0.612	0.451	0.491
oncologist	onkologs	0.260	0.654	0.640
oncology	onkoloģija	0.204	0.424	0.500
oncoming	gaidāms	0.594	0.625	0.773
one	vienu	0.542	0.292	0.370
oneday	NO TRANSLATION	0.667	0.245	0.374
onedge	uz malas	0.479	0.552	0.400
onelove	viena mīlestība	0.816	0.577	0.541
oneness	vienotība	0.745	0.272	0.720
onerous	apgrūtinošs	0.500	0.480	0.462
oneself	sevi	0.660	0.337	0.483
ongoing	notiek nepārtraukti	0.674	0.484	0.556
onion	sīpols	0.378	0.367	0.382
onset	sākums	0.673	0.497	0.500
onslaught	uzbrukums	0.198	0.939	0.717
onstage	uz skatuves	0.719	0.673	0.583
ontology	ontoloģija	0.510	0.450	0.518
onus	onus	0.562	0.520	0.769
onward	uz priekšu	0.667	0.538	0.741
onyx	onikss	0.571	0.461	0.380
oodles	oodles	0.490	0.374	0.446
oomph	oomph	0.449	0.613	0.315
ooze	sūknis	0.344	0.577	0.333
oozing	oozing	0.238	0.515	0.427
op	op	0.480	0.402	0.349
opacity	necaurredzamība	0.471	0.251	0.256
opal	opāls	0.623	0.479	0.379
opaque	necaurspīdīgs	0.344	0.265	0.342
ope	ope	0.375	0.380	0.395
open	atvērts	0.620	0.480	0.569
opener	nazis	0.584	0.526	0.377
opening	atvēršana	0.667	0.510	0.620
openly	atklāti	0.603	0.388	0.553
openness	atvērtība	0.837	0.561	0.667
opera	opera	0.714	0.500	0.483
operate	darboties	0.582	0.690	0.691
operatic	opera	0.375	0.452	0.627
operation	operācija	0.475	0.611	0.755
operational	operatīvais	0.562	0.570	0.679
operations	operācijas	0.480	0.549	0.798
operative	operatīvais	0.541	0.635	0.718
operator	operators	0.612	0.630	0.726
ophthalmic	oftalmoloģija	0.427	0.385	0.444
ophthalmologist	oftalmologs	0.552	0.389	0.491
opiate	opiāts	0.281	0.594	0.598
opinion	viedoklis	0.594	0.482	0.638
opinionated	uzticīgs	0.156	0.800	0.491
opium	opijs	0.276	0.490	0.333
opponent	pretinieks	0.080	0.741	0.716
opportune	piemērots	0.796	0.538	0.767
opportunism	oportūnisms	0.571	0.752	0.673
opportunity	iespēja	0.938	0.745	0.833
oppose	iebilst	0.431	0.800	0.473
opposed	iebilda pret	0.092	0.460	0.606
opposing	iebilst pret	0.188	0.660	0.518
opposite	pretī	0.235	0.545	0.408
opposites	pretī	0.281	0.518	0.462
opposition	opozīcija	0.135	0.729	0.592
oppress	apspiest	0.186	0.654	0.555
oppressed	apslāpēts	0.119	0.640	0.259
oppression	apspiestība	0.080	0.673	0.615
oppressive	represīvs	0.276	0.590	0.667
oppressor	apslāpētājs	0.160	0.776	0.629
ops	ops	0.417	0.550	0.528
opt	izvēlēties	0.510	0.471	0.345
optic	optika	0.663	0.384	0.594
optical	optiskais	0.677	0.311	0.542
optics	optika	0.562	0.286	0.580
optimism	optimisms	0.949	0.565	0.814
optimist	optimists	0.875	0.539	0.787
optimistic	optimistisks	0.979	0.580	0.821
optimum	optimāls	0.892	0.469	0.808
option	iespēja	0.512	0.427	0.359
optional	neobligāti	0.755	0.350	0.440
optionally	pēc izvēles	0.365	0.405	0.481
options	iespējas	0.622	0.327	0.473
optometrist	optometrists	0.446	0.455	0.668
opulence	bagātība	0.620	0.615	0.648
opulent	bagāts	0.562	0.660	0.660
opus	opus	0.458	0.368	0.391
oracle	orākuls	0.552	0.531	0.670
oral	mutiski	0.530	0.448	0.375
orange	apelsīns	0.646	0.132	0.296
orange juice	apelsīnu sula	0.719	0.343	0.445
orangutan	orangutans	0.430	0.560	0.471
oration	oration	0.646	0.315	0.683
orator	orators	0.667	0.375	0.682
oratory	oratorija	0.602	0.472	0.693
orb	orb	0.463	0.370	0.444
orbit	orbītā	0.561	0.422	0.575
orbital	orbitāla	0.458	0.451	0.559
orbiting	orbītā	0.520	0.643	0.554
orbs	orbs	0.469	0.355	0.482
orc	orc	0.240	0.510	0.388
orchard	augļu dārzs	0.760	0.269	0.333
orchestra	orķestris	0.708	0.500	0.664
orchid	orhideja	0.840	0.345	0.382
ordained	ordinēts	0.735	0.409	0.731
ordeal	smaga pārbaude	0.344	0.539	0.529
order	kārtībā	0.780	0.295	0.814
orderly	kārtībā	0.844	0.240	0.661
ordinance	rīkojums	0.615	0.452	0.776
ordinary	parasts	0.375	0.312	0.286
ordination	ordinācija	0.688	0.490	0.765
ordnance	munīcija	0.354	0.825	0.679
ore	rūdas	0.500	0.333	0.356
oregano	oregano	0.596	0.327	0.250
organ	orgāns	0.510	0.469	0.538
organic	organisks	0.719	0.343	0.535
organism	organisms	0.457	0.559	0.800
organist	organists	0.740	0.469	0.669
organization	organizācija	0.810	0.535	0.851
organize	organizēt	0.802	0.655	0.781
organized	organizēts	0.816	0.337	0.746
organizer	organizators	0.604	0.577	0.846
orgasm	orgasma	0.844	0.863	0.676
orgies	orģijas	0.388	0.953	0.433
orgy	orģija	0.346	0.962	0.536
orient	orientēties	0.667	0.422	0.667
oriental	austrumu	0.592	0.409	0.598
orientation	orientācija	0.667	0.454	0.686
orifice	atvere	0.448	0.355	0.443
origami	origami	0.684	0.276	0.294
origin	izcelsme	0.729	0.435	0.591
original	oriģināls	0.765	0.480	0.746
originality	oriģinalitāte	0.898	0.500	0.824
originate	izcelsme	0.702	0.500	0.866
origination	izcelšanās	0.760	0.443	0.604
originator	iniciators	0.592	0.510	0.868
ornament	ornaments	0.561	0.373	0.441
ornamental	dekoratīvie	0.663	0.392	0.460
ornamentation	ornaments	0.663	0.471	0.472
ornamented	ornamentēts	0.677	0.350	0.490
ornate	grezns	0.812	0.356	0.500
ornery	ornery	0.361	0.520	0.509
orphan	bārenis	0.133	0.388	0.140
orphanage	bērnu nami	0.184	0.439	0.425
orphaned	bāreņiem	0.062	0.430	0.228
orthodontist	ortodonts	0.469	0.615	0.564
orthodox	pareizticīgo	0.388	0.471	0.647
orthodoxy	ortodoksija	0.271	0.388	0.612
orthogonal	ortogonāls	0.500	0.314	0.540
orthopedic	ortopēds	0.406	0.346	0.473
oscillate	svārstīties	0.449	0.580	0.397
oscillating	oscilējošs	0.469	0.548	0.402
oscillation	svārstības	0.562	0.433	0.431
oscillatory	svārstīgs	0.375	0.520	0.480
ostensible	šķietams	0.542	0.549	0.585
ostensibly	šķietami	0.473	0.529	0.509
ostentatious	izrādīgs	0.479	0.794	0.648
ostracized	ostracized	0.115	0.690	0.377
ostrich	strauss	0.592	0.382	0.241
other	cits	0.472	0.230	0.259
otter	ūdrs	0.439	0.216	0.339
otto	otto	0.427	0.425	0.404
ottoman	ottoman	0.531	0.337	0.444
ought	vajadzēja	0.438	0.511	0.434
ounce	unce	0.531	0.255	0.288
oust	izstumt	0.296	0.716	0.444
outage	pārtraukt darbu	0.306	0.684	0.438
outback	outback	0.500	0.324	0.430
outbid	pārspēj	0.594	0.622	0.540
outboard	ārējais	0.448	0.491	0.456
outbreak	uzliesmojums	0.260	0.632	0.472
outburst	uzliesmojums	0.209	0.802	0.528
outcast	izraidīts	0.153	0.449	0.353
outcome	rezultāts	0.615	0.472	0.685
outcry	protests	0.271	0.773	0.718
outdated	novecojis	0.167	0.236	0.226
outdo	pārspēt	0.771	0.750	0.873
outdoor	āra	0.814	0.256	0.447
outdoors	ārā	0.781	0.444	0.453
outer	ārējais	0.552	0.471	0.456
outfit	apģērbs	0.760	0.490	0.566
outgoing	izejošais	0.650	0.472	0.538
outgrow	pārtēriņš	0.510	0.529	0.722
outgrowth	izaugums	0.771	0.620	0.688
outhouse	ārpus mājas	0.281	0.519	0.255
outing	izbrauciens	0.771	0.672	0.634
outlandish	ārzemniecisks	0.448	0.737	0.657
outlast	pārsniedz	0.620	0.786	0.685
outlaw	likumpārkāpums	0.255	0.662	0.482
outlet	izeja	0.610	0.396	0.245
outline	izklāsts	0.542	0.365	0.509
outlines	kontūras	0.656	0.402	0.651
outlive	pārdzīvot	0.565	0.769	0.724
outlook	perspektīva	0.830	0.525	0.625
outlying	novirzījies	0.460	0.562	0.503
outnumber	pārsniedz	0.347	0.615	0.577
outpatient	ambulatori	0.260	0.400	0.395
outpost	priekšpostenis	0.635	0.571	0.675
outpouring	izlejot	0.562	0.685	0.552
output	produkcija	0.604	0.389	0.434
outrage	sašutums	0.060	0.689	0.542
outraged	sašutums	0.156	0.696	0.538
outrageous	nežēlīgs	0.153	0.945	0.713
outrank	pārspēj	0.653	0.643	0.817
outreach	informēšana	0.540	0.462	0.672
outright	tieši	0.767	0.396	0.755
outrun	pārspēja	0.531	0.833	0.573
outset	sākums	0.750	0.500	0.582
outsider	nepiederošs	0.398	0.549	0.447
outskirts	nomalē	0.474	0.519	0.312
outsmart	pārsteidzošs	0.673	0.657	0.864
outspoken	atklāts	0.582	0.413	0.667
outstanding	izcili	0.898	0.760	0.896
outstretched	izstiepts	0.448	0.481	0.519
outward	uz āru	0.449	0.439	0.365
outwards	uz āru	0.440	0.472	0.400
outweigh	atsver	0.486	0.600	0.682
outwit	pārspēt	0.302	0.755	0.356
oval	ovāls	0.417	0.280	0.330
ovary	olnīcu	0.469	0.399	0.280
ovate	ovate	0.385	0.286	0.368
ovation	ovācija	0.719	0.758	0.750
oven	krāsns	0.583	0.425	0.606
overactive	pārāk aktīva	0.667	0.885	0.592
overall	kopumā	0.583	0.370	0.670
overalls	kombinezoni	0.500	0.392	0.373
overbearing	valdošs	0.323	0.833	0.861
overburden	pārslogot	0.115	0.755	0.546
overcast	mākoņains	0.417	0.250	0.475
overcharged	pārmaksāta	0.276	0.780	0.569
overcoat	mētelis	0.594	0.265	0.430
overcome	pārvarēt	0.719	0.689	0.848
overcoming	pārvarēt	0.842	0.765	0.855
overcrowded	pārpildīts	0.292	0.520	0.491
overdo	pārslodze	0.156	0.864	0.602
overdose	pārdozēšana	0.110	0.820	0.468
overdrive	pārlidot	0.303	0.715	0.732
overdue	nokavēts	0.125	0.427	0.259
overestimate	pārvērtēt	0.367	0.796	0.444
overestimated	pārvērtēts	0.344	0.646	0.527
overflow	pārplūde	0.398	0.792	0.500
overflowing	pārpildīts	0.439	0.796	0.635
overgrown	aizaugusi	0.333	0.500	0.369
overgrowth	pāraugt	0.417	0.790	0.673
overhanging	uzvelkams	0.698	0.755	0.812
overhaul	kapitālais remonts	0.500	0.651	0.491
overhead	pieskaitāmās izmaksas	0.344	0.700	0.538
overhear	pārklausīt	0.650	0.365	0.580
overheated	pārkarsēts	0.250	0.598	0.547
overjoyed	ļoti priecīgs	0.908	0.708	0.755
overkill	pārslodze	0.379	0.861	0.678
overlaid	pārklāts	0.620	0.610	0.676
overlap	pārklājas	0.594	0.615	0.627
overlapping	pārklāšanās	0.595	0.578	0.684
overlay	pārklājums	0.564	0.596	0.749
overload	pārslodze	0.381	0.690	0.652
overlook	aizmirst	0.292	0.418	0.415
overlord	Overlord	0.750	0.755	0.932
overlying	virspusēja	0.500	0.519	0.691
overpaid	pārmaksātā	0.429	0.670	0.585
overpass	ceļu pārvada	0.562	0.561	0.565
overplayed	pārpilns	0.224	0.798	0.586
