Word	Welsh-cy	Valence	Arousal	Dominance
liar	liarw	0.042	0.606	0.339
libel	rhyddhad	0.128	0.694	0.403
libelous	llygredig	0.125	0.735	0.436
liberal	rhyddfrydol	0.565	0.565	0.755
liberalism	rhyddfrydiaeth	0.562	0.712	0.750
liberate	rhyddhau	0.760	0.632	0.708
liberated	rhyddhau	0.780	0.630	0.683
liberating	rhyddhau	0.915	0.620	0.745
liberation	rhyddhad	0.745	0.614	0.857
liberty	rhyddid	0.938	0.579	0.836
libido	libido	0.770	0.602	0.571
librarian	llyfrgellydd	0.625	0.135	0.509
library	llyfrgell	0.776	0.122	0.549
libretto	libretto	0.612	0.328	0.406
lice	llau	0.133	0.500	0.194
license	trwydded	0.500	0.394	0.702
lichen	cen	0.418	0.388	0.463
lick	llawen	0.470	0.482	0.330
licorice	trwydded	0.677	0.310	0.400
lid	cwt	0.490	0.189	0.255
lie	gorwedd	0.130	0.725	0.272
liege	gorwedd	0.479	0.426	0.452
lien	lien	0.396	0.580	0.441
lieu	lieu	0.427	0.410	0.312
lieutenant	cynghtenydd	0.594	0.612	0.920
life	bywyd	0.918	0.615	0.824
lifeblood	llif y byd	0.673	0.690	0.708
lifeboat	bad achub	0.724	0.425	0.533
lifeguard	achubwr bywyd	0.870	0.606	0.786
lifeisgood	Mae bywyd yn dda	0.812	0.575	0.611
lifeless	heb oes	0.042	0.333	0.163
lifelike	lifelike	0.776	0.567	0.765
lifeline	lifeline	0.735	0.552	0.496
lifelong	gydol oes	0.823	0.330	0.640
lifer	lifer	0.427	0.519	0.398
lifesaver	lifesaver	0.908	0.745	0.703
lifestyle	ffordd o fyw	0.750	0.472	0.645
lifesucks	Bywyd sugno	0.167	0.637	0.377
lifetime	bywyd	0.816	0.559	0.736
lift	lifft	0.704	0.518	0.656
lifted	codi	0.714	0.441	0.657
liftoff	lifft	0.531	0.667	0.588
ligament	ligament	0.490	0.410	0.510
ligation	ligation	0.344	0.423	0.396
ligature	ligature	0.478	0.430	0.447
light	golau	0.771	0.320	0.519
light year	blwyddyn ysgafn	0.719	0.425	0.593
lightbulb	bwlb golau	0.573	0.255	0.302
lighten	goleuo	0.688	0.438	0.362
lightheaded	golau â llaw	0.347	0.620	0.255
lighthouse	goleudy	0.622	0.240	0.510
lighting	goleuadau	0.765	0.440	0.750
lightness	goleuni	0.794	0.360	0.526
lightning	mellt	0.429	0.683	0.595
lights	goleuadau	0.750	0.480	0.575
lightweight	ysgafn	0.670	0.300	0.358
likable	dymunol	0.865	0.480	0.663
like	fel	0.719	0.353	0.446
likelihood	tebygolrwydd	0.760	0.469	0.542
likely	tebygol	0.633	0.356	0.454
likeness	tebyg	0.688	0.410	0.561
likewise	yn yr un modd	0.651	0.217	0.312
liking	hoffi	0.963	0.604	0.589
lilac	lelog	0.688	0.180	0.357
lily	lili	0.640	0.245	0.263
limb	aelod	0.510	0.397	0.427
limber	limber	0.688	0.729	0.673
limbo	limbo	0.385	0.284	0.309
lime	calch	0.594	0.240	0.415
limelight	cyfyngu	0.667	0.639	0.694
limestone	calchfaen	0.602	0.323	0.381
limey	calchog	0.469	0.347	0.415
limit	terfyn	0.427	0.453	0.500
limitation	cyfyngiad	0.190	0.431	0.225
limited	cyfyngedig	0.229	0.273	0.380
limitless	ddi-ben	0.688	0.574	0.655
limo	limo	0.760	0.367	0.667
limousine	limwsin	0.638	0.531	0.640
limp	glan	0.393	0.440	0.172
lin	lin	0.416	0.362	0.343
line	llinell	0.541	0.180	0.353
lineage	llinyn	0.633	0.465	0.721
lineal	llinellol	0.521	0.170	0.474
linear	llinol	0.646	0.250	0.472
linebacker	linebacker	0.490	0.660	0.543
lined	leinin	0.438	0.367	0.424
linen	lliain	0.656	0.323	0.286
liner	leinin	0.469	0.396	0.400
lines	llinellau	0.542	0.317	0.330
lineup	lein	0.635	0.427	0.638
linger	ieir	0.480	0.311	0.412
lingerie	dillad isaf	0.543	0.463	0.308
lingering	mewnol	0.630	0.643	0.667
lingo	lingo	0.448	0.364	0.447
lingual	yn ddwyieithog	0.500	0.457	0.315
linguini	linguini	0.625	0.338	0.355
linguist	ieithydd	0.583	0.330	0.634
linguistic	ieithyddol	0.646	0.351	0.618
linguistics	ieithyddiaeth	0.552	0.390	0.618
lining	leinin	0.571	0.363	0.472
link	dolen	0.427	0.264	0.491
linoleum	linoliwm	0.510	0.378	0.402
lint	lint	0.388	0.173	0.214
lion	llew	0.532	0.717	0.682
lip	gwefus	0.541	0.348	0.443
liposuction	liposuction	0.292	0.684	0.464
lipstick	llinyn gwefusau	0.653	0.429	0.306
liquefaction	drygu	0.449	0.622	0.535
liquefied	hylifedig	0.562	0.463	0.342
liqueur	gwirod	0.670	0.612	0.389
liquid	hylif	0.562	0.235	0.307
liquidate	diddymu	0.327	0.654	0.664
liquidation	diddymiad	0.417	0.625	0.649
liquidator	ddiddymwr	0.354	0.663	0.750
liquidity	hylifedd	0.688	0.529	0.534
liquor	hylif	0.603	0.702	0.433
lira	NO TRANSLATION	0.530	0.255	0.370
lisp	lisp	0.365	0.412	0.288
list	rhestr	0.528	0.260	0.402
listen	gwrandewch	0.771	0.360	0.445
listener	gwrandäwr	0.667	0.375	0.403
listenting	NO TRANSLATION	0.640	0.377	0.491
listing	rhestru	0.438	0.273	0.432
listless	di-wifr	0.219	0.350	0.231
listneing	NO TRANSLATION	0.531	0.370	0.433
litany	litany	0.510	0.365	0.482
liter	litr	0.573	0.208	0.382
literacy	Llenyddiaeth	0.730	0.306	0.638
literal	llythrennol	0.570	0.353	0.574
literally	yn llythrennol	0.571	0.353	0.673
literary	llenyddol	0.719	0.324	0.667
literature	llenyddiaeth	0.708	0.250	0.598
lithe	lithe	0.656	0.596	0.602
lithium	lithiwm	0.417	0.330	0.430
lithograph	lithograff	0.551	0.327	0.481
lithography	lithograffeg	0.561	0.346	0.473
lithology	litholeg	0.519	0.378	0.525
lithosphere	lithosffer	0.473	0.333	0.689
litigant	anghyfreithlon	0.219	0.577	0.696
litigate	troseddu	0.260	0.819	0.712
litigation	ymgyfreitha	0.388	0.760	0.602
litigator	cyfreithiwr	0.429	0.630	0.732
litigious	gwallus	0.360	0.736	0.632
litter	sbwriel	0.255	0.551	0.110
little	ychydig	0.385	0.160	0.213
littlethings	pethau bach	0.740	0.311	0.242
littoral	llythrennol	0.551	0.387	0.452
liturgy	litwrgi	0.490	0.327	0.568
live	byw	0.880	0.673	0.676
livelife	byw bywyd	0.792	0.624	0.664
livelihood	bywoliaeth	0.698	0.481	0.721
lively	yn fywiog	0.847	0.810	0.642
liven	byw	0.708	0.713	0.673
liver	Iau	0.439	0.290	0.385
livery	bywiog	0.510	0.417	0.429
livestock	da byw	0.729	0.420	0.519
livid	livid	0.469	0.788	0.490
living	byw	0.865	0.608	0.727
lizard	madfall	0.378	0.375	0.324
llama	llama	0.490	0.590	0.519
lml	lml	0.448	0.519	0.385
load	llwyth	0.385	0.417	0.528
loader	llwythwr	0.562	0.377	0.686
loaf	paff	0.755	0.250	0.277
loafer	lledr	0.235	0.396	0.254
loam	gariad	0.469	0.373	0.673
loan	benthyciad	0.552	0.480	0.352
loath	cariad	0.135	0.714	0.445
loathe	cariad	0.094	0.730	0.429
loathful	cariadus	0.068	0.740	0.358
loathing	gofalu	0.083	0.796	0.368
loathsome	yn ddrwg	0.120	0.694	0.343
lobby	lobïo	0.625	0.427	0.472
lobbyist	lobïwr	0.385	0.527	0.565
lobe	lobe	0.459	0.364	0.352
lobotomy	lobotomi	0.296	0.598	0.402
lobster	cimwch	0.571	0.356	0.291
local	lleol	0.656	0.269	0.452
locale	locale	0.449	0.387	0.352
locality	ardal leol	0.582	0.336	0.464
localization	lleoli	0.552	0.330	0.545
localize	lleolwch	0.520	0.481	0.679
localized	lleol	0.490	0.460	0.621
locate	lleoli	0.583	0.520	0.786
location	lleoliad	0.615	0.375	0.546
locator	lleolwr	0.480	0.426	0.614
loch	loch	0.449	0.235	0.425
lock	clo	0.271	0.585	0.600
locker	locer	0.439	0.300	0.393
locket	loced	0.615	0.327	0.616
locksmith	cloeon	0.510	0.417	0.491
lockup	cloi lan	0.240	0.602	0.617
loco	loco	0.306	0.774	0.226
locomotion	locomotion	0.470	0.600	0.595
locomotive	locomotif	0.542	0.650	0.721
locust	locust	0.479	0.412	0.417
lode	NO TRANSLATION	0.365	0.423	0.318
lodge	porthdy	0.656	0.356	0.474
lodger	lletywr	0.480	0.448	0.304
lodging	llety	0.713	0.286	0.527
loft	llofft	0.510	0.378	0.343
lofty	uchel	0.755	0.306	0.569
log	log	0.591	0.371	0.395
logarithm	logarithm	0.520	0.439	0.551
logarithmic	logarithmig	0.469	0.458	0.606
logic	rhesymeg	0.646	0.245	0.819
logical	rhesymegol	0.805	0.400	0.648
logistics	logisteg	0.633	0.500	0.730
logo	logo	0.469	0.296	0.565
logotype	logoteip	0.480	0.337	0.509
loin	NO TRANSLATION	0.420	0.298	0.379
lollipop	lolipop	0.628	0.483	0.357
lone	unig	0.198	0.204	0.367
loneliness	unigrwydd	0.146	0.182	0.222
lonely	unig	0.250	0.226	0.238
loner	loner	0.347	0.152	0.221
lonesome	lonesome	0.281	0.213	0.336
long	hir	0.541	0.353	0.543
longboat	cwch hir	0.551	0.454	0.490
longevity	hirhoedledd	0.750	0.353	0.745
longing	yn hir	0.604	0.434	0.560
longitude	hydred	0.479	0.310	0.516
longitudinal	hydredol	0.542	0.398	0.582
longitudinally	hydredol	0.541	0.380	0.569
longtime	amser hir	0.362	0.442	0.546
loo	loo	0.385	0.357	0.283
look	edrychwch	0.719	0.429	0.615
looker	edrychwr	0.583	0.354	0.451
lookout	edrych allan	0.698	0.538	0.639
loom	cariad	0.531	0.245	0.325
looming	yn fras	0.367	0.750	0.528
loon	llawenydd	0.429	0.392	0.325
loony	loony	0.439	0.474	0.295
loop	dolen	0.516	0.343	0.317
loophole	bwlch	0.406	0.755	0.491
loopy	dolen	0.438	0.520	0.195
loose	rhydd	0.573	0.312	0.365
loosen	rhyddhau	0.487	0.337	0.218
loosening	yn rhyddhau	0.378	0.343	0.295
loot	chwistrellwch	0.604	0.711	0.537
lop	lop	0.429	0.363	0.426
lopsided	lopsided	0.125	0.500	0.272
lord	Arglwydd	0.618	0.327	0.684
lords	arglwyddi	0.571	0.356	0.781
lordship	arglwyddiaeth	0.573	0.557	0.736
lore	lore	0.719	0.373	0.768
lorry	lori	0.521	0.481	0.402
lose	colli	0.115	0.538	0.176
loser	collwr	0.083	0.510	0.155
losing	colli	0.076	0.686	0.223
loss	colled	0.062	0.567	0.211
lost	colli	0.199	0.663	0.148
lot	llawer	0.531	0.215	0.370
lotion	lotion	0.724	0.261	0.188
lots	llawer	0.604	0.417	0.424
lottery	Loteri	0.771	0.731	0.491
lotto	lotto	0.760	0.635	0.475
lotus	lotus	0.604	0.377	0.510
loud	uchel	0.573	0.650	0.870
loudly	yn uchel	0.541	0.755	0.667
loudmouth	uchelmyn	0.337	0.615	0.456
loudness	ucheldeb	0.350	0.582	0.620
loudspeaker	uchelseinydd	0.490	0.735	0.689
lounge	lolfa	0.592	0.245	0.466
lounging	lolfa	0.735	0.167	0.449
louse	pridd	0.184	0.439	0.154
lousy	lousy	0.125	0.482	0.234
lovable	lovable	0.948	0.335	0.565
love	cariad	1.000	0.519	0.673
loved	cariad	0.927	0.452	0.582
lovee	cariad	0.949	0.592	0.611
loveee	loveee	0.927	0.592	0.693
loveless	cariadus	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	anhygoel	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	hyfryd	0.917	0.456	0.741
lovemaking	gwneud cariad	0.969	0.927	0.814
lovemylife	NO TRANSLATION	0.896	0.800	0.573
lover	cariad	0.881	0.816	0.750
lovesick	cariad	0.796	0.842	0.500
lovethis	caru hwn	0.867	0.552	0.526
loving	cariadus	0.948	0.612	0.636
lovinglife	lovinglife	0.979	0.404	0.673
lovinlife	lovinlife	0.714	0.460	0.544
low	isel	0.292	0.220	0.102
lowdown	yn isel	0.306	0.441	0.441
lower	yn is	0.327	0.296	0.258
lowering	yn gostwng	0.286	0.363	0.236
lowest	isaf	0.312	0.304	0.129
lowlands	iseldiroedd	0.323	0.290	0.331
lowlife	bywyd isel	0.296	0.529	0.309
lowly	yn isel	0.562	0.294	0.417
lox	lox	0.490	0.373	0.318
loyal	yn ffyddlon	0.896	0.265	0.657
loyalty	teyrngarwch	0.885	0.406	0.793
lsd	lsd	0.375	0.471	0.390
luau	luau	0.594	0.545	0.296
lube	lube	0.552	0.490	0.411
lubricant	iraid	0.656	0.550	0.454
lubricate	lubricate	0.552	0.490	0.470
lubrication	lubrication	0.624	0.646	0.491
lucid	lucid	0.771	0.490	0.705
luck	lwc	0.854	0.490	0.717
luckiest	yn luckiest	0.917	0.690	0.852
lucky	lwcus	0.960	0.610	0.793
luckygirl	luckygirl	0.781	0.712	0.471
lucrative	proffidiol	0.729	0.519	0.798
ludicrous	druenus	0.137	0.553	0.274
lug	lug	0.344	0.443	0.340
luggage	bagiau	0.561	0.226	0.319
lukewarm	braenog	0.573	0.300	0.241
lull	lull	0.602	0.130	0.402
lullaby	lullaby	0.796	0.156	0.339
lumbar	lumbar	0.323	0.418	0.342
lumber	lumber	0.517	0.184	0.373
lumbering	lumbering	0.354	0.561	0.655
lumberjack	lumberjack	0.500	0.660	0.726
luminescent	lliwgar	0.796	0.550	0.526
luminous	luminous	0.918	0.392	0.783
lump	lwmp	0.438	0.337	0.463
lumpy	lumpy	0.271	0.378	0.365
lunacy	cywilydd	0.132	0.847	0.330
lunar	cinio	0.562	0.296	0.427
lunatic	llonydd	0.125	0.792	0.442
lunch	cinio	0.880	0.410	0.542
lunchbox	bocs bwyd	0.663	0.346	0.346
luncheon	cinio	0.837	0.240	0.441
lunchtime	amser Cinio	0.896	0.398	0.444
lung	ysgyfaint	0.510	0.292	0.629
lunge	cinio	0.354	0.721	0.509
lungs	ysgyfaint	0.531	0.352	0.555
lurch	lurch	0.404	0.694	0.363
lure	cofiwch	0.439	0.565	0.300
lurid	lurid	0.186	0.833	0.536
lurk	lurk	0.219	0.740	0.655
lurking	cuddio	0.421	0.781	0.575
luscious	rhyfedd	0.885	0.552	0.545
lush	lush	0.740	0.783	0.833
lust	lust	0.469	0.944	0.518
luster	lwcus	0.833	0.566	0.558
lustful	lustful	0.427	0.896	0.643
lustrous	lustrous	0.771	0.606	0.598
lusty	lusty	0.469	0.941	0.673
lute	lute	0.459	0.407	0.500
luxuriant	moethus	0.760	0.745	0.812
luxurious	moethus	0.947	0.644	0.754
luxury	moethus	0.932	0.673	0.750
lycra	lycra	0.520	0.449	0.328
lye	lye	0.378	0.396	0.443
lying	yn gorwedd	0.208	0.704	0.317
lymph	lymff	0.398	0.510	0.390
lymphatic	lymffatig	0.380	0.509	0.472
lymphoma	lymffoma	0.208	0.645	0.330
lynch	lynch	0.167	0.885	0.482
lynching	lynching	0.135	0.920	0.548
lynx	lynx	0.510	0.590	0.567
lyre	lyre	0.719	0.347	0.414
lyric	lyric	0.702	0.269	0.464
lyrical	chwedlonol	0.708	0.451	0.618
lyrics	geiriau	0.582	0.214	0.333
macadamia	macadamia	0.635	0.330	0.434
macarena	macarena	0.802	0.601	0.368
macaroni	macaroni	0.816	0.410	0.382
mace	mace	0.450	0.412	0.415
mach	mach	0.541	0.432	0.463
machete	machete	0.260	0.690	0.474
machine	peiriant	0.510	0.500	0.707
machinery	peiriannau	0.458	0.615	0.629
machinist	peiriannydd	0.490	0.598	0.721
macho	macho	0.643	0.690	0.676
mackerel	macrell	0.418	0.423	0.426
macro	macro	0.552	0.469	0.647
mad	yn wallgof	0.219	0.873	0.277
madam	madamam	0.580	0.308	0.571
madame	madame	0.604	0.500	0.635
madden	madden	0.329	0.602	0.457
madder	yn ofnadwy	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	mademyday	0.694	0.573	0.537
madhouse	madhouse	0.156	0.736	0.440
madman	madman	0.135	0.880	0.312
madness	madness	0.104	0.804	0.440
maestro	maestro	0.823	0.357	0.849
mafia	maffia	0.204	0.867	0.676
magazine	cylchgrawn	0.615	0.332	0.377
mage	mage	0.622	0.373	0.453
magenta	magenta	0.635	0.275	0.415
maggot	maggot	0.235	0.500	0.235
magic	hud	0.868	0.663	0.578
magical	hudol	0.875	0.651	0.595
magician	dewin	0.714	0.657	0.551
magistrate	ynad	0.587	0.541	0.904
magma	magma	0.323	0.623	0.609
magna	mawr	0.605	0.490	0.652
magnate	cymal	0.627	0.708	0.868
magnesium	magnesiwm	0.542	0.320	0.321
magnet	magnet	0.571	0.318	0.553
magnetic	magnetig	0.612	0.529	0.673
magnetism	magnetiaeth	0.630	0.529	0.741
magnetite	magnetit	0.531	0.490	0.581
magnification	cywasgiad	0.890	0.615	0.880
magnificence	magnificence	0.802	0.810	0.920
magnificent	yn wych	1.000	0.680	0.886
magnifier	chwyddydd	0.469	0.216	0.345
magnify	magnify	0.729	0.561	0.839
magnifying	chwyddo	0.594	0.265	0.406
magnitude	maint	0.608	0.613	0.774
magnolia	magnolia	0.558	0.343	0.379
magpie	cwpl	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	mahjong	0.556	0.418	0.440
mahogany	mahogan	0.602	0.225	0.393
maid	maid	0.406	0.324	0.300
maiden	briodyr	0.755	0.396	0.461
mail	bost	0.615	0.231	0.548
mailbox	bost post	0.573	0.222	0.404
mailing	bostio	0.688	0.324	0.375
mailman	bost post	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	prif	0.667	0.510	0.811
mainframe	prif ffrâm	0.531	0.490	0.557
mainland	tir mawr	0.680	0.407	0.806
mainstay	prif bapur	0.694	0.400	0.713
mainstream	prif ffrwd	0.653	0.527	0.660
maintain	cynnal	0.684	0.398	0.647
maintenance	cynnal a chadw	0.592	0.410	0.545
majestic	mawreddog	0.948	0.731	0.906
majesty	mawredd	0.823	0.602	0.955
major	mawr	0.684	0.538	0.874
majority	mwyafrif	0.684	0.560	0.930
make	Creu	0.684	0.420	0.480
makeover	gweddnewidiad	0.771	0.510	0.596
maker	gwneuthurwr	0.698	0.544	0.706
makeshift	gwneud iawn	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	cofnodi	0.296	0.643	0.500
makeup	cyfansoddiad	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	malady	0.190	0.686	0.304
malaise	maenus	0.150	0.600	0.161
malaria	malaria	0.125	0.653	0.304
malarkey	malarkey	0.396	0.500	0.465
male	gwryw	0.612	0.532	0.695
malevolent	malevolent	0.094	0.854	0.613
malfeasance	malfeasance	0.062	0.745	0.325
malformation	malffurfiaeth	0.083	0.602	0.357
malfunction	diffyg gweithredu	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	maleisus	0.177	0.765	0.607
malign	malign	0.140	0.765	0.481
malignancy	malignancy	0.149	0.814	0.614
malignant	malign	0.143	0.824	0.370
maligned	maligned	0.102	0.684	0.218
mall	canolfan	0.724	0.663	0.492
malleable	hyfryd	0.500	0.500	0.391
mallet	mallet	0.354	0.390	0.483
malnutrition	diffyg maeth	0.024	0.592	0.277
malpractice	camymddygiad	0.094	0.559	0.330
malt	braich	0.750	0.373	0.324
mama	mama	0.860	0.413	0.728
mambo	mambo	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	mamal	0.618	0.449	0.421
mammoth	mamoth	0.480	0.471	0.537
mammy	NO TRANSLATION	0.680	0.415	0.436
man	dyn	0.688	0.427	0.767
manage	rheoli	0.560	0.530	0.719
manageable	y gellir eu rheoli	0.750	0.361	0.655
management	rheoli	0.792	0.491	0.806
manager	rheolwr	0.625	0.549	0.897
managerial	rheolaethol	0.604	0.520	0.791
mandamus	mandamus	0.439	0.577	0.556
mandarin	mandarin	0.625	0.398	0.491
mandate	mandad	0.448	0.670	0.779
mandatory	gorfodol	0.271	0.667	0.777
mandible	mandib	0.510	0.431	0.500
mandolin	mandolin	0.708	0.433	0.367
mandrel	mandrel	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	symud	0.615	0.663	0.608
maneuvering	symud	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	manger	0.656	0.276	0.398
mangle	NO TRANSLATION	0.292	0.449	0.355
mango	mango	0.765	0.327	0.290
mangosteen	mangosteen	0.562	0.500	0.414
mangy	mangy	0.214	0.698	0.270
manhole	tyllau dwr	0.378	0.500	0.516
manhood	dynoliaeth	0.625	0.735	0.858
manhunt	dynion	0.145	0.925	0.657
mania	mania	0.290	0.683	0.382
maniac	maniac	0.120	0.849	0.431
maniacal	maniacal	0.200	0.848	0.500
manic	manig	0.054	0.892	0.368
manicure	dwylo	0.706	0.308	0.284
manicurist	manicurist	0.583	0.352	0.341
manifest	amlwg	0.667	0.647	0.704
manifestation	amlygiad	0.583	0.750	0.655
manifested	amlwg	0.580	0.618	0.667
manifestly	amlwg	0.469	0.588	0.577
manifesto	maniffesto	0.646	0.519	0.676
manifold	manifold	0.500	0.461	0.435
manipulate	trin	0.255	0.700	0.772
manipulation	trin	0.188	0.775	0.536
manipulative	triniaeth	0.177	0.724	0.546
mankind	dynoliaeth	0.823	0.471	0.768
manly	dynol	0.698	0.633	0.846
manna	manna	0.698	0.294	0.544
manned	dynion	0.551	0.588	0.484
mannequin	mannequin	0.427	0.302	0.295
manner	modd	0.618	0.250	0.320
mannered	mannered	0.469	0.556	0.291
manners	moesau	0.816	0.284	0.517
manor	maenor	0.646	0.358	0.738
manpower	gweithlu	0.531	0.620	0.543
mansion	plasty	0.847	0.490	0.717
mansions	plastai	0.735	0.529	0.777
manslaughter	dynladdiad	0.090	0.920	0.473
mantel	mantel	0.500	0.265	0.471
mantis	mantis	0.480	0.355	0.421
mantle	mantle	0.510	0.269	0.422
mantra	mantra	0.396	0.249	0.357
manual	llawlyfr	0.635	0.245	0.449
manufacture	cynhyrchu	0.868	0.703	0.780
manufacturer	gwneuthurwr	0.688	0.537	0.830
manufacturing	gweithgynhyrchu	0.653	0.613	0.804
manure	tail	0.250	0.471	0.241
manuscript	llawysgrif	0.510	0.208	0.540
map	map	0.561	0.229	0.463
maple	maple	0.541	0.390	0.339
mar	mar	0.622	0.544	0.545
marathon	marathon	0.646	0.778	0.740
marble	marmor	0.604	0.212	0.667
marbled	marmor	0.396	0.385	0.418
marbles	marblis	0.714	0.345	0.241
march	marchogaeth	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	margarîn	0.530	0.316	0.333
margarita	margarita	0.750	0.438	0.420
margin	ymyl	0.500	0.219	0.331
marginal	ymylol	0.235	0.644	0.345
mariachi	mariachi	0.710	0.559	0.609
marijuana	marijuana	0.312	0.779	0.558
marinara	marinara	0.657	0.388	0.435
marine	morol	0.633	0.471	0.679
mariner	marinwr	0.652	0.491	0.676
marital	priodasol	0.760	0.529	0.500
maritime	morwrol	0.646	0.490	0.713
mark	marc	0.491	0.231	0.600
marked	wedi'i farcio	0.592	0.358	0.554
marker	marcwr	0.500	0.333	0.605
market	farchnad	0.724	0.480	0.521
marketable	fasnachadwy	0.746	0.545	0.664
marketing	marchnata	0.521	0.774	0.675
marketplace	farchnad	0.698	0.420	0.525
marks	marciau	0.430	0.480	0.424
marksman	marciwr	0.500	0.833	0.692
marksmanship	marchogaeth	0.573	0.531	0.664
marl	marl	0.372	0.471	0.351
marmalade	marmalad	0.729	0.370	0.288
maroon	marwn	0.469	0.358	0.336
marooned	marooned	0.229	0.480	0.160
marquee	barlys	0.602	0.284	0.508
marquis	marquis	0.521	0.444	0.562
marred	marred	0.181	0.561	0.233
marriage	priodas	0.844	0.684	0.750
married	priod	0.674	0.570	0.602
marrow	mêr	0.398	0.422	0.472
marry	priodi	0.896	0.765	0.673
marsh	cors	0.302	0.358	0.277
marshal	marshal	0.469	0.610	0.819
marshmallow	marshmallow	0.740	0.441	0.391
mart	mart	0.531	0.402	0.418
martial	ymladd	0.480	0.710	0.737
martingale	ymosodiad	0.469	0.510	0.455
martini	martini	0.828	0.500	0.519
martyr	martyr	0.281	0.708	0.509
martyrdom	martyrdom	0.323	0.745	0.442
marvel	rhyfedd	0.961	0.755	0.866
marvellous	yn wych	0.878	0.809	0.849
marvelous	yn wych	0.948	0.637	0.778
marvelously	yn wych	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	mascara	0.575	0.450	0.269
mascot	masgot	0.750	0.337	0.337
masculine	gwrywaidd	0.653	0.540	0.773
masculinity	gwrywaidd	0.583	0.670	0.851
mash	mash	0.440	0.363	0.283
mashed	mashed	0.531	0.337	0.194
mask	mwgwd	0.510	0.490	0.537
masked	wedi'u cuddio	0.375	0.549	0.518
masks	masgiau	0.510	0.472	0.241
masochism	masochiaeth	0.194	0.845	0.483
masochist	masochist	0.164	0.784	0.353
mason	claddwr	0.541	0.442	0.580
masquerade	masquerade	0.431	0.633	0.446
mass	màs	0.458	0.245	0.277
massacre	llofruddiaeth	0.031	0.887	0.640
massage	tylino	0.708	0.356	0.413
masses	masau	0.552	0.453	0.473
masseur	masseur	0.622	0.265	0.463
masseuse	masseuse	0.594	0.373	0.391
massive	yn enfawr	0.569	0.660	0.750
mast	mast	0.542	0.390	0.580
master	meistr	0.694	0.490	0.849
masterful	yn feistrolgar	0.854	0.510	0.960
mastermind	meistr	0.792	0.625	0.918
masterpiece	campwaith	0.926	0.623	0.847
mastery	meistroli	0.755	0.648	0.873
masturbate	masturbate	0.552	0.926	0.500
masturbation	masturbation	0.542	0.961	0.509
mat	mat	0.459	0.221	0.304
matador	matador	0.224	0.880	0.667
match	cyfateb	0.599	0.573	0.500
matchbook	llyfr cyfatebol	0.562	0.391	0.412
matching	cyfateb	0.719	0.735	0.418
matchmaker	cyfunwr	0.615	0.509	0.519
mate	ffrind	0.847	0.417	0.669
material	deunydd	0.521	0.363	0.439
materialism	deunyddiaeth	0.220	0.390	0.556
materialist	deunyddydd	0.255	0.491	0.504
materialistic	materol	0.420	0.506	0.589
materiality	materoldeb	0.417	0.450	0.636
materialize	yn berthnasol	0.688	0.596	0.728
materially	yn sylweddol	0.490	0.451	0.670
materials	deunyddiau	0.633	0.361	0.473
materiel	materiel	0.531	0.294	0.417
maternal	mamau	0.847	0.417	0.634
maternity	mamolaeth	0.865	0.480	0.622
math	mathemateg	0.417	0.375	0.600
mathematical	mathemategol	0.620	0.500	0.548
mathematician	mathemategydd	0.541	0.418	0.773
mathematics	mathemateg	0.438	0.435	0.664
matinee	matiniaid	0.694	0.578	0.447
mating	yn paru	0.755	0.840	0.759
matriculation	matriciwleiddio	0.622	0.490	0.675
matrimony	marwolaeth	0.850	0.637	0.843
matrix	matrics	0.551	0.378	0.673
matron	matron	0.520	0.519	0.555
matted	matted	0.281	0.519	0.393
matter	mater	0.487	0.353	0.562
matting	matio	0.479	0.405	0.423
mattress	matres	0.612	0.255	0.397
maturation	aeddfedu	0.612	0.439	0.698
mature	aeddfed	0.625	0.347	0.600
maturity	aeddfedrwydd	0.827	0.400	0.806
maudlin	maudlin	0.337	0.417	0.368
mausoleum	mawsolewm	0.344	0.281	0.594
mauve	mauve	0.533	0.330	0.314
maverick	maverick	0.354	0.676	0.409
maxim	maxim	0.875	0.562	0.887
maximize	mwyaf posibl	0.823	0.765	0.792
maximum	uchafswm	0.724	0.724	0.852
may	efallai	0.704	0.273	0.245
mayday	mayday	0.344	0.643	0.423
mayflower	mayflower	0.690	0.463	0.429
mayhem	canhem	0.188	0.870	0.364
