Word	Catalan-ca	Valence	Arousal	Dominance
hangman	penjat	0.153	0.877	0.555
hangout	hangout	0.573	0.500	0.462
hangover	ressaca	0.188	0.565	0.267
hangry	penjat	0.219	0.794	0.279
hank	pany	0.510	0.375	0.339
hankering	anhelant	0.604	0.540	0.558
hanky	Hanky	0.460	0.276	0.250
hap	NO TRANSLATION	0.503	0.431	0.453
haphazard	atzar	0.469	0.530	0.324
hapless	infeliç	0.271	0.442	0.193
happen	passar	0.677	0.670	0.551
happening	passant	0.646	0.529	0.555
happier	més feliç	0.990	0.760	0.806
happiest	el més feliç	0.990	0.716	0.746
happily	feliçment	1.000	0.690	0.674
happiness	felicitat	0.960	0.732	0.850
happy	feliç	1.000	0.735	0.772
happydance	happydance	0.857	0.760	0.582
happyday	dia feliç	0.929	0.650	0.663
happyheart	happyheart	0.949	0.575	0.605
happyholidays	NO TRANSLATION	0.927	0.740	0.637
happynewyear	NO TRANSLATION	0.969	0.815	0.559
happyplace	happyplace	0.938	0.589	0.645
happytweet	NO TRANSLATION	0.847	0.588	0.437
happyvalentinesday	NO TRANSLATION	0.929	0.784	0.509
harass	assetjar	0.160	0.775	0.620
harassing	assetjament	0.120	0.873	0.446
harassment	assetjament	0.083	0.896	0.420
harbinger	presoner	0.490	0.389	0.692
harbor	port	0.594	0.356	0.634
hard	dur	0.302	0.708	0.616
hardball	Hardball	0.542	0.667	0.452
hardcore	hardcore	0.250	0.721	0.585
harden	endurir	0.276	0.598	0.677
hardened	endurit	0.406	0.618	0.764
hardening	enduriment	0.388	0.673	0.741
hardheaded	capçal	0.156	0.699	0.571
hardness	duresa	0.417	0.580	0.745
hardship	dificultats	0.094	0.775	0.482
hardware	maquinari	0.594	0.289	0.686
hardwood	fusta dura	0.417	0.363	0.518
hardworking	treball dur	0.719	0.583	0.792
hardy	resistent	0.571	0.569	0.810
hare	llebre	0.620	0.410	0.345
harebrained	Harebrained	0.296	0.551	0.436
harem	harem	0.521	0.578	0.582
hark	Hark	0.571	0.500	0.398
harlot	ramera	0.198	0.798	0.330
harm	danyar	0.073	0.679	0.423
harmful	perjudicial	0.094	0.750	0.291
harmless	inofensiu	0.625	0.226	0.241
harmonica	harmònica	0.847	0.235	0.510
harmonics	harmònics	0.865	0.400	0.575
harmonious	harmoniós	0.938	0.391	0.719
harmoniously	harmoniosament	0.969	0.265	0.647
harmonize	harmonitzar	0.939	0.461	0.609
harmony	harmonia	0.949	0.230	0.509
harness	arnès	0.570	0.549	0.508
harp	arpa	0.618	0.310	0.356
harper	harper	0.417	0.454	0.435
harpoon	arpó	0.490	0.700	0.557
harpsichord	clavicèmbal	0.541	0.490	0.438
harrowing	horrible	0.209	0.810	0.474
harry	harry	0.520	0.409	0.390
harsh	dures	0.250	0.650	0.623
harshness	duresa	0.323	0.600	0.779
hart	hart	0.643	0.389	0.447
harvest	collita	0.781	0.353	0.548
hash	hash	0.344	0.453	0.355
hashish	haixix	0.370	0.570	0.358
hassle	molèsties	0.177	0.740	0.489
haste	pressa	0.378	0.745	0.500
hasten	acelerar	0.571	0.750	0.618
hastily	precipitadament	0.271	0.609	0.609
hasty	precipitada	0.188	0.885	0.424
hat	barret	0.604	0.183	0.353
hatch	escotilla	0.479	0.653	0.402
hatchet	destral	0.333	0.608	0.500
hate	odi	0.031	0.802	0.430
hateeee	NO TRANSLATION	0.219	0.606	0.368
hateeveryone	NO TRANSLATION	0.041	0.840	0.429
hateful	odiós	0.071	0.819	0.430
hater	Hater	0.052	0.702	0.422
hateyou	NO TRANSLATION	0.125	0.735	0.464
hating	odiar	0.083	0.820	0.434
hatred	odi	0.037	0.847	0.424
haughty	altivesa	0.240	0.708	0.588
haul	recorregut	0.551	0.564	0.453
haulage	transport de mercaderies	0.561	0.510	0.650
haunt	perseguir	0.288	0.676	0.576
haunted	embruixat	0.264	0.731	0.520
have	tenir	0.757	0.389	0.593
haven	refugi	0.684	0.265	0.547
havoc	estralls	0.163	0.769	0.535
haw	haw	0.406	0.426	0.431
hawk	falcó	0.583	0.530	0.631
hawking	vencent	0.521	0.509	0.491
hay	NO TRANSLATION	0.469	0.212	0.343
haye	Haye	0.615	0.451	0.336
hayride	Hayride	0.561	0.521	0.464
haystack	paller	0.552	0.292	0.331
haywire	Haywire	0.358	0.545	0.430
hazard	perill	0.112	0.884	0.757
hazardous	perillós	0.061	0.750	0.670
haze	boirina	0.427	0.327	0.217
hazmat	hazmat	0.398	0.479	0.519
hazy	nebulós	0.450	0.433	0.230
head	cap	0.530	0.472	0.558
headache	mal de cap	0.168	0.755	0.273
headaches	mals de cap	0.104	0.720	0.259
headband	diadema	0.670	0.469	0.527
headdress	tocat	0.594	0.408	0.443
header	encapçalament	0.560	0.398	0.740
headgear	barrets	0.542	0.442	0.571
heading	encapçalament	0.551	0.292	0.642
headland	capçalera	0.574	0.551	0.430
headless	sense cap	0.136	0.582	0.235
headlight	faro	0.592	0.343	0.393
headline	titular	0.630	0.241	0.685
headliner	headliner	0.500	0.490	0.625
headlock	encapçalament	0.448	0.538	0.560
headlong	endlong	0.354	0.548	0.409
headmaster	director d'escola	0.604	0.564	0.865
headphones	auriculars	0.600	0.357	0.336
headquarter	Oficina	0.615	0.269	0.525
headquarters	seu central	0.615	0.271	0.525
headset	auriculars	0.602	0.340	0.302
headstone	làpida	0.240	0.378	0.349
headstrong	incondicional	0.310	0.714	0.500
headway	avanç	0.823	0.464	0.745
heady	boig	0.448	0.806	0.565
heal	curar	0.765	0.245	0.556
healer	sanador	0.863	0.378	0.741
healing	curació	0.750	0.452	0.585
health	salut	0.935	0.427	0.551
healthcare	atenció sanitària	0.780	0.392	0.630
healthful	saludable	0.930	0.315	0.769
healthy	saludable	0.938	0.319	0.818
heap	Munt	0.582	0.510	0.474
hear	escoltar	0.760	0.429	0.444
hearer	oient	0.656	0.281	0.415
hearing	audició	0.669	0.490	0.595
hearsay	escoltar	0.288	0.623	0.333
hearse	hearse	0.177	0.490	0.324
heart	cor	0.827	0.500	0.693
heart disease	malaltia cardíaca	0.250	0.750	0.386
heartache	dolors	0.088	0.750	0.291
heartattack	NO TRANSLATION	0.156	0.839	0.455
heartbeat	batec del cor	0.750	0.698	0.585
heartbreak	desamor	0.208	0.610	0.245
heartbreaker	trencaclosques	0.265	0.685	0.580
heartbreaking	desgarrador	0.146	0.811	0.423
heartbroken	cor trencat	0.082	0.551	0.235
heartburn	ardor d'estómac	0.143	0.613	0.398
hearted	de cor	0.823	0.410	0.805
heartfelt	sincera	0.904	0.440	0.540
hearth	llar de foc	0.760	0.275	0.536
heartily	de cor	0.927	0.531	0.664
heartland	cor interior	0.812	0.510	0.675
heartless	sense cor	0.071	0.652	0.400
hearts	cors	0.948	0.592	0.634
heartsick	corazonjo	0.240	0.388	0.208
heartworm	cuc del cor	0.333	0.550	0.430
hearty	abundant	0.760	0.684	0.792
heat	calenta	0.534	0.612	0.433
heated	s'escalfa	0.479	0.497	0.542
heater	escalfador	0.500	0.573	0.538
heath	salut	0.802	0.387	0.546
heathen	pagans	0.194	0.529	0.491
heather	bruc	0.500	0.352	0.407
heating	calefacció	0.647	0.491	0.537
heave	alçar	0.716	0.588	0.664
heaven	cel	0.896	0.385	0.600
heavenly	celestial	0.844	0.452	0.712
heavens	cels	0.806	0.273	0.683
heavily	fortament	0.542	0.679	0.814
heaviness	pesadesa	0.219	0.549	0.318
heaving	aixecant-se	0.201	0.843	0.491
heavy	pesat	0.250	0.454	0.600
heavy metal	metall pesat	0.417	0.755	0.621
heavyweight	pes pesat	0.429	0.578	0.713
heck	diables	0.240	0.728	0.560
hectares	hectàrees	0.570	0.250	0.471
hectic	frenètic	0.167	0.811	0.438
hedge	coberta	0.604	0.602	0.569
hedgehog	eriçó	0.458	0.491	0.377
hedonism	hedonisme	0.510	0.500	0.608
hee	hee	0.430	0.433	0.312
heed	atenció	0.750	0.490	0.569
heel	taló	0.480	0.350	0.385
heels	talons	0.500	0.439	0.396
heft	heft	0.503	0.340	0.530
hefty	abundant	0.550	0.654	0.745
hegemonic	hegemònic	0.462	0.519	0.558
heheh	NO TRANSLATION	0.625	0.510	0.278
heifer	vaqueta	0.439	0.443	0.321
height	altura	0.677	0.608	0.648
heighten	augmentar	0.755	0.622	0.765
heightened	augmentat	0.592	0.529	0.788
heinous	horrible	0.133	0.792	0.471
heir	hereu	0.840	0.654	0.764
heiress	hereva	0.827	0.571	0.676
heirloom	herència	0.684	0.375	0.745
heirs	hereus	0.796	0.519	0.698
heist	aguanta	0.184	0.850	0.645
helical	helicoïdal	0.379	0.429	0.468
helicopter	helicòpter	0.714	0.806	0.617
helipad	heliport	0.780	0.637	0.573
heliport	heliport	0.594	0.604	0.527
helium	heli	0.490	0.316	0.304
helix	hèlix	0.521	0.462	0.509
hell	infern	0.020	0.918	0.565
hellfire	hellfire	0.143	0.890	0.618
hellhole	infern	0.200	0.615	0.421
hellish	infernal	0.125	0.860	0.545
helm	timó	0.511	0.450	0.615
helmet	casc	0.573	0.327	0.402
helmsman	timoner	0.490	0.441	0.647
help	ajuda	0.673	0.471	0.460
helper	ajudant	0.704	0.438	0.567
helpful	útil	0.816	0.337	0.705
helpless	indefens	0.104	0.420	0.214
helplessness	impotència	0.087	0.480	0.250
hem	NO TRANSLATION	0.562	0.283	0.291
hematite	hematita	0.448	0.389	0.342
hematoma	hematoma	0.146	0.600	0.398
hemi	hemi	0.510	0.363	0.342
hemisphere	hemisferi	0.531	0.367	0.598
hemispheric	hemisfèric	0.562	0.449	0.603
hemlock	cicuta	0.438	0.350	0.434
hemoglobin	hemoglobina	0.469	0.481	0.418
hemorrhage	hemorràgia	0.031	0.849	0.426
hemorrhoids	hemorroides	0.133	0.702	0.304
hemostat	Hemostat	0.388	0.442	0.464
hemp	cànem	0.469	0.439	0.422
hen	NO TRANSLATION	0.385	0.276	0.241
henceforth	des d'ara	0.527	0.404	0.466
henhouse	galliner	0.500	0.577	0.414
hepatitis	hepatitis	0.055	0.596	0.358
herald	heraldo	0.643	0.382	0.500
heraldry	heràldica	0.550	0.520	0.607
herb	herba	0.643	0.418	0.353
herbaceous	herbàcia	0.560	0.220	0.310
herbal	herbes	0.592	0.255	0.390
herbarium	herbari	0.602	0.188	0.327
herbs	herbes	0.620	0.299	0.308
herd	ramat	0.592	0.500	0.474
hereditary	hereditari	0.531	0.600	0.737
heredity	herència	0.704	0.445	0.818
heresy	herejía	0.265	0.765	0.443
heretic	heretge	0.090	0.710	0.447
heretical	heretica	0.229	0.630	0.487
heretofore	fins ara	0.479	0.388	0.385
hereunto	aquí	0.500	0.225	0.333
herewith	adjunt	0.450	0.360	0.415
heritage	patrimoni	0.842	0.512	0.815
hermaphrodite	hermafrodita	0.480	0.684	0.481
hermeneutics	hermenèutica	0.406	0.577	0.562
hermit	ermità	0.271	0.337	0.351
hernia	hèrnia	0.146	0.486	0.223
hero	heroi	0.940	0.806	0.881
heroic	heroic	0.890	0.770	0.912
heroics	heroics	0.865	0.673	0.894
heroin	heroïna	0.276	0.843	0.655
heroine	heroïna	0.729	0.755	0.833
heroism	heroisme	0.844	0.802	0.898
herpes	herpes	0.110	0.600	0.309
herpesvirus	herpesvirus	0.219	0.558	0.435
herring	arengada	0.531	0.387	0.422
hertz	hertz	0.396	0.417	0.506
hesitant	vacil · lant	0.333	0.542	0.321
hesitate	dubta	0.459	0.548	0.232
hesitating	dubtar	0.265	0.528	0.240
hesitation	vacil · lació	0.286	0.396	0.217
hetero	hetero	0.589	0.405	0.435
heterogeneity	heterogeneïtat	0.439	0.450	0.556
heterosexual	heterosexual	0.561	0.612	0.557
hew	hew	0.417	0.470	0.377
hex	hexadecimal	0.410	0.510	0.363
hexagon	hexàgon	0.542	0.226	0.425
heyday	apogeu	0.646	0.680	0.673
hiatus	hiat	0.479	0.294	0.352
hibernate	hibernate	0.500	0.317	0.431
hibernation	hibernació	0.469	0.245	0.384
hiccup	hipo	0.271	0.549	0.240
hick	Hick	0.357	0.442	0.314
hickey	Hickey	0.448	0.529	0.345
hickory	Hickory	0.520	0.490	0.415
hidden	amagat	0.208	0.430	0.327
hide	ocultar	0.438	0.510	0.218
hideaway	amagar-se	0.448	0.481	0.360
hideous	horrible	0.091	0.750	0.328
hideout	amagar	0.337	0.443	0.302
hiding	amagant	0.250	0.567	0.364
hierarchical	jeràrquic	0.521	0.620	0.939
hierarchy	jerarquia	0.583	0.722	0.902
hieroglyphics	jeroglífics	0.479	0.325	0.509
high	alt	0.684	0.510	0.614
high heels	talons alts	0.646	0.528	0.429
highball	highball	0.656	0.520	0.481
higher	més alt	0.866	0.528	0.713
highest	el més alt	0.771	0.640	0.710
highland	muntanya	0.615	0.481	0.611
highlands	terres altes	0.735	0.431	0.596
highlight	destacar	0.844	0.637	0.882
highness	alçada	0.740	0.670	0.931
hight	alt	0.667	0.637	0.645
hightail	hightail	0.448	0.480	0.481
highway	autopista	0.640	0.583	0.425
hijack	segrest	0.042	0.908	0.594
hijacker	segrestador	0.104	0.953	0.683
hike	caminada	0.615	0.442	0.538
hiker	excursionista	0.694	0.802	0.644
hiking	senderisme	0.820	0.843	0.670
hiking boot	bota d'excursió	0.657	0.353	0.446
hilarious	hilarant	0.750	0.640	0.537
hilarity	hilaritat	0.745	0.480	0.575
hill	turó	0.615	0.353	0.518
hillside	vessant	0.625	0.292	0.458
hilltop	muntanya	0.688	0.643	0.787
hilly	accidentat	0.643	0.479	0.603
hilt	empunyadura	0.396	0.650	0.537
hind	darrere	0.483	0.644	0.337
hinder	dificulten	0.276	0.537	0.470
hindering	dificultant	0.260	0.654	0.435
hindrance	impediment	0.135	0.545	0.473
hindsight	retrospectiva	0.333	0.431	0.532
hinge	frontissa	0.458	0.292	0.417
hint	pista	0.602	0.330	0.517
hinterland	hinterland	0.530	0.520	0.457
hip	maluc	0.448	0.415	0.345
hip hop	hip hop	0.740	0.714	0.484
hippie	hippie	0.551	0.400	0.396
hippo	hipopòtam	0.490	0.404	0.477
hippopotamus	Hipopòtam	0.541	0.472	0.615
hire	llogar	0.688	0.558	0.556
hirsute	hirsute	0.385	0.483	0.373
hiss	silenci	0.388	0.480	0.370
hissing	xiuxiuejant	0.500	0.454	0.400
histology	histologia	0.490	0.320	0.560
historian	historiador	0.688	0.270	0.637
historic	històric	0.816	0.473	0.784
historical	històric	0.653	0.357	0.833
historiography	historiografia	0.562	0.415	0.634
history	història	0.729	0.382	0.754
hit	colpejar	0.235	0.931	0.679
hitch	enganxament	0.512	0.480	0.554
hitchhike	enganxament	0.396	0.622	0.385
hitchhiker	autoestopista	0.594	0.626	0.603
hitherto	fins ara	0.448	0.356	0.463
hitter	bateador	0.418	0.683	0.713
hive	rusc	0.471	0.452	0.544
hives	colmenals	0.417	0.473	0.591
hoard	acumular	0.506	0.412	0.518
hoarse	ronca	0.281	0.402	0.315
hoary	hoary	0.469	0.298	0.424
hoax	engany	0.146	0.696	0.303
hob	vitroceràmica	0.633	0.363	0.415
hobbit	hobbit	0.479	0.489	0.472
hobby	afició	0.827	0.560	0.471
hobo	hobo	0.323	0.443	0.282
hock	caputxa	0.513	0.452	0.412
hockey	hoquei	0.565	0.786	0.548
hoe	NO TRANSLATION	0.302	0.480	0.418
hog	porc	0.317	0.509	0.271
hogwash	Hogwash	0.420	0.490	0.361
hohoho	NO TRANSLATION	0.677	0.433	0.330
hoist	polipast	0.521	0.520	0.458
hokey	hokey	0.604	0.667	0.430
hold	aguantar	0.448	0.290	0.364
holder	titular	0.592	0.330	0.713
holding	tenint	0.600	0.385	0.670
holdup	aguantar	0.398	0.471	0.398
hole	forat	0.531	0.310	0.330
holiday	festa	0.948	0.431	0.593
holidays	vacances	0.939	0.521	0.512
holidayseason	NO TRANSLATION	0.875	0.566	0.518
holiness	santedat	0.860	0.264	0.742
holistic	holístic	0.670	0.348	0.547
holler	Holler	0.276	0.825	0.406
hollow	buit	0.300	0.337	0.222
holly	grèvol	0.510	0.250	0.443
holocaust	holocaust	0.062	0.918	0.618
hologram	holograma	0.615	0.461	0.575
holographic	hologràfic	0.510	0.471	0.555
holster	funda	0.561	0.255	0.339
holy	Sant	0.812	0.112	0.690
holyspirit	NO TRANSLATION	0.740	0.480	0.526
homage	homenatge	0.833	0.560	0.737
hombre	NO TRANSLATION	0.656	0.472	0.696
hombres	NO TRANSLATION	0.510	0.538	0.652
home	casa	0.854	0.270	0.545
homeboy	Homeboy	0.602	0.255	0.436
homecoming	regreso a casa	0.760	0.413	0.472
homeland	pàtria	0.663	0.439	0.868
homeless	sense llar	0.042	0.450	0.188
homely	acollidor	0.745	0.157	0.399
homemade	casolana	0.869	0.340	0.398
homeopathic	homeòpic	0.417	0.268	0.400
homeopathy	homeopatia	0.469	0.284	0.439
homeowner	propietari d'habitatge	0.635	0.397	0.962
homeroom	Homeroom	0.604	0.480	0.491
homesick	nostàlgic	0.436	0.304	0.347
homestead	propietat familiar	0.865	0.221	0.536
homesweethome	llar dolça llar	0.796	0.380	0.538
hometown	ciutat natal	0.858	0.333	0.605
homeward	home de debò	0.833	0.275	0.435
homework	deures	0.396	0.412	0.459
homey	casolà	0.769	0.278	0.500
homicidal	homicidi	0.020	0.912	0.573
homicide	homicidi	0.010	0.973	0.518
homily	homilia	0.621	0.358	0.425
homing	Homing	0.551	0.460	0.527
hominy	Hominy	0.479	0.382	0.429
homo	homo	0.531	0.368	0.415
homogeneity	homogeneïtat	0.715	0.365	0.582
homogeneous	homogeni	0.552	0.255	0.617
homologous	homòlegs	0.471	0.353	0.536
homologue	homòleg	0.542	0.356	0.509
homology	homologia	0.571	0.494	0.527
homophobic	homofòbiques	0.130	0.736	0.464
homosexual	homosexual	0.333	0.780	0.431
homosexuality	homosexualitat	0.367	0.696	0.429
honcho	honcho	0.469	0.464	0.397
hone	perfeccionar	0.688	0.392	0.473
honest	honesta	0.927	0.254	0.750
honesty	honestedat	0.938	0.411	0.728
honey	mel	0.920	0.431	0.510
honeycomb	bresca d'abella	0.541	0.417	0.412
honeymoon	lluna de mel	0.979	0.678	0.526
honeysuckle	lligabosc	0.597	0.451	0.517
honk	honk	0.549	0.635	0.415
honky	honky	0.458	0.632	0.425
honor	honor	0.896	0.587	0.857
honorable	honorable	0.963	0.412	0.830
honorarium	honorarium	0.796	0.510	0.746
honorary	honorífic	0.885	0.565	0.811
honored	honrat	0.938	0.447	0.732
hooch	Hooch	0.429	0.538	0.373
hood	caputxa	0.357	0.459	0.306
hooded	encaputxats	0.306	0.745	0.439
hoodlum	Hoodlum	0.354	0.720	0.432
hoof	pezuña	0.427	0.341	0.365
hook	ganxo	0.418	0.444	0.395
hooked	enganxat	0.610	0.661	0.454
hooker	prostitut	0.214	0.889	0.373
hookup	Enganxa't	0.625	0.529	0.683
hooky	enganxós	0.468	0.500	0.452
hooligan	hooligan	0.295	0.712	0.455
hoop	Aro	0.635	0.204	0.315
hoopla	hoopla	0.542	0.471	0.353
hooray	hooray	0.610	0.481	0.536
hoot	Hoot	0.449	0.560	0.430
hooter	Hooter	0.470	0.615	0.455
hop	salt	0.450	0.520	0.427
hope	esperança	0.927	0.317	0.739
hopeful	esperançat	0.947	0.357	0.627
hopeless	sense esperança	0.094	0.298	0.112
hopelessness	desesperança	0.052	0.402	0.223
hopes	esperances	0.917	0.500	0.702
hoping	esperant	0.684	0.469	0.454
hopper	tremuja	0.396	0.491	0.442
horde	horda	0.286	0.713	0.684
horizon	horitzó	0.729	0.284	0.590
horizontal	horitzontal	0.573	0.304	0.387
horizontally	horitzontalment	0.500	0.356	0.439
hormonal	hormonal	0.500	0.620	0.551
hormone	hormona	0.490	0.750	0.621
horn	banya	0.385	0.510	0.366
horned	banyat	0.316	0.610	0.375
hornet	hornet	0.398	0.594	0.500
horny	córrer	0.490	0.908	0.560
horoscope	horòscop	0.500	0.360	0.490
horrendous	horrible	0.073	0.755	0.365
horrible	horrible	0.071	0.857	0.398
horribly	horriblement	0.050	0.631	0.454
horrid	horrible	0.052	0.765	0.419
horrific	horrible	0.094	0.846	0.481
horrified	horroritzat	0.040	0.885	0.368
horrifying	horrorós	0.010	0.760	0.352
horror	horror	0.115	0.850	0.438
horrors	horrors	0.061	0.852	0.409
horse	cavall	0.635	0.510	0.529
horseback	cavall	0.688	0.588	0.566
horseman	cavaller	0.441	0.700	0.676
horsepower	potència	0.594	0.735	0.735
horseradish	rave picant	0.321	0.584	0.476
horseshit	horsehit	0.153	0.582	0.179
horseshoe	ferradura	0.673	0.350	0.406
horsey	cavaller	0.602	0.454	0.462
horticultural	hortícoles	0.594	0.387	0.509
horticulture	horticultura	0.700	0.420	0.434
hosannah	NO TRANSLATION	0.679	0.373	0.500
hose	mànega	0.469	0.288	0.263
hosiery	mitjons	0.520	0.344	0.373
hospice	hospice	0.337	0.443	0.535
hospitable	hospitalari	0.791	0.470	0.661
hospital	hospital	0.323	0.537	0.598
hospitality	hospitalitat	0.865	0.333	0.725
host	host	0.693	0.471	0.537
hostage	ostatge	0.163	0.923	0.325
hostel	alberg	0.479	0.500	0.398
hostess	hostessa	0.792	0.604	0.688
hostile	hostil	0.188	0.877	0.474
hostilities	hostilitats	0.276	0.810	0.444
hostility	hostilitat	0.122	0.775	0.465
hot	calenta	0.490	0.740	0.573
hot sauce	salsa picant	0.333	0.740	0.509
hotbed	llit de llit	0.510	0.285	0.395
hotdog	hotdog	0.720	0.438	0.373
hotel	hotel	0.740	0.370	0.407
hothead	hothead	0.240	0.849	0.518
hotline	hotline	0.592	0.565	0.663
hotshot	hotshot	0.500	0.727	0.615
hotyoga	NO TRANSLATION	0.683	0.609	0.446
hound	perro	0.417	0.528	0.582
hour	hores	0.552	0.265	0.336
hourglass	rellotge de sorra	0.542	0.284	0.492
hourly	cada hora	0.469	0.418	0.491
house	casa	0.587	0.135	0.533
houseboat	casa flotant	0.604	0.389	0.429
houseboy	criatura d'habitatge	0.479	0.415	0.393
housebroken	housebroken	0.518	0.461	0.389
houseguest	houseguest	0.530	0.500	0.481
household	llar	0.781	0.230	0.667
householder	cap de família	0.816	0.541	0.833
housekeeper	mestressa de casa	0.694	0.279	0.520
housekeeping	servei de neteja	0.604	0.500	0.445
housewarming	estrenyiment d'habitatges	0.857	0.710	0.727
housewife	mestressa de casa	0.656	0.361	0.449
housework	feines de casa	0.484	0.413	0.342
housing	habitatge	0.776	0.304	0.591
hovel	gossera	0.333	0.296	0.322
hover	desplaçar-se	0.510	0.431	0.404
hovercraft	hovercraft	0.541	0.654	0.588
howl	aullar	0.357	0.646	0.407
howsoever	qualsevol que sigui	0.459	0.309	0.345
hoy	NO TRANSLATION	0.583	0.298	0.471
hub	cub	0.479	0.399	0.433
hubby	marit	0.548	0.435	0.430
huckleberry	arracada	0.600	0.279	0.296
huddle	agredir	0.604	0.509	0.445
hue	tonalitat	0.507	0.416	0.417
huff	huff	0.388	0.491	0.315
huffy	boig	0.420	0.616	0.375
hug	abraçada	0.908	0.427	0.548
huge	enorme	0.573	0.625	0.783
hugger	hugger	0.520	0.480	0.412
huggy	huggy	0.854	0.429	0.451
hugs	abraçades	0.980	0.422	0.600
hulk	Hulk	0.460	0.740	0.750
hull	casc	0.542	0.265	0.353
hum	brunzit	0.490	0.296	0.276
human	humà	0.767	0.314	0.605
humane	humà	0.800	0.370	0.580
humanitarian	humanitari	0.786	0.317	0.709
humanities	humanitats	0.729	0.325	0.677
humanity	humanitat	0.750	0.360	0.727
humankind	la humanitat	0.885	0.394	0.714
humanoid	humanoide	0.521	0.462	0.491
humanrights	NO TRANSLATION	0.792	0.559	0.730
humble	humil	0.867	0.236	0.483
humbled	humiliat	0.280	0.618	0.198
humbly	humilment	0.771	0.194	0.370
humbug	humbug	0.219	0.622	0.456
humdrum	humdrum	0.269	0.246	0.353
humid	humit	0.375	0.324	0.366
humidity	humitat	0.464	0.373	0.367
humiliate	humiliar	0.052	0.714	0.275
humiliated	humiliat	0.104	0.712	0.216
humiliating	humiliant	0.062	0.716	0.279
humiliation	humiliació	0.048	0.712	0.310
humility	humilitat	0.740	0.118	0.444
hummer	Hummer	0.510	0.622	0.589
hummingbird	colibrí	0.750	0.370	0.273
humongous	humongós	0.378	0.538	0.536
humor	humor	0.890	0.633	0.462
humored	humit	0.854	0.657	0.545
humorist	humorista	0.958	0.790	0.607
humorous	humorístic	0.906	0.616	0.665
hump	corb	0.296	0.462	0.250
humpback	joroba	0.235	0.346	0.247
hunch	cop	0.561	0.630	0.567
hunchback	jorobada	0.208	0.390	0.259
hundred	cent	0.604	0.370	0.406
hundredth	centèsima	0.427	0.368	0.466
hunger	fam	0.083	0.554	0.328
hungry	famolenc	0.083	0.690	0.254
hunk	hunk	0.438	0.375	0.361
hunks	trossos	0.417	0.453	0.482
hunky	Enutjat	0.469	0.571	0.438
hunt	caça	0.327	0.806	0.588
hunter	caçador	0.292	0.817	0.817
hunting	cacera	0.448	0.713	0.714
huntress	caçador	0.357	0.717	0.765
hurdle	obstacle	0.198	0.682	0.434
hurl	tirar	0.316	0.745	0.574
hurrah	hurra	0.802	0.740	0.500
hurricane	huracà	0.177	0.958	0.787
hurricanes	huracans	0.286	0.898	0.784
hurried	es va apressar	0.314	0.806	0.393
hurry	pressa	0.422	0.735	0.481
hurryup	NO TRANSLATION	0.473	0.791	0.555
hurt	ferit	0.062	0.773	0.291
hurtful	perjudicial	0.104	0.680	0.463
hurting	fer mal	0.153	0.778	0.221
husband	marit	0.771	0.500	0.655
husbandry	ramaderia	0.643	0.473	0.445
hush	silenci	0.471	0.231	0.312
hushed	callat	0.292	0.194	0.272
husk	NO TRANSLATION	0.378	0.173	0.147
husky	husky	0.630	0.450	0.490
hussy	hussy	0.219	0.594	0.384
hustle	enrenou	0.406	0.661	0.427
hustler	empujador	0.260	0.821	0.627
hut	cabana	0.633	0.270	0.375
hutch	embragatge	0.385	0.453	0.520
hyacinth	jacint	0.372	0.360	0.342
hybrid	híbrid	0.500	0.365	0.570
hydra	hydra	0.406	0.598	0.534
hydrant	hidrante	0.570	0.413	0.367
hydrate	hidratar	0.610	0.367	0.547
hydraulic	hidràulic	0.522	0.398	0.596
hydraulics	hidràulica	0.500	0.530	0.588
hydrocephalus	hydrocephalus	0.286	0.629	0.393
hydrodynamics	hidrodinàmica	0.552	0.582	0.664
hydrogen	hidrogen	0.469	0.303	0.554
hydrographic	hidrogràfic	0.490	0.396	0.642
hydrology	hidrologia	0.500	0.380	0.509
hydrophobia	hidrofòbia	0.323	0.784	0.351
hydroponics	hidroponia	0.500	0.549	0.500
hyena	hyena	0.396	0.719	0.464
hygiene	higiene	0.781	0.287	0.537
hygienic	higiènic	0.719	0.245	0.702
hygienist	higienista	0.698	0.389	0.682
hymen	himen	0.469	0.651	0.457
hymn	himne	0.735	0.292	0.634
hype	bombo	0.510	0.500	0.586
hyped	hyped	0.708	0.582	0.679
hyper	hiper	0.542	0.616	0.640
hyperactive	hiperactiu	0.500	0.921	0.660
hyperbole	hipèrbola	0.469	0.521	0.542
hyperspace	hiperespacio	0.510	0.623	0.755
hypertension	hipertensió	0.133	0.784	0.427
hypertrophy	hipertròfia	0.312	0.625	0.413
hyperventilate	hiperventilat	0.347	0.729	0.556
hyperventilating	hiperventilació	0.164	0.802	0.625
hyphen	guió	0.552	0.356	0.381
hypnosis	hipnosi	0.417	0.410	0.546
hypnotic	hipnòtic	0.571	0.560	0.569
hypnotist	hipnotitzador	0.490	0.455	0.627
hypnotize	hipnotitzar	0.469	0.507	0.508
hypnotized	hipnotitzat	0.449	0.434	0.380
hypochondriac	hipocondríac	0.194	0.588	0.333
hypocrisy	hipocresia	0.156	0.523	0.370
hypocrite	hipòcrita	0.082	0.673	0.306
hypocritical	hipòcrita	0.048	0.740	0.415
hypodermic	hipodèrmic	0.240	0.441	0.445
hypothalamus	hipotàlem	0.593	0.427	0.539
