Word	Croatian-hr	Valence	Arousal	Dominance
metastasis	metastaza	0.177	0.646	0.452
meteor	meteor	0.398	0.714	0.737
meteoric	meteorski	0.590	0.802	0.684
meteorite	meteorit	0.385	0.794	0.750
meteorological	meteorološki	0.635	0.557	0.556
meteorology	meteorologija	0.630	0.418	0.689
meter	metar	0.438	0.300	0.463
meth	met	0.354	0.564	0.340
methadone	metadon	0.240	0.540	0.453
methane	metan	0.290	0.460	0.569
methanol	metanol	0.292	0.500	0.570
method	način	0.640	0.275	0.698
methodical	metodičan	0.663	0.360	0.745
methodology	metodologija	0.664	0.327	0.745
meticulous	pedantan	0.555	0.480	0.555
metime	metime	0.531	0.398	0.417
metric	metrički	0.519	0.248	0.573
metrical	metrički	0.521	0.375	0.482
metrology	metrologija	0.531	0.432	0.439
metropolis	metropola	0.656	0.625	0.779
metropolitan	eparhijski	0.387	0.408	0.723
mettle	narav	0.667	0.529	0.750
mew	galeb	0.418	0.481	0.380
mezzanine	polukat	0.479	0.427	0.404
mica	liskun	0.531	0.250	0.314
mick	Mick	0.449	0.451	0.382
micro	mikro	0.500	0.270	0.250
microbe	mikrob	0.255	0.450	0.340
microbiology	mikrobiologija	0.571	0.378	0.560
microchip	mikročip	0.551	0.358	0.432
microcosm	mikrokosmos	0.500	0.500	0.520
microfilm	mikrofilm	0.469	0.352	0.412
microgram	mikrogram	0.448	0.286	0.355
micrometer	mikrometar	0.573	0.358	0.394
micron	mikron	0.375	0.291	0.315
microphone	mikrofon	0.551	0.431	0.462
microscope	mikroskop	0.531	0.330	0.464
microscopic	mikroskopski	0.360	0.327	0.433
microscopically	mikroskopski	0.623	0.370	0.412
microscopy	mikroskopija	0.500	0.339	0.455
microwave	mikrovalna pećnica	0.542	0.497	0.443
mid	srednji	0.500	0.315	0.356
midair	zraku	0.633	0.413	0.455
midday	podnevni	0.658	0.250	0.403
middle	srednji	0.458	0.157	0.300
middleman	posrednik	0.500	0.404	0.452
middleweight	bokser srednje kategorije	0.510	0.302	0.428
midget	patuljak	0.396	0.295	0.254
midland	midlandski	0.521	0.402	0.456
midlife	midlife	0.594	0.244	0.473
midline	središnji	0.332	0.224	0.330
midnight	ponoć	0.562	0.470	0.545
midshipman	pitomac vojno-pomorske akademije	0.469	0.615	0.785
midst	usred	0.324	0.275	0.296
midsummer	sredina leta	0.781	0.480	0.492
midterm	sredina semestra	0.427	0.337	0.425
midtown	midtown	0.479	0.442	0.538
midway	središnji	0.459	0.316	0.304
midwife	primalja	0.531	0.570	0.453
midwifery	akušerstvo	0.510	0.570	0.459
mien	NO TRANSLATION	0.500	0.352	0.447
miffed	miffed	0.204	0.726	0.429
mighty	moćan	0.855	0.837	0.936
mignon	Mignon	0.551	0.440	0.423
migraine	migrena	0.135	0.783	0.318
migrate	migrirati	0.415	0.580	0.454
migration	migracija	0.492	0.731	0.566
migratory	koji se seli	0.448	0.521	0.491
mike	mikrofon	0.542	0.365	0.423
mil	NO TRANSLATION	0.534	0.388	0.347
mild	blag	0.635	0.198	0.216
mildew	plijesan	0.344	0.250	0.241
mildness	blagost	0.827	0.226	0.311
mile	milja	0.521	0.417	0.456
mileage	kilometraža	0.510	0.458	0.562
milestone	prekretnica	0.719	0.373	0.558
militant	militantan	0.418	0.667	0.750
militants	militanti	0.260	0.673	0.652
military	vojni	0.396	0.710	0.875
militia	milicija	0.396	0.729	0.769
milk	mlijeko	0.817	0.270	0.327
milkman	mljekar	0.750	0.380	0.304
milkshake	milkshake	0.796	0.521	0.330
milky	mliječan	0.517	0.283	0.311
mill	mlin	0.531	0.382	0.347
millennium	milenijum	0.573	0.398	0.760
milligram	miligram	0.429	0.217	0.302
millimeter	milimetar	0.427	0.177	0.360
million	milijuna	0.776	0.647	0.812
millionaire	milioner	0.917	0.755	0.850
millionth	milioniti	0.635	0.528	0.611
millstone	mlinski kamen	0.510	0.433	0.492
mime	mimika	0.455	0.235	0.302
mimic	imitirati	0.557	0.587	0.391
mimicking	oponašajući	0.316	0.433	0.364
mimicry	mimika	0.420	0.337	0.472
mince	sjeckati	0.417	0.529	0.378
mincemeat	mljeveno meso	0.396	0.435	0.358
mind	um	0.650	0.388	0.627
minded	sklon	0.656	0.394	0.627
mindful	pažljiv	0.765	0.450	0.725
mindfulness	pomnost	0.729	0.635	0.745
mindless	nepromišljen	0.184	0.333	0.153
mine	rudnik	0.688	0.418	0.578
minefield	minsko polje	0.188	0.839	0.684
miner	rudar	0.408	0.594	0.644
mineral	mineral	0.519	0.287	0.605
mineralogy	mineralogija	0.551	0.408	0.545
mingle	miješati se	0.561	0.480	0.434
mingled	pomiješan	0.521	0.392	0.357
mini	mini	0.421	0.324	0.221
miniature	minijatura	0.429	0.292	0.204
minibus	minibus	0.439	0.390	0.428
minim	NO TRANSLATION	0.518	0.208	0.138
minimal	minimalan	0.448	0.147	0.206
minimize	umanjiti	0.360	0.236	0.311
minimized	svesti na minimum	0.458	0.137	0.208
minimum	minimum	0.380	0.198	0.194
mining	rudarstvo	0.633	0.598	0.554
minion	miljenik	0.490	0.430	0.167
minister	ministar	0.547	0.441	0.892
ministerial	ministarski	0.571	0.519	0.660
ministry	ministarstvo	0.510	0.346	0.717
minivan	kombi	0.592	0.356	0.452
mink	kanadska kuna	0.560	0.515	0.430
minnow	bjelica	0.541	0.367	0.364
minor	manji	0.250	0.235	0.175
minority	manjina	0.310	0.332	0.211
minstrel	minstrel	0.458	0.541	0.397
mint	menta	0.688	0.221	0.345
minty	minty	0.635	0.292	0.361
minuscule	minuskula	0.396	0.286	0.214
minute	minuta	0.582	0.279	0.356
minutiae	detalji	0.323	0.257	0.316
minx	namiguša	0.448	0.519	0.404
mir	NO TRANSLATION	0.417	0.339	0.355
miracle	čudo	0.917	0.607	0.806
miracles	čuda	0.922	0.735	0.692
miraculous	čudesan	0.875	0.706	0.812
mirage	fatamorgana	0.546	0.487	0.562
mire	NO TRANSLATION	0.344	0.376	0.298
mirror	ogledalo	0.677	0.310	0.438
mirth	razdraganost	0.888	0.640	0.608
misappropriation	pronevjera	0.097	0.831	0.500
misbehave	nedolično se ponašati	0.020	0.847	0.304
misbehavior	nedolično ponašanje	0.031	0.704	0.269
miscalculation	loša procjena	0.177	0.490	0.353
miscarriage	pobačaj	0.042	0.781	0.312
miscellaneous	razni	0.531	0.321	0.196
miscellany	mješavina	0.500	0.412	0.384
mischief	šteta	0.385	0.834	0.292
mischievous	nestašan	0.439	0.804	0.472
misconception	pogrešno shvaćanje	0.210	0.557	0.291
misconduct	nesportsko ponašanje	0.061	0.667	0.304
misdemeanor	prekršaj	0.210	0.640	0.364
misdirection	misdirection	0.131	0.710	0.281
miser	tvrdica	0.208	0.633	0.311
miserable	bijedan	0.062	0.461	0.188
miserably	jadno	0.280	0.545	0.150
misery	bijeda	0.146	0.378	0.158
misfire	zatajivanje	0.153	0.453	0.200
misfit	nepodoban	0.173	0.500	0.393
misfortune	nesreća	0.094	0.780	0.311
misguided	u zabludi	0.280	0.531	0.259
mishap	neuspjeh	0.071	0.654	0.227
misinformed	krivo	0.156	0.567	0.250
misinterpretation	pogrešna interpretacija	0.112	0.556	0.360
mislead	zavesti	0.167	0.765	0.412
misleading	varljiv	0.070	0.660	0.272
misled	zaveden	0.177	0.606	0.353
mismanagement	hrđavo upravljanje	0.094	0.520	0.295
mismatch	neslaganje	0.250	0.459	0.282
mismatched	neprilagođeno	0.250	0.557	0.302
misnomer	pogrešan naziv	0.296	0.528	0.284
misplace	izgubiti	0.229	0.461	0.191
misplaced	zagubljen	0.247	0.450	0.324
misread	pogrešno pročitati	0.115	0.558	0.315
misrepresent	pogrešno predstaviti	0.198	0.542	0.418
misrepresentation	netočno iznošenje	0.323	0.618	0.518
misrepresented	krivo	0.042	0.519	0.466
miss	propustiti	0.573	0.490	0.408
missile	raketa	0.240	0.830	0.764
missiles	rakete	0.070	0.922	0.830
missing	nedostaje	0.306	0.418	0.222
missingyou	NO TRANSLATION	0.260	0.471	0.377
mission	misija	0.765	0.633	0.870
missionary	misionar	0.729	0.404	0.596
misspell	pogrešno napisati	0.292	0.423	0.281
misstatement	neistina	0.302	0.547	0.221
missy	gospođica	0.521	0.480	0.333
mist	zamagliti	0.375	0.194	0.221
mistake	pogreška	0.208	0.585	0.102
mistaken	u zabludi	0.131	0.630	0.212
mister	gospodin	0.604	0.406	0.663
mistletoe	imela	0.542	0.470	0.324
mistreated	maltretirao	0.010	0.792	0.200
mistress	ljubavnica	0.630	0.796	0.694
mistrial	ništavan sudski postupak	0.427	0.539	0.536
mistrust	nepovjerenje	0.135	0.657	0.231
misty	maglovit	0.427	0.451	0.278
misunderstand	pogrešno razumjeti	0.177	0.548	0.382
misunderstanding	nesporazum	0.112	0.618	0.284
misunderstood	neshvaćen	0.177	0.625	0.309
misuse	zloupotreba	0.083	0.560	0.196
mite	obol	0.290	0.584	0.271
miter	mitra	0.458	0.500	0.414
mitigate	ublažiti	0.506	0.427	0.456
mitigating	ublažujući	0.551	0.520	0.600
mitigation	smanjenje	0.448	0.527	0.423
mitt	pesnica	0.406	0.183	0.264
mitten	NO TRANSLATION	0.531	0.330	0.408
mitzvah	mitzva	0.422	0.610	0.409
mix	miješati	0.542	0.490	0.472
mixed	mješovit	0.510	0.346	0.444
mixedemotions	pomiješani osjećaji	0.440	0.673	0.430
mixer	mikser	0.562	0.500	0.556
mixture	smjesa	0.546	0.360	0.481
mnemonic	mnemonički	0.531	0.480	0.452
moan	stenjati	0.357	0.735	0.352
moat	rov	0.398	0.380	0.314
mob	svjetina	0.296	0.788	0.567
mobile	mobilni	0.615	0.569	0.481
mobility	mobilnost	0.700	0.596	0.654
mobilization	mobilizacija	0.688	0.720	0.787
mobilize	mobilizirati	0.604	0.684	0.727
mobster	član organizovane bande	0.188	0.870	0.638
mocha	moka	0.500	0.396	0.311
mock	oponašanje	0.360	0.606	0.618
mocked	izrugivati	0.225	0.746	0.204
mockery	ruganje	0.094	0.806	0.181
mocking	rugajući	0.082	0.755	0.394
mockingbird	američki drozd	0.513	0.337	0.423
mod	modni	0.458	0.367	0.384
modal	modalni	0.592	0.264	0.461
modality	modalitet	0.633	0.404	0.527
mode	način	0.531	0.185	0.367
model	model	0.607	0.388	0.723
modeler	modelar	0.500	0.510	0.730
modeling	manekenstvo	0.684	0.404	0.490
modem	modem	0.573	0.355	0.500
moderate	umjeren	0.582	0.190	0.453
moderate anticipation	umjereno očekivanje	0.667	0.451	0.574
moderate disgust	umjereno gađenje	0.229	0.558	0.381
moderate negative	umjeren negativan	0.177	0.500	0.306
moderate positive	umjereno pozitivno	0.896	0.453	0.753
moderate surprise	umjereno iznenađenje	0.776	0.663	0.637
moderate trust	umjereno povjerenje	0.677	0.350	0.773
moderately	umjereno	0.604	0.264	0.500
moderating	moderiranja	0.667	0.402	0.783
moderation	umjerenost	0.531	0.240	0.453
moderator	posrednik	0.519	0.354	0.802
modern	moderan	0.855	0.423	0.691
modernism	modernizam	0.760	0.553	0.703
modest	skroman	0.760	0.130	0.412
modesty	skromnost	0.778	0.240	0.500
modicum	mala količina	0.234	0.417	0.327
modifiable	izmjenljiv	0.541	0.422	0.373
modification	modifikacija	0.480	0.520	0.625
modified	promijenjen	0.561	0.458	0.693
modify	izmijeniti	0.458	0.584	0.625
modulate	modulirati	0.673	0.343	0.555
modulation	modulacija	0.458	0.365	0.565
module	modul	0.582	0.388	0.571
modulus	modul	0.622	0.304	0.481
mogul	grba na pisti za skijanje	0.510	0.652	0.865
moiety	polovina	0.378	0.343	0.454
moist	vlažan	0.470	0.316	0.386
moisture	vlaga	0.406	0.398	0.327
moisturizer	ovlaživač	0.750	0.280	0.386
molar	kutnjak	0.544	0.426	0.350
molasses	melasa	0.490	0.269	0.286
mold	kalup	0.330	0.274	0.402
molded	moulded	0.667	0.361	0.373
molding	oblikovanje	0.552	0.308	0.546
moldy	pljesniv	0.235	0.387	0.250
mole	madež	0.436	0.377	0.352
molecular	molekularna	0.495	0.440	0.536
molecule	molekula	0.531	0.259	0.375
molest	dosađivati	0.133	0.816	0.319
molestation	zlostavljanje	0.102	0.808	0.407
molester	molester	0.143	0.811	0.478
molten	rastopljen	0.417	0.490	0.339
mom	mama	0.927	0.336	0.639
moment	trenutak	0.604	0.435	0.509
momentary	prolazan	0.562	0.271	0.330
momentous	važan	0.792	0.587	0.760
momentum	moment	0.663	0.750	0.688
momma	mama	0.833	0.412	0.527
mommy	mamica	0.854	0.353	0.422
monad	monada	0.510	0.482	0.451
monarch	monarh	0.583	0.559	0.870
monarchy	monarhija	0.450	0.557	0.870
monastery	samostan	0.694	0.183	0.726
monastic	monaški	0.438	0.314	0.676
monetary	monetarni	0.583	0.494	0.716
money	novac	0.844	0.608	0.827
mongoloid	mongoloidan	0.177	0.364	0.317
mongoose	mungos	0.327	0.380	0.546
mongrel	melez	0.425	0.438	0.395
monitor	monitor	0.490	0.298	0.538
monk	redovnik	0.472	0.208	0.439
monkey	majmun	0.548	0.449	0.283
mono	NO TRANSLATION	0.500	0.390	0.273
monochrome	jednobojna slika	0.312	0.292	0.339
monogamous	monogamski	0.510	0.335	0.402
monogamy	monogamija	0.542	0.380	0.455
monogram	monogram	0.480	0.210	0.425
monogrammed	monogramom	0.503	0.270	0.402
monograph	monografija	0.500	0.242	0.481
monolayer	jednoslojna	0.427	0.294	0.433
monolith	monolit	0.429	0.327	0.500
monologue	monolog	0.500	0.284	0.534
monopolist	monopolist	0.330	0.590	0.725
monopoly	monopol	0.449	0.509	0.640
monotonous	monoton	0.354	0.221	0.400
monotony	monotonija	0.398	0.135	0.353
monoxide	monoksid	0.433	0.430	0.490
monsieur	monsenjer	0.552	0.340	0.623
monsoon	monsun	0.358	0.600	0.481
monster	čudovište	0.133	0.935	0.596
monstrosity	monstruoznost	0.094	0.933	0.611
monstrous	monstruozan	0.094	0.942	0.649
montage	montaža	0.438	0.520	0.388
monte	monte	0.589	0.330	0.391
month	mjesec	0.688	0.255	0.411
monthly	mjesečno	0.622	0.314	0.364
monument	spomenik	0.833	0.404	0.811
monumental	monumentalan	0.656	0.594	0.955
moo	mukati	0.438	0.355	0.300
mooch	lunjati	0.378	0.413	0.309
mood	raspoloženje	0.720	0.500	0.500
moods	raspoloženja	0.578	0.633	0.491
moody	ćudljiv	0.245	0.811	0.595
moon	mjesec	0.673	0.233	0.547
moonbeam	mjesečev zrak	0.700	0.290	0.491
moonlight	mjesečina	0.865	0.264	0.409
moonlit	obasjan mjesečinom	0.873	0.269	0.508
moonshine	mjesečina	0.633	0.389	0.491
moonstruck	ćaknut	0.583	0.438	0.407
moonwalk	Moonwalk	0.615	0.586	0.525
moor	vezati	0.311	0.464	0.378
moored	usidrene	0.344	0.500	0.417
mooring	sidrište	0.323	0.490	0.444
moorings	spokojstvo	0.406	0.500	0.516
moorland	vrijesište	0.490	0.370	0.456
moose	Los	0.648	0.373	0.318
moot	sporan	0.344	0.500	0.615
mooted	raspravlja	0.388	0.580	0.463
mop	otrti	0.396	0.442	0.296
mope	sanjalo	0.406	0.309	0.345
moped	moped	0.582	0.582	0.554
moral	moralan	0.700	0.459	0.796
morale	moral	0.729	0.158	0.792
morality	moralnost	0.750	0.408	0.759
morals	moral	0.646	0.430	0.611
morass	močvara	0.387	0.348	0.375
moratorium	moratorijum	0.337	0.427	0.373
moray	Moray	0.510	0.402	0.463
morbid	morbidan	0.090	0.833	0.395
morbidity	morbidnost	0.370	0.630	0.443
morbidness	morbidness	0.120	0.694	0.339
mores	običaji	0.582	0.317	0.684
morgue	mrtvačnica	0.022	0.539	0.241
moribund	na umoru	0.083	0.488	0.167
morn	jutro	0.542	0.284	0.345
morning	jutro	0.688	0.235	0.444
moron	kreten	0.133	0.587	0.183
moronic	kretenski	0.122	0.500	0.224
morose	zlovoljan	0.240	0.663	0.264
morph	Morph	0.448	0.469	0.451
morphine	morfin	0.229	0.490	0.496
morphism	morphism	0.398	0.549	0.386
morphology	morfologija	0.516	0.373	0.639
morrow	sljedeći dan	0.708	0.314	0.490
morsel	zalogaj	0.490	0.296	0.400
mortal	smrtan	0.196	0.786	0.510
mortality	smrtnost	0.229	0.726	0.518
mortar	malter	0.333	0.627	0.562
mortgage	hipoteka	0.255	0.408	0.537
mortgagee	hipotekarni povjerilac	0.418	0.633	0.723
mortgagor	mortgagor	0.431	0.522	0.490
mortician	pogrebnik	0.104	0.429	0.275
mortification	mučenje	0.135	0.644	0.404
mortified	ponižen	0.073	0.731	0.270
mortuary	mrtvačnica	0.133	0.606	0.427
mosaic	mozaik	0.635	0.250	0.302
mosey	ići	0.521	0.402	0.330
mosque	džamija	0.542	0.352	0.528
mosquito	komarac	0.229	0.400	0.198
moss	mahovina	0.235	0.270	0.245
mossy	obrastao mahovinom	0.375	0.329	0.286
mote	NO TRANSLATION	0.375	0.388	0.260
motel	motel	0.531	0.372	0.450
moth	moljac	0.323	0.350	0.196
mother	majka	0.931	0.408	0.725
motherfucker	motherfucker	0.122	0.827	0.351
motherfucking	jebeno	0.071	0.823	0.373
motherhood	majčinstvo	0.844	0.546	0.667
motherland	otadžbina	0.677	0.375	0.731
motherless	bez majke	0.163	0.541	0.337
motherly	majčinski	0.927	0.324	0.710
motif	motiv	0.688	0.481	0.527
motion	pokret	0.667	0.538	0.657
motionless	nepokretan	0.323	0.210	0.246
motivate	motivirati	0.812	0.776	0.873
motivating	motivirajući	0.958	0.820	0.787
motivation	motivacija	0.854	0.784	0.802
motivational	motivacijski	0.906	0.646	0.858
motive	motiv	0.667	0.588	0.663
motley	odijelo	0.480	0.398	0.412
motor	motor	0.531	0.551	0.648
motorbike	motocikl	0.552	0.608	0.616
motorboat	motorni čamac	0.677	0.500	0.390
motorcade	povorka automobila	0.708	0.730	0.593
motorcar	automobil	0.694	0.565	0.682
motorcycle	motorcikl	0.677	0.764	0.713
motorist	vozač	0.562	0.663	0.578
motte	Motte	0.481	0.389	0.370
mottled	išaran	0.380	0.336	0.295
motto	moto	0.688	0.317	0.439
mould	kalup	0.357	0.176	0.246
mound	nasip	0.520	0.481	0.509
mount	montiranje	0.500	0.292	0.348
mountain	planina	0.698	0.408	0.649
mountaineer	planinar	0.635	0.774	0.535
mountainous	planinski	0.635	0.519	0.612
mountains	planine	0.766	0.433	0.569
mountaintop	vrh planine	0.653	0.541	0.713
mourn	tugovati	0.056	0.583	0.150
mournful	žalostan	0.180	0.441	0.188
mourning	žalost	0.177	0.490	0.266
mouse	miš	0.427	0.441	0.206
mousetrap	mišolovka	0.180	0.643	0.330
mousse	mus	0.604	0.336	0.368
moustache	brkovi	0.470	0.236	0.409
mousy	plašljiv	0.480	0.413	0.339
mouth	usta	0.734	0.294	0.336
mouthful	zalogaj	0.609	0.565	0.389
mouthpiece	pisak	0.573	0.346	0.393
mouthwash	tečnost za ispiranje usta	0.438	0.385	0.352
movable	pomičan	0.469	0.509	0.500
move	potez	0.656	0.647	0.670
movement	pokret	0.656	0.654	0.658
mover	pokretač	0.615	0.539	0.466
movie	film	0.792	0.560	0.471
movies	filmovi	0.724	0.426	0.472
moving	kreće	0.479	0.673	0.358
movingforward	NO TRANSLATION	0.857	0.518	0.848
movingon	idemo dalje	0.490	0.529	0.435
mow	kositi	0.420	0.559	0.393
mower	kosilica	0.458	0.510	0.368
moxie	Moxie	0.531	0.490	0.366
mozzarella	mozzarella	0.653	0.265	0.340
mri	MRI	0.365	0.431	0.349
muchneeded	NO TRANSLATION	0.438	0.602	0.455
mucis	NO TRANSLATION	0.398	0.418	0.420
muck	đubre	0.347	0.423	0.272
mucked	mucked	0.184	0.500	0.373
mucous	sluzav	0.330	0.296	0.293
mucus	sluz	0.143	0.309	0.228
mud	blato	0.333	0.260	0.185
muddle	zbrka	0.184	0.710	0.336
muddled	zbrkan	0.250	0.615	0.263
muddy	blatan	0.292	0.400	0.283
muff	muf	0.542	0.335	0.314
muffin	kolač	0.684	0.430	0.306
muffled	prigušen	0.479	0.330	0.421
muffler	šal	0.357	0.407	0.454
mug	šalica	0.542	0.214	0.382
mugger	pljačkaš	0.125	0.850	0.500
mulberry	dud	0.469	0.315	0.361
mulch	zagrtati biljke	0.349	0.361	0.383
mule	mazga	0.320	0.337	0.254
mull	pobrkati	0.663	0.340	0.594
mullet	cipal	0.521	0.356	0.377
multilateral	mnogostran	0.500	0.469	0.705
multimedia	multimedijalni	0.611	0.390	0.607
multinational	multinacionalna	0.656	0.510	0.842
multiple	višekratnik	0.660	0.510	0.578
multiple sclerosis	Multipla skleroza	0.188	0.587	0.483
multiplex	mnogostruk	0.610	0.590	0.667
multiplication	množenje	0.646	0.565	0.762
multiplicity	mnoštvo	0.677	0.490	0.777
multiplied	množe	0.802	0.559	0.729
multiplier	multiplikator	0.643	0.615	0.741
multiply	pomnožiti	0.802	0.625	0.777
multitude	mnoštvo	0.562	0.765	0.847
mum	mama	0.802	0.317	0.698
mumble	mrmljanje	0.292	0.444	0.245
mumbo	lari	0.429	0.506	0.336
mummy	mumija	0.400	0.588	0.415
mumps	zaušnjaci	0.099	0.410	0.311
munch	grickati	0.541	0.277	0.434
munchies	munchies	0.562	0.470	0.491
munchkin	Munchkin	0.490	0.466	0.374
mundane	zemaljski	0.312	0.420	0.480
municipal	općinski	0.625	0.390	0.758
municipality	općina	0.569	0.280	0.614
mural	mural	0.551	0.265	0.454
murder	ubiti	0.061	0.942	0.615
murderer	ubica	0.010	0.960	0.650
murderess	žena ubica	0.041	0.941	0.462
murderous	ubitačan	0.017	0.940	0.682
murky	taman	0.143	0.618	0.370
murmur	šum	0.458	0.520	0.200
muscle	mišić	0.359	0.490	0.645
muscular	mišićni	0.531	0.434	0.577
muse	muza	0.760	0.360	0.509
muses	muze	0.714	0.434	0.571
museum	muzej	0.792	0.206	0.481
mush	NO TRANSLATION	0.500	0.311	0.125
mushroom	gljiva	0.490	0.274	0.269
mushy	sentimentalan	0.520	0.200	0.182
music	glazba, muzika	0.833	0.563	0.605
musical	mjuzikl	0.908	0.630	0.530
musician	glazbenik	0.816	0.509	0.618
musing	razmišljajući	0.740	0.151	0.465
musk	mošus	0.469	0.454	0.453
musket	mušketa	0.260	0.654	0.510
musketeer	mušketir	0.694	0.569	0.705
muskrat	mošusni štakor	0.439	0.510	0.368
muslin	muslin	0.439	0.304	0.352
muss	NO TRANSLATION	0.418	0.438	0.302
must	mora	0.408	0.382	0.441
mustang	mustang	0.635	0.642	0.708
mustard	senf	0.500	0.346	0.275
muster	prozivka	0.635	0.460	0.548
musty	pljesniv	0.354	0.367	0.267
mutable	promjenljiv	0.426	0.531	0.491
mutant	mutantni	0.337	0.676	0.573
mutate	mutirati	0.281	0.548	0.463
mutation	mutacija	0.365	0.625	0.611
mute	nijem	0.271	0.200	0.250
muted	prigušen	0.260	0.167	0.162
mutilate	sakatiti	0.125	0.900	0.465
mutilated	unakazio	0.041	0.841	0.356
mutilation	sakaćenje	0.122	0.782	0.456
mutiny	pobuna	0.323	0.890	0.549
mutt	džukela	0.418	0.408	0.387
mutter	NO TRANSLATION	0.406	0.427	0.228
mutton	ovčetina	0.427	0.283	0.393
mutual	zajednički	0.729	0.321	0.464
mutually	uzajamno	0.844	0.490	0.582
muzzle	njuška	0.388	0.430	0.232
myfavorite	moj favorit	0.812	0.587	0.615
myopia	kratkovidost	0.245	0.387	0.226
myopic	kratkovidan	0.344	0.396	0.218
myriad	bezbroj	0.480	0.429	0.550
mysterious	misteriozan	0.448	0.699	0.455
mystery	misterija	0.417	0.667	0.519
mystic	mističan	0.643	0.520	0.535
mystical	mističan	0.594	0.443	0.689
mysticism	misticizam	0.594	0.598	0.423
mystified	tajnovit	0.344	0.600	0.509
mystique	mistik	0.668	0.633	0.667
myth	mit	0.458	0.432	0.338
mythic	mitsko	0.635	0.528	0.645
mythical	mitski	0.625	0.556	0.583
mythological	mitološki	0.760	0.573	0.658
mythology	mitologija	0.684	0.439	0.688
nab	uhapsiti	0.469	0.544	0.407
nacho	Nacho	0.667	0.259	0.333
nada	NO TRANSLATION	0.250	0.231	0.136
nadir	nadir	0.479	0.363	0.424
nag	NO TRANSLATION	0.271	0.451	0.472
nail	čavao	0.469	0.397	0.282
nail gun	pištolj za nokte	0.378	0.806	0.574
naive	naivan	0.406	0.260	0.375
naked	go	0.323	0.885	0.288
nakedness	golotinja	0.480	0.760	0.350
namaste	NO TRANSLATION	0.719	0.255	0.464
name	Ime	0.573	0.300	0.415
named	pod nazivom	0.562	0.396	0.565
nameless	bezimen	0.344	0.280	0.164
namesake	imenjak	0.418	0.327	0.404
naming	imenovanje	0.667	0.410	0.559
nana	Nana	0.765	0.255	0.375
nanny	dadilja	0.615	0.370	0.528
nanometer	nanometar	0.375	0.356	0.446
nap	drijemež	0.660	0.098	0.342
napalm	napalm	0.265	0.580	0.471
nape	potiljak	0.427	0.268	0.298
napkin	ubrus	0.469	0.142	0.209
napping	drijemajući	0.765	0.046	0.306
nappy	sanjiv	0.529	0.333	0.207
narcissism	narcisizam	0.214	0.639	0.540
narcissist	narcista	0.173	0.614	0.629
narcissistic	narcisoidni	0.323	0.708	0.655
narcotic	narkotik	0.102	0.858	0.450
narrate	pripovijedati	0.541	0.480	0.473
narration	naracija	0.622	0.408	0.551
narrative	pripovijest	0.580	0.303	0.443
narrator	pripovjedač	0.673	0.430	0.623
narrow	suziti	0.260	0.368	0.356
narrowing	sužavanje	0.354	0.593	0.357
nasal	nosni	0.479	0.340	0.330
nascent	početni	0.684	0.373	0.585
nasty	gadan	0.115	0.620	0.264
natal	natalni	0.755	0.462	0.481
nation	narod	0.594	0.443	0.821
national	nacionalna	0.698	0.365	0.663
nationality	nacionalnost	0.642	0.400	0.772
nationwide	svenarodni	0.684	0.217	0.672
native	domaći	0.635	0.422	0.710
nativity	Mala Gospojina	0.750	0.337	0.673
natural	prirodni	0.854	0.118	0.481
natural gas	prirodni gas	0.635	0.324	0.396
naturalist	prirodoslovac	0.844	0.255	0.562
naturalization	naturalizacija	0.781	0.279	0.652
naturalized	naturalizirani	0.760	0.333	0.600
naturally	prirodno	0.854	0.276	0.549
nature	priroda	0.857	0.184	0.643
naught	nula	0.344	0.176	0.161
naughty	zločest	0.451	0.857	0.371
nausea	mučnina	0.104	0.781	0.273
nauseate	smučiti se	0.062	0.660	0.176
nauseating	odvratan	0.021	0.640	0.250
nauseous	gadan	0.135	0.780	0.284
nautical	pomorski	0.646	0.250	0.579
nautilus	nautilus	0.396	0.509	0.517
naval	mornarički	0.542	0.449	0.679
nave	brod	0.583	0.448	0.585
navel	pupak	0.448	0.261	0.276
navigable	plovan	0.749	0.406	0.645
navigate	ploviti	0.740	0.555	0.675
navigation	navigacija	0.841	0.470	0.720
navigational	navigacijski	0.573	0.481	0.564
navigator	navigator	0.583	0.592	0.623
navy	mornarica	0.531	0.760	0.764
nay	NO TRANSLATION	0.344	0.290	0.325
nearsighted	kratkovidan	0.271	0.373	0.265
neat	uredan	0.878	0.235	0.491
neatly	krasno	0.802	0.412	0.588
nebula	maglina	0.510	0.418	0.438
nebulae	maglica	0.490	0.330	0.472
nebulous	maglovit	0.469	0.347	0.417
necessarily	obavezno	0.667	0.423	0.598
necessary	potreban	0.750	0.433	0.679
necessitate	zahtijevati	0.578	0.604	0.516
necessities	potrepštine	0.520	0.630	0.463
necessity	nužnost	0.567	0.471	0.588
neck	vrat	0.541	0.245	0.345
necklace	ogrlica	0.760	0.294	0.373
necktie	kravata	0.583	0.229	0.314
necromancer	prizivač duhova	0.333	0.625	0.536
necrosis	nekroza	0.115	0.622	0.385
nectar	nektar	0.746	0.331	0.398
need	potreba	0.510	0.574	0.200
needalife	NO TRANSLATION	0.490	0.443	0.394
needed	potreban	0.677	0.342	0.679
needful	potreban	0.582	0.460	0.614
needit	NO TRANSLATION	0.250	0.472	0.356
