Word	Korean-ko	Valence	Arousal	Dominance
intact	손대지 않은	0.716	0.212	0.602
intake	섭취	0.604	0.527	0.442
intangible	만질 수 없는	0.525	0.480	0.473
integer	정수	0.573	0.327	0.595
integral	완전한	0.590	0.337	0.615
integrate	통합하다	0.729	0.390	0.700
integration	완성	0.771	0.480	0.737
integrity	청렴	0.865	0.413	0.848
intellect	지력	0.844	0.418	0.870
intellectual	지적인	0.906	0.455	0.845
intelligence	지성	0.833	0.587	0.885
intelligent	지적인	0.917	0.541	0.868
intelligibility	이해할 수 있음	0.740	0.481	0.689
intelligible	이해할 수 있는	0.635	0.480	0.691
intend	의도하다	0.562	0.520	0.519
intended	예정된	0.406	0.542	0.587
intending	의도하는	0.510	0.567	0.597
intense	심한	0.592	0.774	0.679
intensely	격렬히	0.694	0.846	0.750
intensify	강하게 하다	0.604	0.870	0.737
intensity	강렬	0.622	0.930	0.952
intensive	강한	0.570	0.842	0.776
intent	의지	0.550	0.481	0.500
intention	의향	0.531	0.480	0.636
intentional	의도적 인	0.650	0.615	0.750
intentionally	의도적으로	0.450	0.676	0.696
inter	중간	0.510	0.375	0.466
interact	상호 작용하다	0.822	0.690	0.759
interaction	상호 작용	0.646	0.735	0.750
interactive	상호 작용하는	0.727	0.811	0.770
intercede	중재하다	0.582	0.577	0.630
intercept	요격하다	0.221	0.660	0.676
interception	차단	0.327	0.673	0.643
intercession	중재	0.503	0.486	0.598
interchange	교환	0.615	0.527	0.565
interchangeable	교환 할 수있는	0.615	0.459	0.526
interchanged	교환 된	0.396	0.472	0.434
intercom	선내 통화 장치	0.623	0.429	0.453
intercourse	교통	0.551	0.608	0.557
interdependence	상호 의존	0.608	0.618	0.639
interdependent	상호 의존적 인	0.410	0.482	0.598
interdiction	금지	0.337	0.500	0.585
interest	관심	0.780	0.667	0.618
interested	관심있는	0.750	0.529	0.725
interesting	재미있는	0.927	0.726	0.731
interface	인터페이스	0.643	0.357	0.600
interfere	방해하다	0.323	0.714	0.471
interference	간섭	0.396	0.736	0.357
interferometer	간섭계	0.510	0.510	0.517
intergalactic	은하계의	0.562	0.661	0.741
interim	짬	0.604	0.400	0.524
interior	내부	0.618	0.157	0.462
interject	끼어 들다	0.333	0.648	0.658
interlocutory	대담	0.490	0.500	0.527
interlude	막간	0.470	0.417	0.377
intermediary	중개인	0.427	0.510	0.643
intermediate	중급의	0.480	0.368	0.400
interment	개입	0.235	0.608	0.346
interminable	끝내주는	0.327	0.481	0.561
intermission	중지	0.490	0.360	0.402
intermittent	간헐적 인	0.337	0.565	0.436
intern	인턴	0.459	0.460	0.392
internal	내부의	0.439	0.349	0.423
internally	내부적으로	0.615	0.400	0.616
international	국제 노동자 동맹	0.800	0.519	0.702
internet	인터넷	0.760	0.462	0.755
internship	인턴쉽	0.590	0.510	0.482
interoffice	사내	0.439	0.375	0.556
interpolate	보간하다	0.460	0.490	0.569
interpolation	보간법	0.419	0.506	0.528
interpret	새기다	0.646	0.625	0.673
interpretation	해석	0.677	0.594	0.620
interpreter	통역사	0.708	0.461	0.596
interpretive	해석적인	0.531	0.549	0.595
interrelated	상호 관련있는	0.615	0.469	0.592
interrogate	심문하다	0.323	0.808	0.680
interrogation	질문	0.302	0.827	0.657
interrupt	일시 정지	0.210	0.635	0.509
interrupted	중단 된	0.281	0.559	0.333
interrupting	방해하는	0.146	0.593	0.509
interruption	중단	0.184	0.632	0.425
interrupts	인터럽트	0.204	0.545	0.389
intersect	교차하다	0.521	0.510	0.480
intersection	교차로	0.344	0.541	0.658
interstate	고속도로	0.520	0.443	0.600
interstellar	성간	0.708	0.702	0.622
interstitial	삽입 광고	0.333	0.471	0.534
interval	간격	0.510	0.284	0.400
intervene	개입하다	0.520	0.677	0.768
intervening	개입하는	0.398	0.627	0.442
intervention	중재	0.388	0.696	0.689
interview	회견	0.573	0.770	0.619
interviewer	면접관	0.552	0.736	0.816
interworking	연동	0.552	0.587	0.691
intestate	유언 없는 사망자	0.459	0.467	0.415
intestinal	장의	0.357	0.531	0.370
intestine	장	0.343	0.450	0.380
intestines	장	0.292	0.547	0.398
intimacy	친밀	0.857	0.802	0.558
intimate	친밀한	0.724	0.598	0.393
intimately	친밀하게	0.806	0.573	0.590
intimation	통고	0.406	0.673	0.500
intimidate	협박하다	0.210	0.804	0.632
intimidated	겁 먹은	0.177	0.663	0.208
intimidating	협박하는	0.229	0.790	0.708
intimidation	위협	0.177	0.791	0.644
intolerable	참을 수없는	0.146	0.660	0.439
intolerance	견딜 수 없기	0.052	0.704	0.520
intolerant	편협한	0.135	0.676	0.509
intonation	인토네이션	0.615	0.442	0.598
intoxicated	술에 취한	0.079	0.824	0.246
intoxicating	취하게하는	0.224	0.760	0.464
intoxication	취함	0.323	0.710	0.400
intracranial	두개 내	0.281	0.602	0.553
intractable	다루기 힘든	0.154	0.694	0.302
intramural	교내의	0.490	0.464	0.447
intravenous	정맥	0.357	0.538	0.458
intrepid	용맹 한	0.753	0.696	0.637
intricate	뒤얽힌	0.559	0.704	0.500
intrigue	음모	0.362	0.830	0.327
intriguing	흥미 진진한	0.422	0.713	0.462
intrinsic	본질적인	0.406	0.471	0.526
intrinsically	본질적으로	0.459	0.382	0.538
intro	소개	0.510	0.331	0.657
introduce	끼워 넣다	0.592	0.559	0.648
introduction	소개	0.612	0.413	0.640
introductory	입문	0.635	0.368	0.593
introspection	내성	0.603	0.337	0.575
introspective	내성적 인	0.552	0.360	0.471
intrude	침입하다	0.058	0.735	0.480
intruder	침입자	0.146	0.740	0.324
intrusion	강요	0.293	0.641	0.670
intrusive	관입하는	0.461	0.607	0.538
intubation	삽관 법	0.276	0.598	0.526
intuition	직관	0.857	0.508	0.602
intuitive	직관적 인	0.771	0.573	0.690
intuitively	직관적으로	0.670	0.561	0.648
inundation	범람	0.177	0.780	0.455
invade	침략하다	0.408	0.892	0.714
invader	침입자	0.200	0.827	0.618
invalid	무효의	0.180	0.330	0.255
invalidate	무효화하다	0.315	0.480	0.397
invalidation	무효화	0.181	0.490	0.278
invalidity	무효	0.186	0.394	0.158
invaluable	매우 귀중한	0.740	0.500	0.745
invariably	변함없이	0.458	0.365	0.550
invasion	침입	0.271	0.843	0.808
invasive	침략적인	0.194	0.730	0.598
invent	꾸미다	0.719	0.689	0.833
invention	발명	0.714	0.577	0.811
inventive	독창적 인	0.780	0.627	0.721
inventor	발명자	0.781	0.667	0.847
inventory	목록	0.594	0.463	0.490
inverse	역	0.459	0.337	0.319
inversely	반대로	0.286	0.418	0.351
inversion	전도	0.602	0.630	0.772
invert	거꾸로 하다	0.510	0.585	0.706
inverted	거꾸로 된	0.310	0.471	0.357
invest	사다	0.650	0.663	0.682
investigate	파다	0.640	0.500	0.781
investigation	조사	0.531	0.592	0.820
investigative	조사의	0.562	0.600	0.704
investigator	조사자	0.615	0.509	0.779
investment	투자	0.720	0.592	0.745
investor	투자자	0.794	0.655	0.791
invidious	무모한	0.112	0.650	0.364
invigorate	기운을 북돋우다	0.821	0.798	0.831
invincible	무적의	0.867	0.853	0.914
invisibility	보이지 않는	0.438	0.461	0.382
invisible	보이지 않는	0.417	0.345	0.412
invitation	초대	0.802	0.549	0.647
invite	초대	0.745	0.655	0.611
inviting	초대하다	0.938	0.571	0.538
invocation	기도	0.430	0.620	0.673
invoice	송장	0.480	0.380	0.474
invoke	~을 부르다	0.583	0.740	0.579
involuntary	무의식의	0.354	0.490	0.231
involution	퇴화	0.296	0.420	0.407
involve	감다	0.694	0.490	0.728
involvement	개입	0.760	0.620	0.696
invulnerable	무적의	0.552	0.683	0.745
inwards	내향의	0.490	0.385	0.438
iodine	요오드	0.390	0.265	0.333
ion	이온	0.429	0.330	0.408
iota	이오타	0.344	0.385	0.314
irate	침을 뱉다	0.188	0.852	0.474
ire	NO TRANSLATION	0.198	0.740	0.575
iridescent	무지개 빛깔의	0.602	0.588	0.539
iris	아이리스	0.708	0.275	0.380
irked	어색한	0.164	0.791	0.353
irks	얼간이	0.276	0.781	0.339
iron	철	0.448	0.351	0.679
ironclad	철갑	0.561	0.648	0.679
ironic	아이러니 한	0.435	0.550	0.500
irons	족쇄	0.531	0.441	0.625
irony	반어	0.390	0.587	0.508
irradiation	조사	0.385	0.736	0.509
irrational	비이성적 인	0.125	0.648	0.394
irrationality	비합리적인	0.198	0.735	0.361
irreconcilable	화해 할 수없는	0.146	0.667	0.375
irreducible	줄일 수 없는	0.296	0.455	0.569
irrefutable	반박 할 수없는	0.496	0.549	0.716
irregular	불규칙한	0.312	0.548	0.321
irregularity	불규칙	0.104	0.647	0.306
irregularly	불규칙하게	0.292	0.565	0.397
irrelevant	무의미한	0.138	0.311	0.296
irreparable	돌이킬 수없는	0.061	0.530	0.430
irreplaceable	바꾸어 놓을 수 없는	0.479	0.580	0.833
irrepressible	누를 수 없는	0.512	0.566	0.745
irresistible	누를 수 없는	0.823	0.833	0.839
irrespective	무의미한	0.497	0.538	0.745
irresponsible	책임지지 않는	0.177	0.680	0.241
irreverent	불경스런	0.191	0.694	0.634
irreversible	뒤집을 수 없는	0.170	0.541	0.667
irrevocable	취소 할 수없는	0.296	0.560	0.712
irrigate	관개하다	0.272	0.458	0.490
irrigation	관개	0.259	0.426	0.426
irritability	과민 반응	0.146	0.853	0.283
irritable	민감한	0.112	0.952	0.462
irritate	짜증나게 하다	0.167	0.890	0.368
irritated	자극받은	0.210	0.816	0.281
irritates	자극적이다	0.173	0.810	0.295
irritating	화나게 하는	0.104	0.912	0.393
irritation	짜증나게 하는 것	0.073	0.833	0.496
island	섬	0.745	0.347	0.432
isle	섬	0.667	0.390	0.443
islet	작은 섬	0.612	0.314	0.367
isolate	격리하다	0.235	0.422	0.336
isolated	외딴	0.221	0.356	0.255
isolation	격리	0.198	0.338	0.339
isomorphism	등 동성	0.448	0.361	0.481
isothermal	等温	0.459	0.491	0.500
isotope	동위 원소	0.429	0.404	0.407
issue	발행물	0.316	0.819	0.351
itch	가려움	0.319	0.610	0.465
itching	가려움증	0.208	0.690	0.300
itchy	옴에 걸린	0.334	0.726	0.296
item	목	0.594	0.270	0.465
itemize	항목을 나누다	0.459	0.527	0.518
items	항목	0.542	0.401	0.434
iterate	반복하다	0.449	0.460	0.440
iteration	되풀이	0.531	0.449	0.486
iterative	반복적 인	0.429	0.420	0.500
itinerant	순회	0.449	0.545	0.439
itinerary	여정	0.551	0.550	0.454
ivory	상아	0.625	0.235	0.566
jab	갑자기 찌르기	0.385	0.519	0.482
jabber	재잘 거림	0.417	0.506	0.342
jack	잭	0.487	0.450	0.441
jackal	재칼	0.333	0.582	0.436
jackass	수탕나귀	0.188	0.692	0.279
jacket	재킷	0.656	0.302	0.382
jackhammer	잭 해머	0.199	0.690	0.519
jackpot	공동 자금	0.950	0.750	0.786
jackrabbit	자라 비트	0.625	0.379	0.344
jacks	잭스	0.490	0.400	0.505
jade	옥	0.604	0.410	0.455
jaded	지칠 대로 지친	0.255	0.560	0.400
jag	NO TRANSLATION	0.408	0.440	0.427
jagged	들쭉날쭉 한	0.082	0.462	0.213
jaguar	재규어	0.559	0.710	0.654
jail	교도소	0.094	0.898	0.480
jailbird	상습범	0.240	0.567	0.473
jailbreak	탈옥	0.354	0.629	0.471
jailer	교도관	0.194	0.630	0.632
jailhouse	교도소	0.104	0.887	0.430
jalopy	구식 자동차	0.396	0.436	0.337
jam	잼	0.510	0.548	0.318
jamboree	흥겨운 소동	0.602	0.625	0.351
jammed	걸린	0.235	0.817	0.411
jammer	방해 전파	0.417	0.540	0.491
janitor	관리인	0.510	0.350	0.527
janitorial	수위의	0.490	0.373	0.481
japan	일본	0.667	0.482	0.580
jar	항아리	0.430	0.346	0.318
jargon	특수 용어	0.333	0.548	0.404
jarhead	자작 나무	0.408	0.530	0.464
jarring	부조화	0.210	0.673	0.309
jasmine	재스민 속	0.765	0.230	0.286
jasper	벽옥	0.480	0.425	0.402
jaundice	황달	0.214	0.480	0.355
jaunt	소풍	0.808	0.451	0.500
java	자바	0.459	0.321	0.343
javelin	던지는 창	0.385	0.481	0.465
jaw	턱	0.500	0.510	0.420
jawbone	턱뼈	0.468	0.413	0.342
jaws	입 부분	0.385	0.528	0.455
jay	어치	0.531	0.408	0.389
jazz	재즈	0.677	0.362	0.450
jazzy	재잘 거림	0.725	0.431	0.389
jealous	질투심 많은	0.173	0.855	0.345
jealousy	질투	0.146	0.783	0.481
jean	진 피륙	0.602	0.444	0.364
jeans	청바지	0.622	0.324	0.371
jeep	지프	0.602	0.510	0.612
jeering	지껄임	0.266	0.792	0.380
jelly	젤리	0.651	0.294	0.256
jellybean	젤리 빈	0.592	0.406	0.399
jellyfish	해파리	0.531	0.567	0.377
jenny	제니	0.542	0.406	0.407
jeopardize	위태롭게 하다	0.260	0.877	0.582
jeopardy	위험	0.129	0.908	0.536
jerk	얼간이	0.194	0.630	0.238
jerks	바보	0.214	0.788	0.395
jerky	말린 고기	0.233	0.538	0.358
jersey	저지	0.594	0.317	0.411
jest	NO TRANSLATION	0.520	0.736	0.222
jester	광대	0.388	0.670	0.264
jesus	예수	0.800	0.400	0.620
jet	제트기	0.612	0.721	0.606
jetty	둑	0.602	0.480	0.453
jewel	보석	0.827	0.588	0.625
jeweler	보석 세공인	0.760	0.482	0.500
jewelry	보석류	0.823	0.569	0.597
jib	지브	0.406	0.420	0.413
jiff	NO TRANSLATION	0.576	0.404	0.349
jiffy	순간	0.410	0.444	0.380
jig	지그	0.531	0.396	0.357
jiggle	흔들림	0.592	0.673	0.518
jigsaw	실톱	0.594	0.582	0.519
jihad	성전	0.323	0.660	0.444
jimmy	조립식 쇠지레	0.579	0.321	0.311
jingle	징글 마차	0.635	0.500	0.424
jinx	재수 없는 물건	0.337	0.582	0.373
jitters	신경 과민	0.224	0.918	0.192
jittery	지저분한	0.344	0.856	0.255
jive	기브	0.561	0.551	0.373
job	일	0.694	0.541	0.717
jobinterview	NO TRANSLATION	0.684	0.837	0.723
jock	조크	0.592	0.656	0.473
jockey	기수	0.562	0.644	0.703
jockstrap	서포터	0.347	0.431	0.390
jog	가벼운 흔들림	0.510	0.708	0.519
jogger	조깅하는 사람	0.417	0.510	0.424
john	남자	0.562	0.382	0.327
join	어울리다	0.729	0.479	0.684
joined	합류 한	0.667	0.394	0.600
joining	합류	0.755	0.469	0.685
joint	관절	0.615	0.392	0.566
jointly	공동으로	0.708	0.425	0.602
joke	농담	0.704	0.610	0.316
joker	조커	0.771	0.760	0.416
joking	농담	0.776	0.839	0.407
jolly	즐거운	0.959	0.705	0.708
jolt	심한 상하의 움직임	0.365	0.708	0.358
jornada	NO TRANSLATION	0.417	0.500	0.533
jot	조금	0.406	0.323	0.350
jour	NO TRANSLATION	0.479	0.394	0.415
journal	일지	0.688	0.240	0.352
journalism	저널리즘	0.622	0.500	0.684
journalist	기자	0.542	0.452	0.732
journalistic	신문 잡지	0.696	0.449	0.495
journey	여행	0.910	0.702	0.625
journeyman	숙련공	0.765	0.596	0.741
joust	마력	0.520	0.528	0.551
jovial	경쾌한	0.823	0.460	0.526
joy	즐거움	0.980	0.824	0.794
joyful	즐거운	0.990	0.740	0.667
joyous	즐거운	0.958	0.580	0.728
joyride	즐거움	0.694	0.550	0.500
joys	기쁨	0.981	0.643	0.651
jubilant	기뻐하는	0.844	0.673	0.664
jubilee	축제	0.916	0.500	0.579
judge	판사	0.510	0.604	0.857
judged	판단하다	0.281	0.686	0.722
judging	판단	0.240	0.625	0.693
judgment	심판	0.396	0.600	0.816
judgmental	판단력있는	0.330	0.602	0.579
judicial	사법의	0.378	0.667	0.833
judiciary	사법부	0.439	0.740	0.897
judicious	현명한	0.630	0.432	0.772
judo	유도	0.500	0.790	0.612
jug	조끼	0.520	0.250	0.213
juggle	속이다	0.594	0.760	0.426
juggler	요술쟁이	0.633	0.821	0.480
juggling	저글링	0.562	0.874	0.346
jugular	경정의	0.271	0.573	0.426
juice	주스	0.776	0.281	0.352
juicer	무대 조명 담당자	0.552	0.520	0.564
juicy	흥미 진진한	0.823	0.529	0.490
juju	NO TRANSLATION	0.541	0.519	0.206
juke	쥬크	0.500	0.491	0.410
jukebox	주크 박스	0.699	0.540	0.429
jumble	뒤범벅	0.357	0.613	0.331
jumbled	뒤죽박죽	0.292	0.602	0.445
jumbo	커다란 것	0.680	0.552	0.447
jump	도약	0.625	0.865	0.611
jump rope	줄넘기	0.656	0.660	0.368
jumper	점퍼	0.615	0.336	0.481
jumpsuit	점프 수트	0.562	0.365	0.361
jumpy	불쾌한	0.353	0.810	0.216
junction	접합	0.490	0.481	0.364
juncture	접속	0.365	0.582	0.491
jungle	밀림	0.500	0.510	0.481
junior	후진	0.635	0.343	0.304
juniper	향나무	0.583	0.327	0.352
junk	정크	0.115	0.481	0.118
junket	응유	0.490	0.519	0.386
junkie	마약 중독자	0.135	0.860	0.363
junky	쓸데없는	0.385	0.595	0.343
junkyard	폐차장	0.177	0.398	0.302
junta	의회	0.451	0.503	0.704
juridical	법인의	0.520	0.431	0.873
jurisdiction	관할권	0.480	0.580	0.820
jurisprudence	법률학	0.360	0.425	0.764
jurist	법학자	0.479	0.523	0.713
juror	배심원	0.582	0.640	0.750
jury	배심	0.479	0.607	0.789
justice	정의	0.760	0.538	0.787
justifiable	정당한	0.786	0.413	0.821
justification	정당화	0.622	0.444	0.661
justify	신이 옳다고 하다	0.612	0.473	0.615
juststop	NO TRANSLATION	0.417	0.379	0.364
justthebeginning	NO TRANSLATION	0.573	0.451	0.481
jute	주트 사람	0.551	0.216	0.295
juvenile	소년	0.678	0.490	0.526
juxtaposition	나란히 놓기	0.427	0.500	0.460
kaiser	황제	0.470	0.509	0.690
kale	케일	0.469	0.226	0.411
kaleidoscope	만화경	0.615	0.439	0.580
kamikaze	가미 카제	0.204	0.810	0.645
kangaroo	캥거루	0.716	0.333	0.301
kanji	한자	0.510	0.413	0.425
kappa	카파	0.469	0.375	0.366
kaput	NO TRANSLATION	0.281	0.441	0.440
karaoke	노래방	0.763	0.649	0.342
karate	카라테	0.562	0.833	0.598
karma	업	0.500	0.510	0.537
karmic	카르미닉	0.357	0.459	0.464
kayak	카약	0.592	0.600	0.364
kazoo	카주	0.503	0.462	0.411
kebab	케밥	0.531	0.431	0.377
keel	용골	0.344	0.417	0.419
keen	날카로운	0.823	0.719	0.806
keep	유지	0.714	0.296	0.547
keeper	관리인	0.612	0.457	0.773
keeping	유지	0.592	0.280	0.723
keepsake	기념품	0.740	0.307	0.491
keg	작은 통	0.551	0.389	0.404
kelp	켈프	0.479	0.264	0.213
ken	시야	0.438	0.409	0.360
kennel	개집	0.430	0.480	0.406
kerchief	스카프	0.520	0.189	0.236
kern	장식 꼬리	0.438	0.420	0.449
kernel	핵심	0.542	0.453	0.462
kerosene	둥유	0.302	0.472	0.427
ketchup	케첩	0.653	0.338	0.282
kettle	주전자	0.357	0.497	0.333
key	키	0.615	0.275	0.519
keyboard	건반	0.573	0.279	0.349
keyed	건이 있는	0.469	0.497	0.521
keyhole	열쇠 구멍	0.438	0.358	0.356
keynote	기조	0.630	0.431	0.545
keypad	키패드	0.604	0.255	0.330
keystone	요지	0.573	0.438	0.491
keyword	예어	0.602	0.520	0.747
khaki	카키색 옷감	0.594	0.252	0.278
khan	칸	0.463	0.476	0.529
kibble	두레박	0.510	0.458	0.404
kick	발 차기	0.271	0.791	0.526
kickboxing	킥복싱	0.427	0.882	0.651
kicker	차는 사람	0.427	0.711	0.614
kicking	발길질	0.327	0.802	0.510
kickoff	킥오프	0.583	0.600	0.629
kid	아이	0.760	0.453	0.298
kidder	농담	0.708	0.768	0.471
kidding	농담하는	0.622	0.625	0.457
kiddo	키드	0.674	0.393	0.419
kiddos	키드	0.500	0.480	0.342
kidnap	채가다	0.032	0.923	0.535
kidnapped	납치 된	0.044	0.923	0.455
kidnapper	납치범	0.115	0.906	0.618
kidnapping	유괴	0.094	0.880	0.561
kidney	신장	0.448	0.363	0.380
kids	아이들	0.837	0.500	0.417
kill	죽이다	0.052	0.941	0.736
killer	살인자	0.041	0.971	0.543
killing	죽이는	0.080	0.959	0.696
killjoy	죽이기	0.178	0.550	0.324
kiln	가마	0.451	0.423	0.414
kilo	NO TRANSLATION	0.438	0.358	0.461
kilogram	킬로그램	0.510	0.260	0.455
kilometer	킬로미터	0.490	0.439	0.485
kilt	킬트	0.448	0.346	0.348
kimono	키모노	0.643	0.280	0.363
kin	혈연	0.543	0.441	0.457
kind	종류	0.918	0.240	0.618
kindergarten	유치원	0.833	0.462	0.308
kindling	점화	0.520	0.651	0.421
kindness	친절	0.938	0.350	0.508
kindred	혈연	0.760	0.418	0.517
kinematics	운동학	0.594	0.480	0.614
kinesiology	운동학	0.491	0.480	0.633
kinetic	동역학의	0.582	0.540	0.537
king	왕	0.677	0.690	0.892
king snake	킹 뱀	0.458	0.835	0.647
kingdom	왕국	0.714	0.547	0.910
kingpin	두목	0.357	0.626	0.642
kink	꼬임	0.337	0.634	0.321
kinky	꼬인	0.449	0.558	0.361
kinship	혈연 관계	0.771	0.300	0.652
kiosk	정자	0.500	0.286	0.321
kirk	교회	0.510	0.390	0.388
kiss	키스	0.967	0.813	0.630
kisser	키스	0.844	0.682	0.618
kissy	키시	0.874	0.684	0.402
kit	전부	0.583	0.344	0.420
kitchen	부엌	0.700	0.234	0.398
kite	연	0.643	0.500	0.573
kitten	고양이 새끼	0.816	0.343	0.260
kiwi	키위	0.646	0.273	0.282
klutz	클루츠	0.275	0.451	0.356
knack	기교	0.562	0.518	0.820
knapsack	배낭	0.551	0.317	0.268
knead	이기다	0.490	0.457	0.345
knee	무릎	0.520	0.245	0.396
kneecap	슬개골	0.427	0.360	0.440
kneel	무릎 꿇게하다	0.426	0.417	0.217
kneeling	무릎 꿇는	0.245	0.435	0.144
knell	종소리	0.354	0.500	0.377
knick	칙칙한	0.480	0.509	0.420
knickers	반바지	0.552	0.428	0.328
knife	칼	0.344	0.717	0.573
knight	기사	0.780	0.441	0.835
knighthood	나이트 작위	0.740	0.660	0.769
knit	뜨다	0.630	0.144	0.295
knob	손잡이	0.340	0.360	0.272
knock	노크	0.312	0.531	0.527
knockoff	멍청이	0.350	0.606	0.240
knockout	녹아웃	0.388	0.755	0.664
knoll	작은 산	0.434	0.347	0.333
knot	매듭	0.541	0.221	0.408
knots	매듭	0.418	0.346	0.267
knotted	매듭이있는	0.226	0.412	0.294
know	알고있다	0.765	0.361	0.704
knowing	앎	0.833	0.353	0.658
knowingly	알고 있으면서	0.500	0.459	0.481
knowledge	지식	0.847	0.430	0.896
knowledgeable	지식이 풍부한	0.865	0.455	0.971
knuckle	돌기	0.655	0.333	0.393
knucklehead	너클 머리	0.157	0.485	0.288
knuckles	너클	0.271	0.461	0.320
koala	코알라	0.608	0.210	0.311
kook	NO TRANSLATION	0.417	0.471	0.398
kooky	기발한	0.418	0.582	0.366
kool-aid	쿨 원조	0.531	0.318	0.393
kos	코스	0.500	0.471	0.407
kosher	적법한	0.469	0.443	0.312
kraut	NO TRANSLATION	0.388	0.500	0.390
kris	크리스	0.427	0.417	0.407
kryptonite	크립토 나이트	0.306	0.690	0.588
kudos	명성	0.925	0.587	0.642
kumquat	금귤	0.417	0.426	0.390
lab	랩	0.479	0.500	0.600
label	상표	0.582	0.245	0.423
labor	노동	0.594	0.639	0.754
laboratory	실험실	0.571	0.490	0.537
labored	곤란한	0.646	0.451	0.637
laborer	노동자	0.561	0.510	0.698
laboring	일하는	0.705	0.644	0.737
laborious	힘드는	0.393	0.635	0.709
labyrinth	미궁	0.479	0.811	0.491
lac	라크	0.408	0.418	0.331
lace	레이스	0.625	0.200	0.293
laceration	열상	0.143	0.667	0.443
lack	결핍	0.250	0.365	0.242
lackey	하인	0.260	0.510	0.166
lacking	부족한	0.229	0.375	0.121
lackluster	묽은	0.250	0.311	0.264
lacquer	래커	0.510	0.353	0.258
lacrosse	라크로스	0.573	0.656	0.509
lactose	유당	0.479	0.290	0.433
lad	젊은이	0.637	0.388	0.336
ladder	사닥다리	0.560	0.438	0.358
laddie	젊은이	0.668	0.539	0.391
laden	짐을 실은	0.392	0.478	0.554
lading	선하 증권	0.388	0.463	0.409
ladle	국자	0.531	0.368	0.352
lady	레이디	0.854	0.481	0.602
lady bug	NO TRANSLATION	0.490	0.434	0.381
ladybug	무당 벌레	0.602	0.400	0.224
ladylike	여자애 같은	0.592	0.559	0.538
ladyship	숙녀분	0.561	0.480	0.822
lag	지연	0.220	0.375	0.246
lager	NO TRANSLATION	0.584	0.480	0.353
lagging	보온재	0.135	0.538	0.277
lagoon	라군	0.660	0.231	0.373
lair	굴	0.469	0.438	0.392
laity	평신도	0.510	0.320	0.487
lake	호수	0.694	0.196	0.425
lama	NO TRANSLATION	0.560	0.320	0.400
lamb	양고기	0.646	0.284	0.321
lame	라메	0.145	0.410	0.217
lament	비탄	0.198	0.398	0.352
lamenting	슬퍼하는	0.156	0.390	0.254
lamina	얇은 판	0.510	0.314	0.408
laminated	적층	0.417	0.304	0.373
lamp	램프	0.510	0.260	0.309
lamppost	가로등 기둥	0.420	0.337	0.455
lance	창	0.406	0.620	0.587
lancer	창기병	0.417	0.528	0.519
land	땅	0.582	0.260	0.616
landed	착륙	0.709	0.620	0.480
landfall	사태	0.521	0.434	0.407
landfill	매립	0.398	0.423	0.324
landing	착륙	0.552	0.696	0.596
landlady	여주인	0.677	0.303	0.417
landlocked	육지의	0.280	0.391	0.367
landlord	주인	0.684	0.500	0.858
landmark	경계표	0.694	0.355	0.681
lands	땅	0.594	0.280	0.492
landscape	경치	0.719	0.176	0.423
landscaping	조경	0.823	0.379	0.519
landslide	산사태	0.250	0.864	0.530
lane	레인	0.449	0.490	0.451
language	언어	0.677	0.337	0.704
languid	노곤한	0.281	0.270	0.283
languish	시들다	0.235	0.408	0.382
languishing	쇠약 해지는	0.308	0.459	0.353
lanky	껑충 한	0.412	0.426	0.370
lantern	칸델라	0.622	0.250	0.243
lap	무릎	0.583	0.510	0.412
lapdog	래퍼 도그	0.388	0.490	0.269
lapel	접은 옷깃	0.460	0.287	0.288
lapse	경과	0.420	0.316	0.281
lapsed	지나간	0.357	0.333	0.276
laptop	휴대용 퍼스널 컴퓨터	0.724	0.270	0.519
larceny	절도죄	0.272	0.821	0.454
lard	라드	0.427	0.239	0.179
larder	고깃간	0.656	0.290	0.509
large	큰	0.704	0.565	0.736
larger	더 큰	0.729	0.654	0.763
largo	NO TRANSLATION	0.521	0.480	0.517
lark	종달새	0.570	0.292	0.352
larva	유충	0.245	0.423	0.254
laryngitis	후두염	0.125	0.500	0.370
larynx	후두	0.460	0.420	0.402
lasagna	라자냐	0.719	0.441	0.396
laser	원자 램프	0.469	0.531	0.769
lash	속눈썹	0.235	0.794	0.609
lass	젊은 여자	0.656	0.536	0.433
lasso	올가미	0.438	0.460	0.339
lastday	NO TRANSLATION	0.309	0.580	0.463
lasting	일종의 튼튼한 나사	0.804	0.535	0.745
lastminute	마지막 순간	0.418	0.582	0.385
latch	걸쇠	0.395	0.263	0.288
late	늦은	0.245	0.358	0.315
lateness	늦음	0.214	0.388	0.343
latent	숨어있는	0.469	0.500	0.653
lateral	옆쪽	0.469	0.370	0.322
laterally	옆으로	0.562	0.255	0.450
latex	유액	0.479	0.413	0.325
lathe	선반	0.510	0.450	0.425
lather	비누 거품	0.635	0.327	0.313
latitude	위도	0.562	0.306	0.490
latrine	변소	0.380	0.353	0.176
latrines	화장실	0.214	0.462	0.267
latte	라떼	0.615	0.320	0.311
lattice	격자	0.406	0.420	0.349
laud	찬사	0.493	0.427	0.383
laudable	칭찬할만한	0.740	0.472	0.682
laudation	칭찬	0.542	0.547	0.623
laudatory	찬미하는	0.612	0.417	0.450
laugh	웃음	0.980	0.639	0.587
laughable	우스운	0.592	0.627	0.298
