Word	Esperanto-eo	Valence	Arousal	Dominance
moan	ĝemas	0.357	0.735	0.352
moat	tranĉaĵo	0.398	0.380	0.314
mob	amaso	0.296	0.788	0.567
mobile	poŝtelefono	0.615	0.569	0.481
mobility	movebleco	0.700	0.596	0.654
mobilization	moviligo	0.688	0.720	0.787
mobilize	mobilizi	0.604	0.684	0.727
mobster	maskisto	0.188	0.870	0.638
mocha	mocha	0.500	0.396	0.311
mock	moki	0.360	0.606	0.618
mocked	mokita	0.225	0.746	0.204
mockery	mokado	0.094	0.806	0.181
mocking	mokante	0.082	0.755	0.394
mockingbird	mokingirdo	0.513	0.337	0.423
mod	mod	0.458	0.367	0.384
modal	modala	0.592	0.264	0.461
modality	kategorio	0.633	0.404	0.527
mode	modo	0.531	0.185	0.367
model	modelo	0.607	0.388	0.723
modeler	modera	0.500	0.510	0.730
modeling	modelado	0.684	0.404	0.490
modem	modemo	0.573	0.355	0.500
moderate	modera	0.582	0.190	0.453
moderate anticipation	modera antaŭvido	0.667	0.451	0.574
moderate disgust	modera naŭzo	0.229	0.558	0.381
moderate negative	modera negativa	0.177	0.500	0.306
moderate positive	modera pozitiva	0.896	0.453	0.753
moderate surprise	modera surprizo	0.776	0.663	0.637
moderate trust	modera konfido	0.677	0.350	0.773
moderately	modere	0.604	0.264	0.500
moderating	moderante	0.667	0.402	0.783
moderation	modereco	0.531	0.240	0.453
moderator	moderanto	0.519	0.354	0.802
modern	modernaj	0.855	0.423	0.691
modernism	modernismo	0.760	0.553	0.703
modest	modesta	0.760	0.130	0.412
modesty	mizereco	0.778	0.240	0.500
modicum	modicum	0.234	0.417	0.327
modifiable	modifebla	0.541	0.422	0.373
modification	modifo	0.480	0.520	0.625
modified	modifita	0.561	0.458	0.693
modify	modifi	0.458	0.584	0.625
modulate	moduli	0.673	0.343	0.555
modulation	modulado	0.458	0.365	0.565
module	modulo	0.582	0.388	0.571
modulus	modulo	0.622	0.304	0.481
mogul	mogulo	0.510	0.652	0.865
moiety	resto	0.378	0.343	0.454
moist	humida	0.470	0.316	0.386
moisture	humido	0.406	0.398	0.327
moisturizer	humidigilo	0.750	0.280	0.386
molar	molar	0.544	0.426	0.350
molasses	melaso	0.490	0.269	0.286
mold	muldilo	0.330	0.274	0.402
molded	moldeado	0.667	0.361	0.373
molding	moldeado	0.552	0.308	0.546
moldy	moldea	0.235	0.387	0.250
mole	talpo	0.436	0.377	0.352
molecular	molekula	0.495	0.440	0.536
molecule	molekulo	0.531	0.259	0.375
molest	malfeliĉa	0.133	0.816	0.319
molestation	molestado	0.102	0.808	0.407
molester	molester	0.143	0.811	0.478
molten	fandita	0.417	0.490	0.339
mom	panjo	0.927	0.336	0.639
moment	momento	0.604	0.435	0.509
momentary	momenta	0.562	0.271	0.330
momentous	Momenta	0.792	0.587	0.760
momentum	imposto	0.663	0.750	0.688
momma	panjo	0.833	0.412	0.527
mommy	panjo	0.854	0.353	0.422
monad	monaĥo	0.510	0.482	0.451
monarch	monarko	0.583	0.559	0.870
monarchy	monarkio	0.450	0.557	0.870
monastery	monaĥejo	0.694	0.183	0.726
monastic	monaĥa	0.438	0.314	0.676
monetary	mona	0.583	0.494	0.716
money	mono	0.844	0.608	0.827
mongoloid	mongoloide	0.177	0.364	0.317
mongoose	mongozo	0.327	0.380	0.546
mongrel	miksulo	0.425	0.438	0.395
monitor	monitoro	0.490	0.298	0.538
monk	monaĥo	0.472	0.208	0.439
monkey	simio	0.548	0.449	0.283
mono	NO TRANSLATION	0.500	0.390	0.273
monochrome	monocroma	0.312	0.292	0.339
monogamous	monogamaj	0.510	0.335	0.402
monogamy	monogamio	0.542	0.380	0.455
monogram	monogramo	0.480	0.210	0.425
monogrammed	monogramita	0.503	0.270	0.402
monograph	monografio	0.500	0.242	0.481
monolayer	monoĉambro	0.427	0.294	0.433
monolith	monolito	0.429	0.327	0.500
monologue	monologo	0.500	0.284	0.534
monopolist	monopolisto	0.330	0.590	0.725
monopoly	monopolo	0.449	0.509	0.640
monotonous	monotona	0.354	0.221	0.400
monotony	monotonio	0.398	0.135	0.353
monoxide	monoksido	0.433	0.430	0.490
monsieur	monsieur	0.552	0.340	0.623
monsoon	musono	0.358	0.600	0.481
monster	monstro	0.133	0.935	0.596
monstrosity	monstreco	0.094	0.933	0.611
monstrous	monstra	0.094	0.942	0.649
montage	montage	0.438	0.520	0.388
monte	monte	0.589	0.330	0.391
month	monato	0.688	0.255	0.411
monthly	ĉiumonate	0.622	0.314	0.364
monument	monumento	0.833	0.404	0.811
monumental	monumenta	0.656	0.594	0.955
moo	moo	0.438	0.355	0.300
mooch	mooch	0.378	0.413	0.309
mood	humoro	0.720	0.500	0.500
moods	moodoj	0.578	0.633	0.491
moody	moody	0.245	0.811	0.595
moon	luno	0.673	0.233	0.547
moonbeam	luno	0.700	0.290	0.491
moonlight	lunlumo	0.865	0.264	0.409
moonlit	lunlumo	0.873	0.269	0.508
moonshine	moonshine	0.633	0.389	0.491
moonstruck	moonstruck	0.583	0.438	0.407
moonwalk	luno	0.615	0.586	0.525
moor	kuŝejo	0.311	0.464	0.378
moored	ligita	0.344	0.500	0.417
mooring	ligas	0.323	0.490	0.444
moorings	ligas	0.406	0.500	0.516
moorland	moorlando	0.490	0.370	0.456
moose	aĝo	0.648	0.373	0.318
moot	moot	0.344	0.500	0.615
mooted	radikita	0.388	0.580	0.463
mop	mop	0.396	0.442	0.296
mope	mope	0.406	0.309	0.345
moped	moped	0.582	0.582	0.554
moral	morala	0.700	0.459	0.796
morale	moralo	0.729	0.158	0.792
morality	moraleco	0.750	0.408	0.759
morals	moralaj	0.646	0.430	0.611
morass	morass	0.387	0.348	0.375
moratorium	moratoreco	0.337	0.427	0.373
moray	morala	0.510	0.402	0.463
morbid	mortiga	0.090	0.833	0.395
morbidity	morbemo	0.370	0.630	0.443
morbidness	morbideco	0.120	0.694	0.339
mores	modoj	0.582	0.317	0.684
morgue	morgu	0.022	0.539	0.241
moribund	moribundo	0.083	0.488	0.167
morn	mateno	0.542	0.284	0.345
morning	matene	0.688	0.235	0.444
moron	stultulo	0.133	0.587	0.183
moronic	morona	0.122	0.500	0.224
morose	morose	0.240	0.663	0.264
morph	morf	0.448	0.469	0.451
morphine	morfino	0.229	0.490	0.496
morphism	morfismo	0.398	0.549	0.386
morphology	morfologio	0.516	0.373	0.639
morrow	morgaŭ	0.708	0.314	0.490
morsel	morsel	0.490	0.296	0.400
mortal	morta	0.196	0.786	0.510
mortality	morteco	0.229	0.726	0.518
mortar	pistujo	0.333	0.627	0.562
mortgage	hipoteko	0.255	0.408	0.537
mortgagee	hipotekisto	0.418	0.633	0.723
mortgagor	mortgagoro	0.431	0.522	0.490
mortician	mortisto	0.104	0.429	0.275
mortification	mortigo	0.135	0.644	0.404
mortified	mortigita	0.073	0.731	0.270
mortuary	mortuzo	0.133	0.606	0.427
mosaic	mozaiko	0.635	0.250	0.302
mosey	Mosey	0.521	0.402	0.330
mosque	moskeo	0.542	0.352	0.528
mosquito	moskito	0.229	0.400	0.198
moss	musko	0.235	0.270	0.245
mossy	musko	0.375	0.329	0.286
mote	NO TRANSLATION	0.375	0.388	0.260
motel	motelo	0.531	0.372	0.450
moth	noktpapilio	0.323	0.350	0.196
mother	patrino	0.931	0.408	0.725
motherfucker	patrino-patrino	0.122	0.827	0.351
motherfucking	patrinofucking	0.071	0.823	0.373
motherhood	patrineco	0.844	0.546	0.667
motherland	patrujo	0.677	0.375	0.731
motherless	senmorta	0.163	0.541	0.337
motherly	patrinan	0.927	0.324	0.710
motif	motivo	0.688	0.481	0.527
motion	movado	0.667	0.538	0.657
motionless	senmova	0.323	0.210	0.246
motivate	motivu	0.812	0.776	0.873
motivating	motivante	0.958	0.820	0.787
motivation	motivado	0.854	0.784	0.802
motivational	motivaj	0.906	0.646	0.858
motive	motivo	0.667	0.588	0.663
motley	motle	0.480	0.398	0.412
motor	motoro	0.531	0.551	0.648
motorbike	motorciklo	0.552	0.608	0.616
motorboat	motorboato	0.677	0.500	0.390
motorcade	motorcado	0.708	0.730	0.593
motorcar	aŭtomobilo	0.694	0.565	0.682
motorcycle	mopedo	0.677	0.764	0.713
motorist	motoristo	0.562	0.663	0.578
motte	moteto	0.481	0.389	0.370
mottled	maltrankviligita	0.380	0.336	0.295
motto	moto	0.688	0.317	0.439
mould	muldilo	0.357	0.176	0.246
mound	monteto	0.520	0.481	0.509
mount	munti	0.500	0.292	0.348
mountain	monto	0.698	0.408	0.649
mountaineer	muntisto	0.635	0.774	0.535
mountainous	monta	0.635	0.519	0.612
mountains	montoj	0.766	0.433	0.569
mountaintop	monteto	0.653	0.541	0.713
mourn	plori	0.056	0.583	0.150
mournful	malgaja	0.180	0.441	0.188
mourning	funebro	0.177	0.490	0.266
mouse	muso	0.427	0.441	0.206
mousetrap	mousetrap	0.180	0.643	0.330
mousse	muzo	0.604	0.336	0.368
moustache	lipharoj	0.470	0.236	0.409
mousy	mousy	0.480	0.413	0.339
mouth	buŝo	0.734	0.294	0.336
mouthful	buŝa	0.609	0.565	0.389
mouthpiece	buŝo	0.573	0.346	0.393
mouthwash	buŝo	0.438	0.385	0.352
movable	movebla	0.469	0.509	0.500
move	movi	0.656	0.647	0.670
movement	movado	0.656	0.654	0.658
mover	movanto	0.615	0.539	0.466
movie	filmo	0.792	0.560	0.471
movies	filmoj	0.724	0.426	0.472
moving	movante	0.479	0.673	0.358
movingforward	NO TRANSLATION	0.857	0.518	0.848
movingon	pluirante	0.490	0.529	0.435
mow	mow	0.420	0.559	0.393
mower	segilo	0.458	0.510	0.368
moxie	moxie	0.531	0.490	0.366
mozzarella	mozzarella	0.653	0.265	0.340
mri	mri	0.365	0.431	0.349
muchneeded	NO TRANSLATION	0.438	0.602	0.455
mucis	NO TRANSLATION	0.398	0.418	0.420
muck	muck	0.347	0.423	0.272
mucked	mucked	0.184	0.500	0.373
mucous	mucoso	0.330	0.296	0.293
mucus	moco	0.143	0.309	0.228
mud	koto	0.333	0.260	0.185
muddle	Muddle	0.184	0.710	0.336
muddled	muddled	0.250	0.615	0.263
muddy	Kota	0.292	0.400	0.283
muff	mufo	0.542	0.335	0.314
muffin	mufino	0.684	0.430	0.306
muffled	mordita	0.479	0.330	0.421
muffler	muffler	0.357	0.407	0.454
mug	mugo	0.542	0.214	0.382
mugger	mugger	0.125	0.850	0.500
mulberry	violkolora	0.469	0.315	0.361
mulch	mulch	0.349	0.361	0.383
mule	mulo	0.320	0.337	0.254
mull	mull	0.663	0.340	0.594
mullet	mulleto	0.521	0.356	0.377
multilateral	multilateral	0.500	0.469	0.705
multimedia	plurmedia	0.611	0.390	0.607
multinational	plurnacia	0.656	0.510	0.842
multiple	multnombraj	0.660	0.510	0.578
multiple sclerosis	multnombra sklerozo	0.188	0.587	0.483
multiplex	multiplexo	0.610	0.590	0.667
multiplication	multipliko	0.646	0.565	0.762
multiplicity	multoblanco	0.677	0.490	0.777
multiplied	multiĝis	0.802	0.559	0.729
multiplier	multobliganto	0.643	0.615	0.741
multiply	multipliku	0.802	0.625	0.777
multitude	amaso	0.562	0.765	0.847
mum	mum	0.802	0.317	0.698
mumble	mumble	0.292	0.444	0.245
mumbo	mumbo	0.429	0.506	0.336
mummy	mumio	0.400	0.588	0.415
mumps	palisaroj	0.099	0.410	0.311
munch	munĉ	0.541	0.277	0.434
munchies	munĉoj	0.562	0.470	0.491
munchkin	munĉuko	0.490	0.466	0.374
mundane	tutmonda	0.312	0.420	0.480
municipal	urba	0.625	0.390	0.758
municipality	komunumo	0.569	0.280	0.614
mural	mural	0.551	0.265	0.454
murder	murdo	0.061	0.942	0.615
murderer	murdisto	0.010	0.960	0.650
murderess	murdistino	0.041	0.941	0.462
murderous	murdaj	0.017	0.940	0.682
murky	mizera	0.143	0.618	0.370
murmur	murmuras	0.458	0.520	0.200
muscle	muskolo	0.359	0.490	0.645
muscular	muskola	0.531	0.434	0.577
muse	muzo	0.760	0.360	0.509
muses	musoj	0.714	0.434	0.571
museum	muzeo	0.792	0.206	0.481
mush	NO TRANSLATION	0.500	0.311	0.125
mushroom	fungo	0.490	0.274	0.269
mushy	Mushy	0.520	0.200	0.182
music	muziko	0.833	0.563	0.605
musical	muzika	0.908	0.630	0.530
musician	muzikisto	0.816	0.509	0.618
musing	parolante	0.740	0.151	0.465
musk	musko	0.469	0.454	0.453
musket	musketo	0.260	0.654	0.510
musketeer	musketisto	0.694	0.569	0.705
muskrat	muskrat	0.439	0.510	0.368
muslin	muslino	0.439	0.304	0.352
muss	NO TRANSLATION	0.418	0.438	0.302
must	devas	0.408	0.382	0.441
mustang	mustango	0.635	0.642	0.708
mustard	mustardo	0.500	0.346	0.275
muster	mastro	0.635	0.460	0.548
musty	musty	0.354	0.367	0.267
mutable	mutable	0.426	0.531	0.491
mutant	mutanto	0.337	0.676	0.573
mutate	mutacii	0.281	0.548	0.463
mutation	mutacio	0.365	0.625	0.611
mute	muta	0.271	0.200	0.250
muted	silentita	0.260	0.167	0.162
mutilate	mutu	0.125	0.900	0.465
mutilated	kripla	0.041	0.841	0.356
mutilation	mutilado	0.122	0.782	0.456
mutiny	ribelo	0.323	0.890	0.549
mutt	mutilo	0.418	0.408	0.387
mutter	NO TRANSLATION	0.406	0.427	0.228
mutton	kavaliro	0.427	0.283	0.393
mutual	reciproka	0.729	0.321	0.464
mutually	reciproke	0.844	0.490	0.582
muzzle	buŝo	0.388	0.430	0.232
myfavorite	mia plej ŝatata	0.812	0.587	0.615
myopia	miopo	0.245	0.387	0.226
myopic	Miopo	0.344	0.396	0.218
myriad	miriado	0.480	0.429	0.550
mysterious	mistera	0.448	0.699	0.455
mystery	mistero	0.417	0.667	0.519
mystic	mistika	0.643	0.520	0.535
mystical	Mistika	0.594	0.443	0.689
mysticism	misticismo	0.594	0.598	0.423
mystified	miksita	0.344	0.600	0.509
mystique	mystiko	0.668	0.633	0.667
myth	mito	0.458	0.432	0.338
mythic	mítica	0.635	0.528	0.645
mythical	mítica	0.625	0.556	0.583
mythological	mitologia	0.760	0.573	0.658
mythology	mitologio	0.684	0.439	0.688
nab	nabo	0.469	0.544	0.407
nacho	neo	0.667	0.259	0.333
nada	NO TRANSLATION	0.250	0.231	0.136
nadir	nadir	0.479	0.363	0.424
nag	NO TRANSLATION	0.271	0.451	0.472
nail	najlo	0.469	0.397	0.282
nail gun	najla pafilon	0.378	0.806	0.574
naive	naiva	0.406	0.260	0.375
naked	nuda	0.323	0.885	0.288
nakedness	nudeco	0.480	0.760	0.350
namaste	NO TRANSLATION	0.719	0.255	0.464
name	nomo	0.573	0.300	0.415
named	enoficigita	0.562	0.396	0.565
nameless	sen nomo	0.344	0.280	0.164
namesake	nomumulo	0.418	0.327	0.404
naming	enoficigante	0.667	0.410	0.559
nana	nana	0.765	0.255	0.375
nanny	Nanny	0.615	0.370	0.528
nanometer	nanometro	0.375	0.356	0.446
nap	dormeto	0.660	0.098	0.342
napalm	napalm	0.265	0.580	0.471
nape	nuko	0.427	0.268	0.298
napkin	buŝtuko	0.469	0.142	0.209
napping	napping	0.765	0.046	0.306
nappy	pufo	0.529	0.333	0.207
narcissism	narcisismo	0.214	0.639	0.540
narcissist	narcisisto	0.173	0.614	0.629
narcissistic	narcisista	0.323	0.708	0.655
narcotic	narkotaj	0.102	0.858	0.450
narrate	rakontu	0.541	0.480	0.473
narration	rakonto	0.622	0.408	0.551
narrative	rakonta	0.580	0.303	0.443
narrator	rakontanto	0.673	0.430	0.623
narrow	mallarĝa	0.260	0.368	0.356
narrowing	mallarĝante	0.354	0.593	0.357
nasal	nasala	0.479	0.340	0.330
nascent	komencanto	0.684	0.373	0.585
nasty	malbona	0.115	0.620	0.264
natal	naskita	0.755	0.462	0.481
nation	nacio	0.594	0.443	0.821
national	nacia	0.698	0.365	0.663
nationality	nacieco	0.642	0.400	0.772
nationwide	tutmonde	0.684	0.217	0.672
native	denaska	0.635	0.422	0.710
nativity	naskigxo	0.750	0.337	0.673
natural	natura	0.854	0.118	0.481
natural gas	natura gaso	0.635	0.324	0.396
naturalist	naturalisto	0.844	0.255	0.562
naturalization	naturaligo	0.781	0.279	0.652
naturalized	naturaligita	0.760	0.333	0.600
naturally	nature	0.854	0.276	0.549
nature	naturo	0.857	0.184	0.643
naught	nenio	0.344	0.176	0.161
naughty	malbona	0.451	0.857	0.371
nausea	naŭzo	0.104	0.781	0.273
nauseate	nauseate	0.062	0.660	0.176
nauseating	naŭzante	0.021	0.640	0.250
nauseous	naŭza	0.135	0.780	0.284
nautical	naŭtika	0.646	0.250	0.579
nautilus	naŭtilo	0.396	0.509	0.517
naval	ŝipa	0.542	0.449	0.679
nave	ŝipo	0.583	0.448	0.585
navel	umbiliko	0.448	0.261	0.276
navigable	ŝipveturebla	0.749	0.406	0.645
navigate	navigi	0.740	0.555	0.675
navigation	navigado	0.841	0.470	0.720
navigational	navigacio	0.573	0.481	0.564
navigator	naviganto	0.583	0.592	0.623
navy	mararmeo	0.531	0.760	0.764
nay	NO TRANSLATION	0.344	0.290	0.325
nearsighted	vidita	0.271	0.373	0.265
neat	neta	0.878	0.235	0.491
neatly	nete	0.802	0.412	0.588
nebula	Nebulozo	0.510	0.418	0.438
nebulae	nebularoj	0.490	0.330	0.472
nebulous	nebulosa	0.469	0.347	0.417
necessarily	necese	0.667	0.423	0.598
necessary	necesa	0.750	0.433	0.679
necessitate	necesas	0.578	0.604	0.516
necessities	necesoj	0.520	0.630	0.463
necessity	neceso	0.567	0.471	0.588
neck	kolo	0.541	0.245	0.345
necklace	koliero	0.760	0.294	0.373
necktie	kravato	0.583	0.229	0.314
necromancer	nigromanto	0.333	0.625	0.536
necrosis	Necrosis	0.115	0.622	0.385
nectar	nektaro	0.746	0.331	0.398
need	bezonas	0.510	0.574	0.200
needalife	NO TRANSLATION	0.490	0.443	0.394
needed	bezonataj	0.677	0.342	0.679
needful	necesa	0.582	0.460	0.614
needit	NO TRANSLATION	0.250	0.472	0.356
needle	nadlo	0.250	0.472	0.360
needlepoint	kudrilo	0.653	0.500	0.556
needles	nadloj	0.250	0.602	0.348
needless	sen manko	0.327	0.385	0.200
needtoknow	Needtoknow	0.427	0.606	0.474
needtorelax	NO TRANSLATION	0.673	0.438	0.274
needy	necesa	0.360	0.451	0.245
nefarious	malfeliĉa	0.184	0.720	0.528
negation	negado	0.255	0.461	0.297
negative	negativa	0.102	0.527	0.176
negativity	negatividad	0.060	0.520	0.273
neglect	neglektas	0.045	0.550	0.163
neglected	senatenta	0.271	0.385	0.160
neglecting	neglektante	0.177	0.441	0.230
negligee	negligema	0.385	0.520	0.336
negligence	neglektado	0.092	0.570	0.251
negligent	neglektema	0.167	0.583	0.259
negligently	NO TRANSLATION	0.056	0.583	0.266
negligible	neglektebla	0.177	0.292	0.232
negotiable	negociable	0.688	0.585	0.731
negotiate	negoci	0.612	0.708	0.769
negotiation	intertraktado	0.490	0.615	0.728
negotiator	negociisto	0.635	0.471	0.817
negro	nigra	0.354	0.368	0.461
neigh	najbaro	0.378	0.642	0.373
neighbor	najbaro	0.657	0.448	0.434
neighborhood	kvartalo	0.385	0.469	0.373
neighboring	apudaj	0.656	0.306	0.481
nemesis	némesis	0.271	0.688	0.647
neon	neono	0.594	0.480	0.380
neonatal	neonatal	0.542	0.529	0.357
neophyte	neófito	0.286	0.363	0.411
neoprene	neopreno	0.316	0.451	0.443
nephew	nevo	0.719	0.337	0.412
nepotism	nepotismo	0.349	0.584	0.517
nerd	nerd	0.408	0.481	0.315
nerdy	nerdy	0.296	0.255	0.292
nerve	nervo	0.129	0.698	0.307
nerves	nervoj	0.333	0.783	0.264
nervous	nervozaj	0.235	0.820	0.213
nervousness	nervozeco	0.163	0.915	0.241
nervouswreck	NO TRANSLATION	0.112	0.867	0.179
nervy	NO TRANSLATION	0.250	0.830	0.241
ness	ness	0.396	0.480	0.392
nest	nesto	0.687	0.221	0.333
nestle	nestu	0.625	0.308	0.379
nestling	nestantaj	0.604	0.427	0.286
net	reto	0.441	0.288	0.417
nether	pli	0.240	0.265	0.259
netting	reto	0.368	0.509	0.585
nettle	ujo	0.406	0.324	0.490
network	reto	0.531	0.337	0.466
networking	retoj	0.625	0.482	0.545
neural	neŭtrala	0.582	0.426	0.391
neuralgia	neuralgio	0.092	0.706	0.439
neurological	neurologia	0.500	0.540	0.558
neurologist	neŭrologo	0.608	0.500	0.736
neurology	neŭrologio	0.459	0.537	0.580
neurosis	neŭrozo	0.122	0.766	0.418
neurosurgeon	neŭkurorulo	0.590	0.673	0.755
neurosurgery	neŭkururgio	0.490	0.632	0.730
neurotic	neurotaj	0.198	0.801	0.387
neuter	neŭtra	0.621	0.163	0.302
neutral	neŭtrala	0.469	0.184	0.357
neutrality	neŭtraleco	0.469	0.205	0.434
neutralize	neŭtrigi	0.519	0.363	0.719
neutron	neŭtrono	0.469	0.440	0.679
new	nova	0.917	0.490	0.582
new age	nova aĝo	0.694	0.556	0.727
newbeginnings	NO TRANSLATION	0.802	0.613	0.524
newborn	ĵus naskita	0.918	0.580	0.372
newcomer	komencanto	0.622	0.380	0.396
newday	nova tago	0.847	0.388	0.618
newfound	lastatempe	0.745	0.741	0.520
newjob	NO TRANSLATION	0.755	0.643	0.729
newlife	nova vivo	0.898	0.646	0.701
newly	ĵus	0.688	0.422	0.552
newlywed	lastatempa	0.847	0.706	0.570
newme	nova	0.643	0.550	0.527
newness	noveco	0.740	0.522	0.588
news	novaĵoj	0.633	0.580	0.610
newscast	novaĵkesto	0.531	0.509	0.714
newscaster	novaĵcxisto	0.646	0.510	0.764
newsflash	novaĵflash	0.604	0.637	0.518
newsletter	informilo	0.622	0.385	0.490
newsman	novaĵisto	0.604	0.480	0.696
newspaper	ĵurnalo	0.602	0.283	0.444
newspaperman	novaĵisto	0.561	0.458	0.750
newsreel	novaĵoj	0.625	0.571	0.577
newsroom	ĉambro	0.531	0.392	0.658
newsstand	ĉambro	0.615	0.222	0.336
newstart	newstart	0.802	0.510	0.667
newt	Salamandro	0.458	0.380	0.541
newyear	nova jaro	0.938	0.784	0.520
nexus	ligilo	0.496	0.368	0.412
nib	nib	0.510	0.282	0.406
nibble	Nibble	0.551	0.551	0.411
nice	bela	0.930	0.442	0.650
niche	niĉo	0.459	0.413	0.318
nichts	NO TRANSLATION	0.406	0.293	0.404
nick	nick	0.554	0.388	0.387
nickel	nikelo	0.510	0.347	0.406
nickname	kromnomo	0.490	0.470	0.263
nicotine	nikotino	0.235	0.608	0.447
niece	nevino	0.771	0.320	0.400
nifty	nifty	0.740	0.745	0.815
nigger	nigra	0.240	0.347	0.398
nigh	proksime	0.653	0.216	0.336
night	nokte	0.598	0.396	0.404
nightcap	nokta peko	0.750	0.196	0.268
nightclub	nokta klubo	0.802	0.894	0.528
nightfall	nokto	0.490	0.436	0.426
nightgown	nokta nokto	0.643	0.408	0.250
nightie	nokte	0.630	0.388	0.274
nightingale	nokto	0.740	0.340	0.496
nightlife	nokta vivo	0.542	0.783	0.510
nightly	nokte	0.673	0.410	0.474
nightmare	koŝmaro	0.005	0.810	0.436
nightmares	koŝmaroj	0.082	0.942	0.448
nightstand	noktejo	0.490	0.130	0.327
nightstick	nokta piedo	0.500	0.461	0.348
nighttime	nokte	0.735	0.385	0.439
nihilism	nihilismo	0.367	0.510	0.364
nil	nil	0.286	0.143	0.157
nimble	senmova	0.833	0.729	0.769
nimrod	nimrod	0.327	0.500	0.539
nincompoop	nincompopo	0.365	0.431	0.368
nine	naŭ	0.552	0.255	0.327
nineteen	dek naŭ	0.673	0.304	0.375
ninety	naŭdek	0.479	0.349	0.436
ninja	ninja	0.542	0.844	0.682
ninny	ninny	0.344	0.343	0.309
nintendo	nintendo	0.802	0.571	0.464
ninth	naŭa	0.490	0.212	0.396
nip	nip	0.281	0.700	0.264
nipper	nipper	0.386	0.422	0.317
nipple	cico	0.480	0.786	0.415
nippy	nippy	0.540	0.500	0.416
nitrate	nitrato	0.388	0.406	0.500
nitro	nitro	0.500	0.647	0.639
nitrogen	nitrogeno	0.427	0.435	0.562
nitrous	nitrosa	0.435	0.561	0.411
nitwit	nitwit	0.146	0.606	0.139
nix	nix	0.330	0.380	0.404
no anticipation	neniu antaŭvido	0.396	0.480	0.341
no disgust	sen naŭzo	0.510	0.324	0.448
no emotion	neniu emocio	0.170	0.109	0.225
no sentiment	sen sento	0.092	0.382	0.278
no surprise	Ne surprizo	0.171	0.224	0.412
no trust	Ne fidas	0.055	0.445	0.257
nobility	nobelaro	0.844	0.347	0.736
noble	nobla	0.906	0.345	0.610
nobleman	nobla	0.675	0.286	0.709
nobodycares	NO TRANSLATION	0.365	0.410	0.354
nocomplaints	NO TRANSLATION	0.677	0.164	0.491
nocturnal	nokta	0.540	0.500	0.462
nod	agordi	0.590	0.367	0.427
nodding	kapjesante	0.694	0.294	0.426
node	nodo	0.396	0.343	0.361
nodular	nodula	0.438	0.351	0.411
nodule	nodule	0.312	0.426	0.349
noggin	noggin	0.510	0.433	0.382
nohope	NO TRANSLATION	0.200	0.441	0.385
noir	neir	0.375	0.394	0.365
noise	bruo	0.260	0.883	0.388
noisy	ruida	0.271	0.812	0.561
nomad	nomad	0.375	0.413	0.433
nomadic	nomada	0.427	0.519	0.422
nomenclature	nomenclaturo	0.500	0.222	0.575
nominal	nominala	0.594	0.250	0.463
nominate	nomumu	0.615	0.471	0.669
nomination	nomumado	0.663	0.637	0.696
nominee	kandidato	0.662	0.625	0.765
nonce	ne	0.422	0.370	0.377
nonchalant	neĉambro	0.312	0.314	0.366
noncompliance	Nekomplikaĵo	0.112	0.598	0.259
nondescript	senpaga	0.490	0.434	0.348
nonexistent	inexistente	0.208	0.429	0.149
nonfat	ne graso	0.604	0.260	0.340
nonfiction	ne fikcio	0.426	0.315	0.431
nonpayment	Ne pagon	0.229	0.510	0.298
nonresident	neloĝanto	0.250	0.340	0.302
nonsense	sensencaĵoj	0.214	0.531	0.155
nonsensical	senkonscia	0.173	0.268	0.193
nonviolent	ne perforta	0.640	0.287	0.346
noob	Novulo	0.417	0.430	0.267
noodle	kudrilo	0.633	0.216	0.225
nook	Nook	0.480	0.321	0.296
noon	tagmezo	0.531	0.343	0.518
noose	nazo	0.356	0.300	0.330
nopoint	Nopoint	0.276	0.324	0.314
noregrets	NO TRANSLATION	0.469	0.476	0.426
norm	normo	0.500	0.245	0.527
normal	normala	0.740	0.127	0.380
normalcy	normaleco	0.805	0.151	0.620
normality	normaleco	0.781	0.089	0.444
north	norde	0.531	0.255	0.450
northbound	norde	0.604	0.454	0.491
northeast	nordorienta	0.562	0.260	0.375
northern	norda	0.570	0.340	0.472
northwest	nordokcidento	0.604	0.345	0.451
northwestern	nordokcidenta	0.479	0.306	0.462
noschool	NO TRANSLATION	0.490	0.400	0.380
nose	nazo	0.582	0.270	0.245
nosebleed	Noseble	0.153	0.776	0.361
nosey	nosy	0.276	0.655	0.223
nosnow	nome	0.392	0.394	0.366
nostalgia	nostalgio	0.417	0.337	0.339
nostalgic	nostálgico	0.458	0.351	0.184
nostress	NO TRANSLATION	0.531	0.404	0.415
nostril	nazo	0.396	0.404	0.316
nosun	NO TRANSLATION	0.388	0.380	0.351
nosy	nosy	0.292	0.558	0.433
not negative	ne negativa	0.622	0.270	0.444
not positive	ne pozitiva	0.051	0.370	0.236
notable	rimarkinda	0.760	0.450	0.696
notables	rimarkindaj	0.594	0.608	0.755
notably	precipe	0.792	0.533	0.689
notamorningperson	NO TRANSLATION	0.469	0.578	0.440
notary	notario	0.541	0.451	0.676
notation	notacio	0.635	0.380	0.558
notch	pikilo	0.459	0.361	0.358
notched	skuita	0.480	0.530	0.356
note	notu	0.594	0.163	0.416
notebook	kajero	0.449	0.167	0.442
noted	rimarkis	0.615	0.382	0.464
