Word	Chinese (Simplified)-zh-CN	Valence	Arousal	Dominance
loan	贷款	0.552	0.480	0.352
loath	厌恶	0.135	0.714	0.445
loathe	厌恶	0.094	0.730	0.429
loathful	作呕	0.068	0.740	0.358
loathing	非常讨厌	0.083	0.796	0.368
loathsome	讨厌的	0.120	0.694	0.343
lobby	前厅	0.625	0.427	0.472
lobbyist	说客	0.385	0.527	0.565
lobe	叶	0.459	0.364	0.352
lobotomy	切断术	0.296	0.598	0.402
lobster	龙虾	0.571	0.356	0.291
local	本地	0.656	0.269	0.452
locale	现场	0.449	0.387	0.352
locality	局部性	0.582	0.336	0.464
localization	本土化	0.552	0.330	0.545
localize	本土化	0.520	0.481	0.679
localized	本地化	0.490	0.460	0.621
locate	定位	0.583	0.520	0.786
location	位置	0.615	0.375	0.546
locator	定位器	0.480	0.426	0.614
loch	湖	0.449	0.235	0.425
lock	锁	0.271	0.585	0.600
locker	更衣室	0.439	0.300	0.393
locket	小盒	0.615	0.327	0.616
locksmith	锁匠	0.510	0.417	0.491
lockup	锁起来	0.240	0.602	0.617
loco	疯子	0.306	0.774	0.226
locomotion	运动	0.470	0.600	0.595
locomotive	机车	0.542	0.650	0.721
locust	刺槐	0.479	0.412	0.417
lode	NO TRANSLATION	0.365	0.423	0.318
lodge	小屋	0.656	0.356	0.474
lodger	房客	0.480	0.448	0.304
lodging	住宿	0.713	0.286	0.527
loft	阁楼	0.510	0.378	0.343
lofty	高远	0.755	0.306	0.569
log	日志	0.591	0.371	0.395
logarithm	对数	0.520	0.439	0.551
logarithmic	对数的	0.469	0.458	0.606
logic	逻辑	0.646	0.245	0.819
logical	合乎逻辑	0.805	0.400	0.648
logistics	后勤	0.633	0.500	0.730
logo	商标	0.469	0.296	0.565
logotype	标识	0.480	0.337	0.509
loin	NO TRANSLATION	0.420	0.298	0.379
lollipop	棒糖	0.628	0.483	0.357
lone	孤单	0.198	0.204	0.367
loneliness	孤单	0.146	0.182	0.222
lonely	孤独	0.250	0.226	0.238
loner	独来独往的人	0.347	0.152	0.221
lonesome	寂寞	0.281	0.213	0.336
long	长	0.541	0.353	0.543
longboat	艇	0.551	0.454	0.490
longevity	长寿	0.750	0.353	0.745
longing	渴望	0.604	0.434	0.560
longitude	经度	0.479	0.310	0.516
longitudinal	纵	0.542	0.398	0.582
longitudinally	纵向	0.541	0.380	0.569
longtime	长时间	0.362	0.442	0.546
loo	厕所	0.385	0.357	0.283
look	看	0.719	0.429	0.615
looker	旁观者	0.583	0.354	0.451
lookout	小心	0.698	0.538	0.639
loom	织布机	0.531	0.245	0.325
looming	若隐若现	0.367	0.750	0.528
loon	懒人	0.429	0.392	0.325
loony	发狂	0.439	0.474	0.295
loop	循环	0.516	0.343	0.317
loophole	漏洞	0.406	0.755	0.491
loopy	糊涂	0.438	0.520	0.195
loose	疏松	0.573	0.312	0.365
loosen	松开	0.487	0.337	0.218
loosening	松动	0.378	0.343	0.295
loot	抢劫	0.604	0.711	0.537
lop	垂耳	0.429	0.363	0.426
lopsided	片面	0.125	0.500	0.272
lord	主	0.618	0.327	0.684
lords	领主	0.571	0.356	0.781
lordship	贵族身份	0.573	0.557	0.736
lore	知识	0.719	0.373	0.768
lorry	货车	0.521	0.481	0.402
lose	失去	0.115	0.538	0.176
loser	失败者	0.083	0.510	0.155
losing	失去	0.076	0.686	0.223
loss	失利	0.062	0.567	0.211
lost	丢失	0.199	0.663	0.148
lot	批量	0.531	0.215	0.370
lotion	洗剂	0.724	0.261	0.188
lots	地段	0.604	0.417	0.424
lottery	抽奖	0.771	0.731	0.491
lotto	乐透	0.760	0.635	0.475
lotus	莲花	0.604	0.377	0.510
loud	响	0.573	0.650	0.870
loudly	高声	0.541	0.755	0.667
loudmouth	大嘴巴	0.337	0.615	0.456
loudness	响度	0.350	0.582	0.620
loudspeaker	喇叭	0.490	0.735	0.689
lounge	休息室	0.592	0.245	0.466
lounging	闲逛	0.735	0.167	0.449
louse	虱	0.184	0.439	0.154
lousy	糟糕	0.125	0.482	0.234
lovable	可爱	0.948	0.335	0.565
love	爱	1.000	0.519	0.673
loved	喜爱	0.927	0.452	0.582
lovee	lovee	0.949	0.592	0.611
loveee	loveee	0.927	0.592	0.693
loveless	无情	0.102	0.365	0.216
lovelife	NO TRANSLATION	0.837	0.610	0.592
loveliness	魅力	0.959	0.509	0.750
lovelovelove	NO TRANSLATION	0.948	0.582	0.554
lovely	可爱	0.917	0.456	0.741
lovemaking	做爱	0.969	0.927	0.814
lovemylife	爱我的生活	0.896	0.800	0.573
lover	情人	0.881	0.816	0.750
lovesick	为情所困	0.796	0.842	0.500
lovethis	喜欢这个	0.867	0.552	0.526
loving	爱心	0.948	0.612	0.636
lovinglife	热爱生活	0.979	0.404	0.673
lovinlife	lovinlife	0.714	0.460	0.544
low	低	0.292	0.220	0.102
lowdown	内幕	0.306	0.441	0.441
lower	降低	0.327	0.296	0.258
lowering	降低	0.286	0.363	0.236
lowest	最低	0.312	0.304	0.129
lowlands	低地	0.323	0.290	0.331
lowlife	低贱的生活	0.296	0.529	0.309
lowly	卑贱	0.562	0.294	0.417
lox	熏鲑鱼	0.490	0.373	0.318
loyal	忠诚	0.896	0.265	0.657
loyalty	忠诚	0.885	0.406	0.793
lsd	LSD	0.375	0.471	0.390
luau	卢奥	0.594	0.545	0.296
lube	润滑油	0.552	0.490	0.411
lubricant	滑润剂	0.656	0.550	0.454
lubricate	润滑	0.552	0.490	0.470
lubrication	润滑	0.624	0.646	0.491
lucid	清醒	0.771	0.490	0.705
luck	运气	0.854	0.490	0.717
luckiest	幸运	0.917	0.690	0.852
lucky	幸运	0.960	0.610	0.793
luckygirl	luckygirl	0.781	0.712	0.471
lucrative	有利可图	0.729	0.519	0.798
ludicrous	滑稽的	0.137	0.553	0.274
lug	耳状物	0.344	0.443	0.340
luggage	行李	0.561	0.226	0.319
lukewarm	温	0.573	0.300	0.241
lull	麻痹	0.602	0.130	0.402
lullaby	催眠曲	0.796	0.156	0.339
lumbar	腰	0.323	0.418	0.342
lumber	木料	0.517	0.184	0.373
lumbering	伐木	0.354	0.561	0.655
lumberjack	樵夫	0.500	0.660	0.726
luminescent	发光	0.796	0.550	0.526
luminous	发光的	0.918	0.392	0.783
lump	块	0.438	0.337	0.463
lumpy	磊	0.271	0.378	0.365
lunacy	疯狂行为	0.132	0.847	0.330
lunar	太阴	0.562	0.296	0.427
lunatic	疯子	0.125	0.792	0.442
lunch	午餐	0.880	0.410	0.542
lunchbox	便当盒	0.663	0.346	0.346
luncheon	午餐	0.837	0.240	0.441
lunchtime	午餐时间	0.896	0.398	0.444
lung	肺	0.510	0.292	0.629
lunge	弓步	0.354	0.721	0.509
lungs	肺	0.531	0.352	0.555
lurch	困境	0.404	0.694	0.363
lure	饵	0.439	0.565	0.300
lurid	爚	0.186	0.833	0.536
lurk	匿伏	0.219	0.740	0.655
lurking	潜伏	0.421	0.781	0.575
luscious	甜美	0.885	0.552	0.545
lush	青葱的	0.740	0.783	0.833
lust	情欲	0.469	0.944	0.518
luster	光泽	0.833	0.566	0.558
lustful	嫪	0.427	0.896	0.643
lustrous	光泽	0.771	0.606	0.598
lusty	精力充沛	0.469	0.941	0.673
lute	琵琶	0.459	0.407	0.500
luxuriant	莽莽	0.760	0.745	0.812
luxurious	豪华	0.947	0.644	0.754
luxury	豪华	0.932	0.673	0.750
lycra	莱卡纤维	0.520	0.449	0.328
lye	碱液	0.378	0.396	0.443
lying	说谎	0.208	0.704	0.317
lymph	淋巴	0.398	0.510	0.390
lymphatic	淋巴	0.380	0.509	0.472
lymphoma	淋巴瘤	0.208	0.645	0.330
lynch	林奇	0.167	0.885	0.482
lynching	私刑	0.135	0.920	0.548
lynx	猞猁	0.510	0.590	0.567
lyre	七弦琴	0.719	0.347	0.414
lyric	歌词	0.702	0.269	0.464
lyrical	抒情	0.708	0.451	0.618
lyrics	歌词	0.582	0.214	0.333
macadamia	澳洲	0.635	0.330	0.434
macarena	玛卡莲娜	0.802	0.601	0.368
macaroni	通心粉	0.816	0.410	0.382
mace	锤	0.450	0.412	0.415
mach	马赫	0.541	0.432	0.463
machete	弯刀	0.260	0.690	0.474
machine	机	0.510	0.500	0.707
machinery	机械	0.458	0.615	0.629
machinist	机械师	0.490	0.598	0.721
macho	大男子主义	0.643	0.690	0.676
mackerel	鲭鱼	0.418	0.423	0.426
macro	宏	0.552	0.469	0.647
mad	狂	0.219	0.873	0.277
madam	夫人	0.580	0.308	0.571
madame	老板娘	0.604	0.500	0.635
madden	发怒	0.329	0.602	0.457
madder	藘	0.323	0.853	0.267
mademoiselle	NO TRANSLATION	0.752	0.459	0.461
mademyday	mademyday	0.694	0.573	0.537
madhouse	疯人院	0.156	0.736	0.440
madman	狂人	0.135	0.880	0.312
madness	疯狂	0.104	0.804	0.440
maestro	大师	0.823	0.357	0.849
mafia	黑手党	0.204	0.867	0.676
magazine	杂志	0.615	0.332	0.377
mage	魔术师	0.622	0.373	0.453
magenta	品红	0.635	0.275	0.415
maggot	蛆	0.235	0.500	0.235
magic	魔法	0.868	0.663	0.578
magical	神奇	0.875	0.651	0.595
magician	魔术师	0.714	0.657	0.551
magistrate	法官	0.587	0.541	0.904
magma	岩浆	0.323	0.623	0.609
magna	麦格纳	0.605	0.490	0.652
magnate	巨头	0.627	0.708	0.868
magnesium	镁	0.542	0.320	0.321
magnet	磁铁	0.571	0.318	0.553
magnetic	磁性	0.612	0.529	0.673
magnetism	磁性	0.630	0.529	0.741
magnetite	磁铁矿	0.531	0.490	0.581
magnification	放大	0.890	0.615	0.880
magnificence	壮丽	0.802	0.810	0.920
magnificent	华丽的	1.000	0.680	0.886
magnifier	放大镜	0.469	0.216	0.345
magnify	放大	0.729	0.561	0.839
magnifying	放大	0.594	0.265	0.406
magnitude	大小	0.608	0.613	0.774
magnolia	玉兰	0.558	0.343	0.379
magpie	鹊	0.500	0.458	0.327
mahi mahi	NO TRANSLATION	0.510	0.410	0.398
mahjong	麻将	0.556	0.418	0.440
mahogany	桃花心木	0.602	0.225	0.393
maid	女佣	0.406	0.324	0.300
maiden	少女	0.755	0.396	0.461
mail	邮件	0.615	0.231	0.548
mailbox	邮箱	0.573	0.222	0.404
mailing	邮件	0.688	0.324	0.375
mailman	邮递员	0.659	0.418	0.462
maim	NO TRANSLATION	0.133	0.724	0.496
main	主要	0.667	0.510	0.811
mainframe	大型机	0.531	0.490	0.557
mainland	大陆	0.680	0.407	0.806
mainstay	支柱	0.694	0.400	0.713
mainstream	主流	0.653	0.527	0.660
maintain	保持	0.684	0.398	0.647
maintenance	保养	0.592	0.410	0.545
majestic	雄伟	0.948	0.731	0.906
majesty	威严	0.823	0.602	0.955
major	重大的	0.684	0.538	0.874
majority	多数	0.684	0.560	0.930
make	使	0.684	0.420	0.480
makeover	改造	0.771	0.510	0.596
maker	制作者	0.698	0.544	0.706
makeshift	凑合的	0.479	0.611	0.389
makesmehappy	NO TRANSLATION	0.894	0.663	0.712
makesmemad	NO TRANSLATION	0.296	0.643	0.500
makeup	化妆	0.740	0.333	0.331
makingdisciples	NO TRANSLATION	0.684	0.402	0.664
malady	弊病	0.190	0.686	0.304
malaise	全身乏力	0.150	0.600	0.161
malaria	疟疾	0.125	0.653	0.304
malarkey	说大话	0.396	0.500	0.465
male	男	0.612	0.532	0.695
malevolent	坏心肠的	0.094	0.854	0.613
malfeasance	渎职	0.062	0.745	0.325
malformation	畸形	0.083	0.602	0.357
malfunction	故障	0.125	0.577	0.229
malice	NO TRANSLATION	0.073	0.811	0.492
malicious	恶毒	0.177	0.765	0.607
malign	诽谤	0.140	0.765	0.481
malignancy	恶性肿瘤	0.149	0.814	0.614
malignant	恶性	0.143	0.824	0.370
maligned	非议	0.102	0.684	0.218
mall	购物中心	0.724	0.663	0.492
malleable	可锻铸	0.500	0.500	0.391
mallet	槌	0.354	0.390	0.483
malnutrition	营养不良	0.024	0.592	0.277
malpractice	弊端	0.094	0.559	0.330
malt	麦芽	0.750	0.373	0.324
mama	妈妈	0.860	0.413	0.728
mambo	曼波	0.808	0.622	0.445
mamma	NO TRANSLATION	0.600	0.358	0.449
mammal	哺乳动物	0.618	0.449	0.421
mammoth	长毛象	0.480	0.471	0.537
mammy	妈咪	0.680	0.415	0.436
man	人	0.688	0.427	0.767
manage	管理	0.560	0.530	0.719
manageable	管理	0.750	0.361	0.655
management	管理	0.792	0.491	0.806
manager	经理	0.625	0.549	0.897
managerial	管理的	0.604	0.520	0.791
mandamus	训令	0.439	0.577	0.556
mandarin	普通话	0.625	0.398	0.491
mandate	要求	0.448	0.670	0.779
mandatory	强制性	0.271	0.667	0.777
mandible	下颚	0.510	0.431	0.500
mandolin	曼多林	0.708	0.433	0.367
mandrel	顶杆	0.310	0.490	0.481
mane	NO TRANSLATION	0.521	0.277	0.373
maneuver	演习	0.615	0.663	0.608
maneuvering	机动	0.635	0.640	0.745
mange	NO TRANSLATION	0.311	0.558	0.348
manger	马槽	0.656	0.276	0.398
mangle	撕裂	0.292	0.449	0.355
mango	芒果	0.765	0.327	0.290
mangosteen	山竹	0.562	0.500	0.414
mangy	癞皮狗	0.214	0.698	0.270
manhole	沙井	0.378	0.500	0.516
manhood	男子气概	0.625	0.735	0.858
manhunt	搜捕	0.145	0.925	0.657
mania	狂躁	0.290	0.683	0.382
maniac	疯子	0.120	0.849	0.431
maniacal	疯狂的	0.200	0.848	0.500
manic	躁狂	0.054	0.892	0.368
manicure	修指甲	0.706	0.308	0.284
manicurist	美甲师	0.583	0.352	0.341
manifest	表现	0.667	0.647	0.704
manifestation	表现	0.583	0.750	0.655
manifested	表现	0.580	0.618	0.667
manifestly	明显	0.469	0.588	0.577
manifesto	宣言	0.646	0.519	0.676
manifold	多种	0.500	0.461	0.435
manipulate	操作	0.255	0.700	0.772
manipulation	操作	0.188	0.775	0.536
manipulative	操控	0.177	0.724	0.546
mankind	人类	0.823	0.471	0.768
manly	男子气	0.698	0.633	0.846
manna	甘露	0.698	0.294	0.544
manned	载人	0.551	0.588	0.484
mannequin	模特	0.427	0.302	0.295
manner	方式	0.618	0.250	0.320
mannered	彬彬有礼	0.469	0.556	0.291
manners	礼貌	0.816	0.284	0.517
manor	庄园	0.646	0.358	0.738
manpower	人手	0.531	0.620	0.543
mansion	大厦	0.847	0.490	0.717
mansions	广厦	0.735	0.529	0.777
manslaughter	误杀	0.090	0.920	0.473
mantel	壁炉架上	0.500	0.265	0.471
mantis	螂	0.480	0.355	0.421
mantle	披风	0.510	0.269	0.422
mantra	口头禅	0.396	0.249	0.357
manual	手册	0.635	0.245	0.449
manufacture	制造	0.868	0.703	0.780
manufacturer	生产厂家	0.688	0.537	0.830
manufacturing	制造业	0.653	0.613	0.804
manure	肥料	0.250	0.471	0.241
manuscript	手稿	0.510	0.208	0.540
map	地图	0.561	0.229	0.463
maple	枫	0.541	0.390	0.339
mar	损伤	0.622	0.544	0.545
marathon	马拉松	0.646	0.778	0.740
marble	大理石	0.604	0.212	0.667
marbled	大理石	0.396	0.385	0.418
marbles	弹子	0.714	0.345	0.241
march	游行	0.531	0.200	0.483
mare	NO TRANSLATION	0.541	0.320	0.417
margarine	人造黄油	0.530	0.316	0.333
margarita	玛格丽塔	0.750	0.438	0.420
margin	余量	0.500	0.219	0.331
marginal	边缘	0.235	0.644	0.345
mariachi	流浪	0.710	0.559	0.609
marijuana	大麻	0.312	0.779	0.558
marinara	林纳拉	0.657	0.388	0.435
marine	海洋	0.633	0.471	0.679
mariner	水手	0.652	0.491	0.676
marital	婚姻	0.760	0.529	0.500
maritime	海上	0.646	0.490	0.713
mark	标记	0.491	0.231	0.600
marked	标	0.592	0.358	0.554
marker	标记	0.500	0.333	0.605
market	市场	0.724	0.480	0.521
marketable	销售	0.746	0.545	0.664
marketing	营销	0.521	0.774	0.675
marketplace	市井	0.698	0.420	0.525
marks	分数	0.430	0.480	0.424
marksman	射手	0.500	0.833	0.692
marksmanship	枪法	0.573	0.531	0.664
marl	泥灰岩	0.372	0.471	0.351
marmalade	果酱	0.729	0.370	0.288
maroon	栗色	0.469	0.358	0.336
marooned	被困	0.229	0.480	0.160
marquee	华盖	0.602	0.284	0.508
marquis	侯爵	0.521	0.444	0.562
marred	毁损	0.181	0.561	0.233
marriage	婚姻	0.844	0.684	0.750
married	已婚	0.674	0.570	0.602
marrow	骨髓	0.398	0.422	0.472
marry	结婚	0.896	0.765	0.673
marsh	沼泽	0.302	0.358	0.277
marshal	元帅	0.469	0.610	0.819
marshmallow	棉花糖	0.740	0.441	0.391
mart	市场	0.531	0.402	0.418
martial	武	0.480	0.710	0.737
martingale	鞅	0.469	0.510	0.455
martini	马蒂尼鸡尾酒	0.828	0.500	0.519
martyr	烈士	0.281	0.708	0.509
martyrdom	殉教	0.323	0.745	0.442
marvel	奇迹	0.961	0.755	0.866
marvellous	奇妙	0.878	0.809	0.849
marvelous	奇妙	0.948	0.637	0.778
marvelously	不平凡	0.968	0.708	0.764
marzipan	NO TRANSLATION	0.684	0.380	0.258
mascara	睫毛膏	0.575	0.450	0.269
mascot	吉祥物	0.750	0.337	0.337
masculine	男性	0.653	0.540	0.773
masculinity	阳刚之气	0.583	0.670	0.851
mash	糊状物	0.440	0.363	0.283
mashed	捣碎	0.531	0.337	0.194
mask	面具	0.510	0.490	0.537
masked	蒙面	0.375	0.549	0.518
masks	面具	0.510	0.472	0.241
masochism	受虐狂	0.194	0.845	0.483
masochist	受虐狂	0.164	0.784	0.353
mason	石匠	0.541	0.442	0.580
masquerade	假面舞会	0.431	0.633	0.446
mass	块	0.458	0.245	0.277
massacre	屠杀	0.031	0.887	0.640
massage	按摩	0.708	0.356	0.413
masses	群众	0.552	0.453	0.473
masseur	按摩师	0.622	0.265	0.463
masseuse	按摩师	0.594	0.373	0.391
massive	大规模的	0.569	0.660	0.750
mast	桅杆	0.542	0.390	0.580
master	主	0.694	0.490	0.849
masterful	高超	0.854	0.510	0.960
mastermind	主谋	0.792	0.625	0.918
masterpiece	杰作	0.926	0.623	0.847
mastery	征服	0.755	0.648	0.873
masturbate	手淫	0.552	0.926	0.500
masturbation	手淫	0.542	0.961	0.509
mat	垫	0.459	0.221	0.304
matador	斗牛士	0.224	0.880	0.667
match	比赛	0.599	0.573	0.500
matchbook	火柴盒	0.562	0.391	0.412
matching	匹配	0.719	0.735	0.418
matchmaker	媒人	0.615	0.509	0.519
mate	伴侣	0.847	0.417	0.669
material	材料	0.521	0.363	0.439
materialism	唯物主义	0.220	0.390	0.556
materialist	唯物主义者	0.255	0.491	0.504
materialistic	唯物主义的	0.420	0.506	0.589
materiality	实质性	0.417	0.450	0.636
materialize	物质化	0.688	0.596	0.728
materially	重大	0.490	0.451	0.670
materials	物料	0.633	0.361	0.473
materiel	物料	0.531	0.294	0.417
maternal	母系	0.847	0.417	0.634
maternity	母道	0.865	0.480	0.622
math	数学	0.417	0.375	0.600
mathematical	数学的	0.620	0.500	0.548
mathematician	数学家	0.541	0.418	0.773
mathematics	数学	0.438	0.435	0.664
matinee	日场	0.694	0.578	0.447
mating	交配	0.755	0.840	0.759
matriculation	预科	0.622	0.490	0.675
matrimony	婚姻	0.850	0.637	0.843
matrix	矩阵	0.551	0.378	0.673
matron	护士长	0.520	0.519	0.555
matted	暗淡的	0.281	0.519	0.393
matter	物	0.487	0.353	0.562
matting	消光	0.479	0.405	0.423
mattress	床垫	0.612	0.255	0.397
maturation	成熟	0.612	0.439	0.698
mature	成熟	0.625	0.347	0.600
maturity	到期	0.827	0.400	0.806
maudlin	感伤	0.337	0.417	0.368
mausoleum	陵	0.344	0.281	0.594
mauve	紫红色	0.533	0.330	0.314
maverick	特立独行	0.354	0.676	0.409
maxim	格言	0.875	0.562	0.887
maximize	最大化	0.823	0.765	0.792
maximum	最大	0.724	0.724	0.852
may	可能	0.704	0.273	0.245
mayday	劳动节	0.344	0.643	0.423
mayflower	五月花	0.690	0.463	0.429
mayhem	混乱	0.188	0.870	0.364
mayonnaise	蛋黄酱	0.510	0.320	0.222
mayor	市长	0.469	0.481	0.818
maze	迷宫	0.438	0.608	0.444
mead	蜂蜜酒	0.667	0.337	0.441
meadow	草地	0.622	0.130	0.382
meager	微薄	0.144	0.389	0.281
meal	膳食	0.833	0.461	0.473
mean	意思	0.440	0.467	0.620
meander	蜿蜒	0.480	0.443	0.454
meandering	弯曲	0.427	0.644	0.539
meanie	小气鬼	0.388	0.420	0.404
meaning	含义	0.663	0.395	0.625
meaningful	富有意义的	0.770	0.500	0.802
meaningless	无意义的	0.156	0.314	0.143
meanness	卑鄙	0.102	0.694	0.368
means	手段	0.615	0.373	0.460
meantime	与此同时	0.432	0.222	0.300
measles	麻疹	0.092	0.635	0.422
measurable	可测量	0.604	0.410	0.602
measure	测量	0.510	0.375	0.365
measured	测量	0.542	0.265	0.578
measurement	测量	0.622	0.418	0.491
measuring	测量	0.448	0.337	0.529
measuring cup	量杯	0.557	0.343	0.377
measuring tape	卷尺	0.337	0.280	0.327
meat	肉	0.612	0.421	0.413
meatball	肉丸	0.612	0.279	0.343
meathead	笨蛋	0.306	0.534	0.490
meatloaf	肉饼	0.625	0.389	0.375
mechanic	机械	0.571	0.433	0.566
mechanical	机械	0.479	0.569	0.564
mechanics	机械学	0.542	0.500	0.761
mechanism	机制	0.573	0.583	0.664
med	NO TRANSLATION	0.375	0.429	0.606
medal	勋章	0.854	0.555	0.746
medallion	奖章	0.750	0.510	0.710
medallist	得主	0.796	0.821	0.897
meddle	插手	0.302	0.770	0.526
meddling	插手	0.245	0.600	0.461
media	媒体	0.500	0.330	0.464
medial	内侧	0.458	0.340	0.429
median	中位数	0.459	0.216	0.375
mediate	调解	0.635	0.308	0.654
mediation	调解	0.661	0.350	0.657
mediator	中间人	0.592	0.438	0.580
medic	军医	0.500	0.472	0.585
medical	医	0.583	0.373	0.616
medicate	NO TRANSLATION	0.417	0.375	0.546
medication	药物治疗	0.615	0.439	0.500
medicinal	药用	0.667	0.417	0.614
medicine	医学	0.708	0.318	0.679
medieval	中世纪	0.560	0.408	0.455
mediocre	平庸	0.188	0.481	0.149
mediocrity	庸人	0.073	0.398	0.225
meditate	幽思	0.812	0.146	0.564
meditating	沉思	0.718	0.185	0.399
meditation	冥想	0.786	0.120	0.478
meditative	沉思	0.614	0.120	0.454
mediterranean	地中海	0.663	0.454	0.545
medium	中	0.559	0.356	0.358
medley	混合	0.487	0.352	0.400
meek	温顺	0.531	0.150	0.198
meet	遇到	0.760	0.510	0.580
meeting	会议	0.750	0.569	0.613
mega	巨型	0.724	0.538	0.723
meh	MEH	0.380	0.286	0.365
melancholic	忧郁	0.181	0.306	0.277
melancholy	愁绪	0.188	0.260	0.237
melee	乱斗	0.541	0.704	0.611
mellow	醇厚	0.633	0.069	0.265
melodious	悠扬	0.932	0.530	0.587
melodrama	情景剧	0.378	0.830	0.446
melodramatic	耸人听闻	0.235	0.692	0.368
melody	旋律	0.847	0.434	0.405
melon	瓜	0.461	0.231	0.271
melt	熔化	0.448	0.615	0.312
meltdown	崩溃	0.629	0.657	0.602
melting	融化	0.592	0.470	0.538
member	会员	0.698	0.333	0.555
membership	籍	0.698	0.411	0.778
membrane	膜	0.406	0.430	0.418
memento	纪念	0.708	0.360	0.536
memo	备忘录	0.625	0.235	0.407
memoir	传记	0.750	0.242	0.553
memorabilia	大事记	0.780	0.412	0.491
memorable	难忘	0.939	0.510	0.769
memorandum	备忘录	0.600	0.500	0.639
memorial	纪念馆	0.602	0.304	0.600
memorials	纪念馆	0.771	0.333	0.679
memories	回忆	0.963	0.487	0.510
memoriesiwontforget	NO TRANSLATION	0.635	0.542	0.455
memorize	记忆	0.520	0.451	0.716
memory	记忆	0.792	0.378	0.573
menace	威胁	0.125	0.894	0.759
menacing	来势汹汹	0.042	0.880	0.643
menagerie	动物园	0.573	0.480	0.538
mend	修补	0.542	0.436	0.602
mending	修补	0.500	0.633	0.657
menial	粗重	0.490	0.420	0.352
meningitis	脑膜炎	0.104	0.612	0.407
meniscus	半月板	0.323	0.330	0.453
menopause	绝经	0.204	0.460	0.306
menses	经血	0.163	0.686	0.331
menstrual	月经	0.408	0.519	0.435
mental	心理	0.490	0.490	0.585
mentalhealth	NO TRANSLATION	0.562	0.541	0.670
mentality	心理	0.711	0.415	0.726
menthol	薄荷醇	0.490	0.292	0.433
mention	提到	0.562	0.365	0.562
mentor	导师	0.719	0.455	0.777
menu	菜单	0.633	0.333	0.385
meow	喵	0.510	0.510	0.412
mercantile	商品	0.480	0.490	0.713
mercenary	雇佣兵	0.245	0.837	0.673
merchandise	商品	0.594	0.460	0.621
merchant	商人	0.675	0.500	0.620
merciful	仁慈	0.854	0.346	0.500
merciless	无情	0.062	0.880	0.634
mercurial	善变	0.490	0.546	0.518
mercury	汞	0.337	0.312	0.475
mercy	怜悯	0.719	0.229	0.500
mere	只	0.396	0.221	0.176
merengue	梅伦格	0.688	0.519	0.442
merge	合并	0.760	0.480	0.733
merger	合并	0.592	0.490	0.642
meridian	子午线	0.510	0.324	0.558
meridional	子午	0.365	0.290	0.600
meringue	酥皮	0.625	0.580	0.411
merit	值得	0.854	0.500	0.722
meritorious	有功	0.781	0.618	0.855
mermaid	美人鱼	0.765	0.623	0.452
merriment	欢乐	0.948	0.721	0.632
merry	快活	0.979	0.731	0.764
merrychristmas	NO TRANSLATION	0.888	0.510	0.536
mesa	台面	0.604	0.191	0.319
mescaline	麦司卡林	0.490	0.580	0.415
mesh	网孔	0.429	0.235	0.371
meshes	目	0.440	0.363	0.362
mesmerized	如醉如痴	0.520	0.552	0.421
mess	食堂	0.143	0.843	0.273
message	信息	0.650	0.391	0.415
messedup	NO TRANSLATION	0.333	0.615	0.358
messenger	信使	0.694	0.434	0.500
messiah	弥赛亚	0.781	0.634	0.800
messy	乱	0.260	0.635	0.140
metabolic	新陈代谢	0.408	0.531	0.559
metabolism	代谢	0.698	0.509	0.555
metal	金属	0.551	0.429	0.547
metallic	金属的	0.615	0.330	0.607
metallurgy	冶金	0.396	0.509	0.587
metamorphosis	变态	0.541	0.571	0.613
metaphor	隐喻	0.562	0.280	0.470
metaphorical	隐喻	0.500	0.412	0.480
metaphysical	抽象的	0.630	0.573	0.686
metaphysics	形而上学	0.561	0.396	0.588
metastasis	转移	0.177	0.646	0.452
meteor	流星	0.398	0.714	0.737
meteoric	流星	0.590	0.802	0.684
meteorite	陨石	0.385	0.794	0.750
meteorological	气象	0.635	0.557	0.556
meteorology	气象	0.630	0.418	0.689
meter	仪表	0.438	0.300	0.463
meth	甲基	0.354	0.564	0.340
methadone	美沙酮	0.240	0.540	0.453
methane	甲烷	0.290	0.460	0.569
methanol	甲醇	0.292	0.500	0.570
method	方法	0.640	0.275	0.698
methodical	有方法的	0.663	0.360	0.745
methodology	方法	0.664	0.327	0.745
meticulous	细致	0.555	0.480	0.555
metime	metime	0.531	0.398	0.417
metric	公	0.519	0.248	0.573
metrical	韵律的	0.521	0.375	0.482
metrology	度量衡学	0.531	0.432	0.439
metropolis	都会	0.656	0.625	0.779
metropolitan	宗主	0.387	0.408	0.723
mettle	气概	0.667	0.529	0.750
mew	猫叫声	0.418	0.481	0.380
mezzanine	夹层	0.479	0.427	0.404
mica	云母	0.531	0.250	0.314
mick	米克	0.449	0.451	0.382
micro	微	0.500	0.270	0.250
microbe	微生物	0.255	0.450	0.340
microbiology	微生物学	0.571	0.378	0.560
microchip	微芯片	0.551	0.358	0.432
microcosm	缩影	0.500	0.500	0.520
microfilm	缩微	0.469	0.352	0.412
microgram	微克	0.448	0.286	0.355
micrometer	千分尺	0.573	0.358	0.394
micron	微米	0.375	0.291	0.315
microphone	麦克风	0.551	0.431	0.462
microscope	显微镜	0.531	0.330	0.464
microscopic	显微	0.360	0.327	0.433
